ParlaMint-NO_2005-03-02.ana.ud817e28	The called alternate of the Hordaland County, Pål Berberfjord, has taken the seat.
ParlaMint-NO_2005-03-02.ana.ud817e1289	Change Property is a department of the department of Defence Buildings to help reduce the property, construction and construction of Defence as part of the total conversion of Defence. The net income from disposal for the entire conversion period was initially expected to go to zero, because the disposal and clean-up work associated with defence property may be significant and the market may be varied. However, so far in the period, significant net sales revenue has been generated. In addition, a significant contribution is made to the conversion of the defence through reduced operating costs by the fact that the defence has to pay rent for far fewer buildings and areas than before. This means that Defence Building through Shifte Eiendom contributes significantly to financing the modernisation of the defence and strengthening its operational capability. According to Försvarsbygg, the event under the direction of Shifte Eiendom, which the representative Bredvold mentions, was a collection of 60 employees from five different sales offices spread all over Norway. The aim of the collection was to disseminate common policies, guidelines and processes related to the disposal of unarranged defence properties. I assume that the management of Defence Buildings makes rigorous assessments of the costs necessary to provide such collections with sufficient professional benefits, and that these costs are in line with the requirements of sound financial management. In the case of contracted consultant support, I would like to stress that all use of consultancy support is to be made today after the explicit approval of the manager of the establishment, cf. guidelines of 21 January 2005 – this to ensure that the overall use of the defence is kept to a minimum and prioritised to the necessary tasks such as the introduction of new economic systems and the follow-up to the National Audit Office’s annotations. Furthermore, consular posts of more than SEK 200000 shall always be published in response to tenders, as specified. regulation on public acquisitions. In the present case, Defence Building discloses that it was necessary for Change Property in a very short time to assume the rights and obligations of the main cooperation partner, because it did not itself fulfil very important parts of the agreement entered into for the operation of the Oscarsborg fastening. According to Defence Building, it was essential in this situation to hire consultant support in order to ensure the opening of Oscarsborg to the public in the summer of 2004. I would like to point out that the summer season was a success – with 50,000 visitors. According to Defence Building, this had not been possible without the necessary special competence. It is also worth mentioning that the operation of Oscarsborg in 2004 generated revenues of more than 10 million. kr. Let me also mention that according to the Transport Economics Institute, the summer season at Oscarsborg gave financial ring-effects in Frogn municipality of nearly 27 million. kr. In this case, at least the use of consultants has provided economic benefits for both the local population and the defence.
ParlaMint-NO_2005-03-02.ana.ud817e1304	I thank the Council of State for the answer, which was complementary, but which I am a little surprised at. Among other things, I am bubbling over this with net income from disposal of the property of the Defence. I thought the goal was to get a maximum net profit from selling the property of the defense, and that this gain, if you can use that word, would be used for reinvestment in the defense. Now, when the Council of State says that the disposal was initially expected to go to zero, I'm somewhat shocked, when I know that you've calculated that this would give profit, like several hundred million dollars. I don't know how much detail we're going to go. But at this seminar, you spend NOK 45,000 on CC Cowboys, you spend NOK 35,000 on a lecture, you spend NOK 35,000 on an opera singer, you spend NOK 8 000 on a theater group, you spend NOK 5000 on a tambourine department, etc. They also hired consultants who received 2.1 million in 2004. NOK 400000 in 2003 – so the same consultant received NOK 175 000 per month.
ParlaMint-NO_2005-03-02.ana.ud817e1313	With regard to the revenue from Defence Construction, I referred to the premises at the entrance to this long-term planning period, i.e. spring 2002, where the funding base for the four-year period 2001-2005 assumed that in sum the sales activity of Defence Building would go to zero, because it would be on part of the land, for example: shooting areas, are significant disposal and clean-up operations related to the fields. At the same time, it is gratifying to see that during the period, Defence Building has been able to generate significant revenues. I fully agree with the questioner that it must be the goal, because if you can generate significant net revenues through the sale after the costs of the disposal process have been deducted, you are contributing positively to the conversion of the defence, you are being transferred to the operational capability, to the defence capability. This has been contributed by Defence Building, and it is positive. With regard to consulting, I believe that defence construction in this case has given a good answer, as the result was that Oscarsborg could be opened up to the audience as intended, and thus receive income, in addition to the community getting good income.
ParlaMint-NO_2005-03-02.ana.ud817e1320	I would like to thank the Council of State for a reply. I think and hope we have the same intention, that we should get the most net possible, that we should sell the properties at a decent price to the right buyer. I notice that the Council of State assumes that the management of Defence Buildings is based on rigorous assessments of the costs to be incurred. We agree with that, of course. It may seem that Shifting Property acts freely – I put myself very much around when I say something “free” – and I want the Council to take care of it; there are some who perceive that Shifting Property acts “something free”. It may not be that Change Property can use its income/expenses in the way they have so far done in some cases.
ParlaMint-NO_2005-03-02.ana.ud817e1327	I fully agree with the questioner that we have the same objectives, both to get the highest possible net income for the Defense and to be restrictive on the expenditure side. That is why I have also clarified in guidelines to all the Heads of State or Government who sort under the Ministry of Defence, including the Head of Defence Building, that they should personally approve the use of consultants, and that they should of course adhere to the rules of procedure. In this case, Defence Building discloses that this consultancy has been necessary to generate significant revenue. Of course, I have confidence that the head of department of Defence Buildings has just made the critical assessment that the questioner underlines, and I am also quite clear that it is the department of Defence Building that the Ministry of Defence is dealing with, and that Change Property is a department in that department.
ParlaMint-NO_2005-03-02.ana.ud817e1336	It could have been tempting to continue to discuss the use of Eiendom's money and festivities, but I will instead concentrate on another part of the defense that is also a bit broken. I have allowed myself to ask the following questions to the Minister of Defence: ‘The 2003 harvest session dealt with the Storting’s proposal for the implementation of Phase 3 in the conversion of the Defence Logistics Organisation [[FLO]] When can the Storting expect a new proposition with a final treatment of the structure of the FLO?’»
ParlaMint-NO_2005-03-02.ana.ud817e1345	For the treatment of Inster. S. No 93 for 2003-2004, cf. St. pp. No 12 for 2003-2004, Stortinget concluded that the FLO will be mainly customer-funded in the future, with the upper part of the Defence Military Organisation as customer. This means that within the framework of allocated budgets, the areas of activity, location, needs and requirements of the client are to be governed by the tasks to be carried out by the FLO, the extent to which the logistical activities are to be carried out, their location and the quality at which they are to be carried out. In order to adapt the activities to the rest of the restructuring in the Defence and to meet the significant savings requirements laid down by the Stortinget, the FLO carries out a continuous and very extensive conversion work. It is intended to establish an organisation to maintain a satisfactory supply service adapted to the needs of the operational structure, both in terms of geographical location, material structure and level of activity. In the first conversion period, the savings targets are annual FLO reductions of 1300 and then in the next conversion period, 2005-2008, at least 600 million. kr i reduced operating costs per year. years. In St. prp. No 1 for 2004-2005 briefed the Government on the further development of the FLO. It says: ‘FLO’s operational activities could be reorganised into an even more process-based model, based on the processes of system management, maintenance, supply and ICT. As a consequence, the level of divisional management will be reduced. As far as possible of the carrying out activity will be sought decentralised to the areas in which the operational units operate. ‘will in that case be changed and to a large extent decentralised to a greater number of bases. In that case, the PRE level of the day will be reduced’. It is stated in the budget proposal. In its budgetary position, the Committee said, inter alia, that:\t\t You can change the settings of the grid. \t\t \t ‘The Committee refers to the delegation of the establishment of the agreed organisational structure, within the framework and efficiency requirements of the Storting, and that negotiations are now under way between the Defence and the employees’ organisations.’ Negotiations with organisations have now been concluded and further identification and deployment of personnel is ongoing with the parties until April 2005. The Government will follow up the Committee’s request in the same setting that the Storting be kept adequately informed about the progress in the conversion of the FLO. The government therefore aims to come back to this in St.prp. No 1 for 2005-2006 for the autumn. The Government also plans to present a case to the Stortinget for a new establishment with a full responsibility for the carrying out of the investment and procurement activities of the Defence Agency during the first half of the next period, 2005-2008, in line with the Stortinget Decision No. 436 for the examination of the long-term plan for that period.
ParlaMint-NO_2005-03-02.ana.ud817e1378	Firstly, I would like to stress that there is a consensus that the support structure in the defence has a lag in relation to the military organisation, and that is why a unanimous collapse actually gave its support to the main lines of St.prp. No 12 on the restructuring of the FLO. However, we are well aware from the Department, but primarily from the system outside, that that structure is now substantially deviated and that it is negotiated with the organisation on a significantly different structure than the one to which the Stortinget agreed. On that basis, I am very concerned that you come to Stortinget with a matter, and it may well be St. pp. No 1 that's right. However, the most important thing is that the Storting should be treated for this. I think that what has emerged about the economy for 2004, which we will come back to in the Storting, can also illustrate that the defence has not been sufficiently prepared for this internal billing that the FLO system now entails.
ParlaMint-NO_2005-03-02.ana.ud817e1385	I would first like to point out that the further development of the FLO that is now ongoing after St.prp. No So 12, we briefed the Biggest in the 2005 budget proposal. It was precisely where we described how FLO's operational activities, that is, FLO operations, could be organised in an even more process-based model based on different departments, such as process system management, maintenance, supply and ICT, and that a consequence of this would be that the level of divisional management would be reduced. We informed about that. We also informed about, as I was concerned, that the operating business will be sought even more decentralised to the areas in which the operating units operate – i.e. a greater degree of decentralisation and a greater number of bases than that underlying it when we dealt with St.prp. No 12th@item: It is Stortinget informed about, and I have deep respect for the fact that the Stortinget wants to be informed about progress in an appropriate way. So when the dialogue on the new organisation was concluded in April, it would be natural to inform about it in the budget proposal for the autumn.
ParlaMint-NO_2005-03-02.ana.ud817e1390	I believe that some of the concerns in the defence can be attributed to what is now going on in the Defence Logistics Organisation. The signals we're getting indicate that it's where there are problems now, because the reorganisation of the military organization is well under way. I think it's important, not least for employees, but also in relation to the political decisions that are made, that you don't change the structure of the organization one, two, three or four times, which we can have the impression of here. It's time to calm down in the FLO and get to a point where there is now a final structure that employees' organisations have negotiated with management. Then there's a couple more things. In the budget configuration, we said that skills needed to support the operational needs and core activities of the defence must be met or built up, including the minimum staffing of personnel and services that can move into operational missions. I would ask the Council of State to ensure this. This means, among other things: that some workshops that are now under threat of closure should not be laid down, because there is the only competence available from an emergency assessment at the moment in the defence.
ParlaMint-NO_2005-03-02.ana.ud817e1397	I would first like to say that I share Nybak's attention related to the conversion pressure on FLO's employees. Therefore, it has been very important for me that the organisations be taken on board, and that there have actually been real negotiations between the defence management and the organisations on how the organisation should now look. It is gratifying that the targets have been set, and that we are now continuing discussions on the details, which we intend to finish in April. It's important. Then I have to add that during this period the organisation of the FLO will not be completed until 31 December 2005. That's the last year of conversion we're going into, and that means, of course, that it's demanding for the employees, because we have to finish what we've started. I have great respect for the efforts that have been made, and for the results that have been achieved, despite an increase in consumption. With regard to comments to the workshops, I know that there is a matter for consideration in Stortinget about it, so there we are probably given the opportunity to go further into it.
ParlaMint-NO_2005-03-02.ana.ud817e1410	This question, from the representative Steinar Bastesen to the Minister for the Environment, will be answered by the Minister for Defence on behalf of the Minister for the Environment.
ParlaMint-NO_2005-03-02.ana.ud817e1413	I have a question for the Minister for the Environment that will be answered by the Minister for Defence: ‘The Danish Food Authority has refused grazing for sheep in three municipalities in the Nordic region due to summer. Very severe loss of sheep for you in the summer of 2004. The prohibition covers 50 to 60 grazing users in Meløy, Rødøy and Gildeskall. Permit to graze would be given if it had been shot you in winter, which has not been allowed to do because. weather conditions. The size has recently adopted a two-fold objective both for grazing animals and for predators. What action will the Council of State take to remedy the situation in Northern Ireland?’
ParlaMint-NO_2005-03-02.ana.ud817e1422	Large losses of sheep and lamb were recorded in the municipalities of Meløy, Gildeskall and Rødøy in 2003 and 2004. I have noticed that it is you people who have affected the size of the loss to the greatest extent. In order to reduce the damage, last year, in the spring of 2004, two yurves were killed in this area under the control of the State's natural supervision. Furthermore, in the autumn of 2004, a licensing agreement was opened to allow a total of five Yves to be shared in a larger area covering the three municipalities concerned. Three yeves were killed in this licensing area, but no one was killed in the affected damage area in the three municipalities. In the autumn of 2004, early immersion of sheep from pasture to pasture in this area was also carried out. The county of Nordland then committed up to DKK 900000 to cover the costs of the sheep owners with this measure. In addition, the state-owned wild game selection allocated NOK 175 000 to reprocessing land parcels that could be used for securing and pre-recovery areas for early lowering in these municipalities. In addition to this, of course, all sheep taken from predatory game are replaced, so that the animal owners do not suffer financial damage. While the measures implemented have clearly resulted in a reduction in losses in relation to a situation without action, the administration nevertheless found in winter that further action was necessary, as the questioner is concerned about. Therefore, based on the findings of the licensing case, the Directorate for Nature Management opened on 15 February 2005 for the killing of three additional yorks in the area concerned. So far, two of these three fields are under the control of the State's natural supervision. This happened on February 20, 2005, this year. The bottling test is currently being completed today, 2 March. At the same time, samples of yours have been collected from the area that has been sent for DNA analysis. Based on this material, the directorate will assess the need to extend the killing quota with a view to reducing the damage to sheep in the municipalities concerned. I can assure the representative of Bastesen that environmental protection authorities place great emphasis on reducing the risk of new damage situations through the overall instruments available.
ParlaMint-NO_2005-03-02.ana.ud817e1439	I thank you for your answer. It's true, as the Council of State says, there's a couple of you guys in the municipalities mentioned. They were taken from the helicopter. But it's far from enough for the sheep farmers to feel safe. It's also promised reward to track you down. These are positive measures. But will this cause the farmers to let go of their sheep in the areas mentioned?
ParlaMint-NO_2005-03-02.ana.ud817e1446	It is precisely the intention of the measures to ensure that the conditions are such that the sheep can be released on pasture. As I understand the matter, it is not yet such that the farmers in the relevant municipalities are refused to send their sheep on pasture, but the animal welfare department in the area has notified that they will assess the grazing ban if the predatory game situation has not improved. That's why I'm sharing with the representative's Bastisen's joy that you've actually managed to trap two yaws this last month, and that it was also opened the last month for killing another three yaws compared to those that were killed in the previous round. I also share Mr. Bastisen's view that it is positive both that it is being opened for licence hunting, and that there is a reward promised to the person who can provide information that leads to documentation of new jervehi, and it is positive that several of the measures that I have been involved in are also being implemented.
ParlaMint-NO_2005-03-02.ana.ud817e1451	It may be that this has not been refused by others, but the Food Agency has refused to accept a pasturage slip. The conditions of the North Seas are precarious. Helicopters are in pursuit. Could it be appropriate to use military forces to kill so many of you that small farmers can run sensible agriculture? Or is it forbidden to maintain small farms in the areas, which violates the intention to keep livestock together with predators? Is one in the process of changing this situation and ending the objective of having predators and animals at the same time?
ParlaMint-NO_2005-03-02.ana.ud817e1458	I don't think I as the functioning Environment Minister will pronounce me to use military! But at least I can say that very much has already been done by the Ministry of the Environment. The motivation has just been that it should be possible to keep sheep in these municipalities. It's important. This is why it has also wanted to take advantage of a number of measures, both to identify here and actually to drive what is called hi-takes, i.e. to ensure that there is a take-out of kids. It's in addition to the license hunt, and then it's in addition to the reward of the person who can provide information about new nervehi. So there's a real commitment to the Ministry of the Environment to make it possible to operate sheep farming in these municipalities. There's been a real commitment around it both this year and last year. Then we'll just have hope that it'll be enough to identify the Yeast on which the hunting license has been granted, and that the sheep can be released on the field.
ParlaMint-NO_2005-03-02.ana.ud817e1465	With that we have come to an end in today's Question Time.
ParlaMint-NO_2005-03-02.ana.ud817e1476	There is no record.
