ParlaMint-NO_2005-04-12.ana.ud487e67	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2005-04-12.ana.ud487e955	The background to this case is the tax decision taken by the Stortinget for the income year 2005. Paragraphs 3-5, fourth paragraph, state that 25 pst should be answered. taxes on dividends on shares and interest on certificates issued to taxpayers belonging to or residing abroad — i.e. withholding tax. If the tax rate after tax agreements with foreign countries – and we have a number of such agreements – should be lower, it is the one to apply. The EFTA Court delivered an advisory opinion on 23 November 2004 on the relationship between the EEA Agreement and the Norwegian rules on withholding tax on dividends from Norwegian companies to shareholders resident abroad. There is reason to draw attention to this, and the Ministry of Finance has brought this matter to our attention. We focus on what the EFTA Court is doing here. In the vote, the majority of the members indicate that the introduction of the exemption method from the 2004 income year removes the uncertainty represented by the RISK system and compensation in relation to the provisions of the EEA Agreement on the free movement of capital, by providing for a non-discriminatory treatment of dividends to shareholders resident in Norway and in another EEA country. From 2006 onwards, the Aktionar model implies that the current RISK and remuneration system can also be liquidated for personal shareholders. It is also important to include in this case. The majority also emphasises the avoidance of solutions that create uncertainty in relation to the EEA Agreement. Int. O. No In fact, for the financial committee 2004-2005 on the 2005 tax and tax regime, amendments, the majority of the Committee stated that it is an unconditional advantage of the shareholder model that dividends from Norwegian and foreign shares are treated in a non-discriminatory manner, because one realised that current rules are contrary to the EEA Agreement. The EFTA Court’s opinion of 23 November 2004 concludes, in the light of recent legal developments, that the Norwegian rules on withholding tax on dividends are contrary to the provisions of the EEA Agreement on the free movement of capital. This is what we are now taking note of, and the Financial Committee is unanimous in recommending to the Grand Duchy that the new third sentence of the fourth paragraph of Section 3-5 be replaced by the following: ‘Taxes referred to in this subparagraph shall not be payable by legally distributed shares and interest on certificates of basic funds distributed to the personal rightholder residing in an EEA State.’;»
ParlaMint-NO_2005-04-12.ana.ud487e973	I will first join in what the case spokesperson said in this case. We welcome the fact that one here is correcting the tax ruling for the income year 2005 when it relates to source taxes on dividends, so that this is in line with the appointment of the EFTA Court on 23 November 2004. The background to this appointment from the EFTA Court is the so-called ‘parking cases’, which lie several years back in time. However, the Minister of Finance has concluded that this candidate in the EFTA Court needs no retroactive effect. We've assessed it so that we don't want to argue against the Minister of Finance here. The Minister of Finance may be right about that. But I believe that the time to come – and in particular the case that is now in Frosting Lawyers – will give a very good and clear signal as to whether what the Minister of Finance concludes is correct or not. Questioning Lawyers may choose to ignore the appointments of the EFTA Court, and they may also choose to follow them. What the Progress Party will do in this matter is simply to follow up on what happens next, and we expect the Minister of Finance to follow the developments in the judiciary in this matter. We also take the view that the Minister of Finance is right if it turns out that developments are going in a direction that the Minister of Finance has not taken.
ParlaMint-NO_2005-04-12.ana.ud487e982	Arguments can be given both for and against the changes in the withholding tax on dividends for which the majority is in favour. The reaction of the Central Party is how the majority justifies its position. The majority of the Committee notes that current rules are likely to be contrary to the EEA Agreement. The majority would like to be for changes in the withholding tax on dividends. However, it is clear from the centre party that this needs to be justified on the basis of appropriateness and not in relation to the EEA Agreement. The Central Party considers that there is an unfortunate development that Norway in increasingly new areas accepts a slippage of the scope of the EEA Agreement, and that we are allowed to be governed by the EU in areas where we have previously stood firm outside the scope of the agreement. At the time of the conclusion of the EEA Agreement, it was provided that the agreement should not cover fiscal policy. The Norwegian authorities have also previously argued to the EFTA Court that the withholding tax on dividends is in line with the EEA Agreement. I would also like to point out that the Government of the Proposition writes that the opinion of the EFTA Court is advisory. The party considers that the Norwegian authorities must maintain that Norway is not obliged by international law to make changes to the Norwegian tax rules, and that any changes are therefore not justified in the light of the EEA Agreement. Although this may not be the biggest issue, there may be other cases later where Norwegian tax policy is challenged by the EEA Agreement. From the outset, we have seen how the charging policy, as was also said, should be exempted from the agreement, be affected by the EEA Agreement. It keeps mentioning what happened to the differentiated employer fee. The parties therefore believe that Norway should stand firm on its position in principle and not bow to the nine interpretation of the Agreement by the guardian of the EEA Agreement.
ParlaMint-NO_2005-04-12.ana.ud487e995	When I hear the comments of the representative of the People's Party and read the comments of the People's Party, it becomes a little bit unclear to me whether he and the People's Party really disagree with the change that is being made, or whether that is just the reason for the change, that is, the consideration of the EEA Agreement, which is a problem. What the EFTA Court has said is that the practice of withholding taxes in Norway is contrary to Article 40 on free capital movements. There is therefore no direct intervention in Norwegian tax policy. The vast majority of the Committee has sought solutions that do not create uncertainty in relation to the EEA Agreement. The majority of the committee also said the same when it came to introducing the shareholder model, namely that Norwegian and foreign shareholders were given equal treatment, as the rapporteur has also pointed out in his statement. It is important that Norwegian enterprises do not encounter discriminatory legislation in other EEA countries, and our changes, such as with the withholding tax, are of course part of a mutual process, where other countries have to change their rules so that Norwegian businesses are not discriminated against, against non-residents being discriminated against here in the country. This is good for Norwegian business. The reduction of barriers to trade leads to an increase in growth and thus to an increase in the basis for more well-being. To this end, it is tempting to refer to the consideration of the Communication of Perspectives, where a large majority of the Committee on Finance stated in its opinion that the strong and long-term international economic growth of the last decades is largely due to increasing trade and the reduction of barriers to trade. It is tempting to take as an example the oil, which we sell freely on the world market, and insofar also other raw materials that are of great importance to our small country. Without access to markets, our oil and gas resources and other resources had very little value. Then it would also be a little more difficult to operate such an active and expansive promise policy as the one that flows against us from the national meeting after the national meeting this spring. The EEA rules apply to us in any case, but as an EU member we would have had more opportunity to influence them. This matter therefore reminds us of the unfortunate thing about being outside the European Community.
ParlaMint-NO_2005-04-12.ana.ud487e1010	Several have not asked for the floor on case No. 5th@item: inlistbox
ParlaMint-NO_2005-04-12.ana.ud487e1028	Mr Heidi Grande Røys shall have the floor instead of the President-in-Office, Mr Audun Bjørlo Lysbakken.
ParlaMint-NO_2005-04-12.ana.ud487e1031	Today, we have a proposal from the representatives of Inger S. Enger, Ola D. Glötvold, Morten Lund and Rune J. Kjörlaaen on the VAT exemption for the translation of alternative energy for household use. The majority of the Committee recommends that the document be annexed to the Protocol, while a minority, the Centre Party and the Coastal Party, present a proposal in line with what has been presented in the document. I assume that the minority itself is doing something for its own eyesight, so I will continue on behalf of the case-speaker, Audun Bjørlo Lysbakken, focus on his view of the plural – that is. The party of progress has its own basis in the form of a comment, but therefore supports the proposal for a decision, as the rest of the majority does. The majority are in favour of increasing the use of alternative energy in households. We need to increase the investment in new renewable energy sources such as wind power, bioenergy, solar energy and wave power. Such energy sources do not emit hazardous greenhouse gases and, in addition, impose less on the local environment than traditional energy sources. There is also a significant potential for energy efficiency improvement in Norway that can be triggered by active drug use. However, the question is whether the exemption from VAT on the translation of alternative energy is, or may be, such an instrument. To that it is said that we have different opinions about it in the committee. The majority point out that such a commitment to new renewable energy sources must, as a general rule, be made to the state budget through subsidies and other forms of direct political support, rather than as a tax haven. The importance of an intelligible and effective tax system means that financial support for specific purposes should be provided directly through such a priority, and not indirectly through light or tax deductions. In the case of interconnections with the current VAT exemption for alternative energy sources in North Norway, the exemption was due to non-discrimination with electricity, which is exempt from VAT in this part of the country. An extension proposed by the proposers of the VAT exemption for alternative energy sources to the whole country is to give rise to a new discrimination, and I would like to believe that a requirement that electricity should also be released, and then we are in a rather hopeless situation. The majority therefore recommended that the proposal be annexed to the Minutes. Having said that, I would like to add, for SV's part, that we would like to pay tribute to the Center Party to put the issue of increasing the use of alternative energy on the agenda. There is something we work on continuously with ourselves, and we have several times suggested a large-scale effort on alternative heating, for example. in winter 2002–2003, with support for households that would invest in heat pumps or pellet stoves, a scheme that was very popular but unfortunately lasted very short. Instead of using the tax system, SV will continue to promote such proposals through priorities in the State budget. In these words, I would recommend the setting of the plural number.
ParlaMint-NO_2005-04-12.ana.ud487e1055	Norway is an energy storm power both on a European scale and on a world scale. We have unused, environmentally friendly reserves of hydropower and, in practice, unlimited gas resources that can be used for the production of electricity. Gas power is considered to be internationally environmentally friendly. The fact that we in Norway have not managed to produce enough with reasonable electricity but have made ourselves dependent on imports is, in the view of the Progress Party, a political problem, which should be solved politically by facilitating the increased use of our hydropower resources and the use of gas in power generation. Other, so-called alternative energy sources are, of course, also in use, and will be, in the future, perhaps to an increasing extent. However, the Progress Party has a fundamental view that energy from different sources should be treated in a non-tariff way, as this will give us the most cost-effective use of energy resources. The fact that the Progress Party has previously opted for VAT exemption for alternative energy in the action zone in North Norway is based on the principle of non-discrimination, because electricity already had such an exemption. In this context, the Progress Party will not support the proposal for fiscal discrimination or proposals for selective support schemes for individual energy sources.
ParlaMint-NO_2005-04-12.ana.ud487e1066	The proposal we are promoting today is not supported by the majority of Storting, as indicated in the vote. However, we are pleased that the majority here are behind the Centre Party's objective of stimulating the increased use of alternative energy in households and that there is a significant energy efficiency potential in Norway that can be triggered by active use of instruments. The proposals we are promoting are a small step towards increasing the use of alternative energy. Extending the exemption from the payment of VAT on energy supplied from alternative energy sources to the whole country and exempting VAT on goods and services in connection with the installation of alternative energy heating systems in dwellings will, in our view, be measures that can stimulate the increased use of alternative energy. The Norwegian Bioenergy Association believes that there is a potential to replace approx. 13 TWh electric current used for domestic heating and provision of bioenergy services. In addition, approximately 13 TWh of oil may be replaced by bioenergy. The total Norwegian production from bioenergy is today about 16 TWh, while in Sweden there is about 100 TWh. And it is interesting to note that Sweden has used far more powerful instruments than Norway to increase the use of bioenergy. There were VAT exemptions and various support schemes aimed at suppliers of bioenergy, households and other user groups. Finland is currently exempt from VAT on investments and fuels in bioenergy plants and on district heating. As shown in the document, bioenergy generates revenues for the country. In Sweden, they calculated that each new TWh produced from bioenergy is worth about 65 million. kr in the income of the country, in the form of taxes on labour income, employers' contributions and saved unemployment benefits. The Centre Party has for several years proposed to increase the allocation of the Energy Fund, managed by Enova. The result of the last year’s budgetary procedure led to the removal of government budget appropriations and the full financing of the Energy Fund by electricity users. As proposers, we note that the majority believe that the VAT system is not a suitable instrument for increasing the use of alternative energy in households. But the Central Party believes it's a step on the way, and I'm promoting this proposal that we have with the Coastal Party in the vote.
ParlaMint-NO_2005-04-12.ana.ud487e1081	The representative, Rune J. Skjellera, has taken up the proposal he referred to. Several have not asked for the floor on case No. 6th@item: inlistbox [[Fotation, see page 2038]]
ParlaMint-NO_2005-04-12.ana.ud487e1099	Today we have a Document No. 8 proposals from the Progress Party, proposing a maximum duty-free import limit of NOK 1 000 and periodic adjustment of the amount. The majority of the Committee proposes that the proposal be annexed to the Protocol. The different groups that make up the majority have different reasons. Today it is that if a buyer buys a product from abroad for up to NOK 200, he will not pay VAT. If you buy a product from abroad for more than 200 kroner, you will have to pay VAT. So this limit is going to be raised to $1,000. Why does one have such a limit, and why exactly 200 kroner? When you look at some of the arguments of those who want to raise this limit, you get the impression that it's kind of parallel to the tax-free system you have on the Danish boat, at airports and the like. One might get the impression that it's a forgotten thing that the limit has not been raised in recent years. It is to attack the matter at the wrong end. The thing is that when a buyer buys a product from another country, he gets it free of charge from this country. When the goods then arrive in Norway, they are charged Norwegian VAT. Thus, theoretically, all goods purchased abroad should have been subject to VAT. This was also the case between March 1999 and March 2001. But for practical reasons, one has found it useful to exempt the cheapest goods. This is also reflected in the letter of the Minister of Finance of 10 March 2005. On the other hand, shops that buy their goods from abroad have to add 25 pst. VAT, while Norwegian consumers can escape if the goods have a value of less than NOK 200. A Norwegian record store must therefore sell its CDs or DVDs with 25 pst. VAT, while a foreign business can sell to a Norwegian consumer without adding 25 pst. VAT. There is a distortion of competition in the disfavor of Norwegian businesses. With a limit of SEK 200, there is a distortion of competition that is acceptable. However, I am concerned that Norwegian dealers must have as much equal framework conditions as possible in relation to competitors abroad. Therefore, I consider the proposal to extend this limit to NOK 1000 as clearly distorting competition in the disfavor of Norwegian businesses and Norwegian jobs. That the Progress Party proposes this is one thing. It actually surprises me a lot more that this does not worry SV and the Workers' Party. Although they do not vote in favour of the proposal today, they are very much opening up to do so in the context of the revised state budget. With today's Internet technology, the potential of this distortion of competition is indeed quite high. The Internet provides increased choice of goods, more operators and thus more competition, which is in itself good for the consumer. I also have no objection that Norwegian businesses will have competition, if it does so on equal terms. But this is going to be some kind of inverse protectionism. One prevents the country's own shops from competing on equal terms with foreign shops. With a limit of $200, we can live with it. Raise this limit to e.g. 1000 kroner, as suggested by several, is the potential of this trade. Why should one in Egersund, in Förde or in Hammerfest order their goods in Oslo, when one can get them cheaper in Gothenburg or in Hamburg? As stated in the letter from the Minister of Finance of 10 March, the potential for an increase in the amount of the limit will be quite high: ‘CDs and DVD-ROMs and games are among the typical products currently traded via the Internet. But other goods, such as contact lenses, are increasingly being sold in this way. An increase in the value limit will also make it necessary to trade a number of new goods over the Internet than is currently possible, for example electronic articles, clothes, etc. Can be purchased 25 pst. cheaper from a provider in Copenhagen than from a provider located in Norway, the choice for the consumer will be quite obvious.’ All countries with a VAT system have a system of border procedures for cross-border trade. The EU has its own system to ensure that VAT is taxed either in the country of dispatch or in the country of purchase. On the other hand, this is not part of the EEA Agreement, and that is why we need to have our own system. Another thing is customs procedures. Recent changes have been made here, for the benefit of the consumer, among others. with the possibility of customs clearance via the Internet. The main point is that Norwegian VAT is payable on the purchase of goods from abroad, because they will otherwise be sold free of charge. We cannot discriminate against our own businesses through the VAT system. It is not fair and proportionate to Norwegian establishments. It is also not fair and reasonable to those who are at risk of losing their job. I would therefore recommend to the majority that the proposal be annexed to the Minutes.
ParlaMint-NO_2005-04-12.ana.ud487e1132	All consignments of goods with a value exceeding 200 kr must be customs dutyed on importation. If the value is over NOK 200, the value of the goods is not the value of the goods, but the value of the customs value, which is the value of the goods plus the value of the goods. The vast majority of goods imported by private individuals are free of customs duties, so in practice VAT is the issue. The authorities have not been able to establish a system that imposes VAT without at the same time imposing on the consumer a significant additional cost in the form of a fee on the Post. The fee is a total of 155 kroner if the post office charges the customs duties in full, and 72 kroner if the consumer himself charges the customs duties. This is a complex and costly system for consumers. The original idea was to establish a system that allowed private imports of goods on a small scale without too much bureaucracy. In 1975, the Stortinget estimated NOK 200 as a reasonable limit for such a scheme. So this limit has been still for 30 years, while the money value has dropped to about 30 years. one fifth during the same period. In 1975 an assessment was made of what was a reasonable amount of free money, hopefully taking into account both consumers and the business community in this assessment. Now the real value of the free amount has dropped to one-fifth without any real reassessment. It is clear that consumers’ interests have suffered as a result of this development. The Party therefore considers that it is time for a new assessment to be carried out, in which the different interests are assessed in a balanced manner. The proposal for a limit of SEK 1000 is a price adjustment of the 1975 limit, and should be a good starting point if a consumer wants to be cared for. I would like to include the proposal of the Advance Party in the vote.
ParlaMint-NO_2005-04-12.ana.ud487e1143	The representative Per Erik Monsen has taken up the proposal he referred to.
ParlaMint-NO_2005-04-12.ana.ud487e1146	Let me first say that, of course, I share the rapporteur's view that if this amount had become as large as you can get the impression when you hear the case rapporteur, it would have been dramatic, but that is not the situation. It is necessary to try to find an appropriate way of balancing the different considerations between something similar to competition and what is appropriate for consumers. We want this limit of $200 to be increased. How much, we haven't taken a decision. We have also not taken a decision when this should happen. We believe that this should be done in an ordinary budgetary procedure. We want to get back to that. But we see good arguments to raise this limit of NOK 200, which has now stood for 30 years, and the money value has fallen throughout the period. What speaks in the opposite direction, of course, is that it has become easier, through the Internet and other new media, to obtain products and thus operate with private imports. This is a balance. We choose to be in the majority. We think that the majority has the right attitude. We reserve the following: we want to get back to how much the limit is to be raised, and when it is to be done, but it should be done in an ordinary budgetary procedure.
ParlaMint-NO_2005-04-12.ana.ud487e1155	Several have not asked for the floor on case No. 7th@item: inlistbox [[Fotation, see page 2038]]
ParlaMint-NO_2005-04-12.ana.ud487e1168	An application for sick leave has been submitted by the Socialist Left Party Group to the representative Siri Hall Arnøy from 12 April until further notice. On a proposal from the President, it was decided unanimously: 1st@item: inlistbox The application shall be examined immediately and granted.2. The vara representative, Christian Holm, is called to meet during the leave period.
ParlaMint-NO_2005-04-12.ana.ud487e1187	Christian Holm is present and will take the seat. Then we're ready to go to voting.
ParlaMint-NO_2005-04-12.ana.ud487e1199	During the debate Arne Sortevik put forward two proposals on behalf of the Progress Party and the representative Jan Simonsen. Proposal No. 1 sounds: ‘The Government asks the Government to increase support for independent schools in basic education from 85 p.m. to 100 pst. of normal operating expenditure for all public schools starting from the State budget for 2006, and including in the budget a financing system which also ensures full public financing of publicly recognised education and training offers in the basic education and training which are not operated by public authorities.’;» Proposal No. 2 sounds: ‘The Government asks the Government to file a case with proposals for the aggregation of training laws and leave to provide for a common law for all pupils in basic education.’
ParlaMint-NO_2005-04-12.ana.ud487e1236	During the debate, the representative Jan Simonsen put forward a proposal on behalf of the representative Ursula Evje and himself. The proposal reads as follows: ‘The Government asks the Government to make the necessary proposals so that the current CRL subject is removed and replaced by a purely confederational Christian subject with freedom of duty and a neutral religious and life philosophy with a high emphasis on Christian education and without exemption.’
ParlaMint-NO_2005-04-12.ana.ud487e1260	In Case No: 3 and 4 there is no voting theme.
ParlaMint-NO_2005-04-12.ana.ud487e1274	The central party has announced that they will vote against it.
ParlaMint-NO_2005-04-12.ana.ud487e1288	During the debate, Rune J. Skjellaaen has put forward a proposal on behalf of the Central Party and the Coastal Party. The proposal reads as follows: ‘The decision asks the Government to make the necessary proposals to amend the laws, regulations and administrative provisions so that: 1st@item: inlistbox The exemption from the payment of VAT on energy supplied from alternative energy sources is extended to the whole country.2. The payment of VAT on goods and services related to the installation of alternative energy heaters in dwellings shall be exempted.’;»
ParlaMint-NO_2005-04-12.ana.ud487e1323	During the debate, Mr Monsen put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘The Government requests a proposal for an upper limit on duty-free imports of NOK 1000, as well as a periodical adjustment of the amount.’ This proposal will be replaced by the Committee's vote.
ParlaMint-NO_2005-04-12.ana.ud487e1352	There is no record.
