ParlaMint-NO_2004-02-10.ana.ud2319e45	The representative Knut Storberget, who has been on leave, has once again taken his seat.
ParlaMint-NO_2004-02-10.ana.ud2319e1154	Heikki Holmås has had the word twice and gets the word to a brief remark.
ParlaMint-NO_2004-02-10.ana.ud2319e1157	I almost have to answer Heidi Larssen, since she asks me, and the question goes on task differentiation in relation to Rusreform II and the whole conversion there. The important thing in this context is that in the case of the drug problem, Oslo is in a special position, because Oslo as a county was responsible for this in advance. But I fully agree with what the Council of State said in view of the fact that in the extension of this one can look at whether not the other cities, for example. those who sought to assume part of this responsibility, namely Trondheim, Tromsø and Stavanger, may also be allowed to assume such responsibility. We're for task differentiation in SV. We have it as a principle. But I think it is important to remember that the difference in some contexts between the Right and the SV is that the Right, because they aim to abolish the County Council, wants to push as many tasks as possible out of the county, while we have looked into whether the county and the regional level can take over several of the tasks of the State, such as: carriage. It has to follow up on the right.
ParlaMint-NO_2004-02-10.ana.ud2319e1166	Several have not asked for the floor and the debate on substance. So 1 is over. [[Fotation, see page 1809]]
ParlaMint-NO_2004-02-10.ana.ud2319e1181	In Document No: 8:1 for 2003-2004 the representatives Marit Arnstad and Åslaug Haga propose to set up an independent district commissioner to coordinate and develop regional action. An overall committee shows that there is broad political agreement on the need for coordination in the districts, and also refers to the Minister of Local and Regional Affairs letter of 15 December 2003 to the Stortinget. The majority of the Committee, all with the exception of the Centre Party, is of the opinion that the response to these challenges is not in setting up a district ombudsman. The majority do not agree with the document’s proposal to set up a district agency. An alternate majority points to various arguments in favour of the creation of such an agent. The Ministry of Local and Regional Affairs, on the one hand, and the county councils, on the other, perform the functions pointed out by the proposers, on the other. The Ministry of Local and Regional Affairs has a coordinating responsibility. The county council has an important role as a development actor and should contribute to regional coordination. Reference is made to the need to provide the good examples of viable communities in the regional communications submitted to the Storting every four years. This is the theme of the message. Furthermore, a majority emphasises the importance of the work of the Committee of the Regions and the Committee of the Regions. This majority also draws up the investigation guide on the need to make the impact of government policies on districts more visible. The examination of Document No 8:1 must also be seen in the context of the treatment of Document No. 8:2 and Document No 8:4, which we're going to deal with in the next case. Now that we will have a commission appointed to assess the conditions and developments of local democracy, of course, the parties that do not currently agree to the creation of a district agency have not re-emphasized the possibility of re-assessing this if the Commission against assumption would suggest such a thing. I expect the Central Party will argue to maintain the proposal to set up a district agent. I recommend the Committee's attitude.
ParlaMint-NO_2004-02-10.ana.ud2319e1204	I need to stress that, like the proposers, we are engaged in a good district policy, and that we see that there is a need to take care of it better than today, but we are therefore uncertain whether an ombudsman's order is the most effective. As the District Commission is at work, we believe it is right to await it. But one of the things we've been given, and as we've already seen, is, as the Impact Committee has pointed out, that it's been a very spin of both instruments and policies. This may indicate that the proposal put forward by the Central Party and the SV in the budget, namely that the impact of regional policy on major policy areas, should have been the right and important first step. I also believe that the Labour Party supported that proposal at the end of the budgetary procedure. I want to say that, because some of the problem here is that you adopt a policy, and then you wait to see how it works, so you should figure out in advance instead of coming back with a repair policy. As we know the ombudsmen's arrangements, they are primarily about having a kind of upkeep between government and law enforcement and individuals. To be an ombudsman on behalf of a policy area is probably the main task of politicians. That is also why we wanted politicians to commit themselves to assessing the consequences of their own decisions, and that is basically the right way to go.
ParlaMint-NO_2004-02-10.ana.ud2319e1213	The Central Party wants a system of independent district commissioners to be tried out, which could have continuously assessed the impact on the districts of national decisions taken in different policy areas and also contributed to a wider debate on rural policy and its consequences. I think I agree with those who say that the Power Selection has in a way given us a taste of this. It is interesting that some of the conclusions there are also very clear on both the scope of action you have as one could have taken, and also that political decisions have had concrete negative effects. In a way, the Centre Party considers a district ombudsman as an opportunity to have a standing power selection that can continuously assess the overall impact. It would probably give us a better and more independent knowledge base to be able to assess district policy as a whole. Unfortunately, the centre party is not in a position to say that the Ministry of Local and Regional Affairs is doing so today. It is clear that the Government – and the state council’s opinions confirm it and leave little doubt about it – has its own agenda in district policy. Some of the comments and also statements that will fall will, of course, be marked by the political agenda that you actually have. There's nothing wrong with it, but it might just suggest that you could need an independent body that could assess the ongoing consequences. In addition, I believe that through today's system, despite the coordinating role of the Ministry of Local and Regional Affairs, we lack the ability to see the impact of decisions in other sectors. I would like to point out the rationalizations and transitions that you have seen in the state sector and their effects on some peripheral areas. In particular, some administrative centres on the outskirts are typical examples of how we are not entirely able to calculate the effects of decisions on outskirts and districts. The centre party does not regard this as an agent in the sense that there should be some kind of complaint wall. It could probably have been possible to find a more accurate name for it. We want a body to function in the same way as the Glasbygdsverket in Sweden. And there is no wall of complaint today. It indicates the impact of national policies on a number of areas for districts and rural areas — this is the point. The centre party is concerned that a one-off investigation such as that of the Impact Committee will be carried out in the absence of appropriate political conclusions. An existing agent would not be delayed in the same way, but could have a stronger role in this context. However, we in the Central Party have the hope that a local democracy commission, at least for a certain period of time, will be able to fulfil a kind of function, and that the District Commission will also be able to perform some of the functions. Nevertheless, the Central Party wants one to have established such an independent representative. I would like to take up with this the proposal of the Centre Party, which we believe it is necessary to be dealt with in the Chamber today. Otherwise, I think this is a question you will also come back to at later intersections.
ParlaMint-NO_2004-02-10.ana.ud2319e1230	The representative Arnstad then mentioned the proposal she has referred to.
ParlaMint-NO_2004-02-10.ana.ud2319e1233	The Left shares the objectives of the Centre Party in relation to putting district policy on the agenda. There's a continuous fight and a continuous discussion here as well. We have a very exciting district commission, I think, as a member of it, where there are many exciting discussions in relation to just this. What I'm reacting to is the term ‘ Ombudsman’. Inflation is now taking place in the concept of ‘ Ombudsman’. I believe that in a democracy it is the elected representatives who are always representatives. I believe that strictly speaking, we should have only one representative, the Children's Ombudsman, because children do not have the right to vote. The fact that the Central Party is now submitting a proposal to use an agent in district policy must mean that the Central Party has abdicated or abandoned the fight for its own district policy, giving up that they themselves should be the drivers of district policy. Left hasn't done that. We do not want to adjourn as drivers of district policy. That's why we don't want to put it away to any other body outside the People's Party that's going to affect it. So in the end, when you bring forward Swedish district policy as the ideal, I have to say that we have done a lot better with our district policy than the Swedish have done with the tools they have had.
ParlaMint-NO_2004-02-10.ana.ud2319e1244	I cannot leave the post of the representative of the Left here unanswered. Firstly, if it is the Ombudsman's name that is the problem for the Left, and not the content of the Central Party's proposal regarding an independent body that can assess the impact of the district policy, I think that the Left should have joined the proposal, and rather sought to find a different name for it. As I said, and it is also clear from the proposal, this is not meant to be a wall of complaint in the form of an agent in that way. It is intended to be a parallel to the Swedish Glasbygdskverket, which independently assesses the impact of national political decisions on rural areas. In the case that the Left has not abdicated in district policy: Yes, I don't know, I! I am not so sure when I see this government's line in district policy, where the District Policy soul of the Left is located. It is not very good to trace and not much offensive measures to trace from the Government in terms of day-to-day district policy. No, this is not a request from the Central Party to take over Swedish district policy! This is a request from the Central Party to take over a Swedish institution that works well just like the independent investigative body it is.
ParlaMint-NO_2004-02-10.ana.ud2319e1255	The left is pleased that the Impact Committee has now presented its position, which provides many good input both to the political debate and to the District Commission. This government put down the District Commission, and hopefully it will soon put down a local democracy commission. These are political commissions that aim to reach a broad political consensus on the big grips. That's what this government has done. We've been involved in initiating this. The last step, the local democracy commission, I think also that the Left must have a little bit of credit for. That means that we do not waive responsibility for this. We don't want to put it anywhere else. We want to put that right there. We want to place it with the political parties, and we want a common position in the political parties on the big grips here. If this is something that works so very well in Sweden, I wonder why it has not affected district policy better.
ParlaMint-NO_2004-02-10.ana.ud2319e1264	It seems clear from this change of words that the Central Party itself has recognised that the term ‘ ombudsman’ does not fit very well with what you have in mind. I think that is a priceless clarification, because we are struggling with the problem that the term ‘ ombudsman’ is one of the few words with which the Norwegian language has enriched the world languages. This may have led to the belief that the solution to all possible societal problems is the establishment of a new ombudsman system. We have a children's agent. Many have argued for an elderly representative for a long time. If there's a majority for that, you're going to need a middle-aged agent. Some people want a loner agent. Someone wants a family agent. If you continue that thinking, it really dissolves democracy as a form of government. It is another side of the matter that concerns me perhaps as much, and it is the word compilation ‘independent district commissioner’ – regardless of what? Is there independence from the political system by establishing a state bureaucracy in the Swedish Glasbygdsverket, which, as far as I know, employs between 35 and 40 bureaucrats? I just think that this is terribly bad thought. To the extent that expert assessments of regional policy issues are needed, we have plenty of research environments in this country that have the necessary skills and where to obtain those assessments. The response to the need for independence in the research approach is already available. The answer is under no circumstances to create a new state bureaucracy. I think it is a good thing to keep track of language, and to use the honorary word “independent” – if it is a honorary word – where it belongs in our system of governance, namely in the courts and in the research institutions. Independence is not a concept that should be linked to new state bureaucracy.
ParlaMint-NO_2004-02-10.ana.ud2319e1277	Marit Arnstad has spoken twice in the past and is given the floor for a brief comment. If this continues any longer, we need a big-time president's office!
ParlaMint-NO_2004-02-10.ana.ud2319e1282	I do not think Inge Wohnung could have read the reasons for the proposal put forward by the Central Party here. Then he would have understood that trying to do this into a debate about the use of the term ‘committee’ or not entirely meaningless. It is clear that what we are proposing to draw up analyses and make the impact of rural development visible is to provide good examples and provide background information. One might say that it is a kind of research activity, and in that way it should also be independent. Our concept of independence is at least linked to being independent of all party political leadership for which policy developments are being envisaged, and should provide, as far as possible, solid evidence of the consequences and effects of different decisions. Then you can call it a research assignment if you want. It could have been like this would have been 10 or 15 researchers and the analysis would have been done. I can't see that there had been anything negative – on the contrary. It might have provided an even better basis than if so-called bureaucrats had done so, even though I have nothing against neither state nor municipal bureaucrats. They do their job, like everyone else.
ParlaMint-NO_2004-02-10.ana.ud2319e1290	As I said earlier, there is no set-up for tonight's meeting. We have two things left on the agenda. The President asks the representatives to reconcile the length of their statements with that.
ParlaMint-NO_2004-02-10.ana.ud2319e1293	It has to be, sir. President! I thought it appeared from my post that I was not interested in language usage in and separately, but that I was interested in the matter contained in the proposal of the Central Party. I've read it quite carefully. I am not able to understand that the answer to what you are looking for is an analogy to the Swedish Glasbygdskverket. The only concreteisation that has come from the centre party is the reference to the Swedish model. As has been pointed out in the debate, the creation of a state bureaucracy has not exactly contributed much to laying the foundation for a future-oriented rural policy in Sweden. My observation of the existence of research competence was just meant as an indication that we actually have relevant research environments, both at several of our scientific colleges, at our district colleges and at our universities. There is no reason whatsoever to set up a new central bureaucracy to provide a pre-existing competence. All you can achieve in that way is to waste with state resources.
ParlaMint-NO_2004-02-10.ana.ud2319e1302	I have a lot of awareness with the President, who is going to run these debates so that we avoid the evening meeting, but I have to be allowed to make a brief comment in relation to Inge Wohnung and the post he held. He maintained the Glasbygdskverket as an example that Swedish district policy does not work. These are political choices, and there is a lack of political will in Sweden to bet on an offensive district policy, which has resulted in the results we are now seeing. In Norway, it is actually such that after this proposal was made, the Effect Selection has presented its setting. And what does that show? Well, it shows that the action space in Norwegian district policy is larger than many expect. In fact, the effectiveness selection also shows that traditional district policies work, and the effectiveness selection shows that it is necessary to review and evaluate the impact of the decisions in relation to the consequences of the districts. Inge Wohnung's many attacks on the Center Party can only be interpreted in one way: he doesn't want a more offensive district policy. We've understood from before that Right doesn't want to, and it has Inge Wage today confirmed.
ParlaMint-NO_2004-02-10.ana.ud2319e1316	Several have not asked for the floor on case No. 2nd@item: inlistbox At the request of the Municipal Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 3 and 4 are treated together. [[Fotation, see page 1810]] – It shall be deemed to have been adopted.
ParlaMint-NO_2004-02-10.ana.ud2319e1345	At the request of the Municipal Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2004-02-10.ana.ud2319e1354	The Municipal Committee unanimously recommends that the Government establish a wide-ranging commission to assess the conditions and developments of local democracy. It will be in line with what the rapporteurs Trine Skei Grande and May Britt Vihovde propose in Document No. 8:4. A local democracy commission could be a suitable forum to go through the existing knowledge base, gather experiences and give direction to our future local democracy. Such an approach will also very much respond to what has been proposed by the proposers Åslaug Haga and Marit Arnstad in Document No. 8:2, establishing a local democratic idea selection. The proposers point out in their proposal, Document No. 8:4, that there is cause for concern about the future of local democracy after a choice with record low participation. Electoral participation shows that the distance between the citizen and the elected people has become too large and that the space for action in local policy has deteriorated. The importance of local choices is not as obvious as before. The proposers wish to focus on this through a non-prejudiced investigation on causes, contexts and challenges. As the rapporteur, I share that concern, a view which also has broad political support in the municipal committee. Norway has good traditions for municipalities to have a wide-ranging portfolio of tasks. They really are what we can call welfare municipalities, where they appear to be efficient and close service providers and community developers – unlike the more well-being municipalities we find in several European countries. A number of pilot projects have made a useful contribution to building up knowledge in order to further develop local democracy. Among these trials are both direct rapporteurs' elections and their own election day, and they provide a better basis for knowledge of democracy. Furthermore, the power and democracy investigation has also made important contributions to the challenges of local democracy. An assessment of both short-term and long-term developments will be central to the analyses to be carried out by a local democracy commission. Many factors affect the conditions of the local government, and the municipal committee is unanimous in its wish that the new Commission should make proposals that can contribute to increased involvement, participation and local space for action. Furthermore, the Commission must look at the relationship between the State and the municipality. Municipalities are responsible for a variety of tasks, but they must also have the freedom to organise and perform these tasks. The Commission is also asked to assess the impact of the allocation of financial resources between local and central levels, and the ability and limitations to generate own resources. At the same time, it is necessary to highlight the impact of changes in government governance systems towards market principles and formal exemption on the one hand and new supervisory bodies and supervision on local democracy on the other. We have also been concerned about the fact that international agreements offer opportunities and constraints that have a strong impact on local policy. New forms of organisation, outsourcing, privatisation, increased use of enterprises and the share company model also change the content and space of local government. At the same time, it may also be interesting for the Commission to highlight the role of the media in modern communities. Also worth looking at are the experience from other countries with a strongly decentralised democracy, and, if appropriate, propose how lessons from other countries can be learned in Norway. A new Commission alone will not solve the tasks and challenges facing local democracy. I think this will require efforts in many areas, where much of the responsibility will continue to rest on the political parties – local, regional and central. It is in this context that the Municipal Committee is involved in the examination of Document No. 8:4 unanimously recommends the Storting to ask the Government to appoint a commission to assess the conditions and developments of local democracy. Having regard to that, the Municipal Committee is equally unanimous in its recommendation that Document No. The 8:2 proposal for the establishment of a local democratic Idea Committee is annexed to the Protocol.
ParlaMint-NO_2004-02-10.ana.ud2319e1373	Of course, the Labour Party agrees that a Commission should be created to assess the conditions of local democracy. It is absolutely necessary that the work be put on a broad front with the aim of creating a better basis for local democracy in the future. I would like to stress that the municipality has a self-esteem both as a democratic body and as a local authority. He is in many ways the very foundation of the political commitment of the great majority of Norwegian citizens. There are daily discussions and positions in municipal bodies, and a lot of the stalls of the big community are being created in this area. Actually, there is no lack of knowledge about how local democracy works. We have a lot of experience and material in this area. The last expression came through the expression of power and democracy that was recently presented. In the setting of the Municipal Committee, the convergence is much wider than the proposals from the Left have been submitted. It is pointed out that the Commission must have a mandate to assess the short-term and long-term trends of local democracy. I would like to stress that the Commission's work should not primarily provide a descriptive presentation, but that there are analyses and suggestions for improvements that must be the key area of the Commission's work. The Committee has done well in which area the Commission should have looked into in its work. I assume that the Government follows the broad perspective that the Size should be used in the distribution and analysis work. I want to stress that we already have a good knowledge of the long term development. The power allocation has given us valuable material. This document will contain many other documents. pointed out that privatisation and increased market power lead to a reduction in our rule of law. So power is being moved from elected bodies to the market. There's a development that there's every reason to notice, a development that the Labour Party doesn't want. During this ageing period, there have been several political disputes about the use of competition in public service provision. The Labour Party has often pointed out that more competition in key welfare tasks such as training and care would jeopardise an equivalent service provision. Over time, such a policy will create greater differences among those who need these basic welfare services. I think that if there is more use of private solutions in welfare provision in municipalities, it will reduce municipal service production. In turn, this will reduce the legitimacy of local democracy. There is a development that the Workers' Party cannot accept. The members of the municipal committee have a lot of contact with the elected representatives of our municipalities and counties. Very often we meet with one main point of view: the community sector has too little resources to solve its tasks. It is underlined that the situation is now much worse than before. It says in different ways: today is almost 25 pst. by our municipalities placed on the so-called ROBEK list and thus put under state administration. In addition, it is a fact that the deficit in the municipal sector is approximately NOK 12 billion. These developments are very unfortunate, and this leads many elected people to ask for the idea of engaging in the management of their municipalities. In the Labour Party, we are concerned that if the economic imbalances in the municipal sector are not corrected, the conditions for the local government will be significantly weakened. That is why we have proposed other financial arrangements for the municipalities than the Bondevik government has presented. I would like to stress that the political space for action of the municipalities has been substantially reduced in recent years. In this way, local democracy has also become weak. There is no reason to believe that a Commission alone can solve the major challenges facing local democracy. But I believe that if a thorough analysis is carried out and shown the willingness to present forward-looking proposals for improvements – over a broad register – it can provide us with an even better basis for giving the elected local and regional governments greater authority for their municipal activities.
ParlaMint-NO_2004-02-10.ana.ud2319e1396	The party of progress has doubted that it makes sense to put down another commission. I think there are several people who have done that. So now we have the power investigation, we have the Power Selection, we have the District Commission – which is working and is going to finish its work in September – and we have a number of district policy statements. We have the municipal bill, we have annual budgets and audits of the budget, where these are current issues every time. I would like to refer to the previous debate, in which the representative, Mr Wohnung, had a really good point: is there really a need for more commissions now? Isn't it true that we have more than enough documentation that we can use for what's the objective here, to increase local democracy? What is the problem, and what the proposers point to, is that there is a terrible uprising in elections. So the voters are indifferent, completely indifferent, and then we have to ask ourselves the question, why? Is it the case that we should create greater equality with the political parties? I think, on the other hand, that we have to go a completely different way. I think one of the main reasons why the voters don't come forward is that they don't see any difference anymore. There is no alternative in local policy. All of them, most of the parties, merge into one city council, into one municipal government, which stands together, largely, about all the decisions. Then we will address the question of whether the voters are satisfied with the adoption of this overall municipal or urban council. Here lies, I think, the major problems with regard to the development of local democracy. The Progress Party is constantly trying to point out its desire to revitalise local democracy, i.e. that voters – users – must have a greater influence on the decisions made. I refer to the previous post, from the representative Sandal, and that is, the big difference between the Progress Party and the rest is that when the other parties talk about local democracy, it is all the time about the work of local politicians and the ability of local politicians to influence local democracy, while we are talking more and more about the individual who lives and works in the municipality, who needs to be better cared for by having influence, through the user's choice. That's the difference. I believe, although we support the creation of this Commission, that both what the rapporteur had to do with creating a Commission that should be open to prejudice, and what the representative Inge Wohnning had to say in the previous debate, and what the centre party was very concerned about, namely an independent commission, is to believe in Christmas. As long as the political parties are to be represented in these commissions and committees, we are not able to achieve prejudice or independence. Then it'll still be the same thing that breaks up again, no matter how many commissions we had to put down. I'm afraid that we are also here at the house, like in county policy and municipal policy, putting the policy into commissions, into selections, into bureaucracy, without wiping out any decisions of our own. But we are involved in supporting the creation of such a commission, and we also hope that it will be possible to get a commission that gathers the competences we have already acquired through power investigation and power selection, so that we hopefully get a biased and independent commission that can point to the fundamental problems of local democracy.
ParlaMint-NO_2004-02-10.ana.ud2319e1409	All issues of democracy, whether local, national or global, are political issues, and responsibility for political parties and organisations. SV needs to stress it in our article on this matter, because when we support the proposal to create a local democracy commission, it is not because we believe that there should be some neutral judges who should say something that is right and not right. This is about politics, and this is about different choices and how to focus on them. SV is pleased that it has been possible to obtain a much wider mandate during the committee process than it seemed to be initially. It was a prerequisite for SV to be able to support the creation of such a commission. If you limit what you're going to look at, just to, to say this, an interaction between the Greatness and local democracy, it just limits it to saying that yes, there are some small financial resources here, and if they're to be earmarked or not to be earmarked, then you've bombed significantly on what it is that affects politics. It was important for us to get it into these points that this Commission was going to look at. We are very pleased that the committee opened up to it, so that you look at the big things, how the space for politics in general, including globally, has become smaller. It's very important to look at. In addition, it is very important to look at not only that the state governs, but also how the state governs, cf. a debate we've had here before today, about how the state sometimes cracks in every direction – how the state governs fragmentedly, how the state governs through corporate forms that make political governance almost impossible. It is also very important for the SV to look at the distribution of economic resources between local and central levels. It is a political issue of distribution policy. It's clear that there are big differences between the parties, and they're there -- that's one of the main reasons why we have different political parties. But there is no doubt that a prerequisite for having something to deal with locally is that you have some money of your own, and not least that you have the freedom to get some money of your own. That's why SV has called for attempts with freer municipal taxpayers, and it is an important matter to look at. I would then like to refer to the major investigation carried out by the Municipalities' Central Association, where a cross-political selection of municipal politicians from all parties that sit on the Stortinget has established that it is important to give the municipalities the opportunity to obtain their own income for projects with which they can go to the population and say: Should we have a split layer on this, should we take the costs of this solidarity? That's what everyone has said they think is important. It will move some of the decisions closer to the population, and it will be easier for people to see the relationship between what you pay in and what you get out. That is what SV believes is very important for local democracy to live on. There are a number of points that it has been possible to get into this setting, and which we, as I said, are very happy with. But I want to finally look at the point that concerns the role of the media. It is true that the media play a very important role, not only for what is on the political agenda nationally and internationally, but also locally, in good and bad. That's the reality you live in, even in the communities. The angle that the media takes on a matter, or the fact that a matter is totally lost in the media and is completely impossible to get any searchlight on, can actually have a very big impact on the solution of the matter and on whether politicians engage in it. That's the way it is. So we could like that or not like that, but it's a reality, and I think we're too little conscious, and also that the population is sometimes too little aware of how much media decides what's important.
ParlaMint-NO_2004-02-10.ana.ud2319e1422	The Committee refers to the opinions of Prime Minister Kjell Magne Bondevik at the Municipal Conference of the Municipalities of the Communes on 26 January this year. The Prime Minister’s theme was ‘Local and Regional Democracy in a Future Perspective’. The Prime Minister invited local politicians in municipalities and regions to stand up and take responsibility for the development of their communities and regions, and indeed to withdraw power. If the Prime Minister did not fear that more and more proposals would be made for the State to take over tasks and responsibilities that are currently at local and regional level. The Committee notes that it shares the wide-ranging description of local democracy developments by the proposers. These developments include, inter alia: described as follows: ‘In total, the development of the local self-government can be summarised over the past decades as a transition from local autonomy to government.’ The Christian People's Party does not want such a development. In the debate on the big cities earlier today, the representative Anita Apelthun Sæle said that the message could be summarized briefly: the big city politicians must be masters in their own house. The Christian People's Party will not only give greater responsibility and freedom to big city politicians. We want this to be the situation throughout the country. The Christian People's Party sees local democracy as a value in itself. Democracy is no natural thing. Democracy must be taught and practiced if we are to maintain this form of governance – a form of governance that is the best we have. I am concerned that more and more, at both regional and local level, are reducing the number of representatives who are getting involved in the elected bodies. At the same time, red tape employees have increased significantly. It is important that we have good control and supervision systems, but I am constantly getting feedback that bureaucratic regulation and control not only deprive local democracy of power and authority, but also becomes an obstacle to wise and correct solutions for the benefit of the community and the individual citizen. Representatives from all parties speak intensely and warmly about local democracy and its importance. At the same time, I experience over and over again that flooding and other central authorities are not willing to let matters be resolved in the local environment. This worries me. Today, we are concerned with user involvement in the development and implementation of offers. This is important. Whoever wears the shoe knows best where it presses. The provision and measures concern the lives of individual citizens. But at the same time, we are giving our citizens a new role. We move away from the role of citizens with social responsibility for the user and consumer role, where we shop well and are busy with the good purchase. The Committee asks for a broad mandate to be given to the local democracy commission to address a number of aspects. The Christian People's Party has expectations of the local democracy commission. It is important to get a good analysis of why we are not able to strengthen local democracy when we all express our desire. It is important that the Commission points to the obstacle mechanisms and to the possibilities of moving towards the stated objective. The Commission, as many have said, will not solve the problems alone. As I have said, the Christian People's Party has expectations for the work of the Commission, but it will be crucial if the political parties and representatives in this Chamber show the ability to act, not just to give speeches.
ParlaMint-NO_2004-02-10.ana.ud2319e1451	This debate is about two Documents Nos. Eight proposals. The one proposal was put forward by the Central Party, and the other by the Left. Wider participation in local political processes makes it more likely that local government acts as a political laboratory that develops constructive ideas, solutions and reforms. This may increase the well-being and well-being of the community. The opportunities for local democracy to show such innovation power are increasing with the number of citizens who are actively engaged in local policies and at the same time operate within frameworks, especially economic ones, which make creative policy development realistic. The expression of power and democracy shows that the framework of municipal local democracy has been limited in the last 20 years. The reason for this development is twofold: State equality requirements and national standards, which have weakened the local freedom of action municipalities have had to adapt the service provision to local conditions, and partly weak local economy and tight budgets, which have reduced the ability to be innovative and support local preferences in general. In addition, the budgetary situation also weakens the incentive to take on local political responsibilities, as the reduced economic space reduces the chances of launching local policy initiatives and long-term plans. Last night I was at a meeting in Klepp – we were going to get a report from the local government group – and they said it this way: We are actually running right now and distributing poverty. So they had to do a dramatic cut instead of the priorities they'd prefer. The distribution of power and democracy points to a number of signs in time that indicate that local self-government lacks attraction. It shows an alarming curve when the selection is selected. Another very disturbing aspect is the accession of the political party and the elected bodies. The number of members of the various political parties is about half over 20 years, and we know most recently in the fall that there are fewer and fewer who are willing to be nominated for election lists. It is on this background that the Centre Party has produced its Document No. Eight proposals for an idea selection to try to create a new and forward-looking change of words on this issue, based on the analysis of power and democracy. We also saw an idea selection that leads to the new and concrete suggestions on how local self-government can strengthen its position within the Norwegian local democracy. We also mean that there are experiences to get from other countries, for example. Switzerland and the United States. In parallel with this, there are also proposals for a local democracy commission. We in the Central Party are very pleased that what we pointed out as the main tasks with an idea selection is now being included in the Commission's mandate. Let me also say that the case-speaker, Hans Kristian Hogsnes, has been both listening and attending to the process that has taken place in the committee, and he has made sure that recordings that have come from different parties have been made. This Commission is now in favour of a much wider mandate than the original one from the Left, as well as of what was pointed out by the Centre Party. We thought it was very important that the Commission also look at what is happening to changes when a government frees up business. The impact of new forms of organisation – postponing competition, privatisation, increasing the use of businesses and share company models – also alters the content and space of the role of local government and the like media, not least the role of the local media. We have argued that this Commission does not now close up, but is involved in good debates and makes constructive proposals locally with regard to measures that will strengthen local democracy.
ParlaMint-NO_2004-02-10.ana.ud2319e1470	The left is, of course, very pleased with the fact that our proposal for a local democracy commission has been fully endorsed by both the magnificence and government, and we see it as extending the mandate somewhat, as we in the Left feel well. We have no problem with that. It is positive with a common understanding that a weakened local democracy is a serious challenge, and that together we see it as a task to strengthen it. Without a local experience of democratic importance and function, the understanding of democracy can also be weakened in national policies. Democracy and participation have been fought over decades, not to say over centuries, and we must never take it for granted. Loss is too precious, and vigilance and awareness are required if it is not to be gradually altered. There are always forces ready to enter into power where opportunities arise to exercise power. In addition, it is about the legitimacy and efficiency of the entire administration. For the Left, it is obvious that municipalities can spend their money more efficiently if they have greater freedom and are not controlled in detail by the State. Designation has good intentions, but confuses the local democracy's own priorities and timetables. You're adapting in an irrational way, because you want to get the fresh money. It is gratifying that the Committee together underlines the self-esteem of the municipality as a locally and democratically elected joint body for citizens. It is important to include it in the discussion also on changing the municipal structure and level of administration. It is with some wonder that I see how the Workers' Party, the Socialist Left Party and the Centre also affirm their fundamentalism in the question of private services within what is called welfare production in the municipality. Neither does the Left see outsourcing as a good solution anywhere, but it is very little constructive to be dogmatic about this. It is the opposite of increased local democracy to provide governmental leadership that will limit local freedom to choose different solutions. It's not that long since the Workers' Party had a completely different and liberal attitude to this point. In connection with the party's national meeting in 1998, then party leader Thorbjørn Jagland said to the evening post on 19 November of that year: 'We have a pragmatic relationship with privatisation. The essential thing is that the supply of the population is equal. The objective must be a more sensible formulation of private and public solutions.’.» It is a pity that the party is now leaving the common sense and entering a pure museum alliance in relation to modernisation and the public sector. I hope the Commission's work will at least lead to the recognition that the decision on who should and can perform public services on behalf of the municipality is decided locally and not through ideological attachment in the party centrally. This also applies to the right, which believes that private solutions are always the best and cheapest, without respect for different assessments and solutions locally on this issue. We're already going to go in the opposite direction to the total committee signaling through the setting. Increased freedom must necessarily be accompanied by acceptance and recognition of different choices. I will not go further in the real debate. The Commission will take a broad approach to work and quiet with blank papers: see without prejudice to all relevant factors. In fact, there is already much to build on, as the Committee also points out. The Progress Party expresses concern about an increased Commissioner and that controversial issues in this way are being pushed away from the political arena. It's a timely reminder. Neither will the left want inflation in commissions. Our intention of the proposal is by no means to push controversial issues out of the political arena; on the contrary, we want a stronger focus on the theme, greater interest and thorough reflection. The Commission must not work in the hidden or in a political vacuum but must work against dialogue with citizens, parties and municipalities. The left will at least help to keep the debate warm and hope that others will contribute to the same. The aim of the Commission must be to agree on some common principles and common rules at state level. Per Sandberg has an interesting objection, but it's wrong to say that there's a problem that we have a common national platform. The different local governments need to gain more power and find different solutions for their citizens. Finally, I would just like to point out that this might be the most important step we can take to increase the turnout.
