ParlaMint-NO_2004-04-02.ana.ud1842e51	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2004-04-02.ana.ud1842e1105	First of all, I think there's a lack of logic in a reasoning here. It says at 95 pst. of all the children already experience going to kindergartens with sibling moderation. But at the same time, adding a minimum list of moderation is a serious intervention in the autonomy of municipalities. If that minimum list does not have any practical significance other than confirming what is actually the situation in the municipalities, I cannot understand how it can be linked to the fact that it is an intervention in the local authority's own jurisdiction. Then there will be no practical consequences. Of course, the municipalities are free to go over those rates. What determines whether or not they do is the total municipal economy, and there I think maybe the Council of State should take some tougher fights within its own government, in the choice between large tax havens and more money for the community goods. Because it's what ultimately decides whether the municipalities can afford to go beyond the minimum rates of sibling moderation. For non-discrimination: We have seen a danger that with a higher government grant to private kindergartens over the long term than to municipal authorities, there may be an incentive for kindergartens to actually pay for privatization. Therefore, it is important to obtain a confirmation from the Council of State that the differentiated earmarked state subsidy is only a temporary scheme.
ParlaMint-NO_2004-04-02.ana.ud1842e1112	It is in the phase-in concept that this provision on economically equivalent treatment that we are now introducing is actually applicable for 2004. It's actually the first step towards an equivalent treatment. We're going to follow it up. I'll confirm it once again. It is stated in the kindergarten agreement — we interpret it this way — that once we have gone to the stage of having a full equivalent treatment, the state subsidy should also be made equal. The problem that the representative Giske is addressing is not an extensive problem. We see today that happens. If we look at the numbers from last year, we know that some kindergartens that had previously been municipal were privatized. But there were even more of the private kindergartens that were made municipal. We're going to look at that challenge. This means that non-discrimination should be introduced as soon as possible.
ParlaMint-NO_2004-04-02.ana.ud1842e1121	I don't like expressions like the municipalities are going to find "spicy" solutions. But I asked the Council of State to assure me that we can expect her to come back to the revised national budget for 2004 with solutions for equivalent treatment. There can be no doubt that full equivalent treatment will be initiated from 1 May 2004. That is why I reacted quite spontaneously when the Council of State of the European Union just said to have 'full equal treatment'. Then I actually want to ask the Council of State: when is it she thinks we're going to get full equivalent treatment?
ParlaMint-NO_2004-04-02.ana.ud1842e1128	We'll get back to revision. Of course we do. We have a majority comment that all the parties – including the government parties – have joined, so we're going to come back. A comment on «smug» solutions: I am going to write a letter that goes out to the municipalities today or tomorrow, because we have seen that some municipalities may think it has been a bit difficult in a transitional phase. Private kindergartens have also made contact with the Ministry in relation to how to facilitate this in a good way when you are so late informed about this new parental payment regulation. I have a great deal of understanding that maybe you can find "smiling" solutions. It takes too much time to get into that letter. In terms of equal treatment, we have said both in the budget last year, to which the Stortingen has joined, and in the kindergarten report that this is the first step on the road to equal treatment. The cost differences in private kindergartens and municipal kindergartens suggest that we have to do it this way.
ParlaMint-NO_2004-04-02.ana.ud1842e1142	Governments are concerned with SV's reverse operation in relation to municipal freedom. It's actually so that there's not much municipal freedom under this government. The municipalities are starving. Any major reform in this process has received earmarked funds. The council says she has great confidence in the municipalities and wants to give them great freedom. In 2003, when the state grant to kindergartens increased by about 20 p.m., it turned out that the nominal contribution from the municipalities had fallen. Two out of three municipalities have reduced their nominal contribution, the parental payment has increased, graduated rates have been removed, and some have also removed the sibling’s moderation. Then I would like to ask, what sanctions can the Council of State in the future imagine if this continues? How are we going to get this into port?
ParlaMint-NO_2004-04-02.ana.ud1842e1153	First, I want to establish what Stortinget obviously agrees with, that this reform should be fully financed by the state. We're adding up to that. There has never been as much money injected in the kindergarten sector as it is now. I also want to say that we should not forget that from 1 May 2004, the total grants from public to private kindergartens will cover about 80 pst. of the cost of running a private kindergarten. This applies to all kindergartens. It's important. Then I would like to say that the figures quoted by the representative May Hansen are probably based on KOSTRA figures – preliminary, unsecured, not quality-assured accounting figures, where at least half of the municipalities are missing. So these are very uncertain numbers. I can't believe that the representative in that way is right.
ParlaMint-NO_2004-04-02.ana.ud1842e1162	Governments consistently use the expression government grants. I get that. But what's exciting here is what the state grant is going to be. The Ministry says in the message: ‘Due to the large cost differences between kindergartens and between municipalities, real growth in public funds in 2004 has been introduced as State discretionary means.’ But of the state discretion is 405 million. kr a compensation for municipalities in order to fulfil the condition we have imposed, namely to pay the nominal share in 2003. That's not state grants we're talking about. The real state subsidy is just 80 million. kr. My question to the Council of State is simply: Is that enough? Or will you come back in the revised national budget with the necessary funding from the state, provided for by the entire Storting?
ParlaMint-NO_2004-04-02.ana.ud1842e1176	Of course, we come back to the revised national budget, as we agree both from the Government and from the Stortinget side. With regard to the state discretionary funds, we are following the scheme that was put in place, to which the Stortingen joined last year's budget, namely that the state discretionary funds, plus the municipal grants and the state funding will be 80 pst. of the cost of running kindergartens today. A cost limitation has also been introduced to which Storting has joined. With regard to the development of the state grant, i.e. what we are going to contribute to the increase in costs in the sector in this respect, it is related to the normal increase in wages and prices in the State grant itself, which was considerably increased on 1 August last year.
ParlaMint-NO_2004-04-02.ana.ud1842e1185	It's two relationships. One is the balance between the use of the word grant and the use of the word cost. We can't get into a situation where we create a system that stimulates unprofitable driving. We must have systems that enable municipalities and private kindergartens to operate economically, so that we do not end up with a system in which to promote kindergartens that run unprofitably. There is also no way of punishing children's gardens that run economically when they are able to earn a profit that allows them to expand their skills over time. I just want to underline something, related to a comment from the committee. If this has not been perceived by the Council of State, it should at least now be understood that there is obviously no agreement of the majority of the Committee on the content of the regulation in this area. That is precisely why it says in the note: ‘The regulation must be understood in accordance with these remarks’. I ask the Council of State to confirm that she intends to do so, because this is quite critical of the future credibility of the entire nursery financing.
ParlaMint-NO_2004-04-02.ana.ud1842e1195	We'll come back to that discussion in revised form. That was not the case today, but I understand that many of the representatives are concerned about this. I agree with the representative Jensen that it must be lucrative – let's say so – to run economically. Of course, those who are profitable should not lose weight. At the same time, it is in the nursery agreement that we must also have strict cost control by the authorities. This means that during this phase-in period, as it actually is – and it is also mentioned in the majority of the Committee's comments that we should return to further phase-in of equal treatment – we must also take into account that the differences have been enormous in the cost of kindergartens. So if we were to make a similar state grant now, for example. In fact, based on what private kindergartens have, which is higher than municipal ones, we can demonstrate that very many private kindergartens already have enough to implement the maximum price scheme. They would then be able to make a large profit, and it does not run counter to cost control.
ParlaMint-NO_2004-04-02.ana.ud1842e1202	The chord shift has been completed. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2004-04-02.ana.ud1842e1207	There has been no doubt that the partners agreed that we should have national, overall rules and universal arrangements for sibling moderation. We need a minimum offer across the country, a minimum standard. With regard to income-adjusted payment rates, and with concern for reallocation of funds from those who are now undergoing sibling moderation to those who are most disadvantaged, we have clearly said that no one should come out worse than today – and we say that we should have income-graded rates. That's what the whole committee says. I would like to make it clear once again: we have said that the reform must be fully financed, and the Council of State must keep an eye on it. When it comes to central management, I was to the extent involved in my previous post. This is a huge reform that is going to be an offer to parents and children across the country. All children shall have the right to kindergarten, maximum price and sibling mode, and all shall have an income grading system. All of this has been part of the government's party. Isn't that the detailed management of the municipalities? Yes, and the government parties have been on it. The difference here is that a minimum standard for sibling moderation will cost 11 million. kr. The terrible detail management by SVs, the side of the Progress Party and the Workers' Party is 11 million. kr. Some municipalities do not have this arrangement. We've heard that, 95 pst. Hasn't. I want to say to the Council again: in fact, whether the COSTRA agreements are not quality-secured to the smallest detail, we know that this is happening. I know it from my own state, because I'm still a municipal politician. Prices in kindergartens have been increased, sibling moderation removed, and income modulation has also been removed. Of course, I have great confidence in Kommune-Norge, but it is clear that we have a local economy that makes it difficult to run so many tasks. I do not believe that the municipalities are throwing the money out of the window, they are being used in other important areas in Kommune-Norway. Is this defeat of the Government or defeat of the municipalities, which the representative Sjøli was in? The Council of State therefore knew that there was a majority for this control of sibling moderation. We said that quite clearly, and it is up to the Council of State to come back with a proposal – which gives a new defeat.
ParlaMint-NO_2004-04-02.ana.ud1842e1220	Politics is not always as simple. I have to admit, I often have a double life. I am sitting as a magnificent representative, and then in the next phase, I come home to a municipality and I'm going to practice politics. I often experience the distrust that lies in both being a local politician and meeting in a big deal that lays the foundations for the job to be done. Since Ullensaker Municipality was previously mentioned here today with a positive sign, I would like to say from the administration that when we started to prepare our budget in our municipality, the County Council of Oslo and Akershus signaled that the kindergarten reform that has been treated and adopted would cost us 13 million. NOK only for 2004. So they asked us to add 13 million. Extra kroner, and we didn't have that money at all. On Monday, as was the case, Ullensaker ruled the matter that Stortinget now decides – and it is nice to hear the debate. We then decided to introduce a moderation of 10 pst. It is quite right, as the representative Giske here presented in his first post, that there are many parents in our municipality who will actually get increased costs compared to what they had from the graduated rates that we had introduced in our municipality and drove quite emphatically. I'm very excited about how this will turn out. I have been in contact with my party, and I know that my political colleagues in Ullensaker have also been asking in the ministry about how this will actually turn out. Because that's what we're so excited about: what are the real costs, and what does it matter to each municipality? I am pleased that Stortinget signals so strongly that this wants Stortinget to follow up, and I also perceive that the department at the Council of State is positive to follow up so that the municipalities will be able to get down on their legs. The last reform I overheard, and also took part in the debate on, was the rates for camp school stays. Then I remember the Council of State saying they had a survey that showed that camp school on average cost 800 kroner – and then granted the Stortingen 1000 kroner to be very good and kind. When I returned home and asked my local government how much a camp place really costs, it was about NOK 2000 – 3000. So we live in a little bit of different worlds, and so it's kind of exciting to look at the consequences of finally solving this equation. It is a little special as rapporteur to vote in favour of such detailed management.
ParlaMint-NO_2004-04-02.ana.ud1842e1235	Very briefly to the representative Hansen: I fully agree that the whole kindergarten reform is a solid detailed management of the municipalities. Well, that doesn't make matters any better. Last summer we were busy getting a broad deal when it came to this kindergarten reform, getting to expand kindergartens so that everyone would have an opportunity, and getting reduced parental pay. We were committed to getting this whole system in place, and that we could accept it for a transitional period. The majority of adults have decided that all the money to go to kindergarten development and the operation of kindergartens in the years to come should be included in the framework of municipalities from 2006. I fully agree that we must follow closely what is now happening in the future in relation to the municipalities, and at the same time we must not control the municipalities more closely in this area than what is actually necessary. Otherwise it was interesting to hear the rapporteur from Ullensaker.
ParlaMint-NO_2004-04-02.ana.ud1842e1244	Yes, it's precisely that this whole big deal agreed that we should control the municipalities in detail in order to get this reform into port. In the case of the difference between the Government Parties and the Workers' Party, the Advance Party and SV, there is an amount of 11 million. kr. Finally, I would like to stress that we have said quite strongly now that economically equivalent treatment is going to be the result, and we ask the ministry to come back to revision. This must mean that private kindergartens can have the same possibilities for pension schemes, collective agreements and proper quality. It is considered that signed treatment is economically equivalent. I also agree with the Central Party on the concern of the shrewd. It has to be used for a lot, and this has to be followed closely. That is why we have asked for this to be brought back in the revised version, so that we can see that we are really fully financing. What I think is a little clever, and it's about both the Council of State and the representative, Sjøli, they're not worried that the earmarked funds we've invested in the municipalities, they're not actually going to kindergartens, but they're used for other things. This is quite worrying, because it is absolutely necessary that the nominal level in municipalities be used for kindergartens.
ParlaMint-NO_2004-04-02.ana.ud1842e1257	Once again, I can't go well because the numbers that May Hansen is aiming for are right. I think she said on the radio today that two out of three municipalities have reduced their share in the sector. The whole childcare arrangement also requires municipalities to maintain their share in the sector. That is an important prerequisite, and the ministry will of course follow this closely in the future.
ParlaMint-NO_2004-04-02.ana.ud1842e1264	Several have not asked for the floor on case No. 5th@item: inlistbox [[See page 2458]]
ParlaMint-NO_2004-04-02.ana.ud1842e1277	Then we are ready to vote on the issues on today's map.
ParlaMint-NO_2004-04-02.ana.ud1842e1312	During the debate, Mr Evje presented a proposal on behalf of the Progress Party and the representative of Mr Simonsen. The proposal reads as follows: ‘The Government asks the Government to take into account the solution referred to as the ‘Sørge-for-Lånekasse’ for the modernisation of the State’s Education Loan Fund.’
ParlaMint-NO_2004-04-02.ana.ud1842e1341	During the debate, Mr H. Langeland put forward two proposals on behalf of the Socialist Left Party. Proposal No. 1 sounds: ‘Displaced the treatment of St.prp. No 41 and asks the Government to address the impact of two options in addition to landing at Nyhamna in Aukra, as well as a holistic socio-economic analysis of the three options. ‘... [[2003-2004]] Proposal No. 2 sounds: ‘The Government is asking the Government to clarify the principal aspects of the failure of the Storting to present the total infrastructure investment to the Worm Lange when decisions are taken.’
ParlaMint-NO_2004-04-02.ana.ud1842e1363	Mr H. Langeland has asked for the floor to be put to the vote.
ParlaMint-NO_2004-04-02.ana.ud1842e1366	Now that SV's proposal for different options to choose and postpone matters has fallen, SV could have made an alternative proposal that was even worse distributed than it is today. We don't, so I recommend that my teammates support this option.
ParlaMint-NO_2004-04-02.ana.ud1842e1371	Then we should have great opportunities to get this unanimously.
ParlaMint-NO_2004-04-02.ana.ud1842e1450	The President expects the Right, the Christian People's Party, the Center Party and the Left to vote against. Is that correct?
ParlaMint-NO_2004-04-02.ana.ud1842e1453	We want to vote against Roman I and for Roman II.
ParlaMint-NO_2004-04-02.ana.ud1842e1584	Then the President will wish the representatives a really good Easter.
