ParlaMint-NO_2004-04-28.ana.ud2420e28	The representative of Åsa Elvik will make a private proposal.
ParlaMint-NO_2004-04-28.ana.ud2420e1324	Again, I would like to stress that it is not the participation law that is challenged in this matter, it is the Fishing Prohibition Act. In addition, I would like to stress that this government has just shown an offensive attitude, as we have not complied with the ESA's requirement. We now have to consider all the aspects of the matter during the time we have at our disposal, before we give a response. It will not be right for me to go into more detailed conclusions that are not yet reached.
ParlaMint-NO_2004-04-28.ana.ud2420e1329	Questions 13 and 14 are addressed to the Minister for Economic Affairs and Trade. The President cannot see that the Council of State has yet arrived, and we are therefore moving on to the question list.
ParlaMint-NO_2004-04-28.ana.ud2420e1343	This question has been postponed to the next Question Time.
ParlaMint-NO_2004-04-28.ana.ud2420e1349	This question, from the representative of Bjørgulf Froyn to the Minister for Transport, will be answered by the Minister for Fisheries on behalf of the Minister for Transport.
ParlaMint-NO_2004-04-28.ana.ud2420e1352	I have the following questions to the Council of State: ‘The Groruddalen is established as an environmental zone and the Stortinget has asked for measures to provide cleaner air, less noise, better road safety, access to green areas and a better cultural environment to be seen in the context. Noise abatement will often have positive effects in all of these areas. What measures are being taken to achieve less noise in the Groruddalen environmental zone?’
ParlaMint-NO_2004-04-28.ana.ud2420e1361	As a follow-up to St.meld. No 23 for 2001-2002, Better urban and urban environment, two pilot projects were established during 2003: the Groruddalen Environmental Zone and the Drammen Environmental Zone, which relate to the centre. The pilot project period shall be provided for a duration of three to four years. Environmental zone status means that the State will take a specific responsibility for coordinating State action in these areas. The Ministry of the Environment has contributed about DKK 1 billion per year. in 2003 and 2004 for this work. The State Road Service and the Railway Agency are actively involved in the environmental zone work. In the Groruddalen environmental zone, there are defined areas of intervention such as: will address area improvements with a view to achieving national air quality and noise targets, improving the environment for terminal areas and developing the Grorud centre into a viable urban centre and a collective hub. Measures within the responsibility of the State Road Service will be considered as part of the action programme for the other national road network for the period 2006 to 2015. In this respect, the priorities of the Municipality of Oslo shall be given decisive importance. There is also a separate strategy for transport in Groruddalen with a view to improving environmental conditions. This strategy includes, inter alia: construction of the Fossum Diagonal as cross-link between Trondheim Road and East Aker Road. In addition, the project Rv 150 Ulven-Sinsen will provide significant noise relief for adjacent areas. In order to reduce environmental disadvantages in the Grorud Valley, it is necessary to reduce the growth of car traffic. This must be done by imposing restrictive measures on car traffic and by investing in public transport solutions. In order to stimulate the municipalities for such measures, the Ministry of Transport has introduced the so-called reward scheme. It rewards municipalities which impose restrictive measures against car traffic and rates of public transport. In this context, the Municipality of Oslo has committed 25 million. kr. Half of the funds are provided on condition that the municipality adopts projects restricting passenger car traffic. The state Road Service is working on an arrangement for a reduced winter travel limit for Trondheimswegen, among others. to reduce the high levels of air pollution. A speed reduction is intended to provide significant noise improvement over the relevant period. The measure is planned to start in the winter of 2004/2005.
ParlaMint-NO_2004-04-28.ana.ud2420e1376	Thanks for the answer. Let me first say that the so-called incentive scheme of $25 million. kr for the Oslo area will slightly affect some of the problems in the Groruddalen. There is something to do with the fact that Oslo’s problems with public transport are, of course, more extensive than that of the Groruddalens alone, and that the costs of measures in the Groruddalen will have a different bill. But apart from that, the reason for the question is that today is a noise-free day. It could be an opportunity for the Government to highlight a more offensive and active attitude towards what is happening in the area. Reduced speed is mentioned. My specific question would then be: Does this mean that the Government is prepared to support the proposal to reduce speed to 60 km/h on important parts of the roads in the area? Would it be interesting for the Government to downgrade Trondheimswegen to become an environmental road?
ParlaMint-NO_2004-04-28.ana.ud2420e1383	The government and the Ministry of Transport take the challenges of the Grorud Valley seriously. Traffic is so large that some of the measures may be reduced traffic and speed reduction, just to limit noise and other disadvantages associated with the high speed and the high number of cars. If this results in a speed limit of 60 km/h, which the queryer picks up, it's too early to say anything about. But with the cooperation that is now between different authorities, as I pointed out, the ministry assumes that a set of instruments are being put in place to reduce the disadvantages. In this context, measures have been implemented in relation to noise abatement in Groruddalen – investments of approximately EUR 15 million. Forty-five million. kr – just to reduce the disadvantages for those living along the road.
ParlaMint-NO_2004-04-28.ana.ud2420e1388	The Grorud Valley has a population of nearly 130 000 people. It corresponds to a fairly large Norwegian city. All the problems associated with the Groruddalen – now I want to focus specifically on noise – would, if this had been an independent city and not a city in Oslo, have received a completely different national attention. My question is then: does not the Council of State feel that it is reasonable to show much greater interest from the government team, and thus to propose measures as monks, in the case of Groruddalen?
ParlaMint-NO_2004-04-28.ana.ud2420e1395	That's exactly what the government is doing in St.meld. No 24 for 2003–2004, the national transport plan, which is now under treatment in the United Kingdom, where, among others, points out that, with the support of a new user funding scheme, it may also be appropriate to start the development of Rv 4 in the Groruddalen/Fossum diagonal. So in national transport for the next period, we've pointed to the Groruddalen in particular. It underlines that the Minister for Transport is particularly concerned with the problems in the Groruddalen.
ParlaMint-NO_2004-04-28.ana.ud2420e1400	We then go back to question 13. The President makes it clear that there is an absolute requirement that the Councils of State should try to reach the Grand Duchy at the time they reply to the questions put by the representatives. Today, there were two state councils that did not come forward in time.
ParlaMint-NO_2004-04-28.ana.ud2420e1408	I have a question for the Minister of Economic Affairs and Trade: ‘SIVA aims at establishing production holdings around the country. In the case of the sale of capacity where they do not want to be the owner themselves, one would believe that two principles were laid down: that sale is made to the maximum bidder and that it is taken into account if it is to be used for production. In Sulitjelma in the municipality of Fauske, the SIVA was sold, and no account was taken of any of the parts. [[ZACO AS]] A production company with the highest bid was not successful. Is this compatible with the EEA Code and the purpose of SIVA?’
ParlaMint-NO_2004-04-28.ana.ud2420e1417	Let me be very sorry first that I came too late. SIVA’s construction in Fauske was moved away in the autumn of 2002. SIVA applied to the market for serious tenants, without results, and decided in December 2002 to sell the building. As you know, EEA legislation prohibits distorting State aid. This implies that buildings and property cannot be sold at industrial activities below market prices. I have been informed that in this case, SIVA has sought to obtain market prices on the property, in line with this legislation. The difference between the two offers that existed, from Mountain Service AS and Zaco AS respectively, was NOK 5000 – a difference that is not very large when the bids were on the lower side of SEK half a million. Zaco AS had the highest bid, but did not, like Mountain Service, submit a financing commitment. This ratio was naturally added to the weight of SIVA. Zaco AS shall have defaulted a previous lease with SIVA for the same purpose. I assume that if everything else is similar, sales should be made to the maximum bidder. However, an overall assessment of the different tenders must take into account aspects such as the financing plan, arrangements for further operations and the knowledge of the parties involved by the seller. SIVA’s board of directors is responsible for managing the company’s properties and dealing with investment, sale and rental issues. As a result, questions of this nature are not submitted to the ministry. Based on the information I have, I find that the choice made by SIVA between the two tenderers in this case does not conflict with the purpose of SIVA or the EEA Agreement, by which we are also obliged.
ParlaMint-NO_2004-04-28.ana.ud2420e1428	I thank you for your answer. Zaco AS had plans for the production of PET bottles in this building. The other company had no plans for production, which is contrary to the starting point of SIVA. I have documentation from this company that they have offered 500 000 kroner for this construction. The sale was NOK 475,000, which is a difference of NOK 25 000. In addition, the company asked Zaco in a letter dated 1 September 2002 to keep some equipment in the building until the sale was completed. This equipment was sold together with the building. I think that's quite outrageous. Will the Minister take hold of this and clean it up?
ParlaMint-NO_2004-04-28.ana.ud2420e1435	First of all, these numbers. As far as I understand, the amounts were 480 000 kroner and 475 000 kroner, excluding sales costs, if you make the figures comparable. The gross figure was, as the representative said, 500,000 kroner. So it's going to be $5,000 in difference. SIVA's administration and board of directors also focus on other elements when performing such sales. I just have to note that SIVA has completed a sale. I guess the questioner will understand that such a sale cannot, of course, be converted. However, it would be natural, on the basis of this question, to clarify the premise for such sales as SIVA carries out, but as I said, I have no evidence to say that they have not followed the rules and guidelines that apply.
ParlaMint-NO_2004-04-28.ana.ud2420e1440	I understand, of course, that such sales cannot be converted. But when the difference is small and there is a lack of a financing plan from one, there should be contact with the request for such a financing plan. I understand that this has not happened. I think that should be done in the future. And as I also said, can it not be acceptable that equipment that was allowed to be stored in the building was sold to the new company?
ParlaMint-NO_2004-04-28.ana.ud2420e1445	I regret to say that at that level I have no detailed knowledge of what was stored in this building. But based on the statements and suggestions that have come, of course, I'm going to take this to SIVA.
ParlaMint-NO_2004-04-28.ana.ud2420e1450	The President believes that the Storting understands that a government council cannot have an overview of all the details at all times.
ParlaMint-NO_2004-04-28.ana.ud2420e1456	«In recent times, it has been claimed that Spanish shipyards have a framework which gives them a competitive advantage in the international market. Following a media look-up, Spanish government agencies now provide loans and other support corresponding to 7 billion. kr over a period of three years in advance. Does the Council of State feel that this affects international competition, and what will he do to counteract this?’
ParlaMint-NO_2004-04-28.ana.ud2420e1463	The shipbuilding industry operates, as we all know, in a global market. In such a market, the framework conditions in the various countries will affect international competition. This is a relationship that is reflected in St.meld. No 31 for 2003-2004, Vilje for growth – for Norwegian shipping and the maritime industries. This means that we have to follow closely what's going on out there, but not least that we also have to look at what we can do here at home. It is important to facilitate the continued development of this industry so that it can also be an important contributor to value creation in the future. Innovation will be very important in this way. As part of Innovation 2010, the government has therefore taken the initiative of MARUT — a maritime development project which also includes the marine and petroleum sectors. In order to get the pressure on this work, the Government, as we have signaled in Vilje to growth, will set up a dedicated innovation programme for the maritime industries. With regard to Spain, Norway has raised this issue with the European Commission several times with other EU countries. The Commission is now examining the Izar Group for an assessment of whether the company has received State aid that goes beyond the existing legislation. It is expected that the Commission will take a decision on this matter within a very short time. In the case of any new aid scheme in Spain, these must be notified to the Commission. And I assume that Spain, like other countries, has to deal with the current legislation in the EEA area. I am generally concerned that Norwegian shipyards, like other industries, should have the same framework conditions as their European competitors. As is known, the Government has followed this up by making a recent proposal for the extension of the yard support system for container ships, product and chemical ships and LNG ships. The extension has been proposed for a period of one year. Finally, I can add that this weekend I was in Ireland at an EU Ministerial Meeting, where this too was a topic that was raised outside the agenda. There are more countries than Norway that are engaged in the regime in the process of being established in Spain. There is a significant degree of attention related to the matter that the Commission now has to deal with, and which is likely to be completed, as I said, within a very short time. As the representative Akselsen is familiar with, we, together with TBL, have funded a project for TBL to conduct our own studies. We have used considerable amounts even to conduct international investigations into the conditions in Spain, precisely because allegations of illegal State aid have been made. But it is quite important to distinguish between what is lawful and what is illegal. This is a very weak business area with high unemployment, and there are many legal means that are also channelled here, as far as I am aware.
ParlaMint-NO_2004-04-28.ana.ud2420e1474	I thank you for your answer. I also agree with the starting point that we should ensure that Norwegian yards operating in the same area have the same competition rules. Therefore, I am also in agreement with the Minister when he says that it is important to follow closely, but I ask questions as to whether this has happened from the Norwegian side. We know that TBL has carried out an investigation supported by the Ministry. What I'm asking is what has been done afterwards from the Council of State to follow up on this matter. I'm left with the impression that not enough has taken hold of the debts that have come to this area. I believe that to the extent that there are schemes that are not in the regulation, it is particularly important that Spanish authorities feel that the authorities of other countries are concerned about these issues, so that one cannot take liberties. What I would like to see is an answer to what the Minister of Industry has done to follow up the work of the TBL study, and whether Norway will benefit from the possibilities that exist through the EU system in order to be even more fully informed and possibly terminated.
ParlaMint-NO_2004-04-28.ana.ud2420e1483	I am pleased with that adjustment to the wording. The accent says you haven't done anything much enough. I think maybe what I read in the newspaper was something rough. As far as I know and have been able to investigate, the Norwegian authorities have never done so much to just try to reveal this. But it's an engagement that not only the Norwegian authorities have, but also all the other countries that have had and have competition problems associated with some of these Spanish yards. What we have done in retrospect is to follow this up with the Commission, not least by influencing and talking with others who are in the same boat, whether German, Swedish or Danish ministers. Last weekend, as I said, I had a conversation with a representative of the Spanish Government, and I asked him to convey all my concerns about the developments we are seeing, and for the implications it has for Norwegian shipyards as well. I assume that the newly elected government will be handed over by the person present at the Ministerial Conference.
ParlaMint-NO_2004-04-28.ana.ud2420e1490	Of course, I am pleased that the Minister has spoken with his Spanish colleague. One should not underestimate the value of such calls. Nevertheless, there are claims that illegal subsidisation is taking place here. Through the EEA Agreement, we are part of EU internal legislation which allows us to use it in a much stronger way than can be achieved through such a conversation. In the light of the information presented in the TBL investigation, I would like to ask again: does the Minister of State of Norway have done what can be done in this case, or will an even greater pressure be put on the EU system to investigate what is actually related to this? This is crucial, especially in a period when we know that Norwegian shipyards have major problems with their order books.
ParlaMint-NO_2004-04-28.ana.ud2420e1497	I feel very secure when it comes to doing what can be done. What we did in these investigations of TBL, and not least in our own direction, was in a way to go as far as you can go, in relation to what another country's government is doing on its own continent. We can't do police research in Spain. This has become a matter for the Commission. We have sent all the documentation we have received, to the Commission, we have spoken with representatives of other countries and ministers who are interested in the same matter, and we have met with the EU Competition Commissioner to draw attention to these things. But, as I said at the outset, legal and illegal support must not be mixed. There's a lot of support that's legal in this world. As far as I've understood from the last package, it's about 215 million. EUR for a R & D programme and EUR 300 million. EUR in grants and loans to these yards.
ParlaMint-NO_2004-04-28.ana.ud2420e1508	Question 15 is deferred, and question 16 has already been answered.
ParlaMint-NO_2004-04-28.ana.ud2420e1514	This question, from the representative Per Roar Bredvold to the Minister for Transport, will be answered by the Minister for Fisheries on behalf of the Minister for Transport.
ParlaMint-NO_2004-04-28.ana.ud2420e1517	I would like to ask the Minister for Transport the following questions, which will be answered by the Minister for Fisheries: ‘In Hedmark, as in the rest of the country, the problem with people using the car as a suicide tool is an increasing problem. Often encounter accidents involving heavy vehicles are involved. The Council of State sees this problem as inter alia: unfairly affects truck industry, in addition to the personal tragedies of suicide, and what will the Council of State do to raise awareness of this and thereby reduce the number of accidents?’
ParlaMint-NO_2004-04-28.ana.ud2420e1526	The issue raised by the representative, Mr Bredvold, is both important and serious – and tragically so. Whoever wants to take his life, the relatives who are left, and in many cases an innocent heavy-duty driver who gets heavy loads, gets involved in such accidents. There is, of course, little data on this phenomenon. However, a 1999 study conducted by SINTEF shows that perhaps as many as 9 pst. the number of deaths in road accidents on the right routes may be the result of suicide. This underlines that the extent of the phenomenon can be much greater than what we have been aware of in the past. The Minister of Transport has therefore already focused on two aspects. First, how can we, as far as possible, prevent drivers from taking their own lives and risking others in traffic? And secondly, how can we assist those heavy-duty drivers who are exposed to this phenomenon? On 5 February this year the Minister for Transport invited the transport industry and the Road Directorate to meet on this issue. Different support schemes have been put in place for heavy-duty drivers, including: Norway's Lastebileier-Federal Collaborative Aid. As a result of the meeting, Norway’s Lastebileier-Federal Association, the Landsförbund of Transport and the Road Directorate shall jointly assess other measures, including: advise call-out personnel on how to deal with heavy-duty drivers after such a tragic event. On the other hand, the fight against suicide must be waged on several fronts, where the most important measures still need to be implemented under the direction of the health care system. But the transport authorities and industry are doing their utmost to limit the damage to the innocent party, which is often the heavy-duty driver who is at work and who experiences the nightmare of being involved in a tragic traffic accident caused by a suicide request from the driver in the car that is coming.
ParlaMint-NO_2004-04-28.ana.ud2420e1539	I thank the Council of State for the answer, which I think was good. It substantiates the problem and the seriousness of just this type of accident. Also in the previous period, I raised a similar question, with the Council of State then sitting. Unfortunately, the percentage of such meeting accidents has increased. I saw in the media here a day that the number might be twice the size of the 9 pst. as the SINTEF report of 1999 shows. But either way, 1 is pst. Too much. One accident is one too many. Of course, this question could also have been addressed to other government councils. So I hope the Minister for Fisheries will take it with him, so that there will be broad cooperation with several government councils in this area. Because it's not just about traffic, it's about people who might not have had a driver's license at the very moment of such an accident. This may also be for the Minister of Finance – that more money is allocated to road construction, among others. to midpoints.
ParlaMint-NO_2004-04-28.ana.ud2420e1548	The problem of suicide is – as the questioner is also concerned – complex. This government has, among other things: focussed on an increased need in psychology and youth psychiatry. What is involved in this is clearly an increasing problem. The numbers are uncertain, which is what the questioner is about. The last numbers we have from the SINTEF study are suggesting 9 pst. In any case, the Minister of Transport and the transport authorities have considered this to be such a serious problem, not least in relation to the innocent party, that initiatives have been taken to bring the industry together to assess what action can be taken, both to limit this phenomenon and, secondly, to limit the harm to the innocent party. It's usually the driver in a heavy-duty car who's only at work, who then experiences the nightmare it must be getting involved in such a tragic accident, which is a tragedy both by what's happening on the road, and by the fact that someone has wanted to put themselves and others in such a dangerous situation, by wanting to take their own life.
ParlaMint-NO_2004-04-28.ana.ud2420e1555	Once again, I thank the Council of State for its clarification. I am well pleased with what has been said. Nevertheless, I believe it is important that we raise this issue at the central Council level here, so that it is further illuminated. What I concluded with in my previous follow-up question was that maybe there might also be a little more money needed to secure, among other things. midsections on the roads. Now it's going to be spending a little bit of money on this in the period that comes, but 80 km of the total distance we have in Norway is not enough to prevent people from crossing the middle line and thus colliding with a heavy wagon train, if desired. I'm very pleased with the sum of the answers. I will, of course, follow this case further, because it is a big case, especially for the truck industry, which is struggling in many ways. It's also a big and heavy case for those who get involved in this way, by someone taking their life.
ParlaMint-NO_2004-04-28.ana.ud2420e1564	I have to convey these points of view to the Minister for Transport. But I would like to stress that the Government has increased the appropriations for the road sector. One of the priority areas is security, and it will also have an impact in this context.
ParlaMint-NO_2004-04-28.ana.ud2420e1573	This question, from the representative of Audun Bjørlo Lysbakken to the Minister for Local and Regional Affairs, will be answered by the Minister for Labour and Administration on behalf of the Minister for Local and Regional Affairs.
ParlaMint-NO_2004-04-28.ana.ud2420e1578	I would like to ask the following questions: ‘According to figures from the Debt Victims Alliance, over 220 municipalities across the country have engaged the debt collection agency Lindorff to collect unpaid municipal taxes. With high collection fees, this debt increases rapidly for those affected. In the municipality of Bærum, the collection methods of the debt collection agency have been criticised. The critics have considered that public authorities have a particular responsibility to respond to their own demands, because many will be targeted at disadvantaged people. Is the Council of State satisfied that the law provides for the private collection of debt to the public?’
ParlaMint-NO_2004-04-28.ana.ud2420e1587	My starting point is simple: both municipalities and county councils are required to provide the best possible services in terms of performance, price and quality within the framework of the legislation in force. For several municipal services, municipalities themselves may charge users for the service. If these are services the user is required to use, the payment is generally referred to as a fee or charge, e.g. fee for waste. The debt collection activity itself includes ‘recovery or continuous recovery of claims due for others’ and the purchase of claims due and their recovery, as set out below. Section 2 of the collection law. This law allows municipalities to leave debt collection companies to collect fees and charges through a regular out-of-court collection agency. However, I stress that the business of the debt collection agency is to be carried out within the framework of the law’s requirements for ‘good debt collection policy’. It would be contrary to good debt collection practice to use collection methods that expose some to unreasonable pressure, damage or inconvenience. My position is that it is entirely right to leave to the municipalities and the local people themselves to consider how to collect, whether they will do so themselves, or whether they will leave the collection to a debt collection agency, of course within the framework of the law that opens up. If, according to an overall assessment, the municipality is more able to leave the collection to a debt collection agency than to build a unit in the municipality that can carry out this activity itself, I see little reason to cut off the ability of the local elected representatives to make such a decision. There is reason to stress that the recovery will of course not be free if the municipality chooses to carry out the recovery itself. It must be in everyone's interest that the recovery of claims due is done at the lowest possible cost for the municipality and its inhabitants. This means that the service should be left to private persons if the municipality itself believes that private individuals can do the task better and more effectively than the municipality itself can do. As regards the consideration of those of the municipality's inhabitants who are in a difficult situation, I believe that they should be helped primarily in ways other than by a less effective recovery of claims due. It is fully possible to take care of the social aspect through the possibility that the municipality might have to comply with the requirements.
ParlaMint-NO_2004-04-28.ana.ud2420e1600	I thank you for your answer. I'm a little surprised that the Council of State doesn't have a more principled approach, or maybe that's exactly what the Council of State has. I think we are moving here in a border country as to what should be allowed to be privatised, and it is a fundamental question, which is not about what municipalities earn money on or not. It is clear that questions can be asked about whether it is profitable for a municipality to provide services, for example: local housing tenants, who are often going to be disadvantaged persons, make their debt grow sharply through the high collection salaries of some private companies. But first of all, this is about who is responsible for dealing with those who fall outside our society, and what is the best strategy to help them on their feet again – and whether it is public that can offer it, or whether it is Lindorff who can offer it. Does the Council of State think that we are not even approaching a frontier country here or a need for a borderline for what kind of tasks can be privatised?
ParlaMint-NO_2004-04-28.ana.ud2420e1611	In this case, we are far from the limit I believe it is natural to set for tasks that can be entrusted to private companies or not. A fundamental principle of the Government's approach to the local government sector and principles for the government's governance of the local government sector are, on our side, marked by trust. We want a great degree of decentralization. To a large extent, we want to give local politicians responsibility for developing good services to citizens without unnecessary state interference. Unlike the representative, Bjørlo Lysbakken, I have great confidence that local politicians in each municipality are able to choose the solutions that are served by the inhabitants, including in this area. I see no need to intervene in the ability of local politicians to choose their own solutions in relation to how municipal requirements are to be recovered.
ParlaMint-NO_2004-04-28.ana.ud2420e1618	The answer was so clear that further follow-up questions are not really necessary in addition to concluding that even though some solutions can give the municipalities more money, it is not that you can always put similarity between it and giving the best possible offer to those sitting at the bottom of the table, who make the most weak. I am afraid that as a result we will see a development in which we will have many complaints of the kind we have had in Bærum. I think it's also the department's task to follow up on this, and that it's not just a local responsibility.
ParlaMint-NO_2004-04-28.ana.ud2420e1625	In my meeting with local politicians, I learn that they lay more foundations than just monetary considerations. I meet local politicians who are concerned with the development of society as a whole, who are engaged in designing good services for their citizens and who do not facilitate services that make life difficult for them. I also have full confidence that local politicians, regardless of which party they represent in their local government, are well able to find out the good solutions, and I am committed to giving local democracy the greatest possible freedom of action to shape the good local offer.
ParlaMint-NO_2004-04-28.ana.ud2420e1636	I have allowed myself to ask the following questions to the Minister of Defence: ‘The decision has been taken to use Stavern clay by the police for course activities. Police districts are forced to pay rentals to Defence Buildings, among others. Oslo Police District pays $3 million. kr per year. In addition, defence construction costs so high that the Oslo police cannot afford to use the camp. Can the Council of State defend the fact that defence builds itself in this way and puts the police in an impossible economic situation?’
ParlaMint-NO_2004-04-28.ana.ud2420e1645	For the treatment of Inster. S. No 342 for 2000-2001, cf. St. pp. No 45 for 2000-2001, Stortinget decided that the Air Force Command School and the Air Force School Centre Stavern should be closed. As a result, Stavern’s clay was transferred to the Defence Building disposal project Change Property in the autumn of 2002. Following the initiative of the Ministry of Justice, a lease was concluded between the Ministry of Justice and Defence at Shifte Eiendom on 14 May 2003. The agreement ensured the continued use of Stavern clay as a competence and training centre for the justice sector. I would like to emphasise that the lease agreement today is based on pure cost coverage without profit margin and in line with the wishes of the Ministry of Justice. The rental shall cover the costs of Change of Property for buildings and open spaces in Stavern clay in proportion to the scope of the agreement. If the Ministry of Justice had paid less than cost-covering rent, it would mean subsidising the justice sector over the Ministry of Defence budget, and that is of course not the case. I know that the committee leader, Marit Nybakk, is well aware of economic challenges in the defence sector. As the contract manager on behalf of the Ministry of Justice, it is the Police College that deals with the rental conditions of individual users of the centre in Stavern. The cost of the course for the use of the Centre is therefore also an issue under the Ministry of Justice and not under the Shifting Property. Change Property relates to an overall lease with the Ministry of Justice, and it is therefore not a matter for Change Property to determine whether and to what extent the justice sector uses payment in its use of the Centre of Competence and Education in Stavern. I would also like to refer to questions to the Minister of Justice, Mr Dørum, who was answered by the Minister of Justice on 16 May and 22 May 2002 respectively, and to the meeting in Stortinget on 19 June 2002, on the very rental relationship with Stavern.
ParlaMint-NO_2004-04-28.ana.ud2420e1660	I thank the Council of State for the answer. In addition to the co-treatment mentioned by the Council of State, this was a topic when we dealt with the vulnerability message in the autumn of 2002. According to the Oslo police, they pay three times as much in the course fee at Stavern clay, which is owned by Defence Building – or Change Property, or whatever they choose to call it – as they pay when they use the former civil defence camp in North Odal, Hedmark, owned by Stadsbyg. According to the police, the camp in North Odal is also entirely satisfactory for course activities. In addition, Seats are also used in Kongsvinger. Now I understand that much of this is with the Minister of Justice, and that means I have to take this further there. But how can the Council of State at all defend, in any case, that there is such a price difference between what is owned and rented out of State Building and what is owned by Defence Building – and I now understand that it is a little unclear who is taking the price payment?
ParlaMint-NO_2004-04-28.ana.ud2420e1671	To the extent that it is not unclear who is charging the user payment for the Centre, it is the Ministry of Justice's underlying bodies. The agreement of Change Property is directly with the Ministry of Justice. The Ministry of Justice has asked the Police Directorate to manage the agreement, and the Police Directorate has again given the administration responsibility to the Police College. This is therefore in many ways a matter which falls within the constitutional sphere of another Council of State. What is my responsibility is to make sure that when the Defence Building rents out to another state agency or actor, there is a minimum cost-effective rent. It's the guidelines that we've accepted in the Stortinget in general, and that's the guidelines that we're dealing with. I am asking for understanding that in terms of details of pricing at user level in the justice sector, it is difficult for this Council of State to comment on it.
ParlaMint-NO_2004-04-28.ana.ud2420e1678	I understand. But there are at least two issues in this case. One is that alternatives other than those owned by Defence Buildings or Shifte Eiendom, including state ones, are more reasonable than those owned by Defence Buildings. That's the one problem. And it's serious enough, because it can mean that defense build prices out of the market. The second is that the police are charged rental costs to Stavern as part of the agreement mentioned by the Council of State. In the long term – after I have understood it – it is the case that both Stavern and Nord-Odal have to be upgraded to meet the demands of the police. According to information from the police, North Odal will make 25 million. kr to become a tip top practice centre, while Stavern clay has to be upgraded by 75 to 100 million. kr. I also mention this, because it might come in addition to the fact that you value yourself in Stavern. The question is whether it is correct that Stavern's camp, that is, under the control of Shifte Eiendom, is intended to be rusted up in this way. In that case, they must also be competitive with the police.
ParlaMint-NO_2004-04-28.ana.ud2420e1687	In this case, the Department of Justice will change ownership, and price negotiations will take place between the Department of Justice and the Department of Justice. In 2002, a lease was concluded for a one-year probationary period. The intentions and assumptions of the first agreement have been continued in a new lease from May 2003, with a ten-year lease term, with the right to a further ten-year extension. So it's not based on the market price. It is based on cost-effective rentals, on the costs of changing Property itself to operate individual buildings. No price adjustment other than a normal price increase has been made in line with the consumer price index. Of course, the extent to which defence construction can upgrade the plant according to the needs and wishes of the justice sector also depends on the extent to which the costs associated with it will be met in the future.
ParlaMint-NO_2004-04-28.ana.ud2420e1704	This question has been postponed to the next Question Time.
ParlaMint-NO_2004-04-28.ana.ud2420e1710	I have the honour to ask the Minister of Labour and Administration the following questions: «In budget entry. S. No 2 for 2003-2004 the Committee on Family, Cultural and Administrative Affairs, on the basis of a proposal from the Government, argued that state-run enterprises could continue their pension scheme in the State pension fund. The rationale was to take into account both the employees, the activities and the conversion of the public sector. What has happened to this until now, and what are the plans ahead to follow this up?’
ParlaMint-NO_2004-04-28.ana.ud2420e1719	In St. prp. No 1 for 2003-2004 the Ministry of Labour and Administration announces that they will consider opening the State Pension Fund to develop an adjusted gross pension product. I mean, budget-inner. S. No 2 for 2003-2004 gives the Storting its support. Following this treatment in Stortinget, as you know, the Pension Commission has submitted its recommendation. The government has announced that, in the light of the suspension of the Pension Commission, the Government will promote a downturnal message, and we intend to deliver it so that the Storting can deal with the new pension system in spring 2005. The Pension Commission has put our entire pension scheme into the cast. We're facing what's probably going to be big changes, and we're facing what I see as a fairly quick clarification of big, important questions about what our pension system is going to look like in the future. In the light of this recognition, I have considered the question of giving the State Pension Fund the opportunity to develop an adjusted gross pension product, but I have come to the conclusion that it does not seem appropriate at this stage. I would therefore like to await a further opening for product development in the State Pension Fund until our future pension system is clarified, and until the Stortinget has dealt with the announced growth message, hopefully already in the spring. Once the Storting has addressed the notification, we are familiar with the framework of the future pension scheme, and it provides better opportunity to assess what the product spectrum of the State Pension Fund should look like, well adapted to the future pension system.
ParlaMint-NO_2004-04-28.ana.ud2420e1737	I thank you for your answer. I still think there is something that is not entirely related here. The fact that the Johnsen Committee was set up and wanted to make a recommendation on the overall pension scheme in Norway was well known when the government presented the budget last autumn. It was the Government that, in its budget proposal, wanted the Stortingen to agree to develop the type of product to which the Council of State now refers. The size in the setting gave its connection to it. I can't believe the reason could be the Pension Commission's suspension. It was actually to come a little earlier, but at least it had to come in the spring of 2004, so it could not have been anything new when it was put down. I wonder if there might be other reasons why you are now choosing to put this on ice.
ParlaMint-NO_2004-04-28.ana.ud2420e1746	I want to underline what I said in my first answer. It is that in a situation where our entire pension system is in the loop, where we realize that after the downgrading treatment we are going to see quite extensive changes in the pension system, it does not seem appropriate from my point of view that the State Pension Fund is now running a product development related to the framework of the current pension system. I perceive that it would be appropriate to await the treatment of the Storting for the future pension scheme. It will provide the State Pension Fund with better opportunities to adapt its product spectrum to the future pension system.
ParlaMint-NO_2004-04-28.ana.ud2420e1751	I fully agree that of course this too must be seen in the context of our large pension scheme. But it's not like that when the government asks for membership of something from the Storting and Stortinget, so in its comments it gives quite clear leads for that to be done, that the Government itself can find out that no, we don't want to do it anyway – it's actually something that gives direction to the work to be done. The main question here is whether employees who have their plans in the State Pension Fund and who are then relocated by the fact that the organisation of the business is different should be able to continue their pension scheme in the State Pension Fund. It is not a question that may necessarily wait until the overall treatment of pensions is completed, at least until all the changes in the systems are in place. So I have two questions: is the Council of State in principle in agreement with the Stortinget's objective that employees who are being converted will still be able to maintain their arrangements in the State Pension Fund? And how can you ensure that if you wait for the entire pension reform to be implemented?
