ParlaMint-NO_2004-06-17.ana.ud979e245	The representative Audun Bjørlo Lighthouse will make a private proposal.
ParlaMint-NO_2004-06-17.ana.ud979e2317	The cord shift is over.
ParlaMint-NO_2004-06-17.ana.ud979e2320	First, briefly to the Council's reply to the reply. The year is student-proof as a right, and we in the Progress Party will at least reserve ourselves against an interpretation that gives a school owner - read municipalities - with a large number of schools the right to have the 25 pst., which is primarily to be part of the individual student's right and must be able to adapt to the individual student's training needs. If it is to be disposed of collectively by a municipality as a major school owner, there is an understanding we strongly reserve against. I take the floor again because I also want to talk about what is missing in the message. The term of office of the Quality Committee also includes the length of initial training. The mandate shall read as follows: "The selection shall determine and assess the length and extent of the initial training" And on the other hand, "In this context, the sample shall explain how freed resources by any means. 12-year-olds can be recovered in primary and secondary education to ensure and improve quality." A minority of seven in the Quality Committee recommended a reduction, pointing out that this could bring savings of up to $3.5 billion per year - $3,500 million. kr – money that would be earmarked by the minority for quality measures in initial training. A barely majority of nine rejected this and held on to 13 years. The ministry sweeps this away on page 50 of the announcement and at the same time sweeps away $3.5 billion. The propulsion party shall find the reasons applied for: "and it is difficult to establish that a reduction in the training course will not go beyond learning outcomes." It's today's arrangement that affects learning outcomes. Today's school and today's school run are characterized by mediocre results and a school full of trials. A school full of trials is a school looking for its task - a disturbing sign of illness. It is disappointing that the other parties in the committee also jump over this issue. The Progress Party is behind the minority in the Quality Committee and proposes a change to nine-year-old primary school. The notification also does not deal with the funding system for initial training. The quality selection did it. The committee noted that today’s funding system is under pressure for various reasons, mainly because of the financial framework and priorities that local authorities across the country have been doing for many years. We see it most clearly in high school, which also has a large student increase. The quality committee pointed to two possible directions - continued framework funding, but with designation or price. On unit prices, the Quality Committee states that it provides freer user choices, better cost-effectiveness, greater competition and ensuring real and correct demand. The party of progress shares that view. Our financing model has been and is still price financing, and we are once again promoting proposals for such a model. The Party of Progress is committed to strengthening the supervisory role when the degree of freedom is increased. We want to increase parental influence in school and to include a supervisory role alongside other supervisory authorities. The Party wishes to see an oversight not based on the State Training Office carried on under the umbrella of the State. The Progress Party will have a new oversight released from the State, the School Directorate and the Ministry. The foreground lot will have a stand-alone and independent oversight, which shall have an inspection role and oversee the quality work. The Progress Party wants the supervisory work to be carried out at individual schools, not only at private schools, but also at individual public schools. The quality committee recommends changes in teacher training despite the fact that in spring 2002, the Stortinget dealt with teacher training. Different basic training for teachers is recommended and professional skills is re-introduced into education. Ministry refuses to make changes. The Party disagrees with this and proposes, once again, that the training of general teachers be extended to five years, the first three being compulsory and qualified for education in the first four classes. The Communication underlines the need to ensure a significant level of competence for teachers and school leaders in order to achieve the main objectives. Between 2 and 3 billion kroner will cost, as I was in my reply to the Council of State. It becomes too unobligatory and too weak when the department then refers to annual budgets. In the view of the Progress Party, an obligatory plan of skills enhancement must be presented which can provide trust for school owners, school managers, teachers and parents. The Progress Party is pleased that the Workers' Party, SV and the Centre are in agreement with us in this and support our proposal to have such a progress plan.
ParlaMint-NO_2004-06-17.ana.ud979e2362	This is about our future, about what skills and tools we're going to give our children to master life and the future. For SV, it is important to create a school that places the student in the centre, which provides each student with organized training and which provides equal opportunities and equal rights to education. Public high school is at the heart of our society. Who does not remember the first day of school, with expectations and excitement and dreams about the future? But we have a school that quickly crushes these dreams too many. The school evaluation shows that school today creates systematic differences for children from different homes. We have a school that creates losers and winners. The biggest challenge in school today is to do something about the differences between students with different backgrounds. After graduation, students face a reality with countless sources of information that they need to be able to use and assess critically. They will meet demands for both innovation and initiatives and to be able to cooperate with others on problem solving. In order to be able to cope with the future of work and society, students must therefore leave school with a wide range of competences. A competence that is not adopted today is cultural competence. Cultural competence is essential for the interpretation and interpretation of a complex society and a condition for acquiring the diversity of expressions encountered. Cultural awareness is important both for young people’s orientation and for their ability to create creativity, innovation and wealth of ideas. Art and cultural expressions enhance emotions and promote both reflection, spontaneity and the capacity for innovation. This is essential for a knowledge-based and competitive business. It's important to bet on culture in school. In the future, mastering cultural competences will become more important and important. That's why I'm not a little shocked that the majority doesn't want cultural competence as one of the primary competences in primary school. I am pleased that Stortinget agrees that technology and design should be part of the childhood and childhood training. Technology has a central place in society and everyday life, and is a driving force in the creation of value, social development and the design of life for each of us. In the setting, the Committee writes beautifully about ICT, technology and design. If this had been as important as the majority says, the tools needed to do this would have been used. SV does it. SV believes, like the rest of the Stortinget, that the subject should be multidisciplinary, but united and anchored in a separate curriculum. The experience of Reform 97 shows that technology as a subject area easily disappears if it becomes part of other subjects. The government also proposes only to integrate technology and design into a few subjects, such as real science and the arts and crafts. SV wants this into all disciplines. It is essential that each school has teachers with sufficient skills to provide guidance on the multidisciplinary topic. This means that good technology training will require continuing training of teachers and the development of new learning materials and equipment. The decision today is to introduce technology and design, but only in a small drop. It is very half-hearted, although we know that this subject is very successful in countries around us and that it is forward-looking. SV believes that this is such an important and forward-looking subject that we want to bet on it. But it costs to bet. SV has the money. The size is today going to say in the setting that the school libraries will have a central place in the training. This gives students a reading mind, stimulates self-help, and promotes good working habits, reading and professional depression. Students need to acquire information skills. In its statement, the majority of the Committee argues that the school libraries already play an important role as the arena for developing skills in learning strategies, media literacy and source criticism. The Committee also considers it natural that the school libraries should be further developed to make them a central learning venue. I think of this as strong signals, or as a message to the Government from the Storting that in future budgets, a strengthening of the school libraries and finding other ways to strengthen the libraries. Studies today show that many school students have little access to school libraries and that the quality of supply in many places is very low. We have to get a school that's full of books. SV wants an inclusive public school with more time for each individual student and a practical and real-life training. Unlike the Government, we are willing to give priority to the school in front of tax relief and to provide the school with a liberal economic framework. SV proposes measures that will be effective to improve the ability of public schools to take care of all pupils and provide them with modern and forward-looking education.
ParlaMint-NO_2004-06-17.ana.ud979e2385	St.meld. No 30 is exciting reading. It gives Norwegian school a new direction by emphasising and focusing on the school as a knowledge intermediary and by strengthening local freedom of action and the individual teacher’s freedom of method. The Committee's position shows that there is agreement on important road choices for Norwegian schools, while in several areas there is real disagreement. For my part, I am not sorry that this disagreement is coming to light. I think it is important to show clearly that there is disagreement as to which way the school should go, that there is disagreement as to which knowledge to base, that there is disagreement as to how much to focus on the role of the school as a knowledge provider, that there is disagreement as to how important it is to set quality standards and to follow up on the work to improve quality. The approach shows that clear policy lines cross Norwegian school policies. For the Right, it is important to stress that we want a school that should have its main task as a knowledge intermediary. The students go to school to learn, to get knowledge. This does not happen at the expense of the school’s social pedagogical task. The student's sense of security and well-being at school does not depend on not getting knowledge. That's what sometimes sounds like. No, increasing learning outcomes increases security. It is therefore important to stress the requirement for quality in education, to strengthen the skills of teachers and school leaders, and to make school owners aware of the content and quality of the school. A school that gives room for local freedom of action, while giving schools the freedom of method, will lay the basis for this. The whole message is permeated by the desire for local freedom of action. That's right. That's right. The removal of the so-called "Broen" gives teachers the freedom of method again. Freedom of method is not scary, as claimed by one of the hearing bodies during the Committee’s hearing. The freedom of method is to release the creativity of the teachers. It's raising the skills of the teachers. It's increasing the quality of teaching. By enabling up to 25 pst to be disposed of. the number of hours locally provided for the possibility to organise the teaching in relation to local conditions. This could be a boost for adapted training. I would like to stress the Committee's comment that in practice it must be the individual school that determines how these hours are to be spent. The intention of this point is not for municipalities to make decisions that lock these hours for each school. The school knows where the shoe prints. Schools are best placed to make the right and reasonable decisions. The basic skills are important for all students. Reading, writing, calculating, expressing itself verbally and being able to use digital tools are essential to enable the necessary competences to be acquired. It is therefore important that these basic skills are now clarified as so important that they have to penetrate the whole school and start at the first stage. This is not a substitute for the overall build-up of competences. The school will continue to play an important role in many areas, but the acquisition of basic skills is actually a prerequisite for the desired building of individual competences. The increase in the number of hours spent in childhood, the introduction of mandatory 2nd foreign languages at secondary school and the strengthening of the requirements for general study competence are all elements of higher quality. I admit that I was initially skeptical of the proposal for mandatory second foreign language at high school. My 29 years of experience in school may have come out here. However, I have come to the conclusion that with the device 2nd foreign language, with a much greater emphasis on practical skills, this is a correct grip. But if one is to succeed, the practical device must become a reality. It requires the training of foreign language teachers and, in the near future, the re-training of foreign language teachers in secondary school. I therefore assume that this subject is given priority by means of the development of competences. I also refer to the Committee's comments on exemptions in the second foreign language. It is important that the right to special education is maintained by the Training Act. The legal certainty of the students is thus ensured. At the same time, however, there must be a target to reduce its use. There can be no doubt that a large number of pupils who are now being trained by single decision could have met their needs through adapted training. Finally, a little bit about the side objective: the government’s proposal for continued written secondary education, the absence of the secondary education examination at primary school and the secondary objectives as a draft subject in secondary school are established. When measuring the knowledge of the entire Norwegian subject through the examination, it is natural that the individual parts of the subject are measured. The lateral dimension is such a part. It is therefore natural that this subject also gets its part of the examination task. However, there must be no doubt that the main language is the most important and must constitute the most essential part of the examination task. I have a good feeling after the treatment of the Storing Message. It's a Norwegian school lift. It adjusts the course, and it leads the school on a more correct path. But now the message has to be followed up. The school must use its local space for action.
ParlaMint-NO_2004-06-17.ana.ud979e2406	There is a lot of good in Norwegian school today. That is the starting point for the message. Our common challenges are to make the school better. The message states that the common ball, for which the Labour Party has worked, has worked. The message further determines that basic education is good and that most students leave school with a good learning outcomes. However, the evaluation of Reform 97 shows that we have not been closed in realizing the ideal of training adapted to each individual student. Taking up further is an important challenge. Such is the reality, not as the Right parliamentary leader, Oddvard Nilsen, has repeated in some reading posts around the country, that the school is in ruins. The ball is good in a lot of areas. The ball is among our most important social institutions. That's why it's important that the school meet the challenges of a more knowledge-driven society, which we now have. Teachers are the school's most important resource. Therefore, they must also have the necessary skills. In the Labour Party, we believe that introducing a basic competence as part of the holistic competence that the school is going to develop is very important. However, the Labour Party would stress that cultural skills and understanding need to be more closely involved in basic competence. Cultural competences are important in order to function in the complex society that we have subsequently acquired. So I'll say a little bit about the side measure. I wish that one didn't make any changes to the system that we have today, with a main goal and a side goal. But for the Right, it was probably an ideological question to reduce the meaning of the side goal, read in a new way. In the Labour Party we had the choice to stand on that we wouldn't have any change in today's system, and then left to the government party to get multiple numbers with the Advance Party to weaken the new Norse in the School. The Labour Party chose to reach a compromise that would prevent the Government from getting an impact on its primary position. The Norwegian language is one subject with two symstilized writing languages, nine Norse and book goals. There's no doubt that both of these writings have made our language richer. If this is to happen, it is absolutely necessary for all students to be familiar with and be able to use both forms of font. The background to the system of side objectives is the principle of balancing between both objectives, and it is 1885. This means that all public bodies should be able to use nynostic and book targets, and that means that all employees in state-owned establishments should master both the nynostic and book targets. If this is to happen, there has to be training in both the target forms, and that's what this compromise points out, that we have two even-faced writing languages. I think there's a much better option on the table today than the one that the government came with. That is why it can be defended. National samples shall be progressively substituted for take-off samples. I wrote that down. New curricula are to be developed for the Norwegian profession, both in the main and in the side. It's part of the premiscuous basis for getting involved and reducing something on the scope of the side-by-side exam. I think it's done a good job to improve the starting point that the government provided, and I'm happy with that.
ParlaMint-NO_2004-06-17.ana.ud979e2429	The education debate in Norway has changed considerably in recent years. The 1990s was the decade of the educational structure, while the 2000s have become the decade of content. That it was necessary, I have not heard any protests about, and it delights the Right that the very quality of the education the children receive is mainly today. Norway was in many ways taken a little to bed in international comparative studies, and in particular the OECD PISA study gave School-Norway a thinker. The results of this survey showed great differences in levels between students, and they clearly showed that the single school has failed to give everyone the opportunity in life that we all hope for. Recent studies have also shown that the school in Norway has a potential for improvement. Of course, it has not been entirely agreed on how the improvements should be done, but the big message "Culture for learning" answers in the Right's view all the questions about what should be changed in Norwegian school. There is a strong consensus that the role and competence of the teacher is important for Norwegian school. For this reason, the Government proposes a large package of skills for teachers and to impose admission requirements on students applying for the higher education institutions. It's no secret that being a teacher is demanding. The right person with the right skills is the recipe for a good teacher, and to achieve it, action is required from us who have political responsibility. In the opinion of the Right, the teacher competence package and more stringent admission requirements for teacher students are very accurate in order to make Norwegian teachers even better equipped to meet tomorrow's school. Tomorrow's school is, in the Right's opinion, a school where, among other things. policy-makers shall stop detailing how teachers are to be taught. In the Right School, there is freedom of speech, and the teacher has to decide how to teach the children. The teacher may use his pedagogical knowledge in his classroom in his own way. Several studies show that too many Norwegian children can read and write too poorly. This is a challenge the Right takes seriously and does something with it. Reading and writing is central through the basic skills that will penetrate all disciplines. Too many times we've heard of students going through Norwegian school without being able to read and write properly, and this requires action by politicians. Students must now start reading and writing training from the first class and must be tested several times through national examinations through their schooling. This is done to provide a good basis for early education and to ensure that the school can correct training. Everyone is then given a chance to master at least the basic skills, such as: reading and writing are. The concept of knowledge has been discussed in the context of the processing of the Storing message "Culture for learning". For the Right, knowledge is important when you want to raise the quality of school. Increasing the level of knowledge of students is important both for individuals and for the nation of Norway. Knowledge is power, it is claimed, and knowledge is important for people to evolve further. In addition, international competition is increasing every year. If Norway is to be able to claim itself in the world, which we all want, we must ensure that the children get the best possible knowledge through their schooling. These are of course the things that we all agree with, but that's exactly why it surprises me that some parties are against, among other things. compulsory 2nd foreign languages in secondary school and more mathematics in preparatory studies at secondary level. In the Right's view, the school is a place primarily for learning, not just for being. The Storting message "Culture for Learning" is in many ways a switch from system thinking to content thinking for the Norwegian school. The right has always wanted a greater focus on what is actually happening inside the classrooms, but unfortunately this hasn't been too central before the Cooperation Government joined. Quality enhancement is a much more difficult political approach than structural change is. Sometimes this is related, while sometimes changes in methods and changes in content are required. Today, the government is given a majority for its school reform. It is therefore a great day for Norwegian school. When in addition to the high school today is buried once and for all, there is a school at the premise of the six-year-olds starting in the future.
ParlaMint-NO_2004-06-17.ana.ud979e2453	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2004-06-17.ana.ud979e2456	A few hours ago, I was involved in a debate on the communicative proposition. There was a lot of talk about economics, especially about the economy of municipalities and county municipalities, and it was said that we can't afford to give a good enough offer to the inhabitants, including. in-school. The Progress Party has the solution. But there was and is little will to discuss it. What's better than through the state budget making a setup where the money follows the student, i.e. what's referred to as a piece price or student resource? After all, when the class concept disappears, the best solution is to replace a class resource with a student resource. Schools may publish the offerings they have the competence to publish. They may, on the basis of applications, initiate the offers they have at their disposal. Schools are paid for each individual student, from the state, according to which offer the student chooses. Upland counties have introduced a unit price. We've put a basic amount on each school at the bottom. Then we've put in a discretionary grant that will take care of unforeseen things and changes, and then we have a clean price of 70 pst. of the entire funding. In addition, students with special needs shall be fully funded. Schools are positive to this model, as it gives schools freedom and challenges. That's what the schools want, but that's probably what the appeal point of the Workers' Party and SV is. The best thing about such a solution is that the economy no longer becomes a problem, and that the student gets to choose the direction of study they want to take, and where they want to take it. The money comes with the student. Finally, I would just like to mention that the unit price was introduced in high school in Oppland, among other things. support also from the Workers' Party.
ParlaMint-NO_2004-06-17.ana.ud979e2469	I have to be allowed to spend a few minutes on a couple of themes that are not affected by Right-wing speakers. First, in the case of these 158 schools that are going to have too high averages on group sizes, it's said that this was something we heard this week. That's actually not right. This is carefully described and explained in the Storing Message. I refer to page 92. There's a lot about this. So a little bit about advice. What is important is that the schools should have local freedom to organise the advisory service. The question of shared service or common social pedagogical and professional counselling must be decided locally. It must be a local task both to organise the advisory service and to provide the advisory service with a good framework. It is important that the counselling service has to have a solid foundation in each school. It gives closeness to students and counselors, and then gives best advice. This is actually an area that I think I have something to do with. I myself have been an adviser in high school for over ten years. So some words about parental cooperation. Right wants a school-home collaboration that gives parents real help. Therefore, we strongly underline this in a comment in the setting, "real participation". We also want legal parents' councils. Although there are few alternatives to parental councils, the effective involvement of parents is not ensured by the legislative cooperation committees. These samples work very differently in different schools, from very good to incredibly bad. Where this works well, it should continue, but otherwise this should be organised in different ways locally. However, real participation shall be ensured for parents. This is actually also an area I think I have a certain competence to comment on. As a father, a teacher and a principal in a high school, I have seen how cooperation committees can work and how they shouldn't work. I must say that I am disappointed that we do not get a majority for this. Local freedom at this point would strengthen the real contribution of parents. Now this will continue to be organised in several places through a non-functioning, sleeping, but legal cooperation committee.
ParlaMint-NO_2004-06-17.ana.ud979e2482	The most important thing about the message is that we now want to highlight the school as a learning organisation. We want to create a culture for learning. The government has also provided a message that has taken the main flows in Norwegian school, and the message has been well received. The Communication follows the direction of the Quality Committee's proposal, but in close proximity to all the proposals proposed by the Quality Committee. In essential respects, the notification also deviates from the quality committee’s proposal, for example: in the case of special education, and also in the case of the basic concept of competence. But the government is today getting in touch with the notification, and gets most proposals through with a varying majority. It is in the debate that tried to draw up dividing lines that seem somewhat upbuilt and rhetorically exaggerated on me. The claim of different human views seems to me to take cake, especially when it is linked to professional and study preparation. The Christian People's Party's view of humanity is independent of this, and underlines human dignity independently of profession or study. The representative Reikvam's justification for different human views creates confusion as to what the SV's human vision is, and should be made absolutely clear. The knowledge view of the Christian People's Party also focuses on an overall competence in which generalisation and skills go hand in hand. We are very familiar with the general curriculum, which will be passed on. In the Quality Committee consultation round, their basic competence is very much criticised. Among other things, in my opinion, they are denying the ethical competence that it is desirable to raise. The Christian People's Party believes that the basic competence of the Quality Committee was neither elucidating nor precise enough in relation to our whole learning vision. Focusing on basic skills, as well as ethical social and cultural competence, provides an overall competence to master life and challenge. Developing quality in school is best done locally. School-based assessment will continue, but the Quality Committee also proposed the development of a national quality assurance system, including national tests. The Socialist Left Party agreed with this. Also in St. Report. No 28 for 1998-1999, Towards richer objectives, national tests were discussed. I therefore believe that St. Announce. No 28 provided the basis for multi-agent thinking to ensure good quality, including national tests. I think the message and today's decision will create a better school.
ParlaMint-NO_2004-06-17.ana.ud979e2493	One of the happy features of today's big news is that the teacher's fundamental role and the very fundamental role of teacher training in a good school are highlighted more clearly than ever before. I allow myself in that context a slight element of the meeting with forgotten years. Prior to the 2001 enlargement elections, I stated in a newspaper interview that it might be a good idea to set professional minimum standards at the entrance to teacher training. It triggered something near a national kingdom. Today, there is a broad consensus that this is a rather self-evident idea, and there are good reasons to hope that the learning process is gradually speeding up in Norwegian society in general. So a little comment on the question of Norwegian training. We are struggling with a rather heavy legacy in this area that is embedded in the apparent contradiction that the principle is that our two official target forms should be equal, and that they should be treated in the same way on the one hand, and on the other hand, a terminology that calls out a long way about the opposite, namely, the main objectives and the side objectives of terminology. It's in itself a terminology that at best is unfortunate, at worst directly misleading to the mind. At my discretion, it is gratifying that we are taking a step towards strengthening and improving Norwegian training, as we do with this message. I am convinced that, in particular, the new Norse is served by the fact that the volume of synthetically produced side goals is reduced over time - whether it is guaranteed to be a deadline for the new, it is to continue that policy - and that instead of laying the foundation for a new and forward-looking policy, where the principle should be that no Norwegian citizen should in any context be forced to write any form of Norwegian other than the one he himself has freely chosen, feels familiar with and masters.
ParlaMint-NO_2004-06-17.ana.ud979e2500	Following Mr Olsen's statement, I feel the need to clarify something in relation to the counselling service, because he said that the question of whether the counselling service should be shared “must be decided locally”. That's right with regard to high school, but the majority of the committee is very clear here, and I quote: "The majority believe that the counselling service should be divided into a part of vocational and educational guidance and a part of psychosocial counselling in the field of secondary education." This is entirely in line with what the Centre Party proposed a year ago in a Document No. Eight proposals, and we are very pleased that the majority of the committee has come to this solution. In addition, it is also stressed that counselling is something that needs to be ensured in business plans, i.e. in school management, so that it becomes a natural part of the school’s work, and that it is something that needs to be continuous in high school and high school.
ParlaMint-NO_2004-06-17.ana.ud979e2510	The representative Arne Sortevik has spoken twice in this debate and is now given the floor for a brief comment.
ParlaMint-NO_2004-06-17.ana.ud979e2513	The note is related to lateral dimensions. We think that the names "main goals" and "side goals" are good terms, but they have to be used like this. And we also think that those who choose will realize that that's what they choose, that's between the main and the side dimensions. But quite specifically, I will refer to St.meld. No 30, page 43, where the Ministry assesses that: "If the students are withdrawn from the Norwegian course for a written examination at primary school, the pupils shall be tested only in the main course of study." In this language policy backlash, the government parties and the Workers' Party have now changed to the ‘one written Norwegian exam’, where the side target is to be included as a sub-element. It's something quite different, and we also think that parents and students will respond when it comes to what this actually means.
ParlaMint-NO_2004-06-17.ana.ud979e2523	I now want to sum it up this way at the bottom of the debate: the government is well informed about its school message. It surprises me that you're trying to create the big dividing lines here when a unanimous committee "considers that as well generalisation as mastering skills are essential for working, social and private life. The school shall develop the whole human being through work on values, ethics and culture. The Committee considers that the basic skills are not contrary to, and should not be at the expense of, the general education". When the representative Reikvam repeats and repeats that the government only focuses on skills and has a one-sided knowledge view, this does not match what we have achieved in a unanimous committee comment. He also elaborates on what the Quality Committee said about basic competence, but he also has to add something, so they haven't found the final expression. I want to quote what Helga Hjetland says in the magazine "Education": "The concept of basic competence in the setting up of the quality committee contained both skills and attitudes. Focusing on skills is more honest than slipping everything into one concept. This does not mean that education is not an important concept. The school's social mandate and purpose clarify the school's broad perspectives and tasks, and we must maintain that." School-Norway is pleased with the school message that has been submitted. With regard to the setting that we are discussing today, we have come up with many unanimous remarks. The Government Parties, together with the Advancement Party, are in favour of what Helga Hjetland summarises that they have achieved, namely a particularly positive level of competence, we have achieved a mandatory and practically targeted second language of youth, increased requirements for study competence, assessment of admission requirements for teacher training, a pamphlet system for newly trained teachers and the right to special education. The Christian People's Party is particularly pleased that we can still have a general part with us, and a unanimous committee also agrees with that. The Christian People's Party is based on a human vision that says that all people are equally worth it. That's why we want an equivalent school, with adapted training for everyone. In general, it is precisely said that the birthing should be based on fundamental Christian and humanistic values. We want to make a good school better, and the main priority now is the lifting of competences for the teachers. Plato said it this way: A good teacher writes not his message with ink that fades, but in people.
ParlaMint-NO_2004-06-17.ana.ud979e2544	Several have not asked for the floor for case No. 12 and 13. [[See pages 3488 and 3491]]
ParlaMint-NO_2004-06-17.ana.ud979e2559	No one has asked for the floor. [[See page 3492]]
ParlaMint-NO_2004-06-17.ana.ud979e2576	No one has asked for the floor. [[See page 3492]]
ParlaMint-NO_2004-06-17.ana.ud979e2591	No one has asked for the floor. [[See page 3492]]
ParlaMint-NO_2004-06-17.ana.ud979e2606	No one has asked for the floor.
ParlaMint-NO_2004-06-17.ana.ud979e2623	Fishing safety training has been mandatory since 1989. The fishing industry has, throughout history, been a profession that has been affected by many serious accidents. When introducing mandatory safety training, the number of accidents has fallen considerably and is currently at a stable lower figure than before. Preventing accidents through training appears to have been an effective tool, to the best of both fishermen and their families. The structure of the security training offer is mainly organised in two ways. One is an ambulance vessel offering courses at different locations along the coast. The second is six permanent coastal safety centres providing the same training. The courses offered are initial training, repetition courses which must be repeated every seven years. 1 723 fishermen took one of these courses last year. The State allocation for this purpose was 16,227 million in 2003. NOK, of which SEK 9.2 million went for the operation of the ambulance vessel. Fishermen over the age of 20 today pay a share of the training. The question that will come forward in the future is how much fishermen themselves will pay out of security training and how to organise the offers in the future. These questions are addressed by the majority of the Committee, and the Government is asked to return to the Grand Duchy with its opinions. The minority in the committee wants to preserve today's system, which I expect the minority will explain. To the right, there are two things that are important when discussing safety training for fishermen. One is that there is a good quality offer and that the fisherman does not have to pay more than the maximum necessary to obtain that offer. It is therefore important to look at current organisation and agreements and consider other solutions to them. It is also important that fishermen receive an offer that is within the cost framework, which should preferably be better than they are today. I note that the minority wants everything to be as it is today. The right believes that all possibilities have to be looked at, in order to ensure a good offer within as low a cost as possible for the state and fishermen. Safety training has worked satisfactorily under today's model, but it must not prevent the Department and the Storting from looking at other solutions that can work better.
ParlaMint-NO_2004-06-17.ana.ud979e2640	The fishing industry is demanding. It is a profession where people challenge nature, it is a profession that is risky, and where the possibility of life loss will always be present. Good seafarership and knowledge of fishing and fishing, as well as the experience of generations of life at sea, contribute to secure safety on board. But it wasn't until the safety training for the fishermen started that the number of people killed at sea went down. When the training started in 1989, approximately 30 fishermen each year at sea. The number of deaths has gradually decreased, and in the last five years the loss rate has ranged from eight to ten per person. years. An interim evaluation of the training shows that a significant reason for the severe reduction in the number of fatal accidents is good safety training. Training is compulsory for all those who are required to work on fish-registered vessels and has been fully financed since the start. The basic course has been free, but there has been a certain proportion of the rehearsal course. The government proposed in St. prp. No 1 for 2003-2004 to wind up the State contribution to the safety training of fishermen in 2004. Both the SV, the Central Party, the Advance Party and the Workers' Party wanted to continue the scheme, and the final budget agreement added another 3 million. kr in this item to prevent winding-up. The working party believes that offering fishermen safety training is a public task. There is reason to recall the majority comment in the budget input. No 12 for 2002-2003, where the Labour Party, SV, the Centre Party, the representative Simonsen and the Progress Party - and also the Progress Party - stated the following: "This majority believes that the training vessel is essential to provide fishermen with good training. "And this majority proposes that the safety training of fishermen be continued in their present form and with the training vessel." This was also the reason why these parties promoted a private proposal, which reads: "The decision asks the Government to ensure that the security training of fishermen is financed so that the scheme is continued." It is essential that training is now clarified in terms of funding and further operations. The uncertainty experienced by both fishermen and those working on this training is unworthy and serves no purpose. It is therefore very regrettable, but perhaps not so surprising, that the Progress Party has now turned its back on what they have promised in the past. In the position to be taken by the Stortinge today, the Progress Party suddenly believes that the Ministry should look at today's organisation and evaluate different models, including funding. That is why there is reason to challenge the Progress Party on what they actually think about the security training. How can it be that the Progress Party only a few months ago wanted the scheme to continue in its present form, while they now want the Ministry to assess different arrangements? How serious is the Progress Party, in fact, about its own comments? I expect the Progress Party to clarify this in the course of the debate. The question is very important to the fishermen from Lindesnes and to Grense-Jakobsev. The working party will therefore once again refer to its original position. In contrast to the Progress Party, we maintain our proposal, namely: "Safety training for fishermen is maintained and continued in its current form." The government, together with the Progress Party, will get a majority to start an investigation of the organisation and funding. But I urge the strong Council of State that the work on assessing the organisation and funding is carried out in close cooperation with fishermen's own organisations. I'm addressing the minority proposal from the Workers' Party, SV and the Center Party.
ParlaMint-NO_2004-06-17.ana.ud979e2677	The representative Eva M. Nielsen has taken up the proposal she herself referred to.
ParlaMint-NO_2004-06-17.ana.ud979e2680	The Party of Progress has secured this mechanism for several years when it has been under attack. We have also been concerned about securing it this year, in 2004, as there was no money for a whole year. It is ensured by the revised national budget. We are committed to securing future arrangements, and we will do so after having received a thorough review of both current and possible future solutions. We are satisfied with the conclusion of the vote, and I believe that fishermen too can be satisfied with the conclusion.
ParlaMint-NO_2004-06-17.ana.ud979e2689	Several have not asked for the floor on case No. 18th@item: inlistbox Then Stortinget will end the morning meeting. [[See page 3492]] The President will draw attention to the fact that when a new meeting is set at 5 p.m. 18, it will be suggested that cases No. 34 and 35 are listed first.
