ParlaMint-NO_2004-12-07.ana.ud735e44	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2004-12-07.ana.ud735e1332	I am very pleased that the Boknafjord connection and the Tau connection get more ferry departures after the budget agreement between the Advance Party and the government parties. There's four million left over. kr extra to the Boknafjord connection and 5 million. kr extra to the Tau connection. This will mean an extra ferry to the Tau connection, and there will be extra take-offs with existing ferries in the Boknafjord connection. The drivers in Rogaland are waiting for hours on the ferries in the two connections, and we sit over both one and two ferries and three ferries. This has led to a strong commitment to change this situation. Both individuals and businesses have been heavily affected by too poor an offer. That is why this budget has been received with joy among all those who depend on these two important links. However, I would like to stress that the long-term solution to these two main problems is Ryfast and Rogfast. However, in an interpellation debate on the holiday offer on 18 November this year, I highlighted the importance of also finding a flexible solution in relation to the Hjelmeland connection. In this context, there is a need for small adjustments to ensure that a key business to which the salmon slaughterhouse is connected is better aligned with their operations. Here we are talking about very important jobs in the district. Municipalities and municipalities have tried to bring the Vegvesen on a spice layer to ensure the necessary adjustment of the frequency, but have found little flexibility. Here's a few hundred thousand dollars. In the budget agreement, the two major ferry links in the region are ensured a significantly better frequency. This has also been the highest priority of local authorities. But I would like to ask the Minister for Transport to open up a flexible use of some of these funds to the Hjelmeland connection if the solution to the other two connections becomes somewhat more reasonable than assumed. Of course, then, there must be a reason why the offer in these connections is no worse than what is intended. But there's a reason to think that maybe the solution to the Bokenfjord connection could cost a little less than $4 million. kr.
ParlaMint-NO_2004-12-07.ana.ud735e1343	This year's pluralization by the Committee on Transport tells of major dramatic changes that have occurred and that will happen. I hope it's this government post-ludium. My feelings tell me that ideology is going first – several steps lead to taking care of the workers and the dishes that have been negotiated. In my previous life, I was also an employer. There was the unwritten rule that if everyone played on layers, one got out the best and maximum of each other. The way this government takes care of its additions is quite the opposite. The more insecure and unsafe they are in relation to their work situation, the better. Someone even talks about temporary addition being a good one, but for who? That's why many people are going on demonstration trains today. The working party has a completely different approach to adding, fortunately. The working party has 1 million. kr more for transport purposes – mostly by road, of course. However, in order to stimulate regional policy instruments, we believe that the road charge for the carriage of vehicles by rail must be removed. The margins in the forestry industry are very small. That's what we were told on the earring. In real policy, it is natural for us to propose that that fee should be removed. The discussion has been between the NSB AS and the Ministry on the amount of VAT compensation that will be incurred by the NSB. The committee has asked several questions in that lead, more questions without any good answers. The working party finds that it is not so easy to get the fasitiv at this point in time, but has expressed, in a note, that if the NSB is right, it divides about 50 million. kr., the ministry has to come back with the promise in the revised budget for spring, otherwise we can't expect to get the train production that we were supposed to get. So we can't get a bigger train production than what we're financing. I hope the Council of State can give an answer as to whether it is willing to look at it in the revised version. So a little visit to the National Council on Watches, which is now to be removed. In Hallingdal we don't have a good bus offer as it is now. There's one bus a day, which might also be gone, and then the car becomes the alternative. There'll be a fight. The train we want! It is gratifying that the Progress Party, after years with resistance to the importance of Rv. 50 Hol-Aurland, really got his bucket pants on and let me get 1 million. kr. Now there will be no more night closures or closures like hanging over the mountains. Joy is great. I'm glad that a year's battle from the Workers' Party has been successful. Now it won't be like the third candidate from Høge said, that Upper Hallingdal will be a snowy ridge.
ParlaMint-NO_2004-12-07.ana.ud735e1360	This government is betting on environment and security, said the Council of State. Yes, councillor! All those who have had the hope that the sitting government with a Minister of Transport from the Left will be betting on the railways are disappointed today. I don't know the environmental party left from the time I sat in the transportation committee. Now the Right Party and the Advance Party have eaten up the entire Left Party. There is only one answer to everything: privatisation and outsourcing. There has never been any greater concern about Norwegian railway policy. And I can't read out of this budget or of the odelstningsproposition any good reason or any good economy in the outsourcing and transformation of the railway works' production activities. It seems quite incomprehensible that you really take money from the investments to the railway to pay for the competitive outsourcing. People who really know the railways in Norway get fired. A 1 000 year's worth of work is to be lost. In the Workers' Party, we're very concerned about the robbery government is now running on people in state agencies. In the social committee, we closely follow developments in the number of people who are sick, reintroduced or disabled. In that row, too many people come from state enterprises. It's going to be more. Competitive outsourcing may bring benefits in one area, but at least it leads to heavy expenditure on the social security budget. I'm glad my party goes against this. The railway works' professionals are being dismissed, and they argue that the railway should be safer than ever. Yeah, you know what! I don't believe that. So instead of betting on a modern railway in Norway and taking a power roof for the railway, the government chooses this. So instead of increasing the appropriations for the railways, as the majority in the Grand Duchy has given way, the Government is lowering the appropriations, with the support of the Advance Party. In Telemark, we have been very pleased that the majority in the NTP adopted NOK 10 billion more for the railway during the planning period. It will provide rooms for the construction of, among others. Eidanger tunnel during the planning period. So we're assuming that the planning of this tunnel continues. If you want to bet on the railways in Norway at all, this is a profitable national project. It is quite incomprehensible that 100 000 people in the border region should not have a modern, environmentally friendly railway. The majority of the Committee has previously asked the Government to consider giving more ferry routes in the country national road status, including: Ferry connection in Kragerø Archipelago, rv. 38, and then come back to Stortinget with it. It hasn't happened. In a note from the Labour Party to the budget of the year, this has been taken up again. I regret that we have not received a majority for this comment, but I still hope that the Council of State will look at this.
ParlaMint-NO_2004-12-07.ana.ud735e1371	The fast-moving "has been a heartchild of the Christian People's Party for many years," said Jan Sahl earlier today. And the attempt to make the Museum of Stokmarknes a national high-speed route museum was a dead end, he went on to say. He then thinks about Document No. The 8th proposal by the undersigned and some representatives of the Workers' Party, the SV and the Progress Party mentioned in the budget. I don't know how many debates I've had with Jan Sahl in the last year where he assured us that the Hurtigrutemuset would become a national museum, only the matter was dealt with and anchored in the Ministry of Transport. Then we get a happy solution," said Jan Sahl to NRK Nordland a year ago. We have received the proposal from the Ministry of Transport. The councils disagree that the Hurtigrutemuse should become national, as Jan Sahl has repeatedly assured us that it would be. The reason is worth noting: because through the years Hurtigruta has been run privately, not stately, it cannot become a national museum. In other words, if the state had owned OVDS, TFDS, Nordenfjeldske and Bergenske, it would have been natural to establish a national high-speed route museum. What the Council of State does not take on board is that the state has been entirely responsible for the economy, and has also determined the route pattern. Quick route is coast highway no. 1 and has had an invaluable impact on the history of the coast. Then there will be a downsizing and a downsizing of Hurtigruta's history when the majority of the population will not take on national responsibility, as the state does with railway history, with road history, with aviation history, with postal history, with telecommunications history. Jan Sahl said earlier today that the proposal is now parked. I can promise the representative it's not. SV will pursue this proposal further. The case is to be re-examined in the municipality of Nordland, and the proposal will then be re-examined. I am quite sure that when there is a broader debate on this issue, and when you become aware of the reason for going against doing the Museum at the Stokmarks national level, the proposal will come back to the Storting with increased strength.
ParlaMint-NO_2004-12-07.ana.ud735e1384	Part of the Committee's position also includes a Document No. Eight proposals on the plans for the closure of various traffic stations around the country. The majority of the Committee considers that a proposal for this type of closure is a good proposal and supports the fact that this Document No. The 8th proposal will not be dealt with in addition to the annex to the Minutes. The minority, including the Workers' Party, the Socialist Left Party and the Centre Party, are asking the Government to stop the Road Director's plans for the closure of the traffic stations. The background for this is different, but I emphasize that the function of these institutions not only is that these are stations that are randomly located around the country and without anchoring in the local environment. On the contrary, the precondition for these stations to function effectively and rationally is that they manage local experience and have a local anchoring, thus facilitating and better contributing to road safety work in different areas of which society as a whole will be part. In this context, I also stress that just such local institutions can play an active role in relation to kindergartens and schools as part of traffic training for young people. So the question is, is there a significant economic savings if you go into such closure as the Directorate of Roads has proposed? We're in doubt about that. In any case, what we have received today from knowledge about this proposal does not provide any guarantee that it is economically economical to implement it in 2005. That is why the second point in our motion for a resolution on the Great Britain is that it should be implemented today. «an impact assessment of the closure plans with a view to clarifying the impact on individuals, businesses, communities and road safety». It was my hope that there would be a decision about this. It doesn't look like it will. The only thing I can say, and which is a point in an attempt to catch the attention of the Progress Party, is that if there are different kinds of economics in this, it must be that as a consumer of these services by such reorganisation I will have to pay more than what I pay today, in addition to getting a significant extension of travel in order to obtain the services now offered through these traffic stations.
ParlaMint-NO_2004-12-07.ana.ud735e1398	The chairperson of the Committee, the representative, Petter Løvik, was not sparse in his description of the implementation of this government in the field of transport. A transport policy revolution, he described it as, a revolution that was then carried out within state budgets which he claimed had been tight to correct the Norwegian economy. Yes, that's how you can see it, when the government in this period has provided about 100 billion kroner more from the oil fund than the proper phase it was agreed four years ago, would say. Despite this very liberal use of oil revenues, appropriations for transport purposes have been 3.5 billion dollars lower during this period than the government parties thought was necessary before this period began and thus responsibility was taken into account. So the level that was far from enough in spring 2001 has become a ‘power cap’ – that’s what Løvik used – four years later. Either the representative Løvik has been known over the years, or the power expressions are an attempt to misunderstand the realities. Conversions and reorganisations are often necessary. But they must have a clear purpose and a good reason, and they must be implemented in a good way. An example of this is the entry for Norway. We've got a postal service that provides better services than before is more available than before, and now also seems to have a secure economic foundation for operations and future development. It should be rewarded by the owner with good ownership. Instead, the Government demands a dividend that is more than twice as high as it should be, undermining the Post Office's ability to develop the company as planned. These are tracks that should scare other production sites that are now going to become ASs and compete in a market. Are they also going to be dairy cows for a government that needs some extra hundreds of millions to get the budget to jump? I'm glad that there's a majority, albeit in a slightly different way, but nevertheless a majority, who in the vote signal that, in the development of the double-track railway through Eastfold, you have to build the track through Moss's centre first. It is important, and it is a follow-up to the assumptions underlying Eastfold Package 1. After this period there is a need for significantly higher appropriations for both road and, in particular, track. If the railway is to become an alternative for more than one, the bottlenecks in and through Oslo must be removed. It's in this region the railway has its big advantage, and this is where it can be the best option for the growing number of people who travel through the metropolitan area both two and more times a day. There is a 'Left stamp' on this budget, said the Council of State, but there is 'no reason to stop here'. No, there is a need for an even stronger bet in the next period, and it is the Workers' Party's intention to follow up.
ParlaMint-NO_2004-12-07.ana.ud735e1411	The centre party has been working for many years for appropriations for the Jondal Tunnel. We are pleased that it is now becoming a reality through the budgetary agreement. The Jondalstunnel is a fissure layer between municipalities, businesses, counties, the state and motorists, where the State contributes about 10 pst. The Jondal Tunnel opens up common training and employment opportunities in a region of about 30 000 people. The Jondal tunnel will connect the Folgefonn peninsula, which has many different and exciting qualities in travel life. It improves the competitiveness of business by reducing distance disadvantages. It gives a race-proof road Odda–Bergen, an important branch to link Bergen closer to E134 Haukeli, and it reduces travel time from Jondal to the local hospital in Odda by approx. an hour. The Jondal Tunnel will create a new era in the region and for Jondal. So to another thing: I want to refer to the comment from the Workers' Party, SV and the Center Party on page 71 of the setting, about the taxi industry, where these parties go against the Government's intention to further liberalise the taxi industry. There is already a lot of competition in the industry today. Several companies compete in the big cities, and the question that is timely is what further deregulation will lead to. The performance of the taxi industry is weak, the conditions for both taxi owners and drivers have deteriorated. The government wants further competition. I have to ask the Council of State if they know what they're doing when they want to remove today's need test, i.e. permission allocation, in an industry where performance is as weak as it is. The driver must drive for as long as it is irresponsible, in order to earn a useful monthly salary. I experienced the other day that the taxi driver slept on a trip from Flesland and home to Landås. I get a little worried when that happens, and I refer to an article in the Official Journal of Bergen on 6 December with the title «Anarchy in the taxi industry», which states that a taxi driver must work two years' work to have a salary equivalent to that of an industrial worker. I think that an industry that is so stressed already should be reviewed on a broad basis, given that we should be able to make it safer, improve quality and thus create the basis for a policy that gives industry predictability, facilitate serious actors and qualified drivers. It's actually passenger transport we're talking about. So the government's answer to this is a desire for freedom of establishment. I would ask the Council of State to reconsider once more before she starts further liberalisation, which will undermine serious actors.
ParlaMint-NO_2004-12-07.ana.ud735e1420	In this article, I must first visit something Odd Holten said in his article. He said that there was now a penetration for the City Ship Tunnel. I have noticed that in the Sunnmørspost of 25 November 2004, Holten says the same thing. ‘Clear signal from the Prime Minister’, also stated in the same issue of the Sunnmørspost. The Holten also says in the interview: ‘We have to look at the City Ship Tunnel as a heavy state facility.’ The Christian People's Party spokesman in Vanylven also has an announcement in the same number of the Sunnmørspost, and I quote: ‘Presentation clearance is the same as starting construction’. Based on this, we should think that it's just to put the spade in the ground when you've been able to work out the supply documents. These statements from the Christian People's Party will be interesting when we read the comments that the Christian People's Party is behind in the setting today. There's nothing about the City Tunnel as a state-owned facility. On the contrary, a regional project is being discussed. Furthermore, it has been said that the funds set aside should be used to clarify the basis for procurement. And to be careful, this isn't just about nuance differences, it's about difference in reality. The thousand-crowd question in this matter is whether the Christian People's Party believes the Christian People's Party representatives say in the media, or what they write in the comments in the settings. In my first post, I was in the railway works' conversions, but also in the Coastal Works there will be structural changes. The production part shall be distinguished as a limited liability company and all contracts shall be offered. It is a bit special in this case with the Swedish Coast Guard Agency that an external market and business analysis shows that there is a commercial basis for establishing the company, but the risk is high. In this context, an extra large share capital will be invested in order to allow the company to have funds for a transitional period. But it is clear that there will be a great deal of uncertainty for the company to be established in the future. As in other restructuring cases, production in the Coastal Plant is becoming redundant. The number of people added to the Coastal Works will be higher than 40. We get the exact same situation here that we've had in the other issues of restructuring, persuasive that faces a more uncertain future. The centre party is negative to the transformation of the Coastal Works Production into a limited liability company. We don't think it's going to give you the big prizes, as the majority say.
ParlaMint-NO_2004-12-07.ana.ud735e1443	Hedmark is a state entirely based on land transport, and road transport is crucial for the development of business and housing. We have the country's highest driving density, with as many registered vehicles as its inhabitants. We have a significant volume of transit with goods and passengers north, south, east and west, and we have the country's most remote name when we bring about. 12,000 miles of private roads. Unfortunately, for a number of years we have been on a national base in terms of the allocation of means of transport despite the increasing annual traffic. This is tragic, but unfortunately a reality, and one of the worst-silent roads is rv. 3rd@item: inlistbox It is therefore very gratifying that the agreement between the government parties and the Progress Party resulted in a pot of 40 million. kr to just rv. 3rd@item: inlistbox About 370 trucks/cars drive Østerdalen every day. Every five cars in Rv. 3 is a heavier vehicle. As well as all the freight is going on here. The road is one of the largest jobs in the region. Maintenance and road standards are important for the health, environment and safety of professional drivers and, of course, also for other drivers. About 90 pst. by the vehicle combinations, the Østerdalen chooses over the Gudbrand valley because it is shorter and thus more profitable, both economically and environmentally. Row 3 is designated by Stortinget as a tribal road, but only 9 pst. by rv. 3 holds today's adopted tribal road standard, i.e. 8.5 m in width. The road surface is uneven and worn. The narrow and poor road leads to too many accidents. Between 1990 and 2000, 38 people died in Rv. 3rd@item: inlistbox Soft road users are poorly secured along the narrow road. It is especially the professional drivers, who run through the whole of the Østerdalen, who are dissatisfied. The complaints increase with the dawn of darkness, and of course it is the worst in the middle of the night. In November it was different weather conditions and often problems. There will be waiting time and delays due to some traffic accidents. Winter maintenance of rv. 3 is often bad. Last winter, i.e. At the end of October, snow fell so much that some interpreted the road manager in Hedmark that she suggested the closure of rv. 3 because of large amounts of snow. This doesn't matter. The road service must be a positive guide to each and every one more offensively. It must not be on money in the case of winter maintenance on this particular road, and other roads for that matter. In the weekend that was, there was again the ice skating track on the rv. 3, with the result that many car combinations, buses and cars slipped off the road, with the expenses and frustration that resulted. People were asked to stay at home. You can then ask yourself where the road salt or sand was, so that a tribal road can be used. I think the Vegvesen did as good a job as possible with the resources they have. The question is whether the resources of such work are proportionate to the challenges posed by King Winter.
ParlaMint-NO_2004-12-07.ana.ud735e1463	I have followed the transport debate with interest today. Many main speakers have spent most of their speaking time telling about what is being done, and, for many, what is not done, in road transport, air transport and rail. Coastal challenges and opportunities in transport and transport are more sporadic and have received much less attention than this important transport year and transport sector deserves. The challenges on the coast are many. Vessels are increasing and the efficiency, logistics and interaction requirements between different modes of transport are increasing. This means that the development of transport and fishing ports must also be given greater attention in the coming years. In this context, it seems little creative for the Workers' Party representatives, with the good support of their red-green comrades, to criticize almost any form of efficiency. From my point of view, what is happening to the production of the Coastal Plant is unparalleledly positive. It releases resources, so we can produce more results and get more for the money. It is also positive for employees. They may, in particular, help to increase their own self-esteem and self-confidence by enabling them to participate in the competition and to win national and international competitions. So back to the summer when we dealt with the revised national budget. Perhaps the most congested theme that was up then was an Icelandic trawler named Gudrun Gisladottir, which was listed in Lofoten 2 and 1/2 years ago. In the proposition, this boat has got an interesting twist and description. It has been described as a potentially interesting research project both for environmental monitoring and for the creation of proactive fish houses. This has perspectives far beyond this one wreck. If this research project is carried out, it has a transfer value to others of our more than 2,000 shipwrecks along the coast, and not least in terms of the destruction of the oil platforms, which have served us for 30–35 years, now facing a phase of destruction. A problem can be an opportunity. This research project must start. We've already spent over 30 million. kr on this one shipwreck without getting results. This money does not have to be wasted, with the description that this research project has now received so far in the proposition, as a local initiative and in cooperation with the Marine Research Institute. I look forward with excitement to the feedback with which the Committee has asked the Council of State to come to Stortingen, on the continuation of the research project and on how this can be achieved, and not least on the results we hope to achieve.
ParlaMint-NO_2004-12-07.ana.ud735e1474	Several of the workers' party representatives today have told us about the great framework they have and have had in the past for transportation. What I have experienced, however, is that Østfold has not previously been put on the map in the way we have now experienced during this government and with the current Minister for Transport Skogsholm. But what has happened in Østfold when the Workers' Party has been in government – now last under the leadership of Stoltenberg and Moe Gustavsen? I think I can say that nothing happened in Eastfold at that time. That's the correct history description. In record time, Østfold has been cleaned up and is at full speed with the completion of E6 and E18. They get a civil aviation offer, which comes at Rygge, and there are things happening related to the expansion of NSB's project in Moss. It was crucial for me during the treatment of NTP to secure the 942 million. kr for the development of railway applications in the first period. We did it. Unfortunately, it was not possible to bring the Mosse project into line because of the cost framework. What we are now aiming at is to obtain clarification, economic and technical, from the Railway Agency, so that the Mosse project can, if possible, be speeded up and replaced in relation to the Haug-Onsøy project. We're waiting, and I hope we get a plant start in Moss after a new investigation, an investigation that must lead to a significant improvement for this city community.
ParlaMint-NO_2004-12-07.ana.ud735e1483	As a member of the Committee on Transport in the previous period, I was involved in the handling of the first national transport plan. I'm glad to see that we've had an impact in the Cooperation Board for the Left's priorities from that management. I record that the representative Gunn Olsen does not recognise the Left, but I know very well what the Government has presented. That's good left policy. We wanted more collective action. That was the best thing for the environment. We wanted security to always be first priority, and so have we. We thought that the possibility of turning different state-owned etats into AS and letting them compete for assignments would give users better services. It has also happened. During this ageing period, the proceeds of collective action have increased by approximately NOK 4 billion. This has provided better quality, better route provision, cheaper tickets, and the number of users travelling collectively has increased. For the Left, security is the most important thing. Before all our trades, there is an increase in the scope of insurance measures. This applies to increasing the licenses to maritime lease guarantees, increasing the licenses to race protection and repairing our most unfortunate route, increasing the licenses to take precautions at our airports, and not least allowing for the removal of dangerous level crossings and new train radio connections. So, to the issue of competitive exposure. Is this dangerous? The development of our welfare community is about looking at new ways to solve our welfare tasks. In connection with the development of e.g. new technologies must also reform the public sector, giving more of the resources we use. It's the users we have to think about first and first of all, and what they're going to be offered. I'm surprised that the Socialist Left Party, which wants to market itself as a radical party, until they grade in such issues, is erkkonservative. The Labour Party is talking about the fact that they have put much more money in their draft budget and in the proposal for a national transport plan. Then I would like to remind you that at the last session of the National Transport Plan, when the Labour Party presented its first State budget, it was less than what they had foreseen in the National Transport Plan, and much less than what the Labour Party in this Chamber provided. The Socialist Left Party was able to win a media competition if the government party and the Progress Party did not give priority to using the budgetary agreement to bet at night and to Stockholm. Then we can only remind ourselves of what is in the Progress Party's budget. I am pleased that we have gained additional permissions here for a road project. So finally, as a representative of the hordes, I want to draw up the Jondal Tunnel project. There is a project that the Left has fought for since the addition to the large county road project was incorporated into the big pot – a fantastic project, which bind Hardanger better together with Mid-Hordaland and provides a shorter route to Bergen for everyone who lives in the southern part of Hardanger. It opens up a new housing and labour market in this region. With the state's contribution, the first contribution is made, and I hope that the rest comes next year.
ParlaMint-NO_2004-12-07.ana.ud735e1506	What made me take the floor was the representative of Bjørgulf Froyn's tirating about the beautiful place Fauske, which the president knows well. E6 goes from Svinesund to Kirkenes. This route is largely located outside the centre or secured by passing through the centre at locations with 10000 inhabitants or more. That is why the Party for Progress has presented a Document No. 8-proposal to secure a four-field road from Svinesund to Trondheim and two-field highway from Trondheim to Kirkenes. If the representative Froyn had taken the time to explore this long-range country and, for example, Drived the E6 from Svinesund to the Churches, he would discover that one of the first places you would get to where there was no built road outside the center or secured through the center, would be exactly the place for which we have suggested a solution. It probably has not been brought with it, so he would probably have promoted the same proposal that we have made. I hope he could have done so with the support of the representative, Torny Pedersen. The Progress Party wants to solve all the problems that the heavily trafficked E6 brings with it, throughout this country. We want to put an end to all the accidents that are here, and give a boost to the burdens that business pays for by a poor road standard. Unfortunately, Froyn is not so very interested in it. Then the representative Froyn complains that Oslo does not get his own. I understand from the calculation he suggested, that Oslo has got 3 billion dollars too little. I agree with the representative Froyn that Oslo has had too little. They've received far too little government funding. But why is that so? Well, that's precisely because the representative Froyn has voted against any proposal to give more money to Oslo. The fact that he then went up to the pulpit and complained that you have not received the money is incomprehensible to me. It is possible that the representative Froyn does not care so much about the traffic problems that are outside the center of Oslo. That's what the Progress Party does. We want to solve the problems for this entire long-range country. If the representative Froyn has a desire to solve the problems in Oslo, he must vote in favour of the Stortingen proposals to solve these problems. The representative Froyn has consistently not done so. Then you won't get a solution to them either. The representative Froyn has also not made any proposals to solve the traffic problems that Oslo has. On the day on which the representative Froyn does so, the Progress Party shall vote in favour of that proposal.
ParlaMint-NO_2004-12-07.ana.ud735e1519	I find it rather alarming that in this debate there has been so much negativity and blackness from the speakers of the Workers' Party. Also in these Christmas seasons they seem unable to rejoice over everything that is positive. Not least this applies to two of my colleagues on the eastern fold bench, the representatives Signe Øye and Svein Roald Hansen. It's a lot to enjoy. The four-field E6 through Østfold will be completed in 2008. It is open to civil aviation from Rygge, and it is set at a higher pace in the development of E18. Have the representatives Signe Øye and Svein Roald Hansen totally forgotten that the Stoltenberg government, which was fired by the voters in 2001, failed to get a better decision in place than the four-field E6 through Østfold being completed in 2016 or 2017 at the earliest? I just have to ask. So a few words about the further development of the railway through Østfold. In the Committee's position, it is quite clear to the Minister for Transport that a different priority is sought in relation to the order of the projects that are under way, namely that the Mosse tunnel must come before the Haug-Onsøy Parselle. This is a very important environmental project, not least to ensure that more of the traffic can be shifted from trailer traffic to rail transport to and from the important industrial establishments in the Mosse region. I ask the Minister of Transport to notice this and come back with a project that shows how it is possible to put the Mossetunnel project in place within a cost framework of approx. 940 million. kr. So a few words about the debate related to the railway works’ production activities and the outsourcing of competition. In this debate, a number of speakers from the Labour Party have made the claim that 1,000 employees are losing their jobs. What kind of attitude is this? What kind of attitude is this to the employees who work there today? Well, there's obviously an attitude that is characterized by zero trust and zero belief that the employees of this business have any chance of competing. I think it is alarming that the Royal Norwegian Labour Party adopts such an attitude towards the employees in this business. Here are the things to be done only in 2009. You give good time to change. In the NRK Østfold, experiences from Sweden are reported today, where the railway lines are still owned by the state, but where private companies compete for everything from cutting grass and clearing snow to repairing signalling systems and tracks. Banverket has saved 15-20 pst. On. We only have good experience with competition," says Kjell-Åke Averstad in Banverket's eastern railway region. It is also worth including in this debate.
ParlaMint-NO_2004-12-07.ana.ud735e1530	What is happening in the transport sector at the moment? We note that the government's ideology of competitive outsourcing and privatisation has now gone so far that also important security and preparedness functions are exposed to competition. The production activities of the State Road Administration have become Mesta AS, the Aviation Administration of Avinor AS, Posten Norge BA and NSB BA have been converted into limited liability companies and, as if not enough, it is proposed to launch the Railway Agency. But what about security? Now we're going to freak me out to drive a train too! What's the point? Is it not important to take care of the safety, competence and knowledge of state enterprises? Many probably thought that a government council from the Left would give the railway a real boost – but unfortunately. The working party is occupied by train offers. I will mention the route Oslo–Stockholm and ask that it be maintained after 1 January 2005. In August, the Minister for Transport established contact with the Swedish Government, and she should be commended for that. But it kind of didn't make any sense. The working party will point out that the railway is the most environmentally friendly travel option. And by comparison, if today's train passengers between Oslo and Stockholm were transferred to aircraft, this would result in an increase in greenhouse gas emissions of 25 000 passenger cars. Step Skei Grande said on TV that it was not possible to find $25 million. kr to save the train between Oslo and Stockholm. I am very happy and grateful to the representatives of the Workers' Party on the Transport Committee that they managed to raise the transport budget by NOK 1 billion. I would also like to thank the Progress Party for supporting them on the road side. In Hedmark we need much more than trains. In that context, I think it is good that it was added to so much on the road budget that rv. 3 can be rusted up. But we also need to support the development of RV. 2 and start the E6 accident. I don't know about that, but I'm asking the Minister of Transport to take time out, as Director Flesland said in Avinor, in terms of efficiency and outsourcing. It's actually like we want to drive collectively, but it has to be safe.
ParlaMint-NO_2004-12-07.ana.ud735e1543	The representative, Geir-Ketil, expressed his disappointment at the fact that not the proposal for which he was the proposer, is the position of the majority here today. Let me now say that Geir-Ketil Hansen and SV have a genuine commitment to the Hurtigrutemuseet. It also has a Christian People's Party, and I think most parties here in the Chamber have a genuine commitment to taking care of Hurtigruta's history. But the representative Geir-Ketil Hansen tried to make a quick decision to make the Hurtigrutemuset a permanent museum under the Ministry of Transport without prior costing the table. After some work in the committee, the majority of the government decided to pay the costs, and when they got on the table, the majority broke. I assume that there is some reason why the representative Geir-Ketil Hansen's disappointment today, and that he attached a great deal to my name. Let me put it this way: we've had more debates both in the NRK Nordland and in the newspapers, but I've never hidden the fact that there's a splinter layer to save the Hurtigrutemuseet at Stokmarknes. At the same time, there is also a happy day today, for the first time we've been offered some money to start repairs on the boat, NOK 5 million, while the total amount of money we're talking about here is an amount of 100 million. kr. Then I have to say it doesn't help with the 10 million. kr that SV has entered in its alternative budget, where they were not willing to spend any money within the framework adopted by the Storting. It has to be completely different amounts in place. It is now a constructive matter that we have put in place, that the county of regional development is given responsibility for taking the lead in a committee where different departments are going to be involved, where private interests are going to be involved, and then we get the matter back to Stortinget. My and Christian People's Party's commitment is still that through a fissure layer where the state is also involved, we should save both the boat and the museum at Stokmarknes. Then I hope that SV and the Christian People's Party can be together about it in the future.
ParlaMint-NO_2004-12-07.ana.ud735e1554	President! Can I get the word to correct a manifest misunderstanding?
ParlaMint-NO_2004-12-07.ana.ud735e1561	The representative can sign up on the list of speakers, and then you can get the word for a short comment.
ParlaMint-NO_2004-12-07.ana.ud735e1565	Let me repeat what I have said before today about a fundamental agreement between me and the Railway Agency. The railway is and must be a safe means of emergence. The launching of the works of production of the Railway Agency shall not impair the safety of the railway. That's what's fundamentally at the bottom of what we're doing. When we continue to work on this both in the Railway Agency and in the Department, this is going to be the assumption all the way. It is unclear to me whether it is intentional or unintentional when someone tries to present it as if we are privatising the railway network, that we are privatising the railway network and the railway network. No, we don't. I have registered the proposal to turn the Railway Agency into a company. I don't want to be a part of it, because it's fundamentally important, I think, that the state has control over, overview and responsibility for both the operation of the network and the safety of the network. Then it is important that we cultivate the role of the Railway Agency as responsible for the management of this network. I will again stress that I do not want to be part of a privatisation of the web at all. Then I would like to comment on what has been said about the Workers' Party not being able to see the railway bet for this government or for my party, Left. Then they must have followed poorly, because the appropriations for the railway are a lot higher now than they were under the government that was before us. Then it's not just about preserving the organisation we have within the railway sector. I have to say that I'm also a little surprised by SV's analysis of the Left as a liberal party. Here I experience SV as conservative, in that sense unlikely preserving. 150 years ago should we have decided to keep the railway as it was, for whatever it should be? No, we need to keep up with the challenges we face at all times. It's dynamic. There is environmental awareness, and there is a commitment to public transport that means that the Left is involved. We're not allowed to sit and watch that we don't follow in time and align our business with the challenges we're facing. That's why Left is 100 pst. I'm going to add to this right now.
ParlaMint-NO_2004-12-07.ana.ud735e1576	Geir-Ketil Hansen has had the word twice and gets the word for a short remark – while Hurtigrutemuseet is still hot.
ParlaMint-NO_2004-12-07.ana.ud735e1579	I ask for the word just because it must not stand, as Jan Sahl said, that SV has not prioritised the Hurtigrutemuse within the reduced framework that the government parties' fraction and the Progress Party arrived at. We were prioritizing, with five million. kr within the framework. I just want to stress that the 10 million. kr we originally proposed, should not solve the problems until next year. But we see, of course, that this should be solved over a longer period of time, which would be the natural thing.
ParlaMint-NO_2004-12-07.ana.ud735e1586	Then we've got it done.
