ParlaMint-NO_2004-06-16.ana.ud568e49	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2004-06-16.ana.ud568e1378	Since it was Haakon Blankenborg who had the line, it gives me the opportunity to say that at the bottom of my list of things I was going to talk about, was also that I should comment on his comments about the Balkans. I fully agree with the considerations he expressed. It is very important for us not least to draw Serbia-Montenegro closer to the Euroatlantic structures. I think it could be said that Norway has made a contribution in this area. Now it is important that Serbia and Montenegro themselves contribute as much as they can. They know what the problems are. As far as the second point is concerned, of course, it's been completely open how we were going to deal with the second six months. After the talks in Stortinget, we had the power to dispose of Norwegian forces in the first half of the year, and from there, of course, we have assessed all the options and concluded that it would be right to continue with a small contribution. We came back to Stortinget, but it was clear that nothing was tied up until we had talked to Stortinget. We then got the necessary majority to get it done. Then we are back to the fact that this is a discussion of capacities. Our assessment is that there is a small contribution to Iraq, and that means that, in our opinion, it would not have contributed so all the world to the others by leaving this alone. That is why we thought this should go ahead. I fully understand the argument of Blankenborg.
ParlaMint-NO_2004-06-16.ana.ud568e1385	It seems like there's a tone of reconciliation and peace in the air. Then we'll try to hold it, but at the same time ask clear questions. I think it's strange if you just turn the question of twelve Norwegian staff officers in Iraq into a question of capacity. It was alarming that Norway, like the one country that had initially opposed the war against Iraq, later set up a military force in Iraq. I see that as a desire for political support. It's read like this everywhere else in the world. It is read by Bush when he takes Norway to the collection of countries that have supported him all the way. I think it's hard to get away from it. I also find it strange that Petersen, when he sees the way Israel is going forward, with the construction of the wall that prevents Palestinians from having incomes, prevents them from visiting the family and just spreading resentment on the Palestinian side, constantly having so much need to talk about both sides. There is one superior power in this area that can accommodate itself in a completely different way from the Palestinians. I think it would have helped very much if that acceptance were at the bottom of the calls you also need to give to the Palestinians in the situation.
ParlaMint-NO_2004-06-16.ana.ud568e1394	Of course, there is a policy in the decision taken by the Government on staff officers to Iraq. It is important that we do not look at Iraq from a sort of seminar point of view and have turned our backs on 2003 and other things, but ask ourselves: what can we now do in practice to bring the situation into a better rental? The government then said that we are responding to the security situation by making this contribution. That's where I have problems with Kristin Halvorsen's commitment. She has so few thoughts about what to do. Kristin Halvorsen focuses on what not to do, what to do last year could have done differently, but little about what to do in the future. I would repeat: politics is not just a seminar on the past. The seminars are not reality. The reality is what you do to influence evolution in the future. That's the core question itself, and I would like to stress that it's important. With regard to the Israeli-Palestinian conflict, I just want to say very briefly: when both parties can do something, we have to insist that they also do something. It's going to be all wrong if you sit down again on the seminar with the millimeter and find out who's the biggest, and then you ease all the shooting that way. Then you don't move the situation forward.
ParlaMint-NO_2004-06-16.ana.ud568e1401	The Minister for Foreign Affairs is concerned that some of us are too bad to give concrete ideas about what to do in the future. To come up with the concrete ideas and ideas about what to do, it is unusually important that the analysis is at the bottom. The Foreign Minister had three very interesting lines, the first three, in his foreign policy statement, where he says: "Unfortunately, the security policy situation has not improved since my regular foreign policy presentation in January." It's very interesting, and it would be interesting to get the analysis at the bottom of it, not least because there is now a major international debate on what is really the consequences of the war in Iraq. Has the war in Iraq helped to strengthen security internationally or to weaken security internationally? What has that meant for international terrorism? It is precisely the analysis it would have been exciting to hear the Minister for Foreign Affairs come along, the analysis that is necessary for us to understand what the Government is thinking about in terms of operational action in the future.
ParlaMint-NO_2004-06-16.ana.ud568e1416	It's not hard to understand what the government is thinking. We believe that although the contribution is small, we should contribute to stabilising Iraq. We believe that if the UN is to return to Iraq, it is necessary to contribute to security. It's an analysis that I think very many will agree with. If you're going to sum up the entire Iraq operation with the analysis question, it'll take a little more time than the one minute that's at your disposal. But I want to say one thing, since Åslaug Haga mentioned terrorism, that no matter how many analyses you have, we must never let go of the main point: we must not relieve the terrorists of responsibility for their actions. It's a very basic principle.
ParlaMint-NO_2004-06-16.ana.ud568e1423	A reason why it's important to hold on to the fact that there are two parties to the Israeli-Palestinian conflict, we now see in connection with the withdrawal from Gaza, which you can get the impression that Sharon will do completely unilaterally without contact with the other party. That's why I've raised these points that I've done in this debate, to focus on the need to negotiate how it's going to happen. In fact, Palestinian authorities have control in Gaza under the Oslo Agreement. Then it's not just to stand out without having been negotiated with the other party about it, about the conditions for it, how to use the homes and the other physical installations, and not least what the Minister of Foreign Affairs said - which does not conflict with my points - what the international community can do financially through the AHLC, and how else we can strengthen the Palestinian authorities in Gaza, that is the other party. I agree that these are not equivalent parties. But there are two parties that have to try to get the best possible equivalence between, because an international agency is behind, as it is. happened in southern Lebanon. I would say that it was a good method you used, and that you should use it again.
ParlaMint-NO_2004-06-16.ana.ud568e1430	I readily agree with this. I have to say that from the first moment I was worried about the situation that the Palestinian authorities will face when they suddenly get all these problems caught. It is both practical to operate Gaza but also the security issue itself. It was well covered, as far as I remember, by the NRK just after it came up. They asked exactly these questions, and I got the opportunity to say this. I think in many ways it is natural, especially for Norway, to be concerned about the situation of the Palestinian self-government authorities since we head the donor country group for Palestine. But we have to be very aware that these are huge tasks, so it's important that the Quartet - the UN is part of it - really is within the political leadership that they are supposed to have. I am pleased to note that the Quartet, including the United States, is now very clear that these main questions relating to refugees and where the limits of the seventh and last detail will go. There are final status questions and nothing else. No one can decide on behalf of the Palestinians.
ParlaMint-NO_2004-06-16.ana.ud568e1435	I need a little round back to these twelve staff officers who are left in Iraq. Interestingly, the Foreign Minister confirms that this is primarily a political act. You can see that. The twelve are probably doing a good job, but it's hard to say if they make any difference. This means that Norway has a presence, and it is obviously important for the Government. At the same time, it is interesting to see that these twelve have, as the Foreign Minister expressed it, obtained the necessary majority in favour of the Stortinget. But that majority is very crazy. It is the Progress Party and the Government that are united on these twelve and that agreed on this political hand bill to George Bush and those who want to be present in Iraq. What is my challenge to the Minister for Foreign Affairs is whether he thinks this is satisfactory. Does he not see that it is possible to imagine that in the broad picture - in view of the reconstruction of Iraq and how the world community can contribute to it - it might have been a more important signal to show that nations like Norway, Spain or other major, important nations have a different and much more critical attitude towards what the Americans do and have done?
ParlaMint-NO_2004-06-16.ana.ud568e1444	What Mr Djupedal is asking is whether Norway should have a very critical position on Resolution 1546. We believe that it has been important and correct that the world community has thus come together and defined what the task is now -- and then we do it. I note that Djupedal is stuck in old and other issues than how we are going to help the Iraqis further in what is a very difficult situation.
ParlaMint-NO_2004-06-16.ana.ud568e1449	The cord shift is over.
ParlaMint-NO_2004-06-16.ana.ud568e1452	Let me say a few words about Palestine, too, which many have been involved in this debate. Clearly, in order to understand this conflict between Palestine and Israel, it is right to respect the fact that there are two parties with two different views and two different starting points. Should there be a solution, both parties must of course be respected and heard. But in international international law, there is a difference between an occupying and an occupied people, and this is basically what the United Nations has said about this conflict and how to find a solution to it. An occupied people naturally have a completely different status in international law than the nation that occupies it. We are pleased that Ariel Sharon is now in charge of a withdrawal from Gaza. But I think a lot of people think like me: how many times before have we not heard Israeli prime ministers say that they should withdraw from occupied areas? And how many times have there been no resolutions about this happening - and that never happened? Retirement from Gaza is now a little over a year ahead of time, the next harvest will happen. There are many practical relationships associated with this, which obviously have to be solved, and which make it not possible to imagine a withdrawal neck above head. But at the same time, I think many, even in the international community, have a profound doubt that this will actually happen, especially with the background of what just happened in the refugee camps in Rafa, where we saw the brutal behaviour of the Israeli occupying power towards ordinary Palestinians and their homes -- with many killed, many razed homes, which naturally escalated the conflict even more. While we hear Israel say that they have a declaration of will to withdraw from Gaza within a year or a little bit longer, the occupation of the West Bank and the construction of the wall takes place just as before. This wall has been condemned internationally and by the UN several times. Of course, it is every nation free to build walls within its own country. That's not very wise, but you can do that, there's no prohibition in international law on building a wall. But international law is crystal clear that you can't build a wall on another man's earth. That is why the UN has so clearly said this. This wall built to build Palestinian villages, to prevent ordinary Palestinian activity and to prevent families from meeting each other, only creates hatred and no future for Palestinian youth. This is perhaps the most striking thing in this conflict: on the one hand, you can see that there are some positive moves - and you have to take care of the positive things that may exist, for example. that you might get a withdrawal from Gaza at some point. But then one sees that Palestinian youth and Palestinian families experience continuous, daily, harassment and repression. They simply feel that their whole life is being ruined, among other things. by a wall built in the middle of their own country. Out of this there comes nothing but hatred and disbelief. There are some people who are big enough to try to reach out a hand, but what's happening is that you just escalate new terror and new hatred between peoples. I'm not sure what the international community can do to bring this conflict to an end, and how to get ahead. The UN has a number of times crystal-clearly said what you want. From the Norwegian side, you've said that a number of times. The international community has said that a number of times. But as long as the State of Israel rests heavily on large American contributions, and American politicians, both Democrats and Republicans, want unilateral support for Israel, it is difficult to see how to get a solution. The paradox is that the Democrats in America are almost even more - let's say - Israel-friendly than the Republicans, so that means that any change of president in the next harvest of the United States will not necessarily contribute in a positive direction. Nevertheless, we must believe that there is hope, and not least hope must lie in the fact that the ordinary Israeli and the ordinary Palestinians say at any other time that now is enough. There must be a peaceful way out, and this peaceful way out must, of course, be in Palestine and in Israel. From the Norwegian side, I do not know what we can do, but it could be interesting once again to challenge the Minister of Foreign Affairs whether he sees that there is a role Norway can play. Norway has played a role. This role is parked, it might be over, but it's possible to imagine it can be re-recorded. Norway has an active, positive role to play in peace trafficking in many parts of the world. This role is a good one for Norway, and this role we want Norway to have. This means that there may be a role Norway can play as a small country in relation to peace and peace mediation and human rights in the world community. And if there is, the Foreign Minister knows well that then he will have the Great Britain's warm support.
ParlaMint-NO_2004-06-16.ana.ud568e1470	It is well that the role that Norway played ten years ago was quite special, and since it belonged to a different political grouping than mine, I would like to say that I think that role was played with great skill. Although there has been a lot of criticism of it in retrospect, I think it was done as well as possible on the basis of the assumptions that were then present. Now it is the so-called Quartet that has taken over the political leadership - the United Nations, the United States, the EU and Russia - so that our role must naturally be different. But I think that in many ways we play an important role as chairman of the donor country group for Palestine, and that is a work that is trusted by both parties. But I want to say that if you think that Norway is going to play a role along the lines you play in other parts of the world, there are some basic assumptions that need to be in place. One of the basic assumptions is that regardless of what you think about the parties, you have confidence from them and access to them. So if Djupedal thinks we're going to play a role by just going between, he should, for example, be. provide the contribution that he here and now draws the proposal SV has made on boycott. It would directly counteract everything else, it would be a pure protest role, but it's clear that choosing roles means giving up that kind of instruments. I think that would be wise, and I see in many ways a little promise in what Djupedal now said.
ParlaMint-NO_2004-06-16.ana.ud568e1479	I also think it is necessary to say a little about this in the light of the proposal that has been put forward. I believe one important role Norway can have is now to point out the need for no more - what we should say - double policy or double standards in this area by the Western countries, as we have had. For example, we went to war with Iraq 12 years ago because Iraq had occupied Kuwait. But it is necessary to point out that the occupation taking place in the Palestinian territories must now be brought to an end. We want - and it is incredibly important - Iran to stop its nuclear programme if it exists. But the only state in the area that has nuclear weapons is Israel. The reason for going to war in Iraq for the second time was that there were weapons of mass destruction there, but the only country that has such weapons in the area is Israel. So, within a Middle East peace settlement, you could say that there was a nuclear-free zone where everyone gave up their weapons of mass destruction -- another example of getting rid of the double standards that we've had. And then we come up with the question of boycott. If you were to start boycotting Israel, you really have to boycott a lot of countries in the area. What should we do with Iran, such as This expansion is in contact with, with which the Government is in contact, with which we also have trade policy relations - should we continue to do so? Or should we just boycott Israel? Iran is, after all, the country that to date has not recognised the right of the State of Israel to exist, but which has as official policy the eradication of the State of Israel, in conflict, blatant conflict, with international law, because the State of Israel is established by the United Nations. What should we do with Saudi Arabia? I believe that the best contribution Norway can have now is to have a consistent policy - not a policy for Israel and a completely different policy for the Arab countries, not a policy for the Arab countries and a completely different policy for Israel, which I think it has been a major problem in the Middle East that we have had. Therefore, it is not necessary to establish new double standards on the part of Western countries, but to try to create peace based on equal standards, equal rights, equal obligations for all throughout the region. When you talk about Norway's role, there are people who dream that the situation we had in 1993 will come back. Then you had a need for a secret channel. Today there is no need for a secret channel, today there is a need for the reverse - full public debate, negotiations within the UN framework. And then this withdrawal from Gaza gives you a chance, even though it's obviously a danger that it can be used for the permanent occupation or annexation of the West Bank, I understand that very well, and it was the Foreign Minister who actually also said that it can end up like this. But the reverse might also happen, that this retreat starts a new dynamics, that the ball is in play, and we now have to try to get it forward on the track, so that this withdrawal is the first step towards a retreat from all the occupied areas, negotiated between the parties. Therefore, I think it is very important that Norway now has some very clear principles and attitudes about how this withdrawal should be done, so that this ball can be held in play, that a new dynamic can be started. Therefore, I also fully agree that the role Norway can now play is this - do the work we have had within the AHLC, and point out the need for a strong internationalisation of this conflict, among other things. of the situation in Gaza. There was a bit of an unfortunate situation in the withdrawal from South Lebanon, because what you did there was actually negotiating with Hezbollah, who got a tough victory. What you have the chance to do now in Gaza is to give a victory to the moderate Palestinian authorities, instead of winning Hamas, and then you have to negotiate with the Palestinian authorities about this, and I think it is very important that Norway points out the need for this.
ParlaMint-NO_2004-06-16.ana.ud568e1488	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2004-06-16.ana.ud568e1492	Just a few brief comments at the end of the debate. I'm sorry that I handed out such a propitiatory hand to the Minister for Foreign Affairs at an early stage, because I have to say that I'm very sorry that what goes like very important, significant debates on international policy in all countries of the world, about, a little contemptible is called "seminars" in the Norwegian Greatness. I think that's actually a bigger problem for the Foreign Minister than it is for us. Clearly, we have to learn from the close story. Here the United States has gone to a war that increases the risk of terror, not the opposite, and it's hard to see what path to go into, how to build democracy in Iraq after many years of dictatorship, with great misunderstandings - in population size - between Sunni and Shia Muslims, with an occupying power present that is quite hated in large environments. It's pretty hard. But in any case, we know that one must have a clear anchor in the United Nations, and that there must be legitimacy in relation to the new regime that will be there, and of the speakers who have spoken today, I am the most concrete in relation to the poles that have been in place. - That's it. So the question of what role Norway can play in relation to the conflict between Israel and Palestine. I think it's right that we don't have the role that we had ten years ago in relation to the back channel, or that Norway can have an independent role here. But there is great frustration among the Palestinians - and also among the Arabs and Muslims in many countries and among all of us who have been working towards solidarity with the Palestinians for a long time - that a state of such contempt can break international law once and for all without any consequences. A discussion of this must be on the road in international society, and that is the background to the proposal put forward today. And then I'm a little bit searching to try to understand what Igland means when he talks about double standards. It is, as far as I know, no parallel to draw to Iran in terms of the occupation of another country, or to Saudi Arabia in relation to the occupation of another country. Well these are dictatorships, well this is the country that violates human rights, but there are slightly different kinds of issues. Now I also believe that the summary of penalties and boycott rates, for example. in relation to Iraq, it shows that they acted against their purpose, so it is important to make this very smart. But at the same time, we are facing Israel, which, after all, is an enlightened democracy, with an enlightened population, and it is clear that if the international community were far more powerful than before behind the resolutions adopted by the United Nations, it would be possible to go into the situation differently than before.
ParlaMint-NO_2004-06-16.ana.ud568e1501	Of course, there is no comparison between Israel and Iran, in the sense that Iran does not occupy another country. But Iran, as I said, has not yet accepted the State of Israel, and as an official policy - I have asked the Secretary of State about it myself, because I really didn't think it was true, but he said it right out to me - to destroy the State of Israel, and they are financing the Hizbollah guerrilla for that purpose. It's an equally blatant violation of international law to attack civilians, as this guerrilla does. It's not the same crime, but it's a blatant violation of international law to attack civilians, no matter who's being attacked. It is difficult to apply boycott in such a situation, although I also fully agree that the policy that Sharon has pursued is unacceptable. But it must not lead us into the misguided use of instruments under the auspices of the international community, which receive estimates of double standards and double standards. Saudi Arabia is in exactly the same situation. To date, they do not recognise the right of the State of Israel to exist. The UN has, among other things: pointed out the need for it to be incredibly favourable if the entire Arab world recognised the State of Israel - they have been close to the question, but have not yet come to that point. So to another thing that Kristin Halvorsen also brought up. For my part, I have lost faith in the use of boycott, especially after what happened in Iraq. Then the criticism of the sanctions was very hard, and as Minister of Foreign Affairs I worked to get rid of them. But we can't have that attitude one year, and when there's a new situation, we raise the question of boycott again, which we know could have exactly the same implications, not just for Israel, but for the whole area, and for the Palestinian people who are totally dependent on the Israeli economy. I think we have to go forward in another way, in an area that is affected by such a big conflict, with so many contradictions and so many sides. But I would again like to stress that the policy that Sharon, in particular, has pursued is unacceptable. It has to be stopped. The international community needs to do everything it can to get it done, and Norway needs to have very clear views on what is going to happen now.
ParlaMint-NO_2004-06-16.ana.ud568e1512	I'm not going to back out on what I've said about the SV's approach to the Iraq issue at all. I have very great experience as a target for Kristin Halvorsen, and know exactly how she shoots, and what questions she is concerned about. And it's not about what we're doing in Iraq now, which has been my opinion. I have full respect for the fact that Kristin Halvorsen wants to put the light on other questions, but I wish that in the political debate she had had something more respect also for my way of approaching these questions. She rarely does. She usually tends to come up with quite ram-salted characteristics related to the ability to say things clearly and clearly, of which she is always very concerned. But it has a little bit to do with which agenda we're going to set. I wish that Kristin Halvorsen had something more respect for another way of approaching this than what she's had. - It was good to be told. The second is the Israeli-Palestinian conflict. I see that you can follow the line that Kristin Halvorsen adds up to, but you can also follow the line that Øystein Djupedal adds up to, and I don't think there's anything wrong in that Øystein Djupedal and Kristin Halvorsen travel two different questions. My point was just that it has huge implications which of the lines you pick. So you can ask yourself, how can you help bring about the conflicts in the future? Then my perception is that I think it is still important to play a role as a dialogue partner, but that also means that you have to deal with the situation so that you are in that role. The third thing I want to say is that I think Thorbjørn Jagland is raising a very important debate when he asks questions about whether boycott is suitable as a political instrument. It's all too often something you do because you think you have to do something. There has been no analysis of whether it really leads to what you want, and many poor people around the world have had to pay the price of political symbolism. That is why, from time to time, I think we need to think very carefully about this as a political instrument, and I think it is a very important debate that has been raised here.
ParlaMint-NO_2004-06-16.ana.ud568e1523	Kristin Halvorsen has had the word twice and gets the word to a short remark, limited to one minute.
ParlaMint-NO_2004-06-16.ana.ud568e1526	Just a brief comment before I wish the Foreign Minister and the head of the Foreign Affairs Committee a good summer. I think the discussion about how you can put more power behind the requirements in relation to Israel is very important to take, but maybe we should start in a little more calm form than this. Then the Foreign Minister has to face up to the challenges of what will be the Norwegian attitude and Norwegian tone in relation to the United States. We are in a situation where one sovereign superpower has taken care of itself in the conflict of international law, and then we have to have a clear speech. So I promise that after the summer vacation I will continue with equally clear challenges to the Foreign Minister on that issue. So far, I want a good summer!
ParlaMint-NO_2004-06-16.ana.ud568e1533	On behalf of those of us who at this stage cannot take a summer vacation, I have to say that it is essential that we move the conflict forward and make contributions, so I can promise Kristin Halvorsen that when she comes back after the summer vacation, she will still get the question: What does Kristin Halvorsen intend to do? So far, it's unanswered.
ParlaMint-NO_2004-06-16.ana.ud568e1538	The President also perceived this as a wish for good summer!
ParlaMint-NO_2004-06-16.ana.ud568e1541	I don't want to in any way problematize the desire for good summer, but there are two things I feel need to underline because of the course of the debate. One is that you have to look in your eyes that it is not possible to do two things at the same time that exclude each other. You can't add up to one-sided boycotting and at the same time want to play a role that presupposes you're talking with both sides in a conflict. That's not possible. You have to decide for one of the two lines. Since there have been some allegations in the debate that could be understood as if the problem of Iraq arose during the war last year, there may well be reason to recall that the problem has a somewhat longer history, that the suffering of the Iraqi people did not start with the war, and that the security problems associated with Iraq did not start with the war either. If you pull the historical memory as far as 20 years back in time, until the 1980s, there might be reason to remember that when Saddam Hussein did not get to pin himself as unhindered as he had ambitions about, it is because the then Israeli Prime Minister Begin took the burden on the entire international community of destroying the nuclear plant that was then almost finished in Iraq and that would have been able to produce nuclear weapons. It actually belongs to the historical memory as well.
ParlaMint-NO_2004-06-16.ana.ud568e1548	Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 3414]]
ParlaMint-NO_2004-06-16.ana.ud568e1563	At the request of the Foreign Affairs Committee, the President will propose that the maximum speaking time for speeches by the main speakers from each party group and members of the Government be set at 10 minutes, and for other speakers at 5 minutes. Furthermore, the President will propose that there be no repetition of the individual statements. - This is deemed to have been adopted.
ParlaMint-NO_2004-06-16.ana.ud568e1570	I am pleased that the Stortinget found room in a busy spring session to deal with this matter now. It gives the Storting the opportunity to give signals to the Government prior to the next General Assembly held in the UN, now to the autumn. The communication provides, in the Committee's view, a good review of the general meeting and the topics discussed there. The attitude of the Foreign Affairs Committee shows that there is broad agreement on many of the issues related to Norway’s participation in the General Assembly and on the issues raised there. The Committee refers to the launch of the Globalisation Communication, discussed in the European Parliament in March this year. The Committee then stated that the inability of individual nations to influence globalisation is a democratic challenge. It is therefore necessary for global institutions which are democratic, representative, open, coordinating and effective, in order to renew democracy. In this picture, the United Nations is at the heart of the process of reform in the United Nations and needs to be seen in the light of the challenges. The Committee is therefore pleased that the important work of the High Level Panel on Threats, Challenges and Changes initiated by the Secretary-General last year is now under way. The Committee stresses that the threat picture today is marked by old threats in new and dangerous links such as terrorism and the proliferation of weapons of mass destruction, but also by "soft" threats in the economic and social sphere. A unanimous committee is concerned that, after ten years of work for the Working Party on Security Council Reform, there is still no evidence of consensus. Like Secretary-General Annan, the Committee believes that it is now urgent to find a solution if the Security Council's decisions are to be met with greater respect, not least in developing countries. We now see in the WTO that developing countries are acting more collectively and with greater weight in the important Doha negotiations. For example, countries such as Brazil, South Africa and India are increasingly coordinating their international interests. In the long run, it will hardly be possible to ignore entire continents and new economic powers as fully involved in the decisions of the United Nations. The majority of the Committee also notes that reform of the UN system at country level is of great importance in order to provide more effective multilateral assistance. The main objective must be to contribute to increased national ownership of the recipient countries’ own development processes. Since the Government of the message clearly states that they believe that all the forces must be put in place for the next General Assembly to adopt a decision giving mandate to start negotiations on a Convention on the Prohibition of Cloning of Human Beings, the Labour Party and the Progress Party wanted to re-examine our views on the issue of therapeutic cloning. Like the Government, the Workers' Party is against the cloning of people, and we are facing a ban. However, we and the Progress Party point out that therapeutic cloning has other dimensions that can have a significant impact on the development of medicine, and already research in this area gives great hope of curing diseases that cause great suffering to humans. In multilateral forums, cooperation between countries is often the key to achieving good and stable global solutions. Cooperation is also necessary, especially for a small country such as Norway, in order for us to have an impact on our point of view. This is of course why EU countries are increasingly coordinating their views in the UN. The majority point out that Norway cooperates well with the EU and that Norway relatively often joins the EU joint intervention on a case-by-case basis. The majority think this is positive. The EU has a strong negotiating weight in many cases, and the majority take note of the Government’s view that this gives countries such as Norway new challenges. For my part, I would like to add that within the EU, Norway would be able to influence the positions of one of the main actors in the general meeting. To the extent that Norway was able to provide heavy points of view and strong actors in individual cases, Norway’s view could actually lead one of the most serious actors in the United Nations system. In the case of disarmament issues, SV has its own note referring to two resolutions in which Norway abstained. We do not disagree with SV's view, and last autumn an interpellation was actually raised in the Stortinget to the Foreign Minister from the representative Marit Nybakk, who addressed this very question. However, we will be careful about what Norway is going to vote next time, as it is situation-determined. We believe it is important to keep focussed on the work on disarmament issues and non-proliferation, and we will continue to raise these questions. In that interpellation, the Foreign Minister concluded his speech by saying, "The goal is clear: a world free of nuclear weapons." We fully support this, and the Workers' Party expects our views, promoted in this interpellation, to be included by the Government in the next General Assembly and in the work towards the Conference of Supervisors next year. Finally, I will allow myself to pay tribute to the Minister for the Environment, Børge Burnde. On 8 June, the evening post announced that the Minister for the Environment has proposed to strengthen UNEP and establish an international environmental court. According to the statement, the Minister for the Environment is taking action to make UNEP a new "Environmental Organisation of the World". This is fully in line with what the majority of the Committee on Foreign Affairs spoke about when dealing with the globalisation communication. The majority show that there is a broad consensus that the UN Environment Programme, the UNEP Authority and the financial situation need to be strengthened and that it is positive that the Government will work to this end. The majority believe that it is necessary in the longer term to consider developing the UN Environment Programme towards the establishment of a World Environment Organisation, as Norway has been working for. I am therefore pleased that the Minister for the Environment here is following up this. The experience of trade is that WTO cooperation has shown us the importance of having legislation to protect against discrimination and a dispute resolution mechanism to ensure compliance. The alternative is the strongest one right. I am pleased that Norway is now proposing that mechanisms for implementing international agreements and breaking down the same agreements should also be established in the field of the environment. The environmental challenges we are facing today are, to a very large extent, challenges where we depend on everyone being able to pull the load if we are to make changes. It is therefore essential to have institutions capable of ensuring compliance with the conventions adopted in this area.
ParlaMint-NO_2004-06-16.ana.ud568e1607	One of the key issues in the general debate at the 58th General Assembly of the United Nations was the follow-up to the 2002 United Nations Conference on Financing for Development in Mexico. The conference gave a lot of praise to Norway for the economic effort and for being among the five largest donor countries. Since then, we've come in first place. The goal of donor countries was to reach 0.7 pst. of gross domestic product, while Norway’s objective is to reach 1 pst. For Norway, it should not be an objective to give the most, but that the funds allocated benefit the needy and do not disappear in bureaucracy, administration and corruption. There is also a need to put a spotlight on the many voluntary organisations that receive funds from the state fund, whether they manage the money properly, and whether the money goes for the purpose for which they were intended. Perhaps the funds could have been allocated to fewer organisations, so that more needed could benefit? Another theme of the General Assembly was a draft by Costa Rica and the United States of America on a resolution that would give a mandate to start negotiations on a convention with a total ban on human cloning, to which Norway also joined. Another group of countries, led by Belgium, presented a competing resolution that allowed for a derogation for therapeutic cloning. The result was a one-year postponement. As mentioned earlier, the Labour Party and the Progress Party refer to their common comments in today's position, where we point out that therapeutic cloning has other dimensions that may have a significant impact on the development of medicine and that are already giving research in this area great hopes for the recovery of diseases. We also refer to comments from the Labour Party and the Progress Party in Innst. O. No 25 for 2002-2003 and in Innst. S. No 238 from 2001 to 2002 on the same theme. The 58th ordinary UN General Assembly showed that there is a heavy-headed organisation that needs reforms, especially in the case of ever-changing threat images that require rapid decision-making. The war in Iraq is a good example, where the UN's miscarriage resulted in the United States losing patience and taking action with England. With regard to the reform of the Security Council, progress was also not made this time in the General Assembly’s Working Party on Security Council Reform. The working group met for the tenth consecutive year without traceable any kind of consensus or outline of a possible compromise. Given that one of the key tasks of the UN is to prevent conflicts, it is alarming that it has been very difficult to achieve sufficient consensus on the role and task of the UN in such a context. Two recurring problems are that many developing countries see conflict resolution as interference in internal conditions, while fearing that focusing on this will steal attention and finance from UN development activities. For Norway, however, it is important to be in a community based on the United Nations, NATO and the United States, in order to secure Norway’s security at home and away, now that we live in the world we do.
ParlaMint-NO_2004-06-16.ana.ud568e1624	The 58th General Assembly opened with a rampart of violence and terror in Iraq. One month before the opening of the General Assembly, the United Nations headquarters in Baghdad were bombed. 21 were killed, and over 100 were injured. Among the killed were the UN Special Mission in Iraq, Sergio de Mello. The incident shed a gruesome light on a UN that was heavily divided in its attitude to the war in Iraq. Secretary-General Kofi Annan addressed the organisation's challenges in his opening speech on the first day of the general meeting. He pointed out that the United Nations had come to a crossroads. He pointed to the need for far-reaching reforms. And during the session, the general meeting succeeded in agreeing on several changes from the reform plan to the Secretary-General. That's what SV thinks is very good. But reality is far from as positive as the adopted changes can give the impression. Many countries, especially small and poor countries, are concerned about what the reform programme will have to say about their influence over UN work, not least in the area of development policy. We must take those concerns seriously. The UN Security Council must be reformed. Changes are necessary since the representation in the Security Council is neither democratic nor representative of the global conditions of power today. Reform must ensure that all regions are represented in the Security Council. We need global institutions that are democratic, that are representative, that are open, that are coordinating, that are effective. Therefore, SV believes that ambitious reform work within the UN should lead to the establishment of the UN Economic and Social Security Council. Such advice should be added to the ordinary Security Council and should replace both the G8 and the UN Social and Economic Councils. The IMF and the World Bank must be subordinate to the decisions of such an Economic and Social Security Council. International terrorism was a theme of the 58th General Assembly and will continue to be on the United Nations agenda. In this respect, there are two areas I would like to touch on. Firstly, it is necessary to understand and express that terrorism is not a uniform phenomenon. Terrorism has the common feature that it is an extreme, violent and unacceptable instrument, but the terrorists do not have the same objectives. It must be recognised in the fight against terrorism. Secondly, it is necessary to make it more difficult for terrorists to obtain the means to commit terrorism. Not least, we must prevent terrorist groups with sufficient cynicism from generating so-called dirty bombs, where explosives are combined with radioactive waste. Non-proliferation must therefore be given high priority, and this must also be done to bring about disarmament and the abolition of nuclear weapons in our own alliance and in the other nuclear powers. In the discussion of nuclear disarmament in the General Assembly, two resolutions were promoted in which Norway abstained. The two resolutions focused on the precisely Non-Proliferation Agreement as well as rocket defence and tactical nuclear weapons. Norway voted in favour of the Japanese-Australian resolution on nuclear weapons, but not for the other two. "Situationally," said the first speaker. In the fight against nuclear weapons, it's in place to be principled. I can see no reason why Norway should not have voted in favour of all three resolutions. It would have been in line with Norwegian policy in this area. I therefore hope that Norway will not abstain from voting for similar resolutions in the UN General Assembly on later occasions. I am familiar with the discussions that took place around the wording of the resolutions, and I wish to congratulate you on any future discussions. To-day I am a Norwegian teacher, and the degree bending of adjectives is important, but I am also a social teacher, and next year my 10th graders are going to learn about the Non-Proliferation Agreement. If I have to drop one of those two hours, I'm probably going to drop the hour of adjective deflector bending, because the Non-proliferation Agreement is most important.
