ParlaMint-NO_2019-12-04.ana.ud111e37	The representative, Lars Haltbrecken, will present a proposal for a representative.
ParlaMint-NO_2019-12-04.ana.ud111e1562	First of all to the representative Enger Mehl: I would have liked it if she had come up with figures on the nationality of many of the wolves who care about sheep on the Norwegian side, for example. in Engerdal. It's a familiar thing that they all, most of them come from Sweden. This means that the loss of sheep in Norwegian pasture areas is largely determined by the Riksdag in Sweden, and not here in the hall. It's very important to be aware of, or else you're pushing a deal here in the Storting that doesn't matter to this sheep loss at all. I should have had those numbers from the representative. So I've gone through a lot of deficits in the Elvestuen budget, and I'll keep going a little bit here. I couldn't get through that list, because it was a little long. But as usual on TV – that’s where I’ve worked before – I’m going to take a little ‘recap’. I was talking about priority species, and one of the strongest grips we have in the Natural Diversity Act, is to put priority species in for close follow-up. A number of species have been identified, it has become a long list, and reports have been submitted on what the government will prioritise and what the professional authorities will give, but we will not go much further than a small, small number – 13–14 or how far we have come. So it's a very decisive tool, and I don't see that there's been much more funding for this sector, and SV will of course almost double that amount in its alternative budget. But we don't stop the loss of biodiversity just by protecting the most valuable thing that's left. We also have to restore nature, which we have too little of. The International Natural Panel says that restoration by nature is necessary and very profitable. The size has decided that we should protect 15 pst. damaged by nature by 2025. It's not long. At the same time, small funds have been allocated to the restoration of ants, and there is little evidence in the state budget that only five years remain until the ambitious goal of the Storting is to be achieved. Only for this purpose: SV provides funds in its alternative budget, with significantly more funds for registration, protection and restoration. And in the middle of this, we're going to have wind power expansion on land. I'm not going to start such a debate here, but I just have to mention here from the pulpit that this is probably the most significant intervention in Norwegian nature since the time of the large hydroelectric expansions here to land. Concession treatments have also gone much faster than that, and they have not been thorough, and they are not built on enough scientific assessments and nature's self-value. Not enough emphasis has been given to the political budget, and I welcome the work that the government is now doing with new concession terms.
ParlaMint-NO_2019-12-04.ana.ud111e1573	I watched TV yesterday that the Minister of Oil and Energy was visiting the municipality of Haram in Møre and Romesdal, where there was a massive local protest against plans for wind power. Let me first say that I am very pleased that the government and the oil and energy minister have stopped the concession treatment of all the projects that have been mentioned, that have been applied for, pending better information. It's positive. I would like to draw attention to a magazine, the Environment Agency, which is from the Norwegian Environmental Protection Association, where they are going through this with wind power. There are many who have spoken in this debate about renewable energy as a kind of alternative to the life-giving gas CO 2 that comes from different other energy productions – very little in Norway, but from many other countries. Here the Environmental Protection Association has taken into account the claims of wind power, and they make some juicy counterclaims and say that this is an environmental threat and climate stress, that is to say the very opposite of what renewable energy users say. A sub-title is, "The nature is sacrificed for money." It is obviously nature sacrificed, not for us here in Oslo, but for those who live in District Norway. Alternative energy sources are addressed, geothermal energy and, of course, the upgrading of very many hydroelectric power plants. There, I would ask both councils to help make the different energy sources more comparable in terms of tax rules and tax rules and depreciation rules, so that we can get alternatives to each other on what is profitable. Then you have to have the same framework conditions. They address the environmental movement and the green certificates, which have imposed increased electricity prices on the population of Norway to finance what I call climate madness. It is also the government's bluff with climate change going through, the government's downfall, contact and corruption – there are very serious accusations here, and it is also clear that some wind power operators have purchased goodwill. There are also other things I will be allowed to challenge. In particular, I would like to ask that in the department of Elvestuen you look at getting rules for low-frequency noise, which today has no upper limit, and which is necessary. I would like to challenge both state councils to clarify, in writing, what is wrong with the articles in the Environmental Agency of the Norwegian Environmental Protection Association. It may not be correct, but it would be very nice to see a rejection of what is in this, in my opinion, very good paper. Finally, I understand that predators and predators management are also a topic here today. Let me end with a personal opinion: the only good wolf is a dead wolf.
ParlaMint-NO_2019-12-04.ana.ud111e1587	It has been a good debate and an all-round debate so far. The representative Haltbrecken asked in replying the representative Heggelund what he felt after referring to the Global Carbon Project, which produced a report. Had I got that question, I would have said: I feel hope, faith – for that part also love – but there is reason to feel hope, despite the fact that there are gloomy predictions. I believe that the debate today has shown that politics is working. It is then that one action that everyone agrees with, including internationally, and that needs to be put in place as a tool to achieve the objectives of the Paris Agreement is carbon capture and storage. I record that it has been largely absent in this debate, a project where Norway is leading, where we really take climate leadership. It has not shaped this debate, but here we are delivering. So a few words about sea wind, as it has been shown to have a great potential. Here the debate has gone as if Norway did not have a position or do anything in this context. Today we are world leaders in sea winds. Norwegian companies are expanding offshore wind farms outside New York to meet the power demand of 500 households there. If we look at Doggerbank, the Norwegian industry is building sea wind to cover the electricity consumption of 4.5 million households. At least it's so that the power you produce in these places, we couldn't have built in the North Sea or any other place. It says that the sea wind market is the world, and Norwegian industry is there. So let's do what we have to do. We support technology development at home. If $2.30. kr in support of technology development for Hywind Tampen is not to be delivered, I have no better answer.
ParlaMint-NO_2019-12-04.ana.ud111e1596	I have been challenged in some areas, including: by the representative Nävra, who drew a dark picture of the administration of Norwegian nature. The budget has an increase of 76 million. kr, and we have a bet on a knowledge gap for Norwegian nature of over 100 million. kr, continued until next year. There is an increase in restoration within water management areas. It is an increase for endangered species and nature: 19 million. NOK to the first and SEK 18 million. kr to the other. Forest protection is continuing at a high level – about twice what was in the old red-green budgets. Efforts on care in protected areas are also being increased, as well as efforts on wild and wild breeds, where we have our own responsibility. In common climate objectives with the EU, we commit ourselves not only to follow up what is within the quota market, transport and the allocation of resources, but also to become part of the European objective of spatial neutrality, which will have an impact in the years to come. To the representative Enger Mehl: I take seriously that there are farmers who have great problems with predators, and that there are huge losses in some places. That's exactly why we have an extra effort in the north-east valley, where this happens often because of stripes. And that's exactly why we have a stronger response to the SNO, so that they can help. But at the same time, we have to tell you about the big picture, which is that you have a stronger grazing diet – it is vital – while also being able to care for predators. The two-part objective is to achieve both parts at the same time as entering the areas where there are problems and will be so in the future. As far as business is concerned, there is no doubt that climate and environmental policies are driving industrial development. It really does it all over the country. The main demand for business is predictability. It is not that there should be no environmental taxes, but that there should be predictability when they arrive. For me, it is difficult to see that there are some particularly more environmental taxes for which the Senter party will ultimately end up being too. On Sunday I will go to climate negotiations in Madrid. Norway will raise the need for nature-based solutions, which are essential both in Norway and globally to achieve climate objectives. In Madrid, we will also promise that we want to increase our commitments, and in Madrid, Norway has a leading role in climate change.
ParlaMint-NO_2019-12-04.ana.ud111e1617	Feeding is viable in many parts of the country, but there are also quite large areas where it is not viable, where it is completely gone. And that's what's so frustrating: that there are people like that. live in the wolf zone, which has no grazing food left at all — there is no two-part objective to talk about there — and which is never heard because the Council refers to the West, to North Norway and to other places where there is actually a grazing industry. You keep talking about what's good, without recognizing that there are actually quite a lot of people living with a very difficult situation on the body. The government in the budget proposal has now also proposed the protection of the interiors of the bear population. It will make large areas of grazing priority areas in Trøndelag, for example, breeding areas for bears, contrary to the predatory game agreement. It is serious for those who experience what they live in and in their everyday lives. We also need to be able to talk about that, and the Council of States must take over. It's not that small areas that we're talking about. Rendalen is a gigantic municipality, and there is only one of many municipalities in predatory areas. It was asked by the representative Nävra about the nationality of the wandering wolf. Then I can assure the representative that it is not that the wolves living in Norway are stationary, and that other wolves have bones. All wolves are on their way, or may be on their way. Outside the wolf zone there are wolves from Sweden and from the Norwegian part of the wolf zone. If you go right now and look at preliminary stock regulation, because there's now a census that started on 1 October, to map the population in winter, so far 31 individuals are registered. Of the 31s, 11 have an undecided status, so you don't know where they're going, because they're on the move. Six of them are defined with unexplained status and on migration, so one is absolutely sure that they are on the move, and several of them are also registered outside the wolf zone. And when the wolf zone is full, when it's close to reverberations, there's no room in the wolf zone for new wolves to settle down. It's pretty simple: if a male wolf comes to a place where there already lives wolves from before, he goes on because he can risk being killed if he goes in and tries to take over an existing revir. That's how nature works. That's why the wolf likes to go on. When there's plenty of tumors in the wolf zone, it goes out of the wolf zone. It's that simple.
ParlaMint-NO_2019-12-04.ana.ud111e1626	The representative Sigbjørn Gülsvik has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2019-12-04.ana.ud111e1631	State Council Elvesuen wondered if there were any environmental taxes the Senterpartiet is for. We already have a number of environmental taxes in Norway, and the Senterpartie also wants to use the charging policy to distort consumption, distort investment, but what is important is how the policy works: that one contributes to reducing emissions and does not fall in love with the instrument that charges are constantly to be levied. With today's government, the fees have increased by 6.3 billion. kr. In many respects, increasing taxes on competitive industries makes it more difficult for the industry to make the necessary investments and conversions. In addition, when a new fee is imposed on fishing and fishing in close waters, there is a risk that it will contribute to structural changes and that new investments will become more difficult. Therefore, one should do as the Centre Party proposes: a grant for the conversion of the Starfleet.
ParlaMint-NO_2019-12-04.ana.ud111e1638	I just wanted to say thank you for a good debate. It's definitely approaching the end. Not all priorities emerge in such a debate. There are some priorities that it might be interesting to hear more about from the left side, for example. that the working party believes it has become too expensive to contaminate in Norway now. It was their main criticism of the budget in the financial debate. The Labour Party also believes that the electric car policy has now gone too far. The centre party is opposed to a binding climate agreement, for which all other parties are in favour. They remain against the zero-emission fund for industrial transport. They stick to the old model that no one talks about anymore, which would lead to a continuation of rewarding them as contaminated, and not introducing the polluter-pays principle. Then it turned out that it did not vote when the Greens over two pages in the evening post and in front of thousands of climate-stripping young people promised that they would propose to grant 65 billion. kr to international climate action. They actively chose not to propose to grant the 65 billion. If we had adopted the Greens' alternative budget, regardless of which committee, there would not have been 65 billion. from the oil fund to international climate action, as the Greens have promised for several months now. They did not find room to prioritize it in their own budget. Otherwise, I find it interesting that neither the Left Party nor the Green Party will tell what demands they will make of parties with which they would like to cooperate. For SV it is obviously not important that it becomes more expensive to pollute. A simple yes or no question to the representative Haltbrecken at the beginning of this debate was: Is it an ultimate requirement that it should continue to be more expensive to pollute, when we hear from the financial debate that the Workers' Party believes it has become too expensive to pollute? It was not possible to get a yes or no answer to that, which indicates that the answer is obviously no, it is not that important. With this government it becomes more expensive to pollute. We contribute more to migration, help the market to change, and as a follow-up to the agreement we have with the EU, there will be a sectoral plan for achieving our 2030 climate change targets.
ParlaMint-NO_2019-12-04.ana.ud111e1651	Several have not asked for the floor on case No. 2nd@item: inlistbox
ParlaMint-NO_2019-12-04.ana.ud111e1668	At the request of the Energy and Environment Committee, the President will arrange the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to six lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2019-12-04.ana.ud111e1677	I would like to start by thanking the Committee for constructive cooperation. The attitude is not unanimous, and it is no surprise that the Central Party does not share the majority's views on this matter. I therefore expect those who are behind the majority to explain their views. The case concerns the subsequently mentioned concession request to NorthConnect and the proposal to stop this process. In March 2017, NorthConnect applied for a concession to build and operate a sea cable between Scotland and Norway. The case is still pending treatment at NVE. Meanwhile, in this Chamber, we have dealt with issues relating to the EU's third energy market package, and with the majority of the government, the Labour Party and the Green Party, a declaration with the condition that Statnet will own and operate all future inter-territorial relations. It has happened very little after that case was dealt with, and the presumption of whether NorthConnect is actually covered by this state ownership agreement appears to be very uncertain. The actual status is that the Energy Act has not been amended, and it is therefore open for private construction, ownership and operation of foreign tables. The parties share the views of the proposer on the need for more cables abroad and that Norway can contribute to the phasing out of fossil energy use in other countries by other means than exporting our perhaps all the most important competitive advantage – clean power. The Norwegian power-intensive industry is totally dependent on this competitive advantage, and risking increased power prices in Norway through a foreign table that is strictly non-needed is a high level of gambling. The proceedings in the concession handling of NorthConnect's application create uncertainty. It creates uncertainty for Norwegian industry and jobs, but it also creates uncertainty about what is really the political status of the case. Is it such that NorthConnect's application should be dealt with in line with the premise attached to the treatment of the third energy market package, or will it, despite the clear expectations created, go its way independently of it? This is a question that seems almost impossible to get a clear answer to. The central party's principal position is in any case that it is the state that is to have monopoly on ownership and the operation of cables abroad, and that it is difficult to see this matter without any connection with the will of the majority of the population also shows when it comes to giving up power and governance in energy policy, which, in the view of the Central Party, is very unwise and a little long-term policy strategy. With that, I take up the proposal of the Central Party and the Socialist Left Party.
ParlaMint-NO_2019-12-04.ana.ud111e1692	The representative Sandra Borch has taken up the proposal to which she referred.
ParlaMint-NO_2019-12-04.ana.ud111e1697	I would also like to thank the Committee on Good Cooperation. I want to start a little bit with some of the premises for this debate, and it's about someone who seems to have the impression that a power cable to the rest of the world necessarily increases the price in Norway. We know from many years of experience that is entirely dependent on the price in the country from which the power is sold, on the price in the purchaser's country, on the time and on the path and time at which the current goes, for example. Norway has a lot of clean power. The main purpose of this force is to provide the basis for Norwegian industry, further electrification and for Norway to become a whole-electrical country one day. In this context, for many years – many decades – it has proved very beneficial to ensure that we have been able to engage in exchanges, first with our Nordic neighbours and then also out of the North and down to the continent. Today we have a power exchange with Sweden, Finland, Denmark, the Netherlands and Russia, and cables are under construction for both Germany and the United Kingdom – that is, before the issue of NorthConnect came up. To take the example of Denmark, which is the best illustration of how this works: in recent years Denmark has gone from being heavily dependent on coal to producing very much wind power. Wind power is sometimes extremely cheap. Sometimes Denmark produces far more than their own consumption, and then we buy that wind power much cheaper than any power produced in Norway and import it into the country. In other periods we can sell hydro as a balancing force back to Denmark, and then we make more money on it. Thus, there is a win-win situation – or more precisely: a wind-water situation – between Norway and Denmark, which works very well for both parties. We get both lower prices for consumers in Norway and higher revenues for power exporters. This is not the case with all cross-border connections. It is therefore important to understand its context and context. The majority refers to their own agreement, to which a majority of the parties on the Stortinget have joined, and it is made very clear that there are three important premises to be taken into account before several cables are built abroad. Experience is to be gained with those already under construction and socio-economic profitability is to be ensured, and Statnet is to have a monopoly on all cables. Thus, any cable out of Norway is to be owned and operated by Statnett. Therefore, it is not appropriate to build new cables now, in line with this agreement, and we believe that this agreement will last. We have not seen any movement from the government that suggests that they do not keep their share of this agreement. We also believe that the agreement forms the basis for the work done. That is why we refer to it in detail in this setting, and we believe that this question has thus been resolved. We'll also come later in the debate, I think, to stress that what's right now can be different from what's right in the future, because the world around us is changing.
ParlaMint-NO_2019-12-04.ana.ud111e1714	I would also like to thank the Committee on Good Cooperation. Norway was at an early stage with the introduction of a market-based turnover in force. The Nord Pool Power Exchange became the world’s first international exchange for power trading after Sweden, Denmark and Finland joined from 1996. Together with the management of our natural energy resources, competition has, among other things: has led us to have Europe's lowest prices of power. By means of power exchanges with other countries, we secure ourselves against power shortages, while at the same time contributing to more stable prices both for business and in people's homes. It is then that the Norwegian economy needs to be converted in order to become less oil dependent, and with the expertise and resources that Norway has, the renewable industry can be an important piece to achieve this goal, while Norway is further transformed in a green direction. It also means that Norwegian renewable industries need to be able to grow. Power exchanges can also be important from a climate perspective, as emission-free energy sources are often unregulated. Good interconnection capacity in and between countries is therefore necessary to replace renewable energy sources in Europe. Norway has a advantage in this respect, with a view to approx. One half of the renewables that can be regulated in Europe are in Norway. Norwegian renewable energy is also positive for the competitiveness of Norwegian industry, while the powerful industry is the main customer of Norwegian renewable energy. Good framework conditions for power-intensive industries are therefore important both for Norwegian jobs and for value creation and for possible growth for Norwegian renewable industries. Then I refer to the agreement between the Right, the Advance Party, the Left, the Labour Party and the Green Party. I am pleased that the representative Barth Eide has not seen any sign that that agreement still does not stand. Frankly, I haven't.
ParlaMint-NO_2019-12-04.ana.ud111e1729	A balanced exchange of power with our neighbouring countries makes sense to ensure a stable supply of power both to households and to industry, but it also helps to phase out climate-resilient power generation in our neighbouring countries, as the wind effort in Denmark has shown. The primary task of Norwegian power producers shall be to ensure safe and adequate power across the country. Access to power at stable and predictable prices is important for industrial development in Norway and will be very important in the years to come when we are to switch from a large-scale investment in oil to a large-scale investment in green industry. New cable projects need to be balanced against Norwegian industrial development, Norwegian workplaces and the possibility of phase-out of fossil energy also here in Norway. In Statnett’s network development plan of 2019, they conclude that it is currently uncertain whether there is a basis for any new inter-national connections. We in SV therefore see no reason to grant a concession to a new project, and at least not until the beginning of the cables to Germany and the United Kingdom are finished and experience has been gained from the operation of these. It will be a good start in the 2020s at the earliest. Social benefits must be clearly documented before any new cable project is considered. In addition, it is important that the inter-national connections that we have are owned by Statnett. The reason is that they are a very important part of the Norwegian power grid. NorthConnect is owned by Agder Energie, Lynse, E-CO Energie and Vattenfall – and not by Statnett today. We therefore support the proposal that there should be no concession for this project.
ParlaMint-NO_2019-12-04.ana.ud111e1740	This proposal is open to many possible scenarios. To ensure clean energy is, among other things, Europe as a whole is now discussing – how to provide renewable and clean energy – and what the EU has confirmed in its clean energy packages. The third, 10 years after the EU, Norway has now agreed, while the EU is discussing its fourth clean energy package. It's a lot about regulation and we're dealing fairly with each other and opening up to the production of clean and renewable energy that we need more and more of when we're about to phase out fossil energy. For environmentally friendly industries, we must also take into account the arrangements already in place by industry today. They have tax reliefs that households do not have. The electricity tax that households have does not pay the industry. They also have the right to conclude long-term contracts, of 15 years. Many Norwegian industrial operators have concluded long-term agreements with, inter alia, wind power producers. State power is one of the major builders of renewable wind power in Norway. Hydro is another one. The market for this is starting to get a little saturated right now, but there is a need to build more renewable power in Norway in the future. So is the question of whether Scottish clean renewable wind can blow life into industry in the West. I don't think we should reject the possibility of replacing fossil energy and, for example, fossil energy. to protect rural areas in Norway from expansion. We have to look at this from multiple sides. This concession treatment is going through a social benefit analysis, and we're waiting for it. It also says something about what we're going to do here. However, the large picture is more renewable energy for several actors, including in Norway — and we are going to build a lot more of environmentally friendly industry. But why we're going to stop exactly NorthConnect, is a good question. It is mainly owned by public actors, and State power is also the owner of some of the municipal and county owned actors who want to build this cable. Why they should be kept out is a good question. But now we agree on an agreement where Statnett will own and operate future inter-national connections in Norway, and I am pleased with that.
ParlaMint-NO_2019-12-04.ana.ud111e1751	Should Norway be an industrial nation, or should we sell the power as a commodity to other countries? That's the core of this case. The low energy cost of green and renewable hydropower has been a decisive advantage for Norway as an industrial nation for over 100 years. The entire industry is at risk if the market is allowed to impose cold Norway, northwards, about the same energy costs as the countries further south of Europe. And that will happen increasingly for each and every new foreign table. The result of treating Norwegian hydropower as an export product can be a major industrial death. It will have a bad impact on the climate in two ways: Firstly, the industry in Norway is leading the Norwegian climate with 40 pst. reduction from 1990 to 2014. The Norwegian metal industry has the world's lowest CO 2 emissions. Aluminium produced in China has about eight times higher emissions of CO 2 than aluminium produced in Norwegian hydropower. Treating hydropower as a commodity in the EU market with the consequence that green Norwegian industry is being flagged for fossil combustion in China is a misguided climate policy. Secondly, to weaken this industry is to say of a bone that Norwegian economy must go on through the green shift. Should it be possible to step down oil and gas, as the climate crisis requires, we are totally dependent on other and greener industries for the future. Therefore, Red proposes: ‘The government is asking the government to reject the application from NorthConnect for the construction of new cable between Norway and the United Kingdom.’ NorthConnect is going to vacuum the West for power. That cable will give us, is higher power prices and uncertainty for the power-intensive industry. When the National Government of the Workers' Party accepted Acer, they made a so-called inevitable demand that the NorthConnect cable should not be built until experience has been gained with the two that are now being built in England and Germany. But this is not in the agreement that the Labour Party on Stortinget has done with the ACER comrades in the Progress Party, Right, Left and MDG. It just says that you have to gain experience before building NorthConnect. And the government parties confirm that NorthConnect is not stopped by the agreement, most recently confirmed by Energy Minister Kjell-Børge Freiberg in Stortinget last week. Since the government parties cannot confirm the so-called mandatory guarantee of the Workers' Party, the Workers' Party should do as a collective trade movement requires, pull the emergency brake and agree to stop NorthConnect and vote in favour of the Red's proposal.
ParlaMint-NO_2019-12-04.ana.ud111e1779	The company NorthConnect is owned by three of our public regional power companies – in addition to Vattenfall, the state-owned Swedish power company. They have applied for a concession for a power cable between Norway and the United Kingdom. The NVE shall provide an overall assessment of the application to the Ministry before the concession procedure continues. The overall assessment of the NVE will be sent to the hearing in the usual manner when the ministry is sent the matter. In the concession treatment, the Ministry will review all social benefits and costs of the project. In examining the third energy market package, the bulk of the population argued that the Ministry of Oil and Energy had to complete the NorthConnect concession application before promoting a legislative change on ownership of foreign connections — and that in the future it would be Statnet that owns and operates all foreign connections. Let there be no doubt: the leadership of the Grand Duchy is the basis for the ministry’s examination of the concession application and ownership issues. Adequate treatment of the concession application in line with the frameworks of the Energy Act and the Administrative Law makes it impossible to take a decision on the concession application at present. I am therefore pleased with the committee's recommendation not to adopt the representative proposal from the big business representative, Mr Moxnes, to stop NorthConnect now.
ParlaMint-NO_2019-12-04.ana.ud111e1790	It opens for line chord shifts.
ParlaMint-NO_2019-12-04.ana.ud111e1796	A clear criterion for the concession treatment of NorthConnect is the agreement of government parties, among other things. The working party to gain experience from existing cables and cables under construction before granting a concession. What's the experience? Is it somehow a simulation of experience? Is that two weeks' experience? Is that a year's experience? Or is there five years of experience in operating the existing cables and those under construction?
ParlaMint-NO_2019-12-04.ana.ud111e1803	As I said in my post, this application is normally dealt with according to administrative practices and the law underlying this type of application. So Stortinget has given some guidance on how to assess the concession request in addition to it, including: It is, as the representative here points out, inside a lead that the Council of State can confirm that we will follow up and respond to the concession treatment itself. The assessments requested here are part of the assessments to be made when we start the concession procedure, after we have been sent from the professional authorities the basis on which we will assess this.
ParlaMint-NO_2019-12-04.ana.ud111e1808	I hear what the Council of State says, that this should be done in the ordinary way and after Stortingen's leadership, but I did not get a response to how much experience to gain before going to a concessional treatment. Is it that two weeks' operating time is enough, or should you take longer to gain experience from the cables that exist and are under construction before entering a real concession process?
ParlaMint-NO_2019-12-04.ana.ud111e1813	As I replied to the representative, the assessments we're going to make are part of the concession process itself. And the concession treatment is going to start with in my department when we get the professional basis from NVE. Then we're going to answer how we're going to gain experience, as the Storting has said. When I can't be more clear about it, it's precisely because we haven't started that job. Now we are waiting for the professional basis, which I believe is important when we are going to address various questions, including the question that the representative of the Central Party is asking.
ParlaMint-NO_2019-12-04.ana.ud111e1820	I'm recording that I'm not coming any further with that question, so let me ask you a question that was in ABC News here by day, about bottleneck receipts from the foreign tables. In the past, bottleneck revenues have been said to contribute to the reduction of network rental for Norwegian consumers and industry, while the regulatory authority, RME, which is the body monitoring compliance with EU legislation, has said that bottlenecks revenue should be used primarily for the maintenance of cables and also for investing in increased transmission capacity if it is socially viable. Isn't this a breach of the sovereignty waiver discussed here when we had the Acer case in March 2018?
ParlaMint-NO_2019-12-04.ana.ud111e1825	If I understood the representative there that there is a reference to question 1549, from the representative of Moxnes, this article is about, then the question was what total network rental in Norway has been in the period 2006 to 2018. I then showed that the third energy market package came into force in Norway on 3 October 2019 and therefore had no impact on the network rental for the period I had responded to. In addition, the third energy market package does not contain any prohibition on the full inclusion of bottleneck revenues in the tariff base of the transmission network.
ParlaMint-NO_2019-12-04.ana.ud111e1832	I want to read a comment from the setting that the Working Party and SV are behind. It says: ‘The members of the Committee of the Workers' Party and the Socialist Left do not therefore see the basis for granting a concession to a new project until the beginnings of the cables to Germany and the United Kingdom have been completed and experience gained from their operation.’ My questions to the Council of State are: Is the Council of State agreeing with its partner the Workers' Party in this, and will he then reject the application for the construction of NorthConnect?
ParlaMint-NO_2019-12-04.ana.ud111e1842	As I said in my post, there should be no doubt: the ministry is basing on the leadership Stortinget has said to be in this concession treatment. I absolutely intend to follow up on that. Then there is a political agreement where the Council of State also intends to follow up in the treatment of NorthConnect. So it is that no decision has been taken on this application. I point out that there comes a thorough professional basis, which is what is to be taken into account before you draw a conclusion, really in line with the way you do it in this country. I think that's wise. I think that's good. We're going to do that job, and then we're going to conclude, where we're going to answer what the Storting has from leaders, and the agreement from the Workers' Party.
ParlaMint-NO_2019-12-04.ana.ud111e1849	I thank you for the answer, although there might not have been a complete answer to the question, so I get to try a little bit different twist, I also. In the agreement between the Government and, inter alia, The working party in the Acer case states that experience must be gained from the two cables under construction before considering new projects. My question is: does it mean that the two cables are going to be in operation for a certain period, short or long, before the Council of State takes its decision on NorthConnect?
ParlaMint-NO_2019-12-04.ana.ud111e1856	I believe I have answered this question. In all modesty I believe that I have answered this question well. The size has led to how this is to be treated. It's going to follow up on the Council of States. Then I have said that the leadership in terms of gaining experience is part of the assessments that have to be taken into account when we are going to start by reviewing the professional basis on which we are going to make a decision. So I just want to be very clear that no decision has been made. We're going to start that job in a very ordinary, tidy way pretty soon.
ParlaMint-NO_2019-12-04.ana.ud111e1865	The next and last replicator is the Bears of the Moxnes. The Council of State may have another opportunity to respond well to the question.
ParlaMint-NO_2019-12-04.ana.ud111e1871	I would say in all modesty that the council may not have answered very well the question he has now received six times from different parties in the opposition. The agreement between the ACER comrades states: ‘Any new cables shall be socio-economically viable and experience gained and detailed analyses shall be carried out before new connections can be established.’;» That means you can do an analysis for the spring and then say that you got a receipt from the agreement and thus say yes to NorthConnect. The working party agreed before the summer on another proposal that, on the other hand, «will the government approach several foreign tables before we have gained experience of the two started cables to Germany and the United Kingdom.». So the question is whether the council agrees, that we have to get these cables built and operating before it can be relevant to say yes to NorthConnect.
ParlaMint-NO_2019-12-04.ana.ud111e1888	I've answered this, and I just want to show you what I've said before. The way we're going to gain experience is part of the total picture, the total review we're going to have when we're going to process this. I must nevertheless be allowed to say that I am very pleased that this round has had a fairly good clarification on what has been mentioned in this debate, and that was a debate in this Chamber last week, and that is with national autonomy over our energy resources, especially in relation to the debate around Acer. So when the representative of Moxnes believes that we have given up sovereignty and promote representative proposals and ask me to stop NorthConnect, we cannot get better evidence that we have national governing rights – that's good, because that's what it is, and the Council of States must also prove that we actually have.
ParlaMint-NO_2019-12-04.ana.ud111e1895	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2019-12-04.ana.ud111e1902	I would also like to say that I understand very clearly that the Council of State has answered this question – that it is in line with the agreement that we five parties together make up three-quarters of the Grand Council, that is, that three criteria should be taken into account. It is that experience is to be gained with the cables under construction, the socio-economic profitability of any new cables if they are built, and Statnett will have a monopoly on all new cables – i.e. that all cables will be owned and operated by Statnett in and out of Norway. As the representative Haltbrecken was in the right place, and as we also write about in the settings, SV and the Workers' Party, Statnett's network development plan makes it very clear that it would be unwise to establish further connections before we know what the two now under construction are adding. One simply has to look at the system power, not just the price, but the system power in the Norwegian mains network, before going on with further expansion. That's a wise position from Statnett. It's also completely in line with what the majority has voted in favour of. It is, as you know, very difficult to gain experience from something that has not happened. In order to reap an experience, something must have taken place first, otherwise it is difficult to reap an experience. I'm happy to, for example. The representative Haltbrecken and SV so clearly underline the need for foreign tables and that being associated with the rest of the world can also contribute to reducing climate change emissions in other countries. It's a position that SV has had, and I have, and I'm happy for it. Actually, I felt that Mr. Haltbrecken's contribution was a very clear support for the majority's view, although he has a slightly different conclusion himself. It's just the things that have to be taken into account. But I am concerned when the representative Moxnes, on the other hand, says that any new cable will weaken the situation of the Norwegian industry. It's proven to be wrong. That's just not right. Every single night, the reasonable force flows into Norway that operates Norwegian melting plants — every single night. Large parts of the year we have significant net imports. In March we imported seven times as much power as we could export, because then it had been a cold winter, the magazines were empty. We got cheap power from the rest of the world all March – seven times as much as we exported. It's actually Norwegian industry very happy. It would have been significantly more expensive — significantly more expensive — to operate Norwegian melting plants if we did not have the opportunity to balance with foreign power. So as a general statement, it's simply not right. And that is not a political position – it is a measurable fact. But then we have to say that that's true, while in some context it will be so that increased power exchange with other countries can increase the price. It depends on how the price is in that country. That is why we will gain experience and take a closer look at the particular cable that is currently being debated.
ParlaMint-NO_2019-12-04.ana.ud111e1915	I come from a part of the country where we have been dependent on being able to exchange power with other states, but also with other countries, such as Sweden. A few years ago, there was an alleged power crisis in Trøndelag. As a result, the authorities spent several billion kroner setting up two highly polluting mobile gas power plants. Not only were they expensive, they were also more than highly polluting. Thanks to the upgrading of the line towards Sweden, we managed through the winter without having to use these mobile gas power plants. It shows that power exchanges are good and can help cut emissions both in the rest of the world and in Norway. But then the question is when we discuss even more new cables abroad: What are the consequences for the climate? What impact does this have on Norwegian industry? I regard it as a very fundamental part of the agreement between the Greens and the Greens on the Acer regime, that we should gain experience from the two cables under construction before giving a concession to NorthConnect. NorthConnect can have major negative impacts on Norwegian industry, and therefore we should first have experience with the two cables under construction. Now we don't get a response from the Council of State Freiberg about whether this with experience from the two cables means that they should have been in operation for a short or longer period before the decision is taken. So then I can try to challenge the Workers' Party, which is a central part of this agreement: Does the Workers' Party believe that the agreement means that the two cables under construction must have been in operation – for a short or long time – before the decision on NorthConnect is taken?
