ParlaMint-NO_2019-03-13.ana.ud100e28	The representative, Martin Henriksen, will put forward a proposal for a representative.
ParlaMint-NO_2019-03-13.ana.ud100e1448	I am pleased that the representative Heggo is concerned about the role of oil and gas business as an important district industry. The industry has employees in almost all its municipalities and provides the basis for more than 170,000 employees throughout the country. I see this myself every time I go home to the brook. Then I meet people who are on their way to and from work in the oil industry, people who shop at the local store and demand goods and services locally. We cannot adopt ring effects. The foundation is a stable and predictable oil and gas policy, in which the industry is allocated new land – where suppliers of goods and services to businesses are efficient and competitive, so that our fields live as far as possible and create maximum values for society and that contracts are awarded to the best providers. Petroleum policy means I deliver. In 2019, oil and gas are estimated to contribute 286 billion. kr in the treasury. If we had distributed this money directly to the residents of the country, each household of four had received more than NOK 200,000. The representative's party trap, Ola Tegen, knows a lot about this. He is the rapporteur in the municipality of Flora and is the host of Fjord Base, which supplies a number of fields in the North Sea. Right now, giant projects are working on investments of 20 billion. kr in the Gejöa area and not least have the Do field extended life. In addition, the plan is to operate the Snorre field until 2040, more than 25 years longer than foreseen in the Development and Operation Plan, PUD. Ola Tegen knows that the projects will provide great opportunities, including for the players at Fjord Base, and will contribute positively to both the municipality and the region. With continued active petroleum policies providing new projects at sea and facilitating competitive economic activity locally, we ensure robust activity on the mainland and along the coast, including at the base of the municipality of Flora, in the representative's home state.
ParlaMint-NO_2019-03-13.ana.ud100e1461	I thank you for your answer. It would also be very nice if the council had answered the question I asked. The concession terms are used to secure local ring effects, e.g.: logistics is very important for the Florø base. KonKraft operates with the project «Competitive force – Norwegian base for change». Here is the logistics one of the inputs one should be further worked on. Outsourcing can quickly be the answer. This may mean that operators are less governed by such self and that a third party is taking over on behalf of several oil companies with common or similar needs. How will the Council of State ensure transparency in, for example: ConForce, so that we ensure that concession requirements and the will of the Storting are followed up in practice?
ParlaMint-NO_2019-03-13.ana.ud100e1468	I would like to refer to the government of Stoltenberg's proposal to amend the petroleum law § 10-2, which was adopted by the Stortinget in 2011, as mentioned requirements for the organisation and management of the petroleum activity, among others. Bases. It was demonstrated that rightholders will decide on a commercial basis bases to be used in the petroleum activity. As I said in my main answer, it's like we have a division of labour, and I refer to what I just referred to, and the Storting has adopted. It is the companies that make the commercial decisions, and then the authorities that own the resources have an important role to play. And assigning new land, as this government has done, ensures that there is activity along the whole coast, also on the base of Florø.
ParlaMint-NO_2019-03-13.ana.ud100e1475	I thank you for your answer. Will the Council of State accept non-concessional decisions by companies? The United Kingdom has a model where the supply bases are mainly clean transhipment ports, while the bases in the Norwegian model are well-functioning clusters where the volume of activity, complexity and service width allow competitive services to be provided along a wide range. Such a Norwegian model is entirely decisive for the Florø base and also provides a better basis for gradually developing new and greener industries. If the Council of State ensures that the Norwegian model is maintained, and how will it ensure transparency in e.g.: ConKraft?
ParlaMint-NO_2019-03-13.ana.ud100e1486	I refer to Prop. 85 S for 2010–2011, on the extension and operation of the Valemon field, Innst. 376 S for 2010-2011 and Stortinget’s decision on the plan for the expansion and operation of the Valemon field, approved by the Ministry on 30 June 2011. The approval was granted in accordance with the submitted plans, comments, assumptions and conditions resulting from that proposition and cancellation, and then no conditions were imposed for the use of specific bases for supply and helicopter transport. But I understand that I and the representative have exactly the same desire: as many ringing effects as possible. That is why this government has also had an active policy for the allocation of new land, as we have. did at the beginning of this year, with historical 83 new extraction permits, which will also generate activity on the Florø base.
ParlaMint-NO_2019-03-13.ana.ud100e1496	I am delighted to ask the following questions: ‘The Caribbean is an energy region. Our industry is the world leader in its fields. It makes us well positioned for the future with higher value creation and lower greenhouse gas emissions. A greater part of the Norwegian base shall be electrified. In reality, we are building infrastructure on the seabed that can be used by seawinds in the future. This is how the oil and gas industry is a crucial industry for building green industry. What is the government’s strategy for using our world-leading petroleum competence and technology to build the Norwegian sea wind industry?’
ParlaMint-NO_2019-03-13.ana.ud100e1505	There is a revolutionary development in offshore wind power, and Norway can and must both play an important role in this development. The market for offshore wind power is international, both in our neighbourhoods, in Europe, in Asia and in North and South America. Despite the fact that we have not yet had a domestic market of importance, we can rejoice that Norwegian companies export goods and services for billions of dollars to this industry. It is important that the industry continues to seize the exciting opportunities that are now emerging. Norwegian companies have a high level of competence in the marine industry and are competitive and competent in offshore wind power. The government presented our strategy for liquid wind power in the 2018 budget, and it is still an expression of government policy in this area. An important starting point for our strategy is that Norwegian companies have strong expertise in the oil and gas industry, shipping and renewable power generation, as the representative points out here. Through the support to Norwegian Energy Partners, NORWEP, the government contributes to the promotion of Norwegian offshore wind power companies in international markets. In addition, the activity is supported by our general trade promotion schemes. Enova may support demonstration projects for offshore wind power. Otherwise, it is a premise for the development of renewable energy in Norway to take place under market conditions, i.e. without subsidies and aid. Developments are going very fast. In some ways, we can imagine a commercial activity in renewable energy also in Norwegian seas. Therefore, my department is now preparing the opening of one or two areas for concession applications for renewable energy production at sea, as stated by the Marine Energy Act. The Ministry also prepares a proposal for a regulation of the Law on Marine Energy, such as: will clarify the procedure for this type of concession.
ParlaMint-NO_2019-03-13.ana.ud100e1518	I thank the Council of State for the answer. There are many different instruments and fine words. My fear is that the effort is spread thinly beyond different instruments without a clear objective for Norwegian industrial construction of liquid sea wind technology, based on the shoulders of the oil and gas industries. Therefore, my follow-up question to the Government Council is whether the government has a concrete objective for Norwegian industry, and where it should be, based on floating sea winds, for example. in the year 2030.
ParlaMint-NO_2019-03-13.ana.ud100e1523	I refer to what is on the Granavolden platform and to my main response, where I point out that we are working on opening up areas just so that this type of project can be developed. We have a general tool that I think hits this well. There is nothing wrong with promoting good projects, and my ministry will evaluate all applications for permits that come to build renewable energy.
ParlaMint-NO_2019-03-13.ana.ud100e1528	My question was not about opening up areas. It's good that the government is in the process. The OECD believes that sea wind will be one of our most important marine industries in 2030, and in Europe, offshore wind power is the fastest form of renewable energy production. This train is leaving now. The question is whether we should be involved in Norway and seize the opportunity to create a new industrial venture. The industry itself has asked the government to define clear targets for building a new industry based on liquid sea winds. Today, Norway stands for 5 pst. the market share of technology for services in the global maritime wind market. There is a high proportion for a small country, but industry wants us to define a target to increase the proportion to 10 pst. in 2030. Is it relevant for the government to set such a concrete objective for new industry based on marine wind technology?
ParlaMint-NO_2019-03-13.ana.ud100e1533	I believe that in my main response that was what I announced. You're working on opening up areas, and I also showed you what the Granavolden platform says about demonstration projects, etc. We're working on this right now, and it's not long before we can present these proposals. The Ministry has done a thorough job on this, and we must acknowledge that, among other things. are large areas under consideration — with many interests, such as fisheries, environmental and petroleum interests. I think the best thing we can do is do a thorough job on this. Demonstration projects, projects for the supply of petroleum installations, may be requested at any time. You don't have to wait for areas to open.
ParlaMint-NO_2019-03-13.ana.ud100e1543	I want to ask questions to the Minister of Oil and Energy. It reads as follows: ‘In the revised national budget for 2018, the government wrote: ‘Decision to contribute to the financing of the investment and operation of a full scale project for the capture and storage of CO 2 needs to be assessed against other climate action. We must choose effective measures that maximise the climate impact.’» What other climate action does the Council of State consider more effective than carbon capture and storage?’
ParlaMint-NO_2019-03-13.ana.ud100e1555	Climate challenges require considerable efforts in the years ahead and need to be met within a narrower range of budgetary action. This means that it is always necessary to choose effective measures that maximise climate impact. This has been Norwegian policy for many years, and it has been and is – I believe – broad political agreement that cost-effectiveness should be a pillar of Norwegian climate policy. The working party has also supported this, and the principle has even been called the Stoltenberg model. It is not a single measure that will take Norway to the low-emission society. It's all about doing a lot of things at once. Within my remit, we have e.g. also established a research centre on low-carbon technologies, which reinforces government efforts to reduce Norwegian capped emissions. If the world succeeds in reducing global greenhouse gas emissions in line with climate objectives and at the lowest possible cost, the capture and storage of CO 2 will be absolutely necessary. At the same time, there is a considerable uncertainty about the future development of CO 2 management. Only when many countries use this technology will CO 2 management become a cost-effective global climate action. Therefore, it is important that the Norwegian project contributes to knowledge dissemination and technology development internationally. A reasonable level of costs is essential here for the project to become a good demonstration project demonstrating that capture and storage is possible economically. Then we have to make sure that the Norwegian project contributes to increasing the threat of CO 2 management as climate action and does not deter other future projects. The government is therefore working for a project that contributes to the achievement of a sufficiently low cost level of CO 2 management, as well as making it visible that other builders will follow and that the learning that emerges in the demonstration facility will be disseminated to subsequent builders.
ParlaMint-NO_2019-03-13.ana.ud100e1579	The Intergovernmental Panel on Climate Change states that the world is likely to need a rapid and comprehensive deployment of carbon capture and storage in order to limit global warming by 2 degrees. Norway has acceded to the Paris Agreement and committed itself to achieving the climate objectives by 2030, which means a reduction of climate emissions by at least 40 pst. An early commitment to CO 2 management in Norway could build future competitiveness for Norwegian industry, both on the mainland and on Norwegian base. This initiative can help reduce climate change emissions, increase value creation and create many thousands of new jobs. I did not receive a reply as to whether the Council of State has other measures that he believes are better than carbon capture and storage. I just got a summary that there are many things that have to be done at the same time – no clear priorities. My question is: what is the Council of State doing now to realise the carbon capture and storage effort, which is incredibly important for the Norwegian industry and the possibilities ahead?
ParlaMint-NO_2019-03-13.ana.ud100e1589	The overall objective of the government’s work on the capture and storage of CO 2 is to contribute to a cost-effective response to global climate change. There are major international actors involved in the Norwegian project. This gives the Norwegian project good prerequisites for contributing to international technology development and knowledge dissemination. In order to reduce costs significantly, many projects need to be developed at global level and the government is working with the EU and other countries to promote CO 2 management as one of the solutions to global climate challenges.
ParlaMint-NO_2019-03-13.ana.ud100e1600	It is interesting to follow up on this, because the Council of State does not answer the question I am asking. But I can follow up on what the Council of State is talking about, and that's the cost that's the important answer here. Then it is interesting to know: When does the Council of State realize that an investment decision is being made for the carbon capture and storage project? Will you be able to do it by 2020, or will you push it by 2021 and help that maybe nothing happens? It's incredibly important that the government is ahead and not leaning backwards and just letting things float. I feel that the government lacks control of this, and I expect the Council of State to confirm whether there is a matter for the Stortinget about financing models during the spring, as the government itself has said. That matter has not yet come, and I wonder when it will come.
ParlaMint-NO_2019-03-13.ana.ud100e1605	It may be confirmed by the Council of State. The government will deliver on the order made by Stortinget to return to Stortinget in spring 2019 with a visualisation of different funding models. I can confirm that the government will do that. At the same time, I can confirm that the timetable that has been mentioned and announced in connection with the CCS project, the whole chain, is solid, and a decision has been pointed out in 2020/2021.
ParlaMint-NO_2019-03-13.ana.ud100e1615	‘There are few, if any, emission scenarios reaching the target of limiting the temperature increase to two degrees without carbon capture and storage. When the government still hesitates to put in place carbon capture and storage – is it because it is believed that Norway has already achieved the climate targets and made the necessary emission cuts?’
ParlaMint-NO_2019-03-13.ana.ud100e1622	The government does not hesitate to put in place a good project for the capture, transport and storage of CO 2 in Norway. We work hard with the industry actors to establish a solid basis for decision making on investment in the full-scale project. The government’s climate policy aims to cut emissions as quickly as possible and to help develop technological solutions that enable the world to achieve the objectives of the Paris Agreement. If the world succeeds in reducing global greenhouse gas emissions in line with climate objectives and at the lowest possible cost, the capture and storage of CO 2 will be absolutely necessary. This makes clear both the United Nations Panel on Climate Change and the International Energy Agency. The Government contributes to the development of CO 2 capture, transport and storage technologies. We have expressed our ambition to achieve a cost-effective solution for full-scale CO 2 management in Norway, which provides technology development in an international perspective. Norway is also working on developing technologies that the world needs to meet its climate targets, while cutting its own emissions. The Granavolden platform refers to cross-sectoral economic instruments in the form of tariffs and tradable allowances and is – and should be – the main means of reducing emissions in Norway. Norway has fulfilled the Kyoto obligation in the first commitment period, and we will meet the Norwegian Kyoto obligation in the current period. Under the Paris Agreement, Norway has notified a conditional emission target to reduce greenhouse gas emissions by at least 40 pst. in comparison with 1990. The Climate Act sets this goal. The EU has notified a similar target. We are in dialogue with the EU on the joint achievement of the 2030 emission target. Norway is already participating in the EU ETS for enterprises, which will be included as one of three pillars in a joint agreement to meet the 2030 emission target.
ParlaMint-NO_2019-03-13.ana.ud100e1647	The climate policy of this government is slow. We're not in the process of reaching our obligations, and we're not doing what we're going to do to avoid exceeding the world's temperature by over 1.5 degrees. And based on what I heard in Political Quarter yesterday, I understand why. It is clear that when the government's figures here at Stortinget talk about climate hysteria and disapprove climate refugees of the fact that there are bad weather also in Norway, it goes without saying that climate action from this government is slow. I get worried when I hear all the reservations the minister takes when we talk about capture and storage. He refers to the international perspective, and not least he refers to the expenditure. It is clear that this will be a large and expensive project, but the most expensive is climate change. Does the Council agree that the most expensive thing we do in climate policy is not to act in creating technologies for capture and storage?
ParlaMint-NO_2019-03-13.ana.ud100e1654	We don't have time to waste, and we're doing what we can to get a good decision base as quickly as possible. At the same time, both the State and the industrial actors in the project are engaged in following a good industrial project cycle. This means that we need to spend the necessary time planning of this project. The government does not want to increase the risk in the project by providing the schedule notified. The Government presented in the revised budget for 2018 that an investment decision can be taken in 2020/2021. This was also repeated in the State budget for 2019. It is this timetable that still applies.
ParlaMint-NO_2019-03-13.ana.ud100e1661	We have no time to lose, says the Minister of Energy. But we have already lost a whole year, because when the government presented the state budget for 2018, it was a cut for CO 2 cleaning in the industry that went from 360 million. NOK 20 million. kr. No bet – there was a total deletion of the entire bet that the government had previously had. This has meant that it has already been a year’s postponement – now the Minister is talking about 2021. One might suspect that he wants to go off himself before he asks someone to start this project. One problem is the one year itself – it’s serious enough in itself – but the most serious thing is what kind of signals the government sends out when they propose cut, and when they don’t show the will to lead. This is a major project for Norway, which requires strong figures. Then I'm worried when the Energy Minister talks, because he's not the power you need around the King's table for this big project for Norway. Does the Council agree that the hugely cut government implemented in 2018 sent bad signals to the market and bad signals around Norway’s willingness to invest in the project?
ParlaMint-NO_2019-03-13.ana.ud100e1673	This Council of State acceded on 31 August last year. Every day that has passed since that date has the interest in CCS increased. It's because the world recognizes that this is one of the tools that need to be put in place. But every day, my department has also been busy talking to those who are our natural partners in this project, in Norway and abroad. We haven't downgraded this project. With this project, we have just done what we have told us to do. We've prioritised it. I refer to the current year's budget: it is set at 650 million. kr, in line with the timetable stated – and laid down – for this project.
ParlaMint-NO_2019-03-13.ana.ud100e1683	‘Norway has the possibility to develop solutions and infrastructure that can ‘decarbonise’ the European industry by storing CO 2 in the North Sea. Carbon capture and storage is the closest we come to a common solution for emissions from, among other things. metallurgical, mechanical and chemical industries. [[CCS]] The State budget for 2019 stated on CO 2 management that ‘the government has an ambition to achieve a cost-effective solution for full scale CO 2 management in Norway, which provides technology development in an international perspective’. Does the Council of State consider that the actors involved in CCS in Norway are not contributing to technology development in an international perspective?’
ParlaMint-NO_2019-03-13.ana.ud100e1699	The government is very pleased with the international breadth of the actors involved in the Norwegian CO 2 management project. Here are major international actors, such as Finnish Fortum, German Heidelberg, French Total and Dutch Shell, as well as major Norwegian players with significant international presence, such as Equinor and Aker Solutions. This has given us a good starting point for international technology development and knowledge dissemination. In order for the knowledge we build to be disseminated as widely as possible, we need to work hard to ensure that the full scale project contributes to the realisation of several international projects. There may be projects using the Norwegian transport and storage infrastructure and there may be new projects elsewhere. Therefore, together with the industrial actors in the project, the government is working with, inter alia: removing barriers to the transport of CO 2 across national borders and supporting financial instruments in Europe for subsequent projects. Industrial actors are making great efforts to obtain CO 2 from European emission sources that can benefit from a Norwegian CO 2 transport and storage infrastructure. The experience of the technology centre at Mongstad shows that technology can be successfully spread internationally. At TCM, the state is owned together with Equinor, Shell and Total. Large international companies have tested, and want to test, capture technology at this center. The TCM and the built-up competences are requested internationally, including: from China and the United States. In order for CO 2 capture and storage to become an effective climate action, it must be put into international use on a large scale. The government wants the work on the full scale project in Norway to contribute to this. The major international actors involved in the full-scale project are already working well with knowledge dissemination and technology development to help us achieve this goal, but it also depends on the demand for technology from others.
ParlaMint-NO_2019-03-13.ana.ud100e1725	I don't think the Council of States is taking seriously. We have two challenges. We have a challenge that is the climate challenge. So we have challenge number two, we have a big oil industry and a big industry that requires cleaning. We are daily under pressure for the oil industry to step down – it is to be protected, we cannot let that activity come. The only answer to all of this is get CO 2 cleaning in place. We can then maintain 300,000 jobs, but if we are to start stepping down our oil business because of demands that come because we are dropping out too much, it is much better that we invest heavily in CO 2 cleaning – spending money on it. It also has to be included in these arithmetical tools as a tool, when assessing what it costs to build storage and what it costs with capture facilities. How much does it cost to keep all the billions out there in the ground?
ParlaMint-NO_2019-03-13.ana.ud100e1736	I can establish that it is not the government's policy to step down the activity on Norwegian pedestal, nor to liquidate the activity on Norwegian pedestal – on the contrary. In parallel with this, we work, as I have answered in previous questions, with the CCS project, as we have notified Stortinget about. We have this year, among others. A $650-million frame. kr to work out this project until an investment decision, with which we will of course return to Stortinget. We're not doing this alone, we're doing it with heavy industrial players, we're doing it with alliance partners in Europe, and we have to do it if we're going to succeed.
ParlaMint-NO_2019-03-13.ana.ud100e1743	Yes, one does it with others, but one does it for the platters, it's too little of it, it's just talking, because we need someone to act. Now I'm going to end up asking another question, and it's about the central repository that you're talking about in that context: will the central repository that's now to be built in Eyegarden be built independently of the solutions that you can find for capture facilities on Norcem and Klemetsrud?
ParlaMint-NO_2019-03-13.ana.ud100e1748	We're working on one project, and it's capture and storage. That's what the project is, and that's what the project we're going to be working on towards an investment decision, which we're going back to Stortinget.
ParlaMint-NO_2019-03-13.ana.ud100e1756	‘Carbon capture and storage make Norwegian industry part of the solution to the climate problem while creating new jobs. If Norway delivers storage according to the EU carbon capture and storage roadmap, it will involve 22 000 jobs only linked to carbon storage as early as 2030. In addition, work is provided in the field of catch and transport. Would the Council agree that Norway would benefit from the establishment of these jobs in this country?’
ParlaMint-NO_2019-03-13.ana.ud100e1763	Both the Intergovernmental Panel on Climate Change and the International Energy Agency point out that it will be very difficult, and not least more expensive, to achieve the objectives of the Paris Agreement without capture and storage of CO 2. And if we succeed in the full-scale project, which helps to spread technology internationally, this can be a significant industry of competence for Norway. Nevertheless, it is very difficult to calculate how the employment effects will be and where they will take place. Norway currently has significant competence and activity in this area, and achieving a cost-effective solution for full-scale CO 2 management in Norway will lead to job creation in Norway as well. For the climate, the number of tonnes of CO 2 permanently stored underground, and not the number of jobs in Norway, is the most important. At the same time, for Norway, it is an advantage that the efforts we make for the climate also create jobs, as the representative points out. Let me just stress that the government wants to get as much as possible back for any full-scale project in Norway. The main objective of the project is to contribute to the development of a cost-effective technology for the capture, transport and storage of CO 2. But we also want to facilitate the project to generate jobs in Norway. The project, I mean, is well set up to just do it.
ParlaMint-NO_2019-03-13.ana.ud100e1786	Thanks for the answer. Norway has really succeeded in particular in one field, and there is the TCM in Mongstad. It has become the world's largest and most flexible carbon capture test facility. In addition, over many years of operation, it has built up its own competence to make it extremely attractive. I heard from other colleagues who have asked questions earlier, that Chinese and Americans want to use our facility rather than invest in a similar self. Among other things, the Americans have spent 40 million dollars. the dollar through its oil and energy department to six different companies, including one that has signed an agreement with the TCM on Mongstad. The problem is that they only have concession until August 2020, while they have contracts for three years to come. When will the Minister ensure that they are extended that concession?
ParlaMint-NO_2019-03-13.ana.ud100e1795	A new agreement with the technology centre in Mongstad is something the department is working on now, and it is negotiated with possible future actors. The technology centre in Mongstad, as the representative points out, is important. It's part of the competence base, and I think it has been, is today, and is going to be in the future.
ParlaMint-NO_2019-03-13.ana.ud100e1800	For this with predictability in the case of a centre, when the Americans are in line to establish their companies to produce as far as maturity and commercialisation: this is one year ahead. Why can't we just prioritize that part? And another question: what does the Minister do to create that market in view of future products that are capable of being produced in parallel with carbon storage?
ParlaMint-NO_2019-03-13.ana.ud100e1807	Let me just refer to the government's CCS project and to the answer I gave instead. The agreement that concerns the technology center in Mongstad is something that we're working on, and you're going to get back to it.
ParlaMint-NO_2019-03-13.ana.ud100e1815	‘Through carbon capture and storage, Norway can secure emission-free energy for Europe while offering European industry CO 2 storage – in line with the Paris Agreement. It could be a major and important industry for Norway. When we found oil and gas, we stimulated technological development by the state taking almost the entire bill, against the companies paying almost 80 pst. in taxes on the income. The United States is now to grant tax effusion for each tonne of CO 2 that is purified and stored. Will the government introduce such a climate refund scheme in Norway?’
ParlaMint-NO_2019-03-13.ana.ud100e1828	There is a broad consensus on the need to capture and store CO2 and considerable resources are being used to develop the technology. As I mentioned earlier this year, more than 650 million have been allocated. to follow up on this work – significant means of demonstrating the government’s willingness to stimulate technological development. An investment decision in the full scale project is now under way, where project studies are also to be carried out, and the results are to be quality assured according to the country’s project model. The most important thing we can do to contribute to the development of CO2 capture and storage is to ensure that this work succeeds, so that by making an investment decision we can provide a good basis for decision-making for the Storting. I can assure the representative that all the actors involved are working hard to get this done. In the context of the review of the revised national budget for 2018, the majority of this government asked to provide information on current financing models for the capture, transport and storage of CO2 during spring 2019. I can confirm that this follows the government up. A full scale project will initially entail large expenditure and revenue. However, the aim is to have a positive impact on other projects, and our efforts must therefore be designed in line with this objective, in contrast to the oil and gas activities, where the main objective is to maximise revenues.
ParlaMint-NO_2019-03-13.ana.ud100e1839	I did not ask about the full-scale project, but about a climate refund scheme in Norway, and if the government thinks about it. The United States now passed a law in February that gives companies tax effusion for each tonne of CO2 they clean and store. I hear a government council that has done some priorities, but here there are little plans and little visions. If Norway does not sign up here, the possibility will fail. We should have an ambition to deliver CO2-free energy to Europe, and we should look to a climate-reduction system that surpasses its US, to speed up the implementation of profitable capture and storage of CO2 and to ensure the transition to CO2-free energy supply in Europe. Why won't the government look at solutions that will give Norwegian opportunities to create these values towards a European market in the first place?
ParlaMint-NO_2019-03-13.ana.ud100e1846	The U.S. may have found a model that can work for their relationship, and I perceive that model is neither 100 pst. has been prepared or has found its solution. We in Norway need to find our own models and do what is right for us. Negotiations are now ongoing with the industrial actors in the full scale project, where possible, aid for the investment and operation of the capture, transport and storage of CO2. The outcome of these negotiations could form the basis for a commercial model.
ParlaMint-NO_2019-03-13.ana.ud100e1853	Norway has to look at solutions that suit us. I fully agree with the Council of State on this. If you, for example, Taking the goal of converting Norwegian gas into hydrogen, we can still use the Norwegian pipeline system to Europe as well as the pipes that transport the gas to the kitchen in England and down to the continent. Replacing this system with power lines will involve enormous costs and is likely to delay the transition to climate-friendly power. It is precisely about seeing Norway’s advantage and Norway’s opportunities. In other words, we can secure emission-free energy for Europe by cleaning out CO2 and storing it on the seabed, exactly what the Paris Agreement and the Climate Panel ask us to do. At the same time, it gives us the opportunity to clean up existing industries, thereby increasing profitability in the long term and attracting more of us in Norway, ensuring Norwegian investment. Why doesn't the government want to look further on such a solution, but only keep on one track?
ParlaMint-NO_2019-03-13.ana.ud100e1860	That's what the government is doing. The government is working on a hydrogen strategy just because there might be some exciting opportunities for hydrogen at the other end. We have a high CO2 tax in Norway, and I understand that the United States does not have it. We have a good and broad instrument for precisely what the representative points to here.
ParlaMint-NO_2019-03-13.ana.ud100e1870	The question has been submitted in advance, and it still says: «The government has not provided a value chain and funding model for carbon capture and storage. Without such clarification, it is difficult to create a robust framework for potential actors and to secure external funding. At the same time, the government will not say whether an investment decision will come in 2020, and the Council of State has created confusion by suggesting that it will only be invested in a project. What time will the government provide proposals for funding models, as the commercial operators ask for?’
ParlaMint-NO_2019-03-13.ana.ud100e1879	In the context of the review of the revised national budget for 2018, the Stortinget Government provided a briefing on current financing models for the capture, transport and storage of CO 2 in spring 2019. That's what this government will follow up and come back to Stortinget with during the spring. Negotiations are in progress between the State and the industrial actors involved in the full scale project on State aid for the investment and operation of the capture, transport and storage of CO 2. These negotiations will clarify how state aid in the full-scale project can be designed. Furthermore, these negotiations are also central to providing the basis for any commercial model. This is particularly important for those actors responsible for the transport and storage of CO 2. Any new CO 2 stock will be established with overcapacity. This means that there will be room for storing CO 2 from sources other than the volume involved in the full scale project. The nature of the framework to be applied to this overcapacity is one of several issues that need to be resolved before the investment decision. I do not want here to preface the outcome of the negotiations with the industrial actors. I also do not want to pre-empt the briefing on financing models for the capture, transport and storage of CO 2, which I confirm will come back to Stortinget during the spring of 2019.
ParlaMint-NO_2019-03-13.ana.ud100e1908	Now the government has been happy to stand here for a while, but I still hope that I can challenge him with new questions. In my own country, Rogaland, we have quite a lot of expertise in the industry. We have a high level of competence in subsea solutions and not least in the transport of oil and gas. These are competences that are important for the development of industry linked to CCS, and it is not least important whether it is appropriate to store carbon on the continental shelf. My question to the government is: will the government create a plan for how to use and develop the existing competence? Will the government create a plan for e.g. competence transfer within these areas, so that we can apply the knowledge that already exists, and the people who already work in the area? Or is it that the government just hopes that this is going to work out?
ParlaMint-NO_2019-03-13.ana.ud100e1917	The CCS project being worked on is a competence project in which Norway has a world-leading role. And taking care of and developing this competence is part of the CCS project. I think that cooperation between the industrial actors and the state's contribution ensure that we get it as a representative here previously pointed to, namely jobs and the environment of competence based on this work.
ParlaMint-NO_2019-03-13.ana.ud100e1924	As a rogalending, I did not think this was very reliable. My point is to listen if the government is also ambitious on our behalf – not just on behalf of the county, but on behalf of the entire Western region, where one has a lot of competence that is relevant to this particular thing. We also know that for those companies that work concretely with carbon capture, a long waiting period without funding from the projects will be quite difficult, even to keep payroll subjects. In the worst case, it is about a period of 16 months, during which it will be difficult for companies involved in the development of transport and storage to retain their competence and also difficult to maintain the project organisation if they have a long waiting period. This only illustrates that in several areas it will be necessary both to retain and to develop competences. My question is, what does the government intend to do with it?
ParlaMint-NO_2019-03-13.ana.ud100e1933	Yes – and that is why we have no time to lose in this project. Once we have set out the project plan we have made, where we have announced a possible decision in 2021, this is among other things. at the recommendation of the external quality assurance body. This is a comprehensive project. It's sometimes a complicated project. Therefore, we need to make good use of the time and work towards an investment decision, which we have previously announced will come in 2020/2021.
ParlaMint-NO_2019-03-13.ana.ud100e1943	‘In 2011, the government promoted the Stoltenberg II Communication: An industry for the future – about the petroleum industry. The overthrow of the government after 2013 and it has led Erna Solberg after that. The Workers' Party has repeatedly called for a new notification of the industry, but it seems that the government is satisfied with our 2011 policy. Does not the Council of State agree that we need to develop policy in line with the time in which we live, in order to maintain our most important industry, and will he promote a communication on the petroleum industry to the Storting?’
ParlaMint-NO_2019-03-13.ana.ud100e1956	Petroleum industry has always been a cyclical industry, including: driven by large fluctuations in the oil price. We have designed an oil policy and framework conditions that are robust precisely against changes in the environment. Central to this is that the authorities set the framework, and that the companies make the business decisions and carry out their activities. In such a system, it is important that companies have as much self-interest as possible in making good decisions for the State as a resource owner. Oil policy and framework conditions are designed for this purpose. That is why, for example, we are also using strict economic instruments to reduce greenhouse gas emissions. Companies already have a strong economic self-interest in taking over risks related to future market developments in oil and gas as a result of climate policy measures in different countries. This is a wise way to regulate the industry. This stability has been an enormous strength for Norwegian pedestal. Despite the fact that we have high taxes and strict regulations related to the environment and safety, there is still a great deal of interest in searching, expanding and producing on Norwegian soil. The government is constantly working to facilitate the further development of our main industry. It is not right, as the representative Barth Eide indicates, that the government has not clarified its oil policy towards Stortinget. In the context of the presentation of the proposal for the expansion of the Johan Sverdrup and Johan Castberg fields in 2015 and 2018 respectively, the Government has submitted notification parts with the status of the petroleum industry and the government's petroleum policy. What is right is that, in good Norwegian tradition, this is based on Melding. Paragraph 28 for 2010–2011. Three pillars have been throughout the petroleum policy pursued by the government: stable and predictable framework conditions, the allocation of attractive search areas and active efforts in research and development, where we also focus on clean, energy-efficient and profitable production, an efficient and competitive petroleum industry and good interaction with the other users of the sea. Petroleum industry has just suffered a severe recession. Government policy has contributed to the recovery of industry from the crisis. In the future, we will continue to hold a rough course and facilitate the highest possible values for the industry.
ParlaMint-NO_2019-03-13.ana.ud100e1971	I thank you for your answer. It is true that there is and has been a broad consensus on the main characteristics of the petroleum industry, and it is also well reported that, among other things. in the proposition on the development and operation of Johan Castberg came up with a status for the industry. But a review of the status is in my head something other than a petroleum message. There's a kind of loophole about where we stand, but what we're asking for is a new message that can build on the message that our government made in 2011. I interpret it so that the answer to the question is that no, you don't. I ask the question again: Has there not been any new information in addition to the one we had then, regarding both the speed of climate change and the development of new technologies and opportunities, which makes it wise now to try to bring together a broadest possible majority in the Storting on a comprehensive idea of how to take this industry into the next chapter?
