ParlaMint-NO_2019-05-08.ana.ud164e28	The representative of Audun Lysbakken will present two proposals for representatives.
ParlaMint-NO_2019-05-08.ana.ud164e1343	Until the end of the Passover, there was considerable uncertainty about the possibility of travelling to the United Kingdom on exchange through the Erasmus+ programme in the autumn of 2019. There is extensive work in all departments related to Brexit, and as part of this process, I have been in dialogue with the British ambassador and my colleague of ministers in the United Kingdom to ensure that we have up-to-date information. On 25 April, we received information from both the European Commission and the United Kingdom that the preparedness regulation adopted by the EU before 29 March will also apply to the autumn of 2019. Therefore, anyone who has started Erasmus+ exchange to or from the United Kingdom before 31 October 2019 may carry out the exchange maintenance under the same conditions as before. They will receive Erasmus grants and will be able to complete their stay even if the United Kingdom leaves the EU without agreement on 31 October. This means that Norwegian students who have been thinking about the United Kingdom in the autumn of 2019 with Erasmus+ can now travel safely, and we have changed our warning at that point. Unfortunately, due to the flexible postponement of the United Kingdom to 31 October, it is still too early to say something about the need for any bilateral agreement at national level. The United Kingdom will continue to be associated with the education programme after its retirement. It is therefore not currently appropriate to formally negotiate an alternative agreement or programme for student exchanges between Norway and the United Kingdom. However, in my meetings with the British authorities, it has been made clear that if the United Kingdom is leaving the Erasmus+ programme and an agreement is necessary to ensure continued training cooperation, that is what we want. The British, for their part, have made it clear that they also want exchanges from Norway. Such a situation is now, it is clear that the main measure to ensure continued student exchanges with the United Kingdom is the establishment of several agreements at institutional level between higher education institutions in Norway and the United Kingdom. My visit to London in March made it clear that several British universities are now actively working with other European universities in order to ensure continued student exchange without school money requirements. King’s College and the University of Oslo are an example of two who have already concluded such an agreement. We are actively working towards and with the British authorities, and I have agreed to talk to the British Minister again before the summer. The focus of the conversation from my side will be on student exchange.
ParlaMint-NO_2019-05-08.ana.ud164e1356	All credit to the institutions that work to establish agreements, but for over three years it has been known that the British will leave the EU. The Erasmus+ exchange programme may be affected, but the UK Government has ensured the economic basis up to 2020. The central party believes this shows that the government’s warnings were unfounded. Instead of frightening the students, the Council of State could take the initiative in an offensive attitude and said that it would solve this by sitting down with the British. Instead, there was a scareshoot. Neither British universities nor ANSA, which is the organisation of Norwegian students abroad, notice any real fear or threat of exchange to the United Kingdom from Norway. Will the Council of State say that the fear of exchange with the United Kingdom was exaggerated and that once the government takes initiative, it opens up better opportunities for exchange and agreements?
ParlaMint-NO_2019-05-08.ana.ud164e1363	When we talk about exchange, it's important to remember that the vast majority of students who travel to the United Kingdom take their entire degree in the United Kingdom. There is a small proportion of Norwegian students in the United Kingdom who are in exchange. Erasmus+ students account for approx. 350 students per year and a small proportion of all Norwegian students in the United Kingdom. We've been all the time concerned with having up-to-date information, and that's what we've been dealing with. Uncertainty has been very much linked to the Erasmus+ programme and the United Kingdom's link to it if it becomes a hard brexit. That's the information we've been dealing with. When it was changed, we also went out and changed our advice. We want the students to make a decision on a free basis, but with the best available information. That's what we've taken into account.
ParlaMint-NO_2019-05-08.ana.ud164e1370	Uncertainty about information is also a signal. Professor Tonning and First Amanunensis Guldal of the Norwegian Study Centre in the United Kingdom wrote in Khrono that at British universities it is ‘business as usual’, regardless of Brexit. They think that played out the alarmed many students unnecessarily. Cooperation on education is quite common. Switzerland, the United States and China have, for example, close cooperation with the United Kingdom without being part of the Erasmus programme. However, they have jointly worked out their own exchange agreements with the United Kingdom to enable students to study and work in the United Kingdom and vice versa. The United States has the Fulbright programme, which includes, among others: Norway is involved, and several educational institutions in China have similar cooperation in Norway — to provide some examples. In the number of students in Norway, in the United Kingdom and vice versa, this cooperation is considerably smaller. What initiatives will the State Council take to ensure Norwegian students in the United Kingdom at least as well as conditions from the start of the autumn study and the continuation?
ParlaMint-NO_2019-05-08.ana.ud164e1379	As I said in my previous post, it is important to remember that there are many Norwegian students there who are not on the Erasmus+ programme and who will be affected to a very small extent. But it's clear that brexit comes with some consequences. Brexit is, has been and will continue to be unwieldy and difficult to deal with when it comes to providing safe information. That's the back of the brexit, that's what we're up to right now, and that's what students need to know about. I believe that we have not been unduly concerned. I think we've given students the best up-to-date information they can have to make a decision whether or not they want to apply for an Erasmus programme for the autumn. I am concerned that we are still sending Norwegian students to the United Kingdom. The United Kingdom is one of the countries most Norwegian students travel to. They speak English there, it's short distance, and we have a historical connection to the country. It will also be important in the future that we have good contact at both institutional and government level.
ParlaMint-NO_2019-05-08.ana.ud164e1386	Then we go to question 19.
ParlaMint-NO_2019-05-08.ana.ud164e1394	This question, from the representative Maria Aasen-Svensrud, is answered by the Minister of Research and Higher Education on behalf of the Minister of Justice and Immigration, who has left.
ParlaMint-NO_2019-05-08.ana.ud164e1399	‘Arendal prison, Håvet department, was closed in March 2019 following a decision of the Directorate of Criminal Welfare [[KDI]] Does the Council of State now feel that it has control and overview of the need for settlement sites?’
ParlaMint-NO_2019-05-08.ana.ud164e1406	The government has given priority to reducing the pay queue. When the government took over, the queue was 1,200 judges, while at the turn of the year 2018/2019 it was reduced to about 140 judges. By 2020, 300 new prison sites in Agder will be ready for use. This is an important boost to criminal justice. The government has also improved the quality of the compensation, including the following: through the use of foot-link zone for those with a judgment of up to four months or having a zone remaining for up to four months. Penalty enforcement with electronic control is a good contribution to the repatriation of sentences to a non-crime life because it allows them to retain housing and work. The agreement on the rental of Norwayrhaven prison was concluded in 2018, and the need for high-level prisons is met by duplication until the new Agder prison is clear in just over a year. Despite the conclusion of the agreement, predictions from the Directorate of Criminal Welfare suggest an overcapacity of about 250 prison sites. The reason for this is, among other things, increased use of electronic control has helped to reduce the need for lower security prisons. In line with the directorate’s recommendation, it was decided, in the context of the 2019 budget, to reduce real overcapacity and space. Due to the reduced need for places with lower safety levels, it was also decided that the sites of Arendal Prison, Håvet, which had already been adopted in connection with the establishment of a new prison in Agder, should be closed before the new prison was completed. The Ministry of Justice and Security has provided the overall leadership for decommissioning by deciding to decommission these detention centres during 2019. The concrete time and process of closure is up to the Directorate of Criminal Welfare, the KDI. I am aware that the KDI has decided, as the representative pointed out in the question, that a small department of Arendal Prison, Department of the Court, with 13 seats, will be kept open a little longer, but also that department will be finally closed before summer according to the directorate. We see that there has been an increase in the pay queues in the last few months, and the queue is now approx. 530 Judges. It is natural that the solstice may increase slightly for a period of time while the closures are being carried out. The Directorate of Criminal Welfare has reported on some challenges in collecting the stay of accruals prior to the closures and that this has resulted in a period of slightly lower capacity utilisation. Capacity utilisation is now back on about 90 pst., and the director expects the queue to be reduced in the future.
ParlaMint-NO_2019-05-08.ana.ud164e1421	Both solitude with electronic control, EK, and the locations in Arendal are well approved and predictable. I am a little surprised that the Council of State here says that the doubling sites will be used, when we know that the funds set aside for doubling the budget for 2019 have actually gone to the conversion money – which, on the other hand, was not in place in 2019. We also know that the police are getting into more and more serious things, many things in the area of violence in close relationships and morals, which we know will eventually mean that we have a great need for the open places as well. When one obviously does not have an overview of these fluctuations in the pay queues, does the right-wing government and the Council of State still believe that it was a good idea to put down all these open prisons that were closed in the context of the 2019 budget? So I'm not just talking about them at the Håvet department.
ParlaMint-NO_2019-05-08.ana.ud164e1428	It is true, as the representative says, that there has been a slight increase in the number of judges in the past, at the beginning of 2019, but the queue has been relatively stable in recent times. 250 prison sites have been closed in a relatively short period of time. It's giving you some logistics challenges. It also seems that this process has provided somewhat lower coatings for some of the units, but based on the information we have from the directorate, we are confident that the queue will also be reduced in the future.
ParlaMint-NO_2019-05-08.ana.ud164e1433	Thanks for the answer. It is okay that the Council of State refers to the Directorate, but it must be expected that the members of the government will be more able to raise their eyes, see the whole chain of criminal proceedings as a whole and see that we are going to have a great deal of pressure on the prison capacity even in the open prisons when the cases that are now with the police come through. In connection with the closure of the Håvet – let me get back to it – it was such that furniture was moved back and forth and spent quite a lot of money irrationally in a very stressed sector. But the worst of all is perhaps the involuntaryness faced by employees by losing their jobs – not having any means of conversion – and then going back again. Expecting the employees to be on standby under such a swing from the government, I do not think that is proper. Does the Council of State consider this to be sound to its employees?
ParlaMint-NO_2019-05-08.ana.ud164e1440	Now I answer on behalf of the Minister of Justice, but I feel sure that he is familiar with both the concerns of the employees and the financial situation in criminal matters. This with parking lots has been an important matter for this government, and it is also on the basis of the fact that it has been lifted, that we have managed to reduce the pay queue from over 1,200 judges when the Solberg government took over, to approx. 140 judges today. This is something that we have been aware of, and that we are aware of. I am also sure that the Minister of Justice is well aware of the challenges that criminal services face, and that this is something he has to pay attention to in the future.
ParlaMint-NO_2019-05-08.ana.ud164e1445	So we go back to question 18.
ParlaMint-NO_2019-05-08.ana.ud164e1453	‘A particular challenge for North University with a high level of dissemination in study places is to have a study site structure that supports a research and education strategy as well as a peripheral zone policy. Governments have asked Nord University to decide on a new location structure and a comprehensive campus development plan. Does the Council of State have confidence in the Governing Council's assessments, or will the Council of State instruct Nord University to maintain the proposed places of study?»
ParlaMint-NO_2019-05-08.ana.ud164e1460	It follows from the development agreement concluded between the Ministry and Nord universitet that the university should decide on a new location structure. It is an agreement concluded following a dialogue between the Ministry and the University. The principal and the administration have developed a proposal for a new study location structure, which is well known to the representative. The proposal involves significant changes, and it has created a debate – a major debate, I would say. Last week, the board of directors of the university discussed the further process. The Management Board has decided to consult the proposal of the Vice-Chancellor and the Administrative Board and to carry out further assessments and analyses before taking the decision. Among other things, the Board of Directors called for: ‘a thorough analysis of the need to train public sector and working life candidates in and for the different regions. Impacts that change in study site structure may have on other parts of working and social life need to be highlighted and evaluated. Student housing must be included in this.» North University has set up an open process in which everyone can make their hearings. I take it for granted that both the administration and the board will make a thorough assessment of the recordings that are coming. I think it made sense for the board to ask for further assessments and analyses. I trust the board and the process that the board has set up. The Management Board has not yet made the final assessments or made any decisions. I can therefore not say anything about how I look at the Board's assessments or decisions on a new study structure at this time. Prior to last week's board meeting, I sent a letter, which I also assume the representative is familiar with, to the board of directors at the university, where I referred to the many balances that they should take into account in the future. As a government council and owner, I am concerned that universities should assess how best to provide high-quality education and research, but also be able to deliver candidates such as business and employment in the region they claim, demand. For me, it's important that they manage to have two thoughts in their head at once, that they can do both.
ParlaMint-NO_2019-05-08.ana.ud164e1478	I thank you for your answer and am pleased that the Council of State has confidence in the Board of Directors at the institution. Last week, however, the Stable Representative André N. Skkelstad was quoted both in Namdalsavias, in the Address Paper and on the website Khrono: «I have a clear message from our State Council – the University of Namsos shall remain and be further developed.» Then my question becomes: When did the Council of State make this decision, and how has it been communicated to the Nordic University?
ParlaMint-NO_2019-05-08.ana.ud164e1488	I haven't spoken to André N. Skelstad since the demonstration in Namsos, so I can't comment on what he said. I will assume that it is his interpretation of the letter I have sent. My dialogue with the board in the matter has so far been this letter, which came out to the public shortly after it was sent. It was sent before their board meeting. Personally, I have not been in contact with the board in addition to that letter, so far.
ParlaMint-NO_2019-05-08.ana.ud164e1493	This is alarming. I understand that the Council of State says that the magnificence representative quoted in the media – we have to assume that he is correctly quoted – does not have coverage for the statement he has made. The Council of State has repeatedly referred to the letter sent. There are some questions about how we govern, and how the government that owns governs the institution we talk about. It is done by a letter of assignment, which is also attached to a development agreement, to which the Council of State itself referred and which is designed in dialogue with the institution. Furthermore, it is the standard – it has also been agreed for this year, as far as I have been able to bring it about – with a governance dialogue meeting in June. Nevertheless, in a rather demanding political situation and in a heated debate, in order to use the Council of State's own words, the Council of State chooses to send an additional letter on the same day as the Board of Directors will deal with a matter. What was the background for that? What is the point of the letter that is new, and which was not already in the direction of the institution's work? And what makes the council think that she had to remind the board of directors about it? She didn't think the board was able to remember that?
ParlaMint-NO_2019-05-08.ana.ud164e1502	Firstly, I have to comment on the interpretation of my answer by the representative Sivertsen. He is, of course, free to interpret what he wants, but I think he is drawing the interpretation too far. What I said was that I assumed that André N. Skkelstad had spoken after reading the letter, and that it was his interpretation of that letter. Of course, with regard to the governance dialogue with our universities, we have regular contacts with the universities of the department. The reason why I chose to send this letter, which is not something I use to do in front of each board meeting, was that I felt that the principal had presented a report that put great emphasis on how to improve the quality of education and research at Nord University, but that had not taken equal account of the other part of the community mission, which is about delivering candidates to the working life and the business to which the university refers. I wanted to remind the board that they also had to take it into consideration.
ParlaMint-NO_2019-05-08.ana.ud164e1518	This question has been postponed until the next Question Time, when the Council of State has left. Then your case no. 2 finished handles.
ParlaMint-NO_2019-05-08.ana.ud164e1534	There is no record available. Thus, the map for today is finished. Does anyone ask for a word before the meeting is cancelled? - The meeting has been cancelled.
