ParlaMint-HR_2020-11-12-0.u9691	It is now up to Mr Domagoj Hajdukovic, who will be the SDP's position. Here you go.
ParlaMint-HR_2020-11-12-0.u12795	We have one replica of the distinguished representative Mariana Petir.
ParlaMint-HR_2020-11-12-0.u12796	Thank you, Mr. Vice President of the Croatian Parliament. Madam MPs, you spoke of the need to introduce a flat-rate compensation that partially compensates the costs of VAT calculated on the farmer's inputs. Yesterday we addressed the subject and addressed it to the Minister of Agriculture who said it was an analysis at the Ministry of Agriculture so that certain solutions could be proposed with this tax reform which we are in fact dispensing both citizens and farmers with 10 billion kuna, and that will be even more. We can say that there are also farmers that we help them and that they will have benefits from it, but it is absolutely certain that we must look for other solutions to facilitate their business and help Croatian agricultural product find its market easier.
ParlaMint-HR_2020-11-12-0.u12797	Thank you very much, dear colleague Petyr, that's how we opened the subject yesterday on the Committee on Agriculture, and indeed the minister seemed to have an understanding. It is one of the legal legal models to further strengthen our farmers because they obviously need help. Some member states even have various hidden support measures, so why don't Croatia use those that are legally and easily available, so it's one of a series of opportunities that we can use to strengthen farmers because really looking at the state from day to day those who are really working, create are in serious problems, report, pray for help, and I say this is an available institute so let's make an effort to compose it to the next changes to the law or new budget to allow them and to do so.
ParlaMint-HR_2020-11-12-0.u12798	Another replica, distinguished representative Branko Juričev Martinchev.
ParlaMint-HR_2020-11-12-0.u12799	Thank you very much, Vice President. You're criticising a reduction in profit tax in 2020 at the time of the crown crisis because you say no one works. How do you explain the fact that in this year 2020, more than 28,000 applicants or entrepreneurs rewarded their employees with an appropriate reward of up to 3,000 kuna and additionally over 37,000 entrepreneurs rewarded with an addition of up to 5,000 to a monthly salary with a billion and 300 million kuna? This is the data that says that there are a lot of entrepreneurs working, doing, and that will certainly mean this reduction because they can additionally reward their employees.
ParlaMint-HR_2020-11-12-0.u12800	Thank you, dear colleague Martinchev. So we didn't understand each other, I don't think it's important enough segment. In my opinion, this is a moment where we actually record a fall in income when we talk about those companies that are taxpayers of profit. I think we have a lot of stronger opportunities to help entrepreneurs, so I think, among other things, that we should actually cancel paying taxes on reinvested profits. It's a very important category and it would help, I trust a far larger number of entrepreneurs. But I'm looking at this whole story from the point of view of someone who looks at farmers and the situation on the ground. We have a small number of those who are taxpayers of profit, far more which are taxpayers of income tax. So if we talk about the segment of food production, life in the country, the survival of the rural area, and Croatia is mostly rural, we have to look for other models to help if we want to help.
ParlaMint-HR_2020-11-12-0.u12801	Thank you. Next individual debate, distinguished representative Eric Fabianic.
ParlaMint-HR_2020-11-12-0.u12802	Dear Chairman, dear colleagues and colleagues. Since the joint debate, I'd like to look back on the agenda point that is related to income tax. That's what I'm saying for a number of reasons, and one of these is certainly because the SDP has also submitted its bill. Why do I think our proposal is good? I think we can all find one thing here, and the other is the political will and of course the solutions that have been called and responsible for bringing people into this high house. The average salary in the Republic of Croatia is somewhere around 6,700 kuna, one of its good parts is taxed through income tax. I think most of us would also agree that most citizens who have such incomes or have slightly less de facto live from minus to minus, so they're waiting for pay to cover their own minus. Covering your minus. Why? Because he's spending if he has to pay for something, he has to pay for something to survive. It means that the moment I'm speaking now from the state aspect, the moment I get that income tax on these salaries, that there are up to 7,000 kunas, depending on the cost of life that someone here was talking about that we know whether or not we have, that's why what's being scattered doesn't lose the state. The state doesn't lose because that money, because it spends so it goes from minus to minus, is not to put it aside or put it in the bank, it gets through VAT. It's that part of the citizens who are always double taxed, first through income tax, and then through value added tax. We can talk through simulations of course about what percentages are, whether it's a lot, whether it's a little bit etc., but when that part of the dispensing state by me gets the most on VAT, getting on VAT can relieve VAT from the economy in some segments, I know that there were words from restaurants, caterers, hotelers or anything else. By dispensing a little higher wages to those who let's say that basket to someone that's 5,000 kunas, some are 10,000 of them dispensing it, so there are people who certainly depend on pay, earn more than they spend, and then of course they save it. Saving the income tax that's tied to the savings is small, let's put our hand on the heart. Every policy later has its share, we hear that even unions have they would have more range and more class and that's it. In doing so, regardless of the government, regardless of the government, every time a decision on tax discharge is made, there has always been a de facto speech here that is good for anyone who is ruling. Long live the Prime Minister, has raised our salaries by cutting income taxes and the fact is that it deprives parts of the income that are related to local self-government units, cities and municipalities, and fellow Boric are a little more vulnerable than the counties, the grains, the grains more vulnerable, for, due to the distribution of income simply which is. And well, in the debate I also held Mr. Maric, certain compensatory measures were announced, of course, which I hope will be, that they will be compensated. But the thing is politics, it's a matter of policy that we're going to charge more, who we're going to charge less, the thing that we're going to burden more and who we're going to burden less. And of course after that we'll all go out to the voters, now that someone's gonna call it this super-shy law, he's free to do it. Here, thank you. Mr.... reported for replication. ... [[/The speaker doesn't understand.]] And it's not? ... [[You don't understand the incursion from the bench.]] We were waving, so I'm asking. [[You don't understand the incursion from the bench.]] Here's a thank you, then I'd step away.
ParlaMint-HR_2020-11-12-0.u12803	We have a replica, just a little bit, please have one replica. Mr. Fabianic, one replica of Mr. Boric. Here you go, Mr. Boric.
ParlaMint-HR_2020-11-12-0.u12804	Thank you very much. Well, I wanted this colleague Fabianic to do this extra, so when we talk about changing this income tax in a few circles, and during this government, the previous government, and we had a change at the end of the government's mandate, led by Zoran Milanovic. The difference is that no matter what the foundations were raised, we were simply left without income in that government of yours, I mean Zoran Milanovic, but we were not compensated. This, this minister and this government compensated every increase in the base that went to harm then JLS in their... And we didn't have less income on the income tax division that we were getting than we were getting more or less as much as we had a year ago. [[/The speaker doesn't understand.]] So there's a difference and this law goes in favor of these Countys of the Primorsko-Gorski if I understand it well no. The percentage is slightly higher than it's ever been before, and the state has taken it upon itself to pay what we've been paying for from what we've been paying for. The Alignment Fund. [[Intruder: Time]]
ParlaMint-HR_2020-11-12-0.u12805	Answer.
ParlaMint-HR_2020-11-12-0.u12806	So I have to admit, so it's announced, so we'll see. But there's only one difference between me and you, Mr. Boric, I'm talking about the present and the future, you're talking about the past. Thank you. Any more replicas?
ParlaMint-HR_2020-11-12-0.u12807	Thank you. Next individual debate, distinguished representative Nikola Bartulic.
ParlaMint-HR_2020-11-12-0.u12808	I would like to thank Mr. Vice-President of the Assembly, dear ministers, colleagues and colleagues. I'm glad there's more of us out here in the late afternoon. I think these proposals for new laws, tax laws, are very important and deserve our attention and, and, and, and the effort to make a quality debate happen to the end. I will repeat once again that the state as such does not create additional values, but is subtracting through taxes from companies and citizens and distributes that money according to its priorities. Today we heard a lot about neoliberalism, we heard a complaint that they, I heard about 7,000 citizens paying this highest rate of 36% will now hold on to something more than before and that it is a new injustice and so on. I'd set things up a little differently. We should ask why there are only 7,000 people in Croatia who, who have such a profit? We want a prosperous country that will manage to keep its people, not in this competitive environment to lose still in large numbers every year of the working-age population. That's what we need to be comforted and worried about here. In what way? Today on one... I heard the portal, I read the data that according to one study in Switzerland, which measures the actual success of every country in retaining the highest-quality and most educated people that Croatia is located this year at 53rd place of 63rd, so at the bottom. [[/The speaker doesn't understand.]] Here we have urgent things to fix that those who want to create have creativity, ability and the like do not leave Croatia, not to talk about doctors, nurses and the like. So there's a different question here, why are there only 7,000 people in that category? It is not Croatia's biggest problem that they will pay tomorrow instead of 36% of 30%. There's something I'd like to say about the structure of the budget. I continue to point out that the share of the total state in GDP, so public spending, is somewhere in the data, about 50% is too high. Compared to other countries, the newer EU members, we are at the top and we are simply not competitive. The state costs too much, it's huge, the public sector is huge, and we just can't afford it anymore. And this often-expected stability has its price. So, expenditure goes up every year, I repeat, expenditure goes up every year, no matter what population is in decline. So there's less and less of us, and there's less and less of the basis from which the state can be financed, and the expenditures are growing. So it's like she's an insatiable octopus who keeps asking for more and more. There's a problem. So, this is, we are, in principle, going to say, every discharge, in principle to support, but it seems in this case, since so many people have already left Croatia that it is said to be too small, too late. We should have done these measures a long time ago. A lot sooner, because there's less of us. As for public spending for the functioning of public authorities, so executive, legislative authorities, payment of interest on public debt, only Greece singles out more of Croatia as far as public spending is concerned, in this part, so the state and financing of all this is with us, we are at the very top, only the Greeks are more concerned and we should be concerned, so we will continue to appeal to reduce the role of the entire state and that economic freedoms are growing. Thank you.
ParlaMint-HR_2020-11-12-0.u12809	We have two replicas, the first distinguished representative of Sandra Bencic.
ParlaMint-HR_2020-11-12-0.u12810	Well, I'd like to answer your question why there are only 7,000 people who fall into the highest tax class of the current 36% rate, or future rate, probably 30. So for the simple reason that in Croatia, the largest number of people who earn and own are, for example, companies pay their minimum wage, and the funds are derived from the company through profits and profits because they pay a 12% tax. So the reason for this is that we do not have a synthetic income tax that at the same rates would cover all types of income, so both those of work and those of capital and property. No, we have a system that favors income, i.e. capital income from property against income from work. The work we do is load a lot, and the capital and the property a little. That's why we're El Dorado for the rich, but we're a stepmother state for all those who have small or medium. Thank you.
ParlaMint-HR_2020-11-12-0.u12811	Answer.
ParlaMint-HR_2020-11-12-0.u12812	I'll go again.../incomprehensible/... thank you, thank you for asking. I'll say again that I see as the main cause of it again that the state is too expensive and takes it simply, it's insatiable, it takes as much as it takes and too much, so. Why do people sign up for a minimal? Why? Because many.../incomprehensible/... or employers, why do employers report their workers to a minimal? Because they don't want to pay high contributions and they've been doing it for years and the state is back at a loss, it's at a loss again. So the grey economy, I can't say 100% now because I don't have the data in front of me, but everyone knows that the gray economy is big in Croatia because of the high VAT rate. Many consciously avoid paying taxes, and this is difficult to change as VAT remains the main source of budget financing, including pensions. To be honest, pensions can be safe, but they're largely funded by VAT.
ParlaMint-HR_2020-11-12-0.u12813	The next replica is Honorable Representative Stipan Sashlin.
ParlaMint-HR_2020-11-12-0.u12814	Dear Mr. Bartulic, I absolutely agree with you that we should have as many as possible, a lot more than 7,000 of those who make a lot more money, right? Probably that they would... We should work harder, no one mentioned or talked about this today about how we should probably do more to raise the average income. [[The speaker doesn't understand.]] And to those who do not have enough 7 thousand kunas, and live in large cities, I would tell them to come to Baranja, there with 7 thousand kunas will be perfectly decent to live, they will have clean air, clean water, they will be able to do gardens, etc., means ecologically healthy living, and today we really have such a process that a really large number of people slowly come to these parts, recognize the advantages of it. Thank you.
ParlaMint-HR_2020-11-12-0.u12815	Answer.
ParlaMint-HR_2020-11-12-0.u12816	Thank you for that, and I certainly believe that this is true, that there are great advantages to cities, to living in smaller places, I agree with that. However, what I will do again, the main problem here is that too few create and work, too few people, those who return to Croatia are those who want to spend the last years of their lives in Croatia at the beginning of working life, unfortunately, those who leave us. And here we have it, already these measures, however desirable they are, are too late because simply demographically we've already lost, in a large part, the, uh, battle.
ParlaMint-HR_2020-11-12-0.u12817	Thank you. Next individual debate, distinguished representative Marko Pavić.
ParlaMint-HR_2020-11-12-0.u12818	Thank you, well-respected Vice President of the Parliament, Deputy Prime Minister and Secretary of State, colleagues and colleagues. The satisfaction today that we can discuss the 5th round of tax reform, as we have already heard, total of these 5 circles, 10 billion kuna discharge, tax discharge. We are all very sensitive to our young people, we are all aware of the issues of demographics, we are all aware of the departure of our young people, but let's look at what we have done for these people through the last four, and that is with this 5th round of tax reforms, but, as the Deputy Prime Minister says, it is not a tax reform response at all. We also have different other measures, but let's sum up what has been done for young people so far. Well, for starters, young to 25 don't pay income taxes anymore. 50% of income tax is paid from 25 to 30 years old. Those who are up to 30 years old, if they get a contract indefinitely, have been released for 5 years by their employers of gross II payments. contributes. This led to over 78 thousand young people being transferred to contracts indefinitely. We are still aware of the issue of premium work, but what is the role of the state cannot force employers to grant contracts indefinitely, but these encourage them. When we talk there were some criticisms from the opposition that this is a super hick reform, let's look at what the total tax burden on wages is. When we look at lower incomes, we have one of the lowest tax burdens of 1.9 million people do not pay taxes or are outside tax scissors. And just when we talk about what else tax reform can do, so she has her own reach, and if 1.9 million people don't pay income tax whatever we do with those rates, they're still not going to pay income tax. And this descent from 24 to 20 or 36 to 30 is exactly going to those professions that can pay extra value, which can pay more. We're all full of mouths just as different and Roman, impobives, nanobits, and they hire just engineers who have salaries in this tax class. Therefore, if we want a country of knowledge, if we want new technologies, we need to enable young people who can reach higher pay classes and tax discharges. So when we look at all that tax reform has brought to the young, yes, it has brought more income and safer labour contracts. The downturn of 12 to 10% of the youth profit tax is also directed to entrepreneurship. But tax reform is not everything, we also have active employment policy measures, the government of Andrej Plenkovic has raised the self-employment rate from 25,000 kuna to 100,000 kuna since 1.1. next year 130,000 kuna. In other words, a young person or another who wants to open his own company and self-employed person can receive almost EUR 20,000. To compare when I was in Great Britain when I spoke then Minister Sharma's incentives in Britain were £2,000 to open my own business. That's what we're doing. professional training without abolishing employment relations where mostly young people for minimum wage went to work in the public sector and went back to the stock market we encouraged that on average not 2,000 but 6,000 mostly young people open their own companies. When we look at EU funds, many credits for entrepreneurs have just been motor power. Employment programmes, different projects like IPSE, which I have already talked about where the state of EUR 100 million will invest in the development of batteries and campuses of Mr. Rimco, EUR 50 million for the gaming industry, in total when we look at the fifth round of tax reform contributes to young people, contributes to their remainder in the Republic of Croatia and strengthens those who can earn it and stay in the Republic of Croatia.
ParlaMint-HR_2020-11-12-0.u12819	We have two replicas, the first distinguished representative of Rada Boric.
ParlaMint-HR_2020-11-12-0.u12820	Mr. Pavic, first, young people need to get a chance to work at all. You have also called for government measures and budgets, but look yourself on the page, between pages 153 and 56 in the draft budget of the Central State Office for Demography and youth is of 2.02 billion kuna, which is quite a sum we would say 92% go to the birth and parent benefits item that you think 1% just leaves youth policies, support for youth-oriented programmes, prevention of violence among young people, so you'll get to work from diapers. Well, I guess there's got to be a period and something else that would encourage young people, we can't all call for demographics, so demographics can't be just 2 billion, of 2 billion. [[Intruder: Time.]]
ParlaMint-HR_2020-11-12-0.u12821	Answer.
ParlaMint-HR_2020-11-12-0.u12822	Thank you very much. Mrs. Boric, I hope you are aware that it is not only the budget of the Central State Youth Office that we invest in young people. We have a huge amount of money going into education, we have active employment policy measures 8 billion kunas invested in employment, 8 billion kunas invested in protecting 600,000 jobs, many of which have young 110,000 jobs more. You speak to one item in the budget, I am telling you this one broader view where we both have EU funds and national funds and employment programmes and tax reform, 78.000 more contracts that young people have transferred, their employers have moved to indefinitely. So it's not your thesis at all, we're tracking young people from birth support to parents, from that education programme to the employment programme, and their budget is distributed through different items. You were only talking about one.
ParlaMint-HR_2020-11-12-0.u12823	The next replica is the esteemed representative Dalia Oreskovic.
ParlaMint-HR_2020-11-12-0.u12824	Thank you. A respected colleague listening to your praises for the government measures in which you participated and these active measures, listening to how you call reform something that reform did not feel a mere shame on behalf of all Croatian citizens who did not feel any positive shift or effect from all the measures that you so strongly praise. During today, we heard from various opposition clubs that the right to reform implies reducing the cost of the state, implementing a territorial reconstruction, reducing parafiscal burdens, all that Croatia has been waiting for decades. None of the above not only did you not spend, but you showed no elemental intention to do so. My question is, if it can be assumed that the measures we are discussing today will have a negative impact on the revenues of local units when, literally, when you're going to implement a reduction in the number of cities, counties, municipalities?
ParlaMint-HR_2020-11-12-0.u12825	Answer.
ParlaMint-HR_2020-11-12-0.u12826	Mrs. Oreshkovic, you've had the opportunity to have so many citizens with you now that you'd be here in power, you'd be talking about tax reform, you'd suggest... You had your chance, the citizens said theirs a few months ago. [[The intruder doesn't understand.]] Now we are in the second term of the government of Andrej Plenkovic, to have you angry, we have 110,000 jobs more, yes, citizens have given support to this option, live with it.
ParlaMint-HR_2020-11-12-0.u12827	Thank you. Next individual debate, distinguished representative Goran Ivanovic.
ParlaMint-HR_2020-11-12-0.u12828	Thank you very much, Mr. Vice President. Honorable ministers with a co-worker, distinguished colleagues and fellow MPs and MPs. This 5th round of tax reforms was supposed to cause, I'd say a general euphoria in HS. The Constitutional Court has made it clear that all parliamentary representatives have the right to be in the Assembly in these halls, which are determined of course because of epidemiological measures. But there are as many of us in the House as there are, and these halls are all absolutely empty here, and I think that's something that clearly shows how much we care about some things at all. I don't have a problem with someone who's smarter than me, who knows more about any subject than me agreeing with him. I think Mr. Lalovac knows the problem of finance, taxes and that and what he says makes sense. There's no problem with agreeing with Mrs. Peovic who says that maybe local administrations, self-governments spend money the way they shouldn't. But I have problems making peace that everything HDZ proposes, that everything HDZ wants to do better for this country, which, of course, causes a conviction, is something that is unacceptable. If he had suggested someone else, it would have been top-of-the-line, that would have been great, but HDZ is dangerous. When HDZ proposes something, it is first and foremost dangerous for entrepreneurs, workers and then for the entire Croatian population. That's incorrect, that's not incorrect, that's unfair. The 5th round of tax reforms, meaning the 5th round, this is not the 1st round, the 5th round clearly shows what has been done in these five years when it comes to a better standard of living at the level of the Republic of Croatia. That he's enough? It's not. Is he tall? It's not. Can it be better? It's got to be better. It's our job to sit here in HS. But many parliamentary deputies, they're not here, and I'm sorry they're not here, would return the lobotomy. Lobotomy was abolished somewhere in the mid-20th century, and in Russia, I think Russia was the last one to end the lobotomy, but they'd still be dealing with it, so they'd brainwash us, tell us that we're criminals, thieves, that we should put us in the place that belongs to us, that Ivo Sanader is the man who has some black bags, and in them rows sits the man who saw that black bag up close, saw what's in that black bag. I've been in HDZ for 30 years and I've never seen the black bag of Ivo Sanader, and many of them sitting here have seen that bag and they've been taking it out of the bag, and now they're more honest, washed, bathed, and they're giving us a lesson about how the Croatian state should look in front of us. Well, you see, that's not fair. I confess amnesia and each of us has a chance in life to repent of something bad he did and I'm here as a man of faith I'll forgive him and tell him you were seduced, you didn't know what you were doing, so here I'll forgive you. But to point it out completely as something that's rigid to this side of our side here in HDZ, I don't think it's absolutely appropriate. I'll tell you one case, and I'll end it. I always have one thing in mind, '91. In the years of the White Manastir, two men were killed, one was Pavo Earthling, he was the head of a high school in the White Manastir, and the other was Vladimir Earthling, that was his underage son. And you know why the Chetniks killed them? Just because they had a HDZ card in their pocket. In memory of these people, I will argue that the lobotomy that wishes to be carried out here by HDZ members, according to the government of Andrej Plenkovic, never comes back to life. Thank you very much.
ParlaMint-HR_2020-11-12-0.u12829	We have two replicas. The first is a respected representative of Dalia Oreskovic.
ParlaMint-HR_2020-11-12-0.u12830	Your Honor, by the amount of elemental stupidity you've said, you've surpassed the average HDZ. I don't know who you were thinking about when you were talking about some bags, did you think about those bags that your colleague Bačić was carrying, never saw what was in them or where the HDZ black funds are filling up, are you talking about these bags today? I would also like to say that your five reforms or five rounds of reforms for Croatian citizens represent five circles of hell you've been through. You did not achieve any good during the previous government or in the former. The lossful state shows statistics on Croatia's location in the EU today. At the bottom and we sink further and further away. Is that a thank you for presenting yourself in front of the opposition? And don't just tell me again as you keep saying you and your colleagues, that you've been given the opportunity in these elections because the citizens have given you trust. Well, I'd be ashamed to rule at 16.4% of the total number and percentage of the electoral body. It's not a good supply for the future, ask yourself that.
ParlaMint-HR_2020-11-12-0.u12831	Answer.
ParlaMint-HR_2020-11-12-0.u12832	Thank you. Dear Mrs. Oreshkovic, I appreciate your amount of energy you have here in about 18 hours, but what you're saying is very dangerous. You're a woman who deals with law, who protects people from exactly this kind of thing that you're doing right here, I don't know what you're caused to do, but, dear God, it's your personal thing, it's your habitat probably, it's your plantings where you rest. I don't want to offend anyone, I don't want to tell anyone that he's talking nonsense, this is just as much my pay phone as yours, ma'am. Oreshkovic, and you may have been talking nonsense here, and, dear God, you chose to talk like that. Therefore, I considered you to be a person who is much more correct in acting as an honorary representative.
ParlaMint-HR_2020-11-12-0.u12833	We have two injuries to the Rules of Procedure, the first respected representative, Josip Boric.
ParlaMint-HR_2020-11-12-0.u12834	Thank you very much, Vice President. Art. 238, ma'am. Oreshkovic again does not know how to behave in the assembly and insults all HDZ members, he calls us stupid. And we're not stupid and we don't forget, you understand? And Mrs. Devereaux. Oreshkovic, you have a lady in the club who has been convicted of multiple conflicts of interest and you do not mind in your moral importance. You don't mind, you don't mind her transition from one coalition to your club to earn the salary of a club president, to make it a little more. Your morality doesn't exist, it's a lie.
ParlaMint-HR_2020-11-12-0.u12835	This wasn't a breach of the Rules of Procedure. You have a warning. Dear Representative Marko Pavić has the next injury.
ParlaMint-HR_2020-11-12-0.u12836	Thank you very much. He's been injured. 238, ma'am. Oreskovic repeatedly insults HDZ representatives. If we calculate, I don't know what your percentage is, ma'am. Oreshkovic, 0.0001, negligible, again, you are jealous because you are not in power, but it is your business, but your aggression that you show in this House, the way you insult, speaking to HDZ representatives is below all levels. Mr. Boric made it very clear, and at your club, clean up first at your club.
ParlaMint-HR_2020-11-12-0.u12837	And you said exactly that she was insulting, but everything else was a replica, and so was your warning. Injury of the Rules of Procedure, distinguished representative Dalia Oreskovic.
ParlaMint-HR_2020-11-12-0.u12838	So the same provision, same relationship, same distance. In the same way that colleagues on the other side of the assembly think that I insult them, they insult me. It is my duty as opposition MPs to point out any irregularities carried out by any party, any individual, and in particular any irregularities exercised by the current authority. Unlike you, I have my arguments and indeed, if you think there is a multiple conflict of interest, I don't know why you don't, you don't file a complaint with the competent body. And speaking of conflict of interest, I really don't understand why you didn't invite your government to deliver The Commission for the conflict of interest of those documents requested by that body. [[Intruder: Time.]] That would actually mean execution. The role of representatives is because it is the task of a representative to control the executive power. [[Intruder: Time.]]
ParlaMint-HR_2020-11-12-0.u12839	We have a warning because this wasn't a breach of the Rules of Procedure, it was your replica. Here you go, breach of the Rules of Procedure,... [[The speaker doesn't understand.]]
ParlaMint-HR_2020-11-12-0.u12840	Dear Vice President, again. 238, because the lady insists that she, as former vice president of the Committee of Conflict of Interest here in the club has a lady who has been convicted, doesn't need to report anything, she's already been convicted several times and she doesn't mind, she doesn't mind that lady and we have a moral lesson here. I can imagine how she judged us in these commissions in cases where she had this attitude about HDZ and HDZ members. I'm sure she's already been committed.
ParlaMint-HR_2020-11-12-0.u12841	And it wasn't a breach of the Rules of Procedure, you have a second warning. Injury of the Rules of Procedure, distinguished representative Dalia Oreskovic.
ParlaMint-HR_2020-11-12-0.u12842	... As far as the conflict of interest is concerned, he was your Prime Minister as well as a whole series of ministers. [[Specially enabled.]] Martina Dalic was also convicted and repeated in several different cases, both during my term and by the current convocation of the Committees for whom, as far as I know, your parliamentary majority chose him. I see these circumstances do not bother you at all, distinguished colleague. ... Not at all, do you mind? [[You can't hear the intruder.]] Do All Other Officials Disturb? [[Intruder: Time.]] HDZ having corrupt affairs [[Intruder: Here you go...]] And not just a conflict of interest? [[Intruder: Please.]]
ParlaMint-HR_2020-11-12-0.u12843	Please, please. Stipan Shashin, a reminder to you, too, normally Second warning. [[Intruder: Dear Sir...]] Stipan Shashin, replica, please.
ParlaMint-HR_2020-11-12-0.u12844	Yeah. Dear Mr. Ivanovic, you mentioned in your presentation of Mr. Lalovac, whom I truly highly appreciate as a financial expert, and today I listened very, very carefully to him as he exhibited, that is, as he spoke about the proposal for these measures, the amendments and the addition of this law. If I am not mistaken, he even said that he congratulated the government on a very brave, courageous step forward, on brave measures, in almost all segments of the bill and not only commended it, but even said that he congratulated the Government on a very brave, courageous step. And I really appreciate it and I see that man really means it when he says it. We who are in HDZ defenders know that the courage and God preserves, and here, I congratulate the Government on such a package of measures. Thank you.
ParlaMint-HR_2020-11-12-0.u12845	... [[You can't hear the speaker.]]
ParlaMint-HR_2020-11-12-0.u12846	Thank you very much, this replica probably won't cause any more public attention, so I'll try a few sentences. This morning, who was at the meeting of the Parliament, saw, the first to present himself here at HS today, was the president of the SDP Club, that was Peja Grbin, who said the SDP Representatives Club would not accept this 5th round of reforms. And after that, Mr. Lalovec came along who spoke very nicely about these reforms, the man who spoke too loudly, clearly and said that it was good for Croatia, that it was good for Croatian citizens, that it was good for Croatian entrepreneurs, and here it will be my answer to what you asked me, Mr. Shaslin, one policy but two completely contrary opinions, unlike HDZ, which has a clear view of how to bring Croatia into the state that all the citizens of the Republic want.
ParlaMint-HR_2020-11-12-0.u12847	Thank you. The next debate is the final debate on behalf of the IDS Representatives Club, the esteemed representative Marin Lerotić.
ParlaMint-HR_2020-11-12-0.u12848	Thank you, Vice President. Dearly respected ministers with colleagues, colleagues and fellow MPs, here we have a fifth round of tax reform, which unfortunately we consider will change nothing fundamentally. We believe that we need real and serious reforms of the tax system, not that, every year, income tax changes by a few percent, in order for most citizens to grow only slightly. It is clear that every kuna in our citizens' pockets is welcome, especially in these difficult moments, but with modest moves our economy will certainly not move and the standard of citizens will not rise. What Croatia needs are investments and jobs that will be able to earn decent wages for life. It is therefore necessary to abolish the reinvested profit tax in order to allow for new investment, company liquidity and new jobs. We today have a situation that in 2019 someone who had a profit of 20 thousand kunas must monthly pay about 2,000 kuna regardless of whether they will win again because it is such an assumption that they will do just as well. However, no one guarantees that the profits will exist, but because of the challenges and problems on the market a year can end with losses. It is obvious, but we also see on this example that in Croatia the concept of the tax system is not for the purpose of encouraging the strengthening of the entrepreneurship climate but only as if income was collected into the budget. There is also no investment without a regulated state, without legal certainty, without a stimulating investment climate, without a stable tax system, and that is exactly what is missing from Croatia. Through these tax changes, the government is trying to create the impression that something is working on the well-being of citizens and improving their economic position, but reality is denying it primarily through stunning numbers completed and blocked. Also, any such change in income tax reduces the fiscal capacity of local self-government cities and municipalities that have to fulfil a number of tasks related to the everyday life of citizens at local level. The government and the ministry sometimes propose certain compensatory measures, but all of this is short-term and without long-term strategy and vision as it is, and to see what is actually meant to be achieved by these changes in the tax system. The tax system must be stable and long-term sustainable for public finances, but also for businesses, entrepreneurs, citizens, and cities and municipalities. The abolition of anyone in that chain has led to adverse consequences, which eventually cost the citizens themselves again and should therefore consider the possibility of returning some of the funds that the state collects through value added tax to those units of local self-government to cities and municipalities in whose area these funds are collected. This would send a strong message that it intends to implement fiscal decentralisation as a necessary prerequisite for the implementation of functional decentralisation because cities, municipalities and counties need additional powers as well as means to exercise those powers. Cities and municipalities are motivated to improve the quality of life in their local community, but they must have tools and funding opportunities at their disposal. Tromi and bureaucratic state apparatus should be reduced because over the past 30 years, the state has definitely shown that it is not adequately able to solve a number of citizens' problems but is exactly the opposite, that a state apparatus because of its lack of interest and misunderstanding through complicated, unclear and unimplemented regulations and their implementation only creates problems for entrepreneurs and citizens in their business and everyday life. Thank you.
ParlaMint-HR_2020-11-12-0.u12849	Thank you. The next final debate on behalf of the Green-Left bloc's Green-Left Club, Commissioner Bencic and MP Tomaševic.
