ParlaMint-HR_2020-11-05-0.u9682	Mrs Barbara Antolic Vupora will be the position of the SDP Representatives' Club.
ParlaMint-HR_2020-11-05-0.u11134	Thank you very much. The Republic was raised by a respected representative, Boric, please.
ParlaMint-HR_2020-11-05-0.u11135	Thank you very much, Vice President. Coliar Brumnić, I was already at the time when I was downstairs saying, so I am glad that you are in opposition with the experience of leading your SDP Club in the city assembly that you were just talking about, I am talking about Zagreb and 11 years old. You have brought Milan Bandic down if I remember well and of course Milan Bandic is here, you have moved here to the Assembly and it suits us that you are still sitting here and giving these discussions to the budget rebalance because every time you show up and you say we want, I don't know, money for Zagreb, and you vote against the budget in which that money is, we will tell you that you are actually hypocritical, no, that you are looking for something, and you won't help that something happens. Also for the health system. You're looking for an active fight against the coronary virus provided by the rebalancing and the budget with the money, and you're saying we're against it. We accept that you are against it. We'll vote it ourselves without you, it's no problem at all, but we'll have your I.D. on this rebalancing so that we know what we need to say in the future. [[Intruder: Thank you]]
ParlaMint-HR_2020-11-05-0.u11136	Dear Representative Brumnic.
ParlaMint-HR_2020-11-05-0.u11137	My esteemed colleague did not say that this budget rebalance was deception, and I did not point out as the first thing the agreed, agreed-to-play game of the minister, government and wholesalerry where it was clear to everyone that this was done precisely because of what you are now saying, that you could say that the opposition did not vote, that it did not want a health recovery. That he wants to resuscitate the health care system, but not like this. That's the problem.
ParlaMint-HR_2020-11-05-0.u11138	Thank you very much. The next debate will be the respected representatives of Sabine Vosovac, please.
ParlaMint-HR_2020-11-05-0.u11139	Thank you, Mr. Vice President HS, dear ministers with associates, respected colleagues and colleagues. A lot of the topic has already been dealt with in some way during today's debate on rebalancing, budget rebalancing, and you are here as a promoter and have made it very clear that this rebalancing is being rescheduled by the health sector, increasing pensions and unemployed, increasing social welfare rights, and going towards support for the economy and farmers. What is also evident is the fact that a good part of the expenditure side, or an increased part on the spending side, will be directed towards co-financing of EU projects at the central and local level. Now that we are on this subject of co-financing of EU projects and the withdrawal of funds from the European Funds, what is missing is the further removal of barriers that would make it easier for all entities to withdraw European funds as effectively and easily as possible. Unfortunately, today we are in a situation that we haven't institutionally opened this path yet, but very often, the users of the funds, as well as the applicants and those participating in the competitions see this institutional framework not as support but as an obstacle. Secondly, I find it even more problematic to ask, and this is also said by colleague Ahmetovic and some colleagues from the SDP Club of Representatives, the lack of a clear strategy not only for funding in this budget period but also for the use of funds in this period, and this is not the existence of a strategy which is a key ex-ante condition that would be a strategy, a national development strategy that has been waiting too long, allegedly just standing in someone's drawer. Now, how ready and able we are to withdraw the funds of European funds without paying for the penalty. We warned here in the assembly a year and a half ago that in some ministries, I personally warned, at the Ministry of Science and Education, aware of the fact that double funding is unacceptable, that the same things are financed from the state budget, and on the other hand, EU funds are used for the same purposes, some ministry leaders have simply deafen themselves to it and have done things that are not allowed and that Croatian citizens, in particular on one project, the Ministry of Education will cost us no less than 6.4 million kuna, penals, fines, however you will because of the illicit work that you have warned here that this does not work when it comes to these actions, but it continued the same way. When we look at a major PR project that the government likes to brag about in the last few years, which is Slavonia, Baranja and Srijem, so it is an eclectic example of the abuse of funds from EU funds and their orientation in the private pockets of those close to HDZ. Hejduković, a fellow member of the family of influential Slavonian HDZs, who will thus be used by means of European funds intended for the development of Slavonia, Baranja and Srijem which the citizens of Slavonia, Baranja and Srijem have never seen, and these funds have gone to some property on the coast and ask God whose pockets or pockets we know. But what's the point of that? Using, we are used to unfortunately in Croatia that we are already sadomasochistically experiencing that our budget is used for party and private purposes, but I think that the EU rarely see such an example of doing the same shamelessly with their money, only that it looks a little differently and penalizes such phenomena. Don't let it happen anymore, it can't happen because what they say is a grain of cake, so here and here we just pay for it all at the end of us. And the health care system's been a lot of talk about him, but the real situation is pretty alarming there. Recently, I don't know if that information is correct, that Minister Beros is due to insufficient number of doctors that there are a large number of overtime hours that the minister would now reduce. So we're missing health doctors on one side, and they're putting pressure on hospitals to reduce the number of overtime hours. Don't do that, secure funds for those people, we need them now more than ever. Thank you very much.
ParlaMint-HR_2020-11-05-0.u11140	Thank you very much. The next individual debate will be respected representatives of Dalia Oreskovic. Here you go.
ParlaMint-HR_2020-11-05-0.u11141	I would like to congratulate my colleague, Glasovac, on all the information she has said, and I am pleased that Mr. Boris, in his replica, touched the protection of Milan Bandic and showed with whom the HDZ shares a valuable, moral and interesting genetic code. But when I talk about rebalancing, you haven't got a word yet, I'd like to comment on the changes on the expenditure side. The reasons for the proposed expenditure increase in individual ministries suggest poor planning and worse still bad governance for these ministries. And I'm going to continue what I started this morning, which is that the greatest lack of our legal order is that there are no rules on the personal responsibility of those who illegally, untransparently and irrevocably spend taxpayers' money. The increase in salary expenditure in the Ministry of Education, Home Affairs and Justice shows that those who manage those portfolios or who are unable to manage or manipulate certain items in order to fit the limits set by the Ministry of Finance. For example, the first rebalancing MUP this year reduced the salary rate by about 50 million kuna, and now raises them by more than 100. It is obvious that instead of simple mathematics they use some to the spiritual techniques of predicting these costs. In addition, the MUP needs to be asked about the item of the 42 million kuna increase in return for funds to the European Commission. If there is a return of funding from an EU programme or so on. The corrections are then clearly punishable for playing out the provisions of the public procurement law. A common case in our Croatian legislation and in practice. The third paragraph also raises the question of what relations between the MUP and the AKD as state-owned enterprises that could not have been planned, but as some extraordinary item are leveled at the end of the year in another budget rebalancing. This continues similar items related to payments by court rulings such as the 61.5m kuna in the Ministry of Agriculture and the 38m kuna in the Ministry of Education. I'm curious about the decisions that led to these expenses, who made them, and why? And finally most importantly, will anyone on behalf of the Republic of Croatia finally sue former officials who have made illegal and harmful decisions and ask for compensation, because until they begin to press charges against officials who have done harm to the state with their unconscious, and often with arrogant actions, we will not put an end to such behaviour. This mainly refers to officials coming from the HDZ spectrum. To the end of the biggest dubiosis. The health department obviously doesn't control hospital expenses. The cost of the drugs is the biggest, but not the only serious item. The finance ministry has only admitted that it is not actually the biggest debt, the problem of paying the debt to the wholesalers, but it is a much bigger problem of knowing that this is not the problem. The debt continues to be generated and again the health minister will issue a new account. Leaving a health system in the hands of incompetent ministers who have no minimum ability to manage it, not only is it a crime against tax bonds but it is very irresponsible to patients and healthcare professionals. And it might be good to replace the current minister while he's still as popular as waiting for the awareness of his incompetence to expand enough will cause even more damage to all these stakeholders I listed. And another addendum. The strangest item in this rebalancing is reserved, for example, at the foreign ministry's position. I don't understand how we can't plan the amount needed for international membership fees, so now we're missing 13 million kunas? In the case of the budget and projections for 2021. It seems to me that it is too optimistic to plan any income from profit tax, a reduction of only 10% is not logical since a large number of companies will experience a strong decline due to the epidemic and the measures that are being made and planned from day to day, ad hoc, without a systematic plan, which we have often talked about these days. And since there is no detailed representation of the planned expenditures, we cannot discuss them further. So I won't be one of those who supports this rebalancing. Thank you.
ParlaMint-HR_2020-11-05-0.u11142	Thank you, we have a few, please stay, we have several replicas. He is the first respected representative of Boris.
ParlaMint-HR_2020-11-05-0.u11143	Thank you very much. Comrade Oreshkovic, we debated a lot while you were sitting there on the other side, remember no, you were one of the chairmans of the commission who introduced a time limit to determine the conflict of interest, so if you were at a meeting for 45 minutes then you were potentially in conflict of interest, if you were the director of the company for 20 days, and you shouldn't have said that there was no conflict of interest. But it wasn't my intention. I'll apologize for the amount I said, not 70, 42 and 500, now I've looked, for the amount of the Janafu invoice not, so I looked at mine that I got in the 2nd month 2018, I'm not going to tell the company, but this complete implementation of the GDPR system means the rule, forms and maintenance of a year at least, means 15,000 kuna, I think that 100 EUR's almost your watch, those 68 hours still being a little too much since it was a public firm, I mean a public firm, no. Now how did you get into this company I don't know, but it would be nice if you could explain it to us and tell me finally if you're still the president of the party Start and Party with a name and last name or if you've given up somewhere?
ParlaMint-HR_2020-11-05-0.u11144	Dear representative Oreshkovic.
ParlaMint-HR_2020-11-05-0.u11145	Mr. Boric, you know what I see when I look at you? I see my personal bank bitch, I see you as someone I can sue for a few damages charges, which, if I'm tossed further through the courts, will greatly enlarge my savings book. I ask you nicely on behalf of all Croatian citizens to stop making final slanderous, offensive and untrue claims. As for the way I got the job or my company, my former law firm in Yanaf is the same as all the other Croatian lawyers. Since the Republic of Croatia has a large number of public authorities, one 576 cities and municipalities, please ask each of them in what way they have entered into a contractual relationship with the law firms representing them and if you find any deviation from the way my company is engaged, I will explain details to all Croatian citizens. And like I said, Go on like this, I think you'll get me a little better... [[/Intruder: Thank you very much.]] at the end of the term. [[/The speaker doesn't understand.]]
ParlaMint-HR_2020-11-05-0.u11146	The next replica is the respected representative of Maria Jelkovac. Here you go.
ParlaMint-HR_2020-11-05-0.u11147	Thank you very much, Mr. President. Dear colleagues, sometimes it's a good-looking thing in the opposition, but sometimes it's not easy. Policy does not mean, especially in the opposition, just labeling in a negative sense those who are ruling because it does not go as we have seen in the long run with the voters. You said our ministers overstepped their responsibilities many times and made illegal decisions. I'd love it if you said don't talk in general. We know, and you know that there is a Budget Act, a Law on Fiscal Responsibility, a Law on Public Procurement which, according to which all our officials act, and then at the end of each year comes the audit and audit experts who assess whether they have worked in accordance with these laws. I have not heard that one of them, by the audit, has been declared or found to have done such irresponsible things.
ParlaMint-HR_2020-11-05-0.u11148	Thank you. The answer of the respected representative Oreshkovic.
ParlaMint-HR_2020-11-05-0.u11149	My colleague Jelkovec, so maybe you can sell straw, fog to Croatian citizens, obviously you're doing it well, otherwise you wouldn't get power from these 16%, but not from me. Therefore, a state audit cannot carry out every year an audit of all public authorities, but every year by lottery or by some kind of methodology, select only 30 of those that it combs not too detailedly because unfortunately they do not have adequate tools to work there even though they work honest and honest people. As for very specific irregularities, I was very specific, but I have not received a concrete answer from the Prime Minister and your individual ministers. Here's what I've asked as a question this morning, 8.6 million kunas have been paid to extort a foreign company for a single art in Agrokor, although it is contrary to the provisions of the Criminal Procedure Act and the rules by which the skills are determined by any Croatian citizen or company when the witches are elected from the list of authorised court witches. Who's going to make up for 8.6 million kuna in the state budget? [[/Intruder: Thank you very much.]] Someone from HDZ? [[Intruder: Next, next replica...]]
ParlaMint-HR_2020-11-05-0.u11150	My colleagues Oreskovic, you constantly exceed your time on purpose. Next time, I'll give you a warning. Every time, literally every time you talk, you talk longer. It's incorrect for other colleagues. Then anyone from any party can speak longer. What makes you think you're the only one who can do that? And no one else does? Excuse me. You can't, of course you can't, please, have a replica with the next respected representative, Petyr. [[Invadica Oreshković: May I answer?]]
ParlaMint-HR_2020-11-05-0.u11151	Thank you, Mr. Vice President. Dear colleagues Oreshkovic, you spoke of the rebalancing items that should be further enlightened because they are high, 141 million kunas that relate to debts and the obligation to repay funds to the European budget due to unintended or wrong spending, and there you have absorbed that it would be important to actually withdraw the question of those who are responsible and I agree with you, I asked this question this morning, by further research I came up with the information that it was about debts and wrong spending of money that occurred between 2012 and 2015 in a segment that relates to a illogical migration management because it is that we received financial resources to cover costs for the assistance of migrants but that then the Minister of Interior has no evidence or any account that could be attached and that it is now bringing this to bring about financial resources to cover the assistance of migrants. This government in a situation where it has to pay back the money we justifiably got. [[Intruder Reiner: Thank you.]]
ParlaMint-HR_2020-11-05-0.u11152	The answer of the respected representative Oreshkovic.
ParlaMint-HR_2020-11-05-0.u11153	I have no problem with whether responsibility on the right or the left or any other side of political spectrum, and through my former function, I have shown that by an equal measure, under the same criteria on the basis of the letters of the law, I judge anyone who performs any public duty. And the fact is that all non-transparent, all unlawfully exercised by this government in both the current and the previous term, will come at the expense of some future councils and Croatian Parliaments and the compositions of the Government and what I have been asking for since the 10th term of the Croatian Parliament is that it introduces rules of personal responsibility and full fiscal transparency, unfortunately there is no Mr. Hrebak here today, I heard what he was saying yesterday about how the opposition is not constructive. One constructive proposal that I literally repeat every time I refuse an opportunity to say something is the full fiscal transparency of all the authorities.
ParlaMint-HR_2020-11-05-0.u11154	Thank you very much. The next individual debate will be a respected representative of Arsen Bauk, please.
ParlaMint-HR_2020-11-05-0.u11155	I would like to thank the esteemed Vice President, the esteemed colleagues and fellow MPs, the esteemed Mr. Secretary. I applied for an individual debate to try to fix one, I would say, indiscretion in the budget as regards the division of the Ministry of Culture and the cost positions for the European Capital of Culture of Rijeka 2020. In fact, there is no need now to explain in detail the importance of the project and everything that has already been done and what has been preceded, etc., but rather to draw attention to the agreements between the city of Rijeka and the government and the ministries, so the initial promised aid to the city of Rijeka was 25 million kuna. In the State budget adopted at the end of 2019, the amount was reduced to 15 million kuna and subsequently this rebalancing due to the COVID amount was reduced to 10 million kuna. And the current proposal is to reduce to 8, so another 2 million kuna. Now at the same time the budget of the Ministry of Culture has increased by about 4% and 53 million kuna respectively, I can understand that it is working on restoring perhaps cultural heritage due to the earthquake, but the problem arises the moment we realize that this reduction of 2 million kuna is related to programmes that are already either contracted or produced, and most of it has already been implemented. Not only that, except for these 10 million kunas that should be foreseen in the budget for this project and for the following year 2021, it would take another 3.9 million kuna because it has been extended because of the COVID and the epidemic is for Rijeka and for this Irish city, which I will not say my name not to be wrong, provided for the programme of the capital of culture to extend until the end of April 2021. The 2020 and 2021 budget should therefore provide for 13.9 million for the European Capital of Culture Programme of Rijeka 2020. So I repeat from the initial 25, down to 10, that's where the city fits in and now it's reduced by another 2 million of something that's already been spent. If they gave me an amendment to an international obligation that was agreed and the government or budget had to pay, we would be rejected for procedural reasons. And this is the same, so the government has made a proposal for something that has already been based on the funds that have already been agreed and implemented. The SDP Club has proposed an amendment which, and I think, is the only one the club has proposed so far to increase to, to return this item to 10 million kuna, we want the Government to accept the amendment either in the form we have proposed, in any other form, so it is either found in the culture ministry budget or in another part of the budget, the possibility of returning these funds, here we politely warn, that there is no policy, etc., and of course it is also overlooked in the budget for the 2021st additional 3.9 million to complete this project. In this sense, I will end my individual debate here, the mayor of Rijeka wrote to the government and the prime minister to resolve this problem, the EPK is therefore not only a city event, it certainly has its own international and state level and would like to see this story resolved in a way that at least this 10 million kuna funds now in the budget, that they remain at that level and that another 3.9 million kuna is overlooked for next year. Thank you.
ParlaMint-HR_2020-11-05-0.u11156	Thank you very much, the next individual debate will be a respected representative of Matko Kuzmanic.
ParlaMint-HR_2020-11-05-0.u11157	Thank you, Your Honor, Vice President, fellow MPs, Your Honor. What I'm saying is that no matter what my opposition told me about rebalancing, the ruling won't accept it. That's unfortunately so. No matter what suggestions you make me, you won't respect them. How do we support the rebalancing of the government, which believes that its problems are always blamed for others and the solving of these problems, again needs to be done by someone else in this case by the EU? Our whole strategy, our governments, is about saving us from the EU. It's embarrassing and humiliating. And finally, the rebalancing is just a fire escape measure that should have been reformed a long time ago. Will he solve the problems of our entrepreneurs? He won't. Will he solve the problems of our private sector? No, but we are saving the state administration that this government and this ruling majority will not reform. I'm sorry there's no Mr. Boric here now, so let me tell him how they helped that government he's talking about before these governments. They helped by supporting and hoarding people to come with gas bottles, to lift tents, to bind to the waterfront, to threaten, to find any initiative that would take place by the reform government at the time, to encounter one street dissent and disapproval of any other idea. I'm going to mention just something I've heard that a lot of stories about highway construction, the very fact that during our government, that highway price was 4 times less per mile than it was during the government that devastated this country and brought us into this situation that we're in today. Nowhere and will never be mentioned because you can't get into it and it's a project to reorganize the state, abolish the county, eliminate the municipalities, because that way you would shoot yourself in the leg and that clienteleist machine that ultimately serves itself, and to the detriment of the private sector is what you boast and admire. So once I expect you colleagues in HDZ to experience a spirit of freedom, some kind of internal renaissance to experience, that in some way you say "is, here we have made a mistake", so I'll say "here, and our government has made a mistake not making certain reforms" but I see only the words of praise from you, you just repeat one thing and the same thing, one after another, praise your president and thus nurture this party monolithic cult of personality that unfortunately lives amongst you who are the greatest critics of the party and such a system. The coronary crisis may have caused all of our problems, but I assure you it isn't. She emphasized and showed how fragile we are. And maybe one day that crown will blow those wind power plants from Dinara we talked about a few months ago but in the end our structural problems, our real problems will remain and we will have to deal with them. I'll be the happiest when I see one part of the self-critics on your side that you're willing to accept, and when you're also some good initiative that you can take to the opposition and say, let's work together in that direction, no, you call on, I don't know, you're back in the past and I don't really know where it's going, so we expect one of these rebalances is totally absurd. Thank you.
ParlaMint-HR_2020-11-05-0.u11158	You have one replica of the esteemed representative of the Habian.
ParlaMint-HR_2020-11-05-0.u11159	Thank you very much, Vice President. My dear colleague, I must admit that I did not understand best this first part of your introduction to EU funds, so Croatia is an EU member and as such has the right to these 24.1 billion euros that it will receive in the next budget period. If I understood correctly, you would probably give it up. As for the reforms you keep mentioning that HDZ is not implementing, here's the other day we heard the fifth round of tax reforms, so profit tax, VAT, income tax, we heard you today in the debate, and it doesn't satisfy it. And finally, while you're talking about EU funds, thanks to the "your" government, we still don't have a Foya campus in Varazdin in view of your ability in 2013 when you negotiated with the European Commission and failed to negotiate the financing of student campuses. So much for your ability and your reforms.
ParlaMint-HR_2020-11-05-0.u11160	Dear Representative Kuzmanic.
ParlaMint-HR_2020-11-05-0.u11161	Thank you, Mr. Habib, I mean, I really don't know anything about campus since I took part in that government that you're talking about, I really don't know what you're talking about, Varazdin, but I don't see the way I'm... I said you're just relying on those means, you don't see your guilt anywhere, you always need someone else to solve your problems. [[The speaker doesn't understand.]] And I don't get it when you say "we're against," we're against you giving up on the real reforms you need. And yes, that's the kind of pension reform you've made and the reforms that your colleague has been talking about that we who have high wages will get even higher salaries, those who have low salaries will get some small raises, you call that reform? So they're called the Don Quiyot Reforms, which means reform to the benefit of the rich and to the harm of the poor, that's the reforms you're carrying out. Thank you very much.
ParlaMint-HR_2020-11-05-0.u11162	The next individual debate will be a respected representative of Erik Fabianic.
ParlaMint-HR_2020-11-05-0.u11163	I thank the chairman. So the agenda point is the budget rebalancing, so is the jargon called its execution as a united debate, and what does a rebalancing serve? Rebalancing, the second rebalancing is otherwise called in the jargon by technical rebalancing because, after it comes to the implementation of the 2020 budget, when it is on the agenda, it is generally used to heat up or reduce the disproportion in relation to the planned values, whether budgetary or through the first rebalancing, in order to reduce the items of over-realisation or non-realisation of certain budget items. And that's every other rebalancing, one that's done before the budget, so that when it comes to the agenda it looks better with smaller proportions or let's say small deviations in the realization of the planned. That's what the second rebalancing is for. This second rebalancing hit one more thing, so that's the pandemic issue, so it's a de facto technical-pandemic rebalancing. I think there's one thing about the first rebalancing that's well done when we talk about the income side because the government put up the word so manually, it raised the manual because it reduced the revenue side because it saw especially after the lockdown that the revenues were falling drastically. And that's good, it's good to plan less than what we now see in second rebalancing that still these planned funds are increased. Now, in that part, you need to see how the iron went. So how did we iron this material that was under discussion? Now, instead of thinking about this ironing that my colleague, Bauk, has specifically looked back on because there are some contractual obligations that exist, which aren't just a unit of local self-government, which is when you go to the ironing end, so before the end of the year, then you go to what you have real items where you can quickly spend that money. That's what she was ironing herself into. It didn't sting into something that might have some kind of pre-election sound. And then the debate comes down to one side saying "you're thieves" and the other side saying "we can be thieves because we've won elections". Well, gentlemen, that's not how we can argue. If we care about this country, we can't discuss it. The government is there to regularly administer but political decisions and a view of Croatia's future we are making here. Someone's proposing, but that's up to us. It was my minority, it was you most of them. We have certain legality. The legitimacy is to be discussed but the laws in this country must be respected. Well, and what we can talk about, those who are a little longer in that story, they know, they can say "and now I'm going to be against the rebalance or against the budget, so it collapses the health care, and it collapses this, it collapses," I reciprocate and spin what would be said today in the jargon and say “no, my amendment will be a billion more for health care, and then you will be the ones to destroy health care, ” and that is not the story. [[The speaker doesn't understand.]] It's a story for little kids. These are stories for small children, when you talk like that, but if we're going to have a very serious conversation, then I'm going to talk about the Rijeka KBC that somehow survives in these moments because I'm coming from a city where this health care system where I live, living on the basis of buildings made by the Austro-Hungarian and the disgraceful Kingdom of SHS, and for some in this hall, it might be even more embarrassing because a Yugoslav self-dependence was built and that's all we have. We got something from this country that we might get, and then the presence in Oreshkovic's government was a time capsule, no excuse, a stone foundation that lays in order to build a new pediatric clinic, and now Plenkovic's prime minister is coming in his previous term, and now he can't put on a rock foundation, so he's laying the time capsule. And we'll only have a pediatric hospital, and what about the entire KBC? And when you add up contributions to the health care of the Primorian-Gorski County, which is working money, it's not this country's money, with that total amount, so I'll make the hospital in one year.
ParlaMint-HR_2020-11-05-0.u11164	Thank you very much. The next debate will be the respected representative of Goran Ivanovic. [[Fabianic: Where's the money?]]
ParlaMint-HR_2020-11-05-0.u11165	Thank you very much, dear Vice President of the Croatian Parliament, distinguished colleagues and colleagues. In order to get a chance to draw up a budget or to get a chance to rebalance the budget, it must be won in the elections, it is simply rule no. 1 in politics and there is no deviation. HDZ, Andrej Plenkovic was given the opportunity to present what they presented to us today, and I really don't see any problem there. What I am told as a man who when he left his Vladimirs here on Monday is the way of Zagreb, my mother told me "don't argue with anyone, don't argue with anyone but defends the interests of the region where you came from and who sent you here to the Croatian Parliament" so I'm going to have a few thesiss that have disturbed me as a man who lives all his life in one place, in a village called Vladimirevci, who belong under the Osijek-Baranja County, that here thesis is that the mayors, mayors are criminals, thieves, especially those who come from HDZ, are terrible criminals and thieves who did nothing but devastate and steal everything. Do you know that in the 30 years of the existence of the Croatian state, HDZ was never in power in the city of Osijek? Once, it's only six months. while it was the mayor's elected council system. Is Osijek a space shuttle? It's not. Osijek was once the centre of the Slavonia-Baranja-Srijem region. Where's Osijek today? Who runs the city of Osijek? Who has run the city of Osijek in the last eight years? HDZ certainly doesn't. But the trees and rocks on HDZ. I'm sorry to hear that. The voice coming from Našica says that the project Slavonia, Baranja and Srijem did not bring anything, absolutely nothing to Slavonia, Baranja and Srijem, so only in Našice at this time to rebuild two castles of Pejačević, 100 million kuna. When would Nasha come to the original revenue of 100 million kuna if it wasn't advice for Slavonia, Baranja and Srijem? You all agree that the minister is one of the most successful finance ministers in the history of the Republic of Croatia, and I agree with that absolutely, and why do you think Minister Maric made the worst budget rebalance in the history of the same Croatian state and that this rebalancing wants to damage the citizens of the Republic of Croatia? That's not true. We have a situation that no one could have predicted, and you know it very well. The Corona crisis couldn't be predicted, it happened, it has its financial effects that we have to respect. I'm going to say one more fact that I think is very, very important. If the Ministry of Finance and the Government of the Republic of Croatia hadn't run a responsible financial policy in the last four years, the question of what would have met us this year in the 2nd period. when we faced a coronary crisis. And I'll say one more thing. We Slavons and Baranians are men of great heart. All parliamentary representatives who come from Slavonia, Baranja and Srijem raised their hand in the Law on the Reconstruction of the City of Zagreb, who died in an earthquake in March of the month. It is Croatia, it is our Croatia, there is no other Croatia. And yours and ours, and all of us here, so we sit in the Croatian Parliament, so people will be fine. The labels that are heard from one side and the other. It will not bring Croatia to that level that we all advocate. In addition, I believe that these changes to the budget must be the fruit of the profession, of the knowledge of Minister Maric and of course of the Prime Minister of the Republic of Croatia, Mr Andrej Plenkovic. Thank you very much.
ParlaMint-HR_2020-11-05-0.u11166	Thank you very much. We have several replicas, the first respected representative of Sabine Vosovac.
ParlaMint-HR_2020-11-05-0.u11167	E colleague Ivanovic, I am so glad that you mentioned between us and Nasica, it is true that the works are being done to build the fountain and renovate the two castles, and these are European funds. This does not mean that some other funding from European funds intended for the development of Slavonia, Baranja and Srijema did not end up in pockets in which they were not allowed to end, which I was talking about and you know very well, but on the other hand the job of local leaders is to ensure these people a normal life, they will not live from the fountain and from the renovation of the castle, either, will go away again from Slavonia. At present, here at the hospital, he has not yet sat down a regress for 2020 on which employees are legally entitled, travel expenses are not paid in time, the limit of the General County Hospital of Nasice is 5.3 million kuna per month and wages are spent with 6.4 million kuna, so who determines such limits? Who thinks the hospital can survive with such restrictions? Is that the government, don't just say that the director, if he's the director, is also appointed by the HDZ. That's what this is about. EU funds are welcome, some end up in pockets where they shouldn't but the job of local leaders and the government is to work for citizens and not work.
ParlaMint-HR_2020-11-05-0.u11168	Thank you very much. The answer of the respected representative Ivanovic.
ParlaMint-HR_2020-11-05-0.u11169	Thank you very much. Of course, I absolutely support this part but knowing Nash, practically passing through Nasice every week, Nasice when looking at the entire Slavonia, surely the front, Nexe group and all that Ours in economic terms have, certainly is not just about fountains, squares, and that is the essence of the story, and that is, we have to be nice to someone to like, to have someone come live in our neighborhood, to be together with us. As far as county hospitals are concerned, that's what you could talk about. Remember the reform and the SDP government when it comes to county hospitals. He remained a debt to the county that we had to deal with for years. It was something that was not good but overall, let's work on what is the goal, to make that better life for every Croatian citizen.
ParlaMint-HR_2020-11-05-0.u11170	The next replica is the respected representative Matko Kuzmanic.
ParlaMint-HR_2020-11-05-0.u11171	Thank you, Vice President. Here's Reverend Ivanovic, exactly what I'm talking about, what we're different from you about, that's what I'm about to tell you right now, that's, yes, I agree with you, Mr. Maric is an extraordinary expert who I really appreciate as an expert, and I really don't understand what he's doing in the company of one Boric and the like who are only demagogues and who are dealing with some kind of cheap politics here in the Assembly, so really, it's the only thing I can't give an answer to, but I also have to tell you that at the time when Mr. Beros was elected minister, I was very pleasantly surprised and in some way supported and gave my maximum contribution at that moment when the coronary crisis took place because that we didn't replace Minister Kujundzic or that you didn't change him who was the real representative of your electoral body, probably Croatia would have more dead at that moment when it was on the day of Normandy '44. Well, thank you very much. [[Upadica Ivanovic: Thank you very much.]]
ParlaMint-HR_2020-11-05-0.u11172	Take it easy, take it easy. You're a colleague, you realize that you've now offended two people. At least I hope you're aware of that, I won't give you a warning but I'm deliberately saying it simply because next time one of yours is going to be so sensitive, I'm not going to give a warning either. And now you have offended two people, you have insulted a fellow Boric who is not here at all, one Boris etc., and you have offended the former health minister. So, I just want to tell you, I'm not going to give you a heads-up about this, but I'm asking everyone not to go ad-hominem, so we don't insult people. Here you go.
ParlaMint-HR_2020-11-05-0.u11173	Thank you very much.
ParlaMint-HR_2020-11-05-0.u11174	Excuse me, just a moment, before you answer, we have a breach of the Rules of Procedure, a respected representative of the coat of arms, please.
ParlaMint-HR_2020-11-05-0.u11175	Dear Mr. Vice President, Minister, colleagues and colleagues. Our colleague was injured by an officer. In 238, and he really hurt him because he said something to his colleague, Boric, that he shouldn't have said here in this House, that's our colleague, and that kind of conversation is inadmissible. So I suggest you and I ask you to give him a warning.
ParlaMint-HR_2020-11-05-0.u11176	I told him not to like it here, and I said I didn't give him a warning, but who now raises a breach of the Rules of Procedure and abuse, I'll give it to him, I'll announce it in advance. Here you go.
ParlaMint-HR_2020-11-05-0.u11177	Your Honor, I accept the notice in advance of the abuse of the Rules of Procedure, I apologize if I have offended you, but I apologize to the person who calls me a Communist and the like. Although I've never been a member of the KP in my life, and I didn't, so I didn't complain to you afterwards, I didn't see you giving him a warning. And what I said here, that I commended some minister, that you didn't see, that I commended the other minister, but when I say something you don't like, then I need to be told. Thank you very much.
ParlaMint-HR_2020-11-05-0.u11178	Okay, you'll get a warning, it's not like it or not like it, the thing is whether someone is offended or not. Likening is a purely subjective thing and whether someone thinks it one way or another, I'm not going into it at all, and I'm never going to get in, but I'm not going to let anyone, either on this side, insults anyone on this side or vice versa or in the middle, very clearly. Now finally choose your colleague Ivanovic, respond to the replica, is already forgotten probably what was in the replica.
ParlaMint-HR_2020-11-05-0.u11179	It's all right, Mr. Vice President. I think that Mr. Kuzmanic realized, fellow Boric is a valuable leader of local self-government, a man who fights for his own end, a man chosen by voters from the area from which he comes and dispute any election result in this way I absolutely think it is not appropriate and that is what at that time, or what is not good at all. We must not cross Rubicon, we must not cross the border, we are still the most responsible people in the Croatian state, people in whom people need trust, and let us not bring these things to a standstill.
ParlaMint-HR_2020-11-05-0.u11180	Thank you very much. The next replica is the esteemed representative of Ljubica Maksimchuk, please.
ParlaMint-HR_2020-11-05-0.u11181	Thank you, Vice President. Dear fellow, here I am glad that in your debate you mentioned the project Slavonia, Baranja and Srijem, this project has corrected the injustice that was done to Slavonia during the previous years, and I am also pleased that we have agreed to 16.53 billion kuna so far, of course I am glad that the support of Slavonia will be realised through a new statistical division where with 5 Slavonian counties we will also join Sisak-Moslavina, Karlovačka and Bjelovar-Bilogor County, because that is the only way we can achieve a lag behind the rest of Croatia.
ParlaMint-HR_2020-11-05-0.u11182	Dear Representative Ivanovic.
