ParlaMint-NO_2002-05-22.ana.ud696e28	The called alternate of the Rogaland County, Inger Lise Aarrestad, has taken the seat.
ParlaMint-NO_2002-05-22.ana.ud696e1318	Norway’s coastal fishing teams have been actively involved in the last few years and have made more input into the regulation of participation in and the exercise of fishing activities. Norway's Coastal Fisheries Act is a consultative body in all matters relating to the regulation of fisheries. It is therefore not correct that the Norwegian Coastal Fisheries Team does not have the right to consult. The task of negotiating common stocks in the Barents Sea with Russia and of managing Norway’s share of these resources has been assigned to the Ministry of Fisheries. The negotiating delegation is appointed by the Ministry of Fisheries on the basis of a balanced assessment, based on representation by industry and management, legitimacy in industry and negotiation tactics, and that the delegation must have a manageable size. As regards representation from the fishing industry, the Ministry emphasises that the whole of the industry concerned is to be represented by the participating delegates. The Ministry of Fisheries has therefore chosen to include the major organisations representing the breadth of the fishing industry: the Norwegian Fisheries Team, the Land Association of Fisheries and the Maritime Industries and the LO. In other words, the Norwegian Coastal Fisheries Team is not represented in the Joint Norwegian-Russian Fisheries Commission. There is a diversity of organisations in the Norwegian fishing industry. Some of these organisations are Norway's Coastal Fisheries Team, South Norway's Trålerlag, the Norwegian Seafood Association and the Shipowners' Association for the Ringnot vessel under 70 ft. It goes without saying that with regard to the size of the delegation for fisheries negotiations with Russia, the EU, the Faeroe Islands, Iceland, etc. may only include the largest organisations. The Norwegian Coastal Fishery Act currently has the status of observer in the Regulatory Council. The term of office of the Board of Regulators expires this year and a new Board of Regulators must be appointed before the regulations are laid down in November/December. In view of the absence of the functioning of the Board of Regulators, the functioning of the Council and the composition of the Council will be carefully evaluated. In this context, the status of the Norwegian Coastal Fisheries Team in the Board of Regulators will be reviewed.
ParlaMint-NO_2002-05-22.ana.ud696e1331	I thank you for your answer. A little bit of my intention was to know what was the problem of bringing the Coastal Fishery Team into the bodies where the Fishlayer is a member today, because in other business contexts, we usually leave the various professional organisations represented separately. I agree that there is a diversity of organisations in the fishing industry, but a good part of them is a member of the Fiskerlag, for example. the purse seiners, while the coastal fishing team is a purely professional organisation representing fishermen in the same way as the Fishery Team. I am pleased that one here will assess the position of the Coastal Fishery Team in relation to the Board of Regulators. I think maybe that's the most important thing. I also wanted one here to have taken a slightly more open position when it came to the negotiating delegation for the Norwegian-Russian negotiations. How long can one expect it to take before the Government will appoint a new Board of Regulators, when the regulation will have to be completed in November? Is it possible to say something more about it?
ParlaMint-NO_2002-05-22.ana.ud696e1344	The term of office of the Board of Regulators expires this year, in which case it is indicated that a new Board of Regulators must be appointed before the regulations are laid down in November and December. So this is the timing of that, and in that context we will also make the assessment that I mentioned.
ParlaMint-NO_2002-05-22.ana.ud696e1352	I will ask the Minister for Labour and Administration the following questions: «2002 is declared the Year of Fire Protection of Agriculture». Close cooperation between, inter alia: the agriculture, insurance companies, electricity and public oversight bodies are implemented different measures to prevent fire. In 2001, the damage resulting from a vehicle fire was estimated to be 1.8 billion. kr. 61 lives were lost. Half of the fires are probably due to a lack of quality in electrical installations. Will the Council of State initiate cooperation for a year of fire protection for dwellings by model of the Agricultural Fire Protection Committee?’
ParlaMint-NO_2002-05-22.ana.ud696e1361	In addition to creating tragedies for individuals, residential fires pose a major social problem. Statistics from the Directorate of Fire and Electricity Safety show that there were 65 fatalities in fires in 2001, of which 56 in residential fires. Norwegian insurance company paid NOK 3.2 billion in compensation for residential fires. Branner has both technical and human causes. Smoking, fire, electricity and misuse of electrical equipment are among the most frequent causes. Thus, efforts to prevent residential fires have focused on awareness-raising and simple measures that most people can take on their own. From the beginning of the 1990s, the central authorities, in close cooperation with municipal fire services, local electricity regulators, Norwegian Fire Protection Association, the insurance industry, local health professionals and several other bodies, have cooperated on awareness-raising measures, on the one hand, as nationwide campaigns, using a variety of instruments, such as the smoke detector campaign, fire protection weeks and housing fires, on the other, etc. These have greatly contributed to the fact that even more lives have not been lost and that we have not lost even greater values in residential industries. These campaigns continue to be carried out each year. In St.meld. No 41 for 2000-2001 it has been set as an overall national target that the average number of fatalities in building fires should be significantly reduced compared to the average over the period 1995-1999. In this context, at least 10 pst is thought to be significant. In order to achieve this objective, efforts need to continue to focus on prevention measures in close cooperation between authorities, municipal fire services, local electricity regulators, etc. We record that the number of deaths in residential industries varies slightly from year to year. It's hard to see what's the cause of these variations, but we don't have an unlucky development, to say it mildly. However, there is reason to believe that systematic and long-term prevention work, including, among others: awareness-raising campaigns are an important tool. We are now considering, together with cooperative bodies, strengthening efforts to prevent residential fires. In the first place, I have invited various actors to a meeting in June this year, where we will look at various actions to be implemented in the future, which can provide closer cooperation between public and private bodies on precisely fire prevention work. In this respect, I would also like to consider the proposal by the representative, Mr Kleppa, on a year of fire protection for dwellings. However, I would like to stress that agricultural and housing conditions are not entirely comparable. For agriculture, technical measures are the main thing. So in the case of housing, it is primarily a matter of attitude-creating work. However, marking a year of fire protection for dwellings can be an idea that there is every reason to consider.
ParlaMint-NO_2002-05-22.ana.ud696e1374	I thank you for your answer. It is good that the Council of State will take a closer look at the idea of an own year of fire protection. NELFO – South Rogaland recently presented an investigation there 45 pst. by those who were asked, knew that the owner was responsible for the electrical system. 30 pst. of the consumers who served in dwellings between 6 and 20 years of age had not used electricians. I thought it was alarming numbers in relation to the fact that perhaps half of the fires were caused by an error in the electrical system. 67 pst. In fact, households were also positive for closer control of their electrical installations. It's on the basis of these numbers I think it might be relevant to look closer to a particular year. So I want to challenge the Council of State: what other measures does he see as relevant?
ParlaMint-NO_2002-05-22.ana.ud696e1383	I have been involved in the specific awareness campaigns, which in themselves are very important. Having a fire year I think is something that is all reason to consider. But we have to remember that these targeted campaigns targeting specific areas that it is important to raise awareness of among people, in themselves, must be an important part of this work. I think all kinds of knowledge that people can get about what they have to be aware of, what are danger areas, and what they need professional assistance for -- all kinds of knowledge of that kind -- is necessary if we are to bring down the number of residential industries, and in particular reduce the number of deaths associated with residential industries. There has to be close cooperation between private and public actors, which is very well illustrated by this issue of electrical installations. Ultimately, it becomes a question of suitability whether or not we want to bring together all these activities in a specific fire protection year.
ParlaMint-NO_2002-05-22.ana.ud696e1392	I share the opinion of the Council of State that the situation in Norway is more special before agriculture, and that it must work in a broad field, both with awareness-raising and with increased knowledge. However, it is interesting to note that, as a target, the fire protection committee of this agricultural sector is to require all farmers to implement at least one fire prevention measure on the farm during the year of the investment and to have livestock producers as a specific target group. And so good response is reported that the demand for fire alarm systems is far greater than the installation capacity. It is a good premise this year – this committee has worked well for three years. I ask the Council of State to take along the experience of the year of agricultural fire protection so far, to follow up on what is happening for the rest of the year, and to intensify efforts. I also record that the Council of State is operating with much larger numbers of injuries and loss of life than I had in my question.
ParlaMint-NO_2002-05-22.ana.ud696e1401	Finally, let me just thank the representative for the proposal, which I think is a very good proposal, which is worth considering. I think it might be even more important than the actual proposal that attention be given to residential industries and the tragedies they bring. It's very important that we have an ongoing awareness of this, and not least it's important that we make sure that most people have a clearer awareness of what they themselves have to do to prevent fires, and even more so to prevent fires from having disastrous consequences. I believe that both the representative Kleppa and I agree that we need to use the tools needed to create that awareness. And I will, as I said, look very carefully at the proposal of the representative.
ParlaMint-NO_2002-05-22.ana.ud696e1419	This question has been postponed to the next Question Time.
ParlaMint-NO_2002-05-22.ana.ud696e1426	The question to the Minister for Social Affairs is: ‘According to the Consumer Inspectors programme, sent in NRK1 on 8 May this year, the Spirit Producer and Spirit Importer Guinness UDV have travelled to several Norwegian cities with a larger specialised trailer and are engaged in the illicit marketing of alcoholic beverages, including: in the case of a free serving for young people. What is the reaction of the Council of State to investigate and punish such a possible gross violation of alcohol laws, and which of these possible reactions might it consider taking advantage of in the matter?’
ParlaMint-NO_2002-05-22.ana.ud696e1435	The aim of the alcohol law is to limit the social and individual adverse effects of alcohol use, including: by limiting the consumption of alcoholic beverages. Both the ban on the distribution of alcoholic beverages for marketing purposes and the ban on the advertising of alcoholic beverages are important instruments in this context. It is the Ministry of Social Affairs that has the overall responsibility to manage the rules. This responsibility has been delegated to the Directorate for Social and Health, which will inform, guide and follow up requests from individuals, municipalities and others. The Directorate has also been delegated responsibility for the State licensing system for the production and wholesale sale of alcohol. In addition, municipalities may react to infringements they become aware of during checks on sales and donations and by other means. The matter raised by the Aarøen representative is being dealt with in the Social and Health Directorate, and I cannot therefore go into it specifically. In general, the directorate, when it becomes aware of violations of the provisions, will point out the unlawful relationship with the offender and, at the same time, encourage it to rectify it. The law has two sanctions against infringements: withdrawal of municipal or state authorization under the Alcohol Act, cf. §§ 1-8 and 3A-12, and police report, cf. Section 10-1. I would like to take this opportunity to recall that in March of this year I presented a proposal to the Stortinget for amendments to the Alcohol Act and the Tobacco Damage Act to ensure more effective enforcement of the advertising ban.
ParlaMint-NO_2002-05-22.ana.ud696e1446	I thank the Council of State for your answer. Increased alcohol use often leads to increased harm. That's why we've banned this from advertising. It's important to knock down those who cross, especially if there's strong commercial interests inside the image. I would also like to say that it was commendable by the NRK to discover this matter. What I'm most concerned about is that this advertising campaign through several cities could take longer without anyone responding. According to the list in the papers, there were quite a number of them inside. My follow-up question to the Council of State is: What could the Council of State do to prevent similar violations of the advertising ban by such a special marketing?
ParlaMint-NO_2002-05-22.ana.ud696e1457	This has both the Department and the Directorate for Social and Health vigilance in relation to this. We reacted quickly, and we're also going to do similar and similar things in the future. To just say a little about progress, on 6 May, a letter was sent from the Social and Health Directorate to the Guinness UDV, where they were asked to explain themselves – with three weeks’ notice. In addition, the director of the same company contacted the director of the Social and Health Directorate and asked for a meeting. It's also been a meeting. It was May 14th. And on 16 May, the Social and Health Directorate received a letter, writing that they take the matter seriously, and that they will come back with more information about invited participants to business meetings, activities during industry meetings and the range of taste samples. What is the main challenge in this case and in future cases, if any, is the question: Was this industry meeting or not? Everything so far could indicate that it wasn't, but we're going to await the explanation from the Guinness U.D.V. There has been a similar case in the media that goes on a completely different brand, at Bacardi-Martini Norway AS, and a similar letter has also been sent to them. So we follow it closely up. We're going to have vigilance, and we're also going to act in relation to the information and knowledge we get – plus that we're going to keep close contact with the corresponding industries in relation to what's inappropriate according to the legislation.
ParlaMint-NO_2002-05-22.ana.ud696e1472	I have the following questions for the Minister of Social Affairs: ‘More municipalities are struggling to provide adequate housing, especially for people with drug problems. Paradoxically, several sites are used for expensive and inappropriate solutions such as shelters and camping cabins. Will the Council of States put in place specific measures to ensure that people with drug problems have a decent housing and a better chance of good rehabilitation?’
ParlaMint-NO_2002-05-22.ana.ud696e1481	I am pleased that the representative Storberget addresses this question. It's an important issue that I'm very concerned about. Unfortunately, it may seem that it is difficult to provide suitable housing for drug users, while housing is a prerequisite for good rehabilitation. That it is difficult, however, should not be a decisive obstacle, and my starting point is that we should provide a little extra for this group. I would first like to stress that it is a municipal responsibility to provide both temporary and more permanent housing services for, among other things. drug abusers. The problem is not that municipalities do not provide housing, but the quality of many of these housing services. The government is working in several areas on this issue, and in line with the Sem Declaration, we want to give priority to the efforts of the homeless. We would like, among other things: review housing support rules to improve housing measures for disadvantaged people, review the House Bank legislation with a view to contributing more to the construction of housing for this group, and develop support/loan schemes for non-governmental organisations committed to providing housing as an alternative to social disadvantaged accommodation. In the poverty action plan, with which the Ministry is running, this is one of the challenges actively addressed. The Government has continued the ‘Project homeless’, which as of this year has been extended by two municipalities, to seven. The main objective of the work is to develop methods and models to prevent homelessness, to allow testing of local holistic solutions and to provide a basis for experience in national efforts and strategies. Experience and knowledge dissemination must also be central to this work, which is well under way. This issue is also addressed in the action plan on drug problems, which the Government intends to present to the autumn. I have also taken the initiative to develop and ensure quality standards for shelters and other temporary housing services.
ParlaMint-NO_2002-05-22.ana.ud696e1494	I thank the Council of State for the answer. I do not doubt the will to do anything. I am also pleased with the angle of the answer, because if you look around in Norwegian municipalities, you can see a situation where you can offer a much better accommodation than what is being offered today with reasonably simple handles, indeed cheap. In this way, it is strange that 40–50 years ago, what has been done for citizens in very common situations and in work, i.e. building homes, has almost become an impossibility for many Norwegian municipalities today, even when you can do it more reasonably than the actual offer. What I want from the Council of State is whether she can now make specific, concrete measures, such as investment incentives or new resources, or whether we are going to go into regulations in relation to setting the standard that such housing should have. If someone needs a garden — to put it graphically — to ensure rehabilitation, it is precisely the drug addicts. Is there anything concrete?
ParlaMint-NO_2002-05-22.ana.ud696e1503	Yes, there are guidelines to ensure the quality of the housing to be offered. In addition, I was in the answer that we work in several areas in relation to what prompted the question from the representative Storberget. There we are going to give priority, as mentioned, to homeless people — there are also many drug users in that group. We are reviewing housing support rules, we are reviewing the House Bank legislation, and we are opening up support/loan schemes for non-governmental organisations. But I stress again that the municipalities are responsible for this work. It is then important that we have guidelines, rules and frameworks that enable municipalities to handle this.
ParlaMint-NO_2002-05-22.ana.ud696e1512	I thank you for your answer. We fully agree that the municipalities must have primary responsibility for this. But it seems that in many ways, including from the central level, you now have to put further pressure on this, and also further focus on it, because we see that more municipalities today offer a standard that is far below pari. Both campsites and shelters are very unsuitable for those who actually seek to rehabilitate themselves back to what most of us would call a normal life. Finally, I would like to ask the Council of State if she has any timetable and time limit for when these final measures are to be completed by the Government, so that we can get further pressure on this.
ParlaMint-NO_2002-05-22.ana.ud696e1521	We have said about the autumn, both in relation to the action plan on drug problems and to the action plan on poverty. That the representative of Storberget is involved in this, I am actually very pleased. I am very pleased with the question as well. The representative requests pressure. Then I have to say that when we have extended the «Project homeless» to several municipalities, it is because we keep pressure. When we just a few weeks ago announced that we would have guidelines in relation to ensuring the quality of the housing standard, it is also keeping pressure. I feel that here we have the same intention, namely to improve conditions. We have to work across departments, but also parties, to get this done. That's how I like the commitment, and I'm going to increase the focus on it.
ParlaMint-NO_2002-05-22.ana.ud696e1540	This question has been postponed to the next Question Time.
ParlaMint-NO_2002-05-22.ana.ud696e1547	This question, from the representative of Gjermund Hagesetter to the Minister for Local and Regional Affairs, will be answered by the Minister for Labour and Administration.
ParlaMint-NO_2002-05-22.ana.ud696e1550	I have the following questions for the Minister of Labour and Administration: «Many municipalities have worn out financially since the full statehood of corporate tax in 1998. With this conversion, municipalities probably lost an incentive to facilitate business development. The Minister of Local Affairs has previously called for a greater proportion of corporate tax to remain in the individual municipality where the enterprise is located. The batch of progress has been merged into such a conversion. How far has the Council of State come in this conversion, and what time can municipalities expect to get a greater share of corporate tax back?’
ParlaMint-NO_2002-05-22.ana.ud696e1559	Let me first say that I agree with the representative of Hagesetter that it is important that municipalities also receive a purely financial incentive to facilitate business activities. The Sem statement therefore stated that the Government will work to provide the municipalities with part of the tax from the profits of the companies. However, let me make it clear that such a conversion in isolation will not affect the total income of municipalities. When the municipal corporation tax was abolished in 1999, municipalities were compensated for by higher taxes on persons. Similarly, municipal corporation tax means that other municipal income will be reduced. Therefore, the fact that many municipalities are struggling financially is hardly due to the loss of municipal corporation tax. On the other hand, it is important for municipalities to receive part of the corporate tax as an incentive to work for more industrial activities. An inter-ministerial working group was therefore set up from the turn of the year to explore different models to provide municipalities with some of the surplus tax. The old local tax rules were not perceived as fair. As a result, the task of the working group has been to identify different models in which the tax is allocated to municipalities according to different rules than those applicable under the old system. It is still too early to say something about when proposals for new rules can be made, or when municipalities will mark the conversion financially. Such conversion requires thorough preparation, and I therefore consider it very important that a proposal contains robust distribution rules. When the conversion may take place, inter alia, it will depend on: whether a choice of a model is made within or outside the tax system.
ParlaMint-NO_2002-05-22.ana.ud696e1568	I would like to start by thanking you for your answer. I am at least satisfied that a person is working on the issue, and that one also agrees that it is important for municipalities to be given an incentive to facilitate the development of businesses. When it comes to what was said, that this does not have anything to say about the total income of municipalities, it is probably also true macroeconomically distributed among all municipalities, but I think there are some municipalities that have a lot of nutritional development that feel that they are getting worse. I do not feel that I have received an answer when a plan to introduce that the municipalities get a part back. I could also expect to get a certain signal about the percentage of the municipalities will get from the company tax.
ParlaMint-NO_2002-05-22.ana.ud696e1580	It is quite right that the representative did not receive an answer when this will be implemented – for the simple reason that I have no answer when it is implemented. It's important, as I said in the first post, that this work is done thoroughly. The old system did not work well in relation to different municipalities. We therefore need to develop a system that is seen to be fair and, at the same time, gives municipalities incentives to pursue active business development. And we have to take the time needed to get it done. With regard to the proportion of corporation tax to be paid to municipalities, if any, it is related to the question of the type of model that can be found that works well. So I can unfortunately not answer that now.
ParlaMint-NO_2002-05-22.ana.ud696e1587	I must then note that the Council of State is more diffuse when it comes to informing the Storting than to informing parts of the business. In the Bergen Council of Economic Affairs, the Minister of Local and Regional Affairs said this year that the most likely thing will happen with effect from 2004. So I didn't get that answer here today. But as this is said, there is pressure in a public magazine, and it's not repudiated, I assume that what the government is aiming for is that one can have a change from the financial year 2004.
ParlaMint-NO_2002-05-22.ana.ud696e1592	I am absolutely sure that the Minister of the Municipal Council is aware of everything she has said publicly. At the same time, I have understood the question in the Chamber here today to the point that the Stortinget, or the representative Hageseter, was not interested in a probability assessment. That's why I think it's right to say that we can't now say exactly when the proposal is going to be promoted.
ParlaMint-NO_2002-05-22.ana.ud696e1597	Question 22 has already been answered.
ParlaMint-NO_2002-05-22.ana.ud696e1603	I allow myself to ask the Minister for the Environment the following questions: ‘With today’s high cost and crown price, the profitability of the Norwegian process industry is consistently low. This may lead to more closures and deflagration of Norwegian industry. The Government has clarified whether this will result in increased emissions of greenhouse gases and other pollutants when Norwegian production is replaced by less efficient and coal-based industries in e.g. China, India and Venezuela?’
ParlaMint-NO_2002-05-22.ana.ud696e1612	I have noted with great interest the concern of the representative of Klungland for the competitiveness of the Norwegian industry. This government is committed to improving the framework conditions for business. This year, Norwegian enterprises are experiencing the biggest tax reliefs ever. The investment tax will be completely removed and the depreciation rules will be reversed. The government will conduct a responsible economic policy to keep interest rates down. All of this helps to make investing in Norway more favourable. However, in order to avoid global warming, which is the biggest global environmental challenge facing us, significant reductions in greenhouse gas emissions are necessary. The government’s policy is that a significant share of the emission reductions committed by Norway under the Kyoto Agreement shall be national. This is why the Government of the Supplementary Communication on Climate Policy, where we are also alerting a more offensive climate policy, proposes an early national quota system instead of voluntary agreements proposed by the previous government, and a number of other measures to reduce greenhouse gas emissions before 2008. The quota system will also provide a climate change agent to the Norwegian process industry that is not currently facing any climate change instruments – they do not pay CO2 taxes like the rest of the industry, they do not pay electricity taxes like the rest of the industry. I'm not imposing any of these charges, but I'm saying that if you can reduce by 20 pst. prior to 2008, resources may be used to invest in environmental measures to achieve this rather than to pay taxes. This is good environmental policy. Of course, it is difficult to identify the climate impact on emissions of shutting down industry in a country. Firstly, the reason for this may be overcapacity on the world market — as we have seen in some places also in Norway so far — so that closure does not lead to new production in another country. A keyword here is magnesium production. Secondly, it is rarely possible to trace which new production replaces the deceased. Thirdly, there are also opportunities for production based on new technologies and non-fossil energy sources in developing countries. Fourth, Norway also imports coal power during periods to meet its own power needs, i.e. that about 30 pst., I think, by the force today goes to the type of industry that Klungland is concerned about. The climate accounts are therefore uncertain. However, Norwegian industry generally holds a high environmental standard. Therefore, no unnecessary closures in Norwegian industry have been made due to poor framework conditions. The government therefore proposes that the greenhouse gas allowance system be designed in such a way as to avoid the closure of activities that are profitable with a national allowance price during the Kyoto period due to particularly high climate costs before 2008. The proposed allowance system is carefully designed, with the free allocation of allowances — as well as security valves in the form of an infringement fee, the opening of international allowances trading and the joint implementation of activities that are not subject to allowances.
ParlaMint-NO_2002-05-22.ana.ud696e1627	I see that the Minister for the Environment has problems answering the question that was actually asked, if they had clarified whether they would increase environmental emissions if the industry were to move out. That's why I want to put this into practice a little bit. Tinfos Jernverk AS, Øye Melting Plant, uses coal and coke in the process in its industry, while using hydropower as an energy source. So the need is growing worldwide in relation to products when they also have an increased growth in their production. If the worst thing is happening now – what has been announced – that we get the climate quota system that the Minister for the Environment has presented, that we get the electricity tax and that the strong price of the krona is going to break down, that means 100 million. kr for the operating result of that holding of one year. And that's one of the strongest companies in Norway. If they move out, the CO2 emissions will increase to more than triple. Does the Minister for the Environment agree with such a conclusion?
ParlaMint-NO_2002-05-22.ana.ud696e1634	Fortunately, it is not Klungland who decides and is objective in relation to whether I answer the questions I am asked, or not. I believe that I answered absolutely what the question was about. Of course, the fact that Klungland didn't like the answer is something else. But I answered that. The question from Klungland is how closures in Norway will work in relation to global climate accounts. Some closures are due to the fact that the companies no longer have a market, i.e. that it is not economically profitable to continue – I have mentioned magnesium production. The government says that enterprises in the process industry should not face the type of instruments before 2008, that they will be unprofitable if they will be profitable after 2008. But the most eye-catching thing about the issue that Klungland is now actually asking is that the representative said that the worst thing that can happen is that the Government's proposal for a national quota system is being adopted. Is it so to understand that the Workers' Party has now concluded that it is only going on voluntary agreements and not on a national quota system, I am really afraid that the party is really looking like climate hosting. It might also be interesting to see if this is the conclusion of this party.
ParlaMint-NO_2002-05-22.ana.ud696e1641	Now it is probably the case that the questioner asks questions to the Council of State. As regards the position of the Workers' Party in this matter, Børge Brende has hopefully read what the Workers' Party stands for. That means that we'll obviously achieve the same ratios as Børge Burnde, but maybe we have other and more effective ways to do it. The problem is that this company, Eye Melting Plant, with a quota of 80 pst. will have a load of 36 million. kr that they have to pay for what they use in the process. With the electricity charge, they will get the equivalent, and the exchange rate means about the same amount. So it says a company that is internationally profitable, that creates values for the country, that provides jobs, and it's good district policy that this industry is where it does. Nevertheless, the Minister for the Environment does not seem to care so much about maintaining these jobs. I would like to ask the question: Is the Minister for the Environment prepared for the industry to actually fly out of Norway?
ParlaMint-NO_2002-05-22.ana.ud696e1652	It's almost so you have to pinch your arm here to really realize that the question that now came up was asked. Of course, I'm not because the industry that is currently profitable in Norway is going to be unprofitable because of a national quota system. It is also clear from the additional communication on climate policy that Norwegian industry should also have good framework conditions in the future. What the representative of Klungland says is to achieve the same greenhouse gas reductions with voluntary agreements as with a national quota system. He believes that a national quota system is the worst thing that can happen. Nevertheless, he says that it may happen that the Workers' Party is also in favour of it. There's something about the logic where I don't get to vote. I think the representative should be happy that I am not in this position right now that I can ask questions back. But I'm very excited to see where the Workers' Party is. On the part of the Government, it is quite clear – it is clear – that Norwegian industry should not have any worse framework conditions than industry elsewhere. Much of the Norwegian process industry operates very well, and they are without CO2 tax and without electricity tax today. In addition, it can be trusted that this government has a comprehensive industrial policy. We do not drive and introduce a levy, change the depreciation rules, change our mind in relation to important tax regimes – that is important. The interest shall be kept where it is and we shall have a good national allowance system which means that one can use the resources to invest in environmental measures instead of paying in fees where one does not receive environmental results.
ParlaMint-NO_2002-05-22.ana.ud696e1667	I will ask the Minister for the Environment the following questions: ‘The Ministry’s pilot study on container port in Oslofjorden launches three local container port solutions. Kambo/Jeloya in Moss municipality are important open-air areas for large parts of the population of the East. Is it acceptable for the Council of State to transfer goods to Oslo from keel to car 6 miles from Oslo from an overall environmental perspective?’
ParlaMint-NO_2002-05-22.ana.ud696e1676	I am aware that a pilot study has been developed on the port structure in Oslofjord. The pilot study was developed by a steering group with representatives of the Ministry of Fisheries, Oslo Havnevesen and Grenland Havnevesen. Oslo Portevesen’s action plan for the implementation of Fjordbyen requires that container traffic can be moved out in 2011/2012. As a result, during the examination of the national transport plan 2002-2011, Stortinget has pointed out that regional port solutions need to be provided, including the establishment of an interregional port company for the Oslo area. The location of a new container port for Eastern Europe has many environmental aspects. It is important to facilitate the movement of a larger part of freight from road to sea. For the same reason, it is important that the transport to and from the port can be done as far as possible by rail. Attention must also be paid to the importance of outdoor and nature protection interests. Further work will be undertaken by the Ministry of the Environment as both an environmental protection authority and as the top planning authority under the Planning and Building Act. I am asking for an understanding that I cannot therefore comment on the various options now, alternatives that the Minister for Fisheries is working on and that it is right to address him. But I would like to add that none of these current options are unproblematic from an environmental point of view.
ParlaMint-NO_2002-05-22.ana.ud696e1685	I thank you for your answer. One of the suggestions for the location of the container port is Jeleya at Moss. This is an island with large landscape protection areas and unique natural resources. National policy guidelines have been followed up by local politicians. The cabin owners have not been able to build on as much as 10 m2. There is no infrastructure on the island, and I would like to compare the proposal with laying a container port in Nordmarka, although I admit that the access by boat is better on Jeløia. Kambo and the other proposed areas are also valuable natural and outdoor areas, where the Minister for the Environment was concerned. Have not the departments initially cooperated on the elections? And have you not initially assessed the environmental impact of the proposed locations? It seems like you've just seen a green area on the map and found out that there's room for containers, and then you put it there.
ParlaMint-NO_2002-05-22.ana.ud696e1694	As I also said in my first answer, none of these current options are unproblematic from an environmental point of view. But the Ministry of the Environment comes in two ways. One is in relation to the environmental aspects, and the other is as the top level planning authority. I have a very good dialogue with the Minister for Fisheries about this. The Minister of Fisheries has also confirmed that none of the three solutions are environmentally unproblematic — then you have to add to what you want. I have also noticed the burning commitment that the representative has for a great area like Jelaua/Moss, which has very many qualities, and which is also a landscape protection area. It is the type of assessment that will also be included in the overall assessment. The three options that you have so far worked with are not unproblematic. This has also been emphasised by the Minister for Fisheries and actually asked me to say today.
ParlaMint-NO_2002-05-22.ana.ud696e1705	I thank you again for the answer. There is a large grassroots movement towards the location of a new container port in Oslofjord. This applies on both sides of the fjord – the Minister for the Environment knows it. Moss city government has had three unanimous decisions against the location of a container port in Kambo. Jelau has not been evaluated, so it came as a shock to us that it was suggested. What the Minister for the Environment does not answer, and as I see it as the most important question here, is whether one can actually defend from an environmental point of view to tranship goods six miles from Oslo, from keel to car, on a road network that is so heavily loaded. I was looking for that environmental perspective after the Minister for the Environment was able to respond to me.
ParlaMint-NO_2002-05-22.ana.ud696e1716	I believe that I responded in my first answer. It has now been raised again in the third question from the representative. As I said in my first answer, the goal must be to get more of the transport on the road. It's also a goal that you get more of the transport across the sea. But we don't want any more transport along the roads. It is the government's objective, as is also evident from various documents that we have presented to the Stortinget, the collective communication and what we have also said in the National Transport Plan.
ParlaMint-NO_2002-05-22.ana.ud696e1723	Case No. So 1 is done.
ParlaMint-NO_2002-05-22.ana.ud696e1734	There is no record.
