ParlaMint-NO_2002-12-18.ana.ud519e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2002-12-18.ana.ud519e1367	I again point out that the Ministry of the Environment is responsible for the planning provisions of the Planning and Building Act. But I also show that there is work in the Ministry of the Environment through the Planlov Committee on different building regulations and regulations. I am sure that this issue will also be up-to-date. I agree with the representative, Mr Enger, that it is positive that sensible measures are being put in place to limit power and energy use, not least in relation to this holiday home. And if a provision of the Planning and Building Act is necessary to produce such good solutions, it will probably be considered. But as I said, it is actually possible to solve today as regards private-law measures, for example. in the case of necessary clauses in the fastening contracts. There is one way to go until one is given an assessment of possible alternatives.
ParlaMint-NO_2002-12-18.ana.ud519e1374	I thank you for your answer. I understand that we largely agree here, and that it is the Planning and Building Act that initially is the law that can change this. I would like the Plan Law Committee to look at this side of it as well, because it is important for the municipalities to have the opportunity to rule here. For example, if there is a nearby heat producer, a building block may be set on common heat supply with bioenergy. It is not so easy to reach such agreements with individual developers. Therefore, it would have been nice if the municipalities had the opportunity to establish guidelines in this area. Finally, I would like to mention an example from Hemsedal. A new recreational community of 200 000 km2 is planned and the local e-work is concerned if it is to be available for power use. I guess that's something for the Minister of Energy to bring with him.
ParlaMint-NO_2002-12-18.ana.ud519e1383	I am in favour of what is the intention behind the representative Enger's question. I promise that the Plan Law Committee will be sent both the representative's questions and the exchange of views that we have had on this in Stortinget today.
ParlaMint-NO_2002-12-18.ana.ud519e1391	I have a question for the Minister of Oil and Energy: ‘The oil working areas are important prerequisites for a diverse labour market in many local communities in District Norway. It has been claimed in the media that many of the oil companies' land bases should be reduced despite the fact that these bases were prerequisites for the companies to conduct exploration and extraction. In particular, the bases in North Norway are exposed. What will the Council of State do to ensure that the government's assumptions about the land-based structure are complied with?’
ParlaMint-NO_2002-12-18.ana.ud519e1400	The established objectives of the localisation policy of the authorities have been the management of the activities from a holistic and long-term perspective, while the expansion of the oil industry will have a positive impact on the surrounding areas of the mainland. A number of bases are established along the whole coast. The aim must be to maintain or increase the level of activity so that viable environments can be secured during long-term operation. At some bases, maintaining the level of activity and employment has for some time been a challenge, and one must recognise that increased activity at the bases of North Norway will have to come from increased exploration activities and new developments in neighbouring areas. The Ministry of Oil and Energy is working on an investigation into the consequences of all-year petroleum activity in the northern sea areas of Lofoten and northwards. The investigation is expected to be forwarded to the Government during the autumn of 2003 and will be used as a basis for further policy consideration of the issue of the conditions and conditions for all-year petroleum activities in the area. The conclusions drawn in the light of this investigation will therefore provide important guidance for the future level of activity of existing bases. However, in the case of Hammerfest, the development of Snow White will ensure the establishment of a sustainable base environment in Finnmark. Active allocation policies have been pursued by the authorities over the past few years, with subsequent exploration. Unfortunately, apart from the Worm Lange, there has not been any recent findings that defend independent development with its base structure. For the Worm Lange, one has not yet concluded on the development solution, and it will be up to the Stortinget to take the final decision. The government is concerned with the question of the base structure, so that the petroleum activity will continue to have positive ring-effects for the surrounding continental regions. We also need to recognise that, in order to ensure long-term operation and strengthening of viable environments at the bases, it is entirely dependent on a good resource base. The issue of location of bases will continue to be subject to political treatment in the future where the Storting will be involved.
ParlaMint-NO_2002-12-18.ana.ud519e1413	I thank the Council of State for the answer. It's not reassuring. There has been some unrest around the base in Brønnøysund, around the base in Lake Sandness and around the base in Harstad, and they do not know today whether or not it will continue to operate. The Council of State has not been able to confirm today in Stortinget that the bases will continue to exist. We know from experience that more and more of the oil and gas are being diverted south into pipes. Is it supposed to be piped up along the whole coast, and the bases in North Norway to be laid down?
ParlaMint-NO_2002-12-18.ana.ud519e1420	To the last question, the answer is absolutely no. There must be quite a lot of oil and gas to which, in this case, gas applies in the case of pipes, in order to be able to respond with long transport lines along the coast. As you know, the Snow White field is expanded using an LNG solution. As regards the bases in the Nordic countries, to which the Bastisen refers, the Ministry has no intention of reducing the activity. On the contrary, I attach great importance to the fact that it can be maintained. But as I said in my answer, the activity at the bases is a function of how successful drilling and exploration is in the Norwegian Sea, and it is therefore essential that we get new findings, so that the activity can be kept up, and that we possibly succeed with new operating bases in North Norway. It will be of great use and joy to North Norway. They also have expectations of that, and that is reasonable.
ParlaMint-NO_2002-12-18.ana.ud519e1427	I thank the Council of State for the answer. I am fully aware that long transport is difficult, but that is not impossible. I have, for personal reasons, tried to participate in a realistic oil protection exercise outside the Norne field. I am fully aware that the development of new fields must be based on decisions in the department and in the Stortinget. The activity of the bases must be based on the fact that there will be activity in the sea and new oil wells. We can't stand that here in Stortinget and assume, but I hope the Council of State can confirm to those who are waiting for such a Christmas present that there will still be activity at the bases that the Stortinget has said it should be.
ParlaMint-NO_2002-12-18.ana.ud519e1436	As I said, from my point of view, I have no intention of wanting to restrict the bases on a political basis. It is a wish of the Ministry of Oil and Energy that both the two bases existing in the Nordic countries already, in the Sandness Lake and in Brønnøysund, can exist with good activity, but that further activities on land can also be facilitated by new findings. What creates the uncertainty is an illustration of the uncertainty of the petroleum activity. Unfortunately, in the centuries of this technology, we have not come so far that we can find with sufficient certainty the oil reserves that are still available on a Norwegian base, but as a need for advanced seismics and highly developed competences in order to assess correctly. Yet we have disappointments. There is no doubt that the last few rounds have been so far a disappointment, and today the activity picture is also striking.
ParlaMint-NO_2002-12-18.ana.ud519e1444	I want to ask a question to the Minister for Children and Family Affairs: ‘There are a number of computer games on the market. Some of these contain very gross violence. They are so grotesque that some shops refuse to sell them. For children and young people, such games will work extra strongly, and research shows that such impressions can lead to both mental and negative behaviour. What is the stance of the Council of State on such TV games, and will the Council of State take the initiative to ban the most violent TV games/films offered in the Norwegian market?’
ParlaMint-NO_2002-12-18.ana.ud519e1453	I am very concerned and upset about what children and young people get from violent electronic games today. It has been demonstrated that some retailers do not take into account age marking. Children down to the age of ten get to buy the most serious games without problems. Games with content contrary to criminal law are affected and can be stopped, regardless of a system of age and content labelling and the regulation of forms of turnover. The computer game industry also shows accountability when it introduces from 2003 a self-regulatory system for age marking computer games. The system is common to Europe. It will be very important to follow how the scheme will operate in relation to age limits and classification of content. Producers and importers have significant interests linked to a pan-European scheme. The benefits relate to their being able to relate to a single set of standards and thus to the specific rules of individual nations in this area. They thus achieve a rationalisation gain that they can reap in the form of simultaneous launch in all countries, and consistent marketing. The industry seems to have such a great deal of self-interest in the scheme that I would think they are doing a lot of good practice. However, I will follow closely the way the system works. If the scheme is not for the benefit of children and young people, I will consider introducing self-regulation in Norway. But the weakest link in the chain can be the individual dealer. We have seen that some dealers sell anything to children. This gives little hope that they will be loyal to a branch scheme. I would therefore like to consider introducing a concession scheme for the sale of electronic games. The concession scheme should be based on the same reading as the videogram concession scheme. In practice, if there is a breach of the law or regulation relating to such a law, it may be possible to impose sanctions. Possible penalties may, for example: be to withdraw the right – simply not to sell these computer games.
ParlaMint-NO_2002-12-18.ana.ud519e1462	I thank you for your answer. I just want to follow up with a few things. I experience what the Council of State says about permissions, as an interesting proposal, that you actually get stricter regulation and a much stricter control by getting a licensing system. I am very pleased that this is a matter that the Council of State has in mind if it does not resolve in other ways. But at the same time, I have to be allowed to say that I have actually wanted a ban line to be evaluated. I don't think it's appropriate in this room to tell you a little about the content of such games/films – I've taken the pressure to look at them – it's so grotesque that you can ask yourself what we're going to do in the market at all. What are we going to do with anything like that? We know that we are under ban, for example. child pornography, and that makes us put some moral ties on ourselves. Although some people also abuse it, and get it across the web and in other ways, we know that it is wrong. So the question to the Council of State is, can there be a ban going on?
ParlaMint-NO_2002-12-18.ana.ud519e1473	First, I want to say that I am going to work on concession and control regardless of what the market is doing. I think it's important. The second is that I actually agree that many of these games are not suitable for sale at all. That is also why some of these games, especially one of them, ‘Grand Theft Auto 3’, have been reported to the police by the Children’s Ombudsman and the Consumer Council. This is now the case with the Riksadvokat. The Advocate General has not yet taken a decision on further progress in the matter. What I want is for this to be tried against the penal code. What I would hope for was that the provisions of the penal code would intervene and say that this is actually illegal, because it is so gross. I hope that happens.
ParlaMint-NO_2002-12-18.ana.ud519e1478	I am very pleased with the response of the Council of State. I see that we have a government council that is really concerned with this problem. I'll settle down and I'll end up here. I just want to wish the Council a really good Christmas, and then I hope it will be a good new year for work for children and young people in Norway.
ParlaMint-NO_2002-12-18.ana.ud519e1483	A really good Christmas to the representative, and thank you for a very good question.
ParlaMint-NO_2002-12-18.ana.ud519e1499	This question has been withdrawn.
ParlaMint-NO_2002-12-18.ana.ud519e1506	I will ask the following questions to the Minister for Fisheries: ‘There is an increasing focus on safety and preparedness in the case of marine oil/gas cargo. The Coastal Directorate will reduce the number of Fedje traffic centres by one person and will move the unloading station to White Island in Rogaland for economic reasons. From Fedje traffic centre, 2 500 giant tankers are conducted annually with crude oil to and from Mongstad and Sture. How can the Council of States ensure that environmental and safety considerations are respected before the decision is taken?’.»
ParlaMint-NO_2002-12-18.ana.ud519e1515	I would first like to stress that I am of course concerned with maintaining a sound safety and preparedness along the Norwegian coast. Not least, it is important that our traffic centres and unloading services function properly. Traffic management is carried out at the traffic centres, financed by the safety fee for the relevant traffic centre, and pilotage, financed by the pilot charges. In the revised national budget for this year, the Government announced that we would assess the centralisation of the pilot service. As part of improving the efficiency and cost reduction of the unloading service, for which the Coastal Agency is closely involved, it aims to concentrate and carry out the unloading from three locations early in 2003: Lødningen, Witsøy and Horten. In practice, this means that the pilot project, which is currently being carried out by Kristiansund and Fedje, is to be transferred to Wittsøy and that the pilot project in Kristiansand and Grenland is to be transferred to Horten. As a result, work related to the unloading of goods at the traffic centres in Fedje and in Grenland is transferred to other places. In North Norway, we have experience that the pilotage is currently being carried out by Lødingen, who is responsible for the pilotage of the fourth and fifth districts of the Coastal Agency, i.e. Nordland, Troms and Finnmark. This works very well and shows that the technology allows the pilots not necessarily to be located to the place where the unloading is to take place. I would therefore like to stress that it is the bulk distribution and not the actual unloading station that is to be moved from Fedje to Wissøy, i.e. that the pilots will continue to be stationed on Fedje, while the deployment of pilot operations will be managed from Witsøy. In addition, I believe that the conversion of the unloading services should not lead to a reduced level of safety at the traffic centres. Traffic monitoring is carried out by the staff of the traffic centres. These are open 24 hours a day and at least one traffic controller is present. This will not be changed. At the traffic centres where the pilotage agency is now being moved to another unit, the Coast Guard Station will ensure staff so that there are always at least two persons present at the traffic centres. Until other sound solutions to the management of traffic are found, it would not be appropriate to reduce the manning of the traffic control centres. Thus, the conversion of the unloading services shall not lead to a reduction in the safety of any of the traffic centres. In this way, my answer to the questioner's question is positive.
ParlaMint-NO_2002-12-18.ana.ud519e1532	I have to thank the Minister for the answer. I think it is positive that the crew on the traffic centre should not be reduced. I'm the busiest person in the city. Loose services may be provided in various ways and the loosing service is of course important. I don't know if the state councils have been on the traffic hub of Fedje, but at least he should take a trip to see what kind of situation you have on the coast with all these big tanks going into Sture and Mongstad. It is greedily important that there is enough staffing – it is difficult to say when it is, but it is important that there is more than one person on guard. In this way, I am satisfied with the answer from the Council of State that it is not a person to monitor Norway's largest port, but that there are two.
ParlaMint-NO_2002-12-18.ana.ud519e1545	I can assure you that the three traffic centres that we operate today, Horten, Brevik and Fedje, and the fourth that will become operational from 1 January, White Island, will have a crew to take care of the safety concerns of both the representative and the Council of State. In addition, we consider a fifth traffic hub in North Norway. These tasks consist of contributing, as also described by the representative, to safe and efficient maritime traffic and to the protection of the marine environment. For that, both qualitatively and numerically, we need a crew that we're clearly going to take care of. It is not appropriate to make changes unless, through technological developments, safety could be ensured in the same manner as it is today, even in the future.
ParlaMint-NO_2002-12-18.ana.ud519e1550	Yes, that's the security, the security of those who travel by sea, and the security of those who live by land. When these big tankers go in between the rocks, we're all small. And almost accidents have been, but I don't need to ask the two questions further out. We're both concerned with security, and I feel that he's drawn in line with what the council says. It is time to wish each other a good Christmas, and then of course I will also love the Council of State Christmas.
ParlaMint-NO_2002-12-18.ana.ud519e1557	I then find that we have a common interest in keeping safety and preparedness high at all traffic centres, including Fedje, and that it will be taken care of in the future, also with the change we are making in the communication. Then I want the deposit representative, and I also include those at Fedje, a good Christmas and a safe Christmas.
ParlaMint-NO_2002-12-18.ana.ud519e1568	I would like to ask the following questions to our social minister: ‘Tvedestrand is the only town in East Agder without its own wine monopoly. The monopoly of wine is obliged to ensure market access and fair access through its retail network throughout the country. The President of the Board of Governors of Tvedestrand wants to sell pole-and-line to the city and threatens to bring the case before the EFTA Court of Justice in Brussels. Will the Government ensure that Tvedesstrand receives wine monopoly sales, or risk a case before the EFTA Court, which may overturn the whole scheme of this old-fashioned Norwegian wine monopoly?’
ParlaMint-NO_2002-12-18.ana.ud519e1577	The question of whether there are grounds for applying for authorisation in Tvedestrand is decided by the Board of Governors of the Vinmonopolet on the basis of an assessment of the relationship between economic criteria and the desire for increased availability. However, I understand that many municipalities may wish for a wine monopoly shop, and that there may be regional and economic reasons for this desire. However, the situation is that about 90 pst. the population of our long-range country in a short time will be less than 20 kilometers from the nearest sale. In addition, a remote-trade solution is in place which makes it easy for customers to order and have the goods sent to or delivered to them if the distance is a problem. Remote trade means that goods can be ordered by telephone, letter or net, so-called e-commerce, and delivered through the post. I do not see any reason to go into a discussion with the representative Torbjørn Andersen about the wine monopoly scheme, but it shows that earlier this year the Stortinget rejected proposals for the sale of wine and starch in grocery stores.
ParlaMint-NO_2002-12-18.ana.ud519e1584	I thank the Council of State for the answer, which I realized there was no big and good Christmas Presong to Tvedestrand. There were no concrete promises here, as I perceived it. However, when Norway continues to doubt this old alcohol trading system, sufficient availability must be ensured by geographically equitable distribution of outlets throughout the country. And until today, Tvedestrand has been one of the very few cities in the country where it has not been possible to buy as much as a bottle of wine on the pole, for it has simply not been sold there. And so there's miles to the nearest neighboring town that has such outlets. The availability is therefore very poor. Why does the Council of State not propose to Stortinget that more outlets be authorised?
ParlaMint-NO_2002-12-18.ana.ud519e1593	It is not the Minister of Social Affairs who decides where to lay the pole. That's what the Vinmonopole and its government do. Next year, too, there will be new pole sales. It's been a massive expansion in recent years, so large that 90 pst. the population is less than 20 kilometres from a wine monopoly. It's not provided that we're going to have an expansion at the same rate as it has been, but next year, as I said, it's going to be new establishments. In addition, we also need to follow up on what the Storting has decided, namely trials on minipols, which have a limited range of products. When the representative says that we have an old-fashioned wine monopoly system, I must say that I do not share the concerns and judgement of Torbjørn Andersen in relation to it. I feel that the monopoly of wine is strong in the population, and that it also has to do with the modernisation that has taken place in relation to a greater degree of self-service, and the ability to obtain the goods of the pole in a way other than by meeting itself.
ParlaMint-NO_2002-12-18.ana.ud519e1600	I thank the Council once again for the answer. Well, this matter is settled, but I would like to remember that the European Commission is currently pushing Sweden very hard to wind up the Systembolaget. And, according to Norwegian EU experts, if the Swedes have to comply with the EU’s requirement – and this suggests that this will happen – this will also break the Norwegian wine monopoly. This could mean that people in Tvedesstrand or other cities will soon be able to buy legal alcoholic beverages in the grocery stores, as most people in all other European countries can. Does the Council of State really believe that Norway will continue to be able to maintain the Vinmonopolet if the Systembolaget in Sweden — probably — is phased out quite soon, following pressure from the EU?
ParlaMint-NO_2002-12-18.ana.ud519e1607	I'm recording that the Vinmonopolet is strong in the Norwegian community. It has to do with the modernisation that's happened, and we've had an expansion that's been huge in recent years. The implementation of that plan is immediate and will also be established next year.
ParlaMint-NO_2002-12-18.ana.ud519e1620	I will allow myself to ask the Minister for Transport the following questions: ‘I have been made aware that in West Agder there is an assessment to centralise the MC tests from all over the county to Kristiansand. Today there is a good offer in Flekkefjord. The distance to Kristiansand will give a travel time for some two to three hours each way. This will significantly weaken the offer for those who are currently required to take a driving licence. Is it the case that the efficiency gain of the State Road Service is to be acquired through reorganisation to result in a centralisation of the service provision?’»
ParlaMint-NO_2002-12-18.ana.ud519e1629	The transformation of the state road transport system is now being undertaken with a number of important considerations. Among other things, underline: efficacy, i.e. that less money is to be spent on administration and thus that more money can be spent on the road to road and traffic decentralisation through the delegation of tasks from the Directorate of Road and from the Regional Road Offices to the new regional road offices to the public, municipalities and other partners should be further developed and strengthened; Through the establishment of the Vegvesen new management organisation, the emphasis on these considerations will need to be balanced. It will be essential for the Road Administration to have a quality of its services ensuring that the public and society are properly and properly provided with these services. This means that for some services it will be necessary to pool competences in larger environments, while other tasks can exploit the overall competence of the Road Service through the active use of electronic aids, remote working systems, etc. In the field of traffic, there is a strong commitment to increasing the availability and quality of the resource-intensive services, including: by providing various Internet services. According to the driving licence regulations, the individual road office determines where the test is taken. The assessment shall focus on the possibility of carrying out good driving tests, availability to the public and costs. With regard to the specific case raised by the representative of Klungland, it is important to stress that in 2002 the Road Office of West Agder carried out an assessment of the MC tests in the county. The Road Agency’s assessments and any proposals for amendments will be sent to a local consultation in January 2003. The road office will make its decision after the hearing, and out of respect for the local process, I do not think it is right for me to comment on the matter now, except to stress that it does so per. no proposed, much less adopted, closure of the offer of MC test in Flekkefjord has been proposed at present.
ParlaMint-NO_2002-12-18.ana.ud519e1650	It really wasn't an answer to what I asked for, but I thank you for the answer, of course. What I asked about was whether the service and service services that are currently in the west of the county should be changed, and whether it is the government's policy in the reorganisation that is taking place. This will affect both workers and school students and finally driving training west of the county. They'll have to use one day to leave and take a driver's license. Driver training is also likely to be moved from the west of the county. That's why my question about what's going on is the government's policy, that it should be centralised into larger cities from smaller cities and districts?
ParlaMint-NO_2002-12-18.ana.ud519e1657	I would strongly argue that what we have been through in the process of the State Road Service has just shown that this government is concerned about using the whole country. We have organized the Vegvesen now from 1 January 2003 in a reasonably radically changed way compared to the past. We have also stressed the importance of closeness to users, be they municipalities or other users. The service and service provision must be good. It's also important that we have a good competence in the area we're talking about, especially with regard to driver training and the responsibility of issuing driving licences to MC. There are too many accidents in the transport sector in general, and this summer we have unfortunately also seen them on the MC side. Therefore, competence is a very important element here.
ParlaMint-NO_2002-12-18.ana.ud519e1664	In terms of proximity, we've seen that in the region that's now under discussion, the number of government jobs has well been halved. There has been a centralisation from this region, but that is not what justifies my question. My question is justified on the basis of the service offer and also on the basis of driving training. If you look at the accidents, for example: in West Agder, they don't happen in urban traffic in Kristiansand. The serious accidents occur on the highway. So here, the municipality and the federation in Flekkefjord have been willing to facilitate the training of driving licences in Flekkefjord. My question is whether it can't be moved there either, if it is that there can't be an uplift for a motorcycle licence two places in the county?
ParlaMint-NO_2002-12-18.ana.ud519e1671	Now, as I said, there's a process going on in relation to this question, so I can't comment on exactly the concrete location debate. It's going to have to go its way now. In the case of state jobs, I would also like to remind you that although there is a difference between East-Agder and West-Agder, a regional office for the region was added to East-Agder. So we have left a good contribution in terms of the State Road Service in relation to that part of the country. It is true that the service offer should be good, and I am not least concerned with road safety. I would like to be concerned that the department of ours is making the best possible use of our expertise so that we can get the best possible MC drivers around the country. The evaluations that are now available here, we leave to the State Road Service, so that they can further determine what are the best solutions in terms of both road safety and competence in terms of MC.
ParlaMint-NO_2002-12-18.ana.ud519e1684	I have the following questions for the Minister for Transport: «At Hosle in Bærum, older people experience that during road breakage, the municipality may change their drive-in so that they do not get out, so as to show that the mating of their own drive-in is the responsibility of the individual, when the elderly deal with the matter. Some elderly people who depend on a scooter do not get out of their own homes, even Asker and Bærums Budstikke on 28 November 2002. Does the Council of State consider this to be in line with the intentions of the Road Traffic Act and good administrative practices?’
ParlaMint-NO_2002-12-18.ana.ud519e1693	I understand that snow edges in an drive-in process create both disadvantages and work for the private owner of the drive-in. But it is the case that the road law states that departure notices are responsible for the maintenance of the departure of the property. This also applies to the clearing of snow after breaking of the adjacent road. The Directorate of Roads has laid down general rules on the construction and maintenance of public road exits. This regulation mainly covers technical provisions relating to the installation of the driving gear. In addition, the duty of dispatcher(s)/user(s) to maintain the drive train itself is laid down. The Ministry of Transport suggests that snow mining of public roads is a matter for the road owners to live with. That's how it's been practiced all over the country. It follows from that provision that this provision also applies to municipal roads, as in this specific case. As I said, I understand that the snow edges in such an entrance create inconveniences and difficulties, but it is also difficult to imagine a practical arrangement where the one who breaks the road will also clear the off-roads gradually. In cases where this creates special problems for some, these conditions need to be resolved in a different way. I will refrain from commenting on this specific matter concerning a municipal road in Bærum. However, I am aware that in special cases some municipalities provide assistance for snow removal through social affairs. Such a system, which has been tested for its needs, has, among other things: We'll carry the municipality.
ParlaMint-NO_2002-12-18.ana.ud519e1706	I thank the Council of State for the answer. Now the Council of State has not wanted to go into the specific matter. But if she wants to look more at it, I have a suggestion that shows that this is not about the concrete edges of the breakage that comes only from the breaking of the public road. This is about the incubator ending up in a drive-in and mending this drive-in full of snow. And it's not about getting out of a car, but it's about older people who depend on a scooter, and who are not at all able to get out of their own home. I record that the Council of State clearly knows about the possible arrangements made by Bærum Municipality to remedy this. But not being able to get out of his own home, and the need to get to a doctor, has not been enough to get this help, at least not from the municipality of Bærum. Does the council believe that not only break edges are something the individual must accept, but that the individual must also accept that their only way out of the house becomes the end station of the breaker car and so muttered full of dense, ice-cream snow?
ParlaMint-NO_2002-12-18.ana.ud519e1717	It is difficult for me on a principle basis to comment on where the end stations of the incubators are going to be in the different municipalities. I would ask you to understand that. But at the same time, in so far as this is a specific municipal road, I would like to ask you to contact the municipality to see if there are any conditions here that can be adjusted by laying off the snow elsewhere. We break the roads because it's going to create better accessibility for people. That's actually what's meant for us to clear the roads. I see that it may be a problem if all the snow that is broken away is put right in front of the entrance to a home, but I find it difficult for me to relate to it on a principle basis.
ParlaMint-NO_2002-12-18.ana.ud519e1724	Once again, I thank the Council of State for the answer. I believe that if we have laws that are such that we create the kind of problems that this specific individual case points to, it may also indicate that it is necessary to take a fundamental discussion about how the laws and regulations have been designed. But we'd better get back to that.
ParlaMint-NO_2002-12-18.ana.ud519e1731	I believe that when we have one single case, one case with this type of problem, we have to try to solve it separately instead of solving it through regulations.
ParlaMint-NO_2002-12-18.ana.ud519e1739	I will ask the following questions to the Minister for Local and Regional Affairs: ‘The Council of State has warned that, in the next few years, the municipalities will also have to rely on tight frameworks after 2003. As a result of these objectives, the inhabitants must be prepared for the fact that they can no longer count on basic basic services, e.g.: school, kindergarten or home care, where they live. Will the Council of State take the initiative to reduce the current tasks of municipalities?’
ParlaMint-NO_2002-12-18.ana.ud519e1748	The government will have a public sector that is user-oriented, service-oriented, efficient and targeted at the different needs and desires of its inhabitants. In this, of course, there is a further development of public core tasks for all citizens of the country, regardless of where they live. Through modernisation and transformation, we are working to free up resources to meet the challenges we will face in the future, including: those resulting from demographic changes. Simplification of laws and regulations and limited use of earmarked grants are important measures to reduce red tape and to facilitate increased action spaces in municipalities, which are responsible for carrying out basic tasks in a good, comprehensive and efficient manner. This is not least a requirement for central politicians, among others. in the various specialist committees here at Stortinget, limit their efforts to govern the municipalities in detail and do not create excessive expectations for the services the municipalities are responsible for providing. In isolation, there can be good arguments for each measure. The problem is that the sum is too large in relation to the fiscal framework responsible. I believe that Norwegian municipalities, despite the tight public framework, will also be able to carry out the basic tasks in a good way in the future. But there is a need for innovation and organisation, and for many a stronger focus on basic services. Nor should it be such that the inability of the smallest municipalities to carry out a satisfactory task must prevent larger municipalities from doing tasks for others, or prevent municipalities from cooperating in order to solve individual tasks. Developing new forms of organisation and cooperation and alternative ways of managing tasks will be necessary to improve public use of resources and ensure that people have access to the basic services where they live. As far as my opinions on the future framework for the municipal sector are concerned, this is not an objective, but an emphasis on the fact that there is no doubt that the labour shortage and the situation of the competitive industries, which was therefore the main reason for the need for a tight budget this year, will also be important considerations in the years to come. I have therefore warned the municipalities not to make short-term solutions in the belief that 2003 is an exceptional year. I believe and hope that both the municipal transfers and the municipal freedom of action will increase in the future, and the government will make proposals to this effect, so that the Stortinge will have the opportunity to decide on simplifications that provide better space for action and greater transfers of municipalities.
ParlaMint-NO_2002-12-18.ana.ud519e1759	The government participates in a consultation arrangement with KS. As far as I'm concerned, there's a deal about the actual presentation of the situation, that is, the relationship between tasks and means. But there's a problem with the way you're going to follow up. So far, the government has refused to come up with a escalating plan to support greater compliance. The response of the Council of State, I note it also today, is efficiency improvement, aggregation, privatisation and postponing competition. The last time today, there was a NIBR/Aplan report that showed that there was no money to save on a competitive release. This is contrary to the eagerness of the Council of State to falsify the benefits and savings when this is the case. Is she going to reconsider her point of view when it comes to postponing competition and privatisation?
ParlaMint-NO_2002-12-18.ana.ud519e1766	I will not reconsider my view of privatisation and outsourcing. There are differences in the economic impact it has given depending on the areas in which the issue of competitive outsourcing has been discussed. There is no doubt that in the care sector, related in particular to nursing homes, there is less to pick up. At the same time, I would like to say that the report that has been published today also rejects all of Magnhild Meltveit Kleppa's claims earlier that it is getting worse quality, and that that is the only reason that economic savings have been found. Eight municipalities have implemented the competitive outsourcing of nursing homes. Most of those municipalities have also experienced a better financial environment. They have gained more stability because they have an agreement over several years, for which the providers have given a price. So it gives them stability in the way they want to run their economy, which is actually larger than when they have it under their own production. At the same time, it turns out that quality is good!
ParlaMint-NO_2002-12-18.ana.ud519e1773	I share the opinion of the Council of State that when it comes to the report today, there are many interesting aspects to it. But he doesn't rock the fact that it's small, not to say nothing, to save by launching competition and privatization. There are also reports that show the same when it comes to municipal mergers, especially in long-distance municipalities and where people live. Would it not simply be honorable to continue along the line that the Council of State held in its first answer, where it referred to basic services and that one had to focus on them? Would it not be honorable for the Government to say: Now there is so much gap between tasks and means that we are now focusing on certain tasks to be solved by municipalities, and then there are some tasks that are no longer expected to be carried out by municipalities? In addition, the actual situation has, as I understand, been much worse since the budget was presented, because it could be a weighty tax intake of up to NOK 2 billion.
ParlaMint-NO_2002-12-18.ana.ud519e1782	The basic services in the municipalities are defined by Stortinget in terms of the statutory tasks to be performed by the municipalities. The most important way to limit and strengthen the concentration around basic services is to be restrained from obtaining more areas where more laws are required. Since the 2001 elections, this increase has gone the other way to assigning to the municipalities more tasks that have been prescribed by law or that the Government should impose legal requirements on the municipalities to implement them. We have been detained, among others. in relation to kindergartens, but also in other cases of just assigning more tasks to municipalities, of a stronger effort in some areas currently not defined as basic services by law and regulation, precisely because in that case it will be at the expense of other things. We will come back, as I also said in my reply, with invitations to facilitate the regulatory requirements, invitations to look at better municipal transfers for next year.
ParlaMint-NO_2002-12-18.ana.ud519e1802	This question has been withdrawn.
ParlaMint-NO_2002-12-18.ana.ud519e1816	This question has been postponed to the next Question Time.
ParlaMint-NO_2002-12-18.ana.ud519e1823	I have the following questions for the Minister for the Environment: ‘A number of conflicts have arisen between authorities and landowners/local communities in the implementation of protection plans. In the event of a change of ownership, it is assumed that the former owner informs the new owner of any ongoing work on a plan of protection. There are also a number of cases where landowners are not well informed about protection plans in the area. Thus, any buyer may, in good faith, purchase property on which there is evidence of significant encumbrances. What will the Council of State do to help these?’
ParlaMint-NO_2002-12-18.ana.ud519e1832	Government regulation shall be disclosed to all relevant properties. The rules for the clearing of things include, among other things,: designed to satisfy the purchaser’s needs for obtaining the necessary knowledge of the property and which may be significant in the case of a transfer. Both the seller and the purchaser can obtain the necessary information about the indebtedness on request of the property right in question. It is unfortunate if a purchaser has not been given the necessary insight into all relevant aspects of the property in advance. Therefore, in any transfer of property, both the seller and the purchaser should ensure that all relevant information is provided. The seller has an obligation to disclose to the purchaser all the factors relevant to the transfer of the property. At the same time, the buyer himself has an obligation, and an interest, to obtain the necessary information about the property before the conclusion of the purchase. It would be particularly important for the purchaser to obtain such information if the buyer’s own plans for the property were to require a significant re-disposal in relation to the existing use. In the case of ongoing protection plan work, for example under the Nature Conservation Act, the initiation of such planning processes shall be notified to interested parties, including landowners. This shall be done by means of a written request from the planning authority to the landowner. In practice, this is said by the county that has been commissioned to address the protection issue. The start of protective plan work is also announced in the local press and in the Norwegian sheet of light, so that everyone is notified. The Ministry has set out detailed guidelines for dealing with matters under the Nature Conservation Act, which is published in a separate circular. Corresponding guidelines apply to matters under the Culture Memory Act. Regardless of whether a purchaser is in doubt as to whether a seller has provided all the relevant information, it would be advisable to contact the municipality concerned, where appropriate the county, where he will receive all the information concerning the ongoing work on the protection plan or the planned regulations.
