ParlaMint-NO_2002-06-17-2.ana.ud761e30	The representative of Ursula Evje, who has been on leave, has once again taken his seat.
ParlaMint-NO_2002-06-17-2.ana.ud761e1978	I heard the representative Eriksen say that this should be implemented by the Government despite our disagreement. I hope we hear that the Council of State also says later today, because it has to be like this. A little comment on the letter from the private kindergartens about their impossible situation. They express the same thing as the municipalities do today. Wages and pensions go straight to the weather. This is not possible – prices have to be set up. And then Stortinget says that now the prices are going down! Then it is clear that it is difficult. The difference in the kindergarten sector in relation to the municipal sector is that there is now a majority in the Stortinget saying that the nursery sector is special. It shall be the only fully financed municipal sector. There's going to be a completely different income from the state than what has been, and it's going to be so that we get to the power roof in the nursery building that we have to have. Without the kindergarten owners, both private and municipal, seeing that this is going to be good enough, we don't get to that building, and then we have to sort ourselves out so that they have confidence in us. I feel that what's happening from the government parties today is that they're trying to tear down the trust that Storting's decision has to have, and that job I had hoped we wouldn't take here at Stortinget. It's so small that separates us. It is said from the Christian People's Party that we have the same goals, we fully share them – but there is something missing. The cost of what is proposed, and which is now adopted by the majority, is not much higher than what would have been the cost of the Christian People's Party's option. The grant through the financial instrument to be used by the Government is much more accurate than a grant described in the Sem Declaration. I would then ask the question: What would be the Christian People's Party's alternative if they were to change the agreement?
ParlaMint-NO_2002-06-17-2.ana.ud761e1995	It is not the Storting minority in this case who are tearing down the authority of the majority proposal. It's almost a co-consistent press basket done long before we got to this hall. It's been a long time since we got to this hall. And in fact, I believe that I have obligations to make the Storting aware of the concerns I believe are related to this agreement. I believe that we have a common goal of full expansion and kindergartens for a reasonable amount of money. But that worries me, for example. to agree with the maximum content set out in the majority’s proposal. Because it doesn't help if we build out 8 000, 10,000, or 15 000 new places if we lose 15 000-20 000 places on the other end. Then Stortinget has come equidistant. I wanted us this time to have managed to figure out what we believed, which was feasible, and which meant that the Storting could have gone into a new election. We didn't jump out of this because we really wanted to be on the table today. We've jumped off because we don't believe what's on the table today.
ParlaMint-NO_2002-06-17-2.ana.ud761e2002	The cord shift is over.
ParlaMint-NO_2002-06-17-2.ana.ud761e2005	Finally, it may look like years of promises of full child-care coverage being fulfilled! Majority politicians from most parties have promised full child care coverage for the last 10–15 years by the year 2000, and we are still far from the goal. The centre party is pleased that it can now look like we're going to be happy, and that the long-term promise of young children's parents is being fulfilled. The year-old struggle from young children's parents to have a nursery can now be over. Too many young children’s parents, especially those with children under three years of age, must be like a nightmare when the nursery reception is approaching and one knows that the chance of being given one of the few available places is very small. On behalf of all young children's parents, I sincerely hope that the kindergarten settlement is the beginning at the end of this desperate situation for many, many around the country. An important keyword for the Center Party in this context is the choice of parents to determine their own everyday life. Only when we have full babysitting, do parents have a real possibility of choosing the form of care for their children, so choose whether they want a nursery or cash support. The noise level around the currently managed kindergarten arrangement has been reasonably high. Many are skeptical and doubt whether this becomes a reality, while others point to the fact that the quality of kindergartens may become unwell because of the lack of advanced preschool teachers. It may seem that many are more concerned with finding problems in the conciliation than with the constructive that lies in the will of the majority to realize full child care coverage and lower parental pay! To the quality. On questions to the Ministry on the need for pre-school teachers in the development of around 40000 new kindergartens and the capacity of the education system to meet this need by 2005, the Ministry replied in a letter of 29 May: ‘The personnel situation in pre-school teachers does not appear to prevent full childcare coverage.’ There have been many different models designed to achieve the goal of full child care coverage and to reduce parental pay. The centre party has been concerned that the many children with special needs, those who do not come under the care of the disabled, should be taken care of, and that the supply should be strengthened. I am therefore very pleased that these children are now to be treated equally with children with disabilities. Municipalities have the total responsibility for kindergartens. That is still the way it should be. Coordination of admissions in such a way as to ensure non-discrimination between children and non-discrimination between private and municipal kindergartens is an important element of the childcare arrangement. There is not enough room to request new babysitting places. Incentives to achieve targets have often proved to be timely. According to me, the growth of kindergartens in the 1990s has a clear connection with the use of stimuli. Now that we're getting this back in place, I think I'm going to help increase construction activity. The decision will lead to full and not least real equality between private and municipal kindergartens, and that is good. The first nursery provision in Norway came about on the initiative of the Husmor Association, and private actors have our strong support players on the kindergarten front for over 100 years. Today's nursery services might have been much lower without the private operators. I therefore hope for a further constructive dialogue and cooperation with the private kindergartens. 40000 new kindergartens during 2005 are an ambitious target. For the Center Party, it'll be a failure if we don't make it. It is therefore immeasurably important that kindergarten owners, both private and municipal, are active participants in the further work to achieve the goal. This is also clearly stated in the agreement in section 2. 1 k. I believe that we should both lower the parental payment and reach the goal that everyone who wants it will have a nursery place. There is a result that will not least benefit your children.
ParlaMint-NO_2002-06-17-2.ana.ud761e2036	It's going to be line change.
ParlaMint-NO_2002-06-17-2.ana.ud761e2039	SV's representative, May Hansen, was at least honest enough to say that there were many uncertainties in this agreement. One of the points that are uncertain is points. b. I would like to ask the representative Sollied Practices about that. In the urban economic proposal, it is foreseen that the level of the grant for children with disabilities will be continued at the current level, while the award criteria for municipalities will be changed. If the agreement requires the continuation of the grant scheme without any change, it will have significant economic consequences. Today, the state subsidy to disabled persons amounts to 10 pst. of the ordinary State grant. The agreement of which the Central Party is part adds up to an increase in the State grant of a total of DKK 4.8 billion. If it is to be calculated 10 pst. contributions to disabled people at the top of this, it will cost SEK 480 million. kr more than previously calculated. I could imagine hearing what the Center Party thinks about this. My other question also applies to points. b. It is said that children with special needs have to receive a grant equivalent to children with disabilities when recommended by the PPT and/or the Child Protection System. It is claimed that the Kindergarten Act must be revised accordingly. The Barnhagegesetz only contains a right of priority in the case of admission of children with disabilities. The law currently contains no rules on the right to grants, and I want to ask the Center Party what the opposition really means by this point.
ParlaMint-NO_2002-06-17-2.ana.ud761e2046	Now it's like in kindergarten that those with disabilities should have 10 pst. of the ordinary state. It's got games there, and it's still supposed to be there. Then the representative takes up the problem around children with special needs. As it has been per year. date, it's the municipal, the public, the kindergartens that have brought these children in. It's rare that we've found them in private kindergartens, and we can understand from the problem that these are more expensive children. It could be children with speech problems, it could be children with stemming, it could be children with asthma, etc. That we've now got a point in this agreement that says they're also going to have the 10 pst. over the ordinary cost, I think is unbelievably positive. Then we have asked questions to the Ministry – questions and questions – about how much has been used per year. date for children with special needs. We haven't got an answer to it, because no one can answer it. That's why I think it's very important what's in the agreement, that a guarantee is that these children will be paid for their expenses, regardless of whether they go in a private or whether they go to a municipal nursery.
ParlaMint-NO_2002-06-17-2.ana.ud761e2053	The representative of Sollied Överaas has said that there is a lot we agree on in this matter, and that the debate has been very much about what we disagree about. As a representative of the Christian People's Party, I would like to say that there is a lot right in it. I wish the agreement had stopped there, whether the matters we agree on. Perhaps we could then have had greater strength in achieving the common objectives, at full needs, at lower prices and at gender equality. The kindergarten agreement between the opposition parties provides for a buffer in the municipalities to take into account the cost deviations between the kindergartens. That buffer shall be handled by the municipalities in accordance with objective criteria for the participation of the nursery owners. My question to the Center Party is, what kind of criteria does the Center Party see that this should be? How should such participation be possible? Quality is not just about educated, qualified pre-school teachers. Quality is about adult density. The quality of kindergartens may be threatened by lower adult densities, as a result of ‘maxtaxa’ in Sweden. Doesn't this Center Party worry?
ParlaMint-NO_2002-06-17-2.ana.ud761e2063	To the last, the representative refers to ‘maxtaxa’ in Sweden and asks if the quality concerns the centre party. No, it doesn't bother the Center Party. We have a nursery law to govern, and here's four parties that have shown a willingness to spend money, and if one wants to fill up with money, we're going to get both quality and a good supply for the kids, without regard to whether they go into a private or municipal nursery. Then the representative says that the Central Party and the Christian People's Party are some of many things, that there are only a few small pieces missing before we have the same view. What has been left of the pulpit of the Christian People's Party during the debate is that they have pointed out that it does not have our distributions when it relates to the max prices of kindergarten. Then I want to go back to when the cash support was signed. As far as I'm concerned, there were no distributions then either, but it works out perfectly. It's graduated. Those who use a full nursery do not receive cash support, and those who use a part receive some cash support. Today's co-responsibility when it comes to private and municipal kindergartens is taken into account. In many municipalities, the municipality is represented on the board of directors for private childcare. There should be no witchcraft if we want to, if we want to, that we have a dialogue with the private kindergarten owners and with the municipal kindergarten owners to get to what we want, that's quality and full babysitting.
ParlaMint-NO_2002-06-17-2.ana.ud761e2070	The centre party has always been involved in the transfers between town and town. When the theme is kindergartens, the situation is such that in very many cities there is quite good coverage, while the coverage is considerably lower in the countryside. Obviously, there are a lot of reasons for that. Maybe it's because there are other forms of care, maybe there's a closer community that takes care of children in other ways, maybe the family plays a different role. But the challenge is to expand more kindergartens, because the social networks in the countryside are also weakened, and will do so in the future when Grandma no longer lives in the union, but in the southern apartment in Palma. In this agreement, I have been very surprised to see that the Senterpartiet has gone into a model that primarily prioritizes the price ahead of development. There will be a massive transfer of money from the towns and cities. Investing in development would have been a massive transfer of money, resources and jobs to the countryside. Is the Centre Party willing to sacrifice this priority to be allowed to sit at the table, or are the towns still important to the Centre Party? And what about the municipal maritime administration? I have not yet seen a single rapporteur who has wished for this model.
ParlaMint-NO_2002-06-17-2.ana.ud761e2077	Now it is the municipality that has the responsibility for kindergartens, and so it should be in the future. What we know per person. Today, municipalities spend at least $3 billion on kindergartens, maybe they use more. We're going to know that through the cost estimates that will come back to Stortinget. What happens in today's situation is that municipalities have to deal with the statutory tasks first and foremost. And who's going to shut up in the whole country when we don't have kindergarten to offer a baby couple with one child in one year and one in two? It's just the municipalities. And who gives a shit when the nursery bets go up? It's the municipalities of the spokesman. I think we'll see that the municipalities have used more than these 3 billion that are indicated here now, and I think it's absolutely right that we get the real numbers. So the replicater says that the center party prioritizes the prize before expansion. Now it's the way the Center Party has always wanted us to reintroduce the stimulator, because it's proven to have had an effect. It showed the whole of the 1990s. The only party supporting the comments of the Central Party during the 2002 budgetary procedure was SV. So I thought it was shooting behind targets when it's said that the center party goes for price before expansion. But we have to see the reality of the day for young children's parents in the eye. They have a job to go to both, and they want a nursery for their children.
ParlaMint-NO_2002-06-17-2.ana.ud761e2084	The cord shift is over.
ParlaMint-NO_2002-06-17-2.ana.ud761e2087	Ivar Aasen once wrote: "They believe it will go so far as to say something big, but as soon as something big is night, there will be a bit of fun." It had to feel almost like Ivar Aasen's making this agreement for all the good purposes of the world, and then it quickly came 'nokot smatt'. The main objective of the left is full childcare during the ageing period. We want to step up the state grant and slow down the parental payment. For the left, it is also important that we get a more equal treatment for the private and public kindergartens. There have been clear inequalities here for a long time. In Oslo, as I know best, has 75 pst. of children's kindergarten — above full coverage, according to previous state standards. 50 pst. has it in private kindergartens. This has traditionally led to queues in the public sector, because they are cheaper. The municipality has therefore spent a lot of money on making the price of public and private kindergartens as equal as possible. Finding models of what takes into account inequalities, different qualities and different offers has not been easy. But here the majority have found a model that pushes all the problems under the mat, but here it can quickly come 'nokot smatet'. It could've been a big public vow here on the Storting, where we could stand together about a raise for all parents. We could agree on the essential objectives behind the policy rather than a unfinished model that creates uncertainty and confusion for owners, drivers, employees, parents and children. But in the wish that 'nokot big is night', it was forgotten that it could quickly come 'nokot smatet'. We in the Left are of the opinion that when there is a shortage of good in society, the policy should have as its main objective that everyone gets good, not as the first goal that good should be cheaper for those who have it. Some time ago we discussed the matter of opera, but it is not reasonable enough to keep the mood throughout this matter. The Labour Party and the Center Party have listened to complaints about the local economy in the last few months, because it seems that there is only something that has happened in the last few months, but on the basis of an agreement between the parties, it seems that the challenge has been forgotten, but the feeling that remains may be that they would first of all reach something big, and then they didn't care what it meant to the municipalities. The majority in this case may appear impatient. That's not what they are. They don't care that their thoughts aren't always completely compatible with reality, and then it gets worse for reality. I think it would have been possible to get a broad majority in this case if you wanted to. Then we could get all the aspects of the matter up, quality e.g. – that parents today pay a little extra because the children eat dinner in the nursery, Christmas workshops, that you have outdoor garden, that you have a cultural kindergarten, that you have kindergartens with different pedagogics. After all, it is the quality of the children that should have been the focus of this matter. But it's possible that the majority think it was too small when you were most concerned about that here it was going so fast.
ParlaMint-NO_2002-06-17-2.ana.ud761e2113	No one has asked for the word in reply.
ParlaMint-NO_2002-06-17-2.ana.ud761e2116	A majority of the parties on the Biggest agree on a major investment in more and cheaper kindergartens. This obligatory agreement shall ensure that childcare facilities are available at a reasonable price to all who so wish during 2005. The parental payment shall be reduced, first to NOK 2500 from 1 August next year and then to NOK 1500 from 1 August 2004. Today, many thousands of children lack nursery facilities, and parents are forced to find other childcare facilities, often without a pedagogical offer. Kindergarten expansion here in the country had a sudden stop when the cash support came in 1998. Now there has to be an extra effort to make progress in the development, and that is possible. Let me remind you that we built between 10,000 and 16,000 new kindergartens per. years under the Brundtland and Jagland governments. In order to speed up the development process, an incentive grant will be introduced for the construction of new kindergartens, and it will already be this year: NOK 16 000 per year. new place for children over three years of age and NOK 2000 per year. new place for children under three years of age. An obligation shall be laid down for municipalities to provide a sufficient number of nursery places. We estimate that around 40,000 new sites need to be built in order to achieve the goal of full needs coverage. The size has previously adopted a target of 80 pst. government grants. The nursery contract ensures predictability in the nursery sector by providing the public subsidy of 80 pst. the costs already incurred from the next harvest. And it seems to me as a mystery that it should be more unclear than the Government's position, which is 80 pst. the costs of a government grant during the period. Is it more clear to the sector than that it is fixed by a majority in the Grand Duchy to apply from the next harvest? We also ensure economic equality between private and municipal kindergartens. The private kindergartens should be happy about that. It's far from the reality they're facing today. Unfortunately, there are very many municipalities that treat the private kindergartens in a completely different way from the municipal ones. It is essential that no kindergartens have financial problems due to lower parental pay. Therefore, it is not possible to do this as the government parties negotiated at Sem: a state grant, be so good, and then a little parental payment, and then the kindergarten is funded. No, the majority of the Storting doesn't believe in that. We believe that there must be more and more solutions for – a buffer in the municipality and even a system in the county to take the biggest differences that may be on the cost side. It is assumed that municipalities will use the same amount for kindergartens as they do today. That has been said by many today, and I repeat it. So that means that you can introduce the maximum price after this arrangement without asking for more of the municipalities than what we are doing today. But they also have to set up the way they do today. The Labour Party wanted all the parties to stand together behind the bet on the kindergarten, and this debate today is really quite strange. The parties to the Government agree that they have the same objectives as the parties to the Agreement in this case. We understood that to the extent that they said both in the election campaign and otherwise, and therefore invited us to negotiations. After many meetings, we know how things went: the government parties broke out of the negotiations, they wouldn't put a roof on the parental payment, and they wouldn't increase the state's grant in 2003. And then the same parties are trying to put the responsibility on the nursery contract to stop the kindergarten development! But it is the government parties that have not been willing to do the most important thing for the sector, namely increase the government grant to next year. That is one of the reasons why government parties are outside this agreement. It could have been tempting to remind you of many promises that have been made. I'm not going to go too far, but there can't be many who can misunderstand at least the promises made by the Christian People's Party about what a kindergarten place would cost this month, nor the promise that one should already be on target in 2003. So to the question of whether this is irresponsible because it's not shown common containment. No, it's not irresponsible. It is also the case that during the last few weeks, the Workers' Party has been negotiating quite in-depth with the government parties to spend 118 billion kroner for the Defense in the next few years. But it's not like we've negotiated a common invasion. We trust each other. Now we're all waiting for the Council of State. There are strong expectations that the Government will now tell what means they will use to advance the development of kindergartens and to bring down the price.
ParlaMint-NO_2002-06-17-2.ana.ud761e2142	There are not enough kindergartens in Norway. The payment of parents in kindergartens varies greatly and is generally too high. Much more kindergartens should be built so that everyone who wants to do so can receive an offer. Furthermore, it is not the price that should be essential for families to be able to accept an offer of nursery facilities. The parental payment must be reduced to a much lower level than today. It has been promised by the Christian People's Party, and it will be held by the Christian People's Party and the other government parties. Government Parties fully support the main intentions behind Document No. the 8th proposal and the agreement between the opposition parties. There is agreement on the objectives. The debate this evening has shown that it is necessary to clarify what we do not agree with. In the kindergarten negotiations, government parties presented a realistic plan for the full development of kindergartens to those who need it, for stepping up the state grant and thus for the reduction of parental pay, as well as a level playing field for private and public kindergartens. Babies' families deserve results, no more promises that can't be fulfilled. For this reason, there has been a strong desire on the part of the government parties for a broad consensus on child care policy. There are two important reasons why we cannot go in for a maximum rate now. In the negotiations, the Governments accepted that a ceiling should be set for the parental payment. But such a roof or a max rate must be investigated, so that we know what we're doing, know the consequences, and there can't be any such thing until you've built out kindergarten space to anyone who wants it. We want parents to have a real opportunity to choose the most appropriate form of care. First we have to make sure that enough spaces are built, and so that one ensures the operation of the existing kindergartens. It's necessary to do something about the price. The payment of a parent shall be gradually reduced by increasing the State contribution. But by imposing a rigid maximum rate for fast, many private kindergartens will be unable to cope financially. Maximum rates can lead to the closure of kindergartens, and this is very serious and regrettable. We need new places, and we need to secure the places we have. Sweden has introduced a maximum tariff. We know that the starting point in Sweden was completely different from Norway. First of all, babysitting was much higher. The question of the maximum rate was thoroughly investigated. Nevertheless, the introduction of maximum rates has led to lower adult densities and efficiency pressures in Swedish kindergartens. The Christian People's Party and the other government parties will not go in for a roof on the parental payment until we know that anyone who wants it can fit in. We regard it as irresponsible to introduce such a system without it being determined in advance. We must avoid the introduction of a maximum rate that could lead to more kindergartens being laid down. It must be a serious cause of thought for SV, the Progress Party, the Centre Party and the Workers' Party that the maximum price proposal does not meet the great enthusiasm outside. It's like a celebration on 17 May and Christmas Eve just in this room. The proposal for a maximum tax has created considerable uncertainty and skepticism, and a rapid introduction has alarmed both kindergarten builders, private kindergarten owners and parents. Those who pay the most for a nursery place today would like to pay more than NOK 4000 a month. For them, a maximum rate of NOK 1500 will mean a saving of over NOK 30 000 per year. A similar maximum rate for all parents will in reality bring greater benefits to those with high incomes and high prices in kindergarten. It surprises us that SV is in favour of a scheme that does not add up to a stronger social profile. In our opinion, halving the nursery rates in the long term would have taken much more correctly. The Christian People's Party and the government parties say yes to more and cheaper kindergartens. We say no to introduce a maximum price without investigating the consequences. We're saying that the right thing now is to expand the number of places and reduce the parental payment significantly. We don't think an equal maximum price of parental payment is a proper grip now.
ParlaMint-NO_2002-06-17-2.ana.ud761e2161	This is a big day. This is a great day for these four settlement parties here in the Grand Duchy, which finally cut through endless promises over many years and now want to make a forward-looking child care policy for the security of families and the security of the child's reproductive corps. This is a big day, for for so many years, kindergarten parents in Norway have had expectations that the Stortinget will do something. When you listen to different speakers from what are government parties, you see why many parents are desperate, simply because you have endless promises without a single obligation. The Christian People's Party's speakers today have thus been a school example of how it is possible to talk and talk in the endless without making a concrete promise about how this should be. It is clear that this creates uncertainty among the country's parents, there is no doubt about it. That is why we have cut through four parties and said that this is what we want, and we want it so strongly that we make this agreement. This agreement has no uncertainty. The only thing that is uncertain about this agreement is that the ministry has not had sufficient data to be able to say exactly what this is like. There are an incredible amount of statistics in Norway, but when we asked for statistics when we were going to produce this agreement, we discovered that there were many gaps in the statistics. This is all we want the department to come back to us with. For the main pillars of the new funding model are nailed through this agreement, how things are to be phased in, is nailed through this agreement, how things are to be financed, is nailed through this agreement, and how the incentive subsidy is to be phased in is nailed through this agreement. If we had sufficient data base, of course, we would have been even more detailed. When you hear today's debate, you realize that you need to be detailed, because you experience obstruction after obstruction by those who should have been involved in this agreement. So this is a historic day, and we're trying to cut through, and we feel that the government parties are trying all sorts of ways to create uncertainty about this rather than being part of this great promise. Let's also say that it's understandable that many people are insecure, that many people out in what's called Barnehage-Norway are insecure. That uncertainty is not the cause of this agreement. This uncertainty exists today. This uncertainty exists simply because the municipalities have very poor advice. This means that the financing of municipal kindergartens in the future is uncertain completely independent of this agreement. This agreement will, when it enters into force, ensure that much of the uncertainty is eliminated, simply because we are getting a whole new funding system that provides a completely different security of financing. But it is understandable also that the private kindergartens are uncertain, simply because they also have an uncertain situation today, perhaps more uncertain than in many years, because the cost growth in the kindergarten sector has been high, and it is not without a doubt that these costs can be reduced to anyone else, to parents or who else. The uncertainty is what we've been trying to clear up. It is precisely this uncertainty that the contractual partners have tried to meet by creating a financing system that ensures the private in a completely different way from today. They are given a completely different security for future financing through this system than the current system. Remember, today's private kindergartens get under 50 pst. of its costs covered by State grants, and usually nothing from the municipality in which the nursery is situated. So the rest of these costs have to be provided by the kindergarten. These kindergartens have an uncertainty today. Our goal – and we manage to do it – has been to remove the uncertainty that private kindergartens and municipal kindergartens have been living under for all years. There was a previous speaker here who said that with this agreement you have laid down kindergartens. With respect to notifying, this agreement has not yet been adopted in the Storting. If it has disappeared from a kindergarten because of this agreement, it is because the Government has created uncertainty about it through its own funding of the municipalities, or because the Government has created uncertainty about its own financing of the private kindergartens. It is this uncertainty, which unfortunately is there, which small children's parents, municipal politicians and owners of private kindergartens have felt for many, many years, and in particular perhaps the last year, during this government. We now want to cut through and say that's how we want it. The only open feature of this agreement is that the numbering material has to come back to Stortinget so that it can be processed in a way that creates security in an infinitely important sector for Norwegian young children's parents, and not least for their young children. So in this agreement, we've put some of the most important pillars in place. We have put in place a rate of expansion with incentives, we have put in place a reduction in the price of a maximum tariff that is to live with, we have put in place – in the long term – a legalisation of the right of children to a safe growing-up condition in a kindergarten, for those who want it. In short, this is a historic day and a historic agreement, in which four parties show courage and boldness and intersect through an endless array of election vows from many parties over many years. Creating a forward-looking, good child policy for our country should more than four parties be proud of, because this is actually a historic day.
ParlaMint-NO_2002-06-17-2.ana.ud761e2180	Document No The 8 proposal on the maximum rate of stay in kindergartens shows that there is a broad cross-political consensus on the main objectives in the kindergarten sector: childcare space for all those who want it, equal treatment of public and private kindergartens, reduced parental pay and a good and equivalent childcare provision. Nevertheless, the Government and the opposition parties distinguish layers in terms of prioritisation of the different objectives and use of instruments. The negotiations that have been taking place in Stortinget during the last few weeks have unfortunately not taken place. In particular, the proposal to introduce a maximum price, which has been discussed by many, has made it difficult to reach agreement. The government fully supports what I see as the main intention behind the proposal on the maximum price, namely to reduce the parental payment to a much lower level than today. The overall objective of the government in the field of family and kindergarten policy is that families should have a real opportunity to choose the most appropriate form of care. The price of a nursery must then be affordable for everyone. However, when the Government is concerned that the maximum price will now be introduced, it is due to several factors. First of all, we find it problematic to accept such a scheme without having determined the consequences for the sector. The main challenge in childcare policy is to ensure full development. The introduction of the maximum price before removing the kindergarten queues implies a prioritisation of those who already have a kindergarten offer for their children, and it creates increasing differences. In a survey recently conducted by Opinion of the Municipal Councils, over 60 pst responded. of those surveyed, that the most important was now multiple kindergartens. By comparison, it was only 25 pst. who replied that they preferred cheaper kindergartens. In order to complete the final stage of development, the Government considered that fundamental changes were needed in the financing and management of the kindergarten sector. In the 2003 municipal proposal, we outlined a plan for the phasing-in of new instruments. Today, the nursery owner makes his or her own parental payment, and this provides an opportunity to govern parts of the economy in kindergarten. The maximum price means a very strong government regulation of the income base of each nursery. At the same time, we know that the costs of kindergartens vary — both between kindergartens and between municipalities. When the nursery owner no longer has the ability to influence the income through a regulation of the parental payment, under-financing will occur if the government grant is not high enough to cover the real costs. Peat owners who, for various reasons, have high operating costs will then have to reduce their costs in order to avoid closure. This will also affect the quality of the offer, for example: by reducing manning. In the worst case, a maximum price scheme could lead to the closure of kindergartens. In particular, this applies to private kindergartens which have only parental and state subsidies as sources of income. In this case, the introduction of the maximum price scheme would have direct negative consequences for the full needs-based objective. As you know, Sweden introduced a maximum price scheme in the new year. It is already seen that the scheme has some unfortunate consequences – despite the fact that a number of conditions were better suited to the introduction of maximum prices in Sweden than in Norway, and that Sweden also spent several years investigating it. A recent study carried out by the Swedish Communist and Allies Association shows that costs have increased since the introduction of the maximum tax, so that the loss of income is not fully compensated by the State subsidy. As a result, children’s groups are increasing and staff density is lower. Other surveys also confirm this trend. The government is also concerned that a maximum price scheme will lead to an over-harmonisation of the childcare facility. We are committed to a wide range of childcare facilities with regard to both operational forms, periods of residence, educational content and the way of life, so that parents can choose what is best for them and their children. Although price is important, the desire for a particular offer is equally burdensome for many parents. In the open consultation of the Committee on Family, Cultural and Administrative Affairs on the proposal for a maximum price, it was found that both the KS, the Landsförbund of Private Barnehager and other representatives of the owner share the government's skepticism to establish such a rigid arrangement. These consultation opinions from key stakeholders in the sector are serious, in particular because the impact of the proposal has not been specifically addressed by the proposers. I will end by saying that the Government of course bases its decision on Storting's further work. At the same time, the Government has a duty to clarify the impact of decisions and to provide the necessary information to the Storting. I want to make sure that this is done in the best possible way.
ParlaMint-NO_2002-06-17-2.ana.ud761e2208	It's going to be line change.
ParlaMint-NO_2002-06-17-2.ana.ud761e2212	Having listened through this debate to the representatives of the government parties almost limitless murmuring and black paint, I have had a certain hope that it might still be that in this country we are so lucky that we have a kindergarten council that is able to rejoice on behalf of the children here in the country, when a majority of the Stortinge goes in to lift her sector. That's what the nursery contract involves. The little hope I have had in the course of the debate. I must say I was disappointed. Although the adjectives of a Council of State have a slightly different character than some of the representatives of big business, I have to say that the overall negative approach of the Council of State to the agreement is a great disappointment. It is also remarkable that a government council comes into the Storting and troubles that the Storting asks the Government to investigate. Who else is the administration for? Who else is the Department of the Council of State and the entire administration for, if not for the Stortinget? Who else would the Stortinget ask to get started on investigation tasks, if you weren't going to ask the Government to do it? Of course, it's the real role and function of the Government along with the administration to make sure that the Biggest thing actually asks for. Now, the government has used all the posts to tell us that they agree with the objectives. In any case, I had hoped that the Council of State would tell Stortinget and the whole country what is the government's and government party's means of building more kindergartens. When the government parties do not increase the country's grant to 80 pst. from the next harvest, what are the instruments? When you didn't want to introduce stimulation grants this year, what's the instrument? Now I think we need to have a right to get some answers to that. It was in its place that the Council of State made it clear in her own statement that she based Storting's decision on the further work. Anything else would have been completely alarming. But now the Council of State has to tell what instruments the Government will use.
ParlaMint-NO_2002-06-17-2.ana.ud761e2231	I'm glad that there's a lot of consensus in the Stortingen on kindergarten schooling, and that maybe it's one of the most important policy areas we're facing in the next few years. I believe and hope that, after all, the government parties have come up with everything today, and said many times. But this is a very big reform, and today's debate seems to me to have reflected very well that there is great uncertainty about some of the instruments in the opposition parties' agreement. The representative May Hansen also said from this pulpit that there were some uncertainties. It may be a little late to discuss the Government's instruments. We have actually been presented – let's say – an order from Stortinget, where a number of instruments are requested to be investigated by the Government. I experience the debate today so that we from the Government must come back with a financing model that we do not fully see the outlines of what to do. A number of questions have been asked directly to the opposition parties, including: on phase-in next year, from 1 January 2003. Questions have been asked about what you mean, for example. objective criteria, and a number of other questions, which I shall not repeat. But there was actually no answer. So maybe the opposition parties could get a little bit more involved in their actions, because it's the ones that are going to be implemented.
ParlaMint-NO_2002-06-17-2.ana.ud761e2240	So now the Council of State pointed out the instruments that are in the municipal proposition. Then I am amazed that she cannot refer to them here as well, and what measures this is all about. In addition, the Council of State uses terms such as ‘rigid’ reform, referring to consultations with KS and the Landsförbund of Private Barnehager, which share the government’s skepticism. For me, it seems as if the Government and the Council of State have some problems knowing who they should blush to, because the private kindergartens want a purely state grant, which is also referred to in the Sem Declaration, while the Prime Minister went to the conference with the rapporteurs earlier this year and promised that the municipalities did not have to worry, because these billions remained in the municipalities, and the municipalities were to have part of the funding. What does the Council of State really mean, and what does the Government actually mean? How do the kindergartens want to be funded?
ParlaMint-NO_2002-06-17-2.ana.ud761e2247	It is true that we have written some of the instruments in the municipal proposal, and perhaps one of the most important instruments that we wanted to put in as early as 1 January 2003, was an equality between private and public kindergartens. As of 1 January 2003, we wanted to ensure that there was equal treatment between the private and public kindergartens in the case of government grants. Therefore, it is also stated in the municipal bill that there was a desire for one government grant to the private kindergartens. This was perhaps one of the most important tools that was needed to reintroduce private nursery facilities. the date of issue. And I think that's what the private kindergartens are now worried about, when they say that there's a hole up to August 1, 2003. What are the private kindergartens going to do in this period? Because we have not received a response today to how the instruments, the funding, in the opposition party model are from 1 January 2003, and we think that is actually a little difficult. In addition, the opposition is well aware of the means that we have negotiated, which are many of the same instruments that the opposition has also used in its model, with a slightly different phase-in.
