ParlaMint-NO_2002-02-06.ana.ud218e28	Magnar Lund Bergo will make a private proposal.
ParlaMint-NO_2002-02-06.ana.ud218e1398	I thank you for a good answer. It was a pleasure to hear that you want to waive the suspension. It is a commendable and necessary initiative for this industry by the Minister of Fisheries and the Government to improve market access for Norwegian salmon to the EU, especially in the short term. This is a situation that needs to be resolved soon, and here I understand that we are doing well, so that Norwegian salmon exporters can have equal market access to the EU as competing nations. My follow-up question is: is there anything we can do in this house to remedy the long-term situation, so that we can have a stable and secure market access for Norwegian salmon to the EU?
ParlaMint-NO_2002-02-06.ana.ud218e1405	The matter is so serious and so important to an important part of the Norwegian fishing industry that all good forces now have to stand together to influence the EU to meet Norway. In this way, the efforts of industry, the government and individual wholesalers are of importance. We have made it quite clear to the European Union that, with an EEA agreement and a salmon agreement, we find it unreasonable that Norwegian exporters have worse framework conditions than other third countries, non-members. From Pascal Lamy, Head of DG Trade of the Commission, we were told the other day that Norway is not considered as any third country in this context. In this way, I'm optimistic about finding solutions. However, we must not underestimate the problems that exist, given that it has been made clear that this will be dealt with in terms of the law to which the European Union relates.
ParlaMint-NO_2002-02-06.ana.ud218e1412	I thank you again for the answer. I fully agree with the Minister for Fisheries in his considerations. I believe that this industry should have the same conditions as other industries in the trade agreement between Norway and the EU, in the EEA Agreement. The industry has contributed significant financial resources through the export levy in the salmon agreement which has gone into a joint marketing operation. The industry has further signalled a significantly larger amount for marketing if the minimum price is removed. At the same time, the government has signalled a future investment in the farming industry and the marine sector. So my next question is: is the government willing to use economic instruments to achieve a stable, long-term agreement for the export of salmon to the EU market?
ParlaMint-NO_2002-02-06.ana.ud218e1421	Now it's important to have two thoughts in your head at the same time. One concerns the short-term solution to the acute problem. There will be negotiations on this in Brussels in these minutes. I will not go too far into it, but from the Norwegian side we see it as more interesting to stimulate and expand the consumer market for salmon than to impose an additional cost on Norwegian exporters like a penalty duty. We're invited to discuss these issues, and I think we should have the patience to do this. I remember that in 1997 we had a market share for salmon on the EU market of 67 pst. Now it's down to 54 pst. It tells us that the salmon agreement and the minimum price, as the industry itself wanted, which is a product of its own desire, have now been to the detriment of the industry. That is why it is important that we solve the emergency, and then we will find a new arrangement that replaces the salmon agreement when it expires in September 2002.
ParlaMint-NO_2002-02-06.ana.ud218e1432	I will allow myself to ask the following questions to the Minister for Fisheries: ‘It is now about one year since the Government lifted the self-imposed ban on exports of qualifying products. Why hasn't export started?'
ParlaMint-NO_2002-02-06.ana.ud218e1441	Following the decision by the previous government in January 2001 to open up the export of Norwegian wafer products, a regulation opening up the export of wafer products under certain conditions has been laid down. The regulation states that the export authorisation will only be granted to the recipient country which has a system of sampling for the DNA testing of the imported consignment. The system shall prevent illegal capture and smuggling as a possible consequence of trade in Norwegian wafer products. Neither Japan nor Iceland, which are the most relevant markets for the wavy products, have confirmed that they have such a system. The opening-up of these markets to imports of such products is constantly under way. With regard to Japan, there have been recent official meetings in October and December last year, and further meetings are planned in February and March. In relation to Iceland, just before Christmas, I raised these questions with the Icelandic Minister for Fisheries. They also confirm that they are interested, but that they do not have the legislation in place. The answer to the question of why exports have not started is that Norway has opened for exports, but Japan and Iceland, like the most relevant importers, have not opened for imports. So simple and yet so difficult is the problem.
ParlaMint-NO_2002-02-06.ana.ud218e1450	I thank you for a short and helpful answer. The problem is also that export is urgent. There are now many tonnes of qualifying products in stock, and it is limited how long they can last before the quality becomes so bad that the products have no market value at all. The follow-up question is therefore: If Iceland and Japan do not have such a system, while Norway has it – because we have to be able to take some tests to make sure that one can feel it on new tests – is it not then possible that Norway can offer Japan and Iceland such equipment, if there is a lack of equipment on it? If the legislation is in place, we might be able to pass over our own legislation, which I expect is so good that it can be done for these countries to open up to import, because it is urgent.
ParlaMint-NO_2002-02-06.ana.ud218e1459	Yes, I fully agree that export is urgent, because there is considerable quantity in stock. But we're dependent on someone buying, and so far both Iceland and Japan, as the only ones, have said they're interested, but they haven't opened up for imports. We have, as I also pointed out in my first answer, had recurring meetings. We have practiced considerable pressure, but until the seventh and last time, it is up to the buyers to decide when to start and make a purchase.
ParlaMint-NO_2002-02-06.ana.ud218e1464	Yeah, we're just going to put the cancers in. I expect that the Council of State, which is also the Minister of Cooperation of the Nordic Council, has the opportunity to influence, perhaps especially with regard to Iceland. I have experienced myself in the Nordic Council that Sweden in particular was not so configured that Iceland should start with qualifying. But I'm assuming that a person from Iceland's side gets more interested, because they're also going to export and sell their qualifying product, that they become more active when it's now also being opened for squalidity for Iceland, and that one of them can get a Nordic collaboration to open up a market, especially in Japan. There are also a number of other countries that can become relevant, and perhaps one of them can experience Nordic cooperation that can give a positive result.
ParlaMint-NO_2002-02-06.ana.ud218e1471	Sweden has not been among the most relevant exporting countries. On the other hand, I have ongoing contact with the Icelandic authorities on this matter. In the case of Japan, we consider whether the State Council should visit Japan as well to exercise pressure on this case. In that case, it will happen during the spring. We have a significant pressure, and we also know the pressure – I kept saying – from both the stocks, which are there, and the industry.
ParlaMint-NO_2002-02-06.ana.ud218e1479	I allow myself to ask the following questions to the Minister for Fisheries: ‘Aarsetther Vardø AS in Finnmark has recently invested in new fillet plant, including with public support through SND. The dimensioning of the new plant means that the company cannot accept fish over 2,7 kg because the fillet machine cannot work with larger fish. Should dimensioning of fillet facilities be required to prevent them from compromising the objective of sustainable management of fish resources?’»
ParlaMint-NO_2002-02-06.ana.ud218e1488	When asked if we should impose requirements on the dimensioning of fillet facilities in order to prevent them from counteracting the objective of sustainable management of fish resources, the short variant of my answer is that I don't think that would be sensible policy. If I were to elaborate on it a little bit, I justify it with the following: Aarsetther in Finnmark has many years of experience in the operation of filet production. The new plant is therefore planned and built on the basis of historical experience of the size composition of the fish landed in the county and what can result in profitable production. In recent years, the fishing industry, especially the fillet industry, has had problems in achieving profitable operations. There are currently significant price differences for cod above and below 2,5 kg. For the fillet industry it will be difficult to obtain profitable operation if one uses cod greater than 2,5 kg as raw material. Cod larger than 2,5 kg is currently mainly used for salting and drying. I have been informed that the company buys all kinds of fish and all sizes, if the fish keeps the necessary quality for fillet production. The large fish landed at the company’s plant in Vardø are transported to the company’s farm in Båtsfjord for processing into salt fish.
ParlaMint-NO_2002-02-06.ana.ud218e1499	I thank you for the answer, and I understand that the Minister for Fisheries believes that it would not be sensible to make demands for dimensioning. However, it is a paradox that a coastal filleting plant that receives fish between 1 kg and 2.5 kg, at the same time as one of the most important links to Norwegian fisheries policy, and on which there is a broad consensus in the fisheries sector, needs to reduce the withdrawal of small fish in order to increase the value of the industry in the long term. It's a paradox that I don't think it's easy to deal with in relation to the new Aarsetther plant. I have understood that it is not easy for the coastal fleet in Vardø to get delivered fish, and that they do not accept shrimp caught fish at the farm. But from the resource perspective, I would like the Council of State to comment on whether he does not see the paradox in relation to the goal of sustainable management and increased value creation in the long term.
ParlaMint-NO_2002-02-06.ana.ud218e1504	I don't see the connection between the dimensioning of this fillet plant and the resource management, because at the plant, at least towards me, they clearly show that all kinds of fish are purchased, while production takes place at different plants. It must then be seen that the fillet industry in Norway has very low profitability. We have a relatively small number of fillet industry companies left along the coast, and there is a danger that if we were to go into politics – and it is unthinkable from my point of view that we were to override the farm as far as the size of the fish they were going to accept and process – it would go beyond profitability. The industry and a fillet plant must provide more efficient operation, a specialisation. I see this company's efforts as part of, and I think that's good resource management. It's good management of the coast and coastal values.
ParlaMint-NO_2002-02-06.ana.ud218e1509	I agree that the fillet industry is not in any simple situation, but if we start encouraging the processing of pure small fish, it will not only be the fillet industry that will come into a difficult position. Then the entire long-term value creation related to cod fishing will be in a difficult situation, because one of our main objectives is to limit the withdrawal of small fish, just to increase the value creation in the long term. West Fish – Aarsetther AS is an example. The question is whether there may be a trend in the future for more filet facilities to do so in the way they are now doing it in Vardø. Then such a development will be a threat to what we think is a sustainable development of fisheries resources, and on that basis I think it is a little remarkable that the Minister for Fisheries does not place greater emphasis on the obvious paradox that lies here.
ParlaMint-NO_2002-02-06.ana.ud218e1516	The Minister for Fisheries attaches great importance to the quality and size of fish as a guide to the processing to be carried out by the farms. The specialisation of enterprises in a type of quality and size is not a threat either to resource management or to the Norwegian fishing industry. It contributes to increased profitability. I stress that it is not that the fillet machines on Aarsetther in Vardø are the ones that now control the catch. Both small and large fish are exploited rationally to produce the necessary quality. When the questioner calls for more shrimp fish to be bought, I have to remind you that it is not the fish that has the best quality experience. So it might be that there are more complicated issues than just what is happening to the filet machine in Vardø, which should be the basis for future fishing industries. And that's what I'm going to do.
ParlaMint-NO_2002-02-06.ana.ud218e1526	I allow myself to ask the following questions to the Minister of Labour and Administration: « Under the Main Agreement on Tariffs in Chapter 1 of the State. 2.3.3.3, point 2.3.3.3, 4, local preliminary wage negotiations — the school, the unorganised ones should be taken care of. Do the Councils of State consider that the unorganised/organised are maintained in the same way in the local negotiations?’
ParlaMint-NO_2002-02-06.ana.ud218e1535	The pay and bargaining system in the State tariff area includes any employee – organised as an unorganised worker – unless otherwise expressly agreed. This is reflected in the Storting's treatment of the grubbing-up proposal on wage regulation for workers in the State tariff area, etc. It states that, in accordance with agreed regulations in the core tariff agreement between the central parties, remuneration and working conditions shall also apply to the unorganised. It has been clarified in writing by the Ministry of Labour and Administration to the municipalities and county councils which conduct the preliminary negotiations for the school system, that the framework for negotiations covers both organised and unorganised workers, and that it is the employer who has to ensure, in the first place, that workers without organisational ties are also paid according to their duties and performance of their duties. The principle of freedom of organisation implies that employers are not able to register or have an overview of whether workers are organised or not. Employees may, on their own initiative, be drawn into wages and salaries for the union quota. However, such registration cannot be used in negotiations. This indicates that each employer does not have an overview of any association. On this basis, I believe that the framework suggests that organised and unorganised workers are maintained in the same way in the local negotiations.
ParlaMint-NO_2002-02-06.ana.ud218e1548	I'm very happy that the Council of States is firming what should be the actual conditions. It is now that so-called individual wage determinations have recently been opened up and, in such situations, at least the undersigned have received feedback that inorganised and organised in a way is being treated differently. My question will then be whether self-regulation would be necessary to ensure the unorganised in the situation we now have. I would like to challenge the Council of State on how to take care of everyone in the future, regardless of whether they are organised or not, and how to seek to improve individual wage determinations based on the quality of the workforce, and not on the general considerations of the organisations.
ParlaMint-NO_2002-02-06.ana.ud218e1557	Let me focus on what is perhaps the most central here now, namely whether there is actually a discrimination between organised and unorganised. Preliminary negotiations in the school system were launched in 2000, and this was done in order to achieve a more local wage formation in the school system as well. Much resources have been devoted to training and information on the framework conditions for preliminary negotiations in connection with the introduction of this new institute. I am aware that the organisation association has been highlighted in some reports from the preliminary negotiations that have taken place in the municipalities and county municipalities. However, I have also been informed that the parties responsible for the settlement of the schoolwork, which is the State Department of Education and Research, make the necessary changes and adjustments before it is signed and returned to the respective municipalities and county municipalities. Finally, I would like to stress once again that it is a clear prerequisite in the pay and negotiation system of the State tariff area for all workers to be included in the negotiations and treated as equivalent. And it is the individual employer who must ensure that unorganised and organised people are treated on equal terms.
ParlaMint-NO_2002-02-06.ana.ud218e1566	I have to say I'm satisfied with that answer as well. But I didn't exactly get a response from the Council of State on what we're going to do to get a system in the future where individual wage fixing becomes a major part of both local and central negotiations and wage fixing. Today, the situation is that many actually share the local pay-pocket equally without taking into account either the quality of the labour force or other things that have to be taken into account in that context. Now I hear that the Council of State answers that the department has a censorship and control of what is going on in the negotiations. But there must be ways of ensuring quality in the negotiations that are better than the ones we have today, and I would like to challenge the Council of State on this.
ParlaMint-NO_2002-02-06.ana.ud218e1573	The whole scheme of the new pay system in the school system is just giving local units greater freedom. In the context of the modernisation of the public sector, we also aim to increase local responsibilities and to be rewarded on the basis of results. We think it will provide a framework where local wage-fixing will be used to promote efforts, responsibilities, competences and other important elements. At the same time, it's in such a decentralised system that if we don't have central supervisory and control functions in place somehow, we can risk focusing on other things than what we've agreed centrally to focus on. That is why I do not think we come outside of some form of what the representative calls ‘sensorship’ of the agreements that are concluded. If we are to have equal treatment for men and women, we must have equal treatment for organized and unorganised people, there must be a central control over this.
ParlaMint-NO_2002-02-06.ana.ud218e1583	I have the following questions for the Minister of Social Affairs: ‘There is an urgent need to abolish or extend the age limit for support from the Rikstrygdewerk for training equipment, special toys and special-purpose sports equipment for disabled people aged over 18. When will the notified review of today's legislation be available?'
ParlaMint-NO_2002-02-06.ana.ud218e1592	As you know, disabled people under 18 years of age can benefit from training, stimulation and activation aids to maintain or improve their function. The disabled person may also receive social assistance for special or extra equipment related to play and sports activities. The age limit for granting subsidies to such aids has also been gradually extended since the introduction of the scheme in 1992. In Document No: 8:111 in 2000-2001, dated 3 May last year, the representatives Ola D. Glötvold and Magnhild Meltveit Kleppa raised questions similar to those raised by the representative Glötvold today. Int. S. No 302 for 2000-2001 of 5 June last year, the Committee is aware that the Ministry of Social Affairs and Health at that time reviewed the legislation on training equipment, special toys and specialised sports equipment and assessed the economic impact by raising or extending the age limit. In the light of this investigation, the Ministry would assess changes in the 2002 State budget. I note that this matter was not followed up in the budget of the Stoltenberg government, as I understand it had been expressed or had been notified to the committee. The reason for this should be further explained by others. Both the Riksstrøgdeverket and the Ministry receive a number of suggestions for improvements in various social security schemes. The proposal to raise the age limit for social benefits for training, stimulation and activation in order to maintain or improve their functioning is one such proposal. It is natural for me to consider all these proposals for improvements in the annual budgetary procedures. President! In the Question Time of 21 November 2001, Question 19, I was injured at the end of my answer to give an incorrect information to the representative John I. Alvheim regarding user-led personal assistance. I said, ‘Users of the scheme of personal assistants for people with disabilities will often be children and some may be unauthorised.’ Unfortunately, I mixed the support contact system and the system with user-driven personal assistance. The correct one shall be: ‘Users of the support contact scheme will often be children and some may be unauthorised.’ Users of the system of user-led personal assistance should generally be empowered, i.e. over 18 years of age, because the specificity of the system is precisely user management emphasis by the user himself acting as the supervisor of the assistants. In exceptional cases, derogations from this rule may be granted.
ParlaMint-NO_2002-02-06.ana.ud218e1615	I thank the Minister for the answer. As the Social Minister quite rightly said, signed and Magnhild Meltveit Kleppa had a proposal in the spring that was discussed in the Social Committee, about opportunities to go in and refund or facilitate free assistance for disabled people over 18 years of age. It is of great importance that they can get such aids to sustain an active life, and perhaps also help them to participate not only in leisure activities but also in the workplace, and to rehabilitate themselves through such an activity. I regret that we did not follow this further in the budget. However, I find the Council of State to be somewhat elusive when she says that one government did not follow it up, but that there is no plan to do so for the other either. When a unanimous committee says that because of this coming quickly, we do nothing more about the matter, I think this should be followed up already in the revised national budget.
ParlaMint-NO_2002-02-06.ana.ud218e1626	We're busy spending money to help people with disabilities, and we spend about NOK 2 billion. It's important to have an overall review, but it'll always be a grey zone, a discussion about what's going to be free, and what you're going to pay for yourself. It is natural that proposals for amendments and improvements are promoted in the context of the budget.
ParlaMint-NO_2002-02-06.ana.ud218e1633	I agree that this can be done in the context of the budget. But when this is announced and the department has worked on this matter at the investigation level to look at the consequences, it should be possible to add these funds already in the context of the revised national budget. In addition to that, we know that the Department is working on the ‘From user to citizen’ investigation, and this is one of the important things that can make it easier for users and make the transition from child to youth and adult not so difficult for people with disabilities. I therefore hope that the Council of State will take this back, and that, in the context of the revision, proposals will be put forward which will make such a system possible. As proposers, we suggested that a pilot scheme could be launched in the first place. It then departed from the Committee due to the signals from the Ministry of Social Affairs and Health that this would be assessed quickly and probably in the context of the 2002 budget. I hope it now works quickly, and that, as I said, we can get something revised.
ParlaMint-NO_2002-02-06.ana.ud218e1640	I take note of the views of the representative. It is important in relation to the consultation of the Manneråk Committee, which relates in particular to the case of people with disabilities. The views there I want to take with me in the further work, and we're going to make an overall assessment. But, as I have said before, it is natural that this is also done in the context of budgetary work.
ParlaMint-NO_2002-02-06.ana.ud218e1655	This question is postponed until the next Question Time.
ParlaMint-NO_2002-02-06.ana.ud218e1661	This question, from Inge Ryan to the Minister for Transport, will be answered by the Minister for Fisheries on behalf of the Minister for Transport.
ParlaMint-NO_2002-02-06.ana.ud218e1664	The question I am now asking is that I am so well aware that I received an answer yesterday by saying that the Government made a decision at the Council of State. However, I still ask the question to get a chance to follow up. The question is as follows: ‘There is currently a major reorganisation of the road network. A large part of the conversion consists of a regionalisation of the current county road office. The government has on several occasions pointed to the need for the decentralisation of state jobs in order to stop some of today’s centralisation. Some fear that the new regional offices will be added to the largest city in the region. Will the Council of State take into account regional policy considerations and add the new regional offices to one of the smaller cities/entities of the region in question?’
ParlaMint-NO_2002-02-06.ana.ud218e1673	As the representative Ryan initially said, yesterday the Ministry of Transport, Tuesday 5 February, decided on the location of the five new regional offices in the State Road Administration. The following location of the regional offices of the State Road Administration is decided: Region east: Lillehammer, Region south: Arendal, Region west: Leikanger, Region middle: Molde and Region north: Bodø. In response to the specific question, the reason for the Minister of Transport has been that special attention has been given to decentralisation, efficiency and the desire for a more balanced distribution of state jobs in individual parts of the country.
ParlaMint-NO_2002-02-06.ana.ud218e1682	I thank you for the answer, and I would like to express my pleasure in choosing to decentralize some of these jobs. I think that's very positive. I hope that it will also be part of the policy to regionalise government jobs. But I would point out that in my region, which is central Norway, we are very disappointed that Steinkjer did not reach. In our opinion, there is a much stronger regional policy argument for Steinkjer than for Molde. Steinkjer has lost a large number of jobs in recent years, including: from the Defence but also from other types of jobs. And district policy, in our opinion, there is no doubt that Steinkjer had needed the regional office more than Molde. Suffering if we know that both the Prime Minister and the head of the Committee on Transport come from the county, we regret that Steinkjer did not find room for this time. My question to the Council of State will therefore be: Will the Government pay attention to Steinkjer in the next round when assigning this type of job?
ParlaMint-NO_2002-02-06.ana.ud218e1691	I would like to remind you that as far as I am aware, it was actually the case that the Trondheim Council, the majority at least, based on an emphasis on road safety and with reference to a particularly strong professional environment, thought that Trondheim was the best choice for a regional road office. The government has stressed a regional policy argument, while at the same time wanting to pursue professional considerations. In that way Molde is a very good choice, but I understand that there may be cities that are dissatisfied, in this context Steinkjer. I am not aware that my home town, Tromsø, could have preferred to have the road office in front of Bodø, but we have therefore chosen from the Government to leave these offices outside the big cities. Then it is that we have to take care of environments of excellence elsewhere, and in this respect Steinkjer is as well as my home town, Tromsø – if I can include it – absolutely current candidates to be awarded regional or national special functions. In Steinkjer, for example. relevant for design purposes.
ParlaMint-NO_2002-02-06.ana.ud218e1698	Finally, I would just like to recommend to the Minister that at least the wish be made further. After all, 30 so-called smaller offices are to be set up or maintained within the road network, and I would strongly ask that Steinkjer, who has a very good environment of competence, and where the road office means a lot, at least keep some of the jobs that they have today. I hope that the Council of State will be able to answer that affirmatively.
ParlaMint-NO_2002-02-06.ana.ud218e1703	The Council of State can confirm that he will take it with him to the Minister of Transport. Moreover, I note that there is broad satisfaction with the Government's regional policy priority in this matter.
ParlaMint-NO_2002-02-06.ana.ud218e1721	This issue is postponed to the next Question Time, when the Council of State has left.
ParlaMint-NO_2002-02-06.ana.ud218e1728	This question, from Per Roar Bredvold to the Minister for Transport, will be answered by the Minister for Fisheries.
ParlaMint-NO_2002-02-06.ana.ud218e1731	I want to ask the Minister for Transport the following questions, which I understand will be answered by the Minister for Fisheries: ‘Every day hundreds of dangerous foreign vehicle combinations roll over Norwegian border crossings and create dangerous situations such as: the one on the E6 south of the Tang in Hedmark a while ago. Will the Council of State give priority to further checks and thus unlock these vehicles, which may be potential death engines, as well as to work to increase understanding of this work by non-resident carriers?’
ParlaMint-NO_2002-02-06.ana.ud218e1740	On behalf of the Minister for Transport, I will give a positive answer. Control of heavy goods vehicles, both foreign and Norwegian, is a high priority road safety measure. The state road system controls about 220,000 heavy vehicles per year. years. The Road Service Action Programme for the coming years envisages a significant increase in these controls, from today’s 220 000 to 325 000 in 2005. Checks are carried out both as random checks in traffic and at fixed control points. Efforts have also been made to improve the effectiveness of controls through the strengthening of competences and cooperation between the counties. The problem of missing tyre and chain equipment on heavy duty vehicles is mainly for non-resident vehicle combinations. Today’s legislation requires the driver to carry a chain only if it can be expected to travel on public roads covered by snow or ice. In other words, the current requirements are predependent, making effective follow-up by control difficult. In this context, the Minister of Transport has recently initiated the introduction of a general requirement for a minimum depth of three millimetres on deck and the obligation to carry chains regardless of driving conditions throughout the winter season and for all heavy vehicles. This will include, inter alia: facilitate more effective control at border crossings. The Minister for Transport wants the new rules to come into force before the autumn of 2002. In the autumn of 2000, an information campaign was launched against foreign drivers, including appropriate tyre equipment and the focus of chain use. This campaign is planned to continue until the autumn of 2003. Furthermore, the Minister for Transport considers it important that information on tyre and chain requirements is also addressed to purchasers of transport services, and will work to ensure that this type of security constitutes a criterion for the contracting entity in the choice of carrier. In this way, I can see that the Ministry of Transport has fully complied with the wishes of the questioner.
ParlaMint-NO_2002-02-06.ana.ud218e1751	I thank the Council of State for the answer, which was a positive, good answer. What worries me is that on February 2, 2000, I asked a similar question, and then got the answer, from another government, of course: « Today, the road authorities of the Member States do not have statistics suggesting that foreign drivers are more involved in serious accidents than Norwegian drivers. However, there is reason to believe that they are over-represented in creating problems in traffic, for example by being more likely to get stuck due to insufficient tyre equipment or lack of chains.» However, I choose to believe in the government that is now sitting, and I choose to believe that the Minister for Transport will address this matter. It's a very serious topic. I have received comments from both KNA and NAF on this, so the matter is very serious. I read that, among other things, in Svinesund, there are still frightening examples that result in driving bans.
ParlaMint-NO_2002-02-06.ana.ud218e1763	My short answer is that I cannot answer for previous governments, but this government has taken this seriously, and we believe that we have a professional basis to increase control and to implement the measures I have described here. And we expect that to produce results.
ParlaMint-NO_2002-02-06.ana.ud218e1768	I thank you once again for your answer. It is clear that this also has ring-fenced effects for Norwegian drivers versus non-residents. When we release dangerous vehicle trains into Norway that run relatively cheaply – it is clear that they will be allowed to drive – it also goes beyond Norwegian carriers by making the margins so small in terms of earnings, and there will be less money for maintenance. I hope that the Council of State, as he has now said, will deal with this matter and carry it on, so that in two years' time I will not be able to ask almost the same question.
ParlaMint-NO_2002-02-06.ana.ud218e1773	We can continue with situation descriptions, but I stress that the Government has implemented and will implement measures. Besides that, I have no comment.
ParlaMint-NO_2002-02-06.ana.ud218e1778	We go to question 24, from the representative Odd Roger Enoksen to the Minister of Defence. The president can't see that Odd Roger Enoxsen is in the room. We then wait with question 24, and then we see if the representative, Enoxsen, shows up later on.
ParlaMint-NO_2002-02-06.ana.ud218e1791	This question falls away.
ParlaMint-NO_2002-02-06.ana.ud218e1797	I ask the Minister for Defence the following questions: ‘Harstad Ship industry plans to build a larger dry dock and has offered the Defence to participate in this process. I mean, budget-inner. S. No 7 for 2001-2002 the Defence Committee unanimously states that it has noticed that the Government aims to return to the Stortinget spring of the year. with proposals for State follow-up to the dry dock project. The Economic and Social Committee has a similar wording. Letter of 22 January 2002 from the NHD states that the maritime defence will not, however, participate. Will the Council of State respond to the unanimous call of the Storting?’
ParlaMint-NO_2002-02-06.ana.ud218e1806	Harstad Ship industry plans to build a dry dock. The aim is to compete in the market for larger civil vessels while also being able to maintain the defence’s new frigates and the coastguard ship ‘KV Svalbard’. Harstad Skipsindustrie has assumed that the development of the dry dock is partly financed by State aid and proposes that the Maritime Defense Agency contribute 91 million. NOK 160 million of the total cost. kr. As has previously been suggested, the Government intends to return to the matter this spring in connection with the Storting's treatment of the revised 2002 national budget. The main challenge is that maritime defence has not prioritised this project within existing budgetary frameworks for 2002. Therefore, before we can draw a conclusion, we need to clarify whether it is desirable to use a civil yard as a base for the maintenance of the defence ship. Such a scheme would violate the maritime defence maintenance philosophy, which provides for the purchase of services at the most affordable civil yards at all times, provided that the applicable quality and dock capacity requirements are met. The letter from the Ministry of Industry and Trade to Harstad Skipsindustrie, to which the representative of Arnesen refers, points to these challenges. The letter also refers to alternative financing solutions – see. the shipbuilding regulation which may, under certain conditions, provide aid for shipyards. The Ministry of Industry and Trade points out that here it is possible to apply to the State Enterprise and Regional Development Fund for support. Another difficult issue is whether this form of public contribution to the defence budget can be considered as a military investment. It is necessary for the project to be subject to the exceptional provisions of the EEA Agreement in this field. The EFTA Surveillance Authority, ESA, attaches great importance to preventing cross-subsidisation from military to civil yard activities. The Government aims at clarifying these issues between the departments involved and proposes to return to the matter in the context of the 2002 revision of the national budget. The representative of Arnesen and Stortinget will then have the opportunity to decide on the matter themselves, as both of the above-mentioned committee settings provided.
ParlaMint-NO_2002-02-06.ana.ud218e1821	I thank the Council of State for the answer. As the Council of State itself had in mind, this has been reflected in the two budgetary positions, both from the defence committee and from the business committee, nor has it been said otherwise in the supplementary proposal made by the new government. Both committees have asked for this to be followed up in the revision, so I'm glad it's coming. At the same time, I would like to remind the Council of State that the Prime Minister and the Minister of Finance and the former Spokesman of the Right has been in Harstad and promised that this should be done, and I expect perhaps a more positive attitude than the letter from the Ministry of Economic Affairs. I would like to ask: there was an enquiry from the yard to the Minister of Defence to get a meeting to discuss the details. Is it, then, the answer from the Ministry of Economic Affairs to that of the Council of State?
ParlaMint-NO_2002-02-06.ana.ud218e1830	As I see it, it is right now the Ministry of Economic Affairs and Trade dealing with the coordination between different departments in this matter. What I have tried to explain is simply what is inside this year's defence budget, and as I said, maritime defence has not given priority to such a dock. I am sure that any interested person who wants to meet representatives of the Government in this matter will get it, but I think it has to be the government that assesses which department will have the primary responsibility for the further work on the matter. Because it may even affect the Ministry of Local Affairs, it is, as I said, appropriate for the Government to spend some time between these different departments concerned before concluding the revision. And we haven't concluded yet. I am fully aware of what Mr Arnesen refers to, that there are many parties here who have wanted to express goodwill and sympathy for the project, but there is still some practical clarification, not least on whether ESA will be able to accept such State subsidies.
ParlaMint-NO_2002-02-06.ana.ud218e1835	The question remains unanswered for the reason that a meeting with the Department has therefore been requested to clarify the matter, to discuss figures and to discuss the details before the examination of the revised, and I see the letter from the Ministry of Industry and Trade as a refusal to have such a meeting. I ask again: will the Council of State or the Council of State in the Ministry of Food receive the Agency to plan the details forward towards revision?
ParlaMint-NO_2002-02-06.ana.ud218e1842	I would just like to reply briefly to Mr Arnesen's representative that everyone who sends letters to the Minister of Defence should, of course, receive answers from the Minister of Defence. It's a practice that applies in my department. I am not sure at this stage which letter should therefore be addressed to me as Minister of Defence, to which the representative of Mr Arnesen is referring. But for the future, I can promise that it will be a general rule that everyone will get an answer from the minister who is being attributed, and in that answer it may be said that in that case another minister is more natural to have a meeting with. But I'll take a closer look at that after this meeting.
ParlaMint-NO_2002-02-06.ana.ud218e1847	We then go back to question No. 24th@item: inlistbox
ParlaMint-NO_2002-02-06.ana.ud218e1854	I would like to ask the Minister of Defence the following questions: ‘The action plan for Defence from the autumn of 2001 provides for up to 800-2400 men to practise in the ‘Regional Shooting and Exercise Field of Defence Departments in the East’ for the nine months of activity in the field. What is the actual trainable volume in the region field, and where shall these forces come from?’»
