ParlaMint-NO_2002-06-18-2.ana.ud2212e76	Can the President ask for a withdrawal in silence? Please, Councillor Børge Burnde!
ParlaMint-NO_2002-06-18-2.ana.ud2212e1671	The president asked whether the representative should make proposals.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1674	There is as much left as I should have said, but I will finally bring up proposal No. Ten, from the Center Party. I would also like to inform you that the Central Party will vote in favour of proposal No. 1st@item: inlistbox Otherwise, I would recommend the members of the Central Party to vote in favour of the vote - all Roman numerals.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1683	The representative Arnstad has drawn up the proposal to which she referred.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1686	The main objective of the left is that Norway should be an attractive country to run business and that Norwegian enterprises should have good owners who provide economic resources, networks, market access and skills. Left thinks this is far more central than the owner's nationality. Furthermore, it is important, especially for small enterprises, that tax rules and other decisions enable the owner to be active in his own enterprise. Public ownership in Norwegian business is extensive, organised in a variety of ways and has very different purposes. The state as a large and dominant owner is itself a democratic problem. In most cases, however, the state appears to be a passive investor in large, well-established enterprises. At the same time, there is a great need for risk capital for the new enterprises to grow and generate value in the future. Left wants the state to clean up its corporate ownership and define what it wants with ownership in each individual case. The objective of direct public ownership must be to take care of economic activities and tasks that the market cannot otherwise solve, such as: specific infrastructure tasks or to manage important common values. It is not an objective for state enterprises to offer services – and products – which can be done as well or better by individuals on pure market terms, on the one hand as monopolies and, on the other hand, in competition with private individuals. In most cases, the Community's interests will likely be safeguarded equally or better by the use of laws, framework conditions and control images. For many state companies it will be positive to get private owners and to get strategic partners. Sub-privatisation and stock exchange listing can therefore be an active tool. What I've said so far is from the left's program. There is a good match between this and the big message that is being handled today. The comments of our government partners are essentially based on the same principle. The problems mentioned about the different roles of the state are in the process of finding a solution – if they haven't already done so. The left has never had the fear of state, but is concerned with the balance of power and the prudent management of resources. The reason for government ownership is not the same as before. At the same time, there is no mention of major urgency of state axes. The government does not ask for powers in this round, but will evaluate each individual company separately, even when it applies to the date of any sale. The left is in agreement with a comprehensive committee which points out that the state is still playing an active role in industrial policy, not least through research and development, and through fiscal policy. However, a major problem in Norwegian nutrition development is the need for a stronger private and active ownership. Thus, one must also pursue a policy that makes it profitable to invest in business. Tax policy must encourage people to invest most in the development of jobs, rather than investing in banks and property. Thus, it is so sad when such actions are met with dogmatic and symbolic policies from socialists – from the Socialist Left Party to the Central Party. The mantra for tax relief to the richest is repeated and repeated, in order to actually undermine important incentives for a strong, Norwegian, private ownership. The Labour Party had many good arguments against double taxation of dividends when they were put in government. Now this is the sacrifice on symbolism's altar. The rich always manage to wink, and it is not that such tax symbols generate real income for the community. Many of the arguments about taxes on wealth follow the same pattern. The left is very pleased with the compromise between the Government Party and the Socialist Left when it comes to fund building. The state-capitalistic fund-building that the Workers' Party and the Progress Party have strangely merged is an error trail. This is about subsidizing the richest. Actually, a completely universal capitalist gives a suction pipe to the oil well that they don't catch up with. So Norwegian capital, which refuses to take too much risk, will have the state with it. Then it might not be that dangerous if an investor makes a mistake. Private capital flows around the world freely. It's invested where the projects are attractive, and where one can make money. Innovation is not dependent on the state’s capital, and the state’s task in this phase of capitalism must primarily be to regulate, control and non-discriminatory capitalists – not subsidising and favoring a few large investors. In that case, it is far more sensible to strengthen measures that can provide capital where there is a lack of capital and where there may be a lack of will and insight to dare to invest, simply in economically weak or unilaterally based districts. The left can join any comment where the Right Party and the Christian People's Party are involved.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1718	It's going to be line change.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1721	It is obvious that May Britt Vihovde is a lucky person. She simply has complete knowledge of how such a fund as we have discussed here today would work, and all the negative aspects of such a fund. If that were the case, wouldn't it be an advantage to get an explanation when it comes to this question and get it documented, so that we don't have the total knowledge in this area, could also get a better basis for what we're talking about? I have to admit that I have very little understanding that the government party over the table could ‘cash out’ NOK 1 billion to prevent others from getting the knowledge that May Britt We had opened up.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1726	So the Labour Party and the Progress Party want to fund money, where the big investors who need capital can also have the state with them as their owners. We don't want Left, but instead we want to stimulate the private business to be involved in taking the risk by investing. However, in economically weak areas of District Norway, it is important that the state participates and secures the capital where perhaps the private investors will not – or do not dare – participate and invest. There are a lot of entrepreneurs around – many people who have an idea, and who want to evaluate the ideas with someone and be involved and invest. There are several who have been involved in this and have asked questions to the government party and to the Socialist Left about how this fund should be set up. I expect the Government Party and the Socialist Left Party to be involved, go through and justify such a fund. But I have faith that this will be a fund that the small entrepreneurs out in District Norway want to be involved and further developed in their small communities, but that they will not get the big investors with them. Those are the ones we need to organise this fund for. But how it should be designed in detail is something we want to discuss further.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1733	I understand that representatives of a small party that the Left does not have the capacity to intervene in all questions and matters that are being dealt with in this room. I still think that when one comes up with blatant claims about the other party's policy, there should be a minimum of content in that criticism. It's not in the message we're processing today, that individual parties go in to create a Structural Fund. It is that individual parties want to know more about how such a fund could work, for example. to create opportunities for more capital for Norwegian business. The government party has chosen to pay out $1 billion without any treatment in committee or elsewhere, to prevent other parties from gaining that knowledge. I would like to have a reason why this happened.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1743	I do not feel the need to give the representative Akssen a basis for how one has negotiated until this excellent proposal, which is supported by the Socialist Left Party and the Government Party. But we can invite the Labour Party to join and support it, if the Labour Party agrees that this can be a good measure. But at least we want to ensnare the state's investment into funds so that they are really used where they are needed, and rather stimulate private business to participate in larger investments where there is no need for the state to set up.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1750	Because the Left is part of the government coalition, I have to be allowed to challenge the Left for a little bit of precision in relation to what they're actually in favour of. Firstly, when the representative Vihovde challenges the Workers' Party to support the proposal on regional funds, the Centre Party and the Workers' Party are behind the proposal – the Centre Party and the Workers' Party are behind everything about regional funds in the vote. It'll be a broad majority for today. I see no contradiction between addressing the need for regional funds and addressing the need for a structural fund. What is in the setting is not the creation of a Structural Fund. It says that the need for and organisation of such a Structural Fund should be addressed. I would like to support the entrepreneurs in the districts through regional funds, but I would also like to have the opportunity to support the larger locomotives in the Norwegian industry. And I'm asking myself, could a structural fund, for example. had there been an opportunity to prevent Dyno from being sold out of Norway and that Hydro Seafood was sold out of Norway? There is also an opportunity that could lie in such a structural fund, but now we are deprived of the opportunity to explore the need for such a possible fund. I would also like to ask again for the same thing as the representative Aksenssen asked for, namely the reason – more precisely – for why we are being deprived of this possible knowledge.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1761	Well, here's a pretty fundamental difference between the government party and maybe the Central Party and the Workers' Party. In fact, the Left believes that the large industrial enterprises can best stimulate by providing good tax conditions and good framework conditions in general. We do not see the need for this large structural fund. Rather, we would like to channel the state's funds through funds that are more directly directed towards those who do not have the same access to capital as part of these big businesses and Norwegian businesses in general. We would rather stimulate good tax conditions. Among other things, the government has now reduced a selection to assess a large tax reform, which may give flat taxes and equal taxes on capital and labour income, which will make the split model redundant. In any event, it will allow Norwegian businesses to better represent themselves, and may be involved in investing and participating in the investments needed for the non-state venture capital business.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1766	The cord shift is over.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1769	The coastal party is generally concerned about strengthening private local ownership in Norway, but we do not see the sale of state enterprises as current policies at this time. Developments in recent years show that listing of Norwegian companies largely results in the withdrawal of ownership. The Norwegian financial environment is too small to cope with foreign multinational purchases. We have noted a comment from the majority of the Economic and Social Committee, where it states that: «at this stage no power should be given to sell state holdings. The majority believe that before any sale is considered, the Government must have a plan to strengthen private ownership, on the one hand through framework conditions, and on the other through cooperation solutions between the State and the private sector on the other». The majority then refer to the proposals for different funds. This is in agreement with the Coastal Party. Time does not allow a review of all the companies proposed to be sold in full or in part, but some companies are more important than others. The coastal party has opposed the partial privatisation of Statoil. We've previously described it as a theft of the people's property. We still believe this. We believe that any partial privatization of State power will be an even more serious theft, since the value of State power to the extent that it is not a result of the right of repatriation of industrial companies has come from people's payments through electricity billing. The Coastal Party will not convert State power into a limited liability company, but will retain this company as a state management company. This is how we will ensure that our renewable value base is not sold out of the country. Conversion into a limited liability company is an experienced first step on the road towards partial privatisation. This is particularly important in a situation where ESA requires Norway to abolish the right of withdrawal, thus facilitating long-term foreign investment in the Norwegian power industry. This is unacceptable in the view of the Coastal Party. We also want to explain why we went against the sale of Cermaq ASA. When Statkorn got 1.2 billion in capital, it was just to ensure Norwegian ownership of the aquaculture industry, which has far too much foreign ownership today. Hydro’s sales of Hydro Seafood to Dutch Nutreco, which currently owns and controls a significant proportion of this industry in Norway, have been refreshed. That is why we supported a state purchase in Hydro to make sure that we also have such important companies in Norway and Norwegian hands in the future. The Coastal Party considers that the aquaculture industry should be dominated as much as possible by Norwegian private operators with local anchoring, but, to the extent that this is not possible, Norwegian state ownership is a better solution than foreign sales. We must not sit in such a situation that we ourselves do not have the ownership of our main industries. The coastal party is very concerned about the development that Norwegian fisheries, both saltwater fishing and farming, are sold out of the country through the stock exchange. Government ownership has a different reason today than it had before, when the state kept living in unprofitable businesses to secure jobs. Today, the reason for strong state ownership is the need to protect profitable businesses and natural resources from foreign purchases. This means, of course, that the country that owns should address business profitability requirements while taking into account employment. Foreign experience with global unlimited capitalism shows a trend in which fewer and fewer owners are more and more, and where owners who look at their personal dividends unilaterally are pushing forward an international competitive situation that is not in the best interests of either individual nation or worker. Last year, the Stortinget opened up for foreign investors to invest in Norwegian pharmacies. This resulted in German interests already having bought up nearly 90 pst. by the Norwegian pharmacy. As you see and experience, the consequences of such things are fatal. This amendment was made without limiting the proportion of this industry that could be purchased by non-resident owners, which even the EU has limited. Norway has a unique opportunity to maintain a business that benefits and provides contract rights for most people. That's an opportunity we're not going to sell out at a time when the state cash flows out of money. The coastal party will support the position of the majority, and we will support the Roma proposals in the vote. Then we will finally praise the Progress Party for the important role they have played in this matter to stop any sales of state enterprises. There is respect for such a position.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1798	It's going to be line change.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1801	: The reason I asked for a line was that the representative from the Coastal Party used it in connection with a certain private feature of state companies. It uses expression as 'theft'. I feel that there is a misunderstanding and a bad practice that from Storting's pulpit, such barrages are used, which are not rooted in reality. The fact that there are multiple political decisions here that allow private people to buy up property in former state companies is far, far from theft. I distance myself from a user of such expressions when private people get into companies that used to be state-owned, and that we get more private people who will feel management responsibility and a responsibility to run the business profitably. I would also like to point out, as the Coastal Party representative did not seem to care, that we are living in a globalised value. We have received figures earlier in the debate that show that Norwegian interests are acquiring more strongly in foreign companies than is the case in the case of foreign investors in Norway. Would there be an unwanted development for Norwegian interests? I don't think so. I think such an internationalisation of Norwegian business would be very positive for Norway and a condition for future growth. That's why I don't want to add a negative stamp to such a development. I would rather like to welcome Norway as an important international player in the private sector to develop our own business, but also in full solidarity with other countries. If there are developing countries or other countries, Norway should be an important player as one of the world's rich nations.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1808	When it comes to theft, I want to justify that these are values built up by the inhabitants. When you drop into foreign capital that gets access to these resources – the eternal resources that we have in hydropower – and local energy plants are sold out of the country, I will characterize it as a theft of values that the people have built up. It's possible it's strongly expressed, but in the long run, I think we'll see that it will be perceived as a theft for those who depend on these bets around the districts. When it comes to living in a globalized world, I think it's important that we stop a little bit and see where development is going. We spend considerable amounts abroad and invest in foreign industry and shares, both through the Oil Fund and through other companies. It would have been much more sensible to use these resources domestically to increase value creation in the country. This is a matter of these renewable resources, fisheries, etc. These are eternal resources that are renewable, which we cannot reverse with these actions here. That's why we're at the point where we're at the point where we're going to keep as much of the value creation in the country as possible for our future generations.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1817	No more people have asked for a line, and we go back to the regular list of speakers.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1820	The debate seems to me to have been marked by 'the eyes that see'. The government parties believe they have won all the battles, and I sometimes wonder how to read the notes. I think the best description of the outcome of the reading of this message is the title put on the message by the representative, Mr Ryan, after the vote will be over today. There has been the greatest difference in the description with regard to the so-called Structural Fund, and there has been a gulf between the amounts and other claims about the functioning and appearance of such a Structural Fund. And that's why I want to refer to the proposal that the majority is making regarding this fund: ‘The Government asks the Government to assess the need for and organisation of a significant State Structural Fund which, under commercial conditions, can contribute when Norwegian companies need to increase their capital strength, cf. The Committee's comments at the Innst. S. No 264 [[2001-2002]] So there's one such investigation that the government parties and SV are so very anxious that we're going to know the result of. The representative, Olav Aksensen, has explained the views of the Workers' Party in this matter as well as mentioned some of the companies in which we disagree with the Government. I want to focus a little bit on the Municipal Bank, where the state has 80 pst. of the shares. The tasks of the municipal bank, in short, are to provide loans to municipalities, county councils, intermunicipal companies and other companies carrying out municipal tasks. The Bank performs its tasks in an excellent manner, and has the highest “rating” for international borrowings, precisely because it owns the public sector. This means that the bank obtains very good loan conditions on the international loan market, which in turn can be transferred to Norwegian municipalities. In fact, the local government bank has the same «rating» as the Norwegian State, and such «rating» cannot be sold. If the government sells itself down, this could have a direct impact on the bank's loan terms and thus on the price of municipal loans. Once again, this could affect the small and medium-sized municipalities, which depend on the Municipal Bank. It is also the case that the Municipal Bank does not cost the public anything. Rather, the State has received good returns on its shares in the Kommunalbanken. One of the arguments of the Government to reduce state ownership in the companies we are dealing with today is that state ownership to the extent that we have in Norway is a strange phenomenon. It's not like that with the Municipal Bank. In fact, there are publicly owned municipal banks in all Nordic countries, in most countries in western Europe and in a large number of states in the United States and Canada. Arguing governments in these countries have actually found it profitable to transfer the Community's creditworthiness to municipal borrowers. The Council of State Gabrielsen is known for being a politician who has a special relationship with the Right ideology, and this often permeates his political statements and actions. He went out high on the track when he started working on this message, but has probably landed relatively hard afterwards. It is good enough that a right-wing politician has Right-wing ideology, but sometimes one has the impression that ideology overshadows the rational and reasonable – and so also seems to have happened in relation to the Municipal Bank and some of the other companies that it is about today. We are surprised, therefore, that he has had this success in the government, especially with the blessing of the Christian People’s Party. The municipal bank is operated effectively. By the end of 2001, there were only 29 employees. Operating costs in relation to administrative capital are well below the level of major banks, and I hardly think that some private banks in Norway have such a good cost figure. Why in the world should the state sell out of such a bank?
ParlaMint-NO_2002-06-18-2.ana.ud2212e1848	In order to put an end to the anxiety just expressed by the representative Fossli regarding the Municipal Bank, and in order for that anxiety not to break and remain seated beyond the night, I will quote the last four lines that have been said about the Municipal Bank in the message: ‘In 2000, the State sold 20 pst. of the shares of KLP, with a measure of further municipal ownership. The Government will consider different ways of following up on this.» So in 2000, they did. Then it was different from this government that set. – It should not frighten either the representative Fossli, the Municipal Bank or potential depositors of the Municipal Bank. But at least it seems to be of great interest and broad agreement that there were good reasons to review the country's ownership policy. In the Sem Declaration, the government parties reaffirmed the need for such a review. In an international market, where active and competent ownership is increasingly required to enable companies to develop their competitiveness, we must always be willing to ask critical questions about the best and proper management of the large values owned by the State. I am pleased to note that there is broad agreement on key elements of both the basis and the content of a Norwegian state ownership policy. In debates like the one we have here this evening, it will often be that different views on some issues overshadow what we are very much in agreement about. It's part of politics. We all agree that ownership is of importance for the creation of value. It is important that, through the linking of capital and competences, we can facilitate economic development. In Norway, where a large part of the building of wealth is carried out by the State, it is particularly important to ask questions about whether and, where appropriate, how the State can meet the demands of a modern and competitive ownership. There is a broad consensus that this means that we need to have the most professional management of state ownership. It is not unexpected that there will be different views on how we should set ourselves up to do this. In the Communication, the Government has underlined the importance of stimulating increased ownership participation by private individuals. The vast majority of parties seem to support such a view, although there is a different view of the instruments to be used. Through the work already in progress, for example: on taxes in the Skauge Committee, on pension conditions in the Commission led by Sigbjørn Johnsen, through the established seed schemes, the industrial company Argentum and any new fund schemes that will be assessed on the basis of the Storting treatment here today, we already have many elements in place for such further work. I am pleased to see that the Storing is in essence in keeping with the Government's view on which principles should be used for the exercise of good ownership. This is very important. It is by consistently implementing these principles in the operational ownership exercise that the State that owns can gain confidence among market players. Trust in the country that owns is important for the development of the companies concerned and it is important for the value of the country's holdings. Following the principles of good ownership that are now widely agreed will be central to the further professionalisation of government administration. In the Storing Notice, 40 companies are mentioned. I have said on many occasions – also in the message, and I repeat it here – that no matter what political camp we come from and no matter what role we have had over the years, we must have such an open mind that we regularly ask the fundamental and simple questions: What was the reason why the state eventually became the owner of this company? Is the justification still valid? If the answer is no, we have to ask questions about what we're doing with it. There is neither much policy nor criticism of previous decisions in such a review. The world around us is changing, and the solutions that were once considered to be the best are not necessarily that today. Let me also underline a very important relationship. In this Communication, the Government has not made any concrete proposals for selling in any company. We have conducted a non-prejudiced assessment of the state ownership of these companies, and explained to the Storting how the Government finds it natural to conclude. That's what we've invited Stortinget to discuss. I have noted that of the forty companies that have been reviewed in the ownership announcement, it is actually only for three-four companies that a majority in the Stortinget – I stress a majority in the Storinget – have clearly different opinions and conclusions from what the Government has. I cannot interpret it differently than that the majority of the Storting essentially also adheres to the assessments made by the Government of the state of ownership of individual companies. And Hedstrøm's suggestion about these companies I interpret as an invitation to come back to Stortinget in concrete contexts. It would lead too far to go into all the individual companies in this debate, but I still want to comment on two companies – Telenor and Statkraft. In this Chamber on 15 June last year, the Stortinget addressed the Workers' Party Government's proposal to reduce the State's ownership of Telenor ASA down to 34 pst. In the debate, he said, among other things: Øystein Hedstrom: ‘The Party agrees that the State is authorised to reduce its shareholding in Telenor. We think it makes sense for the company to decide for itself the progress of this, based on business considerations. By giving authority to sell and issue down to 34 p.m., there will be greater flexibility and more rapid decision-making on solutions that are at the best of the company and that safeguard the values of the country and hence its population.» It's like I should have said it myself. And it's probably not exactly what Hedstrøm had in mind, that the change of policy was due to a change in the programme, because the programme processing in the Progress Party did not take place after June 15th last year in terms of the expansion period we are now in. As I said, I support Hedstrøm's assessments one year and three days ago, and I cannot see that there should be any reason why that view would no longer be valid. The majority’s comments on limiting the State’s access to selling Telenor shares to 51 p.m. This means a 180-degree turnaround, both for the Workers' Party and for the Advance Party – that is, in one year! Here we see the long-termity in the high-seat. This kind of behaviour also creates unfortunate signal effects for the company. However, I am pleased that a majority opens up strategic agreements in which the state's ownership can be reduced to 34 p.m., and that the original proposal of the rapporteur, who was widely advertised, did not receive a majority. I guess Telenor did a good job in the Workers' Party. In the case of State Power, the Committee points out that any transformation into a limited liability company should be discussed in the context of several different situations. I fully agree with this, and the further procedure has already been set up with this in mind. Own cases will be raised concerning the State Enterprise Act and the case-back scheme, respectively. This will form the basis of a separate State Power case. In such a proposal, it will include, inter alia: concrete proposals on how to deal with current industrial contracts and how the capital structure of a limited liability company should be, i.e. as the Stortinget now also asks. I find that for some companies, a majority in the Stortinget has not rejected a reduction in the State's ownership. However, the majority have argued that in this case this should be in situations where the company participates in mergers or similar, where shares are used as payment and the State's ownership is reduced. At the discretion of the majority, such cases must be submitted to the Storting as their own cases. I must, with all due respect, demand a better reason for these conclusions than that given in the position and so far in this debate. We all agree that it is important for the state to act as professionally as possible in its ownership, and that state ownership should be of benefit to the individual company. But that means that precisely when it comes to mergers, strategic cooperation, professionalism in the exercise of ownership means predictability, rapid decision-making and discretion on strategic and business matters. With a prior authorization from Stortinget, the Ministry may meet these requirements. When the matter has to be brought before the Storting, it becomes much more challenging, and there is a real danger that otherwise sensible industrial solutions will not come to a decision. This cannot be what we want. In this respect, I refer to the comments of the Workers' Party in the Committee's position on that mandate of 34 pst. as proposed by the then Labour Party Government concerning Telenor. In the Committee's setting up, and also in the debate today, many views have been expressed on the need to build up different types of fund schemes, on the one hand as the use of income from government sales, and on the other as a tool for increasing ownership base in Norway on the other. Now, first of all, we should have a sobering view of what revenues this might be about and the timing of any realization. The large sums of money that some people talk about assume that all the reduction in the state's holdings is on sale. It won't happen.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1900	It's going to be line change.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1903	First of all, this is how the Council of State is wrong – and I believe it inside he knows – when he claims that the Labour Party has changed its view of Telenor. It's never been the idea that these axes should be sold on the stock exchange. It was about the company being able to conclude alliances so that the state part was watered out. And that's what we're stuck to. One must be able to state that the Government has suffered a total defeat in this matter. There will be no large hall of state axes, as the government suggested. There will be no multiple to convert Statkraft to AS. There is no plurality for the Government to organize its ownership. On the contrary, the Government is required to outsource the organisation and administration of state ownership and return to the Storting with this. The government is required to make proposals to establish new nationwide seed funds. And the government has let itself be pressured to "casha" out $1 billion to avoid the allocation of a structural fund. I expect the government to take these decisions into account, and that it will then pursue a policy and come back to the Storting with the proposals requested. Everyone knows that it is Right's primary desire to sell State Power. I expect that they will continue to work for that vision. It is then important to keep track of those values in the best possible way. As I see it, the Government will prevent State power from developing. They're not going to get any more money from the state, they're not going to get any more money from the private, and they're going to get a dividend of 80-90 pst. This means that the company will be reduced. Given that the Right will sell this company once in the future, is it not an unusually poor administration of the state's money?
ParlaMint-NO_2002-06-18-2.ana.ud2212e1914	I'm not going to try the Olympic exercise that's going to describe defeat and victory in Stortinget – until I've heard that too much stupidly said by pastors. But what is absolutely right is that this time the Grand Prix Committee has chosen to make a very large number of proposals in dealing with a communication that is very specific about what has been mandated. What I was going to add up to was to the extent that the government of which the Axis itself was part, put forward in St.prp. No Last year, that is to say, in the context of the annual budgets, that we should take the specific powers and say yes or no to them. I still have that idea. In the case of paying NOK 1 billion in order to avoid having this fund investigated, it is that this fund must not be assumed to have come on its feet if it was not for the involvement of the Norwegian Investor Forum and relatively concrete thoughts on this, and they may well have explained it sufficiently in relation to the proposer. That was a point in addition. It was an instruction to the Government on billions of refuellings at Argentum. And there you can really say that you make the decisions in the loose air. The first investments are likely to be made until the autumn. It is not possible to invest the money they have already received within a long period of time. I have had a meeting with the company, and it is relatively clear. As far as Statkraft is concerned, our proposal and our suggestion are to come to Stortinget with a case of turning Statkraft into an AS in order that Statekraft should have exactly the same advantages and disadvantages as all the other actors in that industry. I am fully aware that there are special contracts Statkraft has that it has to be corrected in relation to. With regard to the dividend policy in whole state companies, I fully see that the dividend policy that has been pursued has not been ideal for building up equity either now or before.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1925	The most eye-catching thing, I think, that has happened in dealing with this matter, is that the Government and the Swedish Government, at the speed of lightning, enter into a binding agreement, and this must have been lifted up at Prime Minister level, because it is 1 billion kroner that you promise a selective fund for economically weak areas. It cannot be in line with the Right as the dominant party in the government ideology to conduct that type of selective business. That's the one. I would also like to remind you of the negotiations of the Progress Party and the Government on the budget last year as stranded at 675 million. kr. I think that's that number, it was at least less than $1 billion. So this is going to be done by the velocity of the line and by the input method. You decide for $1 billion without knowing the device, and you don't know the context. Our Minister for Economic Affairs has long talked about an instrument message, that the whole of the instruments should be seen for the nation of Norway. So at the speed of lightning, you promise $1 billion to a very specific piece of the instrument. My question to the Council of State will be: Does he think this is a thoughtful and well-worked way of providing tools and getting the best cost-benefit solutions in this area for the nation of Norway?
ParlaMint-NO_2002-06-18-2.ana.ud2212e1934	To characterize something as thoughtful and non-thoughtful, a person must have a reference frame and look at what to compare with. When one compares to some of the things Hedstrøm has put in the pen in the settings of the message, I do not think this seems to be a bad idea. The characterisation of the ‘speed of the line’ was rather flattering, but we started this review of all the instruments in November. We've had countless meetings about this with the business community, and we've got 60 recordings from different business organisations, so I have a fairly good overview of what's out there, and what's wanted. With regard to this agreement that the government parties have entered into with SV of NOK 1 billion for a fund to look in particular at measures in economically vulnerable areas in the districts, I do not characterise it as selective nutritional measures, as Hedstrøm said. This is capital, a fund, and it's probably about equity in corporations that have to be considered profitable. I definitely believe that in the districts of Norway there will be a need for equity also for profitable projects. Through the process we have had in terms of tool review, it is quite clear that we need some general instruments relating to equity that are nationwide, definitely. But it is also true that there are interesting projects in the districts where, with relatively small funds in equity, you can be with and stable things on your legs. So I consider the agreement that has been concluded to be very useful in realising profitable projects in the districts. It has been stressed in the negotiations, as far as I am aware, not least from the representative Ryan of SV, that we are talking about profitable projects in District Norway.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1945	One of the main arguments of the Government for selling into state enterprises is that you view the state as an over-owner. Now the situation is that after this treatment, the country will still be a significant owner. Also, with the government's proposal, the state would have been a somewhat less significant owner, but still an owner. My question to the Council of State Gabrielsen is this: who is responsible, and who is responsible for the state becoming an excellent owner? Does the Council of State Gabrielsen feel the responsibility of having a task of making sure that the state becomes an excellent owner, so that you can actually be in the same class as the best private owners?
ParlaMint-NO_2002-06-18-2.ana.ud2212e1954	Now I have no faith that, no matter what I did or didn't do, I would get the name that I had done excellent ownership. I know the Storting too well. «Passers» would probably be able to walk if it was very good what had been done. There is nowhere in the message that the government suggests that the state is a bad owner. That's not what this is about. The clues we have about the bottom line mean that the state will still be the definitely most dominant owner of Oslo Stock Exchange in the future, even if you go down to the posts we're talking about. An example of what I mean by good ownership of companies that are to be assessed: in Raufoss ASA, which fortunately a majority consisting of the Advance Party and the government parties will watch, the state owns 50 pst. I was there a week ago. I had meetings with the employees. I had a meeting with the board, and I had a meeting with the management. It is quite obvious that in the case of an enterprise in a market such as: producing car parts for the automotive industry, it is not certain that tomorrow's structure with regard to the companies that have access to the few car companies that remain is some lonely, small company at Raufoss. The question is whether we do a good job by holding that holding, or we do a good job by saying to the company: try to get an owner, a global car operator who will be able to give this company competence, market access, networks and everything in this regard. The state that owns, in my opinion, has nothing to add to that enterprise in addition to the fact that we have a holding that is worth, what I know, a number of tens of millions of dollars. In such a case, I believe that we exercise good ownership when we give the company a mandate to look at the possibility of getting someone to take over that ownership position as an alternative. Otherwise, I think we're making a general loss. Good ownership is not getting involved in the details, but in the big lines.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1965	What the Council of State is facing today is a great defeat in relation to the first big big big message he has advanced to the Stortinget. In this context, it's certainly wise that he seems to have dampened the slightly more ideological rhetoric in favor of a little more realistic rhetoric. I think that is wise in relation to the conclusions in the vote. I was a little surprised that he accused other parties of not thinking in the long term. The government cannot first invite the Stortinge to have an opinion about the different state companies and so feel that it is not long-term if they conclude differently than the Government, such as. in the case of Telenor, which was brought forward here today. I understand that the Council of State has intended to come back to Stortinget with a case about Statkraft. I would also like to ask: How and when does the Council of State intend to come back to Stortinget with a case of different models for the organisation of state ownership? A majority today say no to collecting it in one department. I also want to ask the Council of State when he comes back to Stortinget with a plan to strengthen private ownership, which will be a prerequisite for some parties that will certainly be more positive than the Center Party is in terms of sales, at all, looking at sales. As far as Statkraft is concerned, I would like to ask: is this the case, if I have understood the Council of State correctly, that one is willing to pay between 1 and 2 billion kroner in compensation for industrial power contracts just to get the letters SF to AS in Statkraft? That is what industrial power contracts actually cost. What are you going to do with the 1 TWh, that is, two Alta power plants, which are falling back from today until 2010? Who are they going to fall back to whose State power becomes AS? At least they can't fall back on Statkraft.
