ParlaMint-NO_2002-05-29.ana.ud356e28	The called alternate of the Akershu County, Harald Espelund, has taken the seat.
ParlaMint-NO_2002-05-29.ana.ud356e1670	As I said in my answer, I agree with the representative Lyngstad that it is better to extend the maternity leave so that Dad chooses to take more leave – that is, an extension of the papacy leave – does not go beyond Mother's leave. I would say it so that getting a right at the expense of mother, might be difficult in this case. We have looked at the proposal of the Equality Ombudsman a little bit, and as far as I have been given the opportunity to look at it, it seems that there may be some problems both in relation to the current calculation rules for the feather quota, and perhaps also – another important element – in relation to the current exemption rules, because they are being very strictly enforced today. The consequence is that the family can actually risk losing three months instead, as today, one month. There are some issues that we really have to go deep into, and of course we have to. There has been a serious proposal, but I agree with the representative that it is better what he proposes.
ParlaMint-NO_2002-05-29.ana.ud356e1677	It is good to hear that the Council of State agrees with me and the Christian People's Party in it. Another issue to which fathers are also linked is that of independent rights for fathers to the father quota. Sweden has managed to do so, while Norway has not been able to do so yet. Here it depends on Mother's rights. This also creates some problems for northern residents who move across national borders. I met, to take an example here, a Norwegian engineer who moved to Sweden and who was going to be a father. He was married to a Swedish girl. He lost his father's quota because he was a Northman in Sweden. There are fathers who have rights. His wife was Swedish and had no rights. As a result, he lost the opportunity to take out a family allowance. My conclusion is that in the interests of Nordic coordination of the rules, Norway should establish its own rights for fathers as soon as possible. Does the Council agree that this is urgent and that it will facilitate the situation of small children's fathers in the Nordic region?
ParlaMint-NO_2002-05-29.ana.ud356e1688	I agree that this is urgent. And as I said in my first post, we're going to have a work related to just this. We're going through the birth grant scheme. It's been at the hearing, and there's actually quite a number of changes that lie there, waiting for us to sign out. The whole of this work will be carried out in the autumn and some amendments will be proposed that are in line with this. I am very happy to be the Council of State in a government that has actually taken this seriously and already agreed that we should change this.
ParlaMint-NO_2002-05-29.ana.ud356e1695	Questions 18 and 19 have already been answered.
ParlaMint-NO_2002-05-29.ana.ud356e1701	I allow myself to ask the Social Minister the following questions: ‘The address book states that there is a high number of drug addicts on Inherred in the North Troth Layer and that many overdoses and deaths are feared in the summer. At present, Nord-Trøndelag has very few treatment/detoxification options available to drug users in the county. In my view, this situation is very serious. Will the Council of State take a closer look at this situation?’
ParlaMint-NO_2002-05-29.ana.ud356e1710	Yes, I will. I am familiar with the alarming situation of many drug users in the Inherred region through several contacts with me and direct contact between the Department of Social Affairs and the municipality of Verdal. Inherred is one of several regions reporting major and growing problems due to just drug abuse. The background is the large, international, illicit production of drugs that has also hit Norway in the last decade through access to a lot of drugs at lower prices than before. Long-term heroin use was mainly concentrated in the Oslo region. In recent years, the great approach has been, among other things, to: Heroin at lower prices has led to geographical spread, so that, unfortunately, heroin is now available throughout the country, even in the smallest places. One consequence of this spread is that the number of overdose deaths is increasing outside Oslo, while there may be signs of stagnation or decline in Oslo. In addition to the prevention of drug problems, the government is committed to ensuring that drug users are treated as well as possible. That is why we have launched an assessment of the response apparatus for this group of disadvantaged people and of how the different parts of the response chain should be organised in the future. From 1 January of this year, the Ministry of Health has been given a significant responsibility for the healthcare of addicts, and the allocation of low-threshold health measures and medically assisted rehabilitation has increased significantly. It is the municipal social service that has the primary responsibility to provide help and treatment to drug users. If non-daily care services are inadequate, social services should provide room for appropriate treatment or care services. Where the need for institutional space is not met, temporary measures shall be provided for by the social service. However, the social service is not just about responsibility. Local health services, somatic institutions, mental health protection and other parts of the administration have a responsibility towards this group. There is a great deal of experience to find appropriate arrangements in well-organised, inter-territorial and interdisciplinary cooperation on the individual needy. For smaller cities, the major and fast-growing problems with, among other things, many injecting drug users are a challenge that has come up in a hurry. I have therefore started a survey of the situation across the country and want to develop good models of a comprehensive and comprehensive response chain locally with cooperation between all relevant agencies — state and local authorities — which can both help prevent drug problems and ensure the necessary treatment provision and after-care for former drug users.
ParlaMint-NO_2002-05-29.ana.ud356e1725	I thank the Council of State for the answer. I am very pleased that the Council of State has now started monitoring measures in cooperation with the county councils. In Verdal there are 100 heavy drug addicts, and the municipality can afford to provide only three of them with treatment in the current year. There are several municipalities that are really struggling to make full, good offers. Until the drug notification arrives, there is a difficult situation. So my question is, how can we solve the problems we have until 2004? And what can the Council of State do so that perhaps more municipalities can enter into intermunicipal cooperation to solve the major challenges they face?
ParlaMint-NO_2002-05-29.ana.ud356e1736	Finding good local solutions is crucial. It is also the municipal social service that has the primary responsibility to provide help and treatment, but also in cooperation with others. Yes, it is positive if the municipalities – where it is appropriate – can work intermunicipally. In addition, it is important to be able to have an intervention service and an engagement chain in each municipality that involves not only traditional social and health services but also those on the labour side, the justice side, church and culture, voluntary organisations, healthy young people, drug addicts themselves and their families. This has come quickly in smaller cities and small places, but yes – intermunicipal cooperation is important. In addition, I also believe it is important to make use of the supervisory authorities in relation to the right of appeal and the right to appeal, and that solutions are also widely sought.
ParlaMint-NO_2002-05-29.ana.ud356e1743	The Health and Social Manager of Verdal has now stated that Nord-Trøndelag County does not comply with the law because they have not established their own detoxification offer. At my discretion, it is very serious that several county councils in the country break the law in this way. What can the Council of State do in relation to the control of these municipalities, and not least the county councils, which commit clear crimes?
ParlaMint-NO_2002-05-29.ana.ud356e1750	What it's possible to do is, first of all, to clarify who has the actual responsibility, and that's the municipal service. Then you have to work internationally. In addition, it is necessary to use what is available in relation to supervision and judicial remedies. We are in the process of working on this by looking at capacity, organisation, responsibility and a whole chain of measures, so that you do not get into the situation where you say that this is my table, but not yours, etc.
ParlaMint-NO_2002-05-29.ana.ud356e1758	I would like to ask the Minister for Economic Affairs and Trade the following questions: ‘Braathens added is shaken by the fact that they do not have the same access as added to SAS to continue working as a ground crew after SAS bought up Braathens. What view does the State v/State Council share on this, and will it take any initiative to influence this?’
ParlaMint-NO_2002-05-29.ana.ud356e1767	In May 2001, the SAS group agreed to purchase Braathens. Aviation in Norway is now undergoing a major transformation. The route offer is converted, adjusted to demand and coordinated, operators are seeking to improve capacity utilisation and the pricing system is changing. The SAS Group seeks to find the most effective and rational way of operating in all areas. From the SAS management, it is informed that Braathens will remain as its own carrier in Norway, with its own aircraft and staff. In order to ensure profitable operation, the costs of the ground services required by Braathens shall be significantly reduced. This is achieved by rationalising the operation. Some of the most obvious effects are achieved by going from double and parallel operating organisations at aerodromes to one operation to serve both airlines, both Braathens and SAS Airline. In particular, there are four areas where double organisations are to be avoided: ticket sales, cargo, technical services and ground handling services at aerodromes. The development of the most efficient operational solutions is organised in a project involving both Braathens and SAS Airline, under the direction of the SAS group. While rationalisation has been expected to lead to plurality, SAS has also stated that a responsible human resources policy will ensure that the need to implement redundancies is minimised. SAS argues that the consequences of labour law differ depending on the solutions adopted. For ticket and freight operations, organisations are merged and then the abundance is resolved. However, groundhandling services at airports must be provided by one organisation and within the SAS group this is Scandinavian Ground Services, which is a separate business unit and provides services to a number of airlines both inside and outside the SAS group. The coordination project has assessed different solutions, but there was no agreement on solutions that provided sufficient savings. However, the SGS offered Braathens an offer to take over their ground operations, saving Braathens more than 100 million. kr per. for the SAS group of around 260 million. kr per. years. At the same time, Braahten's "management" was empowered to discuss human resources policies with its trustees. The SAS Group has experienced significant losses in its operations. As a manager of the state’s shares in SAS – and in many other Norwegian industrial companies – it is in my opinion – and that is my position – that it is up to the board to help achieve profitability in the company. Of course, I expect the company to comply with the law and the contract work, and I have been informed that in the SAS/Braathens case, among others. disagreement on the legal solutions. However, this is not my question to go into detail and solve, but it is the parties involved on the company and employee side that have to take care of this themselves.
ParlaMint-NO_2002-05-29.ana.ud356e1782	I thank the Council of State for your answer. I believe that he is well informed about the matter. I assume he has had contact with someone in SAS to get this information. What's interesting to know is whether he's given any advice in relation to the transition and integration in general, but above all whether he's given advice on the management of the Braathens-additions. It is important to have a strong group of strong ‘daughters’. In my opinion, SAS has shot itself in the foot and got a lot of resistance in the Norwegian people because of it. This can cause big problems. They actually have big financial problems for the time being, they're losing money, and then I'm wondering if the government doesn't see it as a task to give them some advice to deal with this a little bit better?
ParlaMint-NO_2002-05-29.ana.ud356e1791	I was about to say that the problems aren't big enough in SAS if they weren't able to afford them from the Minister of Industry? Of course I'm not going to say that. What I can say is that I've had a meeting with SAS. We have two in the board, we have the chairman. I've had a meeting with the group leader of SAS and with the chairman of SAS. That meeting went on, was to get a briefing at the time of what was the situation as it was assessed and viewed by management. I did not advise the management of SAS on how they should handle the details of that process, and I do not intend to do so either. My job is at any time to help SAS have the best possible control. I have full confidence in those elected to the board as a whole, and I assume that they give the necessary advice and not least the instructions to the management of the company.
ParlaMint-NO_2002-05-29.ana.ud356e1798	I thank you again for your answer. It's a little unfamiliar to me that the Council of State is so modest when it comes to his own influence – but let go. I record that he has been in contact with the top line, and therefore not with them adding their representatives either in SAS or in Braathens, as this is the case. But I want to address another question, and it's true with a business transfer. We also have a role as the governing power with regard to making rules that take care of adding when businesses are overtaken, as is the case in this context. And then I'd like to ask, "Does the Council of State think it's right not to use the rules on the transfer of business in this matter?" And if he thinks it's right that they can't be used, will he take an initiative to change these rules so that they can't be circumvented by separating actions, as SAS has now done?
ParlaMint-NO_2002-05-29.ana.ud356e1807	As the representative says, the authorities have a role, yes, it's actually that the authorities have more roles. One of the roles is to be the owner of the shareholding we have in SAS. That's what's my role. It is then that the Stortinget has a role to play in creating a law on shares that is understandable to Norwegian companies, so that when transferring companies, mergers and any transfer of business, it has to have a law that is as clear as possible. But it will always be that there are some cases where there is disagreement about the interpretation of what you're doing. And that's the situation you're in now, and then we also have authorities that have a role, namely the judiciary, to decide whether it's one or the other thing that's happened. It's not my role to clarify it, and it's not my job to give advice. Nor do I intend to interfere with the disagreement between these two companies, whether there is a transfer of business or not.
ParlaMint-NO_2002-05-29.ana.ud356e1815	I would like to ask the Minister for Transport the following questions: ‘It may seem that the legislation for refurbished cars is not good enough. The age of the car determines the safety requirements for any conversion. If the car is old enough, you get rid of it, for example. to install safety belts when mounting more seats. Is the Council of State satisfied with today's legislation, or will the Council of State take a closer look at this?'
ParlaMint-NO_2002-05-29.ana.ud356e1824	I am not satisfied with today's legislation, and I have, among other things, in the light of the Russian car accidents of the year, work has been undertaken to consider what can be better done to ensure the safety of passengers. This will include, inter alia: be assessed whether rules can be laid down to prevent the conversion of older vans into large passenger cars or whether specific safety conditions should be attached to such conversions, for example. requirements for safety belts in all seating positions. I share Mr. Bredvold's commitment, and will focus on making rapid progress in this work, so that actions can be put into action before next year's Russian celebration.
ParlaMint-NO_2002-05-29.ana.ud356e1831	I thank the Council of State for a positive response. We have the same desire and goal to reduce the number of accidents. When you look at this a little bit big, you can do it, for example. be a little frustrating that when you drive a tractor out on an earth for a maximum of 30 kilometres, it is mandatory to wear a safety belt, but not in such cars as we are now talking about. This applies not only to cars that are being converted, but also to buses that have been downgraded from bus to passenger car. So I guess that's all I can say about it. I'm satisfied with the answer, and I hope we can have a dialogue on this, so that we reach the common goal that I perceive we have.
ParlaMint-NO_2002-05-29.ana.ud356e1840	I can only confirm that here we are fully in line, that we have a common goal in road safety work in this area. Here a work is started, and it's going to go on. The aim is to reduce the number of people killed and injured in traffic with measures like this.
ParlaMint-NO_2002-05-29.ana.ud356e1848	I will ask the following questions to the Minister for Local and Regional Affairs: ‘The County of Eastfold has put Fredrikstad on the observation list for new borrowings due to high debt. The municipality has therefore had to reconsider its investment plan, such as: involve the development of multiple kindergartens through private actors. The head of department of the county is now saying – in an interview in Fredrikstad Blad on 15 May this year – that ‘the municipality is running away from its responsibility if it leaves all the nursery facilities to private actors’. Which of these two different governance signals does the Council of State intend to deal with the municipality?’
ParlaMint-NO_2002-05-29.ana.ud356e1857	I am aware that many municipalities struggle to get their ends to meet, and that sometimes it may be difficult to follow the signals that come from the state. However, the role of the State is both to control the economic governance of the municipalities and to give signals as to what are important priorities for the municipal services within the municipal economic framework. The Ministry of Local and Regional Affairs is responsible for coordinating government governance signals towards municipalities. The county council plays this role in its own county with the Ministry of Local and Regional Affairs as the overall authority. In the event of a conflict between sectoral interests and coordination responsibilities, the county must pay particular attention to the consequences of law. Fredrikstad Municipality is subject to state control and approval of financial obligations, as a result of the decision of the Municipal Council to establish a financial plan in which the expenditure is not recovered. There can therefore be no doubt that the county has an obligation to ensure that the municipality has a balanced economy and that this consideration must prevail over normal objectives in different areas of service. In a situation where the municipality does not find any means to cover its expenditure, it is necessary that the State intervenes and uses the instruments provided. Fredrikstad Municipality has been told by the county to reconsider its investment plan. This is done to enable the municipality to establish a balance between income and expenditure. The municipality is free to give priority to the investment measures it can and will postpone. In this context, it would also be natural to consider other organisational models of services, including inter-municipal cooperation and/or the organisation of private actors. In sum: the control signal given is that it shall be balanced. In the opinion of this Council of State, it is not a matter of leaving it to private developers if they have a plan at the same time that the private developers actually take over part of the development of private kindergartens.
ParlaMint-NO_2002-05-29.ana.ud356e1870	I thank you for the answer, which was not surprising. I note that as the Council of State concluded, it is the negative signal associated with using private developers to get more kindergartens you can ignore in what has been said by the county council. A natural follow-up question will then be: Will the Council ensure that the State coordinates its steering signals? As the Council of State is well aware, there are many leaders – adopted in this Chamber under different majority and on proposals from different governments – who, in sum, at least for municipalities such as Fredrikstad and many other minimum income municipalities, are in reality impossible to meet with the income levels of these municipalities. It is of particular importance that the county also coordinate the steering signals so that there are no different and confusing signals from the regional state. This is not a new problem with this government. Let me just underline it, so that the Council of State can save time, against taking a rhetorical round on it.
ParlaMint-NO_2002-05-29.ana.ud356e1881	I think this has happened under all kinds of governments. The signals from individual sectoral interests can be strong and can also be propagated to the county office because of different sectoral responsibilities in this area. It is important that the county councillors coordinate the signals they receive from state authorities. There is one reason why this government supports what the Stoltenberg government did in relation to adding several of the state levels to the county. In the case of activities targeting municipalities, it is important to have coordination — not least when there are tight times and economic imbalances. I fully agree with the questioner that it is important. I also think it is important to admit that not only are there currently many, but too many leaders for which activities the municipalities are going to have, too many goals, which are currently out of proportion to the economy they have. Then what's bound by law becomes the most important tasks for municipalities that have difficult finances. At the same time, it is important for us to ensure that there is consistency between the expectations we provide to the municipalities and the means we make available.
ParlaMint-NO_2002-05-29.ana.ud356e1890	Then I would like to thank you for your answer and, to the extent that I end by saying that I am looking forward to the follow-up by the Council of State to what she concluded her answer with.
ParlaMint-NO_2002-05-29.ana.ud356e1898	I allow myself to ask the following questions to the Minister for Local and Regional Affairs: «In the context of a new research report, the Newspaper may disclose that 90 pst. of homeless children’s families in Oslo have a refugee or immigrant background. Strong and expensive rental market forces lone Somali mothers to the shelters. Children living under such conditions cannot be accepted. Evidence of such a situation shows that the municipality of Oslo does not fulfil its obligations towards a large group in the municipality. What will the Council of State do to overcome such unworthy conditions?’
ParlaMint-NO_2002-05-29.ana.ud356e1907	I understand the question so that it concerns both the situation of ethnic minorities in the housing market and the situation of homeless children's families. In order to avoid having children without a place of residence, we must primarily contribute to good housing solutions and to be able to take care of themselves in the housing market. Past reports from Civil Engineering show that one of the reasons why families with ethnic minority backgrounds have difficulties in getting owner-occupied housing is that they are discriminated against on the housing market. New housing laws are being worked on today. A ban on ethnic discrimination on the housing market will be proposed. I would also like to support the inclusion of a ban on discrimination in both the law on rent and the law on ownership. The government has in Ot.prp. No 63 for 2001-2002 proposed that the 10% rule, which currently allows municipalities to purchase housing for the allocation to disadvantaged persons, be extended to include non-governmental organisations with whom the municipalities have agreements. An extended access to the purchase of dwellings for the allocation to disadvantaged persons could mean a clear extension of the available instruments. I would also like to point out that the Government of the revised national budget proposes to increase the allocation of the housing allowance by 75 million. kr. This increase is provided for going to homes for refugees. The high proportion of refugees among homeless children’s families in Oslo is partly due to secondary migration from smaller municipalities. The new housing scheme, which began to operate in 2002, foresees that more people will be accommodated in central areas at the first time. This is in line with the wishes of the refugees themselves, and we hope that it will help to reduce secondary migration and thus give municipalities more control over the influx of refugees. The government has also started work on an action plan against poverty. Among other things, both measures to strengthen employment and action against families with children will be central. The Government will follow up the action plan and present proposals for action in the 2003 State Budget. In many cases it is not enough just to provide a dwelling. Some homeless people need follow-up or penetrating. The ‘Projekt bostedslöse’, a cooperation project between the Ministry of Local and Regional Affairs and the Ministry of Social Affairs, shall develop housing and service solutions that can be adapted to the needs of individual households. In the department we are now working to ensure that we get the immigration element, the refugee element, well into this residence project. The municipality of Oslo can probably answer for itself, but the report from Civil Engineering, to which reference is made, also points out that the total number of children at the hospital in Oslo has been significantly reduced in the last two years. This is partly due to the fact that you have managed to build up better housing facilities for the families with children. I would also like to stress that the figures currently available in the municipality of Oslo show that per cent. On April 30, it was about 30th. 506 people who lived at the hospital on a daily basis. Of these, 39 are children, and of the 39 are only one who has a private daily/overnight offer. The 38 other children live in the municipality of Deichmansgt. housing centres for refugees, which are therefore a housing facility that is adapted to families with refugee or immigrant backgrounds.
ParlaMint-NO_2002-05-29.ana.ud356e1918	I thank you for your answer. It is good for a person to go through the housing law systems, and also the possibilities of housing laws to receive various applicants for housing. But what's the starting point for a lot of people living at the hostel is that they're initially referred to the private rental market. And one sees that especially the Somalis, dark-skinned people, are excluded from this rental market. To the extent that they or the municipality are able to distribute dwellings from the rental market, it is only of a very short duration. What seems to be clear is that our market-based housing policy is not able to capture groups that are being pushed out of this housing market for various reasons. My question to the Council of State will then be: Will the Council consider facilitating a stronger regulated housing segment, so that it can catch up with people seeking housing who are currently having difficulties in the housing market?
ParlaMint-NO_2002-05-29.ana.ud356e1927	In 1996, we changed the main structure of housing policy by a majority based on the Right, the Advance Party and the Workers' Party, with the support of the Christian People's Party on essential parts of it. Then we went from directly subsidising the interest rate in the House Bank to using grants, just to strengthen the weak. And the housing subsidies and housing support schemes have been gradually built up in the years that follow. This government insists that it is the direct personalised grants, which were crystallised as the housing solution in 1995/96 following the initiative of a worker party government, which is the main instrument for this group as well. That's why we're concerned that the random influx into Oslo, which creates a high degree of instability through the secondary settlement, is reduced, because it's easier to use these types of instruments when you have better control through initial settlement. It is also the case that we are working through the ‘Project homeless’ to determine first whether it is a purely housing problem that a person has, or whether you have related problems, for example. by learning to live. In this context, homeless people have first priority over receiving housing allowances. And projects within this will receive housing grants.
ParlaMint-NO_2002-05-29.ana.ud356e1936	I thank you again for the answer. It is clear that subsidies to those who have difficulties in the housing market are important. But it turns out that it is not enough, that there is actually a need for a stronger and more clear segment with a greater degree of regulation, where the grant actually follows the apartment or the dwelling, so that through it you can build up a housing offer that can be offered to those who have difficulties in the housing market and who are actually being pushed out of it to a very large extent.
ParlaMint-NO_2002-05-29.ana.ud356e1943	By using housing grants, the municipality can either buy housing itself or provide housing grants, so that individuals who are believed to have problems with the connection can be permanently established. This means that you get a permanent dwelling using these kinds of measures. In fact, I think it is more important for those who are newcomers. All the regulations we have had on the housing market in the past show to a large extent not to help those who are newly arrived at a place, but to give a good entrance ticket for children to those who are already here. One of the problems when you went through, among other things. The effects of house rent regulation in Oslo and Trondheim were precisely that it was not the group that this is about, that was helped, but that it was among other things. were people who had lived there for a long time, or a number of young students who took over contracts that other older members of the family had previously had had. So it's not going to be a social tool. It will be an instrument for those who already have access to the housing market and who have wealthy parents or others to help themselves through the system that is. I therefore have faith in individual-based schemes that help young people, and which help refugees, not least, to get a permanent home.
ParlaMint-NO_2002-05-29.ana.ud356e1958	‘The Government asked the Government, in the context of the Cohesion Communication, to ‘help to end the use of accommodation as housing solutions for families with children and lone children and young people’. In spite of this, the Newspaper on 22 May is beating. fixed by several hundred children lived at the hostel. When is the Government planning to comply with the Storting decision?’
ParlaMint-NO_2002-05-29.ana.ud356e1965	It is a clear intention of the Government that children should not stay at the shelter. We recognize that we haven't fully solved this problem yet. But I want to say that this is a priority of the Government in the context of the action plan against poverty, and I believe that the figures from the Municipality of Oslo in the context of development show that we are beginning to achieve some of these objectives. I refer again to the numbers that I referred to in the previous question. It was per year. April 30, 39 children at the hospital. Only one of them has received a private offer. All the others are on what, according to Baugforsk and Dagsavisen, is a shelter, but which is a settlement offer just for relocations, before they can move out to other areas. It was not the intention of Stortinget to prohibit the provision of this kind of housing services to refugee families. In our opinion, it is important to get the children out of the shelters, but it is also important to offer them a satisfactory housing solution in the future. That is why we are engaged in a better housing and service provision for homeless children's families. A project is under way at Husbanken, where the aim is to test different solutions that can be used as a basis for a national strategy against homelessness. In the project, the seven largest city municipalities are invited, as well as the Church's City Mission, the Salvation Army and the Church's Social Service. In this context, it is important to sort out those who have a purely housing problem — a part of the immigrant families, because they experience racism in the housing market — and those who receive housing services. Some of those who come as refugees to Norway also need it to start living in Norwegian society. We have therefore, as I mentioned in the previous answer, proposed that voluntary organisations should also be able to acquire housing within the 10-pst rule for disadvantaged people. We are also working on developing concrete solutions for how to make it possible to live both homeless children's families and others satisfactorily in the seven municipalities participating in the project. Homelessness is an extreme expression of poverty and social exclusion, and it is one of the challenges facing the Government in its work on the action plan against poverty. Having a home and a fixed platform is important for the integration, contact and proximity of these children. Therefore, temporary solutions are not good. There should be lasting links with the community. We present the action plan in the autumn of 2002 in the context of the State budget, and it will include targeted measures to address the needs of both individuals and groups of the population with the worst living conditions — including housing policy measures.
ParlaMint-NO_2002-05-29.ana.ud356e1978	I thank you for the answer from the Council of State. I still think it's a little tame, because the number that the council just came up with, that 39 children live at the hostel in Oslo, was new to the day. That figure did not come with the government council when we asked for exactly the same thing a few days ago in connection with the revised national budget. But it's good that the number goes down. I am also pleased that the Council of State says at least that ensuring a stable housing situation is the best way to get out of poverty. The project that goes on homeless, in which the Church's City Mission and many others are involved, is aimed at, and the funds go very much to, people who have additional problems besides the fact that they are poor, while what was the conclusion of the report that the Council of State pointed out about families with children at home for permanent residence, was that to a substantial extent these people had first and foremost one problem. It was that they were poor, and it was that most of their money came from the social office. My question is: what will the Council of State do to contribute more money on this front, so that we can build more cheap dwellings in the municipalities, and also for that matter to the Church's City Mission, as the Council of State is for, and to which I am also positive?
ParlaMint-NO_2002-05-29.ana.ud356e1991	So we've proposed increasing the housing allowance and earmarking refugee homes by 75 million. kr in the revised national budget. Further increase in the housing allowance, which is just a subsidy to enable municipalities to acquire or provide direct grants to people in order to settle, will come back to us in the context of the Action Plan against Poverty and in the context of the State budget for the autumn. I want to stress that I agree that these numbers are new. We have asked for the figures from the Municipality of Oslo, and they are from their own report of April 30. It is important, however, that when starting from the Baugforsk figures, which were in the Newspaper, they also include a housing centre, which is a short-term housing offer, but which I think all political parties really think is good, namely Deichmansgt. housing centres for refugees, who have a large group of children living in housing, precisely because this is an offer that is settlement for those to move on out. That means that we need to have a certain degree of accuracy in the use of the numbers that are looking up. I don't think you should underestimate the second-hand housing problem that the Municipality of Oslo is facing. It creates very difficult management conditions, precisely in relation to housing.
ParlaMint-NO_2002-05-29.ana.ud356e2000	The issue of second-hand residence, referred to several times by the Council of State and also referred to in the report, is largely due to the poor functioning of first-time housing. The Council of State says 75 million will be allocated. kr extra to homes for refugees arriving, because there are several refugees arriving, who we are trying to settle around the country. But then there is a problem when the municipalities report that there is a need to allocate 300 million. kr in order to provide a proper place of residence for refugees, that the State is only willing to provide 75 million. kr. The municipalities even say that they consider withdrawing from the entire agreement negotiated by the State Council and the KS together. Then my question to the Council of State is two-part. One is — back to the basic question: When can the Council of State promise that the decision of the Storting may be fulfilled in the context of the balancing notification? The second is, what does the Council of State say about the problem of providing enough housing for people who first settle in?
ParlaMint-NO_2002-05-29.ana.ud356e2009	With regard to the issue of initial residence, the Storting can decide on this in the context of the review of the revised national budget and see whether they find room to give priority to this at the expense of other things. That's the dilemma you're always facing in relation to this. I would also like to remind you that there has been a huge increase in the appropriations for this particular purpose, and there has been a distortion of the appropriations from other types of groups to refugee homes in recent years, partly because we live in many – when the procedure goes faster, we get a greater pressure for some years – and partly because it looks like the municipalities to a greater extent rather than integrating into the usual housing market, now also buys and uses it. We're going to go through the figures that KS has provided, to assess how much we are going to automatically say to trigger new purchases of dwellings or the construction of dwellings, and how much one can count on the usual integration grant to cover housing costs. It's also part of the municipality that gets compensation for the boute poisons. So when we're going to be able to comply with the Storting decision, we have a municipal autonomy. It's the municipalities that's responsible. We work hard with guidance. Among other things, the Minister of Social Affairs has said that they will follow the example of Oslo in providing guidance, for example: quality agreements, which mean that, to the extent that we have to use the services offered by lucky people, there must be good offers for those who are there.
ParlaMint-NO_2002-05-29.ana.ud356e2024	I will ask the Minister for the Environment the following questions: ‘SFT presented an action plan for the pollutants brominated flame retardants. The plan contains a lot of positive, but exports of second-hand cars, PCs and other equipment that may contain large quantities of brominated compounds to the Third World are not mentioned. How does the Council of State assess the export of pollutants that brominated compounds in relation to the Basel Convention and will the Council of State take initiatives to regulate these exports?’
ParlaMint-NO_2002-05-29.ana.ud356e2033	The Government’s objective is to reduce significantly the emissions of brominated flame retardants by 2010. I am committed to achieving this goal, and the State Pollution Control Agency has now proposed an action plan to reduce emissions of brominated flame retardants. Many measures are proposed, both bans and restrictions on use, increased international work, public procurement policy measures, information measures and measures aimed at waste containing brominated flame retardants. This is a follow-up to questions previously raised in the Questionnaire. Exports of second-hand products, such as: cars and used electronic and electrical products, for further use in other countries, are currently permitted, even if exports go to the Third World. Such trade is in principle not regulated differently from exports of new products. Used products may be useful in other countries, e.g. developing countries, even if they no longer meet the requirements of Norwegian users, and it is important not to put unnecessary obstacles in the way of such trade. However, it is important that this does not become a shell for the export of waste and special waste. When the products are considered waste in Norway, we therefore base our waste legislation. This legislation goes beyond our obligations under the Basel Convention. We both have a ban on all exports of special waste to countries outside the OECD and a ban on exports of all waste for final treatment to countries outside the OECD. The reason for this is that we should not be able to solve our waste problems by exporting them to poorer countries. As knowledge of dangerous substances increases and knowledge of the content of such substances continues to expand the lists of types of waste considered as special waste. It is necessary to ensure that discarded products with high levels of hazardous brominated flame retardants are defined as special waste. An amendment to the special waste legislation planned to be consulted before the summer will clarify that discarded electrical and electronic products and car wrecks will be defined as special waste if they contain harmful substances. Both nationally and internationally, we will work to ensure that all products with high levels of hazardous brominated flame retardants are covered by the legislation. In this discussion on the waste problem, it is important to remember that the best thing would be if the products were free from brominated flame retardants and other pollutants. It is therefore essential to provide for direct user regulation and prohibition of the placing on the market — and export — of the most dangerous brominated flame retardants in solid, processed products, whether new or used. The SFT’s proposal for an action plan indicates that Norway wants to go further and is willing to go ahead in this area.
ParlaMint-NO_2002-05-29.ana.ud356e2046	I am very pleased with the last part of the answer to the Environment Minister, because this has been a problem that has been raised by environmental organisations in many countries, not least in the United States, where the technological industry has been bigger than here, and where the export of this type of waste, not least to countries in Southeast Asia, has caused major local environmental problems where these PCs, cars and other things have been picked from each other. There has probably been a technology to do what has been said about cheap labour, and where the safety of the special waste that has come out of these products has been very poor. I am very happy to hear that we will define things that contain large amounts of brominated compounds, such as special waste, and that this will not be allowed to be exported from Norway. Then I'm just curious to hear a little bit more about the time perspective for that. And then I hope that we can further cooperate on this in the future.
