ParlaMint-NO_2002-10-23.ana.ud1679e28	The representative of Steinar Bastesen will make a private proposal.
ParlaMint-NO_2002-10-23.ana.ud1679e1345	We will always have a dialogue with the municipalities about the costs of the services provided by municipalities in connection with a reception. This is a special reception, which is very different from most other asylum recipients. It is clear that we are going to have a fruitful discussion with the municipality of Moss about what additional loads had to come. Among other things, we pay. for both schooling and kindergarten places for those who are at the age of needing it. But at the same time, I would like to stress that I think the debate that has been in Moss is relatively rude. I also think the representative Hedstrøm's other questions here instead built up under a number of prejudices. I can't see that he has evidence of what he said related to receiving for the weakest, for the youngest and with the kind of crew that has been mentioned here. I think this bears a little bit of the impression that it gets nerdy up under hideous. We have to say that when there are children between 0 and 15 years of age without their parents in this country, our society has to take care of them and make sure that they have the rights they have in relation to the Children's Convention. It shall do so. A normal reception will not be satisfactory to meet the needs of these children.
ParlaMint-NO_2002-10-23.ana.ud1679e1355	I have a question for the Minister of Local and Regional Affairs: ‘In the municipality of Rygge, a landowner is refused to start the construction of the Heimdal area despite the existence of both a confirmed regulatory plan and an approved construction plan for the purpose. On the part of the municipality, reference is made to provisions relating to the extension measures, which are intended to be dealt with in the context of the municipal plan. The extension of the plot is therefore subject to final adoption of the municipal plan. Does the municipality have permission to refuse the construction application when it is in accordance with a confirmed control plan and approved construction plan?’»
ParlaMint-NO_2002-10-23.ana.ud1679e1364	This issue lies in the border country between planning rules and building rules, i.e. The role of the Minister of the Environment and my competence, but I will respond on behalf of both. Where a building application is in conformity with the adopted regulatory plan and the building plan, the applicant has the right to have the application granted. That's what's in the plan and building law is a so-called yes-law. However, it may be that the regulatory plan provides for step-by-step, so-called order-order provisions. If such provisions, e.g.: where there is a requirement that something else be built before the relevant field, it authorises the municipality to reject the application. Consequently, the application will not meet the requirements of the regulatory plan. However, I understand the question so that there are no such provisions in the regulatory plan that impede the development in question, but that the municipality is working on provisions relating to the municipal plan and that the new municipal plan has not been adopted. In such cases, the municipality cannot reject the application without delay, but it has the opportunity to prohibit construction and parts and therefore reject the application. In that case, the municipality has two years to take a new regulatory decision. If there is no prohibition on construction and parts and the application is in full compliance with the regulatory plan and the requirements of the Law on Planning and Building, Regulations and Statutes, the municipality is not allowed to reject the application.
ParlaMint-NO_2002-10-23.ana.ud1679e1375	I thank the Council of State for the answer, which I interpret positively. As I understand it, these things should be in place in the Rygge municipality, so that you can start building according to the code. And then the question of follow-up is: what will the Council of State do in this specific matter, so that the builder can accept his application for construction?
ParlaMint-NO_2002-10-23.ana.ud1679e1382	The Planning and Building Act gives the order of how to review a decision made by the municipality if it is considered invalid. The first will be to complain about the matter to the county council. If you do not agree with the County Council, you may refer the matter to the Ministry with questions relating to whether the interpretation of the law is correct or not. In principle, it is not safe for the Council of State to review municipal decisions, but there is a right of appeal in the Planning and Building Act, where the first instance – and therefore the main body – to appeal is the county council.
ParlaMint-NO_2002-10-23.ana.ud1679e1387	This may indicate that in such cases there may be an information problem in the municipalities, that the municipality does not actually know how to practice this legislation. So then the question becomes to the Council of State: are you willing to increase the information to the municipalities about how this legislation is actually going to be practised, so that these problems are avoided if private developers are refused to build on their own property without there being any real reason for this?
ParlaMint-NO_2002-10-23.ana.ud1679e1392	If it turns out that there is a recurring problem that there is a lack of information on how to interpret these rules, it is clear that we will look at what information is being provided today. But it is also the case that in these areas we are working on a new part on the regulatory agenda – we have a legislative selection under the Ministry of the Environment, the Plan Law Committee, which is preparing changes to the law. I do not see it as necessary that we start a great deal of information work until we may be able to implement new parts of this law. But we can ensure that in the information work on the new legislation that will come in a few years, we also include all the experience we have about mistreatment in municipalities, so that we can have a base where you can see how this should actually be interpreted.
ParlaMint-NO_2002-10-23.ana.ud1679e1400	This question, from the representative of Per Roar Bredvold to the Minister for Defence, will be answered by the Minister for the Environment on behalf of the Minister for Defence.
ParlaMint-NO_2002-10-23.ana.ud1679e1403	I have wanted to ask the Minister for Defence the following question, which will therefore be answered by the Minister for the Environment: ‘NSB has terminated the agreement with the Ministry of Defence providing military personnel with a discount on train journeys. In the worst case, the scheme falls away. What will the Council of State do to ensure that military personnel can still return to their home in a reasonable economic way, in relation to the economy of the Norwegian soldier while serving his/her duty of protection?’
ParlaMint-NO_2002-10-23.ana.ud1679e1412	It is true that the NSB has terminated the rebate agreement with the Ministry of Defence with effect from 1 January 2003. The Ministry will start negotiations with the NSB on a new discount agreement at the end of this month. The objective is to have a new agreement ready for a reasonable period of time before the expiry of the existing agreement at the end of this year. Cheap collective transport options have always been a good offer that soldiers have appreciated. There is also much evidence that improved rebate agreements and increased use of public communications have led to a decrease in the number of traffic-killed and traffic-damaged soldiers. The Ministry of Defence is therefore prepared to negotiate the best possible discount agreement for those under protection, and I am confident that the NSB will also take its share of the responsibility to ensure a continued favourable discount agreement. The Ministry of Defence is facing a negotiating situation, and I am therefore asking for an understanding that I cannot go into the details of this matter at this time.
ParlaMint-NO_2002-10-23.ana.ud1679e1421	I thank you for the answer, which in its simplicity I interpret as positive. The reason why I raised this question was that I wanted to raise the soldiers' corps to a level of stagnation, as the soldiers' woes and woes meant a great deal to the Advance Party and the undersigned. With a daily salary of over NOK 100, the costs for the soldiers by getting home on perm and back to the office will be of the utmost importance. This is, of course, about the safety of the soldiers, but also – and not least – about well-being and quality of life. Getting home regularly is of the greatest importance to the individual soldier, but I also think this will reflect on how the military service is performed. When you know that the soldier today, for example. have to pay NOK 118.50 on a trip-return Oslo-Bergen with a discount versus a whole NOK 1 186 without an agreement between the NSB and the Ministry of Defence, it says itself that without an agreement the return journey will not be possible as many times during the service period.
ParlaMint-NO_2002-10-23.ana.ud1679e1428	I fully agree with the representative of Bredvold that good conditions are important for those who choose to earn and who serve, their duty of protection in Norway. That is why the Ministry of Defence has also entered into these negotiations with the NSB after they terminated the agreement, with a view to reaching a good agreement for the soldiers also in the continuation. It must be that those who actually choose to make an effort for the defence of our country, in order to contribute to the defence of the duty of protection, must also have reasonable framework conditions. Having a good order in relation to the discount on the NSB I think is one element in this.
ParlaMint-NO_2002-10-23.ana.ud1679e1433	I thank the Council of State once again for the answer, which underpins the importance of the soldiers having reasonable ways to get home and back to the place of duty. The agreement expires on 1 October, with three months' notice, i.e. 1 January 2003. An agreement between the Ministry of Defence and the NSB must therefore be signed as soon as possible – and we have been given an answer to that – as the uncertainty as to what will happen with the discounts that are today will also reflect the everyday lives of the soldiers. The old agreement, i.e. the current one is from 1992, and I hope the new one is going to be closer to what is today, i.e. with large discounts for military personnel serving first-time duty.
ParlaMint-NO_2002-10-23.ana.ud1679e1440	As I also said in my first answer, the Ministry of Defence is working to negotiate the best possible discount agreement for those under protection. I also believe that the NSB will contribute to this.
ParlaMint-NO_2002-10-23.ana.ud1679e1455	This question has been withdrawn.
ParlaMint-NO_2002-10-23.ana.ud1679e1461	I allow myself to ask the Minister for the Environment the following questions: «I refer you to a look up in Hövågavias 16 October d.o.b. It appears that caravans are fixed as cabins. Recent reference has been made to repeated circumvention of legislation in relation to the coastal zone. The Minister for the Environment talks a lot about the protection of the coastal zone, but has so far chosen not to intervene in relation to municipalities that break the law. Will the Council of State continue this passive attitude when we see the spread of illegal ‘coastal cabins’ along the coast?’
ParlaMint-NO_2002-10-23.ana.ud1679e1470	The accusations of my inaction in the coastal zone management fall on its own unfairness, and I can't see that the representative Klungland has coverage for his claims in this question-time question, without going into any detail on that particular point. There is a broad consensus in Stortinget that we should have a strict practice for building in the 100 meter belt along the sea, which I am responsible for following up. The need for strict practice was pointed out in my letter of 8 March this year to the coastal municipalities, the county councils and the county councils. Here I underlined the responsibility of the municipalities to manage the beach areas in line with national interests and asked the county councillors and municipalities to ensure that the national guidelines were followed. I note with interest that the representative of Klungland in a statement in the Agderpost just refers to this letter, while in the question he claims that the Ministry of Environment acts passively. I can also mention that the Directorate for Nature Management has made an extra effort over the past few years to improve guidance and information on the beach zone. Among other things, there is a separate manual on law in the beach zone that gives the municipalities good help in the work on these matters. It is the municipality that, under the Planning and Building Act, is responsible for the spatial planning and treatment of individual items, including in the coastal zone. The State shall contribute to this work and shall ensure that national interests are safeguarded – shall simply address what is not in line with the national leadership. It is also the responsibility of the municipality to enforce the Law on Planning and Building, and it is the municipality that has to assess the question of circumvention of the rules and possible responses to illegal measures. If a municipality fails to respect national interests in the coastal zone, the county may intervene. I think the above-mentioned case of caravans illustrates that the regulation plan should not be done from the Storting estuary, but in the municipalities that know the local conditions. My responsibility is to ensure that national policies are followed, while concrete follow-up must take place in the municipalities and in the counties.
ParlaMint-NO_2002-10-23.ana.ud1679e1487	I thank you for the answer, and I think it is actually a good word that the Council of State comes along with the beach zone problem. But the problem must also be seen by the Council of State. When we processed the outdoor message here in the house, the council said he would follow closely what was happening in the beach zone. In a case in Westfold in the summer, industrial activities were built and cabins rented to feed the beach zone. Then we've shown the seabu issue in Kristiansand, and now camping cabins in Lillesand. So even if you trust local authorities and local authorities to do the job, it turns out they don't. The Council of State has the overall responsibility for the law being followed up, and then I would have expected that he had been more active in relation to the department actually intervened against the statesmen.
ParlaMint-NO_2002-10-23.ana.ud1679e1492	I have full confidence that our statesmen will intervene in matters of national character and national interest around the counties, if these are matters that are contrary to law and order. In New Hellesund, Søgne Municipality, as the representative of Klungland knows, I said no to new cabins this summer because it was contrary to national 100 meter legislation. I also had a similar case in Eastfold, which ended up on my table because it was an objection, and where I stopped some plots because it was contrary to national policy guidelines. But there's a lot going on around our municipalities, and we can't let Stortinget evolve into a planning and building council where we discuss individual matters. However, when national interests are out and going, the county officials have a mandate to bring these matters to the attention of the central authorities, so that we can decide. In the particular case referred to here, there are some caravans standing on a campsite, which have not been responded to by the county and not by the municipality.
ParlaMint-NO_2002-10-23.ana.ud1679e1497	The problem here is that it's not regulated as cabins. The state council may have said no to cabins, but it is regulated as fishing bows, sea arches, caravans and economic areas, and that is precisely what shows that it is a violation of the law. We're now referring to single examples, but we're referring to many single examples in a row. Then I had hoped that the Environment Minister would have realized that it is not just a case, but that it is a circumvention of the law that takes place in the municipalities, and that he had taken responsibility – the overall responsibility he has – for the law to be followed up. In fact, I expect the Minister for the Environment to do that.
ParlaMint-NO_2002-10-23.ana.ud1679e1502	At that point, I am not going to disappoint the representative of Klungland. That's also why I sent out a letter on 8 March this year stating that the starting point is that it should not be built in the 100 meter belt in the beach zone. Derogations may be granted and may also be made through regulatory changes, but the State may intervene if national interests are out and out. In the case of the arcs of Flekkerøy outside Kristiansand, it is underlined that if the arcs are used for purposes other than those to which they are regulated, they are contrary to the law. But I can't run around like sea bouncy police and check if people live in a naus that's regulated for fishing purposes. This must be taken care of by the county officials and municipalities. As regards this question, it is a caravan that the representative of Klungland believes you have taken off the wheels and therefore it is considered to be a cabin. Then you say locally, if you take my cart, I move to Sweden. With such plays, the Workers' Party has played out its role towards the public. This says the leader and chief trustee of the Municipal Council of Lillesand, who believes that I should not interfere with it. But I have full confidence that the County Council in East Agder will intervene if these caravans are developing into permanent cabins.
ParlaMint-NO_2002-10-23.ana.ud1679e1509	Then we go back to questions 12 and 13 from the respective representatives Harald T. Nesvik and Siri Hall Arnøy to the Minister of Labour and Administration.
ParlaMint-NO_2002-10-23.ana.ud1679e1516	I will be allowed to ask a question to the Minister of Labour and Administration: ‘Joint association of oil workers [[OFS]] What has the Council of State done in this matter after this has been made known?"
ParlaMint-NO_2002-10-23.ana.ud1679e1525	In line with the wishes of the Storting, an independent investigation commission was set up in March 2001 to assess all aspects related to diving in the North Sea oil industry during the pioneer period. I would like to stress the importance of the Commission's independence. The mandate states that the Commission shall, inter alia: have to assess whether anyone can be blamed for any damage caused by diving and whether there is a legal basis of responsibility for the authorities or other actors. Independence in relation to this mandate is necessary and essential, but of course not unproblematic. The independence implies that the ministry must avoid interference with the Commission's work to an even greater extent than is usual. It was considered that the Commission should ensure good dialogue with all stakeholders, including representatives of divers. The mandate of the Commission provides for the establishment of a Contact Forum of the social partners. OFS and NOPEF were among the organisations invited to participate in this forum, which were intended to serve as a professional expert group to assist the Commission. I note with regret that these organisations found reason to withdraw from the cooperation, and I have notified the OFS in a letter dated 16 May 2002. In the light of the Storting Decision of 11 June 2001, the North Sea Diving Alliance has been granted observer status in the Commission. I note that the alliance has withdrawn from this cooperation in a letter dated 1 October of this year to the Committee of Inquiry, and I regret that the North Sea Diving Alliance does not see fit to use its observer role. The department's agreement to the Commission is to underline the importance of completing the work now. Therefore, before the summer we asked for an interim report which was submitted at the end of August. We have also stressed to the Commission that a final report must be submitted by the end of the year. I believe that it is now important for all parties that the investigation commission has completed its investigation work in the short time that remains. But to sum up my answer to the question: The fact that the investigation commission is appointed by the government does not mean that it is the government’s tool – on the contrary in this case. I will therefore not interfere with or oppose the Commission's work along the way.
ParlaMint-NO_2002-10-23.ana.ud1679e1544	The facts of this case are that a recurring theme in this room is exactly what goes on at the Investigation Commission and its work. I have also read the preliminary report that has come from the Commission, and it is certainly useful if you are interested in knowing what kind of diving has been done in the North Sea, but it is at least not in line with what the Storting asked for in relation to the investigation commission. So I really hope that something comes out of it when you're going to make your final report by the end of the year. What's the problem is that now there's expertise, the people who've been involved in this oil adventure -- or I was saying the oil monster -- pulled out. Who is now going to help the Commission with the expert opinions and to assess the material collected? Doesn't the Council of State see that this is going to be a huge problem because you don't have that competence inside the Commission?
ParlaMint-NO_2002-10-23.ana.ud1679e1551	I can unfortunately just repeat what I said. And to make the issue even clearer, the mandate of the Commission is that the Commission should consider issues such as: may affect my own department. If I intervened in any way in the Commission's work, I would make that part of the job impossible for the Commission. So no matter what I think or don't mean about the Commission's work – and I also mean that the Commission is very competently composed – it would be wrong for the purpose of the mandate and scrutiny if I interfered with the Commission's work. It is independent for reasons of integrity, inter alia: in relation to the examination of my own department, which means that I must have an arm's length distance from the Commission.
ParlaMint-NO_2002-10-23.ana.ud1679e1556	I understand the government's problem, and that's one of the reasons why I've asked questions along the way: Why has it taken so long to get a trial in relation to what the Stortinget asked for? Why did you have to go along in the process and change what was on the terms of reference of the investigation commission, precisely to examine all matters and over a longer period of time? Why did the Storting have to go in and say that the Commission should be further expanded with diving skills? – That’s exactly why you’ve asked a lot of questions. I also think it's in the ministry's interest that the result that comes out of work is in line with the actual situation. Then you actually need an expertise to evaluate the information you've collected, and that's what you've lost on this. In conclusion, I hope – as the Stortinget has taken the initiative in this Commission – that the Council of State can confirm that the Stortinget will be presented with a broad review of this case and access to all documents that will be useful to assess what has emerged.
ParlaMint-NO_2002-10-23.ana.ud1679e1565	It is clear that we are going to do everything we can to meet not only the Storting's request, but the Storting's intention with this review. It is clear that this review is intended to reveal the facts, and it is clear that the results of the Commission’s work will be presented to the Stortinget in an appropriate manner.
ParlaMint-NO_2002-10-23.ana.ud1679e1574	I have the following questions for the Minister of Labour and Administration: ‘In a letter to the Control and Constitutional Committee on the Examination Commission for the Exploration of Pioneer Divers, North Sea Divers The Alliance states: ‘A very few divers have received their explanations for reading or submission for reading. Explanations/certificates of divers are not verifiable and thus not quality guaranteed.’ If this results in correctness, what will the Council of State do?’
ParlaMint-NO_2002-10-23.ana.ud1679e1583	As I mentioned in the reply to the representative Nesvik, Stortinget stressed that there was an independent investigation of the diving during the pioneer period, and that the Commission was perceived as independent of the parties and interests involved. And as I also just said to the representative Nesvik: as the responsible department for security in the petroleum industry, the Ministry of Labour and Administration could also be a party to be examined. For the sake of any problems of stability, I neither can nor will instruct the Investigation Commission. This applies both to the working form and the working method of the Examination Commission, to what should be examined, to whom meetings should be convened, etc. But I assume, of course, that the Commission follows the rules that apply to investigation commissions. I would like to point out once again that the investigation commission is now in the final phase of its work. The report shall be submitted no later than 31 December of this year and it is of major importance that the review Commission is now to be completed. I think all parties will be worthy of that.
ParlaMint-NO_2002-10-23.ana.ud1679e1590	I thank you for your answer. I agree with the view that everyone will be well served with the work now to be completed. Nevertheless, I believe that there is a fundamental difference between interfering with the Commission's work and thus trying to influence the Commission's results, and trying to ensure that the Commission's working methods are such that the result is the best possible. I would like to ask the Council of State quite specifically about the claim that I have referred to in my question, that it is that not all the divers who have explained themselves to the Commission have got their explanation read up and signed this. Does the state council know if it's correct or not?
ParlaMint-NO_2002-10-23.ana.ud1679e1597	I don't know for sure. But one of the reasons why I am now concerned that the Commission's work will be completed is that we will have both the report and the supporting material available for the Commission's work, so that in full publicity and clarity we can both clarify what happened in the North Sea during the pioneer period – that is the important thing – and see to what extent all parties have actually been given the opportunity to comment.
ParlaMint-NO_2002-10-23.ana.ud1679e1602	I find that the Council of State obviously does not find this accusation so serious that this is something the Council of State has to check out. If the Council of State believes that checking whether this claim is correct would threaten the integrity of the investigation commission, I can only take note of it. But I would like to end by asking the Council of State if he sees that if the findings of the investigation commission were to be disputed, it would be a problem if it was not possible for others, historians, etc., to go into the basic material at a later stage.
ParlaMint-NO_2002-10-23.ana.ud1679e1607	It was Prime Minister Bratteli who said that it was not appropriate to address hypothetical questions. I think we're now well served to see what comes out of the investigation commission's work, to study the conclusions calmly and peacefully, and to the extent that the conclusions are controversial, get the search light on the matter as a result of their contentiousness. I think that the search light in itself can be important. In that context, if questions arise as to whether there is any material that some people believe has not been presented to the public, we must address that question when and if it arises.
ParlaMint-NO_2002-10-23.ana.ud1679e1612	Then you'll have your Question Time over.
ParlaMint-NO_2002-10-23.ana.ud1679e1623	Preloaded report is not present.
