ParlaMint-GR_2021-12-15-S1-commons.u1	Ladies and gentlemen, the meeting begins.
ParlaMint-GR_2021-12-15-S1-commons.u455	Close, Mr. Lionides.
ParlaMint-GR_2021-12-15-S1-commons.u456	I shall conclude, Mr President. We don't claim infallibility. Besides, the Prime Minister who is always present at all, he does himself where he needs his self-criticism in public. It doesn't hide anything under the carpet, it doesn't distort reality. But the catastrophe of the opposition, which always stands against all these major issues, seeking only temporary party benefits, will demonstrate that between populism and rational, reliable and responsible politics which the government is exercising, the citizen rewards its own attitude and behaviour for the benefit of the social community as a whole and the countryside. Thank you.
ParlaMint-GR_2021-12-15-S1-commons.u457	The speaker of SYRIZA, Mr. Vassilis Kokkalis, has the floor.
ParlaMint-GR_2021-12-15-S1-commons.u458	Thank you, Mr President. Ladies and gentlemen, we have to vote on the budget at the top of the health and economic crisis. Before entering the budget, let me refer to a major and important matter for the pandemic, a consequence of the pandemic, which has to do with our democratic community. Western societies are fighting for the resilience of the Constitution. They are struggling for whether the constitutional institutions will endure or not. It is a fact that restrictions have been imposed on our society, restrictions that have to do with citizens' movement - they have been found legitimate, they had to be judged legitimate - with business and other rights. The counterweight to these restrictions was, and is freedom of expression, pluralism, pluralism and pluralism. Otherwise, the state tends towards authoritarianity, as happened in Hungary. Unfortunately, the government amended Article 191, the offense of false news, and this counterweight does not exist. As he managed the pandemic, he divided society by just putting responsibility on the citizens without a single apology. Because it has been heard in this Chamber about the bombing, I shall mention the statement made by one of the two teachers. The two teachers are Mr. Tsiodras and Mr. Lytras. Mr. Lytras said in a statement: “We are losing patients who are expected to live if they were cured under other conditions. In addition, we have crystal clear and unacceptable health inequality between Attica and the rest of Greece." This, ladies and gentlemen, is it a horror? An apology to the Prime Minister? From this, the Step was moving the hand to the opposition, in the Qualified Opposition by saying that there are no studies. What's that man's name? How would this man be objectively qualified as a person who, while he knew, hid it or did he not know, was not informed?
ParlaMint-GR_2021-12-15-S1-commons.u459	Why don't you read the whole statement?
ParlaMint-GR_2021-12-15-S1-commons.u460	Because I don't read the whole statement! Because, as you said, it is also a matter of the budget.
ParlaMint-GR_2021-12-15-S1-commons.u461	Read it!
ParlaMint-GR_2021-12-15-S1-commons.u462	Don't interrupt, Mr. Comrade.
ParlaMint-GR_2021-12-15-S1-commons.u463	Mr Colleague, because I see it bothers you, the question is this: is what I read true or false? Do you want me to read it again? "We lose patients..." said the professor, "that they are expected to live if they were cured under other conditions." Did he say that or didn't he say that?
ParlaMint-GR_2021-12-15-S1-commons.u464	If there were any other circumstances! You're not saying that!
ParlaMint-GR_2021-12-15-S1-commons.u465	Apparently, it hurts you!
ParlaMint-GR_2021-12-15-S1-commons.u466	Don't interrupt, Mr. Stamenitis. Nobody interrupted you!
ParlaMint-GR_2021-12-15-S1-commons.u467	But you don't have the elementary. The arrogance does not let you at least recognize that situations are difficult, that you have made and made many mistakes. It would be more honest to tell the Greek people directly that we made mistakes. Instead, you split up and divide Greek society. I come to the economic and health crisis. As it turns out, the support of the ESS is much less in the budget that you are calling on us to vote on. You gave the health staff crumbs without any substantial support. As far as permanent staff are concerned, they are calling for integration into heavy and unhealthy. Thousands of contractors who work in health structures are struggling. You're not saying anything about them. However, since you keep saying that we are not talking about the budget and that we have no proposals, what does the budget actually say? At some point, this candy must end, that it is the international factor that is to blame for everything. You could have said that many months ago, but not now. Now, because of your indifference and inertia, the debt of businesses, small and medium-sized enterprises, it is called upon to pay the household for it. How is that possible? I repeat, the debts of small and medium-sized entrepreneurs are being called upon to pay for a large part of society, households, consumers. Why is that? Because small and medium-sized enterprises, ladies and gentlemen, have had debts since 2010, because of the memoranda. Then came the 2020-2022 pandemic and new debts were created, second generation debt. Debts are paid either by reserves or by an increase in earnings. Could a small and medium-sized enterprise have reserves? Oh, no. How can an increase in profits be made? With an increase in sales, which is difficult to happen nowadays, due to a decrease in the purchasing power of society. Therefore, a one-way increase in prices in goods now. The dilemma that businessmen have is whether to pay the old debts or to pay the currents for their business so that their business remains open? And it is obvious that they will choose the second solution, leaving the debts. So the government is in the dilemma and will find itself at the dilemma, but because its strategic choice is that there should be no small and medium-sized enterprises, and that is why it should, even in the peninsula, take measures to support small and medium-sized enterprises by deleting part of the debt. If these companies are closed down, they will be much higher than the cost of supporting them. That is what small and medium-sized entrepreneurs want to hear today. However, it seems that you do not have a strategic choice for the primary sector as well. Those of us who are from rural areas know that electricity is unbearable. Bad lies! Let's not hide! There will be up to 150% increase in the accounts. Our proposal is this: The only way for there to be a counterweight to electricity for farmers is to commit a network of the TEN for renewable energy sources for farmers. To commit a network, not to be an entrepreneur and to sell the power from PV, but to offset it.
ParlaMint-GR_2021-12-15-S1-commons.u468	Finish, Mr. Red. We don't have any more time.
ParlaMint-GR_2021-12-15-S1-commons.u469	I shall conclude, Mr President. What is going on today, ladies and gentlemen? There is a document from the TEN which seems to have rejected requests from farmers - I will produce it in the Minutes - for subjecting to the plans to improve the well-known net metering, due to overloading of a network. So I ask you, ladies and gentlemen of the government, why did you not provide for farmers to participate in what we say?
ParlaMint-GR_2021-12-15-S1-commons.u470	Mr. Red...
ParlaMint-GR_2021-12-15-S1-commons.u471	I shall conclude, Mr President.
ParlaMint-GR_2021-12-15-S1-commons.u472	No, you're not finished. Eventually everyone says so and never ends. Hang up, please.
ParlaMint-GR_2021-12-15-S1-commons.u473	'Energy democracy'. Because obviously the budget is two speeds...
ParlaMint-GR_2021-12-15-S1-commons.u474	Don't open any more topics, Mr. Red. You'll have other chances. Look at the clock and the time, please!
ParlaMint-GR_2021-12-15-S1-commons.u475	I shall conclude, Mr President. So because the budget is two speeds, one for the figures and the other for the citizens and because for the citizens there is no clear provision and because it does not favour the social majority, we are therefore voting against it. Thank you.
ParlaMint-GR_2021-12-15-S1-commons.u476	Ladies and gentlemen, you know that there are other colleagues who will in the end not be able to speak. But it is so late and the time that it cannot be accepted that each of you will be more than nine minutes. Excuse me very much, but there must be respect! For seven minutes, the Member of the New Democracy, Mr Ioannis Lambropoulos, has the floor. Here, Mr. Lambropoulos, you have the floor.
ParlaMint-GR_2021-12-15-S1-commons.u477	Thank you, Mr President. Ladies and gentlemen, for almost two years now, our country has been facing, as we all know, difficult and extraordinary conditions because of the pandemic that has affected all mankind. Health systems, even financially powerful states, have been shattered or some have collapsed under the pressure of the pandemic. Do we forget what happened in Italy, Portugal, Spain, Great Britain, France, the United States? There has also been a direct impact on the economies of the world. In all the states there was a recession, a decline in income, an increase in unemployment and many other problems. In Greece these two years, apart from the pandemic and its effects on the economy, we have and have to deal with the aggression of Turkey, which was manifested by migration and provocative actions in the Eastern Mediterranean, the Aegean Sea and Cyprus. Along with all this, we have had extraordinary events, such as earthquakes, fires, floods, extreme weather phenomena, damage to farmers' production, and lastly imported accuracy has been added, following international increases in oil and gas prices. Since the transfer so far, and no government in our country has had to deal with such problems and problems. The Government of Kyriakos Mitsotakis worked with courtesy and wisdom and managed to keep the health system, the economy, and also to organise the vaccination programme perfectly. He has given EUR 43 billion to support financially powerless, farmers and businesses, so that unemployment remains alive and does not increase. He treated Turkey's migration and provocative actions with coolness and determination. A large supply programme for spare parts and other systems was launched to enhance and upgrade the combat capacity of the country's Armed Forces. It provides high-tech weapon systems and creates a strong force to prevent, protect our peace and national integrity. He built and builds powerful strategic alliances and signs military agreements with powerful countries and neighbouring countries, such as the USA, France, Egypt, Israel, Saudi Arabia, the Arab Emirates, Jordan. It upgraded our country's strategic position and made it a factor of stability and peace in the wider region. At the same time, he went ahead with the reforms in all the structures of our state, in the economy, in the public administration. It has simplified procedures and created the conditions for attracting investment, increasing employment, even in the midst of a pandemic. It achieved a high growth this year of about 7% with forecast for over 4% in 2022 and coverage of all 2020 losses. Reduce taxes and social security contributions. With the Recovery Fund and the new NSRF, some EUR 70 billion will be set firm foundations and conditions for the long-term development of the economy, the national product and, of course, the improvement of the living standards of the Greeks. We are starting and planning road infrastructure, airports, floods, dams and many more in various key areas. The country's governance between 2004 and 2009 was planned and started building Greece's road axes, which brought growth and progress in the region. Today, also start road axes that were dreams of decades, such as the northern axis of Crete, ours in Messinia from Kalamata to Pylos and Methoni, Patra-Pyrgos and many others. We hope and believe to see the most important western axis of Kalamata, Chacona, Good Water, Tower that will end up in Yannina and that will change the look and bring great growth to all of western Greece. We envision an integrated road axis from Kalamata to Yannina, which, if combined with a maritime connection of Crete-Kalamata, will allow transport from Crete through Kalamata and Patras to reach Europe much sooner and more economically. With infrastructure, restructuring, aid for young farmers, organisation of processing and standardisation in the agricultural sector planned, we will give life and development to the countryside, as well as qualitative upgrading and increase in exports of our selected products, such as oil, raisins and Kalamas olives, which the Ministry of Rural Development owes to protect against competition from third countries, for example the Kalamata PDO. With the promotion of our cultural heritage, our natural beauty and the support of our tourism sector, we make Greece an international high-destination centre. Today, really, Greece is changing and modernising. We are gaining trust internationally. We borrow at zero or negative interest rates, we know our obligations to the IMF and we send a message of consistency and perspective for attracting large investment. Leave the crisis behind and move forward. This course is seen by international economic actors, by our partners in the European Union and by the Greeks who in each poll reflect their support and confidence in the Government of Kyriakos Mitsotakis. In this good course of our nation we call on all parties to be together in the great national objectives - I conclude, Mr President - not to be divided for micro-political reasons. The ideological strangles and populism in today's era, which have all changed, must be a definitive past. With wisdom we must build the new Greece, after the ten years of economic crisis and pandemic, in order to deliver to our children a country for which it will be proud not only of its history and culture, but also of its modern course and its future. Thank you. Merry Christmas.
ParlaMint-GR_2021-12-15-S1-commons.u478	Thank you, Mr. Lambropoulos. Mr Athanasios Kavvada will now be given the floor. Until Mr Kavada has spoken, we shall make a statement to this House. The Ministers of Health, Finance, Development and Investment, National Defence, Education and Religious Affairs, Labour and Social Affairs, Environment and Energy, Civil Protection, Culture and Sport, Justice, Home Affairs, Immigration and Asylum, Infrastructure and Transport, Shipping and Island Policy, Rural Development and Food, Tourism, Climate Crisis and Civil Protection, the Ministers of State, Deputy Ministers of Finance, Development and Investment, Health and Home Affairs, as well as the Deputy Secretarys to Prime Minister and Culture and Sport have tabled a draft law on 15-12-2021: ‘Agreements to counter the CIVID-19 pandemic and the protection of public health and other urgent provisions’. It shall be referred to the competent Standing Committee. Here, Mr. Kavvada, you have the floor for seven minutes.
ParlaMint-GR_2021-12-15-S1-commons.u479	Thank you, Mr President. Mr President, ladies and gentlemen, the 2022 budget is the third budget tabled by the Government of New Democracy. Both this and the previous 2020 and 2021 budgets were characterised by tax reductions, contrary to the policy of overtaxation that distinguished the previous government. Twenty-nine new taxes and twenty-nine pension cuts and contributions increased by the SYRIZA government in four and a half years. We have had an increase in rates, a reduction in tax, an increase in VAT and HPAI, abolition of tax exemptions, an increase in tax advances and, of course, an increase in indirect taxes that are also the most unfair, since they are horizontal and not proportionate. All this has been overturned by the Government of New Democracy in two and a half years, reducing the tax rates for natural persons and businesses, reducing the advance payment of tax, reducing HPAI and insurance contributions to the private sector, but also bringing tax and levy exemptions, such as the special solidarity contribution to the private sector and businesses and parent benefits. In the same direction, the 2022 budget, which has included new tax reductions, such as: The reduction of the tax rate for businesses from 24% to 22%, the second reduction made by the Government of New Democracy.The reduction in insurance contributions by three units.The extension of the exemption from the special solidarity levy for workers in the private sector, owners of real estate, farmers.The reduction of the advance tax payment for enterprises from 100% to 80% on a permanent basis and the reintroduction to 55% of the advance payment of income tax for business for natural persons and many other reductions in taxes. Ladies and gentlemen, in the face of this purely development economic policy, counter-population stands awkward. He tries to interpret the increase in tax revenues as a result of new taxes and when this argument is taken down, he sometimes turns to health issues, sometimes to social policy issues. I would like to ask the President-in-Office of the Council if he would like to make a statement on the situation in The Ministry's costs have continued upwards since 2019, reaching 5.3 billion euros this year, increased by 100 million. From the Recovery Fund 1.5 billion will be allocated to strengthening primary health, prevention and health structures. Along with the health costs of the other ministries, the total amount, which has been set aside for health, is EUR 11.7 billion, for the first time at 6.3% of GDP. We received five hundred seventy five IF beds and made them a thousand two hundred seventy-seven. Health units throughout Greece strengthened 12 thousand nurses and other staff, together with two thousand permanent and two thousand subsidiary doctors and continue, since 29% of total recruitments for 2022 concern health. Well, lame, health review. Does the criticism of counterpopulation stand about a allegedly lack of social policy and even through a global energy crisis? Here the Government of New Democracy has continued, as has been the first time in the health crisis. Support measures have been initiated since March 2020 to address the consequences of the pandemic of EUR 43.3 billion. These are measures that have kept businesses alive, measures that have income support for workers, measures that have maintained jobs and have retained unemployment. Now, in the face of this new international energy crisis, the government continues to show instant reflexes and act directly and effectively to support the real economy and households. Immediate interventions, the ones that have already been activated, cost 1.1 billion. Conservation of social cohesion is reflected in measures such as: State subsidy for all electricity accounts:Expanding the criteria for heating allowance to cover 80% of households.Suspension of network charges for all domestic gas consumers and the charge of public utility services for agricultural and industrial tariffs for five months. The additional EUR 250 aid to be increased by EUR 50 for each protected member to be paid to eight hundred thousand low pensioners. The payment to all beneficiaries of the minimum guaranteed income.The exceptional payment of half a monthly basic salary to health workers, EUR 43.5 million to a hundred seventy-three thousand disabled people. This argument is therefore also rejected. Taxation, health, social policy are areas where the government does what it needs to do when it is recognised by the citizens and reflected in polls. The opposition tactic adopted by the party of Officerial Response is a step in the gap. It is in complete misrepresentation with reality and public opinion. Ladies and gentlemen, EUROSTAT made information that Greece had the highest growth rates in the third quarter of the euro area with 13.4%. All this suggests that the budget forecasts that the growth rate for 2021 will move to 6.9% is rather conservative and will probably close by more than 7%. This means that in 2021 the Greek economy has covered GDP losses by two thirds, while the high growth rates for 2022, which, according to the budget forecast, will move to 4.5%, mark not only the full coverage of these losses, but also the increase of GDP as compared to 2019 by 1.7%. These calculations, I repeat, are likely to prove moderate. So the country's looking forward. It recovers the lost ground that the pandemic stole us. It passes through those who look back, those who have stayed in yesterday and walks towards the future with the support and, above all, with the confidence of the Greek people. The 2022 budget is a road map for a year on which, in response with readiness and effectiveness to challenges, we will develop a path towards growth and prosperity. I would like to congratulate the Minister of Finance, Mr Christos Stavoura, Deputy Minister of State, Theodoros Doulakakis, Deputy Minister of State, Apostolos Vesiropoulos, and their staff because for the third consecutive year they give us a budget - model social liberalism. The vote in favour of the budget is a vote of confidence not only in the government, but in the vote of confidence in the productive and development forces of that country. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u480	Thank you, too. The speaker of SYRIZA, Mr Hussein Zabeck, has the floor for seven minutes.
ParlaMint-GR_2021-12-15-S1-commons.u481	Thank you very much, Mr President. Ladies and gentlemen, we have completed two years since the pandemic began and in our country. In these two years the balance sheet is very hard: nineteen thousand five hundred casualties of our fellow people and over one million cases. We are now in the fourth wave of the coronary pandemic and, unfortunately, forecasts are not reassuring. In these two years, of course, science gave us a valuable weapon, the vaccine, in the fight against the virus. However, the government has failed to make good use of it and to convince the citizens of the need for vaccination, while sanctions for the invaders are having the opposite effect. In this insecurity climate, neither the economy has remained unaffected, since in 2020, when the state proved completely unrealistic for the health crisis there was a downturn of 9%. Thus, the growth planned for 2022, which touches 4.5%, is no reason to celebrate. Besides, the important thing is that notorious growth is reflected in the daily lives of the citizens, which is worsening due to the accuracy and generalised insecurity of income and jobs. The government, with its current budget, seems to be inconsistent with reality. It does not take any initiative to deal with the accuracy of energy, fuel and appreciation. At the same time, the budget cuts expenditure on support to enterprises on the grounds that the activities have been opened. However, the footprint of the 2020 recession has not been erased and it is a delusion that the government considers that there is no need for support. On the grounds that we're done with the pandemic, it takes away 12.3 billion from the real economy, now making the debts due. Also, while Greece is among the worst performings in dealing with pandemic, we see a reduction in the health ministry's budget by 820 million euros and a reduction in hospital funding and primary health by 360 million euros. While bed coverage in intensive care units reaches 98.2%, the number of cases and imports remains constantly high and we have almost every day a hundred casualties, the government whistles indifferently. Unfortunately, the pandemic will be present and in 2022. Therefore, the New Democracy's obsession with the pandemic as a temporary situation is at least dangerous. Besides, even if the pandemic expires soon, public health support is required not only as a reserve for the future, but because of the remaining needs of the health system left behind. The hospitals are currently operating almost monothematically to cover patients with COVID. It was a recent decision to limit regular surgery by 80%. All these needs are accumulated and it is at least pointless to think that we are heading towards normalisation. For the second year we see that especially things in northern Greece are out of control. A characteristic case is my prefecture, Xanthi, which has already been hit since the first wave of pandemic. A daily phenomenon at the General Hospital of Xanthi is now the hospitalization of treated patients outside intensive care units. As we all know, the intubation of patients outside the ICU is unscientific and accompanied by 87% increased mortality, as much as it hurts you, according to the study Tsiodra - Lytra, while in Xanthi, unfortunately the rate is higher. The intensive care unit of the General Hospital of Xanthi remains closed almost two years. Despite the existence of two intensifiers, the unit cannot function as the staff are not sufficient. Unfortunately, the General Hospital of Xanthi has collapsed and the issue has been raised many times. As heroic as the efforts of the hospital’s medical and nursing staff fall into the void without the necessary support of the hospital from the Ministry. The Ministry of Health is responsible for the collapse and the icons of impounded outside the ICU in Xanthi. He can no longer say that he didn't know or that we're living an emergency treaty. No extraordinary treaty exists since the Hospital of Xanthi is in this tragic position for two whole years. The situation has been consolidated, and even at a time of pandemic that needs are increased and although resources have been collected to support the hospital, there is no political will to encourage doctors to come to Xanthi and support our hospital. You have introduced the extraordinary gift, equal to half the salary, for the recognition of the health contribution to the treatment of the coronary. But you cannot understand that half the wage cannot compensate for either unpaid overtime or exhaustion from the continuous shifts. A capable reward, beyond money, would be to be recruited directly to hospitals, not only to share the burden, but to save human lives. In the meantime, we know well that it does not only affect the invaders and adults. It is estimated that about 1/4 of daily cases are minors. That means the dispersion of the virus in schools is great. However, the Ministry of Education insists on the measure of 50%+1, which is supposed to be enough to open schools safely. SYRIZA - Progressive Alliance we have tabled our proposals to address the issue. Immediately, the Ministry is required to recruit teachers, who were reduced this year to dismantle the departments. It is not meant to be stacked over twenty students per class. This puts themselves, their teachers and their families at risk. In the 2022 budget, it also appears that spending on education is well-established, despite the increased needs of tele-education. Overall, the government seems to live in a parallel universe of its own and underestimate the effects of pandemic, dishonesty and the wave of precision that drowns the Greek households. It calls for a strong recovery, but for society to be absent. Unfortunately for our society and our country, which is experiencing a health, economic and social crisis, we have the misfortune of a neoliberal government that does not believe in the public health system and the social state. More urgent than ever, the need for a change of course and for an alternative plan to exit from the health and economic crisis, with the EHS standing, with social cohesion and dignity, with the restoration of the democratic and labour rights that have been so affected by this government. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u482	Thank you, too. Mr Theocharis Theocharis, Member of the New Democracy, has the floor for seven minutes.
ParlaMint-GR_2021-12-15-S1-commons.u483	Thank you, Mr President. [[Applause from the SYRIZA wing]] I would like to ask for a minute's tolerance as well as as as a parliamentarian, if you would like, for a moment - because we have heard too much.
ParlaMint-GR_2021-12-15-S1-commons.u484	I do not understand what you said, Mr. Theochari.
ParlaMint-GR_2021-12-15-S1-commons.u485	I say I will ask for your tolerance for a minute, to speak a little outside of the budget, on the issues of the pandemic that have been raised...
ParlaMint-GR_2021-12-15-S1-commons.u486	No, Mr. Theochari. Look, you speak as a Member of the New Democracy, so you will be treated equally.
ParlaMint-GR_2021-12-15-S1-commons.u487	Mrs. Arabaji isn't here. I replace her until the end of the meeting...
ParlaMint-GR_2021-12-15-S1-commons.u488	Oh, no. Please warmly, just so we're all good.
ParlaMint-GR_2021-12-15-S1-commons.u489	In any case, we watched a show by a number of SYRIZA people, with Mr Triantafylides, at least for the moment I was present, for the management of the pandemic. First of all, I would like to put forward one of the latest papers on research from the Bertelsmann Foundation, which demonstrates that during the whole crisis, our country has one of the best positions in the management of the pandemic, and even one of the best positions among the most developed countries in the world and in the functioning of democracy during the pandemic. And we remember all of our SYRIZA colleagues telling us when the measures for the pandemic were taken in Parliament that democracy is not working in our country. And our country comes to be awarded in such studies about how it manages it abroad, and to listen to what we hear from the opposition. But I don't understand exactly if Mr. Triantafylides understands what he read in the study. Because what he has said and the data from the study, and all the apologies he has asked us to ask, are inconsistent with each other. Why does this study say? It says, for example, that while we have a thousand three hundred ICUs, out of four hundred and upward staff, it is not enough and we are starting and having problems in operation. So SYRIZA's proposal to make three thousand IF to what would help? Nothing. Apologise to SYRIZA for deceiving the Greek people. Does it matter whether the staff are permanent or temporary? If it's not enough, it's not enough for the staff. To ask for an apology when SYRIZA says the problem is the permanentization of the staff, to apologise when you mislead the Greek people about the circumstances of the ESS, when waiting at the SYRIZA SYRIZA was ninety METHs every year and without pandemic and when the state of the National Health System was ten times worse than it is today with the New Democracy. So I quote for the Minutes this post, to understand how much damage you're doing. (Theocharis Theocharis) Theocharis presents for the minutes the above mentioned post, which is in the archives of the Secretariat Department of the Parliament's Directorate of Stenography and Practice.) Ladies and gentlemen, the debate on the budget is a debate on the future and prospects of the country and I would like to go on with it. You are insisting on this deplorable opposition because you have no arguments on the budget. The budget put forward by the New Democracy Government supports our programme, the programme implemented by the government and is therefore clearly developmentist, clearly fair, a budget of responsibility, a guide to return to normality. The country has already entered a developmental orbit. Reforms, success in dealing with successive crises, the rapid reflexes of the government, which made people's sense of insecurity, have been the prerequisites for this development shift. The result justifies us. I'm presenting you with a final article with the UniCredit forecasts on the development explosion in our country. But the European Commission's forecasts also deserve us. In GDP we have the third best performance this year and the sixth of the year. We will be one of the first countries to recover 2019 GDP. In inflation we are the best country in Europe and you know that we can regain competitiveness when our own inflation is lower than the other countries. Of course, de-escalation is also evident in unemployment. I am therefore tabling all these diagrams in the Minutes. Our country succeeds, compared to other much more developed countries. These results are not random. It is a development that reflects the best performance of tourism this year. Contrary to every prediction and disprovement of the persistent risk of Officerial Opposition, tourism generates more than 10 billion euros. This shows the most recent data on the performance achieved by the tourism sector in the quarter to October, which makes me - if you want me personally - proud. At the same time, how does SYRIZA do? It says 'no' to every initiative of the government. Both with the vaccines and with the anti-vaccinators and with the opening of tourism and with the closure of tourism. Even in the bill that these days come to Parliament to vote and creates the pillars of strategy in the development of the tourist product, you say no. But the development, ladies and gentlemen, is done in terms of social justice. Recruitment in the health sector only accounts for 29% of total appointments. Here, then, is the lie of SYRIZA. That's how we respond to Mr. Chiodra's study. We are talking about at least six thousand new jobs. The funds for health are increased, however much as the people of Antipopulation are trying to mislead. Extreme funds, in fact, but also for the pandemic, remain available to the government and in 2022, so that support can continue wherever and for as long as necessary. The development, increased absorption of European funds, the new tools that we have put together, such as the Development Fund, allow us to finance policies with a social dimension, such as increasing the minimum wage, twice - we have heard before - that the minimum wage is not increased, in fact, I cannot understand where the criticism that we hear, if actually goes - the creation of the climate crisis ministry, a fair transition, strategic plans for equality or for vulnerable groups, but also increased needs in education and health, without increased taxes. On the contrary, we begin in 2022 with all the reductions, which we have already introduced, plus several further, the preventive measures for the accuracy, in which the Government of Kyriakos Mitsotakis proceeded decisively and, long before most European countries, so that the international wave of dishonesty does not get to threaten the income of the Greek citizen. You have already seen, in my graph, that the country has better protected its citizens than anyone else in Europe against this global phenomenon. What's SYRIZA doing at the same time? Without a beard, he's giving us the bleeding of the middle class! He's making spots for potatoes and lettuce, which have nothing to do with reality. You have come to vote against the law on penalties for negative parents who do not send their children to school. Listen,son-hearson! Where's your social sensitivity? How is these children's right to education protected, on the only supply, which will enable them to improve their conditions of life? Ladies and gentlemen, the budget we are debating is also a budget for responsibility, because in 2022 we will be called upon to change direction. We even leave back the memorial surveillance and go out on the markets. And in order to do this, we need a realistic budget. As soon as today's budget implementation figures show 1.1 billion overdraft of the deficit objective and imply growth perhaps by more than 8%. And what do we expect from you in Opposition? ‘No’ to all benefits and allowances. Ladies and gentlemen, in closing my speech, I will not fail to highlight certain features of the budget that have not been emphasised enough in our debate, because they are doing so with an innovation budget. For the first time, the logic of the performance budget is introduced, a deep political division, as expenditure is linked to specific action programmes, with concrete results and specific performance and evaluation elements. In this year the major road to the integration of the environmental dimension into the budget, the so-called 'green budgeting', began. By 2025, all budget programmes will have their environmental footprint integrated and therefore the country's policies will have green transparency. This is reform in practice. In conclusion, ladies and gentlemen, the Mitsotakis Government demonstrates that in the modern concept of the social state, in the modern concept of what is progressive, the predominant criterion is not a micropolitical one. On the other hand, everything is judged on the basis of the effectiveness of the measures and reflexes in real problems and at heavy time. As long as our government does this, as long as we do it, we are sure that our relationship with society is indisputable and inexorable. Our guide is always two principles: we said it, we did it and we developed it for everyone. That is precisely what we are implementing with the budget of 2022, the budget that lays the foundations for Greece of optimism, extroversion, self-confidence and progress. This Greece, which, in your negative vote, proves to be a disaster. Thank you.
ParlaMint-GR_2021-12-15-S1-commons.u490	And we thank Mr. Theocharis and we are finishing tonight with SYRIZA MP Mr. Konstantinos Markos. Mr Marcus, you have the floor.
