ParlaMint-IS_2016-09-28-159.u1	There's gonna be time for a meeting at the same time. 12,30-115 today.
ParlaMint-IS_2016-09-28-159.u87	A respectable president. Thank you. A senator's talk and particularly for calling attention to the position of the local members in this regard. Of course, it has been a relatively long period of time that the requirements for rural society in the ESAs may be far higher than the requirements for rural areas that are on the European side because of the much higher monitoring institutions in these small countries in the EEA than in the large European relationship. It aims to limit the options and leeway of the rural community when various projects are under attack. Therefore, I would like to ask the senator about the possibility of a community partner to form a business in his area or to have other such views that may naturally violate equality but still be able to be a strong subjective point of view, that rural management in some particular area makes it important to maintain a certain occupation or expertise in that area by doing business with it even if it did not provide the most favorable option. I'm curious about the limits of rural society to these changes, e.g. in such matters.
ParlaMint-IS_2016-09-28-159.u88	A respectable president. This is exactly a good point, and it was discussed on the committee that my communities, perhaps out in the country, would like to do business with someone in their territory, hopefully provided that the offer was good. We responded that men, for example, might think of some sort of process, but we did not get an extension. It's not easy to go around. If there are less than 49 million projects, the law is not valid, and when it comes to products and services, it is 15.5 million. It was a question of whether to increase this control point for the communities. On the contrary, the argument was that it would also have to be very professional to figure out what was being done for tenders, that would also be the interests of rural partners, and that it would be necessary to seek out the most favorable offer. This article was very confusing to me. Many questions arose. Therefore, I trust that the relationship will monitor the negative effects of these laws, e.g. on small rural areas, the legislatator will be informed, or perhaps this will change very little. But it was discussed, and these are really understandable views.
ParlaMint-IS_2016-09-28-159.u89	A respectable president. Thank you. The senator's answer. I wanted her to know if she thought it was a reason to call for this application into the panel between discussions at the end of this discussion so that it would be clear in the Senate treatment. The other thing I wanted to ask the senator about a delay in a lawsuit. I understood the senator so that it would not be necessary to worry that the case would delay action. But it would be good if the senator could explain the facts. I would have thought that if PGE were to make a deal for any incursion in the new activations or tours called and such an invitation would be charged with non-contractual agreements, it might require that in such agreements the local society or company be waiting to close the purchases until the court's lawsuits are made. This can cause delays in performance. First and foremost, I would appreciate the fact that the senator would go through this.
ParlaMint-IS_2016-09-28-159.u90	President. I understood that there were exceptional cases in which a lawsuit would delay action. It'll just have to be seen if that's the case. I felt that this was more about whether a person would face a crisis and would be upset to try this lawsuit and perhaps get some precedent out of the committee. It was considered, or it was said, that the reference height would be higher, i.e. The balance height that would have to be in order for this to be approved. Of course, if there is some mad suggestion between discussions, the committee will look to it. We received a good report from Reykjavíkurburg and from the relationship. We called for more data because we really wanted to look at this. But we did not really get an extension that we agreed on was good. It's like I'm saying, I'm especially on notice about this article because there are a lot of questions that arise. But I also understand that at some point, the law needs to go through. We can't sit here for more weeks to back this one thing when there's a lot more to wait for. That's what you're worried about right now, how many big cases are there at the council. This may be a good example of how much time can be needed in certain legal cases. I don't have anything else to say but that it's really gonna have to show if this isn't gonna work out.
ParlaMint-IS_2016-09-28-159.u91	President. I had no idea that my opinion of how the European Safety Guidelines are used as a technical obstacle in this country would cause the impressions of the European Union. I'm telling you the truth. If the speaker of the case addressed these comments with the strength that really be seen, I think it is necessary to explain my case a little further. When the European Union's internal market was established in the late 1980's, it was done by excluding technical business barriers within the so - called economic alliance. The Common Community was formed in 1956. There was to be a vacation store, and there were no barriers to carrying goods from one country to another. Still, people set standards for themselves, so French had special standards in various materials, Germans with others, and the third British. It prevented trade between countries. An internal market plan was then established on how to eliminate this. That was to be in force on January 1, 1989. This resulted in economic growth flying in Europe, as trade grew. There was a lot of optimism in the European economy back then. The manager of the case, huh? paritaprevir Gulsome Þór Þórðarson, says that the European Union is running around that some Directorates in Brussels obey special interests. One of the main markets, for example, after the bartering, so to speak, was the development of the technical business barrier. In the past, no airlines were allowed to fly without a special license. Each state issued a license for this airline or the other. I worked for the European airline. Who was in it? I think the airlines were twelve or thirteen. It was British Airways, Lufthansa, Air France, all these largely so - called national airlines, all more or less on the head. I got a job there because I had worked for the Fly Routes. We were in this relationship. Then, the evil manager of Brussels and the organization had a plan to eliminate these limits, this permission of individual countries to allow individual airlines to fly this route or the other. Then it was just said, 'Now the business life's over, and those who want to fly where they want to fly do it.' Let's see the flight today. Let's see the price of today's flight. About 20 or more airlines fly to Keflavík in the summer. This results in lower prices and increased tourism over a long period of time. Another example is that of the wicked apostles in Brussels. They canceled the government dedication of phones and communications. It was done in Brussels. There was only one company, British Telecom, and there was France Télécom, so there was one in Italy, and the phone was here. It was now the evil European relationship that brought it to bear. The governments were not satisfied with that. They wanted to keep it to themselves. But it was beaten through. Eventually, it is always the nations who agree to do things. Then we'll see how the phone company and telecommunications flourish today. The European cooperation has not been successful enough with the medicines. That's because the pharmaceutical companies in the world are very rich, like here, and they fight the most of all possible causes for this market to be free, just like another market. They have a point because drugs are dangerous. Therefore, special precautions must be taken. The pharmaceutical companies use these rules to keep markets separate. That's why drugs are so expensive. Well, it's probably because of a lot of other things, but this is one of the reasons. In Iceland, special interests keep drugs within this technical business block. There is nothing that forbids us, rather than Luxembourg, to use other pharmaceutical institutions. Luxembourg uses the Belgian pharmaceutical institution, and there's nothing against us to use them Danish. Nothing. If Luxembourg can do that, we can do it. That's all I was going to say. I think if these technical inhibitions of drugs were removed, there would be a reduction in drug prices.
ParlaMint-IS_2016-09-28-159.u92	A respectable president. First of all, because of the speech you were speaking. paritaprevir Valgerður's Bjarnadóttir of what has to do with the European Union, which I think is just good for us to talk about. This is a speech that may be a little old time. I got it. I got it. A senator to follow the discussion as it takes place in Europe today in connection with the blessing of the European Union. The European Union is a toll alliance. The idea is a great style. The idea is, we're gonna shut down, we're gonna be rich markets. That's why they say, e.g. Foreign politicians and have been doing this for years and decades: You must enter the European Union because you get everything but don't pay for anything. We have access to the markets. As for the technical business barriers, it is absolutely true that a great many of them were cut down with common markets. That was the rule. The drug is one of those areas where it was not made out of the influence of the lobsters.
ParlaMint-IS_2016-09-28-159.u93	...the security rules.
ParlaMint-IS_2016-09-28-159.u94	It's no safety protocol, it's nothing but nonsense. Do they really think that if we get drugs to go through the Danish Institute, it's a very dangerous thing because we're Icelanders?
ParlaMint-IS_2016-09-28-159.u95	No, of course not.
ParlaMint-IS_2016-09-28-159.u96	It's just a total bullshit.
ParlaMint-IS_2016-09-28-159.u97	I agree.
ParlaMint-IS_2016-09-28-159.u98	This is done only to keep medication under control and the reason why this is done is because the Commission does not depend on anyone, nobody chooses it. In fact, the people in the Commission are the people chosen by the Member States. Neil Kinnock is a good example, Peter Mandelson and this Juncker, who was written about correctly by me, I believe the business sheet to be the most dangerous man in Europe today. Maybe not quite the most dangerous, but at least it's hard to be a leader less fortunate than a fine man. The European Union is always creating technical business barriers to keep other products from the European market. Icelanders have it, e.g. If you buy American goods, and I don't know that they're toxic. For example, the last time I went to the United States, I didn't take food from Europe with me, I'm just a little loose with it, and the United States is not dying of eating American products that go through the American Food Agency, but here it is that if I buy a can of Heinz or whatever it is on it's a little note that shows 100 grams, content out of 100 grams but not, so I put it, a respectable president, a pretty president, a little perv. This is a technical obstacle to the development of the European Union in preventing competition elsewhere. I don't think any one would argue about this except for maybe two classes in Iceland who want to walk in the European Union and either try not to talk about it and push it down or watch the world as much as it is. There may be three of them. The European Union has never promoted a vacation trade at the International Business Institute because it is not interested. This is what happens: the Brussels company's due-to-do is to see the advantage of a lot of regulations, a lot of regulations, a lot of regulations, to keep the little partners away. This is well known, except perhaps when the Icelandic European experts, who are like EU cheerleaders here, voters, talk about things. This is a discussion that was for example. very prominent in the Bgretti election. True, it was never found in the Icelandic press because it was always interpreted by sources as much of the European Union fan as I am a fan of the British soccer team Liverpool, and I am a huge fan. On the other hand, if I come to football.net or anything like that, I'm entitled as one, as an admirer of Liverpool, normal. But when European experts appear in the media, they seem to be some objective European experts, which they are not. They're European fans. The fact is, the European Union is acquitted and sacred thing to set technical barriers to keep competition free. To illustrate: If we examine the conclusions that were made when you were pushing Iceland into the European Union, what did the Icelandic experts say about how this would affect them? Yes, if Iceland walked in the European Union, the prices would all rise. This is before we struck down the customs. The price of all products would rise outside the EU and not just that but we would have to increase the number of customs by several hundred. Hv. A senator's smile is in the chest. I'll show you what. This is the case with a senator. I didn't write it, I didn't write it. True, I thought that if we were to make some money getting into a customs alliance, we might reduce the number of customs employees. But there is something else. You can dream about the European Union and talk about things that are quite different, but there is a reason why the European Union's competitiveness is always going down. This was to be the most competitive region in the world in 2010, which is so far from being reached. If you look at the polls in the European Union and not just in recent years but for a long time, it's going down all the time. The biggest reason is that it doesn't matter whether this is the EU, just take as an example UEFA or FFA, someone who controls and is in great power, has no responsibility to anyone, is not elected by anyone, cannot be chosen by anyone, and the consequences are disastrous. I'm not celebrating. It hurts for us, and actually it just hurts for the whole world. A respectable president. Icelandic fans can try to create someone from the European Union as they please. But while people have access to the Internet, they can travel and read the media elsewhere, they can investigate these languages, which are relatively simple, there have been many reports and assessments in the European Union and Iceland. But it's like with many other reports, they don't want to talk at all, they should always talk about it. It's all there is to it. The European Union has been around for a long time, man can make up some fantasy stories and exaggerations about the European Union, but anyone who wishes to study it can. Men can learn exactly what I said and see if it's right. If someone wants to know the outcome of the Icelandic experts, who studied the impact on the Icelandic consumers if we are going to the EU, it is likely that we will do so and pass messages on to them. In fact, I'm going to do something about getting that message out, if you ever get to talk about the European Union with these people who are trying to get Iceland there, with the consequences they're going to have. There has been some lack of getting Icelandic members of the EU to discuss the issues in public areas other than in some of the things of no importance in the larger context. Here we go. paritaprevir Bjarkey Olsen Gunnarsdóttir, huh? paritaprevir Brynhildur Pétursdóttir. paritaprevir The Helgi of Hjörvar mixed in the discussions about rural society. I think it is proper to draw attention to what is stated on page 18. 3 of the Committee's opinion in the section Summits of Fundamental Committees and Authoritys on Business Partners, which says: It's the 23rd floor. The bill that deals with the weight set up is that of buying both the government and the rural society on the market and the service over 15.5 billion. K. and performed more than 49 million. K. can be offered in accordance with the shopping process of the bill. Other than this, social services are reserved, and other things. I have to admit, if you don't want to run for this money, I think it's a little special. The last time I knew, it's after my smaller, respectable president, but I think I'm doing it right, locals could use the Kingdom Hall services. Of course, rural communities themselves can set up their own shopping institutions if they want to and can cooperate if they wish to do so. But here, people were talking about it as if it were just a cost. Why go to an invitation? It is for the best price, the best ministry. That's what the game's made for. In this respect, we've had a lot of results. The other day, there were not four very large government agencies that offered computers and paper, and they were saving over 90 million. K. I think we should have an environment that encourages public citizens to have an invitation. I thought that's what it was like to encourage you to do that. This is no small amount, no five hundred thousand. That's 15.5 billion on one side. K. for goods, services, 49 million projects. K. If anyone doesn't want to offer more than 49 million projects, I think it's a little special, I'll just admit it and be completely honest with it. But I'm sure it's going over. It's true that this will bring into the community's self-determination rights. However, I feel very important that we have an invitation, both to a government and to our community. I would expect people to rejoice when we take such steps, and if they're not going to offer out these large sums, at least there's a very, very good reason to do so.
ParlaMint-IS_2016-09-28-159.u99	A respectable president. I hereby recommend a resolution for a four-year transport program in the early year 2015-2018. How happy we are that we will finally see to the end that we can agree to the four - year transport program! Sadly, this has not been successful in recent years and has not been the basis for the transport that has started since collapse except the budget of each year. We discussed the matter extensively and were actually contacted on the committee by all the members who had either sent in a review or who wished to attend a meeting of the committee for their purpose and cooperate with them. These are enormous numbers of people, and they had a number of meetings to go as well into the foundation of this case as possible. It would be too long to trace all of them here and now, but I refer to the transport committee as support. Just a brief look at the rules of transport. Today, the General No. 48/140, 19 June 2012, for a transport program by 2011-022. On that same day, the resolution of the Generals agreed on a four - year program for 2011-2014. Council proposals for a four - year transport program for the 2013 2011s were submitted to the General Assembly at the 141th legislature but were not discussed. It was submitted again to the 143th legislature but was not granted. The proposal for a four-year transport plan was submitted to the 144th legislature and was then supplied with an environmental and transport committee but not fully paid. This is the payment that took place about a year ago, and although it hasn't been paid off, I believe it was very important that the committee finished her work. This was the first time during this ideal period, which the committee had time, although in bed, to bring parties to the committee meeting and cross. The decision adopted from a committee, although not finished, was laid as a basis for next year's budget and many of the projects that were pointed out to be needed and needed to get a walk in the budget of this year. I give as an example to the Commission's proposal to put capitals at the Ness shop, he had not been funded, there was a deal that it would be done by protest from the government. The financier confirmed this, and the Minister of the Internal Affairs got it done. It was good that we started that assignment. Thus, in 2015 and the total number of 2016, a four - year schedule has not been established and is in opposition to 2 mg. Section 3. adapting transport programmes. The Commission has concluded that in a four-year transport program, government policies in the maintenance and development of the transport system are being developed by the establishment of democratically elected representatives at the General Assembly. It is vital, therefore, that there is a four - year transport program on which to build that work. It is a special joy to see that we are here and now being on a four - year transport program, particularly in view of the fact that many rural and national groups have pointed to the importance of agreeing with the transport programme from the Council, that is the basis for major projects, such as those with animal soils. The road plan pointed to the committee's meeting that it was necessary for them to have a transportation plan and other means of transportation so that they would have a firm legal basis on the approval of the Generals so that they could begin a very important project. As I mentioned earlier, the representatives of all parts of the country arrived, but at the scene they operate in the rural areas of the country. Transport practices are in nature such that they require special attention to land interests, as transport infrastructure is linked together and create larger sectors. In this way they perform basic infrastructures as the transport system is an important part of society. It is a fact, and it can be referred to in recent decades that employment areas have grown with the development of better transportation, thus providing greater opportunities for the inhabitants of the areas. Hence, whites have shown that transport is very important for urban development in the country and, in fact, the need for a population of more varied employment than is now available to flourish around the country. We have a detailed discussion of the importance of air transport and have pointed to important roles, both for the public and for the government, as well as for most government institutions located in the capital area but in the interests of all the people of the country. We specifically discussed traffic security and discussed the importance of priorities so that environmental security is presponsored. We believe in a greater reason to point out a road to the Eyjafjörður, South Fjordur Way of the Far East, Roastland Road, a road out in the Southlands, Grindavík Road, which is a very busy road for the Blue Lon, and an increasing fishing business in the Grinavík. Of course, this is not the case. The proposal assumes that in this year less than 18 billion will be available, less than 20 billion by 2017, and 21 billion by 2018. If market bills, like most public records, had been paid, the income stocks would pay up to 23 billion dollars. every year instead of 16 billion dollars. Now. This difference has been paid directly from the state funds but made as a debt of the Vega type. In view of the greater part of the Committee, these double - story accounting entries are, unfortunately, reduced donations to this important category. It is our assessment that this debt has to be eliminated and removed from the road, for we realize that money comes from the state's budget either way it comes. Unfortunately, transport contributions have been lower since the collapse of the financial system in 2008 than those in the preceding years. The contribution of the Road Building as a share of GDP is about 1.1%, which is a slight increase from the previous year. According to the proposal, and this is a cause of joy, expenses on road transport are expected to be about 1.3% for the next two years. Historically, this ratio has been around 1.5% but increased to more than 2%, i.e. In 2008, just before collapse, when the government's funds were thought to be filled with capital. In any case, we feel that this is a realistic goal to increase transport costs and that they will be in the range of 1,5◯2% of GDP. We believe that this is a realistic goal. Of course, we all agree with the need to take care of government responsibilities, but we feel that it is realistic to pursue these increases because we believe that transport is a very important category and money to it needs to be greatly increased in the coming years. It is therefore important that transport contributions follow increased land production and increased income. We've discussed in itself the difference between proposals for action on the terms of financial agendas for the period 2017-2021 and the transport program. These plans were provided at very short intervals, and unfortunately there was a difference between those who may be devoted because the first step was being set aside to work rapidly and safely, and perhaps not already provided the end of all the knots that would have to be done. We will also agree that there will be a budget for transport when the budget will be reviewed sometime in the years to come. It's nice to go on a short notice for a new Western island. According to the Law on those activities, an tender invitation was to be made either regarding the ship's construction and operation of the service agreement or the making of a vessel for all 4.8 billion. Because this proposal is available, it will be presented as a transition in a transport program, which is considered to be very good to me. That's why. paritaprevir Will Árnason, who will lead us on that point. Just a brief time on public transportation, which is an enormously important group of subjects, in my opinion. In 2012, a contract was made with the national part of the network outside the capital area on public transport, but the project was followed by a reorganization of special transport. The importance of this development was stressed, so it had to be secure for the economy. We have been concerned about the funding of the system as the basis for the exclusive rights of a particular system, which, in the opinion of the national body, makes it possible for the system to be run without a permanent loss. We agree with the concern and motivation of the General Assembly to provide the basis for the operation of the system, but we also suggest to strengthen their base of operation that we add 75 million. K. as an additional contribution to public transport in the country intended to meet the congregations at a angle. As I have been involved in this case and initially attributed to the development of public service, it has been moving to fewer places, being more specialized, like health services, and to a large extent only in the capital area. Therefore, it is still important to highlight the importance of international flight as public transportation for those who live elsewhere but in the southwest corner. It is important that we secure the area of Reykjavík as the centre of a medical flight and domestic flight in the country and that it will remain in the same form in the present location, thus ensuring the introduction of all the people of the country to the capital area and the official service there rendered. It is clear from the greater part that he places great emphasis on the transport programme that in the following years, Reykjavík's airport will remain unchanged and that his role in the public transport network, wherever it may be, will not be compromised, as the authorities in Reykjavík have repeatedly proposed and worked hard. There is reason to discuss the increased number of tourists because everyone realizes how much stress this has brought on the road system. The majority counts that we must contribute to the better distribution of tourists across the country and to the expansion of other routes, such as domestic flights. This would help to reduce the pressures on highways and tourist roads as well as on other infrastructures. Prevention plans are set up for the cost of 106 billion dollars. in a road and negative program for the season. A focus on the priorities of projects is on new projects, but it is suggested that in the latter part of the period, 7 billion will be spent annually. for maintenance projects, which is an increase of 1 billion. from the last planned schedule to be treated. The figures are rising a little in this opinion, and hopefully they'll come out, as I'll come back to. In view of the greater part, it is very important to increase the proportion of projects maintenance over the next few years in terms of increasing traffic. So in 2017 or 2018, the majority suggest a total of $2 billion. added to maintenance road. It is important that we also look to the capital area. The main founding pathways in the capital area belong to and to the State's responsibility, the largest roads in the country. So we propose a search for ways to finance the Dwl course by means of private transport. Visitors and advisors of the Committee agreed on the need to place more money on road maintenance and implementation in cross-cutting areas and to reduce the number of single bridges. Thus, the majority of the Committee contributes to an increase of the budget so that by 2017 it will be 8 billion instead of 7. The majority also suggest that the year 2017 and 2018 will be over 500 million each year. K. In addition to the asphalt of a malbian link road and the same amount of money on a bridge, plus 100 million. K. conducted on local roads. Although there is a significant increase, I believe that over the years, we need to improve the quality of these materials; maintain road maintenance, improved interfaces, and decrease in single - beamed bridges. This is a huge, massive, costly project, but I think all the people of the country are fully aware of the importance of it. We suggest completion of the project on Kappos Road, an extremely important road to travel in northern lands. How happy we are to be able to say that by means of this funds, this work will be completed! This is of utmost importance for the development of tourism, a large part in closing the so - called diamond ring, and will make it possible for the northern society to enjoy even more of this immensely beautiful region, and all that is leading up to increasing tourist currents. We also suggest that the construction of Mount Morisco will be carried out until 2017 and 100 billion. K. Added in 2018. We also suggest that 200 billion will be placed on the year 2018. K. In the year of Peace, it's important to the Snæfells community. We propose 150 million. K. will be placed in the Cradle and Höuna Road in 2018. It involves an important road to travel in the southern part of the country. On the same basis there will be 60 billion. K. Embraced Bishop's Lane from Geyski to the Tuungi in 2017. We propose construction at the Valley of Bjords and the city soil around the Northern Republic of England in 2017 and up to 250 million. K. will be provided to you in that year and to 500 million. K. A little extra to the city soil in 2018. Then in 2018, we suggest implementation at the Hörgáll Valley and 200 billion. K. will be given to the project in that year, the inhabitants of that area have waited many, many years for them to be completed. It's one of those roads that's been pushed back and back and forth, but hopefully we'll be able to complete that important move now. So that's 300 million. K. will be spent to complete the construction of Key Pass in 2017; the important safety issue due to the large tourist stream around the road, and the important role the road will play as a backup route to Reykjavík as the two-fold western highways of Kjalarnes begin in 2018. In this way, a greater proportion of the items contribute to further funding for implementation in the corner road through the Hornground, making it 250 billion. K. Adding to it is the year 2017 and the year 100 million. K. 2018. The majority suggest that 2017 be 400 million. K. • providing necessary implementations on the bridge at Lake Elvens, which lost weight tolerance as a result of a major breach on the eastern bank of the riverbed in the last Roftár. In addition, the greater proportion suggests that 2017 will be 300 million. K. For example, in 2017 or 2018, there will be 100 million each year for the rotation of the road between the Bavret and the Nesway. K. for the building of mold roads in Skardds' Valley, and in 2018 there will be 200 million. K. Pawned in the asphalt of the Berry's End, 200 million. K. Work on Lakes Road and 60 million. K. Through Eaglenes Road. We received a tip from Eyjafjörður that the construction of bicyclist footpaths had been almost exclusively in the capital area. We feel very important that land too will be gone and that it will build a bicycle path there. It's a pleasure to see how interested the Eyjafjörður authorities are in giving a good race path. We therefore suggest that in 2017 and 2018, there will be a budget of 30 million bicycle footpaths. K. every year. We got a representative from the organization to stop here and no further. They fight for reform on the Smokey Way. We suggest that in 2017, 200 million will be provided. K. The construction of telephone grounds on the road, and the year 2018, 100 million will be provided. K. to improve the negative road, but before any of the projects can be done, necessary planning is needed in the area. However, the actions of the phone morning can begin quickly and stresses that it will be, with a significant degree of traffic. Indeed, the organization did a tremendous success in fighting for this improved transport. I'm just gonna go over the tunnel for a minute. It is being carried out in the construction of the North Sea, an enormously important project. It began in 2013 and is designed to end 2017. Then it is good to report that construction is proposed at an animal tunnel between Eagle Fjords and Animal Lands on the West. There is a need for a legal warrant and an agreed transport plan, as I already did. In turn, geological research is expected to be carried out in the future treatment of the Soil along with the construction of animal soils, with the majority of which suggest that space is now in place. I think it's very important that this should be made clear because I believe that these tunnels can become important in improved housing conditions, not only on the Seyardir, but on the whole of the East, and hopefully lead to a linking of the foam with a so-called circle connection through the Moafjörður and that we can see them become a reality sooner than later. It is good to relate that in the Studies of the University of Akureyri and the University of Iceland, tunnels and services have a positive effect on women's employment, have more variety of jobs, and are used around urban areas. We also contribute considerable funds to the docks. This is of utmost importance to professional life and valuable creation. We're setting up funding for the Grinst. We contribute funds to the Council of the Cove, support funding for research in the Off-Ends, and recommend implementation of the harbor at Dalvik in the program, but to the Committee it has been reported that property will be distributed under a fishing house at the docks that will have a major impact on the town's sector. Then the more part contributes to the improvement of the seaports at Sigluard and for armada in Brenull Valley and is awarded 17 million. K. to the harbor of Eaglestastah, the amount of money comes to the deduction of projects at the docks of Rifi. At the same time, a greater proportion of the committee contributes to a total of 35 billion. K. In 2017 in the rebuilding of a South Park in Sandmaking, which has become dangerous because of wastefulness. Then we'll put 35 million. K. at the harbor in Helguvík, but in recent years the government has been building a Smokeynes and making investment agreements for two projects there. We recommend 52 million. K. To add a dikes to the plain of Moriscos. It's nice to tell you that we're finally making sure that the cost of a project in Akureyri will be realized. This has never been carried out on a transport program and has long been stipulated for funding to use the material from the Valallian tunnel in the construction of the flight barn. The airport is still ahead, but there is an enormous amount of transport involved. We suggest we set some 90 million. K. In 2017 and 70 million. K. In 2018, for example, to take over the material and complete that transport, the aircraft can then be attacked in the structure, and I reiterate that it is very good to be able to get this done on the trigger. We have talked a lot about the growth of domestic flights, how they can be done. Sadly, there are many of the concerns that humans have of the state of domestic flight and of airports. Although we're making quite a few improvements in airports across the country, I believe that in the years to come, we're going to have to do something better. The growth of the international flight is the largest factor in spreading more tourists around the country, so we suggest that the international flight will be especially strengthened, not only by the means of today's funding but by all means so that flight prices can be lowered between parts of the country, which are extremely important. We want this to be done in part by the public transport system, and that's why we're making 300 billion. K. as a starting line to find ways to secure the location of the internal airport and a modest price for transport. We also suggest that the national environment changes may be made as a result of its social interests and, as I said earlier, be determined to reduce flying prices. We call them several ways. We also believe that it is important to reevaluate the directions of Istavia's management arrangements and to reexamine the profits made from the operation of the Cheflavor airport in behalf of all the people of the country, and to build up a flight course all around the country. Sadly, the enormous profit that has resulted from the growth of tourists has been almost exclusively in the construction of the region. This is the company of all the people of the country. We feel that the structure needs to be seriously examined. To say that I want to thank the members of the Environment and Transport Committee for a lot of work and that we have been able to do a lot of serious research and have called all of this information. We tried to see, and we made a special trip in the West and the North, and we would have wanted to get beyond that. There is good reason to thank the members of the committee in both smaller and more parts. Although we in the greater part write on this committee opinion, they seem to support the projects we offer, even though they may have some other emphasis. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u100	Mr. President. Perhaps there is reason to wish. A senator's happiness is finally becoming the possibility that this government will produce a transport plan or complete it, but it can also be no later, a terminal government in the final record. The problem, however, is that the contents are far too sad. Even if the adjustment is good enough, there is no way to rejoice over how much longer we are in the effort to restore funding to this category in the normal ratio of GDP. The need has become so intense that there is no longer any dispute. I want to ask you why. First of all: Won't the government and the greater part have to admit that the adjustment of the proposals is natural recognition that man has made a big mistake in not adding more to this group of lawsuits with a better national economy for the past three years? Those years are gone, we've been starving it all too much. Secondly, I wanted to hear what. A senator reviews only where the government and the rest have not brought up the price of the recent losses of income companies. This has resulted in relaxation of probably 7 billion to 8 billion, compared with increasing traffic. Today, there have been exceptionally favorable circumstances in which to earn the extra income that traffic itself pays. Of course, she is the one who has the right to pay for the transport. With fuel prices dropped in the world market and prices sold at home by about 50, 60, 70 k. In fact, it has been extremely convenient to take, even in stages, to increase markets, oil charge, special tax, heavy tax, and oil tax, and it would have brought an increase of 7 billion to 8 billion. How does more of the parts respond to this?
ParlaMint-IS_2016-09-28-159.u101	A respectable president. I'm glad to hear it. A senator rejoices over the increased contribution shown in this committee list. I agree with him. I am very happy to be standing here, pointing out that we are adding to the project about $11.5 billion, which is a tremendous contribution. Actually, I've spoken for myself that we need to increase the share of gross national product. It was 1.1% from collapse and in the past government, but we have managed to raise it to 1.3, which is positive. We need to raise it even more, just as I came in earlier. It is true that the senator made it possible that with a better national interest, we need to contribute more money to transport. I have talked extensively about it, but I have shown that the emphasis has been on making additional contributions to health care and to many other important issues. I have also pointed out that allowing transportation to continue, as a result of collapse, can become more nationalized. Of course, in all of this, we need to take care of responsibilities. We need to be careful that a plan is in harmony with the national budget. I agree with what. A senator, as is very clear in the leading section's list, believes that market income will be paid as much as most of the public records. We think it's impossible accounting that this is a move in favor of the State's Road Type, and we've pointed out that it needs to be blown off and removed.
ParlaMint-IS_2016-09-28-159.u102	Mr. President. I had the option of attending one meeting on a transport committee this spring. So I took up this matter, as it were. A senator recognizes, spoke. I remember saying, and I'm going to repeat it: I feel it's impossible to solve a transport plan here once a long - term plan has been distributed, which is also a great disappointment, and that this situation has not yet been resolved. This needs to be done either because of public financial legislation and the expected changes in future events, even the deduction of all or the most market income. I have considered that it must be a personal thing to be crossed over the accountable debt of this exercise, which is nothing more than exercise, to blow out some huge debt to the money fund because men have made political decisions to put money directly out of the state's budget in addition to market income in recent years. If no market income remains, what will the road pay the debt? Why are the ruling parties not making a decision in this matter? That's weird. With respect to the airport situation, it is good to see that people want to show the color of the change proposal, but it is more than a year after the committee gave direct suggestions on how to reduce the price of cargo. What are these 300 million thinking? Are they to enter the Service Convention? Has the Ministry of Economics been talked about doing what is, in itself, the simplest thing, and it's dropping or reimburseing the value tax of domestic fuel? It is a very progressive operation to reduce the cost of flying directly and could result in a half of the 15 to 18% reduction of the cargo we set for the Committee. It doesn't seem that there's ever been a sizable practice of this proposal, this report, for more than a year before, it's only about 300 million people there.
ParlaMint-IS_2016-09-28-159.u103	A respectable president. Perhaps the only ones who made money were the ones that made it. So now, during our last term, we discussed it here at a conference hall, wondering whether we should not eliminate the required income because it is not just the market of the road income that has been used in other cases, such as the welfare, but elsewhere. That was a suggestion, if I recall correctly, for the last government to suggest that it be done. But I agree with what. A senator says that we have not yet been unacceptable. Even if that has not been achieved now, it may be a project for the next year that these accounting records are corrected. We can see in our hand that it is not good to have government records in this way. It is also true that there was a committee that covered domestic cargo prices. What came out of it was that the State's curses were not really that high mail at a plane ticket price, I think of about 1,500 bucks. every plane ticket, that's important. Of course, it does matter, but perhaps it did not completely change the situation. Therefore we say that there may be further, that it may be done much further. We can see in our hand that air traffic prices for maybe 20,000 bucks. In addition, there is no other way and it is more expensive to fly within a country than often between countries. That is why these funds are supposed to go on and ask whether we should take the domestic flight and make it part of the public transport system. This funding is actually the first step in that direction. The last government made a contribution to the public transportation system in the capital area, in the street. Here we go. Let us hope that these funds will succeed and that within a short time, we will not see drastic changes in the right direction.
