ParlaMint-IS_2016-09-08-149.u1	To answer, health minister, education and cultural minister, environment and resource minister.
ParlaMint-IS_2016-09-08-149.u77	A respectable president. I don't want to delay this meeting for long. I come up mostly because it's 1st. about this most important bill of change of social security law, where people say that there is a major system change. It's a simple one. Yet, it will not be easy for people to realize that the peripheral effects of damage that continues in the system are not light, for example. So I believe this system change that people talk about is now more in word than on a table. I also trust that the case does not occur in 2nd. I don't know when, on October 29 is to be chosen, I think the decision has been made. I don't understand how people are going to get the case over the matter because it must be discussed, and it will take at least two weeks, then it will be discussed on the committee, and this will be discussed in the council. We need to have time to see how this so-called system change works for people because I think that the word used is, i.e. Organization, it's just a word. I appreciate it after very much, as they sometimes say, in fact. Then it will be considered on the committee, and then I would learn from the council what comes out of it and so on. It's just my opinion that the matter can't be over for the rest of the council. It's all too big for that. Then I want to say, I just want to name two things that I find very strange here. First of all, the cost in the first year is 5 billion, I think I understand correctly. Yes, annual estimates for the annual change of the new system are on the chart on page 5. 34. And 2017 is about to cost us 5.3 billion. But the people who are in the lowest category, the people who really need the most, they're not supposed to get one small cent. Not a cent. We're going to turn into words of some system, pay five point points to something billions, and we're not going to make it to the lowest earners. Then we're bringing a flexible retirement age, that's very good. We're encouraging people to work more. Older people can be more efficient, and at the same time, we're going to lower the job income-free market. On page 15 of the bill says: "It was observed that, to a degree, the system change could lead to the total income of a small group of people, - all right, even though it is a small group - a small group of -- a gene pensioner, especially of those who have a job range of 105,000,3374,000 -- it is now a small, small interval - ◯geti down. This results in a much higher income-separated average of income income income and capital gains in the current system. Yes, yes, that may well be the case. Why, though, do we need to change that?
ParlaMint-IS_2016-09-08-149.u78	V.E.G. President. I come up here to express myself that this bill is being performed, which may be joyous, I don't know. It's the result of the big job of the committee that started at the beginning of the season to try to change social security. I think it's natural to realize that something needs to be done in that situation and do it well. I trust completely with the members of the committee, I was appointed as a nobility at the time, but my deputy would love to participate, so I did not share fully in the ministry. I've only looked at the bill, and I have to say, as it is, that I'm going to read it much better. There was someone who said last night that there were two men in Iceland who might know something about the social security system. I'm definitely not one of them, to be honest. But I wondered, " Is this good, and there are natural critical voices in the community, and people point out that it's not good, as it were? ' paritaprevir Bjarnadóttir said that those who have at least already had no rise. That's what I think, naturally, is very serious. For many years, we have known that the situation is bad for certain populations in the community, for older citizens, and especially for micropiercs, who live almost at hunger, and who have been fighting for many years for the better. That may be the key, we need to improve it. I'd like to quote one man named Björgvin Guðmundsson, who is a businessman and a former city agent and a postman at the State Department. He has gone to the head of an older citizen in Reykjavík, who was its chairman, and on his website, he says how he has contacted and cooperated with political parties. He says today, with permission from the President: ▪ Many seem to believe that the elderly and the poorer ones will be better if their social security bill is approved. But that's a misunderstanding. Politicians and particularly government representatives have climbed for a long time, one to two years, that their worst interests will be improved. But this isn't right. It's an illusion. This propaganda has been emblazoned everywhere, so the most unlikely men have come to believe this. Then he asks: What's the worst situation among pensioners? It's those who only have a pension from social security and no other income, are in the striped pension, as they say. Are they improving their interests? No, not about a dollar. It was confirmed at the Council last night. Secretary Eygló said that their interests would be improved in the future. Is that a source of great comfort? But what are the benefits then? Yes, the advantage of those with a pension fund is somewhat improved. Still, older citizens are canceled for basic pensions, even though older citizens have always put emphasis on keeping it. But the number of TR pensions is more impaired than in the past because of professional employment. In other words, their prosperity gets worse. I believe there is a breakdown in pension funds. We own this pension, and the state has nothing to do with cutting it either directly or indirectly. It's time to end. I think this man knows a lot more about this than I ever do. If that's what he says, then it must be examined much more and try to fix it. Now I don't know. I see at the top. A minister shakes his head, and I trust her to explain it to us why she does it. But I think we should go over this well, the case comes to my committee, the welfare committee, and we'll definitely take a good look at it. I hope we can take a good look at this, that we can send away a bill, whether it is during this council or wherever it will be, which will improve the benefit of all, and we can offer to all micro-rich and older citizens a decent quality of life. Whatever the wind, it is fundamental to me that we must offer these people a decent standard of living. I think that's all it's asking for. As a nation so rich, we should be able to do so. Something else is kind of shameful. And the situation in many of these groups today is, in fact, shameful. We are to unite in this as one, against all categories, in order to change this, so that these groups can lift their heads and walk through the streets as citizens in the community. There are far too many people outside the system or who have to land outside the park and are in terrible pain. My wish is that we solve this case just as we solved our housing bills in full cooperation and we took care of it and give it back to our own bill that ensures that no one, not one person, will land outside the park.
ParlaMint-IS_2016-09-08-149.u79	A respectable president. I want to thank you very much for this discussion and agree with it, and I am absolutely convinced that the welfare committee will handle this project as well as she did about the housing. I don't trust any other committee to deal with this project better than the very welfare committee, which has repeatedly shown what we can do when we make our team. This arrangement, the changes presented here on older citizens' social security, is about simple, that we better understand the system, that people know their rights. It's not like today. It's about increasing the flexibility of the system, so people have even more about how they push down because of age or more poor health when they get older. On that basis, when the system changes are through, when people know what right they have and understand it, we will continue to add. It was so clear about last year, I don't think there's ever been such a percentage increase in cash as before, and it's shown how important it would have been if we'd taken care of that system change so that people would have come to know what we were actually putting so much money into the system. Here we're creating a new pension, I can also use the term basic pension because the so-called basic pensions that are always talking about are named under the social insurance laws of pension. This is where we're making a new pension. It is proper to suggest a certain degree of impairment. That is the suggestion for this committee and the committee that served there. On the other hand, we have a new set of laws, the new that half of your pension can be obtained, and it doesn't matter how much other income you have, it will not cut that part. It is in my opinion that much of the views of changes that are due to the decommissionment of job income. I've said that in the past, and I encourage the committee to be very careful with this law. We're also setting up a new arrangement, there's been a place in the pension system, but we haven't been in the social security system, that people can go to a pension earlier, before they reach a minimum in their pensional age. Now it is 67 years old. If the bill becomes legal, it will be possible for people, if they have adequate rights, to start retirement or pension from 65 years of age. True, this means that he will not be as great as he would have been if people had gone later on to pension, but it can also delay and thus have increased rights. Also, I don't doubt that the committee's comments are going to be very accurate about the payoff target of employment, and I wonder if they can be moved to the reduced percentage suggested by the committee and is exactly here on the bill, also in the bill submitted at the end of the last term and also earlier during this election period by the Group of the United States Congress, and she reflected on the interaction that, in the case of a little more complicated stage, by setting some sort of the sector's cut-off end so that the cost will be the same by adjusting it. It is also important to point out that out of the 33,000 older citizens now receiving pensions from social security, 23 people have no other fees, according to numbers that I received not long ago. Everyone above this 23 gets more. I'd also like to say here that if the proposal would be accepted that there would be no impairment of pension income, although here we are taking steps to improve the interaction between the social security and the pension funds, which are said to be two key systems, we would be primarily to consider those having the most, because this is suggested to cut off when people are brought up with 450-1,500500 you. K. ... inothercounts. I don't agree that we need to add the support there. I'd rather look to what we can do about these 23 people or what we can do when we get the system change through, when we've also improved our systems and reached the conversation. Then we will also sit over what we can do, how we can envision adjustments, and how to improve the situation. That's something we all agree on. Everyone agrees on the importance of this. The last I saw that there are some 60,000 people who receive one way or another payment through insurance clinics and about half are older citizens, 33,000 older citizens, and it really is important that we consider how we can create the best systems. This proposal is made after many years of committee work in which a major interest organization came in. It is important to keep this in mind, though it was a desire to go further in some way and to promote it in a special way, to agree on the suggestions on change, to be agreed on as practical suggestions, and to benefit the individuals who receive the payments and to the rest of the community. I hope that men will go well, as we've done in the Ministry on Special Studies, where men are looking for the future, what do we want to do when the system change is real, but in order for us to get there we must first finish this system change, secure the simplicity, make sure we understand all the system better than we do today and increase our flexibility. Then I know that we'll all agree to continue to improve the ideal pensioners.
ParlaMint-IS_2016-09-08-149.u80	A respectable president. I recommend a bill to correct a change in housing law, 44/1998, with subsequent adjustments. The objective of the changes in law is to identify the role of the government in providing public service on a stable way to the future. Governments are suggested to provide a comprehensive housing policy with the use of the General Assembly and that the role of rural society in the molding of housing policy is clear and expanded and the establishment of stakeholders through the development of a meeting. The conduct of government housing policy has also been established as a reliable guide by sharpening the main role of camp loans to work on housing policies and to be a minister to advise in the shape of housing policies, to work out information on housing markets, and to support rural development and implementation of their housing plans. The end of rural communities is key to planning and maintaining the social services and housing of those mentioned in Iceland. The contents of the bill are largely based on the proposals of the project management and the cooperation of a forward-looking housing team from 2014 on the above committees represented representatives from both countries and rural areas as well as major stakeholders. At that time, similar institutions were taken into account in the north, mainly from Norway and the ARA, Finland. First, the bill suggests changes in the law in accordance with law No. 52/2016, of general apartments, and changed the role of the camp loan fund, including because of the projects he is given in providing a stock proposal on the basis of their law, which was adopted by the General Residents at this early summer. One of the main roles of the fund must include so-called stock contributions designed to support the building of tenets for persons under certain income and property limits and to provide specific loans on social grounds for marketing failure, whether in general or in individual areas. Second, adjustments to regulations that deal with the role of the fund and the binding of separation between the projects it has had so far and the tasks it will take after the bill's validation become law. This proposal was made in close collaboration with Iceland's Secret Bank and the SEC, where they were urging that this be clear. Third, there is a sharp focus on the role of camp loan fund, rural society and the General on policy development and housing planning. The fund's role has been changed so that policies, analyses and planning are made larger under the heads and laws on the rural housing programmes and their obligation to help those who have difficulty making housing are clear. It is suggested that local housing committees be removed, and it has certainly not been respected, but the tasks of the rural community will be given a government which, in its approved position, can, be entrusted to other members of the community. It is suggested that the legislation be added to a new chapter that specifically deals with housing and housing policies, which include: To find a new arrangement dealing with the arrangement for housing that should be held every two years and the obligation of a minister to submit a Senate resolution of housing policies to ensure the presence of the General Assembly. Fourth, adjustments are made to the sources the fund has to lend to individuals to buy property for its own use. The fund is now authorized to provide loans to buy on property that are below certain markets, as well as a limit to the amount of loans it is permitted to make, regardless of its location. The change suggested here is that in order for the funds to be allowed to lend individuals to purchase property, borrowers should prove that they are not borrowing acceptable interest in a loan agency for the location of property or for other reasons. However, the current maximum loans and maximum value of real estate will remain unchanged. Finally, adjustments are made in terms of the payment problem of creditors and decapitations, matters that are of great importance to improve the management of the fund and to reduce the risk of the state's funds. A respectable president. The bill is an important continuation of the law that was accepted in spring, especially the law on general apartments. The bill is also a continuation of the laws that were agreed on in 2012 that significantly changed the financial status of the fund and limited its substantial loans and the consequences it has had. I also believe that careful analysis, planning and clear housing policies are important in ensuring national housing security. We've already suggested what I'd like to say, for example, that today we were introducing a new panel, in which we take together the information available on housing, to include in this council a discussion of how we want to conduct housing here, this fundamental right of people, and what vision we have. I really hope that the bill will work well at the council and that we may once again be able to say the final result of the work being given to the project on the future premises when this government began. A number of cases have entered the Parliament, which has been based on that work, as well as on the agreement reached with the labour market partners. So I believe that we are doing exactly this, finding the role of the government in the service of public service in the public service of a stable facility to the future, where we look at what the North countries have done and build on it. So I allow myself to suggest to a respectable president that the bill will be after this discussion referred to the highest level. The welfare committee and to the 2nd.
ParlaMint-IS_2016-09-08-149.u81	Mr. President. The evidence of changing the role of an apartment loan may include the following: that the fund has little to do with it, that it really does not play a role in the current law of law. I wondered what I learned in my speech about social security. To this council, there are a number of great, urgent tasks. I'd like to ask the highest. Minister if there's anything wrong with this change. Why not take a closer look at these matters at a new assembly after the election? We got a great presentation from the highest. Minister for some time ago, the proposals for housing matters. It was originally assumed in that proposals, I reiterate that the role of the camp loans would be changed, but that we will be looking at some new official housing company and a new role so that we will not deliver the mortgage only to the bank, especially while the bank arrangements in this country have not been revised, which I really believe is necessary. I think I've got a way of getting along with a couple of other people. Councilmen of the highest order. Ministers who feel that it is very important to revise the banking system, that we consider to form an institution of a community bank. It hasn't been done. We know all about the point of view. Councilmen and the highest. Minister of the Independence Party to the idea, which, of course, is a team of cooperaters. Minister. So I do not realize that we are actually putting down an apartment loan fund in the present form and leaving it with a very limited social role, and that it is not intended to follow the ideas about public housing society that would take over the role of the fund in some way and that some ideas about the community role of the bank have not been addressed. So I ask the highest. Minister: These are changes, but is there anything that encourages this to be done? [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u82	A respectable president. The reasons why I have not come in earlier with suggestions for the future role of the camp loan fund are a few. First, the big project for us at the Ministry of Health has been to deal with the fund's business problems. It's been through. I stressed this to the management of the fund when she took up the assignment that we would stop putting money from a money fund into the fund. But we've laid, I think, about one new land hospital to raise the money of the fund, or about 50 billion in recent years, not during this ideal period, but after the collapse of the bank. This has been accomplished. The sea has returned the rest. It is obvious, however, that we will not be able to solve the fundamental problem of the fund that turns to his financing. The sea cannot pay for the letters he used to finance himself. Thus, the bill contains provisions to minimize the concern of paying off the funds. Since then, there has also been a marked change during this period in the mortgage market. The changes towards the Substitution Fund are primarily due to the changes in law made in 2012, where the loans were severely limited. It is unchanged according to the bill and because a large part of the banking system has returned to its community property, i.e. It belongs to the State, so we can be very much concerned with how to build up our new financial system. Me and what. A senator certainly agrees on the importance of increasing his social thinking in the banking system, but in recent months the pension fund to which we are direct owners has been taking on an ever larger part of the housing market. [[The president calls.]] It's gonna make a big difference.
ParlaMint-IS_2016-09-08-149.u83	Mr. President. True, loans were limited during the last terms, but we have seen continued to do so. The apartment loan fund has not been authorized to lend disloyal loans. While discussed, at least 6 percent of the subjects have not been reduced. by members of the council of the left green, if it is not reasonable to allow the apartment loans to lend on lower interest. And when pension funds offer loans at better interest rates, the loans normally choose such a loan. I welcome the highest. Minister says, we agree that the community role of the banking system needs to be revised. I care about that. We haven't done that yet. And while the banks are somehow owned by the government, I doubt that the public will experience a real influence on how the banks are controlled. Of course, there is a natural difference between what we call a community bank and what we call a traditional bank owned by the State, which is mainly driven by interest in money, and does not have other viewpoints that can be guided by environmental, social, or social goals. That's why I repeat my question. V.E.G. A minister points to the position of the fund, it is known to us all, and it has been discussed here repeatedly. But is there any need to complete this law on the short remaining time of this council when we know that the financial system has not been examined from the viewpoints that have been discussed? We know that there is really some uncertainty ahead of us, for example. which government here we are taking over after the election, whether this review will take place at the end of the election or whether banks will be sold only to the highest bidders, and we have come up with the whole loan market, apart from these very limited sources, to banks in the market, which are primarily to consider interest purposes. So I'm gonna ask you again, is there something to finish this matter? Does that make any difference, even if this is resumed in the course of November or December? [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u84	A respectable president. In terms of this bill, I think it is right to know what the vision is about the projects I have been given as social and housing minister and, as well as, that the fund has entered such a position, often by difficult decisions, decisions that have taken care of for all concerned - to set here for the future. That's where we've watched the other states of the North. That's where we've watched what's been going on at the mortgage market. We're looking at the role of our rural society, the importance of planning, a role of great importance to be sharpened, to conform with the laws of general apartments, and to add to the terms of financial resources for the financial problems of borrowing and writing. However, there are also primes in the council that are going to finish, such as. The bill on real estate loans, which I would like to encourage the senators to study very carefully and with the legal nature of it, because it's where we're setting general loan guidelines. The majority of the financial systems we have, whether we're talking about the banks, the savings, the apartment loans, or the pension fund, have become a community property. We're setting the rules.
ParlaMint-IS_2016-09-08-149.u85	But not community business.
ParlaMint-IS_2016-09-08-149.u86	It is natural for us to do so while doing so. We are making sure that those who feel that they cannot get what they are looking for in the market will be able to consult an apartment loan fund. Regarding the decisions made, and it was presented as a possibility, like insurance and so forth, we had to check on unscrupulous loans. [[The president calls.]] But the conclusion was, and I've tried to follow it, that by doing so, we were still adding to the risks of government funds and possibly leading to an increase in money from a trust fund to support our own funds. [[The president calls.]] [[The president calls.]] I'd rather see that money go into development on a new network of lavender access systems and extra support, such as housing improvements, and generally other aspects of the welfare system than sponsoring social security numbers at the apartment loans. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u87	A respectable president. I recommend a committee program with a bill-change proposal to legalize the criminal treatment laws, No. 88/2008, with subsequent changes, on conditions for XI application procedures. section. The committee has discussed the matter and has been Bryndís by the local district attorney Brosí Helgadóttir, Sigríður J. Friðjónsdóttir of the State Attorney Generals, Ólafur Þór Hauksson, District Attorney Stefán A. Sveinsson and Reimar Pétursson from Iceland's Legal Society, Helga Þórisdóttir and Alma Tryggvadóttir from Peronótir and Skúli Magnússon Magnús Magnúsarsson of Iceland. Then the committee had a telephone meeting with the Halla of Bergþóra Björnsdóttir from Iceland's police chief of police. In addition, there was a meeting with a board of administrations and monitoring committees and Internal Affairs Ministers. There were reports from the district attorney, district attorney, Iceland's attorney-slocation, U.S. Marshal's Association, Iceland's Chief of Police Association, and the Board of Overseers. The objective of the bill is to clarify and narrow down the conditions required to justify the application of the guidelines required for 81rd. and 1st. 82. g. Laws on Prosecution, No. 88/2008. These actions are in particular listening and recording of phone calls and will be discussed only on wires, for simplicity. With the bill, the changes made in the implementation of the controversial process are mostly 2kress. The bill that suggests that when a judge fights for telecommunications, he orders a lawyer who will protect the interests of the listener. Finally, a change to 85th degree is proposed. The law that deals with the treatment and destruction of information obtained by requested actions. In accordance with local legislation, a wiretap can be used in case of an investigation involving a five-year prison offense or if there is a state of public interest or personal interest requiring it. It has been stated that the resource has been abused as the prosecution had free assessments of what constitutes public or private interest. Courts have virtually never withheld a call for wire shutting. At meetings, representatives of Iceland's Court Society and State Attorney noted, however, that a high percentage of approved prosecutions by the courts on authority to telecommunications was not without denouncement, as was the case elsewhere in the North countries. With this bill, there is a change that for telecommunications to be used, research needs to be directed to a six-year prison offense and a state of public or private interest needs to be demanded. Although the required penalty for fractures is reduced by about two years, there is, in fact, a condition for the application of wiretaps, where the use of the resource will no longer be justified because of violations with lower penalty frames with the public or private interests alone. In the second paragraph of paragraph 1, paragraph 2. The bill, which will be 2nd. 83rd. The handling of criminal matters is considered absolute by the law of general penal law, No. 19/190, which describes fragments that can be used for study, although the conditions for breaking six years of imprisonment are not met and rich interests are not met. It's a 175. a on planned fracture activity, 206. g. About prostitution, 210. gr. About porn, 210s. a 210. g. ................. 226. ... adisturbanceof liberation, 1 mg. 232nd par. for fractures against the restraining device 233. gr. the threat of committing a criminal act and 264nd par. a about taking bribes at owners or employees of companies and about their payoffs. The district attorney pointed out in his review and at a meeting of the Committee that this list needs to be added to the 109st. a general penal law to bear bribes to a government employee. In support of this, the recommendations by OECD and GRECO refer to the government of the United States. The committee agrees with the indication and suggests that the preceding article will be added to the list of 1st. The committee doesn't think it's a cause of 210. a legal law on pornography, which is primarily about the prohibition on the distribution of pornography, is listed among the rules of violations that are considered to be serious enough to justify the application of a wiretap regardless of whether its general conditions are met. The committee suggests 210. g. Should be removed from the list at Article 1. The bill, but the entitles it to 210rd. a 210. g. b, dealing with child pornography. With 2 st. The bill suggests that a judge who has received a warrant for telecommunication will be appointed to an attorney who will protect the interests of the person to whom the telecommunications are directed. The lawyer should sign a word that he will keep silent about all that he finds out about the dissertation of the profession, including those for whom he takes interest. A lawyer has the right to access the evidence and has the right to comment after studying it. On behalf of the European Court of Justice Association, it was noted that only in the bill's comments would it be stated that the attorney's interests are involved in charges against judges to the Supreme Court. This would have to be shown in the text itself. The committee agrees with this indication and suggests a change in this situation. At the same time, the judges'Society pointed out that it was unclear what to do with the approval of a lawyer in the event of such charges. To respond to this point, the committee suggests that in 2 st. The bill, which will be 2nd. Ninety-four. the treatment of criminal cases should be referred to in Article 38. The rest of the law, but not just 1st and 3rd. hers. Some of the clients who sent in envelopes and attended a hearing at the Committee expressed concern about this planned recruitment process for telecommunications. The application of the alternative would be less sure, the better. The outcome would be useless if the use of the drug was checked out, and in fact, the damage would be even greater if it was asked to the point of disposal, as this would give the subject a head start on those who tested his alleged offense and could corrupt the investigation in various ways. On the contrary, it was noted that lawyers are government officials and that they should be trusted as well as other servants of the legal state, such as judges and accusers, in order to maintain legal discretion. The committee considers it necessary to ensure that, as little as possible, an unwanted information flow is available. This suggests that it is desirable for a lawyer who does this interest - care work generally to fail in the field ministry. According to the wording of the law, a judge arranges to appoint a lawyer for the job. The committee feels that it is important that the choice of an attorney will not be automatically accepted. Rather, it will allow judges to allow room to select a lawyer whose trust he considers to be the exception of a survey of the possible relationship between the attorney with the defendant or others who have a particular interest in the case. In the 3rd. The bill is presented with a change to 85th par. Act on the treatment of criminal cases that discuss how to handle information obtained through telecommunications. According to current legislation, the information should be deleted as soon as it is no longer needed, as this has not been passed on to the court. It has been stated that on this occasion only the prosecution is left to determine whether information is relevant in a criminal case, and thus there is a real risk that data that might be reputed to the defendant will be destroyed. Thus, in the case of Natunen v. Finland from March 31, 2009, the European Court of Human Rights concluded that the destruction of telecommunication was directed against the defendant's law against Article 6. The European Convention on just treatments, in which the defendant and his defense failed to determine whether the evidence could have benefited from a criminal defense. In order to handle this, the change to a case is proposed on the basis of a study, and no data about it must be removed until the final judgment is passed. The committee's meetings have established a view that the article is too definitive in this regard and that data disposal should be allowed when it is evidently meaningless. It was noted, however, that such a law would not really change according to current legislation, so the prosecution had once again made a decision as to when the evidence would clearly be considered meaningless. The committee agrees with the latter and does not suggest a change in this factor. Then came the review of Peritoneal Protection and the meeting of the Committee with representatives of the Agency proposal to add Article 1 of Article 3. the bill that data should always be deleted when the study was not a cause. The Commission agrees that data should always be destroyed in the absence of post-study criminal charges. However, the committee believes that this obligation is already responsible for the requirement, so it does not feel that the need for change is needed in this regard. In paragraph 3, paragraph 3. it is suggested that the district attorney monitors the destruction of data in the article and establish rules on how it should be conducted and how to ensure that a follow-up of the individual or who has had access to information before it was destroyed. Is this a response to a lot of criticism that has recently been carried out by the wire shutters, including some of which have been published by the U.S.A. Please note that in order to form a conversation between the defendants and their defenders, researchers could not have left their trails. At a meeting of representatives from the Internal Affairs Department, this paragraph was proposed to include an added requirement that the district attorney submit a yearly report on the implementation of the surveillance programme and the application of the figures set out at 80,◯82. ... thesexpecting of criminal treatment. Such a report would include the number of cases, the number of individuals involved, the number of judicial decisions, the type of action and the duration of the procedure. Such a report should be available on a U.S. district attorney's Web site, and the General may call a U.S. district attorney for a meeting to discuss the report. The committee agrees with this proposal and suggests an appropriate change. In discussions with this bill in a council hall, it was concluded that in the light of history, the wire wires have been abused for political purposes, democratic surveillance is needed for those who have carried out their wires. It would be important for any political representatives to arrange for this sort of surveillance and to arrive there, for example, in the case of the General Assembly. by selecting representatives from their ranks, from government and government. In its review of this case, the changes the bill calls for, but stated that the Committee considers it necessary to also investigate whether and how to maintain and monitor the use of police on the resources mentioned at 80,◯82. par. the treatment of criminal matters that are most selective and how to link such with the General Assembly. Guides the Commission and monitoring committee in their review of preliminary regulations to guide these views. A general and educational committee specifically discussed this proposal and agrees with it with minor changes in wording. In view of the above, the committee suggests that the bill will be approved by a change that I leave to the audience to read in a committee program to find out what, in the text itself. Hv. Councilmen Steingrímsson Steingmursson and Haraldur Einar Einarsson were away at the hearing. In view of this, Líneik Anna Sævarsdóttir, 2nd vice president, Þórisson Jórisson, Bjarkey Olsen Gunnarsdóttir, Mlæfjörn Helgi Gunnarsson, Jóhanna María Sigmundsdóttir, Þorvarðardóttir Þólótttir Þöfótur, and Vilmurmurm Árnason.
