ParlaMint-IS_2016-10-06-165.u1	The program suggested at the end of a meeting yesterday has been called again.
ParlaMint-IS_2016-10-06-165.u94	A respectable president. Yes, this is very interesting, at least It's good to hear that the work was getting better and the supposed ball was not as rich as it used to be. But then I understand correctly for answers. A senator that it is his experience that there is more community contract now that we are to be included, if you may say so, a healthy road system based on professional standards and specific safety issues that we would like to have in mind? That the transport program and the politicians behind it is just more about taxes, about how much taxes and fees we can justify putting into the road system? Now we can see that the cost to the road system has been greatly reduced by this government, which is pretty right - mindd, whether it plays something in. Or do we need to think more deeply about what we are paying taxes for? [[The president calls.]] Is this in the ground just a tax Catholic?
ParlaMint-IS_2016-10-06-165.u95	Madam President. A little more on the topic discussion, let's just take the Vállah tunnel as an example. There is no need for those who promoted their attack on them to be called all names of evil. Just recently, the old gal came from what? paritaprevir Vigdís Hauksdóttir, and that was the whole package. It was a ball of votes, and it was a vote, but it was said that you had been buying your place of council by promoting that project. But what is history? Ten, 15 - year - old struggle to get it done, the mass community's organization that this is an important project. A few rural societies have contributed a lot of money to the company, and the traffic is going to pay the tunnel with traffic, but it's still done. So it is not easy to keep. Of course, we need to deepen our discussion of the national importance of this group of languages and how terribly important it is for us as a nation who is going to live in a good modern society in the future to continue the firm structure of these provisions for society. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u96	Madam President. Hv. A senator has long been a member of this complex, a former secretary of transportation. What has not been established in this transport program, and little is discussed in these days, the possibilities for coastal transport are: What I'm wondering in this context is what possibilities might be involved in the increasing flow of tourists in the country at this time and in the last few years. I'm sorry, knowing that, I don't have any idea if the situation is such that we could somehow try to direct the massive traffic of tourists on the highways of the country in some sort of passenger transport cruises such as Higgruten in Norway, which sails up and down the shore there in regular planning, and if it were not a chance for us Icelanders to look at the possibilities of making use of these materials to, the same way that was done in years before, moving the fishing route rather than the heavy transport road with the public and the stress of the highway system. This is one of the excerpts of this discussion, which is not given much attention to this date. I find it intriguing to hear thoughts of skunks. A senator on these subjects.
ParlaMint-IS_2016-10-06-165.u97	Madam President. There is exactly one good aspect of this case and an important factor that has taken place unfashionably, I think, with us Icelanders, who live on the shore around this island, where the urban cores all line up on the coast with harbors except a few who lie alone in the country. Yet, in the early 1990's, we were able to screw it up. Coastal cruises were more than 1990 driven by three parties, Kingdomships, and both Samer and Eimships, and all members lost. An attempt was made to bring men together for the business. It exploded, and the shipping companies had little interest in it. Then came a government who decided to lay down a Kingdomship, which is one of the greatest bad decisions I think has been taken for a long time, extremely foolish nationally. In spite of everything, it was not a large amount of money that would be needed to back it up to zero. It was a fairly good service, two freaks a week, on most ports around the country. Heavy - metal equipment and equipment were very much involved in these ships, as well as in some ways that residents used them to jump from place to place and that they could have built it up better. So I think it's realistic that a model can again be set on a model where modern ships, which are very quick to unsolve and train, a roll of ships, or with a small hand - slow container, with a short touch at every harbor, could stop there and be used by tourists to take the ring or part of the ring. How pleasant it would be to have such an experiment! In the time of the last government, a relatively good network around the country was set out to provide coastal cruises. The export data was complete and the advertisement was about to be published. What happened then? Then the shipping companies set out to say, "No, we're going to have a little cruise. [[The president calls.]] And the foundation broke down that the Kingdom would bring them out at the same time. But, of course, it is all too limited to serve at some of the largest ports, and it certainly is not what it would have to be, a good - looking beach cruise net.
ParlaMint-IS_2016-10-06-165.u98	A respectable president. It is a bit tragic to participate in a discussion here on long-term planning that will not address such a major issue as this, which does not affect the growth in the transport of the country. It's pretty weird that we have such a projection without considering such factors as beach cruises, the effects of increased number of tourists on the highway system, traffic security, the possibility of beach cruises, the location of airports, etc., how we can have one of the other support for the road, e.g. how the international airport at a new location in the capital area, as well as the national airport, could serve the goal of increasing the distribution of tourists through the country. This is one example of how this process of transportation, although very positive changes have been proposed to try to save it, is actually lost.
ParlaMint-IS_2016-10-06-165.u99	Mr. President. I think it's a good idea to take this case back, and I'll call it what it is. Because, unfortunately, he intends to leave us here at this meeting and not look for a reelection, not to forget this if I stay here today. Although there was nothing more to it than the greenhouse effect, the climate impacts, and Iceland's commitments to these topics, it's absolutely ideal to go over it. Can we not be effective, then, by contributing to the significant amount of heavy transport in the country today? Of course we can. Second, the roads are cut off. It is quite unmistakably clear that one explanation for the plight of the Icelandic road system today is all the heavy transport to the road. The big trains break down thousands of times to ten thousand times as much as a small car of people. More and less are being carried by large trains, large trucks with the largest type of rear cars. Then there's the live effect, the equation. [[The president calls.]] Men are quick to forget what it was like while a Kingdomship sailed. At that time, there was a currency that had an extended budget, so much of the country's cost of transport ran high. [[The president calls.]] Then, after its destruction, it was completely submerged.
ParlaMint-IS_2016-10-06-165.u100	Madam President. First thing I want to do is thank you. paritaprevir Steingrímur J. Sigfússon for his excellent speech. I agree with him just because I was on the scene and can testify to the marvelous effects they have had on all the roads since then. We have now discussed a two - day transport program, and we in the smaller part agree that the market income stocks have not returned to the currently approved schedule for this proposal, which will hopefully be resolved tomorrow or next week. Hv. paritaprevir J. Sigfússon's mask was not in the hall this morning when we were discussing other means of transportation. Then we even talked. Remuneration similar to that of a man who has been headed in the Haven Desert, which is a very successful private project. We discussed how it was important, of course, that such payoffs were on the way out of the city so that we could be equal in our currency. I'd like to ask you what. paritaprevir Steingrímur J. Sigfússon: Does he sees in addition to the fact that we continue to fight that market income stocks are turning into our country's road system, we take up more money from what we know today? I'm not asking the least of my questions in view of the fact that now a currency is now a very simple phenomenon and is just going through the phones we're all doing today, so it's not the complex design of the sheds or road showers. I would like to consider this option seriously in order to speed up some important adjustments. I'd like to ask you what. A senator: Do I agree that we could go that way? [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u101	Madam President. At any rate, it's clear that we have a project to undergo, and it's been prior to a few years of reevaluation on the foundation of driving taxation because it's becoming a change and we want to contribute to changes where humans disappear from fossil fuel use and into environmentally friendly energy sources. As long as we're promoting this change, we're going to use environmental energy sources as well as buy savings cars. However, it is obvious that in time, we cannot always do so, forever just at the expense of the remaining ones, using gasoline or oil. The larger part of the vehicle fleet or traffic must gradually also begin to contribute to taxation in order to maintain the transport system. It is a natural view and natural approach that at the very foundation, we are going to have the cost of contributing to the road system, transportation. In that case, we need to push ourselves toward some form of taxation rather than gasoline, oil expenditures, heavy taxation, and so forth. Yes, I believe that the reconstituted route, which leads to a coordinated payment of certain key types, such as those in the Hafjörður tunnel, will be in the Valale-walk, and may be in three corners out of the capital area when highways of separate vehicles are in all directions. That way, people are paying extra for the benefits of driving on such a road. There's nothing unfair about that. Men save themselves by that time, and get extra security, etc. and it's okay for that round to pay a little extra. But third, I think that in the future, it will be considered to use electronic technology to lay some groundwork on the road taxation. Of course, certain personal protection needs to be solved, and we do not want a large brother to be observing exactly where we are at any given time, each one of us at every car. Of course, that can be done. And technology offers a measure of the taxation to that kind of user charge. Then it's just a measure of where you were driving, how long or how long it's gonna be, in some way, the anticoagulation process.
ParlaMint-IS_2016-10-06-165.u102	Madam President. Thank you. paritaprevir Steingrímur J. Sigfússon for his answer to my answer. I'm glad to hear that he agrees with these views. As mentioned in my talk earlier today, I was traveling through South Ruthia for the summer and even in the state we might expect to have a highly underdeveloped transport system. There was only one closer, a very good transport system. Drivers would pick up the phone and send a text to pay for roadtoll, so it has become widespread as far as I can next. I think we're really supposed to start looking at this because, as we've been doing today, our road system is a very bad one. In fact, we would have to add quite a bit just to keep it up, let alone build it up, or update it, as it were. There are a number of projects that are urgent, so I think we should, in fact, consider other means of financing the road system. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u103	Madam President. Of course, I agree, always have been, that it is normal for traffic to make much of the investment in the transport system. It is more reasonable to believe that there is a basis for this, so those who use transportation systems drive on roads to pay the cost than those who, for example, do. Neither do they with their public taxpayers do so. Let us remember, though, that the government is getting huge tax returns from the road that is not marked. Thus, both the fuel charge and the oil charge are divided, in general and in particular. It's just part of an earmarked Vega fund and then the heavy tax. The government's getting all the worthwhile extra tax from the fuel sold. So, in practice, the state has much tax money from traffic and far beyond what is involved in the whole road system. In itself, it is not wrong if a person believes that it is economically wise and practical to do better in these matters to transfer taxes into direct transport projects. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u104	A respectable president. I'm just going to talk in my second speech about public transportation, which is very important. The agreement was made so that the city of Reykjavík, if I understand correctly, would actually be canceled because transportation would be performed in the capital area, but instead public transportation will be built up. This was and is, I think, of the good. It is important to try to reduce the pressure on the road system and to improve transportation in the capital area, though it is certainly a challenge. It has been suggested that funds go to the capital area on this project, but it is proper to remind them that the contrary was determined to wait on projects that would otherwise have had to be carried on. We've been building up a little bit of cities and towns out of the private car and out of the needs of the private car and seeing that it's not necessarily intelligent, but at the same time, it has to be arranged for the private car. I was very interesting that in Ljubljana, the capital of Slovenia, who was given me the European Union's environmental prize, the downtown town or a certain area was closed for traffic and built a five - story parking place on the edge of the downtown town. It's a considerable area. It is quiet, and people walk around, and those who have to travel are provided with small electric cars, so older people and those who have difficulty walking find themselves in the area. This is so far-fetched. It's a good weather there, but it's a big deal to experience, and it's really fascinating to us when we're abroad, to be somewhere, and not with our private car inside. Then we're ready to walk, and we don't think it's an occasion, but then we're so eager to jump into the car and use it to get on our way when we could really walk and even walk. I own a car against another person, and when I have the car, the tendency is to use it very strong. Then I find out when I don't have my car that I can get a lot out by walking or riding a bicycle or bus. No doubt, all of us could do something to reduce the stress caused by the private car and thus reduce the malaria in cities and towns because that is not necessarily the most beautiful part. But I agree with the view that we need parking. You can't expect people to walk long distances. I understand the concern of merchants, but we don't have to park in the store. Sometimes it's as if they're too afraid of it. But I do think, for example. The parking garages around the Lush Road in downtown Reykjavík were absolutely brilliant. It is not unusual for us to pay to keep our car somewhere. Speaking of parking lots and paying for them, I think it's special, too, when we get all these tourists here, and we have to build wood, make lots of cars, and step, and other things around our natural bulbs, that we should be reluctant to charge for the parking lot. It is relatively simple, and it may be useful to build up. That's how it is from abroad. You don't necessarily go on your own and park your car for free where you want to, you pay for it. These are ideas that were tore up with the natural pass when we talked about how we could tax people. In fact, internal flights and air transport are mentioned in the transport program as well as in spreading the stress, spreading more of the country's outlets to tourists. I think it's good news now that Iceland's Air Force is going to try to fly straight out of Keflavík North, I don't really know if they're going north, east and west on this flight, but it's worth the experiment. I've met people twice recently, foreigners who have come to Iceland and are obsessed with Iceland and when I ask if they probably haven't come to Akureyri then they say, "No I came to winter, I'm naturally unable. Is there anything you can do to get to the north? You say, "I don't live in Svalbard. I can't. But this is the feeling people get. It may not be strange for people to think that if they go outside the capital area, now don't talk about if they go north, they'll get into a hell of a lot of trouble, maybe looking at the impenetrables where they were all trapped and all trapped, but then they showed the photos from the capital a whole different way. So it's not necessarily strange. However, there the domestic flight can be very strong because people, according to their nature, do not rely on driving in winter, but it could take flights. Another important thing to me is that we take a real look at whether international flights are practical from Akureyri or from Egress where there are international airports and there's always something about a straight flight from that airport. That would be extremely important. I'm glad the government put funds in aeroplane development fund so that they can be fully explored. But as we have access to them, there are things to be assured, such as that aircraft fuel is no more expensive when it is purchased on the land. I believe in the matter of the council here, which is a very good matter. It has only been discussed about the funding we need to put in the air travel system to a much greater extent. I think more things and smaller things agree that we'd like to put more money on road construction, maintenance, new projects, and build up our roads, take on one-bordered bridges, wipe them out on highway 1 and so forth. But where that income should come from is another matter. Hv. A senator who spoke before me spoke of the route in many places that people actually pay taxes for where they drive. This we know from abroad and from such a roadside, that we need to go through a side. It's never a pleasure to pay more taxes, but I think this is simply not a question of whether we want to put more money in it, we have to do it, and then we also have to be ready to collect taxes in order to live up to the structure. Of course, the simplest increase in fossil fuels and ensures that the balance of income increases in accordance with prices that have not yet been done, when there were really all opportunities to do so, in view of the low global market value of fuel, oil. Sadly, that was not done. As I did not tire of pointing to them, this government also decided to place 80 billion people in debt. There are a lot of billions of people I would have liked to have used for many other projects rather than hand them out in a random way to people who had many things to do with the money.
ParlaMint-IS_2016-10-06-165.u105	Mr. President. I'd like to talk to you for a second. A senator for the international flight. She came into it in her case. Home - to - earth flights are of utmost importance to us as a nation to link parts of the country and to cooperate with the services that have been gathering more and more into the capital area, as well as to use us for tourism and for people to travel around the country without necessarily needing to be present in the capital. It's Iceland's airline now, from what I hear, about to start an experiment, i.e. To fly straight from Cheflavík to Akureyri. Counts 'em out. A senator that will be included in the discussion that has been very hot over the years regarding the location of the NYU airport? Just away from that discussion, you know. A senator could not have set off much earlier by offering a flight directly from Cheflavík to the largest international site and by opening his way for travel agencies? Of course, the product needs an offer, so it sells. It would then be an option for the vast number of tourists who are interested in visiting us, and don't seem to have diminished their interest, flying to the parts of the country that have a good airport, and using the Bombardiers, whether they're bigger or smaller. These are places like Isafjörður, Akureyri, Eglish Places, and Cape of the Hornfjord. Would it not have been to do so long ago, and should it not have been done in other places to leave Chefavík and go to shore?
ParlaMint-IS_2016-10-06-165.u106	A respectable president. I agree with what. Senator. I'm very excited to see how this experiment works. But I imagine that the prerequisite for this to be practical and valid is that a certain number of tourists exist. We are now looking up such an increase as so many tourists that we have actually begun to see if international flights are practical on the ground as well as on Keflavík Airport and as they are spreading their tourists directly from Chefavík to shore. If it works well, I hope that people look to other destinations. I experience that we are actually overexploiting some areas and that we work on others when it comes to tourism. I was on the east the other day, in the Valley of Breed, and in the South. I said, "Why isn't everyone here? What are people doing somewhere? Of course, what people are looking for is different, but if people are really looking for nature, then, for example, it is. East just great, and really the whole country, the Westerners, the Northern Land, and I don't talk about the southeast corner. No matter where you step down, sometimes I feel sorry for how little we can spread tourists out of the country but just over the blues. This is very exciting. I can't wait to see how it turns out. But I imagine that since Iceland's airline decides to go on this right now, it's because they think there are enough people who want to take advantage of this. They will likely also have a kappacitet to advertise the voyages, and this will be of benefit to them.
ParlaMint-IS_2016-10-06-165.u107	Mr. President. Yeah, it's a question of whether it's around, the egg, or the chicken. This option has not been available and has not been tested. All of this needs to be prepared, and if these travel packages were available in advance, it would be clear if the flight could meet that need. I think it's just very exciting, and it'd be to promote whole-time service in many places and that tourists could look at all the natural spheres that Iceland has to offer. Only in terms of the financing of transport in the country. Although tourism has been reported to produce some 70 billion dollars in the state box and even though only 11% of the sector's worth tax, which is less than the average amount of employment, it is enormously large. So it must be looked to in general how to finance transport in the country. It is now more a political decision and a matter of priorities that the funds have not been implemented because of a large increase in tourism. Regarding public finances, it has been discussed that there should be no markets for income, as has been the case with road construction in the country. I just want to hear a little bit of attitude. A senator with regard to the changes she makes in that regard. Of course, cars are changing about energy exchanges, hybrids, electric cars and so that will not apply all traffic. We need to look to other aspects of making donations for the road.
ParlaMint-IS_2016-10-06-165.u108	A respectable president. In terms of the energy exchange, as we do today, we are walking around 1/62%, reaching 1%, of the automobile fleet today for electricity or assessments, ecosystems are as I call them, and do not pay these spells. At some point when we are up to 20 or 30% in that material, of course, it's not working. But there's a pretty long way in it, so I would say that with funding the system, it's the first step to raise fuel costs or budgets for fuels, fossil fuels, which is also a procedure aimed at reducing CO2 emissions, so it's just a spontaneous operation, I think. If we do not, when there is a minimum oil price, when will we do so? There is a loss of significant income, but it does not make any difference that we will still collect taxes that are not earmarked. Of course, it's just a political decision what we put in the road, and they'll be able to see how much they'll pay in the state funds, and that's what's divided again. Today, it's really that way, like what's-his-face. A senator knows that only a part of this money is due to transportation because of the pressures on cars and others. He just goes to the hotel and into something other than transportation. It is, in itself, a political decision. It's gonna be like that all over the commercial income markets. But we will always be able to see how much we get from the fuel charge or the oil charge or the car charge or what it is. Besides, it's only a political decision how much we're going to put into the transportation system. But I think it's essential that we add more tax. I'm more in favour of taxing gasoline and oil instead of getting into some kind of system where you pay to drive after a certain road rat. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u109	V.E.G. President. We still discuss a proposal for a 4-year transport strategy, as noted, in fact, to be just over a two-year transport program at the end of the day. However, the discussion has said the importance of transport in general, pointing out that transport is, of course, a measure of the community's lifeline, since it is transport that we associate with different places, which vary from one side to another. This is to be photographed in the members of my committee party. The environment and transport committees, showing that with increased cooperation between rural unions in employment and service, culture and education, the need for strong regional roads is increasing. It also shows the importance of looking more closely to the soil and becoming more important in all regional planning and economic development, not to mention the safety issues. A smaller section of the Committee also suggests that when large transport projects are assessed and prepared, their influence on the sex status is appreciated. I think it's very important that we say so, but I would like to point out that there are other factors that are important when considering transport. Because it is only a few days ago at the Council agreed votes by validating the United Nations Convention on the Rights of Infirm People, I would like to agree with the transport and transport programmes. I have not been able to sense that there is anywhere in this transport program to discuss transport in any place in that light. I searched the transport program for 2015-226 ago, and I found no mention of transportation in connection with the need for the disabled as well. Transport may be said to be one major bioavailability issue. You may see the best in the 9th. The United Nations Convention on the rights of disabled persons discussing access simply says that Member States need to take appropriate measures so that disabled persons can live independent lives and share fully in human life. These measures should provide disabled people with access just as much as others can to form the material environment and also to transport. It is noted that the measures included include: In removing barriers and barriers that inhibit access, we should also reach buildings, transportation, and other facilities within and outside. This is of utmost importance in planning plans, in planning, in design, and in the way of thinking, it reaches everyone in the community, and in this respect the term is an enormously important design. Two. The agreement on the rights of disabled persons is discussed on definitions. It defines the absolute design, which is defined as this, by permission of the highestv. President: ▪ Absolute design means production products, environment, plans, and services that everyone can use to the extent that the circumstances allow, without the need for any special output or design. This is so important to keep in mind when it comes to transportation and planning there because it is everywhere in the community. It turns to design and deportation so that people - whether motorized or blind - can make it as easy as possible. This should be taken into account in terrestrial conditions e.g. It is relevant to all of their designs that there is safety and everything in it so that everyone is disposed of from the movement of the people. This is also a turning point for all to be able to see away from their physical condition. There is a change in motion from what? paritaprevir Vilhjálmur Árnason's design in the Western Islands is important to her use of everyone. This is also linked to public transportation, which makes mention of cooperation with rural society in designing light trains and fast cars. They need to think that this rotten vessel will be useful to disabled people as well. All of us are familiar with the recent discussions about the travel services of disabled people. It has proved true that it is not a fast service; it has just been critical of the inefficientness of that service and how much time it takes for people to get in place. Like the community of everyone else in the community, the community of disabled persons is based on social mobility. We have been, and we are way too used to think about the affairs of disabled people in a separate box. I think we need to learn to think about in all government strategy that plans are made to actually reach everyone and care for everyone's needs from the beginning. This is true, as in the case of household access, it is far more expensive to change the structure or plans that have been adopted, build and organize, than to think about the initial availability of everyone. I wanted it to be part of the discussion. In order for a transport plan to become useful, and in order to achieve some flight of disabled people's rights, there is always a need to think about this in context. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u110	A respectable president. I hereby recommend the absence of Minister of the Interior for a bill to change the law of the intermediate level organisation. May 26th. The Allied Council approved two law-employed cables that established an intermediate level in Iceland. On one hand, there is a new total law on courts and on the other, a law on civil treatment and the treatment of criminal matters. Take the above law into force on 1 January 2018. The law has a significant improvement in the legal system designed to support its security and its security and to include the most important in the establishment of an intermediate level here in the country so that the Court's judgment will be done in the latter three part of the district, the National Court and the Supreme Court. The agreement of the above laws calls for a change in a number of law columns. Although the major steps have already been taken with the approved new legal laws and related changes in the handling of private matters and the handling of criminal laws, there are many other laws that are less than or more bound to the legal system and that the new legislation must be adjusted. More and more significant changes are needed, but the most important ones are subject to lawsuits between courts, especially in the full rights of law, and legal lawsuits. This bill is prepared and submitted in order to adapt existing legislation to the proposed changes to the Icelandic legal system and is submitted directly to the laws of the Council of 26 May 2016. V.E.G. President. I will now step in to key points involved in the subject and emphasis of the bill. First of all, adjustments to law code 78. law on the change of civil and criminal treatment laws, interjugation levels adopted at the Council of May 26 of May. In accordance with regulations such as these, they now do not accept laws that are not completed but that have already been given orally to the Supreme Court at their receipt. At the same time, it is stated that the cases of appeals or cases have been filed to the Supreme Court for the execution of the law should be carried out in the land's courts. In closer analysis, the Ministry assessment, taken from those who have been consulted on the subject, is more practical if the exact opposite procedure is being carried out, i.e. that the Supreme Court will complete the treatment of the cases that have been sent to him during the implementation of the law and that the same value if appeal has been reported or appeal has been applied. With that arrangement, it's at least working. Two things: One will be avoided: When the Court takes up the course of the court, there will be a number of problems that will soon have to be closed. This again allows the Court's judges sufficient room to set themselves up for a new job and prepare for the operation of the court. However, this ensures that the case ends with the same standard of justice as it was when it began, which may have avoided complex problems related to legal regulations and legal divorce. Second, a change to current courts is proposed to ensure that the 42 judges and 10 judges of the Supreme Court will remain until the implementation of new courts on January 1, 2018. In 2009, the number of judges in the province was temporarily increased from 38 to 43 because of the pressures on the courts, which was extended three times, last in 2014. This source, however, fell down through the past few years, and under current law, no longer shall be reassigned to a local judge until the need for judges to become 38. There are judges in the province now 42. In 2011 there was an increase in the number of Supreme Court judges by three, i.e. Nine to twelve. This was done in a way that since January 1, 2013, the appointment of the judges to release the nine judges was not to be made up of that date in February 2014. In view of much pressure on the court, the Allied Council adopted law No. 37/2015 resurgence with the Supreme Court temporarily increasing, this time from nine to ten, according to that authority released in 2016. The reason for suggesting that this temporary increase in the number of judges be extended to the implementation of a new court law is primarily that a decision made on December 17, 2015, by a panel of judges' salary and remuneration, with a marked change in the court's rights to ongoing education and education. Up to that time, judges applied for reeducation in the reeducation fund of judges and district attorneys, but by the decision a change was made that a judge is now entitled to a four - year course to be re-educed, first after four years of employment, and by a judge's contract every three weeks per year. It is not unusual to conclude that when the above changes led to the decision of the Council of Elders will be fully carried out, it will usually take four to five District Courts on course and one Supreme Court judge. This will be the same as with a brief sentence in a judge's office, or with the same number of judges today. Some recent losses have been criticized by a judge's office, and in this regard it has been noted that such an arrangement is of concern to the principles of the independence of judges and courts. Then it takes time for a new judge to get into his work and the court environment with its pressures. For a short time, a judge's appointment did not always use the courts in this regard, as a result of the nature of judicial action that a judge for a short period of time has a limited chance of winning the job and running matters from start to end. In addition, it is clear that those who are appointed as judges thereby gain experience because of a small advantage over others who intend to apply for an order to a judge advertised for application. Finally, there is the possibility that a judge's sentence in office may be delayed, ending the procedure in particular when a job is advertised publicly for an application. Some judges have thus been appointed for a shorter period of time, but an eye route suggests that such a situation may not be sufficiently useful to the court of that court. In terms of extension of the number of judges to the Supreme Court, it is preferably a motion to include those whom I previously referred to as being of the change in law, but it is important that if it becomes legal, it will be ensured that on January 1, 2018, a sufficient number of judges in the Supreme Court will quickly complete those matters that will be treated there at that time. Third, there are suggestions for changing the legal requirements for legal rights. Is in this subject based on proposals approved at Iceland's Social Meeting. It is suggested that, in most of the conditions currently applicable to the development of lawsuits for the Supreme Court, it is clear that most cases of appeal will be completed in the new court. However, changes are proposed. It is thus assumed that a reduction in the number of cases a lawyer must have brought to the local courts to gain rights for the National Court, but now it is valid for the acquisition of the Supreme Court's legal rights. If a lawyer had to speak orally, 25 cases rather than 30 cases today. However, the number of personal matters is increased from 10 to 15. It is then suggested that if a lawyer can obtain a legal rights at that court, he must give four more test cases to the National Court. However, it is not expected that oral presentation would require other conditions in order to qualify for a test case. It compromises what is now valid for the acquisition of the court of justice for the Supreme Court, but it has been difficult for lawyers to obtain testing for transport because of the few cases judged by five or seven judges. So a lawyer can gain a court language rights for the Supreme Court is suggested in the bill that he should have had legal rights for the National Court for three years and that he would have performed no less than 15 oral cases, of which at least 10 private matters. However, it is not expected that a lawyer would have to present a special test case to the Supreme Court. Rather, he will be granted the right to a lawsuit to meet the above conditions and other legal requirements. Fourth, adjustments and improvements are provided in the provision of a number of special laws, especially in the realm of full - time rights involving lawsuits between courts. Is it the same as the law, which was accepted in ours, changed the terms of private and legal handling, No. 49/2016, for instance, to set up the standards for a special hearing or a chance to request permission of the Supreme Court to bring charges to the Supreme Court. In the specialties considered suitable for the final judgment of the Supreme Court, it was beginning to have the authority well expressed in general. Thus it is stated that it is possible to request the Supreme Court's permission to sue the court in a judicial hearing under the stated law that includes a final decision on the issue of conflict. Fifth, adjustment of the provisional laws of new courts is proposed to ensure that there is sufficient room for the preparation of the new level of decision, national rights, as well as the judicial court. The changes are made primarily practical. The most important change proposed by the U.S. president of the United States to be appointed and started full six months before the start of the court's work, on July 1, 2017. Is this change necessary to make sure that the president has sufficient time and space to prepare for the new court's operation. Changes other than those mentioned here are minor and are primarily involved in legal harmony. V.E.G. President. Here I have explained the key elements of this bill and suggest that it be followed by this discussion referred to why. General and Education Committee and 2nd.
ParlaMint-IS_2016-10-06-165.u111	A respectable president. I recommend here on behalf of the welfare committee for a bill to correct the change in the law of general apartments, it's a bill that has to do with the founding position. I'll do it in the absence of the Chairman of the Committee. As shown in a bill report, this is presented in accordance with IV regulations for temporary purposes by law No. 52/2016 about the general packaging and is suggested for 4 mg. Section 15. The law will be removed, but in its place, there will be two new articles that will support the establishment of a local body and, on the other hand, the establishment of non-profit organisations. The changes aim to ensure that auto-reliance institutions and communities that are owned by rural society and are subject to the law can have the same economy as the provision of stocks provided for housing institutions, i.e. conditional stock/party share in apartments. Code four. Section 15. A valid law was laid down to propose the welfare committee, which suggested that the law be added between 2 and 3. ... abouta bill that became the law of a general apartment earlier. An Committee noted that the Common Union of Iceland, Reykjavíkurburg, and the European Union, together with the Ministry of Health, suggested that the Committee suggest that the legal entity (s) should be made up of nonsaltitutors (U.S. When it came for reimbursement, the funds would be cashed by the release of a bond. By doing so, contributions are considered to be self-imbursed by housing institutions, but they could also be made by rural communities. About 4 mg. Section 15. it states in the opinion of the Committee that it contains rural and legislators authorized to bring comparable institutions of state and rural society according to the further implementation of Regulation. According to one authority, it may be necessary to change other laws in order to reach the meaning of the paragraph, but it does not make clear what adjustments must be made. So the committee suggested that provisional regulations be added to the laws where a minister was assigned to prepare proposals for adjustment if necessary. After the accordion of the law, it was found that it was not possible to implement a 4. Section 15. Rather, it would be necessary to make adjustments in the law in order to achieve the purpose of the law. The bill is therefore submitted to make necessary changes in the regulations of the laws of general apartments so that rural and legislators entirely owned by rural communities, legislators active in the implementation of the law and met the requirements for borrowing from the Substitution Fund, in accordance with the established housing laws, and those who have received special permission of the Ministers to obtain legislation are permitted to bring stocks to state and rural society as stocks to members of their own population, which were entitled to stock or as property property. The case was employed in some parts of the Ministry and sought ways to recommend that parts and private partnerships could enjoy comparable economic policies. The result was that similar changes could not be made in partnerships and private partnerships as well as values for automatons could not be measured. It is possible to recommend that those who make a donation become part of the apartment but not willing to do so in the State. The reason for the development of stocks in partnerships and private partners is that when stock production is given, the company has been established and paid for its parts. To make it possible to move stocks as stocks, an increase in the share amount of the company, e.g. to produce a special stock group, which would then be entitled to other rights than conventional stocks. It will not be easy to predict this in law, as the following report says, so the decision was made not to change the social issues. This was done in consultation with the Department of Employment and Development, whose experts agreed on the results of the Ministry of Health. It is suggested that memberships be set up as law on partnerships, No. 2/1995, depending on incidents, it can be said that the strain would be set up as a special stock Party according to law. Within the framework of the law, it can be stated that this class has privileges and responsibilities other than traditional items and that the Society is required to buy the item again after a certain period of time and that the price is bound to a certain proportion of certain real estates. This is the case like it's towed into a paper with the bill, a respectable president. Then I'll finish my case.
