ParlaMint-IS_2016-10-12-169.u1	There'll be time for a conference at the same time. That's 1,3β-14 today.
ParlaMint-IS_2016-10-12-169.u114	V.E.G. President. Thank you. A senator's answers. As I said, I was not sure how to understand his words in speech, so it's good that he came up and explained it even more. This was made very clear in the Commission on a review of the social security system from including Iceland's greasing alliance, development aid as well as our deputies in the smaller part of the council that we are concerned that people with limited workers have difficulty working, and it may be difficult for the team to get a job. On the other hand, it was the willingness of the majority of the committee to adopt a central reform system that built on the basis that people have a job and therefore need less money from the social security system. Of course, it's something that we all want me to think that all of us are heading toward and think we're exemplary. But because these concerns have been expressed, I would like to ask them why. A member of the Parliament whether it will not interfere with the suggestion that the changes in the most part of it are suggested to increase the value of the improved class, which has 100% decrease ratios and completely reduces the impulse to seek work. [[The president calls.]] Really, then, we can see even less whether those who want to go to work get the job. [[The president calls.]] [[The president calls.]] [[The president calls.]] You see, there would have been information that would have been very valuable to us in continuing to develop ideas about the quality of our work. [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u115	A respectable president. I'm going to keep answering. paritaprevir The Steinunn Þóra Árnadóttir. I am concerned about the Corporate Community and the Developmental Fundamentalist because people with limited energy are not getting their jobs. I think it must be a very important objective for all of us, welfare committees and members of the council to make it possible for the employment and institutions of this country to take a poorer measure of employment and for those with less ability to work. I have even thought that there is a reason to set up a law that agencies and companies with a particular number of employees should have a member of that group working with them. I just don't like making laws about that. I would've chosen to come forward and offer a job to these people. We were talking about poor people and those with a lower level of professional ability to get a half compensation and to work full - time without cutting the benefits. So there are various ways we can agree that... A senator agrees that it is very important. [[Up front.]] It's a very important assignment. Let us talk about it at the next assembly, those in the hall, to the extent that it opens up. In terms of the benefit group, it may have been the simplest way, but at the same time, it let down for our people. That's why I think it's very important, and it's the job now, that we get together and finish these contracts, so these good people of ours have the same terms. [[The president calls.]] And we want them to live in the same way as older citizens, although they cannot be fully compared. [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u116	A respectable president. I have to admit that when we discuss social security, I'm going to get hurt in my sense of justice. It doesn't matter whether we talk about disability or a pensioner or what it's called. What I have so hard to deal with is the dominant attitude, that everything should just be on the forward line. We see the same attitude in the LIN bill, where people are supposed to be on the front line, all benefits are listed as being up-to-date. Actually, the strategist isn't even a minimum wage. What I find particularly difficult to deal with is all my income cuts. In the bill, the decline rate is increased. At the same time, even though I'm no expert on this, I'm increasing considerably more into one group of reformers. It's gonna take a little patience if I'm not 100% right. Deforestation is always a bit difficult, since people are often trying to save themselves for something or to have a trip abroad or what it is. They're people after all. Then I'm not saying what some have said, but what about all these billions and millionaires? Should they also be allowed access to the social security system? We're not necessarily talking about it. We are talking about ordinary people who are trying to live their normal lives day by day. Like I said, I'm really having a hard time with this bill right now. Its goal is a simple improvement system, but I don't quite see where the simplicity takes place. Yes, there is, naturally, some unit of reforms, but I don't understand what it actually does. Sometimes the simplicity is a problem, and it seems to be in here a certain complication by increasing the impairment rate. I must admit that I think deeply about what has happened to someone else. Council members regarding this rise, i.e. an increase of 13.4% in home remuneration, what it will do if we take into account the degree of loss of income, which is being increased at the same time. I don't quite see how this is going to end. I think it's a little bit of a game to talk about. I don't understand why people can't be paid a decent salary for being real. I don't understand why people who have worked hard to make a life for the rest of their lives don't get what's equal to the minimum wage in Iceland. I find it very difficult to understand that it all applies to a stratosphere, which is somehow developed and does not necessarily take into account the diverse circumstances of people, such as the need for medicinal products or other such. Also, I do not understand that it is okay for those who are living together to have considerably less monthly pay. It would be most natural for me to get 50 of them together. K. within a month's pay, to be consistent within the system. I'm suggesting it. I find it hard to understand the thought behind it. I understand it's more expensive to live alone, but I don't like 240 of you. K. Nothing to shout in the face of the prices today, unfortunately. I don't understand why it's about to go up the ablade which is the most impaired and the purpose of it. What's the big movie gonna look like? I'm just happy that there are ups in the whole system. So I can't say that I'm especially against it. But I put in my ignorance a question mark to a certain thought I've found in other parts of the system, and it's the old-fashioned idea that people who accept something from the community are on the farm and that it's okay to live on hunger. I really don't agree with that. I feel it shines a little through when we read bills like that, unfortunately. I can't say that I fully understand this case, because the social security system is very complicated, but all such reforms should be carefully investigated. Although the commission was given to the committee to discuss this matter, I was not in trouble. A committee, called or why, on the St. Peter's Committee. The welfare committee. All I have to say is that I'm gonna put a question mark on this process, even though I'm pleased to know that more money is brought into these classes. I have asked questions about why a couple living together should have less a month and why this is being added to the fact that the person who lives alone receives 280 of you. K. Why doesn't everyone get 280 points? A k., which must be the goal of getting everyone in? I'm not gonna keep my case much further. It's a general speculation. Although I may, of course, appreciate the objective, I make a special advance in this process. I have to say right now, there are a lot of things in here that I don't understand. I hope others are. Senators can explain it to me better.
ParlaMint-IS_2016-10-12-169.u117	V.E.G. President. Hv. In this bill, a senator found it difficult to understand the thought and was ill in his sense of justice. I'm really worried if those Pirate agents, if it's that general with the Pirates, they're going to get hurt in their sense of justice with this bill and they're gonna have a hard time understanding it. This bill is thought precisely, as the government's hearing has been in most cases, to protect their interests. There's never been anything else. You have to understand what social security is. Federal insurance. There's minimal progress to be ensured. Why does it get soft? So surprised, then, that a candidate should be in line with a straddler's policy? What should we aim for? And if it's social security, it's about alimony, why does that make sense? So a senator did not see that it is normal - since the senator understood that the business was less expensive with partners, and it is all about living and making minimal progress - that there is some impairment when people are together? This can't be simpler. I don't understand why not everybody here just jumps over it with joy. No, it has become an inconsistencies because everyone doesn't get it. Is the senator supposed here to be a citizen's salary? What does the senator mean?
ParlaMint-IS_2016-10-12-169.u118	A respectable president. Maybe I'd like to start by correcting some things. A senator, I have a sense of justice when we talk about the social security system in general, where I've heard a lot of stories about how people trying to keep fighting, and then suddenly the social security system says, "Hey, listen, let's see, you owe us. But the person simply doesn't have a comb for the ass anyway. These are the stories you hear here and there. Of course, when we discuss these matters, my heart becomes only evil and evil in my sense of justice. It's very complicated, like a whale. A senator points out. Although living together is less expensive, I feel that they should not be cut off. I feel that a household supplement, and a household supplement then needs to be supplemented according to minimal progress. Two hundred and twenty thousand a month, I wouldn't trust myself to live on it. 240 thousand? Hardly. Remuneration for a general labour market has reached a monthly rate of 280 to300 thousand. There's just a big difference. Then perhaps some household chores could be discussed. That's what I'm talking about. Home - to - do is to make things right. Not to say, "Hey, 280 grand"? No, if you're living together, we'll walk away from you. It's something that this is actually thinking. It's great to be putting money into the system. But I must be allowed to comment on how this approach is. Yeah, okay, I totally understand what the social security system is. Why, then, are people who make a few bucks so hard? Why are these impairments so strict? Why are the decline rates being increased? We are often talking about single people who may be knitting sweaters, just to have the possibility of giving Christmas gifts to their grandchildren. [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u119	V.E.G. President. I'm afraid I will. A senator still leaves behind the social security involved in this talk. This system simplicity is for example. to prevent such accounts, as mentioned earlier. That's a lot of simplicity. This is much cleaner. It is true that it has, of course, been difficult for those who have not been in a job market, live alone, and have been paid well. This is where they're improving their benefits. Because they were basically under the alimony criteria. On the other hand, those who make money elsewhere and live together will, of course, be less progressive. These are social security. There is no justice in having a full pension and then spending money elsewhere. That's when they're way beyond the payroll, even middlers. There's no social security system. Of course, it's just getting crazy. It's not supposed to happen. We are just making sure that no one is under some standard, that there is no room for necessities, and that they do not make ends meet at each month's conventions. That's what it's all about. It's about social security. That's why they're supposed to come down here and jump their hill for joy, huh? Senator.
ParlaMint-IS_2016-10-12-169.u120	A respectable president. Maybe you're not right. Senator that the bill will totally prevent all account accounts and be simple. It's simply not right. It's very controversial whether it is. So I'm gonna have to put a little notice on those tipes from the back of my head. Senator. I can't quite jump my hill of joy here in a punk. I'm not entirely sure that a respectable president would consider this appropriate. If the aim of social security is that all should be about in the stratosphere and can never do anything beyond that, that is exactly what we disagree about. I think it's all right that people can live decent lives. I think the straggility point should be exactly what happened. A senator pointed out. This is basic progress, the cost of living and paying for your bills. But I think it's all right for people who can earn a little more or who have collected into bills or inherited an inheritance that doesn't all get damaged by the time being done. I think it's okay for people to be allowed to go to Florida from time to time or to Spain or Copenhagen to visit their children. I think it's okay. Also, I think it's all right that both poor and old-tempered people can collect money and enjoy their goods and not just being shrunk and shoddy. But, hey. Clearly, a senator feels that people live exactly in the stratosphere, not much above, that's too much, but perhaps below. It seems to be okay for what? A senator. That's why my sense of justice makes me sick. It's exactly this attitude that I find very difficult to understand, that those who are making money from the state or pension can just have it pretty bad. That seems to be a point of view. Senator. I don't agree with that.
ParlaMint-IS_2016-10-12-169.u121	V.E.G. President. We'll talk about 2. bill to legalize social security laws, social assistance laws and the laws on the issues of the elderly through subsequent changes. Here, several members of the Parliament have spoken up and were completely honest with saying that they find the system complex - and that they have trouble understanding it. So I would like to suggest that at the next assembly, now that the end of elections, the government's insurance agency will be given to conduct a course or presentation of the social security system. I think it's very important that such a presentation is not a matter of single warning. Senators who are in trouble. The welfare committee, though most important, is that all of them understand the system. Rather, I believe it would be a great improvement if members of the general body had good knowledge of how the social security system works. Of course, the global insurance system is one of the most important things we have in our welfare community. It is therefore important that members of the Parliament, who carry the contributions of those who have impaired their ability, know both the systems and the ideals that people enjoy. If I shall reelect, I will speak for the end of the election that insurance agencies will be given to give such a presentation to interested ones, and I certainly hope that as many people are interested in these matters. Hv. paritaprevir Sigríður Ingadóttir, who is the head of the committee's opinion of the lesser part of the whale. services committees, conducted their talks carefully through the committee's opinion of the smaller parts of the social committee as well as the proposed changes. The committee proposes. So I'm not going to go through the committee opinion again, but I intend to use my talk time here to draw out especially some things that I think are very important about changing the social security law. First, I must mention that bill, i.e. The original bill from the highest. Minister of society and housing, arrived a little late for the council, and then immediately became critical for taking the sole price of a pensioner. It was also highly critical that there were no changes in the rates of pensioner payments, in accordance with the labour market menial reforms and that the bill, as it was then expressed, did not assume any increases in the age-old pensioners in the recovery of the social insurance system. This, of course, is the older citizen in the most difficult financial position. Fortunately, in Iceland, many older citizens are quite normal and some are very good. However, there is a group who have little or nothing in a pension fund, so they must rely entirely on the payment of the social security system. It is unacceptable that dresser compensation does not reach him as much as any of the objects here at the General Sees and therefore suggest a change in the bill. The suggestions for more things go wrong. However, the welfare committee suggests that it was extremely late until or after the completion of the General Work Programme and actually at the end of the week where the General Assembly had been active without a plan. Although it is better to make the adjustment, it did not at all cause a very short period of time to evaluate the impact of the changes and the representatives of the smaller objects. For example, the welfare committee called for stage shots to determine how these changes would affect certain groups and also called for calculation of the impact other exports would have, even with the same capital and more share of the data. The welfare committee is suggesting. But because of the short time frame, it was not possible to fulfill that wish. Of course, it's shocking, stage arts are so important in the system because it's not simple. In fact, no matter how well you know the system and the different impairment rates in it, when the only small tooth wheel is moved into the picture, movement will start out as difficult if it is not impossible to see how the pensioner's final pay will be affected and that he will be involved. This also made less things less difficult. The welfare committee, who is critical of the changes in the greater part, also had a very short time to respond and shape their suggestions. This is most important because the smaller part suggests that all reform groups increase by 13.4% in order to maintain social security in the context of relevant workforce increases. But also so that unexpected movements do not start that we cannot know in advance what the consequences will be. We must never forget that it is the forwardness of people with whom we are working and working. With seniors, we have a bill at the highest level. Ministers are being reduced to one-side-counting classes and one decline rate is introduced into all other incomes. This impairment rate will be 45%. In fact, I don't object to the simpleness of the system, and I think it's very necessary to simplify the system to make it more understandable. I'd also like to say, though, that we all have to be careful not to lose sight of the fact that even if the system becomes simple, it must not lead to some way in which it is wrong. To achieve the improvement of your pensioner to 280 of you. K. has become the way of doing it throughout the household. I'm very much in favor of paying for those who live alone. However, it has to be remembered that domestic work, especially in the changes presented here, brings more money and money to others than the combined improved pension system. Thus, putting all the increase in household chores in place would be the authority to give with one hand and take it back with the other. This must be kept in mind. For the disability, it was, as I came to this moment, on the top of the bill. There are no changes or increases expected by the secretary in the bill. It was critical. More of it. The welfare committee chooses to go that way to raise disability, in order to say that they are raising disability to 280 of yours. K. in line with the minimum wage in 2017, increase the cost of remuneration that falls in excess of a dollar. This is a strong criticism in the lesser part. This is, of course, the relief category that has a 100% reduction ratio. This change is further established by this subsidiary group that cuts against a dollar and expands the population of microorganism that receives payment according to this system. To date, there has been an agreement to reduce the importance of this system reformation group. The problem is that this relief party is extremely professional. I have not heard any senator, nor in fact no one who disagrees that the work of people with impaired skills is good. Not only because of this, a person can improve his financial interests but secular interests are equally relevant to social interests. Yes, it is through a job that adults take the most part in society. One of the major concerns of the Micro-Communication Community is concern about how the artificial labour market is to hire people with less ability to work. Now, in my opinion, it would have been a song to reduce the importance of this team of reforms, so professional, just to see what happens, to see if more poor people don't try to get into the job market and see at the same time how well they're doing getting a job. I feel very sad that the other part is going to suggest that this group of reforms get more weight. As a result, disability is even less likely to try to find employment, as is permitted because of its lack of financial value; even the cost may fall. But because my time is getting shorter, and I've mainly spent my minute talking about older citizens and desperate ones and criticizing the way that the greater part suggests to improve their terms, I'd like to say a few words about an increase in life - saving age and a flexible retirement. In our memory, we are very fulfilling the goal of a flexible nursing age and believe that people can have a choice whether they have taken a pension earlier or putting it off. We, however, believe that all changes in the life - saving age will be made in context. Since we have found that it is impossible to complete work on changes in public resources bio change, it is appropriate in the social security system to also wait for any suggestions on the growth in pension due to the need for these systems to talk, and this must be considered in context. Finally, I have to say that we left greens are warning at 18. The bill. But since my time is up, I see that I have to put myself back on the rosary to explain our warning in the left green. [[The president calls.]] Then I will also use my second talk period to improve my review of the changes in memory of the part.
ParlaMint-IS_2016-10-12-169.u122	V.E.G. President. I come up here for a brief talk because of a deeper voice. paritaprevir Kárason Björn's son. He now carried a rather thin message on the rise in social security payments. Those of us who observe them and their development in comparison with our country's salary know that he was taking only half - truths. Thus, during the period of this government, the highest paying costs have increased by 10% in the social security system alone and the cost of minimum wage is increased by 21%. The increase, therefore, is only 50% of the potential of low - paying people. These are the facts we've been trying to counteract with repeated proposals for the increase in social security that the forwarding team and the Independence Party have rejected. I think it's so presumptuous to come here and say that this government has raised a raffle in the pensions of social security that I felt compelled to come up here and correct this half-truth.
ParlaMint-IS_2016-10-12-169.u123	V.E.G. President. Then I can go back to where it was gone. When this big, important system is being discussed, time is often enough. I was at the end of my case on the matter of increasing the pension age and the flexible retirement of a life - style. I pay a great deal of caution that there is an increase in pensions in one system rather than in another system at the same time. It's actually just like what I said in 1st. about the bill of changes in the Department of Pension for Public Workers, i.e. that there was a bill to be considered in connection with this bill. Now we're in position to say, "Because we can't finish the other thing, we're also going to have to wait for the rise in the pension age in this system. " This matter must be taken into account. For example, strong protests from Iceland's Common Association have been made as a result of which it includes the fact that if this bill were adopted, the difference in the life - saving age would increase even more from the present level, i.e. The pension age of public employees and general employees, however, was available. I think it's very harsh and can simply get us as a community in a very difficult situation. Then it was our left-green reserve that I was going to do a few words about. It is best to start a little further and report that the smaller item on the welfare committee supports the improvement of the majority of the segments in removing Article 11. The bill, which stipulates the reduced rights of pensioners in prisons for provisional funds. I am very happy that I have agreed on that on the Committee and agree with the words here that have fallen to make a complete review of the system. Then, at the warning. In the 18th. The bill refers to the addition of a new provision for temporary planning that a minister will appoint a team to implement a testing project for a new nursing home for the payment of residents in nursing homes. I don't think it has to be bad in itself. But it depends on how this is going to work, which is fundamental. That's why we're in VG foreboding. I'll have to read it, with the permission of the highest. President: ▪ The left movement, the green supply, serves as a warning to this article of the bill and the adjustment of the share that allows rural communities to collect services. Presumptuously, no export has been made of the potential effects of the introduction of biosurgents by a husk. The change may make it impossible for some nursing residents to afford important services, as well as the impact of such changes on the management plans of nursing homes. To illustrate some examples of what nursing homes are expected to provide, there is a direct need to provide food, leisure work, housing, cleaning, and laundry. Of course, it must not be that people living in a nursing home have to refuse to clean up their apartment or room because of poor economic conditions in their later years. And since food is included, I wonder: " Does that mean that if you can't afford another day's food, you can decide to get food every other day? There are such factors that will be considered in this experiment. I don't really want any of us to take our community to a place where nursing homes live that they can't afford the basic necessities of life, such as food, cleaning, and laundry. On the other hand, I have here, both in this talk as well as in my first talk, traced responses to the bill as well as the main adjustments from the greater part of my speech. The welfare committee. So I think it's about to put the money into an opaque group where people can easily be dusted by merely talking about the rise but letting the decrease that comes in is more in between parts, for in the motions of more parts, the money is just put into the majority of the damages, i.e. household replacements in senile patients where the decrease rate is increased, and the extension in microenergy pensioner patients, which is impaired against a crown. So we are in a smaller part of the welfare committee completely disagree with, but because of the time we have to shape the suggestions to react to the changes in the majority of them, we suggest that all relief groups rise by 13.4%, thus paying social security in line with agreed pay-offs in the labour market. I'm glad that we've met that there's an increase necessary to bring up the most suitable pensioners. Sadly, though, more suggestions on how to do so are given. Therefore, the smaller item suggests its own modification proposal. I sure hope that after this discussion, we can see why. Councilmen of light and bill will be accepted with the changes made by the lesser part.
ParlaMint-IS_2016-10-12-169.u124	V.E.G. President. I'm just here to thank you for a good discussion on this important subject. These are the largest steps that have been made to improve the social security system in decades. 5.3 billion are undergoing system changes for the elderly, streamlining system to reduce the loss of the dollars. 4.5 billion go to free markets on all incomes to the elderly. One billion are in an effort to increase the benefits of the lowest terms, single species and the elderly. It's a total of 10.8 billion and a lot of simplicity on the elderly system. Now there is a debate between the Quantum Community and the Ministry of Health about important system changes for micro-piercing. I certainly hope that these discussions are moving rapidly and well, so that the desperate will have their system changes, such as the elderly. It's important. I know work is hard to finish. Under it, about 4 billion are found in system modifications for disability. Of course, it is important in all the discussion to consider that a security network in the system. But I came up here merely to thank you for the discussion and to remind you that it is a great willingness to meet those who are at their homes. I need to call the bill to what. The welfare committee between the 2nd and 3rd.
ParlaMint-IS_2016-10-12-169.u125	V.E.G. President. I recommend a committee program with a bill-change proposal to legalize social security legislation, No. 100/2007, with subsequent changes, child pensions. The majority of the committee handled the case to 2nd. August 24th, published by the Watch Tower Bible and Tract Society of Pennsylvania. During a conference at the Assembly Hall, it was noted that locality is prohibited in Iceland, and in view of this, it was decided to accept the matter back into the committee and suggest a change in wording. The majority claim that the bill is intended to contribute to the equality of children of single parents and to ensure that, regardless of gender, public support for single - parent families is the same. The change ensures that the right of a single father to a child's pension was not limited to her mother's death but also to other possible circumstances. Thus, whatever the reason for this, the equality of children of single parents will be guaranteed, in line with the ideal vision behind the payment of child care to ensure minimal progress on the part of all children. Taking into account the above, the greater part suggests that the bill will be agreed with the following modification: - Uh-huh. - Uh-uh-uh-uh-uh-uh-uh-uh-uh. par. put it At 4 mg. 20. Adding to these laws is the fact that a mother does not enjoy because of special or unusual circumstances. Ásmundur Friðriksson and Þorvarðardóttir were Ólína at the hearing. Halldóra Mogensen, an officer of the hearing, agrees with this. Under these are the writers of the committee, the one that stands, Silja the daughter of Dögg Gunnarsdóttir, Páll Valur the son of Björnsson, Óli Björn the son of Kárason, the Konráðsdóttir of Congis, and Elsa the daughter of Lára Arnardóttir.
ParlaMint-IS_2016-10-12-169.u126	Madam President. The 2nd. on this matter, about the change in social security law that turns to child support, was highly critical of the fact that there was here an embalmation in the lawbook, but as we all know, surrogates are prohibited in Iceland. After this much discussion, the decision was made to bring the matter back to the welfare committee and work on changing the wording in order to get what would directly point a surrogate view from the Law text. This is done here by means of a change in wording that adds up to 4 mg. 20. The law of the law says, with the permission of the president: both the mother and the mother are not available because of special or unusual circumstances. Of course, to me these words are better spoken than to speak of surrogates in a straight way, but to me there is no doubt about what really is meant. As a result, I decided to bring in a special party on this subject. That's very short. That's why I'm going, with permission of the highest power. To get to read it directly: In Iceland, the same section insists that local transportation is prohibited. The memory supports that it is the same with the public support of single parents, regardless of gender, that a single father's right not only to the death of a mother but also to other causes, such as cases where a single male has been granted permission to adopt a child. Then there should be no need to state that law against law is prohibited.
ParlaMint-IS_2016-10-12-169.u127	Madam President. I recommend a synopsis proposal made by a Senate class of greens, which reads: It is a challenge to all concerned members to observe the non-employment international releases for the protection of health care professionals, health care professionals, and emergency assistance in war zones. At the same time, the General Assembly condemns assaults on hospitals and medical shelters in war zones, describes the support of international law and international releases against such activity, and obligates the government to protest such offenses in the United Nations. This is a conclusion that in itself should not have to be discussed at the General Assembly, for of course we expect the nations to uphold international law. Sadly, though, we have seen an increasing number of cases in which health - care professionals are attacked in a war zone. In May of this year, the National Security Council of the United Nations adopted a resolution in which attacks on health care workers on war zones, hospital attacks, shelters, and other facilities used to help wounded and sick peoples in which wars were severely condemned by reference to the Geneva Convention and other international agreements on commitments involving armed conflicts, human rights contracts, and humanitarian laws. The reason for the conclusion was the frightening development of major attacks on health care professionals and their bases on war zones over the years. The number of such incidents is confirmed in war - torn countries, including Afghanistan, South Sudan, Syria, Yemen, Ukraine, and the Central African Republic. The protection provided by the health - care providers in international control areas is an enormously important means of humanity. A multinational body of doctors, without borders, the Red Cross, the Red Half Moon, and many others have sent medical personnel into the scene to assist those in need, regardless of how they have suffered from injury or illness and without taking sides with warring forces. In view of the humanitarian work done by health - care professionals in war - torn areas, there are attacks on it as war crimes. Nevertheless, the number of these attacks has increased greatly and is at times more similar than that of a warring force, with the goal of being a perfect disrespect for human rights and humanitarian views. The most disgusting thing to be done is probably never to be considered where armed conflicts take place, but this is the course of setting aside the international barrier to war crimes bound in international releases in the light of bitter experience. That's where the cohesion is everything. The impact of each State on change is limited, but with a joint effort, bad developments in the past few years can be reversed, and this is urgent. This decree of Congress, which, in fact, claims only that we want international law to be followed in wars, will make it possible for the international voice of Iceland to be used to protest such lawless attacks on health workers in war zones, to express support for the international releases that protect it and its work in behalf of the world's war - torn people throughout the world. I hope, if we have these proposals, that Iceland will be reporting internationally, protecting the vital work that doctors and other health care professionals are doing around the world in very difficult situations. I suggest that the proposal be referred to. Foreign Affairs.
ParlaMint-IS_2016-10-12-169.u128	V.E.G. President. Work to improve the social security system has lasted for nearly a decade. We in the Union support the system change brought into law here, but we regret that we did not have an agreement with the micro-energy donor. We will support the structural changes and any suggestions for increasing the bill. However, we cannot agree to raise a pension age when the National Association of Iceland declared such bitter opposition because of the failure of the bill for changing government laws. So, in the Union, we will support the system conversions and increases involved in this bill while sitting by the payment of the case.
ParlaMint-IS_2016-10-12-169.u129	Madam President. In the left movement, a ◯ green supply supports the system changes suggested here for the pensioner. We, along with the smaller parts, contribute to our own transitional proposals on how to improve the quality of pensioners and disability and, of course, support them. Nevertheless, if they fail to succeed, we will support the articles on the bill that will help to improve the quality of disability, even if we want to see other exports there. However, we cannot support the system changes that are going to take place in opposition to the entire labour market organization in terms of a pensioner's age and therefore sit by the cover of the bill as a whole.
ParlaMint-IS_2016-10-12-169.u130	A respectable president. There's a lot of better money here for all those who get social security benefits. It is a milestone step that we take in the system change, the simple system. We have a more transparent, fairer, and better social security system after approval of these laws. Since then, it is especially good that we have created circumstances in which to restore the minimum amount of improvement to 300 levels. K. in the steps that have been presented. In terms of the rise in pensioning age, it is accurately said that this is, of course, compatible with the average pension rights between the public and the public market. There's no disagreement with the government that they were always supposed to hang out. I think it's obvious that we need to discuss the issue of how to respond to the conclusion and the indications that have come from the European Union, which are primarily concerned that the Common Union does not trust that the Parliament will be expected to settle the pension rights as it had been agreed on in the public market. In view of this distrust, the relationship does not support the suggestion for the rise in pensional age as presented here. [[The president calls.]] But at the same time, let's keep it up that it is fully supported by that system change, it's just a question of when it's due to be started. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u131	A respectable president. It is a pleasure to know that this matter has come to a vote on the 2nd issue. and hopefully we'll finish it later tonight. I'd like to thank a few on this occasion, especially Pétur, the late Blöndalur. A senator we all miss here from the Hall of Congress and then the Sæmundsson of Seystein, who ended his work after Pétur's death. I would also like to use this opportunity and thank the welfare committee for all their work and agree with what is presented here on the importance of the reinstatement of the case. and that the Pension Age will be reviewed in accordance with the comments made by the Common Union. It would have been great if we had also stuck here with an agreement made with the official budget of the labor market on equal pension rights. I hope that's going to work. I know that those who stand for this government will do their part to do so. Here, however, we are accepting the greatest change in social security ever made. The changes made by the committee surely improve. [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u132	A respectable president. Of course, I'm happy to step up the benefits and pensions available from the social security system. On the other hand, this bill is not only about an increase in benefits but also about the age of pension. In view of the fact that the bill has been highly criticized, including Of ASI, I can't see myself able to vote for it as a whole. I'll vote for anything that turns to dress, but otherwise I'll sit by and think that the pirats will do that in this vote.
ParlaMint-IS_2016-10-12-169.u133	Madam President. It's complicated and difficult. The matter is solved with such speed, and it is almost impossible to grasp it. That's why I'm going to be sitting by the hearing. But since the bill seems to be a step toward improving the benefit of a large group of people in the community, I can't completely object to it, but I can't support it because it's so far from the simple and dresser improved that the Pirats intend to work on. On the other hand, I support unique articles on the bill, and I support the change in my share's proposals because I think it's a reformation of this other amazing bill that doesn't seem to follow its own goals with a decline and a continued tibia.
ParlaMint-IS_2016-10-12-169.u134	A respectable president. There are some things that we in our future support this bill. Of course, we support increases and compensations to the groups who accept pay and contributions from the State. We support some of the system changes made here, but others that have been put in place and not in agreement with their representatives, we do not support them. We are behind the changes made by the anticoagulant government. We believe that it is a matter of human rights that those groups whose career is dependent on us and their decisions here deserve to follow other groups of society. It's not a matter of comfort in the accounts of the state. It's a matter of human rights. We'll probably sit by, but we'll support what's good in the bill.
ParlaMint-IS_2016-10-12-169.u135	V.E.G. President. We're here paying a vote for a social security bill. This is one of the biggest steps ever taken in improving the social security system. In system changes, 5.3 billion are replaced by a dollar and a dollar is combined. More than 4.5 billion are set to free revenues, and 1 billion are up to improve the social benefits of those whose foot is nested in the community, i.e. Singles and seniors, to minimum wage, i.e. extensions are of minimal value. This is 10.8 billion dollars. ... you'reextendedtothegreet. That's an enormously positive and big step. Then, of course, we must continue on the same path and ensure microorganization comparable to that of an agreement between the Quantum Community and the Ministry of Health.
ParlaMint-IS_2016-10-12-169.u136	A respectable president. On the contrary to what has been said at work in the field of the joint committee of all classes and groups of the labour markets, it is not possible to speed up the general market pension age. Therefore, it is inevitable that only votes against this, and particularly in view of the failure of the government, in the way that the entire government body of public employees would agree, to come to the agreement on an equation of pension rights. It's very contrary to the fact that this is a place in a legalized proposal at the end of the council. It is totally unacceptable to vote for a five-year difference between when a pension age begins in public markets and in public wages.
ParlaMint-IS_2016-10-12-169.u137	Madam President. We have an independent group and a forwarding party turning down the less part's path to increase the pay of social security. We want our payments to increase by 13.4% so that the difference between single and married couples does not increase and those who live together are raised to 241,000. but not 227,000 times. as much as any part suggests. This is a rejection of this decision and a decision to increase the number of single ones more than at the same time to contribute to the greater limit. We regret it in the smaller part.
ParlaMint-IS_2016-10-12-169.u138	A respectable president. Here we are setting up as temporary regulations that the minimum social security benefits will be 300 yous. K. at the beginning of 2018 or several months before the minimum labour market wage. What a pleasure it is to stand here and vote for this. This was concluded by the recent campaign of candidates. We figured it out, too, about 300 yards. K. It should be a minimum wage in the labour market, and we will continue to support those who have few in the community.
