ParlaMint-IS_2016-01-28-69.u1	There are: Social and Housing Ministers and Environment and Resource Ministers.
ParlaMint-IS_2016-01-28-69.u58	Madam President. Thank you. A senator for an interesting talk, including the covert on business pressure and the opinion. At the end of his talk, a member of that body of elders spoke as he himself did. Hv. A senator started by talking about a lot of harmony, complete harmony in the National Institute of NATO and, of course, it's a pleasure if you agree, but I'd like to ask. A senator in what harmony he describes, on what basis it is. [[Up front.]] Is it a sign that Iceland's department is all, and that it is a firm and critical supportist of the activities of NATO? Is that the foundation of harmony? Or is the basis for harmony that the Iceland Department is united in some form of criticism that she has claimed there? Second of all, the problem was no more. A senator who became colder in love with NATO and Russia and gave these two big cases that would have been the focus of the discussion, i.e. Ukraine and Crime, on the other hand, the refugee problem. As for the refugee problem, I wholeheartedly agree. A senator to the roots of the Middle East, and today he is most in the limelight, with the exception of the dispute between Israel and Palestine, i.e. The situation in Iraq and Syria is abducted there. The responsibility of the Western world and, above all, of the United States is high. But can it not be said that the same is also true in some respects of Ukraine? What does it say? A senator of that? Was it not so that in the mix of European Unions of some people in Kiev and Maidan revolution, and when the prime president, despite all that, Janúkóvítsj, he will have promised, was driven from power, left a measure of vacuum, or created an inequities and instability? [[The president calls.]] He said, however, that no one I am a fan of this man, Janúkóvítsj.
ParlaMint-IS_2016-01-28-69.u59	Madam President. I'm amazed. A senator is not to be informed of his joy over the fact that there is harmony in this group. First, it is emphasized before reason. A senator that the NATO Council has no control over the actual implementation of NATO on his decisions. From the beginning, representatives of the council are serving as members of the Parliament, in turn, to promote the consultation and cooperation of the National Parliament, to provide information on aspects of security and protection. It is quite clear that many of the things that NATO has done will come to the fore, although it is certainly not possible to disseminate the events of the past year. I recall the time when I sat there during a series of world weapons, including the year 2007. In the name of NATO, it was under attack at the councils of NATO. The cohesiveness as long as the wind. A senator will come in after me, for example. When the members of Parliament brought their case to NATO meetings and conferences, where these disputes and embargos were being discussed. It was on our part that they reigned, i.e. They weren't arguing, there weren't different opinions about it. Although I've been cynical in the implementation of the clients and lack of agreement with the State Department, especially in the early part of the matter, and what I am in the foreign committee has called a lack of vigilance and preparation on the part of the Icelandic Commission, I felt that with the long-term interest in Iceland would be guided by this. Then I answer the question about Ukraine and Russia in my second answer.
ParlaMint-IS_2016-01-28-69.u60	Madam President. There's a misunderstanding. A senator that I am not glad to meet with members of the Council of Iceland at the NATO Council. I'm really happy that you did. Senators Egilsdóttir Egilsdótttir, Össur Skarphéðinsson, and Birgittir of the Ármannsson's son, get along well at this council in Iceland because it's always a pleasure and a good thing for people to get along. As for my business pressure, I could certainly agree with that. A senator with regard to matters that lead him to do so. As I have often said, when these cases have been raised recently and the demands have been made that Iceland's client's policy on these topics, people would have been better aware of what they were going to do in the first place and have already put it to good use, deciding that they were willing to take the inconvenience and the loss that might lead to such measures. Of course, it's something you should try to do if they're going to a coven and not be like calves in spring, and jump to and dump this on, and go on some hero tours east of a Funeral Park, and then suddenly sit with the backland in an upset when it comes to the piece, and it's about to have an effect, a mutual negative effect as often as it would like to become with commercial pressure of such a kind, but especially if the economy lies close to each other and is a little involved in business. Of course, Europe realized that people can have all their opinions on Russians and their actions, but it doesn't change the fact that people really buy all their gas from Russians, oil products, and are pretty dependent on them for raw goods and then other parties for exports, such as our friends Finnar, the Finnish agriculture, because they are now closed off by the Russian market. Otherwise, I eagerly wait for an answer. A senator with the second question about whether the Western, United States, the European Union, may be somewhat responsible for the situation in Ukraine too, as we would agree that they do regarding the situation in Iraq and Syria. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u61	Madam President. It is possible that the European Union and the United States did not play it well at first. It is possible that there was overcrowding Ukraine's expectations for a future that may have been very difficult to create in a way that apparently was drawing up within Ukraine. I'd love to hear it for myself. A senator with great knowledge of these matters explains more fully how he feels that the European Union and after events by other Western countries are responsible for the rise of these disputes. I'll wait for my sentence on that lawsuit until I hear it. The other is absolutely clear that no matter what has happened in East Ukraine, a part of Ukraine was taken and made up. The historical basis for this can be voiced by opinions. I have heard from these speaking views that are completely different from mine. It does not change the fact that no one has ever been able to demonstrate anything other than that international law has been broken. Under such circumstances, there is no other way for the international community to respond in some way. The way they reacted is then subject to criticism. Although I agree that a reaction was needed, I have followed my criticism of it. Hv. A senator was in a government where at least two decisions were made on foreign matters that could have an effect, on the one hand, in the state of Palestine and on the other, a free trade deal with China. At both times, the State Department of State made a risk assessment report that was considered to what it could possibly lead in dealing with other powerful countries. In this case it seems that the decision was completely blind without realizing that it was possible and even very likely that the Russians would somehow object, just as they did from the beginning with other nations. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u62	A respectable president. Thank you. A senator for the clear report presented here. Hv. A senator is well - known to speak human language. I think his popularity as a politician is now dedicated because he has spoken human language and has become quite popular so far beyond perhaps his popularity at the council. That is why I would like to make comments about his use of words when he spoke of Western commerce against Russia because of the situation in the Crimea. I want to know what it is. A senator cannot agree with me that the activities of the West to Russia are essentially quite different from the measures taken by Russia. The European Union, the United States, Canada, New Zealand, and other countries were not partially opposed to the public in Russia but were decisive action against specific factors and specific individuals with evidence of their involvement in illegal activities. What was involved in business was a very specific feature of the Russian government business, including the U.S. with spoils, weapons and so on. I make significant comments when people talk about these measures in Western society as forced measures, or even some sort of control of business freedom. That is not the case. I'm asking why. A senator can agree with this and recognize that this was a very specific form of criminal action.
ParlaMint-IS_2016-01-28-69.u63	Madam President. I agree with what happened. A senator says that this is a different kind of action and nature. I used the word "traveling " to Russia because that is the way it is referred to in a measured language. By permission of the highest power, the English translation. The general opinion of the President, the U.S. business pressure, is that of the day - to - day president of the United States. It's the words that the European Commission has used to apply to this and that's why I use it. But, hey. A senator may have noticed that I called Russia's campaigns counterwarms, including the U.S. Because I don't want to drop these actions under the same hat. They are different. A senator said. What I was criticizing, however, was that whatever they call it, whether it's a series of revenges, a violation of international law, or anything else, almost every sane person could assume that it would be time for the Russians to consider counter measures. This was not the case in Iceland. Iceland had the second orders to take them. There is a definite explanation for what might include. has been moved off the edge of the storm. paritaprevir Vilhjálmur Bjarnason is subject to a position within the country of Russia himself. That doesn't change the fact that it was right for me to take part in this action on the part of the West, but I don't think their preparations here in the country were good enough. But I haven't been hitting the top. Minister of foreign affairs because I have not considered it appropriate to discover that there was some controversy about how these measures were carried out. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u64	A respectable president. I think it is very important that people do not call it the same names, Russia's business pressures, which are particularly against the people in Russia, but also against the free trades between countries and Western penalties against Russia. Hv. A senator mentioned this to be known as the ◯trade of events in English, in fact, that is not true. In English, with the permission of the president, there is a reference to ◯sanctions, or ◯restrictive measures, which are forced measures. I think it's very important that the politicians and the government in this country make a clear distinction. For my part, I'm completely opposed to business pressure or any kind of restrictions on freedom of business. I can take as an example the U.S. embargo for decades to Cuba, who has not served any purpose other than extending the unprecedented situation there. On the other hand, when people see such a shameless violation of international law and human rights violations as stated by Russia in Ukraine, I believe it is reasonable to believe that democracy will take some action. And that's not true. Senator, there's no new word that Iceland is involved in this kind of operation? The Department of State Department website lists all the forced operations, as is called where Iceland has participated in a number of countries. Iran has been mentioned before. Here's Myanmar, Somalia, Ukraine is there in particular. Eritrea, freezing money. The precise definition of these actions is given here. Not in any case, these measures focus on public citizens or voluntary transactions through the commercial products and services of the usual kind, but on very limited factors involved in the abuse of criminals in the respective countries. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u65	Here comes the former chess champion, Garrí Kasparov. He was here to see a foreign press committee. It was before what it was. A senator sat there. He accurately described what would have to be done to the Russians if it should matter. The conclusion of his case and of what he stressed and, in fact, had to be torn in a number of sharp branches, was that it had to be done far deeper than what humans were discussing and making decisions at the early stages of this matter. So basically, I disagree with what I thought was wrong. In the first part of his answer, a senator withdraws materially in the second part, i.e. It would be contrary to the efforts of commercial and commercial pressure to achieve political goals. [[Up front.]] I'm of the opinion that it is completely justified, and I point to the classic thing that she has, of course, heard a thousand times. What broke the back of apartheid in South Africa back in its time was economic and investment pressure. I think it's perfectly clear. Yeah, you're right about what you're talking about. A senator said that it was a daily matter in the State Department during the last term and may still be signed under regulations that included some kind of criminal action against those states and much more. A senator mentioned earlier. I'm afraid if you look, for example. how the Norwegians responded immediately and again, they can be clearly identified by how they identified the situation, drew conclusions, and responded to it on their exports. They had already won their markets in Europe and had prepared long before it became apparent in Icelandic politics that they might be taken for granted. A senator has defined a way of taking revenge. [[The president calls.]] But it is reasonable to say that every sane person should have been able to recognize that possibility.
ParlaMint-IS_2016-01-28-69.u66	Madam President. I'm not going to try too hard on the vice president of the National Council of NATO. paritaprevir Acquisitions of Össur's Skarphéðinsson, taking an extended discussion on this report, but sharp. A member of the United States expressed a measure of interest in our discussion of the root causes of the situation in Ukraine and in the Crimeaganum that has been there. I'm not going to completely avoid it without pretending to be any special expert on that subject, but, of course, you've observed these events, as you probably have expected most interested in international affairs. I had some knowledge of the situation in this area when I was at the Council of Europe in Strasbourg and the affairs of this area, Ukraine including, did not mention the state of human rights in Berenchland. At one time, Júlía Tímósjenkó great wife approached the Council of Europe in connection with a discussion of the issues and a report that was then available for the council on the status of the cases in Ukraine, etc. In various ways, these events are complex both historical and political, and there are conflicting views on them. However, concerning Crime, it has to be recognized that there is no fully black and white picture that can be seen in historical situations, as well as demographic situations. As is well known, Crime was a part of Russia and the Russian Empire and the Soviet Union for hundreds of years, and it was moved to Ukraine for no hard time in history. Much of the population is Russian or Russian - speaking. It is true that there are minorities that you are deeply concerned about, but it is hardly possible, if the matter is taken into consideration in a national context, and people here are considering the legal and illegal measures, at least one national prerequisite must be met for self - determination of nations or ethnic offenses, and that the vast majority of the population in this area, I don't think they'll be divided, would rather be part of Russia than if they are forced to choose there, if any such circumstances arise. Some election took place there. They also have this historical appeal. Then there is the question of what stand people take when the issue comes to a conflict between national rights in the sense that there is to be an accepted border for some historical reason, even if it is just a few decades back, and so on, that under such circumstances, the inhabitants have a right of self - determination. It is a clear violation of international law. It's best to leave it to the jurists, and the National Rights Department, to take a big part in that subject, I'm not going to be a great wise man of it. But I have to say exactly as I am, maybe I can. A senator, vice president of the National Council of NATO, helped us in this regard, that I have only wondered about it, and sometimes asked: What is the difference between accepting independence in Kyoto and accepting independence or self - determination, de facto independence, in the form of the self - determination rights of the people of Crime? Who is he? If it was just a matter of fact, and it was not a violation of any international law to accept Kosovo at the time, what is the situation when it is the time for Crime? However, regarding the conduct of the Russians in general and their intervention in the eastern Ukraine, I believe there is no doubt that there is a violation of international law. They are underfooting the independence of Ukraine as a state by its intervention in the east regions of Ukraine. Under that, I can certainly take it. I find that in many ways less valid reason to wave some criminal at them. I don't think there is a question at all, although trying to hide it in various ways, it's not just Russia but it's the Russian army or Russian special forces, in various forms of disguises, to get involved directly in the conflict. They have taken their stand and have taken part in matters within the borders of another independent state. It cannot be overlooked, for it is an unscrupulous violation of international law to any such intervention from anywhere else. They have, for example, been lacking elsewhere, even though they have become so familiar with what they are doing. About the lead to what happened at the Maidan Square, I'm not the expert either, but at least I've read something about it. There are some strong stories about the fact that from outside the world, it was introduced not only by creating unrealistic expectations but also by more than that. Men have just been in the country and waved out to people that they could get a quick part in the European Union, even NATO, if they got rid of the government that was hostile toward the east. Of course, this is a very dangerous and indiscriminate mismanagement, and the same old scandalous mistake, to imagine that only a person can control progress in a faraway land under complex circumstances, I do not speak of what is well - known, and I have been in Ukraine that the land is very divided in these materials. It's very split between those looking west and wanting to connect with Western Europe a stronger bond and the tameds, looking for cooperation with Russia and cooperation in that direction. It has cultural roots, language and commercial roots, and so on. They should have been able to tell themselves that it was not simply a matter of intentioning to seize influence over the progress there. Would it not have been more cruel than trying to have the Ukrainians figure out what they were about to do than to begin directly promoting the tide of bloody conflict and the land split more and less on this foundation? As a result of these events. I make it clear as I have said in the past that I am no fan of the governments that were there. But it seems to me now that there's nothing particularly money behind some of the forces that got to power in the Maidan Revolution. Fascist and racist views abound there. You can debate who's more money than you are. The conclusion is as often as it was before that a person should think more deeply about what he is going to do when he intends to take part in individual or regional matters. I'm gonna make this fistula do what I'm going to do when I wish. paritaprevir Dozens of Skarphéðinsson's son to go deeper in the discussion of this matter, which led to an initial debate.
ParlaMint-IS_2016-01-28-69.u67	Madam President. Thank you. paritaprevir Steingrímur J. Sigfússon for deepening at least my understanding of his attitude on these matters. I must agree with him that I do not view him or myself as an expert, especially on the implications of this series of events. I think that I can also agree that there was an extracurricular situation in which I recall here before him and another remarkable phone call that was leaked, and no one knows any sheet that was recorded, in the other end being my former colleague, Urmas Paet, who was at his time in Estonia, since he is in any confusion to describe the information he has received, which at the time we would have been doing. I don't trust myself to tell you where they came from. Did they come from the outside, as can be drawn conclusions from a future discussion? I don't trust myself to decide. Or they were from the ranks of them as a dog. A senator called Fascist Europe? It is quite ready that after the events in this square, such complements came among other categories, became part of the government. But what was their outcome in the election? They got 1 or 2%, disappeared, thrown away from the inhabitants of that land. I don't trust myself, either, in spite of particular historical assumptions and the shortness of the time of this order with Crime, to agree with the stand that took place. A senator is lifting up here. People have done so before in this discourse. I don't trust myself to do that. I believe there was a prince in the matter of Crime. It was a member of another state. [[The president calls.]] I don't trust myself to say anything about the way these elections were conducted, but I ask why. A senator: If he thinks there's any justice in it, is it not only the next step that in the Donbass region there will also be a vote for which the states govern and expect to come to the same conclusion? [[The president calls.]] [[The president calls.]] Does that mean that perhaps some of it goes down? Then will the same thing be done in Transnistria, Moldova? I could record more. You have to watch out for that sort of reasoning.
ParlaMint-IS_2016-01-28-69.u68	Madam President. I was not giving up some particular view of what happened with Crime. I wasn't saying it was okay, I wasn't declaring any support to what the Russians did there. I referred to certain factors, historical and political factors, which still exist over which countries of this region have belonged to historically in the long run. It is after independent countries began to develop, and we began to watch some ◯land border, the natural monster has been a part of Russia much longer than Ukraine. Second, there is truly a greater part of the population of Russian or Russian - speaking people, and I don't think any doubt that their position was there. Are you just to admit that this is the way it should be, and you can go into Donbas or any other area and have it chosen as to what you want to do and look like the border doesn't matter? Of course they matter. But I asked a question I didn't get the answer, "What's the difference between Crom and Cosvo? " What about the national or national or cultural rights? If humans speak language, if they meet the main definitions of the national rights that are usually designed for self - determination, that is to have cultural empathy, to speak the same language, to live in a limited area where they are the dominant group, and that is, in turn, to be able to save themselves as such. I support the self - determination rights of national crime and those who meet these criteria. I support Baska, Catalonia, Scots, and I think they're the right people in these areas because they belong culturally to one another, live in a limited area, and have every ability to save themselves, if they want to, to become independent. I'm sure it affects me when I look at this position, but I wasn't justifying or claiming that what happened in Crime was okay and that it couldn't be a lawbreaker. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u69	Madam President. I like what you're doing. paritaprevir At the end of his talk earlier, J. Sigfússon's mask made it clear that he was not justifying what happened in Crime. That conclusion could be drawn from a previous talk. A senator's view that it would have been fulfilled, which can be said to be in the international rights to determine when it can be possible to break off state and to make an independent state or directly move within the ranks of another State. That's what happened there. If so, we cannot at least agree that even if we are in a bad situation. A senator says, and I don't exactly question it, that the more part did want it? But what solid evidence do we have that underscores it? Should we trust a vote that will not be used to monitor international institutions, as is usually in other lands? The election in Scotland, for example, bowed down to the monitoring of international institutions. That must be necessary. It is not surprising, then, that people ask the question, " Can you just keep going? ' I know that there will be a very different historical basis for the Donbas area in eastern Ukraine, but this doesn't change the fact that governments are in great opposition to Ukraine's government. It is very well arranged that a convention that is supported by Russia, has the means to look after themselves, is subject to a measure of custody there. Should we trust them in keeping such national laws? I don't think there's any way to discuss it on that basis. I believe that for countries such as Iceland, which is a small country, and for all small countries, people always have to break down when it comes to breaking national laws and regulations. [[The president calls.]] I noticed why. A senator spoke as if there were any doubt. [[The president calls.]] To me it's not a prince thing.
ParlaMint-IS_2016-01-28-69.u70	Madam President. Of course, it is important, especially for the smaller countries, to be respected for international law, to follow it, and to dissociate a judicial decision in a grammatic way, not by force, etc. But it's also good for everyone to be equal to that law, as it were, not merely to be interpreted for good. Would not the superpowers at times have to examine themselves? And where is holiness when undisputed, for example, in the case of West Zoara, that they have the right to independence and have agreed to it, but men place the binoculars for decades? [[Up front.]] - Yeah, yeah. I think people must also face the fact that, of course, there are many conflicts between different princes between the court. The self - determination right is very important and important in international rights, in the national rights. True, he may at times deal with the interests of big countries who fear that they will be disintegrated, and he will bring up his rights. That's why everything you can do to get in the way the Madrid government now does with the Catalonias, etc. Finally, let us not forget that when we are speaking of the so - called sacred boundaries, many of them came into existence. Would it not also be the worm in the mouth when the colonies and the superpowers took up the map and drew it up, pulled a pen dash, and used a ruler to create an army, one of the causes of the instability in the Middle East, Asia, and elsewhere? I'm not going to be the subscriber of the super-power political bitch who has been leaving behind the scenes all over the earth. Then my attitude is simply that there is quite a question about how it should be viewed in the national sense. We can say that, in some respects, it is a gray area. I don't think I'm in a position to say neither that it was there nor that it was a gross violation of law. [[The president calls.]] I tend to believe it's in a very gray area. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u71	A respectable president. I present a report by the head of the Northern Council on North Pole by 2015. We highlight the issues discussed at the Senate Committee. The Commission regularly stressed the environment and looked particularly at climate change in the area. Committeemen studied and later discussed a report on human evolution in the north, published at the end of 2014. Among other things, emphasis was placed on adjusting local communities in the light of changing circumstances that arise through climate change. The report points to the importance of understanding the needs of the people of the north, education, health, and economic situation. Every two years, the Council members of Congress hold a Arctic conference and held the first such convention in Reykjavík in 1993. During the conferences of the Parliamentary Committee, a large group of members of Parliaments and government experts, educational communities, and members of the international organisations converge on the affairs of the north. A major subject of the Parliamentary Committee is also following its approval of the conference, and this project was emphasized in the past year. The 11th conference held in Whitehorsse, Canada, in September 2014, made recommendations to governments in the Arctic, North Pole, and European institutions. Among other things, they called for increased efforts to reduce climate change and its consequences to Arctic residents. It was also called for support for the construction of communities, such as airports, harbors, highways, which support the development of tourism and the economy, as well as other environmental and sustainable activities. Then they were encouraged to examine the possibility of further binding agreements between the Arctic nations. The representatives of the Iceland Department stressed the importance of protecting the right of the North-Europe to use their resources in a sustainable way, the Commission's growth, the environment and the security and survival issues at sea. In this context, I would especially like to mention, sir, a respectable president, that the representatives of the Iceland Department are with me why. Senators Anna Sævarsdóttir and Valgerður Bjarnadóttir. Then we were included in the declaration of our focus on the right of the citizens for sustainable use of their resources. The importance of respecting the right of the indigenous people, their right to life and to their sustenance, in the area where they live, has a little crystalting in the discussion. One of the most important things in our minds and is the emphasis we entered into the agreement is that their right to sustainable use of the resources is recognized. It has borne out that it does not. This is revealed primarily to us in the trade of products from these nations, e.g. of the seal and the whale, have been forbidden. The social developments of these areas and the social problems that have come up with today and our Western culture have been deeply concerned. I believe that the resources that are being talked about and used to approach these problems are really not the best we can deal with, i.e. to try with social counseling and psychological treatment and more to adapt these fragments to what we know from our daily lives. I think it would be much better for us to try to build indigenous bodies in different areas in order to develop sustainable development of the resources present in these difficult areas in the community. Clearly, we do not do this by closing all markets and their potential for selling their products. We would do so by teaching them and bringing modern technology into practice in the fishing process and processing of these products so that they could become wanted around the world. This was the focus of what we spoke about, and we have generally seen good soil within the countries represented by the Council Committee on North Poles. Other points involved much of the opening of new shipping routes and safety issues at sea. That's something we've put great importance on, along with improvements in economic and life conditions in general in the north. The first conference and representatives of Arctic regions were held in Reykjavík in 1993, but several cooperations in the Arctic began when a plan for environmental protection was adopted in the north in Rovaniemim, Finland, in 1991. However, in 1993, the conference in Reykjavík opened up the formation of the Council Committee, which was formally set up in 1994. The committee is the chairman of the Parliamentary Conference on North Pole, held every two years, as I came in. The main objective of the Committee is to organise a Arctic conference, follow its approval and closely monitor the Arctic Council's activities. Iceland has served as the head of this committee once. Toward the end of Iceland's prehuman existence in 2004, a report on the effects of climate change in the Arctic region was published. The report is the first regional global study of climate change that has been published after the United Nations Convention on Climate Change. The report caught high attention in its time, and it has been used as a basis for an international discussion on northern climate change. In subsequent losses, the Arctic Council has done more work, not only to weigh and assess risks and factors, but also to look for ways to reduce pollution in the north and increase cooperation and commitment in the states. At the North Pole summit in Nuuk in May 2011, the first binding agreement for the search and survival of the Northern States was signed. The agreement is historic in that it is the first international agreement between the Northern Council of Union member countries. This report covers the order of the Iceland Department, but the chairman attends a meeting of members of the Parliament, or government, and then other representatives, or all of the European Parliament's emissaries, attend this conference held every two years. Three, in Washington, March 13, in Reykjavík, in May, and in Strasbourg in mid - December, were met by the Parliament's committee on North Pole in 2015. At the meeting held in Reykjavík, Stefán Haukur Jóhannesson, the Ministry of State, reviewed Iceland's policies on northern affairs, and the key conclusions of the Council's Conference of Arctic Congress held in Iqaluit 24 April 2015. Then he also published key points in Iceland's 2011 policy on northern issues adopted at the General Assembly. The policy aims to ensure Iceland's interest in the impacts of climate change, environment and resources, marine and social development, as well as to promote links and cooperation with other countries and stakeholders on regional issues. Hugi mind of Ólafsson, chairman of the North Pole's task force for protecting the pollution of the sea in the north, was reviewing the work group for which he is chairman. He pointed out that 70% of the defined Arctic region was a sea area and that the massive decline in ocean ice could lead to ice - free areas in the sea to some parts before the mid - century century C.E. At the former meeting, the commission was to invite representatives to a visit in Nesjavalla. I specifically mention it because people's experiences were from the way we used our country's energy resources to produce electricity and, as it were, to warm up our house was interesting. This brought us much attention, but as we know, the modern use of aquifers is taking on a global level. Icelandic scientists and engineers in many areas lead them to work because of our expertise in this subject. The workers on Hellishra are well designed and provide quality of life in the capital area unknown to these nations and ethnic groups in the north. Then I think about it when we were in Whitehorse, Canada, on the Yukon. We were in this town where there's about 15 of you. man, he's the size of Akureyri. It actually suggests between October and spring, and all is presented with oil and gas. Under these circumstances, you realize how well we have achieved the use of energy resources in this area when compared with areas that are in many ways comparable to living in Iceland. So it's a bit impressive that we should be in the controversy that is evident in this series of proceedings. In this area in Whitehorse, Canada, it did not have to go far out of town to find hot, hot springs coming up from the ground. I know that now people are looking at it because of their visit to our plant what you can do in this area for the people who live there. Last meeting was in Strassburg in mid - December. At that meeting, he went for it. paritaprevir Vice President Dr. Anna Sævarsdóttir. Among other things, it highlighted the challenge that we face with the increasing stream of tourism that enters the delicate areas of our beautiful land and the challenges of small rural areas facing this growing stream of tourism, saying that our natural environment needs to be dealt specifically with and maintained by sustainable guidance. It also reviewed the remarkable international conference that is held here each year for the future of the Arctic Circle, held in Reykjavík, Hörpu 16,⇩18. October and over 1,800 guests from over 50 countries attended. This report has done much about these activities and the history of the Senate Committee, but I have studied the main, dignified president.
ParlaMint-IS_2016-01-28-69.u72	A respectable president. We've been hearing the report of the Iceland Parliamentary Conference on North Pole, and thank you very much for that. It is a pleasure to read this report and to hear it from a subject. paritaprevir Jón Gunnarsson's son that the European Parliament has once again emphasized the environment, especially the northern climate change. It is a pleasure to see that the committee provides a report on human life in the north, with the emphasis on adaptation in changing circumstances and the importance of understanding the needs of people in the northern regions of education, health, and economics. I would like to add to that list of cultures, which is why I would say. A senator for the need for indigenous technology in the north to promote international possibilities. I don't think there's any less reason to respect and protect employment in these communities. In communities such as Greenland, men have, e.g. choice of technology progress, but also prefer to promote your own special status and sector, and make it a quality product, and can be used to achieve their products on the basis of that special status. There is also reason to agree with the 2014 Council of Parliamentary Congress that calls for increased efforts to reduce climate change and its consequences to the inhabitants of the Arctic. This declaration also calls for support for the development of international infrastructure in the north, such as airports, harbors, and highways that support the development of employment, especially local tourism and economy, as well as other environmentally friendly and sustainable activities. At the same time, it is absolutely necessary to protect the right of the population of the north to use their resources in a sustainable way, to promote the Arctic Council, the environment, and the marine rescue. This went over why. The senator's fine. These are all policies that have been fought for many years and that have continued to exist for some time. The fact is, the Arctic change is much faster than anyone expected to be just a few years ago. The forecasts published in 2004 in the Arctic Climate Copyright Assessment, which provided the basis for all the discussions on northern issues and the climate change there, showed that the temperature in the Arctic usually rose twice as fast as in other parts of the world. Now we see changes that have gone beyond that forecast, changes that are rapid. Substitution has led to increased activity in the region, which once again affects the environment and encourages further changes. North countries also have resources below the bottom of the ocean and the earth that big nations see. In the sea are living stocks, sheltered fishing grounds, whales, and sells on which the coastal countries build their produce, and all of this has made it clear how much is at stake for the ecosystems and economics of the North Sea that they take to the earth carefully and by means of research and management. This has also led to more and more countries, institutions and organizations, seeking to share in the quality and potential of the north through resource use, especially in the eyes. As I did in my speech earlier today on northern society, the politics have become overcrowding with the states as the superpowers make more of the current states of the Arctic. Great nations have defined the Arctic as a militaryly important and military presence. Similarly, other nations have seen reason to reprove their sovereignty and their usefulness interests. Then the North countries must take their place and protect their interests and status of agreement with the outside world. It is, therefore, really more important than ever to promote and improve the cooperation of the North countries in the northern and national environmental safety areas and to increase and promote the Arctic community as such. In this regard, it is especially important to consider the so - called five - state cooperation of Arctic languages, which is one example of how government matters are in a way threatened with national cooperation in the affairs of the north, where Canada, the United States, Russia, Denmark, and Norway have formed their territory of consultation, with the exception of the Icelanders, Swía, Find, and the indigenous groups. Then, side by side with this scene, the Arctic Council operates. It includes all eight northern states, and it also has its representatives, and many others. It is important and has been in our opinion for some time to support the cooperation of the Arctic Council. We view it as the scene in which a consultation with the nations should take place. It is obvious that the coastal nations, and especially those of Iceland and the indigenous nations, depend heavily on this, and we Iceland's interests are, of course, closely linked to both transport to and from the country and resource use, such as fishing. It seems that Iceland, the 17th largest fishing nation in the world, has a requirement to land and sea in the north of the Arctic Circle, must be concerned about this five-country partnership where we have no place. Although U.S. Papp Robert Papi claims that the United States and Russia are not affected by the cooperation within the Arctic Council, tensions and suspicions in national relations have not increased. But anyway, it is important for us Icelanders to be turned aside from power politics in this category so enormous that the environmental changes are taking place. It is even more important to expand the international work of research and monitoring in the region, so the future decisions are based on scientific knowledge. In fact, I miss the fact that there is little discussion about this aspect of the matter, but in the chapter on the focus of northern affairs, on page 20. 6 points to policies that occurred immediately in 2011. These policies aim to ensure Iceland's interest in the impacts of climate change, environment and resources, marine and communication development, as well as improve relationships and cooperation with other countries and stakeholders on environmental issues. The policy includes promoting the Arctic Council as the most important meeting point on northern issues, securing Iceland's position as a coastal state in the region, and building on the United Nations Sea rights Convention on the legal curative solution of national intelligence. The need for these policies was great when it was set in time, and we need them, of course, but we need to focus more and more on our research and scientific cooperation. We have a great deal of interest in having a real influence on the development of events in the future, but we are no less likely to depend on how the decision - making process is carried out and on what it is building, i.e. whether it is based on hard interest care and power politics or whether it is based on knowledgeable foundations. A respectable president. I believe Iceland and I are required to have a prelude to further research, monitoring, and scientific cooperation in the north. Today, some 4 million people live in a region that has been defined as northern lands. It is very important to identify the needs of these communities, the needs of education, health, economic needs, etc., as well as to promote environmental monitoring and research on ecosystems so that future decisions will be made on the issues of this region are based on real knowledge and science. I reiterate, my honored President, that we should have a way of doing this and be responsible for the affairs of the north on the basis of professionalism, knowledge and responsible environmental policies, for our survival and future may be subject to it. [[The president calls.]]
