ParlaMint-RS_2002-12-13-0.u25062	I have a proposal based on Article 137 that the debate in particular takes three minutes.
ParlaMint-RS_2002-12-13-0.u25181	Thank you, Madam Chairman. I would like on behalf of my colleagues who have submitted this amendment to invite, of course, the National Assembly of the Republic of Serbia to vote in favour of this amendment. I think it's a good amendment. In the name of that, for the sake of the budget, I'd like to say only two things. The SPS is the opposition's party and will not support this budget, as it believes there are many reasons and will vote against the budget. Since the budget is the government's most important document, it is logical not to support the government either. And if the government were on the agenda, they wouldn't support her either. I'm saying this for a reason, and the vote will be and we'll see who votes. If one of the ruling parties votes against the budget and joins the opposition, let him himself explain to Serbian citizens why he did it. The same applies to the quasi of the opposition and quasi parliamentary parties. The question of the budget is the government's question of where the structure is determined and where the party is shown. Thank you.
ParlaMint-RS_2002-12-13-0.u25182	Do any of the other authorised participants want a word? No, I don't. ) We move on to Article 12, to which the amendment was submitted by MP Veroljub Arsic. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. The applicant of the amendment wants a word. The word has a folk MP, Veroljub Arsic.
ParlaMint-RS_2002-12-13-0.u25183	Ladies and gentlemen of Parliament, I asked with my amendment that Article 12 be deleted, and Article 12's 1st position reads: 'Transfers between budget beneficiaries can be made by the following direct beneficiaries of budgetary resources: the Ministry of Science, Technology and Development, the Ministry of Education and Sports, the Ministry of Culture and Public Information and the Ministry of Agriculture and Water Management'. First, it wouldn't be principled and how you like to say DOS gentlemen, transparently let the ministries be privileged and not. It would be principled if either the Ministry couldn't, or all the ministries could. The question now arises what is in common with the Ministry of Education and Sports, the Ministry of Culture and Public Information and the Ministry of Agriculture and Water Economy. What is common is that they have the most incompetent ministers in the government of the Republic of Serbia. If he looks at the Ministry of Education and Sports, what law can Gassa Knezevic write? Bad, so bad that it is a nightmare for those who have to implement such a law, so it is likely that Gasa Knezevic will have to pay for specialized services and services under the contract of the Ministry of Science and Development 142 million and 800 000 and 285 million to write him the laws. What kind of law can the Minister of Culture and Public Information write, Lecic? Not at all. I've never seen a man so lazy in his life. The only thing a man thinks is he's going to the reception, he's going to the cocktails. He doesn't care about the laws or the ministry or anything else. So he's going to have to set aside the Ministry of Science and Development 198 million and 958 thousand and services under contract 6 million 250 thousand dinars. When it comes to the Ministry of Agriculture and Water Affairs, what kind of law can Dragan Vesenov or a professional publication write to us about how to catch you in poaching or how to export singing birds or how to ruin Serbian agriculture and a Serbian farmer? He will have to pay the Ministry of Science and Development 50m dinars, but now the question is what will the Ministry of Science and Development of 3 billion dinars and services under the contract of 200m and 600,000 dinars. Mr. Minister, it is my advice that you accept this amendment and that the committees immediately submit an amendment that all ministries can make transfers, because then you won't have to rebalance the budget, you won't have to follow up on this speaker and at press conferences to tell the truth that in the event that the rebalancing does not adopt no wages and pensions. The only thing that's going to happen is, Mr. Minister, you're going to go to jail because you've paid for Labus' election campaign to RTS 2 billion and 600 million dinars. That's the only thing, because you were spending your resources on the 2002 Budget Act. Now you're asking us to grant you what you've already spent.
ParlaMint-RS_2002-12-13-0.u25184	The word has a minister, Mr Bozidar Djelic.
ParlaMint-RS_2002-12-13-0.u25185	There's no problem with budget accounting here, but I'd say budget techniques. What is true is that in one final system of vaults for all of the budgets of Serbia, all direct and indirect users, the idea is and it will be already the 6th point of the agenda of this session, when we talk about the additions of the Budgetary System Act, it is that there is indeed optimization of all resources and that the transfer of funds from the government register takes place when showing and forming even one predetermined order of tasks of various budget users, so that when the least consumption occurs, it is paid and given and that money is given only on that day and only on that day to reach this indirect or direct budget user. But our reality is a little different. It has not been invested at all in management, as it has not been invested in energy, as it has not been invested and it has not been given to refugees because of it all, and this is one I would say may be a less visible point in implementing all reforms, which is that our administration, which was worth one of the best at the end of the 1980s in Central Europe, may even be wider for some parts. Yesterday I mentioned the Department of Statistics, especially the Federal at the time, and now the problem is that it's going back terribly and it's going to take us another year. I expect we don't have this provision next year, when we establish such systems. However, we must, taking into account the provisions in the Budgetary System Act, also provide for some elements that will allow life to take place normally, until this system of vaults is established which we are of course very much working on and I would still like to inform the various MPs who talk about birds that birds are no longer in the jurisdiction of Mr. Veseinov, but Mrs. Mihajlov.
ParlaMint-RS_2002-12-13-0.u25186	Are any of the other authorized participants answering for a word? (No) The 12th Amendment was jointly submitted by MPs Živanko Radovanchev, Golub Rajic, Miomir Ilic, Rade Bajic and Bora Stanimirovic. The Government and the Finance Committee have not adopted this amendment and the Legislative Committee considers the amendment legally possible. The word has a National MP, Bora Stanimirovic.
ParlaMint-RS_2002-12-13-0.u25187	Ladies and gentlemen of the People's MPs, the Honorable Presidency, Mr. Minister, with fellow Socialist Party of Serbia, I have submitted an amendment to Article 12, which reads: "Transfers between budget beneficiaries can make the following direct beneficiaries of budgetary resources and this: Ministry of Science and Technology and Development, Ministry of Education and Sports, Ministry of Culture and Public Information and the Ministry of Agriculture and Water Management". We practically demand that attitude one be deleted for the following reasons. First, how can the Ministry of Education and Sports make transfers if the 2003 budget provides for less funds than the 2002 budget. Therefore, that reason does not stand before. Secondly, if smaller funds are provided, Minister of Education Gašo Knezevic asked in his previous term that practically these funds, which were allocated for 2003, increase, but I am interested that the minister in 2003 with reduced resources will reform education in general, reform of the university, seek a new teacher with new access to work, ask for changes in basic entities in the educational process. Secondly, the Ministry of Education and Sports is practically, we can say, and they usually intend to speak to the Minister of Education, the Prime Minister and others when they point out that this is the best government in 100 years, and the finance minister said yesterday that this is the best budget in 100 years. I'd say this is the least, if it hadn't happened in the last 100 years to cut the funding to university education in the next year compared to the previous one. This is the first time now, but when they use those 100 years all the time to sort of determine the equivalent of their work, I would remind you that Serbia, especially the southern part of Serbia, was freed from Turks only 90 years ago, means there is not even 100 years. If you compare it to 100 years old, it means that the Turkish Sultan had a worse budget for Serbia, that is, for these areas than today. Secondly, this amendment practically allows what we talked about for a few days, especially the first day we talked about the 2000 budget. It has been repeatedly pointed out that so many criminal charges have been filed for purposeless spending of money. Article 12, Article 12, is a classic example or a school example of non-intentional means being converted into a deliberate and then criminal liability, practically, a waste for all ministers who abuse this attitude, or member.
ParlaMint-RS_2002-12-13-0.u25188	Is anyone else applying for a word after this amendment? The word is by MP Ljubomir Mucic, an authorised representative of the SPS parliamentary group.
ParlaMint-RS_2002-12-13-0.u25189	Ladies and gentlemen of the Parliament, you're getting more nervous, and the end is getting closer. I warned you last night that Friday 13 was a bit of a rough day. I really cannot agree that the government and the minister have not accepted this amendment, given that the SPS parliamentary group has proposed to delete only the first position of the 12th member, where it is envisaged that transfers of funds between individual ministries be abolished, given that the government can make changes in the appraisal during the year, and that we have also returned the budget rebalancing, i.e. to change and complement as a regular institution to the future. So, they would keep certain departments of supplying equipment, as some televisions here in the Assembly today, able public procurement agencies from their appraisals to channel funds, to carry out purchases, and that the competent ministry will only receive the necessary equipment and funds and that there is no need for the transfer of funds to be made twice. Secondly, I don't think it really makes any sense for the Ministry of Science and Technology, the Ministry of Education and Sports, the Ministry of Culture and Information, as well as for institutions that do jobs for social activities and the Ministry of Agriculture and Water Management. I think that, and if there are some touching points, there's a clear differentiation on that side. Therefore, the SPS parliamentary group believes that this amendment does not affect any rights of the ministries as direct beneficiaries of the budget and that this amendment can and should be supported. What would that mean? If I weren't to point out the examples that were brought out here yesterday, what would that be? After that, it would lead to certain problems -- not this minister, this minister did, the transfer was made from this direct user to another indirect user, from directly to indirect, from indirect to direct, and in this crowd, the finance minister will deliver a report to us by February, if it so leaves the funds in the budget to be rotated and transferred from one direct user to another, especially between investment funds and the Ministry of Agriculture with social activities and education and sports ministries, culture and information or science and technology. I think, if it's the Ministry of Science and Technology, it should be adoptrating for all other ministries that encourage development and invest in new technologies. Thank you.
ParlaMint-RS_2002-12-13-0.u25190	There are no more entries for the word after this amendment. The 13th Amendment is submitted by Gordana Pop-Lazic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. Do you want a word? I find that MP Gordana Pop-Lazic gave up the amendment she submitted to Article 13. Draft budget law for 2003. To Article 13. The amendment was submitted jointly by MPs Ljubomir Mucic, Nebojsa Jovic, Dragan Jovanovic, Rajko Baralic and Marko Culibrk. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. Does a representative of the applicants of the amendment want a word? The word has the People's MP Ljubomir Mucic.
ParlaMint-RS_2002-12-13-0.u25191	It's coming to an end. I'm not gonna use three plus three. I hope, as an applicant for the amendment, in the first three minutes, I can convince the Minister and the Government that this amendment should be accepted. For those who do not read, I warn that this is an amendment that, under the Public Procurement Act, regulates the amount of funds for the least purchases. In the draft budget law for 2003, which you received, this amount is 600,000 dinars. The SPS parliamentary group proposed that the amount be 450,000. For what reason? First, last year, we found the Public Procurement Act to be the highest amount of 350,000. This led us to accept an amount of 450,000 for small-value purchases for which no tendering should be held, or competition, with an inflation increase of 16% in 2002 and a proposed growth rate of 9% in 2003. On the other hand, we believe that the reduction from 300 million to 120 million for large public procurement would increase the volume of those bidders who would have to obtain guarantees so that investors would be protected in order, if no project was realised, that, in that sense, they could collect through guarantees those obligations made by the contractor, i.e. the direct contractor.
ParlaMint-RS_2002-12-13-0.u25192	Is there anyone else applying for a word under this amendment? The word has a finance minister, Mr Bozidar Djelic.
ParlaMint-RS_2002-12-13-0.u25193	Ladies and gentlemen, this amendment has drawn attention to something important, which is just establishing some rules in the domain of public procurement. Let's remember, how long last year there were no very precise provisions in that domain. Of course, today we are talking about what is this minimum amount above which to conduct a tender or which is the minimum amount above which to obtain a bank guarantee. These amounts came from a consultation with the Public Procurement Department, which was established by the law that you voted for and which started to work and which gave this recommendation, given the specific elements of the public procurement database, which it is currently editing. So I think this is the right level. Let's let next year's experience show us how many public procurements were, underneath, above, what happened. We'll have more experience and then, eventually, as foreseen by the Public Procurement Act, change this amount. Also, I'd like to take advantage of what Mr. Mucic took the floor, to say that you received another document today. That way we'd like to prove again that there are no secrets for the MPs in this budget. We tried to answer all questions and one question from Mr Mucic and the SPS group. More detail is required which are debts, which are guarantees. We have in this text, in time, provided you with the answers to all the questions you've had regarding this budget.
ParlaMint-RS_2002-12-13-0.u25194	Is there any more word applications under this amendment? No, I don't. ) Article 14. The amendment was submitted jointly by MPs Srdjan Petrovic, Dusan Ilic and Dragan Lazic. The Government, the Finance Committee, did not accept this amendment, and the Legislative Committee considers the amendment legally possible. The word is issued by MP Srdjan Petrovic, representative of the amendment's applicants.
ParlaMint-RS_2002-12-13-0.u25195	The Honorable Presidency, dear colleagues, Article 14 speaks of special programmes adopted by the Government, on a proposal from the competent ministry, and we here should only allow these specific programmes to be financed without knowledge of the details of these business programmes. In this direction, our amendment is directed, we ask that the distribution and use of funds be carried out under a specific programme, adopted by the National Assembly on a proposal from the Government, and then within the next sections, those same divisions that are in Article 14. The bill - this is a division of 8, these are transfers at other levels of government, and division 13 - Ministry of Economy and Privatisation, division 14 - Ministry of Mining and Energy, division 15 - Ministry of Transport and Telecommunications, division 16 - Ministry of Urbanism and Construction, and division 19 - Ministry of Labour and Employment. Let me also remind you that by accepting the amendment to delete Article 4 and that the Ministry of Agriculture, which speaks of agricultural costs, for the agrarian budget, is being put in Article 14, so that's where we have agriculture. We don't get into what these programs are, whether they're good or bad. We just can't get into it because we don't have those programs. It is possible that the finance minister offered this to us in addition to the 2003 budget we received an hour ago, but you will agree that it is not acceptable now, in these circumstances, to declare it. We should have gotten that much before the budget debate started, in the form of a programme that we will adopt along with the budget. All these funds are not even small, they amount to around 10% of the budget expenditure and surely the Assembly must allow the use of these funds under special programmes. How then next year, when we adopt the final budget account for 2003 or 2004, or another, we will be able to compare what is planned and what is achieved. So that's not what it is. Many of these programs are also years old. So they're certain strategies in these areas. All of this had to be in front of this congregation. The DSS has talked about this many times, and when we applied for an extension of the 2001 final budget account, these specific programmes were again the biggest problem. It is now shown that special programmes are also a problem in the 2003 budget. The finance ministry can't do a job for other ministries, that's obvious. It can defend them for this pay phone, but it can't do the job for them. These ministries, mentioned here, had to come out with these programmes, to file together with the 2003 budget of the Assembly's programmes, and then we were supposed to adopt it. If all of this is missing, this Member, or the DSS amendment, should be adopted and the budget account debated for 2003 thereafter.
ParlaMint-RS_2002-12-13-0.u25196	Is there anyone else answering for a word under this amendment? No, I don't. ) On Article 14 of the amendment was submitted by MP Alexander Vukic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. The word has been made by the People's MP Alexander Vukic.
ParlaMint-RS_2002-12-13-0.u25197	Ladies and gentlemen of the People's Parliament, I find it ridiculous, of course, that everything Minister Djelic spoke of, his hypomanic steps forward, but first I will say what this is about and what I asked for with the proposed amendment. In Article 14(1), the amount of “1.370,000,000” is replaced by “180,000 dinars”. The words about the money that belongs to the so-called so-called money. The co-ordination body, formed by the Serbian government, was involved by something and the federal government, a little angry, and then participated. God knows who's behind this. Anyway, we've been looking for this because even in this new, additional report, we haven't received any information on how this money is going to be spent. No one has told us where these money will go, whether certain organisations, associations will be paid, whether it will be paid and paid to Serbs in Kosovo and Metohija, or whether that money will be paid as it wishes and as it only knows, as it will be, spent by Nebojsa Covic. There are absolutely no guarantees for the way that money is spent absolutely in the budget, it does not exist in any other accompanying acts, which the minister has brought to us, which the government has delivered to us. That's why we asked, and it's not a random amount, because we've asked that approximately this way, at the price at which the government sells Serbian sugars, to build new sugars in Kosovo and Metohija, and thus the best funding for the people in Kosovo and Metohija, is much better, because this will hardly be seen. He will hardly see anything, because neither who knows, nor how he will spend that money, and he will give it to Nebojsa Covic, without any checks, is truly irresponsible. I would beg the minister because I know that even he, as he is, and I think of him all the worst, probably he is about me. Thank him for that. But I think it would be good if you could answer again for this -- where exactly the money goes, and not tell those stories that you can handle -- what you spend 28.5 million on, but tell us exactly what that 28.5 million is going to be spent on, because you know that you don't even know what it's going to go to. It was delivered to you by the minister, as he asked, as he delivered this one - give me 1,370,000,000, and what will be spent, the Father God knows not, and to no one living is clear. I invite you to accept this amendment. When it comes to the allocation of these funds, which would be saved in such a way, it would be good, but if it were going as you would say, in transparent programmes for the Serbian people in Kosovo and Metohija, for those who want to survive on their centuries-old hearths, for those who want to live with the lives of a decent man, but to know that that money goes there. I'd still like to say...
ParlaMint-RS_2002-12-13-0.u25198	I'm warning you of an overrun of the time allowed.
ParlaMint-RS_2002-12-13-0.u25199	I'm way out of time, and you guys are way out of line, but I'm done. Of course, voting on the budget each time is a vote on the government of the Republic of Serbia, a vote showing who the government is and who the opposition is. Those who in any way support the budget and have various ways to support the budget will definitely show the public and citizens of Serbia that they are for Zoran Djindjic and his government. Of course, we Serbian radicals will make it clear that we are both against the budget, and against the government of the Republic of Serbia. And in the end, I'd just like to advertise Dr. Vojislav Seselj's new book.
ParlaMint-RS_2002-12-13-0.u25200	I'm warning you that you're exceeding the time allowed and that in the time you've exceeded, you're using a pay phone to promote your party. Is there a word application for this amendment? He has the word National MP Nada Kolundzija, president of the Democratic Alternative Group.
ParlaMint-RS_2002-12-13-0.u25201	The Honorable Presidency, distinguished members of the government, ladies and gentlemen Members of Parliament, the deafness that we are exposed to by some MPs, is difficult to determine the right measure, because, simply, the mind is not capable of being turned into nonsense and measuring the size of stupidity. Two, that's why I'm like a man who thinks I'm a decent man of my mind, and I'm not gonna take any of this crap. What we've also heard here is a bunch of ignorance, but ignorance can be measured, knowledge takes its measure. In addition, ignorance can be reduced, if knowledge is complemented by facts, and so I will say only a few facts, so that those who do not know would be complemented by their knowledge fund. The lies we've also heard here, they're both a goal and a means, and I know, and those who use lies know that lies don't need facts, and truth is a blood enemy. That's why, as far as lies go, I'll only ask for reasons - what lies should cover up. That's why lies are launched. They need dirty leads to hide. So, as far as the facts are concerned, I just want to say that well-paid patriotism for the result had a Security Council Resolution and a Kumanski Agreement which clearly states that under no circumstances will the Serbian state enter Kosovo and Metohija, and will not enter the country's security zone. So this is the result of a paid patriotic policy that is one part, which is a thousand square kilometers of Kosovo and Metohija and 725 square kilometers of southern Serbia, torn from the constitutional right of the order of Serbia. So these are the facts. The government that was excluded from the possibility of affecting these events, a new government, found a form to form a joint body called the Co-ordination Body for South Serbia and the South Serbian Coordination Centre, and this was done by the Federal and Republic Government. These governments have adopted programmes, and governments have adopted financial plans and financial reports from the Co-ordination Body and the Coordination Centre. The result of this is that a land safety zone has been lifted, that our forces are in southern Serbia and that the doors for Kosovo and Metohija have been unearthed, that Serbia may try to do something there. As far as lies go, what should be covered by these lies. These lies obviously need to cover up the fact that the policy that was led, what were their intentions, let them explain to those who would one day, and I believe in courts to ask what their intentions were, but the result is what is clearly recorded in every normal country as a betrayal of state and national interests. To be torn off, nearly two thousand square miles of its own territory, is a state betrayal and I believe they will answer to the courts. I think that's the basic reason why they decided to attack like this, and as far as the simplicity that they're showering on us, decency requires that we be above it.
ParlaMint-RS_2002-12-13-0.u25202	No more reported word after this amendment. The amendments were jointly submitted by MPs Zivanko Radovančev, Golub Rajic, Miomir Ilic, Ljubomir Mucic and Rade Bajic. Since this amendment has been adopted by the Government and the Finance Committee, and the Legislative Committee considers the amendment legally possible, I find that this amendment has become an integral part of the bill's proposal. National MP Natasa Jovanovic has tabled an amendment proposing that a new member be added after article 14. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. The applicant for the amendment is not present. Is anyone else applying for a word from the authorized participants in the debate? No, I don't. ) Members of the 15th Amendment were jointly submitted by MPs Toma Busetic, Joca Arsic, Jovan Todorovic, Ljubomir Mucic and Dusan Cvetkovic. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. Does a representative of the applicants of the amendment want a word? Yeah. ) National MP Joca Arsic and this is the last amendment to this bill.
ParlaMint-RS_2002-12-13-0.u25203	It's not my fault it's Friday and 13, time for the weekend. As announced by the president, Ms Micic, a group of SPS MPs, on behalf of the parliamentary group, submitted an amendment to Article 15 and proposed that Article 15 be amended and read as follows: "The obligations of the Republic of Serbia under the Law on the issue of short-term bonds ("The Official Messenger of the Republic of Slovenia", No 54/96), will be settled by the end of June 2004". The explanation for the submission of such an amendment is the following, for the obligations of the Republic of Serbia under the law, the issue of short-term bonds should be implemented by the end of 2002, as foreseen by the Law on Budgets for both 2001 and 2002. Since these obligations are not respected, and not according to any law, the proposed amendment sets a shorter deadline by 30 June 2004, and since the three-year deadline is unwarranted and does not guarantee that the commitments will be carried out. Just to remind you that the intended member, which is scheduled for the obligations of the Republic of Serbia under the Short-term Bonds Act, as I said "The Official Messenger of the Republic of Serbia", number 54/96, to be reconciled by the end of 2005. We believe that this deadline is quite a debt, that one non-discipline that is constantly criticised is again established, and that the predecessors have left certain obligations that this authority should settle, and this proposal, I suppose, leaves this obligation for another authority, because, as is known, this assembly's mandate expires around 2005 in January, and here, these commitments are scheduled to be settled by the end of 2005 and 31 December 2005 respectively. For these reasons, we also proposed this shorter deadline, reminding that, the obligations that were otherwise foreseen from 1996 are settled in the next year until half of next year and thus service this obligation. Thank you.
ParlaMint-RS_2002-12-13-0.u25204	People's MP Ljubomir Mucic, an authorised representative of the SPS parliamentary group, spoke.
ParlaMint-RS_2002-12-13-0.u25205	Ladies and gentlemen, MPs, Comrade Joca Arsic, on behalf of the SPS parliamentary group, has proposed indeed one of the amendments that is very important, although it is at the end, and given that no parliamentary group has submitted an amendment to this member, and that is, in fact, to extend the payment of the commitment on the basis of short-term bonds issued in 1998 and 1997, and to the 1998 budget, defined, and subsequently, the funds for the payment of these bonds. On the other hand, I can say that even in the 2001 and 2002 budget, we predicted in one member that all the commitments that were made under this law would be settled until 31.12.2002, and then in 31.12.2002, and that the draft budget decision for 2003, meant, legally, by law, by the law of the budget, was extended until 2005. With this amendment, we did not want to extend that deadline for the next three years, given that we believe that this assembly and this government should not leave any obligations on the basis of securities of value and financial obligations for a future parliament, a future government. To that end, we have also proposed that the 2003 budget, and the longest until the first half of June 2004, be paid, or the payment of the bonds issued in 1997. Thank you.
ParlaMint-RS_2002-12-13-0.u25206	Is there anyone else applying for a word under this amendment? No, I don't. ) Since we have completed the examination of the draft law in particular, do we ask if the proposing's representative would like to give the final word? He doesn't want to. ) I hereby conclude the examination of the draft law in particular and in accordance with Article 148(3) of the Treaty on the Functioning of the European Union. We move to point 3: – Proposal for a Law on Amendments and Complementary to the Budget of the Republic of Serbia for 2002. YEAR (vote) (Dejan Mihajlov, from places: according to the Rules of Procedure. According to the Rules of Procedure, go ahead.
ParlaMint-RS_2002-12-13-0.u25207	The President-in-Office, ladies and gentlemen of the Parliament, claims by the Prime Minister that the consequences of not adopting the budget would affect the citizens are completely incorrect. This is also seen in the very fact that he does not attend the vote on the budget. I want to say to this occasion, that since we haven't received answers in the past few days to many of the questions that we've asked in the final budget account...
ParlaMint-RS_2002-12-13-0.u25208	Which member of the Rules of Procedure do you advertise?
ParlaMint-RS_2002-12-13-0.u25209	... DSS MPs don't want to take part in pushing their hand in the mail's pocket...
ParlaMint-RS_2002-12-13-0.u25210	Is it a breach of the Rules of Procedure or is it a violation of the Rules of Procedure that you will not participate in the debate, do you think?
ParlaMint-RS_2002-12-13-0.u25211	We will not take part in the vote, given that the government has not participated in the debate and the DSS MPs themselves are...
ParlaMint-RS_2002-12-13-0.u25212	You've abused the word of the Rules of Procedure, after advertising the Rules of Procedure. Since the National Assembly has conducted a search of the bill and in particular we move to a decision. I put to the vote the draft amending and supplement law on the 2002 budget of the Republic of Serbia, in principle. I ask the Members of Parliament to plead with the vote. I conclude the vote: For 122, no one, with abstentions, voted two out of the 124 MPs present. I find the National Assembly has no quorum to decide. Please report to the Rules of Procedure. I can't hear you. The people's emissary, Cedomir Jovanovic, came forward.
ParlaMint-RS_2002-12-13-0.u25213	The Honorable Presidency, ladies and gentlemen of the People's Parliament, in accordance with the article, I think it's 81. Rules of Procedure on the work of the Republic Parliament, I would like to ask for a break for consultations within our parliamentary group, since an initiative has been launched by the MP's task force to replace MPs who are not ready to respond to their parliamentary call, and we would like to carry out further consultations within the next hour and possibly, if, then, there is political agreement, to replace those MPs who do not respond to their call.
