ParlaMint-FR_2021-10-25-O1029.u1	The next item is the debate on the second part of the finance bill for 2022 (No. 4482, 4524).
ParlaMint-FR_2021-10-25-O1029.u249	Unfavorable opinion.
ParlaMint-FR_2021-10-25-O1029.u250	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-10-25-O1029.u251	The balance that the rapporteur is defending does not exist: many resources are devoted to closed educational centres, much less to the open environment. Building closed educational centres and recruiting mentors is much more greedy, from a budgetary point of view, than the open environment. The logic is the same as before, when I was talking about the external placement of adults in the hands of justice. I think I'm doing what works, not what makes the electorate happy, which is a politician, saying, "Look at these young delinquents and thugs; We'll protect you, lock them up and straighten them up! And soon the army will be at their side, for those who would like to integrate it, since an amendment will complete the rightization of this Government, by the voice of Mr. Dupond-Moretti as regards the Ministry of Justice.
ParlaMint-FR_2021-10-25-O1029.u252	This is ridiculous!
ParlaMint-FR_2021-10-25-O1029.u253	I call Mr Bernalicis to support Amendment No. 397.
ParlaMint-FR_2021-10-25-O1029.u254	I would not be consistent if I proposed putting the package on educational action in an open environment without adding the means, i.e. people responsible for implementing these measures. Because the open environment employs staff to accompany minors who are under the responsibility of the PJJ. Often, however, in an open environment, the time of JJP educators is counted, as they have to juggle between several young people and sometimes several services. Young people are thus swept away between the different care providers, the different educators, the different structures, without really a point of reference. This is one of the elements pointed out in the judicial works concerning minors in breach of the law. Substantial human resources are needed, not just the additional 250 million allocated to the JJP for three years. That's very good, we take them, but they stay far below what is necessary. We very much need this administration, which must have the means to function; for young people, who are the adults of tomorrow and must be able to integrate normally into society, even if they have been in violation in the past, and for the staff, who must feel the usefulness of their work and find meaning there.
ParlaMint-FR_2021-10-25-O1029.u255	Mrs Albane Gaillot has the floor to support Amendment No. 642.
ParlaMint-FR_2021-10-25-O1029.u256	I propose to return for a moment to the victims of domestic violence. It is proposed to align the amounts of the legal aid rules for the civil party with those for the accused or accused. The number of units of value is lower when the lawyer intervenes for legal aid for the civil party than for the accused or accused. I propose to put an end to this inequality among lawyers defending victims of gender-based and sexual violence. As early as 2018, this recommendation was included in the report "Where is the money against violence against women? published by the High Council for Equality between Women and Men, the Women's Foundation, the Economic, Social and Environmental Council, Women's Worldwide Web and the Fund for Women in the Mediterranean. Its cost was estimated at 941670 euros, in low range. Based on the number of incidents of violence reported by the police and gendarmerie in 2018, I estimated the need at 1409760 euros. While it may seem technical, this subject is no less important. The associations state that women victims of violence need to be accompanied and have the assistance of a lawyer. Sometimes they do not have recourse to it because they do not receive legal aid. I was in the field, in a police station, and I talked about this possibility with many actors. This amendment is the result of the reflections of the field associations in order to make legal aid more effective, especially for women victims of domestic violence.
ParlaMint-FR_2021-10-25-O1029.u257	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u258	I am, of course, in favour of lawyers who work for legal aid to civil parties being paid no less than those who work for the benefit of the defendants, but these fees depend on the value units determined under the Law of 10 July 1991 on legal aid in the annexes to the Decree of 28 December 2020 on legal aid and assistance for the intervention of lawyers in non-judicial proceedings. The amendment you are proposing is exclusively a matter of regulatory authority. I let the minister answer and, in my personal capacity, I give an opinion of wisdom since this amendment has not been debated in committee.
ParlaMint-FR_2021-10-25-O1029.u259	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u260	Some useful clarifications are needed. The situations are not the same, which does not mean at all that it is considered that the intervention of a lawyer in support of a victim "would be" less – forgive me the expression – than the intervention of a lawyer in support of an accused. But, as the Council of State has pointed out, it is considered a different job, and more important, to be the accused's lawyer, because it is necessary to deal with the arguments of the civil party and the prosecution. However, it is useful to raise this issue, because I do not want to be accredited the idea that defence counsel would have a more important role than that of the civil party. But these roles are distinct and they are different exercises in quantitative terms. This is the reason for the difference in treatment, and the Council of State has had to express itself in this regard. Let us not make this question a false presentation, I thank you for agreeing with me, as I hear your arguments, and I naturally lead you to say that the Government is against this amendment.
ParlaMint-FR_2021-10-25-O1029.u261	Mrs Albane Gaillot has the floor.
ParlaMint-FR_2021-10-25-O1029.u262	Thank you for your answer, although it does not satisfy me. I also hear the rapporteur's argument that these provisions are a matter of regulatory power. However, we must devote resources to this action, and I therefore maintain my amendment. As the general states of justice open, this is a major issue. I do not know if assistance to a respondent or a victim is more important or difficult work, I do not want to make a judgement on the quality of the work done, but the debate is open. The subject of domestic violence must be addressed. The minister is very committed, and I thank him for his words on this subject, but we need an additional budget.
ParlaMint-FR_2021-10-25-O1029.u263	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-10-25-O1029.u264	Even if the unit of value has been increased, which justifies the increase in budgetary appropriations – that is both better, but too little – I would remind you that in 2021, to benefit from total legal aid, a net annual income of less than 11200 euros is required. The annual SMIC of 15000 euros is too high to benefit from it. Fortunately, the SMIC is just below the limit for partial legal aid, as the threshold is set at EUR 16800. Which means if you just touch a little more than SMIC, you don't get legal aid. But a winning person just a little bit more than the SMIC doesn't roll on gold. As justice costs are what they are, it is the change in thresholds, in addition to the increase in value units, that would be necessary. However, it would be necessary to increase the legal aid budget by half or even double, in order to meet the actual needs, particularly with regard to domestic and domestic violence.
ParlaMint-FR_2021-10-25-O1029.u265	It is Mr. Keeper of the Seals who has the floor.
ParlaMint-FR_2021-10-25-O1029.u266	I do not see the connection between Mr Bernalicis' speech and Mrs Gaillot's amendment. Gaillot, the profession of lawyer often reflects on these issues. Recently, on the occasion of the trial of the attacks of 13 November 2015, known as "V13", the lawyers of the civil parties wanted a fraction of their remuneration to be given to the defence lawyers. It is not a question of discrimination: that a woman does not win the same thing as a man with equal work is an absolute scandal, but that is not what this is about. Let us be careful with the figures, we must not exploit this issue by pretending that it is a discriminatory practice, because that is not the case. This situation is due to different reasons, and the profession of lawyer agrees with what I have just recalled.
ParlaMint-FR_2021-10-25-O1029.u267	Mr Pascal Brindeau has the floor to support Amendment No. 674.
ParlaMint-FR_2021-10-25-O1029.u268	Our colleague Meyer Habib wishes to draw the Minister's attention to the judicial expertise. Many appellate courts find it difficult to find experts in certain areas of civil justice. This amendment raises the question of the remuneration of experts, but there are also significant regional disparities in the presence of such experts in a wide variety of fields.
ParlaMint-FR_2021-10-25-O1029.u269	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u270	I would like to take this amendment to point out that while we can question the remuneration of experts, the budget for legal fees is constantly increasing – I even tend to see it as a drift, and the heads of courts are asking for an information tool that allows them to better steer the subject. This amendment was not discussed in committee; In my personal capacity, I therefore issue a wisdom opinion. But Mr Brindeau raises a real difficulty: despite this budgetary inflation, delays in payment persist, leading some experts to decline expertise, considering that the delays in the payment of justice are far too long.
ParlaMint-FR_2021-10-25-O1029.u271	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u272	I spoke in response to Mrs Dubré-Chirat about this, so I am against this amendment. I understand the meaning of that, but considerable efforts have been made on this issue. As far as deadlines are concerned, Mr rapporteur, I am sorry to say that I am wrong about what you have just said. Your intervention amounts to asking if there is a pilot on the plane... I can't imagine you telling us how much you like everything that the seal keeper does, that would be quite singular. But this budget is also presented in a national conference of the heads of courts and courts, and they are satisfied with it.
ParlaMint-FR_2021-10-25-O1029.u273	Ah! Who are they under?
ParlaMint-FR_2021-10-25-O1029.u274	As far as I know, the judges of the seat are not under the authority of the keeper of the seals.
ParlaMint-FR_2021-10-25-O1029.u275	But the means, they belong to the ministry!
ParlaMint-FR_2021-10-25-O1029.u276	You're catching up in time! We are talking about independent magistrates. The conferences denounced for many years what Mr. Jean-Jacques Urvoas had called the "clochardization" of justice. Forgive me, but, as I reminded you earlier, 102 judicial posts had been abolished under your majority, while we created 650.
ParlaMint-FR_2021-10-25-O1029.u277	Public prosecutors don't say what you're saying!
ParlaMint-FR_2021-10-25-O1029.u278	As you know, the conferences I refer to are held within the framework of an indispensable institutional dialogue. In addition, I have a dialogue myself with the magistrates on the ground, and I meet them every week.
ParlaMint-FR_2021-10-25-O1029.u279	I'm meeting them too!
ParlaMint-FR_2021-10-25-O1029.u280	All right. If you wish, we will exchange our information: I will tell you in which jurisdictions we are satisfied with this budget and you will tell me which jurisdictions it is considered worth nothing. This will allow us to compare our data. But you cannot imply that the magistrates are under the authority of one or another while, once again, the judges of the seat are not under the authority of anyone – and that's very good. You can't say anything!
ParlaMint-FR_2021-10-25-O1029.u281	Indeed, Minister, you can't say anything!
ParlaMint-FR_2021-10-25-O1029.u282	I can tell you that in the context of the conferences of the heads of the courts and the heads of courts, I receive representatives of the magistrates...
ParlaMint-FR_2021-10-25-O1029.u283	That's not the case with Bobigny.
ParlaMint-FR_2021-10-25-O1029.u284	I'm getting them, too!
ParlaMint-FR_2021-10-25-O1029.u285	Well, we can go see the same magistrates together!
ParlaMint-FR_2021-10-25-O1029.u286	That's what we do!
ParlaMint-FR_2021-10-25-O1029.u287	No, that's not what we do. After a while, nihilist criticism makes no sense. Why don't you ask yourself about your balance sheet?
ParlaMint-FR_2021-10-25-O1029.u288	Mr Minister and Mr Special Rapporteur, I ask you not to have a private conversation on the benches of the Government and on the benches of the Commission. Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-10-25-O1029.u289	[[Minister and rapporteur-general continue their off-micro exchanges]] I'd like to raise a quiproquo because Mr. Seals' unease is palpable. He feels he's being targeted because we're questioning piloting...
ParlaMint-FR_2021-10-25-O1029.u290	Mr. Congressman, I'm sorry to interrupt. I ask the Minister and the Special Rapporteur to listen to the speaker, whoever he is. You will have many other opportunities to continue this dialogue on the microphone or outside the Chamber.
ParlaMint-FR_2021-10-25-O1029.u291	Mr Hetzel spoke of the budget allocation. This is the role of the program manager, therefore, the minister. It is well that directs the appropriations – since this is the vocabulary that is used in public budget management. If this pilotage is bad, it is obvious that only the minister can be attacked. The Commission of Inquiry into the Independence of Justice,...
ParlaMint-FR_2021-10-25-O1029.u292	Ah!
ParlaMint-FR_2021-10-25-O1029.u293	It's over, it's over!
ParlaMint-FR_2021-10-25-O1029.u294	... had made a large number of proposals concerning the piloting of appropriations and, more generally, of the budget. It's a pity you didn't take them into consideration. We proposed, for example, to divide the Justice mission into two parts: on the one hand, judicial justice, on the other hand, the prison administration and the judicial protection of young people. Indeed, the scope and stakes of these programs are very different. However, the fungibility of funds is always to the benefit of the prison administration and to the detriment of other programmes. We also proposed a real decision-making dialogue because the management dialogue, which is currently in place within the Ministry of Justice, is dysfunctional – and that is what allows the minister to say that everyone is happy, which is fundamentally wrong; We're even looking at the opposite. In passing, I would point out that it is Professor Michel Bouvier, and not Professor Lambert, as I had mistakenly indicated in the general discussion,...
ParlaMint-FR_2021-10-25-O1029.u295	It changes everything!
ParlaMint-FR_2021-10-25-O1029.u296	... who issued a report on budgetary management, at the request of the Court of Cassation – you would be inspired by it, Minister. The committee of inquiry also proposed, for example, to submit a preliminary draft budget to the Higher Council of the Judiciary for its opinion. He could say, for example, whether the planned budget met the needs of the courts and was commensurate with the major public policies announced and the priorities set by the Government.
ParlaMint-FR_2021-10-25-O1029.u297	Anything!
ParlaMint-FR_2021-10-25-O1029.u298	There must be some consistency between the announcements made, the texts voted on and then what is being applied on the ground. A Court of Appeal must also be, in the language of the budget, an RBOP, a Program Operational Budget Officer. All the measures I have just mentioned depend on you, Minister. They are only a matter of regulatory authority. But you haven't done anything in this area for more than a year and a half.
ParlaMint-FR_2021-10-25-O1029.u299	Mr Pascal Brindeau has the floor to support Amendment No. 675.
ParlaMint-FR_2021-10-25-O1029.u300	It aims to increase funding for the judicial protection of young people, in particular to enable its services to meet the additional needs associated with the reform of the juvenile criminal code.
ParlaMint-FR_2021-10-25-O1029.u301	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u302	You're raising a real question. However, your amendment is quite moderate since it is intended to transfer only EUR 1 million. If he serves a noble cause, he is already satisfied in reality. I therefore call for the withdrawal of this amendment, which has not been studied by the committee.
ParlaMint-FR_2021-10-25-O1029.u303	It is Mr. Keeper of the Seals who has the floor.
ParlaMint-FR_2021-10-25-O1029.u304	Same position as the Special Rapporteur.
ParlaMint-FR_2021-10-25-O1029.u305	Everything's happening!
ParlaMint-FR_2021-10-25-O1029.u306	Mrs Alexandra Louis has the floor to support Amendment No. 388.
ParlaMint-FR_2021-10-25-O1029.u307	This is primarily an appeal amendment, which aims to increase the resources allocated to the Agency for the Management and Recovery of Seized and Confiscated Assets, the AGRASC. Its objective, quite clear, is to ensure that crime no longer pays or, more modestly, pays less, by depriving offenders of their financial resources. I live in Marseille, a city that suffers a lot from drug trafficking. Whole neighbourhoods find themselves hostage to these traffickings, which break families and young people. If this illegal trade exists, it is simply because it is very lucrative: a deal point in Marseille can earn up to 80000 euros a day. However, we have not remained inert since the beginning of this mandate. I would also like to pay tribute to the work of our magistrates and police officers. We have voted on some texts that strengthen the criminal response by increasing the means of justice and reforming juvenile justice. But more needs to be done with regard to the seizure and confiscation of criminal assets. In the context of a criminal response, these must become a real reflex. Beyond confiscation, the idea, coming from the actors on the ground whom I am trying to speak for myself, is to redistribute these resources to the judicial services, but also to our police officers, who need additional resources, as well as to the associations. They suffer from a terrible lack of resources while, at the same time, offenders live far beyond their means. Texts, voted in this House, have already made certain legislative developments possible – I know your commitment on this issue, Minister. This amendment is intended to strengthen the capabilities of the AGRASC and its antennae. There are some in Marseilles and Lyons, another will soon be created in Lille. It is important to empower them to work. I recall that in 2020, no less than EUR 300 million was seized. However, we can go much further.
ParlaMint-FR_2021-10-25-O1029.u308	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u309	You said it yourself was an appeal amendment. While I ask for a personal withdrawal from this amendment which has not been studied in committee, I will give you some answers. The capacity of the Criminal Assets Management and Recovery Agency will increase in 2022. It is traditionally financed by interest earned on the stock of confiscated and seized assets and by a portion of the proceeds of confiscated assets up to a maximum of EUR 1.3 million. By analysing, as I have done, the situation closely, it is apparent that the Agency has achieved its objectives of accelerating the processing of seized criminal assets, which leads mechanically to a reduction in the amount of interest earned on these assets and thus to a reduction in the operator's resources. As a result, from 2022 onwards, interest on the inventory of seized assets will be reallocated to the State. In return for good performance, the ceiling for the Agency's share of assets was raised from EUR 1.3 million to EUR 9.9 million. In addition, the Agency will receive a grant for public service charges, included in the 310 programme, amounting to EUR 8.9 million in 2022. Since the operator's employment ceiling was respected in 2021, it is clear from a close analysis of the arguments set out in your explanatory memorandum that your amendment is satisfied.
ParlaMint-FR_2021-10-25-O1029.u310	What is the Government's opinion?
ParlaMint-FR_2021-10-25-O1029.u311	I agree once again with the Special Rapporteur – it becomes suspicious! Dear Alexandra Louis, I know your attachment to your region, to your city. Two AGRASC branches have recently been opened in Marseille and Lyon. This device works well, it's a real success. Together with Mr. Nicolas Bessone, Director General of AGRASC, I visited Italy, a pioneering country in this field. In particular, buildings held by the mafia are confiscated in order to give them to charitable associations or, for example, to the equivalent of the judicial protection of young people. Since you mention this issue in your amendment, I would point out that the famous flat screens have been redistributed to the benefit of the courts. So far they belonged to delinquents; They will now be used by the judicial institution to deliver justice. A grant to AGRASC, amounting to €8.8 million, was decided for the first time under the draft finance law for 2022. This, of course, is only part of the AGRASC's funding, which is expected to receive €9.9 million in earmarked revenue from criminal assets in 2022. If I fully understand the meaning of your approach and know your investment on this issue, I would ask you to withdraw this amendment and, failing that, issue an unfavorable opinion. The AGRASC will experience the rise in power that I call for.
ParlaMint-FR_2021-10-25-O1029.u312	Mrs Alexandra Louis has the floor.
ParlaMint-FR_2021-10-25-O1029.u313	I thank the Special Rapporteur and the Minister for their very detailed response. Mr Minister, as you have pointed out, the Italian model is very instructive, as it has managed to put a part of the Italian mafia on its knees. I hope that we will have an opportunity to work in the future on this matter, which is a priority. The general states of justice may be a good opportunity to do so. I obviously withdraw this amendment.
ParlaMint-FR_2021-10-25-O1029.u314	The next item is the joint motion for a resolution (Doc.
ParlaMint-FR_2021-10-25-O1029.u315	With this amendment, I propose to create a reserve for the judicial protection of young people so that the management of the latter has the possibility of employing retired public servants and volunteers from civil society, i.e. a diverse, experienced and capable pool of unmet needs, composed of citizens who wish to engage with a specific population, minors in conflict with the law. The measure that I propose to adopt offers flexibility to the Directorate of Youth Judicial Protection, which would thus benefit from a new staff contribution. This would of course promote the social integration of juvenile offenders entrusted to the JJP, which is one of my priorities – you know my commitment in this area. Last July, I signed a protocol with the Minister of the Armed Forces, Mrs Florence Parly, to promote the social integration of juvenile offenders by accompanying them in the construction of a professional project. I would like to take this opportunity to open a brief parenthesis because I have heard that this initiative would be a sign of the right to keep seals. It turns out that the army is, quite rightly, an institution that our compatriots love. She's also making kids dream. Naturally, it is not a question of solving the problem of juvenile delinquency by putting young people on a bus to take them to a barracks: the project is a little more subtle, intelligent and nuanced than that! It's about allowing kids attracted to the military thing to be in contact with former military personnel, likely to give their lives a new direction.
ParlaMint-FR_2021-10-25-O1029.u316	All right!
ParlaMint-FR_2021-10-25-O1029.u317	It's no more complicated than that. Of course, the PJJ will need to have previously provided expertise on these children – their sensitivity, their appetites and their desire for the future. Once this is done, it is important that children who are likely to be attracted to the military are well received by the institution. Military personnel are quite ready to help them. Why, by virtue of what stupid dogmatism I don't know, would we reject this idea of a back end? I am so that young people will flourish in gardening if they have a green hand; in the army if they wish to join it; in gastronomy if they have a cook's soul, etc. [[Applause on the benches of the LaREM group]] The postulates and anathemas on the supposed rightization of one or another have absolutely nothing to do with the measured reflection that we could all lead. The future of children, in essence, is more important to us than these totally sterile and stupid polemics. The reserve will be made up of retired civil servants from the ministries of justice, the armed forces, the interior and national education, youth and sports, as well as volunteers from civil society, whose daily allowances will be paid with the funds of programme 182. The Ministry of Armed Forces, in particular, will provide assistance and experience in the establishment of this reserve. In the light of their achievements and professional guarantees, retired staff in the Directorate of Youth Judicial Protection could continue to serve their administration and to put their experience to the benefit of young people. Voluntary reservists would provide support missions for juvenile offenders, including educational activities, training and mentoring of JJP management staff, and various studies. The estimated budget of this reserve for the year 2022 is EUR 240000, which will be intended to cover the paid days of the reservists.
ParlaMint-FR_2021-10-25-O1029.u318	What is the opinion of the committee?
ParlaMint-FR_2021-10-25-O1029.u319	Let us be clear: the creation of a reserve for the judicial protection of young people made up of voluntary citizens and retired staff in the civil service is indeed an interesting idea.
ParlaMint-FR_2021-10-25-O1029.u320	Ah!
ParlaMint-FR_2021-10-25-O1029.u321	It makes sense to strengthen the resources of the services of the judicial protection of young people. It will, of course, be necessary to evaluate the implementation of the scheme in order to verify its effectiveness. Personally – since this amendment has not been discussed in committee – I am issuing a favourable opinion. However, it seems important to me, as Special Rapporteur, to stress that I wonder about the form preferred by the Government. Is this amendment not likely to be seen as a budget rider? How, in particular, does the measure affect the expenditure of the state budget in 2022? You did not think it appropriate to seek the opinion of the Council of State on the proposed provisions, which are introduced by way of an amendment. I would also be curious to know the position of the Constitutional Council on the matter. Why take such a risk of seeing the device censored? It is simply pointless, as many laws on justice have been in place in recent months: the draft law on confidence in the judicial institution is still under consideration, with the Joint Joint Committee (JC) scheduled to meet shortly; The law on improving the effectiveness of community justice and criminal response was enacted on 8 April; and the draft law on the protection of children, tabled on 16 June, was adopted here this summer, with the Senate having since completed its consideration in committee last Wednesday, 20 October. So you could have adopted this reform through a multitude of legislative vehicles, but unfortunately you have chosen the least suitable solution legally. In conclusion, I would add that you are explicitly announcing the creation of a PJJ reserve on pages 170 et seq. of the annual performance project (PAP) – the famous budget blue. Why, then, did not have the amendment tabled at the same time as the rest of the finance bill? The fact that such a mechanism was mentioned in the blue meant that the Government intended to go in that direction. Why introduce it in a subreptitious way, at the end of the discussion, without having first obtained the opinion of the Council of State and therefore taking a legal risk, when you could easily secure the process?
ParlaMint-FR_2021-10-25-O1029.u322	Better late than never!
ParlaMint-FR_2021-10-25-O1029.u323	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-10-25-O1029.u324	I agree with the comments made by the Special Rapporteur: the reservation was already included in the PAP, as I myself pointed out in committee. In fact, everyone understands that you cannot bring the army into the Ministry of Justice in this way. Worse still: since 2012, partnerships have already been established between the Ministries of Armed Forces and Justice, in connection with EPIDE centres, formerly public institutions for the integration of defence, renowned institutions for integration into employment. It is true that they are based on the volunteerism of the youth monitored by the PJJ. Now, with your project, you do not want to foster partnerships that can obey different structures, pedagogies and objectives, but to incorporate reservist soldiers – and not even agents of the Ministry of Armed Forces – into the structures of the PJJ, to give young people the taste of what I don't know, on the pretext that some of them would dream of joining the army!
ParlaMint-FR_2021-10-25-O1029.u325	He doesn't understand anything!
ParlaMint-FR_2021-10-25-O1029.u326	While there are various ways of returning to the army, this is not the issue, I am not sure that the framework for the judicial protection of young people is the most appropriate. It is already difficult enough to implement the existing educational measures and to have the means to implement them so that we do not lose in these types of arrangements, which, since the partnerships between the Ministry of Justice and EPIDE or the army already exist, give the impression that the Government is primarily guided by a political will to display and seeks to flirt with a certain section of the electorate. If, on the other hand, you really believe in what you're saying, then we have an additional problem.
ParlaMint-FR_2021-10-25-O1029.u327	It is Mr. Keeper of the Seals who has the floor.
ParlaMint-FR_2021-10-25-O1029.u328	I would remind you that this amendment has been declared admissible by the Assembly.
ParlaMint-FR_2021-10-25-O1029.u329	Of course!
ParlaMint-FR_2021-10-25-O1029.u330	I thought you missed it.
ParlaMint-FR_2021-10-25-O1029.u331	We would not debate it today if it had been declared inadmissible, Mr. Keeper of the Seals!
ParlaMint-FR_2021-10-25-O1029.u332	As for the rest, why present this device now and not before? Because work was under way. Finally, a little nuance, in the times that run, would do us so much good! I don't know if our debates are being broadcasted, Mr. President...
ParlaMint-FR_2021-10-25-O1029.u333	All our debates are public and fully transcribed, Minister.
ParlaMint-FR_2021-10-25-O1029.u334	Those of our fellow citizens who would see our debates and hear Mr Bernalicis accuse us of bringing the army into the service of the PJJ would have to tremble! It's not about that. I simply believe that the creation of such a reserve would be a good partnership and would give us the opportunity to act with the army to help young people in difficulty. It's no more complicated than that. It is, in essence, measures that should be trans-partisan and on which we could all agree. This is by no means a "political will to display". I said it from the first days of my appointment, before many witnesses: I consider such a device to be interesting and can help some kids. But I will not convince you, because you are in systematic opposition.
ParlaMint-FR_2021-10-25-O1029.u335	Nihilist, even!
ParlaMint-FR_2021-10-25-O1029.u336	[[Applause on the benches of the LaREM and Dem groups]] That's how it is. And then any action involving the army necessarily signs the rightization of the person who proposes it, of course! It's better to hear this than to be deaf! Personally, I'm ready to hear everything, but let's not tell anything! The purpose of the proposed measure is to help the kids and I'm pretty sure everyone here, other than you, is convinced of it.
ParlaMint-FR_2021-10-25-O1029.u337	[[Applause on a few benches of the LaREM group]] We have completed the review of the Justice Mission's appropriations. The continuation of the budget discussion was postponed until the next sitting.
ParlaMint-FR_2021-10-25-O1029.u338	Next meeting, this afternoon, at 3 p.m.: Continuation of the discussion of the second part of the finance bill for 2022; Mission review School education. The meeting is adjourned.
