ParlaMint-FR_2021-12-10-O1094.u1	The next item is the debate on the draft finance bill for 2022 (No. 4709, 4787).
ParlaMint-FR_2021-12-10-O1094.u377	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u378	Favourable.
ParlaMint-FR_2021-12-10-O1094.u379	The Chairman of the Committee on Finance has the floor.
ParlaMint-FR_2021-12-10-O1094.u380	I would like to say a word, since as often we discover this at the last minute. It is therefore difficult to form an in-depth opinion. I note that the government deficit is down by about 1 billion; This is a good thing, if the energy measures do not have a financial consequence. We do not know what your wish to apply to electricity what you are doing for gas. You left an expenditure of about 5 billion for electricity and 1 billion and a few billion for gas, or 6 or 7 billion. If tariffs were to move, we would be around 12 billion. I understand that you anticipate that they will move, as you give yourself every means to respond to this increase. The increase in electricity tariffs would have to be assessed, and the impact on the balance sheet and, more broadly, on the government balance would be discussed in the National Assembly. This is not the case: you open up opportunities without drawing the financial consequences. I can understand that, but the House is entitled to know them.
ParlaMint-FR_2021-12-10-O1094.u381	The Minister-in-Office has the floor.
ParlaMint-FR_2021-12-10-O1094.u382	If the increase in costs were to exceed our forecasts, the Government would propose to Parliament that tariffs be blocked by failing to implement the recommendations of the Energy Regulatory Commission. Of course we do not hope, but price volatility is such that we prefer to have the necessary tools. The cost of the device is difficult to estimate, since we do not know if we will have to use it. On the other hand, such a situation would lead to savings due to changes in other government spending, such as the mechanically reduced contribution to the public electricity service (PSEC). For these reasons of volatility, both the revenue and the expenditure generated by the possible application of the device that we propose to you, it is impossible to encrypt; We have agreed on a cost estimate of $5.9 billion, which is already very significant. So this is the sum retained in the equilibrium article.
ParlaMint-FR_2021-12-10-O1094.u383	The Chairman of the Committee on Finance has the floor.
ParlaMint-FR_2021-12-10-O1094.u384	I understand your position: you're not sure of anything, so you're giving yourself the tools you need to see coming. However, you must at least make a commitment to inform national representation. It must first be kept informed of the entry into force of the mechanism. You will tell me that we will learn from the newspapers, who will inform that the price of electricity has exceeded the estimate, but it would be good if we had official information, so that the Committee on Finance can debate the financial implications. They can be considerable: we have calculated that if the price increase is increased from 14 % to 25 %, the cost of the measure would be around 12 billion euros, or 4 or 5 billion more than the estimated 6.7 billion. The difference is quite considerable; It would make the balancing article completely wrong, except, of course, if you consider it to be a gross figure, that in net it is not quite that, because you may have found other savings. We will have to find ways to finance the scheme and, on this point, we will need to see a lot more clearly.
ParlaMint-FR_2021-12-10-O1094.u385	The Minister-in-Office has the floor.
ParlaMint-FR_2021-12-10-O1094.u386	Given the stakes, it is clear that the Government will inform the Assembly's Finance Committee and the Senate Committee if it needs to do so, in order to share information on possible budgetary consequences.
ParlaMint-FR_2021-12-10-O1094.u387	I put to the vote the whole of the first part of the finance bill for 2022.
ParlaMint-FR_2021-12-10-O1094.u388	We are considering the second part of the finance bill for 2022.
ParlaMint-FR_2021-12-10-O1094.u389	The Minister-in-Office has the floor to support Amendment No. 903.
ParlaMint-FR_2021-12-10-O1094.u390	The Government had launched a plan to reduce the cost of State procurement in order to generate savings. We are able to transform the procurement function, use it as a tool for environmental transformation or social responsibility, and achieve savings. For the first time, for the year 2022, three amendments relate to this: Amendment No 903 and subsequent Amendments Nos 924 and 902. They aim to achieve 80 million euros of gross savings, i.e. 50 to 55 million net savings. Indeed, the reform plan is based on a principle of interest of the ministries concerned, which recover appropriations in proportion to the savings achieved. In total, we thus reach the modest amount of 80 million euros gross and 50 million net. I therefore consider that I have defended the three amendments relating to the procurement plan.
ParlaMint-FR_2021-12-10-O1094.u391	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u392	Favourable opinion.
ParlaMint-FR_2021-12-10-O1094.u393	The Chairman of the Committee on Finance has the floor.
ParlaMint-FR_2021-12-10-O1094.u394	The implementation of the procurement plan is a good thing; There was a government procurement department, there is now a plan, it's perfect. But what savings do you intend to achieve? I understand that the plan is committed and that you decline the impact almost by mission. You will redeploy credits, why not, but can you specify what general level of savings you are planning, so that we have an overall vision?
ParlaMint-FR_2021-12-10-O1094.u395	The Minister-in-Office has the floor.
ParlaMint-FR_2021-12-10-O1094.u396	The first step was to develop a methodology based on one principle: to involve the ministries and operators of the State concerned in achieving savings. The return rate to the department is in the range of 30 to 40 per cent of the savings realized. The second step, which is still under way, is to document the savings that can be achieved. Our objective is to document, over a long period of time, 700 to 800 million euros of savings. The initial target was closer to $1 billion, but we excluded the Ministry of Armed Forces from the base of the plan. In view of the weight of the Ministry of Armed Forces in State expenditure, the objective was mechanically lowered to around 800 million euros. The third stage will be implementation. I will subsequently defend an amendment to provide the Interdepartmental Directorate of Public Transformation (DITP) with an additional 10 to 15 staff in order to internalise as many benefits as possible. The rise in power will be gradual; The 80 million gross savings we are proposing for 2022 have been discussed with the various ministries, which explains why we were starting with the first step.
ParlaMint-FR_2021-12-10-O1094.u397	Mrs Claudia Rouaux has the floor to support Amendment No. 481.
ParlaMint-FR_2021-12-10-O1094.u398	It was tabled by Alain David and aims to sustain the system of emergency support for the education of French scholarship students inscribed in the third bill of amending finance for 2020. It is therefore intended to abound the budget to support the schooling of French children enrolled in the institutions of the Agency for the Teaching of French Abroad (AEFE) network, for the same amount as the emergency aid decided in 2020, i.e. EUR 50 million.
ParlaMint-FR_2021-12-10-O1094.u399	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u400	In this PLF, the funds voted for scholarships for students in the French education network abroad amount to 94.4 million; they seem sufficient in relation to the needs that the network has communicated to us. I therefore propose that you withdraw the amendment, otherwise the opinion will be unfavourable.
ParlaMint-FR_2021-12-10-O1094.u401	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u402	Same opinion.
ParlaMint-FR_2021-12-10-O1094.u403	Amendment No. 924 of the Government has already been defended. What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u404	Favourable.
ParlaMint-FR_2021-12-10-O1094.u405	Mrs Stella Dupont has the floor.
ParlaMint-FR_2021-12-10-O1094.u406	[[Applause on a few benches of the LaREM group]] I discovered this amendment very recently, since it was tabled last night. It follows a decision we took during the first reading, by adopting Amendment No 789 by Mrs Jennifer De Temmerman. I supported one particular point. With Jean-Noël Barrot, I am the Special Rapporteur of the Immigration, Asylum and Integration Mission. In particular, we have assessed the means available to the administrative services of the prefectures, in particular the foreign office, to accommodate foreigners and to assist them in asserting their rights, including by applying for a residence permit. However, we have seen a significant lack of human resources. Returning to this amendment contradicts the parliamentary intention to provide prefectures with sufficient resources to accommodate foreigners and facilitate their access to rights. I therefore wonder about the Government's amendment, with which I disagree a priori.
ParlaMint-FR_2021-12-10-O1094.u407	Mrs Sylvia Pinel has the floor.
ParlaMint-FR_2021-12-10-O1094.u408	I will go in the same direction: this amendment goes back to that of Mrs De Temmerman, who was adopted after lengthy debates. It was indeed a matter of empowering the deconcentrated State administration in prefectures and sub-prefectures so that it could carry out its tasks properly. The Liberties and Territories Group regrets that the Government has tabled this amendment and will vote against it.
ParlaMint-FR_2021-12-10-O1094.u409	The Government's amendment No. 902 has already been defended.
ParlaMint-FR_2021-12-10-O1094.u410	I call Mr Schellenberger to support Amendment No. 65.
ParlaMint-FR_2021-12-10-O1094.u411	It was deposited by Véronique Louwagie and aims to support the Mareyage. Indeed, this agri-food sector, which comes immediately after fishing, is experiencing major difficulties, in particular because of your inability to enforce the Brexit Agreement, as regularly reflected in the news about the obstacles that French fishermen face in continuing to work in British waters, as the agreement provided for. The fish market suffers from this. It represents 490 companies and 11,200 employees in France, who need a commitment from the Government. Our intention is just as much to highlight the consequences of your inability to enforce the Brexit agreement as to stress the need to give serious support to the milking industry.
ParlaMint-FR_2021-12-10-O1094.u412	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u413	With regard to Brexit, we regularly discuss it with the Government. Beyond that, the fairage is sustained. At the budgetary level, the resources are constantly increasing. They come from a number of sources, including the European Brexit adjustment reserve, which France is using effectively, with credits of up to €80 million for the compensation of fixed costs, €12 million to compensate revenue losses and €8 million specifically for marketers. France obviously takes up the problem with arms-the-body and the support is continuous. In addition, the Recovery Plan mission plans to allocate close to €50 million to the Ministry of Agriculture and Food's effort to develop innovative ships and boats and to attract quarries, which are also important for the marketing sector. Your amendment concerns more precisely the appropriations for a budget line which the PLF for 2022 has already increased from EUR 5 million to EUR 9 million. Moreover, the state is still at the end of the financial year, with an abundance of between 87 and 150 million euros according to the budget collectives of the legislature, and 340 million euros in the text for 2022. The necessary means have therefore been put in place to respond to your request for fairage.
ParlaMint-FR_2021-12-10-O1094.u414	Amendment No 482 by Mr Alain David is being defended.
ParlaMint-FR_2021-12-10-O1094.u415	I have two identical amendments before me, Nos 923 and 950. The Minister-in-Office has the floor to support Amendment No. 923.
ParlaMint-FR_2021-12-10-O1094.u416	It aims to support the policy in favour of harkis and their families, in particular by increasing the amount of specific allowances, thanks to an abundance of EUR 18.5 million.
ParlaMint-FR_2021-12-10-O1094.u417	Amendment No 950 by Mr Bertrand Pancher is being defended.
ParlaMint-FR_2021-12-10-O1094.u418	Mr Michel Zumkeller has the floor to support Amendment No. 521.
ParlaMint-FR_2021-12-10-O1094.u419	This amendment by Jean-Christophe Lagarde aims to bring the budget devoted to the Veterans Mission, memory and ties with the Nation to its level in the previous budget. While there is a natural decline in entitlement holders, many veterans' requests remain to be met. Maintaining this budget at the same level as last year would be a good message.
ParlaMint-FR_2021-12-10-O1094.u420	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u421	Unfavorable. I stand by the previous amendments submitted by the Government.
ParlaMint-FR_2021-12-10-O1094.u422	Mrs Sylvia Pinel has the floor to support Amendment No. 727.
ParlaMint-FR_2021-12-10-O1094.u423	It aims to abound the credits of the Mission Veterans Affairs, memory and ties with the Nation of €18 million, to allow the extension of the benefit of the fiscal half share to widows of veterans whose spouse died before the age of 65.
ParlaMint-FR_2021-12-10-O1094.u424	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u425	This amendment falls within the scope of taxation rather than budgetary appropriations. Request for withdrawal or unfavorable notice.
ParlaMint-FR_2021-12-10-O1094.u426	I have before me four identical amendments, Nos 918, 939, 940 and 943. The Minister-in-Office has the floor to support Amendment No. 918.
ParlaMint-FR_2021-12-10-O1094.u427	I will let the parliamentarians who have tabled identical amendments to my own defend them, Madam President.
ParlaMint-FR_2021-12-10-O1094.u428	Mr François Pupponi has the floor to support Amendment No 939.
ParlaMint-FR_2021-12-10-O1094.u429	We have already mentioned, earlier and at first reading, the famous fine known as Corsica Ferries, which put the community of Corsica in difficulty. The Government has decided to abound the PTIC by 50 million euros so that the community of Corsica can maintain its level of investment in 2022, which I welcome. However, community services will need to be closer to government services in order to clarify the terms and conditions of use of this amount. The allocation is allocated exclusively to the community of Corsica, for its investments in 2022, which I am delighted to see: we are coming out from the top of this delicate issue. I allow my colleagues to speak on this, because even if I am the first signatory to the amendment, everyone must be able to speak.
ParlaMint-FR_2021-12-10-O1094.u430	Mrs Lise Magnier has the floor to support Amendment No. 940.
ParlaMint-FR_2021-12-10-O1094.u431	I am speaking on behalf of my colleagues Houbron and Potterie, who welcome, with this amendment and with point 919, that we will examine a little later, the release of EUR 29 million in EA and EUR 2.15 million in payment appropriations to strengthen the commitment for the renewal of the mining basin, which initially covered an envelope of EUR 100 million, i.e. EUR 10 million per year over ten years. In particular, the scheme allows the renovation of housing in mining towns, the support of urban development projects or the facilitation of the establishment of enterprises in the mining basin. It is therefore particularly important for the territories concerned. My colleagues Dimitri Houbron and Benoit Potterie and I would like to thank the Government for the abundance of almost 30 million euros in this envelope.
ParlaMint-FR_2021-12-10-O1094.u432	I call Mr Michel Castellani to support Amendment No. 943.
ParlaMint-FR_2021-12-10-O1094.u433	It concerns the Corsica Ferries dispute, which we have already mentioned at length, and follows discussions between the state, the services of the Corsican community and parliamentarians. It is essential to support the community of Corsica, because the magnitude of the fine had the effect of completely destabilising its budget. It is fair for the State to commit itself to this issue, since it had granted so-called supplementary service aid for the operation of ships, and management control was not adequately carried out... If this amendment proposes to abound the PTIC, we would prefer that the Corsican community have the direct management of the sums concerned. The current functioning of the ICTP poses a problem, both in terms of its overall amount and in terms of how it is managed on a daily basis – intervention rates, decision-making. This amendment is likely to put an end to the so-called Corsica Ferries dispute.
ParlaMint-FR_2021-12-10-O1094.u434	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2021-12-10-O1094.u435	I would like to thank the Government for its response, as it undertook to do so at first reading. I hear the exchanges between the deputies from the territory of Corsica and the deputy minister: we have every interest in adopting the Government's amendment, which is perhaps not entirely satisfactory, but nevertheless interesting. You have been right to report your incomprehension – it is an understatement – since the beginning of the examination of the text. Favourable opinion.
ParlaMint-FR_2021-12-10-O1094.u436	Thank you!
ParlaMint-FR_2021-12-10-O1094.u437	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u438	I wanted Members to be able to defend these identical amendments, because many of them participated in the discussions. I propose that you not enter into a debate – as is sometimes the case – on the responsibility of one or another. We share the desire to resolve this difficulty and to enable everyone to cope – in this case, with EUR 50 million to finance the investments. Mr. Castellani asked me in particular about how these funds are used, linked to the PTIC, and I appreciate the concern of some Corsican elected officials, since many of the investments eligible for the PTIC are registered there. Flexibility in the use of this EUR 50 million is needed. The State will demonstrate this, I commit myself to it: the objective is that the community of Corsica can use this money to finance current investments.
ParlaMint-FR_2021-12-10-O1094.u439	Mr Jean-Félix Acquaviva has the floor.
ParlaMint-FR_2021-12-10-O1094.u440	Thank you for your explanation. Without repeating the history, we agree, the community of Corsica has assumed the continuity of public action, which the state now does, even if it does not have governance. We are getting out of a difficult situation and we are very comfortable with it. Can you confirm to us – in terms of the governance of the PTIC in terms of the allocation of investment allocations, which raises some concerns – that this sum is freely available to the community, for investments for the development of the territory of the communes?
ParlaMint-FR_2021-12-10-O1094.u441	The Minister-in-Office has the floor.
ParlaMint-FR_2021-12-10-O1094.u442	I just said, we will be very flexible. The aim is to give the Corsican community latitudes in the use of this EUR 50 million. It is preferable, I say, to avoid further misunderstandings, whether it is to finance community-led investments. If some of the appropriations were to be directed towards investment grants – which is less obvious to us from the point of view of doctrine – we will examine it on a case-by-case basis. Our preference is clearly for financing investments directly by the community, but with freedom of use and employment.
ParlaMint-FR_2021-12-10-O1094.u443	Mr Michel Castellani has the floor.
ParlaMint-FR_2021-12-10-O1094.u444	We take note of your commitment, Minister Delegate, and thank you for that. This way of managing things is quite in the right direction.
ParlaMint-FR_2021-12-10-O1094.u445	I call Mr Pupponi to support Amendments Nos 702, 711, 709 and 712, which can be put together.
ParlaMint-FR_2021-12-10-O1094.u446	They're withdrawn, Madam President.
ParlaMint-FR_2021-12-10-O1094.u447	Amendments Nos. 905 and 906 of the Government are defended.
ParlaMint-FR_2021-12-10-O1094.u448	Mrs Claudia Rouaux has the floor to support Amendment No. 430.
ParlaMint-FR_2021-12-10-O1094.u449	Presented by my colleague Michèle Victory, it aims to double the funds allocated to artistic and cultural practices in school time.
ParlaMint-FR_2021-12-10-O1094.u450	Amendments Nos. 925, 928 and 935 of the Government are defended.
ParlaMint-FR_2021-12-10-O1094.u451	Mrs Sylvia Pinel has the floor to support Amendment No. 568.
ParlaMint-FR_2021-12-10-O1094.u452	Presented by my colleague Michel Castellani, it aims to abound the appropriations of the mission Ecology, sustainable development and mobility in order to strengthen the resources allocated to the mechanism of the energy check, in order to speed up the ecological transition.
ParlaMint-FR_2021-12-10-O1094.u453	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u454	We have already entered an additional EUR 530 million in the amending finance law to increase the amount of the energy cheque by EUR 100 per beneficiary. Request for withdrawal.
ParlaMint-FR_2021-12-10-O1094.u455	Mrs Sylvia Pinel has the floor to support Amendment No. 187.
ParlaMint-FR_2021-12-10-O1094.u456	As part of the fact-finding mission on the future of the aviation sector in France, of which I am the co-rapporteur with my colleague Jean-Luc Lagleize, we have heard a number of airlines who have told us of their difficulties. This amendment is only the advance translation of the recommendations of our report: it aims to abound by EUR 400 million the Transport Infrastructure and Services programme, in return for accelerating the renewal of the fleet with a view to the acquisition of more efficient aircraft, aimed at decarbonising the sector and industry.
ParlaMint-FR_2021-12-10-O1094.u457	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u458	Unfavorable opinion. The debt of the Annex budget Air Control and Operations (BACEA) increased sharply with the crisis, from 667 million euros at the end of 2019 to 2.6 billion euros at the end of this year. Everyone can understand this increase, due to the decrease in traffic, but also to the postponement of the payment of a number of taxes and charges due by airlines. Air navigation taxes and charges will actually increase significantly in 2022, and the Directorate-General for Civil Aviation (DGAC) could hardly do otherwise. I consider this to be an appeal amendment, although it is true that BACEA's debt will be an important issue in the coming years.
ParlaMint-FR_2021-12-10-O1094.u459	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u460	Same opinion.
ParlaMint-FR_2021-12-10-O1094.u461	Mrs Sylvia Pinel has the floor.
ParlaMint-FR_2021-12-10-O1094.u462	I agree with you, Mr rapporteur-general, that the amount envisaged by this amendment may be excessive. However, we must keep this matter of concern in mind, given the crisis in which the aviation industry as a whole has been plunged following the health crisis, but also the investments that will be needed to decarbonize the industry and the efforts required to upgrade, whether in terms of renewal, infrastructure or research.
ParlaMint-FR_2021-12-10-O1094.u463	The rapporteur-general has the floor.
ParlaMint-FR_2021-12-10-O1094.u464	One of the amending finance laws – the second or the third – has made it possible to adopt the principle of loans by the State, for the BACEA, in anticipation of these problems.
ParlaMint-FR_2021-12-10-O1094.u465	Amendment No 186 by Mrs Sylvia Pinel is being defended.
ParlaMint-FR_2021-12-10-O1094.u466	Mrs Claudia Rouaux has the floor to support Amendment No. 488.
ParlaMint-FR_2021-12-10-O1094.u467	Presented by my colleague Gérard Leseul, it aims to cancel the EUR 180 million reduction foreseen in the draft finance law for the appropriations of the Fund for the prevention of major natural risks. As extreme weather events spread all over the world, as the climate emergency becomes more and more concrete in front of our eyes, the state needs to anticipate environmental risks better. This means giving more resources to our prevention and protection tools in the face of these risks, including the Barnier fund.
ParlaMint-FR_2021-12-10-O1094.u468	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u469	I would like to point out that the funds allocated to the Barnier Fund have not decreased. They even increased significantly, from 137 million euros in 2019 to 235 million euros in 2022. We consider the amount to be sufficient. I invite you to withdraw your amendment; If I don't, I'll give you an unfavorable opinion.
ParlaMint-FR_2021-12-10-O1094.u470	Mrs Sylvia Pinel has the floor to support Amendment No. 324.
ParlaMint-FR_2021-12-10-O1094.u471	This amendment by my colleague Michel Castellani aims to abound the appropriations of EUR 1 million for the mission Sustainable ecology, development and mobility, in order to give the community of Corsica the means to clean up the existing risks. The installation of high-performance tools in Bastia, close to the Cap Corse Marine Park, is an absolute emergency given the latest news.
ParlaMint-FR_2021-12-10-O1094.u472	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u473	Unfavorable opinion. This amendment had already been tabled at first reading and the Minister of the Sea, Mrs Annick Girardin, had had the opportunity to reply that resources were well planned in 2022 to meet the storage needs of the Ajaccio intervention centre. However, there are no plans to open a second storage centre in Bastia as you would like. I invite you to withdraw your amendment; If I don't, I'll give you an unfavorable opinion.
ParlaMint-FR_2021-12-10-O1094.u474	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u475	Same opinion.
ParlaMint-FR_2021-12-10-O1094.u476	Mrs Sylvia Pinel has the floor.
ParlaMint-FR_2021-12-10-O1094.u477	Mr rapporteur-general, you know a little about the geography of Corsica: when Cape Corsica or Bastia experience episodes of pollution, you know very well that the centre of Ajaccio cannot intervene quickly enough to clean up pollution. The Minister's reply on the centre of Ajaccio is not satisfactory if we are to ensure the proper protection of Cap Corse. That is why this amendment is intended to allow the establishment of an intervention centre in Bastia.
ParlaMint-FR_2021-12-10-O1094.u478	I call Mr Schellenberger to support Amendment No. 219.
ParlaMint-FR_2021-12-10-O1094.u479	The purpose of this appeal amendment is to ask you about the operation of the MaPrimeRenov' device, which is particularly rigid. Instead of encouraging local expertise to provide global support, the device excludes certain technical solutions used in the thermal insulation of buildings. In fact, the insulation systems under slabs and attices lost are no longer eligible either for the premium of the Energy Saving Certificate – EEC – or for MaPrimeRenov'. In fact, this exclusion discourages some owners who wish to carry out thermal renovation by using these processes, which are sometimes the most suitable. Together with Mrs Louwagie, we would like answers to this question.
ParlaMint-FR_2021-12-10-O1094.u480	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u481	As the committee has not examined this amendment, I will give you a personal opinion. At first reading, we discussed MaPrimeRénov' at length, which makes it possible to finance part of the insulation work, particularly in the context of global renovations. The amended decree of 14 January 2020 on the energy transition premium includes within the scope of the premium the thermal insulation of glass walls, front walls or gables, roof ramps and roof ceilings and terrace roofs. The exclusion of slab insulation operations and lost roofs is due in particular to their lower energy performance. With regard to MaPrimeRénov', the question of the scope of eligible expenditure still arises. We can, of course, discuss this, but the funds allocated are sufficient. I invite you to withdraw your amendment; If I don't, I'll give you an unfavorable opinion.
ParlaMint-FR_2021-12-10-O1094.u482	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u483	Unfavorable opinion. Without going down to the same level of detail as the rapporteur, I would point out that global solutions are chosen and choices made according to energy performance. We want to stay there.
ParlaMint-FR_2021-12-10-O1094.u484	Mr Raphaël Schellenberger has the floor.
ParlaMint-FR_2021-12-10-O1094.u485	It is an appeal amendment that has no legal scope: I withdraw it. I note, however, that there is no answer to the question of insulation under slabs or lost attices.
ParlaMint-FR_2021-12-10-O1094.u486	The rapporteur-general has the floor.
ParlaMint-FR_2021-12-10-O1094.u487	I have been in the atrium that since October, insulation work on the lost attic has been eligible for modest households.
ParlaMint-FR_2021-12-10-O1094.u488	Mrs Sabine Rubin has the floor in support of Amendments Nos 507, 508, 523 and 662, which can be put together.
ParlaMint-FR_2021-12-10-O1094.u489	Other more robust and effective solutions that would benefit our fellow citizens could be adopted by this House to combat rising energy or fuel prices. Amendment No 507 concerns gas tariffs. I recall that since January 2021, the regulated price of gas has increased by 57% and that for 3 million French, the gas bill has increased by 500 euros in five years. However, the measures you are proposing are insufficient. Indeed, the extra energy check of EUR 100 does not make it possible to compensate for the rise in energy prices. Moreover, it will be financed by the increase in VAT revenues linked to the increase in energy prices. The tariff shield is hardly better: if it blocks tariffs from November onwards, it has no effect on the colossal increases that have taken place since July. The reductions will be offset in 2023 by higher-than-expected regulated tariffs. Specifically, regulated tariffs will decrease less than expected after the winter in order to offset the cost of measures under this tariff shield. Instead of this pass trick, we propose to introduce a real blockage of gas prices. Amendment No 508 seeks to block electricity prices. I would like to know why the Government and the rapporteur are opposed to these proposals. Amendment No 523 seeks to block the prices of petrol. The rise in fuel prices weighs significantly more on the poorest households. You will agree that the inflation compensation, which is supposed to respond to this increase in fuel prices, is largely inadequate. On the other hand, it does not benefit the most modest households, as we have repeated many times. If this measure is visible and suggests that you are acting, it is definitely not effective. I would like to know why you are opposed to this price freeze, which would be much more effective. Finally, Amendment No 662 aims to abolish energy cuts and guarantee an unconditional right of access to energy.
ParlaMint-FR_2021-12-10-O1094.u490	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u491	I overlook the form of the amendments: they are call amendments aimed at creating budgetary programmes at 1 euro. We are not opposed to price blocking, since we are putting in place a shield on gas prices, which freezes prices and protects purchasing power. With regard to electricity prices, a government amendment, which we will be looking at shortly, aims to limit to 4% the increase in regulated tariffs scheduled for February next. We therefore block prices, but it is normal to plan a smoothing over the following years. Our responsibility is to preserve the purchasing power of the most modest households; We are doing this by allocating budgetary appropriations to schemes such as the inflation allowance and the energy check. To answer your question, we are not opposed to price freezes because we block them on a cyclical basis. We have done so at first reading on the domestic tax on natural gas consumption – ICTGN – and the ICTFE, and we will continue to do so.
ParlaMint-FR_2021-12-10-O1094.u492	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u493	Unfavorable.
ParlaMint-FR_2021-12-10-O1094.u494	The Minister-in-Office has the floor to support Amendment No. 934.
ParlaMint-FR_2021-12-10-O1094.u495	It aims to implement the State procurement savings plan and to increase the compensation paid to La Poste for its press transport mission by almost EUR 14 million.
ParlaMint-FR_2021-12-10-O1094.u496	Identical Amendments Nos 56 by Mrs Véronique Louwagie and 603 by Mr Christophe Naegelen are being defended.
ParlaMint-FR_2021-12-10-O1094.u497	The Minister-in-Office has the floor to support Amendment No. 921.
ParlaMint-FR_2021-12-10-O1094.u498	It aims to implement the Destination France plan, presented by the Head of Government, by allocating 150 million euros to the public guarantee fund for operators of travel and stays, which will allow the establishment of a system of public reinsurance of the market of the financial guarantees of these operators.
ParlaMint-FR_2021-12-10-O1094.u499	The Government's amendment No. 909 is being defended.
ParlaMint-FR_2021-12-10-O1094.u500	Mrs Claudia Rouaux has the floor in support of Amendments Nos 468, 469, 471, 474, 472 and 470, which can be put together.
ParlaMint-FR_2021-12-10-O1094.u501	These amendments were tabled by my colleague Sylvie Tolmont. Amendment No 468 seeks to raise teachers' salaries massively throughout their careers instead of giving them bonuses. Amendment No 469 is intended to finance the tenure of part of the secondary education contract. Amendment No 471 aims to allocate additional appropriations under Title 2 of the Student Life Programme in order to address the worrying situation of accompanying students with disabilities – AESH. Amendment No 474 aims to increase the number of localised units for school inclusion – ULIS. Amendment No 472 aims to strengthen the resources of the special support networks for pupils in difficulty – RASED. Finally, Amendment No 470 seeks to increase the means of school medicine.
ParlaMint-FR_2021-12-10-O1094.u502	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u503	Funding for national education is increasing in the PLF for 2022, but also since the beginning of the legislature. A major boost was given in 2021, with teachers' salaries being improved. We share your concerns and respond to them at a steady pace: the amount of money allocated to the ministry during the quinquennium amounts to almost €6 billion. We continue to upgrade the remuneration of teachers, especially at the beginning of a career, in order to make the profession more attractive. I invite you to withdraw your amendments; If I don't, I'll give you an unfavorable opinion.
ParlaMint-FR_2021-12-10-O1094.u504	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u505	Same opinion.
ParlaMint-FR_2021-12-10-O1094.u506	Mrs Emilie Cariou has the floor.
ParlaMint-FR_2021-12-10-O1094.u507	I would like to warn you about ULIS, because there is a serious lack of facilities for the care of children with disabilities. Let us take a very concrete example: in my constituency of the Meuse border of Belgium, parents of children with disabilities are obliged to attend school abroad in Belgium. The State does not fulfil its obligations with regard to the care of these children. Moreover, it does not take charge of their school transport, maintaining staggering inequalities. The State must show much more voluntarism in this regard; It is not possible to maintain such inequalities between children.
ParlaMint-FR_2021-12-10-O1094.u508	Mr Michel Zumkeller has the floor in support of Amendments Nos 510 and 511 which can be presented together.
ParlaMint-FR_2021-12-10-O1094.u509	The aim of Amendment No 510 by our colleague Béatrice Descamps is to raise the wages of school nurses. In the framework of the Grenelle de l'éducation, they obtained a revalued amount of 400 euros per year. We would like them to benefit from the same improvement as their hospital nurses and nurses, simply to make the profession more attractive. It is difficult to find nurses and school nurses. This occupation is difficult, especially during this particular period when schoolchildren can be confined; It is therefore important to upgrade it. Amendment No 511 aims to create posts for school psychologists. In a difficult health situation, we need psychologists. It would be a good idea to make provision for that.
ParlaMint-FR_2021-12-10-O1094.u510	Mrs Claudia Rouaux has the floor to support Amendment No. 475.
ParlaMint-FR_2021-12-10-O1094.u511	All these amendments relate to the national education budget. Mr President, you have referred to the increase in appropriations, but we believe that it is insufficient. The State, and in particular national education, is the poor parent of society in terms of prevention, training and equipment to prevent injuries such as musculoskeletal disorders (MSDs). There is a need for a real plan. I therefore maintain all the amendments tabled by Sylvie Tolmont.
ParlaMint-FR_2021-12-10-O1094.u512	What is the opinion of the committee?
ParlaMint-FR_2021-12-10-O1094.u513	Disadvantaged on all these amendments relating to the appropriations for national education.
ParlaMint-FR_2021-12-10-O1094.u514	What is the Government's opinion?
ParlaMint-FR_2021-12-10-O1094.u515	Same opinion.
