ParlaMint-FR_2021-02-05-O1153.u1	The next item is the final reading of the bill extending the state of health emergency (No. 3836).
ParlaMint-FR_2021-02-05-O1153.u329	He's under attack!
ParlaMint-FR_2021-02-05-O1153.u330	Those who attack Mr. Delafosse do not do so to enforce the charter, but to blame him for the very existence of a charter. Citizens have the right to criticize a mayor when setting up something; This does not mean, however, that he is powerless. As you can see, we are facing amazing things. Would we accept as elected officials, on the pretext that there are some corrupt elected officials, because there are some, to sign a Republican Charter of Commitment? Many of you would retort, "What are you interfering with? The whole of my life proves that I respect the Republic! We could also ask the Government to respect a Republican Charter of Commitment,...
ParlaMint-FR_2021-02-05-O1153.u331	Why not?
ParlaMint-FR_2021-02-05-O1153.u332	... but you don't – while that's where you could start to set the example! Perhaps there are even more elected officials who do not respect the values of the Republic than associations! Yet many of you would find it vexing that they are being asked for such a commitment, since you consider yourself perfect by definition!
ParlaMint-FR_2021-02-05-O1153.u333	No!
ParlaMint-FR_2021-02-05-O1153.u334	The associations, on the other hand, are suspected! All this creates a rather amazing atmosphere. [[Applause on the benches of the FI group]] I conclude with a final argument that you can think of what you want, but that I present you in good faith, if I may say so. It concerns the last point of the contract of engagement: respect for the national anthem, the flag and the motto. Those who know me know that I am in love with the French Revolution, I am obviously defending "La Marseillaise", the flag and our motto invented by Maximilien Robespierre! But in our country there are artists, who are part of our heritage, who have violently criticized the national anthem: I am thinking of Renaud, Brassens, and how many others!
ParlaMint-FR_2021-02-05-O1153.u335	Gainsbourg!
ParlaMint-FR_2021-02-05-O1153.u336	And Serge Gainsbourg! If a subsidized association broadcast one of their songs at a subsidized event...
ParlaMint-FR_2021-02-05-O1153.u337	That would give the city council a debate!
ParlaMint-FR_2021-02-05-O1153.u338	You say it twists the stick, but it's being debated! You see, in any case, that we have the means to intervene! Is a subsidized association broadcasting Renaud's words – "La Marseillaise", even in reggae it has always made me disgust" – disrespectful of the national anthem? Big debate! Abbé Pierre said in 1992 with Charles Aznavour and many other artists that "La Marseillaise" contained words of hatred. For my part, I do not agree, but it is being discussed! A law now forbids contempt for the national anthem, but respect is something more complicated! French citizens may want to discuss these issues. It may even happen that the associations they form are subsidized. So all this remains extremely blurred! I understand that you want to attack those who make very violent statements. All right, but the writing of this last point opens up fields of interpretation. I am convinced that according to the mayors and the personality of the mayors, the reactions will not be the same. Some town halls will hunt down the subsidized neighbourhood association in which young people sing rap, of which it is well known that it contains words of social anger. This is the whole history of our country for centuries: popular songs sing social anger! Inspired by anarchism in the 19th century, these songs were often critical of the Republic. I will tell you, dear friends: all this is deeply French! It is deeply French to criticize the power and the President, as does Boris Vian's deserter! These songs exist! Should they be punished? We know very well what is going to happen, minister: in neighbourhoods where youth is of a certain origin, we will consider that his song of anger is antipatriotic, whereas about the songs of Georges Brassens, we will say that it is beautiful and great – and we will be right to say it! But it is not good to approach things like this. [[Applause on the benches of the FI group. – MM. Xavier Breton and Patrick Hetzel also applaud]] I will conclude by stressing that the Republican contract of engagement does not regulate anything, but creates a general feeling of suspicion. We currently have the means to act if associations disseminate xenophobic, racist, anti-republican or non-secular discourse. The law allows it. But there's a difference between acting and shaking. On the subject that concerns us, you do little, but you are agitating a lot. That is why we are against the Republican contract of engagement and call for the deletion of Article 6.
ParlaMint-FR_2021-02-05-O1153.u339	I call Mr Dharréville to support Amendment No. 2019.
ParlaMint-FR_2021-02-05-O1153.u340	Marie-George Buffet and I have already spoken on Article 6, and Alexis Corbière has just added arguments that we share. During the discussion on this article, I have not heard any argument that would convince us that we are wrong, or even any example that would allow us to understand what is the problem that you consider it necessary to resolve on the grounds that the existing legislation would not suffice. For us, this article constitutes a pleonasm, a tautology, in that it repeats things already affirmed, with the result the establishment of an atmosphere of general suspicion, weighing as a negative a priori on associations. As Charles de Courson said, there is no justification for the Republican commitment contract to be reserved for associations seeking grants...
ParlaMint-FR_2021-02-05-O1153.u341	He's right!
ParlaMint-FR_2021-02-05-O1153.u342	In fact, all associations must comply with the commitments contained in this contract. Of course, I am not asking for an extension of the scope of a device that does not suit me, but it seems to me that we are taking things backwards and emptying some of their meaning, in particular because of the formalism that you impose. Apart from the fact that it will not solve any of the problems you claim to be tackling, this formalism runs counter to the autonomy of the associations, the unbridled character that makes them rich, allows them to bring things to the Republic and to make life on a daily basis of forms of citizenship. On the other hand, the very imprecise nature of the wording that is proposed to us, despite the legal nature that you would like to give to your approach, may prevent certain associative approaches which nevertheless deserve to flourish. When reading this article, it may be feared that it will be an additional and unwarranted control tool, because if certain activities require specific control, it cannot be carried out as you propose. Finally, you state that the associations have returned to their opinion on the Republican contract of engagement. However, in a press release on Monday, 1 February, entitled "Republican principles: associations remain concerned", we can say on the contrary that "the association movement calls on the deputies to hear the concerns of the world of associations...". The High Council for Associative Life had given an opinion in the same direction, and to my knowledge it did not return to its original position.
ParlaMint-FR_2021-02-05-O1153.u343	No!
ParlaMint-FR_2021-02-05-O1153.u344	For all these reasons, we call on you to address things differently, and we will make proposals to that effect in the course of the debate.
ParlaMint-FR_2021-02-05-O1153.u345	Mr Julien Ravier has the floor to support Amendment No. 2465.
ParlaMint-FR_2021-02-05-O1153.u346	If we are against Article 6 and wish to delete it, it is first of all because it constitutes an infringement of freedom of association, as the High Council for Associative Life and, more recently, the National Consultative Commission on Human Rights have pointed out. Secondly, within the framework of the principle of the free administration of the communities, a large number of local authorities have already concluded charters of engagement republican and conditioned the allocation of grants or contributions in kind to respect the republican principles: Valérie Pécresse in Île-de-France and Éric Ciotti in the Alpes-Maritimes, to name but a few, have already put in place such charters. As you can see, there is no need for a unilateral contract – a concept that appears to be an oxymore. Finally, you do not condition the signing of this contract of republican commitment to compulsory training in republican principles, secularism and the prevention of radicalization. This will also be the subject of an amendment on my part if we do not obtain the deletion of Article 6. Let us not lose sight of the fact that, in principle, the original objective of this text is to combat political, radical and separatist Islam. By not naming things, you will once again lead to deprivation of liberty for all associations, and miss your target: it is not with totally inoperable paperwork that you will effectively fight Islamist separatism. Finally, let me say to the minister that in the counter-project drafted by the Republican Group, we do not propose secularism for associations at any time.
ParlaMint-FR_2021-02-05-O1153.u347	For the political parties!
ParlaMint-FR_2021-02-05-O1153.u348	On this point, you are misinterpreting our proposal. For us, political parties must respect republican principles. They may be religiously inspired, but in no way should they advocate separatist measures.
ParlaMint-FR_2021-02-05-O1153.u349	On identical amendments Nos 380, 499, 587, 651, 690, 992, 1581, 2019 and 2465, I have before me a request for a public vote in the La République en marche and Libertés et territoires groups. The vote is announced in the National Assembly. If you agree, Minister, we will begin by asking for the committee's opinion on these deletion amendments.
ParlaMint-FR_2021-02-05-O1153.u350	That's right, Mr. President! Let's enforce the rules!
ParlaMint-FR_2021-02-05-O1153.u351	Mr Eric Poulliat, rapporteur of the Special Committee on Chapter II of Title I, spoke.
ParlaMint-FR_2021-02-05-O1153.u352	After these numerous interventions, I would like to recall, on behalf of the Special Committee, what was said during its work, and once again stress the essential role of associations in terms of social cohesion. They are the driving force behind republican values throughout the country, and there is no question that we should be sidelined by criticism that Article 6 could have the effect of discrediting associations a priori.
ParlaMint-FR_2021-02-05-O1153.u353	They write it to us, and to you too!
ParlaMint-FR_2021-02-05-O1153.u354	In fact, I find it quite daring to make this criticism on behalf of the associations. Indeed, there are network heads, such as the Associative Movement, whom I know well and which I have auditioned, which issue opinions and raise concerns; but a concern is not an opposition.
ParlaMint-FR_2021-02-05-O1153.u355	All right?
ParlaMint-FR_2021-02-05-O1153.u356	In the course of the work of the special committee, the associations raised the question of the safeguarding of public order, an issue which we have amended to take account of their reservations; on the other hand, the concept of respect for public order is appropriate to them. The special commission heard many of the arguments of the network heads of the community movement and introduced into the text elements that would satisfy them. To claim that the associations would be opposed to the Republican contract of engagement is more a political argument than a reality. Many arguments have been put forward to explain how the Republican contract of engagement provided for in Article 6 would not meet the needs, and I will try to respond to a few – for lack of time, I will probably not repeat them all, which I apologize for in advance. Mr. de Courson indicated that the Council of State was questioning the concept of a contract. For my part, I believe that when a deliberative assembly decides to give public money to an association, it is entitled to expect a commitment in return. As for the fact that this undertaking is contractualised, it is justified by the fact that it allows for the refund of the sums paid if the undertaking is broken. That's the whole meaning of the Republican contract of engagement.
ParlaMint-FR_2021-02-05-O1153.u357	I already do!
ParlaMint-FR_2021-02-05-O1153.u358	I'll explain this to you, if you let me talk. Earlier the issue of arbitrariness was raised, which I appreciated. At present, many local and regional authorities are setting up agreements prior to the payment of subsidies. Each of the communities expresses specific requirements in the convention it proposes, and if this option arises from the principle of the free administration of communities, it can be considered to be arbitrary, which associations sometimes complain about. They argue that cities, departments and regions all have different requirements and do not use the single CERFA form, preferring to use a specific document. The charters, whether those of the local authorities or the charter of reciprocal commitments, have no legal value – I know that the latter has been negotiated at length with the associations and that its content, of quality, must be preserved. This is why it is important to maintain the contractual dimension which, if the commitments entered into are not fulfilled, makes it possible to rely on the force of the law to demand the return of the subsidy. However, the contract of engagement does not remove the strength of the charter and what the associations do on the ground. It was also said that not all associations applied for grants. On this point, I would point out that a subsidy is not necessarily pecuniary, i.e. it does not always consist in the payment of a sum in euro ringing and stumbling, but can also take the form of material aid, for example the rental of a room. As a result, associations that strictly ask for no subsidies, neither in cash nor in kind, are quite rare. They nevertheless exist and, for them, the rest of the text is intended to apply in all its consistency – I am thinking in particular of Articles 7 and 8, which provide for provisions on authorisation and dissolution respectively. Thus, this text does give us the means to impose on an association to respect the principles of the Republican contract of engagement, even if it does not ask for any subsidy. Finally, I wanted to stress that this contract is based on trust. Local authorities and elected representatives are aware of the social fabric and associations of their territory. For their part, the associations are proud to be Republicans, and do not necessarily see a lack of confidence in this demand for them: they also see it as a means of protection, especially because some have difficulty acting on the ground, they may be victims of community pressure or separatist enterrism. The contract of engagement strengthens the trust between the public authority and the associations. [[Applause on a few benches of the LaREM and Dem groups]] The committee will therefore be opposed to all the amendments aimed at deleting Article 6, especially since by deleting this Article we would remain where we are and would not solve any problems. In doing so, we would abandon to their fate the associations and local elected representatives who have to face separatism on a daily basis, leaving them alone in front of him.
ParlaMint-FR_2021-02-05-O1153.u359	What is the Government's opinion?
ParlaMint-FR_2021-02-05-O1153.u360	Some authors of the first deletion amendments that were defended argued on the topic of consultation. I recall that this consultation started just after the speech of the Walls of the President of the Republic. Gérald Darmanin and I began by receiving several representatives from associations in the Ministry of the Interior, but there were also two parallel consultations, one with the associations, in which my colleague Sarah El Haïry was associated, the other with the elected representatives, in which Jacqueline Gourault, responsible for territorial communities and relations with the communities, took part. These consultations are still under way, and we are using the legislative path of the bill to pursue them, according to a timetable that has been made public. In these circumstances, it can hardly be argued that there has been no consultation – these have already allowed for changes in the text. Some claimed that the Republican contract of engagement would not have been passed on to the national representative. We have kept the commitment we made with the Minister of the Interior to address it, before the public debate, to the chairmen of the parliamentary groups and to the rapporteurs of the special committee.
ParlaMint-FR_2021-02-05-O1153.u361	What about the unregistered?
ParlaMint-FR_2021-02-05-O1153.u362	I therefore invite all those who would like to know about it to come closer to their group presidents, who have received it well – two press articles detailing the content after it was sent to them. Mr Le Fur, you mentioned the Côtes d'Armor Education League. For our part, we have received the national representatives of this association, who have given us a speech that is singularly different from the one you are reporting,...
ParlaMint-FR_2021-02-05-O1153.u363	Yes!
ParlaMint-FR_2021-02-05-O1153.u364	...marked by a call for co-construction and a willingness to work together. Consultations continued with the associations in a very constructive manner, in a spirit of partnership. Associations are not our adversaries: they are the partners of the state, especially the major historical associations, which do an important job: it is with them that we move forward. Mr de Courson, you made a bit of a mockery of the fact that we wanted to mention freedom of conscience in the contract of engagement, stressing that no one was against freedom of conscience. Let me very respectfully oppose this allegation: of course there are people who oppose freedom of conscience!
ParlaMint-FR_2021-02-05-O1153.u365	Yes!
ParlaMint-FR_2021-02-05-O1153.u366	We would not be confronted with sectarian drifts, indoctrination and radical Islamism if everyone respected the freedom of conscience of the other, their ability to freely practice and change their religion, far from any act of abusive proselytism. Yes, it is essential to remember that every member of an association must enjoy his or her full freedom of conscience and must not be forced to practise a religion, as is the case in some sports associations which oblige their members to pray. You also pointed out that women were free to organize. I confirm that there is nothing to say that they are not free to do so, but remember the debate we have had in committee on the difference between gender equality, gender equality and gender equality, which we will have the opportunity to discuss again in the future. "The principles of the Republic are not being negotiated," you said again, Monsieur de Courson. We fully agree, and that is the reason for this contract. I wonder, however, because right after that, you sang the praises of the 2014 charter, saying, "At least it was negotiated." If the principles of the Republic are not negotiated, why want to negotiate? Let me move on with this contradiction. Mr Corbière, you stressed that it was already possible to put an end to the subsidies paid to an association. That is true, they are discretionary and likely to be cut off if there is no contract of engagement over several years. But the Republican contract of engagement allows not only to remove them, but also to recover them. You have asked for examples: many examples have been mentioned during the debates in the Special Committee as well as by your colleagues in session. Several local authorities expressed regret at the impossibility of being reimbursed for the subsidies they had paid to associations. Eric Piolle, the mayor of Grenoble, publicly deplored the fact that the procedure to recover the sums that his city had wrongly granted to the Collective against Islamophobia in France...
ParlaMint-FR_2021-02-05-O1153.u367	Unbelievable!
ParlaMint-FR_2021-02-05-O1153.u368	... would probably be long and uncertain as to its outcome.
ParlaMint-FR_2021-02-05-O1153.u369	Nevertheless, it is possible!
ParlaMint-FR_2021-02-05-O1153.u370	On the other hand, I would like to go back to two personal references that you have made, which perhaps could not be seen as such by all the Members present. You have repeatedly mentioned Free Thought, adding that I knew it very well.
ParlaMint-FR_2021-02-05-O1153.u371	That's right!
ParlaMint-FR_2021-02-05-O1153.u372	Why did you do it? Because the president of the Institute of Research and Studies of Free Thought, an excellent historian specializing in the French Revolution, secularism and babouvism, is my father, Jean-Marc Schiappa.
ParlaMint-FR_2021-02-05-O1153.u373	It's all to your honor!
ParlaMint-FR_2021-02-05-O1153.u374	It's all to my honor: I love my father.
ParlaMint-FR_2021-02-05-O1153.u375	So do we!
ParlaMint-FR_2021-02-05-O1153.u376	[[Vif applause on the benches of the LaREM group]] You love him too, it's perfect! I'll tell him, he'll be delighted. But in 2021, Mr. Corbière, girls don't have to think like their father! My father is not only an excellent historian, but also an excellent feminist, who would never use patriarchal arguments or authority to force one of his daughters to think like him. I know the meaning of the allusion you made!
ParlaMint-FR_2021-02-05-O1153.u377	I didn't say that! That's not what I said, Marlene Schiappa! This is outrageous!
ParlaMint-FR_2021-02-05-O1153.u378	I hear you and you know it, Alexis Corbière!
ParlaMint-FR_2021-02-05-O1153.u379	Mr Corbière, only the Deputy Minister has the floor. You will have the opportunity to speak in a few moments, if you wish.
ParlaMint-FR_2021-02-05-O1153.u380	It's not elegant! That's not what I said!
ParlaMint-FR_2021-02-05-O1153.u381	It is you who are inelegant with these veiled allusions to my father! I wanted to put things on the table so everyone could understand them.
ParlaMint-FR_2021-02-05-O1153.u382	The minister implies that I am a macho! Call to order, Mr. President!
ParlaMint-FR_2021-02-05-O1153.u383	Mr. Corbière, please!
ParlaMint-FR_2021-02-05-O1153.u384	[[Applause on several benches of the LaREM group]] Besides, you don't let women talk!
ParlaMint-FR_2021-02-05-O1153.u385	I would like us to have calm debates on these important issues, without falling into the ease of provocation, on either side. It is my responsibility as President and I want to exercise it here before you. Minister, give us the Government's opinion on these deletion amendments – and if you wish, Mr Corbière, to make a point of order, as you have the opportunity, I invite you to ask for the floor when the minister has finished speaking.
ParlaMint-FR_2021-02-05-O1153.u386	[[Applause on a few benches of the LaREM group]] I thank Mr Corbière for remembering my first name, which is Marlène and not Machine. These details of my father being brought in, we can leave him where he is. I also love Serge Gainsbourg or Renaud, but I don't remember that they asked for public subsidies to produce the beautiful songs that are theirs, including their versions of "La Marseillaise". Since you are referring to respect for republican symbols, I would like to move on from the remarks made by your colleague Danièle Obono, who did not show this by saying about "La Marseillaise" and the tricolor flag, "it is a completely punctured republican catechism". Finally, turning to the Members of the LR Group, I will observe that there are contradictions between their different positions. Mr Ciotti's amendment goes exactly the opposite of what Mr Ravier has just told us in terms of commitment. Together with Gérald Darmanin, we have on several occasions received representatives of the Association of Mayors of France, the AMF. The members of his bureau and his own president, Mr Baroin, told us how much the elected officials on the ground needed this Republican contract of engagement.
ParlaMint-FR_2021-02-05-O1153.u387	Of course! They even told us, "Go ahead! "
ParlaMint-FR_2021-02-05-O1153.u388	[[Applause on several benches of the LaREM group]] Why? Because courageous elected officials, struggling for secularism, for the respect of republican principles, need to be supported; Because elected representatives are subject to Community pressure, you know that, and they can now explain that they are obliged by law to have these contracts signed. Ladies and gentlemen of the LR Group, therefore, listen to the members of your party and do not let the elected ones down.
ParlaMint-FR_2021-02-05-O1153.u389	Mr Alexis Corbière has the floor for a point of order.
ParlaMint-FR_2021-02-05-O1153.u390	I am basing myself on Rule 58 of the Rules of Procedure, Mr President. Madam Deputy Minister, I will speak without passion, because you know that I respect you. Things need to be clear, because we are talking about people we both know. I never implied...
ParlaMint-FR_2021-02-05-O1153.u391	[[Smile]] If we're interrupting, we have to say it!
ParlaMint-FR_2021-02-05-O1153.u392	It is a matter of substance, because the defence of women is an important fight which, a few days ago, has taken on a particular resonance in this House, which has moved us all, I believe. And I thank those of our colleagues in the LaREM group who came to see Mathilde Panot to tell him that there were things that were not happening. From this point of view, there has been no block logic and it is happy. I never implied that you thought like historian Jean-Marc Schiappa. From a certain point of view, if I were naughty, I would almost say I regret it, because I agree with him but not with you. I repeat, not in private or in public, I did not imply that you shared the views of this man who turns out to be your father...
ParlaMint-FR_2021-02-05-O1153.u393	And our friend!
ParlaMint-FR_2021-02-05-O1153.u394	...and our comrade. He was one of the people who contributed to my political formation in my youth,...
ParlaMint-FR_2021-02-05-O1153.u395	[[Smile]] We don't congratulate him!
ParlaMint-FR_2021-02-05-O1153.u396	...which I don't regret. The only thing I have said is that you have received the representatives of the Free Thought and that you, together with Mr. de Rugy and others, have ensured that the National Federation of Free Thought is heard by the Special Committee – and other secular associations have reported that it has been treated in a special way. For many reasons, it is an association that you know well. I recalled that it is she who opposes the charter on secularism of the Mayor of Montpellier, Mr Delafosse. My criticisms are about something else. When we disagree with you, minister, we are not necessarily a macho or an anti-republican. But you often use, unlike the minister of the interior – but I'm probably wrong to make that difference since he's a man and you're a woman – arguments that are too disrespectful. We have the right to be in radical disagreement with what we say...
ParlaMint-FR_2021-02-05-O1153.u397	Mr. Corbière...
ParlaMint-FR_2021-02-05-O1153.u398	[[Applause on the benches of the FI group. – Mr. Xavier Breton also applauds]] ... but frankly, what I said earlier was nothing macho, it's the opposite: I showed my respect for your ideas.
ParlaMint-FR_2021-02-05-O1153.u399	Even as part of the scheduled time, the point of order is two minutes, Mr Corbière. Mr Le Fur has another point of order. On what basis?
ParlaMint-FR_2021-02-05-O1153.u400	On the basis of Rule 90 of our Rules of Procedure. [[Applause on a few benches of the LR group. – Mr. M的jid El Guerrab also applauds]] Mr President, first of all, I wanted to congratulate you on your excellent presidency.
ParlaMint-FR_2021-02-05-O1153.u401	Thank you!
ParlaMint-FR_2021-02-05-O1153.u402	Don't add any more, Mr. Le Fur!
ParlaMint-FR_2021-02-05-O1153.u403	[[Applause on a few benches of the LaREM group]] Even if I don't pretend to be the arbiter of elegance, I know a little about the profession, and I wanted to tell you: it will be another tribute, but it won't be too much tribute. Madam Deputy Minister, thank you for responding to many of the arguments that we have put forward. It's a minister's job, you're doing it, and that's very good. There is, however, one thing you did not return to: veterans' associations and patriotic associations in general. They are composed of people who fought, some time ago, for their country, especially in Algeria, beyond the Mediterranean.
ParlaMint-FR_2021-02-05-O1153.u404	That's not a point of order!
ParlaMint-FR_2021-02-05-O1153.u405	[[Patrick Hetzel applauds]] You will ask them to sign the same Republican contract of engagement as the others, which they will consider scandalous! Can you give us any answers on this point?
ParlaMint-FR_2021-02-05-O1153.u406	Mr Le Fur, despite the pleasant remarks you made to me, I would remind you that a point of order must be a point of order.
ParlaMint-FR_2021-02-05-O1153.u407	Many speakers asked to speak on the deletion amendments. Mr Jean-Baptiste Moreau has the floor.
ParlaMint-FR_2021-02-05-O1153.u408	To hear the discussions on Article 6, I think that there is either a complete misunderstanding of what the Republican contract of engagement is, or of political bad faith, which I would not dare to believe in on such an important issue as associative life in our country. We know how essential it is, especially in rural areas like mine, which has the largest number of associations per capita. This contract of republican commitment has nothing to do with freedom of association: associations can be established and develop quite normally. We simply want them to respect a certain framework when they receive public money. I don't understand Mr. Le Fur's opposition. Some associations – we have the same ones in mind, I think – are based on the systematic use of illegal methods of action, including intrusion into farms. In the face of them, republican principles must be reaffirmed. No public subsidy should be paid to such associations which do not comply with the law and which attack persons solely by virtue of the fact that they practise a particular profession.
ParlaMint-FR_2021-02-05-O1153.u409	But there are some who touch it!
ParlaMint-FR_2021-02-05-O1153.u410	This Republican contract is fully in line with what Mr Le Fur is defending. In committee, I had proposed to put an end – which, I understood, implied too complex operations – to the defiscalization of donations to recognized associations of public utility that did not respect the republican framework and republican principles.
ParlaMint-FR_2021-02-05-O1153.u411	I had tabled the same amendment, and I was denied it!
ParlaMint-FR_2021-02-05-O1153.u412	Let us also think of associations such as Identity Generation, which have made their trading fund illegal shares. I do not find it illogical that any public money, from any community, goes to such associations.
ParlaMint-FR_2021-02-05-O1153.u413	We agree!
ParlaMint-FR_2021-02-05-O1153.u414	[[Applause on a few benches of the LaREM group]] Let us all vote for Article 6: All associations requesting public subsidies must respect the Republican framework; If they do not respect it, they must not be able to ask for it.
ParlaMint-FR_2021-02-05-O1153.u415	The framework of the Republic is the law!
ParlaMint-FR_2021-02-05-O1153.u416	Mr Boris Vallaud has the floor.
ParlaMint-FR_2021-02-05-O1153.u417	[[Mr. Ugo Bernalicis applauds]] I will give some concrete examples to make it clear what we are voting for. Would an environmental association that, in protest against nuclear power, would follow the grids of a power plant violate republican principles? Would an association defending the right to housing occupying vacant property in order to denounce the lack of housing violate the laws of the Republic?
ParlaMint-FR_2021-02-05-O1153.u418	Yes!
ParlaMint-FR_2021-02-05-O1153.u419	[["No! » on a few benches of the LaREM group]] Would an LGBT association – lesbian, gay, bisexual and transgender – that would defend pregnancy for others, a device rejected and considered an attack on human dignity, contravene republican principles? Did Mrs El Haïry, by carrying out an inspection against the federation of social centres, which are, in certain neighbourhoods, what remains of popular education, consider that there was a form of infringement of republican principles? [[Mr. Ugo Bernalicis applauds]] In this Chamber I would like to obtain clarification on the intention of the legislator, so that those who will have to apply this law – which will not be simple from the point of view of effectiveness – will be informed.
ParlaMint-FR_2021-02-05-O1153.u420	Mr Xavier Breton has the floor.
ParlaMint-FR_2021-02-05-O1153.u421	We are not going to repeat the debate on the concept of freedom of association or on the Republic. I would like to go back to an argument made by the Minister of the Interior, who denounced an alleged contradiction because we tabled and adopted an amendment to introduce an oath for certain public officials – police, gendarmerie and prison staff – and our colleague Eric Diard defended a broader amendment concerning all public officials. The Minister considers that there is a contradiction between asking public officials to comply with the laws of the Republic on the one hand and not wanting to comply with the laws of the Republic on the other. This argument is very revealing! A public official carries out a voluntary procedure; It does indeed serve a political regime, a republic, and it is normal for it to express it through membership. An association, on the other hand, does not serve the Republic:...
ParlaMint-FR_2021-02-05-O1153.u422	But she's getting subsidies!
ParlaMint-FR_2021-02-05-O1153.u423	... it presents projects that only have to be verified that they are not anti-republican. We do not have to demand from an association that wishes to obtain a grant that it be republican. That's the difference! You're asking the associations to be Republicans, while we're just asking them not to be anti-republicans. It is a fundamental concept that inspires all the debates. The same applies to education: you want education to be republican, we want it not to be anti-republican. You want to impose the Republic.
ParlaMint-FR_2021-02-05-O1153.u424	Yes!
ParlaMint-FR_2021-02-05-O1153.u425	You understand that, doing this, you will generate more and more reactions...
ParlaMint-FR_2021-02-05-O1153.u426	That's right!
ParlaMint-FR_2021-02-05-O1153.u427	... such as those that have resulted in social movements for several months. And the phenomenon will grow, because your authoritarian conception of the Republic, which intends to impose itself from top to bottom, leads to resistance. You do not touch the real danger for our country that is radical and political Islam,...
ParlaMint-FR_2021-02-05-O1153.u428	Yes, I do!
ParlaMint-FR_2021-02-05-O1153.u429	...and at the same time, you point the finger at citizens, associations, families who want to live peacefully, who commit themselves to the way they want it, and to whom we do not have to impose the Republic. Again, we want to fight those who are outside the law, but we do not consider that we have to impose on everyone the right to a patent of republicanism!
ParlaMint-FR_2021-02-05-O1153.u430	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2021-02-05-O1153.u431	Of course, the Democratic Movement (MODEM) and related democrats Group will not vote for these deletion amendments. We all certainly have a long associative experience, through associations that we have been able to form. Creating an association is not insignificant: it requires an entire process, the deposit of statutes... When you were Minister of Youth and Sports, Mrs Buffet, you had also formulated requirements with regard to sports associations, which were members of federations, which had to have conformed statutes and consequently update them. I helped many associations do this, and it was not always easy. It had created a bit of emotion in the associative world at the time. Today we are talking about a Republican contract of engagement. In fact, I absolutely disagree with Mr. de Courson: it is a contract between a community, the administrative authority, and an association that seeks a grant and must meet certain conditions. This is indeed a contractual approach...
ParlaMint-FR_2021-02-05-O1153.u432	No, no, no!
ParlaMint-FR_2021-02-05-O1153.u433	...and not a unilateral commitment. The contract has commitment value. But let's get back to the bottom of the Republican engagement contract. I have examined the outline of the proposal. Of course, a preamble should be added referring to Article 6, which amends Article 10 of the Law of 12 April 2000 on the rights of citizens in their relations with administrations. This preamble will engage the signatory community and association and outline the provisions that we are going to adopt. In doing so, the association will make several commitments. [[Mr. Frédéric Petit applause]] This is a good step and the amendment adopted by the rapporteur in committee concerning the obligation of the association to inform its members of this republican commitment seems to me to be a step in the right direction. [[Applause on the benches of the Dem group and on some benches of the LaREM group]] I want to say, "The beautiful business! Frankly, we have here a beautiful educational tool that will allow the whole world of associations to enforce certain rules, including the Republican commitment.
ParlaMint-FR_2021-02-05-O1153.u434	Mr Pacôme Rupin has the floor.
ParlaMint-FR_2021-02-05-O1153.u435	I find that we do not talk much about the concept of beneficiaries, that is, those who benefit from the activity of an association, even though it seems to me to be very important. And here we are talking about associations that receive public money, the taxpayer's money. However, when an association receives public money, it is normal for it to have additional duties; Above all, it must address all citizens without discrimination. One can accept that an association that does not receive public funding should defend all forms of causes, while respecting freedom of expression. But when it is financed by the French taxpayer, it must include all French people, regardless of their gender, whatever their beliefs, and promote this notion of inclusion: all citizens must be able to benefit from it. [[Applause on several benches of the LaREM group]] I note that some of you fear that associations, because they are denominational or otherwise inspired, will no longer be able to receive public money. But not at all! Many denominational-inspired associations are addressed to any beneficiary, no matter, I repeat, his belief, his type... That is why we must defend this article and this contract.
ParlaMint-FR_2021-02-05-O1153.u436	Mrs. Florence Granjus has the floor.
ParlaMint-FR_2021-02-05-O1153.u437	First of all, I want to acknowledge the admirable work of the associations and their dedication, especially in this period of health crisis. Yes, associations benefit from a simple, relatively flexible legal framework. But we must not forget that 61% of them receive public subsidies – 7 billion euros, 7 billion public dollars, the taxpayers' money. However, almost all the regional chambers of accounts stress the need for better harmonisation, supervision and control of subsidies to associations. Of course, and this has been stressed, a tool already exists: the charter of reciprocal commitments. The question was raised by Mr. de Courson: why don't we make it a legislative tool? But for this to happen, this tool would have to be effective! Is this charter effective? Is it used by all communities? No. Have some departments created their own charter? Yes. That is why I will vote against these deletion amendments. I fully subscribe to the establishment of a Republican contract of engagement, especially since it will cover republican values which, today, are only partially taken into account by the charter of reciprocal commitments. Thus, respect for the dignity of the human person will be better taken into account. [[Mr. Thomas Rudigoz applauds]] The implementation of a tool is good, but provided it is effective and efficient. I would like to draw your attention to this point, Madam Minister, Minister: there is a need for easier operational implementation; Care must be taken not to increase the tasks of associations and their officials, especially at a time when subsidies are shrinking and the activities of associations are increasing. I'm counting on your vigilance.
ParlaMint-FR_2021-02-05-O1153.u438	Mr Marc Le Fur has the floor.
ParlaMint-FR_2021-02-05-O1153.u439	Our legal system is that of individual responsibility. But you are creating a system of collective responsibility. The associations have several tens, several hundred, sometimes several thousand participants. There may be punitive failures on the part of some members of an association. In this case, the individuals concerned must be prosecuted. But why take collective responsibility? Why deprive an association that feuds thousands of young people, on the pretext that some would have made mistakes?
