ParlaMint-BG_2015-07-21.u1	There is a quorum, I am opening the plenary session. A procedural proposal please, Mr. Kazak.
ParlaMint-BG_2015-07-21.u197	Thank you. My fellow Members, I'm opening the debate. Here you are, Mr. Gechev, you have the floor.
ParlaMint-BG_2015-07-21.u198	Dear Mr. Chairman, honourable Members! I will say right from the start that we will support this project. It was voted on 7 February 2013 in the Council of Europe, confirmed on 26 May 2014, i.e. two different governments. We are one of the few countries that has not ratified this agreement. So we won't make an exception, we'll support it. However, honourable Members, I would like to warn you about something that is important and we should bear it in mind in our future work. With these words, I would like to tell you that Bulgaria, along with these agreements, has immediate direct losses of about 35 million. lv. Why? I do not know if you understand that until now from the customs activity at the border of the Republic of Bulgaria, which is a country along the borders of the European Union from what is collected as customs duties, 25% remained in the budget of Bulgaria. With this decision will now remain about 20%. This concerns all countries that are at the borders of the European Union. But there is one small feature. The large countries have again been tricky in the negotiations at our expense, because in Germany, Sweden and the Netherlands, for example, they reduce their contribution to gross domestic product by 0.15%, which is much more absolute than the 5% cut in the budget of these countries alone from customs duties. So this change from 25 to 20% with the preferences that are given to Germany, Sweden and the Netherlands and also do not change the UK's contribution to the rich UK, in fact our contribution to the European Union, apart from the reduced customs revenue, is up 2.89 percent, that is, by almost 3%, which automatically leads us to losses of 26-27 million additional. What do I mean in conclusion? I mean, we should all feel responsible. Come on, enough of all the agreements that we sign here and ratify in parliament and sign the Bulgarian state, if we look at the past years, most of these agreements are a loss for the Republic of Bulgaria. What does that mean? This means, honourable Members, that we should demand from the Bulgarian governments when the negotiations begin and discuss the signing, then they should inform us in Parliament and specialized committees of what they sign and how they protect the Bulgarian interests, and not ask us here at the last moment to vote for decisions that are to the detriment of the Bulgarian state in the end. Thank you.
ParlaMint-BG_2015-07-21.u199	Thank you, Professor. Gechev. A line? Here you are, Mrs. Stoyanova, for the first line.
ParlaMint-BG_2015-07-21.u200	I want to do two lines to Mr. Gechev. My first line is that the National Assembly, in accordance with the Rules and Laws, may and should consider precisely in the course of the negotiations the position of the Republic of Bulgaria. It is no coincidence that, as a Budget Committee, every year, we decide on which topics we will hear respectively the Ministry of Finance for the course of negotiations to support one position or another. So it is a matter of our discretion, and I think this should happen in 2014 when these negotiations are under way. As for your second statement, Mr. Gechev, you're right, this will really increase Bulgaria's contribution to the European Union budget. However, when these negotiations are under way, we must say that any sources could stabilise revenue in the European Union budget were sought. And we all know what the amounts of the European Union budget are mainly spent on, including for the various operational programmes, as we know in the previous programming period, as well as on the other. If we compare Bulgaria with what it brings into the European Union budget and what it receives as a budget the opportunity to use the operational programmes, we will see that we are not at a loss. In any case, we are one of the countries that are actually dominated by the rich countries, as you have quoted and which are reduced by 0.15% of the contribution to their gross national product. That is, although we will have an increase in expenditure in the state budget compared to what Bulgaria could get, if it does its job well, this repeatedly exceeds our contribution to the European Union budget.
ParlaMint-BG_2015-07-21.u201	Thanks for the line. I don't see anyone for a second line. Here you go, Mr. Gechev.
ParlaMint-BG_2015-07-21.u202	Mr. Chairman, Mrs. Stoyanova! I'd say I'm almost 90% on board and we don't get away with what I'm saying. I simply appeal to those who represent Bulgaria, regardless of which party they are, to be more careful and to defend the Bulgarian interests, as other countries have been able to protect. As far as the net effect is concerned, you're right. We really get a net of almost BGN 2.5 billion. more annual than the European Union, but not to get into discussion. Because to be precise, this is what we get more from the European Union, but if I start telling you now what we are losing from the fact that a number of Bulgarian industries have been spilled because of lower competitiveness and that trade chains are crushing and making 8 billion turnover in Bulgaria with foreign producers, the conversation will become different. But I agree with the net effect, and that is why we will support the decision.
ParlaMint-BG_2015-07-21.u203	Thank you, Mr. Gechev. Any other speeches? Here you go, Mr. Imamov.
ParlaMint-BG_2015-07-21.u204	Dear Mr. Chairman, honourable Members! We will also support this decision. I just want to say this. The system of own resources is a system that operates in several consecutive years and is used to determine the contributions of each EU country to the European budget. This system is assessed as unfair not only by Bulgaria, but also by many representatives at European level, there are serious calls to be processed and amended so as to be fairer in terms of poorer countries. I call on our government and all other governments from now on to work in this direction. Because the contribution to the European budget is a mandatory condition for the members of the European Union, unlike the funds that we benefit from the European Union. The funds are an opportunity for each country to use the funds set by the European Union while the contribution is compulsory. There are many comments regarding the use of the main indicators on the basis of which these contributions are calculated, namely gross national income. On this indicator there are significant differences between different European countries, which ultimately leads to a relatively higher contribution of countries with lower gross domestic product and lower gross national income, including Bulgaria. We will support this decision with this call to work towards developing a fairer system for determining the contributions of individual countries.
ParlaMint-BG_2015-07-21.u205	Thank you. - What's the line? I won't. Any other speeches? I can't see. We're closing the debate. We move on to a vote on: Project! DECISION adopting Council Decision of 26 May 2014. on the system of own resources of the European Union (2014/335/EU, Euratom) The National Assembly on the basis of art. 86, para. 1 of the Constitution of the Republic of Bulgaria in relation to art. 311 of the Treaty on the Functioning of the European Union HAS DECIDED Takes the Council Decision of 26 May 2014 on the system of the European Union's own resources (2014/335/EU, Euratom)); Please, voting mode. 99 MPs voted: 99 against and abstention. The decision shall be adopted unanimously with which this point is closed. Moving on to the next item on the agenda: FIRST MAINTENANCE OF THE LAW FOR CHANGE OF THE LAW FOR HIGH ADVANTAGE. Importers: MPs Borislav Velikov, Milena Damyanova, Milen Mihov, Mariana Todorova, Mariana Georgieva-Bancheva, Krasimira Kovatchka, Stanislav Stanilov and Valeri Zablyanov, 8 July 2015. There is a report on the first vote by the Committee on Education and Science. Here you go, Mrs. Damyanova.
ParlaMint-BG_2015-07-21.u206	Dear Mr. Chairman, honourable Members! I present to you: ♪ I can't believe of the Committee on Education and Science on a bill amending the Law on Higher Education, No 554-01-129, submitted by Borislav Velikov, Milena Damyanova, Milen Mihov, Mariana Todorova, Mariana Georgieva-Bancheva, Krasimira Kovachka, Stanislav Stanilov and Valeri Zablyanov on 8 July 2015. At its regular meeting held on 15 July 2015, the Committee on Education and Science examined the said Bill. The meeting was attended by: Prof. Nikolay Denkov "Deputy Minister of Education and Science," prof. Radoslav Gerchev from the National Agency for Evaluation and Accreditation and Assoc. Ljiljana Valcheva from the trade union. On behalf of the importers, the bill was presented by the MPs Borislav Velikov and Milena Damyanova. It also complies with the need for extension in the 2015/2016 school year of the one given in 2010 and extended in 2012, 2013 and 2014 the possibility of state universities receiving high assessments in institutional accreditation to conduct training against payment under terms and conditions laid down in the Higher Education Act. This extension is expected to be applied for the last time until the new model of financing of higher education, proposed by the Council of Ministers of the Republic of Bulgaria, enters into force. The overall change of the financing model represents an essential part of the reform of higher education and provides for a lasting legislative solution to the issue under discussion, which will be introduced after a broad public discussion. The representatives of the Ministry of Education and Science and of the Trade Union of Higher Education and Science at the CST supported the Law. The discussion included MPs Snezana Dukova, Stoyan Mirchev, Valeri Zablyanov, Milen Mihov, Mariana Georgieva, Borislav Velikov and Milena Damyanova. They united around the reasons that the only purpose of the bill is not to make it difficult for the public universities to adopt in this school year. The measure also responds to the interest in training in the Republic of Bulgaria of representatives of the Bulgarian communities abroad, as well as to citizens from other Member States of the European Union. MPs said they do not intend to make proposals between the first and second votes on the bill. After a vote with a result of 13 votes in favour, without the opposition and abstentions, the Committee on Education and Science proposed to the National Assembly to adopt a bill amending the Law on Higher Education, No 554-01-129, submitted by Borislav Velikov, Milena Damyanova, Milena Mihov, Mariana Todorova, Mariana Georgieva - Bencheva, Krasimira Kovatchka, Stanislav Stanilov and Valeri Zablyanov on 8 July 2015.
ParlaMint-BG_2015-07-21.u207	Thank you, Mrs. Damyanova. Dear colleagues, I'm opening the debate. Statements? I don't see anyone who wants to. We're closing the debate. We move on to the first vote of the Draft Law amending the Law on Higher Education, No 554-01-129, submitted by Borislav Velikov and a group of MPs on 8 July 2015. Vote 95 MPs: for 95, against and abstention there is no. The motion has been adopted unanimously. Please come in for a procedure.
ParlaMint-BG_2015-07-21.u208	Dear Mr. Chairman, honourable Members! On the basis of art. 77, para. 2 of the Rules on Organization and Activity of the National Assembly and in view of the lack of requests for proposals for amendment and supplement to the Law amending the Law on Higher Education, I am making a procedural proposal to hold a second vote on the Law.
ParlaMint-BG_2015-07-21.u209	Thank you. A reverse opinion? I can't see. I put to the vote the procedural proposal made to examine the Bill and at second reading. Vote 97 MPs: 97, no abstentions. The motion has been adopted unanimously. Moving on to: THE SECOND VOICE OF THE LAW FOR CHANGE OF THE LAW FOR HIGH ADVANTAGE. Importers: MPs Borislav Velikov, Milena Damyanova, Milen Mihov, Mariana Todorova, Mariana Georgieva-Bancheva, Krasimira Kovatchka, Stanislav Stanilov and Valeri Zablyanov, submitted on 8 July 2015 and adopted on the first vote on 21 July 2015. Please report the bill at second reading.
ParlaMint-BG_2015-07-21.u210	The Law on Higher Education is amended as follows: (prom., D.V., No. ..) § 1. In the Transitional and Final Provisions of the Law amending and supplementing the Law on Higher Education (prom., SG No. The following amendments shall be made to § 7: In para. 1 after the words..2013/2014.......................................................................................................................................................................................................................................................... the following point is inserted after point 1 (Commission Implementing Regulation In para. 3 after the words..2013/2014.......................................................................................................................................................................................................................................................... Final provision § 2. The law shall enter into force from the day of its promulgation in the Official Journal.
ParlaMint-BG_2015-07-21.u211	Thank you. Please, colleagues, speeches under § 1 and § 2. I don't see anyone who wants to. I put to the vote the name "The Law amending the Higher Education Act" § 1 and § 2 presented just now by Mrs. Damyanova we are voting on the second reading proposals made. They voted 96 MPs: for 96, against and abstention there is no. The bill amending the Law on Higher Education, No 554-01-129, was adopted unanimously at second reading. Moving on to the last item on the agenda: THE SECOND VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR Customs. Importer is the Council of Ministers. He was admitted to the first vote on May 28th. This Decision shall Please report from Mrs. Stoyanova.
ParlaMint-BG_2015-07-21.u212	Thank you. Report of the Committee on Budget and Finance on a Draft Law amending and supplementing the Customs Act, No 502-01-31, submitted by the Council of Ministers on 24 April 2015, adopted on the first vote on 28 May 2015. The Act on the Amendment and Supplement to the Law on Tariffs. The Commission supports the text of the importer on the name of the Law. The Commission shall support the text of the importer for § 1.
ParlaMint-BG_2015-07-21.u213	Thank you. Speeches, honourable colleagues? Here you go, Mr. Yankov. You have the floor.
ParlaMint-BG_2015-07-21.u214	Dear Mr. Chairman, honourable Members of the National Assembly! § 1 makes a major change to the possibilities of the Customs Agency by adding a "operative and search activity'. By including the text in the Law, it is also assumed from the following texts that the authorities performing operational search activities are increasing. Adding police powers to detention and convoy, a new police structure is being established in the Republic of Bulgaria, honourable Members. It is better for the originators to point out that they do not trust the current police structures and make new ones they trust. The creation of parallel police structures in a small country such as the Republic of Bulgaria will create unhealthy competition, seizure of powers and creation of conditions for violation of the laws and rights of citizens. The formation of police structures creates prerequisites for feudalizing the activities of countering crime and chaos in planning this activity. The road is not about acquiring functions and creating police structures or different types of police for individual types of crime, but about improving the interaction and coordination of resources and capabilities used. Otherwise, any state structure will be tempted to request duplicate functions, activities and powers and create duplicate structures. For example, the DGSC, having legal powers to counter customs crimes, or the Economic Police, may propose to draw up customs acts or impose fines. It is adopted in the Bill after the concrete text that for individual types of crimes it is permissible to make fixed structures other than the Ministry of Internal Affairs and Police Departments with the text on the operational and search work. By this logic, we will now have a precedent and by moving towards the Anglo-Saxon precedent any state structure in the state control system can claim to deploy a police structure. The creation of a de jure of customs police creates conditions to continue the swarming of police structures. Dear colleagues, the National Revenue Agency can become the tax police. To the Ministry of Transport to create transport police on railway transport, because there is stealing, and not a lot of stealing of cables. The municipal police are to have units of operational and search activities for car thefts from the parking lot where they are established. Why not construction and surveillance police, travel police, forest police, beach police?
ParlaMint-BG_2015-07-21.u215	Zoopolis!
ParlaMint-BG_2015-07-21.u216	As well as the police on the types of crimes of the Penal Code. Ladies and gentlemen, we still need to remind ourselves of the meaning of some specific texts. The operational and search activities are essential, specific to the operational units of the police and of the SANS activity. It is carried out by specially trained civil servants through the application of legally regulated specific forms, methods, methods and means, the majority of which are silent. The operation of operational and search activities takes place in compliance with the Constitution and the laws of the country, respect for the rights, freedoms and dignity of citizens while at the same time having a secret character. A guiding principle in its implementation is the principle of conspiracy.
ParlaMint-BG_2015-07-21.u217	Please graduate.
ParlaMint-BG_2015-07-21.u218	I'm graduating. Honourable Members, with the introduction of operational and search activities into the power of customs officers, we are creating, above all, a prerequisite for duplication of activities. I therefore call not to support this text of § 1. Thank you.
ParlaMint-BG_2015-07-21.u219	We get it, Mr. Yankov. Thank you. Any lines to the statement? General Atanasov, first line.
ParlaMint-BG_2015-07-21.u220	Thank you, Mr. Chairman. I'm taking a line from the last thing you said, Mr. Iankov. Nowhere does the Bill provide for the customs authorities to carry out operational and search activities, to lead an agent or to apply special intelligence means. I don't see the conspiracy you're talking about here. The name of the activity may be contested. It may be quasi operational and search activity, but there is in no case any conspiracy in it, I repeat, because the authorities that carry out this activity will not be able to apply the specific means and methods characteristic of operational and search activities. Thank you.
ParlaMint-BG_2015-07-21.u221	Thank you, General Atanasov. Second line? There aren't any. Do you want a hole? Here you go, Mr. Yankov.
ParlaMint-BG_2015-07-21.u222	Dear Mr. Chairman, honourable Members! Mr. Atanasov, the proposals for operational and search activities with the submitted Draft Law at the Customs Agency can be interpreted as a signal of dissatisfaction with the work of the Ministry of Interior. The two departments of the Ministry of Interior and the Customs Agency have plans for joint actions which, perhaps in view of the changes observed in recent months in the structures of the Ministry of Interior, have not been implemented properly. Is that what you mean? The operational and search activity is a process that requires a long time period for its absorption and is characteristic of the Ministry of Interior. In other words, there is no guarantee that the employees of the Customs Agency will carry out operational and search activities more efficiently and more efficiently than the Ministry of Interior. And surely what is planned to be carried out by staff of the Customs Agency will not work immediately. Why, then, is some part of what you have taken as a replica of the operational and search activities to be included as opportunities for customs inspectors and officers of the Customs Agency? You understand the paradox itself of this proposal.. cannot perform in full operational and search activities, and at the same time we make such commitments and such an opportunity?! Thank you.
ParlaMint-BG_2015-07-21.u223	Thank you, Mr. Yankov. Any other statements under § 1? There are no other speeches. I'm closing the debate on § 1 and on the title. We are voting, honourable Members, the name of the Law and § 1 by importer, supported by the Commission. Please vote. Vote 91 MPs: 80 against 11, no abstentions. The motion is accepted.
ParlaMint-BG_2015-07-21.u224	Proposal of the MPs Menda Stoyanova, Diana Yordanova, Evgenia Angelova and Vladislav Nikolov. The Commission supports the proposal in principle. The Commission proposes to create a new § 2: ..................................................... In Article 4 (1) (b), point (c) is replaced by the In the structure of the Customs Agency, an inspectorate is set up to be directly subordinate to the Director of the Agency for the control of the activities of the customs administration.
ParlaMint-BG_2015-07-21.u225	Thank you. Statements? I can't see. We close the debate and vote on proposals from the Commission § 2. Please vote. Vote 92 MPs: for 83, no objection, abstention 9. The motion is accepted.
ParlaMint-BG_2015-07-21.u226	Under § 2 of the importer there is a proposal of the MPs Petar Slavov and Martin Dimitrov: In Paragraph 2, paragraph 2 is replaced by the following: Article 6 10, the words "including the property representing a marital community' shall be replaced by the property of their spouses (wives), respectively, of the persons with whom they are in a cohabitation. The Commission does not support the proposal. Proposal of the MPs Georgi Turnovalyski, Tasco Ermenkov, Krasimir Yankov, Georgi Gokov, Rumen Gechev, Dimitar Gorov and Ivan Ivanov: In § 2, paragraph 2 is replaced by the following: The following amendments shall be made: 1. the created new para. 11 o'clock is out. 2. the created new para. 14 is out. 3. in case of failure to accept the proposal to drop the created new para. 14, in the text of the same word, the word "supplied' is replaced by "supplied', and the word "supplied', in its three uses, is replaced by "supplied'. The Commission does not support the proposal. Proposal of the National Representative Diana Yordanova, made under the order of Art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 2, which shall become § 3: .................................................. In Article 4 (1) (b), point (c) is replaced by the following: 10 the following amendments and additions are made: 1. Alinea 6 is amended as follows: Within 14 days from the date of entry into office or entry into service, each calendar year until 31 May and upon termination of the service, customs officials shall be obliged to declare to the Director of the Office their property status, including the property representing the marital community, as well as the property status of the minor children with a model declaration established by the Director of the Customs Agency. 2. They're creating an al. 11, 12, 13, 14 and 15: In the case of appointment and promotion in the Office of Customs, the persons must have a positive result of a study of professional and psychological fitness. The terms and procedure for carrying out the study for professional and psychological suitability shall be determined by a regulation of the Minister of Finance. (12) The newly appointed staff in the specialized administration shall complete a basic training course at the National School of Customs. (13) For the performance of their duties, the staff of the Customs Agency shall have the right to uniform clothing, specialized working clothing or representative clothing cash for each calendar year under conditions and by order of the Director of the Customs Agency. (14) If official need be, the customs officer may be temporarily transferred to another or the same office within the customs administration. The transfer shall be carried out by order of the Director of the Customs Agency for a period of not more than 6 months in one calendar year under the conditions of secondment. Where the transfer is for a longer period, the written consent of the customs officer shall be required. In such cases, the customs officer shall receive a salary corresponding to the post held but not less than that received until the transfer. (15) In the event of the death of a customs officer, the Office of Customs shall bear the normal costs of the funeral of the employee.
ParlaMint-BG_2015-07-21.u227	Thank you, Mrs. Stoyanova. Speeches, honourable colleagues? Mr. Slavov's statement, most likely on your unsupported proposal. You have the floor.
ParlaMint-BG_2015-07-21.u228	That's right, Mr. Chairman. Thank you. Our proposal actually concerns a retreat that we see in the proposed changes from the current provisions of the Law, namely at the moment, the Customs Act requires customs officials to declare the property to both their wives and their spouses. For me, at least for my colleagues in the Reformation Bloc, it is inexplicable why this change is being made and only property will be declared now, which is a marital financial community. And any sort of average literate lawyer can explain to you at least a few schemes how property belonging to the family can cease to be a marital financial community and be owned only by the wife. Therefore, it will not be declared. I am sure that enough competent consultants use, unfortunately, some employees of the Customs Agency probably use these tools. I suggest you, colleagues, don't do this retreat. Let us remain the current regime in which everything is declared as we declare it, as the magistrates declare it, as the prime minister declared it and so on, and not to create some relieved and quite questionable order for customs officers here. I pay attention, in fact, we have expanded to a certain extent what should be declared by borrowing from the Anti-Corruption Act that we adopted at first reading. In other words, in addition to the property of spouses and spouses, we believe that it is appropriate that a customs official living on a family basis with another such person should declare that property as well. That is to say, as it is written in the Anti-Corruption Law, and as it is in some part at the moment in the Law on Prevention and Establishment of Conflict of Interests, where, by the way, there is also a statement of what is actual cohabitation, since I realized that there was some wonder during the debates in the Commission. Thank you.
ParlaMint-BG_2015-07-21.u229	Thanks for the speech. - What's the line? I won't. Any other speeches? Mr. Tarnovalysky, most likely on your proposal?
ParlaMint-BG_2015-07-21.u230	Dear Mr. Chairman, honourable Members! We offer the newly born paragraphs 11 and 14 in art. Ten down. These are two paragraphs of which one concerns the transfer of employees to the Office of Customs and from one customs office to another. 11 concerns the taking of psychological exams at work or at posting. The reasons of the importers with regard to the relocation are to curb corruption. Colleagues, I guarantee you that this relocation will not only limit corruption, but the Customs Agency will lose its loyal, prepared employees. Why do I say that? Because there is no loyal and honest employee to be sent with an order from one customs office to another, to pay half the income he has to cover his expenses. From Vidin in Varna one employee with 800 BGN. must pay 400 leva. costs to carry out this order. Therefore, our proposal was to remove this text, moreover, that the Civil Service Act says that there could be a transfer from one state administration to another. There could be a reassignment in the same administration. If this text is not adopted, we have proposed that the relocation be replaced by secondment so that the costs of these employees they are doing can be covered in order to carry out their duties in the new place. The Commission did not accept this, but proposed that it be supplemented under the conditions of secondment. This text will not be working as the person reassigned in accordance with art. 82, there will be a new place of work from the example in Varna, and there is no way for these costs to be covered. This is just ridiculous, and it's not gonna happen. For those of you who are corrupt, that won't be a problem for them. Those who have not learned to steal, unfortunately, will put them in the conditions to do so in order to cover their costs, but apparently the purpose of this proposal is to clear the administration, according to everything. In relation to para. 11 In the case of appointment and promotion in the Office of Customs, we propose that the persons have a positive result, because the reasons of the importers are that the framework for competences to be covered for customs officers and in relation to the Arusha declaration is this proposal. In both documents, colleagues, no particular introduction of psychological research has been indicated or recommended anywhere, and they themselves as documents have no legal value, they do not have the power of regulation, as are regulations and directives, and only an official statement, even less grounds for amending the Law on the Civil Service. This proposal for changes introduced in the Law on the Civil Service and in the Customs Act actually introduces new requirements and they are contrary to the general spirit and principles of the public service. The provisions of the Civil Service Act introduce to all civil servants except those categories whose status is governed by a special law, as is the Ministry of Interior Act, the SANS Act and others, such special requirements. In these administrations there are also built structures that deal with these psychological researches, as is the Institute of Psychology at the Ministry of Interior. These increased additional requirements, colleagues, suggest a certain category of work. Of course, they are compensated by providing a higher level of stabilisation, higher pay when carrying the public service, as well as some additional social security and other benefits and privileges that are available in other administrations. This is missing in the Customs Office. The provisions of the Law on the Civil Service Act should be applied directly in the case of taking up office of a public office in customs, the customs administration, by law, and art. 10g says that the procedure and manner of holding a public service contest is determined by a regulation of the Council of Ministers and this is a Regulation for the conduct of the public service contests, Ordinance No 8 of 2014. The requirements of the Law and the Ordinance are clear, so this text, colleagues [[the President signals that time has run out]] , ending, these texts seem to aim only at clearing up the uncomfortable in this administration and appointing their people. Thank you.
ParlaMint-BG_2015-07-21.u231	Any lines to the statement? I can't see. Anyone else? Here you go, Mrs. Stoyanova.
ParlaMint-BG_2015-07-21.u232	Thank you, Mr. Chairman. I would like to address the proposals made by colleagues, Slavov and Dimitrov. I understand their desire the employees of the Customs Agency to declare maximum property status, but, notice, colleagues, it is necessary that people who declare it and are responsible for false data in a declaration required by Law have the opportunity to have this data. If these are their paradigms in actual cohabitation, although there is a definition of actual cohabitation, first of all, it is difficult to prove this actual cohabitation exists or does not exist. Second, it does not in any way guarantee that the husband or wife in this cohabitation will know all the properties, shares, shares and so on of the people with whom they live in actual cohabitation. There is no legitimate reason to know it and we could not ask the customs officer to answer with criminal responsibility for not being able to declare or declare incomplete or false data. The same, unfortunately, applies to spouses, even though they are spouses in marriage, if they are not in a married financial community, but have taken advantage of the family code's ability to have a prenuptial agreement with divided property. Then in no case could one husband have a legal opportunity to certify, again I say, under the fear of penal responsibility, the property of his husband. That is why we have adopted this definition, which in practice enables it to be implemented correctly by the customs officer. With regard to the proposal made by the BSP colleagues, I first want to say that I do not see anything wrong with this when they enter the job or when they are promoted in office, the employees who apply for it to undergo such a test of professional and psychological fitness. The fact that it is not provided for in the Law on the Civil Service is not an obstacle in the special Law to record this, moreover, that, as you can see, we are also introducing functions of operational and search activities here. In general, customs officers work in an extremely different environment, especially at border crossings. There this environment is fundamentally different from the situation of a civil servant in the state administration, in ministries and departments, and these people should have the relevant psychological and professional suitability for this. And there's nothing wrong with settling this down at the entrance when they're taking part in the Customs Office. The fact that there are no specialized bodies similar to those in the Ministry of Interior and DANS can very easily by agreement their specialized bodies carrying out such research can also be used by the Customs Agency. As for the relocation, the transfer by order of the Director of the Customs Agency is not a reassignment and this in any case means a temporary transfer for six months in relation to certain requirements of the work. You know that such relocations are carried out both in the Ministry of Interior and in other structures that need to temporarily strengthen one or another of their posts. We therefore adopted in the end what Mr Turnovalyski was talking about that, in the context of a relocation, it follows the Customs Agency to bear the costs of the transferred employee, precisely in the amount of the travel expenses for this. Then, however, when the employee agrees and signs this agreement, this transfer can be made for a longer period of time, then it can be converted and then, naturally, cannot be under the conditions of secondment. So I think that this text, which the Commission adopted as an amendment, protects the rights of the customs officers who will be temporarily moved to another point, so I call on you to vote for the Commission's texts.
ParlaMint-BG_2015-07-21.u233	Thank you, Mrs. Stoyanova. Mr. Slavov, the line.
ParlaMint-BG_2015-07-21.u234	Thank you, Mr. Chairman. Mrs. Stoyanova, my reply to you is that very interestingly, since 2009 there has actually been a regime in which persons in actual cohabitation have been required to declare their property has been subsequently revoked. If this text about actual cohabitation is so disturbing, I am inclined and I use that I have taken the floor to withdraw it in the part in which it is said:........................................................................................ But let the text remain with regard to their wives or husbands, as we declare it, and as I can say, a great deal of those holding public office in this country already declare it. It seems to me that the argument that a husband cannot know his wife's property or vice versa is not serious. We're all declaring him in fear of penal responsibility. I don't see why customs officials have to make an exception. Let us also keep for them the order that works for so many high public positions in this country. I guess pretty soon, if anti-corruption law is passed, there's a legal definition of actual cohabitation there anyway, maybe we'll come back to this subject and it'll be extended. At this stage, I withdraw the part for persons with whom they are in actual cohabitation. Thank you.
ParlaMint-BG_2015-07-21.u235	Thank you, Mr. Slavov. Second line, Mr. Turnover.
ParlaMint-BG_2015-07-21.u236	Mr. Chairman! Dear Mrs. Stoyanova, I cannot fully agree with you on the psychological suitability you care about so much. Such tests were carried out 2012 "2013." The result of these tests is visible. The last months and the last year how many arrested customs officers who have obviously passed these tests, we have as a fact. It's obviously not effective, but here it's aimed, once again, something else. With regard to the relocation, those employees who will be on a business trip must be given an order under the Civil Service Act, because they have a new place of work and I disagree with your arguments, but obviously you will accept that.
ParlaMint-BG_2015-07-21.u237	Thank you. Third line? I won't. A hole, Mrs. Stoyanova.
ParlaMint-BG_2015-07-21.u238	Mr. Slavov, thank you for accepting my arguments about actual cohabitation, but I was very hoping that you would develop the marriage thesis, not in a family community, but in a divided property marriage. Whether or not one of the husbands could know about the property his husband owns. I don't think so. As for Mr. Turnovalyski's line, I definitely do not believe that the text on professional and psychological fitness is intended for anything else. Moreover, he, as you can see, is entered at the entrance at the time of entry of the customs officer to work, not for the evaluation or release of that officer. There is no objective other than that.. at the entrance to sift people who have such an ability to carry out this species other than the activities of any other civil servant.
ParlaMint-BG_2015-07-21.u239	Thank you, Mrs. Stoyanova. Any other speeches? I can't see. I'm closing the debate on the paragraph and we're going to vote. We are voting on the proposal of Mr. Slavov and Mr. Dimitrov in the sentence, respectively, to: the property situation of his spouse/wives, not supported by the Commission. They voted 99 MPs: 30, against 13, abstention 56. The offer is not accepted. Procedure, re-vote.
ParlaMint-BG_2015-07-21.u240	Sorry, guys, I just need to say one sentence. I want a re-vote. When there is a prenuptial agreement, there is obviously one copy of the contract in both countries, and they know very well what property each country has, with which it has entered into the marriage. That, I think, is more than clear.
ParlaMint-BG_2015-07-21.u241	Dear colleagues, we are revisiting Mr. Petar Slavov's proposal. Please vote. They voted 107 MPs: 39, against 21, abstention 47. The offer is not accepted. [[Reply from the MP Tsvetomir Mihov.]] We are going to vote on the proposal of the MPs... Please, Mr. Mihov, we have five more working minutes. Please be quiet in the hall. [[Laughter and excitement. A line from the MP Tsvetomir Mihov.]] That doesn't mean the tone has to be higher. We are voting unsupported by the Commission for a proposal from the Parliamentary Representative Mr Turnovalyski and a group of MPs. They voted 108 MPs: 22, against 60, abstention 26. The offer is not accepted. We move on to the vote on § 2, which, by the Commission's amendment, becomes § 3. They voted 107 MPs: 95, against 10, abstention 2. The motion is accepted.
ParlaMint-BG_2015-07-21.u242	Paragraph 3 of the importing proposal of the MP Turnovalyski and a group of MPs. The Commission does not support the proposal under paragraph 1. 2 and supports it on t. 1. Proposal of the National Representative Menda Stoyanova, made according to the order of art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 3, which shall become § 4: ............................................ In Article 4 (1) (b), point (c) is replaced by the following: 15 the following amendments and additions are made: 1. In para. 1, t. 1 the words of the State shall be deleted. 2. In para. 2: (a) c. 3 the words............................................................................................................. are replaced (b) c. 5 after the words the currency offences shall be commaed and the offences of excise legislation and crimes shall be added in the cases provided for in art. 194, para. 3 of the Code of Criminal Procedure. c) create t. 14 and 15: It's 14 years old. carry out operational and search activities to prevent, detect and document crimes under art. 234, 242, 242a and 251 of the Penal Code and under art. 255 of the Criminal Code concerning VAT obligations on imports and excise duties; 15. carry out controls at border crossing points on the fulfilment of the obligation to pay road and wine charges and on compliance with the authorisation regime for freight and passenger transport.
ParlaMint-BG_2015-07-21.u243	Thank you, Mrs. Stoyanova. Just to be clear, under § 3 the unsupported proposal of Georgi Turnovalyski. You said that one paragraph supports him and the other paragraph does not.
ParlaMint-BG_2015-07-21.u244	Point 2 is unsupported, point 1 is supported.
ParlaMint-BG_2015-07-21.u245	We have: The Commission does not support the proposal. Both points are unsupported.
ParlaMint-BG_2015-07-21.u246	There's been a technical error.
ParlaMint-BG_2015-07-21.u247	Is the technical error with you or with us?
ParlaMint-BG_2015-07-21.u248	The proposal of Mr. Turnovalyski and a group of MPs is supported by the following. 1 of the Commission, i.e. It is not supported.
