ParlaMint-BG_2015-09-30.u1	Hey, guys. Good afternoon. Please register. Abort registration. Second attempt.09.10 a.m. (09.11)
ParlaMint-BG_2015-09-30.u185	Proposal of the National Representative Krasimira Anastasova, made according to the order of art. 80, para. 4 t. 2 of the Rules of Procedure. The Commission supports the proposal. The Commission proposes to create a new § 35: .............................................................................. The Law on Vocational Education and Training makes the following amendments: 1. In Article 4 (1) (b), point (a) in para. 4 in the text before t. 1 the words "supplier' are replaced by "supplier's'; (b) in para. 5 the word "self-replaced" is replaced by "informally." 2. In Article 4 (1) (b), point (c) is replaced by the following: 9, para. 3 the word "self-replaced" is replaced by "informally." 3. In Article 4 (1) (b), point (c) is (a) in the title and in para. 1 the words "supplier' are replaced by "supplier's'; (b) in para. 2 the words "supplier' are replaced by "supplier's'; (c) in para. 5 the words "supplier' are replaced by "supplier's'. 4. In Article 4 (1) (b), point (c) is replaced by the following: 35, para. 1 sentence, second, the words "supplier' are replaced by "supplier's'. 5. In Article 4 (1) (b), point (c) is replaced by the following: 40, para. 1 the word "self-replaced' is replaced by "informally'. 6. In Article 4 (1) (b), point (c) is replaced by the following: 56, para. 1, t. 7 the words "supplier' are replaced by "supplier's'. 7. In § 1a of the Additional Provisions: (a) c. 4 the word "self-replaced' is replaced by "informally'; (b) c. 8 the word "Self" is replaced by "Informally."
ParlaMint-BG_2015-09-30.u186	Statements? I won't. We are voting for the creation of a new § 35 in the version of the Commission report. They voted 83 MPs: 81 against 1, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u187	Under § 31, there is a proposal from Valeri Zablyanov and a group of MPs: "1." paragraph 31 is deleted; 2. In paragraph 31 t. 1 et c. 3 in are deleted. The proposal has been withdrawn under paragraph 1. 2. The Commission does not support the proposal under paragraph 1. 1. The Commission shall support the text of the importer for § 31, which shall become § 36.
ParlaMint-BG_2015-09-30.u188	Statements? I won't. We are voting on the proposal of Valeri Zablyanov and a group of MPs in his unsupported part. Vote 80 MPs: 13 against 56, abstention 11. The offer is not accepted. We are voting § 36 on the Commission report. Vote 75 MPs: 70 against 1, abstention 4. The motion is accepted.
ParlaMint-BG_2015-09-30.u189	Under § 32, there is a proposal from the MP Polina Karastoyanova. The Commission does not support the proposal in § 32, t. 2 to be amended as follows: "2." In Article 4 (1) (b), point (c) (a) paragraphs 1 and 2 are repealed; (b) in para. 3 after the words "sport" is added, including chess. The Commission does not support the proposal. Proposal by Valeri Zablyanov and a group of MPs. The Commission does not support the proposal: In § 32, paragraph 32 is replaced by the following: 8 t. 6 is deleted; In § 32, para. 8, p. 7 the words "the support for personal development" shall be replaced by the words "the out-of-school centres." The Commission shall support the text of the importer for § 32, which shall become § 37.
ParlaMint-BG_2015-09-30.u190	Statements? Here you are, Mr. Bayraktarov.
ParlaMint-BG_2015-09-30.u191	Thank you, Madam President. I take the floor for speaking because I cannot understand what reasons the Commission has rejected the proposal of colleague Polina Karastoyanova, since we want our children to develop, their mental abilities to be much better and wider, which happens after the exercise of this great multi-century game, such as chess. And what's going to be so complicated? [[GERB lines]] if the chess is added?! Colleagues, we've done research and it turns out that there are no bad spots for football, volleyball playgrounds, basketball, tennis court and whatnot, but it turns out that rooms where students play chess, have heated rooms with good lighting, under health conditions, are missing. And I ask: who will now come out of this Commission to express its motives for rejecting this proposal?! I'd be very interested to hear what these motives are. Therefore, I ask you, colleagues, to support the proposal of colleague Polina Karastoyanova, because it is a good proposal and enables our children to really develop and create another world chess champion, which we have all enjoyed. I hope that this time, reason will prevail and we will support this sensible proposal.
ParlaMint-BG_2015-09-30.u192	- What's the line? I won't. Any other MPs? I won't. Let's move on to the vote. I put to the vote Ms. Polina Karastoyanova's proposal, which the Commission does not support. They voted 81 MPs: 33, against 12, abstention 36. The offer is not accepted. Revoting Mr. Bayraktarov.
ParlaMint-BG_2015-09-30.u193	Thank you, Madam President. I would like a re-vote for the simple reason that many of my colleagues were obviously unable to navigate in time in support of the proposal made. If they really played chess more often, they'd vote right. I ask for a re-vote and support of this proposal. It takes a little effort.
ParlaMint-BG_2015-09-30.u194	It's a re-vote. Vote 82 MPs: 35 against 5, abstention 42. The offer is not accepted. We are voting on a proposal from Mr. Zablyanov and a group of MPs, not supported by the Commission. Vote 78 MPs: 10, against 52, abstention 16. The offer is not accepted. We are voting § 32, which becomes § 37 on the Commission report. 70 MPs voted: 69, none, abstention 1.
ParlaMint-BG_2015-09-30.u195	Proposal of the MP Irena Kotseva and a group of MPs. The Commission supports the proposal. The Commission proposes to establish § 38: ....................... 38........................................................... In the Family Aid Act for Children (Obn., SG...) in art. 7 is created. 11: In cases where a compulsory pre-school child does not regularly attend a pre-school education group or a student does not attend a regular school including additional training during the summer vacation organised under art. 124, para. 2 of the Law on preschool and school education, aid under para. 1 and 2 shall be provided in the form of additional support for personal development or additional educational services in kindergarten or school. The Commission shall, in principle, support the text of the importer and propose the following version for § 33, which shall become § 39: .............................................................................. In the Tourism Act (Obn. DV, No. ...), in art. 79 the following amendments shall be made: 1. In para. 4 in the sentence first, the words "the People's Education" shall be replaced by "the pre-school and school education," the words "the kindergarten director," school or service unit" within the meaning of the People's Education Act shall be replaced by "the institution director within the meaning of the Pre-school and School Education Act" and in a sentence second, the words "the relevant regional education inspectorate" shall be replaced by "the regional education management concerned"; 2. In para. 5 the words "Children's Gardens, Schools or Service Schools" in the system of folk education shall be replaced by the institution concerned within the meaning of the Preschool and School Education Act.
ParlaMint-BG_2015-09-30.u196	Come in, Mrs. Zaharieva.
ParlaMint-BG_2015-09-30.u197	Member of the Commission. - Madam President, regarding the adoption of the Family Aid Act for Children, while we were working in the Committee on Second Reading, we have an editorial proposal: Paragraph 38 to change like this: ....................... 38........................................................... In the Family Aid Act for Children (Obn., SG No. ...) in art. 7 new paras are created. 17 and para. 18: In the case of non-compliance with the conditions laid down in para. 1, t. 2 et c. The 3 months aid under para. 1 was terminated or suspended before the expiry of the period for which it was granted or its size was reduced under the conditions of para. 14 or 15, the school or kindergarten concerned shall be provided with means of carrying out general and/or additional support for personal development under the terms and conditions of the Pre-school and School Education Act. (18) The funds under para. 17 shall be made available to the relevant school or kindergarten at the amount corresponding to the amount of aid corresponding to the amount of the reduction and shall be planned under the budget of the Ministry of Education and Science.
ParlaMint-BG_2015-09-30.u198	Replies to Mrs. Zaharieva's statement? I won't. I shall put to the vote the proposal for editorial additions in new paragraphs 17 and 18 to art. 7 in the Law on Family Aid for Children, which is imposed by the fact of changed texts during the work on this Law. I put to the vote the editorial supplement made by Mrs Zaharieva for new paragraphs 17 and 18. Vote 80 MPs: 79 against 1, no abstentions. The motion is accepted. We are voting for the full version of § 38 with its para. 11, the new paragraphs 17 and 18 that we adopted. [[Reference between the rapporteur Milena Damyanova and President Tsetska Tsacheva.]] Colleagues, the proposals Mrs. Zaharieva made: in the text of the report in art. 17 is created a new para. 11, but in the Law after our changes during this time, this paragraph 11 is not so, because there we have created far more paragraphs, and at the moment they are 16. We have edited paragraphs 17 and 18 so that, with the decision adopted on Mrs Zaharieva's proposal, we essentially have a whole new version of § 38. I put to the vote § 38 in the version of Mrs. Zaharieva's proposal. Vote 78 MPs: 76, none, abstention 2. The motion is accepted. We are voting § 33 by importer, which becomes § 39 in the version of the Commission. Vote 73 MPs: for 70, against none, abstention 3. The motion is accepted.
ParlaMint-BG_2015-09-30.u199	Under § 34, there is a proposal from the National Representative Valeri Zablyanov and a group of Members of the National Assembly The Commission does not support the proposal. The Commission shall support the text of the importer for § 34, which shall become § 40. The Commission shall support the text of the importer for § 35, which shall become § 41. Under § 36, there is a proposal from the Member of the National Assembly Valeri Zablyanov and a group of Members of the National Assembly The Commission does not support the proposal. The Commission shall support the text of the importer for § 36, which shall become § 42. Under § 37, there is a proposal from the National Representative Valeri Zablyanov and a group of Members of the National Assembly The Commission does not support the proposal. The Commission shall support the text of the importer for § 37, which shall become § 43. Under § 38, there is a proposal from the Member of the National Assembly Valeri Zablyanov and a group of Members of the National Assembly in § 38, item 38. 1 the words "the preschool and school education' shall be replaced by the words "the education of the people's education'. The Commission does not support the proposal. The Commission shall support the text of the importer for § 38, which shall become § 44.
ParlaMint-BG_2015-09-30.u200	Statements? I won't. I put to the vote the proposal of Mr. Valeri Zablyanov and a group of MPs for the deletion of § 34 by importer, which is not supported by the Commission. Vote 80 MPs: 10, against 62, abstention 8. The offer is not accepted. We are voting on the proposal of Mr. Zablyanov and a group of MPs for the deletion of § 36 by importer, not supported by the Commission. Vote 85 MPs: 11 against 63, abstention 11. The offer is not accepted. Mr. Zablyanov's next proposal is to delete § 37, which is not supported by the Commission. We vote. Vote 88 MPs: 8 against 70, abstention 10. The offer is not accepted. We are voting for Mr. Zablyanov's proposal to amend § 38 by importer, which is not supported by the Commission. They voted 83 MPs: 9 against 67, abstention 7. The offer is not accepted. I put to the vote paragraphs 40, 41, 42, 43 and 44 on the Commission report. Vote 78 MPs: 74 against 1, abstention 3. The proposals have been accepted.
ParlaMint-BG_2015-09-30.u201	Under § 39, there is a proposal from the National Representative Valeri Zablyanov and a group of Members of the National Assembly The Commission does not support the proposal. Proposal of the National Representative Cornelia Marinova, made in accordance with art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly, which is supported by the Commission. The Commission shall, in principle, support the text of the importer and propose the following version for § 39, which shall become § 45: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssshssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss In the Employment Promotion Act (prom. DV, No. ...) the following amendments shall be made: 1. In Article 4 (1) (b), point (c) is replaced by the following: 58 t. 2 the word "self-replaced" is replaced by "informally." 2. In Article 4 (1) (b), point (c) is replaced by the following: 62, para. The first sentence shall be the words referred to in Article 3. 26 of the Law on Education is replaced by the Law on pre-school and school education and, in a sentence, second, the words by an order of the............................................................................................. are replaced by................................................................................................................................................ 3. In § 1, t. 18 of the additional provisions are replaced by the pre-school and school education system.
ParlaMint-BG_2015-09-30.u202	Statements? Maybe in the form of information. [[Heckling]] It's a concept in the Law. There are no speakers. I put to the vote the proposal of Mr. Zablyanov and a group of MPs for the deletion of § 39 which is not supported by the Commission. Vote 81 MPs: 10, against 65, abstention 6. The offer is not accepted. We are voting § 45 on the Commission report. Vote 75 MPs: 69, against 3, abstention 3. The offer is not accepted.
ParlaMint-BG_2015-09-30.u203	Under § 40, there is a proposal from the National Representative Valeri Zablyanov and a group of Members of the National Assembly in § 40, p. 1 at the end of the sentence, the words "the preschool and school education' shall be replaced by the words "the public education'. The Commission does not support the proposal. The Commission shall support the text of the importer for § 40, which shall become § 46.
ParlaMint-BG_2015-09-30.u204	Statements? Here you go.
ParlaMint-BG_2015-09-30.u205	Thank you, Madam President. Please accept my proposal, which is discussed with both the Commission and the teaching industry and the transport industry. Honourable Members, this is a proposal that I think is precisely in the spirit of the Law to keep children in school for a long time so that it can drop this percentage, which is for non-graduate secondary education. Because, as we heard a few days ago, data was released that after primary education more than 20% of children did not continue in secondary school. My proposal is in § 40, which becomes § 46. 1 of the Transitional and Final Provisions, the following amendments shall be made: == sync, corrected by elderman == @elder_man In Article 1, paragraph 1 is replaced by the following: 151, para. 2 the word "supplier" to be replaced by the first high school stage at the average. This means that now everyone who wants a driving licence to take driving courses, regardless of what category, because so far for the B.B. category the requirement is primary education, but you know [[Applause from GERB]] That we're lowering the education from VIII to the 7th grade. From now on to require a completed first high school course, which is 16 years or X grade. My second proposal is the current text of the item. 1 to become a letter. Thank you, that's all for now.
ParlaMint-BG_2015-09-30.u206	Could you give me what you've read for now? [[The National Representative Stanislav Ivanov gives the proposal to the President. Laughter and glad tidings.]] Replies to Mr. Stanislav Ivanov's statement? I won't. [[Reply by National Representative Yanaki Stoilov.]] Now we'll see what it is, Mr. Stoilov. There is a statement by Mr. Bayraktarov.
ParlaMint-BG_2015-09-30.u207	Thank you, Madam President. I am making this statement to state the support of the proposals made by Mr. Stanislav Ivanov and to add that they will first be tried to reduce road accidents and minimize and limit corruption by issuing driver's licenses to many people who we know are illiterate, but somehow managed to obtain such a document. We're witnessing the outrage that happens on the roads. Unfortunately, they are very often paid with the cost of human life, many disabled and the most pathetic in recent years, with dozens of children's lives taken away. We will support this proposal by colleague Ivanov. I hope everyone will support him. Thank you.
ParlaMint-BG_2015-09-30.u208	- What's the line? I won't. Any other speeches? I won't. Let's move on to the vote. I shall put to the vote the new version of § 40 by importer, i.e. 1, which goes into two letters. The letter is the addition that makes the colleague, and the letter "b" becomes the existing text of the article. 1 which is an importer. We vote on Mr. Stanislav Ivanov's proposal. [[Reply from the hall: "Please read. "]] Cancel the vote. I read it carefully for those who follow the report: In § 40, by importer which becomes § 46 of the Commission's report. 1. This is the editorial supplement. In Article 4 (1) (b), point (c) is replaced by the following: 151, para. 2 the word "supplier" is replaced by the first high school stage of the average and the previous text of the article. 1 to become a letter to the letter "b" to the letter "b." 1 of paragraph § 46. We vote on Mr. Stanislav Ivanov's proposal. They voted 86 MPs: 83 against 1, abstention 2. The motion is accepted. [[Applause from the House.]] There's an unsupported proposal. I put to the vote the proposal of Mr. Zablyanov and a group of MPs for amendment of § 40. The Commission does not support it. Vote 84 MPs: 15 against 65 abstentions 4. The offer is not accepted. We are voting for the full version of § 46 in line with the editorial supplement which we have just adopted on the proposal of Mr. Stanislav Ivanov. 90 MPs voted: for 89, against none, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u209	Paragraph 41? a proposal from the National Representative Valeri Zablyanov and a group of MPs. The Commission is not in favour of the The Commission shall support the text of the importer for § 41, which shall become § 47.
ParlaMint-BG_2015-09-30.u210	Statements? I won't. We are voting on the proposal by Valeri Zablyanov and a group of MPs, not supported by the Commission. Vote 84 MPs: 9 against 69, abstention 6. We are voting § 47 by importer, supported by the Commission. They voted 83 MPs: 78, against 4, abstention 1. [[Noise and lines from the hall.]] Please group up. Here you are, Mr. Chavdar Georgiev. [[Screams from the hall: "There is another proposal. "]] Okay. Come in for a re-vote! Here you go, Mr. Mihov.
ParlaMint-BG_2015-09-30.u211	Madam President, I could not vote, for which I apologize to the National Assembly. I'm doing a re-voting procedure. Looks like the consoles on that line are making some kind of a problem. Have the Quaestors take a look if they can. Let's do a re-vote.
ParlaMint-BG_2015-09-30.u212	What text did you fail to vote on?
ParlaMint-BG_2015-09-30.u213	The last one.
ParlaMint-BG_2015-09-30.u214	Revoting, coworkers! They voted 83 MPs: 76 against 6, abstention 1. The motion is accepted. Procedure. Here you go, Mr. Georgiev.
ParlaMint-BG_2015-09-30.u215	Madam President, honourable Members! On behalf of the parliamentary group of BSP left Bulgaria we want a break 30 minutes. Thank you. [[Noise and lines from the hall.]]
ParlaMint-BG_2015-09-30.u216	Colleagues, you're officially 20 seconds ahead of schedule. Okay, 15 minutes off, and then we'll extend the session to today. [[Noise and lines from the hall.]] It's a counterproposal.
ParlaMint-BG_2015-09-30.u217	Dear Madam President, we are entering yesterday's hypothesis that people who are not in the management should ask for a break. Under the Rules of Procedure, it must be authorized by... I'm sorry.
ParlaMint-BG_2015-09-30.u218	Thanks, guys. I've announced a 15-minute break. We start at exactly 3:15. (After the break.)
ParlaMint-BG_2015-09-30.u219	Guys, break time's up. There is no quorum visible in the Chamber. [[Noise and lines.]] Mrs. Damyanova, we're listening.
ParlaMint-BG_2015-09-30.u220	Under § 42, there is a proposal from the National Representative Valeri Zablyanov and a group of MPs: In § 42 t. 1 at the end of the sentence, the words "the pre-school and school education and the Vocational Education and Training Act" are replaced by the words "the People's Education Act and the Vocational Education Act." In § 42 t. 2 is deleted; In § 42 t. 2a and 2b the words "The Ministry for People's Education" are replaced by "The Ministry for Pre-school and School Education" and are deleted. The Commission does not support the proposal. The Commission shall support the text of the importer for § 42, which shall become § 48. Under § 43, there is a proposal from the MP Valeri Zablyanov and a group of MPs: In Paragraph 43, paragraph 4 is replaced by the following: 1 et c. 2 are replaced by the following: The Commission does not support the proposal. The Commission shall support the text of the importer for § 43 which shall become § 49. Under § 44, there is a proposal from the MP Valeri Zablyanov and a group of MPs: the following point is inserted after point 1 The Commission does not support the proposal. The Commission shall support the text of the importer for § 44, which shall become § 50. Under § 45, there is a proposal from the MP Valeri Zablyanov and a group of MPs: the following point is inserted after point 13a The Commission does not support the proposal. The Commission shall support the text of the importer for § 45, which shall become § 51. Under § 46, there is a proposal from the MP Valeri Zablyanov and a group of MPs: the following point is inserted after point 4 The Commission does not support the proposal. The Commission shall support the text of the importer for § 46, which shall become § 52. Under § 47, there is a proposal from the MP Valeri Zablyanov and a group of MPs: the following point is inserted after point 13a The Commission does not support the proposal. The Commission shall support the text of the importer for § 47, which shall become § 53. Under § 48, there is a proposal from the MP Valeri Zablyanov and a group of MPs: In § 48, the words "the pre-school and school education' are replaced by the words "the education of the people's education'. The Commission does not support the proposal. The Commission shall support the text of the importer for § 48, which shall become § 54.
ParlaMint-BG_2015-09-30.u221	Statements? I won't. I put to the vote the proposal of Mr. Zablyanov and a group of MPs to amend § 42, which the Commission does not support. Vote 77 MPs: 6 against 66, abstention 5. The offer is not accepted. I put to the vote the proposal of Mr. Valeri Zablyanov and a group of MPs for changes in § 43, deletion of item. 1 et c. 2 which the Commission does not support. Vote 78 MPs: 9 against 62, abstention 7. The offer is not accepted. I put to the vote the proposal of Mr. Zablyanov and a group of MPs for the deletion of § 44, 45, 46 and 47 by importer. The Commission does not support these proposals. Vote 79 MPs: 7 against 64, abstention 8. The offer is not accepted. We are voting for the proposal of Mr. Zablyanov and a group of MPs to amend § 48... the Commission does not support this proposal. Vote 84 MPs: 7 against 67, abstention 10. The offer is not accepted. We are now voting on Articles 48, 49, 50, 51, 52, 53 and 54 on the Commission report. Vote 82 MPs: 78, against 3, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u222	Under § 49, there is a proposal from the MP Valeri Zablyanov and a group of MPs: In Paragraph 49, paragraph 4 is replaced by the following: 2a is deleted; In § 49 t. 2c and c. 3 words in the Centres for Personal Development Support shall be replaced by the words in the out-of-school centres. The Commission does not support the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 49, which shall become § 55: ........... 55....................................................................... In the Child Protection Act (Obn. DV. No. ...) the following amendments shall be made: 1. In Article 4 (1) (b), point (c) is replaced by the following: 5b, para. 1 the words the Educational Inspectorates shall be replaced by the Educational Managements. 2. In Article 4 (1) (b), point (c) is replaced by the (a) c. 3: (aa) the words "Schools, kindergartens and service units" in the system of folk education are replaced by "Schools and kindergartens" in the system of preschool and school education. (bb) in point (b) the words "the Educational Inspectorates' shall be replaced by "the Educational Managements'; (b) c. 8 point (b) is replaced by the words "service units" in the support centres for personal development. 3. In Article 4 (1) (b), point (c) is replaced by the following: 17a, para. 1, t. 14 the words "service units' shall be replaced by "personal development support'. 4. In Article 4 (1) (b), point (c) is replaced by the following: 20a, para. 1 the words "the education inspectorate" shall be replaced by "the management of education."
ParlaMint-BG_2015-09-30.u223	Statements? I won't. We are voting on Mr. Zablyanov's proposal and a group not supported by the Commission. 90 MPs voted: 8 against 68, 14 abstentions. The offer is not accepted. We are voting § 55 in the version of the Commission report. Vote 80 MPs: 78, against 2, no abstentions. The motion is accepted.
ParlaMint-BG_2015-09-30.u224	According to § 50, there is a proposal from the MP Valeri Zablyanov and a group of MPs. The Commission does not support the proposal: paragraph 50 is deleted; The Commission shall support the text of the importer for § 50, which shall become § 56. The Commission shall support the text of the importer for § 51, which shall become § 57. Under § 52, there is a proposal from the National Representative Cornelia Marinova, made under art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 52, which shall become § 58: ssssssssssssssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss (1) The provisions of Chapter Six, Sections II and III and Chapter Seven shall apply in order to ensure the training with textbooks and study kits of students who enter the school year 2016-2017 in I, V and VIII of the class, and the period for the submission of the drafts of textbooks and study sets shall be 7 months. (2) The activities in kindergartens, schools and service units of the public education system during the school year 2015 - 2016 shall be organised, carried out and controlled in the current order.
ParlaMint-BG_2015-09-30.u225	Statements? We're listening.
ParlaMint-BG_2015-09-30.u226	Member of the Commission. - Madam President, in relation to the version that we made in § 24 of the Commission report, an amendment is also required here in § 58, namely in para. 1: In order to ensure the training with textbooks and study kits of the students who enter the 1st and 5th grade during the school year, the provisions of Chapter 6th, Section II and III of Chapter 7 shall apply and the time limit for the submission of the draft textbooks and study sets shall be 7 months.
ParlaMint-BG_2015-09-30.u227	- What's the line? I won't. Let's move on to the vote. First, I put to the vote Mr. Zablyanov's proposal and a group for the deletion of § 50 by importer. The Commission does not support this proposal. Vote 89 MPs: 9 against 74, abstention 6. The offer is not accepted. We are voting on block paragraphs 56 and 57. Vote 82 MPs: 78 against 4, no abstentions. The motion is accepted. We are voting for the amendment of para. 1 in § 58, made by Mrs. Milena Damyanova, which is in line with amendments today from plenary § 24 for dropping out in the text of the 7th class. We are voting on Mrs. Damyanova's proposal. They voted 86 MPs: 79, against 2, abstention 5. The motion is accepted. We vote the entire version of § 58 together with para. 2 on the Commission report. They voted 86 MPs: 83 against 1, abstention 2. The motion is accepted.
ParlaMint-BG_2015-09-30.u228	A proposal from the MP Lutvi Mestan and a group. The Commission does not support the proposal under paragraph 1. I'm sorry, I'm sorry, I'm sorry, I'm sorry. The proposal has been withdrawn under paragraph 1. The following shall be added to the table below: In the Transitional and Final Provisions, new paragraphs are created, 53 and 54 respectively: (a) § 53. For the implementation of the provision of art. 51, para. 1 The Council of Ministers, together with the municipalities, is developing and financing a National program for the construction of kindergartens in settlements where there are none or their capacity is available.
ParlaMint-BG_2015-09-30.u229	Statements? Mr. Yanaki Stoilov.
ParlaMint-BG_2015-09-30.u230	Madam President, ladies and gentlemen of the House! I expected one of the importers of this proposal to justify it, but because there was no such desire, and I consider the proposal important, so I believe that in the part which is not withdrawn from the importers and which is really not for the provisions of the Law, it deserves to be supported. It is envisaged that the state provides opportunities for all children to be covered by pre-school and school education. In this case, the Council of Ministers is assigned together with the municipalities to develop and finance a national program for the construction of kindergartens in settlements where there are none or their capacity is insufficient.
ParlaMint-BG_2015-09-30.u231	Building, not providing places to build!
ParlaMint-BG_2015-09-30.u232	No, the point is that there are a number of settlements and neighborhoods where this is necessary. Whether or not with this editing is a second question. It is true that such a programme can be adopted by the Council of Ministers without the requirement in the Law, but we know that if there is no parliamentary and public pressure, many of these issues are closed down and they cannot get the necessary solution in a timely manner. I therefore think that this provision should be supported. I also think that importers who have done with such passion, as for mother tongue and other topics, should also stand up for these social proposals that are contained in the Law and which I think no one will essentially dispute. Thank you.
ParlaMint-BG_2015-09-30.u233	Any lines to Mr. Stoilov? I won't. Any other MPs? Here you go, Mr. Imamov.
ParlaMint-BG_2015-09-30.u234	Madam President! Indeed, we must hear some explanation from the Commission as to why this point has been rejected from the proposal of Mr Mestan and a group of MPs. We are in the section on Transitional and Final Provisions, where it is only natural to provide similar obligations to the executive. It is clear to everyone that the problem with kindergartens is not only a problem in small towns. This is a problem for both Sofia and the big cities. This text, as foreseen, will give a real impetus to solving this extremely important social issue. So I ask the representatives of the Commission to explain why they do not accept this proposal. [[GERB lines.]] I asked... I asked for it!
ParlaMint-BG_2015-09-30.u235	- What's the line? I won't. Any other MPs for a statement? I won't. The debate is closed. Let's move on to the vote. I put to the vote the proposal of Mr Lutvi Mestan and a group of MPs in the part which is not supported by the Commission. The one who read Mrs. Damyanova. They voted 94 MPs: 18, against 27, abstention 49. The offer is not accepted.
ParlaMint-BG_2015-09-30.u236	The Commission shall support the text of the importer for § 53, which shall become § 59. Paragraph 54. Proposal by the National Representative Valeri Jablyanov and a group of MPs: ssssssssssssssssssssssssssss. 1 is amended as follows: 1. Chapter 6a, Sections I, II and III with Articles 71 to 95, which shall enter into force from the promulgation of the law in the Official Journal of the European Union by the end of the academic year 2019 The Commission does not support the proposal. Proposal of the National Representative Milena Damyanova, made according to the order of art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 54, which shall become § 60: ........................................................ The law shall enter into force from 1 August 2016, with the exception of: Art. 1. 22, para. 2, p. 3, 4 and 13 and para. 3, Chapter Six, Sections I, II and III and § 58, which shall enter into force one month after the promulgation of the law in the Official Journal of the European Union; 2. Chapter 7, which shall enter into force two months after the promulgation of the law in the Official Journal. 3. Chapter 16 which shall enter into force on 1 January In accordance with
ParlaMint-BG_2015-09-30.u237	Give her the last offer, because it is in connection with the moment of entry into force of the Law.
ParlaMint-BG_2015-09-30.u238	Proposal by the National Representative Valeri Jablyanov and a group of MPs: ........... 55....................................................................... The law shall enter into force in the first school year following the adoption of state educational requirements. The Commission does not support the proposal.
ParlaMint-BG_2015-09-30.u239	Statements, coworkers? Here you go.
ParlaMint-BG_2015-09-30.u240	Thank you, Madam President. Dear colleagues, in § 60 I propose to create a t. 4. "4." § 46, t. Point 1 (a) of Article 2 (1) which shall enter into force from 1 August 2022. Dear colleagues, we are doing this because children who are now in the 7th grade or those who have just graduated from the 7th grade under the new basic education law should not be deprived of this right. I think it is correct for the children who are now completing their primary education that will apply to them, as soon as they will continue with the first high school course. Thank you. [[Relations from BSP left Bulgaria.]]
ParlaMint-BG_2015-09-30.u241	Speaking, Mr. Mirchev.
ParlaMint-BG_2015-09-30.u242	Madam President, honourable Members! I would like to justify the last proposal of my colleague Jablyanov and a group of MPs, namely the Law to enter into force in the first school year after the adoption of state educational standards. A huge amount of lasting public relations in this Law is transferred to these particular standards or requirements. The idea is to actually know what these requirements are, not to adopt an absolutely hollow law. As in the Law on Legislative Acts, I think it was art. 39, it is said that the transfer of such relations takes place exceptionally, and as we see in this law, they are practice. Thank you.
ParlaMint-BG_2015-09-30.u243	Any other MPs? I won't. The debate is closed. Let's move on to the vote. I shall put to the vote § 53 by importer, supported by the Commission, which shall become § 59. Vote 82 MPs: 76 against 4, abstention 2. The motion is accepted. We are voting unsupported by the Commission a proposal by Mr. Zablyanov and a group of MPs to amend § 54 by importer. Vote 88 MPs: 17 against 62, abstention 9. The offer is not accepted. We are voting on Mr. Zablyanov's proposal and a group of MPs for a new § 55 governing the moment of entry into force of this law, the Commission does not support it. They voted 83 MPs: 13 against 57 abstentions 13. The offer is not accepted. I put to the vote Mr. Stanislav Ivanov's editorial supplement to create a new item. 4 in § 60, in the version of the Commission on its report, as he proposed it, we are voting on the proposal for an addition. 90 MPs voted: 77 against 11, abstention 2. The motion is accepted.
ParlaMint-BG_2015-09-30.u244	Negative vote!
ParlaMint-BG_2015-09-30.u245	On this text? Why didn't you make a statement? Now it is too late to comply with your opinion, we expected you to speak on the proposal. Here you go, Mr. Ermenkov.
