ParlaMint-NO_1998-12-17.ana.ud456e36	The representative Anneliese Dørum, who has been licensed, has again taken the seat.
ParlaMint-NO_1998-12-17.ana.ud456e1060	This government has a strong desire to remain in the government building, I will not deny that. I would otherwise like to express perhaps a little wonder back to those who ask the most curious questions to the Government. Is it the case that those who made these decisions today reject the vote result that was in the Storting? And the one who also knows how a government works knows that it will of course have as the background for its work the decisions that the Storting has made. It's the way a government behaves, assuming, of course, that the result you're going to the Storting is such that the Government will stand behind it – it should just be missing. The government would not have advanced this case to Stortinget today if it had not supported the overall outcome of the agreement and the measures in place. In relation to the excellence of this agreement, I would like to say that the person who knows the rug a little, knows that in the round of negotiations, attempts were also made by the Workers' Party to find other solutions than what was finally agreed, in the way to what is now there. From my point of view, I consider the agreement that is now here, with the measures that are proportionate to control, in order to be good. And it is also my assessment that the agreement is so good in terms of public and animal health that one can give it the character that it is actually a better system than what was in the old system. But one could also have put bigger appropriations into the old system to increase control measures in general. To remove any doubt, the government is behind and recommends the agreement with the control measures contained in it – so it should be clear.
ParlaMint-NO_1998-12-17.ana.ud456e1071	A small parentheses in the continuation of what the previous replicator was inside, and what the Gehönes said, that this government wanted to continue. It is good that someone has at least a government that wants to be where it is. I record that there are also others who want to be there. But what I could imagine asking for in that extension is: Is it for the Christian People's Party that if, at the time when they debated this in the Stortinge, no more than half a year and a half ago, it would have been possible to achieve what was achieved through the negotiations and what was made clear in the proposal for remedial measures, alternative measures, or what should one call it, would it in itself have been enough to have taken a different position at that time? So another question that goes on the control measures that are in place. The councils presented in a straightforward and detailed way what is now being put in place, and we all know that today's practice is not an ideal state. Now it is not easy for a government council, nor for anyone else, to convince other members of this assembly – and not at all the whole party – and to make them change their point of view when dealing with a case. There's a long way between each time that happens. But I could have imagined that the Council of State still assumed that he was going to try it out, and then based on the areas where the Council of State believes that the control options we now have are better than those we have. What measures are now being put in place so that they not only compensate but overcompensate? I've understood that it's formulated as satisfactory, but through the hearings it was probably said that in some areas it's better what's coming now than what's happening today. This I guess would be a very important argument for those who have taken a negative position but still have not given up their vote.
ParlaMint-NO_1998-12-17.ana.ud456e1080	Now, the Minister of Agriculture – we say – is the lucky situation that he was not in the Chamber when this was debated the last time. He does not need to change any meaning at all in relation to what he should have said. Sometimes it can be liberating to be in that position. The attitude of the Minister of Agriculture is the platform of this Government and a description of the way in which this EEA Agreement was to be treated in the veterinary sector. Through what is described in the Declaration of Adults, through consultations with the bodies of the Storting and by finding solutions that this government could put itself behind when the agreement was to be presented to the Stortinget, the Minister of Agriculture has, within that framework, put forward his work both in the Ministry and in relation to the Government. That means, of course, that I could never have gone to Stortinget with this agreement without being able to stand behind it and say that this ensures public and animal health in the same way as before. In relation to the measures in place and which were not in the past, I would like to refer to the vote and the majority opinion which refers to what was in the Jagland regime and which has been followed up by the Bondevik government. As the majority also says, the Bondevik government has proposed increased appropriations for control measures and the establishment of its own zoonoses unit. In addition, I did not intend to include in my post that we will launch a pilot project in some counties with a regional unit to test a new organisation of the public oversight of food businesses in order to ensure good food management – this in order to test a system also regionally where one will meet a greater need for control than has been previously. Otherwise, I think it's a little fruitful to relate to what another government would have done. I think, as far as this is a bit of an interesting debate. We have to deal with what lies here now, and whether it's enough to ensure that what we have the duty to provide is in place.
ParlaMint-NO_1998-12-17.ana.ud456e1093	SV agrees with the strengthening measures proposed by the Government when it comes to veterinary issues. What I would like to ask the Minister of Agriculture for is a confirmation that this is what the Minister of Agriculture stands for. In Denmark, there has been criticism of the veterinary regime imposed by the EU on the country. In connection with, inter alia: The Salmonella variant DT 104 has raised questions about the veterinary border control. The Danish Minister of Agriculture's answer clearly shows what the Minister of Agriculture in Norway wants here. He says: ‘What I cannot do — neither with swine fever nor with DT 104 — is introduce a special Danish requirement for border control. This would clearly contradict Denmark’s international obligations vis-à-vis the other EU countries.’ The Minister of Agriculture then says that it is now up to importers to take this responsibility. And he goes on to say, ‘It is therefore also the responsibility of the individual holder to contribute to the minimisation of the risk involved in trade by refraining, as far as possible, from entering and carrying out live animals.’ What I want to know from the Minister of Agriculture is: is this system the Minister of Agriculture wants?
ParlaMint-NO_1998-12-17.ana.ud456e1110	The main system is that no greater requirements can be imposed on the quality of the products to be imported than on the quality of the products to be marketed in their own country, which would discriminate against the party who wants to sell products to Norway. That is why we have a whole range of control programmes that we are now running in Norway to document both the health status of animals and the situation we have in relation to the products being traded. This has revealed that some of the things we thought we were free of are actually in Norway. So you might want to be a little careful about saying that everything is good and good in Norway. We also have a responsibility to sweep for our own door. Then I want to add that in Norway we also have a salmonella programme, which we will of course continue with. Compared to Sweden and Finland, we have no control over the salmonella situation when importing from these countries, because they have the same programme. It's within today's agreement, and it will continue. This programme does not exist in Denmark. Evidence has to be provided – an animal health certificate has to be provided on dispatch. And that is the system that currently exists in Denmark, which will be applied to other EEA countries. For other countries, this will be met with border control in the same way as for third countries today. So I think we've met the need we're going to meet in relation to what's going on with salmonella in general. Lately, I want to add that what is actually an advantage is that you can no longer address all the responsibilities to the public authorities. You also have a responsibility as a producer and as an importer, and you will be confronted with the fact that you have not fulfilled this responsibility. An importer may impose an additional requirement on the company from which it is imported in order to ensure that the product is of the quality it must have.
ParlaMint-NO_1998-12-17.ana.ud456e1121	Of course, in this debate, more have been concerned with compensatory measures, which are intended to ensure that controls are as good as or better than the current system. Former Minister of Agriculture Dag Terje Andersen outlined a number of such measures in his presentation to the Stortinget in January 1997. In his speech here today, however, the parliamentary leader of the Christian People's Party, Einar Steensnæs, said the following: ‘However, the Bondevik Government has worked to supplement the agreement with a number of so-called national compensatory measures to make control of imports of animal products and live animals as good as possible.’ My question to the Council of State is quite simple: Is it that, in addition to this, the Government of Bondevik has supplemented the agreement with a number of so-called national control measures, which cannot be defined as a control measure?
ParlaMint-NO_1998-12-17.ana.ud456e1133	I can understand to this extent the need of the Workers' Party to say that everything is up to the old. I would like to say that it has been very important for the Minister of Agriculture to go through the control measures put in place by the former Minister of Agriculture within the space of action in relation to the EEA agreement that we are now in place. In addition, there has been a need which, at least from the Government’s point of view, has been clearly present, in order to increase the appropriations so that the measures outlined should have a greater chance of working. I would not have said that another government would not have done the same, but I relate to what this government has done. In addition, the point relating to the zoonoses unit is quite significant, which is intended to provide a greater overview of the way in which diseases of animals can be passed on to humans. This is a very important measure. Then I have already mentioned the scheme that we are going to try with a regional unit that can also be exploited in relation to this scheme. In addition, the Government has said that it will have an ongoing evaluation. A report on this evaluation shall be provided in its entirety and in the manner in which it has worked. I can't say that another government wouldn't have done the same thing. I think that debate is a little interesting, but I just want to point out that this is in this government's actions and proposals towards Stortinget.
ParlaMint-NO_1998-12-17.ana.ud456e1143	Several have not asked for the word for a line.
ParlaMint-NO_1998-12-17.ana.ud456e1146	The proposal states that the Government's work on the extension of the EEA Agreement in the veterinary field is a follow-up to the Decision of 18 June 1997, in which the majority of the Storting asked the Ministry, on the basis of given guidelines, to promote the case for the Grand Duchy with a view to its implementation from 1 January 1998. The central parties, SV and RV constituted the minority at this vote. Because the EU needed longer time for internal clearance, implementation has been delayed. In the light of the questions raised by the representatives Opseth and Nybakk today, it is necessary to wonder whether the Workers' Party is actually in line with the decisions they took on 18 June last year. Following the accession of the central government, it was examined, in accordance with the Declaration of Adults, whether it was possible to renegotiate the agreement concluded between the EU and the previous government. Since it was clarified that such renegotiation was not possible, the Government, as mentioned above, has followed up the majority decision of the Grand Duchy of Luxembourg of 18 June 1997. The centre batch has indicated on several occasions that the batch is opposed to the indication of the border check in favour of what we consider to be a weaker control system. In examining the amendments to Annex I to the EEA Agreement concerning veterinary and phytosanitary conditions by the Government, four of the Governments of the Central Party, following an overall assessment, chose to take these amendments. At the end of the vote, the Group of the Centre Party will, at the end of the day, oppose the proposed extension of the EEA Agreement, which is in line with the opinion of the Governing Council of the Centre Party of 15 March of this year, where the Governing Council asked the Steering Committee to oppose the extension of the EEA Agreement. The main spokesman of the centre party, Odd Roger Enoksen, has gone into a previous post on the main grounds of the lot in order to reject the so-called veterinary agreement. Let me briefly clarify the central party's main objections to this agreement. In the opinion of the Centre Party, the agreement does not adequately observe the precautionary principle. A well-functioning control system, based on border control, is replaced by a sample-based system, which, in the worst case, may result in both the sale and consumption of animal products before the analytical results are available. At the time of adoption of the EEA Agreement in 1992, it was crucial that Norway should be able to maintain national control provisions in relation to trade in animals and animal products. Since then, trade in animal products has increased, and during the hearings it is clear that the disease situation in Norway's countries has deteriorated since 1992. Normally, such a worsening situation would lead to the establishment of a better control system and stricter controls. However, in order to facilitate Norwegian fish exports – which are of course favourable in isolation – a leading commodity principle therefore leaves and opts out of the border controls that were considered not only important in 1992 but as ‘decisive’ for, among other things. «our favourable animal health». Let me stress that the issue that the Stortinget is dealing with today is primarily about an important consumer issue – this is not what the Right has said earlier in the debate, that this is primarily about fish. During the hearing, the head of the Consumer Council, Anne-Lise Bakken, referred to a report from the Scientific Committee of the State Food Authority, such as: refers to the high incidence of food-borne diseases in many EU countries and concludes that a significant reduction in border controls would mean ‘reducing the possibility of avoiding consignments of infectious agents entering the Norwegian market’. The choice that Stortinget will make today is a political choice, one in which – to facilitate fish exports – is willing to waive a control regime that has most likely contributed to Norway's continuing to have a favourable animal health status and to a large extent has been saved from many foodborne diseases. This is a political choice, and it is a political priority which is ‘very worrying, with consumer eyes’, to quote again the leading spokeswoman of consumers, the head of the Consumer Council.
ParlaMint-NO_1998-12-17.ana.ud456e1178	After listening to the representative Johan J. Jakobsen, I have been deprived of the last doubt that it is the agricultural interests that have won the total victory over the fishing interests in the Central Party. No one can argue that this case is primarily about fish and about the industry's opportunities for market access. And I think you stick your head in the sand if you try to give the impression that the world hasn't changed – at least the EU has changed since 1992. There is every reason to recall that the EEA Agreement, which entered into force on 1 January 1994, does not cover the veterinary control apparatus. Those who also dispute the fact that Norway has so far lived on a voluntary exemption dispute a fact – on the other hand, one is willing to send the entire Norwegian fishing industry, which depends on its largest market, into the EU as a test rabbit to test whether the EU is serious about what to do when harmonising border control rules. I also think it is important to state that this is not about what is representative of those who in their time said yes, or those who said no, to the EU. I think the people behind the entire Norwegian fishing industry are being ignored. There is no one who will hide that in its time voted 70 – 90 pst. of them refusing to join the EU, but the large, heavy majority of them today want the Storting to agree to ratify the veterinary agreement. And they just as well know what they're talking about, those who live without state support, and who every day are busy buying what they're catching, and what's produced, like those who're at home and more or less -- I'm not going to say all of them -- the Vignette sees Belgian blue. Here is the case of an industry without State aid which is to compete with an industry which has a protected home situation at those degrees and which, in fact, also, through representatives from the same batches representing the resistance today, has received a control stamp saying that the control measures for the notified part of what is imported in relation to what is being exported are going to be better than they have been. I believe that this is a complete turn of affairs when the representative Johan J. Jakobsen, the head of the Business Committee and representatives of the SV, interferes with Schengen in this matter and is very concerned that the Schengen Agreement can prevent and create difficulties for the import of fish into Norway! You world, what kind of crocodile tears is this an attempt at? So you are worried about the import of fish into Norway on one hand, and then you completely forget that 90 pst. of the fish caught and produced in Norway shall leave the country for export. This is to completely turn the matter upside down. Finally, I just want to say that we are in a situation where the EU is still changing. There are eleven new candidate countries, and when they enter the EU, our market access to these countries will be further exacerbated. In fact, there is no doubt that the world has changed so much that we are now gradually seeing the long-term effects of being outside the big market. But there are still some who want to fight against the power of the windmills – fortunately, there are fewer and fewer of them. As a political holm gang, I see that this can be useful for increasing percentage upswing, but I don't think it will succeed in this context either.
ParlaMint-NO_1998-12-17.ana.ud456e1191	As the debate has become visible, this issue contains several pages. However, I would like to focus in this article on matters related to the fishing industry. In the Ministry of Fisheries’ report on prospects for the development of the Norwegian fishing industry, St.meld. No 51 for 1997-98, improving market access for fishery products has been highlighted as important for increased value creation in industry. The reduction of barriers to trade limiting the export of Norwegian seafood is therefore very important. The veterinary agreement constitutes an important contribution in this context by removing the border controls on fish exports. It will improve market access for Norwegian fish to the main market in the industry. The EU countries are our immediate market, and many of the EU countries are our most stable markets. The value of fish exports to the EU in 1997 was DKK 14.5 billion and amounted to 59 pst. of total fish exports. Despite the problems that have arisen on the Russian and Asian markets, total fishing exports are expected to increase by more than 10 pst this year. However, for the export of fish to the EU, the increase will be even more marked, making the importance of this market more visible by the fact that there is also a buffer that mitigates the problems arising in other markets. When I then add that a not insignificant proportion of fish exports to countries outside the EU are transiting through the EU and are therefore also subject to border controls, you can see the extent of this border control for Norwegian fishing industry. Against this background, I am concerned that the European Union has an impact. On 1 January 1997 its legislation on border controls has been harmonised. It involves stricter border controls compared to the exports of fish to which they are currently subject. The special arrangements we have had with simpler border control pending the negotiated agreement would be lost if Norway were to say no. At that time, the fishing industry would meet a new control regime with significant potential for delays. And just delays are some of that fish exports are most vulnerable to. It is not possible to predict the extent and frequency of delays, but the sloping mouth is not large until the exporters risk having to sell the fish at a reduced price. In the most serious cases, the consequence will be the loss of customers for those who over time are unable to produce the goods in good time and with the right quality. Of course, some transparency is required in the export of fish and the threshold batches must be transferred to the markets, and this has been tried and described both from the Government and the industry. If it is not considered good enough documentation, I think it must be a requirement that those who do not believe it should be able to point out more specifically what kind of documentation is required. In a situation where the current special regime poses problems for the export of fish, it is essential to avoid further worsening the conditions of competition for exporters. On the other hand, when the negotiated agreement provides an opportunity to significantly improve them, it is an option that I, as Minister for Fisheries, would recommend. Taking into account that fish are not part of the free movement of goods within the EEA Agreement and that the industry has to deal with a significant customs burden, it is important that the works of agreement be improved on the possible points. While industry is dependent on good export conditions, the fishing industry in Finnmark and Troms in particular depend on raw material inputs from Russian vessels. The agreement will require the establishment of border inspection posts for the control of these imports by Norway. However, this does not include imports of fresh fish. For the other fish, practical arrangements will be in place to ensure the smoothest possible control. Among other things, it is added. not until the fish has to be physically produced at the border inspection post itself, but can be delivered to the farm’s own plant for inspection, where this is in reasonable proximity. It is my intention that we should go far in order to avoid unnecessary obstacles to the established pattern of trade. Should experience show that the system is not functioning properly in this respect, it may be appropriate to establish several border inspection posts. I am therefore convinced that we will be able to deal satisfactorily with this side of the agreement and that the agreement will be of great benefit to Coastal Norway as a whole.
ParlaMint-NO_1998-12-17.ana.ud456e1206	It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e1209	In the debate so far, many have said – and the Council of State itself was involved – that the disadvantages to the fishing industry and the export of fish cannot be demonstrated, they cannot be proved. Despite the statements of an overall Norwegian fishing industry, it was still asserted strongly despite the fact that the Council of State itself has been able to call it crystal clear in its statements, and he has so far been the most quoted of the day in the debate. My question is simply: how does the Council of State feel that there is still a requirement for documentation and evidence, as the Norwegian fishing industry and the Council of State themselves have said on this matter?
ParlaMint-NO_1998-12-17.ana.ud456e1216	Now it is not new that a political debate can argue about reality. And in a case like this, where it's hard to quantify the effects of one system or another, I don't see anything wrong in it. Although I have party colleagues who disagree with me in my assessments and in the industry's assessments when considering a holistic approach, it is not difficult to relate to. I think the representative Hanssen has also experienced in his own party in other contexts that there may be disagreement. Let me just say it this way: with the review I as the Council of State have had of the matter, I am determined that there will be significant financial costs and also other problems associated with a new border regime that involves a significant increase in veterinary checks at the border of all the batches of fish entering the EU area. Let me also say that one of the most important arguments that have come from those who are opposed to the agreement is that, in the interests of consumers, a border check must be carried out. I assume that, in this context, it is also recognised that, in the interests of their consumers, the EU authorities will maintain and require border controls in line with their own legislation. From this point of view, a strong demand from Norway to maintain a separate border check will strengthen the EU’s argument to have increased control at the border of food imported from Norway. That is why I think it is appropriate to substantiate the claims about the danger of consumers being harmed by the new regime.
ParlaMint-NO_1998-12-17.ana.ud456e1223	When it comes to discussing EU issues, the Minister for Fisheries is not an unauthorised person. Only three-four years ago, when he was a big-time representative, his postman was that if Norway agreed to EU membership, he was willing to bet on the detachment of the northern part of Norway from the kingdom. It's to the extent that an interesting thought could have been reflected on a number of things, but there's no reason to try it out afterwards. No one shall dispute the wishes and intentions of the Minister for Fisheries, that he will do what is in his power to serve the best interests of the fishing industry. There is every reason to pay tribute to the Minister for Fisheries for his commitment. Now I may be more in doubt as to how much all the goodwill he has met from the Workers' Party and the Right strengthens his shares in the Center Party, but it may come along well afterwards. But a little bit back to Schengen. Does the Minister for Fisheries share the opinions of the most prominent Central Party leaders on the fear of the consequences of the Schengen Agreement for Norway? Can the Minister for Fisheries clarify what his view of the implementation of the Schengen Agreement would have to do with the disadvantages of the Norwegian fishing industry, compared with the ratification of the veterinary agreement?
ParlaMint-NO_1998-12-17.ana.ud456e1232	I am somewhat uncertain whether the representative Kristiansen tried to link the veterinary agreement to Norwegian membership of the EU. Let me just say it this way: as I – at least the Central Party – perceived the no-movement, the option of membership was to get the best trade relations with the EU, get as good a free trade agreement as possible, as secure as possible, our exports. I saw the enlarged EEA Agreement as an element that could create more favourable conditions for goods exports from Norway to the EU. When it comes to linking the veterinary agreement to the Schengen Agreement, I consider the two agreements to be completely separate. The Schengen Agreement concerns the control of persons, passport obligations, etc. The government has not come to such an extent that it fully clarifies what will have to be the Norwegian regime at the external border. But I can already say so that so far I see significant problems related to the fishing industry if Norway were to become a member of Schengen and have to make substantial changes, tightening up, in relation to the national regime we have today. We must remember that we have a significant landing of fishing catches from Scottish, English and Irish fishing vessels, which will be outside the Schengen cooperation and become a third country. If the regime becomes such that they also have to enter special ports of import, control ports, before they can go to the place where they are to deliver their catch, that would be a problem. The same applies, of course, to the significant landing from Russian fishing vessels. So we get back to that when the government has investigated the matter and presented its view.
ParlaMint-NO_1998-12-17.ana.ud456e1239	The Minister for Fisheries has argued for his own view that the veterinary agreement must be adopted. He argued that Norway’s large fish exports, with more than 500 fish trailers to the EU every week, would be severely damaged without the agreement in place. I can agree with the description he had in his main post, when it comes to the market challenges facing Norwegian fishing industry. He is supported by his view of the agreement, both by the Minister of Agriculture and the Minister of Health, who is responsible for animal health and public health in the country. Both have been successful in ensuring that the veterinary agreement and the control regimes for which the agreement is concluded take care of Norway's interests in the same way as the system we have today. In spite of the fact that these state councils are fully in favour of the agreement, there are four central government councils that believe the risk is so great that they've taken it from the government. In addition, the whole of the Centre party in the Storing Group is opposed to the agreement. In the evening post of 7 November, Angelsen was referred to, where he says that his party traps that require her when it comes to the veterinary agreement do so on a thin basis. When asked if the Center Party would have fallen to another position with a more correct picture of the everyday life, Angelsen says that he does not ignore it. The question is: what are these government councils and the central party's large-scale group that have not understood the agreement, as the Minister for Fisheries from the same Central Party, until they have understood well? Is this really a pedagogical problem, where Norwegian fishing interests have to give way to insider medical symbolism policies at the Center Party's organisational salts?
ParlaMint-NO_1998-12-17.ana.ud456e1250	I'm actually tempted to follow Fridtjof Frank Gundersen's line in the debate of speaking straight out and open. Let me say that after the debate on the veterinary agreement started with full weight after the summer vacation, there was a process in the Central Party with increasing and strong resistance to changing the regime we have today. It naturally propagated itself into the central party's organs, and the central party government made a decision that the large group should vote against the agreement, and that the state councils should take it. One might say that the background to the political situation is that we have a party apparatus that has asked the elected bodies, right up to the big group, to vote against the agreement. And I don't have any trouble accepting that there might be arguments that a party is taking such a position. But from my point of view and with the review I have had of the design of this agreement we are now going to try to adopt, I believe that it is entirely right, especially for the coastal and fisheries industries and also for national interests, to give the fisheries industry improved market access to the main market under this agreement.
ParlaMint-NO_1998-12-17.ana.ud456e1258	As we are all aware, the starting point for the entire veterinary agreement was the fishing industry's need. There would be major problems for fish exports, it was said by Jagland, and now it is Angelsen who claims the same thing. I say "higher" because this has not been documented. So once again, I have to ask for documentation on this alleged problem. That the EU should create a lot of problems for Norwegian fish exports must be documented. And then it'll be a mistake for the Minister of Fisheries to say that it's up to us to prove it. We have not wanted this agreement, and after you have been able to document it in relation to Svinesund and elsewhere, these problems do not exist. Nor will they ever arise, so the need for evidence in this matter is to be found with the majority and the Minister for Fisheries. I must therefore have the Centre Party put its brilliant remark in the position at this point, and ask whether the Minister for Fisheries disagrees with this. The note reads: ‘However, this member has noticed that in the proposition it has not been possible to demonstrate the economic and practical consequences it will have for Norwegian fish exports to the EU, compared to the current situation, if the size does not accept the veterinary agreement.’ I assume, then, that the documentation requested by the Centre Party, which SV wants, does not exist, but can the Minister for Fisheries present it here and now?
ParlaMint-NO_1998-12-17.ana.ud456e1270	I said in my post that if you are not able to observe and read the description of this given in the proposition and in other contexts from the Minister of Fisheries and also from the industry, I do not understand how to document this without giving exactly what you want proof of. In a reply it will be a little short time for a careful examination of the matter, but shortly until that is the case. Following a long process, EU countries have agreed to establish common veterinary legislation to remove veterinary checks at the border. In the common legislation, they have transferred controls on health, sanitary and veterinary at a different level, and impose requirements on businesses, on self-control, on production controls, which are at a significantly high level, to which Norway has joined and to which the fishing industry requires substantial investment in buildings, in self-control, etc. This would have been necessary for the Norwegian fishing industry, whether or not we join the agreement, because from 1 January 1999, the legislation that the EU has put in place for third countries will also apply to Norway. This will mean an increased frequency of controls for Norway, from 0 pst. to 5 pst. today on veterinary medicine – 100 pst. We have document control today, and it will still be – until 20 pst. for both fresh and frozen products and 50 pst. for other, more processed fish products. And if you don't take into account the realities of what it will mean by increasing costs and increasing problems for the batches to go out, I don't understand how to better document the realities.
ParlaMint-NO_1998-12-17.ana.ud456e1277	The size now pauses, and the break lasts until noon. 16th@item: inlistbox
