ParlaMint-NO_1998-10-28.ana.ud1702e27	: The called alternate of the Rogaland County, Helge Solum Larsen, has taken the seat.
ParlaMint-NO_1998-10-28.ana.ud1702e1433	I thank the Council of State for the answer, which I thought was very positive. The work being done to strengthen police and community relations seems to have priority in the ministry, and there is reason to say very carefully. After the answer given by the Council of State, I see no reason to ask a follow-up question in the real sense, but I would like to express my hope that the evaluation being carried out does not go far enough, the more because it seems obvious what the outcome is. Sun reason says it.
ParlaMint-NO_1998-10-28.ana.ud1702e1450	This question has been postponed to the next Question Time.
ParlaMint-NO_1998-10-28.ana.ud1702e1463	This question falls away.
ParlaMint-NO_1998-10-28.ana.ud1702e1469	I will ask the Minister for Transport the following questions: ‘In outdoor gokart tracks you can drive from 12 years of age, while for indoor gokart tracks the age limit is 18 years. This despite the fact that the go-karts used outdoors are both larger and stronger. Will the Council of State take the initiative to eliminate this discrimination?’
ParlaMint-NO_1998-10-28.ana.ud1702e1478	There is initially no difference in the rules for go-kart driving on outdoor and indoor tracks. Gokart driving as motorsports is regulated by a separate regulation on motorsports in enclosed areas such as: sets age limits for driving different motor vehicles in a competitive and training context. The limit for competition is 12 years for the smallest go-karte, for training the limit is 10 years. Such driving must take place under the direction of a club connected to the Norwegian Automobile Association or the Norwegian Motorcycle Association. This shall ensure that the vehicles are approved in accordance with the technical regulations of the clubs and that adequate training is given to each driver before the issue of the own driving licence. There have been no self-regulations allowing the rental and use of go-karts for other unorganised recreational and entertainment purposes. Such driving can therefore only take place if the vehicles are approved in accordance with the general rules for the approval of the vehicle and if the person to use the vehicle holds the necessary driving licence. The Ministry has been informed that on some gokart tracks there may be rental of gokarts which do not conform to the purpose of the motorsports regulation. We have therefore asked the Directorate of Roads to assess whether there is a need to revise the regulation in the light of actual developments in the commercial rental of go-karts or whether the regulation should be enforced more stringently. The assessment should be carried out as part of a more comprehensive revision of the Regulation, where the Directorate has also been asked to assess the convergence/harmonisation of the Norwegian regulation of Swedish and Danish legislation, and one can expect such a comprehensive review to take place only in 1999.
ParlaMint-NO_1998-10-28.ana.ud1702e1487	I thank the Council of State for the answer, and I am pleased that the Council of State has asked the Directorate of Road to assess the need for a revision of the regulation. Anyone may open go-cart lanes provided that the vehicles are approved and that the user has a driving licence. I think many people who run commercial rental of go-karts miss a code of conduct that allows for a more extensive use than is permitted today. Otherwise, I had an additional question about when this case would be available, but that has already been answered by the Council of State – so thank you!
ParlaMint-NO_1998-10-28.ana.ud1702e1496	Thanks to intensive searches and contact activities on the part of the representative Eirin Faldet, I have had a deep insight into the go-kart system, as the representative Skogholt brings up here. I am aware that there are installations that need to be looked at in relation to safety requirements, and I am also aware of the fact that, among other things. an excellent prevention work is being carried out by the police, which should be looked at in this context, and which I believe is also the basis of the question asked by the representative of Skogholt. So I confirm that such practical conditions have caused me to ask the Directorate of Road to do the work that is now in progress.
ParlaMint-NO_1998-10-28.ana.ud1702e1504	I have the following questions for the Minister for Transport: ‘The problems at Oslo Airport Gardermoen seem to increase from day to day. The last message is that there will be even greater problems for both employees and passengers from week 44, when the winter routes start up. What measures can the Council of State take to ensure that we have the most normal situation at Oslo Airport Gardermoen as quickly as possible?’
ParlaMint-NO_1998-10-28.ana.ud1702e1513	Putting into service a new main aerodrome is a very complex process. The main objective is to achieve safe and efficient operation. The process involves not only all employees at Oslo Airport AS, the airlines and other companies at the airport itself, but also those serving the airspace around the airport. The opening of the main aerodrome was temporarily moved back a few days to coincide with the conversion of the airspace structure in northern Europe. The new airspace structure will in the long term increase the capacity of traffic management. In the opinion of the Aviation Agency, this would increase overall delays over a longer period of time if the opening of the Gardermoen and the conversion of the airspace structure were to take place in two stages. During the run-in phase to date, different factors have contributed to the build-up of traffic during peak load periods. Among the main factors were data failures in the traffic information system, failures in telephone centres and the management of changes in airspace structure by other countries. Irregularities arising are followed up on a continuous basis. A careful review has been carried out of the factors that would have an impact on safety and traffic management when the new aerodrome opened, where, for safety reasons, certain restrictions on traffic were found to have to be imposed in the early stages. It was therefore found necessary to keep traffic down to 32 air movements per year. hours the first days, but then increased to 40 flight movements per day. hour. From 14 October until the implementation of the Winter Programme on 25 October, a traffic volume corresponding to the sum of Fornebu and Gardermoen has been phased out, resulting in a take-off or landing every 90 seconds. Capacity will continue to grow gradually. As from the start of the winter programme, an agreement has been reached between the Swedish Aviation Agency and the main airlines to temporarily reduce the offer by 15 air movements during the busiest period of the morning. 8 a.m. and 8 p.m. 10th@item: inlistbox This gives a capacity of 50 flight movements per hour. The scheme shall be evaluated after one week. Useful experience has been gained since the opening, which contributes to an ever more flexible operation of traffic. I will continue to follow developments closely, but at the same time I would like to stress that high security is a priority before high capacity. Otherwise, I will refer to the answer I give to the next question, question no. 23rd Last@item: inlistbox
ParlaMint-NO_1998-10-28.ana.ud1702e1532	Has the Ministry assessed the socio-economic impact of the delays we have had to date? With that question, I believe that with a thousand passengers standing out there for an hour, we can count on half a million kroner, roughly, if we calculate 500 kroner an hour. And we'll probably find that it's even more if we go out into the periphery and look at what additional expenses the individual gets. It has great consequences not only for the one travelling, but for everyone and not least for the employees. I am pleased that the minister sees this positively, but I just wonder if they have carried out any financial analyses of what these delays until now have cost Mother Norway?
ParlaMint-NO_1998-10-28.ana.ud1702e1539	It could certainly have been a fascinating project to investigate what delays at Fornebu in their time cost Mother Norway, and what delays at the Gardermoen cost, and what are the relative sizes. The crucial thing is that when you start a new airport, you put security first. And to use an image, changing the airspace structure across Northern Europe is the same as changing the road network in London from one day to the next while changing the name of the roads. Then experienced taxi drivers would have had a great job. I find that employees, especially those in the passenger service situation, have done a great job of getting this in place. And the childhood diseases that have been, have been taken up continuously to improve and develop. There's no doubt that when people work that way, they deserve praise and recognition, and they do because it improves the job. The latest report I have received is that the winding-up process is improving, but as I said, with regard to the individual peak load problems, there are challenges, and there is no need to hide. The fact that the human-system meeting provides support for human beings to feel secure, that security is at stake, we must all be happy. With the extensive conversion of the airspace that you have had, both with the move from Fornebu to Gardermoen and with the adaptation of the airspace across Northern Europe, along with some entry problems at the airport, I find that it has come off well.
ParlaMint-NO_1998-10-28.ana.ud1702e1546	I thank you again for the answer, but I don't think it's big with the chaos that we've experienced at the Gardermoen. It's a tragedy, to my mind, that we've managed to deal with it that way in a modern society. The thing is, when we're at the airport, we hear that it's the international conversion that's the cause of the delays. On the other hand, when we are on the plane, we learn that there are quite other things that are causing the delays. There are technical problems at the airport. It's so wrong many times that the pilots don't dare go in. They're going outside to find their planes. They take the passengers with them and line up on the outside and not on the inside. And this is wrong. I think the Minister will agree with that. Of course, safety shall be in the high-seat. That is the prerequisite for us to operate air traffic in this country. But I have one last question to the Minister, and that is the following: At what time does the Minister and Ministry of Transport expect the airport to have reached the level that we can expect at the end of the nineteenth century?
ParlaMint-NO_1998-10-28.ana.ud1702e1555	There are probably some experiences that are unpleasant, but we cannot operate an aerodrome based on anecdotic information. We have to rely on what's going on. I have traveled from the airport many times myself, and I have experienced that the information has been very robust and accurate all the way. I have even been put on a bus to Sogndal at the time of opening, because that was the only possibility that day, and I experienced a staff doing the job in a good way. By systematically working on the matter both in relation to what is involved in technology, what is involved in people's work on this, and giving good support to those who actually do a great job on the front line, the airport operation will normalize, and we'll be able to handle the capacity we need. Looking at many other air passengers that have started, Gardermoen has made good progress, but there are challenges and child diseases – there is no need to hide them. We all get the best ashore if we help here. My contribution to it, for example, is to use the flight properly often. It's a very pleasant experience. In addition, I keep myself well, in fact continuously, informed about what is happening, and I also have the latest report with me here today.
ParlaMint-NO_1998-10-28.ana.ud1702e1565	I will ask the Minister for Transport the following questions: ‘Since 8 October 1998, exceptional conditions have largely prevailed in Norwegian aviation since the opening of Oslo Airport Gardermoen. Significant delays, cancellations and reductions in capacity lead to high social costs. The employees of the air carriers have had to take responsibility for the passengers. What will the Council of State do to get the right authority to take responsibility for recent rootstocks on Gardermoen and in Norwegian aviation?’
ParlaMint-NO_1998-10-28.ana.ud1702e1574	It is the Swedish Aviation Agency that has the primary responsibility for aviation safety and airspace and aerodrome capacity. When safety is weighed against capacity, safety is the heaviest. Oslo Airport AS is responsible for the ownership and operation of the new main aerodrome. Oslo Airport AS, as the aerodrome owner, is fully responsible for the aerodrome product and associated technical systems and takes this responsibility very seriously. This is the responsibility of Oslo Airport AS, in cooperation with the major airlines and the action operators, to ensure that new procedures, procedures and use of technical equipment are properly managed. This is because it is a very great transition from old Fornebu airport to the new and modern Oslo Airport Gardermoen for all employees in terms of the use of technical equipment, systems, etc. However, many actors contribute to the overall operation. Air carriers, action operators, catering companies, police, customs officers and shop and service personnel are all very important in making a large airport work. For very many operational functions, there is a shared responsibility between the aerodrome owner and the carrier for the handling of passengers from check-in to boarding. International expertise that has followed this process has given a positive indication of the handling of the above processes. The childhood diseases and problems that Oslo Airport AS took with it in the first two weeks after starting up have decreased. In my opinion, Oslo Airport AS takes responsibility seriously. I have been continuously briefed on progress and will, of course, continue to follow developments in operation very closely.
ParlaMint-NO_1998-10-28.ana.ud1702e1585	In the answer to the previous, the used Council of State asks the term ‘anecdotal information’. I have to say that using that type of language in an answer seems very arrogant to me. If this is the case, the Council of State feels that everything that has been described about the Gardermo is just anecdotal, I want to make the Council of State aware that there are very many people who address us as users, who experience this as something quite different than anecdotal. I would like to ask: What responsibility does the Council of State feel that he has in relation to providing the right information? And does the Council of State think it is right that the main weight of responsibility for fronting customers and helping with information has been taken by the staff, while the rest have hidden behind the counter?
ParlaMint-NO_1998-10-28.ana.ud1702e1592	Now I'm not adding anything derogatory to the term 'anecdotic information'. In it I add the experiences that the individual has, and that can never be taken away from the individual who has had it, whether he is a staging representative or anyone who travels to and from this aerodrome. But that's the sum of all the information that's crucial -- the one that's observed by those who's on the counter, by those who are operators, yes, of course all of them, and that's the information that I'm constantly getting. But information from individuals also counts, because it's part of the whole picture. It causes control questions to be asked, assuring itself that the information is correct. And one of the things that I have the stress is that everyone responsible, not least those who are at the heart of this, with the management responsibility, should always make sure that the information given is correct with the users. I would also like to take the initiative to give a great deal of recognition to those who are often put under pressure in this division of responsibilities, namely those in the bar – which I myself have crossed many times – because they deserve recognition. But it is of course, as it is in the question, so that everyone who is responsible should not be shadowed away – they should stand up and tell the truth about what is happening. It has to be, it's the only way to ensure that childhood diseases are resolved, and that operations are as good as you have to require from a modern airport.
ParlaMint-NO_1998-10-28.ana.ud1702e1597	I think I noticed a rather different tone in the articles of the Council of State now. When it comes to developing a new airport, we all realize that this isn't quite easy. But then it's also important to be willing to accept that things don't go the way you hoped, and not do what I get to call a completely unacceptable discretionary painting of action patterns and information. I perceived the council that he gave honor to the staff. That's good. What, then, is the critical attitude of the Council of State towards information provided by, inter alia, the Aerodrome Authorities and the Aviation Administration?
ParlaMint-NO_1998-10-28.ana.ud1702e1602	I'm not familiar with the term "sex painting". I did it quite clearly long before Gardermoen opened, that one had to expect childhood diseases, one had to expect that in order to deal with it, one had to provide truthful information all the way. I have, of course, helped to ensure that such information structures are built up and that they should be good. That information is familiar to me given by both management and everyone else. In some contexts it has not functioned well enough internally – therefore people in the booth have had to take ‘a drag’. Especially in situations at first, when the air-parking system didn't work, so you had to improvise, it became a lot of strain. But I see it as everyone takes responsibility and not shadows away, and that's exactly what characterizes Oslo Airport, that people set up in a fantastic way. They did that overtime at the end of old Fornebu, and so do they at the time of the drive-in. This has also led some newspapers to take some sort of self-criticism on some types of black paint that happened in advance. But this has not been said to minimize childhood diseases. Children’s diseases teach everyone to take responsibility. In that the representative and I have quite equal attitude, and that has been my attitude all the way.
ParlaMint-NO_1998-10-28.ana.ud1702e1610	I allow myself to ask the Minister for Transport the following questions: ‘In the air carriers’ winter routes, the route offers for Harstad/Narvik Airport are greatly reduced for traffic within the country. In the region there is a strong response to these extensive cuts, as there is no poor passenger base that may be the justification. For industry and for other users in the region, cuts mean large additional costs and practical problems. What can the Council of State do to correct this relationship?’
ParlaMint-NO_1998-10-28.ana.ud1702e1619	In the context of the transition to the 1998/99 Winter Programme, the carrier SAS has chosen to reduce its offer regionally to and from Evenes. As far as I know, this is among other things. based on the company’s assessment of the competitive situation in the region and other commercial circumstances. The company is free to make such changes. As Minister of Transport, it is my responsibility to ensure that the overall transport standard is also satisfactory in this region. After thorough studies of e.g. The route offer to and from Harstad/Narvik Airport, the route offer to and from Narvik Airport, as well as the maritime route offer by fast boat and fast route to and from Harstad, is my opinion that the overall transport standard in the region does not justify State intervention. Under aviation-related legislation, state intervention in the market may occur when the overall transport standard becomes too poor. In the case of aviation, the so-called public service obligation, FOT, must then be published. This includes, inter alia: exclusive and monopoly on the routes to and from Evenes, which I understand, among other things. the airport support committee has been negative to. Therefore, both the actual existing transport standard in the region and the disadvantages of State intervention with the FOT indicate that the State should not intervene. However, I would nevertheless encourage interested users and other stakeholders to make contact with the airlines concerned in order to exert pressure for an improved route offer, if it is such that uncertainties regarding the actual passenger base have negatively affected the air carrier’s assessments.
ParlaMint-NO_1998-10-28.ana.ud1702e1630	I thank the Council of State for the answer. The reduced route provision applies not only to one airport but to several airports serving large areas in northern Norway. Among other things, I have come to know that it has reacted quite strongly from the municipality of Alta. I have registered in the press that the department has described the change as marginal. I must say this surprises me, when, for example. Harstad/Narvik Airport has been reduced by 30 pst. and correspondence with other routes has become much more difficult. It is difficult to understand when the passenger base is good, nor is it denied by the company. So it's actually easier today to travel by plane from Harstad/Narvik Airport via the Gardermoen to Tromsø than it is to travel directly. This must lurk in the ears of most people, and it must be termed a district enemy. I think the Council of State is taking too easy on these issues that have been raised, and I ask whether the Council of State might consider discussing these issues with the airlines with a view to resolving them.
ParlaMint-NO_1998-10-28.ana.ud1702e1635	As is known by a very robust majority in the Stortinget, there is a deregulation of aviation on the main route network, while at the same time we have a call for tenders on the short-range network. That's what's the game rules for what's available. It is the open debate on route provision that affects, and it is not that the ministry has any control over this situation. We're still trying to follow up on what's happening to changes, and what I did in my answer was the rules of the game that apply to the changes. It was also clear from the answer how to influence the situation if it is that there is incorrect information about the user base that has affected the route layout. I have registered that the representative has asked me to look at this again, and I am going to review the actual information I have about the situation in this area.
ParlaMint-NO_1998-10-28.ana.ud1702e1642	I am aware of the actual rules that apply to aviation and to route arrangements. But I cannot deny that it must be a task for all of us to go to the airlines and try to get them to understand the consequences this has brought. I am very pleased that the Council of State takes my request seriously, and that he will go to the airlines and discuss this situation, precisely on the basis of the demonstrable impact this has on industry and other users in a large region.
ParlaMint-NO_1998-10-28.ana.ud1702e1649	I think my answer was more goodwill than it was the basis for. I didn't say I was going to go to the airlines, but I said I would look again at the information base that exists on the actual development of the region. That's part of the information that the department has and that we're taking with us. I've promised to do that, and I repeat that, and of course I'm standing by.
ParlaMint-NO_1998-10-28.ana.ud1702e1658	I would like to ask a question to the Minister for Health: ‘We have become aware that the Minister of Health and the Minister of Education have stopped the distribution of the new sex information material of the Health Authority for young people. I mean, budget-inner. S. No 11 for 1997-98, the Social Committee said: ‘Sexual education and lifelong learning in schools are central to the prevention of unwanted pregnancy. Strengthening the competence of teachers in this field is important.» Why has the Council of State helped to stop a good tool for teachers in this teaching?’
ParlaMint-NO_1998-10-28.ana.ud1702e1667	I fully agree that sex education and lifelong learning are very important in preventing unwanted pregnancy and abortion. I see it as important that teachers are strengthened in their skills, and see that they need materials that can be used in the teaching of togetherness, sexuality and prevention. I also believe that this teaching and guidance must be put into an ethical framework that challenges responsibility for itself and others and that respects the integrity of the individual. Such measures will be prioritised in the new action plan on the prevention of unwanted pregnancy and abortion for the period 1999-2003, which is now being developed by the Ministry of Social Affairs and Health in cooperation with the Ministry of Church, Education and Research and the Ministry of Children and Family Affairs. As far as the concrete teaching material is concerned, I have the following to say: It is the Health Authority that is professionally responsible for the content of the computer game and the video films, and the material is designed for the use of health professionals. It is planned to be distributed to national youth health centres and to projects dealing with youth, life and sexuality under the Action Plan for the Prevention of Adverse Pregnancy and Abortion 1995-1998 and the Action Plan for the HIV/AIDS epidemic 1996-2000. The Ministry of the Church, Education and Research wanted a professional-pedagogical assessment of the material in relation to its use in school education. Pending this assessment, the Health Authority has awaited further distribution of the material. The tools have not been stopped, but if the KUF wanted to do a professional-pedagogical assessment, we have found it right to do so. The education authorities have, as you know, engaged a professional expert group at the University of Agder, which has carried out an assessment of these teaching aids in relation to different age groups and in relation to the need for a guidance system. KUF received a report from the expert group on 23 October this year. I also refer to the Minister of Education's presentation in the oral Question Time earlier here today.
ParlaMint-NO_1998-10-28.ana.ud1702e1684	I thank you for the answer, and I am glad that the Minister for Health has started work on an action plan for the prevention of abortion, in line with the Stortinge decision. I have looked at some of the information material that the Health Authority has developed, and I think it was good information made on the youth's premises and adapted to the time we live in. Information at school is very personal, as the youth himself has stated in a survey, which shows that they prefer to have this education done precisely by health professionals. A wide range of measures against unwanted pregnancy is necessary to maximise the reduction in the number of aborted pregnancies, and there is no doubt that the Health Authority has taken this task seriously. Then I wonder what it is in this material that makes the department think it is unsuitable for age groups under 15. I refer to the answer given by the Minister of Education earlier today.
ParlaMint-NO_1998-10-28.ana.ud1702e1695	I would like to thank you for the consensus that seems to be in favour of action against unwanted pregnancy and abortion, which, in my view, is a very important political priority. I also agree that young people of different age groups should have good information adapted to the time we live in and communicated in a way that young people understand. Furthermore, I agree with the questioner that the Health Authority has taken its part in the follow-up to the existing action plan seriously. The direct question now raised by the representative Gravdal is the Health Ministry’s assessment of the content of this material. To that I would say that we have referred to a desire from the Ministry of Education to assess the suitability of this material for educational use in school. The Minister of Education has explained how he assesses it, and why he assesses it that way. I expect that we will have the assessments sent to the Ministry of Health, and then we will take it further up with the Health Authority.
ParlaMint-NO_1998-10-28.ana.ud1702e1707	I would like to ask a question to the Minister of Health: ‘In May 1998, we had a discussion about the Halden reactor, where the Council of State promised to increase the transparency of transport as well as the business itself. Will the Council of State ensure that there will be full publicity on the transport of radioactive waste and spent nuclear fuel between Kjeller and Halden, to the Himdalen and to and from abroad, where appropriate what has the Council of State done/will he do to get the public promised in this matter?’
ParlaMint-NO_1998-10-28.ana.ud1702e1716	The question is initially referred to interpellation with regard to the Halden reactor which was dealt with by Stortinget on 5 May of this year. As mentioned at the time, the Ministry of Social Affairs and Health is responsible for the ongoing concession treatment of the Institute of Energy Engineering plants in Halden and Kjeller. In my contributions to the interpellation debate, I made it clear that the ministry's position on transparency and transparency is that increased transparency should be sought within the framework of the law. The concession case has been served with the greatest degree of transparency and the ministry assumes that only parts of the material contained in the concession application are to be exempted from the obligation of professional secrecy. This, of course, is a matter of course. As a result, the concession application and all 31 annexes thereto have been examined with a view to distinguishing information subject to confidentiality so as to allow transparency of the other parts. The organisations, press representatives and individuals who have requested access to the above material have already received the released material. Other access will, of course, be given equivalent access. Moreover, the Government will review the confidentiality provisions of the Atomic Energy Act and relevant regulations with a view to greater transparency in nuclear energy matters. The representative of Langeland raises further questions related to the transport of radioactive waste and spent nuclear fuel between Kjeller and Halden, to the Himdalen and to and from abroad. As far as transport of spent nuclear fuel between Kjeller and Halden is concerned, there is nothing to prevent them from being informed about the way transport is done. I refer you to the explanation I gave about this in my answer in the Questionnaire on 3 June this year. However, for safety reasons, precise information on when transport takes place, etc., is not public to the public. In addition, it can be mentioned that earlier this year the State's radiation protection system has been subject to the transport system itself and found it in accordance with the legislation, as I asked after that question was raised. The transport to Himdalen will include only low and medium radioactive waste for which the installation is intended and not spent nuclear fuel. The manner in which the planned transports to the Himdalen are to be carried out is described in the operational safety report and is public. Furthermore, through information meetings attended by the Institute of Energy Technology, the local population has been made aware of how the planned transports to the Himdalen plant are planned to be carried out. As part of the experimental programme of the Halden reactor, the Institute of Energy Technology introduces time-limits of spent fuel from abroad. Such test fuel is not Norwegian property and is returned owner after the experiment has been carried out. These transport operations are carried out in accordance with the provisions applicable to such transport both in the country of dispatch and destination and are authorised in accordance with the international non-proliferation agreement.
ParlaMint-NO_1998-10-28.ana.ud1702e1731	I think I'll also choose this time, as I did last time, to thank you for a positive answer, because I have a feeling that the Health Council is taking this problem seriously and following it carefully. I think it's still a lot of a way of exempting tea, and so it was particularly positive that the Council of State is now going to review the rules that are indebted to tea. One question was not answered, and that was in relation to Sellafield. Can the Council confirm or confirm whether the Halden reactor has delivered waste to Sellafield, thereby contributing to the pollution of the Norwegian coast? Second, the Council of State does not refer to the number of attachments in the public concession application. Can the government say anything about it?
ParlaMint-NO_1998-10-28.ana.ud1702e1738	In the case of transport to and from abroad, I refer to what I said, that it is related to the introduction of test fuel and the return of such fuel to the owner in accordance with Norwegian and international rules. I also show that, by letter of 25 March 1994 from Minister for Economic Affairs and Energy Jens Stoltenberg, the Storting Energy and Environment Committee was given a thorough account of this research activity and its international aspects. When it comes to the question of the proportion of material released, I can't answer it on the stand, but I will make sure that those questions are answered appropriately.
ParlaMint-NO_1998-10-28.ana.ud1702e1745	I expect the Council of State — in the form of a letter or similar — to come back to what he could not respond to. So what I want a very specific answer to is for Sellafield. I feel that the council avoids the question. Can the State Council confirm or confirm the recovery of Norwegian nuclear waste at Sellafield?
ParlaMint-NO_1998-10-28.ana.ud1702e1750	I want to maintain what I said in my previous answer on the question of transport to and from abroad with regard to the Halden reactor, and do not have any further to add to the answer I have already given.
ParlaMint-NO_1998-10-28.ana.ud1702e1758	I allow myself to ask the Minister for the Environment the following questions: ‘The size of the stock in some rivers in Troms and Nordland has now grown to such an extent that it has resulted in extensive predation of anadromous species of fish that go up the rivers to spawn. This has primarily affected some local salmon strains. The otter has also done some damage to farming facilities along the coast. Will the Council consider introducing quota hunts for oats in Troms and Nordland to reduce damage caused by overstock?’
ParlaMint-NO_1998-10-28.ana.ud1702e1767	Otter populations have experienced a sharp decline in size and prevalence in this century, not only in Norway but throughout Europe. Despite population growth in some areas in the last decade, species are vulnerable in a global context. In the course of a review of endangered mammals in Norway in 1996, the Directorate for Nature Management has classified the oter as ‘responsive and rare’. The species is covered by the Berne Convention and is listed in Annex 2 to the Convention, which shows fully-fledged animal species. It is true that the otter population of some watercourses in Troms and Nordland takes a significant amount of adult salmon during the spawning period. This has been established by studies carried out by the Directorate for Nature Management in the last few years. However, the effect of oter taxation on the individual salmon population appears to be modest. The Directorate for Nature Management considers that the otter poses a less threat to salmon stocks than to environmental disturbances such as: reduced water quality. In the case of injuries in farms caused by ots, this is a known problem. Therefore, the ratio to populations of game — including ots — shall be considered when granting farming concessions. Farm operations shall also be carried out in such a way as to avoid conflicts as far as possible. Nevertheless, in some cases the environmental protection authorities issue otter breeding authorisations and in the current year breeding authorisations have been granted in Nordland and Troms. A more ordinary form of hunting ots will be a small targeted and thus wrong instrument in relation to the local damage effects mentioned. I will stick to the practice of granting local killing permits, but I see no basis for introducing regular quota hunting on ots in today's situation. However, I understand that the otter feels like a problem in some places. Therefore, I will keep this matter under review with a view to assessing further measures if progress so warrants.
ParlaMint-NO_1998-10-28.ana.ud1702e1780	I would like to thank the Council of State for the answer. It is a national task to maintain and strengthen the wild stocks in the country, not least in view of the fact that salmon diseases and watercourse regulation have led to a significant disinfestation of the population. State and not least non-governmental organisations have used significant resources to reduce wild-tail populations. When it turns out that the oter population has a strong increase and directly threatens the wild axis of some watercourses, it is clear that more and more volunteers who have been involved in hard work and cultural work are gradually feeling that it is not useful. I therefore ask the Council of State to follow up on what she said at the end of her reply, where she expresses an understanding that the otter feels like a problem in some places, and that she will keep the matter under review with a view to assessing further measures if progress so warrants.
ParlaMint-NO_1998-10-28.ana.ud1702e1789	The representative Nymo and I agree that it is an important task to preserve and strengthen the wild stocks. That is why I also look forward to the report that will be presented by the so-called salmon committee around New Year's, how many different interests have sat together just to discuss how we can solve this problem in the future. I have great expectations that they will make proposals that will be useful to us. At the same time, I recognize that there is a clear problem with ots in some watercourses. That is why both Nordland and Troms have been approved for the current year. As I said, this practice is my intention to maintain. In addition, of course, I will follow up on what I said at the end of my previous answer, namely that we will carefully assess developments in the future.
ParlaMint-NO_1998-10-28.ana.ud1702e1799	I would like to ask the Minister for the Environment the following questions: ‘The authorities of Norway and Sweden have agreed on common guidelines for the management of the Scandinavian wolf population. A basic cooperation document opens the way for both the killing of special pests and the quota-limited hunting of wolves in the two countries. How will the Council of State contribute to the success of this work?’
ParlaMint-NO_1998-10-28.ana.ud1702e1808	I have explained earlier this year to the management of the wolf in connection with an interpellation on the predatory game management. The management of wolves is based on Stortingen’s treatment of wild game notification in 1997. The report states that the wolf should have a strict protection until at least eight - ten family groups are established in southern Scandinavia, some of them in Norway. Only when this stock level is reached can the wolf be managed more in line with other predators. The wolf administration has been discussed in detail with the Swedish authorities this year. One aim has been to develop common principles for the implementation of new management measures in relation to population development. The Directorate of Nature Management and the Swedish State Natural Conservation Agency have recently produced a basic document on the management of the Scandinavian wolf population. Its name is, among other things, the aggravation of individuals of wolves causing serious and repeated damage to buff or tamrein may be granted at the current level of populations. With an increasing wolf population, it may eventually become appropriate to regulate the stock through so-called licence hunting in certain areas. The basic document shows that it is up to the authorities in each of the countries to determine the size of the stock before such licence hunting is allowed. It is also agreed that the authorisation of harm reduction or licensing cannot be granted without preventive measures being assessed and found to be less appropriate to reduce damage and conflicts. The principal document is in line with the administrative principles set out in the notification. We need to look at the details of the future administration when the basic document is sent to the Ministry. Norwegian and Swedish authorities also agree that more knowledge about the wolf is needed and that cooperation in this field will be further developed. I place great emphasis on reliable stock data as a basis for the management of the wolf in the years ahead. In this respect, I point out that the Government in its 1999 draft State budget has proposed significant funds for the stocktaking of wild game.
ParlaMint-NO_1998-10-28.ana.ud1702e1819	I thank the Council of State for the answer. Does the Council of State see that different administrative provisions on predators in Norway and Sweden, and otherwise in those countries with which Norway has a common border, make it difficult to get sensible management for everyone? It's a fact that several of our predators are reptiles and can travel large distances in a relatively short time. It is also a fact that some of these can be considered predators in one country and not in the other. That is why I see it as very important and sensible that the neighbouring countries with common interests/problems have equal provisions as far as possible. It may seem illogical that an animal on one side of a border is totally satisfied, while one metre across the other side of the border is legally hunting the same animal. Will the Council of State be in favour of ensuring that we have as much equal cross-border provisions in this area as possible, even for the districts, which are very important?
ParlaMint-NO_1998-10-28.ana.ud1702e1828	I see the cooperation that has now been between Norway and Sweden, just as a step towards getting to know whether there are different provisions regarding the management of predatory game. And I feel that the principles proposed in the joint document of the Directorate of Nature Management and their Swedish counterpart are fully in line with the principles laid down in the report. This, I think, is a very important and sensible step, because, as the representative said, we are dealing with steppes here, and it is therefore important to have cooperation. At the same time, I would like to stress that such cooperation must never be based on Norway’s relinquishing its responsibility to have populations of the major predators in Norway.
ParlaMint-NO_1998-10-28.ana.ud1702e1836	That being the case, it is no. 1 finished.
ParlaMint-NO_1998-10-28.ana.ud1702e1845	There is no record.
