ParlaMint-NO_1998-11-18.ana.ud1731e27	The called alternate of the Troms County, Ruth Stenersen, has taken the seat.
ParlaMint-NO_1998-11-18.ana.ud1731e1499	I thank you for the answer I received – I guess I am not completely calmed down. I will refer you a little bit of a letter sent to Minister of Health Dagfinn Høybräten and Minister of Church and Education Jon Lilletun from the West Health Region. It says the following: ‘The regional health selection strongly responds to the submitted medical training plans in Akershus. This is due among others: The plan is a gross discrimination against health regions in favour of Akershus. The West Health Region has developed a plan for the training of 150 medical students in the region. This will cost approx. 1.5 million per month. student, while Akershus receives an offer that is unacceptablely high in comparison.» [[150 plans]] The letter ends with the following: ‘The West Health Region regional health selection request that the plan be set aside and that resources that follow it be made available to consult other health regions where the health workforce is much larger and where we can train medical students much more cost-effective.’ At the end of his speech, the minister said that he would not have increased recording capacity in the Oslo region tied funds and professional staff for a long time to come. What does the Minister mean by ‘long-term’ if this plan goes through?
ParlaMint-NO_1998-11-18.ana.ud1731e1525	Time's up. The president forgets the clock when she hears such statements.
ParlaMint-NO_1998-11-18.ana.ud1731e1528	It's all right on the part of the Minister that the President does, because I have a lot to say. First of all, I would like to pay a great deal of tribute to the West Health Region – mainly at the University of Bergen and the Dean there – for the way they have managed to increase the medical uptake, by decentralizing parts of the study. It is commendable, and it has been strongly supported by both the Ministry of the Church, Education and Research and the Ministry of Health. But the usage here is pretty meaningless, because if it were to be calculated that way, it would also have to take into account the preclinical institute that we are currently building in Bergen for just over a billion dollars, and that is an excuse to increase the absorption there. The point is that today we have a recording of Norwegian students studying abroad, of a lot of them in Dublin. What we want is to get them back home and educate them in Norway -- we think it's more likely that they'll be here then. That's why our problem over the last few years has been getting the university clinics to take in more students, not the opposite. So I'd like to warmly praise the health region west and the University of Bergen, but at the same time I think that here's a ghost at Høljo's day.
ParlaMint-NO_1998-11-18.ana.ud1731e1537	I thank you again for the answer. I get a little calm when it's said that I'm starting to see ghosts at daylight – at least that's a positive statement, just that. I would like to conclude by reminding the Council of State that, in the context of a major communication on dimensioning in higher education and the need for increased investment in the field of IT and health, a press release was issued by the Ministry of Church, Education and Research on 15 May this year. There, the Council of State writes as a closing comment the following: ‘A targeted regional distribution of study places will also be important in the future.’ I expect the Council of State to be in charge of this and will ensure that, at least, the health region west does not become the region that is going to suffer for what is now being added to the Oslo region through this plan.
ParlaMint-NO_1998-11-18.ana.ud1731e1549	What was said there in relation to the issue of regional distribution was wisely said by the Department and the Government. What's searched is that a multiple here on the Stortinget – Right and Workers Party – send it back again, so that this isn't the Stortinget's announcement, it's still only the Government. But if only the size is willing to follow up the line that the state council has set up here, it will be a good regional distribution. One of the accidents in the 1980s when it comes to medical training was that we dropped this education at Lørenskog. That's why we got into this mess we're now in. I mean, there's not a contradiction here. When we look at how many students we have now, and we take them home again, we can both create education at Lørenskog and be able to meet the health region west says they have the capacity. So this is going to be looking over a couple of years -- and I think we're going to be pretty much the same. And so, I'm very fond of the back-up when it comes to the prudence of the big message about dimensioning.
ParlaMint-NO_1998-11-18.ana.ud1731e1559	I shall be allowed to ask the Minister of Social Affairs the following questions: ‘In Document 8:66, I made proposals in March 1996 to ensure the proper practice of the coordination law so that no one can lose on having earned pension points in Social Security. [[1995-96]] In the opinion, a unanimous committee in the proposal for a decision said, inter alia, that the proposal ‘is forwarded to the Government for assessment and follow-up in the context of the work of the Committee on Coordination on the positioning and legislative proposals in this respect’. When can we expect a new bill presented?’
ParlaMint-NO_1998-11-18.ana.ud1731e1568	The main proposals of the Coordination Committee were the following: to incorporate the coordination rules into the legislation of the various pension and social security systems so that the coordination laws can be repealed, and to convert the survivors' pensions from the service pension schemes into net schemes in the long term. In certain circumstances, a loss of supplementary pension can be offset by a negative effect. The coordination selection pointed out that this issue could be resolved by introducing a clearance solution or a standardised gross scheme. The peace settlement was rejected by the Stortinget in 1989 and 1992. The selection recommended continuing the current scheme. The coordination committee's proposal to repeal the coordination laws and to implement the rules on deductions from the legislation on service pension schemes may be the future solution for a law that has been discredited and has little understanding. Even if the laws were liberalized in 1989, there is still discontent. The selection was sent to the audience in December 1995. The Ministry then went in to repeal the coordination laws. It was shown that the rules on gross retirement and the deductions to be made will then be collected in one place for each scheme. In the spring of 1996, all public pension schemes managers gathered against repealing the coordination laws. In view of the unity of public-sector pension systems, the State Pension Fund, the municipal pension funds and the National Social Security Agency found that the coordination rules were still in force in a law. Nevertheless, it was pointed out that a framework law for public pension schemes could be an alternative. Following up on the settings from the Coordination Selection, it seems that a lot of time has been taken away from you because you need a holistic management of the public and municipal service pension schemes. The Ministry of Finance is probably following this up to spring. So, eighteenth to the question raised by the representative Alvheim: the rules of coordination may, in certain circumstances, lead to a reduction in the total pension when the supplementary pension in the population is increasing for the person who has started the service pension. This applies in particular to persons who receive an additional pension in part on the basis of the spouse's inauguration. The coordination selection was the best thing to do with the current system. The same question has also been assessed by the Supreme Court in the so-called Lassung-saka in 1994. The Supreme Court then found that the law of coordination had been practised correctly. Thus, in the hearing of the Coordination Committee's position in the spring of 1996, there was a strong commitment to furthering the current system. I intend to put this issue before Stortinget again as a specific matter. I hope to get to this before Christmas so that Stortinget can handle the matter in the spring of 1999. The majority may then consider the question raised by the representative Alvheim, but separately from the issue of the removal of the coordination law. I have noticed that one in particular. may lose out on caring points in public opinion. This is what I want to look at.
ParlaMint-NO_1998-11-18.ana.ud1731e1594	I thank the Minister for the answer. I agree with the Minister for Social Affairs that this is not a very simple matter; it is very complicated, but nevertheless: the time now spent on this review and any new legislative proposal cannot, in my opinion, be accepted. In 1997, the then Social Minister replied that the bill on any change was to be presented to the Stortinget at the turn of the year 1997/1998, and on a question-time question on 27 May this year, the current Social Minister stated that it was intended to present a legislative proposal, possibly for the autumn. Now the harvest is soon over and the winter is just around the corner, but I now registered that the social minister said she expected that a bill would be promoted for Stortinget by the end of the year. I'm just asking that this be confirmed from this pulpit right now.
ParlaMint-NO_1998-11-18.ana.ud1731e1601	The coordination selection begins with the following setting: ‘The Coordination Act contains the most complex and difficult to access legislation we have in our legal system.’ I can confirm that I have had my extensive experience of going through the preliminary work that has been done so far. It is also the case that we in the department have spent time in May and beyond the fall to further gather views and assessments. I am impatient to submit not least to the Storting, as I said, an assessment of the side of care points, and I am now doing what I can to keep the promise that I have given to get the case before Christmas.
ParlaMint-NO_1998-11-18.ana.ud1731e1611	We're going to go to question No. 10th@item: inlistbox This question, from the representative Torbjørn Andersen to the Minister for Local and Regional Affairs, will be answered by the Minister for Health who directs him.
ParlaMint-NO_1998-11-18.ana.ud1731e1617	I have the following questions for the Minister of Health: ‘In Norway, many dwellings are very close to high-spent lines. A lot of people think they're getting sick from the field around these high-spent lines. Experts in the field believe that this radiation may be dangerous to the human organism. Does the Council of State feel there is a need to look at this and consider introducing more stringent guidelines on how close high pent lines can be to residential areas and dwellings?’
ParlaMint-NO_1998-11-18.ana.ud1731e1626	Following a lengthy and thorough investigation, a cross-ministerial group presented NOU 1995:20 «Electromagnetic fields and health Proposal for a management strategy» in August 1995. The study is based on a report on the health significance of low-frequency and magnetic fields from an expert group. It is based on the professional competence of the departments' underlying bodies, such as the Labour Inspectorate, the Electricity Authority, the State Radiation Protection Agency, the State Institute for Public Health, the State Institute for Safety and Health at Work, the Norwegian Waterways and Energy Agency and the Radium Hospital. The recommendations made in NOO 1995:20 are as follows: 1st@item: inlistbox New power lines should seek to avoid access to housing, kindergartens and schools, etc. Measures involve small costs and must not cause other significant disadvantages. The current measures are primarily a series of trasé changes. 2nd@item: inlistbox In the case of new residential areas, schools, kindergartens, etc. the proximity of power lines should be avoided. Where possible, a slightly greater distance should be chosen than the minimum limits established for safety reasons for the distance between power lines and construction. [[for more reasons]] ...Due to the uncertainty that persists in the negative health effects of low frequency electromagnetic fields, the team of staff believes that, in choice situations, minimum field strength solutions should be chosen until further notice when this can be done without additional costs.’» The investigation has been at a wide public consultation and there was a great deal of welcome about the group’s proposals. These lead goods strategies are indicative in this area pending any new research results. As a follow-up to the work of NOU 1995:20, the State Health Authority was commissioned to produce a report on eloquence sensitivity with proposals on the future management of health services’ symptoms assumed to be related to electrical or magnetic fields. The Ministry was sent the report in April this year and is working on further follow-up. The size of the sample was in line with the findings of the investigation, cf. Inner. S. No 252 for 1997-98 for St. pp. No 65 for 1997-78, in the context of the revised national budget this year. And at the same time, it was made clear that research and development will continue to be carried out in this area. The Ministry awarded the Norwegian Research Council in 1997 and 1998 an annual budget of 500 000 kroner for this purpose. Furthermore, the State Radiation Protection Agency received 500 000 kroner in 1998 in order to find out its own information. In St. pp. No 1 for 1998-99 is said: ‘A national information system will be provided in 1999 for the follow-up to the management strategy NOU 1995:20 Electromagnetic fields and health.’ A further review of the field of action is to be prepared by the year 2000. The problem area also has a high level of international attention, and Norway participates in several activities, including: via the World Health Organisation, to illuminate radiation hazards and any disease risk. Until the recent evidence is documented, the NOU 1995:20 strategy, which has thus joined the Stortinget, will be followed.
ParlaMint-NO_1998-11-18.ana.ud1731e1653	I thank the Council of State for the answer, and of course I'm familiar with it – let's call it – counter-argument, at least the argument put forward by the Council of State. It is a fact that little is being done in this area in Norway. I guess I'm too disappointed with the answer I got. Although it is being worked on, small appropriations and small resources are being deployed in this area. What I would call the rejection of this question by the Norwegian authorities is remarkable as long as one knows that both Denmark, Sweden and Finland recognise that electromagnetic radiation can have a partly serious impact on the human organism. Some studies show that there are clear contexts here: cancer in children living in a nearby environment close to power lines. What I would like to ask the Council of State is: why are there stricter regulations in several other countries regarding the requirements for distance between residential buildings and high-spent lines than they are in Norway?
ParlaMint-NO_1998-11-18.ana.ud1731e1660	I find it difficult to understand the characteristics of Andersen's representative of the answer I gave, because I did not present the counter-argument, I presented the professional assessment that led to the Ministry and the Council of State coming to Stortinget this spring with a recommendation on what should be a guiding management strategy in this area. That management strategy, that proposal, joined the Stortinget, as far as I remember, unanimously. In this, there is no dissenting position on my part, but on the contrary, a very strong technical recommendation on a leading commodity strategy in this area. What I am recording is that the representative, Andersen, has a wish that, in addition to the funds allocated to research in this area, more effort should be made. I would like to take note of that in view of later budgetary arrangements. But it is clear to me that part of the follow-up in this field should be continued research, and until we have more knowledge than we have today, we are following a leading commodity strategy.
ParlaMint-NO_1998-11-18.ana.ud1731e1667	The second answer I received from the Council of State feels more reassuring. I believe that this is a matter that is so serious that it needs to be looked at. What I asked for was a stronger effort in this area. That's what was the message in my first line. I believe that there are indications that Norwegian authorities and industries, the professional sector itself, are trying to minimize the realities that might lie in this with electromagnetic radiation. It is very unfortunate, if it is the case that other countries have accepted that there is a significant health risk in this problem, that one, perhaps because it means a lot of economic to do something about it in Norway, is trying to minimize it and sweep it under the carpet. I can't accept that. My final question must then be: do I understand that the Council of State will now be investing more in this area?
ParlaMint-NO_1998-11-18.ana.ud1731e1676	I regret to say that I believe that Andersen's representative is a bit off track when he characterises it so that the Norwegian authorities devalue this problem. It is not de minimis when setting up a public inquiry committee with all the expertise that can be gained in Norway in this field and asking them to develop a management strategy. It is not de minimis when the Norwegian authorities follow up the conclusions of the overall professional expert. It is not to sweep the problem under the carpet, but on the contrary to do some measures that, in isolation, are not a scientific basis to say that you have to do, but as you do because you want to be led was. So once again I have to distance myself from the characteristics, but just as fully I want to confirm: we're participating in international cooperation on these issues, and we're going to bet on research on these issues. And I have noted Andersen's concern that we should focus more on research.
ParlaMint-NO_1998-11-18.ana.ud1731e1686	I will be allowed to ask the Minister of Health the following questions: ‘The offset frequency is at present at a rate of approx. 10-12 pst. of annual deaths. The State Health Authority recommends an autopsy rate of 40 pst. of all deaths. What is the reason for this development, and what will the Council of State do to increase the incidence of autopsy to a professionally sound level?’
ParlaMint-NO_1998-11-18.ana.ud1731e1695	The frequency of autopsy has been decreasing in Norway for the past 10-15 years, in line with that recorded in other western countries. This has several reasons: Autopsy as a traditional pathology activity may have lost some attention and status within the pathological environment, but also in doctors who claim services from pathologists. New diagnostic methods and new technical options have focused to a greater extent on finding diagnostics in living patients, perhaps at the expense of the quality work that the autopsy represents. With modern survey methodology and increased investigation activity, the number of deaths in which health services do not assume that the cause of death is known is the number of deaths. It is also fewer who die a sudden and unexpected death. These conditions have reduced the demand for autopsy. Hospitals have changed their operation, and there are relatively more people dying outside hospitals, either at home or in other institutions. Closer cooperation between pathologists and primary health services to perform autopsy has proved difficult in these deceased patients. It is necessary to obtain prior approval from the social security office in order for transport and autopsy to be refunded. The pathological departments in hospitals are in line with other hospital departments depending on tight economic governance and an expected level of performance in their activities. Health surveillance has previously expressed concerns about the consequences that a lower post-mortem activity may have for both education, quality work and disease statistics. In view of the above, the Health Authority considers that it is probably not realistic to maintain the wish to maintain a 40 pst. of all the dead shall be autopsyed, but there should be a target to significantly increase activity in relation to the current level. I agree with that. I have taken initiatives to improve the situation: The proposal for a new law on specialist health care places emphasis on the responsibility of hospitals for both patient treatment and education and research. Autopsy can be seen as an important tool in this context. In the proposal to amend the regional hospital grant, there are stronger indications as to how hospitals use the grant for both direct patient treatment, special regional hospital functions, education and research. It may also be appropriate to look at requisition procedures and reimbursements in connection with autopsy in cases of death both inside and outside hospitals. The Ministry has asked the State Health Authority for an explanation of the challenges facing the pathology profession, how the tasks should be carried out and how resources should be prioritised. This investigation will be carried out during the winter. It would also be natural for health surveillance and county doctors to focus attention on how hospitals use autopsies and the dissemination of experience from them in their work on internal control and quality assurance.
ParlaMint-NO_1998-11-18.ana.ud1731e1725	I thank the Minister of Health for the answer, which I saw as positive and understanding in relation to the problem that is being discussed here. For one thing, I think there is a lack of resources in the pathological departments that is the main reason for this decline in the autopsy rate. A sufficiently high autopsy rate is a very important quality assurance for future diagnosis and treatment. As Norway’s pathological association sees it, it is particularly important that a high enough autopsy rate is maintained at our university hospitals, for the sake of education and research. And my follow-up question is, can the Minister of Health imagine imposing on our university hospital a minimum rate of autopsy, and is he willing to propose an eartag, necessary allocation to this?
ParlaMint-NO_1998-11-18.ana.ud1731e1734	I agree with the representative Alvheim that the autopsy rate is an expression of the extent to which this important quality assurance work is being carried out in our hospital. I also agree with the pathologist association that the consideration of teaching and research at regional hospitals indicates that one has a sufficiently high autopsy rate. What is a realistic goal in relation to today's level, I don't want to have a sloppy view of it here and now, but I want to engage in dialogue with the Health Authority and on the basis of the statement we have asked on the challenges of the pathology subject, consider the questions raised by the representative Alvheim, in particular the question of whether a minimum rate should be requested, or whether to set a more explicit target. With regard to the degree of ringing, I believe that what we are doing now with the regional hospital allowance is largely following up on the intention that the representative Alvheim is after.
ParlaMint-NO_1998-11-18.ana.ud1731e1743	I thank you again for the answer, which is still very positive and understanding for the matter itself. Of course, with regard to the special grants to the regional hospitals that we have today, they can be used if they are large enough. And if you get a proposition, as I suggested, it's a way to go. Another way to go is that when the department is now to approve the regional health plans, it could be ensured by the department that the autopsy service was duly maintained in these plans, and if not in the case of the approval, the regions could be required to provide for an autopsy rate of at least 20 p.p., which is probably the rate currently in Sweden.
ParlaMint-NO_1998-11-18.ana.ud1731e1752	We are now in a process where we draw up guidelines for regional health planning. One of the main issues we are facing is the level of detail required by the State in relation to the content and design of these plans, and in this respect it would be natural to consider the question raised by the representative Alvheim at the end. I would say that initially, this issue may seem to be at a lower level of detail than the regional health plans should address, but the issue will be taken into account in the further work.
ParlaMint-NO_1998-11-18.ana.ud1731e1760	Before I ask my question, I must be allowed to make a correction in it. Unfortunately, there has been an error in that I write that a judgment has been confirmed from the ‘Love Committee of the Supreme Court’. The right thing is Yellowing Lawyers' Law. And with this correction, I ask the Minister of Health the following questions: ‘There is now a court order between the State and a doctor in respect of a claim for reimbursement. In this case, the Court pointed out that the proceedings of the social security authorities had been seriously breached. Furthermore, there is a confirmed ruling from Gulating Lawyers' Rights against the Royal Resolution of 8 May 1998, where doctors have been deprived of the right to practise for one year. Will the Council of State ensure contact with the Norwegian Medical Association/doctrine on these matters?’
ParlaMint-NO_1998-11-18.ana.ud1731e1769	In the context of the «Action Correct Tariff Use», the social security authorities have revealed over-consumption of the tariff system that has resulted in reimbursement claims against doctors. There are now two legal decisions in cases between the Swedish National Anti-Fraud Office and doctors concerning such repayment claims. In the judgment in Jären's court in March of this year, the Rikstrygdeverket was satisfied with its application for redress. In this case, the Ministry of Social Affairs and Health had also decided that the doctor should be excluded from practising for a period of time. The Court of First Instance held that the exclusion clause of the department was valid. In the recent ruling in Ryfylke Herredsretsretten, the Riksstrøgdeverket lost on important points and the recovery claim was severely reduced. As the representative Johnsen is familiar with, the judgment in Jæren's court is appealed to the Law of Lawyers. I have been informed that the Rikstrøgdeverket will rely on the ruling in Ryfylke's lordship. The representative's question is that, at the judgment of the Lawyer's Court of 17 July 1998, the medical practitioner concerned was informed that the State should not apply the exclusion decision until a final judgment has been given in the case. Consequently, the judgment of the Lawyers' Court does not apply to the exclusion decision itself but is valid at the time of the implementation of the decision. On the basis of the judgment of the Lawyers' Court, the State has requested oral proceedings under Gulating Lawyers' Law. The Medical Association has, as you know, expressed dissatisfaction with the procedures and practices of social security authorities in the reimbursement requirements against doctors in the context of the Action Correctness of Taxation. The association has, among other things: have been concerned that doctors must document their tariff use through the submission of patient records. I am aware that the procedure in many of these cases has been long, and that this has caused medical uncertainty. However, these aspects must be seen in the context of the scope and complexity of the project. The length of the procedure is also related to the fact that the GMP Committee was out of function for a longer period of time. The Rikstrøgdewerk will assess the amount of the repayment requirements in the light of, inter alia: the procedure in each case. The Swedish Social Security Agency has now decided that responsibility for the settlement of medical care and the settlement of treatment should generally be concentrated in special offices, usually one in each state. These regional offices will have a sufficient amount of evidence, analytical competence and, in consultation with the Agency’s advisory doctor, sufficient insight into clinical medical activities to ensure that the treatment process can be qualitatively sound and effective. The regional offices are under construction. It will be assessed to give regional offices the power to take decisions in these cases, so that county offices become the appeal body. In that case, such cases will no longer be dealt with centrally in the Swedish National Works Agency. The question of whether doctors are required to document their tariff practices in journal printing is now under assessment in a separate working group with representatives from the National Agency for Drugs and Drug Addiction. I can otherwise inform you that there is now ongoing contact between the Medical Association, the National Agency and the Department to ensure optimal cooperation between the social security system and the doctors in this field, as the representative Johnsen calls for.
ParlaMint-NO_1998-11-18.ana.ud1731e1788	I thank you for your answer. I had a question to the Minister of Health in ours, and that became the following: ‘Can the Minister of Health look at the possibility of postponing the entry into force of the decision into force of the judgment?’ It was the decision taken by the Council of State, and the Minister of Health then answered in conclusion that he felt that they were ‘for a safe reason’ by anticipating events, by trying to exercise human rights in order to pass judgment before judgment was given. Here the department – under the leadership of the Christian People's Party – chose to judge before this judgment was delivered. It is quite remarkable that at the end of the Gulating Law, the following is stated: ‘Until there is a final judgment on the decision of the Ministry of Social Affairs and Health of 29 April 1997, or if the parties agree otherwise or otherwise be decided by the court, the State may not take the decision against Roald Byre.’ What's the point here is that the Council Decision is set aside. It's serious in itself. Human rights have come on, and this is done by the Christian People's Party. My question is: can the Minister of Health view this as all right, or does he think this is reprehensible?
ParlaMint-NO_1998-11-18.ana.ud1731e1807	I do not intend to go into a polemics with the representative Johnsen on a matter that is now pending before the courts. What I have to take a sharp distance from, however, is that the decision to which reference is made from the kgl concerned. resolution, should be to rely on human rights, or should be to make a judgment. I am referring to the fact that the government was actually informed that the department's exclusion decision was valid when the case was in Jären's jurisdiction. With regard to the further handling of this case, I have said that, in the light of the judgment of the Lawyers' Court, the State has requested oral negotiations at the Gulating Lawyers' Court, and I believe that all parties are well served that those negotiations take place at the Gulating Lawyers' Court and not in the Storingssalalen.
ParlaMint-NO_1998-11-18.ana.ud1731e1812	I thank you for the answer, which I am absolutely not satisfied with. There is a judgment of law here. It is not a matter that is before the courts – not the one to which I refer with the one doctor. It's finished in Gulating Law of Law. Gulating the law has made it quite clear that the decision that was taken in the Council of State was wrong. It is quite serious – for me, it is at least serious, whether it is not serious for the Minister. That one goes out and creates a practice that causes people to be judged while the case is pending before the courts is completely unacceptable, and I want to give clear notice of that from this pulpit. I think the state will make a lot of money to go in and negotiate with this doctor, get a conclusion to the matter and also stop the other issues that are going on. The Council of State, the Ministry of Health and Social Security are here in a minefield, and I hope that the minister will also see that he is.
ParlaMint-NO_1998-11-18.ana.ud1731e1817	There is no doubt that the issues we are talking about here are difficult issues, demanding issues both for the authorities and for those involved in them. I have said a lot about what is being done by the authorities to improve the quality and speed of the procedure we are talking about. I have also said that there is a good dialogue now between the Norwegian Medical Association, the Rikstrygdeverket and the Department on the follow-up to these matters. Let me just say, without resuming the discussion about a case before the courts, that what goes on with this ruling in Gulating Lawyers' Law of 17 July 1998, is not the validity of the decision in kgl. the resolution of May of this year, but there are questions as to whether the decision is to be implemented before a final judgment is given. There's a difference between the two things.
ParlaMint-NO_1998-11-18.ana.ud1731e1825	I would like to ask the Minister for Oil and Energy: ‘Statoil and ICA/Hakon have now entered into an intention agreement to establish a joint company, inter alia, concerning the ownership and operation of Statoil’s 1500 service stations in Scandinavia. It is working on an owner model that means that the ICA/Hakon Group buys approx. 50 pst. of the shares in the new company. In view of the Hakon Group's recent behaviour, and the fact that this is a direct step towards the privatisation of a part of Statoil's business, can the Council of State clarify whether it is appropriate to intervene with the company?»
ParlaMint-NO_1998-11-18.ana.ud1731e1834	There is strong competition in the service station market. The services and range of goods at the service stations have changed a lot. Today it is possible to buy both hot food, groceries and other goods at the gas stations. Stations that only offer car service are, in fact, difficult to find. Cooperation and alliances have become an important part of the reality of many companies in order to survive at all in the industry. Like other companies, Statoil must be able to assess and relate to the new market situation. The background to the plans for the restructuring of Statoil’s retail activities is mainly low profitability. Therefore, a new service station concept must be implemented. All Statoil stations in Scandinavia shall be part of a new Scandinavian company. Statoil has considered it reasonable to bring a professional partner into the new company. Ownership and voting rights of partners shall not exceed 50 pst. ICA/Hakon was considered an attractive partner following an assessment of potential candidates. ICA is Sweden's largest retail chain. The Hakon Group is one of the three major retail chains in Norway. The Hakon Group is otherwise owned 55 pst. by Canica AS and 45 pst. by ICA. Statoil wishes to implement measures adapted to the tough competition. In addition, Statoil aims to maintain its position as a nationwide service station chain. Restructuring is considered by Statoil to be absolutely necessary to enable this last objective to be maintained. No final agreement on partnership between Statoil and ICA/Hakon has been concluded. The case will be brought before the general meeting of the company when it is mature, i.e. after the Board of Directors has addressed the owner and the Government will at that time take a final decision on the issue of ownership and any partner. The government wants to continue Statoil as a full-time state company. It is also prepared in St.meld. No 46 for 1997-98, the oil notification submitted to the Stortinget. In particular, the core of the country's ownership of Statoil must be that which covers oil and gas production and transport. Then we will discuss an adaptation related to other parts of the business when it may be necessary to maintain operations in some areas or to ensure good enough and wide enough offers. In this specific issue, the Government will focus on how the company can contribute to ensuring the operation of the service stations, and in particular on how to ensure the possibility of maintaining a nationwide service.
ParlaMint-NO_1998-11-18.ana.ud1731e1847	I thank the Council of State Arnstad for the answer. I have a couple of follow-up questions that might clarify a little bit more what is the Government's policy. When Norol was created, later Statoil, in 1975, it was established that the state was to operate gas stations itself. As I now see the Council of State, it is still the Government's policy, and the Government's firm view that national ownership is important. Then I can see nothing but that a Swedish head owner, simply Hakon, cannot go into a collaboration with Statoil, but I would like the views of the Council of State on this. I would also like to comment on the behaviour of this owner, if any, in relation to various cooperative and peasant organisations.
ParlaMint-NO_1998-11-18.ana.ud1731e1856	Let me first underline, as I said in my answer, that the government has not taken a decision on the question of a possible partnership and a possible partner in this matter. It is a matter that will be discussed when the time comes. What we have announced in the oil notification is also clear, namely that oil and gas production on a Norwegian base, transport, i.e. what is called upstream activity, is a core activity and should be state-wide. So I think we can do well to have an open debate on the adaptation of downstream activities. It's not like today that everything is whole time. If you look at Navion, it's 80/20 pst. by Statoil/Rasmussen. Statoil is also not the heathier of the Tent Goods, nor of Borealis. What has changed since 1975 and until today is that in 1975 the gas stations sold petrol. Today they iron shirts and sell hot sausages and other groceries. The question is, is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is That is a question I think in the political environment we should discuss quite openly and sensibly.
ParlaMint-NO_1998-11-18.ana.ud1731e1863	We may have a long and exhaustive debate in Stortinget about the state selling sausages, but it's not the main point here. The main point is that a company that is 55 pst. owned by a Swedish company, shall enter a Norwegian State company. That is what I think is contrary to what is stated in the Adult Declaration of National Ownership. So I also challenge the Council of State when it applies to this owner who is now inside, and who has gone very far towards cooperatives, peasant organizations, and who will almost put down Norwegian agriculture, because it is so little functional and operates with such poor prices: is this a non-profit partner for the Norwegian state oil company?
ParlaMint-NO_1998-11-18.ana.ud1731e1870	First, let me say that I still believe that the representative of Langeland should not forge what will be the final position on the issue of allowing a division of ownership – because there is one question – and then on which partner is the most relevant. Statoil sails have an opinion about it, and it is natural that the government will come back to it when we get it presented to the general meeting of the company. But I think that we are well served to take an open debate on what goes on about the difference between the core business, the management of natural resources, which is obviously meant to be state-wide, and the adaptation of the more external business. Let me also say that the distinction between national and international is not as clear as it has been in the past. It is clear that Borealis operates in European petrochemistry, and, in the case of Navion, it is possible to ask about the national ownership of the entering partners. In addition, when it comes to the position and role of the Hakon Group in relation to Norwegian agricultural cooperation, there is a lot to be said about it, but it is not my role as Minister of Oil and Energy to comment on it from the Parliamentary Chair.
ParlaMint-NO_1998-11-18.ana.ud1731e1882	I'm trying again - to the Minister of Oil and Energy: ‘Statoil has about 200 property properties that SFT considers to be impure. For example, the company spends much more on various forms of sponsorship than on cleaning up old environmental sins. The company uses approximately 5 million. annuals to clean up old gas stations emissions and an equivalent amount in old gas stations. Is the Council of State satisfied with the management of the case by the company, and will the General Assembly, if appropriate, intervene in order to speed up the cleaning up process?’
ParlaMint-NO_1998-11-18.ana.ud1731e1891	The question raised by the representative of Langeland leaves the impression that Statoil is using more for the sponsorship of culture and sport than for environmental measures. That, as far as I know, does not lead to correctness. The awareness of environmental pressures related to the use and handling of different substances has developed strongly within Statoil in recent years. At my discretion, Statoil is consciously responsible for the handling and storage of petroleum products. On the one hand, the company is working to prevent pollution, and on the other hand, they are also working to clean up acute pollution. The company works within the applicable laws and regulations and in understanding and cooperation with environmental protection authorities. With regard to the operation of refuelling stations and refuelling facilities in particular, Statoil is working to limit and clean up pollution associated with these facilities. Statoil has surveyed the level of pollution at all its service stations and service facilities in Norway. Measures necessary for pollution are taken on a case-by-case basis. On the gas station side, Statoil in Norway uses approx. Twenty million. kr annually for preventive measures, and a maximum of 5 million. kr annually for cleaning after acute contamination. The company is also spending $5 million. kr annually for clean-up after emissions and pollution from tankers. And they're going to be 15 million. kr for preventive environmental measures on tankers. Based on the information I have, I cannot see that this is a matter for the general meeting of the company, but I assume that Statoil always complies with the rules laid down by the authorities for preventive and remedial measures regarding pollution. Moreover, it is to the greatest extent in the company’s own commercial interest to contribute to the clean-up and prevention of environmental damage.
ParlaMint-NO_1998-11-18.ana.ud1731e1902	I thank the Council of State for your answer. I understand that the Council of State is reasonably satisfied with Statoil's efforts when it comes to cleaning up old environmental sins. The information referred to in the question is from Pressetalsmann Per Wangen in Statoil, who says that a person spends less money than the state council has now stated. That was the starting point for the problem. Then we have different information about this. What I still want to challenge the Council of State is precisely this with whether the Council of State is using the ability to control Statoil in certain directions. We know, of course, that if the Council of State wanted to take an initiative in relation to a faster clean-up of oil tankers, it would probably be possible for Statoil to take part. We know that Statoil is making a lot of foreign policy splinter, as one of the Norwegian Government could also have any idea of it. I am a little out to know if the Council of State is willing to take a little more control over the Norwegian State oil company, in which I myself am also the owner.
