ParlaMint-ES-GA_2019-06-26-DSPG122.u1	Good morning. Change in agenda development
ParlaMint-ES-GA_2019-06-26-DSPG122.u316	Thank you very much, Mrs. Cuña.
ParlaMint-ES-GA_2019-06-26-DSPG122.u317	Thank you.
ParlaMint-ES-GA_2019-06-26-DSPG122.u318	The Minister of Culture and Tourism, Mr. Rodríguez González, has the floor for the Government's reply.
ParlaMint-ES-GA_2019-06-26-DSPG122.u319	I say that his political vision of the world leads her to dominate her ideology and her empty speech in front of people's rights and the equality of young people. And I'll explain. Look, autonomous communities, all of them, make different systems of access to university; however, there is a unique district. And the University of Valladolid and other institutions have done statistical studies that show that there is a difference in the difficulty between the different autonomous communities, which calibrate the note of access, cutting, which makes it difficult or prioritizes students about others, and that there is no direct correlation between the academic level of the different autonomous communities and the ABAU notes. Because autonomous communities that have a higher academic level throughout Spain—Galicia is among them, is in third or fourth, according to the variable, in the PISA reports, just like Castela-León— always appear in the last positions at ABAU. And other autonomous communities that have levels of knowledge and skills under the middle of Spain, and well under the middle of Galicia or Castile-Leon, for example, have much better grades in selectivity. Something's missing. And I think rights are very important, it's important to guarantee students' rights, to guarantee young people's rights, to equal opportunities for young people. And this system detected and detected that there are errors. We have to perfect it and we have to guarantee equal opportunities for a young man regardless of Lugo, Soria, Valladolid, Albacete or Seville. That is equality, and we fully believe in people's rights. [[Murmurs.]] Of course, you're the one who prefers to talk about the re-centralization of the state's ultra-right, you'd rather talk about that than talk about our boys' equality to an important test that's going to mark your life... [[Speak words that are not perceived.]]
ParlaMint-ES-GA_2019-06-26-DSPG122.u320	Quiet, Mrs. Prado! I'm asking for silence everywhere. [[Speak words that are not perceived.]] Please, shut up! Silence of all, Mr. Sánchez, of all. [[Mr. Sánchez García pronounces words that are not perceived.]] And there I just called the order, too. I didn't call in order, I'm sorry, I said shut up.
ParlaMint-ES-GA_2019-06-26-DSPG122.u321	Well, I said people's rights must be given precedence over the sobs and political slogans. And I think it was very clear here today. In any case, look, you're questioning a public entity's commitment, such as CRTVG, to promoting language and culture. And look, an institution like FORTA gives us a tremendously important data on a question that I think is very significant about the contribution of autonomous televisions to the promotion of the cultural features of each autonomous community. Do you know what is the most powerful autonomous television, which promotes and enhances its own language and culture? It's about 90%. 90% against others: Basque Country, 81%; or Catalan, 82%. But as it seems something strange to say a statistical reality...
ParlaMint-ES-GA_2019-06-26-DSPG122.u322	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u323	...the existence of one more subject in a selectivity exam, and from there you create a myth, a story, and you just talk about neo-fascism, of decentralization, really, from there, Your Honor...
ParlaMint-ES-GA_2019-06-26-DSPG122.u324	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u325	What do you want me to say? Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u326	Thank you very much, Counselor. Change in agenda development
ParlaMint-ES-GA_2019-06-26-DSPG122.u327	There's a change in the agenda. We are now debating Question 7.10. Question of Da María Incarnation Amigo Díaz and eight other Members of the G.P. Popular of Galicia, on the conservation works carried out in the last two years on the Roman wall of Lugo
ParlaMint-ES-GA_2019-06-26-DSPG122.u328	To put the question, you have the floor to Mrs. Amigo Díaz.
ParlaMint-ES-GA_2019-06-26-DSPG122.u329	Good afternoon. Thank you very much, President. Counsellor, the Roman wall surrounding the historic town of Lugo is the only one in the world that keeps itself whole. It was founded in the year 13 before Christ by Roman magistrate Paul Fabio Maximus in the name of Emperor Caesar Augustus. Since the 6th fall of 2007 it's bordered with the great Chinese wall of Qinhuangdao. Lugo's wall is totally transitible. Built mainly in slate and, to a lesser extent, in granite, it measures something more than two kilometers in diameter, with a height ranging between 10 and 15 meters. In some of its sections the thickness of its walls reaches 7 meters wide. They preserve most of their cubes. It has ten doors — five old and five more recent openings, between 1853 and 1921. The changes that over the more than 17 centuries of history have not substantially altered its appearance and its original layout, which follows the guidelines of the Roman engineer Vitrubius. It should be noted that the Roman wall of Lugo is the only one in all the territory that was part of the Roman Empire that is preserved entirely in its perimeter. This same year, 2019, we celebrate the tenth anniversary of UNESCO's declaration of the Roman wall as the heritage of humanity, a recognition that contributes to the value of this Roman monument that identifies the city of Lugo and, by extension, the whole of our community. The Galician Union, as the owner of the wall, has been moving several initiatives that contribute to the rehabilitation of this monument and to the preservation of its structures — among the latest, the works carried out in cubes 80, 70, 71 and 19—. Year after year, since 2009, the Galician Union has been investing in the conservation of the wall, investments that have, as I said, increased by more than four million euros since 2009. For all this, and being aware of the great importance it has for all the lumens and for all the people of Greece the preservation of this emblematic monument for the city, and also of the great effort that the Council of Galicia is making in its conservation, today, Counsellor, we are interested in explaining to us here, in parliamentary headquarters, that consisted of the conservation works carried out in the last two years on the Roman wall. Nothing else and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u330	Thank you very much, Mrs. Friend. The Councillor for Culture and Tourism, Mr. Rodríguez González, has the floor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u331	Thank you very much, President. Madam, the truth is that the neighbors of Lugo and the Greeks, who love Lugo and its wall, see the wall as something tremendously natural and as something almost ordinary and almost normal. And we're terribly wrong. You have just described very well the historical and cultural importance, and also in the everyday life of Lugo's neighbours. And the urban importance in the design of the city that has the wall because it is something really extraordinary and worthy of all mention. In fact, thanks to this extraordinary fact, a Roman wall practically intact in the last two thousand years, for it was 19 years ago declared the cultural heritage of humanity. We all know that this statement places the wall of Lugo at the height of the great cultural goods of Galicia, such as the paths of Santiago — which, by the way, also pass through Lugo, in this case the primitive Way—, the old city, the historical town, the city of Santiago or the tower of Hercules. And we think, and we hope, that in a short time we can add new declarations of humanity's heritage to other spaces, to other territories, such as the Sacred Ribeira, as can be the National Park of the Cyes, the Atlantic Islands, or as can be the Ferrol of Illustration. But the truth is, a statement of this importance also has a responsibility. Of course, the Greeks have the responsibility to maintain, preserve and value this resource so simple and so overbearing. And in this case the administration responsible for the care, promotion and conservation of the wall of Lugo because it is the Junta of Galicia. This was assumed with a worthy responsibility from the very first moment. And over the last two years action has been carried out by 1.5 million, interventions which are currently continuing, well at the stage of execution, well at the tendering stage — in this case by 800,000 euros. We have also just finished a wall maintenance plan, which basically made it an integral cleanup, an integral treatment from the biological point of view, of the fauna, and some physical works that placed this budget in 750,000 euros, since it was obvious that the wall had to be protected as an absolutely living monument and that is part of the city's life. We have also made important conservation and maintenance actions in cubes 19 and 80 — for an budget in this case of EUR 400,000 — and we are also fully restoring 70 and 71 — we are talking about investments of EUR 250,000. Finally, ladies and gentlemen, we have an investment of EUR 1.5 million over the past two years, which is obviously a good amount of public resources aimed at improving the prevailing and important needs of Lugo's wall. Obviously they're never enough and we have to keep working, we have to keep improving...
ParlaMint-ES-GA_2019-06-26-DSPG122.u332	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u333	...because in the end we are faced with one of the most comprehensive assets of Galician heritage, of the universal heritage, which, as I said at first, seems to us that it is normal because we live with it, but it is absolutely extraordinary. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u334	Thank you very much, Counselor. For the replica shift you have the word to Mrs. Amigo Díaz.
ParlaMint-ES-GA_2019-06-26-DSPG122.u335	Thank you very much, Counselor, for your answer. We know of the commitment of the Union to the city of Lugo, and we welcome the response given here today, in which this commitment is reaffirmed, that responsibility which, year after year, has been shown since the Union with its cultural assets, and in particular in this case, as we said, with the wall of Lugo, declared by UNESCO, as previously noted, the heritage of humanity. It's a statement that, together with the other two heritages of humanity that we count on in Lugo, the cathedral and the primitive Way, have encouraged that in recent years we have been able to attract many more tourists to our city in moments, in addition, where cultural tourism is on the rise. And that, of course, results in the economy of our city. Counsellor, we would like to see in your second turn what works are being carried out at this time and what are those works that have been planned for the near future.
ParlaMint-ES-GA_2019-06-26-DSPG122.u336	Thank you very much, Mrs. Friend. For the Government's reply, the Councillor for Culture and Tourism has the floor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u337	Madam, as I said in the previous speech, we are faced with a living monument that needs constant care, a monument that is widely used by citizenship and which is part of the daily life of the neighbors of Lugo. We are constantly doing works, doing interventions. The structural consolidation of cube 7 and its inner contour is currently being carried out. It's a work of 300,000 euros. They're also about to start the performances of the new wall conservation and maintenance plan, a plan that we estimate from around 250,000 euros and that's done for a year. The previous one was for two, and it was 750,000. This year we're talking about 250,000 to do, as we have already said, health, environmental, physical, spare parts, etc. interventions. And in addition to these works that are already being carried out, we have projected various actions for the future. We highlight again the 31st cube of the wall, in which we calculated about 150,000 euros of auction cost, and we are also, in the 6th cube, launching a gallery found, a gallery that, as you know, appeared in recent archaeological excavations and which may be part of an ancient Roman cloca and which is part of an ancient curtidoria. In any case, this will allow them to continue to know the global context of the wall, its historical context and, above all, its general dissemination. Finally, we are facing a set of actions, which are being implemented or planned for the future, in which EUR 800,000 will be invested. As I've said, we're preserving, we're protecting, we're putting on a living element of many, many people who live in constant contact with the wall, who interact with the wall. To some extent, the wall is part of their lives. So to make an already definitive balance, and a little cold — from the point of view that I am simply going to talk about statistical data — I mean that since 2009 they have invested in the Lugo wall more than four million euros, four million euros that in recent years we could divide in the following way: 1.5 invested in works already finished — works of maintenance of the wall, 750,000; cubes conservation works 19 and 80,400,000; integral restoration of cubes 70 and 71,250,000; and the future forces us to continue working on this line, because we have EUR 800,000 works running or forecasting. In execution, two: what is the structural consolidation of the cube 7 — 300,000 euros — and new wall-maintaining works, as I said earlier — 250,000 euros. We have in anticipation of two new projects that will be put in place immediately, which are, on the one hand, the restoration of cube 31 of the wall, with an amount of about 150,000. And finally, the position in value of a gallery found in cube 6 -- which, as I said before, could be...
ParlaMint-ES-GA_2019-06-26-DSPG122.u338	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u339	...an old Roman bell—for 60,000 euros. Nothing more and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u340	Thank you very much, Counselor. Question from Patricia Vilán Lorenzo and three other Members from the G.P. of the Socialists of Galicia, about the existence of some risk of loss of the Feder funds allocated to the project of sanitation of the river of Viveiro
ParlaMint-ES-GA_2019-06-26-DSPG122.u341	To put the question, you have the floor to Mrs. Otero Rodríguez.
ParlaMint-ES-GA_2019-06-26-DSPG122.u342	Thank you, President. Good afternoon. Welcome, Counselor. The question we are bringing today shows a clear example of the passiveness of the German Government and can bear the loss of EUR 2.4 million of European funds. There are funds, but they are not executed for the passivity of Galician waters. Let's put ourselves in a position. The sanitation project of the River of Viveiro has two parts, one related to EDAR, which involves a new raft, a new pretreatment and a new disinfection; and the second project involves the installation of a new emissary, the removal of the old one, a new pumping installation in Celero and a new deposit. Already in 2010 the European Union demanded the sanitation of the River of Livestock, so in 2011 the Government of Galicia announced its execution by 2015. It's June 26, 2019, and these works are not yet started. In 2016, a year after the first promised date, the board of Galicia indicated that this work would be completed in 2019, a new deadline that will not be met either, because, look, in October 2018, when the mayor of Viveiro, María Loureiro, met with the director of the Waters of Galicia, he again committed the start of the proceedings for the withdrawal of the current emissary. But again, in the months following this meeting, nothing else was known to the Living Town Hall. Nothing was known either of the request by that agency to process the construction permits of a new emissary to the State Coast Demarcation. And we arrived at the municipal campaign and there appeared in Viveiro a spokesperson from the Galician Union who turned out to be the PP's candidate for the mayor of Viveiro — who was not even the PP's municipal spokesperson in that council — and announced in the press that in the coming days the withdrawal of the buried part of the emissary that is currently in the creek, which means that the proceedings are about to be completed, and also that the Galician Union is going to present within that time frame — which we do not know what the deadline is — the technical project of enlargement of EDAR. But this information is not what the Living Town Hall has. The Spokesman's Spokesman at Viveiro made statements that do not match the information that the Viveiro Council itself has. But we must say that these actions will take place — well, we hope they will happen, because, seeing all the failures since 2011 on the part of the Galician Union... — partly with Feder funds 2014-2020, on the count of 2.4 million euros. And there's a risk of losing them because of the lack of Galician waters. Because we well know that these works have to be completed in December 2020. So our question goes as follows: Is there a risk that the 2.4 million euros of Feder funds will be lost to the project of sanitation of the River of Livestock? Nothing more and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u343	Thank you very much, Mrs. Otero. Mrs. Vázquez Mourelle has the floor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u344	Thank you. Your Honor, the fact is that I recently appeared in the Galician Parliament to address the planning and work done, and the work to be done, for the integral management of water, of the entire water cycle — a clear bet of the Government of Galicia — by helping and supporting the municipalities in their exclusive competence in terms of sanitation and purification. The law is clear, and when a council assumes mayorship because it has direct powers in the management of water, supply and sanitation —Article 25(2)(c) of the Law of local regime—. So first you have to know the regulations as well. And passivity, none. And I'm going to tell you clearly why. These are therefore exclusive tasks of the municipalities in which we support and help. Therefore, I am telling you very loudly that the clear bet of the work that we have seen through comprehensive sanitation, and above all the rivers of Greece, is important, with continued collaboration, helping and helping — which I would also like the Members to do in the direct competences that they have in aid to the municipalities of less than 20,000 inhabitants mainly — in these powers of sanitation and purification. That's how we're doing it in Viveiro and, therefore, passivity of the Galician Union, none. Let's see the passivity of the Viveiro Town Hall, which I'm going to comment on. We're pushing two performances, which are now three because the Living Town Hall isn't able to do what it has to do. Because you also have to know that the title of the current debugger and the title of the current emissary is the Town Hall. Two actions, in particular, amounting to EUR 7 million — the new debugger and the new emissary. And we also have to act at the Galician Union to rescue the lack of activity, passivity, of the Viveiro Council because it is unable to do its work with the processing of the new emissary and also with the justification of the withdrawal of the current emissary. The new emissary began with the request submitted to the Council of Livestock, with the permission of the discharge and the occupation of the land that transferred to the Union of Galicia. The Galician Union moved it to Costas, submitted public information, because it's complex procedures, but that's what to do. Sectoral reports have been positive minus two. One is that of Ports. Why? Because he demands the Town Hall to regulate the occupation of the public domain of the sea-terrestrial, and therefore is awaiting the Town Hall of the Living. The Coastal report could not have been in favour of changing the location of the storm tank to be made by the Viveiro Town Hall and the withdrawal of the emissary. These are issues that have passed the Viveiro Town Hall, because they are its title, it has to do them the Viveiro Town Hall, and it's not capable of being overcome. It is unable to perform these types of management before Coast and Ports to make progress in administrative processing. And since he was unable to meet these requirements, we went from the Council of Galicia to rescue the Viveiro and do what he couldn't do to the Living Town Hall. We see that this lack of capacity of the Viveiro Council is what is delaying. But don't worry that at the Galician Council we'll bid immediately as soon as we have all the documentation from the Living Town Hall.
ParlaMint-ES-GA_2019-06-26-DSPG122.u345	Thank you very much, Counselor. Mrs. Otero Rodríguez has the floor for the reply.
ParlaMint-ES-GA_2019-06-26-DSPG122.u346	Thank you, President. Counsellor, in 2011 Junta de Galicia committed to carrying out these sanitation works, which were to be carried out in 2015. We are mid- 2019 and we know nothing about the beginning of these works. I wonder, Counselor: would we be talking about these dates, the non-fulfillment of these dates, if in Viveiro I was ruling a mayor or mayor of the People's Party? Because, look, now you come to tell us here that you were to rescue the Living Town Hall because these works and this request for documentation were great, that the Living Town Hall was over. [[Applause]] Look, the only one who got out of town and Viveiro was the People's Party in the last municipal elections. But, look, we know that you don't like that government Maria Loureiro, that governs the PSdeG, but this group isn't asking you to like who likes who governs or not in the Viveiro Town Hall, what we're asking the Galician Waters is that they do the works of improving the sanitation of the River of Viveiro. [[Applause]] [[Applause]] It is urgent to remove the emissary to solve these sanitation problems and not lose Feder funds. The situation already warned in 2010, as I said, for the European Union it was necessary to improve this sanitation. Please, agility by Galician Waters!, because the funds for improving the sanitation of the River of Livestock exist but are not executed — I repeat — by the passivity of the Greek Government. The truth is, unfortunately, the risk of losing these Feder funds for passivity of the Greek Government does not exist only in Viveiro. At least in the Navy there is also another risk of loss of the inoperation of Galician waters in relation to EDAR of Burela and Foz. They get to work, run these works and avoid the losses of European funds. Nothing more and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u347	Thank you very much, Mrs. Otero. Replica from the Government. Mrs. Vázquez Mourelle has the floor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u348	We don't do politics with water, no, no! [[Murmurs.]] Burgo's laugh? [[Laughter]] Who rules in Burgo's laugh? Culleredo, Cambre e Oleiros: 100 million euros waiting for the dredging of the Government of Spain. Ría de Vigo, debugger de Vigo, who rules in Vigo? More than 100 million euros of Galician self-funding. We don't do politics with water. Others, yes; others are political at the high speed of Galicia, which is a commitment to all the Greeks. [[Applause]] In any case, water is what brings us here today — especially all the waters in the municipality of Viveiro. It's a competition, I insist again, exclusive municipal, that we help and support. And I'd like them to include, too, memberships, provincial deputies. The first problem of sanitation in the river of Viveiro is the Town Hall of Viveiro, with its management and exploitation. And when they really convince me that there is a problem of maintenance and exploitation — like all things, that we have to keep them — because we would all end up with this pact that I propose. We're talking about insufficient debugging in Celeiro, breaking the emissary that doesn't fix, malfunctioning, trawling problems, infiltrated seawater. And, you see, the Viveiro Town Hall assumes the exploitation of debugging, the bad exploitation of debugging, and collects the neighbors a rate of debugging. How does that sound to you? There's bad exploitation, but the rate of clearance. So, I think we need to talk more seriously about the subject of the operation of the debuggers and sanitation facilities. He assumes responsibilities that do not touch him — and in processing, equally — and, in short, waiting for others to come to fix their problem. Of course, the others will fix their problem, as we also fix in the other rivers, as may also be the area of the river Pontevedra. Junta will assume the withdrawal of the emissary, municipal jurisdiction, which is of municipal ownership. And Junta's going to run that 3 million-euro submarine emissary, because the funds have to be. And to have them and get them, you also have to work first. We're trying to put forward deadlines for improving water quality. The Union has drafted this waste water treatment project, a very important project, with EUR 3.9 million that we have allocated — in total EUR 7 million — to cover. To order them, I don't know if you know, but you have to work. You have to order them and move forward in your projects. And for the project that's being drafted, there is a need for municipal documentation to deal with these issues. At the beginning of May — May 7, we asked the Council for municipal documentation — it would be necessary and essential — because it is its competence. You did not send some documentation. Well, I'm not going to enter the documentation you didn't send, but you didn't send it all. We're calling for it again on June 19th. We'll ask you again, and look at yesterday -- welcome to the question for the stacks to be put -- yesterday, you send the remaining documentation. But the truth — we are concerned — is that even today we also ask for what is missing, what is missing: public information and certificate of availability of land, Your Honor. [[Murmurs.]] So send her as soon as possible. Ask the Viveiro Council to send the documentation and we will bid; and the Costas, sensitivity to the documentation of the emissary. For my part, that's all.
ParlaMint-ES-GA_2019-06-26-DSPG122.u349	Thank you very much, Counselor. Question by Da María Monserrat Prado Cores and five other Members of the G.P. of the Galego Nationalist Block, on the view of the Government of Greece regarding the existence of an uncontrolled waste deposit in the mouth of the Arousa River
ParlaMint-ES-GA_2019-06-26-DSPG122.u350	To put the question, you have the floor to Mrs. Prado Cores.
ParlaMint-ES-GA_2019-06-26-DSPG122.u351	Good afternoon, Mrs. Quintana. The announcement of his counsellor's intention to take about 221,000 cubic metres, two thirds of the 300,000 mud planned for the dredging of the Lérez area — the dredging that goes from the port of the boat club to the scapegoat of the Praceres — made the mouth of the Arousa stream jump all the alarms. And it has now brought the existence of a point of dumping at the entrance of the Arousa stream which must never have existed. At the end of the 1990s, the Spanish State set a place in front of the Grove, between the islands of Ons and Salvora, 2 miles from Ons and 3.5 miles from Salvora, so that there would be a deposit. The mud was deposited in it first, from the works of expansion of the port of Ferrazo in Vilagarcia, around 2 million cubic metres, and from that date there were tons of meters that were deposited there. It's estimated to be at least 3 million. Depots from the area of Marín, Vigo, Tragove, Rianxo and Meloxo. According to the information that has been provided to us, the place is a real mountain with an area similar to several football fields and meters high. This point of dumping is around the protected area of the National Park of the Atlantic Islands, in protected areas ZEPA and OSPAR, with the objective — I suppose you will know — of preserving marine ecosystems and preventing and eliminating pollution. It's on the inlet channel to the stream, so the oceanographic current that causes the blooming in the Arousa stream, and therefore what is deposited there leads the current to the sea inside. There is unanimity in the creek in the rejection of this dumping of contaminated mud. The confrereries, the platform in defense of the river, ecological collectives and citizenship have shown their opposition to this project, but they also don't want that point of dumping to be maintained. They don't want it in Pontevedra and they don't want it in the Arousa. They don't want a new risk, a sword from Damocles, threatening the river. They don't want to have to pay a new bill, in environmental damage and in production. The sea sector, Mrs. Quintana, has paid too many bills that it is not appropriate to pay to the sea sector, which are invoices for bad things and wastes from other administrations — to begin with. [[Applause]] So today, what we want to ask you is whether you think you can afford that at the entrance of Galicia's most productive stream, such as the Arousa River, of enormous productive and environmental wealth, there's a deposit with tons of waste that might be putting your ecosystem at risk, and if you've thought about continuing with that project to take the muds of the Lérez dredging there. Today morning we approved here an initiative to insist that it wasn't like this. I'm waiting for your answer. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u352	Thank you very much, Mrs. Prado. The sea councillor, Mrs. Quintana Carballo, has the floor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u353	Thank you, Mr. President. Ladies and gentlemen. Mrs. Prado, going directly to answer your question, I would like to point out to you that this Government believes and believes that there should not exist and there is no uncontrollable waste disposal in the mouth of the Arousa River. We would never accept it. Now, if you with this question, that you pick up a statement as round as inaccurate, you refer to the point of deposits of dredging materials that exist out of the river, I would tell you that there is this place but that there is no such waste or lack of control. I say this because dredging materials are not considered waste, and because every repository of dredging materials has to have periodic monitoring and monitoring, as indicated by the current regulations on this matter. In this sense, I can say that Galicia is a pioneer in strict compliance with the guidelines for the characterization of dredged material, and its relocation in the public domain maritime-terrestrial, elaborated by Cedex, which were approved in 2014 and revised in the years 2015 and 2017. In any case, and seeing your doubt about a supposed failure of constancy in the follow-up to the consequences of the prior storage of materials, you can point out that this follow-up and its conditions are easily verifiable with a simple search on the Internet, referring to official and technically endorsed documents. So, and to avoid misinformation and alarms, I want to make a call to use, as a foundation, technically solvent information, and to documentally evaluate it, so that it does not get far from the truth in an important way. I say this because his statement contrasts with statements made recently in Galicia and in front of the European Commission by his party, and in which it was said that he was already pouring into Salvora material from Lérez, that this spill had been authorized by the ports of Galicia, that they were waste and that the water directive could be breached. Well, these statements are not without a technical basis, but they do not support a simple application of the common sense. If we also apply the regulations and the force of facts to them, we see that neither the project nor Ports has yet been approved can authorize nor is there any directive being breached, but they are all being complied with. That's why I just want to make a call to responsibility and to follow your turn to the truth by asking them to complete it with strict proposals, because, until now, it seems, they only want the ports of southern Galicia to be filled with sand and our fleet has nowhere to rob. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u354	Thank you very much, Counselor. For the replica turn, Mrs. Prado Cores has the floor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u355	I don't know who you're answering, Mrs. Quintana; of course, not what I asked you. What happens is that you practice the worst of politics, that of escapism, that of not taking responsibility, that of inoperation, that of paternalism rancio and that of threats and blackmail to the sectors that you should protect and defend. And far from doing that, what you do is threaten them if they oppose any question you pose. That's the policy you practice. [[Applause]] [[Applause]] Of course, as much as you try, you can't cover reality instead of acting to solve the problems. Look, the extractive sector of the Arousa River is strategic because of the wealth and employment it generates. 44% of the seafarers on foot are in the Arousa River, 68% of the bats of Mexillon, 41% of the vessels of minor arts, 1,700 fishing boats and 800 auxiliaries of fishing and aquaculture. We're not talking about any joke, Mrs. Quintana, and the alarm is more than justified. They don't believe the safety of the warehouses, nor those that are already there, nor those that you intend to take there. They are not harmless; if they are applied to international toxicity and sediment quality values based on their effects on marine living beings, they would not exceed the levels considered minimum to be non-toxic. And you know that and you're in those reports that tell me you're looking for it on the Internet, they're clearly there. Of course, I ask you today to put your hands on the work, to stop threatening that, if there is opposition to the spills in the mouth of the river, no more dredging will be done, no more threatening to do so. Its responsibility and obligation is to carry out all the dredgings that are needed, make them with guarantees, and, if the muds are contaminated, treat them and find a place to deposit them that is not polluting. That's your duty and that's what you have to get to work. [[Applause]] Its obligation is to guarantee an alternative to the mud that does not harm the productive sectors, ecosystems, the environment, the yellow rivers, in general, and the Arousa creek, in particular. [[Applause]]
ParlaMint-ES-GA_2019-06-26-DSPG122.u356	Finish.
ParlaMint-ES-GA_2019-06-26-DSPG122.u357	Less threats and more work, Mrs. Quintana.
ParlaMint-ES-GA_2019-06-26-DSPG122.u358	Thank you very much, Mrs. Prado. For the Government's reply, the sea councillor, Mrs. Quintana, has the floor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u359	Thank you, Mr. President. Ladies and gentlemen. Mrs. Prado, no escapism, no concealment, no threats, those words don't enter my language or my way of acting. You'll know what others were doing before I got to the Government, but, of course, that kind of performance doesn't go with me. [[Applause]] Look, I'm going to explain one thing, which you might know and you couldn't tell her here. And I ask him to adjust to the truth. Can you tell me, and can you explain to the entire sector of the Arousa River — which you know well — where they took the dreaches they did from 2006 to 2009 in the port of Baiona, in the port of Guarda, in the port of Bodion? Where did they take them? [[Murmurs.]] What tests did they do? [[Speak words that are not perceived.]] I suppose they have taken them, because they are included in the dossiers, to the point of view which is authorized in the area outside the Lower Rhine and which has been authorised since 1998 by CEDEX, which meets all the requirements laid down by the Community directives. And for you to tell me that I do things with the head and the foundation, I'll tell you that the project of dredging the Lérez River begins in 2011. In 2014, when all sediments had been characterized, there was a change in regulation and we had to start doing the project again from scratch, and it started again. And in 2017 it was exposed to the public, it was to public information. And there you have all the analytical results, where they say they don't even reach level A, which is the lowest level of contamination. That data you know, that data you know on the platform. Sixteen allegations were made to this project — none of them, of course, yours. But what I'm telling you is that today we can say that all the data being processed says that there is no contamination in those arids and that we strictly comply with the Community directives, with the CEDEX directives and with the rules that the Directorate-General for Sustainability of the Coast sets us up. We don't do anything that can harm the sector. Let's not alarm the sector. Let's not say that these funds are contaminated because they're not, and so they believe the analyses that have been made. And we have to comply with the directive that says what is extracted from the sea has to go back to the sea. And we're going to use as much area as we can to recover the seafood banks... Area, ma'am! [[Murmurs.]] It's not waste. [[Speak words that are not perceived.]] If it were waste, we'd have to get them out and treat them. It's about sand that may have different sizes. The big can be to use it to recover seafood banks — which is what will be done in this case, 221,000 square meters of seafood banks will recover. And the thinner area is the one that goes to the point of dumping that is authorized by CEDEX, a point where you have to follow up every five years. And the last follow-up to him was in 2016, which ensures that the point is still great to meet these kinds of materials that are being taken there. And please, what I'm asking you to do is make it clear to the sector, if you can't take the waste from the areas that are extracted...
ParlaMint-ES-GA_2019-06-26-DSPG122.u360	Finish. Thank you very much, Counselor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u361	...where would you throw them? Do you want more than four thousand trucks to travel around the center of Pontevedra carrying that material? [[Mrs. Prado Cores speaks words that are not perceived.]]
ParlaMint-ES-GA_2019-06-26-DSPG122.u362	Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u363	Do you want it like that? Well, I don't think that's a formula.
ParlaMint-ES-GA_2019-06-26-DSPG122.u364	Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u365	And I'm telling you, they're going to prohibit the port being able to be the docks of the boats.
ParlaMint-ES-GA_2019-06-26-DSPG122.u366	Thank you very much, Counselor.
ParlaMint-ES-GA_2019-06-26-DSPG122.u367	There you are and your conscience, but, of course, as long as I can, I will continue to work to defend my sector. Nothing else and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u368	Thank you very much. Let's move on to the next question. Question by D. Antón Sánchez García and D. Marcos Cal Ogango, from G.P. de In Marea, about the opinion of the Government of Greece regarding the benefits that will report to the neighborhood the deployment of the wind parks of Bustelo, Monte Toural and Campelo, in the municipalities of Carballo, Coristanco and Santa Comba
ParlaMint-ES-GA_2019-06-26-DSPG122.u369	Mr. Sánchez García has the floor to put the question.
