ParlaMint-FR_2019-11-28-O1087.u1	As the Government was not represented, the meeting was suspended.
ParlaMint-FR_2019-11-28-O1087.u218	Mrs Pascale Boyer has the floor.
ParlaMint-FR_2019-11-28-O1087.u219	Mr President, I ask for a suspension of the sitting.
ParlaMint-FR_2019-11-28-O1087.u220	The meeting was suspended.
ParlaMint-FR_2019-11-28-O1087.u221	The meeting was resumed. Mr Stéphane Little has the floor.
ParlaMint-FR_2019-11-28-O1087.u222	Without asking for a point of order, and although I feel outside the family, I would point out that it is not very elegant to ask for a suspension of sitting to complete the benches of the majority group in order to have a sufficient number of votes to counter the proposals of a group that is also part of the presidential majority.
ParlaMint-FR_2019-11-28-O1087.u223	We're not that twisted!
ParlaMint-FR_2019-11-28-O1087.u224	In addition, the Government has completely devitalized a bill that I had described as relatively modest in its intentions: despite its modest and concerted nature, it makes it, as we move forward in the examination of the articles, a skeleton. I would like to say two things about this amendment. The first is that, if we consider that the text is intended to regulate land prices, we cannot leave the services of the domains alone empowered to fix prices, for the simple reason that they are not a tool for regulating, but for indicating prices: the prices they give are calculated on the basis of what is found on the market. How can we both see and regulate the market? These two concepts are not compatible. Areas are not regulators; If we want the law to regulate the market, we need other tools. The second is that the private experts we are talking about will not be the street experts, but private experts accredited to the courts. I therefore think that this is an excellent suggestion, which corresponds to the spirit of the bill, which is to regulate the market – and not just to see it, otherwise the text would not make sense.
ParlaMint-FR_2019-11-28-O1087.u225	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-11-28-O1087.u226	I fully agree with my colleague Stéphane Peu. I would add that we regret the rejection earlier of our group's amendment proposing that SAFER and EPF should not only be the indicators of market prices, but also the instruments of the factory at a fair price. However, we are doing so in other areas of the law. The ability of the public authority to determine the equilibrium price of an operation on the basis of the common good would be a revelation, as it would allow communities to have a double view: the market price and the equilibrium price of the operation, manufactured by these establishments. If our amendment had been adopted, we would have accepted the proposed amendment that is now being made to us; Since this is not the case, we must condemn it.
ParlaMint-FR_2019-11-28-O1087.u227	Mr. Patrick Mignola has the floor.
ParlaMint-FR_2019-11-28-O1087.u228	I'd like to go back to the bottom of the subject. As Mr Peu has pointed out very well, it is important that third parties should be able to intervene in the course of the evaluations. Even if we have absolute confidence in the service of the domains, let us admit that it can in fact happen to feed land inflation itself, since it is obviously based on notarial statistics. To the extent that it is not without links with the communities or with the state, they should not also feed land speculation in France! As this parenthesis is closed, I turn to the Government's amendment. It is balanced since it organises an iteration or a possibility of substitution between the expertise of the fields and external expertise, which can be very useful. From this point of view, Mr Bazin's sub-amendment does not seem appropriate. It is not a question of considering that there must be only one opinion, that of the domain department, and that if there is no response from the department, one expert must be called in. This is the principle of iteration which must be sought in order to define the price of land. [[Applause on the benches of the MODEM group]] On the other hand, Marie-Noëlle Battistel's subamendment seems logical and even ethical to me. A land expert may not be financially interested in the operation on which he or she intervened. Our group will therefore support sub-amendment 58 but not Mr Bazin's 65. He will of course vote for the Government's amendment.
ParlaMint-FR_2019-11-28-O1087.u229	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u230	In the constructive spirit that characterized the preparation of this bill, I would like to point out that Article 6 bis was not initially included in the scope announced by the rapporteur. This provision is the result of an amendment tabled in committee, but its impact assessment is missing, and I wonder about its constitutionality. Expropriation, in particular, may be useful for the establishment of land reserves, with a view to a project that meets a need, a public utility. But I fear that the addition of the phrase "including when the acquisition does not have an emergency character" opens a door, opens the door too large. Will expropriation become possible in anticipation of a need that could be felt in fifty or a hundred years' time? How far can this lead us? I am not sure that Article 6a, as drafted, is appropriate. It would probably be appropriate to think about it and, in the meantime, to delete it.
ParlaMint-FR_2019-11-28-O1087.u231	He's right!
ParlaMint-FR_2019-11-28-O1087.u232	I have before me an amendment No 45 which is the subject of a sub-amendment No 64. Mr Paul Christophe has the floor to support the amendment.
ParlaMint-FR_2019-11-28-O1087.u233	It aims to clarify the articulation of the exchanges between the municipalities and the EPCI of which they are members. Thus, the housing and land observatories will have to provide the municipal council with the elements that will enable it to deliberate, in particular those relating to the possible gap between the objectives of housing construction included in the local housing programme – PLH – and the number of dwellings achieved. The Community Council will thus be able to incorporate the relevant elements in its annual deliberations on the implementation of the HPL.
ParlaMint-FR_2019-11-28-O1087.u234	I call Mr Thibault Bazin to support sub-amendment No. 64.
ParlaMint-FR_2019-11-28-O1087.u235	Once again, we were forced to table a sub-amendment, since the adoption of Amendment No 45 would bring down the following amendments. Amendment No 45, as drafted, raises the question of the freedom of municipalities and the charges imposed on them. My sub-amendment is intended to replace in the amendment the word "made" with the word "can". At a time when our local and regional authorities are demanding less administrative burden, this annual report should not be made mandatory for all the municipalities of the EPCI. It would be preferable to take into account the size of the communes in order not to impose inappropriate constraints on them all. Let us consider the case of a village of 100 inhabitants, whose PLH would not provide for the construction of any housing. His mayor would be required to put on the agenda every year a debate on these dwellings which are not built or whose construction is not planned. You can imagine the crazy nature of such a situation! Although an annual report may be useful in large or tense municipalities, where there are housing production targets, it would not be appropriate everywhere. In some intercommunalities, there are very small communes that do not demand these additional burdens.
ParlaMint-FR_2019-11-28-O1087.u236	All right!
ParlaMint-FR_2019-11-28-O1087.u237	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u238	Amendment No 45 by the UDI-Agir Group is welcome...
ParlaMint-FR_2019-11-28-O1087.u239	You co-signed it!
ParlaMint-FR_2019-11-28-O1087.u240	... since it is in line with what was foreseen by the committee which accepted it. It simplifies and organizes the flow of information between the PLH, the municipalities and the EPCI in a clearer way. Mr Bazin, the deliberations of the municipal council provided for in Amendment No 45 take place only when there is a housing and land observatory which is compulsory only in tense areas. I can't imagine that the small town of 100 inhabitants that you mentioned could be in a tense area. And if it is, it is that housing is an issue and, in this case, it should be mentioned in municipal council. I therefore express an unfavorable opinion on this sub-amendment.
ParlaMint-FR_2019-11-28-O1087.u241	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u242	The Government issued a wisdom opinion on Amendment No. 45. In my experience in this area, and contrary to the rapporteur's assertion, adding the obligation of a municipality's decision would not be a guarantee of greater fluidity while intercommunality would remain the ultimate decision-making factor. Nevertheless, I rely on the wisdom of the House on this matter. This opinion leads me to express an opinion which is unfavourable to the sub-amendment.
ParlaMint-FR_2019-11-28-O1087.u243	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u244	[[Smile]] Mr Minister, if your majority is overwhelmed by the minority group of the majority, it would be better to avoid the worst by adopting my sub-amendment, on which you could issue a favourable withdrawal notice! Mr rapporteur, I would ask you to take into account the case of the communities which have chosen, without being forced to do so, to set up HPLs and which have land observatories without being in a tense area. Since not all the articles of the bill are consistent with each other, the amendment would create an annual deliberative obligation for these communities. It doesn't make any sense. I would ask you to take this into account in order to provide for an obligation in tense areas, including for small communes, but not in all communities with a land observatory, because sometimes they exist in a relaxed area.
ParlaMint-FR_2019-11-28-O1087.u245	Mr Paul Christophe has the floor.
ParlaMint-FR_2019-11-28-O1087.u246	The rapporteur has made very clear points: today it is simply a matter of fluidising the provisions of Article 7, in order to better define the role of the community in the articulation of the arrangements. The diagram starts from the observatory, goes to the commune and finally to the intercommunality, which appreciates the situation. It is simply a question of respecting the role that the municipalities must play and not of dispossessing the stakes of the PLH.
ParlaMint-FR_2019-11-28-O1087.u247	Excellent!
ParlaMint-FR_2019-11-28-O1087.u248	On the whole of the bill, I have a request for a public vote before the Group of the Democratic and Related Movement. The vote is announced in the National Assembly.
ParlaMint-FR_2019-11-28-O1087.u249	I have before me a number of amendments to the additional article after Article 7. Mr Jean-Félix Acquaviva has the floor to support Amendment No. 22.
ParlaMint-FR_2019-11-28-O1087.u250	Members of the Libertés et Territoires Group could not deal with this proposal for a law aimed at reducing the cost of land and increasing the supply of housing accessible to the French without mentioning the case of areas in high tension, such as Corsica. This amendment proposes to identify and delimit areas within the local planning plan and under the definition of Corsica's development and sustainable development plan, in which social ownership, sustainable economic activities and social housing would be exclusive. This measure would respond to an increasing tension in Corsica, linked to the disproportionate share of secondary residences. These account for 37% of dwellings, compared with 8.9% in metropolitan France. In addition, one in five Corsicans lives below the poverty line and the median annual income in Corsica is around 18900 euros, compared with 20300 euros in metropolitan France. Finally, I would like to recall the information provided by the Observatory for Property and Real Estate Markets, set up by the Corsican community: in ten years, the cost of housing has increased twice as fast on the island as on the continent, with increases of 68% and 36% respectively. The cost of land increased four times faster than on the continent, with an increase of 138 per cent, compared to 64 per cent. Finally, the social housing rate is lower, at 10 per cent compared to 17 per cent. All these elements create an unprecedented social, economic and cultural divide in an island-mountain which, by its very nature, suffers from a situation of scarcity of land. There are fewer spaces available for urbanisation than in mainland France. The proposal to define these areas in LRPs, in conjunction with the PADDUC, aims to regulate this situation strongly, in favour of social ownership, social housing and permanent activities.
ParlaMint-FR_2019-11-28-O1087.u251	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u252	Indeed, Corsica is a tense area, in particular because it has large agglomerations, coastal areas and mountain areas: it is therefore in three ways that it is tense, and this subject needs to be addressed with precision. You are proposing to introduce restrictions on secondary residences. In law, such a provision is not a priori possible; It is in the tax field. In any event, and as we have already mentioned in committee, a residence may be secondary one day, principal on another day, and then become secondary later. It is impossible to qualify such a criterion. Finally, by going up this qualification to the PADDUC level, you place it at a level that is not the right one: it would rather be at the level of the LRP or the community issuing the building permit. The committee confirms its opinion against your amendment.
ParlaMint-FR_2019-11-28-O1087.u253	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u254	I remember very well our discussions on this subject during the discussion of the ELAN law. As the rapporteur has pointed out, several difficulties need to be overcome. One of them concerns the reference urban planning document: should it be the PADDUC or the PLU? We have already talked a lot about it, and I will not go back to it. The main difficulty raised by this institutional document is that one cannot be certain, when a building permit is deposited, that a residence declared to be a secondary residence will not become principal a few days later – and vice versa. This is why it is extremely difficult to limit secondary residences and to promote primary residences in certain territories. This can be done in the context of development projects, but prospectively, in the field. At the moment, we have not yet found the solution, fiscal or legislative, to prevent what you denounce. I understand your concern very well, but the amendment you are proposing will not solve this problem. The declaration of a dwelling as a secondary or principal residence may vary very quickly. In concrete terms, a person who absolutely wants to build a secondary residence could house his son, daughter, cousin or cousin there. This house would have a secondary residence use, but your amendment would be bypassed. I therefore call for the withdrawal of the amendment, which unfortunately does not provide a satisfactory solution. We must continue to work to find other solutions, including coercive ones.
ParlaMint-FR_2019-11-28-O1087.u255	Mr Jean-Félix Acquaviva has the floor.
ParlaMint-FR_2019-11-28-O1087.u256	First of all, I would like to remove a confusion. When I refer to the articulation between the PADDUC and the PLUs, I strictly fit into the current legislative framework: under my amendment, the PADDUC "defines criteria" to create the zones, while the PLUs "identify" and "demarcate" the zones. It is therefore not the PADDUC which grants the building permit, but the mayor or the president of the intercommunality in case of intercommunal PLU. I repeat, my amendment strictly respects the institutional framework and the law in force. Furthermore, Mr Minister, Mr rapporteur, you have raised a problem with regard to secondary residences and principal residences. On this subject, I was very amused by the debate that we have seen on the Airbnb rentals in Paris: all the candidates for the next election were there to discuss the issue of regulation and the possibility for the mayor to cap the rentals of the main residences at 60 nights instead of 120 nights a year, because of economic and tourist pressure reducing the number of permanent dwellings available and hindering the accession to the property. This debate therefore exists elsewhere than in Corsica, including for territories with special statutes such as Île-de-France. However, my amendment does not mention the number of secondary residences before or after the vote of the PADDUC, but the areas in which the new constructions would be exclusively intended for the social acquisition of property, under agreements, social housing or any economic activity outside the general distribution. This kind of project cannot come about spontaneously because we are in a very constrained situation of rarity of land and that, given the prices per square metre in France that I have quoted, real estate transactions will always be much more profitable than any social property acquisition or social housing project. If we cannot regulate through taxation – we have been denied tax provisions specific to secondary residences – or through spatial codification, it will be a dead end. In the impasse, I warn you, the feeling of dispossession will grow. And there'll be a reaction. I invite you to read my amendment well. You will see that it is entirely within the framework of the existing law. At one point, there is a need to address the problems that arise.
ParlaMint-FR_2019-11-28-O1087.u257	Mr Stéphane Little has the floor.
ParlaMint-FR_2019-11-28-O1087.u258	Quite frankly, after listening to Mr Acquaviva and reading the summary statement of his amendment, I find his arguments extremely convincing. How can we fail to take into account a particularity which our colleague has described very well, with high proportions of secondary residences and strong speculative pressure? It is necessary to return to the basis of the bill, which aims to regulate land prices and to allow the construction of affordable housing. In the present case, Amendment No 22 targets social ownership: it does not allow for speculation or the development of tourism, since social ownership is reserved exclusively for owner-occupiers, i.e. for people who will live in this housing all year round.
ParlaMint-FR_2019-11-28-O1087.u259	Of course!
ParlaMint-FR_2019-11-28-O1087.u260	[[Ms. Sylvia Pinel applauds]] The same applies to social housing, by definition. We see, therefore, that this amendment, which is very relevant, contributes to the objective of the bill, which aims to regulate land and direct housing production to more reasonable prices and to the public who need it most – in this case, the workers and the inhabitants of the island who wish to stay there and live there with dignity.
ParlaMint-FR_2019-11-28-O1087.u261	I call Mr Potier to support Amendment No. 17.
ParlaMint-FR_2019-11-28-O1087.u262	We want to take advantage of this bill, which is in line with the measures of the ALUR law on the public control of land, to clarify the provisions on the right of preemption exercised by the municipality and the EPCI. In fact, despite a few amendments adopted under the ALUR Act, things are not quite clear: it happens that, on a property likely to be preempted, a municipality blocks the purposes of an EPCI. I therefore submit to you a proposal of extreme clarity: in the interests of simplification and clarification of competences, when a property is linked to a competence assigned to the EPCI, it must be the responsibility of the EPCI to exercise the right of preemption. I had tabled the same amendment – but it fell – for the common goods without masters, often mobilized through intercommunal efforts, which fall back into the scarlet of a commune when they could help with an operation of vineyard plantations or land reorganization on the banks of a river, for example. In other words, the principle of a right of preemption that benefits the EPCI first if the good in question falls within the scope of its powers seems to me to be in the direction of modernity and exercise by the territories of the public authority.
ParlaMint-FR_2019-11-28-O1087.u263	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u264	Disadvantaged, to the extent that this amendment could lead to adverse competition between pre-emptive communities and other communities that may exercise a right of priority. We will no longer know who really has the right of preemption. Today, if necessary, he can be delegated.
ParlaMint-FR_2019-11-28-O1087.u265	Of course, but it is at the initiative of the commune!
ParlaMint-FR_2019-11-28-O1087.u266	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u267	Same opinion.
ParlaMint-FR_2019-11-28-O1087.u268	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-11-28-O1087.u269	I totally disagree with the rapporteur. The delegation of the right of preemption depends on the will of the municipality which holds it. Thus, a municipality can block a collective project involving a competence exercised by the EPCI: it is amazing! This really needs to be changed: the acquisition of property without master and the exercise of the right of preemption must be brought back to the Community level once an EPCI has adopted a decision on these strategic axes. You know as I do the reality of the field: we cannot rely on the will of the commune.
ParlaMint-FR_2019-11-28-O1087.u270	Mrs Laurianne Rossi has the floor to support Amendment No. 1.
ParlaMint-FR_2019-11-28-O1087.u271	This amendment, of which Ms. Sandra Marsaud is the first signatory, aims to strategically evolve the tools at the service of local habitat policies by creating a link between the LRP and the HLP. We note that many territories are not covered by an HLP or a HDP – a departmental habitat plan – which prevents us from having a coherent vision of their needs. However, the PDHs are mandatory documents under the Act of 13 July 2006 on national commitment to housing. That is why we propose a deadline for the establishment of an HDP, set on 1 January 2022. The signatories of this amendment see this as the key to a policy of spatial planning that is balanced between tense and relaxed sectors.
ParlaMint-FR_2019-11-28-O1087.u272	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u273	Article L. 302-11 of the Construction and Housing Code already provides that the PDHs must be put in place everywhere in France, for a period of six years. A priori, the amendment is therefore satisfied.
ParlaMint-FR_2019-11-28-O1087.u274	What is the Government's opinion?
ParlaMint-FR_2019-11-28-O1087.u275	Request for withdrawal or unfavorable notice, for the same reasons.
ParlaMint-FR_2019-11-28-O1087.u276	Mrs Laurianne Rossi has the floor.
ParlaMint-FR_2019-11-28-O1087.u277	Thank you, rapporteur, for that clarification. Indeed, HDPs are mandatory documents, but no deadlines have been set by law, so many territories do not have them. There is therefore an urgent need to deploy them everywhere. Mrs Marsaud has not left me any particular instructions, so I maintain the amendment.
ParlaMint-FR_2019-11-28-O1087.u278	The Minister has the floor to support Amendment No. 36 to delete Rule 8.
ParlaMint-FR_2019-11-28-O1087.u279	The purpose of this amendment is to remove the guarantee of the bill. Since the latter does not incur any new expenditure, I propose that section 8 be deleted. I am aware that the creation of the fund for the clean-up of wastelands, which could be financed by partners other than those whose social purpose it would be, is likely to have financial implications. That does not prevent me from proposing the deletion of Article 8, while drawing everyone's attention to the possible impact of Article 4, which we will have to discuss over and over again.
ParlaMint-FR_2019-11-28-O1087.u280	What is the opinion of the committee?
ParlaMint-FR_2019-11-28-O1087.u281	I welcome this deletion amendment, which demonstrates the Government's desire for the earliest possible implementation of the bill. I therefore call on all Members to vote on the amendment.
ParlaMint-FR_2019-11-28-O1087.u282	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u283	Minister, it is indeed desirable to raise the pledge – that is what happens when a proposal is considered until it is voted on. However, you said that this text did not create new expenses. This is not true: it creates new burdens, new obligations for the communities, which will inevitably lead to new expenditure, albeit modest, but which will still be able to represent, in some territories, a few thousand euros – this is not negligible. I understand that the government will not provide any funding to the communities that will assume these new burdens, while housing problems must concern us all. In Article 4, you ask Housing Action to manage a fund; This is not part of the objectives contained in the investment pact that you signed with the association, which has a lot to do elsewhere. It is also a matter of respecting the governance of this structure! You're going a long way. This raises a real question as to the need for additional funding for Housing Action by the State, which asks it to carry out additional tasks. Finally, if communities are allowed to buy land at a controlled price, it will also be necessary to raise funds. Indeed, the creation of land reserves as envisioned in Article 6 bis requires a great deal of money. Land porting is very expensive and the State must be able to make this equitable development throughout our country.
ParlaMint-FR_2019-11-28-O1087.u284	Mr. Patrick Mignola has the floor.
ParlaMint-FR_2019-11-28-O1087.u285	I do not resist the pleasure of stressing that our colleague Thibault Bazin is in line with the Government. I would remind him, however, that there are many mechanisms for creating land reserves, whether in state-owned public land establishments or in local public land establishments, which are also financed, in particular by development taxes and part of local taxation. Therefore, there is no need to commit additional funds. I would also like to respond to Mr. Minister's wink with regard to Article 4. The parliamentary shuttle should be started by considering this article as an urgent appeal from the national representation to move forward on the issue of wasteland. Housing action is certainly not the right vector. As the Minister suggested earlier, the Bank of the Territories could be mobilised, subject to funding and a timetable for the implementation of this funding. By second reading, let us ensure that the situation is clarified for the communities. [[Applause on the benches of the MODEM and UDI-Agir groups as well as on several benches of the LaREM group]] On behalf of the Group of the Democratic and Related Movement, I welcome the excellent work done not only by our colleague Jean-Luc Lagleize, but also on all the benches of national representation, in connection with the departments of the ministry and your cabinet, Mr Minister – all the measures imagined by the Members of the nation could not have been realized today without your help.
ParlaMint-FR_2019-11-28-O1087.u286	We have completed our review of the sections of the bill.
ParlaMint-FR_2019-11-28-O1087.u287	In explanation of vote, I call Mr Dominique Potier.
ParlaMint-FR_2019-11-28-O1087.u288	I once again welcome – I have already done so in the general discussion – the state of mind that prevails when considering the MODEM Group's bills,...
ParlaMint-FR_2019-11-28-O1087.u289	Too bad those of other groups do not get the same treatment!
ParlaMint-FR_2019-11-28-O1087.u290	... and especially during the discussion of this text by Jean-Luc Lagleize. I also welcome the expert work and proposals of our rapporteur. I regret that we have made more repleasures here and there than recasts, but meetings have been made with Minister Julien Denormandie, on various important issues, with a view to modernising public action and making it more fair and stronger in our territories. I take note of these meetings, with which the opposition may be associated, on the subjects we have discussed. A final look at the costs of land reserves and clean-up activities: yesterday, at the excellent symposium entitled "Share and protect the land – Advocacy for a new land law", held in Victor Hugo Hall, an academic quoted the work of Thomas Piketty. While land in the 18th century accounted for 20 per cent of the total value of market goods, today it represents only 1 per cent. It is therefore not impossible to socialize it, as we are doing with this bill: it is a matter of will. The stakes are crucial, both for the "power to live" and for the sharing of our commons, that is to say agricultural and natural land, which we will need terribly to solve the climate equation, as the Intergovernmental Panel on Climate Change – IPCC – once again recalled yesterday, in these walls, by presenting its special report on climate change and land. [[Applause on the banks of the MODEM group and on several benches of the LaREM group]] Thank you again for this work. The Socialist and Related Group will vote on this bill and we will meet you to deepen this topic and make public action fairer and stronger.
ParlaMint-FR_2019-11-28-O1087.u291	Mr Stéphane Little has the floor.
ParlaMint-FR_2019-11-28-O1087.u292	I said earlier, on the occasion of the general discussion, how much the Group of the Democratic and Republican Left appreciated the work as much as the method of the rapporteur Jean-Luc Lagleize; I do not hide, however, that I feel a certain disappointment at the end of this morning's sitting, as the Government's amendments and those of the majority group have detrigued an already very modest piece of legislation in view of the proposals in the report which Mr Lagleize has just submitted to the Prime Minister and which have not been taken up precisely in the hope of achieving a more limited but concrete step forward. I regret, for example, that the proposal for the return of property gains to the municipalities has not been accepted, even though this would have been a way to reverse the very bad decision of the Government to abolish the aid to mayors building, which is in addition to the abolition of the housing tax and the exemption from the property tax on properties built on social housing for twenty-five years. As a result, cities are no longer at all encouraged to build when our country is experiencing a housing crisis. I would also like to say that I do not understand the decision of the services of the sitting to oppose the inadmissibility of Article 40 of the Constitution to an amendment on the right of preemption which I had tabled with Mr Acquaviva and which the committee had considered admissible since it is not at all an expenditure but a request for the extension of the right of preemption of local authorities. It's absolutely abnormal. This bill, already limited in relation to the recommendations of Mr Lagleize's report, was at least concrete: after it was emptied of most of its substance in the sitting, something very minimal was achieved. That is why, when I said in committee that I would vote for the bill, I find myself unable to approve a text reduced to the congruous portion because it has been abused by the Government and the majority, and now too minimal to have my consent.
ParlaMint-FR_2019-11-28-O1087.u293	Mrs Pascale Boyer has the floor.
ParlaMint-FR_2019-11-28-O1087.u294	Our discussions have been very constructive and the text responds to expectations in the area of housing. It provides tools to combat land speculation and must allow for the purchase of housing under acceptable financial conditions. It also provides real support to local and regional authorities. The Group of the European People's Party wishes to acknowledge all the work that has been done by our colleague and the MODEM Group, as well as by the Minister and his cabinet. We hope, however, that we will be able to return to Article 4 during the parliamentary shuttle, because the Housing Action tool does not seem to us to be suitable for financing a wasteland clean-up fund which is not part of its tasks, as its representatives had told us during our hearings. In any event, the members of the working group will vote in favour of this bill.
ParlaMint-FR_2019-11-28-O1087.u295	Mrs Sylvia Pinel has the floor.
ParlaMint-FR_2019-11-28-O1087.u296	The Libertés et Territoires Group regrets the turn taken by our debates this morning, when the rapporteur, as part of the mission entrusted to him by the Government, had done an excellent job and proposed many very concrete solutions to combat real estate speculation and reduce land costs, which are recurrent and extremely worrying for many territories. While the bill did not fully reflect the recommendations of the report, some of them taxed, while others were not sufficiently refined, it included particularly effective and relevant complementary provisions. That is why we were able to say in committee that our group agreed to these provisions. This morning, however, the amendments of the majority group and those of the Government weakened the text by emptying it from its substance. I am thinking of Article 1 or Article 5, for example, which, ladies and gentlemen, met with a strong expectation from the elected representatives of our territories.
ParlaMint-FR_2019-11-28-O1087.u297	That's right!
ParlaMint-FR_2019-11-28-O1087.u298	With regard to Article 4, the financing of clean-up of waste land by Housing Action was perhaps not the best solution, but as we know, the shuttle will allow us to improve this mechanism. While the rapporteur's work had made it possible to enhance the role of Parliament, I consider this to be in contradiction with what had been achieved. Finally, Mr Minister, my colleagues in Corsica would be angry if I did not say that the very particular situation in this territory deserved a special solution. I have heard your commitment to work with the elected representatives and the community of Corsica on this issue and I urge you to do so: there is an urgent need and the elected representatives of Corsica are waiting for action rather than words on this issue. [[Applause on the benches of the LT group]] For these reasons, our group will, regrettably, abstain from this bill.
ParlaMint-FR_2019-11-28-O1087.u299	Mr Paul Christophe has the floor.
ParlaMint-FR_2019-11-28-O1087.u300	I, too, would like to welcome the work of our rapporteur and this bill. We can indeed welcome the progress made in this text with regard to a social issue which concerns us all and concerns many of our fellow citizens. However, I also regret that the original text, which had, however, gained a broad consensus in committee, is weakened by the amendments of the majority and the Government. It is not, of course, a matter of hearing a trial before the hour, minister, but of expressing concern about our ability to legislate again in a particularly busy timetable, when the parliamentary shuttle would probably have been enough. That said, Minister, you have committed yourself to the strong expectations that remain. We will therefore pay attention to the simplification measures you announced during the general discussion. They are of importance and of course expected. Since the IUD Group, acting and independent, has always supported simplification measures in the area of housing, this support obviously applies to this text proposed by the MODEM Group.
ParlaMint-FR_2019-11-28-O1087.u301	All right!
ParlaMint-FR_2019-11-28-O1087.u302	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u303	The Republicans Group could only share the objectives of this bill: to limit the cost of land, to facilitate and to strengthen the supply of affordable housing, but the various arrangements that were finally voted on proved to be insufficient, despite some interesting avenues. The resulting text is a reflection of the policy that you are leading: it forgets the reality of a number of territories in France. This is a real problem: there is still no planning policy that can strengthen the attractiveness of our territories that need it. You are creating new burdens for some communities, which is also a real problem. [[Applause on the benches of the LR group]] In view of the real objective, which would be to solve the demand, decisions such as the abolition of the LPA accession or the double division of the zero-rate loan quota for more than 90% of the territory raise questions. You have a problem with property and ownership. It is time to change politics and allow the French to realize this dream. That is why we will abstain from this bill.
ParlaMint-FR_2019-11-28-O1087.u304	I put the whole bill to the vote.
ParlaMint-FR_2019-11-28-O1087.u305	The result of the vote is as follows: Number of voters 90 Number of votes cast 80 Absolute majority 41 For adoption 80 Against 0
ParlaMint-FR_2019-11-28-O1087.u306	The Minister has the floor.
ParlaMint-FR_2019-11-28-O1087.u307	[[Applause on the benches of the LaREM group]] First of all, I would like to thank all the Members present here, and especially the rapporteur, for all the work he has been doing on this subject for several months. Contrary to what some might have said, this text really goes in the right direction, even if it can be judged that it does not go far enough on this or that point. When, as Article 1 does, we put an end to the auction with the guarantee that we can go all the way to the end, I think it goes deeply in the right direction without falling back in any way in view of the original ambition. These famous OFLs that you voted for will be a date as the OFS did in their time. We can always judge that we need to go even faster and that the order is not necessarily the best means, but what is certain is that we took four years to create the OFS. That we have a vector that allows us to set up the LFOs as quickly as possible, I think it is a huge step forward. With regard to the consultation of the areas, I also have the impression that you have provided important answers this morning. [[Applause on the benches of the LaREM group]] We can always find that things are not going far enough or fast enough, but I believe that if everything that has been voted on is implemented very quickly, it will mean a lot of significant changes for many territories and I would like to thank you very warmly.
ParlaMint-FR_2019-11-28-O1087.u308	The next item is the debate on the proposal for a law by Mr Cyrille Isaac-Sibille and several of his colleagues to respond to the demand of patients through the creation of points of reception for immediate care (No. 2226, 2428).
ParlaMint-FR_2019-11-28-O1087.u309	Mr Cyrille Isaac-Sibille, rapporteur of the Committee on Social Affairs, has the floor.
ParlaMint-FR_2019-11-28-O1087.u310	Mr President, the Secretary of State to the Minister for Solidarity and Health, ladies and gentlemen, today we are considering the bill that I have the honour to defend on behalf of the MODEM Group, which aims to respond to the demand of patients through the creation of reception points for immediate care, the SIAPs. If, when you leave our Chamber, you fall down the stairs – which I do not wish you to do – and this fall causes an ankle pain preventing you from walking, or a bloody wound at the forehead or elbow, what are you going to do?
ParlaMint-FR_2019-11-28-O1087.u311	[[Smile]] Get me shot!
