ParlaMint-FR_2019-03-05-O1164.u1	Like all Vice-Presidents, I preside over the meetings of our Assembly every week.
ParlaMint-FR_2019-03-05-O1164.u417	Family policy is an essential pillar of our Republic, which is based on three levers: monetary benefits, such as family allowances; tax schemes such as the family quotient; public services, such as young children's facilities. All pursue a variety of objectives: the fight against family poverty; better reconciliation between work and family life; support for the birth. It must be noted, however, that none of these three main objectives is fully achieved, first and foremost, the fight against child poverty. This is simply unacceptable, knowing that one in five children lives below the poverty line; The aim of the National Strategy for the Prevention and Combating of Poverty is to address this issue. Within the framework of the great national debate, this subject of the great poverty of families is systematically recurred. Whether they are pensioners, workers or job seekers, many report difficulties in providing for themselves and for their children or grandchildren. Among them, I want to highlight the singularity of single-parent families: 40 per cent of them live below the poverty line and situations become even more complicated when children reach the age of six. A proposal is constantly coming back in the context of the great national debate: the allocation of family allowances from the first child. This was one of the proposals I had made as part of a family policy fact-finding mission. In the course of its work, the Court of Auditors notes, moreover, that "France is characterised by a clear ressalt of the prevalence of poverty for families with only one child. In other words, and almost paradoxically, a family with a child is more vulnerable to poverty than a family with two children. Based on the assumption that it would remain at a constant level, the cost of this measure could be estimated at EUR 2.5 billion. I would therefore like to know, Madam Secretary of State, your opinion on this proposal for family allowances from the first child.
ParlaMint-FR_2019-03-05-O1164.u418	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u419	The subject you raise has been debated in the public sphere. Historically, allowances are granted from the second child in order to encourage birth. However, families with only one child have not been abandoned, especially modest families, since other benefits are dedicated to them: the basic allowance of the PJE, the young child's allowance, up to the child's three years of age; the birth premium; the allowance for the return to school; the addition of free choice of the mode of custody; parental leave; Family support allowance for single parents. In short, single-parent families are not forgotten and families with one child are even less. I am therefore convinced that allowances should not be made to the first child as a symbol. Moreover, the cost of such a measure is far from negligible, as it amounts to billions. You propose to finance it through the reform of the family quotient: however, the family quotient is by its very nature an integral part of the tax standard and the contribution to the tax. This would be potentially sensitive while the support for the most affluent families was revised downwards, particularly in 2015 with the modulation of family allowances. I would also point out that the first-child allowance only for single-parent families poses a problem of equity and a legal problem, since this benefit constitutes a right relating to the child. The main question we have to ask ourselves is: should we first of all change public funds? I hear a lot of questions about custody, separation routes, unpaid maintenance – I talked about it when I mentioned ARIPA a little earlier. We should make choices and ask ourselves what families need most.
ParlaMint-FR_2019-03-05-O1164.u420	Mrs Stella Dupont has the floor.
ParlaMint-FR_2019-03-05-O1164.u421	Family policies in our country are aimed at all families. However, their scope takes on a particular meaning for certain devices adapted to precarious families. The strategy for preventing and combating poverty includes three flagship measures in this area: first, the creation of a third party paying for child care costs – you mentioned earlier an implementation for the second half of 2019 – which will allow families in difficulty to no longer have to advance these amounts of child care costs. Such a measure will promote access to employment for parents and secure childcare facilities or childcare facilities. The second proposal concerns the "Breakfast for All" scheme: 15% of disadvantaged children do not have breakfast in the morning. It is therefore a question of giving everyone the opportunity to start a good school day. The third measure aims to encourage social pricing in the canteens of municipalities with less than 10000 inhabitants.
ParlaMint-FR_2019-03-05-O1164.u422	Who will pay?
ParlaMint-FR_2019-03-05-O1164.u423	On the other hand, the 30% increase in the amount of the free choice supplement for single-parent families has been effective since October 2018. One in three single-parent families is in a precarious situation. Recent testimonies, especially of women, on roundabouts, especially on Chemillé commune, illustrate the dire needs in this area. These four measures are in the right direction to promote the equality of children in school, but also to enable parents, and especially mothers, to have easier access to employment by facilitating access to childcare. As Special Rapporteur on the Solidarity, Integration and Equal Opportunities budget, I would like to know, Madam Secretary of State, the timing of these measures and the number of additional beneficiaries raised, if the measure is already implemented, or estimated, if not yet, and the level of additional expenditure generated or estimated.
ParlaMint-FR_2019-03-05-O1164.u424	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u425	The main objective of the poverty prevention and reduction strategy is to prevent poor children from becoming poor adults. That is why we are putting in place measures aimed at equal opportunities from the first step, to break the reproduction of poverty while 3 million children live in poverty. The planned investment amounts to €1.2 billion – I am talking about social investment, not spending. The measures you mentioned are in the process of being deployed. The free choice of care supplement was increased by 30 per cent for single-parent families in October, and will be increased under the same conditions for families with children with disabilities as of November. The third party paying for personal care will be a real step forward for families, especially the most vulnerable, as it will prevent them from making the cash advance of the aid paid. It will be in place by the end of the first half of 2019. Social pricing of canteens in primary schools in municipalities with less than 10000 inhabitants, especially rural ones, will be implemented from the start of the 2019 school year. The deliberations of the municipalities are under way for an application as from 1 September 2019. Breakfasts at the school in REP plus and in the neighbourhoods of the city's politics are organized from the beginning of February in the pioneer territories, for a launch in all the academies at the beginning of September. The measures announced are therefore being implemented, as are the ways out of poverty.
ParlaMint-FR_2019-03-05-O1164.u426	Mr Yves Daniel has the floor.
ParlaMint-FR_2019-03-05-O1164.u427	French family policy is considered more generous than in other countries. According to the OECD, France spent 3.7% of its GDP in 2015, compared with an average of 2.8% in the European Union and 2.4% in OECD countries. In an ageing Europe with a breathtaking demographics, France is an exception: despite a declining rate since 2015, it remains Europe's champion of fertility and also has an excellent employment rate for women. An ambitious universal policy through family allowances, horizontal through the family quotient and vertical to better distribute the tax burden among families, it tends to favour the most vulnerable. The primary objective is that children from all walks of life enjoy the same opportunities throughout their journey. However, the figures show that this socio-fiscal system helps families in the middle classes less than those in the upper classes. The sum of the tax reduction and financial benefits received for a child is lower for the 10 per cent of households with the lowest incomes, stable for the middle classes, but increases sharply for the richest 10 per cent. Finally, despite an ambitious family policy, it is always the most affluent who have the most opportunities for success. Are our family policy mechanisms not discriminatory? Let us bear in mind that children, whose future success is the objective of our family policy, must not suffer from a more fragile family and social situation. Their situation must be at least average. There is then a need to consider a level playing field between households on the basis of their income, a real measure of social justice that would effectively ensure equity rather than equal opportunities for all children, starting with the creation of the best conditions for parenting. In this context, how can we thoroughly and comprehensively reshape our family policy arrangements to move from an equality system to a system of equity?
ParlaMint-FR_2019-03-05-O1164.u428	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u429	In your opinion, Mr. Member, the richest families would be the most favoured by family policies. On the contrary, family benefits provide substantial financial support to modest households and make a redistribution of well-off households to disadvantaged households. This is called vertical redistribution. Thus, benefits account for 11 per cent of the income of poor households, 6 per cent of the income of modest households, compared with 2 per cent for all households. The poorest 30 per cent receive about half of the family benefits. This is due on the one hand to the over-representation of large or single-parent families among modest households, on the other hand to the modulation of the amount of certain benefits according to the level of resources. Benefits play an important role in reducing child poverty. Moreover, as you recalled, the strategy for preventing and combating poverty aims to strengthen equity in order to ensure equal opportunities from the very beginning, to break down the reproduction of poverty. There are inequalities that need to be addressed. Only 5 per cent of underprivileged children are placed in crèches, compared with 22 per cent of the most favoured families. The financing of crèche places will promote the access of the most modest to this mode of care. As part of the strategy to prevent and combat poverty, we have put in place a territorial bonus that will vary the participation of the CAF according to the fiscal potential of the municipalities, or their ranking if they are in QPV – a priority area of the city's policy. A social mix bonus will promote access to the crèches of the most modest children. Finally, 300 crèches for vocational integration will be created by 2020. I present you here only the mode of collective custody, not to mention all the measures for families who wish to have access to individual modes of custody. Other measures of the poverty prevention and reduction strategy aim to promote equal opportunities, such as the training plan for 600,000 early childhood professionals, in order to promote child development and language learning prior to entry into kindergarten, or the establishment of 300 social centres in priority territories.
ParlaMint-FR_2019-03-05-O1164.u430	Mrs Marie Tamarelle-Verhaeghe has the floor.
ParlaMint-FR_2019-03-05-O1164.u431	Family policy in France is historically largely built on social benefits. The nation's social effort towards families and children accounts for about 4% of GDP; It is above the average of other European countries. We have further strengthened this national effort, in particular through measures to supplement childcare or maternity leave for women farmers and self-employed women. In addition to the benefits, a policy of support for parenthood has developed over the last 20 years, according to social, educational and preventive logics. It is a tremendous lever for preventing social risks. In this respect, we must not only think in terms of detection or care, but also in terms of prevention: prevention of family breakdowns, child and adolescent-specific health problems, sectarian drifts or school drop-out. The 2018-2022 National Parenthood Support Strategy, entitled "Draw Me a Parent", tries to provide initial answers, but it is known that there are still strong issues, including territorial inequalities in access to parental support, accessibility and information about the resources available to parents, and the sustainability of funding for the structures put in place. Therefore, our parent support policy should be made more readable, visible and accessible. The many existing mechanisms should be evaluated, communities should be encouraged to seize them and their funding should be sustained. How does the Government intend to address the remaining issues in order to fully develop support for the family and parenthood? Can you tell us where the strategy presented in July 2018 is being put in place?
ParlaMint-FR_2019-03-05-O1164.u432	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u433	Parental support policies are a priority of family policy. Even in families that could be described as happy, parents do not escape growing stress as to their ability to be good parents. It's hard to be a parent – I know what I'm talking about, today maybe more than yesterday. More than two out of five parents find it difficult to exercise their role. To support families in the exercise of their responsibilities while respecting their way of being and living as parents, in July 2018 we launched the first parenting support strategy, which you recalled the main lines. It makes the State the guarantor of the coherence and effectiveness of public policy and private initiatives in this area. One of the main objectives is to make the parental support offer more visible, readable and reliable. The operational deployment of this strategy is carried out in conjunction with the relevant actors, including local and regional authorities, the family sector and associations. The action plan for the second quarter 2019 and first concrete measures are being implemented now. The means of the family branch allocated to support parenthood in the 2018-2022 management and goal agreement have increased by 33% on the quinquennium, reflecting the priority of this policy, particularly in the context of preventing adolescent breakdowns. These services are very much expected by families, but they are also a tool for prevention and a policy of social investment in children and youth.
ParlaMint-FR_2019-03-05-O1164.u434	We come to the questions of the Republican Group. Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-03-05-O1164.u435	My question concerns reception solutions for 0-3 years old. Indeed, there is a sharp decline in supply. Following the reform of the previous government, the number of beneficiaries of parental leave decreased by 213250 between 2012 and 2017, according to the figures in the Social Security Accounts for 2018. If we analyze the custody mode figures by custody mode, in 2018 there are no fewer than 180,000 reception solutions for families. This decrease in childcare provision is particularly unfair to mothers. When families do not find the kind of care they need, it is most often mothers who give up their jobs. Since 2016, INSEE has reported a decline – minus one point – in the participation rate of women aged 25 to 49. Faced with a lack of childcare, some women choose not to have an additional child, leading to a decline in the birth rate. Another party renounces his employment, with conventional breaks or unrenewed acting. I would also like to ask you about the effectiveness of the offer of custody. The "any day care" policy is particularly expensive, as it is the most expensive mode of care for public finances and communities. Your policy removes less expensive modes of custody, yet the territory is in good shape. This is particularly the case for kindergarten assistants. [[Applause on the benches of the LR group]] How do you plan to diversify childcare to meet the expectations of all families and ensure that the needs claimed by women are effectively recognized, with a satisfactory offer?
ParlaMint-FR_2019-03-05-O1164.u436	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u437	Mr President, you are talking about the conditions under which local politicians are guarded. Let me give you two figures: from 2013 to 2017, more than 30,000 nursery places were created and worn by local authorities. As part of the strategy for 2018-2022, we have more than 30,000 nurseries and 300 nurseries with a vocation of professional integration to label in order to address the problem of the mode of care and to reconcile family and working life. As part of the strategy, we also have the funding of 1000 full-time equivalents for maternal assistants so as to promote either collective reception or individual reception. The paying third party, set up at the end of the first half of 2019, will allow families to have this choice and avoid those who prefer the individual reception to make the advance of fees regarding the supplement to the mode of custody. The latter will be increased by 30 per cent for single-parent families, and will also be increased for families with children with disabilities. In addition, the terms of the parental leave allowance were remodelled in 2015, and the duration of the payment led to a break from the child's two years of age. A study of IGAS is under way; It will allow us to ask the right questions about parental leave. To enable the family to reconcile work and family life is an important issue.
ParlaMint-FR_2019-03-05-O1164.u438	You're not answering the question, Madam Secretary of State!
ParlaMint-FR_2019-03-05-O1164.u439	Mrs Valérie Boyer has the floor.
ParlaMint-FR_2019-03-05-O1164.u440	It is a pity that this question-session is not a real debate. I would like to stress that family policy in France is an essential lever of our public policies. This policy supports the dynamism of our economy and also contributes to the sustainability of our distributed pension system. France is thus one of the countries in the world where the participation rate of women has been highest without penalising the birth rate – at least until now. However, as you know, according to INSEE's 2017 annual balance sheet, France's natural balance has been the lowest in half a century. The drop in the fertility rate to 1.88 children per woman is a warning point for the balance of our distributed pension system.
ParlaMint-FR_2019-03-05-O1164.u441	You're attacking the family!
ParlaMint-FR_2019-03-05-O1164.u442	Even more serious, as we all know, there is no worse signal than a society that does not renew itself. Let's remember, no specialist excludes the possibility that the various attacks against families have contributed to the continuous decline of births. The policy that has been in place since 2012 has challenged the foundations of our family policy. Lowering the family quotient ceiling has penalized families, especially those with multiple children and those who work. Above all, the very nature of family policy has been called into question by the conditionalization of family allowances. Thus, families have borne the burden of the few savings achieved since 2012. Family policy can no longer be the adjustment variable of our social policies.
ParlaMint-FR_2019-03-05-O1164.u443	All right!
ParlaMint-FR_2019-03-05-O1164.u444	In terms of family policy, I must say that our President Emmanuel Macron is in line with his predecessor, to the point of unfortunately appearing as the spiritual son of François Hollande. After the decrease in the amount and number of beneficiaries of the early childhood care benefit, should we fear further attacks on families? If many women were on the roundabouts with their yellow vests, it's because they work but can't get away with it. They no longer want to be forced to choose between work and children. These are the questions that French women are asking themselves today! While France reached a historic record of compulsory levies in 2017, Emmanuel Macron has increased the tax burden on the French: more than 4.5 billion euros of compulsory levies on households in 2018 – without the fact that the debt is falling! As the government to which you belong has not made any savings, it is obliged to take back with one hand what it has pretended to give with the other. The big debate gives rise to very worrying prospects:...
ParlaMint-FR_2019-03-05-O1164.u445	Of course!
ParlaMint-FR_2019-03-05-O1164.u446	... taxation of the surplus value resulting from the sale of the principal residence – a measure that would impact many families –, removal of family allowances from the most affluent households...
ParlaMint-FR_2019-03-05-O1164.u447	Please conclude.
ParlaMint-FR_2019-03-05-O1164.u448	...which would break the so fruitful social pact of 1945, which you know. Not having the courage to make real savings, expedients in impostures, impostures in tax increases, the left incarnate today...
ParlaMint-FR_2019-03-05-O1164.u449	Thank you.
ParlaMint-FR_2019-03-05-O1164.u450	...I finish, Mr. President... incarnated by The Republic on the move, taken without notice, always has this quasi-Pavlovian reflex: declare war on the families and present them with the bill of its mismanagement of our public accounts.
ParlaMint-FR_2019-03-05-O1164.u451	Thank you. I now ask you to ask your question.
ParlaMint-FR_2019-03-05-O1164.u452	Are you going to take specific measures to ensure that French women do not have to choose between working and having children? How will you help families who have the courage to raise their children while working? Today, it is no longer possible to have a family policy...
ParlaMint-FR_2019-03-05-O1164.u453	Thank you.
ParlaMint-FR_2019-03-05-O1164.u454	The French are the ones who work the most in the world!
ParlaMint-FR_2019-03-05-O1164.u455	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u456	The birth rate is declining: 2018 is the fourth consecutive year of decline in the number of births...
ParlaMint-FR_2019-03-05-O1164.u457	It's no coincidence!
ParlaMint-FR_2019-03-05-O1164.u458	...even if this decline slows down. This overall decline in the birth rate reflects two realities. On the one hand, the decrease in the number of women of childbearing age due to the slowdown in births in the previous generation – these are the figures, and this is a reality; On the other hand, it illustrates the decline in fertility among women currently of childbearing age. The fertility rate has been declining for the past four years and now stands at 1.88 children per woman. Nevertheless, France remains the country with the highest fertility rate in Europe. A number of factors can explain this development: the late marriage, as evidenced by, for example, the age of marriage, which has been growing steadily for more than twenty years; the average age of maternity continues to grow steadily: it rises to 30 years in 2018 compared to 29 years 10 years earlier; fertility among women under 35 years of age has been declining continuously since 2011. It is not a question of custody, it is a question of the evolution of society.
ParlaMint-FR_2019-03-05-O1164.u459	No, ma'am, that's not true!
ParlaMint-FR_2019-03-05-O1164.u460	This is not a recent development!
ParlaMint-FR_2019-03-05-O1164.u461	Please...
ParlaMint-FR_2019-03-05-O1164.u462	Moreover, we provide answers through the free choice of the mode of custody, the creation of 30000 additional places in nurseries or child care assistants, so that all families can have access to a mode of custody. Childcare assistance is a central focus of our family policy. The family branch of Social Security supports all families, regardless of their income and regardless of the mode of care and reception. With regard to individual care, families benefit from the free choice of the child's mode of care up to the child's six years of age, as well as from a tax credit.
ParlaMint-FR_2019-03-05-O1164.u463	It's not enough to help working women!
ParlaMint-FR_2019-03-05-O1164.u464	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-03-05-O1164.u465	Many questions have already been asked, and probably mine will cross them a little bit, but that will allow you to clarify things. On February 18, 2019, you met a hundred women in Amiens who are raising their children alone. Many of us are well aware of the difficulties faced by these single-parent families in raising their children and, at the same time, providing for daily living or finding employment, while at the same time having the necessary means to ensure that their children are cared for. Yes, Madam Secretary of State, these families must of course be helped and be able to benefit from the social budgets and social policies put in place in our country. I continue to say this, however, and it is undoubtedly a profound difference of conviction between us: this effort for single-parent families must not be at the expense of family policy, which has been proven for many years by allowing our country to benefit from a high birth rate; a policy that ensures that the family is justly compensated for the arrival of a child in a home in relation to a family that does not have one; Finally, a family policy which must evolve and adapt to new lifestyles in order to enable parents, through appropriate childcare methods, to better reconcile family and working life. Yes, this conviction is deeply rooted in us: the family is a wealth for our country. Unfortunately, for now seven years, budget after budget, our family policy has been systematically attacked by successive governments...
ParlaMint-FR_2019-03-05-O1164.u466	She's shrinking like a pain in the ass!
ParlaMint-FR_2019-03-05-O1164.u467	...and continues to be questioned. In Amiens, on 18 February, you yourself mentioned the possibility for some families to give up their family allowances, thus de facto signing the end of the universality of family allowances, which had already been badly damaged by the socialist government and then by the one to which you belong.
ParlaMint-FR_2019-03-05-O1164.u468	It's a shame!
ParlaMint-FR_2019-03-05-O1164.u469	This is outrageous!
ParlaMint-FR_2019-03-05-O1164.u470	The families of our country need clarity: they can no longer accept that family policy is always called into question.
ParlaMint-FR_2019-03-05-O1164.u471	That's not the adjustment variable!
ParlaMint-FR_2019-03-05-O1164.u472	[[Applause on several benches in the LR group]] So I have two questions for you. Are you considering ending the universality of family allowances? Do you intend to reform or simply remove the family quotient?
ParlaMint-FR_2019-03-05-O1164.u473	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u474	I will recall a few answers which I have already had the opportunity to make with regard to the universality of family allowances. This issue has been debated since 2015 – since it was reopened, under the previous legislature, by the modulation of allocations according to resources. This debate is open, public, and this issue is also discussed in the context of the major debate.
ParlaMint-FR_2019-03-05-O1164.u475	So what is the Government's policy?
ParlaMint-FR_2019-03-05-O1164.u476	Let me continue. The Government did not wish to return to this extremely sensitive subject: the universality of family benefits is a right, it is a political will, it is a policy...
ParlaMint-FR_2019-03-05-O1164.u477	Well done!
ParlaMint-FR_2019-03-05-O1164.u478	It's like a pain in the ass!
ParlaMint-FR_2019-03-05-O1164.u479	...and there is absolutely no question of returning to it. However, if the question arises in the context of the great debate, we will have to answer our choice to the French: do not go back to the universality of family-related policy. As far as single-parent families are concerned, let me add one essential point. They must be accompanied and informed about their rights in order to avoid the disruptions and financial difficulties they find themselves in when a declaration or change of situation occurs. This is what is being experimented with the accompanying journey set up by the family allowance funds in five territories; We are working on its evolution with a view to generalisation. These families will thus benefit from real information about their rights – whether or not they are beneficiaries – to new rights, maintenance, and support in the context of parenthood, an important subject of family policy beyond monetary benefit.
ParlaMint-FR_2019-03-05-O1164.u480	Mr Fabrice Brun has the floor.
ParlaMint-FR_2019-03-05-O1164.u481	I would like to return to the issue of family allowances already raised by my colleagues. Under the previous majority, the Social Security Financing Act for 2015 undermined the principle of universality of family allowances resulting from the programme of the National Council of Resistance.
ParlaMint-FR_2019-03-05-O1164.u482	That's right.
ParlaMint-FR_2019-03-05-O1164.u483	This measure in 2015 followed the double lowering of the family quotient ceiling in 2013 and 2014. The French are now paying for the broken pots of this anti-family policy, which no longer sees the child as a wealth: it is no stranger to the decrease in the number of births in our country. In the context of the major debate, you have announced that you want to reform the family allowances again.
ParlaMint-FR_2019-03-05-O1164.u484	Not at all!
ParlaMint-FR_2019-03-05-O1164.u485	Can you tell us more about your intentions? Are you considering going back to the reduction in the maximum tax benefit resulting from the application of the family quotient?
ParlaMint-FR_2019-03-05-O1164.u486	All right!
ParlaMint-FR_2019-03-05-O1164.u487	I would like to take this opportunity to ask you about a second problem. I recently met with kindergarten assistants in my constituency who work in maternal assistant houses – MAM. The Social Action and Family Code limits their number to four per MAM. However, according to an answer to a written question published in the Official Journal on 11 October 2016, this number can be increased to five to ensure a one-time replacement...
ParlaMint-FR_2019-03-05-O1164.u488	Yes.
ParlaMint-FR_2019-03-05-O1164.u489	[[Applause on several benches in the LR group]] ... in the case of sick leave or maternity leave, but this provision is not uniformly applied in all departments. The IMP of the Ardèche, for example, does not apply. I would therefore like to know whether you are going to update the MAM guide – it would be time, as it was announced several months ago – and whether you will take the opportunity to clarify the question of the delegation to the day as well.
ParlaMint-FR_2019-03-05-O1164.u490	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u491	We need a precise answer!
ParlaMint-FR_2019-03-05-O1164.u492	I will make some further clarifications. Our family policy aims to serve all families, and at the same time to pay particular attention to the smallest of them in order to reduce inequalities. I would also like to point out that our family policy is not limited to a monetary approach based solely on benefits: it is also a policy of services, of accompanying families on a daily basis. We see this well with the evolution of the CAF, which were still a service of distribution of benefits a few years ago and which become a public service that offers information and accompaniment to all families, including, more specifically, single-parent families. We must respond to these families, to all families! I repeat: no reform of family policies is under way. We question ourselves in the context of the great debate, and the question that dominates is: should we be entitled to family allowances from the first child for single-parent families? We simply say that this would cost several billion euros and that a legal risk may arise if these families are the only beneficiaries.
ParlaMint-FR_2019-03-05-O1164.u493	It's not family policy anymore, it's redistribution!
ParlaMint-FR_2019-03-05-O1164.u494	On the other hand, we will not raise the question of the reform of the family quotient, which would raise the question of the nature of this quotient, in relation to the tax standard. With regard to the MAMs, we have asked Michèle Peyron for a report on the MIP, which will be given to us in the coming weeks. It takes into account the issue of maternal and child protection as a whole – including, therefore, the subject of MAMs. We will provide answers to that question.
ParlaMint-FR_2019-03-05-O1164.u495	We come to the questions of the Group of the Democratic and Related Movement. Mrs Sarah El Haïry has the floor.
ParlaMint-FR_2019-03-05-O1164.u496	My question relates to a system that is on the line between family policy and pension: this is obviously the minimum 10% increase in the amount of child pensions granted to both mothers and fathers with at least three children. While this increase, created to provide some kind of financial compensation to parents – mothers, in general, who interrupt their work to care for their large family – is commendable and even necessary, the scheme is designed in such a way that it benefits fathers, who receive an average pension of 39 per cent higher than women's. It also benefits the most affluent pensioners more, since it is proportional to pensions and not lump sum. As you know, we are particularly committed to the universality of family allowances. In addition, the allocation of these 10% is the responsibility of the family branch of social security: this is the case, for example, for the general scheme, which pays basic pensions to employees in the private sector. In 2017, no less than 30% of the new pensions awarded were covered by this increase. There is something upuesque about this increase: either it is considered that having raised three children deserves a lump sum, because the Republic must not make a difference between mother or rich father or mother or father who are experiencing difficulties, either it is decided to accompany the parent who has chosen to stop to raise his children, or it is decided to help those who need it most. In any case, we cannot be satisfied with a system which is contrary to the principles of distribution of our social model. [[Applause on the benches of the MODEM group]] Today, this increase is a source of inequality, as I must admit, many exchanges have been conducted in the context of the great debate. How do you imagine reforming this mark-up so that it becomes a tool for recognizing and compensating for a service to the Nation: that of having raised its children?
ParlaMint-FR_2019-03-05-O1164.u497	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u498	Madam Member, you are referring to a measure to increase pensions for those who have raised three or more children. It was initially justified by the impact on the careers that the raising of several children could have. However, with the establishment of the universal system, the future pension reform offers the opportunity to rethink the objectives and to revise together the elements of solidarity of the system, in order to adapt it to the actual realities of the day. The High Commissioner for Pension Reform raised a series of issues with the social partners regarding the effectiveness of family rights. Pension increases for parents with three or more children benefit men more than women, who are the first to be affected in their careers by the education of children. The increase in maternity and education insurance does not always compensate women for loss of earnings in connection with children. Moreover, the coexistence of unequal arrangements between the forty-two pension schemes, particularly with regard to the rule of child pension supplementation, makes harmonisation necessary. The High Commissioner has therefore announced the following principle: points will be awarded for each child, from the first child, in order to compensate for the impact of the child's arrival or upbringing on the parents' careers. On this basis, consultation with the social partners is continuing with a view to the next draft law.
ParlaMint-FR_2019-03-05-O1164.u499	Mr Cyrille Isaac-Sibille has the floor.
ParlaMint-FR_2019-03-05-O1164.u500	As you know, our group is most committed to an ambitious and universal family policy, because, in our view, family policy is a public good to defend. It is the cornerstone of the sustainability of our society, allowing for a strong birth and the positive externalities that result from it.
ParlaMint-FR_2019-03-05-O1164.u501	So far, we agree!
ParlaMint-FR_2019-03-05-O1164.u502	But the latest statistics on births in France are worrying, and the trend does not seem to improve for the coming years. I've heard you talk about a societal problem, but I think the causes are deeper. Since 2013, the average number of children per woman is less than two, it is exactly 1.88 in 2016, which does not allow the renewal of generations. This is the third consecutive year for which France has recorded a decline in its births. The French exception, which was our pride compared to our European neighbours, is no longer. And I do not think that we can systematically put this on the account of a societal problem. The issue of birth must be a priority in view of the many challenges that lie ahead: the ageing of the population or the replacement of retirements. It is therefore a question of making family policy a central issue so that the French society of tomorrow remains dynamic. What do you think are the causes of this decline, which only accelerates? Would there not be elements of a response on the side of our family policy? Because solutions cannot be found without a prior assessment, it is necessary to launch a major evaluation of our family policy, in order to measure and assess its impact on the birth rate, to propose solutions to the population decline observed for several years and to envisage possible changes in our family policy in the near future. More specifically, what incentive mechanisms could be developed to keep France at the forefront of nations in terms of birth rates, guaranteeing a dynamic society? During the last PLFSS, the Minister of Solidarity and Health undertook to launch work on the burning issue of the decline in the birth rate. What about the situation to date?
ParlaMint-FR_2019-03-05-O1164.u503	The Secretary of State has the floor.
ParlaMint-FR_2019-03-05-O1164.u504	We are still the exception, honourable Member, since France remains the country with the highest fertility rate in Europe.
ParlaMint-FR_2019-03-05-O1164.u505	But it's been falling for three years!
ParlaMint-FR_2019-03-05-O1164.u506	It is important to remind him: even if it falls, we are still the exception. There are several factors that explain this development, and I am not going to remind them. These are indeed social issues such as late marriage or the average age of maternity, which is growing. Above all, it is important to change the way our society looks at work and women. This is the subject of the project led by Muriel Pénicaud and Marlène Schiappa on gender equality at work, aimed at achieving a fairer assessment. This equality must be unconditional in terms of work, pregnancy, maternity – or paternity. The extent of the potential effects of family policy is difficult to assess, both in France and elsewhere. In France, it appears that public support for families, especially the most modest ones, has helped to mitigate the effects of the 2008 crisis and thus its impact on fertility. In order to encourage birth, the priority of family policies will always be the same: to enable families to reconcile family and working life. How can we help these mothers continue to work, and reconcile a mode of care – collective or individual – that offers security of mind while the parents go to work, and also allows us to answer more broadly the question of atypical schedules or that of mobility – how can we have the child cared for when we have an hour of travel? These are questions that society needs to answer. It is not just about fertility, it is about society as a whole, for which the family unit must be taken into account as a whole.
ParlaMint-FR_2019-03-05-O1164.u507	Mr Stéphane Baudu has the floor.
ParlaMint-FR_2019-03-05-O1164.u508	I will come back to a subject that has been widely mentioned, but which is terribly important. For more than two years, our group has been asking unsuccessfully to reconsider the decisions of the previous quinquennium which have considerably weakened families with children, by means of a twofold mechanism: raising the ceiling of the family quotient for the calculation of income tax on the one hand; the adjustment of the amount of family allowances according to income on the other hand. This choice has made our family policy illegible by becoming akin to social policy. However, the readability of our public policies makes it necessary for the French to join a new contract, both family and social. Finally, we must restore meaning to our family policy: its historical meaning, that of universality, according to which every child is an equal wealth for the country. This sense has been lost by the modulation of family allowances according to the resources of the parents. We have avoided the fundamental stakes, such as the dynamism of our birth...
ParlaMint-FR_2019-03-05-O1164.u509	And our country!
ParlaMint-FR_2019-03-05-O1164.u510	... in favour of a more accounting than political approach. The decline in benefits for some has offset the rise in social benefits for others, contributing to the feeling of a system that is still based on the middle classes. A system that gradually stifles the engines of solidarity. The Government's work on a universal income of activity opens up opportunities that our group calls for: simplifying access to aid; against non-recourse or taking into account current year's income for the calculation of benefits. But with regard to our family policy, this reform raises concerns about an increase in the mechanisms set in motion during the previous quinquennium: a definitive dilution of family policy in the crucible of social benefits; or increased concentration of the funding effort on the middle classes in order to cope with the difficulties of financing the scheme. [[Applause on the benches of the MODEM group]] How, and according to what timetable, does the Government intend to quickly dispel these concerns and seize the opportunity of this reform to allow us to reflect together, from the perspective of family policy, on the model of society we want?
ParlaMint-FR_2019-03-05-O1164.u511	The Secretary of State has the floor.
