ParlaMint-FR_2019-02-11-O1142.u1	The next item is the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-11-O1142.u208	Mr Bertrand Pancher has the floor.
ParlaMint-FR_2019-02-11-O1142.u209	What a beautiful school that of the Republic! What a wonderful work of our history! Without it, the republican ideal of the development of all through autonomy and responsibility in a society of solidarity would be in vain. What means have been devoted by the State, since the advent of the Republic, to support our formidable educational system! On behalf of my colleagues in the Libertés et Territoires Group, I would like to highlight the important efforts that have been made for decades and decades by the public authorities in favour of the French education system. I obviously welcome the commitment of our teachers, who love their work passionately and want to be listened to, respected and accompanied. Tonight, we are at their side, as we are at the side of the educational communities that are fortunately very committed – perhaps we would like them to be even more committed – and that need to be listened to, as we are at the side of the communities, who are making a great deal of effort to bring all territorial actions to a high level by giving themselves the means. My group is satisfied with the objectives of this bill and with the major commitments it has made: an increasingly fine-tuned individual follow-up of the entire school audience; better methods of evaluating our school system, which is expensive, and which we spend a great deal of money on, and which it is therefore important to evaluate; a set of reforms allowing for greater involvement of all actors, starting with the teaching staff. The State's commitment is therefore important in terms of means, with priority being given to those in difficulty, in both rural and urban areas. Elected from the rural department of the Meuse, I am satisfied with the resources allocated to the latter. With 450 fewer children attending school next year, 27 posts should have been abolished; Only 8 will be. If the supervisory ratios were identical to those of the national average, we should return more than 200 teaching posts; However, the latter are maintained, which allows us to make up for our delays year after year. The same is true in urban areas, in sectors in great difficulty. These important means help to improve the situation of our school system, as we can see. However, are we fully satisfied? No, of course not. We have a duty to continuously improve our performance in this area. The concrete leads you are putting forward in this bill are satisfactory, but we are asking ourselves a number of questions. Of course, compulsory schooling at the age of 3 is a good initiative. Even if a small number of children are involved – 26000, however – they are concentrated in some parts of our territory where we have to act. We therefore welcome this objective. Perhaps a little more technical training of teachers, in the national higher institutes of faculty and education, obviously has good objectives. Although it is obviously not a question of returning to the teaching of normal schools, writing is a technique and, unlike speech, it is not innate. While we welcome the annual strengthening of general teacher training, it is also necessary to strengthen its technical skills, in particular based on field experience; No one can oppose it. Collaboration between colleges and primary schools is one of the good directions taken by this text. In fourteen of the twenty-four colleges of the Meuse, in recent years, we have made sure that a teacher is specially dedicated to this link. When we talk to the teachers and officials of the colleges concerned, we realize that these measures are of common sense and perhaps deserve to be generalized through a number of experiments. What about the school's assessment board, unless it's central, too? During the discussion of the text, we will ask a number of questions. Perhaps I will point out a few bad words already, Mr.Minister – I am thinking in particular of the duty of exemplary staff, we will come back to that. Perhaps we would also have liked greater audacity, in particular by reflecting on more decentralizing actions in our school policy, on the autonomy of our schools – in the big models that work, teachers, elected officials and educational communities are more autonomous, in order to be more responsive instead of constantly waiting for national decisions. This text raises many issues, including financial compensation for the municipalities. We should be careful not to introduce inequality between those who have already opted for the funding of primary schools for 3 year olds and those who do not yet. Since the original text was not satisfactory, a rewrite was proposed in committee, but doubts remain. With regard to home-based education, the risk of dropping out of school must be taken seriously. That is why better control must be put in place, protecting those who enjoy these benefits but also punishing abuses. Our group will propose amendments to this effect in order to improve existing arrangements. We support the expansion of the missions of the education assistants, which will give the system some flexibility and ensure that there are replacements whenever needs arise, including for short periods of time. If we support these objectives, we believe that, in addition to a status, these students will need educational training and fair remuneration. The link between colleges and primary schools was rather positive, but a great deal of consultation with trade unions and the educational community would probably have been welcome. Many questions arise in this regard. I understand the interest of such a mechanism, but some Members of my group, in particular Jeanine Dubie, are quite opposed to it. This will have to be done again during the discussion. The establishment of the national institutes of faculty and education – succeeding the higher schools of faculty and education – is commendable and must be supported. However, care must be taken to ensure that future territorial redistribution, if carried out by ordinances, does not create a great deal of frustration on the ground. Finally, I would like to stress that the French public education service is present everywhere, all over the world. It is 300,000 French or foreign children who are thus schooled in nearly 500 institutions, guaranteeing educational excellence and French values. I wish to speak for the main concern relayed by the French established abroad during the great debate organized by my colleague M'jid El Guerrab...
ParlaMint-FR_2019-02-11-O1142.u210	Bravo!
ParlaMint-FR_2019-02-11-O1142.u211	... concerning access to this public service: families are attached to this network but their future concerns them, after the recent budget cuts, which attest to the withdrawal of the State from abroad.
ParlaMint-FR_2019-02-11-O1142.u212	That's right.
ParlaMint-FR_2019-02-11-O1142.u213	This disengagement results in a continuous increase in school fees.
ParlaMint-FR_2019-02-11-O1142.u214	An unbearable increase!
ParlaMint-FR_2019-02-11-O1142.u215	[[Applause on the benches of the LT group]] As you have understood, minister, we approach this text very kindly. We want it to be improved by the adoption of some of our amendments. In any event, we will have great pleasure in exchanging with you over the next few days on a text that we believe is a step forward.
ParlaMint-FR_2019-02-11-O1142.u216	The meeting was suspended.
ParlaMint-FR_2019-02-11-O1142.u217	The meeting was resumed. Mr. Alexandre Freschi has the floor.
ParlaMint-FR_2019-02-11-O1142.u218	"The educational institution has operated more through authority than through trust. It was by these words that René Rémond prefaced a General History of Teaching and Education in France in 1981. Trust is at stake in the text proposed today to our Assembly. This text, ladies and gentlemen, is based on the need to rebuild this trust contract in order to be as close as possible to the very spirit of the fathers of the republican school, Guizot and Ferry. A century earlier, Condorcet recalled that "public education is a duty towards citizens". It is in this spirit that the bill lays down the principle of compulsory education from the age of three. This principle is in line with the objective of social and territorial justice. Indeed, the promise of a school for all children in the Republic is aimed first and foremost at those whose families are most vulnerable and whose giving up early education hinders an equal future access to knowledge, as many studies show. This is not a declarative aesthetic but a real challenge: because the school produces the reality of tomorrow, it must become the place of trust, social justice and the rise of the general level. To have confidence in your school is to allow a more equal and homogenous training of our future teachers. Training teachers requires a better articulation of practice and theory, basic teaching and pedagogy. The text also proposes to pre-recruit second-year students to gradually introduce them to the profession of teacher. Pre-recruited students will thus be able to benefit from the maintenance of their scholarship while opening up to a pre-professional perspective, enriching pedagogically. It will also be a real opportunity for the institution to diversify the recruitment pool of its professors, especially in the disciplines that are experiencing the greatest tensions in recruitment, starting with mathematics, English or German. Our teachers, beyond their function, occupy a special place in society. They embody the republican promise of access for all to the mastery of fundamental knowledge and, through this text, our majority wants to show them all the confidence they have. The school of trust also allows teachers and institutions to develop field experiments to meet the needs of the territories and teachers. The aim here is to simplify the right to the use of experiments and, ultimately, the work of the teaching teams in the service of raising the general level, by enhancing the effectiveness of the school and the confidence that families place in the education system. A school of trust is also a school whose performance is assessed according to a single objective: to improve the existing one and to satisfy the interests and needs of the students. Through the school's assessment board, the focus will be on the piloting and coordination missions of the evaluations. The school's assessment board aims to produce effective and appropriate methodological frameworks and tools to make evaluation a real vehicle for excellence, thus raising the general level. To have confidence in his school is also to make France an educational power. Local public institutions of international education will be a major lever for the attractiveness of French education, while at the same time being flexible, but also open to social diversity. Linking institutional objectives, territorial issues and ensuring efficient training: these are the challenges that local communities will now be able to meet. To consider the territories also means to meet the needs of the ground: it will now be done for the department of Mayotte, with the creation of a rectorate. To have confidence in your school is to understand the proximity necessary for a better functioning between the teachers and the institution. This is why the reorganization of the academic services initially proposed does not provide for any deletion of the current thirty rectorates. Finally, in order to respond to the challenges of the field, an amendment by the Government takes up the progress of the bill for a truly inclusive school, adopted unanimously on 31 January, in order to better accommodate our students with disabilities in the school.
ParlaMint-FR_2019-02-11-O1142.u219	We must conclude, my dear colleague.
ParlaMint-FR_2019-02-11-O1142.u220	[[Applause on several benches of the LaREM group]] By putting the educational community, institutions and our territories at the heart of the school of trust, this bill reflects a process of gathering to meet the demands of tomorrow, while meeting the needs of the ground. Through the reforms it carries out, it is thus undeniably able to achieve its primary objectives: social justice, raising the general level and, of course, trust.
ParlaMint-FR_2019-02-11-O1142.u221	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-11-O1142.u222	The legislation that we are now considering in open session after our committee debates raises many questions. Under the guise of making school compulsory at the age of three, which in principle can only be a source of consensus, it touches on many subjects without deepening them sufficiently. On the other hand, it avoids other important issues that we would have liked to have appeared – for example, the question of the place of disability, first absent from the text, was finally introduced briefly. There is what the text affirms – the ambition to raise the general level of pupils and to promote social justice – and what it does not say at all – the obligation that it will entail for municipalities to finance private and public kindergartens up to EUR 100 million or EUR 150 million, which could increase competition between the public and the private sector, or the problem of harassment, which we must address. Above all, between the two, there are subjects of major importance, among which are: the controversial notions of exemplaryness and the right to reserve, which teachers should be reminded of; the initial and continuing training of teachers and the structures for their care; the need to highlight the learning of modern languages other than by the far too limited response of the EPLEI; assessment missions; the crucial issue of teacher recruitment; or that of the school of the basement, reintroduced by an amendment of the LaREM group, which short-circuits the necessary discussions with the educational community. The continuum between kindergarten and primary school set up in 2013 and the one you propose to introduce with secondary school cannot be based on a wave of experimentation and some ideas imported from neighbouring countries or from the OECD to try to impose a system that, for the moment, does not satisfy the staff concerned and ignores a real consultation of the municipalities, yet in the front line in the management of schools. By accelerating consolidations and mergers without having settled an essential point of this reorganization, namely the status and place of the school principal, you take the risk of depriving certain already weakened areas of life of the necessary neighbourhood schools in order to allow all the children of our Republic to be accommodated in the best possible conditions. The new school map that you want to draw deserves you to take into account the geographical inequalities, correlated with unacceptable social inequalities, through cross-cutting work with the ministries concerned, and especially in consultation with the actors in education. The generalization of these experiments, announced throughout the country for 2020, does not reassure us. School failure, discriminating, is unevenly distributed among the school population. The explanatory criteria are numerous: transport times, the concentration of less experienced young teachers and the high presence of non-holders in the most difficult areas, the number of students per class, the presence or absence of a boarding school, the share of mobilization of the budgets of the different territorial authorities, the success of the examinations, the presence of health and guidance personnel more or less strong, the attendance of school canteens, the support of families, the place of digital equipment. In short, our children do not have the same opportunities and expectations, and that is what must be at stake in our main battle. Minister, you defend the change of name of ESPEs – which become INSPEs – in the name of the principles of universalism and homogeneity of the fundamentals that teachers must inculcate in students, and the need to add value to the content of training by replacing "school" with "institute". It is, to say the least, surprising to hear you, for whom the school is the project of a life, prefer to the simple "school" the term "institute", with all that this notion vehicle of elitist and learned subtext. However, that is not the point. To assess the practices of ESPE, are we clear on the assessment of the assessment of the learnings of fundamentals? Does the disparity in the rates of acquisition of reading and numeration result from different injunctions according to the ESPE or from the social and territorial inequalities already mentioned? Beyond the symbol, you do not tell us how you plan to give differentiated answers to these realities and the necessary remedies, such as the number and profile of teachers, the stability of teams and the integration into the fundamentals of artistic practices, which are in reality powerful vectors of remediation, inclusion and discovery of its own potential, of its own desires. Certainly, like the IUFM – the university institutes of teacher training – before them, ESPEs were not perfect, but what a waste in anticipation! For the Academy of Grenoble, for example, a cost is expected to be between 600,000 euros and 1 million euros, when nothing prevented you from proposing changes in content and methods within existing bodies. Make training a more effective tool, which gives back confidence to staff and therefore to students, and which is more attractive for future teachers, yes, but how? With recruitment experiencing a real crisis, we must reflect on the conditions under which this profession is carried out, try to understand why one of the most beautiful professions in the world has become, over time at best, a poorly recognized and poorly remunerated profession, at worst, a synonym of galley. Your proposal to allow EDAs preparing for the competition to be assigned teaching tasks may be interesting, but it deserves to be addressed as part of a more comprehensive reflection on the course of future teachers and the place and content of the competition.
ParlaMint-FR_2019-02-11-O1142.u223	Thank you, my dear colleague. We have to close.
ParlaMint-FR_2019-02-11-O1142.u224	So I'll close. [[Applause on the SOC and GDR benches]] Trust is not decreed, I say it in my turn; It can only be the result of a patiently constructed process, in which the various stakeholders have learned to know each other, to dialogue, to move forward on a reassuring path towards common objectives, accepted on both sides, and to believe in the word given, in the will of everyone to fight.
ParlaMint-FR_2019-02-11-O1142.u225	Mr Michel Larive has the floor.
ParlaMint-FR_2019-02-11-O1142.u226	"I don't understand this policy. The aim is not to improve the situation, but to close classes and schools. We are told to return posts; But we didn't steal these posts, we need them! This is the heart cry of a teacher I met on Saturday during a demonstration to maintain the teaching positions of her RPI. It is the entire educational community that feels guilty of an offence that it has not committed. For more than twenty years, we have heard the same rengaine, in Ariège as in all the rural departments of France: "You must return posts! » Well, no, that's enough, that's no longer possible, that's no longer acceptable! School is often the last public service that remains in our valleys. It's the last breath of Republican life, it's the last encounters, the last laughs, the last noises. The last trade no longer needs to be maintained, as it no longer passes anyone. After that, it is the silence, the empty premises that are transformed into rural gîtes or social housing. Except that no one will come to settle in this village, especially people with children, since the school is closed.
ParlaMint-FR_2019-02-11-O1142.u227	That's right!
ParlaMint-FR_2019-02-11-O1142.u228	After that, it is the rising at the aurora to join the nearest intercommunal educational group, the new school with hundreds of children, the new base school. After that, it is the problem of mobility, and the tens of kilometres that must be travelled in order to place children in RPI schools that actually correspond to their age group. Some bring us an hour's peregrinations to carry out their new daily mission. This is the case for the children of the Douctouyre valley, whom the parents of the surrounding villages leave by car, in the middle village of the valley, where they take buses that take them to their final destination, determined according to their age class. For more than fifteen years, the administration, often accompanied by local elected officials, has changed the school card to optimize it with its fatal weapon: the RPI. If, in some cases, this solution fulfils its role of stabilizing the number of schools, it happens more and more often that it goes wrong, very badly. The principle of concentrated RPI is to close all schools around to bring students together in one place; schools are destroyed. Another problem is age classes. If an unfortunate village belonging to a deconcentrated RPI suffers, even temporarily, from a shortage of students in an age class, its school will simply close, as was the case in Lieurac last year. RPI is not the panacea of national education in rural areas. It must be properly used, often on a temporary or transitional basis. However, this option is currently the only solution for rural schools and, when it is successful, it is rarely possible to go back. Yet, for decades, multi-level schools have shown their effectiveness. The education of students in multi-level classes in rural areas is more regular. On average, school delays are lower than in schools with only single-level classes, and students are often ahead of schedule. The risk of repetition in the sixth grade, for students in schools with multi-grade classes, would be almost twice as high as for students in single-grade classes. The performance of students in the multi-grade classes in French and mathematics, in CE2 and sixth, is better than that of their peers in the same profile of classes at one level – it's even clearer in mathematics than in French. "In addition, for important aspects of education, such as autonomy in work, attitudes of solidarity and tolerance towards others, which are rarely assessed objectively and quantified, it is likely that the multi-grade classes are highly training without being able to measure their added value compared to other school structures": Viviane Bouysse, former head of the school office of the Directorate of School Education, at the interactive seminar of planning officials, at UNESCO – the United Nations Educational, Scientific and Cultural Organization – reported on 25 April 2002. For several weeks now, I have been traveling through my constituency to hear the grievances of the educational community. This morning, I met the DASEN – the academic director of the national education services – of Ariège, which finalises the school card of our department for the 2019 school year: he has to return posts, which is a real puzzle for him, but he responds to your injunctions: 120,000 less civil servants, that is the largest social plan of the quinquennium. It's hard to manage in the field for a senior official. National education will then undergo one of the greatest bleeds in its history. I took advantage of our exchanges to convey to him the concerns of our fellow citizens. He assures me that he wants to do his best, and I trust him because he inspires me with respect. [[Protests on the benches of the LaREM group]] [[Applause on the benches of the FI group]] The closure of a school is an insult to our future. Your Government bears great responsibility for aggravating territorial inequalities in this area.
ParlaMint-FR_2019-02-11-O1142.u229	Mrs Huguette Bello has the floor.
ParlaMint-FR_2019-02-11-O1142.u230	Because these opportunities have not come up at all these days, I would like first of all to highlight the points of agreement. I have fully approved the duplication of the CP and EC1 classes in the priority education areas and look forward to the full results of the current evaluation. I hope, in view of the initial conclusions, that this logic will inspire all other levels of education. Beyond the evolution of educational objectives, I have never transacted on the triptych of fundamental knowledge, reading, writing, counting, to which, technological change obliges, I added click, as it has also become essential to sensitize students to the uses and precautions of use of digital tools. I am obviously in favour of the proposal to lower the age of compulsory education to 3 years, and even below. Already in 2005, an amendment had been adopted on my initiative to extend to the overseas regions the reception of children of two years of age provided for in Article L. 113-1 of the National Education Code. More recently, in 2016, we first included in legislation the possibility of making education compulsory at 3 years. It is precisely in the name of these convergences that I shall make a few remarks. France has become the world champion of social reproduction and the worrying correlation between school failure and social and territorial origins seems to be self-sustaining. Through subtle games of orientation, selection and localization, the school itself now generates inequalities, which explains the persistent mistrust of the new public international educational institutions, provided for in Article 6, despite your commitment to social mix. In La Réunion, where entire generations know what they owe to school but also where 40 per cent of the population lives below the poverty line, the issue of social determinism is sensitive and central. Our academy, where great advances coexist with persistent delays, is, if I may say so, a case of school. It is because it is less and less acceptable that 15% of the students in school are at least one year late from the EC1 and that, later, exits without qualifications are twice as high, that we believe it is essential to act as soon as possible, to settle the issue of financial compensation for the municipalities and to put the role and recognition of ATSEMs on the agenda beyond the decrees of March 2018. To create confidence in the school also means to consider the chaotic or even conflicting relations of the parents with the school institution, when it is not their disillusionment in the face of this republican promise of equal opportunities. School drop-out is often preceded by parental drop-out. Having run a nursery school for twenty years, I have become convinced that it is a school in itself. All the research shows that it is the preferred place for learning vocabulary and mastering language, thus strengthening its role in preventing inequalities. This research also reinforces the need for an appropriate approach when learning in a creolophone environment. In Reunion, the vast majority of children speak Creole and often only Creole. Marginalizing this reality amounts to endangering cognitive processes at work in the early years. Three examples from the only lexicon of family life bear witness to this. In our kindergartens, karo refers to iron, baro, portal, while our young speakers will go more kasé the mangoes than pick the cherries. The speech and grammatical structures also offer many examples. For this reason, although improvements have been made, it is imperative that all teachers in nursery classes have a command of the usual language of the children, so that ATSEMs no longer have to play the interpreters. The quasi-structural illiteracy in Réunion – not only is it at an always high level, but it also concerns more and more young people – is, if necessary, an additional argument for language learning in Réunion, too, to always be based on the child's experience and not to create in it a paralysing and penalizing linguistic insecurity. [[Applause on the benches of the GDR, SOC and FI groups]] I will conclude with two suggestions, Minister. The first refers to the great historian Paul Veyne who advocates developing the artistic sensitivity of children by exposing, in schools, on the place of passage of the pupils, reproductions of works of art of life-size, so that they permeate them unconsciously. The second concerns orphaned pupils, whose situation is a blind point in public education policies, as confirmed by an EESC conference – the Economic, Social and Environmental Council – in 2017 and a recent documentary from France 5: all the testimonies acknowledge the difficulties of the school to accompany children facing the loss of a parent. May the new training framework integrate this dimension of human life, so that teachers no longer feel so deprived.
ParlaMint-FR_2019-02-11-O1142.u231	Mrs Sylvie Charière has the floor.
ParlaMint-FR_2019-02-11-O1142.u232	The bill for the school of trust aims to strengthen two fundamental principles of our Republic: raising the general level of youth and ensuring more social justice. Many measures are already meeting these objectives, but we need to go even further. Strengthening equal opportunities requires support for young people and their families, from birth to integration. It is essential to build a coherent and qualitative educational path before, during and after school, by organising, with due respect for each other's skills, the complementarity of educational times. We must therefore foster and strengthen the commitment of the entire educational community – State, local authorities, parents, extracurricular associations, social workers, schools, colleges, lycées, CFA, or apprenticeship training centres – and thus lead a coordinated and collaborative approach, allowing the networking of all the different actors contributing to the success of the young person. The educational city project pursues this ambition. Without being formally mentioned in this bill, many of the measures before us are aimed at ensuring that no child is left on the road and that an educational continuum is facilitated. First of all, Article 2 concerns compulsory education from the age of 3. We know how different levels of language acquisition at the entrance to the preparatory course can have a negative impact on children's academic success. Pre-school education is the time when basic learning and future success are being prepared. Making compulsory the education of all children from the age of 3 is therefore a measure of social justice. In addition, an amendment adopted in the Committee on Cultural Affairs and Education aims to ensure the success of all schools. In order to ensure educational continuity between the first and second stages, to encourage the exchange of information, practices and services, which the priority education networks have partly allowed, it is necessary to create a legal structure: it is the ambition of the public institutions of basic knowledge. To give the opportunity, for example, to build a joint establishment project from kindergarten to the third, must make more fluid certain transitions, which, it is known, reinforce school failure, such as the link between the grades of CM2 and sixth. Another strong measure of social justice is compulsory training up to the age of 18. We must combat the inequalities of destiny and ensure that all young people acquire skills that facilitate their integration and development. We need to restore perspectives, dreams to our young people, take care of them, not just put them in the invisible column – 20,000 young dropouts, every year, are not accompanied. This training obligation will be based on both the young person, his family and the public authorities, who will have to offer support to any young child who has dropped out of school. As we have just demonstrated, this text creates the appropriate legislative framework to promote the educational continuum, this porosity. But all measures aimed at strengthening the success of our young people must be accompanied by a change in teacher training. The evolution of ESPE in INSPE carries with it this ambition. First of all, it seems to us essential to ensure that a common culture exists between all teacher training centres and between all first- and second-level teachers. This shared culture would thus strengthen the collective work needed to combat early school leaving. In addition, encouraging teachers to do more collaborative work seems essential to me: collaborating with peers, parents, local associations, sharing responsibility for the success of the young person with the whole community must be the foundation for the training of our teachers. In order to allow this change, for the school to open up to the territory, to organize itself around a collective pact, it is necessary to develop experimentation, research, to share and to share good practices. The future assessment board of the school, by evaluating the schools will help the teaching teams in this direction. It must be a tool of knowledge at the service of the educational community, of the progress of everyone and of equality among all. [[Applause on the benches of the LaREM group and on some benches of the MODEM group]] Trust school, trust in our school. Our teachers are committed to everyday life, but too many young people leave our education system that is insufficiently trained and prepared for the challenges of today's world. We must collectively continue to meet this challenge, not to satisfy ourselves with half-measures, to strengthen the attractiveness of the teaching profession and, more generally, of our school. Attractiveness must be achieved through the success of our education system, which will be assessed in the light of our ability to build a future for each of our young people. This ambition is real, and many of the measures in this bill illustrate it.
ParlaMint-FR_2019-02-11-O1142.u233	Mr Ludovic Pajot has the floor.
ParlaMint-FR_2019-02-11-O1142.u234	Nœux-les-Mines, Beuvry, Sailly-Labourse, Houdain, Bruay-la-Buissière... In each of these communes in my constituency, in the Pas-de-Calais region, class closures carried out or planned in the near future deeply disturb territorial cohesion. A class, more than just a school population, is above all a symbol of the life of our territories, those territories which the President of the Republic seems to rediscover for a few weeks, but which we, elected from the field, survey every day with enthusiasm. Our ruralness is already suffering too much from the disappearance of multiple public services – post offices, hospital services, gendarmerie, courts of procedure. If you add to this the disappearance of our schools that will follow these class closures and the abolition of aided contracts, including those of school life assistants, yet necessary, you definitely kill any hope of reinvigorating these forgotten territories of the Republic. Your text is entitled "Bill for a School of Trust". But trust, minister, it is not a decree. For confidence in education to be regained, software must be changed and simple principles must be developed. The first of these principles is to consider that the role of the school is primarily to ensure the transmission of knowledge through the strengthening of basic learning. Our schoolchildren will never be able to approach the future calmly – their professional future, in particular – if they do not have a perfect command of French and mathematics. Being able to read, write and count must be the objectives of primary education. However, there is nothing in your bill that allows for concrete improvement on these aspects. The school as a place of transmission of knowledge must also have the objective of republican assimilation. The latter, which the supporters of the politically correct refuse, in the name of an alleged respect for the cultures of origin, is nevertheless the only one able to preserve both our national cohesion and the very development of the French of heart, who would be destined to join the national community. But for this to happen, it is obviously essential to master the French language. The fact that the mention of the mastery of our language has been removed from the current writing of the common knowledge base is a worrying sign. We shall therefore propose, by amendment, that it be restored. Teaching the history of France must also be at the heart of the assimilationist vocation of our school. Combating communalist retreats is primarily through learning, in the educational environment, about the love of France, and by promoting the glorious moments of its history. We must put an end to the unbearable repentance, which helps to create a sense of distrust. [[Walls on the benches of the FI and GDR groups]] Rather than enshrining in the bill the electoral gadget from lowering the age of compulsory education to 3 years, the Government would have been better inspired to tackle a real scourge that deeply undermines our school: I am of course thinking of the phenomenon of violence in schools. The only official number we have is 12.8 serious incidents per year per 1,000 students. No details of the facts, no geographical distribution, no precise information to better assess the problem, and therefore to better address it. This opacity is worrying given the importance of the phenomenon. According to an agency of the Ministry of Education, there are no fewer than 440 serious incidents per day in French schools. The dramatic episode of this video showing a student robbing his teacher with a weapon is, alas, the tragically banal illustration of the daily lives of many teachers, but it is also indicative of how these facts are treated by a certain hierarchy. While the answer should be firmness, including the removal of family allowances for parents of children who commit violence in schools – a measure that you yourself mentioned, Minister – but also the reorientation of these violent individuals, it was the ban on mobile phones in schools that was proposed. Shut up that truth I can't hear. This approach to problems is unbearable and must cease, as must the culture of omerta and excuse.
ParlaMint-FR_2019-02-11-O1142.u235	Anything.
ParlaMint-FR_2019-02-11-O1142.u236	"Schools must remain the inviolable asylum where men's quarrels do not penetrate. These wise words of Jean Zay should inspire any public policy regarding our school. Reconciling demand and benevolence, authority and spontaneity, security and freedom: these will be part of the challenges of tomorrow's school.
ParlaMint-FR_2019-02-11-O1142.u237	Mrs Anne Brugnera has the floor.
ParlaMint-FR_2019-02-11-O1142.u238	At the heart of the bill for a school of trust, which we are starting to examine this afternoon, there is a historic provision: lowering the age of compulsory education from 6 to 3 years. The obligation to investigate between the ages of 6 and 13 was one of the truly founding acts of our Republic. Twice extended, until the age of 14 and then 16 years, it will now apply, thanks to this bill, for the first time since Jules Ferry, to children under the age of 6. This flagship measure is a real lever to combat social inequalities, so that every child, regardless of his or her social background, has the same chance to succeed through kindergarten. This is an essential step in the pupils' journey in acquiring knowledge and knowledge of being. It enables every child to acquire the skills necessary to approach the learning of basic knowledge and to combat inequality in language. This is a major moment for the success of their schooling. Many studies have shown a strong correlation between school attendance at the age of 3 and student performance. At kindergarten, children learn the desire to go to school and the pleasure of learning; They assert themselves and flourish their personality there. It is a key moment when our children learn community life and live it together. Compulsory education from the age of three is an emblematic and extremely concrete measure, which will concern almost 26,000 children, mostly from disadvantaged backgrounds, and for whom this early education will be a real springboard. But kindergarten is also an essential step for parents, because that is where they become parents. It is at this point that they entrust their child for the first time to school. They entrust him to the teacher, of course, but also to ATSEM, a municipal agent who is an integral part of the kindergarten class. The teacher-ATSEM binome is a key to daily life in kindergarten. Thus, in kindergarten, the whole educational community takes shape. The bonds of trust that are then created must then be cultivated in order to continue throughout the child's schooling, especially during the transition to elementary school, a time when contacts between family and school are less daily, more distended than at kindergarten. By lowering the age of compulsory education in France to 3 years, this bill enshrines our nursery school. She is a woman, Marie Pape-Carpantier, who, in a way, invented the French nursery school. What a pride to know that it is recognized in the world and that, thanks to this text, it will finally take its full place in our code of education! Since the Ferry laws, education is compulsory in France, but it can be done at school or with the family. This will be the case from the start of the 2019 school year, starting at the age of 3. Our conviction is that everything begins with the right to education of every child, and that it is our duty to ensure that it is respected. I personally had the opportunity to understand this issue by carrying out a mission on school leaving last year with our colleague George Pau-Langevin. Progress on the subject of home education involves working on the link between these parents, who are involved in the education of their child, and the school institution. It is also a matter of trust. Nevertheless, we must guard against any angelism. There are situations where home-based education is diverted from its object in order to escape, in reality, the republican obligation of investigation. These situations are marginal, but they exist and we want to fight them. That is why this law will give the authorities concrete means to ensure that each child's right to education is respected, when the choice of parents is about family education; I'm glad. Finally, trust is built primarily with teachers. It is in this spirit that the school's assessment board is created, to accompany them in their assessment work. This council will define the methods of assessment of pupils and those of self-assessment of schools. These will be tools for teachers, in order to foster the collective challenge and innovation, as one teacher recently told me. For, far from monitoring or inspection, evaluation is above all a means of continuous improvement and progress, at the service of teachers and for the benefit of pupils. [[Applause on the benches of the LaREM and MODEM groups]] The members of the La République en marche are proud and happy to work on this law, which aims to reaffirm the mutual trust between all the players in the educational community, to give our children more opportunities, to propose new tools to our teachers. It is a law for all members of our educational community, who work daily for our students. I am given the opportunity to thank them for this.
ParlaMint-FR_2019-02-11-O1142.u239	The general discussion is closed.
ParlaMint-FR_2019-02-11-O1142.u240	Next sitting, tonight, at twenty-one thirty: Discussion of the bill for a school of trust. The meeting is adjourned.
