ParlaMint-FR_2019-10-14-O1022.u1	The next item is the continuation of the discussion of the finance bill (No. 2272, 2301).
ParlaMint-FR_2019-10-14-O1022.u362	Its purpose is to maintain the use of non-road diesel in all the beneficiary sectors of activity, in particular public works. The abolition of the reduced tariff for the GNR provided for in Article 16 will result in an additional cost of almost EUR 500 million for public works undertakings alone, equivalent to 60% of their margins. The measure is all the more brutal since public works companies, which depend on public procurement up to two thirds of their activity, will not be able to pass on the increase in their production costs to the contracts under way. Considering that contracts generally concluded in the framework of works contracts are multiannual, the contractual imbalance which would result from the abolition of the GNR in public works will be most detrimental to the whole sector, in particular to SMEs, which make up 80% of the fabric of public works undertakings. Note that the rate will increase from about 18 cents to 59.60 cents per litre, an increase of 215%; I am not sure that this encourages companies to invest, innovate and hire. In the light of these elements, the existing NRM regime should be maintained for all sectors of activity and Article 16 should therefore be deleted.
ParlaMint-FR_2019-10-14-O1022.u363	Identical amendments Nos 72 by Mr Vincent Descoeur and 91 by Mr Fabien Di Filippo are being defended. I call Mr Le Fur to support Amendment No. 162.
ParlaMint-FR_2019-10-14-O1022.u364	We had this debate last year, Minister. Let us agree that you have evolved and that, in order to take up an adjective that pleases the president of the majority group, you have become more "subtle" and you have endeavoured to coat the measure further: the increase in the tariff will be accompanied by a series of compensation devices, such as the over depreciation, the VAT rate for the maintenance work of the communes, the adaptation of the contracts and a staggering over time that makes the change more tolerable. Nevertheless, if large companies succeed in dealing with it, I am concerned about the small ones, who will be very affected. I am thinking in particular of quarries, where the share of the activity related to the large equipment using this type of fuel is considerable. I am afraid that the compensation and mitigation measures you are considering – these subtleties I mentioned – do not really work for these companies, especially in the most exposed sectors.
ParlaMint-FR_2019-10-14-O1022.u365	Mr Fabrice Brun, in support of Amendment No. 181, has the floor.
ParlaMint-FR_2019-10-14-O1022.u366	The defence of this amendment, to which I associate my colleague Émilie Bonnivard, joins the general analysis of the PLF. Thus, the decline in IS will be more than offset by an increase in taxes and by the meticulous planing of certain tax provisions, such as the GNR – while, as several speakers have pointed out, companies do not have greener solutions known to date. What will be the impact of the measure on the transport trades, which are largely open to international competition, and on the construction trades, which are already heavily affected by the abolition of the PTZ, the zero-rate loan in rural areas and the reduction of the scope of the ISCED, the tax credit for the energy transition? The analysis is particularly true for TPEs and SMEs, a fortiori in rural and mountain areas. The proposed measure seems to us to be harmful to employment while having no effect on the environment, this has been widely demonstrated.
ParlaMint-FR_2019-10-14-O1022.u367	Mr Gilles Lurton has the floor to support Amendment No. 678.
ParlaMint-FR_2019-10-14-O1022.u368	While road transport companies are severely penalized by the measures taken by the Government against them – increased taxation of non-road diesel fuel for two years, shortage of labour – the Government proposes, through article 16, to reduce by 2 euros per hectolitre the partial reimbursement of the domestic consumption tax on energy products used for road freight transport. This measure will further exacerbate the penalisation suffered by road transport companies which benefit from a reduced rate for their trucks, in the first place the very small enterprises in rural areas, which do not have an alternative solution to the road transport of goods, but also the transport companies of the most remote regions, starting with Brittany, which have to carry out road routes which are all the longer. Finally, Minister, I would like to know whether fishermen will be affected by this measure or whether they will remain exempt from it. Their profession will indeed be greatly affected by Brexit; It would be dramatic if she were to suffer the measure that you intend to take. A year ago, you told me that they were exempt; I'd like you to confirm that for 2020.
ParlaMint-FR_2019-10-14-O1022.u369	I call Mr Pauget to support Amendment No. 902.
ParlaMint-FR_2019-10-14-O1022.u370	The abolition of the partial reimbursement of the ICTPE will be a very brutal blow to the entire construction industry; It is a whole series of TPEs, ETIs and SMEs that will be weakened. I will recall two figures: over the last two years, the construction sector has created 60,000 jobs and has had 90,000 apprentices in training; That is what we risk weakening.
ParlaMint-FR_2019-10-14-O1022.u371	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 955.
ParlaMint-FR_2019-10-14-O1022.u372	This has already been the subject of many discussions last year. Each of us had considered the consequences of such a measure for its territory, and we have all realized, including in the majority, that its budgetary impact would be too hard to bear for companies, especially those of the BTP – we have just recalled because you have forgotten them – but also those of carriers. Indeed, it is impossible to extract materials with an electric vehicle. Therefore, to the extent that there is no substitute in these sectors, voting on section 16 would be tantamount to imposing a penalty on them. Then Annie Genevard reminded him very wisely, there are the mountain communes. If you really want all mountain communities involved in their snow-related activities, whether it is snow removal or the development of ski slopes – both those for alpine skiing and those for cross-country skiing – the extra budget will be terrible for these communities. The end of the partial reimbursement of the ICTPE now represents 200 million euros of additional revenue for the State; However, the whistle-blowing of the scheme will bring EUR 900 million a year to the budget, which will inevitably be lacking in the sectors I have just mentioned. It's a budget performance measure! For all these reasons, we propose the deletion of Article 16.
ParlaMint-FR_2019-10-14-O1022.u373	Mrs Jeanine Dubie has the floor to support Amendment No. 1329.
ParlaMint-FR_2019-10-14-O1022.u374	History is an eternal repetition. I have the impression, this evening, of reliving what we experienced a year ago, when we defended, in the same way, deletion amendments, because, in our territories, the construction companies have been and will continue to be very strongly affected by this scheme. It was necessary to wait until what was called the yellow vest movement before in December 2018 you finally proposed measures that you had previously refused us by rejecting our amendments. I hope that this year you will hear us, even if you have prepared the ground, even if you are planning two damping devices that will mitigate the scope of section 16. I would point out that, for public works companies, often small, so with small numbers, especially in rural and mountain areas, your measure is very damaging. For these reasons, we call for the deletion of the article.
ParlaMint-FR_2019-10-14-O1022.u375	All right!
ParlaMint-FR_2019-10-14-O1022.u376	I call Mrs Emmanuelle Ménard to support Amendment No. 1443.
ParlaMint-FR_2019-10-14-O1022.u377	In the 2018 budget discussion, the Government had considered aligning the taxation of individuals and the taxation of non-road diesel used by food and construction professionals, before finally having to reverse under the pressure of the street. You then committed yourself to talking to all stakeholders before implementing this tax alignment. It must be noted that some sectors have not been involved in this discussion. However, the phasing out of the reduced domestic consumption tax tariff on energy products will create a net loss for many sectors, including public works, amounting to €160 million in 2020, primarily for SMEs. The regime should therefore be maintained and Article 16 should be deleted.
ParlaMint-FR_2019-10-14-O1022.u378	Mrs Véronique Louwagie has the floor to support Amendment No. 1628.
ParlaMint-FR_2019-10-14-O1022.u379	Of course, you are proposing a decrease that is less brutal than the one envisaged last year, having perhaps measured the difficulty of passing the device. You are presenting this measure, Minister, as a desire to reduce the use of fossil fuels and to control the emission of carbon dioxide. However, this is a performance measure; It is clear that the Government is seeking revenue to meet its expenses. The real difficulty is that there is no alternative solution, no satisfactory technique that allows industrialists to change their equipment. You put the plough before the ox, I would say, since it would be better to make sure, as a first step, that the researchers find solutions. I will end with the amounts of these returns. From 2020 to 2023, 2.3 billion euros, in total, will be taken from companies and, from 2023, as Christine Dalloz pointed out, this amount will reach some 900 million euros per year, almost 1 billion euros! The problem is that the companies concerned do not have alternative solutions – technical solutions that should be addressed before considering the end of the exemption in question.
ParlaMint-FR_2019-10-14-O1022.u380	All right!
ParlaMint-FR_2019-10-14-O1022.u381	Bravo!
ParlaMint-FR_2019-10-14-O1022.u382	I call Mr Arnaud Viala to support Amendment No. 1878.
ParlaMint-FR_2019-10-14-O1022.u383	During our consideration of the 2019 Finance Bill, we were a number of people who felt that removing reduced taxes on non-road diesel would have a significant impact on TPE-SMEs and companies in the construction sector, as well as on all their customers and communities. There is no doubt that companies will be obliged to pass on the additional cost of the proposed measure. We know the story: the movement of the yellow vests has led to the cancellation of an increase in the price of non-road diesel for 2019, article 16 foresees it by spreading it over three years. Many of my colleagues have already spoken. One can understand the Government's intention to green the French energy mix and to ensure that energy sources other than fossil fuels are gradually used. But – I already asked the question here a year ago – what mechanical shovel can be operated with energy other than fossil? Which truck can run with energy other than fossil? Which crusher or grader can work with energy other than fossil? Thus, contrary to what you claim, this measure cannot therefore be one of the main ecological measures of the budget, since entrepreneurs have no alternative but to continue to operate their equipment with fossil fuels and thus to emit gas and other particles. I would like you, Minister, to give us the reasons why you decided that this scheme would last for three years, knowing that technological advances will certainly not allow other solutions to be applied in such a short period of time. And I do not go back to the damage caused in terms of employment and the local economy, which, on the other hand, they will be at the meeting.
ParlaMint-FR_2019-10-14-O1022.u384	What is the opinion of the committee?
ParlaMint-FR_2019-10-14-O1022.u385	First of all, we must not rewrite the story. It is essential to get out of fossil fuels, as many of us have said – those who have not said so thinking perhaps in the depths of themselves. Last year, changes had been made to the Government's text. Which ones? The Senate had proposed a whistle release; This is exactly what Article 16 provides for. The Senate proposed that, after consultation with professionals, there should be a large number of exceptions; This is exactly what the text provides for. I know this because I attended the meetings and also received representatives from several relevant federations. The article remains very favourable to farmers and there are accompanying measures, such as over-amortization. However, I detect two flats. One was mentioned by President Genevard: there was no consultation with the mountain elected...
ParlaMint-FR_2019-10-14-O1022.u386	Yes!
ParlaMint-FR_2019-10-14-O1022.u387	And you regret it!
ParlaMint-FR_2019-10-14-O1022.u388	...even if there have been consultations with private companies. In any case, the problem of snow removal in the mountains remains: we have not yet invented the electric snowplow,...
ParlaMint-FR_2019-10-14-O1022.u389	The extensions are not long enough...
ParlaMint-FR_2019-10-14-O1022.u390	...even in Switzerland – or it's a toy of our dreams. The Senate had also adopted very favourable provisions for SMEs. That is why, in this spirit, I have proposed a hyper-mortgage for the latter, which seems to me to be perfectly suitable. Last year, however, I did not want to throw the baby away with the bath water because I felt that an important decision in the dynamics of the ecological transition needed to be "created", and GNR was part of it. We must therefore adjust the text in the way I have just indicated, but above all we must maintain the political will to free ourselves from fossil fuels: the opinion is unfavourable on the deletion amendments.
ParlaMint-FR_2019-10-14-O1022.u391	What is the Government's opinion?
ParlaMint-FR_2019-10-14-O1022.u392	It is also unfavorable, although I appreciate the importance of the changes that we are proposing on non-road diesel and on the abolition of the reduced tariff for ICTPE. We have indeed revised our copy, because, we must have the humility to recognize it, what we proposed a little more than a year ago was too brutal for companies and that they were not given the means to adapt. That being said, I am convinced that the new measure is totally consistent, and that businesses and our compatriots understand it. First, we reduce a tax niche. Here, on all benches, we are constantly demanding the suppression of tax niches. But none is easy to remove, none, because all were created with the best reasons in the world; None of them fell by chance from I don't know what stellar imagination; Each responds to an economic necessity and sometimes well-founded economic reasoning. Secondly, the proposed scheme is consistent with our overall energy policy. We want to accelerate the energy transition. So, if there are many tax niches that are of interest, it is all those that favour the consumption of fossil energy – totally outlier niches, for the moment. There is no justification for maintaining niches that reduce taxes on fossil fuels, or for admitting that we do not want to make the energy transition and that we do not want to fight global warming. It must be, I believe, one of the main lines of all our public policies. I will also have the opportunity to return tomorrow to the guarantees that the treasury provides for certain industrial export projects: we must ensure that they do not favour the development of fossil energy use or carbon dioxide emissions. Finally, a successful elimination of fiscal niche requires concerted action. Last year, there had not been enough; This time it happened. I have spent a lot of time with the entrepreneurs concerned to ensure that this is done gradually and with compensation. It will be done gradually, in three years and not in one year. It will be done gradually, and we have agreed to the request of the entrepreneurs: the measure will not apply as of January 1, 2020, but as of July 1, 2020, to leave them six more months to adapt. It will be made with compensation. We have planned to exclude a number of sectors. The question has been asked about the fisheries sector: it is not concerned. Fishing uses very specific fuel and pumps. This is, to my knowledge, the only sector that is not subject to further exemption and reimbursement, but to a total exemption of ICTPE directly from the pump. This is, for fishermen, a condition for their survival. Nor will the rail and river sectors be affected by the measure. We have also provided for an impact on current contracts when they do not include a revision clause, with a general contract review clause. This will allow all entrepreneurs, especially the smaller ones, to pass on the cost of this measure. Small businesses will be protected – this was the main demand of the building sector. There will also be tax incentives for the purchase of electric vehicles or hybrid vehicles, in the form of tax or capital cost allowances. We will have an opportunity to talk about this when we deal with mountain communes. I very much acknowledge the veracity of what Mrs Genevard and the rapporteur-general have said about the very specific situation of mountain communes. If we go to the end of the reasoning, the problem does not arise only because snow removal equipment must be financed; It also comes from the fact that more fuel is consumed on a slope than on a flat.
ParlaMint-FR_2019-10-14-O1022.u393	Yes!
ParlaMint-FR_2019-10-14-O1022.u394	When building and public works contractors build hotels in the assembly area, the cost of fuel is not the same as when they build in the plain – they didn't forget to remind me...
ParlaMint-FR_2019-10-14-O1022.u395	That's right!
ParlaMint-FR_2019-10-14-O1022.u396	All right!
ParlaMint-FR_2019-10-14-O1022.u397	And then we planned to make the heavy network maintenance work eligible for the FCTV, in response to a long-standing demand from the contractors. Similarly, there will be an increase in cash advances for large community procurement, from 5 to 10 per cent. This very important step for the cash flow of enterprises will be taken by decree. Finally, we have planned to step up controls to avoid fraud related to the use of diesel at the agricultural tariff for non-agricultural work. This important measure comes from a strong demand from the professional sector concerned. I have communicated, in writing, all these measures of compensation to the companies concerned, so that they have a commitment from the Government. In addition to the compensation for the sectors concerned, we have planned certain specific measures for some niches of very specific activities for which there was a need for additional guarantees: I am thinking of the extractive industries, the ports or the refrigeration sector. Specific provisions have been made to ensure that the measure does not undermine the economic profitability of these activities. [[Applause on several benches of the LaREM group]] In short, we propose a measure that has been worked out and discussed. It has been the subject of in-depth discussions with the economic sectors concerned. It makes it possible to reconcile the competitiveness of companies and the fight against global warming, which I believe is our goal for all.
ParlaMint-FR_2019-10-14-O1022.u398	Mr Fabrice Brun has the floor.
ParlaMint-FR_2019-10-14-O1022.u399	Minister, I am your intellectual reasoning on removing tax niches for fossil fuels. However, concretely, in territories such as ours, where 70% of the BTP order is based on public order, i.e. on local authorities, there is a great risk that prices will rise. This means that, in the end, the municipalities will pay, in other words, the local taxpayers. In the end, it's an extra pass-through of this finance bill.
ParlaMint-FR_2019-10-14-O1022.u400	Mr Jean-René Cazeneuve has the floor.
ParlaMint-FR_2019-10-14-O1022.u401	[[Exclaims on the benches of the LR group]] On the form, I find it quite unbearable that every amendment, whatever the bill, whatever the clause, whatever the subject matter, is meant to drag the words "territories" into their arguments,...
ParlaMint-FR_2019-10-14-O1022.u402	Let them live!
ParlaMint-FR_2019-10-14-O1022.u403	[[New exclamations on the banks of the LR group]] [[Same movements]] ... "small businesses" and "rurality"! As if there were no GNRs and BTP companies in the cities; as if the subject matter did not concern large companies. You have the impression that every time you use these arguments, it makes your positions more credible, but that's not true! [[Applause on the benches of the LaREM group]] [[Applause on several benches of the LaREM group. – Exclaims on the benches of the LR group]] And on the bottom, what a lack of courage! Is the house burning? Is energy transition everyone's business? Finally, you are much more conservative than companies that exercise their social responsibility towards their employees, their customers, their suppliers! Companies have already started this path; You have to accompany them and not use false arguments.
ParlaMint-FR_2019-10-14-O1022.u404	It is late, we are not going to prolong the debates. You have to know how to stay calm.
ParlaMint-FR_2019-10-14-O1022.u405	Yes: there's no point in getting mad like that!
ParlaMint-FR_2019-10-14-O1022.u406	Mr Charles de Courson has the floor.
ParlaMint-FR_2019-10-14-O1022.u407	Minister, I am trying to be pragmatic and concrete. What do you say to a BTP contractor who has bulldozers and asks you how he can do it? You tell him, find more economical materials!
ParlaMint-FR_2019-10-14-O1022.u408	I'm not saying that! I explained to you, they're going through!
ParlaMint-FR_2019-10-14-O1022.u409	Explain to me what this means, because these entrepreneurs tell me that these materials do not exist on the market!
ParlaMint-FR_2019-10-14-O1022.u410	You didn't listen to me! It's midnight! I'm not going to repeat my arguments!
ParlaMint-FR_2019-10-14-O1022.u411	I listened to you: you say "only we have to".
ParlaMint-FR_2019-10-14-O1022.u412	No.
ParlaMint-FR_2019-10-14-O1022.u413	I ask you a concrete question – how to do with bulldozers? – and you answer abstractly.
ParlaMint-FR_2019-10-14-O1022.u414	They will benefit from a clause to review all contracts.
ParlaMint-FR_2019-10-14-O1022.u415	Contracts are something else; That will be my second question. My first question concerns professions which do not have alternative equipment. You're increasing the tax burden without it leading to a change in behaviour. You say that in the BTP, there's no problem, but explain to me how you do it!
ParlaMint-FR_2019-10-14-O1022.u416	You will create the demand for these materials!
ParlaMint-FR_2019-10-14-O1022.u417	Do you think it's falling out of the sky?
ParlaMint-FR_2019-10-14-O1022.u418	This is in any case the result of our political will, and obviously not of yours!
ParlaMint-FR_2019-10-14-O1022.u419	You still don't answer my question: how do I, a BTP contractor, who essentially does earthwork, replace my bulldozers? Explain to me! That is the question. In some sectors, there are alternatives, but not all of them. A second question arises, to which you gave a manifestly unconstitutional answer last year.
ParlaMint-FR_2019-10-14-O1022.u420	Mr. de Courson, thank you for concluding.
ParlaMint-FR_2019-10-14-O1022.u421	In multi-year contracts, you cannot give the right to one of the contractors to increase prices because you have changed prices.
ParlaMint-FR_2019-10-14-O1022.u422	Thank you, Mr. de Courson.
ParlaMint-FR_2019-10-14-O1022.u423	The continuation of the budget discussion was postponed until the next sitting.
ParlaMint-FR_2019-10-14-O1022.u424	Next meeting, this afternoon, at 3 p.m.: Questions to the Government; Tribute of Patricia Gallerneau; Solemn vote on the bioethics bill; Vote by public vote on the bill to act against domestic violence; Further discussion of the first part of the Finance Bill for 2020. The meeting is adjourned.
