ParlaMint-FR_2019-10-28-O1044.u1	The next item is the debate on the second part of the finance bill for 2020 (No. 2272, 2301).
ParlaMint-FR_2019-10-28-O1044.u187	Mr Dino Cinieri has the floor.
ParlaMint-FR_2019-10-28-O1044.u188	Paediatric cancers affecting children and adolescents must mobilize civil society as a whole. On several occasions, particularly with Bernard Perrut, we have called for child cancer to be declared a "major national cause" in order to ensure that the public authorities are fully engaged in the fight against these particularly aggressive cancers. I would like to see families and doctors who are watching us feel supported by the vote on additional research funding tonight. Unanimity would be a strong sign for all these young people who are fighting for life, as well as for their families and the associations around them. The figures are alarming: 1 in 440 children develop cancer before the age of 15, and nearly 2500 children and adolescents each year are diagnosed with cancer or leukemia in France. Nearly 500 of them will die, and this figure has not declined in the last fifteen years. That is, Madam Minister, the equivalent of nearly twenty school classes each year. There are more than 60 types of pediatric cancers. Research focuses primarily on adult cancers. However, malignant tumours detected in children are not of the same nature as adult tumours and therefore cannot be treated in the same way. The lack of resources allocated to research leads to a vicious circle and contributes to the maintenance of such figures. Few budgets, few researchers, and therefore few results. Last year, we voted €5 million for research aimed at reducing cancers in children, while 18 million were expected. This year, we must vote for credits that match the expectations of the sick children and their families.
ParlaMint-FR_2019-10-28-O1044.u189	Mr Daniel Labaronne has the floor.
ParlaMint-FR_2019-10-28-O1044.u190	I welcome the multi-year programming of this additional 5 million, but I would like to speak for parents and grandparents – I am a grandfather myself – whose children or grandchildren are affected by rare disease-related syndromes. Would it be possible, Madam Minister, to have a consolidated view of the budgets devoted to research in this area, as you have done for paediatric cancers?
ParlaMint-FR_2019-10-28-O1044.u191	The minister has the floor.
ParlaMint-FR_2019-10-28-O1044.u192	I have asked you to speak, Madam President! What a funny way to preside...
ParlaMint-FR_2019-10-28-O1044.u193	You will speak after the minister, Mr. Woerth.
ParlaMint-FR_2019-10-28-O1044.u194	I am unable to provide you immediately with the consolidated accounts of all expenditure related to research on rare paediatric diseases, Mr President, but I will of course do so if the House so wishes.
ParlaMint-FR_2019-10-28-O1044.u195	The Chairman of the Committee on Finance has the floor. I recall that the Government speaks whenever it wishes.
ParlaMint-FR_2019-10-28-O1044.u196	There are, however, usages, Madam President. Last year's debate was very difficult and, if EUR 5 million were voted, it was because the Government had, in the end, folded before the Parliament, which had explained to it, in a trans-partisan way, that it needed to see more clearly in the fight against cancer that affects children. The Ministry of Solidarity and Health was very closed on this point, but you were more open, and I thank you for that. There are, however, two things that I do not understand. First point: you indicate in the yellow budget that the appropriations are consolidated, but does that mean that you are going to add an additional EUR 5 million each year? That there would be no basic effect, but 25 million more credits in five years compared to 2018? If it were only to renew the same 5 million credits each year, the increase would not be 25 million but only 5 million, which is not conceivable! I want to be sure that it will be more than 25 million compared to 2018 in five years. I have not tabled an amendment on this subject, because that is what I understood at the outset, as it seems to me to be the Special Rapporteur, but I would like to have confirmation of that. Second point: I have already told you, Madam Minister, that I am amazed at the method. We wanted a follow-up last year, because Parliament is also there to control – it may not necessarily please the Government, but it is so – and that this follow-up is as transparent as possible and takes place in an atmosphere of mutual trust; There is no reason to squabble on this type of subject, which should not be controversial. I thought, for my part, after the meeting held on 6 March 2019 between your firm, officials of the National Cancer Institute and associated parliamentarians, including Amélie de Montchalin, that you would present to us elements relating to the overall budget reserved for the fight against childhood cancer, even if it is undoubtedly methodologically complicated, as well as the state of consumption of the 5 million euros of credits. That has not been done. Only one seminar was held, to which parliamentarians were invited only four or five days before, and without any documents being sent to them. I do not know whether it is by will, by incompetence or by distraction, but there has been an absolute ignorance of the role of parliamentarians.
ParlaMint-FR_2019-10-28-O1044.u197	Please conclude, my colleague.
ParlaMint-FR_2019-10-28-O1044.u198	I conclude, Madam President, by pointing out this ignorance, when there could be a large majority on the subject on all the benches and even unanimity.
ParlaMint-FR_2019-10-28-O1044.u199	That's right!
ParlaMint-FR_2019-10-28-O1044.u200	Why such an attitude?
ParlaMint-FR_2019-10-28-O1044.u201	I don't understand either!
ParlaMint-FR_2019-10-28-O1044.u202	Mr Eric Diard has the floor.
ParlaMint-FR_2019-10-28-O1044.u203	I repeat, Madam Minister: there is a real problem with INCa's calls for tenders. These are too restrictive and the EUR 5 million may therefore not be fully consumed, even though some projects are innovative. I propose, by my amendment, to draw up EUR 5 million from the appropriations for space research, whose overall budget is EUR 230 million, because I find it abnormal that the associations and the private sector as a whole concerned are always at the top of the funding for research on paediatric cancer. I hope that the President of the Republic, perhaps in the near future, will one day make paediatric cancer a major national cause. Efforts have been made by the State, but I think more can be done.
ParlaMint-FR_2019-10-28-O1044.u204	The minister has the floor.
ParlaMint-FR_2019-10-28-O1044.u205	President Woerth, there is indeed no cause for controversy. I have been asked about rare diseases, and other pathologies will be mentioned: there is no question of prioritizing pains and horrors – it is neither your wish nor mine. What happened? As a result of the Government's commitment, EUR 5 million was made available to INCa. By the way, I don't understand, Mr.Diard, why you feel that his management of tenders is not working well, while he manages all cancer funding scientifically – but we can see this closely.
ParlaMint-FR_2019-10-28-O1044.u206	It's the associations that say it!
ParlaMint-FR_2019-10-28-O1044.u207	A first call for tenders was concluded in very short time, at the beginning of the year, leading to the selection of two projects, and a second call for tenders was launched for an amount of EUR 3.5 million; The winners will be known shortly. If associations feel that the appeals are not proceeding well, it is important to hear them. President Woerth, I too was invited by INCa a few days before his restitution meeting, but I took the time to attend. Nevertheless, I regret that all this has been done in haste. It would probably have to be explained to INCa that these funds have been specifically requested by Parliament, so he must report to it, in particular, on their use.
ParlaMint-FR_2019-10-28-O1044.u208	You could write it to him!
ParlaMint-FR_2019-10-28-O1044.u209	I really wanted INCa and my department to work with Parliament in a transparent way.
ParlaMint-FR_2019-10-28-O1044.u210	No, no, no, no, no, no, no,
ParlaMint-FR_2019-10-28-O1044.u211	That's not true!
ParlaMint-FR_2019-10-28-O1044.u212	I'm sorry if that wasn't the case. The method chosen was presented to the Senate last February by INCa, which responded to a request from senators to question it on this point. All the minutes of the meetings have been published online as they progressed; the platform was set up and the return to the associations took place. I had made the choice to report on the actions undertaken each year in the yellow budget, but, and I have already apologized, the publication schedule did not allow it before the review of the MIRES appropriations. It will be important to achieve this in order to ensure follow-up year after year, which is in the spirit of the measure. You sent me, Mr. President Woerth, a specific questionnaire on pediatric cancer in July, and my ministry replied, including extracts from the yellow budget. I am, I repeat, well aware that the content of the measure is not yet fully satisfactory with regard to the full cost of the measure, because it has to be evaluated by laboratory and that each researcher estimates the working time that he or she devotes specifically to this issue – compared to others, such as developmental biology or other aspects of cancerology in general. We also know that if we want to take the payroll into account in the cost, we need to apply a multiplier coefficient that my department is calculating as accurately as possible – knowing that, as it is never on the basis of this criterion that research funds are allocated, we need to develop a specific mapping. This will allow us to answer questions on other issues. It will be the heart of the future multi-year research programming law to provide information systems that will enable the ministry to better account for the use of public funding. However, you know the spirit of independence of researchers – very often recalled in this Chamber as elsewhere; They are driven by the need to be able to search freely, without its object being fixed a priori. It is true that this is also the way knowledge is produced, and a balance must be found. I have had the opportunity to discuss this with its chairman: if you wish, Mr Woerth, that the INCa officials should be heard by the Monitoring Group, there is no problem with that.
ParlaMint-FR_2019-10-28-O1044.u213	Radio silence from them!
ParlaMint-FR_2019-10-28-O1044.u214	I say again that I am sorry if you feel that things have not gone well. In any case, it is neither bad will nor incompetence on the part of the INCa, which, I believe, has demonstrated for several years its ability to manage funding dedicated to cancer in France.
ParlaMint-FR_2019-10-28-O1044.u215	What a lack of transparency!
ParlaMint-FR_2019-10-28-O1044.u216	Since Amendments Nos 128 and 234 are both on the subject of hydrogen, I propose that they be presented by their authors before the committee and then the Government give their opinion. I call Mrs Elsa Faucillon, draftsman of the opinion of the Committee on Sustainable Development and Regional Planning, to support Amendment No. 128.
ParlaMint-FR_2019-10-28-O1044.u217	This amendment, adopted by the Committee on Sustainable Development, aims to increase by EUR 20 million the allocation for research in the field of new energy technologies with a view to strengthening work on hydrogen solutions. It seemed to us, on all the benches, that solutions could thus be found not only in terms of sustainable mobility, but also in terms of the massive storage of renewable energies, that it was necessary to continue this research. The Government had promised to mobilize significant means to accelerate the maturation of these solutions, but we do not see the signs of the implementation of this commitment made in 2018, either in the current budget or in the draft finance bill for 2020. Through this amendment, the Commission on Sustainable Development wishes the Government to inform the Assembly on this issue.
ParlaMint-FR_2019-10-28-O1044.u218	I call Mr Michel Castellani to support Amendment No. 234.
ParlaMint-FR_2019-10-28-O1044.u219	This amendment tabled on the initiative of our colleague Orphelin aims to provide an additional EUR 10 million for Action 17 "Research in the field of new energy technologies" of the 190 programme in order to support the research component of the hydrogen deployment plan. This is an amendment to be withdrawn from the one adopted in the Committee on Sustainable Development, so that at least part of the funding for the 2020 plan is guaranteed. To preserve the budget balance of the mission, we are obliged to display the artificial reduction of 10 million euros in Action 3 "Dual research in the aerospace field" of programme 191.
ParlaMint-FR_2019-10-28-O1044.u220	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u221	I had the opportunity to say to Matthieu Orphelin, when he had come to defend his amendment before the Committee on Finance, that of course we shared the same concern as he did. These two amendments aim to abound the research component of the hydrogen plan. It turns out that this plan is being implemented mainly by the Environment and Energy Management Agency, ADEME, whose funds fall under the mission "Sustainable Ecology, Development and Mobility". The deployment of hydrogen is a major scientific issue, involving many, sometimes long-standing, research institutes. As such, the Office of the Commissioner for Atomic Energy and Alternative Energy is funding important research in this area, particularly concerning the decarbonization of hydrogen production – it should be noted that hydrogen emits CO when it is made from hydrocarbons, which further complicates the subject. Only the CEA relies on high-temperature electrolysis, the high efficiency of which would allow this technology to be established in the international market. He works for this in liaison with private partners who seek to decarbonize their business – I note in passing that a company is being set up in order to value the result of this research. ECA is also working on new materials to build storage tanks for hydrogen, a subject that is known to be particularly sensitive. Finally, it is preparing a partnership with the French Institute of Petroleum and New Energies, always on the same subject. In short, this issue is well taken into account, but it is largely outside the research and higher education budget. For this reason, I ask for the amendments to be withdrawn. Otherwise, the Commission's opinion would be unfavourable, not because of a disagreement on the substance, but because the matter is dealt with in other ways, in particular by the Ministry of Ecological and Solidarity Transition.
ParlaMint-FR_2019-10-28-O1044.u222	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u223	Same opinion. The development of decarbonated hydrogen is one of the Government's priorities, which announced a €100 million hydrogen deployment plan. This plan will be mainly implemented by ADEME, but not only, as support for innovation also takes place through the future investment programme. Eleven projects, to be funded by ADEME, have already been selected as part of the call for projects "hydrogen mobility ecosystems". Five research projects on decarbonated hydrogen in industry have also been proposed for funding to the Prime Minister under the IAP, for a total amount of EUR 11 million – they are the more research-specific component. On the basis of the report prepared by MP Benoit Simian on the greening of rail transport, the Ministry of the Ecological and Solidarity Transition is also studying the possibility of supporting a first order of hydrogen trains by several regions, in order to initiate a dynamic in this field. The Government's strong commitment to hydrogen was confirmed at the recent Franco-German Council of Ministers. On this occasion, a convergence of French and German efforts in hydrogen use and energy storage was decided, with particular attention to the fact that hydrogen is decarbonised. If these actions do not therefore fall within the scope of this budgetary mission, I would like to reassure the National Assembly of the Government's attention to the proper implementation of the hydrogen plan.
ParlaMint-FR_2019-10-28-O1044.u224	Mr Michel Castellani has the floor.
ParlaMint-FR_2019-10-28-O1044.u225	I maintain Amendment No 234, if only because I am not the first signatory. I would also like to take this opportunity to recall that, at all times, humanity has advanced on the basis of technological progress: this was the case with Paleolithic, Neolithic, during the first and second industrial revolution, and it has always allowed us to become more numerous, and less poor – without being able to say "richer". [[Applause on the benches of the LT group]] Today we are facing a situation whose gravity requires us to be present at the meeting and to start a massive research in all areas relating to the energy transition. But we are already late. It is therefore necessary to go there frankly, and to further research in the fields of material, process, economic intelligence, intelligence of objects, etc., in all fields. It's not an option, it's an obligation.
ParlaMint-FR_2019-10-28-O1044.u226	The draftswoman has the floor.
ParlaMint-FR_2019-10-28-O1044.u227	I cannot withdraw Amendment No 128, since it has been adopted fairly broadly by the Committee on Sustainable Development and Spatial Planning on the proposal of Mr Orphelin, with the willingness – and I express myself in full transparency – to obtain not only clarifications but also commitments. It seems to me, Madam Minister, that if the commitments are real with regard to demonstrators – relatively concrete elements are included in the budget – this is not the case with regard to research. That is precisely the point in the amendment. I therefore propose to maintain it, and let everyone express their position in the vote.
ParlaMint-FR_2019-10-28-O1044.u228	Mr Alain David has the floor to support Amendment No. 461.
ParlaMint-FR_2019-10-28-O1044.u229	The aim of this amendment is to restore the appropriations for the action "Development of meteorology satellites" to their previous level, so as not to alter our means of observing and collecting climate data. The development of meteorological satellites helps to improve the collection and measurement of data used for weather and climate monitoring, to collect information on sea surface temperature, glacier progression and atmospheric pollution, or to inform light pollution studies. The climate and weather issues of our time have a pressing need to continue and boost the development of ever more efficient satellites, for the benefit of people – especially in territories such as the French Antilles, which are suffering increasingly powerful and dangerous cyclones – and biodiversity. However, the appropriations for the "Development of Meteorology Satellites" project are falling sharply between the 2019 Finance Act and the 2020 Finance Bill.
ParlaMint-FR_2019-10-28-O1044.u230	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u231	You note a significant decrease, between 2019 and 2020, in France's contribution to the development of meteorological satellites. This decline is simply due to the smaller needs of the European Organisation for the Exploitation of Meteorological Satellites – EUMETSAT – to which we are contributing. The decrease in appropriations therefore does not reflect a disengagement of the State: the contribution requested in 2019 corresponded to a peak linked to the active development phase of various observation programmes, which do not need to be extended to the same level in 2020. I would also like to stress – as we have already said on several occasions – that our space policy is a real priority in this budget, as evidenced by the €225 million increase in our contribution to the European Space Agency, ESA. The latter deploys the Copernicus programme dedicated to Earth observation, which also includes an emergency management component in the event of a catastrophic climate event. Thus, not only are we cleaning up particularly old payment delays, as I know we have been doing since 2017, but we will also restore our credibility in European programmes. As far as meteorology satellites are concerned, we simply adapt to the annual demand of the European institution managing these development programmes. I therefore call for the amendment to be withdrawn; Otherwise, the Commission's opinion would be unfavourable.
ParlaMint-FR_2019-10-28-O1044.u232	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u233	To complement the explanations given by the Special Rapporteur, we have chosen to increase the envelopes of ESA and CNES. The European Organisation for the Exploitation of Meteorological Satellites is implementing the "Development of Meteorology Satellites" project, which recorded a decrease of €27.4 million. With EUMETSAT's surplus account, calls for funds to individual states for this year are lower than in previous years. Since we had a surplus in the EUMETSAT account, we budgeted a smaller amount for 2020 to use this surplus while continuing to support the action at the same level as in 2019. Request for withdrawal or, failing that, unfavorable notice.
ParlaMint-FR_2019-10-28-O1044.u234	Has the amendment been withdrawn, Mr David?
ParlaMint-FR_2019-10-28-O1044.u235	No, Madam President.
ParlaMint-FR_2019-10-28-O1044.u236	The meeting was suspended.
ParlaMint-FR_2019-10-28-O1044.u237	The meeting was resumed. Mrs Muriel Ressiguier has the floor to support Amendment No. 506.
ParlaMint-FR_2019-10-28-O1044.u238	This amendment is based on the fact that there is a difference in funding between "hard" science research, funded up to 95% – which is very good, of course! – and research in literature and social sciences, whose funding rate is in the order of 40%, is insufficient. The aim of this amendment is therefore to make up for our backlog in the rate of access to doctorates in the social sciences and humanities.
ParlaMint-FR_2019-10-28-O1044.u239	What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u240	Dear colleague, of course we share your concern to better support doctoral research, particularly in the social and human sciences. In this connection, it should be noted that action 3 of the 150 programme for initial and continuing training of the Ph.D. level has been increased by EUR 2 million. However, there are two problems with your amendment. First, it would create a new programme based solely on Ph.D.s in the humanities, which would be quite singular, since Action 3 must focus on the whole field. Secondly, and even if it is only a pledge, the withdrawal of EUR 25 million from ESPICs – private health institutions of collective interest – which fulfil, as has been said in the preamble, a public service mission, would be very penalising for these institutions, which have seen their number of students increase sharply in recent years. Unfavorable opinion.
ParlaMint-FR_2019-10-28-O1044.u241	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u242	In general, the Government pays close attention to the financing of doctorates. This is one of the measures proposed by the Task Force on the Attractiveness of Scientific Jobs and Careers – in the full sense of this term – and on which we will work in the framework of the multi-year research programming bill. The particular question of funding PhDs in the humanities and social sciences, which vary greatly according to the disciplines, is also related to the number of PhD students enrolled per research authorization holder, as well as the number of years required to obtain these doctorates. It will be addressed as a whole within the framework of the multi-year research programming bill. I therefore call for the amendment to be withdrawn, failing which the Government's opinion would be unfavourable.
ParlaMint-FR_2019-10-28-O1044.u243	Mrs Ressiguier, do you withdraw the amendment?
ParlaMint-FR_2019-10-28-O1044.u244	Not being the author, I will not remove it. Nevertheless, Madam Minister, thank you for your answer.
ParlaMint-FR_2019-10-28-O1044.u245	On the identical amendments Nos 174 and 294, the Republicans have requested a public vote. The vote is announced in the National Assembly. We come to several amendments which may be the subject of a thematic discussion on Lyme disease. Mrs Jeanine Dubie has the floor to support Amendment No. 139.
ParlaMint-FR_2019-10-28-O1044.u246	The aim of this amendment is to give INSERM additional resources for a genuine research programme on Lyme disease. Indeed, the numerous hearings we conducted in the context of the work of the study group on this disease, co-chaired by our colleagues Nicole Trisse and Vincent Descoeur, have allowed us to see that controversies surround both the diagnosis and the serological tests, the management and the treatment of these pathologies. The controversy is even more acute with regard to recognition of the chronicity of the disease, an issue that strongly divides the medical community. The measure we are proposing was considered necessary and useful in view of the increase in the number of reports registered by Public Health France. In 2018, 67,000 new cases were diagnosed, i.e. 104 per 100,000 inhabitants, compared to 69 per 100,000 inhabitants in 2017. Today we are facing a disease that is developing strongly and on which research is insufficient. The aim of this amendment is therefore to provide an additional €20 million for "Scientific and technological research in the life and health sciences", by allocating it to INSERM, so that specialists on severe and persistent forms of Lyme disease can work on these issues, including co-infections.
ParlaMint-FR_2019-10-28-O1044.u247	Mr Christophe Naegelen has the floor to support Amendment No. 472.
ParlaMint-FR_2019-10-28-O1044.u248	I could take on board everything Mrs Dubie has just said, which has explained the situation very well. Madam Minister, you said earlier, quite rightly, that the pain following the illness should not be graduated. But the victims of Lyme disease feel completely obscured, because of the problems of diagnosis and because within the medical community, doctors do not agree with each other. We all come to the conclusion that there is a lack of means to properly diagnose the disease and to properly accompany the victims. [[Mr Maxime Minot applauds]] That is why we are asking for additional funds to be directed towards research on this disease, which affects an increasing number of people, mainly in eastern France, and is beginning to spread throughout the national territory.
ParlaMint-FR_2019-10-28-O1044.u249	Mrs Laurence Trastour-Isnart has the floor in support of Amendment No 44.
ParlaMint-FR_2019-10-28-O1044.u250	As a result of tick bite, many patients suffer from severe and persistent forms of Lyme disease. Despite an antibiotic treatment of two to four weeks, this pathology can be assimilated to a polymorphic syndrome after tick bite. These patients suffer from severe fatigue, muscle or joint pain, skin, heart, neurological and psychological disorders, and may even suffer from memory and concentration disorders. Yet these suffering patients are not recognized medically and socially. Too often, they find themselves in a situation of therapeutic wandering. We are thus faced with a real health problem. I do not want to go into the details of the debate that is agitating the medical profession, because it primarily serves patients, but this debate underlines that we lack a thorough understanding of the mechanism of Lyme disease and its severe and persistent forms. It is not surprising, however, because public funds dedicated to basic, applied and clinical research are almost null in France. But Lyme disease currently affects tens of thousands of people, and if nothing is done, it will affect hundreds of thousands in a few years. We therefore believe that a better understanding of this disease is essential in order to make a real difference in the lives of the sick. [[Mr Maxime Minot applauds]] We therefore propose to increase public funds for basic, applied and clinical research against tick vector disease by EUR 11 million, by allocating these funds to INSERM. They could be attributed, under the supervision of the scientific council of the French Federation against tick vector diseases, to research projects carried out with specialists in the severe and persistent forms of Lyme diseases and co-infections.
ParlaMint-FR_2019-10-28-O1044.u251	We come to two identical amendments, Nos 174 and 294. Mrs Nicole Trisse has the floor to support Amendment No. 174.
ParlaMint-FR_2019-10-28-O1044.u252	The aim of this amendment is to increase funding for Lyme disease research. The funds available to public research institutions, in particular INSERM, in this regard are minimal, if not non-existent. As part of the work carried out under the Lyme Disease Study Group, of which I am co-chair with Mr Vincent Descoeur, we quickly realized that better support for research on Lyme disease – I am thinking in particular of screening tests – could help ease tensions. We are, in fact, faced with totally distraught patients and a fractured scientific and medical community. The medical error of these patients represents a real cost to our society and we should instead focus financial efforts on research into this disease. [[Ms. Jeanine Dubie applauds]] I therefore propose, with this amendment, to increase by EUR 10 million the appropriations for Action 15 "Scientific and technological research in the life and health sciences" within the programme 172 "Multidisciplinary scientific and technological research".
ParlaMint-FR_2019-10-28-O1044.u253	Mr Frédéric Reiss has the floor to support Amendment No. 294.
ParlaMint-FR_2019-10-28-O1044.u254	Madam Minister, when I asked you in committee about Lyme disease research, you told me that it was not fundamental research. All right. However, in September 2016, the High Health Authority launched a national plan to combat Lyme disease, aimed at increasing and coordinating research. A sterile guerilla divides the medical community, while patients with Lyme disease suffer and thousands of new cases are reported every year, as Ms. Dubie, Ms. Trisse, Mr. Naegelen and Ms. Trastour-Isnart have just pointed out. In June 2018 a national diagnostic and care protocol – PNDS – was published, but the High Health Authority sown the disorder, so that we are still in a dead end, while INSERM does not have the ability to respond to the challenges of reliability of tests and treatment management. The Government has just announced the establishment of reference and identification centres for the management of vector-borne diseases, creating some hopes for patients with severe forms of Lyme disease and those who are in a state of misdiagnosis. [[Applause on the benches of the LR group]] The purpose of this amendment, tabled at the initiative of Mr Descoeur, is therefore to give research the means to be able to provide answers to the patients and to the associations that defend them, in abundance of the funds of the programme "Multidisciplinary scientific and technological research" of EUR 10 million taken from those of the programme "Cultural research and scientific culture".
ParlaMint-FR_2019-10-28-O1044.u255	Mrs Laurence Trastour-Isnart has the floor in support of Amendment No 42.
ParlaMint-FR_2019-10-28-O1044.u256	Madam President, if I may, I will support Amendment No 375 at the same time.
ParlaMint-FR_2019-10-28-O1044.u257	Please, dear colleague.
ParlaMint-FR_2019-10-28-O1044.u258	These are two amendments which are in line with those which my colleagues have just tabled. They are intended to provide INSERM with additional appropriations of EUR 10 million for the first, EUR 5 million for the second.
ParlaMint-FR_2019-10-28-O1044.u259	Mr Alain David has the floor to support Amendment No. 188.
ParlaMint-FR_2019-10-28-O1044.u260	According to the latest figures provided by the Ministry of Health, between 2017 and 2018 there was a significant increase in the number of new cases of Lyme disease in France: 104 per 100,000 inhabitants in 2018, compared to 69 per 100,000 in 2017, or close to 70000 new cases diagnosed in 2018. At the same time, many patients report difficulties in the diagnosis, management and treatment of their disease. It is therefore now essential to increase public funding for research on Lyme disease and tick-borne diseases. As a follow-up to the strategic axis 5 " Mobilising research on tick-borne diseases" of the national plan to combat Lyme disease and tick-borne diseases launched in 2016, this amendment aims to strengthen the research effort on these diseases by an additional €2 million.
ParlaMint-FR_2019-10-28-O1044.u261	What is the committee's opinion on these various amendments?
ParlaMint-FR_2019-10-28-O1044.u262	Far from my will to underestimate the importance of the problem. However, I must reply as Special Rapporteur for the "Research and Higher Education" mission of the Finance Bill. In the case of Lyme disease, priority is given to clinical research. The challenge is to better diagnose the symptoms, because we don't know them well. However, this issue came out in particular in the Department of Solidarity and Health – but I imagine that the minister will say so. Inserm, responsible for various plans to coordinate the activities carried out on the subject, has set up a thematic institute dedicated to research on Lyme disease, in liaison with the Institut Pasteur, INRA, the National Agency for Research and several hospital-university centres. I therefore propose that these amendments be withdrawn; Otherwise, the committee's opinion would be unfavourable – not to kick in, but because this is a matter for another budget mission.
ParlaMint-FR_2019-10-28-O1044.u263	What is the Government's opinion?
ParlaMint-FR_2019-10-28-O1044.u264	Lyme disease research is already receiving national funding, notably through hospital clinical research programmes and through the ANR, as well as European funding under the Horizon 2020 programme. As far as MIRES funds are concerned, the ANR funds in particular the OHTicks Participatory Research Programme – One Health Ticks – coordinated by INRA in liaison with the Institut Pasteur, which consists of setting up, in four hospital centres in France, a cohort of people with ticks and symptoms. The aim is to develop better methods of detection – especially with high-speed sequencing – and characterization, thus improving diagnosis. Conducted under the authority of AVIESAN and INSERM, the DIABOLYC – B correliosis diagnosis of Skin Lyme – allows for a skin diagnosis of Lyme disease. The difficulty lies in the ability to obtain an early diagnosis, as one is perfectly able to treat the Borrelia bacteria with antibiotics. The problem arises if the diagnosis is delayed and if other effects occur. Mobilization is also very strong on the side of clinicians in the Greater East Region. In addition, the CiTIC citizens and ticks programme, funded by the Ministry of Solidarity and Health and the European Commission, foresees, in 2019, a new cohort of prospective follow-up research of 8000 patients suspected of carrying Lyme disease. We also mention the centres of competence and reference for the management of vector diseases, which are also run by the Ministry of Solidarity and Health. At European level, the problem is also taken into account, since two projects, financed to the tune of EUR 5.4 million, have been drawn up. Finally, the measures dedicated to the national plan for the prevention and control of Lyme disease and tick-borne diseases, implemented by the Ministry of Solidarity and Health and health agencies, with the support of INRA, are another priority. It is therefore a multi-stakeholder and multi-stakeholder research that will help to combat this disease in a more coordinated way. The Government's opinion was therefore unfavourable.
ParlaMint-FR_2019-10-28-O1044.u265	Mr Dino Cinieri has the floor.
ParlaMint-FR_2019-10-28-O1044.u266	For the past 15 years, our country has been lagging behind in the field of basic research and applied and clinical research, which now needs to be filled with the glaring deficit in order to cope with the development of this pandemic, the Lyme B correliosis. I am thinking, unfortunately, among other things, of a young woman from Saint-Marcellin-en-Forez who was the victim. That is why we have tabled these amendments, which aim to allocate to INSERM essential funds for research into the severe and persistent forms of Lyme disease and its co-infections. The research would gradually put an end to scientific controversy and provide the patient with diagnostic and therapeutic solutions, responding to all situations. We propose that the amount of these additional funds be EUR 10 million.
ParlaMint-FR_2019-10-28-O1044.u267	All right!
ParlaMint-FR_2019-10-28-O1044.u268	Mrs Emmanuelle Ménard has the floor.
ParlaMint-FR_2019-10-28-O1044.u269	I just want to recall that on 3 July last, several hundred people, sick people and their families, demonstrated in Paris, close to the National Assembly, at the call of the Ensemble contre Lyme movement, to call for full recognition of Lyme disease, the establishment of a medical research policy to meet the challenge of health and better care for patients. I would like to hear the argument that much is already being done in terms of research, but patients do not feel it at all, and that is the first thing to answer. As the medical profession does not agree on the methods of detection or on the treatment of the disease, it seems that the patients are left in deep disarray and – to put it briefly – that we are content with the strict minimum. Such an answer is not at the height of France or the expectations of the sick, who do not understand why they are left on the edge of the road. [[Mr Maxime Minot applauds]] We must therefore stop procrastination and give INSERM the means to confront this disease and to end it once and for all with the current controversy, in order to be able to truly and concretely respond to the needs of the sick.
ParlaMint-FR_2019-10-28-O1044.u270	Mrs Jeanine Dubie has the floor.
ParlaMint-FR_2019-10-28-O1044.u271	If clinical research is undertaken, the problem, as has been said, is that they are not bearing fruit. Above all, a very hard confrontation today divides the medical community and learned societies. If we have tabled these amendments as part of the research and higher education mission, it is that we want this issue to be the subject of fundamental research, under the authority of a non-partisan body. This concern for impartiality leads us to ask that these appropriations be granted to INSERM. (Applause from the LT panel)
ParlaMint-FR_2019-10-28-O1044.u272	I put to the vote identical amendments Nos 174 and 294.
ParlaMint-FR_2019-10-28-O1044.u273	The result of the vote is as follows: Number of voters 56 Number of votes cast 53 Absolute majority 27 For adoption 22 Against 31
ParlaMint-FR_2019-10-28-O1044.u274	Amendment No 505 by Mr Guillaume Garot is being defended. What is the opinion of the committee?
ParlaMint-FR_2019-10-28-O1044.u275	This amendment, although interesting, is largely satisfied. As the time for the adjournment of the sitting approaches, I shall say no more. Request for withdrawal or, failing that, unfavorable notice.
ParlaMint-FR_2019-10-28-O1044.u276	The Minister has the floor to support Amendment No. 446.
ParlaMint-FR_2019-10-28-O1044.u277	This amendment seeks to draw the consequences of the transition from the Group of National Schools of Economics and Statistics – GENES – to the broader responsibilities and competences defined in Article L. 711-9 of the Education Code as of 1 January 2020. It therefore proposes to transfer the staff expenditure appropriations from Title 2 of Programme 192 to Title 3 of Programme 192 in order to enable these institutions to benefit from the extended responsibilities and competences.
ParlaMint-FR_2019-10-28-O1044.u278	Mr Yannick Kerlogot has the floor to support Amendment No. 604.
