ParlaMint-FR_2019-11-13-O1066.u1	The next item is the discussion of the draft amending finance law for 2019 (No. 2400, 2404).
ParlaMint-FR_2019-11-13-O1066.u554	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u555	Same opinion. We will have this debate, Mr Dussopt, at the end of the declaration campaign, and a report will be drawn up – obviously on a forward-looking basis – on the effects of the measures presented to you by my colleague Dussopt with a view to revising rental values, which must apply after the removal of the housing tax. That we need to explore other possible solutions – we have already talked about replacing rental value with sales value – we agree and the Government is committed to doing so in the report.
ParlaMint-FR_2019-11-13-O1066.u556	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2019-11-13-O1066.u557	I wanted to support this request for a report, but I agree with the rapporteur-general's proposal. However, I would like to take this opportunity to make a request to the Minister. He had played a role in transparency last year by providing us, for the first time, with the report on the compensation of local tax exemptions. It turns out, however, that for this year we have not yet received this report.
ParlaMint-FR_2019-11-13-O1066.u558	Wait, wait, wait, wait, wait, wait, wait, wait, wait, wait,
ParlaMint-FR_2019-11-13-O1066.u559	The Minister has the floor.
ParlaMint-FR_2019-11-13-O1066.u560	I do not know if you were then present in the Chamber, Mrs Pires Beaune, but Mr Pupponi asked me earlier on this question. I replied that, to my knowledge, this report had been transmitted, but, since you are telling me the opposite, it must be assumed that this is not the case. I therefore commit myself to convey it to you, since we must do so every year. It seems to me that he is currently in the General Secretariat of the Government, which is normally responsible for his transmission, but I assume responsibility for his non-transmission. However, I am informed that it has just been sent to you by e-mail. So you now have it, and we have kept our promise of transparency for the second year in a row.
ParlaMint-FR_2019-11-13-O1066.u561	Minister, we cannot debate properly under these conditions!
ParlaMint-FR_2019-11-13-O1066.u562	Mr Christophe Jerretie has the floor.
ParlaMint-FR_2019-11-13-O1066.u563	[[Exclaims on the benches of the LR group]] I withdraw my amendment. However, I would like to see a plan taken, because we will not be able to carry out the reform of the housing tax until we have settled this issue, which is the cornerstone of the reform of local taxation.
ParlaMint-FR_2019-11-13-O1066.u564	Amendment No 1521 by Sophie Beaudouin-Hubiere, which had been accepted by the committee at its meeting under Rule 88 of the Rules of Procedure, is taken up by the committee. The rapporteur-general has the floor to support him.
ParlaMint-FR_2019-11-13-O1066.u565	[["It's a scumbag! » on the benches of the LR group]] He's forbidden.
ParlaMint-FR_2019-11-13-O1066.u566	Ladies and gentlemen, I invite you to consult the House's Rules of Procedure.
ParlaMint-FR_2019-11-13-O1066.u567	He wasn't even introduced!
ParlaMint-FR_2019-11-13-O1066.u568	He was considered defended. You can check, all this is perfectly regulatory. [[Exclaims on the benches of the LR group]] Is the Government's opinion in favour?
ParlaMint-FR_2019-11-13-O1066.u569	Mr. President!
ParlaMint-FR_2019-11-13-O1066.u570	Would you like to speak, Mr. Rapporteur-General?
ParlaMint-FR_2019-11-13-O1066.u571	Yes, I would like to say briefly what this is about. The amendment is intended to add to the list of information that warehouse operators must provide the tax administration with information on the value of the goods stored. This seems to me to be an amendment of very common sense.
ParlaMint-FR_2019-11-13-O1066.u572	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u573	[["Ah! » on the benches of the LR group]] He's unfavorable.
ParlaMint-FR_2019-11-13-O1066.u574	Without our intervention, it would have been adopted!
ParlaMint-FR_2019-11-13-O1066.u575	Well, that's it. You've got something to do for a year!
ParlaMint-FR_2019-11-13-O1066.u576	Amendment No 2542 of the Finance Committee is drafting.
ParlaMint-FR_2019-11-13-O1066.u577	Amendments Nos 2543, 2544 and 2545 of the Finance Committee are drafting.
ParlaMint-FR_2019-11-13-O1066.u578	Mrs Pires Beaune has the floor to support Amendment No. 2163.
ParlaMint-FR_2019-11-13-O1066.u579	Article 55 deals in particular with digital platforms. It is a good article, but we want to improve it. It plans to put an end, after a year, to the name and shame that affects the operators of non-cooperative platforms, since their identity must then disappear from the website of the tax administration. On the contrary, we would like this publication to continue until the operator has paid everything he owes to the tax administration.
ParlaMint-FR_2019-11-13-O1066.u580	What is the opinion of the committee?
ParlaMint-FR_2019-11-13-O1066.u581	It seems to me that this period is justified because it corresponds to that provided for in the common law name and shame which was introduced last year for cases of fraudulent manoeuvre. In addition, in the case of annual or infra-annual obligations, it is for the administration to renew the procedure if a new breach has been committed. I therefore do not see the point of extending the publication. I therefore ask you to withdraw your amendment, otherwise my opinion will be unfavourable.
ParlaMint-FR_2019-11-13-O1066.u582	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u583	He too is unfavorable. First of all, we must respect the proportionality of sanctions, under the penalty of censorship by the Constitutional Council. A priority question of constitutionality will certainly be asked, given the reputational stakes created by this article – which I thank you for supporting, Member. Then, if your concern is to maintain the sanction until the platform has fulfilled its obligations, the bill responds to it. It provides for the withdrawal without delay of the publication where the operator has paid all the taxes or fines which led to the publication. In the other cases, the duration of the publication is limited to one year, but may be repeated for another fiscal year subject to a new procedure, as the rapporteur-general has stated. Of course, the services will be instructed to request the retention on the blacklist of platforms that did not fully meet their obligations to be included in the blacklist. On the one hand, the draft law respects the principle of proportionality, thus avoiding undermining the innovative mechanism proposed by the Government. On the other hand, my answer and the text respond to your legitimate wish.
ParlaMint-FR_2019-11-13-O1066.u584	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2019-11-13-O1066.u585	I withdraw the amendment.
ParlaMint-FR_2019-11-13-O1066.u586	The rapporteur-general has the floor to support Amendment No. 2546.
ParlaMint-FR_2019-11-13-O1066.u587	Article 55 creates a specific publication penalty for online platforms that have failed twice their cooperation obligations in less than a year. However, publication may not exceed one year. The amendment is intended, like the name and shame procedure that we introduced in the anti-fraud law...
ParlaMint-FR_2019-11-13-O1066.u588	Speak French!
ParlaMint-FR_2019-11-13-O1066.u589	I'm sorry, Mr. Di Filippo, but that's his name. The amendment is therefore intended to make public any court decisions relating to the taxation or fines published. It seems to me to be the least of all things.
ParlaMint-FR_2019-11-13-O1066.u590	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u591	Favourable.
ParlaMint-FR_2019-11-13-O1066.u592	Mrs Emilie Bonnivard has the floor.
ParlaMint-FR_2019-11-13-O1066.u593	[[Applause on the benches of the LR group]] My argument concerns not the substance, but the form, which in this Chamber is important. The official language we must use here to make French law must be French. On several occasions, name and shame has been mentioned. Mr General, you argue that this is the official name of the procedure. I am shocked because the French language contains the words to describe this procedure – simply, "name and blame". We do not need to use the English language in this House to write the law.
ParlaMint-FR_2019-11-13-O1066.u594	The rapporteur-general has the floor.
ParlaMint-FR_2019-11-13-O1066.u595	[[Cendra Motin and Christophe Jerretie applaud]] If anyone would give me the translation, I'd be delighted. Secondly, I hope that we will not force the British to banish from their language the expression "rendez-vous", which is still very pretty.
ParlaMint-FR_2019-11-13-O1066.u596	Amendment No 2547 of the Finance Committee is drafting.
ParlaMint-FR_2019-11-13-O1066.u597	Mr Joël Giraud, in support of Amendment No. 3024, has the floor.
ParlaMint-FR_2019-11-13-O1066.u598	The purpose of this amendment is to entrust the regulatory authority with the task of determining the tax returns that are subscribed by electronic means and the taxes that are to be regulated by tele-regulation.
ParlaMint-FR_2019-11-13-O1066.u599	The rapporteur-general has the floor to support Amendment No. 2548.
ParlaMint-FR_2019-11-13-O1066.u600	The aim is to enable the tax administration to provide banks with information on the eligibility of customers for the popular savings booklet.
ParlaMint-FR_2019-11-13-O1066.u601	Amendments Nos 2549 and 2550 of the Finance Committee are drafting.
ParlaMint-FR_2019-11-13-O1066.u602	Mr Philippe Latomb, who is on the agenda, has the floor.
ParlaMint-FR_2019-11-13-O1066.u603	First of all, in order to avoid any grievances against me, I would like to solemnly reiterate my unwavering commitment to the fight against tax fraud and trafficking, whose constitutional value is unquestionable. As this precondition is clearly laid down, let us now turn to Rule 57, which has been before the Committee on Laws – I have been appointed draftsman of the opinion – in a new approach since the advent of the Fifth Republic, which is fully justified by the purpose of this provision and its consequences for rights and freedoms. The Law Commission wished to give this article a chance, pending knowledge of the guarantees that the Government would agree to provide. She herself has proposed several of them, only part of which has been taken up by the Finance Committee, but which, I welcome, has introduced a significant limitation on the scope of the tax and customs offences justifying the use of the proposed treatments. The debates in the Committee on Laws and then in the Committee on Finance have concluded to convince me: in accordance with my deep values, I personally consider that such a mechanism, in addition to having no place in a finance law and, as such, constitutes a budgetary rider, is premature for at least three main reasons. First, the tax and customs services are already equipped with important means to fulfil their tasks, from the legal means of investigation to the most modern techniques of data mining of declaratory data – forgiveness for anglicism. The CFVR project, targeting fraud and valuing petitions, was the subject of a confidential report from the Directorate-General for Public Finance, DGFIP, to the National Commission on Informatics and Freedoms, CNIL. Parliamentarians did not have access to this report as part of the release of administrative documents. Why? Why didn't you make this report public? What's in it, Minister? Secondly, the scheme is premature due to the inability of the services to assess, with supporting figures, the intended objectives and the number of persons affected by the treatment envisaged, due to the lack of a real impact assessment. Comparison is certainly not right, Mr Minister, but what are the results of similar arrangements used in other democracies – I think, for example, in Connect in the United Kingdom, which you have cited extensively to justify Article 57?
ParlaMint-FR_2019-11-13-O1066.u604	Thank you for closing, dear colleague.
ParlaMint-FR_2019-11-13-O1066.u605	Finally, it is necessary to consider a harmonised and secure framework for all frauds which could justify the use of such treatments, by choosing a suitable, broad legislative vehicle valid for all State services and even a European framework, since countries such as the Netherlands are experiencing the same discussions on SyRI – System risk indication – as well as judicial procedures. That is why I have tabled an amendment to delete the article.
ParlaMint-FR_2019-11-13-O1066.u606	The rapporteur-general has the floor.
ParlaMint-FR_2019-11-13-O1066.u607	I am speaking in a comprehensive way, which will allow me, on the various amendments, to be very brief. Article 57 provides for a three-year trial of the collection by automated processing of freely accessible personal data – I insist – on social networks and online content sharing platforms. In the preamble, I would like to point out that the administration is already searching for information on the Internet. This research is done by human beings – I have sometimes done it in other functions. Section 57 allows this research to be done by robots using algorithms. Let us not be mistaken about the debate. It is not a question of whether the administration has the right to use public personal data, as it has always had the right to do so. The question is how these data are collected and how they are collected in the light of the principle of proportionality between detection of fraud and respect for privacy. This article raised many concerns and CNIL expressed several important reservations in its opinion. The Committee on Laws has taken up its opinion, and I would like to thank its draftsman for his opinion, who has just spoken. This enabled us to engage in a constructive dialogue with the Government in the days leading up to the Finance Committee meeting with a view to improving the arrangements. I thank the Government for this dialogue and recall that it could have initiated this experiment without going through the law. Automated data processing is in fact a regulatory area. If the Government introduced this article into the PLF, it was because it wanted our opinion. Rather, I see it as a significant sign of respect for Parliament, while the Government's consideration has sometimes failed. I support the general thrust of the article. The fight against tax fraud is an objective of constitutional value. However, I would not have accepted the article in its original version because its scope was too broad. The work done in committee has enabled us to find the right balance between the fight against tax fraud and respect for privacy. I will of course give an opinion against the deletion amendments. I hope that the amendments of the committee on which we have worked to find balance will be adopted. The most important amendment, in my view, is one which tends to restrict the scope of application to the most serious cases connected with the underground economy and voluntary subtraction from the French tax. By tightening the system on covert activities and fraudulent tax residences, we will exclude 97% of tax breaches; This will limit the scope of data that can be retained. Similarly, for customs offences, the Commission's amendment aims to restrict the scope of application to offences only and excludes contraventions. On the other hand, it maintains in the field – and it is happy – illicit tobacco and alcohol shops. The Finance Committee has taken on board a very important amendment by the Committee on Laws concerning the prohibition of subcontracting. We have also provided additional guarantees as to the nature of the data collected: first, only clearly made public data can be collected, in accordance with Article 9 of the GDPR, the General Data Protection Regulation; Then, only "strictly necessary" data will be retained for a maximum period of one year, not all data "of such a nature as to contribute" to the finding of tax or customs breaches. Another amendment by the committee, adopted at the initiative of the LaREM Group, provides for the destruction of all sensitive data within five days. Several symbolic or poster amendments recall that the guarantees of fiscal control apply and that the implementing decree will have to respect the principle of proportionality. Finally, an amendment by the committee provides for an interim review to be drawn up mid-term, 18 months before the end of the experiment. In the end, the adoption of these various amendments would give citizens more guarantees and narrow the scope of the experiment. If they are adopted, I will therefore support the article unreservedly.
ParlaMint-FR_2019-11-13-O1066.u608	The Minister has the floor.
ParlaMint-FR_2019-11-13-O1066.u609	I don't know if the article is important, but it's media – let's say so. He asked questions about both the fight against tax fraud and the means at the disposal of the administration to achieve the aim which Parliament wished to assign to him. Both tax fraud and common law: the thief's car tends to drive very fast, perhaps too fast, and the gendarme's car has to drive as fast if the thief is to be arrested; With a Renault 4L to chase thieves behind the wheel of a very large car, the results of the gendarmes can only be modest, unless the fastest have an accident, but the probability of such an outcome is low. It is therefore a matter of adapting ourselves. We do not only do this for data processing or artificial intelligence; We have done so by modernising the criminal prosecution framework for financial offences, which it is agreed to call Bercy's lock: 80% of the cases are now transmitted to the public prosecutor; establishing a criminal transaction; at the moment, by sanctioning platforms that do not fulfil their obligations; working on digital revenues; Perhaps earlier, by acting with respect to non-cooperative states in the area of data exchange. Mr. Latombe, what is data exchange? These are millions and millions of data exchanged. All governments have fought for such exchanges – between Panama and France, for example. This helps to prevent scandals such as Panama paper or to remedy them, i.e. to prosecute the perpetrators when a consortium of journalists or certain people – we were talking about it with Mrs Pires Beaune – show us lists. The rapporteur-general said this very well: the administration cannot process these millions of data manually. And the French administration cannot be the only one not to use new technologies, in particular to combat tax evasion. Among the means that must be made available to the tax administration to improve tax controls, as I committed myself to doing when I took up my duties, is of course artificial intelligence: 25% of tax controls today do not succeed, while fraud is valued at very large amounts – billions of euros no doubt, we will see what the Court of Auditors says in the report it is due to report in a few days' time. On the one hand, some taxpayers who have nothing to blame are subject to administrative trouble – control is always an unpleasant time. On the other hand, we cannot recover large amounts of fraud. It is therefore a question of being able to move from the manual to the computer and to use the means used by all administrations – you mentioned the United Kingdom, Mr Latombe, but we could also mention the United States, Spain and many other parliamentary democracies. The rapporteur-general also said that it was already possible to search the Internet. In order to verify that a taxpayer has spent more than six months outside France – I take the example of tax domiciliation, which seems to me the easiest to understand – a tax controller can search the networks for information that the person himself has made public; There is no question of looking at the hidden copies, nor of using geolocation. Large digital companies use your geolocation to advertise: it bothers some people here, but it is not the purpose of this text. The tax controller has the legal means to confuse you by proving that your moral, family, or professional interest is in France, and not abroad. What we propose is to use algorithms, artificial intelligence and the means of data mining – please forgive this anglicism – to apply tax control. Faced with extremely large amounts of information, it is indeed necessary that we can, within a very short time, process these data, eliminate those that have no interest – we will be able to discuss them during the experimental phase, or even before – and focus on the criterion that will lead to control. Indeed, it is the definition of criteria that will lead humans, not robots, to apply fiscal control. Given the shock that the Government's proposal, which dates back to last year, has generated, I have taken the decision to refer the matter to CNIL, with which we have had lengthy discussions. The CNIL has in no way described the Government's will as liberticide. On the other hand, it considered that it would be necessary to supervise it very strongly, to guarantee individual freedoms, to allow individuals access to their personal data and to ensure the destruction of the data that was not relevant, and then of the data that had been used for control. The subject is so important that it must fall within the scope of the law, she concluded. We have therefore submitted our text to the Council of State, which guarantees respect for freedoms – note that we have not sought to have our system approved in catini, through a bill or an amendment, which would have allowed us to avoid its referral. The Council of State concluded that this was an important, non-liberticidal subject, but that it required many safeguards and fell within the scope of the Regulation; He invited us to seize the CNIL. The Government had therefore chosen to follow the latter's advice and, as far as possible, to propose legislation. It is now up to Parliament, the National Assembly as the Senate, not only to discuss this section 57, but to amend it. We will, moreover, necessarily do so since I will deliver a favourable opinion on the amendments by the Committee on Finance – but not on Mr Latombe's sub-amendment on the design of algorithms: indeed, if I fully agree that the exploitation of algorithms should not be carried out by sub-contractors, the question is open to debate as regards the design of machinery. Finally, the Constitutional Council may, in any event, censor this provision if it so wishes, knowing that a priority question of constitutionality can obviously be raised by those seeking to ensure its conformity with the Constitution. What else do we propose? That the experiment of this system concerns only three fields: tax domiciliation; illegal businesses – the rapporteur-general has mentioned tobacco on this point and I would remind Mr Jean-Louis Bricout that the Buralists expect a commitment from national representatives in this area – and occult activities. This phase of experimentation will run for three years, with, at the end of 18 months, before the end of the quinquennium, the submission of a report to Parliament; We will then decide if we stop the experiment, if we pursue it or if we amplify it. It is rare, you will agree, that this should be done. I say this to the left side of this House, which is probably very attached to freedoms,...
ParlaMint-FR_2019-11-13-O1066.u610	So do we!
ParlaMint-FR_2019-11-13-O1066.u611	... but who also wants to go further in the fight against tax fraud: the government and the administration cannot be asked to step up the fight against fraudulent assembly – which we have done by being among the first in Europe to transpose the DAC 6 directive, which obliges them to be made public – and to put an end to Bercy's lock, without allowing him to acquire sufficient computer resources so that he can have a car running as fast as that of thieves. You will also see that the PLF provides for an increase of EUR 30 million in appropriations for the Directorate-General for Public Finance, DGFIP, in order to match legal and IT resources. That is what we are proposing, in respect of individual freedoms and under the control of the law. I also pledge that all decrees will be submitted to the CNIL, which we will publish systematically, and then to the Council of State, before being implemented. Let us never forget that fraudsters are acting ingeniously and devoting large technical, legal and financial means to get a lot of money out of the tax system. It is therefore appropriate that the State should not use naivety to recover that money.
ParlaMint-FR_2019-11-13-O1066.u612	All right!
ParlaMint-FR_2019-11-13-O1066.u613	I have before me several amendments, Nos 157, 952, 1507, 1926, 2133, 2147, 2164, 2203, 2333 and 2635, to delete the article. On these amendments, I have a request from the Group of the European People's Party for a public vote. The vote is announced in the National Assembly. Mrs Constance Le Grip has the floor to support Amendment No. 157.
ParlaMint-FR_2019-11-13-O1066.u614	It was with great attention that I listened to the rapporteur-general and the minister. Fortunately, Parliament and two parliamentary committees were there, including the Committee on Laws, which dealt with this subject in a completely exceptional manner, so that all the terms of the debate could be publicly put forward, with regard to an article which, although it has had some media prosperity, affects mainly very essential issues. Far from us, members of the Republican Group, the idea of denying the importance of the fight against tax fraud and the need to strengthen the State's capacity to do so. Similarly, we do not imagine for a moment denying the tax administration the right to use new technologies. The question is not here. The question is the nature and extent of the resources granted. With regard to the original version of article 57, which is the one we have to consider, we have heard many reservations and reservations and have expressed our total opposition. Several actions were initiated, beginning with the initiative of the rapporteur-general, who also referred to his reservations and indicated the questions which he felt remained unanswered. We are very pleased to be able to relay the important reservations expressed by the CNIL, which calls on the public authorities to be very cautious in this regard. We plead for a balance – albeit subtle, but real and solid – between the desire to make our tax administration effective and the need to preserve individual freedoms, the protection of personal data and respect for privacy. It is in this spirit that we wish to draw the attention of national representation to this text and that is why we have tabled an amendment to delete Article 57, which, as drafted, does not suit us in any way.
ParlaMint-FR_2019-11-13-O1066.u615	The identical amendments No 952 by Mrs Claire Guion-Firmin and No 1507 by Mr Fabien Roussel are defended. I call Mr Pupponi to support Amendment No. 1926.
ParlaMint-FR_2019-11-13-O1066.u616	I am of course in favour of giving additional resources to the tax administration, but what was tabled before the Committee on Finance did an important job – which I welcome – and adopted several amendments do not satisfy the members of the Freedom and Territory Group. I will have, Mr. Minister, a somewhat technical question. Indeed, I fear that by collecting a large number of data, some should have been collected as part of a tax control, thus without an audit opinion.
ParlaMint-FR_2019-11-13-O1066.u617	It's not the same data!
ParlaMint-FR_2019-11-13-O1066.u618	Dear colleague, do we agree that we are going to collect data before the verification notice to, precisely, trigger a possible control? There may therefore be a legal risk. This point should be checked in order, where appropriate, to remove this risk by the second reading of the PLF. In the context of a contentious claim, prudent counsel should not argue that data under tax control were collected prior to the audit notice, which could render the control null and void. The device should be secured.
ParlaMint-FR_2019-11-13-O1066.u619	Mrs Albane Gaillot has the floor to support Amendment No. 2133.
ParlaMint-FR_2019-11-13-O1066.u620	While we are all in favour of the fight against fraud, CNIL has considerable reservations about the proposed measures. I understand that the text we are considering today does not take into account the various adjustments envisaged in committee. I myself have tabled a number of amendments incorporating CNIL's recommendations with a view to further framing the scheme. The CNIL considers that "in view of the scope of the proposed scheme, both in terms of the number of persons concerned and the volume of data collected, a particularly important infringement of the right to privacy and the protection of personal data is likely to be characterized". That is why it is important to reflect on all the safeguards that could be introduced in order to protect individual freedoms.
ParlaMint-FR_2019-11-13-O1066.u621	I call Mr Eric Coquerel to support Amendment No. 2147.
ParlaMint-FR_2019-11-13-O1066.u622	Article 57 aims to enable the collection and exploitation of data made public on the websites of social networks and platform operators, which would constitute a clear risk of infringement of rights and freedoms for the La France group. I will take up the arguments put forward in committee by my colleague Ugo Bernalicis, who, together with Jacques Maire, de La République en marche, has been the author of a report on the evaluation of the fight against financial crime. Ugo Bernalicis, of which I share the opinion, observes that, for several years already, the Directorate-General for Public Finance has adopted techniques of mass data collection and data mining to bring the money into the State funds, even if it did not concern the social networks covered by this scheme. Over the same period, thousands of tax control officers were abolished. Has this data mining been effective in recovering money? The figures do not attest to this. Is it because the number of fraudsters is decreasing? My colleague Ugo Bernalicis and I do not think so. Instead, we believe that this is not the right way to reduce tax fraud, which, according to some estimates, would still amount to EUR 80 billion per year. By working on their report, Messrs. Bernalicis and Mayor observed that at no time did the tax administration, the police, the Central Office for Combating Corruption and Financial and Tax Offences, the Central Office for the Suppression of Serious Financial Crime or the National Financial Prosecutor's Office request access to taxpayers' personal data on social networks. The Government's proposals therefore seem to us to be surprising to say the least, and we believe, as with intelligence issues, that it would be much more effective to develop human resources, which have been being eroded for years to come. As for social networks, it would seem to us more efficient to tax Facebook and the other GAFAs to the extent of the profits they actually make in France, which would make it possible to bring money into the caisses de l'État, rather than to run the risk of infringements of public freedoms.
ParlaMint-FR_2019-11-13-O1066.u623	Mr Jean-Louis Bricout has the floor to support Amendment No. 2164.
ParlaMint-FR_2019-11-13-O1066.u624	Article 57 allows, of course, on an experimental basis, the mass collection and exploitation of data made public on social networks. If we are anything but opposed to combating fraudulent behaviour, we nevertheless remain concerned about the protection of the privacy of the persons concerned. As many of our colleagues have pointed out, CNIL shares our concerns and invites us to exercise caution with regard to individual freedoms. We are indeed seeking a balance between the latter and the fight against fraud. In the absence of the necessary safeguards, we call for the deletion of article 57. Otherwise, we will present two back-up amendments, aimed at refocusing the scope of the experiment, with regard to Amendment No 2168, on the most serious checks, or, in the case of No 2165, on offences involving second and third class infringements.
ParlaMint-FR_2019-11-13-O1066.u625	Mrs Véronique Louwagie has the floor to support Amendment No. 2203.
ParlaMint-FR_2019-11-13-O1066.u626	This amendment is tabled by the Republican Group as a whole. While we have the will to fight fraud as best we can, it does not justify all the means. It seems to us very important to find a balance. However, the mechanism proposed by the Government amounts to comprehensive and comprehensive monitoring. We could accept the use of such a technique if it were applied to targeted groups of people with a proven suspicion of fraud, but, in this case, there will be no longer any limit: supervision will, I repeat, be comprehensive and widespread. On the other hand, the CNIL, which you mentioned, Mr.Minister, calls on the public authorities to exercise great caution, as the Government's system, in its view, poses "unprecedented questions concerning the protection of personal data". I would add that the U.S. Congress, which had allowed the administration to use the data mining technique, finally decided to abandon it because of the threats it posed to citizens' privacy. This must be taken into account. Finally, the Law Committee – which has done a good job, our colleague Philippe Latombe recalled – noted the absence of a clear impact assessment. We are not aware of the types and volume of data collected, as well as the nature of the controls. For all these reasons, the Republican Group proposes, by this amendment, the deletion of Article 57.
ParlaMint-FR_2019-11-13-O1066.u627	I call Mr Latomb to support Amendment No. 2333.
ParlaMint-FR_2019-11-13-O1066.u628	I hear what you're saying, minister. You are considering restricting the device by modifying the list of offences prosecuted. However, you will still make a "trawling" of the data – this is the comparison we made in the Law Commission. In other words, you want to fish only one kind of fish, but you're going to capture a very large amount of data, and that's the problem. In order to tighten the system, the list of infringements should not be limited, but the mesh size of the net should be changed. Restricting the system would mean limiting the scope of the platforms on which data will be collected – that's what was said in the Law Commission, and I was willing to discuss it, in order to make the system compatible with our principles. For some platforms, there is no apparent reason to collect data. Will sites on which users exchange data on religious practice or trade union activity be excluded? We don't know, and we don't have a way to find out. Restricting the device would also mean limiting the amount of data collected and paying attention to sensitive data. You should not collect sensitive data! The five-day delay you leave before destroying the data is a problem. This means that, for five days, the state, through the DGFIP, will hold somewhere in its servers – we will then talk about subcontractors – data on political opinions, religious practice or sexual orientation. It's not normal! This type of data should not be available to the State. The question then arises as to the duration of the experiment. In this regard, you did not answer the questions I asked you earlier. A report on the CFVR project was sent to CNIL. It is not accessible to parliamentarians. What's in it? Does he indicate that we need to go further in this area? Does he give any justifications in this regard? Does it, or does it not, demonstrate the validity of Article 57? Finally, the Council of State, you said, considers that these provisions are not in the legislative sphere, but in the regulatory field. However, all the people I interviewed in the context of my work as draftsman have said that these measures fall within the legislative sphere. Moreover, the Council of State seems to consider that this section has nothing to do with a finance bill. In other words, it would be a budget rider. Is that correct? Is that what the Council of State says?
ParlaMint-FR_2019-11-13-O1066.u629	I call Mrs Emmanuelle Ménard to support Amendment No. 2635.
ParlaMint-FR_2019-11-13-O1066.u630	I have already had the opportunity, during the general discussion, to express my full opposition to Article 57. If improvements have been made to it in committee, they do not seem sufficient to me. Article 57 provides for the authorisation of the tax administration to collect and exploit freely accessible content published on the Internet. He would be given an experimental authorization, for three years, pending more, of course. To put it clearly, it is no more or less, I repeat, to be able to spy on taxpayers, in order to detect whether their lifestyle is in line with what they report to the tax authorities. Bercy hopes to increase the proportion of controls targeted by artificial intelligence to 35% by 2020; It was 13.85 % in 2018. The Committee on Laws has narrowed the scope of experimentation to the search for major crimes, but the very philosophy of the method poses a problem, notwithstanding the commitment of all here to the fight against tax fraud. This general collection of personal data constitutes a genuine infringement of the freedoms of expression and opinion,...
ParlaMint-FR_2019-11-13-O1066.u631	Not at all!
ParlaMint-FR_2019-11-13-O1066.u632	... because it can only lead to a form of spontaneous self-censorship of the French, so that their expression is not used against them by the tax administration. This remains, of course, unacceptable, despite all the improvements made to the text.
ParlaMint-FR_2019-11-13-O1066.u633	What is the committee's opinion on these deletion amendments?
ParlaMint-FR_2019-11-13-O1066.u634	In line with what I said in my opening remarks, I express an unfavorable opinion on all of these amendments.
ParlaMint-FR_2019-11-13-O1066.u635	What is the Government's opinion?
ParlaMint-FR_2019-11-13-O1066.u636	I would like to provide some answers to the questions raised. Of course, Mr Latomb, Article 57 is not a budget rider, since it is not a question of creating a new control procedure, but of better targeting controls.
ParlaMint-FR_2019-11-13-O1066.u637	Exactly!
ParlaMint-FR_2019-11-13-O1066.u638	Moreover, it deals with taxation, more specifically with fiscal control, and therefore has its place among non-attached items. In fact, your argument is quite surprising: the Council of State would be wrong to say that these provisions are not in the field of law, but in the field of regulation, and it would be right to point out that the article is a horseman. We will see what the Constitutional Council will say. I note that many of you say, in essence, "We are very eager to fight fraud, but..." My grandmother often told me that all the above "but" does not exist. When you say "I love you, but...", there's a problem. You ask the tax administration to run the 110 meters hedges with a ball at each foot, while its competitors do not have this obstacle! Let us make sure that we do not lag behind the tools that will work in the coming years. As for what happened in the US administration, that is not exactly what you said, Mrs Louwagie. The experience of the British administration could be used in a more judicious way. We could discuss these examples at length, but we are not going to have a comparative practice debate on the use of artificial intelligence in tax control. If I may, it is appropriate to compare the device not with the fishing net, but with the video protection camera. I say this to the Republican Group in particular: this debate is similar to the debate that took place some ten years ago on video protection. Some people were then opposed to what is being filmed on the street – no doubt there are still people who think so, even if their number has decreased in view of the effectiveness of the device. "We are for security, but...": we feared a form of surveillance; We were wondering what would be made of the images kept for several days: were the municipal police not going to watch the lives of the citizens? You also seem to think, Mrs Ménard, that the agents of the tax administration will politically prosecute anyone who expresses himself on social networks. You have little confidence in the officials of our country, and that is a bit of a shame.
ParlaMint-FR_2019-11-13-O1066.u639	It's not a question of trust!
ParlaMint-FR_2019-11-13-O1066.u640	This has nothing to do with it!
