ParlaMint-NO_2014-04-09.ana.ud2193e26	The representative of Pál Farstad will present a proposal for a representative.
ParlaMint-NO_2014-04-09.ana.ud2193e1271	Thank you very much for your response. The problem here is that there has not been any clarification from Oslo University Hospital – it could come at any time after 27 October 2010 – about how they will proceed with the project, so that the Municipality of Oslo could provide a clarification from Oslo University Hospital on how they plan their part. Because of the project called Campus Oslo – where a main option, which you work most with, is to locate everything in the Gaustad area – it may seem as if you have put that plan of a major urban guard in Ullevål’s area a little to the side. Then there is a good signal from the council when he says it is well suited to have it near the new emergency reception at Ullevål. My question is: Will the Council of State give Oslo University Hospital and Health South-East a signal that it should be a project of its own, regardless of Campus Oslo?
ParlaMint-NO_2014-04-09.ana.ud2193e1282	I have previously replied to the representative, Bøhler, about the plans for the challenges with capacity in the metropolitan area. In June, Health South-East will address a matter of medium-term capacity challenges. The development of the idea of Campus Oslo is a long-term development project, in which the Health Directorate’s planning requirements also mean that a person must also plan realistically and with different other options. I therefore believe that there is a solution that is so far ahead of time, and there are so many questions that need to be answered before one can say that there is a solution, that there is no reason to wait for such clarification before a possible discussion about a metropolitan guard starts. I expect Oslo University Hospital to cooperate with the City Council in Oslo on clarifying these issues.
ParlaMint-NO_2014-04-09.ana.ud2193e1295	‘The City Mission of the Church and the Red Cross operate a health centre in Oslo where immigrants are offered free health care without being allowed to stay. In the media, we have been able to hear and read that the Progress Party is very critical of the system, and that we want to deal with this with the government. Can the Council of State ensure that authorised health professionals will continue to be able to provide health care on a voluntary basis to people visiting the health centre?’
ParlaMint-NO_2014-04-09.ana.ud2193e1302	When a new foreign law was passed in 2008, the majority in Stortinget considered that the law should not be interpreted so sparsely that a ban on the humanitarian space needed by organisations such as the Red Cross and the Church’s Bymission to provide assistance to people without legal residence and who have social and health needs. Another majority considered that it was necessary to clarify where the boundaries should be between legal humanitarian assistance to foreigners with illegal residence and what could be affected as a criminal contribution to illegal residence. The government was then asked to come back with a proposal to that effect and a new participation provision in the Foreign Affairs Act was adopted in 2009 and entered into force in 2012. This provision clarifies that only in exceptional cases can it be considered criminal to provide humanitarian assistance to a foreigner who is illegally resident in the country. Firstly, it is a condition to be penalised for assistance for illegal residence that the provider of assistance intends to help the foreigner avoid the obligation to leave Norway. Secondly, aid must have made it difficult for authorities to send the foreigner out of the country. This means that it is made clear in the law that the assistance provided by humanitarian organisations is open to people with illegal residence, for example: provision of housing, food and health care is considered to be legal humanitarian assistance. As long as health professionals stay within the conditions applicable to not being affected by participation in illegal residence, they may continue to provide health care on a voluntary basis to people seeking health centres for paperless migrants. I can assure you that I am concerned that humanitarian organizations, such as the Red Cross and the Church's Bymition, should still have a certain scope for action to provide health care to those who need it. It also follows from the regulation on the right to health and care services for people without permanent residence in the kingdom that everyone has the right to immediate help and health care that cannot wait.
ParlaMint-NO_2014-04-09.ana.ud2193e1319	I thank the Council of State for a very clear response: this business should be able to continue. Tuberculosis and HIV are two examples of infectious diseases that are very important for diagnosis and treatment. Some of the undocumented are exposed to trafficking in human beings and prostitution, are particularly vulnerable to infection and are also vectors. In this way, this health centre is doing an important task, both by helping to identify symptoms and to refer to them, confirm diagnosis and provide important information to these patients, which can prevent further disease progression and infection. Does the Council of State see that, from a public health point of view, driving this centre for Norway is a useful and important activity?
ParlaMint-NO_2014-04-09.ana.ud2193e1328	I believe that the concept of 'paperless immigrants' is a misleading concept. Persons residing illegally in Norway are not paperless. Either they have not taken a decision to leave or have not contributed to their departure. Therefore, using the term ‘paperless immigrants’ helps to create a notion that these are people who live in Norway and are not responsible for it. I disagree. They themselves are responsible for the situation in which they are and should comply with legal decisions on exit — and contribute to their exit. It is quite right that some of these people need health care, for example. related to the type of disease that would also be a health issue for society otherwise: avoiding infectious diseases. That is why we contribute, inter alia: to provide those organisations with support for that work.
ParlaMint-NO_2014-04-09.ana.ud2193e1335	I thank you for your answer. Irrespective of status: these are immigrants without a legal stay. Some are operating around Europe. Others are here for different reasons. In fact, they're here. I've been visiting this health centre, and it's impressive to see that 125 volunteer health workers put their skills at the disposal, and how much volunteering gets out of such an offer. One of the challenges is that today we only have an offer in Oslo, partly in Bergen, but in very few other big cities. It's probably in e.g. Stavanger and Trondheim also need such an offer. Does the Council of State consider it appropriate to contribute to the establishment of more such health centres in the major cities of Norway?
ParlaMint-NO_2014-04-09.ana.ud2193e1346	This is an offer that is of such a nature that, if it is to be available, it must be driven by purely voluntary efforts. It is not a public task to provide health care — in addition to what we are obliged to do in the case of immediate help — to people who are staying illegally in Norway. However, humanitarian organisations are supported by the Health Directorate in their work on infectious diseases, and there are resources that can also be used to reach people who are illegally resident in the country, but there is no current government policy to support this type of centre.
ParlaMint-NO_2014-04-09.ana.ud2193e1351	We go to question 15.
ParlaMint-NO_2014-04-09.ana.ud2193e1358	This question, from the representative of Tove Karoline Knutsen, will be answered by the Minister of Justice and Defence on behalf of the Minister for Oil and Energy.
ParlaMint-NO_2014-04-09.ana.ud2193e1361	‘In connection with the treatment of Report by Stortingen. St. 15 [[2011-2012]] Can the Council of States say anything about when such an acquisition is planned to be carried out?’
ParlaMint-NO_2014-04-09.ana.ud2193e1368	On behalf of the Minister for Oil and Energy, I have been asked to give the following answers to the question: The oil and energy minister Tord Lien has taken the initiative to conclude negotiations with the owner municipalities behind Åknes Tafjord Standød IKS and Nordnorsk Mountain Surveillance with a view to integrating the monitoring activities into the NVE. In January of this year, the Minister for Oil and Energy sent out a letter to the municipalities where the premises for State acquisition have been outlined, with a deadline for feedback on 31 March. Åknes Tafjord Standød and Nordnorsk Mountain Surveillance have now replied that they want a state acquisition. The NVE is to conclude the negotiations on behalf of the State, and this process has begun.
ParlaMint-NO_2014-04-09.ana.ud2193e1377	Thank you. This large-scale notification underlines that there are likely to be several massifs in different parts of the country that are of such a nature that the risk of slippages and races, e.g. down against the sea or water, near the settlement, is imminent. Therefore, I think it is important that the operation and the necessary geotechnical follow-up for monitoring such mountains in the future are taken care of and costed by the state at the NVE, so that small and vulnerable municipalities do not have this responsibility. So it's very positive that you now want to start this process. I know that in Åknes Tafjord there are some unexplained things about costs and investments that have been made. I do not know whether the Council of State, on behalf of the Minister for Oil and Energy, can respond to whether this process can go, regardless of whether it has been negotiated with the costs of Åknes Tafjord?
ParlaMint-NO_2014-04-09.ana.ud2193e1384	It is true, as the representative points out, that there has been some disagreement about historical investment costs. The previous government dropped the case after the municipalities wanted them to be compensated for these previous investments. As I have understood the feedback, and it is with a certain reservation, it is now a challenge that is significantly smaller, and the municipalities are concerned that they should also save the operating expenses they have today. They pay approx. 30 pst. the costs of operation. In the case of a State acquisition, those costs will disappear. I have the impression that the negotiations that are now in progress, and the premises that the Minister for Oil and Energy has made, are largely accepted by the municipalities of ownership.
ParlaMint-NO_2014-04-09.ana.ud2193e1389	It was very positive to hear. These municipalities have now said and very strongly wished that takeover of operations means full funding from the state, except for the local costs that will be incurred for the local emergency response that will result from the situation in which they are located. Can the State Council confirm that the State will complete the financing by acquisition?
ParlaMint-NO_2014-04-09.ana.ud2193e1398	This too is subject to a certain reservation, but as I have understood the correspondence and offer from the state, it is such that the state takes over 100 pst. of the operating costs against the 70 pst currently in existence and the municipalities have their own financing share of 30 pst. After all, the starting point for State acquisition is that operations are also financed by the State.
ParlaMint-NO_2014-04-09.ana.ud2193e1403	We go back to question 14.
ParlaMint-NO_2014-04-09.ana.ud2193e1410	I have the following questions: ‘The VG has told in several articles about women who have been subjected to violence in close relations. Stories show that they haven't experienced being treated in a respectful and good way. This, in that case, is in stark contrast to society's expectations of the police. Is the Council of State aware of this, and what action can the Council of State take to make the Norwegian police even better on such issues that are often difficult to deal with at the outset?’
ParlaMint-NO_2014-04-09.ana.ud2193e1419	I am very pleased that the representative Ellingen addresses this issue. Violence against women and violence in close relations are very serious crimes that the government has seized from the first day of the government quarter. We are following up the present action plan against violence in close relations, but it is made by the previous government. We are constantly following up on the need to make corrections and updates to that action plan in order to be even more explicit on a concreteisation of some of the measures in place. How the police handle issues of violence in close relationships is crucial to trust, both for those who are subjected to violence and for the general population. Victims of violence shall meet with understanding. They will meet with knowledge and understanding of the police, both human and police. Although the police deal with these kinds of issues in a much better way than just ten years ago, there is still a potential for improvement, and not least through the posted representatives refer to in their question. Counsellor and related instructions for family violence coordinators and teams as well as the Riksadvokat's annual circular and guidelines now provide clear guidance for police work on violence in close relations. Police and prosecution authorities currently have a number of safeguards available, including: restraining visits, patrolling in the area where victims are exposed to violence, alarming by electronic means in the event of a refusal of contact, so-called reverse alarm of violence and barrier of address, also known as Code 6. It is essential that these instruments be used as provided for in order to prevent further violence. In particular, the police must react offensively in the event of a breach of a restraining order. Knowledge and competence are fundamental to all police work. In 2012, an evaluation was carried out of the police’s work on violence in close relations, including: The police’s meeting with – and information to – victims of violence was the topic. The police directorate has now been assigned in 2014 to follow up the recommendations contained in the 2012 report. In addition, police counsellors and action cards in this area shall be regularly updated. We also roll out the risk assessment tool SARA, with which the representative is known from the past, in all the police districts of the country, which will significantly improve the situation, I think. The use of this tool shall contribute to a more comprehensive provision of victims of violence and threats. Through the use of SARA, serious violence shall be detected and prevented more systematically than in the past. In addition, I would like to mention that the police continue to follow up exposed to violence in close relations in the best possible way. We rely on good cooperation with other actors. A project is now being tested to assist victims of violence in the same room at Stovner in Oslo – a kind of adult children’s home modelled from Sweden, which has produced good results in Sweden. Finally, I would like to stress that our most important task, of course, is to prevent violence from taking place. That is why we will give priority to prevention. However, a so-called zero vision must be combined with the proper care of the victim of violence and abuse.
ParlaMint-NO_2014-04-09.ana.ud2193e1442	I thank the Council of State for a full and good answer. It's good to hear that the level of ambition is high. It is important to take this seriously. At the same time, the feedback I have received may not be so much about the measures, but the attitude that is sometimes felt by the Norwegian police. If you have taken good action and have good ambitions, it does not help if the representative of the Norwegian police who is exposed to violence in close relations does not have the right understanding. Further to the ambition now outlined by the Council of State: How is it intended to ensure that the Norwegian police actually acquire the necessary knowledge, respect and understanding for the women they meet – for the most part women?
ParlaMint-NO_2014-04-09.ana.ud2193e1447	As I mentioned so far in the main response, in 2014, we have implemented a number of actions to be followed up by the Police Directorate in the police districts. I think it is absolutely essential to have a proper leadership focus on this type of crime, and to ensure that those who work on it have the skills required – and to understand what these women and children are actually experiencing. In addition, I think we need to look at some of the models that have been chosen around to improve the victim situation and the follow-up of the victims after such an event, after a review and really right up to a court order, when you often stand alone and feel that it can provide the police, really isn't good enough, because you need so much more. There are several projects around the country. We are now implementing a project to coordinate it and see how we will have a satisfactory follow-up in the future.
ParlaMint-NO_2014-04-09.ana.ud2193e1454	The focus of the Council of State on the victim's experience of such a situation is, I appreciate it infinitely, because it's probably the most important thing we can do. At the same time, my experience, based on the feedback I get, is that in small communities, which often have a borrower, sometimes become even more difficult, because you usually know both parties. You may find it difficult to decide whether or not it has happened, even though at the end of the day it is a court that has to make that decision. How are you going to handle these things? I fully support the ambition of the government and the state council, but how do you meet it as a local culture/unculture, where everyone knows it? How do you make the systems work in these settings?
ParlaMint-NO_2014-04-09.ana.ud2193e1459	I think that's a very good question, especially in a situation when we have a very decentralised structure. In some communities, there is a lenender who comes into conflict with himself and the community as such. I think the most important thing here too is competence, that you should be able to do a real job. I think this is something that will be better when we see the implementation of a police reform, and get better and stronger professional environments, which can be used around the communities to reinforce the employee's job or the local police's job when needed in such matters as this. These are complex and difficult issues. It's awfully demanding for those who are directly involved in this. It is absolutely essential that the police and the other auxiliary equipment handle this well. I believe that we will have easier access to the necessary expertise when we later organise the police in a forward-looking and good way, including in terms of competence.
ParlaMint-NO_2014-04-09.ana.ud2193e1473	This question has been raised. Question 17, from the representative Anna Ljunggren to the Minister for Oil and Energy, will be answered to the Minister for Justice.
ParlaMint-NO_2014-04-09.ana.ud2193e1482	‘The increase in the employer’s fee will, as at present, lead to challenges for North-Norwegian business. How will the Council of State work to ensure that the North-Norwegian industry participates in the oil industry as it is gradually moved northwards?’
ParlaMint-NO_2014-04-09.ana.ud2193e1489	On behalf of the Minister for Oil and Energy, I have been asked to give the following answers: The framework for the system of differentiated employer charges follows from the EEA Agreement and the guidelines on regional State aid provided by the EFTA Surveillance Authority, ESA. The ESA has adopted new guidelines on regional State aid which enter into force on 1 June 2014. Norway must therefore notify and approve a continuation of the differentiated employer’s fee scheme within the framework of the new guidelines. The new guidelines include: bounded against the transport and energy sectors. The Norwegian scheme was notified to ESA in March 2014. In order for the scheme to be approved for the summer, ESA has been clear that the energy sector is not included. Without prejudice to the ESA’s approval, the new scheme will cover all municipalities within its scope. Undertakings with activities that are partly covered and partly excluded from the scheme may, in principle, apply a reduced rate of compensation of employees for activities within the scheme. However, this presupposes the accounting separation of the activities. The government is now reviewing measures that can address the impact of the various sectoral constraints, but this work has not been completed.
ParlaMint-NO_2014-04-09.ana.ud2193e1496	Thank you very much for your answer, and thank you for the Minister of Justice stepping in for the Minister of Oil and Energy. Uncertainty is linked to what is contained in sectoral concepts in the various areas, both in the transport and energy sectors. The government’s websites show how the energy sector affected by an increase in the employer’s tax is defined. Both the extraction of crude oil and natural gas and services related to oil and natural gas are activities covered by an increased employer's fee, as I read it. This implies that the supplier industry, for example: cleaning and catering, hit?
ParlaMint-NO_2014-04-09.ana.ud2193e1503	I won't dare to go into the details of that field. What I can say is that the government is actively working to get these clarifications with ESA. What has been important now is that within the time limits set by ESA, we have actually managed to maintain the system of differentiated employer charges as such. As the representative is aware, this decision dates from the time of the previous government. Our job now is to try to make the damage to Norwegian business, including in North Norway, as small as possible. As I understand it – it has to be said with the reservations that lie there – there is a very clear distinction between what is directly related to the business and what is supporting functions. In this way, I have understood – with the reservations that are necessary here – that one can withdraw that type of activity, provided that it appears clearly from the accounts that there is no direct part of the core energy activity on the energy side.
ParlaMint-NO_2014-04-09.ana.ud2193e1508	There is a broad political consensus that oil activities should have an impact on land, that off-shore activity should provide direct jobs on land where oil and gas are extracted directly outside — i.e. in the same area. I try to ask myself a question, but I understand very well that it is challenging to answer when it is within the portfolio of another state council: how will the government ensure that we get more activity on land when the oil business on the Norwegian base is gradually moving northwards?
ParlaMint-NO_2014-04-09.ana.ud2193e1513	I think the representative Ljunggren will get a significantly better answer to that if I take the question with me to the appropriate professional council, so he can give feedback in an appropriate way.
ParlaMint-NO_2014-04-09.ana.ud2193e1529	This issue is postponed, as the Council of State has left.
ParlaMint-NO_2014-04-09.ana.ud2193e1536	I want to make it clear that in my question there is a wrong percentage increase in the Haugesund municipality. The increase of 66 pst. concerns the most popular place in SFO in the municipality, but I still ask the question: ‘Haugesund Municipality has a very poor economy and has been on the Robek list for several years. This goes beyond both statutory and non-statutory services for the city’s citizens. The proposal for a full-time SFO price of NOK 2621 is an increase of 66 pst. Manning standard 1/15 is deleted. Does the Council of State consider it appropriate for poor local economy to go beyond the prices of the SFO, and will he take the initiative in relation to those municipalities that reach prices for the service indebtedly high?’»
ParlaMint-NO_2014-04-09.ana.ud2193e1545	I say thank you for the question. First of all, the municipality of Haugesund is a municipality that I have been happy to visit several times. It's a municipality in growth, and it's a municipality that's a good business community. It also puts pressure on services, but as a starting point I can say that having a good local economy is always important, it is always important to housekeepers in a good and proper way. The question really concerns whether we believe that SFO rates should be regulated nationally, or whether this should be up to the municipality to do, as today. It has also been the policy of the previous eight years that the SFO rate is up to the municipality to set. Primary schools are financed mainly through the free income of municipalities, i.e. framework grants and tax receipts, and not through earmarked funds from the state. It's an important principle. It also applies to SFOs. Within the free resources, municipalities themselves give priority to how much they want to spend in primary schools, including SFOs, if the laws and regulations applicable to schools are complied with. According to § 13-7 fifth paragraph of the Training Act, municipalities are obliged to have an SFO offer – it is not optional, it must have – and they have the opportunity to finance the offer by means of parental payments. Most municipalities have opted for a solution where SFO is financed by a combination of parental and municipal payments. In the case of parental payments, municipalities cannot charge more than the self-cost of the SFO. So one can't make money on the SFO, or use it to sponsor other types of offers. I also believe that this is an important principle, which it is important to maintain, but as long as the municipalities stay within it, I think they themselves should be able to determine the parental payment for the SFO as they think it is appropriate. On this issue, as on many other issues, one has to decide locally – the population has to decide by choice – what is the most important priority to give, and how the different parties locally prioritise things against each other, for example. the contents of the school, or learning, versus SFO and other offers. Then I just want to add that the government has announced in the Sundvolden statement that we want to enter into an agreement with the municipalities that makes it possible to differentiate the payment of the SFO, based on income. It's an opportunity that municipalities already have today, and we're now working on how we're going to be able to follow up this point in the government statement.
ParlaMint-NO_2014-04-09.ana.ud2193e1562	I thank you for your answer. I have a follow-up question. I am particularly concerned about this matter in Haugesund because the city has historically had major challenges related to drug use among young people. Ensuring a good childhood is to ensure safe leisure areas for children, including: through SFO. The feedback we now receive is that the price determines whether a yes to an offer or not. A good childhood lasts for life, and I challenge – and not least encourage – the Council of State to assess a national supervisor on the economy of this related to the parental payment. So my question is, is the Council of State concerned about the future, how just bad community economy can be the excuse of politicians to reverse the parental payment?
ParlaMint-NO_2014-04-09.ana.ud2193e1569	First of all, I fully agree that a good childhood lasts for life. One of the most important investments we can make as a society is to invest in all children learning what to do, and to get the opportunities they should, based on both a good and qualitatively good kindergarten – that's why we spend more money this year than ever before on the development of competences in kindergartens – and of course through a good school run. The question is a little bit polemic, or it's a rhetorical question, because it's really about what is going to be the task of the state, and what is going to be the task of the municipality. If I had been in the local government at home in Porsgrund, I could have my opinions on what should happen in Porsgrund municipality, but it is the Porsgrund municipality that should be able to decide for itself. So if the question is whether the Council of State believes that maximum rates, or national rates, should be introduced for SFO prices – other than the guidance that is available today – the answer to that is no.
ParlaMint-NO_2014-04-09.ana.ud2193e1576	Thank you for that. I thank you for the answer and the clarification. Once again, I would like to have as many children as possible of such a low age receive an offer of safe and good SFO for the lowest possible parental payment. Once again, I want to challenge the Council of State as to what action he might take towards the municipalities that you see have a very low percentage of children in the SFO. Do you want to take initiatives in these cases, where you can see participation all the way down to 20-25 p.m.?
ParlaMint-NO_2014-04-09.ana.ud2193e1583	I believe that the SFO is an important offer, and I believe it is important that the parents can be sure that the children have a good place to be. I also think it is very good that many municipalities facilitate and work with the SFO to have a professional, educational content as well. It's very positive. But as far as the priorities of this government are concerned, it's competence development, quality in kindergarten – there we're going to do more than we've done now – teacher's vow and the contents of the school. These are the main priorities until we have delivered on the promises we made before the election campaign. I cannot begin to promise new things until we have delivered what we said was most important, and it was teachers, continuing education, the level of knowledge in school, competence and quality in kindergarten – so it is at the top of my list. Then you might see, once we have delivered on it, whether we are going to come back to lifting the SFO further.
ParlaMint-NO_2014-04-09.ana.ud2193e1593	This question, from the representative of Torgair Knag Fylkesnes to the Minister of Knowledge, will be raised by the representative of Siv Elin Hansen.
ParlaMint-NO_2014-04-09.ana.ud2193e1596	‘The study centres are a useful addition to the Norwegian educational offer. The centres provide people in the districts with access to skills and education that they have previously had to travel far to get. However, the study centres are not fully recognised by the central authorities, as we see in how random the beneficiaries of State aid are. The centre of Nord-Troms does not receive any funds from the State budget, as opposed to e.g. Mid-Throms. How will the Council of State ensure equal treatment and equal access to study centres?’
ParlaMint-NO_2014-04-09.ana.ud2193e1603	First, thank you for the question. Let me just say that I agree with both the reality description and the problem description, so there are differences in the way we treat these centers. There are a number of study centres around the country that are organised in different ways. The Ministry grants grants to two centres in Troms, as the Stortinget has wanted. Only NOKUT-approved universities and colleges can offer higher education in Norway. The study centres may provide different study facilities to meet regional competence needs, but universities and higher education institutions must be responsible for quality. Universities and higher education thus have as an important part of their social role that they should take care of the decentralised study provision. However, it is up to the institutions themselves to assess how they will organise and set it up. The Ministry of Knowledge channelles funds through the framework allocation to universities and colleges to enable the institutions to fulfil their mission of providing decentralised study services where there is sufficient recruitment basis, such as: the higher education centres of Kongsvinger and Kristiansund. The government is concerned that decentralised study provision should be a dynamic and integrated part of the university and higher education systems, where the individual institution, in cooperation with local actors, such as business, municipalities and county councils, should assess study provision in line with the changing needs of the region. Therefore, it is appropriate to consider whether it is appropriate to build a physical infrastructure in addition to the already existing study sites. The Government intends to provide a major communication on the structure of higher education, where the availability of higher education shall be one of the considerations to be assessed. With regard to the application for support from the Nord-Troms Centre, I regret to point out that it – like all budgetary matters – will be dealt with in a normal way in the context of the 2015 state budget.
ParlaMint-NO_2014-04-09.ana.ud2193e1622	I must first thank you for your answer. It has been said in previous large-scale reports: ‘It is thus the population’s competence that is the most important factor for growth.’ ‘In order for Norwegian enterprises to assert themselves, the education system must have the capacity to respond to the needs of the labour market.’ In rural areas, shortages of professionals and recruitment challenges are often encountered. In this context, it will be important to focus on the organisation of adult learning. This is particularly where the main efforts of the study centres are — to facilitate training at their home, to lower the threshold for starting such training. In formal education institutions, there is an increasing tendency to look inward, towards what is happening on campus. Does the Minister agree that the study centres agree to fulfil the roles that formal institutions are unable to fulfil to a large extent with today's system?
ParlaMint-NO_2014-04-09.ana.ud2193e1638	I agree that the study centres can play an important role – I think it is important that you also have a decentralised offer. At the same time, I believe it is very important to have some institutions that are clearly and clearly professionally responsible for the content of the study centres. I want to add a point that the representative Knag Fylkesnes often mentions, namely that there are also great opportunities in the technology. Among other things, the government has shut down the MOOC committee, which is supposed to investigate how we can use what is called Massive Open Online lectures. Developing this type of study offer can be a very important contribution. It can also be a very important contribution to the fact that you can just take a type of further education or education without the need to follow the course on campus all the time. Decentralisation is important, but there are many other ways to do it — not just through study centres.
ParlaMint-NO_2014-04-09.ana.ud2193e1647	There are a number of roles that the study centres perform, which – as I have said before – the formal system is unable to perform. That's exactly why these study centres show up. In the counties and municipalities, it can be seen that the system we have today is not capable of helping to achieve the objective of raising the population's level of competence. What does the Minister think about these challenges — which the study centres actually contribute to meeting? It has been scientifically proven – in many reports – that this is being done in the processes referred to by the Minister here.
ParlaMint-NO_2014-04-09.ana.ud2193e1652	It is important to say that the way in which the Ministry of Knowledge finances the study centres is by providing general grants to higher education institutions. They then decide – in most cases – how they will organise their structure, at least about them, for example. will have study centres. Because the Stortinget has decided so, direct grants have come to two study centres, the study centre.no and the study centre Finnsnes. But this is not the norm. The manner in which the Ministry of Knowledge supports this – and I believe that it is also a good general rule – is therefore through the basic allocation, i.e. the support to the institutions. Then they've been assigned to provide decentralised study services that are available to the whole region. I know that in several places in Norway there is a need for more competent labour and better regional services. I hope that the study institutions will take care of that as well.
ParlaMint-NO_2014-04-09.ana.ud2193e1663	Case No. So 2 is done.
ParlaMint-NO_2014-04-09.ana.ud2193e1676	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
