ParlaMint-NO_2014-03-19.ana.ud835e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2014-03-19.ana.ud835e1338	The number is out.
ParlaMint-NO_2014-03-19.ana.ud835e1341	In my first reply to the representative Omland, I said that, as I see it, there will not be any changes in the Sørland hospital in the foreseeable future. The representative still talks as if you are facing a near imminent closure of the offer in Flekkefjord – you do not. I also hope that Omland, as a representative of his home country, will help to reduce that unrest, precisely to avoid the negative impact that the representative raises on his question, namely that it creates problems with recruitment and offers in Flekkefjord. The alternative to having an open discussion, starting with many alternatives, in the public space is that one lets these processes take place in enclosed spaces. I don't think the representative of Omland or Stortinget would be happy with that. [[The President clubs.]] Then one must also help to find out that this is a long-term timetable.
ParlaMint-NO_2014-03-19.ana.ud835e1352	The question is: ‘In a debate in Stortinget on 11 December 2013 on the capacity problems of Oslo University Hospital, OUS, it was criticised in the first years that hospital planning is too much about the long-term vision of Campus Oslo. It's about winding up Ullevål and Aker and building new OUS in one big unit in the Gaustad area. The project could take a 30-year period and cost between 35 and 40 billion. kr, and it was pointed out in Stortinget that it is highly uncertain whether there will be political upheaval. How much resources has the OUS used and will it use in the future for the planning of Campus Oslo?’
ParlaMint-NO_2014-03-19.ana.ud835e1361	We are all aware that Oslo University Hospital has challenges related to the building mass. The hospital has a total building mass of 1 million. m2, where at the base of one third is protected, and where there is a significant need for upgrading in parts of the building mass. Oslo University Hospital operates around 40 different addresses today, and the hospital believes that this in itself is an obstacle to good and efficient hospital operations. On this basis, Oslo University Hospital started work in 2012 to investigate the future location of functions. This will be submitted on a planned basis for assessments by the Management Board in June 2014. Oslo University Hospital informs us that several different solutions are being considered, including: shared operation between Ullevål and Gaustad, including the Rikshospital, to gather the vast majority of functions in one of the two locations, and what it will cost to upgrade and repair existing buildings instead of building new – the so-called zero option. On 17 December 2012, the Management Board of Oslo University Hospital HF approved an overall framework for the 36-million idea phase project. until the matter is brought before the Management Board in June 2014. The OUS states that the total costs are expected to be slightly lower than budgeted when the planned project is completed by the summer. How much the further planning will cost, it's hard to say anything about now. Parallel to the idea phase project, there have been completely necessary improvements to the building mass in order to close the fire-related and work environment of Oslo University Hospital. In addition, measures are being taken to extend capacity, such as: involves the establishment of several operating rooms and the increase of post-operative and intensive capacity in the event of conversion. The acute reception function of Oslo University Hospital has recently expanded, and that means that the reception capacity will be satisfactory in a timely manner in the future. This also includes the provision of the regional trauma function. The term «Campus Oslo» does not refer to Gaustad, as the representative of Bøhler makes it. It is used partly for the whole of the existing Ullevål-Gaustad area, including the university, and partly for the area around Gaustad and Blindern.
ParlaMint-NO_2014-03-19.ana.ud835e1381	Thank you very much for your answer. It was interesting to hear that, in the opinion of the Council of State, it is such that you operate with real alternatives in this project, also developing the building mass where it is today. It is such that the building mass on Aker is the best maintained if you compare Ullevål and Aker, and approx. 60 pst. of the building mass on Aker is in good condition and can be used immediately. In the presentations with which it has been operated up to now, it has seemed that what you're recommending is to add up to something around what's called Campus Oslo, a concentrated alternative in the Gaustad area. That's the part it's been most focused on. Is it the case that the Council of State is entirely awaiting the different options and has no preference?
ParlaMint-NO_2014-03-19.ana.ud835e1390	This is really going to be the answer to the previous question. What's quite arduous about these processes is that they're going to be transparent. I think we all agree on that. So it's like that there's always most spectacular of the different options that get the most attention. It is often where one builds the major hospitals – one solution. As in the case of Sørlanden Hospital — in an early phase, it is up to one hospital to receive attention, even though there are many alternatives in an early phase of the discussion. The same is true of Oslo University Hospital. What makes headlines and gets the whole sides of the papers is the one option that's the most spectacular, that's to gather everything in one place. That doesn't mean it's the most realistic option. I am very careful to stress that I expect all healthcare companies to have real processes. And if we are to be able to draw conclusions at a later stage, the different options actually need to be explored in a good way.
ParlaMint-NO_2014-03-19.ana.ud835e1395	Then I perceive the Council of State that neither owner, Health South-East, nor department has given any kind of signals about which of the solutions you want, and that it is that it comes to political treatment at some point. I would like to ask in what form the Council of State will present to the Stortinget what will eventually become the conclusion of the course to be followed. And I'll add a question. The experience we now have in creating such a large unit that will employ between 18 000 and 20 000 people, as is the case at Oslo University Hospital, raises serious questions as to whether the economies of scale fall away when it becomes too large. We have seen hospitals being built downwards in Europe, often in large countries, with 4,000–5,000 employees. It's rare we see the dimensions that we see in our neighbourhoods, as in Oslo University Hospital. So the question is whether to go on in that track.
ParlaMint-NO_2014-03-19.ana.ud835e1400	The representative of Bøhler is quite right in his presentation that in Europe there may not be a tendency to build a serious hospital of the kind that will be if one gathers all the activities of Oslo University Hospital in one place. It is the kind of experience that will be drawn into the work currently in progress. It also applies to other health establishments, which are within such planning phases. Knowledge is also collected from other countries. It is also such that I have not given any kind of signals about what is my preferred option. It is simply because I also have no opportunity to have any preferred alternative as long as there are no investigations that can give me the basis to believe it. There is only one message I have given: this government has no record that Aker hospital should not be used. On the contrary, I believe that Aker Hospital’s building mass should be used to solve Oslo University Hospital’s capacity challenges.
ParlaMint-NO_2014-03-19.ana.ud835e1411	‘The Health Directorate has recently made its recommendations for diet and physical activity. Children must have at least one hour of physical activity every day and at least three times a week with a high intensity. The importance of increased intake of vegetables, fruit and berries is also clarified. Over 90 pst. children go to kindergarten, and most of the youngest schoolchildren are also in the School Leisure Scheme. Will the Council of State take responsibility for the organisation of day-care centres and schools so that the new recommendations of the Health Directorate can be implemented?’
ParlaMint-NO_2014-03-19.ana.ud835e1418	The government will facilitate schools to ensure daily physical activity for students and stimulate a healthier diet. This is important for children's growth and health, but it is also important for a good learning environment. Skills and knowledge of physical activity and food are important in educational work, both in schools and in kindergartens. It is the nursery and school owners who are responsible for organising day-to-day childcare and school life, in order to promote the health and well-being of children and young people. This is enshrined in the regulations for environmental health protection in kindergartens and schools and their supervisor. The Public Health Act obliges municipalities to have an overview of the public health challenges also in the field of diet and physical activity and to take action to meet these challenges. Health authorities and education authorities are now cooperating to establish the National Centre for Food, Health and Physical Activity in Bergen. The new centre should include: work to disseminate knowledge on how physical activity and nutrition affect health and learning. In the case of diet, the Health Directorate is reviewing the guidelines for meals at school, including the School Leisure Scheme. They have invited a broad cooperation on this. The Directorate shall also consider how the school fruit subscription scheme can be better organised to appeal to young people. We're following up the government platform in terms of physical activity. I think it's necessary to add a long-term race to ensure physical activity every day for all students, both in primary and secondary schools, precisely because physical activity is also important for learning. Health authorities are constantly spreading information about diet and physical activity and changing people's attitudes to what we eat, and how much we touch. These themes are well suited for cooperation between home, kindergarten and school. Among other things, health centre and school health services are important actors here. New guidelines and revised regulations for the service are being worked on. Many succeed in finding good solutions for better organisation of physical activity and meals. We need to learn from this. Together with the education and training authorities and other actors, we will contribute to increasing awareness of this work in the future.
ParlaMint-NO_2014-03-19.ana.ud835e1435	Thanks for the answer. The Health Directorate's recommendations have now been clarified in relation to previous ones. The health effect of diets is made clear, and for the first time it is also recommended to reduce the position of children, adolescents, adults and the elderly. The relationship between physical activity and health benefits is made very clear. The paradox is that the government has reduced the requirement for physical activity in the school in relation to what is stated in the public health report, because the government platform says that the school should facilitate increased physical activity, but it is not a goal of 60 minutes a day. The government has also cut out free fruit and green. So my question is how the government believes that what the government has done can really help us achieve what the health authorities recommend when it comes to physical activity and diet.
ParlaMint-NO_2014-03-19.ana.ud835e1444	First, the government trusts that school owners — the municipalities — are engaged in creating good schools for the children. I also thought that the Central Party had great confidence in the local, elected level that is responsible for the schools today. They are now getting, among other things. annually updated public health profiles for its municipalities. It is laid down in the new Public Health Act that municipalities should take into account the public health perspective in all their work – not least in the planning work. Health supervision shall be subject to national supervision for the following year for the public health activities of municipalities. We may think that it is best to anchor the implementation and the achievement of objectives related to what is in national guidelines, where the school belongs, namely in the municipality.
ParlaMint-NO_2014-03-19.ana.ud835e1451	The most important thing is to get children and young people to actually eat healthily and to make them more physically active. When the answer is that we must have confidence in school owners and local self-government, I believe that there is a discharge from a minister of health and care who is responsible not only for treatment but also for public health and prevention. The question is what kind of concrete action the Minister of Health will take, with the exception of referring to national centres and new plans and stuff. What kind of concrete action will the Minister of Health put in place, following the new references from the Directorate of Health?
ParlaMint-NO_2014-03-19.ana.ud835e1458	Some of the measures referred to by the representative are, of course, the concrete ones. If the representative lists what is the government's concrete action in this area and then says she wants more action, it is clear that it will be difficult to fill in the representative's list at any time. In terms of physical activity and food, I replied to this related to the school. But there is no doubt that the school will never be able to compensate if parents do not take responsibility for the children's activity and food when they are not at school. It doesn't help to have 60 minutes of physical activity at school if your parents drive the kids to school and leave them in the computer room for the rest of the evening. So it's important to be clear that this is family and parent responsibility. We need to get good information about this and work with different actors to improve the content of food in Norway.
ParlaMint-NO_2014-03-19.ana.ud835e1471	‘The 2014 budget does not provide funding to the Court of Justice, a voluntary organisation for those struggling with drug dependence in Oslo. The court has special cooperation with prisons and drug addicts. In the financial year 2014, this organisation may appear to have fallen out of the subsidy scheme by way of an incursion. Will the Council of States ensure that the Court of Justice receives the grant they have applied for, including in 2014?’
ParlaMint-NO_2014-03-19.ana.ud835e1478	The Court of Justice Foundation is a user-driven foundation that offers prison visits and follow-up after a settlement to convicted offenders with drug problems. In the financial year 2013, the Court received a subsidy of DKK 300000 above Chapter 430, heading 70. No funds have been earmarked for the 2014 Court of Justice. Nor was it proposed earmarked funds for the foundation in the 2014 draft budget of the previous government. The funds for this year have been published publicly by the Ministry of Justice and Defence. From 2014 onwards, the management of the grant funds has been transferred to the Directorate of Criminal Welfare. Grants will therefore, as a general rule, be given upon application to the Directorate. Voluntary organisations play an important role in the implementation of penalties and in repatriation to society. The Fremskritsparte Government proposed to increase the appropriations and grant funds in its additionalproposal to the State budget by 10 million. kr. Of them, 2.5 million. action taken by non-governmental organisations in the field of criminal law. So we have significantly strengthened the voluntary organisations that cooperate with the criminal services on, among other things. return. The objective of the grant schemes is to support voluntary activities under the scope of criminal law. The grants shall include, inter alia: go to volunteer work on visiting services, motivational work, discussion groups, social action, cultural activities, assistance to practical tasks and to help completed zoned prisoners to a life outside the walls, without crime. Since the granting authority is now located with the Directorate of Criminal Welfare, I cannot address which organisations will receive grants.
ParlaMint-NO_2014-03-19.ana.ud835e1491	I thank you for the answer and can say that for the Workers' Party, the Court has been important from Britt Hildeng for the first time asked the question in the 2005 Question Time to the then Minister of Justice Dørum. They do a good job, and they have increased appropriations in recent years – from NOK 80000 in 2010 to NOK 300000. As I understand it, there was an incursion that led to them not being put into the budget line that still has denomination. I would like to ask the Minister of Justice if he – in his judgements – will ensure that the Court will at least come under the legislation in the future, and that the Court will be back at the permanent post in the 2015 budget.
ParlaMint-NO_2014-03-19.ana.ud835e1498	As I just mentioned, we have done about the grant management in the ministry. It is the Directorate of Criminal Welfare that is now granting grants upon application. I think it's a neat and good way to deal with the problem of subsidies. When I was the head of the Control and Constitutional Committee in my time, we had a big case in which we went through the grant management in all departments. The dramatic weaknesses revealed in some departments, and major changes were made in the whole department portfolio regarding grant management. It was wise choices that were largely made by the previous government when a proposed grant policy. We have continued much of the new improved grant practice today, but we believe it is true that the professional authorities are the ones who primarily contribute to the award of these grants. I cannot answer what the previous government has been guilty of in its own draft budget.
ParlaMint-NO_2014-03-19.ana.ud835e1507	No, you can't, and I'm not asking you to. I'm just asking you to answer if you want the Court to enter the budget line that is still in the Ministry's portfolio as a subsidy to non-governmental organisations. As you also point out, the Court does a very good job. There has been cross-political support for the work they have done, and I know that progress party representatives have also been very committed to the work of the Court of Justice. I actually don't think there are any parties on Stortinget that don't think the work they do has great value. My question to you is whether when you now sit down with the financial year 2015, you will strike a blow for the Court.
ParlaMint-NO_2014-03-19.ana.ud835e1516	The President would like to remind you that both questions and requests will go through the President.
ParlaMint-NO_2014-03-19.ana.ud835e1519	I have a lot of good words to say about the Court of Justice and the job they're doing. They make a very fine effort for a lot of people, have a lot of meaning in many people's lives and make a difference. I think the representative is right that there is a cross-political consensus that the job done is good. At the same time, I must ask for respect for the fact that I do not deal with requests for grants from the Parliamentary Chair.
ParlaMint-NO_2014-03-19.ana.ud835e1530	This question, from the representative Trygve Schlagsvold Vedum to the Minister for Justice and Security, will be answered by the Minister for Agriculture and Food who directs him.
ParlaMint-NO_2014-03-19.ana.ud835e1533	First of all, I would like to say that I think it is remarkable that when the Minister of Justice and Defence is in the Chamber and I have asked the Minister of Justice and Preparedness a question of preparedness, it is not the Minister of Justice and Defence that answers. I think he should notice that. I think it's amazing, because this is a matter of preparedness, not of agricultural policy. The previous government had an overall focus on preparedness, where we not only looked at police resources and the kind of questions we also saw on food preparedness as a topic. If there's a disturbance around the food, there's a disturbance around everything. If the Minister of Defence believes that food preparedness has nothing to say for a country as a whole, it is incomprehensible. But I understand that's what the government thinks and that the presidency accepts it.
ParlaMint-NO_2014-03-19.ana.ud835e1538	I think the representative now has to ask the question.
ParlaMint-NO_2014-03-19.ana.ud835e1541	I put this question to the wrong person: ‘Do the Council of State consider it the responsibility of public or private actors to provide adequate food preparedness in Norway?’
ParlaMint-NO_2014-03-19.ana.ud835e1548	In this government, the Minister of Agriculture and Food is responsible for food preparedness. Social security and preparedness are among the most important tasks of the country. At the same time, cooperation between public authorities and private actors is an important part of modern preparedness. Food supply is a critical societal function. Supply readiness in the food sector is based on the fact that both national production and imports can be maintained well on the road even in crises. A complete blockage of supply lines over a period of time is not considered realistic under the applicable planning conditions. The Ministry of Justice and Defence has a coordinating role for social security and preparedness. Each department is responsible for social security and preparedness in its own sector. The Ministry of Economic Affairs and Fisheries is responsible for coordinating emergency planning and crisis management in food supply. The Ministry of Economic Affairs and Fisheries shall contribute to enabling business to deliver goods and services even in times of crisis. This is done by the Department, among others. through the Food Preparedness Act and through formal cooperation with food distributors through the Food Preparedness Council. The Ministry of Agriculture and Food is responsible for food security in parts of the value chain, from primary industry to industry. In its sector, the Ministry shall contribute to the maintenance of industry and trade in order to ensure supplies of agricultural products to the Norwegian market in the event of any crisis. This is done by the Department, among others. by facilitating continuous production, safeguarding the basis of production and contributing to the necessary addition of Norwegian production through imports. Close cooperation exists between the Ministry of Industry and Fisheries and the Ministry of Agriculture and Food on food security. The food industry is also an important part of the value chain, and in situations of disruption, for example: as a result of logistical or production problems, injury or disease, it is important to have a good network and cooperation between authorities and private actors. Furthermore, society depends on trade in goods, logistics and distribution being as undisturbed as possible in all situations. In addition, in order for the production, processing and distribution of food to be efficient, it is necessary to ensure the proper functioning of other social and infrastructure functions. The overall objective of food security is to contribute to the best possible coverage of domestically produced agricultural products in a crisis situation and also to the maintenance of the supply of necessary food through imports. Today’s food preparedness is based on an interaction between ministries, government agencies and private actors. It should still be so.
ParlaMint-NO_2014-03-19.ana.ud835e1571	The previous government adopted and reintroduced seed storage. After a thorough investigation, we decided to reintroduce food grain storage. There has been a great debate on food preparedness in the winter after Cermaq has announced that they want to sell Stavanger Havnesilo. It's okay to have different opinions about it, but what was amazing in that debate was that the Council of State Sylvi Listhaug says that if people are so concerned about it, they just get to buy it for themselves and clean it up for themselves, just as if it's not the responsibility of the state to have responsibility for food preparedness – as long as private actors are involved, it's their responsibility. I was very active in defense associations in my day. It's never been like that when a defense union is very active in defence issues, the council says, "Yes, if you're so very concerned about home protection, you're going to get home protection yourself. It's a very strange and unjealous attitude. My question is: does the Minister of Agriculture and Food agree with the following quote from the Chief of Defence Harald Sunde? ‘Deficient food can destabilise whole communities. The relatively low self-production of food makes us vulnerable if we are to be hit by a major nuclear accident or other serious crises."
ParlaMint-NO_2014-03-19.ana.ud835e1583	Of course, it's important that we have a readiness to take on different scenarios. Under the previous government, food imports to Norway increased by 90pst, or 20bt. kr. So the degree of self-sufficiency went down under eight years of central party rule. We want to increase the production of food to meet the need for food security in Norway. What I said about corn silos was that I don't see it as a state responsibility to own a grain silo. I see it as a state responsibility to have a stockpile for cereals, if that's what we find necessary. We now have an investigation that is ongoing until 1 June, and we then come back to Stortinget with a conclusion on what the government wants there. What was the matter, was that the joint purchase owned the area around, they helped sell this area, the farmers were engaged, and my answer was that if one wanted to stop the sale, the joint purchase was the one that was closest in the order to do so.
ParlaMint-NO_2014-03-19.ana.ud835e1594	The State Council's own specialised body, the State Agriculture Administration, carried out a thorough investigation into the stockpiling of cereals. It was assessed in the government's total preparedness work, it was recommended as an action we should go further with it, and we spent money on it. Preparedness is about drying to think the unmistakable and planning for the unmistakable. It was unmistakable two months ago that Russia was going into Ukraine – now it is conceivable. Things change very quickly. It is therefore amazing that a government council that says that she wants less investigation and more action does not focus on the investigation that comes from its own professional body, but launches an additional investigation by another research institute to perhaps come to a different conclusion. My question is: why will the Council of State focus on a research report from a research institute more than a technical report made by its own professional body?
ParlaMint-NO_2014-03-19.ana.ud835e1601	I think there were other questions that should also be highlighted than those that the SLF had been given on behalf of the previous government to look at, among others. the manner in which such storage may be carried out. Then I really think this debate is quite amazing, because in 2008 we had a food crisis in the world, where the prices of food went up sharply. At the time, the Central Party was in government. They did so continuously for eight years without, in that period, by a simple majority, finding the need to establish a stockpile of cereals. They first found out about the timing of the period when they were going to leave the board of directors to another government, and then added 5 million. kr, which is far from sufficient to cover the costs that will be borne by such a standby stock. I am concerned that we will have a thorough and good investigation in this matter. The work that was done by the previous government, I do not think was good enough. That's why we're asking for an assessment that looks at more questions.
ParlaMint-NO_2014-03-19.ana.ud835e1614	Before I read the question, I have to repeat, because there may be a small chance that the word ‘aircraft accident’ may prove to be incorrect, because there are constantly new theories about the missing aircraft. So to the question: ‘Aeronautics in Asia focussed attention on passport checks at aerodromes. After the event, you could read that the Gardermoen police have no system to automatically intercept if someone uses a trusted passport. Does the Council of State consider this to be justified in terms of air safety and crime prevention?’
ParlaMint-NO_2014-03-19.ana.ud835e1625	Since the President allowed the representative, Mr Vedum, to go outside of the Rules of Procedure on previous questions, I would like to draw the attention of Mr Vedum to the fact that this government is taking security and preparedness seriously. As a former Minister of Agriculture, he should be aware of the sectoral responsibility of the Minister of Agriculture and Food in his own field, so I am amazed at the strange tiara he started with. I think this was necessary to say, since the president allowed this completely unfounded, surprising and unintelligible attack. So to the good question from the representative Klinge. The Gardermoen police state that the press review in question does not give a correct picture of the situation. It is true that the police carrying out personal checks at border posts do not have access to technical means which automatically indicate that a passport has been falsified or otherwise does not belong to the traveller concerned, but there are clear rules and procedures on how border inspectors are to carry out document checks in order to detect irregularities in the travel documents. It is then important to distinguish between what is a Schengen country and what is a non-Schengen country. Regular personal checks are carried out on journeys to and from destinations outside the Schengen area. When travelling within the Schengen area, as is known, non-systematic control is carried out. Here it is the transport company that actually checks the traveler's identity documents. Travelers to and from non-Schengen destinations shall be thoroughly examined and properly checked, which means that passports and other travel documents are checked for authenticity and validity. Passports presented by nationals outside the Schengen area shall be checked, inter alia: against the Schengen information systems, containing messages on stolen passports. The documents are also inspected visually, in addition to the police asking follow-up questions to determine whether there are suspicions surrounding the travel document. Passports belonging to citizens of Schengen countries must also be examined to detect possible irregularities. In the event of a possible suspicion, the document shall be further examined by means of technical means or the relevant register check in order to reveal any falsification or invalidity. The passport examiner shall always pay attention to ensuring that the passenger is the correct holder of the passport. If there is a possible suspicion that this is not the case, he shall be taken into account for further investigation. The Gardermoen Police Station has documentary checks in the service to assist in such cases. Random sampling of travel documents from Schengen citizens is permitted, where the surveys are similar to those used for non-Schengen citizens. In this way, the Norwegian police implement a control regime that meets international border control requirements, and the requirements for aviation safety and crime prevention are central.
ParlaMint-NO_2014-03-19.ana.ud835e1638	I thank the Council of State for your answer. Traveling across borders without having to show passports is often made as a freedom, but freedom for whom, we might ask ourselves. Never before have more people been coercive from Norway, but still we see that people are coming back. These are often people who have committed crime in Norway before. With good systems where people could have effectively stopped at the border, we could save the police too much resource-requiring work, and I would like to stress that it helps very little to force many when we don't close the hole at the other end. Actually, I have two questions here. I would like to know if the Minister of Justice thinks it would have been useful to avoid the problem of people coming back, that we could have used passport controls more effectively – if he wanted to take the initiative to do so within the limits we have. I would also like to ask the Minister of Justice whether he is comfortable with the Schengen Agreement – as the agreement is in the case that we cannot have personal control systematically for people travelling within Schengen countries – prevents us from being able to prevent mobile organised and serious crime.
ParlaMint-NO_2014-03-19.ana.ud835e1649	It should certainly be possible to answer those two questions in a minute's time. The Schengen Agreement has many major advantages, but it also has a number of disadvantages. To compensate for some of these disadvantages, for example: In the context of the return question raised by the representative, Klinge, we have been concerned – that was also the concern of the previous government – that the level of penalties for breaking the entry ban after expulsion is substantially increased. We have now begun to get a judge based on the new law, which shows that those taken for illegal entry into Norway are being punished quite severely. There is one measure that compensates for one of the disadvantages of the Schengen area. But the advantage of being able to travel without passports within the Schengen area is very great for all, most of us, although it also presents us with some specific challenges. The introduction of passport controls within the Schengen area does not allow for the Schengen Agreement unless there are exceptional and specific action situations. We're probably not there today that we can claim it.
ParlaMint-NO_2014-03-19.ana.ud835e1656	I was in London last year, as many other Norwegians are too often, and I didn't think it was a big offense to have to go forward and show it. It went quickly and was easy, so I don't think it would be a big problem if one had done it between Schengen countries. The ability of people to travel between countries with false identity and chairs passports is a major problem, both for their own security and for preventing crime. At aerodromes, one should be able to expect this to be captured, regardless of whether a traveler is inside or outside the Schengen area. The signature is that the Police Directorate has launched a pilot project on the Gardermoen with automatic passport control, where it is checked that the owner of the passport matches the person using it. Will the Minister of Justice ensure that this will be a permanent arrangement and that such systems will also be established at other airports in Norway?
ParlaMint-NO_2014-03-19.ana.ud835e1665	I agree with the representative, Mrs Klinge, that there is no violation of the passport when a person is going to enter a country outside Schengen, but what the representative uses is a fundamental criticism of the Schengen Agreement. It has been adopted in the Stortingen. This government is concerned that we have the Schengen Agreement, and what we are doing is therefore to stay within the framework of the Schengen Agreement. It also means that we can implement measures to improve the level of external border control, i.e. the control of those outside the Schengen area. We are not least contributing internationally to ensure, among other things, that: Southern European countries have a better and more effective system that can help solve some of the negative aspects that they also get from an agreement aimed at safeguarding the freedom of the people most. I do not think there is any room for implementing what the Klinge representative really wants, namely passport control for anyone who wants to enter Norway. Rather, we must implement the necessary measures to compensate for the disadvantages caused by the freedom of passports within Schengen, while at the same time benefiting others from this freedom of passports.
ParlaMint-NO_2014-03-19.ana.ud835e1676	I allow myself to ask the Minister for Agriculture and Food the following questions: ‘The Council of State states to the Nations on 1 November 2013 that ‘all approved forest highways shall be eligible for grants’. According to the Government Platform, non-interventional natural areas are to be abandoned as tools in land policy. [[INON]] INON and its practice will be challenging for the further construction of forest roads. Will the State Council amend the regulation on subsidies for food and environmental measures in forestry so that all applications for subsidies to forest roads are assessed in the allocation of funds?’.»
ParlaMint-NO_2014-03-19.ana.ud835e1685	The amendment requested by the representative Arnstad is under way in the department and will be sent to the hearing in a short time, together with a consultation on new agricultural route regulations. This change will facilitate the creation of an appropriate forest road network as a basis for active and sustainable forestry. So the answer to the question from the representative Arnstad is – yes.
ParlaMint-NO_2014-03-19.ana.ud835e1692	I think that is very positive, and I assume that this means that the second paragraph of Section 5 on road construction grants, which today means that all permanent roads that are closer to wild-field areas than five kilometres, are simply pre-established, are removed from the regulations. If you take that term away from Section 5, it's very good and very important. The next question is, When will that happen? The application round for forest car paths is now over the summer. Will the regulation change be able to take effect so that all forest roads will be searchable for the round that takes place during the summer?
ParlaMint-NO_2014-03-19.ana.ud835e1699	This is a regulatory change that I know it's been working with quite a long time in the ministry even before this new government joined. I hope we can get it in place before that, but I can't guarantee it. What I'm going to guarantee is that I'll do everything I can to get it out as quickly as possible. I am very happy that in this year's budget we have got a bet on forest roads that involves a 30 pst. increase from 2013, which will allow us to draw more of the resources that are standing and growing, that our ancestors have planted, and that can provide us with a basis for growth and jobs in the districts.
ParlaMint-NO_2014-03-19.ana.ud835e1706	I don't think the Council of State and I particularly disagree on the need to build forest roads as such, but I think it is very important that we try to implement this change as quickly as possible. In a state like Nord-Trøndelag, from which I come, there are 65 pst. of all the most mature forest in so-called wild-field areas, and there is therefore no risk of receiving support for forest-road measures if the regulation is not amended. I hope that the Council of State will speed up the work, so that the change will be ready for the application round for forest roads during the summer.
ParlaMint-NO_2014-03-19.ana.ud835e1711	After the government change, we've speeded up this work, and we're going to try to do this as quickly as possible and get this change out as quickly as possible.
ParlaMint-NO_2014-03-19.ana.ud835e1720	‘The Veterinary Institute recently decided to close the establishment in Tromsø. They indicate that all terrestrial animal activities in the three northernmost countries are to be carried out by non-tertiary units. This means that all diagnostics and counselling in the ‘green sector’ [[Land animals]] What will the Council of State do?’
ParlaMint-NO_2014-03-19.ana.ud835e1727	I am concerned with safe food, good animal health and good animal welfare. The veterinary institute has an important role to play in achieving this. The veterinary institute is a key provider of knowledge to the authorities in the field of fish and terrestrial animal diseases and animal-to-human infectious diseases. The Veterinary Institute also contributes to the prevention and management of incidents caused by infectious and other harmful substances in feed and food. The Ministry of Agriculture and Food has asked the Veterinary Institute in its letter of assignment that emphasis be placed on further development of the organisation. Work processes shall be more efficient and overall competence shall be developed and exploited even better. The Institute shall enhance the preparedness of biosecurity. The veterinary institute has its headquarters in Oslo and has regional laboratories in Sandnes, Bergen, Trondheim, Harstad and Tromsø. The head office shall be moved to Ås and co-located with Norway's environmental and life sciences universities and other agricultural and food research institutes. The Veterinary Institute has its own administration. The Management Board is responsible for making the necessary adaptations depending on societal developments and changing needs, taking into account the overall nature of tasks and measures to ensure a cost-effective and sustainable organisation. As part of this work, the tasks of the regional units could be further developed, redefined and restructured. The Veterinary Institute shall, in principle, present important matters to my department. I expect to have the Board's assessments and conclusions transmitted with the first. I will then take a thorough look at the matter and make my assessment. I want to inform the Storting about the matter in an appropriate way.
ParlaMint-NO_2014-03-19.ana.ud835e1738	I want to thank you for your answer. In the letter of assignment sent by the Ministry of Agriculture and Food to the Veterinary Institute, it is possible for the Ministry to ensure that all parts of the country have a preparedness in the case of a veterinarian. The decision that the Swedish Veterinary Institute's board has reached means that one actually has no preparedness, no diagnostics, in the north of the whole. This is at a time when climate change, increasing activity in the north, increasing interaction with Russia, which has different kinds of traditions when it comes to food security than what we have, and where we also see access to animal-human-infectious diseases, should ensure that one builds up the business in the north. My question to the Minister for Agriculture and Food is simply: will the Minister make use of the possibility in the letter of award to ensure that all parts of the country have a good preparedness for veterinary services?
ParlaMint-NO_2014-03-19.ana.ud835e1745	When this matter comes to my table, at least I will go into it carefully and look at what assessments have been made by the Veterinary Institute. I am concerned that we should have a strong and well-functioning veterinary institute across the country. Then, of course, I will come back to Stortinget in an appropriate way, so that the Stortinget can also decide on the matter. This is a process currently in progress. I cannot conclude until I have received the matter. I want to spend time going through it first.
ParlaMint-NO_2014-03-19.ana.ud835e1750	I am very pleased that the minister will go openly into that discussion. The total work of the Veterinary Institute was distributed. Among other things, one went through the various fields of activity, and the Tromsø environment came out very strongly. So taking out the land-based ‘green sector’ from the north will have very unfortunate consequences in the Nordic countries, Troms and Finnmarks and Svalbard, not least with the prospects we have for the continent. I would strongly encourage the Minister to go into this matter with that in mind.
ParlaMint-NO_2014-03-19.ana.ud835e1755	I thank you for the recordings that the representative Fylkesnes has made, and I want to take them with me when I am now going to get involved in the matter and consider what is useful to do further.
ParlaMint-NO_2014-03-19.ana.ud835e1770	There is no record. Thus, today's map has been processed. Does anyone require a word before a meeting is cancelled? - The meeting's been cancelled.
