ParlaMint-NO_2014-12-01.ana.ud1735e28	The representative Tom E. B. Holthe, who has been licensed, has once again taken the seat.
ParlaMint-NO_2014-12-01.ana.ud1735e4739	That's it.
ParlaMint-NO_2014-12-01.ana.ud1735e4742	Politics, of course, is about choice. The Workers' Party's road choices are about further developing the world's best welfare society. This is done by focusing on good welfare arrangements for all, a clear policy of distribution and a safe labour market policy. This has proved to be a recipe for success in creating growth and jobs. The road choices of this government are clear: more market and privatisation of important welfare tasks, large tax cuts to the richest and more unsafe working lives. One shall never underestimate the voters, and if there is anything the voters have understood, it is the consequences of the government's draft budget. Most people don't like injustice -- it's that simple. Then it should be said that the budget was somewhat better with the Christian People's Party and the Left, but still the direction is more market and privatisation and greater differences. The original draft budget of the Fremskritsparte-Government will be remembered in particular for the cut-off in the wealth tax, which will provide the richest millions in tax cuts, combined with the deduction of the disability child allowance. Now, fortunately, the Christian People's Party and the Left were able to slow down some of it, but with still millions of cuts in taxes for the richest. Symptomaticly, the bag tax became what is best remembered from the budget agreement. It is understandable that many voters are disappointed after hearing the rhetoric of especially the Right in the election campaign. It was clear that the Right had learned from her sister party in Sweden how to wrap up the policy in good rhetoric. The highlight in this way was the slogan ‘People, not billions’. I understand that very many voters feel tricked by the rhetoric when the political fasitite is on the table. The voters were promised that they would get in both bag and bag. Many may feel that what they have received, along with a bag fee, is the cats in the bag.
ParlaMint-NO_2014-12-01.ana.ud1735e4753	It was the representatives of Asheim and Heggelund that made me draw on the list of speakers. It has happened with the Labour Party that we are not cheerful enough in this discussion, and it is said that we are opportunists in the debate. I would like to remind the two representatives that this is not a pleasant debate about how the country should be governed, and then we should have absolute respect for the fact that both we and, apparently, the Norwegian electorate are deeply concerned about the direction in which the country is going. Then I will use a few words on the line of work and how this will be done. For the Workers' Party, the working line is important. That should show the results of our time in government the last eight years before the elections. It was created during our time approx. 350 000 jobs – most of them in the private sector. We worked all the way to get a more decent working life, so that it would be a good working life for people to work in and to be able to stay in for a long time. Claiming that the work line and the measures are in place is to ensure that those who are at least able to work get worse financial conditions, so that they can be pushed into a work situation where they are not prepared – that is not our line of work. Our work line is about creating a decent working life, an inclusive working life, and then we also need to maintain the mechanisms that make working life this way. Then we have to take up the fight against social dumping, then we have to make sure that there are mechanisms all the way to take care of those who fall outside the labour market, and we have to have a direction of labour policy – and all our policies – that provide social justice. Without a social justice policy, both the climate struggle, the working line and all other policies become meaningless, in our view, for social justice is the fundamental vision of the Workers' Party. So it's said that we're dealing with surrenders, and that we waited until last little before we laid out our alternative budget. Maybe the gentlemen can think a little bit about it having something to do with accountability? We have put forward an alternative budget to govern, and then it's good to know what the framework is, and not what we want to do. That's why we're waiting for what the framework is for this, and then we're aligning our policies with it. Simplifying the debate down to the level made in those speeches, I find it unworthy. I think one should have respect for the contradictions that are, because these are quite real political contradictions, and maybe the debate would have been better if we all had adhered to it.
ParlaMint-NO_2014-12-01.ana.ud1735e4768	The representative Henrik Asheim was up here and encouraged merriment, but rarely have we heard such a strikingly gloomy speech as what came from the representative Stefan Heggelund. But then there has also been a trade mark for the financial debate that Heggelund is going up to this pulpit to judge how the Chamber has understood the debate and the importance of how the debate is to be addressed to the best of all. There's something surreal about being charged by the Right to pursue surrender policy. In the election campaign, which I remember well, but which is also starting to be a while ago, it was not the area where the Right should do better – or as Heggelund would have said: have spent more money – than the Workers' Party. It was in the field of transport, it was in the field of health, it was in the field of defence. But then we have also been given – or removed, if you will – in this debate here today Right and Heggelund's lack of will and ability to prioritize these areas in the face of the truly great and desired priority, namely tax cuts for those who have the most. It's clear that in such a setting it becomes interesting to measure the parties if what they say is what they really do when they get power, and for the Right, it remains a pretty good piece before they can get where they said they should be. It is possible that the Right does not follow along as well with the Workers' Party as the Workers' Party does. But if the Right had joined the Workers' Party, Heggelund would also notice that the Workers' Party launched some packages, policies that we thought were important to bet on. It was about investing in work, fighting social dumping, investing in skilled workers, and seeing these policy areas in context, because we say that it is not enough just to give apprentices a proper education; we also need to create an attractive working life where people want to work. Then we have to fight social dumping. We said we should have an effort in the climate. We must then have a number of efforts: we must bet on transport; we must bet on climate technology. We said we have to bet on health. Then we have to see prevention in the context of repair. In a number of areas, the Labour Party launched new thinking on how to think more fully and see larger policy areas in the context. If Stefan Heggelund wanted to participate in that debate, he is cordially welcome to take it – and not just go up here and judge on how appropriations have been made by the Workers' Party in this year and in previous years.
ParlaMint-NO_2014-12-01.ana.ud1735e4779	It was Højres Svein Harberg who made me take the floor again. He spent time defending the cultural budget. When the year's cultural budget is referred to as the best of times, there is reason to question it, because if you go into the budget presented, the cultural part of the Ministry of Culture's budget shows a growth of 1.1 pst. Well, it's a little bit better than the budget that was made big cut last year, but 1,1 pst. does not even cover the rise in prices, and the right cannot escape the suggestion, for example. cutting the cultural walking stick. It was probably no kioskvelter what was presented, at least not many who welcomed it cut. Then it's true that the cultural budget has improved after the Left and Christian People's Party have been involved and negotiated. We should be pleased about that, and culture is also pleased about that. So it's not like we're against private participation in the financing of cultural life. But what we think is worrying is that it's the private people who have to control where the money is going to be spent, that it's the cultural institutions that get money from the private, that are also going to release money from the state. This is a privatisation that we do not support. And yes, it's good to get the VAT refund in place in the budget, and it's good that the item also increases in next year's budget. But it would have been possible to support this even when the revised national budget was dealt with in ours. It was known that the challenges lay there. However, continued until next year, the VAT compensation scheme is underfunded and the sports laws have to prepare for tile otters to cover the lack of VAT compensation in the State budget of the year.
ParlaMint-NO_2014-12-01.ana.ud1735e4788	I have to bring a response to the representative of Knag Fylkesnes, who referred to the philosopher Peter Wessel Zaffe to describe my policy. Zapffe gave a doctorate called About the Tragic. In it he says: ‘Human beings have more intellectual capacity than nature requires, and this surplus is spent on meaningless horrors to find meaning in their lives. This is the ‘tragic’.’ I guess I don't know if it was where Knag Fylkesnes wanted it when he made the comparison. I'm not so educated in philosophy, but I've read some of Zapffe. He is, among other things, co-author of a Nordic work called Vett and Unwitting. There we can read about the one who was so trapped to lie that the bitch had to go out to call in the cows – completely without relevance to this debate. [[Laughter]] Knag County calls me an idealist and says that I only have an idealistic approach to the problem. I have to protest on the strongest. There's a big difference between me and the representative Knag County, especially with regard to taxes, and especially with regard to ownership. When Knag Fylkesnes also allows himself to blame the current government for the sale of Cermaq, it shows that there are no funds being shed here. The permission to sell the Cermaq group was granted to the government from the previous big business – it came as a matter of fact to the Stortinget from the red-green ones. We actually discussed whether it might be a good idea to sell Cermaq, which was a large group in aquaculture. We discussed whether we should just get rid of it, or whether there might be reasons why it was a good idea to keep it. One of the things that was then discussed was that the research part, Ewos, that produces and sells feed, might be important for us to keep in Norwegian hands, because of the development of competence and because of our research environments. This part could Trond Giske sell out long before the election, long before the government change, so at least we won't wear that. Cermaq was then left as a pure breeding company. It has now been sold to industrial owners. It strengthens ownership and results in better access to the market in Japan. I think for the company this is very good. For the jobs and for the value creation in the country, this can be very good. But I'm not 100 pst. ensure that the representative Knag Fylkesnes is ever satisfied.
ParlaMint-NO_2014-12-01.ana.ud1735e4806	It's getting loose – it's obvious that we're about to cross midnight. We are approaching the end, so on behalf of the Workers' Party I need to make a couple of explanations of vote. We are going to vote in favour of part of the proposals for Roman Numeral Decisions resulting from the conciliation, and some of this requires explanation. Firstly, we are not going to vote in favour of the proposal for a Roman Numeral Decision V, on the sustainability chapter of the national budget. That is because we are promoting our own proposal. Proposal for a Roman Numeral Decision IX, to take care of the long-term unemployed in connection with changes in the daily allowance period, we are going to vote in favour, but I just want to make it clear from this speaker that we are primarily against the whole change in the day-to-day pay system. We are voting in favour of the proposal for a Roman Numeral Decision, but I would like to stress that we are not in favour of introducing the plastic bag charge. In the case of proposals for Roman Numeral Decision XXII, the assessment of a low electricity charge for data storage, we vote in favour, but refer to the fact that we ourselves have a proposal that this should be introduced without investigation. When I first stand here, I have to almost a little visit to the representative Heggelund, because I have also noticed his fascinating tendency to take on the role of Supreme Judge in these debates. It's kind of weird to look at. The representative, Heggelund, is sad because the Norwegian political debate has been reduced to some sort of allocation competition. I believe that he is making a fundamental mistake in that analysis, and that today's debate is proof of that. Here we have had a longer debate on fundamental differences in the approach to economic policy. Heggelund's own party's idea of how to reduce differences by first increasing them – the trickle-down mindset, as we know from many communities – has got a thorough run. When we try to get the representatives of Heggelund's party involved in discussions on, for example: the consequences of changing the private school law or the consequences of the privatisation of health services that will result in the cooling water of free treatment choices, there is no particular willingness to do so. The same applies to discussions on the impact of the time-sales of Norwegian ownership or the impact of cut in key instruments on specific industries, under the cover of industry neutrality. It is the government parties that have had the strategy of sub-communicating the direction in which they will take Norway. Now we see the outlines of that direction in the budget. It's a direction that's got a brutal meeting with the voters. It's something quite different than a few million dollars in terms of appropriations. Finally, I would like to address the Workers' Party's distributed proposal – and I also remembered it.
ParlaMint-NO_2014-12-01.ana.ud1735e4823	That's good. The president was bid to remember it. The representative Marianne Marthinsen has taken up the proposal to which she referred.
ParlaMint-NO_2014-12-01.ana.ud1735e4828	I said in my previous post that if you want to know what's important to the government, I think you should keep your eyes fixed on the money, because it turns out it wasn't the people, but the money that was most important anyway. It was perhaps even the richest people who were the most important. I've been following the debate for the last few days, and at the same time I've been working hard to really understand the serious situation in Europe and in the world now, with the greatest refugee disaster we've seen since World War II. I have sought to understand it in the government parties, and there I found nothing. What I find is a government that boasts that there will be fewer refugees to Norway when we have the worst refugee disaster after World War II. It's like a victory – for a government that has to be knelt by the Left and Christian People's Party to accept the poor 500 more. It is not just a health and humanitarian disaster in these neighbouring countries. It is an extremely dangerous political situation when so many people are in refugee camps and fleeing neighbouring countries. It's millions. When the small country of Lebanon has four million inhabitants and more than one million refugees, it should have meant that a government in a country that has an exceptional freedom of action in the economy could afford a little more, or at least they would have done what they say they should do, namely help people there. But neither do they put any significantly greater effort on the table. It's not about helping people here or helping them there. It's about doing both. We have to do it now, because this is much worse than any of the other things we're talking about today, and because there's a dangerous situation that arises when the rest of the world turns the deaf ear to and does not burn each other up to do more and help more. Norway could lead by example, where we could have been in Europe, in neighbouring countries, in the countries we are working with all along, to remedy this serious situation. But you don't. So instead, you choose to spend billions of dollars on the richest people in this country, including my sails, and I can promise that is completely wasted money.
ParlaMint-NO_2014-12-01.ana.ud1735e4839	Now we see the true face of the Workers' Party. Their policies are being challenged. Yes, you even put it in context with the perspective message. Then you're called an over-judgment. Not just that, you're called a gloomy over-judgment. This is the true face of the Workers' Party. If they get challenged, this is the rhetoric you meet. It was nice that the representative, Mr Wickholm, confirmed in his speech – for over half a minute or perhaps more of his speaking time – that surrender is exactly what is the Workers' Party's solution to almost every question. The representative, Mr Henriksen, said that I and the representative, Mr Asheim, showed a lack of respect for the debate and, above all, for the views of the Labour Party, because they are being challenged, for example. the line of work, and because they are challenged by their sudden lack of willingness to make important changes to welfare systems. Can you rightly call it opportunism? Yes, because I've seen what, among other things. The previous speaker has said about the negotiations in the previous government on, for example, the the child supplement. But suddenly there's a black-and-white debate where the Workers' Party has always been on the right side. So what's going to happen? Well, then comes the groundless polarizations that we know so well from the Workers' Party: polarizations where polarizations absolutely do not belong, like, for example. in the field of combating labour crime and social dumping, where there is, in fact, a broad consensus, regardless of what representatives from the Workers' Party and the SV have to say. We're very happy that it is. I hope that the political debate can be raised to deal with more than who has been granted the most, that we can stand together on the areas where it is important that we actually stand together in this national assembly, and that we can discuss the different perspectives we have. But surrender cannot always be the solution, and I am sorry, but the Labour Party has confirmed that they believe it is, with its alternative budget.
ParlaMint-NO_2014-12-01.ana.ud1735e4850	I have to answer the post to Bakke-Jensen. First of all, I just want to say that I'm glad that there are representatives here who know their Zaffe – the philosopher, the environmental activist and the socially engaged Zaffe. It's good to know. It's good that a Right-Man hangs himself in it. So to the more serious thing about it than calling in cows: what the government does in this budget and in the previous budget is, first of all, that a drawing out capital from a part of the country that has a broad consensus about lack of capital. This is the most capitalised region in Norway, and one draws capital from that region. The government did not propose to set up a seed fund, which a co-conspirator's raise wanted to do. You did not suggest that. And one doesn't know where that seed fund that the partners have put in place is going to end up. So one draws capital. It's the one. The other thing that also does – fully active – is that one dissolves commitments. When it relates to natural resources that one has in the country, one dissolves the obligations that one has to deliver to establish or secure industry in that region. The incentives that form the basis for actually having an innovative, forward-looking industry take away by solving the commitments. Finally, the efforts made by the red-green government over many years – regional development funds, marine value creation programmes, etc. Then I thought it was special to act so amazemented at the criticism. I have met many of the right-wing and progressive party people in Northern Norway before the election and now in the later era, and the characteristic Nordic self-confidence is gone. They can no longer talk so hot on behalf of their own party's bet in the north. They're also more and more involved in the criticism I'm bringing here. It's going to be 4 pst, and it's going to be 4 pst, and it's going to be 4 pst, and it's going to be 4 pst, and it's going to be 4 pst, and it's going to be 4 pst. of the wealth that is there? And where did the big fight go? The county spokesmen in the Nordic countries, Troms and Finnmark have all said that this is going to be zero, because one has weakened the budgets of the county councils. We have a municipal model that favors rich municipalities in the south, which go beyond the municipalities in the north. So here it's not much to call in cows, Hill-Jensen.
ParlaMint-NO_2014-12-01.ana.ud1735e4864	I take the floor to ask the representative Stefan Heggelund not only to ask to raise the debate but to take up the debate on the important issues that he and his party are asking. For it is not my party leader who, since the election campaign, has consistently refused – either physically or in the press – to answer questions about what is their main argument until now for their policy, namely the dynamic effect of tax havens on those who have the most from before. Throughout the debate today, we have heard the same arguments, although they have been refuted from the beginning. We have heard that we need to solve the important challenges for the future jointly. We've heard that tax havens are growth-promoting. We've heard that we have to take care of what we have. Nevertheless, it is not a single proof that the tax havens of those who already have the most dynamic effects. So instead of asking us to stop being so irritated and stop being so engaged, I suggest that you take the political debates and bring a proof, come up with an argument, give an explanation as to why you think the tax havens will be dynamic. Because I haven't seen that far. It's strange about a politician who's surprised by the involvement of other politicians. The reason why we're engaged is because we actually care. That's because we actually listen to the researchers we applaud. We're listening to the research results that lie there, we're taking it into account when 17 out of 20 professors in this country say that the dynamic effect of tax credits on those who already have the most will not automatically benefit those who have the least. Unless there's a secret agreement that I haven't seen, between the government and those who have the most, that if they just get a load of tax breaks, they'll start and create a bunch of jobs, I'm still asking for the ability to take the debate, not just talk loud about lifting it.
ParlaMint-NO_2014-12-01.ana.ud1735e4873	It was impossible not to take the word after the words that fell from Heggelund's mouth. The big difference between the Labour Party and the Right is that the Right wants a work environment law that meets you when you enter the door at the bar, a work environment law that sets obstacles for you, and that works against you and for the boss at the place all the time. We want a work environment law that stands in your back when you go out to the bar. We want measures against social dumping that actually combat social dumping. When one is out in the workplace and meets Russian, Polish and Lithuanian workers who have it tough and who are being pressured – yes, the trade unions are actually able to sue for inaccuracies and to sue employers who break the law, essentially. The difference between the Labour Party and the Right is that we listen to the thousands of thousands of listening posts that are out in Norwegian jobs, which build the country, which every day rises early in the day, run in the kindergarten, which is flexible, which adapts every day – those that are really the bottom line of the Norwegian model. We are listening to all the thousands of thousands – 900,000 members of the LO, several hundred thousand members of the Nurses' Association – we are taking them to the hearing. We have a completely different view of the world of work and the organized model. If the solution to social dumping is the Labour Inspectorate, I think it is terrible that the excuse that the Service Centre for Foreign Workers for Coordination Units – to take more of the crime in the workplace – is not in place is that cities have not done enough to get it, that they argue with it. If that's the solution to social dumping, the government has to make sure to deliver it right away. We know that if we're going to solve social dumping, we're going to have to play on the team, then we actually have to do it together -- use the thousands of thousands of listening posts, the bases, trust elected, the people who have chords out in the workplace, the people who work every day to increase productivity in the construction sites. There is no one out there who wants the crime that you want a regulation that you want rights, and you want politicians who support you, that you don't suspect the motives every day. No one wants an unprofessional construction industry, no one wants unprofessional learning. You want to be able to talk to people, you want to know that the people you work with are safe, and you want to be safe because you're well trained. This is ensured by a good regulation, by a work environment law that supports people in their backs and that does not meet people in the door when they get in.
ParlaMint-NO_2014-12-01.ana.ud1735e4880	The representative Frank Bakke-Jensen has spoken twice earlier in the debate and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2014-12-01.ana.ud1735e4883	Just briefly: first, I must be allowed to point out that I do not recognize the description of the part of the country and the right people in the region as gloomy, in despair and in a bad mood. I meet many people who are in a good mood – most people – and who are well off with a right-wing government, because now it's being put into school, now we give young people our opportunities, and we have a policy that leads to equal opportunities. Then I must be allowed to shoot in, at the end of the day, when it comes to the vicious debate about taxing business: they must show us that they are going to spend this money on creating jobs. There are jobs that are created, there are companies that are created, there are machinery parks – we tax it and then we charge taxes on it. I don't understand why you think that as soon as we tax these people who have built the jobs, built the values, a little less, they stop creating. These are entrepreneurs, entrepreneurs and business owners who will only create on behalf of their jobs and businesses. It'll happen further.
ParlaMint-NO_2014-12-01.ana.ud1735e4890	At the end of this debate, it was difficult not to make a brief comment when the representative Heggelund, on behalf of the government parties, was so violently offensive on the way into the big night, for the most striking thing about this financial debate has been the violent contrast between what the government parties are doing with their money, and what they are talking about most about. Usually, what you spend the most on in a budget, is also the most important thing to talk about in the debate afterwards. The big single issue in this budget has been the wealth tax, but the wealth tax has almost been absent from the posts of government parties in this debate. In those years of Swedish government, we were very clear on what was our most important individual priority, and it was getting big sums over the state budget into the kindergartens. Then we talked about kindergartens, too, because we wanted people to remember it. Now it's the wealth tax that's the big priority, but the government parties' representatives are not talking about the wealth tax in their contributions. It must be because they want people to forget that that is the main priority. So this debate has been marked by evasive government parties who are not interested in discussing the most important aspect of their own policy, and I interpret it as a sign that you don't believe that debate can be won. I think that's a very good assessment, and it says a lot about the weakness of the government's priorities. It's like, if you feel weak on your own basis, you're going to want to get tough on other extra strong ones, and I guess that's what we saw in this final round, I think.
ParlaMint-NO_2014-12-01.ana.ud1735e4903	The representative, Martin Kolberg, has spoken twice earlier in the debate and is given the floor for a brief comment, limited to 1 minute.
ParlaMint-NO_2014-12-01.ana.ud1735e4906	I take the floor for this brief comment, because everyone has heard this debate and the heavy, principled part of it, and I believe that there is reason for the Stortinget to note that the Minister of Finance, who has heard this whole debate, does not participate in it, either because she does not want it, because she does not want it, or because she does not think it is necessary. I don't think that's right, and I think it would have been quite in place that the Stortinget had heard what the finance minister thought about the last part of the debate that the Stortinget has now had.
ParlaMint-NO_2014-12-01.ana.ud1735e4911	Several have not asked for the floor for case No. 1 and 2.
ParlaMint-NO_2014-12-01.ana.ud1735e4917	The size is then ready to go to voting.
ParlaMint-NO_2014-12-01.ana.ud1735e4925	The President proposes that the Minister of Finance’s statement on the 2015 State and National Budget be annexed to the minutes of the Storting meeting on 8 October 2014. – It shall be deemed to have been adopted unanimously.
ParlaMint-NO_2014-12-01.ana.ud1735e4935	A total of 29 proposals have been put forward during the debate. It's the proposals No 1 and 30, by Marianne Marthinsen, on behalf of the Workers' Party, proposal No. 2, by Hans Olav Syversen on behalf of the Christian People's Party, the proposals No. 3-13, by Mr Slagsvold Vedum, on behalf of the Group of the European People's Party, proposal No. 14, by Terje Breivik on behalf of the Left-wing proposal No. 15, 17–26, 28 and 29, by Snorre Serigstad Valen, on behalf of the Socialist Left Party, proposal No. 16, by Rasmus Hansson on behalf of the Greens/Greens/EFA The President noted that proposal No. 27 by the Socialist Left Party has not been tabled. For proposal No 30, from the Labour Party and proposals No. 17-26, 28 and 29, by the Socialist Left Party, the President will note that they have been tabled after the deadline laid down in the Stortingen Rules of Procedure for submitting loose proposals. The reason why they had to be put forward in this way is that they are not included in the supplementary position by mistake, but are only included in the first vote of the committee. So they're treated in the usual way. There is a vote on proposal No. 16. from the Greens/Greens/EFA. The proposal reads as follows: ‘Frame decisions No TitleCrons1State administration6 026 953 0002Family and consumer45 872 619 0003Culture10 219 118 0004External 37 960 823 0005Justis25 891 954 0006Immigration, regional development and housing20 219 395 0007Work and social401 374 292 0008Defence34 236 268 0009Industry4 568 721 00010Fiskerry888 081 00011Agriculture17 368 880 00012Oil and energy 116 677 762 00013Environment11 174 951 00014Constituent institutions2 209 892 00015Health170 204 199 00016Course, education and research66 070 498 00017Transport and communication56 201 304 00018Rame transfers to the local sector mv.164 388 800 00019Compulsible expenditure and income9 950 000 000 00020Finance administration mv.40 108 985 985 00021Drafts and budgets and expenditure 1613
ParlaMint-NO_2014-12-01.ana.ud1735e5158	There is a vote on the proposals Nos. 17, 21 and 22, from the Socialist Left Party. Proposal No. 17 sounds: «The government is asked to come back to the Storting with proposals to strengthen its competence in environmental matters in public procurement.» Proposal No. 21 sounds: ‘The Government of the revised National Budget for 2015 is asked to explain how the recruitment and maintenance of staff with disabilities in the state and state activities has been continuously carried out and in the process of the efficiency measures proposed in the 2015 budget.’ Proposal No. 22 sounds: ‘The government is asked to amend the Wage and Occupational Pensions Act on leave back to the way it was until 1 January 2014.’ The Labour Party, the Centre Party and the Greens have announced their support for the proposals.
ParlaMint-NO_2014-12-01.ana.ud1735e5187	There is a vote on the proposals Nos. 20, 28 and 29, from the Socialist Left Party. Proposal No. 20 sounds: ‘The government is asked by the government in the revised National Budget for 2015 to explain how the state’s responsibility for ensuring that senior citizens employed in the state and state activities can remain in employment until retirement has been maintained on an ongoing basis and in the process of the efficiency measures proposed in the 2015 budget.’; Proposal No. 28 sounds: ‘The government is asked to postpone the reorganization process and transfer of responsibility from the Customs and Tax Set to the Tax Set, and to return to the Stortinget with a better anchored proposal for reorganisation involving employees’ organisations.’ Proposal No. 29 sounds: ‘The government is asking the government to reverse the proposals to introduce neutral VAT in the public sector and to implement a comprehensive amendment to the draft government budget in line with this reversal.’ The Labour Party and the Centre have announced their support for the proposals.
ParlaMint-NO_2014-12-01.ana.ud1735e5216	There is a vote on proposal No. 18, from the Socialist Left Party. The proposal reads as follows: ‘The Government is asked to reinstate the Directorate for Administration and ICT its Department for the Environment of Public Procurement.’ The Group of the Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European Greens/European
ParlaMint-NO_2014-12-01.ana.ud1735e5235	There is a vote on the proposals Nos. 25 and 26, from the Socialist Left Party. Proposal No. 25 sounds: ‘The government is asking for proposals for an own-initiative action to develop the industrial opportunities for the use of wood and biomass.’ Proposal No. 26 sounds: ‘The government is asking to return to the United Kingdom with a plan for advanced industrial production and reindustrialisation, as Denmark, Germany, the United States and the United Kingdom have already undertaken.’ The Central Party has announced their support for the proposals.
ParlaMint-NO_2014-12-01.ana.ud1735e5259	There is a vote on the proposals Nos. 15, 19, 23 and 24, of the Socialist Left Party. Proposal No. 15 sounds: ‘Frame decisions 1State administration6 428 053 0002Family and consumer46 839 819 0003Culture10 743 988 0004External39 408 182 0005Justis25 414 354 0006Inmigration, regional development and housing17 333 095 0007Work and social401 554 292 0008Defence37 123 301 0009Industry4 185 170 00010Fischery-143 919 00011Agriculture16 595 022 00012Oil and energy-111 588 262 00013Environment8 503 751 00014Constituent institutions2 204 892 00015Health172 114 178 00016Courts, education and research64 180 358 00017Transport and communication56 033 144 00018Rame transfers to the local sector mv.16 706 300 00019Constituent expenditure and revenue10 350 00020Financial administration etc.40 092 585 00021Tasss, duties and payments to-170 1303 933 000 Proposal No. 19 reads: ‘The government is asked by the government in the revised national budget for 2015 to provide a new 10 year compensation scheme for the unemployees who lose tax on the conversion of income tax and to propose any new tax deductions and changes to the housing aid that may compensate for the loss of the conversion so that insured persons have a similar opportunity as they do today to acquire and maintain housing.’ Proposal No. 23 sounds: ‘The government is asking for a return to the Storting with a proposal to set up a Pilot Invest Fund under Innovation Norway worth SEK 3 500000000, where the return on renewable energy, energy and other environmental technologies will be used.’ Proposal No. 24 sounds: ‘The government asks the Government to return to Stortinget with a proposal to set up an Investment Fund for Northern Norway under Innovation Norway of SEK 5000000.’
ParlaMint-NO_2014-12-01.ana.ud1735e5464	There is a vote on proposal No. 14 from the left. The proposal reads as follows: ‘Frame decisions 1State administration6 056 053 0002Family and consumer44 210 619 0003Culture10 303 475 0004Exchange37 373 323 0005Justis25 285 254 0006Inmigration, regional development and housing16 199 995 0007Work and social399 101 292 0008Defence37 803 701 0009Industry2 996 721 00010Fischery-133 919 00011Agriculture16 508 022 00012Oil and energy-111 769 562 00013Environment8 398 251 00014Constituent institutions2 183 392 00015Health170 157 478 00016Church, education and research65 813 598 00017Transport and communication54 707 444 00018Rame transfers to the local sector etc.162 470 00019Constitudial expenditure and revenue9 280 300 00020Financial administration etc.40 088 985 00021Tasss, payments and payments to households1 993 065 065 065 000 million
ParlaMint-NO_2014-12-01.ana.ud1735e5654	There is a vote on the proposals Nos. 7 and 11, from the Center Party. Proposal No. 7 sounds: ‘The Government requests that, in drawing up the detailed rules for the plastic bag charge, bags based on bioplastics be exempted from the fee.’ Proposal No. 11 sounds: ‘The government is asking the government within the quota for the reception of refugees to give priority to seriously injured refugees.’ The Labour Party, the Socialist Left and the Greens have announced their support for the proposals.
ParlaMint-NO_2014-12-01.ana.ud1735e5676	There is a vote on the proposals Nos. Four, nine and twelve from the Center Party. Proposal No. 4 sounds: «The Government is asked to review conditions of competition and other framework conditions for the transport industry with a view to improving conditions.» Proposal No. 9 sounds: ‘The government, in cooperation with business organisations, asks the government to assess the impact of increasing the turnover limit for online commerce with regard to the loss of Norwegian VAT and Norwegian jobs.’ Proposal No. 12 sounds: «The government is asked to submit an amended proposal to correct the income framework of the 31 municipalities subject to a reduced rate for a differentiated employer's fee. The correction of the transfers shall be made through the discretionary grant and so that municipalities retain a substantial part of the savings of reduced employers’ contributions.» The Labour Party and the Socialist Left have announced their support for the proposals.
ParlaMint-NO_2014-12-01.ana.ud1735e5702	There is a vote on proposal No. Five from the Center Party. The proposal reads as follows: ‘The government is asking for a 40 pst regime to be put in place. re-depreciation for the first four years of all renewable energy included in the certificate market. It shall take effect on 1 March 2015.’ The Labour Party has announced their support for the proposal.
ParlaMint-NO_2014-12-01.ana.ud1735e5721	There is a vote on proposal No. Eight, from the Center Party. The proposal reads as follows: ‘The amount requested by the Government in drawing up the detailed rules for the plastic bag charge shall ensure that paper bags are exempted from the fee.’ The Socialist Left and the Greens have announced their support for the proposal.
ParlaMint-NO_2014-12-01.ana.ud1735e5730	President! That's wrong. SV shall vote against.
ParlaMint-NO_2014-12-01.ana.ud1735e5744	There is a vote on proposal No. Ten, from the Center Party. The proposal reads as follows: ‘The government requests the following criteria for allocating increased appropriations for loss compensation: 70 pst. in additional compensation for losses between 200 and 799 kroner/inhabitant. 85 pst. in additional compensation for losses exceeding 800 kroner/inhabitant.» The Socialist Left has announced their support for the proposal.
ParlaMint-NO_2014-12-01.ana.ud1735e5770	There is a vote on the proposals Nos. Three, six and thirteen from the Center Party. Proposal No. 3 sounds: ‘Frame decisions 1State administration6 479 653 0002Family and consumer46 497 619 0003Culture10 306 828 0004External35 498 923 0005Justis25 788 254 0006Immigration, regional development and housing16 823 995 0007Work and social401 264 132 0008Defence38 338 1010 0009Industry4 294 721 00010Fiskerry-140 219 00011Agriculture17 385 822 00012Oil and energy-111 706 762 00013Environment8 471 751 00014Constituent institutions2 204 892 00015Health171 907 578 00016Church, education and research64 538 098 00017Transport and communication55 704 144 00018Rame transfers to the local sector mv.163 268 300 00019Constituent expenditure and revenue9 829 52000020Finance administration mv.40 258 085 00021Taxions and payments from households1 10786 318 million Proposal No. 6 sounds: ‘The Government is requesting to review aerodrome charges with a view to reducing aerodrome charges at aerodromes with State-funded routes, which are financed by an increase at other aerodromes.’ Proposal No. 13 sounds: «The government requests that the broadcasting fee for television receivers be set at $2,600 excl. value added tax 2015.’
