ParlaMint-NO_2014-10-22.ana.ud143e26	The representative, Dag Terje Andersen, will put forward a proposal for a representative.
ParlaMint-NO_2014-10-22.ana.ud143e1321	I thank you again for the answer. I think that the patient representative in some places works very well in that area, while there is probably a bit of varying experience with what is the control device, both county doctor and patient representative. But maybe we can come back to that on a later occasion. I am pleased with what the Council of State says about dialogue, and the clear signals that here the user must be in the centre, and that it should not be necessary for a user to have to use the media, politicians and others to reach out when someone has an obvious need for help, as Kay Rune and others have. What I might reflect on is the administrative practices that often apply in primary municipalities and elsewhere, and that may not always be consistent with the law. How can we make this work better, and can we possibly look at the law versus administrative practices, so that users get the help that we all think users should get?
ParlaMint-NO_2014-10-22.ana.ud143e1330	The representative is in here on very fundamental and important questions. We do not know enough about the quality of municipal care services. That's the absolute reason to establish. That is why I have also proposed, in the state budget now presented, the establishment of a quality register for municipal care services in order to have more knowledge of the quality of those services. We are now working on a big message about municipal health, where we will not least raise questions about how to ensure better quality in these areas. I am convinced that in this context there are two crucial factors. It's competence and management. There we have great challenges. We need to increase the overall competence of municipal care services and, not least, develop better management.
ParlaMint-NO_2014-10-22.ana.ud143e1341	‘6. The Minister of Health said this May that the cultural spa is a good arrangement to be continued. In the State budget for 2015, it has been removed. In 2014, counties received 30.8 million. kr through the cultural walking stick. Can the Minister of Health give a detailed overview of 15.4 million. kr in increased appropriations for environmental treatment training and for the development of activities and culture in the care services involve, and explain how it replaces the cultural spa?"
ParlaMint-NO_2014-10-22.ana.ud143e1348	The use of art and culture in the care service can serve many different purposes. Art and culture can be part of good care and can create meaningful community experiences in everyday life. So it can be care and care, it can be entertainment, and not least culture can have a therapeutic and therapeutic effect. In recent years, cultural and cultural resources have been allocated through the Cultural Spaserstick scheme. We have made a clear priority and believe that the municipalities have many opportunities to secure the part of this that is entertainment, through the grants that they already give to local culture. That's why we've now prioritised the state's efforts to build up competences in what is really using culture and music in therapy. This is well documented, and it works very well, in connection with both care and activities. It works well against anxiety, depression and detoxification and contributes to less psychotropic use. That's why we're proposing a re-priority, and now we're going to spend five million. to further develop and disseminate training programmes on environmental management and integrated use of music and song for care staff. Furthermore, it is proposed to re-prioritize 10.4 million. to develop activities and culture in the care service. The funds are invested in a new competence and innovation grant to municipalities. The total amount of grants in this area is approximately 260 million. kr, and the aim is to stimulate local authorities to implement measures of competence and development based on local conditions and needs. The funds may include: contribute to the development of innovative cultural services for users. The funds shall be managed by the State and shall be seen in the context of the Ministry of Municipal and Modernisation’s discretionary contribution to municipal innovation and development. In addition, the Ministry of Culture proposes to re-prioritise its part of the funds and to support the Kraftak project for singing, including: singing in the care of the elderly is an important part of the programme. During a pilot period, singing in the care of the elderly could spread to a larger number of elderly institutions throughout the country. But the most important thing is that as far as the part that can be seen as important and meaningful entertainment is concerned, the municipalities already have a lot of instruments. What municipalities need help from the state is to contribute to enhancing their competence in the use of music and culture as a knowledge-based, integrated part of care and care. We see that this has great, positive effects, not least for elderly people with dementia. This reduces anxiety and also reduces the use of unnecessary drugs.
ParlaMint-NO_2014-10-22.ana.ud143e1363	The cultural spa was created to help older people get a adapted cultural offer on the arenas they live in. When a les Bergen municipalises his annual report from 2013, he shows that the cultural walking stick had 80 different reception places: 40 sick and old-age homes and the rest distributed to service and care establishments, senior centres, day-care centres for the elderly, permanent assembly places run by volunteers, etc. Not one bad word about strengthening the other measures referred to by the Minister of Health – it is important to have more activity in the care of the elderly – but I cannot understand how the Minister of Health thinks that cutting out the provision of culture in the day-care centre, in the senior care centre and for home-built elderly people should contribute to a better care for the elderly.
ParlaMint-NO_2014-10-22.ana.ud143e1370	I have no reason to say that the cultural walking stick has not been a positive feature of the municipal care service. Getting good cultural experiences is something that everyone really enjoys, no matter where you are in life. My question is, where is it right for the state to put in its efforts, and where is it that the municipalities themselves have all the prerequisites for dealing with the challenges? I believe that municipalities, which are the main contributors to local cultural life, have many powerful economic instruments to ensure that older people and others in the care and care sector also have good cultural experiences. Municipalities need help from the state to help employees have the competence to use music and culture as an integral, research-based and knowledge-based part of the therapy. Therefore, this is an expression of a clear priority in which we prioritise competence, and then the municipalities themselves can handle what is entertainment.
ParlaMint-NO_2014-10-22.ana.ud143e1377	In Stortinget on 6 May this year, the Minister of Health and Health said this: ‘In recent years, there has been a broad majority in the United Kingdom to grant grants to the Cultural Spaserstick, which facilitates cooperation between the cultural sector and the care sector, so that older people can experience high-quality arts and culture in hospitals and institutions. [[...]] A variety of vocals and expressions has emerged thanks to this grant scheme, and the events have delighted a great many users. The cultural walking stick is a good arrangement, and we therefore want to continue it.» Torstein Watttum, who is the commentator in the Evening Post, asks today: "Have you forgotten what you promised, Höie?" I also have a question: if the government uses the same argument about the cultural school, does the government have plans to train the teachers in song and also cut out the cultural school?
ParlaMint-NO_2014-10-22.ana.ud143e1392	I react very strongly to the trendy presentation of this matter by the evening post today, where they write on their own account that we say that the employees will be in charge of the entertainment. That's wrong. Of course, professional and good cultural experiences must be supported by people who work with and in cultural life, either on a voluntary basis or professionally. Municipalities have every opportunity to ensure this for their citizens who need services from the care sector. That's what this is about. It's a clear priority – a priority that was made after May 6th, when I answered this in Stortinget. It is also in line with what a unanimous committee said when dealing with the issue of tomorrow's care. The Committee stressed that: ‘therapeutic use of singing and music against unrest and depression in dementia is shown to be able to reduce both the laxation and drug use in the elderly.’ And... ‘There is a great need to integrate cultural dissemination as a method of treatment and care, and to develop, disseminate and implement new practices across the country.’ That's what the government is following up and prioritizing.
ParlaMint-NO_2014-10-22.ana.ud143e1418	This question has been drawn. Question 13 has been answered, so we go to question 14.
ParlaMint-NO_2014-10-22.ana.ud143e1425	«Norwegian Lektorlag reports that in a recent membership survey 57 pp. by the teachers that they have felt a pressure from the school management to give pupils a stand despite high levels of absence. In the book Bak façade in Osloskolen, author Malkenes comes with criticism that the focus of the results leads teachers to lower the requirements for setting top characters. What will the Council of State do to ensure that the strong target management regime does not weaken confidence in the results and prevent artificial characterisation from concealing reality?’
ParlaMint-NO_2014-10-22.ana.ud143e1432	The question concerns two different issues. One issue from Norsk Lektorlag is whether the teachers, the employees, think they have the basis to characterize. The second question, which is a statement that comes into a book that one called the Milkes has written, is that there is a more general pressure to put a better character. First of all, I'm concerned that we should have confidence that you should be able to trust that the results of your school students are correct. So to the first problem: we have received signals that some teachers are experiencing unclear rules on absenteeism, assessment given along the way in the training and the basis of the position character being set. The uncertainty surrounding the issue of absence is linked to the amount of absence that can be accepted for the teacher to say with reasonable certainty that she has an adequate basis for setting a position. There is often a link between the absence of students and the assessment basis. In addition, the legislation dealing with the relationship between the assessment given in-flight and the assessment of position is perceived as somewhat unclear by some teachers as it is today. Many demand clearer rules on how to clarify the in-flight assessment as a necessary starting point for the point of view assessment. We have sent a three-part letter of assignment to the Education Directorate for Assessment. In one of the parts of the letter of assignment, we ask the Directorate to propose models of how to introduce an absence limit that can clarify the student's duty to be present at school in order to ensure that teachers have a good and varied assessment basis. In addition, the Directorate shall examine proposals on how legislation can make it more clear that the assessment given in-flight is an important starting point for the assessment of the position. The proposal is scheduled to be sent to the spring 2015 hearing and the changes will be ready from the next school year. It is the professional assessment of teachers that is the basis for determining a position character. In addition, according to current legislation, the principal is responsible for the positioning of professionals. The reassessment may be requested by the principal if he is in doubt about compliance with the rules for the establishment of position characters. If it turns out that there is no basis for setting a position character, e.g. because the student has been too absent, the Vice-Chancellor is responsible for the adoption of a single decision not to grant a stand. I take it very seriously that several lecturers report that they feel pressured to give a position assessment they do not think they have the basis to give. Professional integrity and judgement are an important part of teacher professional responsibility. I believe that clarifying the legislation could help teachers to facilitate their professional judgement. Work on assessment for learning, getting more teachers to carry out sensor education and general continuing education could also contribute in this way.
ParlaMint-NO_2014-10-22.ana.ud143e1449	Absence is, as the Council of State addresses, one aspect of my question. That's not what I want to address here, because I think we'll get back to that – probably in a bigger discussion. The main question is, why do teachers score students when they have no basis for doing so? Why do they feel that pressure? Is it because of the absence regulation – that this is the problem? No, I don't think so. The problem is that we have a target management regime that is not primarily concerned with the students. The character is set to give schools, school owners and school authorities an idea of how this school comes out on the ranking in relation to other schools or municipalities. Do the Councils see the challenge of today's target management regime? What will the Council of State do to support the assessment system for pupils’ learning outcomes, not for municipalities and schools’ intercompetition?
ParlaMint-NO_2014-10-22.ana.ud143e1456	If it's the way teachers feel pressured to put a stand they don't think it's a basis for professional considerations, it's totally unsustainable. Of course, it is natural that there may be discussion in the college about what a character should be, or discussions about what should be the professional basis for setting a particular character, but there should be no pressure. Then I am a little surprised that the representative skips over the fact that what Norsk Lektorlag has actually asked about, applies to those who feel that they do not have the basis to characterize because of high absences from the students. Then it is relevant, at least, to consider the fact that under the red-green government the schools were able to have a fixed roof removed. Many schools had e.g. a contract, so to speak, with the students, where you said that if the student is gone more than 20 pst, it can't be set. That possibility was removed under the red-green. That, I think, has been an important contribution to the fact that it has become an individualization of the characterisation, which in turn has given rise to what the lecturers here report.
ParlaMint-NO_2014-10-22.ana.ud143e1463	The leader of the Norsk Lektorlag, Paulsen, says: ‘We are facing a growing problem where school leaders who compete for the best possible results for their school, more or less explicitly require better results.’ It's like six out of ten lecturers experience pressure to give these characters, and that's not just because of the absence. If they're not there, they have to be able not to set those points of view. But it can seem bad for their school, for their principal, and that means we also have to look at what kind of test beds we have. We have two different test categories, we have the learning support, and then we have the more controlling and ranking tests, like TIMSS, PISA and national tests. I ask again, how will the Council of State work to develop a fairer and more credible assessment system in Norway, where students' actual learning and skills become most important? It won't be fair to the students if they're put on without a foundation.
ParlaMint-NO_2014-10-22.ana.ud143e1475	I fundamentally disagree with that, if the reality description of the representative is that students today evenly cannot be sure whether their grades have a good professional starting point. I fundamentally disagree with that. And then there's a difference of substance, for example. TIMSS and PISA and the national samples. TIMSS and PISA are sample samples that just have a non-learning support function. National tests are for all at certain stages of the year and also have a learning support function. That's one of the points of the national tests. They are used in teaching, and they are also used, for example: to see who in the class needs extra follow-up. This is also the good number that will come eventually. So I think it's good that the schools compete for results, in the sense that they're trying to get the students to learn more – that's good. If there is a development where results are inflated, it will be revealed, for example. through the examination system or through the national tests, and we'll turn that on.
ParlaMint-NO_2014-10-22.ana.ud143e1482	The ordinary Questionnaire has changed.
ParlaMint-NO_2014-10-22.ana.ud143e1495	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
