ParlaMint-GB_2021-11-04-commons.u1	1. What progress he has made on establishing a national headquarters for Great British Railways.
ParlaMint-GB_2021-11-04-commons.u230	It is a pleasure to follow the hon. Member for Manchester, Withington (Jeff Smith). I thank the hon. Member for Inverclyde (Ronnie Cowan) for securing this debate on medicinal cannabis I am sure I am not alone in this place in often being asked by people, “What is it that makes you want to be an MP? , “What is it about being an MP that is rewarding? ” , or, particularly after days like yesterday, “Is it not frustrating? ” When I am asked that, I point them to what happened a couple of years ago, when my constituent Karen Gray came to my office with her wee boy Murray, who, up until that point, had been the subject of lots of conversation and lots of letters back and forward to the Scottish Health Minister and to the then Health Secretary about the availability of cannabis oil. She brought him into the office and he sat and explained to me all about why he liked dinosaurs. That might seem unremarkable. But before then—before he had cannabis oil—Murray was likely to have up to 100 seizures in a day. He had spent much of his life in hospital and missed much of his education, and his parents were worried for his future Three years ago, when the then Home Secretary, now Health Secretary, made cannabis oil legal, it gave Murray’s family hope that their lives would change, and their lives have changed, Murray’s life most significantly. But it still is not fixed, because now the specialist who was prescribing cannabis oil for Murray has retired. When they did, earlier this year, they wrote to the Secretary of State asking what was to happen, because there would now be only one clinician in the country prescribing cannabis oil for hundreds of children for whom Epidiolex is not appropriate but for whom cannabis oil does change their lives and keep them safe. I have spoken to Murray’s mum about this. She is of the opinion—and says that the specialist was as well—that many GPs and doctors in this country want to be able to help their patients with cannabis oil, and that will be possible only if the Department of Health changes its policy and encourages the profession to do so This is the third debate on this subject that I have taken part in in the past couple of months. Each of them was secured by an MP from a different party. Today’s debate was secured by the hon. Member for Inverclyde, who is a Scottish National party Member. Yesterday’s debate in Westminster Hall was secured by a Conservative Member. I secured the other debate, as a Liberal Democrat Member, and we had support from Labour Members. I am at a loss as to how an issue that is so emotive, and has so much support across this House and across this country, has to keep coming back. We have to keep asking the same questions. We have to keep saying that clinical trials will not work because cannabis oil is not suitable for clinical trials. Even the NHS has said so. In its report of 8 August 2019, it recommended that there should be alternative trials. By that I assume it means observational trials I wonder what motivated the Government and the then Home Secretary to change the law: I suspect that he wanted to do it in the best interests of a child, and children, who were suffering and could be helped by that change in the law. I also wonder how frustrated he, and other politicians who took part in that decision, including all of us who worked hard and campaigned for it, must now be that despite that significant—in some terms, massive—change by this Government, we have not made the intended progress. People are still in pain in this country. Families are spending, as we have heard, upwards of £1,000, sometimes £3,000, a month to secure legal medication for their children that they cannot get on the national health service—the national health service of which we are so proud and that is supposed to deliver free-at-point-of-delivery care from cradle to grave.
ParlaMint-GB_2021-11-04-commons.u231	A few of us have constituents with a child with epilepsy and have invested the time to get a detailed understanding of many of the issues. The problem, as alluded to by my right hon. Friend the Member for New Forest East (Dr Lewis), is that most of our colleagues think we have done it. After the decision was taken in November 2018—or when the licence was given for Billy Caldwell to get his medicine—the conclusion was that one would not be able to find anyone who was objecting, because if one can have medicine from the Asian poppy, why on earth can one not have medicine from cannabis? There was probably no opposition in this place at all. But the tragedy is that the evidence is that we have not done it. We must get back into the complexity. We will support the new Minister in fighting her corner to ensure that people can get these medicines, along with all the other interests that are engaged here too.
ParlaMint-GB_2021-11-04-commons.u232	I thank the hon. Member for his intervention. He is absolutely right; I could not agree more. We all thought it was done, but more importantly, and more upsettingly, so did the families of the hundreds of children, and adults, who would benefit—adults with conditions such as multiple sclerosis for whom it would be life-changing. They all thought it had been done and cannot understand why it is not. I have to be honest: I cannot understand why it is not either, and why it simply cannot be done. Will the Government please consider using observational trials instead of insisting on clinical trials, which are not appropriate?
ParlaMint-GB_2021-11-04-commons.u233	The hon. Lady and I have locked horns on a number of occasions on the radio over the European Union, but I would like her to know that she has support on the Tory Benches, particularly when she talks about children and the conditions they are facing. I hope she will take comfort from the fact that she has support from all political parties in the House in trying to change the legislation on this very important issue.
ParlaMint-GB_2021-11-04-commons.u234	I thank the hon. Member for his comments, and I do take comfort from that, but more importantly, the many hundreds of families watching to see what we do will take comfort from the fact that they have support on the Government Benches as well as the Opposition Benches. I ask the Government and the Minister to take that on board. Will they consider the suggestions that have been made today, as well as using discretionary funding to support those prescriptions that families are currently paying for until we can resolve this issue? Then we can finally achieve what the then Home Secretary and the Government wanted to achieve three years ago when they made cannabis for medical use legal. They did not intend that we would be here now with only three prescriptions issued.
ParlaMint-GB_2021-11-04-commons.u235	It is an honour to follow the hon. Member for Edinburgh West (Christine Jardine). I congratulate the hon. Member for Inverclyde (Ronnie Cowan) on securing this debate, which, as everyone has said, is yet another debate on the same issue. Three years on from when we had such hope, it is disappointing that we find ourselves still here I am going to speak yet again about one of my constituents, a very brave and formidable woman who is known to many in the House, because she has been courageously campaigning for the medical use of cannabis by highlighting the problems she has faced in recent years to access the drug Bedrocan. Lara Smith is a wife and the mother of three children. She was a paediatric nurse and a county fencing coach before her health deteriorated because of cervical and lumbar spondylosis. For over 20 years, she has had 35 different medications, as well as a number of operations for her condition. Unfortunately, she has been left with permanent nerve damage, limited mobility and a constant, annoying and debilitating tremor in her right hand. Her quality of life has been completely impaired. That is not just because of her medical condition, but because of the awful side effects of the drugs she has been prescribed over all those years. This has meant that Lara was not able to be the full-time mother that she wanted to be to her daughters and son Fortunately, Lara’s pain management consultant in the north-east prescribed Bedrocan, and the transformation was such that she was able to come off all the other medications. Her young family said that they felt they had their mam back. The downside was that for a time, Lara could access the drug only by travelling to a Dutch pharmacy to collect it on a private prescription. I have said it before, so I will not go into it again, but she made that arduous journey every three months, bearing in mind the pain she was in. She had to notify full details of her prescription and her travel to Border Force each time. The costs of the medication and travel were very expensive for her family, but they thought that the sacrifice was worthwhile, because of the difference the drug made to Lara A couple of years ago, I was successful in raising the issue at Prime Minister’s questions. I received a response from the appropriate Minister at the time, who said that “there should be no barriers to patients getting access to the appropriately prescribed medicine. The Department of Health and Social Care…has been working closely with suppliers and NHS procurement pharmacists to ensure that prescribed CBPM are available when needed. ” If only that were the case Fortunately, Lara no longer has to travel to Holland for her drugs—they are prescribed on a private prescription—but her consultant has unfortunately been unsuccessful in obtaining an individual funding request for her, which is a great disappointment to us all. That is because unfortunately the Northumbria trust—it is a well-respected and well-known trust in many ways, and I always support our trust for a lot of the good things it does, but I am rather frustrated in this instance—followed guidelines that do not advocate the use of cannabinoids, citing a lack of evidence for effective pain relief, because of the difference in the trials put forward to prescribe the drugs, and we have already heard about that issue. On that score, there has been no progress. Perhaps the biggest irony of all is that the trust advocates and allows the prescription of synthetic cannabinoids. For Lara’s drug, a synthetic cannabinoid is £588 a month and unfortunately leaves her quite ill; she pays £100 less for her private prescription. Such a state of affairs seems ludicrous There is nothing much I can add to what has been said today. All the speeches are always passionate, and Members speak with such knowledge on the subject—knowledge that has had to be acquired over all the years there has been the fight to win the case. I know that the new Minister, having worked with her on all-party parliamentary groups, is compassionate and knowledgeable, so we put great hope in her that we will see some progress after today’s debate and the other debates that have gone before. I wish her the best of luck in taking this forward, and I am sure she knows we are all behind her. We hope there will be change for the adults and children whose quality of life needs to be improved and can easily be improved if some changes are made in law.
ParlaMint-GB_2021-11-04-commons.u236	It is a great pleasure to close for the Scottish National party in what has been a consensual and informative debate with a great deal of good sense and passion from all parts of the political compass and all points of the House. I warmly congratulate my hon. Friend the Member for Inverclyde (Ronnie Cowan) on securing this important debate It is important that we take good note of the reality on the ground. Passing laws and changing regulations are easy for a legislature, but effecting change on the ground is deeply important for millions of the people who we represent and serve. I have a personal insight to this issue: nine years ago, I was diagnosed with arthritis. It is a family thing. We knew that it was probably in the post. It is well-managed and I am relatively lucky—Versus Arthritis is a great organisation with a lot of good support and advice—but what it has given me is a keen awareness that pain management and chronic medical conditions are life-defining for millions and millions of the people who we serve. Anything that can help alleviate those conditions surely needs to be properly ventilated and worked through for the benefit of those millions of people. Medical cannabis should not be held back by woolly sentiment and outdated thinking. I think there is still a job to be done to move where the state is on that I also have a constituency interest, in that in Stirling we host Sapphire Medical Clinics, which is Scotland’s first and so far only medical cannabis prescribing clinic. Since March this year, it has had great success, with upwards of 1,000 referrals of medical cannabis for people across Scotland with chronic pain, anxiety, insomnia and other conditions. That is not to say that medical cannabis is a silver bullet, but it does work for millions of people worldwide, and it deserves to go further. Those 1,000 patients are all part of the UK medical cannabis registry, which has data on 20,000 prescriptions UK-wide, so there is a lot of data being brought through. Sapphire also collaborates closely with the University of the West of Scotland on analysis and research into the efficacy of the treatments. There is a lot of data building, and that is where we need to evolve the thinking of the state in viewing these things Obviously I would prefer to see the devolution of drugs policy to the Scottish Parliament. I think we would make a better fist of it than has been made thus far, but there is a challenge to the Minister: let us do it properly and well. Let us make sure that this technology is brought forward. Pending that, there are a number of action points that could be taken, not least in the NHS’s report into the subject, which contains several good points and deserves to be higher up the agenda than it seems to be Does the Minister agree that bringing all cannabis prescriptions into the NHS drug dictionary would allow a much better assessment and analysis of the scale of prescription already in existence? There needs to be a change in tone from the Government about drugs policy. We need to view drugs as a health issue through the health prism, rather than the criminal justice prism. If we look at the issue in the right way, we will surely get better answers. I wish the Minister well and I have high hopes that she will agree that that is the way we need to look at it Medical cannabis does not work for everybody. It is not a silver bullet, so calls to put things into the NHS system are perhaps premature in some cases, but we need to ventilate that promising technology properly. It could help millions of people. For the people for whom it does work, it works very well, and it could work for an awful lot more. I wish the Minister well in taking it forward. If she does something useful and sensible for the millions of people who are suffering, she will have our support.
ParlaMint-GB_2021-11-04-commons.u237	I thank the Backbench Business Committee for granting this important debate and the hon. Members for Inverclyde (Ronnie Cowan), for Edinburgh West (Christine Jardine) and for Reigate (Crispin Blunt) and my hon. Friend the Member for Gower (Tonia Antoniazzi) for securing it. I also thank the cross-party campaigners in this place beyond that group, including the hon. Member for South Leicestershire (Alberto Costa), the right hon. Member for Hemel Hempstead (Sir Mike Penning) and my hon. Friend the Member for Manchester, Withington (Jeff Smith), for all that they have done over the years to put it on the parliamentary agenda Progress in making cannabis-based medical products available to those who need them has been slow, so it is right that we have the opportunity to debate the frustrating lack of progress. As hon. Members have said, this is the second debate in two days, which I hope gives those watching confidence that we in this place are taking the issue seriously I associate myself with the remarks of the hon. Member for Inverclyde in his opening speech about the families who are dealing with incredible, unthinkable challenges and who handle themselves with such dignity and make such powerful cases. I hope—I feel—that we have done them justice today and will continue to do so. In particular, I hope that the Minister will touch on his points about the limiting factors in research The speech of the hon. Member for Reigate was a characteristic tour de force. I always stop to listen when he is talking about the issue, because he speaks with such power. He made the point that it is unacceptably cruel to take effective medicines away from a child, which we all agree with. He linked that to palliative care, and I share the view that we want people at the end of their life to get whatever treatment might make their final days the best that they can be. Actually, that applies to adults throughout their lives: if people are living in pain and do not have to be, I would want to do anything I could to avert that The hon. Gentleman spoke about the 2018 regulations and the sense that we thought they had solved it, as the right hon. Member for New Forest East (Dr Lewis) also said. The hon. Member for Reigate gave us a hopeful way forward by concluding that we need to be creative and solution-focused. The Opposition share that view—I do not think there is a lot of politics on this issue—and support coming together to find a practical, effective, safe and risk-aware solution My hon. Friend the Member for Manchester, Withington spoke in that spirit. He is fortunate to have been drawn in the private Member’s Bill ballot, which is precious for any right hon. or hon. Member. He is keen to work with the Government. I know him well and know the spirit in which he will work with them, so I hope the Minister will take that up. That private Member’s Bill would be a perfect vehicle to move the issue forward. His point that it is about not just epilepsy was well made. I double underlined the phrase that we need to give clinicians the “comfort to prescribe”, which was elegantly put. I completely support that goal and will come back to it The hon. Member for Edinburgh West spoke about her constituency case of Murray. Many right hon. and hon. Members will recognise similar cases in their surgeries. The daftness of that story is that the UK’s prescribing could grind to a halt on the basis of a single person retiring. Where else in the health service would that ever be the case or tolerated? It is an absurd set of affairs My hon. Friend the Member for North Tyneside (Mary Glindon) kindly facilitated the opportunity for me to meet her constituent, who is a doughty campaigner, as she says. To hear the impact on her constituent’s life, it is hard to understand why we are not doing everything we can to make sure that she can live with as little pain as possible. I will get on to the counterargument about the lack of evidence, but she is that evidence, because we know what her life was like before and after, so I find that argument hard to accept The common theme of the contributions has been frustration or, more positively, a desire to redouble our efforts in this area, which cuts both ways. There are opportunities in research, which I hope the Minister will talk about, with regards to epilepsy, long-term pain relief and mental health. We also need a stronger position on the regulation of products such as cannabidiol, which proliferate on the internet and can be found in various shops, in all sorts of forms, promising all sorts of things that are hard to establish. We need better regulation in that space When the Government accepted the therapeutic use of cannabis, it was met, as we have heard, with much relief from campaigners, such as the families of Billy Caldwell and Alfie Dingley, who has now gone 508 days without an epileptic fit thanks to his medicinal cannabis treatment. It has changed his life, but not everyone has been so lucky Bailey Williams has been denied access to medicinal cannabis for his epilepsy and his parents are forced to raise £1,200 a month for his treatment. The mother of 11-year-old Teagan Appleby spends about £2,000 a month to treat her daughter’s Lennox-Gastaut syndrome, as she has not received a prescription. In the time that she has been taking that treatment, she has to go to hospital only once—when it ran out. That is the impact on her life I think of my constituents and how few, if any, could spare £2,000 a month. Of course, all of them, and I daresay all of us, would go to whatever lengths necessary for our children—that is the tragic paradox—but it is not acceptable. We are letting people down on an issue that we thought we had resolved In 2018, cannabis-based products were rescheduled. Guidelines were produced by the National Institute for Health and Care Excellence and three products got through: Epidyolex for rare forms of epilepsy, Nabiximols for multiple sclerosis-related spasticity and Nabilone for side effects from chemotherapy. The regulations said that initial prescriptions must be made by a specialist medical practitioner and, in all cases, would be considered only when other treatments were unsuitable or had not worked.
ParlaMint-GB_2021-11-04-commons.u238	The hon. Gentleman is making an excellent point. Does he agree that the psychological pressure and stress of having to campaign constantly and raise money at that level is simply unfair? My constituent Lisa Quarrell has had to raise thousands of pounds for her child Cole Thomson and has been under that stress continually for years. It is time for us to work collectively to overcome any hurdles to achieving success.
ParlaMint-GB_2021-11-04-commons.u239	I have seen the fundraisers online, as other hon. Members will have. When people have to raise that amount of money each month, they must not be able to do anything else and they must live with that anxiety constantly. We want to relieve people of that as far as we can We know that the number getting through has been dreadfully low. The previous Minister said in February that 413 unique eligible patients had been identified, but no estimate had been made of the number who had received prescriptions. End Our Pain believes that only three prescriptions have been issued on the NHS—goodness me, that is not what we thought it would be three years ago. If the Minister has more up-to-date information, we would be keen to hear it, but there is definitely a sense that it is not going anywhere near far enough Last year, a Care Quality Commission report found that a meagre 6.5% of cannabis-based items were prescribed on the NHS. Again, that is a paradox because we are told that there is real anxiety about prescribing it, but if people pop it into a search engine, they can find an awful lot of private treatments that do not seem anxious at all—there seem to be fewer shy bairns there. I am not sure that that is quite the defence that those who use it think it is It is a matter of justice if people are missing out or are left with the horrendous choice between paying over the odds for medication and suffering. The founding principle—the settled political point—of the national health service is that we do not tolerate that or think that people’s access should be based on their ability to pay, but we are tolerating that here, so I hope we can do better.
ParlaMint-GB_2021-11-04-commons.u240	I have been looking at the Hansard of yesterday’s debate—there is an opportunity for the Minister to refer to it when she makes her remarks—and I see that one of the main points she made yesterday was the fact that there is insufficient evidence on the safety aspects and the possible harm effects. Given that families are paying all this money and finding other ways of getting the cannabis-based products, would it be a way forward if families were asked to sign a waiver if it were prescribed, so that the people doing the prescribing would be protected against any subsequent action if in fact something went wrong? It might be for the family to take that decision on the balance of benefit and harm.
ParlaMint-GB_2021-11-04-commons.u241	I am grateful for that intervention. I am slightly torn in the sense that I have absolutely no doubt that families would take it on that basis, but as a former trade union official, I would never have advised a member to sign away their rights. I think that is what we are getting at when the hon. Member for Reigate says that we have to come up with something creative that means we can clear this hurdle, and that is one such option Let me link that back to a previous intervention by the right hon. Member for New Forest East on opiates—if you will briefly indulge a thought experiment, Mr Deputy Speaker. If the reverse were true and we routinely prescribed cannabis-based products to deal with pain issues, would anybody really be advocating at the Dispatch Box that we should instead swap them for opiates and that they would be a better alternative? I think the answer to that is an obvious one, and that should be guiding our thinking.
ParlaMint-GB_2021-11-04-commons.u242	A vital point was made there about who should be prescribing this. Dr Martinez, the retiring private prescriber of medical cannabis, has written to the Secretary of State for Health and, on the group she prescribes for, she said: “I know that a majority of the GPs dealing with this group of children wish to prescribe, but, in order to do so, this requires a change of policy from the Health Department because it is CBD medication which has been treated differently to other controlled drugs. ” The solution is there. I get the point that parents can agree to a waiver, but they should not have to. This can be changed, and the Secretary of State for Health has been asked to do this by a consultant.
ParlaMint-GB_2021-11-04-commons.u243	That is very handy timing from the hon. Gentleman because I was just about to make that point. Following that retirement, Robin Emerson, the father of Jorja Emerson—he is behind the Jorja Foundation and has been campaigning tirelessly—has written to the Secretary of State and the Prime Minister asking them to intervene, but my understanding is that he is yet to receive a reply. I hope the Minister will commit to that being immediately addressed because this is very important indeed I will make a couple of final points before I finish. I listened very carefully to what the Minister said in the debate yesterday—we are in a novel position of having them on consecutive days, which is helpful—and it is clear that the Minister considers it a clinician issue rather than a political one, but that is not working at the moment. We are in a strange situation of there being so much concern about the nebulous long-term effects of these prescriptions that that is seen as better than, say, leaving a child fitting 100 times or more a day. It is rather like not throwing a rope to a drowning person for fear of their burning their hands on it. I find that hard to imagine, but we are in such a situation I fear that merely putting this at the door of clinicians is defending the status quo. I feel that we in this place do have agency and, indeed, a responsibility to act. I hope to hear from the Minister that there is going to be a greater drive from the Department to encourage clinicians. My hon. Friend the Member for Manchester, Withington offered suggestions on the training that I know is out there, and again I am keen to hear what we can do to have that picked up more reasonably Across this debate and the debate yesterday, clear themes have emerged: better research, or perhaps creative research, as the hon. Member for Edinburgh West said; better engagement with clinicians, again with the points my hon. Friend the Member for Manchester, Withington made; and, for goodness’ sake, immediate relief for families in the system now. They are going through things we would never tolerate for ourselves or would absolutely hate for ourselves, and I feel we that have a real responsibility to step that up I think there is broad consensus on this, and we now need to come together on a flexible solution to do it. Just as the SNP spokesman, the hon. Member for Stirling (Alyn Smith), said, we will support the Government if they bring that forward. This is something I think we all share, and the families are watching us and waiting for us to do it.
ParlaMint-GB_2021-11-04-commons.u244	I congratulate the hon. Member for Inverclyde (Ronnie Cowan) on bringing forward this debate. As has been said, this is the second day in a row that we are debating this important issue, and I appreciate the depth of feeling on it. I know there are many Members who wished to speak today but who have not been able to, including the hon. Member for Gower (Tonia Antoniazzi) and my hon. Friends the Members for Dover (Mrs Elphicke)—Teagan Appleby is her constituent—and for South Derbyshire (Mrs Wheeler) As I said yesterday, I have huge sympathy for the issues, problems and struggles that patients and their families are facing. They are trying desperately to access these drugs. No one wants a resolution to this more than me and the Secretary of State, who, as has had been said a number of times, changed the law when he was Home Secretary to try to resolve this situation Yesterday, I confirmed the Government’s absolute commitment to take an evidence-based approach to unlicensed cannabis-based products for medicinal use in order to ensure that there is evidence that they are effective but also safe. A number of colleagues have asked why the Government cannot accept non-randomised controlled trials as evidence. The Government are not involved in the process of licensing the medicines; that is done by the independent regulator. The Government’s responsibility is in changing the law, which has already been done, but I very much take the point that we should be able to influence the speed at which the licensing process can take place. I will point out in my remarks how we are doing that I am willing to work with colleagues across the House, whether that is the hon. Member for Manchester, Withington (Jeff Smith), with his private Member’s Bill, or SNP Members. This is a non-political issue that we want to see resolved, but the Government are not the body responsible for licensing medication or assessing the worthiness of the research, whether that is randomised controlled trials or any other form of evidence Before I set out what is being done, I want to provide an update on the matter of Bedrocan, because the hon. Member for North Tyneside (Mary Glindon), my hon. Friend the Member for Reigate (Crispin Blunt) and the hon. Member for Inverclyde all mentioned it. The commercial agreement between Transvaal Apotheek and UK specialist medicines manufacturer Target Healthcare is progressing, and the MHRA and the Home Office are working with those companies to ensure that all regulatory standards for manufacturing these medicines are met On 16 September, the Home Office granted a six-month licence, which will allow Target to move on to testing its equipment and procedures using cannabis from the Netherlands and validating their production of Bedrocan oils. Departmental officials continue to work closely with the Dutch Government, Transvaal, the Home Office and the MHRA to ensure continuity of supply until domestic production can be established, and I will keep the House updated on progress. I hope that is a little glimmer of hope on that issue I am aware that there is huge patient demand for access to medical cannabis, and that many are convinced it is helping them with an array of medical conditions from chronic pain to cancer. To date, however, much of the evidence suggesting cannabis could be effective as a treatment is anecdotal. While that has some strength in observational studies, from the regulator’s point of view it often needs more robust clinical data There are two licensed cannabis-based products and one synthetic cannabinoid that mimics the effects of THC, which is the element I think most campaigners are looking for. We do have Sativex to treat severe spasticity in adults with multiple sclerosis, Epidyolex for the treatment of two rare forms of epilepsy and Nabilone for nausea and vomiting, so we are making some progress. I hear from campaigners that the THC element remains outstanding. Those products that are licensed are proof that when manufacturers invest in clinical trials, the potential of cannabis as a medicine can be realised. Clinical trials generate the data needed by our world-leading medicines regulator, the Medicines and Healthcare products Regulatory Agency, to assess for safety, and it is then for NICE to approve the NHS funding element of that Let me reiterate that this is a multiple-step process. Orkambi has been mentioned; the issue with that was not licensing—it had a licence—but NHS funding. If we get to the licensing stage, the Government can do a huge amount more to fast-track things and be involved in discussions. Licensing, however, is an independent process, and that is the point at which we are stuck.
ParlaMint-GB_2021-11-04-commons.u245	I used that parallel as an example. I totally respect my hon. Friend’s point about licensing progress—of course she is correct—but this is about thinking imaginatively to work our way through the problems to the right solution. That applies desperately in this situation, as it did with Orkambi.
ParlaMint-GB_2021-11-04-commons.u246	Absolutely. The Government are committed to trying to resolve the blockage to licensing, which is the main factor hindering the prescription of these drugs. The Health and Social Care Secretary changed the law when he was Home Secretary, but that was not the end of the issue, and that is why we are taking these next steps. It is important not to dismiss the importance of licensed medication. We know from history that when medication that may have a good clinical effect is not tested thoroughly, there can be grave consequences, just as with thalidomide. The safety of a medicine is as important as its efficacy. I am not casting aspersions on cannabis, but the regulator has responsibility for all medicines, and it takes that issue very seriously.
ParlaMint-GB_2021-11-04-commons.u247	That argument would surely carry more weight if the people doing the testing outlined some sort of timeline and plan for concluding a testing programme, rather than apparently letting things drift on aimlessly for years on end.
ParlaMint-GB_2021-11-04-commons.u248	I take my right hon. Friend’s point. I will come on to that, and to timelines for the research that is in progress. Many of the products that we are talking about have not been licensed by any licensing authority across the world, including the Food and Drug Administration, the European Medicines Agency and our domestic MHRA. This is not just a UK problem; it is not the UK Government who are holding this back. As I said yesterday, I encourage manufacturers of these products to invest in clinical trials. Part of the Department’s work is providing funding for the National Institute for Health Research, which is actively opening its arms to charities, academics, researchers, manufacturers and third-sector organisations. Funding is available for clinical trials, if anyone wants to come forward with one, be it a randomised control trial, an observational study, a randomised control trial without a placebo arm, or a phase 1, 2 or 3 clinical study. The MHRA is willing to provide advice and support to any potential applicants who want to conduct a clinical trial or seek a licence for their medicines. There is funding and support; we need researchers to come forward with clinical trials.
ParlaMint-GB_2021-11-04-commons.u249	A lot of research institutes are restricted in what they can do because they are trying to access a category 2 product. If it was category 4, life would be a lot simpler for them.
ParlaMint-GB_2021-11-04-commons.u250	The hon. Gentleman makes an excellent point, and going forward we perhaps need to unblock some of the blockages in that area. I take that point on board Clinical trials and the licensing process provide evidence and information that doctors rely on to support their treatment decisions. Many clinicians have fed back that they are reticent to prescribe these products until there is more evidence, because ultimately they are responsible for their patients when it comes to a treatment’s safety and effectiveness. Doctors are particularly unwilling, given the THC element of cannabis products; there is some emerging data and evidence of harm, particularly to children, including effects on the developing brain and heart. That is why the evidence base is so crucial, but I am happy—I say this especially to the hon. Member for Manchester, Withington, who sponsors the Medical Cannabis (Access) Bill—to consider what blockages could be unblocked to speed that process up Doctors are right to be cautious when prescribing any product if they are not confident in the evidence base. As I said yesterday, I am clear that prescription remains a clinical decision, as does prescription of any medication. It would be inappropriate for the Government to force clinicians to prescribe a medicine, but we will try to unblock some of the licensing blockages Let me highlight some of the studies that are starting to take off. This might have been mentioned, but from 1 April we have the establishment of clinical trials for NHS England and the NIHR. We have introduced a national patient registry, which will record patient outcomes, with a view to its being rolled out across the devolved Administrations. It is England-only at the moment. We are aiming to record the data of those who receive the medicines, and to consider side-effects, efficacy and a whole range of issues, in order to support clinicians working with patients, and to start to build an evidence base In addition, a randomised control trial is being set up. It has three arms, which will include one arm with CBD or THC, and one arm with a placebo. We expect it to open fairly soon. Those looking to access these drugs—children in particular—will be able to do so in a blinded way and can take part in the study. If the data come through relatively quickly, that will open up opportunities to submit evidence to the MHRA.
ParlaMint-GB_2021-11-04-commons.u251	Who would offer a child who is on medication that stops them having 100 seizures a day a random test that potentially contains a placebo?
ParlaMint-GB_2021-11-04-commons.u252	I take the hon. Gentleman’s point, but many children are not accessing this medication, and this is a route to that. As I explained in yesterday’s debate, clinical randomised control trials with a placebo arm have extremely strict rules, and if one arm of the study is showing incredible progress and doing better than the other arms, the study must be stopped, patients unblinded, and everyone switched to the arm that is doing the best. In some circumstances, that has enabled people to access drugs under clinical research in a much quicker way. It does have some advantages.
ParlaMint-GB_2021-11-04-commons.u253	That is all very well, but it brings us back to the fact that there are children who are already benefiting from the drugs. Even the NHS has asked whether it would not be beneficial to have an alternative trial, such as an observational one, and to use that evidence, rather than having a clinical trial with all these pitfalls.
ParlaMint-GB_2021-11-04-commons.u254	I take the hon. Lady’s point, but the MHRA, which is the regulator, and other regulators around the world have a tier of research that they will accept. The randomised controlled trial method is the gold standard, and the more randomised controlled data someone has, the more likely they are to get a trial approved quickly. Of course observational studies will be used. That is why, if researchers have a large group, want to do observational studies—we heard about the Sapphire clinic from the hon. Member for Inverclyde—and come forward with observational data, I encourage them to speak to the MHRA to see whether that is the sort of research that would be acceptable. It is important that they have those discussions with the regulating body, because it may well accept some of that evidence Until manufacturers, researchers, academics and those using these drugs in practice come forward with whatever research they feel would be acceptable and have those discussions, we will go round in a circle. I am keen that if observational studies are acceptable, we support them to happen. Whatever it takes, in research terms, to get a licence through, the Government are there, providing funding, advice and support. However, ultimately, they are not the body that can make that decision; but I think there is a willingness around the House to try to find a resolution It will take time to generate further evidence and see the results of clinical trials. The Health Secretary and I are committed to doing everything in our power to accelerate this work. There have been some helpful suggestions this afternoon that we may need to go away and look at I thank everyone again. Although this is the second debate on this subject in two days, I know that it will not be the last; the private Member’s Bill will come forward next month. I want to put on the record my commitment to this issue. It is extremely difficult. In yesterday’s debate, we heard constituents’ stories relayed by their MPs, including the hon. Member for Middlesbrough (Andy McDonald). They really are very moving testaments, and we want to find a way forward. We have changed the law, but that has clearly not been enough. We need to find a resolution, so that we can get these medications licensed if the clinical evidence is there, and we need to work with the regulator.
ParlaMint-GB_2021-11-04-commons.u255	I know that the Minister is committed to this issue. Could the Government perhaps appoint a lead clinician for this issue, to give clinicians across the United Kingdom confidence, and to drive the issue forward at pace, so that we see movement in the short term?
ParlaMint-GB_2021-11-04-commons.u256	The hon. Lady makes a good point. If there are clinicians who want to take a lead on this, there is obviously scope to look at that, but we must be clear that we have to license and support research for this medicine in the way we would any other. I have given a commitment today to working with hon. Members on both sides of the House to demonstrate how seriously the Government take this issue.
ParlaMint-GB_2021-11-04-commons.u257	I thank everyone who attended the debate and spoke. I want to pull the Minister back to one thing that I asked about. Will she please look at the most recent information from the BPNA? If I am interpreting that correctly, it will make prescribing more difficult. I hope I am wrong, but she has far more medical experience than I have We developed a covid vaccine in under a year, and rolled it out across the country to massive numbers of people, and it was free to those who needed it. I ask that we bring the same sense of urgency to this debate. To all the parents and others watching the debate—I know they are watching, because they have been texting me since I sat down an hour and a half ago; many of the questions I put to the Minister came from parents from around the United Kingdom—I say: thank you for driving this campaign forward. I hope that it does not end here, and that the fight goes on—hopefully in an amicable fashion. I hope we can all do better for all of you Question put and agreed to. Resolved, That this House has considered the matter of the use of medical cannabis for the alleviation of health conditions Adjournment Resolved, That this House do now adjourn. —(Gareth Johnson. )
