ParlaMint-GB_2021-09-23-commons.u1	I congratulate the new Minister on his appointment, and call Alistair Carmichael.
ParlaMint-GB_2021-09-23-commons.u414	I am an officer of the Kashmir all-party parliamentary group, and, along with the hon. Member for Bradford South (Judith Cummins) and the chair, went to Kashmir. This was within two or three months of my election, and I thought it important to go to Kashmir and the line of control, and to ask people in Kashmir about their everyday experiences of being in this appalling situation. I visited the refugee camp to which the hon. Member for Bradford South referred, and we saw the injuries and obtained at first hand testimony from people who had been victims of torture. We are not getting this information from newspaper articles; it is first-hand evidence from people to whom we spoke, and who had been treated in the most appalling manner We could all engage in a lengthy historical analysis of the geopolitical issues affecting Kashmir, but this debate is entitled “Human Rights in Kashmir”, and the 2018 United Nations report on the situation of human rights in Kashmir is my starting point. Paragraph 22 states: “There remains an urgent need to address past and ongoing human rights violations”— it is not India or Pakistan that is saying this; it is the United Nations— “and to deliver justice for all people in Kashmir who have been suffering seven decades of conflict. ” How on earth could anyone disagree with that The United Nations should have it as its central mission to support a peace process that will give justice to the people of Kashmir, and in my view that is about self-determination—about the right of people to choose how they want to be governed. We can go back to revolutions from 1947 onwards, and place on them any historical interpretation that we choose, but the basic, underlying principle is that the people of Kashmir should have the right to decide their own futures. How is it possible that we can ever advance an argument to suggest that the freedoms that we enjoy in this country should not be enjoyed elsewhere? How can we possibly put forward an argument that skirts around the issue, and say that we can tolerate clear human rights abuses, whether for political reasons or for any other reason? I agree with the hon. Member for Bradford East (Imran Hussain). I think that the United Nations needs to step up to the plate, at the very least. I think that it has let this region down. Resolutions are tabled for a reason. If they are not enforced—if they are not enacted—what is the point of them? If the United Nations cannot enforce or enact its own resolutions, why should we trust it in the future in respect of these issues I am proud to represent thousands of constituents of Kashmiri heritage. Before my election I was a councillor in Bury for a long time. I did not know about this issue. I have learned from my friends; I have learned from people on the ground; I have learned and learned and learned about the human rights abuses that happen on a daily basis. I am a lawyer, and I have heard at first hand of people being detained without trial for two years and, the day before the two years are up, they get detained for another two years. It is absolutely appalling. Rape, torture and mass killings are not being investigated. The Indian Army treats Kashmiris in any way it chooses with impunity, and we as an international community tolerate that. Can we look ourselves in the mirror if we continue to do that The realistic outcome is that the United Kingdom Government cannot act alone. We can, however, use our influence in the United Nations and other international bodies to support all those who wish to be part of the movement to protect universal human rights and the rule of law and to give justice to the Kashmiri people, which the United Nations says should be our central mission. We must do that.
ParlaMint-GB_2021-09-23-commons.u415	I would like to make sure that everyone who wishes to catch my eye has an opportunity to speak. Therefore, after the next speaker, I will reduce the time limit to three minutes—[Interruption. ] There is no point in people sighing. The debate must finish at 5 o’clock and the only way to get everyone in is to reduce the time limit to three minutes.
ParlaMint-GB_2021-09-23-commons.u416	I want to begin by thanking the Backbench Business Committee for arranging this important debate today. Our country has a proud history of standing up for human rights globally, but the Government seem to be burying their head in the sand when it comes to Kashmir. The Foreign Office’s 80-page long 2020 human rights and democracy report does not even mention Kashmir once. Is that because there were no human rights violations in the region in the last year? No. As we have heard today, all the evidence suggests otherwise. The charity Human Rights Watch’s 2020 human rights report paints a very different picture. For example, it found that the Indian security forces have continued to use shotguns firing metal pellets to disperse crowds, despite the indiscriminate and life-changing injuries they inflict. I raised the Indian Government’s use of these pellet guns in the House more than four years ago, and still things have not changed Throughout my time in this place, I have raised the plight of Kashmiris many times. In 2017, I spoke of the shocking human rights abuses going on there and called on the Government to use their diplomatic powers and membership of the UN Security Council to secure lasting peace in the region. However, four years later peace seems as far away as ever, and Kashmiris are still being denied their basic human rights It has been over two years since the Indian Government of Narendra Modi revoked article 370, stripping Jammu and Kashmir of their autonomy. In that time, we have seen countless examples of brutal actions by the security forces to quash the democratic freedoms of Kashmiris; the reality is that we simply do not know the scale of the human rights abuses in Kashmir. Why? Because ever since the revocation of article 370 in 2019 the Indian Government have tightly controlled the circulation of information in the region. Opposition politicians, foreign diplomats and international journalists have been barred from entering. Local journalists have been routinely harassed and threatened by security forces, and internet access has been tightly restricted Over the last 18 months, we have all experienced lockdowns and limitations on where we can go and who we can see, but just imagine having to go through all that without a phone or internet services. That has been the grim reality for millions of Kashmiris since 2019. Services were blocked altogether for months, and even when basic 2G broadband was restored in some areas in 2020, social media websites and communication platforms were blocked. Many Kashmiris living in my constituency of Sheffield, Brightside and Hillsborough went months without being able to speak to loved ones in Kashmir due to the blackout. Only in February this year has 4G been restored throughout the region Sadly, stories such as these are far from uncommon. Given the ban on foreign journalists, we rely on local reporters for information on the situation in the region. The global community must stand by them against attacks on their human rights. Two years on from the revocation of article 370, Kashmiris’ human rights continue to be abused. The international community must come together to put an end to these injustices. Diplomats and UN officials must be able to enter the region and fully assess the human rights situation. For too long, the UK Government have ignored the plight of Kashmiris, and now is the time for us to play our part in building lasting peace for all those whose lives and livelihoods depend on it.
ParlaMint-GB_2021-09-23-commons.u417	I also thank the Backbench Business Committee for allowing this important debate The hon. Member for Oldham East and Saddleworth (Debbie Abrahams) rightly said that awareness of this issue is not widespread in this country, but lots of people and Kashmiri human rights organisations in my city and in communities across the country are working hard to spread awareness. This debate is, in part, down to them and their hard work. I thank Friends of Kashmir in Peterborough, Abdul Choudhuri, Mohammad Choudhary, Ghafarat Shahid, Mohammad Ikram and Mohammad Yousaf for all their work in highlighting this issue What happens in Kashmir matters in Peterborough, not just because we have a 20,000 Kashmiri diaspora population in my city but because if we care about human rights, we care about Kashmir. I suggest that all hon. Members care about human rights and, if they do, they should reflect on the murder, torture, rape and all the other atrocities happening in Indian-occupied Kashmir. My hon. Friends the Members for Dewsbury (Mark Eastwood), for Hyndburn (Sara Britcliffe) and for Stoke-on-Trent North (Jonathan Gullis), who cannot be here today, care deeply about these issues, too In another world, I am chair of the all-party parliamentary group on British Muslims, and it is incumbent on British Muslims to be aware that this Government and all hon. Members in the Chamber today care about atrocities and human rights abuses carried out against their fellow Muslims across the world. I ask the Minister to think about it carefully. Just as we care about injustice against the Rohingya and the Uyghur, we also care about injustice against the Kashmiris.
ParlaMint-GB_2021-09-23-commons.u418	The hon. Gentleman mentions persecution against many peoples, and there is anti-Christian violence in Kashmir, too. Christians have their churches burned and there is forced conversion of Christians by brutal force, physical and sexual violence, rape and murder. Christians need equality in Kashmir, too.
ParlaMint-GB_2021-09-23-commons.u419	The hon. Gentleman must have read my mind, because I was going to come on to that next. Just as we care about atrocities against the Rohingya and the Uyghur and about persecuted Christians around the world, we must make sure that we stand up for persecuted Muslim communities, too I completely reject the argument that, somehow, to care about human rights in Kashmir is anti-Indian. India is the seventh largest country in the world by land area and it has the second largest population, at 1.2 billion. India’s list of economic and other achievements is impressive, but the ongoing human rights situation in Kashmir does not benefit India at all. If India wants to take its place as one of the great world powers, surely the human rights abuses in Kashmir hold it back and make people feel differently about India I stand with the hundreds of millions of Indians across the world and with the Indian diaspora in this country who care about human rights. This is not just a Muslim issue. Ordinary people in this country care about human rights, and that includes our Indian diaspora population This is a bilateral issue for India and Pakistan, and we face our own territorial arguments on the Falkland Islands and Gibraltar. We will never negotiate the sovereignty of Gibraltar or the Falkland Islands without consulting the Gibraltarians or the Falkland islanders themselves. We say that self-determination for these people is important, and if it is good enough for the people of the Falkland Islands and Gibraltar, it is good enough for the people of Kashmir.
ParlaMint-GB_2021-09-23-commons.u420	I thank the all-party group and its brilliant chair for bringing us a brilliant and balanced debate today, but without the brilliant persistence of the Kashmiri diaspora in this country we would not be here today. If the abuses happening in Kashmir were happening here and I were watching from afar, I would hope that I had the resilience and persistence that British Kashmiris have shown. I want to raise some specific cases of the thousands of Kashmiris detained without charge, an issue that has already been raised by some hon. Members. I want to draw attention to two particular cases, the first being that of Syed Ali Shah Geelani, a man regarded as one of the top leaders in Kashmir. Mr Geelani dedicated most of his life to spearheading the resistance movement, pushing for a movement that worked to educate people and mobilising them to organise a peaceful struggle. Mr Geelani had spent the last 11 years under house arrest and, sadly, he passed away at the age of 92. His last wishes were to be buried at the martyrs’ graveyard in Srinagar, but he was denied this opportunity. His family reported that the police raided their family home in the middle of the night, thrashing family members in the process and dragged his body from his home The second case is that of Ashraf Sehrai, another man who dedicated his life to the Kashmiri cause and suffered as a result. Mr Sehrai, a 77-year-old man, was in “preventive detention”—for which read “without charge”—since July 2020, with his family unable to see him for five months as meetings were barred, perhaps because of covid-19. Mr Sehrai had complained of poor health and a lack of medical treatment while in prison. He sadly passed away, alone in hospital, from respiratory distress and was only granted a quick burial in the middle of the night. These acts of brute force and the treatment of political prisoners leave one more scar on the memories of the Kashmiri people As always when an international conflict is happening, I ask myself: where are the women? Where are the women of Kashmir, who have been carrying the heaviest burden in the ongoing three-decade conflict? Not surprisingly, although it is still dismaying, the reporting and information collated about abuse against Kashmiri women is slim at best. When my office was looking into this, we came across some amazing young women graffiti artists in Srinagar who are using their voices bravely, against huge threat and opposition, to fight against the patriarchy—go on girls! —and against the human rights abuses happening to their families. If a young girl with so much to lose by speaking out against the human rights abuses in Kashmir can find a way, why are we not speaking with such passionately strong voices, with the power that the British Government have?
ParlaMint-GB_2021-09-23-commons.u421	This debate, for me, is about our ideals as a nation—the values we hold of freedom, democracy, human rights and the rule of law, and how we propel them on to the world stage. It is also about the Kashmiri people. They did not ask for people to pick a side between India and Pakistan, but what they do ask of the UK, as a global force for good, is that we stand true to our values. We have one of the largest diplomatic networks of any country and a history that embeds us in Kashmir, and we have an obligation to use both of those things to make a difference. Indian-administered Kashmir, Pakistan-administered Kashmir and Aksai Chin are three areas controlled by three very big players, all armed with nuclear weapons. If there is any reason to try to fix this issue, that is it, because individual people and families are paying the price for that contest As many right hon. and hon. Members have said, in August 2019 India revoked article 370 of its constitution. That article provided for significant autonomy. If we had done something like that in this country, it would be like ripping up the entire devolution settlement. No one in this House would stay silent on that. We have a significant diaspora across this country who care. There are those who say we should not take an interest and should not debate and discuss in this House, but I certainly will not ever stop speaking up for my constituents, and there are thousands of them who care deeply about this issue. Human rights concern us all: they are not negotiable and they do not change based on location; they unite us here and around the world. We must stand tall and stand firm In the few seconds I have remaining, I want to make a point about communications in Kashmir, because that is what my constituents care most about. They have family members and friends in Kashmir whom they were unable to speak to for months. If we can make one plea to the Indian Government, it is that they should never again not allow our constituents to speak to the friends and family they care so deeply about.
ParlaMint-GB_2021-09-23-commons.u422	I begin by paying tribute to Syed Ali Shah Geelani, who passed away on 1 September. He dedicated his life to Kashmir and the freedom of Kashmiris. I deplore the actions of the Indian Government in not allowing a proper funeral to take place and his burial without the funeral happening.
ParlaMint-GB_2021-09-23-commons.u423	My hon. Friend is absolutely right to mention the undignified way in which Syed Ali Shah Geelani was buried. Does he share my concern that Syed Ali Shah Geelani’s family continue to be persecuted at the hands of the Indian Government?
ParlaMint-GB_2021-09-23-commons.u424	I absolutely agree with my hon. Friend’s point In south Asia, the long-drawn-out dispute over the state of Jammu and Kashmir remains a hanging fireball between two hostile nuclear neighbours, India and Pakistan. It has brought human misery in the form of wars and human rights violations, and continues to threaten regional and global peace. My role is not to take sides, such as being pro-Pakistan or anti-India; I believe that as a Kashmiri it is my duty to highlight the abuses and human rights violation to this House Even after seven decades, the people of the former Princely State of Jammu and Kashmir are waiting for their right of self-determination, as promised by the United Nations. Notwithstanding more than 25 UN resolutions calling for solutions to the dispute, India is reluctant to grant Kashmiris their right to self-determination. The Scottish people were rightly afforded a referendum to express their desire for independence, and the UK had a referendum on remaining in or leaving the EU. Kashmiris are not begging for their freedom, and nor will they beg; it is their birthright and, eventually, it will be achieved The Indian occupation of Kashmir is not something that can be or should be left to India and Pakistan. Let me be absolutely clear: this is not a bilateral issue between India and Pakistan; the international community needs to take responsibility. The British Government have a responsibility: this is another example of the mess left by the British Government in 1947. We cannot turn our backs to the people of Kashmir and say it is absolutely nothing to do with us. This is an issue of international significance on which the UK should take a leading role, given its historical involvement in the situation In February of 2020, my hon. Friend the Member for Oldham East and Saddleworth (Debbie Abrahams), who is well known for her activism and support for the Kashmiri people, was denied entry to India and essentially deported without any suitable explanation given by the Indian Government. In essence, entry was denied because of her high-profile work supporting the self-determination of the Kashmiri people. British parliamentarians, Indian politicians sympathetic to the Kashmiris and international observers are all denied access to Indian-occupied Kashmir Earlier this month, China’s ambassador to the UK was prevented from entering Parliament to attend a meeting with the all-party parliamentary group on China. The initiative came about because of protests by the Speaker and Lord Speaker in response to China imposing travel bans on five MPs and two peers. I ask, with the same justification, that measures be taken against the Indian high commissioner, who is still allowed on the parliamentary estate. It seems that we are prepared to take action against China but not India. This is clearly a case of double standards, and it is why I demand that the Indian high commissioner be barred from the parliamentary estate, pending an end to the military occupation of Kashmir.
ParlaMint-GB_2021-09-23-commons.u425	The wind-ups will begin no later than 4.38 pm.
ParlaMint-GB_2021-09-23-commons.u426	I thank my hon. Friends the Members for Oldham East and Saddleworth (Debbie Abrahams) and for Bolton South East (Yasmin Qureshi) for securing this Backbench Business debate As a son of Kashmir, with parental heritage from Kashmir, I should have been really happy that my hon. Friends had secured this debate, but when I looked at what we would achieve, I was not at all pleased. The reason I am not pleased is this: we are here for this debate on a Thursday afternoon for a couple of hours; we have just three minutes to speak because of the time that is available; and then there is the interest that is being shown on this very issue by other parliamentarians. I am not pleased because, today, there is no Whip. When there is no Whip, there is no vote. When there is no vote, we have a discussion between ourselves. The discussion has no real meaning in our proceedings. When we get up to speak on important issues such as this, it is important for us that we actually have a purposeful debate. We need to put a vote before the Government to show the strength of feeling from all of parts of this House and to show what the issue of Kashmir means to us I intervened on the hon. Member for Harrow East (Bob Blackman) and asked him who took the issue of Kashmir to the United Nations. It was Pandit Nehru, the Indian Prime Minister. He did so because he knew that when Maharaja Hari Singh had to abdicate from the post, he had not acceded to either one of the countries. [Interruption. ] My hon. Friend the Member for Brent North (Barry Gardiner) might laugh, but that is accurate.
ParlaMint-GB_2021-09-23-commons.u427	I thank the hon. Gentleman for allowing me to intervene on him. Does he not accept that the Kashmiri Pandits, in any type of vote or plebiscite, should have the right to be considered as part of Kashmir and, therefore, those refugees who live in Jammu and the rest of the world should also have that right? Who then determines who would participate in a plebiscite?
ParlaMint-GB_2021-09-23-commons.u428	The plebiscite would be determined by the United Nations. Every Kashmiri, whether a Pandit, Hindu, Muslim, Sikh or Christian member of the heritage of Kashmir, has a right to vote in that plebiscite. Every Kashmiri of any religion, faith or creed is a Kashmiri by nature. It is important for all of us to recognise that, which is why I wanted to make that point. That is why it was important to keep article 370 and 35A, because that is what the United Nations had pushed for. The hon. Gentleman also mentioned tourism in his speech. Fantastic! Can I go to Kashmir as a person of Kashmiri heritage? My hon. Friend the Member for Oldham East and Saddleworth tried but was not allowed Following the suggestion of my hon. Friend the Member for Birmingham, Hall Green (Tahir Ali), I think all of us should apply to the Indian High Commission for a visa to go to Kashmir. When all of us do not get a visa to do that, we should then put forward a motion to Mr Speaker and to the Lord Speaker to ensure that the Indian high commissioner is not allowed in this place at all. This is about people who continue to be subjugated by an armed force—more than half a million armoured people—in their land. Those forces subjugate the rights of women, using rape as a form of collective torture. That is not acceptable in any form of society and we should not accede to that.
ParlaMint-GB_2021-09-23-commons.u429	After the events of the last century, by now we should all know what a fascist party of Government looks like, speaks like and acts like. By extension, we should also know what illegal occupation and ethnic cleansing looks like. However, despite knowing this, we fail in our duty to act. Knowing the BJP’s projected journey towards genocide, we are not doing what we should do. Members should not just take it from me. Genocide Watch exists “to predict, prevent, stop, and punish genocide”, and its “ten stages of genocide” model has been used by the US State Department and the UN. Genocide Watch has said that all 10 stages of the genocidal process in Jammu and Kashmir are far advanced while Kashmir is under military rule. Yet still, despite all the cautions and the signs, our Government maintain a bilateral position in Indian-occupied Jammu and Kashmir, while they apply Magnitsky-style sanctions against China and make a determination of genocide in relation to Uyghur Muslims Why the double standards? Is it not the case that injustice anywhere is a threat to justice everywhere? Why do we apply a different standard to our friends and trading partners than to our foes? Is it not easier to be critical of our foes, but bolder and braver to be critical of our friends? It is common knowledge that Kashmir is deemed the unfinished business of partition. The question on the minds of millions of Kashmiris worldwide and in the region is simply this: how will the butcher of Gujarat settle this unfinished business of partition? If the assessment made by Genocide Watch and others is anything to go by, we can draw the conclusions. There are those who ask, “Why Kashmir? Why should we care? ” To them, I say that aside from the barefaced violations of international human rights and our colonial legacy, the answer is that Indian-occupied Jammu and Kashmir is the world’s largest militarised zone, and India and Pakistan are two nuclear-armed states that will be on the brink of war if India continues its war-mongering. That should be enough to keep everyone up at night. The list of serious human rights violations by security forces in Kashmir—and the deliberate erosion of civil liberties by the ideological bed buddy of the Rashtriya Swayamsevak Sangh, the BJP Government—is endless While Pakistan made a gesture towards peace by safely returning an Indian fighter pilot in 2019, the BJP has been accused of alleged torture and the custodial killing of the leader Mohammad Ashraf Khan, and the kidnapping, desecration and forced burial of Syed Ali Geelani’s body against his final wishes. Make no mistake: India is setting the stage for Kashmir, and it is not for a Bollywood blockbuster. The BJP’s journey towards enacting genocide in Jammu and Kashmir must be stopped. While the people of Indian-occupied Jammu and Kashmir look to the world to act, will this Government make urgent representations I will not stop speaking: not until every mother in Kashmir is reunited with her son, until every woman in Kashmir is free from the threat of being raped by Indian forces—
ParlaMint-GB_2021-09-23-commons.u430	We have to move on. I call Barry Gardiner.
ParlaMint-GB_2021-09-23-commons.u431	At this critical time in the region, with the US and UK withdrawal from Afghanistan, it is right that people understand the connections between democracy, pluralism and human rights, and the equally strong connections between fundamentalism, terrorism, insurgency and the loss of human rights Over the years, Pakistan has harboured Taliban leaders, and the ISI—their security service—has provided other forms of support to them and to other terrorist organisations. As Secretary of State Blinken said in a recent congressional hearing, Pakistan has “harboured” members of the Taliban, including the Haqqanis.
ParlaMint-GB_2021-09-23-commons.u432	Are we talking about the Kashmiri people or about Pakistan? This debate is about the Kashmiri people and the abuse of their human rights.
ParlaMint-GB_2021-09-23-commons.u433	Indeed, it is. I will try to ensure that the connections are apparent Of course, it is no coincidence that the last hideout of Osama bin Laden was in Abbottabad, scarcely a mile away from—and, some would say, under the protective shield of—the Pakistan Military Academy in Kakul. Abbottabad is just 20 miles as the crow flies from Muzaffarabad, the capital city of Azad Kashmir. As a constitutional entity—constitutional self-determination has been mentioned by my hon. Friends the Members for Birmingham, Hall Green (Tahir Ali) and for Denton and Reddish (Andrew Gwynne)—the so-called Azad Kashmir, which is better known to the world as Pakistan-occupied Kashmir, is not just strange, but unique. It has been given the trappings of a country, with a President, Prime Minister and even a legislative assembly, but it is neither a country with its own sovereignty nor a province with its own clearly-defined devolved authority from the national Government Under section 56 of the Azad Jammu and Kashmir interim constitution of 1974, the Pakistan Government can dismiss any elected Government in AJK, irrespective of the support they might have in the legislative assembly. Strangely enough for an entity that purports to be a country, the constitution bars anyone from public office and prohibits them from participating in politics unless they publicly support the principle of Kashmir acceding to Pakistan. Imagine that: a country all of whose politicians can be politicians only if they say they do not want to be a country. It will therefore come as no surprise to colleagues when I say that the major civil and police administrators’ positions in AJK are held by Pakistani civil and military officers. It may also come as no surprise to them to find that the putative country has no representation in the Parliament of Pakistan. The territory’s local representatives are excluded not just from the Pakistan Parliament but from even those Pakistani bodies that negotiate intra-provincial resource allocation and federal taxes. So much for “No taxation without representation”.
ParlaMint-GB_2021-09-23-commons.u434	Is it not worse than that, because the minority religions are also excluded from that Government?
ParlaMint-GB_2021-09-23-commons.u435	Indeed; I was about to come on to that That there is no taxation without representation is not a principle observed in AJK. It is not a country; it is not a province; it is not a state: it is a satrapy. Were I not a British MP conscious of the fact that much of this mess is a legacy of our colonial past in the region, I might almost describe it as a prize of war—but then, of course, that is precisely what Pakistan-occupied Kashmir is. It was gained by the illegal invasion by Pakistan troops in 1947 Stringent blasphemy laws mean that many religious groups face the death penalty if they are even accused of denigrating the Prophet. Sadly, the infamous case of Asia Bibi is not unique. The rights of women are governed by the Offence of Zina (Enforcement of Hudood) Ordinance 1979 penal provisions, which prevent women from exercising their marriage choices. The South Asia Terrorism Portal records that of the 42 identified terrorist training camps located in Pakistan, 21 were located in Kashmir and Gilgit-Baltistan. Those camps belong to three main terrorist groups: Lashkar-e-Taiba, Jaish-e-Mohammed, and Hizbul Mujahideen. One of the key areas around which the camps are located is Muzaffarabad, the capital of Pakistan-occupied Kashmir According to Human Rights Watch, the Pakistani Government repress democratic freedoms, muzzle the press and practise routine torture within Azad Jammu and Kashmir. According to the world press freedom index prepared by Reporters Without Borders, Pakistan ranks 145th out of the world’s countries, below India. The 2019 Foreign and Commonwealth Office report, “Human Rights and Democracy”, noted that the human rights situation continues to worsen and pointed out that freedom of expression—
ParlaMint-GB_2021-09-23-commons.u436	I am sorry, Barry—we have to leave it there because of the time pressure.
ParlaMint-GB_2021-09-23-commons.u437	I thank the Backbench Business Committee for scheduling this debate and I am grateful to the all-party parliamentary group on Kashmir for its work I want to make three very quick points, but the bottom line is this: if this Government are serious about the rules-based order—you never know, they might be—then it is time for them to step up the fight for justice for Kashmir. There are three ways in which this can be done. First, we must say what we mean and mean what we say. All of us will have seen in Hansard that there is now a new trope, cliché, turn of phrase or diplomatic nicety: “We are aware of human rights concerns. ” Well, firing pellets indiscriminately at children is not a concern: it is an abuse. Detaining thousands of people without trial for up to two years, including former chief Ministers, is not a concern: it is an abuse. Detaining people without trial for years on end, as we have heard today, is not a concern: it is an abuse. Beatings and torture: that is not a concern; it is an abuse. Troops who shoot dead labourers without trial or suspicion: that is not a concern; it is an outrage, and we should be angry in this House. Abuse after abuse; outrage after outrage; offence after offence: it is about time we started telling the truth in this House about what is going on in Kashmir Secondly, the Government can make it clear to both India and Pakistan that there will be no trade deals unless human rights are observed. We know that the prize for an India-UK deal is significant, at up to $15 billion over the next nine years. That is quite a treasure, but are we seriously saying here, in this House, that for $15 billion we will look the other way on human rights abuses? The world of trade is built on trust, and we cannot trust countries that break their agreements, break international agreements and perpetrate the human rights abuses we see in Kashmir Finally, how can we pretend that this is a bilateral issue? This is no longer a bilateral issue. The changing of the facts on the ground broke the Simla agreement. Human rights is always a multilateral issue. There have been nearly 300 international conflicts since 1945 and nearly 200 of them were settled through international brokering—think of Holbrooke in Yugoslavia and President Carter in Israel and Egypt. We need a trilateral solution The economies of the new silk road will be two and a half times the size of the Atlantic by 2050. Our interest and our duty is in getting involved and delivering justice for Kashmir now.
ParlaMint-GB_2021-09-23-commons.u438	The human rights situation in Indian-administered Kashmir has long been a cause of international concern. Spanning 73 years, the Kashmir conflict is the longest unresolved dispute on the UN’s agenda. In June 2018, the Office of the UN High Commissioner for Human Rights published a report that focused on allegations of serious human rights violations, notably excessive use of force by Indian security forces that led to civilian casualties; arbitrary detention; and impunity for human rights violations. It made a wide range of recommendations, including an independent investigation into allegations of human rights violations in the region. However, not only have the recommendations not been implemented but the situation facing Kashmiris has become even more dire, and it has worsened during the pandemic. With increased military deployment and a communications blackout, the people of Kashmir face an uncertain and bleak future The concerns point towards a wider problem in India. The rise of populism has resulted in a lack of checks and balances, a power-hungry Executive and a crackdown on dissent. The suffocation of minority rights and a lack of freedom of expression is illustrated in the ongoing farmers’ protests and the persecution of minorities, including Christians and Dalits. The closure of reputable human rights organisation Amnesty International’s operations in India also paints a depressing picture.
ParlaMint-GB_2021-09-23-commons.u439	Surely it is time for India to join the Pakistani and Kashmiri people in meaningful dialogue to sort out this issue. They could take all the money they are spending on weapons and nuclear weapons and spend it on poverty in their countries and let the Kashmiris decide their own future.
ParlaMint-GB_2021-09-23-commons.u440	I agree wholeheartedly. The whole of south Asia is suffering as a result of how these two big countries are behaving and the money they are spending on arms. China, Pakistan and India are nuclear powers, so they are putting the safety of the whole world at risk. The sooner they get around the table, the better The concerns point towards a wider problem in India. Discrimination has become embedded in law, with the Disturbed Areas Act in Gujarat used as a tool to discriminate against Muslims. Protests in Indian-administered Kashmir are also prohibited. Kashmir is the only state in India where a crowd control gun is used that has caused more than 700 Kashmiris, including infants, to go blind. The list of issues is long. As the all-party human rights group puts it, India is a “diminishing democracy” The Government like to talk about the close relationship and friendship between the UK and India, but true friendship requires honesty and accountability. Successive UK Governments have adopted the position that it is for India and Pakistan to resolve Kashmir’s future and that the UK should not interfere in or mediate the process. However, we must go beyond that and recognise the role that Britain has played in the Kashmir conflict. Its roots lie in the countries’ shared colonial past, which facilitated the violent partition process between India and Pakistan and left the fate of Kashmiris undecided So will the Minister meet me, Kashmiri groups and members of the diaspora to hear their concerns at first hand? This week, the UN General Assembly also met. Will the Minister also outline whether the issue of Kashmir was on the agenda, and what steps are being taken to ensure that the UN resolutions are upheld? The reality is that the Indian Government have utter contempt for international law and human rights—
ParlaMint-GB_2021-09-23-commons.u441	Order. I am terribly sorry, but we will have to leave it there, Afzal. I am grateful to Debbie Abrahams for offering to give up her wind-up in order that the last speaker, Zarah Sultana, will have the full three minutes.
ParlaMint-GB_2021-09-23-commons.u442	Thank you, Mr Deputy Speaker, and I thank my hon. Friend the Member for Oldham East and Saddleworth (Debbie Abrahams) Today’s debate on rights abuses in Kashmir is one close to my heart. It is very personal for me. In the 1960s, my grandfather came to the west midlands to work in the foundries, having left his home in Kashmir. I still have family in the region, and that is what makes what is happening in Kashmir all the more painful It is now more than two years since the BJP Modi Government unilaterally revoked articles 370 and 35A of the constitution, robbing Indian-occupied Kashmir of autonomy, reflective of its status as an occupied territory, violating UN resolution 47 and initiating a brutal lockdown. This has intensified human rights violations in the region, with widespread reports of torture, rape, extrajudicial execution and illegal detention. In what is now the largest military occupation in the world, the internet connection was cut off, and political leaders, activists and journalists were arrested In 2020, following its reports of widespread state abuses, human rights organisation Amnesty International faced reprisals from the Modi Government and was forced to halt its operations in the region. These repressive actions have been mirrored in how the Indian Government have cracked down on the largest protests in world history, led by tens of thousands of farmers; in how they have unlawfully detained British Sikhs in India, such as Jagtar Singh Johal; and in how they attempted to have three British Sikhs from the west midlands extradited, only for Westminster magistrates court yesterday to rule that there was not evidence to justify it. I send my solidarity to the families of these men, who have faced months of agonising uncertainty and fear, and to the Sikh community in Coventry and across the UK Human rights abuses in Kashmir are not simply some issue of foreign policy of which Britain can wash its hands of responsibility, nor are they a bilateral issue for India and Pakistan to resolve. This House has a special responsibility for the plight of the Kashmiri people. In 1947, as the colonial power, the British Government oversaw partition of the Indian subcontinent and rejected calls for Kashmiri independence. That decision laid the groundwork for the oppression we see in Kashmir today. But far from standing up to the Indian Government for their violations of human rights and international law, this Conservative Government would rather cosy up to Prime Minister Modi, and would rather refuse to speak out and, once again, demonstrate moral cowardice that shames this House Britain has a special responsibility to the Kashmiri people, and it is long past time that we spoke up for their inalienable rights and pursued diplomatic channels to secure UN resolution 47, securing their right to self-determination.
ParlaMint-GB_2021-09-23-commons.u443	Apologies to Jim Shannon, who has been here throughout, but, sadly, we have run out of time. Wind-ups—I call Hannah Bardell.
