ParlaMint-GB_2021-07-07-commons.u1	What steps the Government are taking to support victims of conversion therapy.
ParlaMint-GB_2021-07-07-commons.u314	Order. Just another reminder that if we think of each other, everyone can get in, but I did say between four and five minutes.
ParlaMint-GB_2021-07-07-commons.u315	I will try to speed through my speech, Madam Deputy Speaker I am delighted to speak on the subject of the EU settlement scheme, as it provides us with a great opportunity to reflect on the invaluable contributions that our friends and neighbours from the EU bring to our country and to our local communities. We have colleagues on both sides of the House who were born in, or grew up in, an EU country. We in this House also rely on the support of our staff, many of whom came to this country from Europe. And who can forget the tireless work of those EU nationals who work for the various parliamentary services that keep us safe, ensuring that the work of our Parliament keeps going and making our days brighter in this place. I am sure the whole House will want to join me in thanking them for all their hard work and dedication In my own constituency, I see EU nationals on the frontline of our fight against covid-19 as doctors, nurses, paramedics and carers and in many other capacities. Many of the children in Guildford, Cranleigh and our villages are taught at school by teachers from the EU. Our communities are made stronger thanks to the contribution of EU nationals, who are our neighbours, our friends and our partners in building the fairer, greener and healthier country we want. Working together is the best way we can build back better after the pandemic. That is why I was happy whenever my office was able to assist constituents with their applications to the EU settlement scheme or by taking their feedback to Ministers. It is also why I am happy to help constituents outside the EU, too, and I have had many successes on immigration matters in the short 18 months since I was elected The Government settlement scheme, which was set up in 2019, sent out a very clear message: we want our friends to stay and enjoy all the rights they have been enjoying for years. I was therefore heartened to hear that the scheme has seen 6 million applications, of which 5.4 million have been met with a positive outcome. I thank my hon. Friend the Member for Montgomeryshire (Craig Williams) for the recent update on those numbers. I am also pleased that those applicants who have not received their decision will have their rights protected and will receive a certificate of application that they can use if they need to prove their immigration status until a decision is made on their case I was pleased to hear that we will continue to take a pragmatic and flexible approach in considering late applicants and their rights, that we will as a priority continue to encourage those eligible to secure their status to apply, and that each case will be based on its unique circumstances. The comments made by my hon. Friend the Minister at the Dispatch Box today about reasonable grounds for late applicants are extremely welcome and will be very reassuring for my constituents. That, alongside the Government’s £8 million investment in advertising and £22 million investment in ensuring that vulnerable applicants are given all the support they require, clearly illustrates our commitment not to leave anyone behind when it comes to protecting their rights in this country The scheme was born out of the spirit of friendship and co-operation we share with our European allies, and it mirrors similar programmes put in place for British citizens living in EU countries, albeit running for a longer period of time. I hope that that spirit will extend our friendship beyond Europe as we introduce a fair, points-based immigration system not too dissimilar to the one that the SNP advocated in its 2014 independence White Paper, only now to call it unjustifiable and damaging to Scotland Having emigrated to this country from New Zealand, I know how important our ties with the rest of the world are. I commend the Government for taking their responsibilities towards immigrants so seriously, especially as we build global Britain—a place where fairness, the rule of law and respect for each other prevails.
ParlaMint-GB_2021-07-07-commons.u316	I find it bizarre that the Scottish National party has chosen to use its valuable Opposition day slot to debate the EU settlement scheme, and I am in no doubt that the vast majority of Scots agree with me. There is little to address in the EU settlement scheme, as the SNP knows full well. For the SNP, it is all about sowing division, stirring up ill-founded resentment and stoking the same tired old debates on the 2016 Brexit vote. The truth is that the EU referendum was years ago, and we have since left the bloc for good. All Scots and all Britons want us to move forward and focus on improving this country The SNP may regret the end of freedom of movement, but the vast majority of British people wanted to end it. It is about our having the power and national sovereignty to decide who we should admit into our society, from anywhere in the world. The EU immigration system was ludicrous, as was recognised across Scotland. The fact the SNP is still in favour of it is baffling and quite irresponsible It is testimony to the settlement scheme’s popularity that we predicted 3.7 million EU citizens would go through the process but instead, as we have heard today, over 6 million have done so. That is a great success. The simplicity, generosity and, some would say, leniency of the scheme reflects this Government’s desire to make life easy for those settled Europeans who contribute to our country and make it what it is. It is therefore disingenuous of the SNP to level any accusations against the Government of making the process difficult or arcane—the numbers show that is simply not the case. It has worked incredibly well By trying to extend or scrap the deadline, the SNP is seeking an eternal transition that defies reality and defies logic. It is clear that the SNP is clinging on to any vestige of what it thinks relates to the EU, hankering after a broken union while destroying the precious one we have. The SNP hangs on to the coat tails of the EU because it has no confidence in Scotland. Any right-thinking Briton knows that the settlement status window must end, and they want it to end Tagging on to the end of the motion the transfer of immigration powers from Westminster to create a Scottish migration system and Scottish visa is pure madness. It is part of the SNP’s fantasy to further isolate Scotland for the sake of division. This move would harm Scottish people, not to mention being completely impracticable, with a hard border being inevitable. How can the SNP seriously favour immigration rights for EU citizens into Scotland over Scots’ rights to access the rest of the UK? It is bizarre. How can the SNP favour EU immigration over what is best for Scotland’s young and vulnerable It is not possible for one country to have two different, opposing immigration systems, and it is not compatible with the devolution settlement or desirable for the people of Scotland. It is yet another example of the SNP causing trouble and sowing the seeds of division, without any concrete policies to improve Scots’ lives Our UK immigration policy keeps us safe and attracts the best and brightest to our shores, whether they settle in London, Glasgow, Edinburgh, Cardiff or Belfast. It is bizarre that the SNP advocated a points-based immigration system in 2014, yet changes its tune when it smells political opportunity. It is rank hypocrisy. It seems to have passed the SNP by that we have actually left the EU, and the SNP is wilfully ignoring all the opportunities now available to Scotland outside the EU, whether it is Scottish exports, farmers, fisheries, the repatriation of powers from Brussels to Edinburgh, UK business support or state aid. This latest attempt to score political points on the impressive EU settlement scheme underlines the fact that a Scotland without the SNP would surely be better off I am conscious of time so, on a lighter note, although football may not be coming home to Hampden, it may still be seeking settled status here in Britain. I have no doubt that every Scot, including every SNP Member here today, will be cheering on England tonight as the sole home nations representative left in the tournament.
ParlaMint-GB_2021-07-07-commons.u317	During the Brexit referendum, the Prime Minister promised that nothing would change for EU citizens in the UK. Yet everything has changed, as millions of people who had settled here have had to apply for permission to remain in their homes and jobs. Conservative Members dismissed this as no big deal, but my husband is German, and, after spending more than 30 years working as a doctor in our NHS, he felt as if the rug had suddenly been pulled from under his feet The hon. Member for Montgomeryshire (Craig Williams) highlighted the importance of language, and I agree with him, but while our First Minister in Scotland reached out to EU citizens on the morning after the referendum, the language in this place described them as bargaining chips and playing cards. The most upsetting thing for my husband was when the former Prime Minister described EU citizens as “queue jumpers”, implying they had somehow cheated the immigration system to settle here. Such language already made EU citizens feel unwelcome even before Brexit was completed, and it contributed to an almost 90% drop in the number of EU nurses coming to the UK. That is a loss the four national health services could ill afford, especially with the challenges of this last year Apart from the emotional upheaval felt by many EU families such as mine, there are practical issues with the settled status system. Instead of automatically being granted indefinite leave to remain, as promised by the Prime Minister, it is an application process, which can be refused. While EU citizens would still have had to register, there would have been no question of refusal, and vulnerable groups such as the elderly or children in care would not now be in danger of becoming illegal. Only 2% of applications have been refused outright, but that is over 100,000 people, and 43% have been granted only the much less favourable pre-settled status, often despite living in the UK for many years. There is a real danger that many with permanent residency assume it means what it says and that they are secure, and do not understand that they now need to apply for settled status. Women in particular can struggle to gain full settled status if, owing to caring responsibilities, they do not have an unbroken tax record A widespread concern among EU citizens, as we have heard this afternoon, is the lack of physical proof of their status, particularly with the example of Windrush before them. Having to provide an online document creates problems for those with poor digital access, and some landlords and employers are already excluding EU citizens from the opportunity to work or rent a home as they simply cannot be bothered with the hassle. Whether it is a lack of health and social care staff, farm workers, HGV drivers or academic researchers, the UK will be poorer without the EU citizens who no longer come to live and work here and contribute to our society. This is particularly an issue in Scotland because of our ageing demographics and the risk of rural depopulation. The UK Government’s dismissal of Scottish requirements simply highlights the need for Scotland to be able to set our own immigration policies, and Government Members who dismiss that simply ignore the fact that Ireland still has freedom of movement Freedom of movement was the biggest benefit of EU membership that we all gained as individuals, and it worked in both directions. We have had the right to live, love, work or study in any one of 31 countries, yet we have taken that away from the younger generation, while EU citizens here contribute to our public services, communities and economy, as well as being our family, friends and neighbours. So despite the Prime Minister’s original Brexit promises, I can tell you that many EU citizens do not feel secure in the UK, but rather feel unwelcome and unsettled.
ParlaMint-GB_2021-07-07-commons.u318	I rise to celebrate the fact that almost 6 million EU citizens have chosen to remain here and indicated they wish to make this place their home. I appreciate it might be difficult for the SNP to comprehend why, when it is seeking to leave the United Kingdom, a number of EU citizens greater than the total population of Scotland have chosen to stay in the United Kingdom. I think that puts the scale of this into perspective: the number of people who have applied for settled status and been granted it is actually greater than the total population of Scotland I want to place on record my thanks to the Home Office, the ministerial team, former Ministers and all the staff who have made the scheme so simple, so easy to apply and so successful. Compared with other immigration schemes of the past, the EUSS is a breath of fresh air. It is so simple and straightforward that it can be done on a smartphone ,and, as we have heard, very many people have applied for it. The SNP do it a disservice by scaremongering, trying to present a picture of this scheme as difficult, uncertain, and something that applicants might have problems with. The reality is that for the vast majority of people, it is very easy and straightforward, and in some cases that I know of, they secure their settled status within hours of applying. We need to celebrate just how great this scheme has been By the end of last month, as has been said, almost 6 million people had applied for the EUSS. When we set up the scheme, we thought that only about 3.4 million people were likely to apply. That puts into perspective just how successful the scheme has been. Some have said that there are people who may be unaware that they need to apply for settled status, but my experience is that there are very few. The Government have done an incredible job working with local authorities and other bodies across the UK to get the message out, and the conversations I have had with EU citizens in Cornwall show that they have all been absolutely aware of the scheme and how to apply for it, so again I think the Home Office needs to be commended for the incredible work it has done Some are calling for the scheme to be extended. I fully appreciate that the SNP wants to continue free movement and see this as a way of doing so through the back door, but we promised in our manifesto that we would end free movement, and it is right that the scheme has a deadline and comes to an end. However, I welcome the pragmatic and proportionate approach that the Minister has taken to dealing with those who may have applied to the scheme late We should celebrate the EU settled status scheme as a great success. It has demonstrated that, far from the claims made by those who want to paint our country now that we have left the EU as a closed country—an unfriendly place, a place that does not welcome people—exactly the opposite is true: we welcome all those from the EU who have been here over the years and who wish to make their home here. The scheme has been a success, and it demonstrates the very best of our nation. We should celebrate that fact, so I say to the SNP that I know this debate is not really about the EU settled status scheme: it is about having another go at the Westminster Government and working to their own agenda. However, the reality is that the scheme has been successful, and we should welcome it and celebrate all those who have applied to stay here.
ParlaMint-GB_2021-07-07-commons.u319	It is a pleasure to follow the hon. Member for St Austell and Newquay (Steve Double). I would like to start by thanking the hon. Member for Cumbernauld, Kilsyth and Kirkintilloch East (Stuart C. McDonald) for his comprehensive and detailed explanation of the problems, obstacles, and failings of the settled status scheme system. I agree with him wholeheartedly about those drawbacks and failings, but as much as I am impressed by his explanation, I am astonished that he cannot recognise that he is also reciting a litany of the problems that Scotland and England would face if the SNP were to have its way over independence However, just as this is not another rerun of a debate on Brexit—the damage to our trade, the obstacles in the way of small businesses, and the problems that Brexit will create as we recover from it—nor should it be a debate about independence, because it is about something far more important than either of those things. It is about people: people who have come here, contributed, paid their taxes and raised their family here and regard this place as home, like so many of my constituents—almost 3,000, in fact One particular letter I received sums up this issue for me: “Dear Christine, I am a French citizen, having lived and worked in Scotland for more than 20 years. My husband is also French, and we have two children aged 12 and 9, both born in Scotland, and we have serious worries. ” Their worries are about the future, about settled status, whether they will face another Windrush-type scandal, and how much it will cost them for their son, who was born here, to have British citizenship and a passport While I accept Ministers’ assurances about the extended deadline and that we will not face another Windrush, I do not believe that the Government have addressed the fact that so many people like my constituents no longer feel welcome in the country that they made home and to which they have contributed There is also, frankly, panic among many people who live and work here, who perhaps married British citizens and are now confused about exactly what their future will hold. I do not blame them. We know that applications are taking longer to process than was promised and that the process is not as straightforward as was originally suggested. People have to make separate applications for children. We have heard all these promises today, but what the Government promised, as with so many things, has not materialised. We are not treating people with respect. What about all those still waiting for the decisions Much as I agree with the Scottish National party that the loss of freedom of movement is regrettable and about the situation that EU citizens now find themselves in, I am afraid that I cannot support the motion today because of that last sentence about immigration. Immigration should not, I believe, be the responsibility of one part of the United Kingdom. Yes, there are fruit pickers in Scotland who need staff and the NHS is calling out for migrants to come here and work—on that point, I feel that a great number of migrants in this country deserve indefinite leave to remain as a thank you for the contribution that they have made during covid But the need is not restricted to Scotland. Fruit pickers are needed in Cornwall as much as in Scotland; NHS staff are needed in Essex as much as in Scotland. As the hon. Member for Edinburgh South (Ian Murray) pointed out, if it took as long to set up an immigration system as it has a benefit system, we would wait a long time before we got the people we needed Although I sympathise with much of what the SNP has said today, I regret that yet again an issue has been used as an opportunity to promote independence—and not, I believe, the best interests of EU citizens in this country. They should not become another weapon in the independence battle.
ParlaMint-GB_2021-07-07-commons.u320	It is a pleasure to follow the hon. Member for Edinburgh West (Christine Jardine) The decision to leave the EU was taken through a referendum. This was the will of the British people with all that entailed, including the loss of freedom of movement for EU citizens. It is difficult to understand the concerns that the Scottish National party is citing about the EU settlement scheme, given the efforts that the UK Government put in to ensuring that as many EU nationals as possible who are living in the UK had the support they needed to apply for settled status More than 1,500 Home Office staff were working on the EU settlement scheme. When it opened in March 2019, the Home Office estimated that between 3.5 million and 4.1 million EU nationals would apply for settled or pre-settled status. It is testament to the robust nature of the systems that the Government set up and the work put in by the Home Office team that over 6 million applications have been handled by the scheme. Most are turned around in five working days and over 5.1 million grants of status have been confirmed. The application figures are clear—they are a clear demonstration of the hard work that the Home Office, the DWP and other partners have put in to reaching out to EU nationals across the UK through many different channels, including employers, landlords, charities and public bodies In my constituency of Ynys Môn, with its close ties to Ireland and direct link to Dublin, the Home Office engaged with key local employers such as Stena to ensure that their EU staff understood the requirements and could access the systems that they needed. To support EU nationals wishing to apply over the past two years, the Government have committed significant support and guidance. The EU settlement resolution centre, set up for those needing general assistance, has handled more than 1.5 million callers and responded to more than half a million online contacts. There was the assisted digital service for those without the appropriate skills, confidence or experience to complete online applications. Some £22 million of grant funding was given to 72 organisations across the UK to reach and give support to more than 310,000 vulnerable citizens and their families, including victims of human trafficking or domestic abuse. For those whose applications were submitted before the deadline but are still being considered, their right to live in the UK will be extended until a decision is reached Recognising that there may be good reasons for some to have missed the deadline, the Home Office has a late application process, and that means that those who could not or who did not apply for good reason, such as being in a coercive or abusive relationship, or who lacked the physical or mental capacity to do so will still be able to apply. It is right that there has been a settled status process because, going forward, EU nationals will be subject to the same immigration processes as people from other countries. It is difficult to see what more this Government could have done to ensure that those who have a right to settled status have had the opportunity to apply Along with my hon. Friend the Minister, I fully recognise and appreciate the contribution that EU nationals make to our lives and our economy in the UK. Over the past 18 months, EU nationals working in hospitals such as Ysbyty Gwynedd and in other key worker and frontline positions have been a critical part of our fight against covid-19. I end by saying that the UK will continue to have close ties to our continental neighbours and we still, as we always have, will warmly welcome the individuals, the skills and the cultural diversity that our migrant population brings to us.
ParlaMint-GB_2021-07-07-commons.u321	The Minister boasts that the EU settlement scheme has been “a huge success”, with more than 6 million applications received. Let me be clear from the outset: these are not 6 million applicants. They are 6 million individuals who are our family members, our neighbours, our friends and our colleagues and their loved ones. Shamefully, they have had to face needless anxiety and bureaucracy ever since the disastrous vote to leave the EU five years ago. Each one of these individuals has a story of how they came to live here, why this is now their home, and why they should not have been put through this unnecessary, traumatic process simply to maintain the rights that they have always had I was particularly taken aback by the story of one of my constituents, Irena Jendrycha. Irena is 77 years old and was born in a Nazi concentration camp in 1943. She was scheduled to be executed but was saved when the camp was liberated at the end of the war. Incinerators were being prepared for the extermination of all the camp’s inhabitants at 12 o’clock that day but Irena and her mother were thankfully saved just in time, 10 minutes away from death, a moment Irena describes as an act of God After the camp’s liberation, Irena and her mother were sent to a refugee camp in Italy where her mother met Irena’s stepfather, after he had been released from a Russian gulag at the end of the war. As a family, they were transported to the UK and, at the age of four, Irena settled in Scotland. She has spent her life here since then and, in fact, has never even left the UK after arriving all those decades ago I am telling this story because Irena is one of the many millions who has had to apply for the EU settlement scheme. She is one of the UK’s last holocaust survivors and told me that the application process made her relive every horror of her past. In her own words, she described it by saying that “any goodness within me was sucked out of me like a syringe” This is morally reprehensible and should shame the Government, but it is the reality of this scheme and their hostile environment. It is the consequence of being dragged far right by the UK Independence party and the Brexit party and treating individuals who contribute so much as mere statistics or a migration target to reach. I am sure that Irena is not the only one who has been left feeling like an outcast with no sense of belonging as a result of having to go through the scheme’s process to remain in the place they call home. Simply put, this scheme clearly demonstrates that the Tories are living up to their reputation as the nasty party. Indeed, Irena made it clear that she was appalled by politicians who every year will pose for pictures, speak in debates and attend events remembering the holocaust, yet are willing to make people like her feel unwelcome due to this hostile regime Irena has one question for this Government: “Why are you putting me through this? I have to re-live it, through every horror… I went through this at school and now I am going through it again. ” I have a question for the Minister: after hearing all this, how can he judge the scheme as what he calls a huge success? This is not a country that I want to live in. The Scottish Government have always said that EU nationals are welcome here. The contrast in the message from the SNP and that from Conservative Members is crystal clear Finally, Irena asked me to tell her story today, as she wants to be a voice for the many who suffer in silence. I am deeply humbled that I have been able to do that. I want to assure Irena and all our citizens who call Scotland their home that, despite the cruel, callous and shameful approach of this UK Government, Scotland is their home and they should feel thoroughly welcome. I and all my SNP colleagues will continue to defend their rights wherever they come from and whatever their story is.
ParlaMint-GB_2021-07-07-commons.u322	It is a pleasure to follow those comments from the hon. Member for Dundee West (Chris Law), although I disagree with almost all of them. The settled status scheme has shown us that more than 6 million people have taken advantage of the opportunities that the United Kingdom offers and moved to this country. The first point to make is that this shows how successful the scheme has been. We have already heard that it is by far the most generous scheme in Europe, simple to apply for from home with a good app, well-advertised and well-supported by agencies. The numbers show how well the scheme has been developed and applied by the Government. Now that the scheme deadline has passed, it has been suggested, not least by the previous speaker, that applicants for this settled status might be at risk of what is described as a hostile environment. Yet the Government guidance to civil servants on how to approach applications after the deadline has been published and it simply explodes that myth. Rather than being a hostile environment, civil servants have been instructed to give applicants the benefit of the doubt when discrepancies arise, and to show a proportionate response. If mistakes in an application have been made, they should be pointed out to the applicant who then should be given a reasonable amount of time to correct them and resubmit without criticism. Applications out of time will also be permitted indefinitely if there are reasonable grounds for the delay This is the opposite of a hostile environment. To my mind the Government have bent over backwards, and continue to do so, to facilitate applications. They have commissioned £8 million of advertising to raise awareness. A wide range of support has also been offered and made available online, over the telephone if it has been needed, as well as from 72 organisations across the United Kingdom funded by the Government to help in the application process, and it has worked as the huge take-up proves Looking at the statistics, there is a key number that jumps out: just 290,000 out of more than 6 million EU citizens have chosen to make Scotland their home. These are figures that have been unaffected by any constraints on immigration. It is an historical measurement, so it is a measurement of the relative attraction of Scotland under the SNP to immigrants. Rather than seeking devolution of immigration powers, as the motion demands, the SNP might want to reflect on why it is that so many of these welcomed immigrants who have voted with their feet to make a new life for themselves here in the United Kingdom have decided not to make that life in Scotland The SNP has been in continuous power in Scotland since 2007, so this is the SNP Scotland that has been judged by European Union immigrants. What does it say about the anti-business approach of the SNP with the resulting underperformance of the Scottish economy with the SNP in charge, creating fewer job opportunities and successful careers? We should not forget that between 2007, when the SNP took over, and 2019, the Scottish economy has grown by 9.3%. The UK as a whole over the same period has grown by 16.5%, and that is including the drag of the SNP’s Scottish economy. What does it say about the prospect of having to pay the SNP’s higher taxes as an entrepreneur in Scotland than in the rest of the United Kingdom? What does it say about the prospect of sending their children to the SNP schools that are going backwards in the international league tables when compared with the rest of the United Kingdom? With the relentless focus on separation by the SNP, how welcoming is that message for immigrants, whether from the EU, the rest of the world, or the rest of the United Kingdom? Creating a border at Berwick is the last thing to encourage inward migration. This is another example of the SNP obsession with separation damaging the real interests of the country.
ParlaMint-GB_2021-07-07-commons.u323	The EU settlement scheme should never have needed to be put in place, and it is a travesty that our European friends and neighbours who have been living lawfully in this country, in some cases for many decades, should be forced into a situation where they have to apply for, and prove, their basic rights. The hon. Member for Broadland (Jerome Mayhew), who I have the pleasure of following, hailed the scheme as a success, but he neglected to mention that the Government underestimated by 100% the number of EU citizens actually in the UK. Members of this Government promised that nothing would change—a promise that was quickly broken. The situation is now only worsening for the citizens to whom that promise was made and who are now arguably subject to a hostile environment. I noted the comments from the hon. Member for Ynys Môn (Virginia Crosbie), who is no longer in her place, on the steps that the Home Office had taken, but it does not sound like a particularly warm welcome to require those in coercive relationships to detail such trauma to prove that they have the right to stay in this country I have been inundated with correspondence from constituents to do with the EU settlement scheme, and I find it hard to believe that Conservative Members have not also heard from their constituents about that. I have heard from constituents who are appalled by the scheme and the risk it poses to their European friends and neighbours, and from those who are struggling to apply to the scheme themselves. I wrote to the Home Secretary on their behalf last month to highlight the issues that they raised, and I know that other Members have raised some of those issues this afternoon Those issues included, first, glitches on the app preventing the applications from being made. The Home Office has proudly said that it will be a digital system that will benefit EU citizens, but if the app does not work now, it is hard to trust that the system will work later. Secondly, there was supposed to be easy access to paper forms for those who need them. There are lots of reasons for people to need a paper form even when the app is working properly, but they can often be accessed only by phoning the helpline and getting them sent out in the post. That is ridiculous for a system that is meant to be making the most of digital technology, and disastrous for those who needed to apply by the deadline but could not get through on the helpline A third issue was that people had been unable to reach an adviser on the EU settlement scheme resolution centre helpline. I have received letters from those in considerable distress, because they are trying to apply for the scheme but either need assistance or have called the helpline repeatedly throughout the day over multiple days and have never been able to get through Finally, I sought an assurance that those who were unable to apply through no fault of their own would not be subject to a hostile environment. Some weeks later, and past the deadline to apply, I have yet to receive a response. I therefore ask the Minister to provide an update in his closing remarks on when that will be forthcoming Here we are, one week past the deadline to apply, and I, like many Members, am still hearing about these problems. I have been working with the organisation Fife4europe, which works with EU citizens from across the kingdom of Fife, covering not just my constituency of North East Fife but those of Dunfermline and West Fife, Glenrothes, and Kirkcaldy and Cowdenbeath. In my most recent conversation with the organisation earlier today, I was told about a number of issues that people are continuing to have with the scheme. I heard stories of parents not knowing they needed to apply for a child; of people being unable to access passports due to the closure of embassies; of incomprehensible forms and legal terminology; and, again, of that inability to get through to the resolution centre. These are not case studies for a campaign; they are anecdotes about what is happening to friends and neighbours, and I have no doubt that there are those experiencing the same thing throughout my constituency and the country as a whole I have also heard a huge amount of fear and confusion over how to apply and what might happen if the deadline was missed. What if those people were unable to access and fully complete the written forms? What about those people who have been unable to get the appropriate evidence to support their application by the cut-off point? I have heard that many people have ultimately put in incomplete applications just to get a certificate of application and get more time to jump over the hurdles set for them by the Home Office. By the deadline last week, there was an estimated backlog of 400,000 cases, and it is now estimated to be up to 570,000, according to the latest statistics It is clear the Home Office’s inflexibility is just creating extra work for itself and adding to the anxiety of those left in limbo—and it is indeed limbo. The Home Office is providing a certificate of application, but that does nothing to demonstrate somebody’s long-term rights to potential landlords or employers. Landlords and employers are looking for candidates who will be around in six months’ time, and it would be understandable for them to prefer those candidates who can give that guarantee. I ask the Minister: what steps are being taken to deal with this backlog and when will the uncertainty be over for those hundreds of thousands of people What happens to those who were missed: those who did not know about the scheme despite the advertising, those who are not on the electoral roll or those who do not use the internet? The cut-off disproportionately impacts the vulnerable, those in social care, the old, the young, looked-after children and care leavers: those who need extra support but have now been made subject to the hostile environment. What support is there for them? What are this Government doing to ensure that those rights are upheld Even when somebody has managed to apply, we know that it is not plain sailing. We have been told time and time again that this is a digital status because that is easier, cheaper and safer, but it seems to be far from easy to make changes to that status—changes that are foreseeable over the course of a lifetime, such as getting new a passport with a new ID number, or getting married and changing one’s name. Can the Minister explain how something that we were told was so simple can be more cumbersome than getting a new passport? Speaking of ID cards, this Government seem happy to produce some ID cards, so why do they continue to reject physical proof of status? We are happy to use vaccine passports. If the Government say that they can find the money to produce voter ID cards, does the Minister agree that providing EU citizens with a usable physical proof of status is not too much of an ask? Clearly, much more needs to be done.
ParlaMint-GB_2021-07-07-commons.u324	I speak as the representative of the vibrant and diverse community in East Renfrewshire, whose population reflects a long tradition of migration into Scotland. The EU nationals in East Renfrewshire are our family, friends and neighbours. Many of them served on the frontline during the pandemic in our NHS, in our public services or in other essential roles The latest figures show that there have been more than 1,200 applications from East Renfrewshire alone, and that is before we get to those who missed out. How can they get absolute certainty over the right to live and remain, as they were promised by the Prime Minister? They need that or they face unemployment, homelessness and the refusal of benefits or healthcare. We should all be concerned about that, and we should be concerned to minimise the chances of people ending up in such distress through no fault of their own because the Tory Government are hellbent on pursuing their destructive race to the Brexit bottom—no matter our friends, neighbours, colleagues or Scotland’s vote People in East Renfrewshire voted 74% to remain in the EU, and yet here they are having to deal with these serious issues in large numbers when they did not ask to have their lives thrown into turmoil. A major issue is that the UK Government try to provide reassurance, but no one can believe a word that they say. Their response to legitimate concerns can be summarised as, “Trust us—there’s nothing to see here. ” The reality that we have all seen played out has been somewhat different. Anyone who wants a masterclass on why we cannot rely on a word that the Government say only needs to watch the Prime Minister tell a Northern Irish businessman that there will be no customs declarations on goods moving from Northern Ireland to Great Britain, and then have a wee look at what the UK Government website says today The Prime Minister and the Home Secretary said after Brexit that there would be “no change for EU citizens already lawfully resident in the UK” and that they would “automatically be granted indefinite leave to remain” There was no mention of a deadline to redeem that pledge. The concern is that unless guarantees are put in place now, the Tories might do what they did—indeed, what they continue to do—to the Windrush generation, tying applicants to the Windrush compensation scheme in a web of confusion, delay and further disrespect Last week, when my right hon. Friend the Member for Ross, Skye and Lochaber (Ian Blackford) questioned the Prime Minister over an extension to the deadline, the Prime Minister brushed it off in his usual “Who cares about the details? ” fashion. Within hours of that dismissive response, the system creaked to breaking point under more than 50,000 applications that were made as the deadline approached. The deadline was extended, but instead of giving a reasonable extension, the UK Government shifted it by just nine hours. If an extension were possible, why not show good faith and make it a reasonable one? After all, the processing of applications will continue for months. Instead, late applications might wait months to be processed, leaving people unable to start jobs, enter new tenancies, obtain driving licences or make new benefit claims Scotland needs our EU citizens. We need workers in industries such as transport, hospitality, food, health and many other sectors, but the hostile environment created by this Tory Government runs counter to the needs of our economy and our values as a welcoming, open nation. Scotland needs an immigration system that works for our society. It is clear that that will not be delivered while crucial policy areas such as migration, citizenship, asylum and refugee policy remain under Westminster’s control. That is why Scotland needs the full powers that will come only with independence.
