ParlaMint-GB_2021-10-19-commons.u1	1. What recent steps his Department has taken to increase NHS capacity.
ParlaMint-GB_2021-10-19-commons.u378	It is a pleasure to speak after the hon. Member for Sefton Central (Bill Esterson), and I agree with him that this conversation should be had with the engagement of business in order to find a solution. I have tried to do that over the last few years when we have debated this issue time and again. Of course, I have been in business for a number of years—three decades—and the No. 1 thing any business wants is a fair and level playing field on which to compete. That is not just good for businesses; it is also good for consumers. The best thing to drive down prices and drive up service is a healthy, competitive market—a free market. I draw the House’s attention to my entry in the Register of Members’ Financial Interests; our business did occupy a couple of hundred shops up and down the country There is no doubt that business rates were built for a completely different era. In this conversation, we talk about how business rates are actually making life difficult for some businesses, and that is true of course. They are additional costs that they could do without, but the No. 1 thing driving problems for businesses is consumer choice—the choice to shop online rather than to shop in the high street. Nevertheless, I think everyone in this Chamber wants to make sure the high street stays lively. Of course, it will change—its make-up will change—and we still want to see a high street at the end of it, but the problem is driven principally by consumer choices. As I say, the business rates system was built for a completely different era, when pretty much every part of commerce and trade was done from a premises The other thing to say is that in the whole discussion of business rates reform, we talk a lot about retail, and of course retail is particularly hard hit by some of the changes to consumer demand, but this is not just about retail. It is also about the competition of restaurants and takeaways—often with the dark kitchens of Deliveroo which, again, have a different business make-up—and a different proportion of turnover that is basically driven by business rates. It is the same in my own business, the estate agents and lettings business, where we increasingly have competition trading online, and in plenty of other sectors, not least the travel sector, so we cannot look at this issue purely in the context of retail I welcome the fact that the Opposition have brought forward this debate and have made some suggestions about how we reform, because we need to look at some suggestions. The Treasury has of course suggested in its consultation a couple of things we would look at—a land value tax, which it pretty much discounts, and VAT, which I will talk about shortly—but it seems to centre around an online sales tax. That would be problematic, further complicating what is an already very complex tax system. An online sales tax is also a crude measure, because on the face of it, it will not have input and output, which VAT does, dealing with different profitability margins that businesses operate on, so I am not sure it could even work. We already have a sales tax in this country, VAT, and it would be far simpler to use VAT as the mechanism The Opposition suggest lifting the threshold for paying business rates for a temporary period and then increasing digital services tax sixfold. That can only be a very temporary solution, because digital services tax has to be eradicated when we introduce the multinational agreement on corporation tax. Also, when this Government brought in the digital services tax to try to level the playing field, Amazon added it straight on to prices for consumers. Those on the shadow Front Bench might know that, because of the way the digital services tax had to be drafted, it does not even apply to Amazon’s direct sales; it applies only to marketplace activity, or third-party sellers. So the Opposition proposal does not even hit Amazon’s direct sales by using a digital services tax. For all those reasons I think that is therefore the wrong thing to do It is right to look at this issue completely freshly again, but I do not think property taxes are a solution for replacing the £30 billion of revenue. I thought my hon. Friend the Member for Bexhill and Battle (Huw Merriman) was very clear in his comments, although others might not agree that he was clear. The simple way to deal with this issue is to add about 3p to VAT, increasing it from 20p to 23p. That would, on the face of it, increase the take from VAT to about £20 billion a year, which gets us quite a long way towards replacing business rates revenue; and it is also simple for retailers. John Lewis has three sales channels: not just high street and online, but click and collect as well. With an online sales tax, John Lewis and everybody else would have to decide how a product is sold and apply online sales tax just to those sold online or by click and collect, depending on how we draft the legislation. That would be hugely complex, whereas VAT is brutally simple: everybody pays the same rates; everybody is on a fair and level playing field; it is simple and quick—although I accept that none of this conversation is easy, as simple and easy are two different things The final area we should look at in this conversation is far more controversial: the VAT threshold. Businesses currently do not have to register for VAT until their taxable turnover reaches £85,000. We should look at reducing that significantly. In Germany the threshold is £20,000. The £85,000 threshold is a real disincentive for businesses to grow. Lots of businesses stay under the threshold as they do not want to register for VAT because of the costs to the business. That distorts the marketplace. We should have a full review of how VAT operates in terms of its level and replacing business rates with it, and look at the threshold, because that would overnight take away one of the major blockages to productivity in our economy—it stops businesses recruiting extra people, taking on extra premises and opening longer. Indeed, many businesses close for a portion of the year to try to stay under the threshold This fair and level playing field needs to be in place right across the economy. Keep it simple, keep it stable; that is what businesses want. I hope the Minister on duty and Treasury Ministers look at this and take a broader view of how we get our businesses taxes right.
ParlaMint-GB_2021-10-19-commons.u379	It is a pleasure, as always, to follow the thoughtful contribution by the hon. Member for Thirsk and Malton (Kevin Hollinrake) I start by congratulating HullBID on winning its recent ballot. It had an 87% turnout from businesses in the city centre, and it won the vote by 81%. I am sure that every Member of this House would be delighted to have those percentages. I congratulate Kathryn Shillito, the executive director of HullBID, on her amazing work throughout the pandemic, offering advice, grants and financial support for businesses right in the city centre That support and advice has been needed more than ever, because we see from the data that more than 197 businesses in Hull West and Hessle are at risk, despite the excellent work that is going on in the city. Our independent retail scene is thriving. As some of the bigger names are moving out, we are home-growing our own talent and our own businesses in our own city. Trinity market is full of exciting independent shops, as is Hepworth arcade, and we were shortlisted for the Great British High Street awards just last year—I am sure they will look on us favourably again next year Although there has been some disagreement during the debate, there has been so much consensus, and there seems to be a consensus that the business rates system that we have at the moment is simply not fit for purpose. In my city of Hull, the high street has moved from one location to another, but the rating system for business rates has not moved with it. One part of the city centre used to be the thriving area where everyone shopped. It is now completely different, yet businesses there still pay higher business rates, because those rates are set on an old-fashioned and outdated model. That must change I want to mention Ye Olde White Harte pub in Hull, which I highly recommend to everyone. It has been there since 1550, and it is famous for its “plotting room”, where the people of Hull apparently got together to decide that they would turn away Charles I when he came to try to enter the city, thus starting the English civil war. I have no reason to start a civil war right here, right now, but I do want to point out the unfairness of the business rates and taxation system that that pub is under. When I visited, its landlord told me that its rates are based on “fair maintainable trade”, which has been criticised for lacking transparency, being open to manipulation and being biased in favour of pub companies and against landlords. I wrote to the Minister about this issue, raising the case of the White Harte, and I hope that he will review my letter again However, if we waited for the Government to fix the problems in Hull, we would be waiting an awfully long time. As I proved with my story about Ye Olde White Harte, we have nothing in my city if not an independent and fighting spirit, so we are coming to our own solutions and solving our own problems. I have been working closely with businesses in Hull to champion the city as the capital of home working and remote working, so it was very disappointing to read on the front page of one newspaper that the Prime Minister and the Chancellor want everyone to go back to the offices where they worked before. That seems to me to be re-establishing the inequality that existed previously. Why Why do people have to go back to the cities and offices in which they worked before? Why not look elsewhere, at other parts of our beautiful country? Look at the city of Hull, where we have the fastest broadband and affordable standards of living. We are right by the ferry—if someone wants to pop off to Holland, they can do so for £40 return on P&O—and we can get a direct train down to London in only two and a half hours on Hull Trains’ bespoke open railway service. We have everything we need to offer remote workers. We have a much higher standard of living than they would have if they were living in a tiny little flat and commuting. No offence to my colleagues from London, but the prices in London are extraordinary. Living in a small flat in London and getting stuck on the underground, or living in the city of Hull, in a beautiful, much bigger house, with the Yorkshire countryside and the beautiful east coast on the doorstep—which would we rather Why are the Government insisting on sending everyone back to the office as they were before? No—send everyone instead to cities such as Hull, where they would be welcomed with open arms. They can give our high streets a boost by coming and living in our city centre, they can spend their money in our city, and they can truly achieve a bit more equality than the Government are offering. So I hope we are not going to return to business as normal. The first step in not returning to business as normal is to look at reforming the business rate system. It is outdated, it does not work and it is unfair to businesses in my constituency I hope that while we look at changing things for the better, we also change our attitude towards remote working, because it really can offer the skills revolution and the opportunities we need for cities like mine. For too long in cities such as Hull, if people wanted a good job, they had to leave. Remote working changes all that. People can have the job of their dreams in the city where they grew up, sitting behind a laptop.
ParlaMint-GB_2021-10-19-commons.u380	I completely agree with the hon. Lady that we need jobs in other parts of the country, but does she agree with me that the big risk of remote working is that younger workers will not develop the skills, knowledge and connections that they do when they are in the workplace? They, at least, need to be able to go into the office to develop them.
ParlaMint-GB_2021-10-19-commons.u381	I am so pleased the hon. Gentleman raises that point, because it brings me on to my second point. He is absolutely right and we are solving that problem here in the fine city of Hull by working with businesses to set up remote working hubs. We are looking at hotdesking situations and bringing together people who wish to have remote jobs, but who do not wish to be isolated forever in their bedrooms away from everybody else and not have those opportunities to network. We are looking at changing part of Princes Quay shopping centre into an area where we can have remote working desks based around particular industries, so that people can network, get to know each other and mix while still working remotely for different companies around the country or even around the world. This is happening right now. We have turned the old HSBC bank on Whitefriargate, owned by businessman Gerard Toplass, into the most stunning place to work. We will be setting up hotdesking opportunities right there in that old bank, utilising the assets we have in our high streets into new resources—resources for hotdesking and remote working, and bringing more residential living into the city, too To do all that, however—I could enthuse about this idea for hours, but I will stop now, Madam Deputy Speaker—we need to start with a fundamental reform of business rates. To give Hull a chance to help itself, we need fair taxation for everybody.
ParlaMint-GB_2021-10-19-commons.u382	It is a pleasure to contribute to this debate. I think we can all agree on the immense importance of our small businesses and high streets that we represent in our constituencies, but I must also add shopping parades. We do not hear a lot about shopping parades. They are not necessarily as glamorous as town centres, but I must say that the small businesses that operate in the shopping parades in Ipswich have played an absolutely vital role, particularly when restrictions were in place and people could not go far from their home. They worked incredibly hard to support many of my constituents during that key phase and I would like to mention them here today The word “churlish” has been used a fair bit in this debate so far, by the Minister and other colleagues, and I think it is correct to use that word. Overall, £407 billion has been spent by the Government, much of which has been to support businesses through the furlough scheme, which we think has protected about 12 million jobs. In my constituency alone, £7.6 million has been given in restart grants to support local businesses in my town, so I think it is a slight difference to say, “Well, maybe it could have been slightly better in this way or that way,” and try to pretend that we have not done anything significant. I believe this Government have moved heaven and earth to support businesses in my constituency One hon. Member said earlier in the debate that the Conservatives are no longer the party of business and that every businessperson he talks to is disparaging about the Government’s support. That is simply not the case. Time and time again I talk to constituents and businesses in my constituency, some of whom have never actually supported the Conservatives before but are now open to doing so precisely because of the support that has been provided. That is not to say that there are not businesses and people out there who are not so happy with the support. That is true. These are conversations that I have had—[Interruption. ] These are real conversations, so I do not know why you are laughing at me. [Interruption. ] Sorry—I know I must refer to Members through the Chair. I got slightly animated there; I am very, very sorry. I have been getting better at that but sometimes standards slip I would like to talk about the town deal, which has been incredibly welcome for many hon. Friends and hon. Members. Ipswich, of course, has benefited from getting £25 million through a town deal. There are 11 different projects as part of that town deal that are making, and will make, I believe, an enormous difference to our town centre and to many businesses. As part of that—I mentioned shopping parades—there is a £2.5 million local shopping parade regeneration fund to support our shopping parades. We have buildings that have collected dust and have sat there empty that are being brought back into use. I cannot believe that about £100,000 had to be spent removing pigeon poo from one of those buildings, but that is the case. One of those projects will bring the Paul’s silo building in Ipswich back into use. The old post office building will be brought back into use because of the money supported through the town deal If the Labour party was this new pro-business party, despite the fact that it was not long ago that many of you were going into a general election supporting a Communist to be Prime Minister—[Interruption. ] Of course, it was not long—[Interruption. ] Was he not? [Interruption. ] Was he not? But, of course, I forget—“under new management”. I do not believe that the Labour party can credibly claim to be the party of business, but why is it that you pour scorn on the town deal, which is providing over £3 billion—
ParlaMint-GB_2021-10-19-commons.u383	Order. Can the hon. Gentleman please stop making it so personal? He keeps saying “you” and he knows he must not do that.
ParlaMint-GB_2021-10-19-commons.u384	Over £3 billion has been provided through the town deal programme—something that I believe all hon. Members should welcome. This is vital support, but time and time again, scorn has been poured on it and I think that is regrettable, because I would have thought that the town deal is something that we can all get behind and look at all the different ways that it supports local business I would like to talk about crime and antisocial behaviour, which is something that I think must be tackled if we are to support businesses on our high streets as they recover from the covid pandemic. I mention this with respect to both the night-time economy and the fact that, time and time again, I come across and am contacted by businesses in Ipswich who are victims of persistent crime, including shoplifting and everything else. This is a blight on their existence, so we need to have, in my view, a zero-tolerance approach to this kind of, as some people might call it, “low-level antisocial behaviour and crime”, but there is nothing “low-level” about something that happens week after week and seriously affects your ability to operate as a business. We need to have that zero-tolerance approach We are getting 20,000 extra police officers, but I would like to see a review of the national police funding formula. In Suffolk, we are getting between 50 and 60 new police officers, but, if we were funded fairly, it would probably be closer to 100. We need to look at that and at the night-time economy, because we do have a problem in Ipswich with crime. We also have a problem with drugs—drug-dealing and drug-taking—in the town centre, particularly on a Friday and Saturday night. The concern that I have is that you do not have that positive police presence and positivity, so negative influence can come into the town centre. Tackling crime and antisocial behaviour in our town centres must be part of supporting businesses as they recover from the covid pandemic. I support the opportunity to debate this, and I agree with many hon. Friends that business rates should be looked at. We should strive for a level playing field, and we are so far away from having that level playing field. We see businesses that are rooted in our constituencies, and could not be more local and more important to the functioning of our local communities, unable to co-operate I think we should strive for a situation in which our town centres continue to be key retail centres. There may be some that are more residential, but we should not give up on a significant component of town centres and city centres being retail. For that to happen, we need a serious look at business rates. I was pleased to see that beer duty may also be looked at, which would be vital to the hospitality sector in Ipswich I do think that there needs to be less churlishness, because the Government have provided unprecedented support for businesses throughout the pandemic. Over £400 billion has been spent—£7.6 million in Ipswich alone has been spent on restart grants and furlough—so we need to have that debate. There needs to be an appreciation that at some point there will have to be a reckoning when it comes to public finances It is one thing to say, whenever there is a spending commitment or a debate about spending money, that we will always agree to it, but we cannot at the same time vote against the move to withdraw restrictions, which at least gave businesses in my constituency an opportunity over the summer to breathe and recover from the trauma that they have experienced throughout the pandemic. There are challenges ahead when it comes to covid, but I think it was right to allow businesses to recover in the summer period.
ParlaMint-GB_2021-10-19-commons.u385	I am extremely glad that the shadow Chancellor moved the motion before the House, because the support of our small businesses has to be one of the principal priorities of the Government at this time. I know that enormous challenges are crowding in from every side as we continue to tackle the covid crisis while dealing with fuel price rises, supply chain shortages, NHS backlogs and the work to decarbonise our economy, but a thriving economy built on private enterprise will do more to help us to solve all those problems than anything else, so it is imperative that the Chancellor does all he can to support and promote small businesses over the next few months Given its well-publicised proximity to Heathrow airport, my constituency plays host to many companies in the travel sector. I am particularly concerned about the future of the sector. Despite announcements in recent weeks, there are still considerable restrictions on people’s ability to travel that continue to limit the opportunities for trading in the sector, not least with continued uncertainty about the sector’s prospects as covid cases continue to soar The travel sector underpins so many other aspects of the UK economy, both in attracting visitors to our cultural and hospitality sectors and in enabling us to seek out new markets elsewhere, so it must be a strategic priority for the Government to provide it with support. Travel industries will not thrive after the end of the pandemic if they do not receive assistance now. I call on the Government to extend furlough to all the sectors that are still trying to operate under restrictions, but particularly to the travel sector. They also need to redesign the furlough scheme to enable companies to use it to part-pay their employees. When I spoke to travel companies at a surgery in my constituency recently, they highlighted that at the moment they have enough trade to pay their previously full-time employees to come in for two or three days a week to man the phones, take bookings and research options. They would love to have furlough to be able to pay them for the remainder of their time, just to keep going while there are still so many restrictions and so much uncertainty. Furlough was conceived as an all-or-nothing system, but it really needs to change in order to continue to support businesses that are still affected as we come out of the pandemic The retail and hospitality sectors were badly hit by the pandemic. Many are now struggling to reopen fully, thanks to supply chain and labour market issues. The Government need to look again at their immigration policies and think about how they can be better designed to support our key high street industries as we emerge from the pandemic. More than that, they need to complete their promised review of business rates and think again about how they are levied on town centre businesses There has been a lot of discussion this afternoon about what might take the place of business rates—I think that there was some freelancing from some hon. Gentlemen on the Tory Back Benches about what might replace them. They are no longer in their place, which is a shame; I was very interested to hear about their suggestions to increase VAT, although I think I am right in saying that the Conservatives committed in their 2019 manifesto to not doing so.
ParlaMint-GB_2021-10-19-commons.u386	I fear that I may have anticipated the hon. Lady’s next line, but how much faith can we place in a Conservative manifesto promise not to increase tax these days?
ParlaMint-GB_2021-10-19-commons.u387	The hon. Gentleman has indeed anticipated exactly what I was about to say, which is that, given that in their 2019 manifesto the Conservatives committed themselves to not raising VAT, we can surely expect it to be raised at some point before the end of this Parliament. Nevertheless, if the Government are not sure how to proceed on business rates, I can give the hon. Gentleman a fully fleshed-out policy from the Liberal Democrats. We believe that a commercial landowner levy would be a much fairer way of raising local revenue, by taxing landowners rather than business owners. We urge the Government to consider that option Small businesses provide about three fifths of the employment in the private sector, and it is vital that those jobs are supported. The Government’s recent announcement of a rise in national insurance payments will deter small businesses from creating the new jobs that are so badly needed and limit the expansion of companies seeking to offer new products and services, including those that offer the innovation we need for the green economy. The Government should limit the impact of this rise on the small business sector by quadrupling the employment allowance from £4,000 to £16,000. That would enable a small business to employ five full-time workers on the median UK salary without paying any national insurance contributions, and would incentivise and support new businesses as we make the transition towards a net zero carbon economy The UK faces a troubling few months. Covid is not over yet, and a return to normal patterns of life seems likely to be substantially delayed. However, problems create opportunities, and we need to help our entrepreneurs to find solutions and bring them to the people who need them. Small businesses support communities, provide employment and deliver a good society, and the Government need to support them for everyone’s benefit.
ParlaMint-GB_2021-10-19-commons.u388	It is a pleasure to speak in the debate I am blessed in having a great many small businesses in Wantage and Didcot, from those that create medical devices and vaccines to those that clear debris from space. I have more pubs in my constituency than all but seven other Members. I have high-quality farms—and we must not forget that our farms are businesses too. In fact, I have a huge range of businesses, including the Great British Mead Company. I do not know how many superhero film fans there are in the House, but while there may not be many similarities between me and Chris Hemsworth’s Thor character, being able to drink mead—thanks to the Great British Mead Company —is my one claim to similarity I have just issued to my constituents a leaflet reporting on what I have been doing. I have visited more than 300 organisations since I was elected, many of them businesses and many of them on the high street. I have to say to Opposition Members that, time and again, when I visit business people on the high street, they say, “I think the Government have done a really good job in supporting us. ” Sometimes they preface that by saying, “I am not a Conservative voter. ” The gratitude is real, and I suspect that Opposition Members have heard it when they have gone around their own constituencies—although I do not expect them to acknowledge that here—because the support has been phenomenal. As has already been mentioned, it has amounted to more than £400 billion. People generally think of furlough and the grant scheme, but there is also the money that has gone into the towns fund, the increase in employment support, and the money invested in the start-up loan scheme It is true that businesses have had differing experiences of the pandemic, with some doing better than others. It has already been pointed out that businesses in the travel sector have had a particularly difficult time. There are pubs whose regulars have still not come back. However, there are signs of optimism and steps in the right direction for all these sectors It is an interesting feature of this debate that the one thing on which we all seem to agree is that the present business rates system is not what it should be and needs to be reformed. That is precisely why the Government are conducting a review of it. The interim report has already given us an indication of what people have been saying about business rates, which is sometimes that they are too high, sometimes that there is too much admin, and sometimes that the reliefs do not seem to be targeted exactly as they should be. There is also the issue of online competition. I am as keen as anybody to see the playing field levelled with companies such as Amazon, but it is not just Amazon that does online sales. There are often very small businesses that do not have the cost of buildings and that might be competing on a slightly unlevel playing field with businesses on our high streets, so we need a system that is not just about whacking Amazon As Labour’s motion says, we have six months left of the current review. We are not making a decision this month, and the Government will bring out their proposals. Thanks to the action they have taken in this period, unemployment is lower than expected and GDP is higher. I have every confidence that in the coming months the Government will take whatever action is needed, including on business rates, because they have shown in the past 18 months that people’s jobs and people’s businesses, as well as people’s health, are right at the centre of their decision making.
ParlaMint-GB_2021-10-19-commons.u389	I am grateful for the opportunity to speak in this debate today on behalf of my small business owners in Pontypridd and Taff Ely. Seeing people returning to our high streets and seeing local shops, restaurants and pubs reopening over the summer to crowds of grateful customers was a blessed relief for business owners and consumers, and I know that it is not just high streets across Pontypridd and Taff Ely that have benefited from an economic boost over the summer. Despite the cautious return to normality taken by the Welsh Labour Government, it has been an extremely difficult few years for businesses across all our constituencies. Much of the hospitality sector had to close due to covid-19 restrictions and other businesses struggled to cope with staff illness, social distancing requirements and, particularly in recent months, the challenges posed by supply chain delays due to Brexit I recognise that the Treasury’s support packages such as furlough and the self-employed income support scheme offered significant support to businesses across the UK, but far too many businesses and individuals still did not get the support they needed from the UK Government. They were completely excluded. I would like to draw the House’s attention to the report out today by UK Music, which shows that 69,000 jobs in the music industry were lost as a result of the pandemic, which is almost a third of the workforce. Shame on this Government for failing to step up and support our creative industries In my own constituency, people have lost their jobs and livelihoods due to redundancies at GE Aviation and British Airways, and fantastic local businesses in the travel industry such as Ferris Coach Holidays and Edwards Coaches have struggled without any access to tailored support for their sectors. Thankfully, we are seeing brave new businesses in Pontypridd and across Taff Ely opening their doors, including the No. 12 bar, Storyville Books and the Gatto Lounge on our local high streets, but new businesses and those that are more established are still facing massive challenges, especially as they still struggle to recover from the impact of the pandemic. With more and more businesses being undercut by online giants such as Amazon, it is no wonder that small independent businesses are feeling the strain. Small businesses such as those really enrich our local communities, and without them, I fear that more and more high streets will look identical, regardless of where in the UK they are. Many businesses are also facing the double challenge of increases in the cost of living, from rising energy bills and petrol costs, and increased shortages and supply chain issues. Reducing business rates would be an excellent way to support businesses large and small through what many are anticipating will be a difficult few years. As my hon. Friend the Member for Leeds West (Rachel Reeves) mentioned, our Labour Government in Wales have led the way on support for businesses throughout the coronavirus pandemic. The relief package announced by the Welsh Labour Government in March 2021 extended the rates holiday for businesses with rateable values of up to £500,000 in the retail, leisure and hospitality sectors in Wales for the financial year 2021-22. In conjunction with the small business rate relief scheme, this has meant that more than 70,000 businesses across Wales have continued to pay no rates at all in 2021-22. But with the end to rates relief across the UK coming up in March, and without funding from the UK Government through the Barnett consequential formula, the Welsh Government simply will not be able to support local businesses in the way they want to next year I urge the Minister to think now about the steps he can take to support high streets across the UK, and not just in England. This Government talk a good game about the Union, but when it comes down to it, time and again the devolved Administrations in Wales, Scotland and Northern Ireland are nothing but a distant second thought. I would therefore be grateful if the Minister could update the House on his most recent discussions about support for our high streets with his counterparts in the Welsh Government. Ultimately, it is vital that businesses in Wales are supported through the challenges of the winter and throughout what is likely to be an extended period as we recover from the pandemic. They must not be left behind.
ParlaMint-GB_2021-10-19-commons.u390	I am pleased that the Opposition have chosen to debate this vital topic, as it is obvious that there are real problems facing our high streets and real challenges facing our businesses across the country. These familiar problems have been greatly exacerbated by the lockdowns over the past year and a half and by competition from online sales, which was the dominant challenge before covid, and by the changes in the way we live, work, shop and socialise These changes are also a potential salvation for some of our places and towns. The shadow Chancellor talked about the need for fresh ideas, and she is absolutely right. There have been real innovations in the way our towns look and in the way our businesses work. New technology is making viable again places that were left behind by economic changes over hundreds of years The market town of Devizes is the jewel of Wiltshire and the gateway to the south-west, and one of medieval England’s premier places, but it has not been the same since about 1830 because of industrialisation and the flow of labour to the towns and economic centres. Devizes is becoming an economic hub and a viable financial centre once again, largely because of the internet. Largely thanks to digital, we also see an opportunity to prosper for places left behind by deindustrialisation over the past few generations. I am sorry that the hon. Member for Kingston upon Hull West and Hessle (Emma Hardy) is no longer here, because she made a tremendous speech. She sounded like one of us, talking about the glory of her place and the opportunity that has been created for young people in Hull in recent years, not just because of the wonderful place it is but because of the opportunities of connectivity from new investment in broadband and transport. That is what we need to think about when we think about places. I believe, as I think she does—and as I hope we all believe on the Conservative Benches—that people should not have to leave the place they love to have the life they want, but that does not mean there should not be opportunities to come and go and for information, ideas, goods and services to travel Connectivity is vital for our places, so I applaud what the Government are doing to increase access to broadband and particularly to increase access to rural transport. I hope Devizes will benefit from one of the new stations under the restoring your railway fund We also need more support to adapt, and I welcome everything the Government are doing, particularly through the Help to Grow scheme, the start-up loans scheme and the super deduction on capital investment, which are tremendous initiatives. The more than £3.5 billion of structural help being provided through the towns fund will spruce up 100 places with tens of millions of pounds of funding The community ownership fund to which we committed in the manifesto is now being introduced, and it will support what the hon. Lady talked about: pride of place and allowing communities to take ownership and support local businesses.
ParlaMint-GB_2021-10-19-commons.u391	It is great to hear my hon. Friend champion the idea of community, and he hits the nail on the head. For our high streets it is about creating a community of the future to which people come not only to shop and to do business but to socialise. That is how to make sure our high streets, like mine in Hinckley, are fit for the future.
ParlaMint-GB_2021-10-19-commons.u392	My hon. Friend is absolutely right. Of course we want a more diverse and plural high street; it does not need to be all retail. Residential should be part of the high street of the future, too, bringing footfall. He is right to highlight these institutions of belonging, civil society and places of gathering that enable people to come together and work together I applaud everything that is being done on spending, but I will say a word on tax. Of course business rates need reform, and there have been many helpful observations and contributions on that this evening. It is right that the Government have effected a reduction in business rates in recent years by raising the employment allowance, which is a significant tax cut for small businesses that I applaud, and it is right that we are reviewing the whole business rates system. I recognise the force of the argument for a digital sales tax and a global corporation tax, which are the right things to explore in the context of the new world of online retail, but I sound a note of caution and echo the point made by the Institute for Fiscal Studies that there is a point at which reducing business rates can actually be harmful. For finite resources such as land or space on the high street, reduced business rates can simply lead to rent increases, as we have seen. So we need to think about a reform that will not simply lead to benefits to landlords, with these not feeding into benefits for those businesses and with increasing inequality, without benefiting the Exchequer. That is not to mention the obvious need to compensate for this reduction in or abolition of business rates, as proposed by the Labour party, which has not yet explained how it would plug that enormous fiscal hole.
ParlaMint-GB_2021-10-19-commons.u393	Does my hon. Friend agree that there is the potential for a three-level look at this, as we have the high street, out-of-town shopping and online businesses? There are three different categories. My constituency has out-of-town shopping centres that are doing very well, thank you, but the high streets are in a very difficult place. To go back to his earlier point, may I remind him that the hope that railway stations—whether Devizes or Ferryhill—can give to local communities in developing—
ParlaMint-GB_2021-10-19-commons.u394	Order. The hon. Gentleman has only just arrived and making a long intervention, having only just got here, is just taking up the time of others.
ParlaMint-GB_2021-10-19-commons.u395	I thank my hon. Friend for the intervention and he is absolutely right in what he says. Of course, the challenge is to get a flexible system that recognises the diversity of our business system, which is why an overall review of business rates is better than some blanket abolition.
ParlaMint-GB_2021-10-19-commons.u396	It is a pleasure to follow the hon. Member for Devizes (Danny Kruger). I am grateful for the opportunity to speak this afternoon and I want to start by paying tribute to our small businesses across this country, first and foremost those in my constituency, which encompasses the town of Reading, its suburbs of Caversham and Emmer Green, and the separate town of Woodley, all of which have a thriving small business community covering many sectors. People from across the country are probably familiar with the strength of the tech industry in our part of the south-east of England, but, as was mentioned by the hon. Member for Wantage (David Johnston), whose constituency includes Didcot, we share with colleagues in south Oxfordshire a number of other vibrant sectors. We have a strong local university, a strong record on entrepreneurship, the growth of many SMEs and a growing population, with many people relocating to the Reading area, which we welcome. We are a diverse and tolerant community that welcomes people coming in. That is a great strength and small businesses are a great strength of this country, and I want to pay tribute to the shadow Chancellor for her speech today on the importance of supporting small businesses in Labour policy and in that of any political party, just as it should be. I hope the Government listen today to the excellent points that have been made all round about the need to end the current business rates regime and to move on to something much more sensible and appropriate. Thoughtful comments have been made by Members from across the House on that point However, at this time, it is fair to say that, despite the thriving nature of many small businesses across this country and in my area, SMEs face some serious challenges. The pressures and difficulties of the current business rates regime are one part of that, but there are many others. It is fair to say, without being overly partisan, that the Government could learn a lot as they look back at the pandemic and at a series of other policy choices they have made in recent times. In my experience, SMEs have suffered enormously in the pandemic. Like many Members from across the House, I have worked hard to try to support them. That support needs to be continued at this time, as we come out of the great difficulties we have had recently There are many other problems, some of them self-inflicted, such as the current supply chain crisis, which is obviously linked to the Government’s Brexit deal, and the national insurance rise, which is a tax on jobs, which nobody in their right mind would recommend as an obvious choice. Other challenges include the sudden economic shock of the move away from physical retail, and I want to discuss that later in my brief remarks. There are many other pressures on SMEs, and we need to look at those and think about how we can address them There are great strengths to build on. I am not quite going to be able to rival my hon. Friend the Member for Kingston upon Hull West and Hessle (Emma Hardy) in addressing the scale of the benefits of my town, but I will do my best in the few brief moments available. Reading is a booming medium-sized town, with a wonderful town centre and great history. It is an historic market town that goes back to Saxon times, as many people know. It has some wonderful buildings, more conservation areas than many towns of its size and many Georgian buildings. It was where Jane Austen went to school. It has the ruins of a wonderful abbey, which was once one of the biggest in the country. All of those are reasons to locate a small business in Reading, which has a pleasant working environment, history, culture, a fast train and excellent connections to London; the hon. Member for Devizes mentioned the importance of infrastructure to small businesses. We have a lot to build on; however, in my experience many small businesses in my constituency and, I believe, throughout the country are held back by issues such as the current business rates regime Let me mention a few other issues that hold back small businesses. There is a real need to look again at the national insurance increase. It is not the right time to do it. There must be other ways for those with the broadest shoulders to pay their fair share for necessary extra health and social care spending Education catch-up for young people who have been left behind because of the pandemic is a huge issue. There is a real economic link between that and the success of small businesses, as many young people are employed in SMEs in my area and, I am sure, throughout the country. I hope that the Government will do a lot more on the catch-up funding, which should be far more than something like £1 a day. The US and the Netherlands are spending more than £1,000 per pupil, with much more generous catch-up programmes, and Labour has pledged £14.7 billion for a much bigger scheme SMEs play a vital role in our economy and are contributing hugely in my area. There is great scope to build on and develop our historic town centres and to attract more replacement employment as retail contracts a bit. However, in my experience SMEs are held back by business rates. We need to scrap the current system and look at this issue again, and I urge the Government to do that.
