ParlaMint-GB_2021-07-13-commons.u1	When he plans to bring forward proposals on social care reform.
ParlaMint-GB_2021-07-13-commons.u421	EVEL was a genuine attempt in good faith to answer the long-lasting West Lothian question on the asymmetric nature of devolution. However, EVEL is a cumbersome and ineffective constitutional innovation that has won few friends in its short life. Its abolition would simplify our procedures and remove a source of resentment. It would reaffirm the fundamental constitutional principle that we are one United Kingdom with a sovereign Parliament comprising Members elected on an equal basis, representing every community in the land and able to make laws for the whole kingdom. It would be the Unionist act of a Unionist Government EVEL has introduced a layer of complex and time-consuming bureaucracy into the legislative process. It has also, as we have heard, given our nationalist opponents a pretext to degenerate the UK Parliament. Worse still, as the procedure is set out only in Standing Orders, it would provide no meaningful protection in a hypothetical situation in which a UK Government lack a majority of English MPs My right hon. Friend the Prime Minister is the first Prime Minister to be Minister for the Union. He is abolishing EVEL on Unionist grounds. The principle underlying his decision to become Minister for the Union and underlying that this Government’s whole approach to the Union matters is that this Government are for the whole United Kingdom, accountable to a Parliament representing the whole United Kingdom. This is a qualitative difference that separates the UK Parliament and the UK Government from the devolved legislatures and Administrations. On this basis, the Government have a constitutional and democratic mandate to serve the whole UK, as they do in the exercise of reserved responsibilities and through measures such as the UK Internal Market Act.
ParlaMint-GB_2021-07-13-commons.u422	I am following the hon. Member’s argument as closely as I can, and it seems to be that he is arguing that the Government brought in EVEL to strengthen the Union and now are scrapping EVEL also to strengthen the Union. Does he realise that this just makes it look like his Government are clueless, directionless and, when it comes to the constitution, simply making it up as they go along?
ParlaMint-GB_2021-07-13-commons.u423	I do not accept the hon. Member’s analysis. The introduction of EVEL was an attempt to answer the West Lothian question, which many people have struggled with for many years. But listening to the hon. Member for Perth and North Perthshire (Pete Wishart), it is very clear that he loves this place so much and wants to participate. I sometimes wonder whether he really does want independence for Scotland, given his great love of taking part in parliamentary activity here at Westminster The existence of a parliamentary procedure that separates English or English and Welsh MPs from Scottish and Northern Irish MPs offends this core principle of acting for the whole of the United Kingdom. As we have heard, it allows our nationalist opponents to misrepresent the treatment of Scottish MPs at Westminster as second class. In the very short time available to me, let me say that, however well intentioned, the severe limitations of the EVEL procedure are now very apparent for us all to see, and retaining it would serve no practical use whatsoever. The time has come to put it out of its misery.
ParlaMint-GB_2021-07-13-commons.u424	It is a pleasure to follow the hon. Member for Berwickshire, Roxburgh and Selkirk (John Lamont), a fellow member of the Scottish Affairs Committee, as well as, before him, the Chair, the hon. Member for Perth and North Perthshire (Pete Wishart) During the independence referendum in Scotland in 2014, I was not a member and indeed had never been a member of any political party. I would describe myself as a typical no voter in that referendum—which was in many ways a great demonstration of engagement with the democratic processes, but in other ways a divisive debate that pitted family, friends and colleagues against one another—in that I kept my views to myself. Would I had continued in that vein, some might say. If that sounds familiar in relation to the subsequent Brexit referendum, too, that is partly because a referendum—popular democracy—is on the surface an easy way to resolve a complex issue. But when it comes into conflict with our system of parliamentary democracy, as it clearly did post both votes, the shortcomings of such an approach become clear, and that has been the issue with English votes for English laws As I sat, on 19 September 2014, watching the then Prime Minister, David Cameron, snatch defeat from the jaws of victory by pivoting immediately to plan to introduce EVEL without acknowledging the need to properly reflect on how the UK had evolved and developed in advance of its parliamentary systems, it was easy to see—even for me, as a layperson then—that this was the wrong approach. Telling Scots, regardless of their vote in the independence referendum, that the first steps of their Prime Minister was to prevent their representatives in this place from participating fully and telling those in other devolved nations that their voices would also be neutered, was giving the SNP and others an ongoing grievance publicity point at every single vote It is important to remember that, when we talk about a four nations approach, as we often do in this place—for me in all seriousness, for others perhaps less so—we are talking about Scotland, Wales, Northern Ireland and the UK. It is right that those in England query how their views are best represented, and an increased prominence of regional Mayors during the pandemic perhaps suggests that the English are finally waking up to the democratic deficit that they experience. But creating a two-tier system in this place, where MPs held a mandate at 6 pm and had it withdrawn at the next vote at 8 pm, was never the answer. It certainly did not sound like all votes or constituents counted equally Where I agree with the hon. Member for Perth and North Perthshire and his party is that the systems here are broken and need to change. Where we disagree is that the answer to this broken system is to break away completely, causing economic and cultural damage to these islands—it is salt and vinegar. EVEL has been suspended now for an extended period of time and, frankly, no one has noticed because it has never been needed to offset the scenario for which it was put in place, because that scenario has never arisen. I hope that this is the first step by the Government to recognise political reality on these islands, but, frankly, I hae ma doots.
ParlaMint-GB_2021-07-13-commons.u425	England deserves better, and England expects better. It is a sad occasion that this Government should wish to dismiss the only modest devolution ever offered to England, with nothing to put in its place. They leave instead Labour’s lopsided and unfair devolution, a devolution proposed and forced through a previous Parliament, on a large majority, by a Labour party that said it would settle the constitution and unite the country behind the Union once and for all. It did nothing of the sort Surely this Government can now see that if they carry on, as Labour did, appeasing the forces that would pull the Union asunder, they will not bring the Union together but give those forces greater strength and a better platform. Instead of Scottish electors welcoming their devolved powers and deciding to continue in the traditional mould of two United Kingdom parties contesting power, they chose a party that wishes to pull the Union apart. Some of them chose that party because they thought the Government would give in to it, and so get a better deal for Scotland; and some of them chose that party because they genuinely wanted to pull the Union apart, although they were, of course, in a minority The Government and I treasure our United Kingdom. We wish this Union to work for everyone, but it has to be a fair Union and it will not be held together better by appeasing the SNP or by appeasing the EU over Northern Ireland, when we above all in this House should be speaking up for all the millions of Unionists in Scotland and Northern Ireland, and throughout England and Wales, who expect better and expect fairness One of the crucial values that our United Kingdom shares is that idea of fairness. How is it fair to have these totally different categories of MP, with different powers, different responsibilities and different opportunities to influence how they are governed in their parts of the United Kingdom? Why is it that England, the home of many more millions of Unionists and more loyal to our country than anyone else in our Union, is the one part of the Union that gets no justice and no fairness from this Government or their predecessors Labour introduced policies that sought to break the Union in the name of keeping the Union. I want this Government to mend the Union, and that means standing behind all those people throughout the United Kingdom who believe in the Union, and to stop appeasing those who would pull it apart.
ParlaMint-GB_2021-07-13-commons.u426	I know the Leader of the House is enjoying delivering us from EVEL but, yet again, we have another debate and another attempt by the Government to disavow the work of their predecessors. This afternoon the 0.7% aid target was unceremoniously dumped, and now this evening another element of David Cameron’s legacy is overthrown What was it about the EVEL Standing Orders proposed by David Cameron, introduced by Chris Grayling and overseen by John Bercow that made the Johnson regime so keen to get rid of them, I wonder? As my hon. Friend the Member for Gordon (Richard Thomson) said, they were introduced to strengthen the Union and they are now being abolished to strengthen the Union. We have Schrödinger’s Standing Orders, strengthening the Union by existing and not existing at the same time, although the Union does not feel desperately strong to me right now Maybe it is more like the Schleswig-Holstein question: anyone who understood EVEL has either died, gone mad or forgotten what it was all about, although there were a few folk around here who had a sense of how it worked. We should recognise that and express our thanks to them for their support in navigating the system: Sir David Natzler, Sir Roy Stone, Ian Davis and many of the Clerks who supported the team of Deputy Speakers as they convened and unconvened the Legislative Grand Committee—not that any of them, least of all you, Madam Deputy Speaker, are dead, mad or forgetful, I hasten to add There is also Daniel Gover and the team at the Constitution Unit who literally wrote the book, or at least several scholarly articles, on EVEL. Maybe they will now get to write the history book, too. My hon. Friend the Member for Perth and North Perthshire (Pete Wishart)—my right hon. Friend, as he should be—is going down extremely well with his many fans in Scotland’s online community with his contributions to the English Parliament Tonight, Scottish MPs and all their constituents will rest easy in their beds, in the knowledge that never again will their right to debate and vote on matters affecting Kew gardens, the Non-Domestic Rating (Nursery Grounds) Bill or the Neighbourhood Planning Bill be denied. On all those issues and more, parity of esteem has been restored between Tory MPs from Scotland and their colleagues from the red wall in the north of England—but of course in the SNP we have already exercised a self-denying ordinance on such issues anyway. We did so tonight with the covid regulations, and that was kind of the point: it should be up to us to decide what is relevant to our constituents, not a process, procedure or rule invented by the Government What is more insidious and more dangerous is that we might be losing English votes for English laws, but we are increasingly experiencing Tory votes for Scottish laws. Perhaps the Government are abolishing legislative consent motions in the English Parliament because they so routinely ignore legislative consent motions from the Scottish Parliament and the Senedd Cymru. I say to hon. Members on the Government Benches: don’t think we can’t see what you’re up to As my hon. Friend the Member for Perth and North Perthshire has said, we have an answer to the West Lothian question and we will be happy to put that proposition to the people of Scotland as soon as the opportunity allows. The answer is independence—and it is coming down the road.
ParlaMint-GB_2021-07-13-commons.u427	In the 1990s, the status of England had not figured sufficiently in the world view of the Labour architects of devolution. “Home Rule all round” had been proposed in the 19th century. Indeed, it had appeared in the Labour party’s policy for the 1918 election. In 1997, however, England was overlooked—it was excluded from consideration. It was all too complicated That devolution settlement has proved unstable. It was a fix, not a solution. English votes for English laws was an attempt to address this basic flaw in the post-devolution Union, but it too was a fix, not a solution. I think that EVEL was more of a symbolic concession to those Members who were constantly intruding English questions into devolution debates, and I do not think that it has ever delivered a meaningful voice for English voters, so I have some sympathy with the current proposal One advantage of EVEL, however, was that where it applied it gave an authoritative answer to the perennial question of some Welsh MPs: is this matter devolved, and is it Barnettable? EVEL told us. Now, as a consequence of this Government’s recent, more explicitly hostile stance on devolution and the lawmaking powers of the Welsh Government, a further question has arisen: what consequential effects might Westminster’s legislation have on Welsh law and Welsh Government policy My request to the UK Government Front Bench is not just that they reconsider the failed EVEL procedure—not just fix the fix—but that there be clarity as to what is devolved. Barnett has long been bust. In the medium term, we need a proper statutory duty on Westminster to seek devolved Government consent when introducing a Bill that might affect the laws or policies of the Welsh Government Abolishing EVEL will not address the growing problem of accommodating people in England within a post-devolution United Kingdom. Even the reforms that I have outlined very briefly would only place an additional check on what is a flawed system. What we really need is independence for Wales—and no more fixes.
ParlaMint-GB_2021-07-13-commons.u428	I am coming to you from glorious isolation, Madam Deputy Speaker. Tonight, time and again, we have heard the Scottish National party’s representatives conflate their party and its MPs with the nation of Scotland. I think it is quite clear that the SNP is not Scotland As my right hon. Friend the Leader of the House said, if the West Lothian question has an answer, EVEL is not it. In my opinion, English votes for English laws is the most ill-conceived, wrong-headed and damaging measure ever passed by any Government in modern times—well, possibly it comes a close second to the Fixed-term Parliaments Act 2011. I am grateful for the opportunity to outline why Devolution is often described as something that is new—as something that we are grappling with that has created an imbalance in how the UK is governed that has to be addressed. We have heard that repeated often, including today, but it is nonsense. Devolution has existed in the modern United Kingdom for more years than it has not existed. During this time, non-white boxers were barred from competing for a British boxing title. It seems impossible to believe it today, and it means that so many talented boxers were denied the right to compete for British titles purely due to the colour of their skin. Thankfully, progress was made with the lifting of that ban, and great strides have also been taken in other aspects of diversity through the nurturing of female boxing talent. I am sure that hon. Members will recall, as I do, their great pride in the first woman to win an Olympic boxing medal being our own Nicola Adams, back in London in 2012. Northern Ireland had a devolved Parliament from 1922 to 1972 and in that time no steps were taken to deprive Northern Irish MPs of their right to vote on areas that were seen to be devolved, even when those MPs deprived Labour of working majorities. And why? In the words of the then Conservative shadow Home Secretary Peter Thorneycroft, “every Member of the House of Commons is equal with every other Member of the House of Commons” Peter Thorneycroft and my right hon. Friend the Leader of the House are right, but I have heard the heartfelt arguments from my right hon. Friend the Member for Wokingham (John Redwood) that the actions today are appeasing the separatists. I understand exactly where he comes from—he is a proud and passionate English MP —but I fundamentally disagree with him. In this Parliament, our sovereign Parliament of the United Kingdom in which we are all privileged to serve, we representatives, drawn from across the whole of our United Kingdom, are equal and should be entitled to vote on every piece of legislation and at every stage of the passage of that legislation placed in front of us. As a Scot and a Unionist, I found it frankly offensive to be informed that I could not vote at certain stages of Bills on education or health, for example. As a Unionist, I care just as much about the welfare, health and education of people in Aldershot as I do about the people in Aberdeen. I have heard the arguments that EVEL does not prevent any MP from voting on a Bill before this House but only gives English Members the ability to veto certain legislation. We have already heard this evening that that is not true and in fact causes even greater issues As my right hon. Friend the Leader of the House said, there is no such thing as English-only laws thanks to Barnett consequentials. Almost every single measure debated and voted on has financial implications for areas that appear on the surface to be wholly devolved. Therefore, EVEL is bad law. It does not work and it causes more problems than it solves. Let us have more devolution in England. It exists already through our regions and localities, but let us not divide even further down national lines. We are a proudly Unionist party and by repealing EVEL tonight, we are demonstrating that to the whole United Kingdom.
ParlaMint-GB_2021-07-13-commons.u429	It is a pleasure to follow my hon. Friend the Member for West Aberdeenshire and Kincardine (Andrew Bowie) I speak in support of the motion. I acknowledge the good intentions behind the creation of EVEL and I recognise, too, the anxieties of some of my English colleagues. However, EVEL was born out of an imperfect devolved settlement, or, as my right hon. Friend the Member for Wokingham (John Redwood) called it, a lopsided settlement. Of course, no settlement is ever perfect, but it was conceived at least in part in an attempt to balance inequities that arose for English voters as a result of the devolved settlement. As a corrective, however, EVEL did not address the root cause and could never therefore have been an enduring or satisfactory solution Parliament stands as the expression of the sovereignty of the British people. Therefore, it is not the appropriate vehicle for a particular form of devolution. EVEL diminishes the standing of non-English MPs and by extension, non-English Ministers. It also clouds the perception of our British Parliament, hinting at an English Parliament with non-English MPs strapped on. But that is something we are not Voters must know where the buck stops and who to approach for redress. Politicians must agree with one another about who is in charge, something we debate regularly here. A system without such clarity risks being pulled apart. I support the principle of subsidiarity, but standing here today I am clear that an effective and strengthened relationship between this Parliament and devolved and local Administrations, one which would address the worries of underrepresentation in Glasgow, Grimsby or Glanwydden, must be built on clarity and the clear premise that sovereignty lies with and flows from this Parliament For this country to thrive in perpetuity, we must never surrender the belief that there is a British people and that their voice is expressed here in this Parliament. We must never allow the principle of one Britain, one vote to be replaced by a precarious balancing act between competing nations. This is reason enough for me to support the motion today. English votes for English laws may have been for some, and for a time, a necessary EVEL, but today I hope its day is done.
ParlaMint-GB_2021-07-13-commons.u430	It is good to be one of only two representatives of middle England objecting to the proposals to abolish these Standing Orders. My 2011 private Member’s Bill, the Legislation (Territorial Extent) Bill, put pressure on the coalition Government to set up the commission that put forward the EVEL proposals, and I well remember the Lord President of the Council—in those days he was merely the Member for North East Somerset—making his speech. He is noted not only for being a great historian but now for being a seer and someone who can foretell the future, because he said that one day, a Government would be able to come in and simply abolish these Standing Orders. I very much regret that it is he who is doing it I think that we can all see the mood of the House this evening—we can all see that the motion is going to carry—but we must recognise that this was a pledge in the Conservative party manifesto in 2010 and 2015. It was a pledge that was there for a reason: because, at the time, our constituents were raising this on the doorstep as something they were very concerned about. A solution was put in place through the Standing Orders. As the Lord President said, it has not necessarily been needed in the interim, but it is not impossible to envisage a scenario in which its absence really would cause constitutional problems in this country. I regret very much that these Standing Orders are being abolished without a proposal for any kind of replacement to deal with that.
ParlaMint-GB_2021-07-13-commons.u431	I am grateful to the hon. and right hon. Members who have contributed to the debate—to my hon. Friend the Member for Berwickshire, Roxburgh and Selkirk (John Lamont), who called for EVEL to be put out of its misery; my hon. Friend the Member for West Aberdeenshire and Kincardine (Andrew Bowie), who reminded us that, for about 50 years, Northern Irish MPs had a vote in this House when they had a devolved settlement, without any complaint; and my hon. Friend the Member for Aberconwy (Robin Millar), who said that we needed clarity in our arrangements and should emphasise the sovereignty of Parliament, points with which I wholeheartedly concur I am also grateful to my right hon. Friend the Member for Wokingham (John Redwood) and my hon. Friend the Member for West Worcestershire (Harriett Baldwin). There are few people I listen to more closely than my right hon. Friend the Member for Wokingham. When he makes a point and raises concerns about the constitution, I think a wise Government listen, and some of the points he makes are extremely fair. Devolution was lopsided and the constitution has become unsettled, and it has had too many variations to it in recent decades that have not improved or enhanced the unity of the nation I do not agree with my right hon. Friend that removing EVEL is an attempt to appease the Scottish nationalists. I think, in fact, that it shows we have confidence in our Union Parliament. Perhaps I am most confident in returning status quos ante. That is to say, both by abolishing the Fixed-term Parliaments Act 2011 and by removing EVEL, we are trying to restore the beauty and the uniformity of our constitution so that it will work properly My hon. Friend the Member for West Worcestershire quite rightly reminded us of the debate in 2011. I also had an exchange with the hon. Member for Perth and North Perthshire (Pete Wishart) when these proposals were put forward in 2015, when I said that I was very strongly against any idea of a divided parity of MPs and supported the measure only because we could repeal it—which, Madam Deputy Speaker, we are doing Question put and agreed to. Ordered, That Standing Orders Nos. 83J to 83X (Certification according to territorial application etc) be rescinded and the following changes be made to Standing Orders: (1) in sub-paragraph (3)(b) of Standing Order No. 12 (House not to sit on certain Fridays), leave out “Consent Motions under Standing Order No. 83M (Consent Motions for certified England only or England and Wales only provisions) and of”; (2) in paragraph of Standing Order No. 39A (Voting by proxy), leave out “or in any legislative grand committee”; (3) in paragraph of Standing Order No. 51 (Ways and means motions), leave out “or, in the case of a motion to which Standing Order No. 83U applies, forthwith upon the announcement of the Speaker’s decision with respect to the motion under that standing order”; (4) in Standing Order No. 63 (Committal of bills not subject to a programme order) leave out paragraphs and (6); (5) in Standing Order No. 64 (Notices of amendments, &c., to bills), leave out “, of Consent Motions under Standing Order No. 83M (Consent Motions for certified England only or England and Wales only provisions)”; (6) in Standing Order No. 73 (Report of bills committed to public bill committees), leave out “or the Legislative Grand Committee (England)”; (7) in Standing Order No. 83A (Programme motions), in paragraph (9), leave out “up to and including”; (8) in Standing Order No. 83B (Programming committees), (a) in paragraph (1), leave out “or in legislative grand committee or on reconsideration or consequential consideration” and (b) in paragraph (5), leave out “or in legislative grand committee or on reconsideration or consequential consideration”; (9) in Standing Order No. 83C (Programming sub-committees), (a) in sub-paragraph (5)(e), leave out “up to and including”, (b) in sub-paragraph (12)(b), leave out “up to and including”, and (c) in sub-paragraph (14) leave out “up to and including”; (10) in Standing Order No. 83D (Programme orders: conclusion of proceedings in public bill committee or in committee of the whole House, etc.), (a) in the title, leave out “, etc.”, and (b) in paragraph (1), leave out “, in the Legislative Grand Committee (England) when exercising functions under Standing Order No. 83W(6)(a) (Legislative Grand Committees)”; (11) in Standing Order No. 83E (Programme orders: conclusion of proceedings on consideration up to and including third reading), (a) in the title for the words “and up to and including” substitute “or”, (b) in paragraph (1), leave out “up to and including”, and (c) leave out paragraph (5); (12) in Standing Order No. 83F (Programme orders: conclusion of proceedings on consideration of Lords amendments), leave out paragraphs to (11); (13) in Standing Order No. 83G (Programme orders: conclusion of proceedings on further messages from the Lords), (a) in paragraph (5), leave out “, subject to paragraphs (6) and (7),”, and (b) leave out paragraphs (6) to (9); (14) in Standing Order No. 83I (Programme orders: supplementary provisions), in paragraph (1), leave out “or in legislative grand committee”; and (15) in Standing Order No. 86 (Nomination of general committees) leave out sub-paragraph (2)(iv).
ParlaMint-GB_2021-07-13-commons.u432	I beg to move, That an humble Address be presented to Her Majesty, praying that Her Majesty will appoint Richard Lloyd OBE to the office of Chair of the Independent Parliamentary Standards Authority with effect from 1 September 2021 for the period ending on 31 August 2026 The Speaker’s Committee for the Independent Parliamentary Standards Authority has produced a report, its first report of 2021, in relation to this motion The chairman of IPSA is appointed under the Parliamentary Standards Act 2009, and candidates must be selected on merit, on the basis of fair and open competition. The name of any candidate must be approved by the Speaker’s Committee for IPSA In this regard, a recruitment process for a new chairman was initially launched in the spring of 2020. That was paused and then subsequently started afresh. As is normal for these appointments, Mr Speaker appointed a panel, who conducted the longlisting, shortlisting and interviewing of candidates. The panel was chaired by Philippa Helme CB. The other members of the panel were Michelle Barnes, an independent panel member; Cindy Butts, a lay member of the Speaker’s Committee for IPSA; and Sir David Crausby, former Member of Parliament for Bolton North East. The panel was asked to report to Mr Speaker with a list of candidates it considered suitable for appointment to the role. After carefully considering the panel’s report, Mr Speaker recommended Richard Lloyd to the Speaker’s Committee as his preferred candidate for the post. At its meeting on 15 June, the Speaker’s Committee agreed to Mr Speaker’s selection of Mr Lloyd Richard Lloyd is currently a member of the IPSA board and has been interim chairman since 2019. I must say that he has been very approachable and friendly to deal with in that role. He is also senior independent director at the Financial Conduct Authority, a council member of the Advertising Standards Authority, and vice-chairman and founding trustee of the Money and Mental Health Policy Institute. If the appointment is made, Richard Lloyd will serve as the chairman of IPSA for five years. I hope that the House will support this appointment and wish Mr Lloyd well in his important role. I commend the Humble Address to the House.
ParlaMint-GB_2021-07-13-commons.u433	I do not intend to detain the House for long. The Leader of the House has laid out the process that was followed and I have pleasure in confirming both that I have met the new chair and that the care and attention that the Leader of the House describes was paid towards the recruitment process. The panel reported fully to the Speaker’s Committee and we were able to scrutinise the decision properly I welcome Richard Lloyd to his post. I put on record my thanks to him for already being available to me and the willingness with which he has signalled that he is able to hear and consider concerns that I may raise on behalf of colleagues across this House. I am pleased that he seems to understand the concern raised by many Members and staff about the time that is sometimes taken on dealing with IPSA matters, which of course takes away from the time when they are able to serve our constituents, who expect us, rightly, to account for our costs but also to be able to focus on them. I look forward to working with him closely and I am happy to support the Humble Address.
ParlaMint-GB_2021-07-13-commons.u434	Scottish National party Members of course have no objection at all to this post being given to Richard Lloyd, who has served with distinction as interim chair of IPSA for the past few months. He has an abundant and very recognised career in the private sector and I am sure he will bring some of his skills to bear. As the Leader of the House correctly outlined, the recruitment process was gone through in the proper way. Richard Lloyd has been approachable when it comes to issues to do with IPSA and I hope that continues. There is a saying in this House, “Let’s not do an IPSA” when we are thinking about creating new institutions. The reputation of IPSA still has to be worked on, and I hope that the new chair will be able to take that forward. As regards the process and the appointment, we have absolutely no objections Question put and agreed to.
ParlaMint-GB_2021-07-13-commons.u435	With the leave of the House I will take motions 13 to 17 together Ordered, Education That Fleur Anderson be discharged from the Education Committee and Kate Osborne be added International Trade That Taiwo Owatemi be discharged from the International Trade Committee and Tony Lloyd be added Justice That Paula Barker be discharged from the Justice Committee and Kate Hollern be added Petitions That Chris Evans be discharged from the Petitions Committee and Christina Rees be added Public Accounts That Olivia Blake be discharged from the Committee of Public Accounts and Kate Osamor be added. —(Stuart Andrew, on behalf of the Committee of Selection. )
ParlaMint-GB_2021-07-13-commons.u436	Thank you, Madam Deputy Speaker, for granting this significant debate. It may seem that to talk about Randolph Turpin is to talk about a parochial sporting hero, but I hope to demonstrate just how much he helped to transform British sport Seventy years ago this week, Randolph Turpin took the world of boxing by storm as more than 18,000 spectators packed into Earls Court in London to witness the great—the legendary—Sugar Ray Robinson end his European tour. The scene was set for Turpin to show the world what he was made of. After a pummelling 15 rounds, Turpin triumphed. He was the world middleweight champion—the first British fighter to hold the title since Bob Fitzsimmons some 60 years earlier in 1891, and the first ever black British boxer do so More colloquially known as the Leamington Licker—a title that many in the constituency are proud to recall—the local Leamington lad shot to international fame overnight. But Turpin’s 1951 victory was not just a flash-in-the-pan event; his entire career was based on breaking records. He was the first and only man ever to win both the junior and senior British amateur boxing titles in one year, and his record stretched to a stunning 66 wins out of 75 fights. For some of that time, he boxed while serving in the Royal Navy at the end of the second world war Our knowledge of his achievements and their recognition owes much to the work of the Randolph Turpin Trust. I pay special thanks to its chair, Adrian Bush, whose dedicated work helped to lead to the erection of the statue of Randy that stands proudly in Warwick town centre. It took five long years to raise the money for the statue, and I commend the trust members for their perseverance. It was they who organised for proper recognition by those who understood his true achievement The fact that the statue was unveiled by some of boxing’s greats—including Our ’Enry, the late, great Sir Henry Cooper—and attended by Earnie Shavers, Richie Woodhall, Alan Minter, Neil Simpson and Danny McAlinden, tells us everything we need to know about Randy Turpin, a sporting legend among sporting legends. It is the only statue that stands in the centre of Warwick, which is why I believe this Chamber is a fitting place to remind ourselves of and recognise and continue to remember Randy’s legacy on the 70th anniversary of that momentous fight. I do not believe this country has fully appreciated what he or his brother achieved Behind every great sportsman is, of course, a dedicated, loving and supportive family, and Randy’s was no exception. Born in Leamington Spa in 1928, Randy was the youngest of five siblings. He was the son of Lionel Turpin, who came to these shores from what was then British Guiana to fight in the first world war.
ParlaMint-GB_2021-07-13-commons.u437	I congratulate the hon. Gentleman on bringing this debate to the House. Whenever anybody mentions the Somme, I am always reminded that it is a very special place for us in Northern Ireland. To know that Randy’s father fought at the Somme tells us a lot about the person he was and the person his father was as well. I want to say how pleased we are that the hon. Gentleman has brought this debate to the House to recognise not just Randy’s sporting heroics but the bravery of his dad at the Somme.
ParlaMint-GB_2021-07-13-commons.u438	Lionel was indeed courageous fighting in the battle of the Somme, but sadly he died some years later having sustained permanent damage to his lungs. Together with hundreds of others, he had been the victim of a gas attack. As is so often the case, his sacrifice is barely recognised, together with those of so many other nationals who served the British empire It was left to Randy’s mother Beatrice to raise him and his four siblings, taking on part-time domestic work to provide for them. Beatrice was the daughter of a former bare- knuckle fighter and was by all accounts a feisty woman who would tell her children to stand up for themselves when they were subjected to racial abuse Sporting success in the Turpin family did not stop at Randy; indeed, his elder brother Dick Turpin, the first black British and Commonwealth middleweight champion in 1948, paved the way for black Britons throughout the country to compete on the same stage as white Britons for the first time. If we accept that Randy and Dick broke the colour bar in the boxing arena—as it was described at that time—the current success of British boxing owes a lot to their work When I talk of the successes of British boxing, I only need to mention Anthony Joshua, Chris Eubank, Lennox Lewis and others. None of those great athletes would have had the chance to reach the heights they did were it not for Dick and Randy Turpin breaking through the glass ceiling of race.
ParlaMint-GB_2021-07-13-commons.u439	I thank my hon. Friend for bringing Randy’s history to Parliament. Does he agree that that history shows the need to have more funding for sporting activities for young people, so that we can get more diverse and more ethnic minority participation?
