ParlaMint-GB_2021-04-13-commons.u1	What progress his Department has made on improving the health service capital estate.
ParlaMint-GB_2021-04-13-commons.u342	This is a debate on this year’s Finance Bill.
ParlaMint-GB_2021-04-13-commons.u343	I urge the Government to think about learning the lessons of economic history in respect of the power of putting wider economic development zones and the encouragement that they bring alongside freeports. We all recognise that such zones need seedcorn grants from the Government; that could give the Government the opportunity to consider local recovery bonds. We have already seen the prospect of the green infrastructure bond; why do we not see some local recovery bonds to sit alongside that work and boost economic development zones? That would seem to me to be a perfectly sensible development The Chancellor is absolutely right to focus on infrastructure spending and investment. Infrastructure is not an end in itself—it is the driver of growth and productivity—so the policies coming through and the measures in the Bill to allow the increase in transport spending and in departmental spending limits are welcome. I also welcome the establishment of the UK infrastructure bank. It is the private sector that will drive the investment that is necessary As I said a moment ago, the green gilt is welcome, but just as I urge the Government to think about local recovery bonds, I urge them to think about an infrastructure bond. As many will know, there is a consultation on the capital cap for pension funds; if that change is combined with an infrastructure bond, we could see a wealth of pension funds looking to invest in the UK’s economic recovery Finally, the jewel in our crown is undoubtedly financial services. A few moments ago my hon. Friend the Member for Thirsk and Malton (Kevin Hollinrake) talked about the need for mutual banking and to encourage small banks. I urge the Government to think about a review of the regulation of financial services and banking to ensure that the regulation with regard to conduct and capital is competitive and appropriate. That will drive not only those sectors but the investment that will sustain the economic recovery that everyone in this House seeks.
ParlaMint-GB_2021-04-13-commons.u344	This Bill is a catalogue of hard choices unconfronted, challenges ducked and emergency measures to deal with the pandemic used as a fig leaf for the failure to face up to long-term challenges We have heard a great deal in recent months about the Government’s approach to public procurement—how personal friends of Ministers get to jump the queue when contracts are being handed out. We have heard a great deal in the past few days about how friends of the former Prime Minister get preferential access to Treasury officials to make the case for financial support In keeping with that theme, the Chancellor presented a Budget for selected beneficiaries. Carefully handpicked groups are going to do well, but it was clearly not a Budget for the nation as a whole. We could have had, for example, a bold move on business rates. Real reform in this area to level the playing field between high street and digital retail has been long overdue. I was delighted to see retail and hospitality reopen across my constituency yesterday and I hope that predictions of a retail boom, funded by savings built up during the pandemic, will materialise to the benefit of our small businesses, but consumer behaviour is changing and that change has been accelerated by the pandemic. What is the long-term future for our town centres? How will our communities thrive without the retail businesses that traditionally provide the heart of our towns We need to lower the barriers to entry to retail and other town centre businesses, and invite new entrepreneurs to try new ideas. However, instead of business rates reform or devolution of power to local authorities, which could have allowed for real change across the whole country, a select few high streets, mostly in Tory-supporting constituencies, get a cash bung. What is the long-term plan for the retail sector and for small businesses in our high streets? These businesses support our communities, providing flexible and well-paid jobs. They support entrepreneurship at all levels and in particular provide opportunities for women Small businesses of all kinds will have breathed a sigh of relief at the Government’s announcement that they plan to continue furlough and business rates holidays until the end of September, but what will happen then? I worry that there will be a huge spike in unemployment when furlough ends and I see nothing in the Budget that will address that. The Liberal Democrats are calling for the Government to cut national insurance contributions for small businesses in order to boost employment in this sector We have also seen very little action for those groups that have been excluded from financial support during the pandemic. What frustrates me is that so many of the sectors that have been hardest hit are the very same that we should be investing in as key strategic industries that can provide future growth for the economy as we move out of the pandemic. In particular, the cultural sector, the travel sector and the live events and exhibitions sector have been left scrabbling for support, with many of their contractors and freelancers excluded from help. The continuing failure of the Government to help those individuals is completely baffling. When the cultural sector is reopened, it will struggle to find skilled staff as so many will have been forced out of the sector by financial necessity and will find it extremely difficult to come back I would like to take this opportunity to mention again that many people who were excluded from help were contractors moving between pay-as-you-earn contracts, which they were forced to take on because of the IR35 regulations that the Government are still insisting on introducing. Had they been able to continue as self-employed, they might have qualified for help The biggest opportunity missed, however, is the fight against climate change. We have heard many warm words on global warming from this Government. They appear to have grasped the magnitude and immediacy of the crisis we face, yet they have no plans for action. The 10-point plan for a green industrial revolution, released before Christmas, announced a wide range of aspirations, but no concrete policies or spending commitments. The Budget continues that trend. Liberal Democrats welcome the new direction to the Bank of England to take account of climate change, but that is a small drop in an ever-deepening ocean of what needs to happen if we are to take the necessary action The Government have shown with this Budget and Finance Bill that they are not serious about achieving net zero and creating a green recovery. They have gone as far as scrapping the industrial strategy, leaving businesses in the dark about how the UK will tackle climate change and achieve green growth in the years to come. The Budget promised to re-establish a new infrastructure bank, which merely replaces the green investment bank established by the Liberal Democrats in 2010 and sold off by the Tories in 2016. There was nothing on extending the green homes grant scheme, which could have tackled fuel poverty and cut energy bills for millions of homeowners while cutting emissions—and since then the Government have scrapped the scheme altogether. The Government even failed to cut VAT on home insulation products to encourage people to invest in their home themselves. There was nothing on increasing incentives on electric vehicles, including VAT cuts or new grants. There was nothing on investing in more public transport or new walking and cycling infrastructure. Liberal Democrats wanted a Budget to kickstart the green recovery, but the Conservatives have failed to deliver. We must see a bold green recovery plan that will invest £150 billion in the next three years to tackle climate change, create new green jobs and help us to grow our way out of this crisis What is the Chancellor’s plan for investing in sectors that will create jobs? It is freeports in selected sites, yet there is little evidence that they increase economic activity rather than displace it. Again, we see the benefits concentrated in preferred areas of the country, rather than a strategy for the country as a whole. The one advantage of freeports, of course, is that they can avoid the customs duties and paperwork currently creating such a barrier to trading, thanks to the Government’s terrible deal with the EU. I find it extraordinary that the Chancellor has made no mention of how he plans to offset the OBR’s projected 4% hit to the UK’s GDP as a result of leaving the EU. He is bringing forward planned economic activity or concentrating it in specific areas of the country, rather than investing in new sources of wealth and future jobs. This Budget ignores the real needs of our economy, both for the immediate challenges of the pandemic and for its long-term future.
ParlaMint-GB_2021-04-13-commons.u345	It is a pleasure to follow the hon. Member for Richmond Park (Sarah Olney). I welcome the Bill, which delivers on the Budget. The Budget struck the right balance, providing the immediate support that businesses need to enable us to begin the economic recovery from the past year, paving the way for sustainable growth in the mid-term and laying the ground for some of the tough decisions and challenges that we are going to face in the years to come to balance the books I particularly welcome the measures to support the hospitality sector. I speak as the chair of the all-party parliamentary group for hospitality and tourism, a sector that has been among the hardest hit as a result of the lockdowns. All the measures that were in the Budget, including extending the VAT cut and the business rate holiday, the additional round of grants, the extension of the furlough scheme and the additional self-employment income support scheme, have been hugely welcomed by the many businesses in my constituency that rely so much on tourism and hospitality. I also very much welcome the extension of the universal credit uplift, which will be vital for many families to support them through the rest of the spring and summer There is lots in the Budget and the Bill to welcome and support, but I just want to raise one element that I have grave concerns about. It relates to clause 98—I know that the Minister will be aware of this as I have already raised it with her—and it is the removal of the red diesel entitlement. Let me make it clear that, in principle, I absolutely support this measure. We need to move people and businesses away from an over-reliance on diesel and towards a cleaner and greener form of fuel, but I am concerned about the impact that the speed with which this measure is being introduced will have on one particular sector. I welcome the fact that agriculture and fishing will be exempt from this change and will continue to be able to use red diesel. That is vital for constituencies such as mine that have many businesses in those sectors, but there is another sector that is very important to my local economy: the mining and quarrying sector I should place on record that I am the chair of the all-party parliamentary group for mining and quarrying. For more than 150 years, mid-Cornwall has been mining the highest-quality china clay in the world and exporting it around the world. This industry is still a vital local employer and a significant part of our local economy. The removal of the red diesel entitlement from businesses in this sector is going to cost businesses in my constituency alone more than £10 million a year. That is £10 million that is going to be taken directly out of our local economy I absolutely understand the Government’s rationale behind the decision to move people away from diesel towards alternative fuels to help to reduce their environmental impact and to help us as a country to move towards our net zero target, but the fact is that much of the heavy gear used in the mining and quarrying sector just does not have an alternative to diesel. The technology does not yet exist to provide an alternative form of cleaner energy. The sector will therefore bear the brunt of the Government’s decision to introduce this change from next April in the short term. Let me also make it clear that the sector is not resistant to moving to clean power, and it has already done so where alternatives are available, but in many cases the technology is not yet available to replace some of its heaviest machinery with cleaner alternatives. It seems unfair to penalise businesses that are willing to move to cleaner fuels and sources of power but are unable to replace their diesel-powered equipment at this time. In the coming years, alternatives are likely to be developed, but I am told that we are probably at least five, and perhaps 10 years away from there being a viable commercial option. Imposing the change next year will mean that businesses face additional costs that they simply cannot avoid, which seems counterproductive As is often the case when decisions such as this are made, there are unintended consequences. The sector provides much of the raw material for our economy, particularly in manufacturing and construction, yet it will be unable to absorb the additional cost, which will result either in job losses or in rising costs. The Government’s ambition is to invest heavily in infrastructure and housebuilding. It seems strange, just at the time when we want to invest significant sums in building, to introduce a change that is likely to result in increased costs All this is unlikely to have any beneficial impact on the environment. There will be no reduction in emissions. Diesel will still be burned by these heavy-duty bits of kit because there is no alternative. It is not as though there will be a shift away from diesel to something else, because alternatives do not yet exist. If the aim of the measure is to reduce emissions, in the short term it is unlikely to achieve it. In fact, it could actually increase the environmental impact, because if it results in UK businesses becoming uncompetitive or, worse still, going out of business, we will end up importing these materials from countries that are burning diesel and increasing the carbon footprint I ask the Treasury team to look again at the speed at which the change is to be introduced. Let me be clear: I believe it is the right decision; I just question the timing of implementation. We need to give the quarrying and mining sector the time needed for new technologies to emerge, so that the sector can find alternative fuels before this significant additional cost is imposed I wholeheartedly support the Bill. It contains the right measures that our country needs now. I simply ask the Government to look at the speed of the removal of the red diesel exemption, particularly for the mining and quarrying sector, to give it time to adjust and the economy time to recover before the additional cost is imposed.
ParlaMint-GB_2021-04-13-commons.u346	The coronavirus crisis has not just been a public health emergency; it has been a social emergency as well—a social emergency worsened by the Government’s catastrophic handling of the crisis, which, as the Office for Budget Responsibility says, led to one of the worst economic downturns of any major economy Of course, for some, the pandemic has not been half bad—in fact, it has been a very good crisis for some. Serco and the like have been able to use the crisis to get their hands on contracts that should have been in the public sector, and boosted their profits. We have seen how contracts worth billions have been handed over to those with political connections to top Tories, and the Greensill case involving the former Prime Minister is no one-off—
ParlaMint-GB_2021-04-13-commons.u347	Order. I appreciate that the hon. Gentleman is not here in the Chamber and so is not getting the atmosphere of the debate, but no matter what the rules are, this debate is about the Finance Bill. It is only about the Finance Bill and matters within the Finance Bill, which is pretty wide-ranging. The hon. Gentleman appears to be making a speech that he might wish to make tomorrow. Could he please stick to the Finance Bill today?
ParlaMint-GB_2021-04-13-commons.u348	Thank you, Madam Deputy Speaker. The example I have just given is one of how our system works, and I would argue that that is entirely relevant to the Finance Bill, because while the super-rich have been able to profit from the crisis, the Government have washed their hands of others who needed support. Just this week, millions relying on legacy benefits such as employment and support allowance for disabled and sick people got a pathetic 37p increase in their benefits. What a snub, especially after already being refused the £20 additional payment that went to those on universal credit. With that 37p increase, the Government are deliberately punishing disabled people. It is yet another example of how they seek to make the vast majority pay for one of the world’s deepest economic collapses I will vote against the Bill because it fails to give NHS staff the proper pay rise they need, because it cuts the pay of millions of public sector workers and hands billions in giveaways to mega-corporations such as Amazon, many of which have done very well out of the crisis, because it leaves many of the lowest earners facing tax rises and because later this year it will cut social security payments for people who really should get much more help. I will vote against the Bill because it serves the few and not the many. This crisis has not only shone a spotlight on the deep inequalities in our society but widened them. We should be coming out of it with a more equal society, but, to help us do that, where is the tax on the companies that have made super-profits during the crisis? Where is the one-off tax on the super-wealthy as other countries are doing? I will vote against the Bill and table an amendment calling on the Government to take measures for a super-tax on the super-rich. We need to start to build a society that serves the many, not the few. That is what the Bill should be about, but it is no surprise that, with this Government, it is anything but.
ParlaMint-GB_2021-04-13-commons.u349	It is kind of you, Madam Deputy Speaker, to call me in this important debate. I will try to reward that by sticking to the topic we are discussing. This is an excellent Finance Bill for a much-needed recovery. The UK is already a great place to start, grow and run a business, but to increase the rate of economic growth in the UK we need to restate and foster the pro-enterprise philosophy and measures that have served us so well in the past. To govern is to choose and the Chancellor was absolutely right to choose fiscal discipline. The Bill begins to fix the public finances with a fair and honest plan about how to do so. Nothing is more devastating to enterprise and investment than high and volatile costs of borrowing, which wipes out small businesses like a pyroclastic flow clearing forested slopes. Thousands of otherwise successful businesses were crushed in the recession of the early ’90s caused by the error of the UK's membership of the exchange rate mechanism A centrepiece of the Bill is the super deduction. I have spoken to lots of businesses in my constituency, and it is already mobilising significant investment. The Bill also contains two excellent initiatives under the Help to Grow banner. I believe that the Government are really on to something here and that we could see the Department for Business, Energy and Industrial Strategy start to deliver a string of practical interventions to give small businesses a hand up. When the opportunity allows, I encourage them to go further. Only 10% of small and medium-sized British businesses currently export, leaving 90% of enterprises as potential exporters. That is a vast untapped opportunity to grow the scale and productivity of UK plc.. Global Britain brings huge scope to increase the number of firms involved in international trade, but for many firms, where time is the scarcest resource, it is a big and uncertain step to take. Alongside the other elements of Help to Grow in this Bill, I suggest we make available grants to support exporting. It would be a natural extension of the support that the Government provide today under the useful, but relatively modest tradeshow access programme Like most, I welcome the extension of the lower rate of stamp duty in this Bill. On a future occasion, I encourage the Government to bring forward an exemption to stamp duty for downsizers. In many parts of the country, the real housing crisis is one of under-occupancy. With an ageing population, too many homeowners rattle around in accommodation that would be more suitable for growing families. Stamp duty is a real brake on downsizing. The Treasury will understandably be cautious about leakage, but it should be perfectly possible to define a downsizing transaction based upon the ratio of values and the limited time interval between the two housing transactions This is not an academic issue. Right now my constituents are blighted by development proposals on unsustainable greenfield sites in Ashington, Adversane, Buck Barn, Kirdford and Mayfield, all based on the fallacy that, despite the UK already having more than 600,000 empty homes and the highest rate of housebuilding since 2007, the only answer is to pile up even more supply For a similar reason, although I fully understand the context in which the decision was made, I regret the freeze on the lifetime allowance on pensions. The UK used to have one of the best systems of providing for retirement in the western world. Freezing the lifetime allowance is another Jenga brick whipped away from that once strong pillar. NHS consultants, headteachers and airline pilots are hardly plutocrats, but they now face a tax on thrift. Money that would have gone into well-regulated, well-diversified pension funds and been allocated to grow UK businesses has instead fuelled a boom in buy-to-let property, putting home ownership for millions further out of reach. In the year in which the UK hosts the UN climate summit, let me conclude by welcoming two measures in the Bill that help us move towards a low carbon future. The first is part 2, which introduces a plastic packaging tax from next April. We should tax things we wish to have less of, and on that basis this is an excellent piece of legislation that will provide a clear economic incentive to use recycled material in the manufacture of plastic packaging. It is estimated that as a result, the use of recycled plastic could increase by around 40%, equal to carbon savings of nearly 200,000 tonnes a year and saving a lot of plastic from ending up in landfill and incineration. We only have one planet, so as soon as this useful measure is on the statute book, I encourage my Treasury colleagues to look at increasing the rate and lowering the exemption threshold Similarly, I welcome the removal of red diesel from many sectors, although I am glad there is a continued exemption for agriculture, which makes a significant contribution to the landscape in my constituency of Arundel and South Downs. Red diesel accounts for about 15% of diesel used in the UK and is responsible for the release of 14 million tonnes of carbon dioxide a year. This change will help the adoption of cleaner and greener alternatives, such as hydrotreated vegetable oil, and is yet another meaningful step by this Government, who are absolutely leading the world on climate action.
ParlaMint-GB_2021-04-13-commons.u350	I am pleased to be able to contribute to this debate and to expand on the reasons so passionately set out by my hon. Friend the Member for Glasgow Central (Alison Thewliss) as to why the SNP will vote against the Bill this evening. The purpose of the Bill is to give legislative effect to the Chancellor’s Budget. That Budget was a regressive Budget. It was an austerity Budget that turned its back on millions of those worst affected by the covid pandemic. It is a Budget that severely damages the interests of my constituents, so it is a Budget, and this is a Finance Bill, that I cannot and will not support Austerity is not an economy necessity. It is a political choice. It has been the first-choice response of almost every British Government of every complexion during my adult life, so it is maybe not surprising that so many people seem to have forgotten that there is a different way, a fairer way, and in fact a much more effective way to respond to an economic crisis. All we have to do is to care as much about the millions in these four nations who do not have enough to live on as we care about the lucky handful whose only problem is that they cannot count how many billions they have There is no disagreement about the fact that we need to start to repair the economic damage caused by the pandemic and by the measures that had to be taken in response. There are lessons to be learned, but perhaps the most vital lesson of all is that the inequalities that have been deliberately created and deliberately maintained in our society by successive Governments have also made our society as a whole much more vulnerable to the ravages of the disease. We know that the economic costs of covid have fallen much more heavily on the people who could least afford them. To give just one example, the British Retail Consortium did a survey that confirmed what we would probably have expected: during the pandemic, highly-paid people such as Members of Parliament have got better off and now have more savings than we had before, while most of our constituents on low incomes have been using up their savings just to survive, and many of them effectively have no savings left at all Presumably, the way we respond to that is to use the powers in the Finance Bill to redress that balance. Well, no—that is not the priority of this Government. In clause 5, we see a multi-year freezing of the income tax basic rate limit and, much more damaging, a freezing of the personal allowance at £12,570. It is not easy to find a way to change an income-based tax system so that we collect more tax but target the impact on people on lower incomes, but that is exactly what the Government propose to do. If it is accepted that the Treasury needs to collect more money in real terms from income tax, we should at the very least make sure that the impact in real terms is equally spread. In fact, the SNP would argue that whenever the time comes to increase taxes, those of us who are lucky enough to be on high incomes should be asked to bear a wee bit more of the pain I know that the Government will point to other provisions, such as clause 31 and the one-off uplift in working tax credit. In principle, that is something the SNP supports, but as my hon. Friend the Member for Glasgow Central mentioned, the way that it is implemented could harm some of the very people it is supposed to help. The eligibility criteria are crude, to say the least. It will not be at all easy for recipients to work out for themselves whether they qualify. What assessment have the Government made of the number of payments that they expect to be made in error, and are they seriously then going to chase down the recipients of those erroneous payments as if they had committed some kind of fraud, when in fact they have done absolutely nothing wrong I was interested to hear the comments of the Chair of the Treasury Committee, the right hon. Member for Central Devon (Mel Stride), on freeports. “Freeport” is obviously a buzzword that the focus groups have told the Tories goes down well with the party faithful, so they have decided to invent, or rather reinvent, something that looks like a rehash of 1980s-style enterprise zones but call it a freeport because that sounds like a better term. Leaving aside the terminology, how do the Government know that the provisions in clauses 109 to 111 will create new investment and new jobs, rather than just move investment and jobs that would have happened anyway, as the Committee Chair asked? How will they make sure that those who buy and sell land in a designated freeport area are investing the tax breaks they enjoy in creating jobs on the site, rather than just siphoning the money off into the profit and loss account of an offshore investment trust somewhere Almost a third of the Bill’s clauses relate to the plastic packaging tax, and no doubt the Bill Committee will want to spend a proportionate amount of time scrutinising the details, but for now, I draw the Minister’s attention to the National Audit Office report on 12 February this year. The report found that, although the Chancellor in his Budget speech last year was able to tell us how many tonnes of carbon the tax would save, “the exchequer departments did not set these as measures of success in the Tax Information and Impact Note”. A previous Tory Government brought in tax information and impact notes in a blaze of publicity, announcing that they would support better parliamentary scrutiny of tax policy, but how can Parliament scrutinise the success of this new tax if the key measure of success announced by the Chancellor does not even appear on the success radar of the Department that has to implement it My hon. Friend the Member for Glasgow Central raised the more general point about the woefully inadequate scrutiny that the often massive decisions in Finance Bills receive. I know that the Government will point to the number of minutes, hours, days or weeks that people have spent talking about it in Parliament, but talking about it and reading prepared speeches is not the same as proper scrutiny. For example, in this Bill we can accept, reject or amend clause 32 on the tax statement of payments under the self-employment income support scheme, which is fair enough for those who qualify, but we cannot redress the glaring injustice of the excluded millions who do not qualify at all. We can accept clause 31 or amend it to make it a lot better, to support working people whose income has been affected by covid, but we cannot vote to remove the 30 September cliff-edge when the furlough scheme is removed, because that would be an inadmissible amendment. Although the Bill can be improved in Committee and made slightly more fit for purpose, we are powerless to force the Government to undo some of the deliberately disastrous flaws and omissions in existing support schemes It is right that this Budget and this Finance Bill should start the process of rebuilding the economy after covid, but as the right hon. Member for Hayes and Harlington (John McDonnell) mentioned, the Government seem hellbent on taking us back to exactly the same unfair, unequal and divided society that we had before. In fact, they will probably succeed in making it even worse than before. Of course, the Tories do not want to talk about the fact that their own analysis shows that the long-term economic damage of the covid pandemic will be less than the damage of the self-inflicted and totally avoidable disaster that is Brexit It is an indication of how out of touch the Government are with my constituents, and with the people of Scotland generally, that the Tories, the official Opposition in Scotland, have already surrendered in the Scottish Parliament elections. They are not even pretending that they want to try and form an alternative Government after 6 May. They are delivering glossy six-page leaflets that literally have no policies on them. They are not even pretending that they have anything positive to say or to offer in Scotland—which, after all, is kind of what Scotland has been saying to them since 1955 The Bill will get its Second Reading tonight, it will get through the Committee and it will become law. Its regressive provisions will be imposed in Scotland against the will of three-quarters of our people, no doubt to great cheers from the socially distanced Government Benches. But let me say this to them: enjoy imposing this Finance Bill on Scotland’s people, because in just over three weeks’ time, those same people will take a decisive step towards making sure that their time for imposing their policies on our country comes to an end.
ParlaMint-GB_2021-04-13-commons.u351	I appreciate that this is a Finance Bill and technically it can go to any hour, so the House could be sitting until 11 o’clock or midnight, but I ought to say something to Members who are not in the Chamber but who I hope might be listening. It sometimes seems that Members who are at home and participating virtually do not pay attention to the rest of the debate. If they are listening, let me say to them that there is something a little bit distasteful about those who are sitting at home making very long speeches and keeping the entire operation of the House of Commons going till well into the evening. Everybody has the right to speak on the Finance Bill and it is very important that they do so, but it is generally recognised, and I particularly recognise it today, that that which can be said in 10 minutes can usually be said more effectively in five.
ParlaMint-GB_2021-04-13-commons.u352	The Bill recognises both the short-term demands of the covid crisis and the long-term needs of global Britain’s economic future, and I am delighted to support it. I shall keep my comments brief As we emerge from lockdown in a cautious and gradual way, it is right that provisions are made to extend furlough, reduce VAT for tourism, maintain the increased universal credit payments, support grants for the self-employed and so on. It will be some time yet before the economy is back to pre-covid levels of activity, although it may not be as far away as we had feared just six months ago. Those who have managed to save money over lockdown are keen to put their cash back into our national economy Stoke-on-Trent city centre business improvement district has ensured that we will play our local part in the resumption of consumer spending. Operation Sparkle is making our city centre smarter, cleaner and more inviting, but there is only so much that even the most dedicated local groups and bodies can do to fight against litter, so I welcome part 2 of the Bill for its potential to gear the tax system ever more against plastic waste There is a real problem with litter, particularly along Stoke-on-Trent’s beautiful watercourses and green spaces, made much worse by the thoughtlessness of those who fear no consequence from dropping bottles and wrappers that will not immediately biodegrade. It makes responsible residents across my constituency rightly angry. The tax system should not be neutral on litter. We have all seen the dramatic impact of the plastic bag tax. I hope that the plastic packaging tax is another step towards a tax system that increasingly targets problem litter and incentivises the reuse, return and recycling of packaging The Office for Budget Responsibility predicts that the pre-covid level of GDP will be reached only one year from now. It further predicts that unemployment will be in its second quarter of decline by then, having peaked at 6.5% by the end of this year. That means that UK unemployment will still be 1.4 percentage points lower than when the Labour party left office in 2010. It is an extraordinary achievement. The balance of measures has been more or less right, just as the balance of measures is right in the Bill We were never going to escape a global pandemic unscathed. Now we must face the reality of once again looking for measures to bring the books back into balance in the medium and longer term. However, that should not mean reductions in productive investment. I particularly welcome the super deductions for new plant and machinery in clauses 9 to 14, together with the provision in clause 15 for an extension of the £1 million annual investment allowance. We are enabling the private sector to build back better It is often said that Chancellors are conjurors, pulling rabbits out of hats, but today’s Chancellor is more of a tightrope walker, trying to maintain a very delicate balance indeed. He is admirably succeeding. We are emerging from the international crisis with renewed national confidence in a long-term future of better days ahead.
ParlaMint-GB_2021-04-13-commons.u353	This Finance Bill fails to meet the scale of the economic challenges and it fails to provide the growth that is needed to recover from the pandemic, not to mention the impact of Brexit. Unemployment is already at 5% and is set to rise to 6.5%. Some groups have been hit particularly hard, especially the young—youth unemployment is at 14.3%—and those from minority backgrounds face much higher levels of unemployment Business investment has been in decline for many years and the pandemic has not, of course, made matters any better. We have heard a great deal about the productivity rate being incredibly slow, which it has been for the past decade. Instead of focusing on the big challenges facing the country, such as tackling the jobs crisis and youth unemployment, and promoting growth, what we see is the Government reverting to their comfort zone with an irresponsible council tax hike that will create even greater pressures for families who have faced the most unprecedented of challenges over the last year, and huge adversity—ordinary families in constituencies such as mine, where the level of child poverty is among the highest in the country By freezing the threshold for the personal income tax allowance, the Bill introduces a stealth tax on households. Meanwhile, the so-called super deduction gives tax cuts to some of the biggest businesses in the country, including those who have done particularly well during the pandemic, when the support should be targeted to companies that need much greater help and where there is greater need for support It is as if the Government have learned nothing from this crisis, as they take funding away from families who desperately need help. That brings me to the issue of universal credit, which will return to its original level later in the year. Millions of families will suffer when that happens. That is why I believe that this Finance Bill does not support families. The stealth tax that has been introduced will hurt ordinary families, including our NHS heroes and other key workers who have sustained us through the pandemic The Bill does not go far enough to support the 700,000 young people who face unemployment. Only one in 49 are eligible for support through the kickstart scheme. The Government have not taken the opportunity in the Bill to provide additional support to get those young people back to work Despite the fact that local councils such as mine have had to spend a great deal more because of the pandemic, there is nothing in the Bill to support them. There is very little to support our public services when they are facing an unprecedented crisis. The Bill lacks the ambition that is desperately needed after the biggest economic hit for generations. It lacks the ambition to get the unemployed back to work, and bold action to increase investment, productivity, and innovation, create the green industrial revolution, and power our economic growth in the face of the double hit of the pandemic and the 4% long-term hit to GDP as a result of Brexit. It hits families hard when they need to be supported, and it lacks the ambition to match the scale of the economic, social and healthcare challenges exposed by the pandemic. I will therefore not vote for the Bill.
ParlaMint-GB_2021-04-13-commons.u354	Diolch, Madam Deputy Speaker, for calling me to speak in this debate. It is a pleasure to follow the hon. Member for Bethnal Green and Bow (Rushanara Ali). Last month’s Budget was a missed opportunity to protect jobs and incomes, support struggling employers, and set out a clear vision for a green, sustainable and fairer post-pandemic economy that works for all four nations of the United Kingdom. Instead, the Budget became an exercise in political showmanship, which further undermined devolution and put party politics above the collective good. Supposedly new spending pledges were proven to be nothing of the sort, most clearly at Wales’s expense, where only 5% of the spending announced was new and unconditional. That disappointment was compounded by the proposals unveiled for the so-called levelling-up fund, which I am afraid does a disservice to Wales and to devolution The Bill confirms some of the most damaging elements of that Budget-day display. It prematurely ends the VAT reduction to help hospitality businesses across the UK. It neglects fully to correct the exclusionary failures of the self-employment income support scheme, and it fails to guarantee the permanency of the £20 a week universal credit uplift. Those measures alone suggest that the Bill will hamper rather than encourage our short-term recovery Equally worrying is the Government’s clear determination to re-establish the pre-pandemic dysfunctional UK economic model through a “Westminster knows best” approach that is openly hostile to devolution. That is why, to ensure that Westminster works with rather than against the devolved nations on policy issues such as freeports, Plaid Cymru will table amendments requiring the consent of the devolved Parliaments before freeports can be established in their respective nations. That such amendments are necessary is sadly indicative of the Government’s centralising tendencies over the economy, despite their appalling record on delivering schemes such as tax reliefs, which worsen rather than address regional inequality in the UK For instance, through the UK Government’s two main innovation investment reliefs—the enterprise investment scheme and the seed enterprise investment scheme—between 2015 and 2018, start-ups in London received four times more per head of population than businesses elsewhere. In contrast, only 1.3% of UK-wide investment through the enterprise investment scheme was in Wales Noting the significant risk that the proposed capital allowance super deduction might turbocharge regional inequality in the UK, Plaid Cymru will also table an amendment requiring the Government to consider the impact and geographical reach of that super deduction. Given the pressing challenge of climate change, and the need to recapitalise our economy to further decarbonisation efforts, our amendment will require the Government to consider the impact of a super deduction on climate change mitigation efforts. I sincerely hope that the Government will be supportive of that amendment, particularly given the Bill’s overall lack of measures and support for the green transition—except, it is worth noting, a welcome change to the Bank of England’s mandate Although I welcome the proposed plastic packaging tax, even that illustrates Westminster’s inability adequately to act on the pressing issues facing society across the four nations of the UK. Only days ago it was reported that the much vaunted deposit return scheme has been further delayed until 2024. Having been unnecessarily tied to Westminster inaction on that issue, Wales will by then have waited six years for such a scheme to come to pass. That outcome is made even worse by the Government’s United Kingdom Internal Market Act 2020, which undermines Welsh efforts to counter plastic pollution, and pales in comparison to Scotland’s ability to deliver a bespoke system by next year In conclusion, this Bill fails to correct the flaws in the Government’s pandemic response, fails to live up to their rhetoric on levelling up and fails to match ambitious climate rhetoric with policy action to further the green transition. Instead, the Bill not only reflects the deeply misguided sense that the Treasury knows best when it comes to regional inequality, but misses an opportunity to provide a long-term plan for our post-pandemic recovery.
