ParlaMint-NO_2000-05-03.ana.ud1122e27	The former alternate of the Rogaland County, Bent Höie, has a teke seat as a representative.
ParlaMint-NO_2000-05-03.ana.ud1122e1767	I thank the Council of State for the answer. I think it's important to give answers to the enquiries that the ministry receives, because there's a little bit of trust between the ministry and most people, to put it like this. I also believe that, in the light of this case, it is important that the Department looks at its procedures, especially when, as in this case, one has an application involving several departments. I hope the Council of State looks at these routines. The council said that this application was not registered. This article also showed that several reminders had been made on this application, according to the head of the Verwarslinga for North Norway, Helge Tangen. Why haven't you answered these reminders?
ParlaMint-NO_2000-05-03.ana.ud1122e1776	In my main response, I explained that there has already been significant work to improve the conditions that have been addressed. The applications that come from these institutions will, of course, be answered, which I signaled in my main response. In this respect, with the registration of these applications and their processes, the questions asked by the representative will be discussed and explained. However, I think it is relatively unlikely that in two departments there would be a lack of registration of something like this, but of course it will be and has already been examined.
ParlaMint-NO_2000-05-03.ana.ud1122e1783	I thank the Council of State for the answer. As I said in my first question, I think it's very important that the department looks at their routines when it comes to answering the enquiries they're receiving. It is strange that both the application and the reminder have disappeared in the system. This is a very important matter. It has to do with the safety of the operators of the area, namely the fishermen, and of course it has to do with life, and this research programme is just taking into account to improve these forecasts. Well, that's not the big amount that's being applied for. The first thing to do is to use approx. Four million. kr on a development project, and then it is about operating funds of 1,5 million. kr annually. So the question to the Council of State is: will the Council of State take an initiative in order for this to be included in the budget for the next harvest?
ParlaMint-NO_2000-05-03.ana.ud1122e1794	The applications notified here will, of course, be dealt with when they come in. It is not possible for me to give advance notice that these applications will be dealt with in a special way when they arrive.
ParlaMint-NO_2000-05-03.ana.ud1122e1803	I would like to ask the Minister for Fisheries, who answers the following questions on behalf of the Minister for the Environment: ‘The average cleaning power of the day is 95 pst. Despite high cleaning power, the receiving water is subject to strict requirements for the receiving water. The municipalities often demand that the recipient be a basin with a minimum water flow of 10 litres/s. Less watering than this often leads to a refusal of housing applications. With today’s quality of mining facilities, the applicable requirements for drains may appear excessive. Should not the requirements for the recipient of the mining facilities be relaxed in order to strengthen scattered housing?’»
ParlaMint-NO_2000-05-03.ana.ud1122e1812	Municipalities currently have the power to grant an emission permit for waste facilities from up to seven housing units or cabins according to the regulations on emissions from separate waste facilities, the separate regulation of 8 July 1992. The regulation requires the type of technical solutions that can be used for such waste water treatment plants, and the mini-cleaning plant is one of the four main methods that can be used. The regulation does not impose general requirements on minimum water flow, but municipalities may lay down conditions to that effect in the light of the recipient and the associated user interests. In this context, it is important to note that many small emissions, which alone have small pollution disadvantages, can also pose a significant pollution problem for some recipients. On 12 April this year, the Ministry of the Environment adopted a new regulation on emissions from small waste water treatment plants, which significantly increases the authority of municipalities. The regulation, which will replace the separate regulation from 1 January 2001, means that municipalities will be able to grant an emission permit of up to 1000 person equivalents. The new regulation does not require technical solutions, so it will be up to the municipalities themselves to impose cleaning requirements and to choose technical solutions. An important part of the task of empowering municipalities in the sewerage sector is for municipalities to set environmental objectives for their water bodies. The development of environmental objectives will provide municipalities with a good basis for overall decision-making on applications for emission permits by allowing an overall assessment of the size of the emissions, other user interests and the actual state of the recipient in relation to the environmental status objective of the water body.
ParlaMint-NO_2000-05-03.ana.ud1122e1821	I thank the Council of State for the answer he came with. Today's cleaning technology for these mining facilities is, in the case of private housing, so good in practice that it should not be possible to refuse to build dwellings on grounds of sewerage conditions. Therefore, these mineral cleaning facilities should be able to significantly promote scattered housing. Too many places today there is a refusal to apply for housing in pig-grown areas, precisely on the basis of sewerage conditions. When you have a cleaning power of more than 99 p.p., the effluent that comes out is very low pollutant. I therefore believe that it should be almost impossible to refuse a construction request based on the sewerage conditions, if the builder chooses to use such mining facilities himself. Today's legislation should not be interpreted so freely by the municipalities that they can refuse. The requirement of 10 liters per second, which I referred to in the question, is very real, and on such a basis, there are actually several rejections.
ParlaMint-NO_2000-05-03.ana.ud1122e1828	In my main response, I explained that the municipalities were given greater freedom to set emission requirements based on what the recipient can withstand. I think it must be right to take into account the total load on a recipient. I also assume that if the actual cleaning effect on these plants is as high as 99 pst., it will also be possible to do so in most cases.
ParlaMint-NO_2000-05-03.ana.ud1122e1833	I thank the Council of State for the answer. I would just like to point out once again that I have seen for myself examples that there are too strict demands on the recipient just to be able to refuse a building application in a scattered community. In fact, there has also been a background idea that you want to have the least possible spread of housing, and that the applicants go into the municipal building areas. I am not in favour of such a way of using this, and therefore I believe that there should have been a central regulation that says that the municipalities should not have the opportunity to decide for themselves whether there should be 5 or 10 litres of water running per. seconds in a bench or ground infiltration requirement. It was supposed to be a central provision that did not give the municipalities such leeway, because they simply abused it, as I have experienced it as a member of the Building Council.
ParlaMint-NO_2000-05-03.ana.ud1122e1840	I want to repeat what I said both in response and in response. I feel it is right that the municipalities are responsible for the state of the environment in their own recipients. However, the points made by the representative will, of course, be included in the further proceedings of the Ministry of the Environment.
ParlaMint-NO_2000-05-03.ana.ud1122e1848	I have a question for our Minister of Agriculture: ‘As part of reducing the significant milk surplus, dairy farmers are bought out of the industry by public funds. Farmers ending with milk and starting with meat production as an alternative may be granted public funds through grants and loans, despite significant overproduction of Norwegian pigmeat and beef. What will the Council of State contribute to rectifying the situation?’
ParlaMint-NO_2000-05-03.ana.ud1122e1857	As can be seen from the question raised by the representative Øystein Hedstrom, milk producers are bought out of production as part of the reduction of overproduction of milk. In 1999-2000, milk quotas totaled 105.5 million litres. Allowances for buying-in milk quotas are granted under the agricultural agreement. Dairy producers selling the milk quota shall be allowed to develop alternative productions with market opportunities. The building development funds aim at promoting profitable industrial development in rural areas within and in relation to agriculture. Grants and loans may be granted for the development and establishment of new production. However, when assessing applications in traditional agricultural production, account shall be taken of national market conditions and no aid may be granted for the establishment or extension of power-feeding productions such as pigs and poultry. This is provided for in the regulation on rural development funds provided by the Ministry of Agriculture on 22 December 1999. While there is no specific restriction on aid for roughage-based meat production such as sheep and bovine animals, general requirements of the Regulation require that market conditions be taken into account and that aid contributes to economic development. It follows from the question from the representative Hedstrøm that he does not consider it appropriate to provide support for the establishment of production in areas of overproduction. I totally agree with that. During the treatment of St. pp. No 1 for 1999-2000 in December 1999 it was signalled by the Stortinget that rural development funds should not be used to support the establishment and expansion of production in areas of overproduction. This has been followed up by revision of regulations. Building development funds for traditional agriculture and new business start-ups are currently managed by the State Food and Rural Development Fund. The BU funds are part of the agricultural development fund and the framework is established annually as part of the agricultural agreement. SND, together with the municipalities, has a responsibility to follow-up those receiving aid and the aid may be recovered if circumstances conflict with the assumptions. The Ministry of Agriculture is in close contact with SND as regards the management of BU funds and the practice of legislation. I will ensure that it is clarified to the SND that the legislation in this area must be complied with. No official aid shall be granted for the establishment or extension of meat production where there is overall overproduction.
ParlaMint-NO_2000-05-03.ana.ud1122e1870	I thank the Council of State for the answer. I was happy about that. He said he fully agreed with the representative Hedstrøm, and he also stated that he would personally take an initiative to see that the control measures via SND were satisfactory. For one will only bring these arrangements into disrepute if one hand strikes the other in the heel. However, the current year will still be overproduction within today’s systems — it is a well-known economic phenomenon that considerable resources are being injected into an industry. Although milk production is gradually declining, we have a large meat surplus in Norway, both in the case of pigs and cattle. As far as I can remember, it is estimated to be approx. 12,000 tonnes in the current year. Has the government taken into account how to get rid of this surplus? There are, of course, strong restrictions within the WTO now on what can be dumped abroad through regulatory export.
ParlaMint-NO_2000-05-03.ana.ud1122e1877	For the sake of order, let me stress that my agreement with the representative Hedstrom in agricultural policy was very specifically linked to the question that was raised here, and there is no need to put anything more into it than that. In relation to the main question and the main answer, I would like to stress that it will therefore be possible to obtain BU funds for meat production, but not for an extension of production. So if you're facing the renewal of existing operating buildings with similar production as before, you can get BU funds for it, but not for a production expansion. With regard to the surplus that Hedstrøm correctly points out, especially in meat production – we have done something with milk – it is only to stress that it is the industry's own responsibility to bring production into balance with the market, and I think it is wise that it will still be so.
ParlaMint-NO_2000-05-03.ana.ud1122e1886	We now have a very well-regulated agricultural industry. I don't know if that was what the Swedish Council of State was thinking about when, in the Telenor-Telia case, he referred to Norway as the last Soviet state. There's a certain possibility of that. We have a trading law that I call a Stalinist regulation law, and it actually allows cheap sales. Does the Council of State think it would make sense to spend some of the huge overproduction we see, on cheap sales in Norway, so that Kari and Ola Nordmann can get some of their own subsidies in this area?
ParlaMint-NO_2000-05-03.ana.ud1122e1893	I believe that my approach to the problem that Hedstrom is dealing with here is that the main objective must be that the price of Norwegian food, i.e. Norwegian-produced agricultural-based food, should generally be lowered. It will be an important job for the Stortinget to take part in the processing of both the soon to be processed agricultural message and the agricultural settlement this year. Because if we then manage to bring down the price of Norwegian food, at least on some of the important products, I think it will lead to reduced border trade, which in turn will lead to an increased national market, which will limit overproduction problems. It was combined with the fact that the industry itself takes responsibility for the total production, is probably, from my point of view, the best way to go in relation to the problem description that we agree on.
ParlaMint-NO_2000-05-03.ana.ud1122e1901	I have the following questions for the Minister of Agriculture: ‘According to Brønnøysunds Avis, 26 April 2000, the Land Change Office in Brønnøysund is proposed to be closed and merged with the office in the Mos Sea. The closure of the office in Brønnøysund will result in a significant deterioration in the service to the public. Most landslides come from the municipalities of Sømna and Brønnøy. If these matters are to be dealt with in the Baltic Sea, it means a travel distance of 17 miles, for some come ferry in addition. Are the plans for closure in line with the organisation of the Land Change Offices the Ministry wants?’
ParlaMint-NO_2000-05-03.ana.ud1122e1910	The land change right in southern Greece is currently located in Brønnøysund. The landslide covers five municipalities. On average, 9.5 cases have occurred between 1990 and 1998. It has been problematic for a long time to keep stable staff at the right to change the land by the fact that it is difficult to recruit new employees, and it has been felt that the work has stopped. The question of merging the right to land change in southern Greece with the right to land change in northern Greece has been sent to a separate project group that has assessed the organisation of land change rights. The project group considers that: ‘it is not possible to maintain the two powerful office units in Helgeland. Both offices are below the minimum crew requirement. [[project group]] The Office of the Sea of Mosque should be maintained and strengthened’. The project team’s investigation has now been consulted and the consultation deadline expires on 5 May this year. Once all opinionable parties have been consulted and the hearing opinions have been evaluated, the Ministry will take a position on any change in the country’s division into the land parcel. Otherwise, I refer you to the answer that Mr Gjønes gave on 12 March 1999 to the representative Mr Bastesen's question for a written answer on the same matter.
ParlaMint-NO_2000-05-03.ana.ud1122e1924	I thank the Council of State for the answer, and I am aware that a project group has been set up. I have the impression that the initiative for aggregation in time came from the County Agriculture Manager of Nordland. Helgeland is a large district. We also have the interests of the outermost municipalities, not least the Vega area, which is in southern Greece. Now I'm not sure if Alstadhaug and Herøy are also on the south side or if it's on the north side. But it is worrying if the office is moved into the lake. There are 17 miles of travel distance, and for people out in the outermost regions who also need treatment in the right to land change, such centralisation is a very poor solution.
ParlaMint-NO_2000-05-03.ana.ud1122e1931	I suppose my most important task here today is to listen to what the Bastisen has to say, and to take with me what is said, in the assessments that I will have to make when the time comes. And I can promise Bastisen that I will take with me the considerations that have come, while I feel the need to say that, after all, the most important task we're facing will be to focus primarily on getting an organisation of the right to land change that ensures a good right to land change. In this way, of course, we should also bet on offices that have so many issues that they provide the basis for a good enough professional staffing. Then, of course, there are moments up to everything that goes on service to the audience, which the Bastisen points to in particular, and I noticed that.
ParlaMint-NO_2000-05-03.ana.ud1122e1936	I thank the Council of State for the answer, and I am pleased that he will include my views in the further consideration when the project group is finished. Public service is important. We're gathered here in this house to take care of the interests of the ordinary Norwegian picker. The previous government signified that there were service statements that should be the answer to most problems. We have stated on several occasions from this pulpit that that is not what people need; people need a solution to the issues they have in preparation. My question will then be to the Minister of Agriculture: are there any service statements that will answer most of the applications to be dealt with?
ParlaMint-NO_2000-05-03.ana.ud1122e1943	I do feel that the main question that we're debating with different approaches here now is how we're going to get a good right to land change. Service to the public in this way I think it can also be the most important answer. I would like to believe that people who, for various reasons, report cases for the right to change, are primarily concerned with getting a good professional treatment of their case, and that it will be the most important approach to providing public service in this case. Then Bastesen also brings forward some practical aspects related to service. Now, I guess it's not like meeting for the land change right that you're doing all the time, so that sometimes you have to travel a little bit, maybe it's not the most important thing. But yet I recognize that it's part of it all, and I'm going to take it with me, as I said.
ParlaMint-NO_2000-05-03.ana.ud1122e1955	I will ask the Minister of Justice the following questions: «Every boat today has a listening duty on Channel 16. If new regulations are introduced, the obligation to listen will be removed by 2005. Coastal safety will be significantly reduced if the new regulations are introduced. The emergency message from ‘Sleipner’ to Rogaland radio went on emergency channel 16 and led to the ‘Espeværexpressen’ and ‘Askita’ setting the course immediately towards the Bloksen, and was first forward. A total of 41 people were rescued by the sea by these two boats. What will the Council of State do to maintain the obligation to listen?’
ParlaMint-NO_2000-05-03.ana.ud1122e1964	All ships in the world from countries associated with the UN International Maritime Organisation (IMO) are today obliged to listen on Channel 16. The IMO is working on issues relating to the further development of Channel 16 and new emergency alert equipment across this channel, and where the main point is new and better systems for the notification and receipt of emergency messages. Of course, there is a great deal of interest in how the development of emergency communications via channel 16 will be in the future. The Ministry of Justice is closely monitoring developments and is in constant contact with the environments dealing with these issues both nationally and internationally. The IMO has questions of continued listening obligations for assessment, and the issue needs to be considered in the context of the impact on maritime safety, trust in the new system and the speed at which the new system is implemented on ships, and on which ships. The IMO, as represented by Stensaker, has indicated that, if developments are positive, one of the consequences of the new system will be able to put an end to the obligation to listen in 2005. But it is up to each country to decide whether they want to keep the listening obligation on Channel 16. However, as responsible for the emergency and safety services at the coastal radio stations, I will contribute to ensuring that safety will not be impaired in the future. I therefore believe that the listening obligation must be maintained if the new channel warning equipment does not provide equal safety or security. The safety of the sea must therefore not be impaired. I would also like to mention that, as part of improving safety at sea, the main rescue centres will be able to listen to all emergency communications via channel 16 in parallel to the coastal radio stations. So they haven't been able to do that before.
ParlaMint-NO_2000-05-03.ana.ud1122e1977	I thank the Council of State for the answer. I am aware that the IMO is launching a new system, but it is actually more intended for ships. As a user of a small boat, it is not economically possible to use a satellite connection, nor is it coverage via a mobile phone. Therefore, today's VHF system over Channel 16 is the only way to get help if you get in an emergency. That's why I ask: will the Council of State help to ensure that the safety of the sea is not impaired even for smaller boats?
ParlaMint-NO_2000-05-03.ana.ud1122e1982	It is correct, as the representative Steinsaker says, that this new system is primarily intended for the large vessels. It is therefore also correct that it does not meet the needs of all the smaller vessels that go along the Norwegian coast. That is also why I stressed that I will not be in favour of any lifting of the obligation to listen if we do not believe that security is being equally well protected by the systems that might relieve the listening obligation on Channel 16. But it's still known for five years until 2005, and we have to keep open to make sure that the world looks a little different then. If it doesn't, I'm not prepared to cancel the listening obligation.
ParlaMint-NO_2000-05-03.ana.ud1122e1987	Once again, I thank the Council of State for the answer. I am well pleased with the intention that the safety of the large small-boat fleet we also have in Norway will be safeguarded even if we have a new system. I hope that the Council of State, if there is a new system, will ensure that Channel 16 or that system is maintained unless the new one ensures the security of the price that a VHF costs today.
ParlaMint-NO_2000-05-03.ana.ud1122e1992	I've learned that I always have to answer, but I don't have so much more to add, other than to point to the answer I gave, and that we will jointly try to ensure that safety at sea is maintained at a high level.
ParlaMint-NO_2000-05-03.ana.ud1122e2000	I allow myself to address the following questions to the Minister of Justice: ‘In the last half of the year, there have been 17 shipments of money in Norway. Through the World Gang on 19 April 2000, it has become known that internal conflicts in the police over time have hampered the investigation of the many value transport channels. What will the Council of State do to ensure adequate progress and necessary coordination of law enforcement?’
ParlaMint-NO_2000-05-03.ana.ud1122e2009	Combating criminality is a priority area for the police. These crimes represent serious threats and violence and cause fear and damage to those who are victims of the crimes. In addition, these are very large economic values. It is the police districts of Oslo, Drammen and Rome that have been hit by the so-called value transporters. The stripes are professionally done, and they may seem to have more similarities. It has therefore been natural to investigate whether the same perpetrators are behind several of the cranes. In order to obtain an effective investigation of these cases, the First State Attorney at the State Attorney's Office of Oslo therefore decided that investigation and prosecution should be coordinated at the Oslo Police District. One State Advocate in charge of the proceedings has been appointed. Investigations and coordination of so many major issues require considerable resources, and the Ministry of Justice, upon request from the Oslo Police District, has allocated NOK 840,000 in exceptional funds for the investigation. Investigating such major investigations is a demanding and laborious task. However, it is often experiential that such cases are resolved after careful investigation. After examining this case with the management of the Oslo police district, it is reported that there is no recognition in the tip formulations in the newspaper article, and it is hard to understand that the investigation has been inhibited, as it has been produced in the media. The research in these matters is progressing well. A total of 24 people are targeted at the various issues. It is the appointed State Attorney in charge who, together with the management of the Oslo Police District, has overall responsibility for the progress and investigation of this case.
ParlaMint-NO_2000-05-03.ana.ud1122e2020	I thank the Council of State for the answer. The Council of State gave a description of the challenges posed by the ever-increasing crime, including with regard to the transport of goods. There's no reason to disagree with her there. She also states – if I understood her correctly – that after being in contact with the Oslo police district, it has been found that there is little or no hold in the claims made in the VG. But it is reasonable that State Attorney Olav Helge Thue, who has an overall responsibility, and to which the Council of State referred, in the same article, expresses the following: ‘During periods, the situation has hampered the search for investigators.’ And then my follow-up question is: In the light of what I have referred to, and what the State Attorney-General has said, doesn't the Council feel that there is a need to go in and investigate what is the reality of the article I'm referring to?
ParlaMint-NO_2000-05-03.ana.ud1122e2032	The answer to that is really no. I have talked about this matter with the Oslo police district when I was visiting there on Friday. We have received the answer on the question of question time, and they confirm that the investigation is in good hands. They have also been in contact with the state attorney and discussed the petition at the time it took place. So it's 24 blinds. In 10 of the 15 cases – as I understand it is – the targeted persons, and the Oslo police district believes that the investigation is in good progress. And then I feel as secure as I think I can and should be, in relation to the large number of things that are available at any time in the various police districts.
ParlaMint-NO_2000-05-03.ana.ud1122e2037	I thank the Council of State for the answer, which I guess cannot be seen as directly positive. Now, as a member of the Justice Committee at Stortinget, we are also in contact with the police districts. We also have contacts with units in the districts where there are different opinions in relation to what management expresses. So that's what I think -- without trying to give the Council any advice in any way -- with a background in this, and also with a background in contrast, for example. between Kripos and units within the district, which has been shown to be held in the past, it is reasonably surprising that the Council of State is so reluctant to take a closer look at this as she expresses.
ParlaMint-NO_2000-05-03.ana.ud1122e2042	I can see that here you have, among other things. As a result of the question in the Questionnaire, the representative examined the matter that the representative raised, and I feel that I have received sufficient confirmation that the investigation is in good repair. But that does not mean, of course, that I do not generally agree with the representative Nymo that sometimes it is that the department should follow up and intervene if there are difficult cooperation relations or other issues that are not the same as they are in the police. But I hope so much that the new organisation of the central police department can take even more care of it in a good way in the future.
ParlaMint-NO_2000-05-03.ana.ud1122e2057	This question falls away.
ParlaMint-NO_2000-05-03.ana.ud1122e2063	I would like to ask the Minister for Church, Education and Research the following questions: ‘In Hedmark, as in other counties, secondary school students who have up to 6 km of school road one way have to pay for the use of public transport itself. Does the Council of State see this injustice that affects districts because of long distances versus those who live in more central areas, and what will the Council of State do in that case to eliminate this discrimination?’»
ParlaMint-NO_2000-05-03.ana.ud1122e2072	The right to free school kissing for high school students only applies to those who live more than 6 km away from school. This applies to all students, whether they live in central or more pig-grown strips. Students with a journey of less than 6 km to school usually have to cover any travel expenses, regardless of where they live. The principle of equal rights to education irrespective of the parent’s economy, place of residence and geography has been central to Norwegian education policy. The intention of equal rights to education also includes school kissing. The Law on the Welfare of Students was amended in 1994, and the right to free school pillows was introduced for students living at a certain distance from schools. The Ministry then established a minimum travel distance of 6 km, which was in accordance with the local government's standard regulations for showering students in secondary schools. The rule was continued in the Training Act adopted by Stortinget in June 1998. The size has therefore recently assessed and decided that there should be a certain distance between home and school for students to have the right to clear skyscrapers. There's in this case set a clearly defined limit to getting a right. I can't see that it's more unfair for students living in the districts than for students living in the central districts, that they have to live more than 6 km from school in order to have the right to a free shot.
ParlaMint-NO_2000-05-03.ana.ud1122e2083	I thank the Council of State for the answer. In its reply, the Council of State sets out the principle of equal rights to education, irrespective of the parent’s economy, place of residence and geography. Sees the State Council that high school students with a living distance to school at e.g. 5–6 km one road will have an additional cost in relation to those who have a very short school road, as well as those who have a longer school road than 6 km, and that this would unfairly affect those who are affected and thus have a worse economy?
ParlaMint-NO_2000-05-03.ana.ud1122e2090	It is clear that you can always discuss whether the limit should go at 5 km or 6 km – or 4 or 7. But the main thing is that in 1994 the Stortinget decided that at least those who have a distance of more than 6 km have the right to free school pillows. This applies both in cities and in districts. If the representative of Bredvold gets an impact on his policy, namely to have free choice of schools in the big cities too, more people in the cities will also be dependent on school kisses, and so people in the cities will be very happy to have this right. Now it's like I've been working on this court for a lot of years. When I started in politics, in the AUF of the South-Trande Team in 1989, the South-Trunde Teams of the County introduced a percentage on school kiss of NOK 1500. per student. We got that fight back, and finally we got a legal right. It's free for the counties to go beyond what the law gives the right to, but everyone with more than 6 km of school road is going to have the right to free school kiss. It would have been interesting to hear Bredvold's opinion on how the Progress Party's proposal not to have that right would have turned out also for people in pig-grown strokes.
ParlaMint-NO_2000-05-03.ana.ud1122e2099	I thank the Council of State for the answer. There was a little bit of thinking about reducing this and going down from 6 km to e.g. 5 km. Can the Council of State estimate going down to 4 km, as is the rule for high school students?
ParlaMint-NO_2000-05-03.ana.ud1122e2106	There's no concrete plan for me to go in and see if we're going to reduce that limit. It is, as I said, clear for each county council to decide whether to give free school kisses to those who live, for example. between 4 and 6 km from school, but the statutory law applicable to the whole country applies for 6 km. I interpret the question I now got from Bredvold, where the Progress Party has turned around 180° in this case and now is for free school kiss for those who live 6 km from the school site. That, I think, is a positive development. It was an important reform. When we got the right to three-year high school for everyone, it was important to make this right real. The progress party was against both. Now, obviously, there's been a turnaround, and I'm glad.
ParlaMint-NO_2000-05-03.ana.ud1122e2119	I allow myself to ask this question to the Minister of Church, Education and Research: «The need for new student housing in Oslo is great. High cost makes it difficult to obtain manageable rentals for new construction projects. The government therefore asked the government to consider amending the grant rules for student housing, so that the rate in Oslo, for example, can be increased to NOK 300000 within the current ceiling of 60 pst. of the construction costs. The Student Association in Oslo informs that they do so per year. On 27 April 2000, neither new building commitments nor signals have been received following the Stortinge’s proposal. When will this be followed up?’
ParlaMint-NO_2000-05-03.ana.ud1122e2128	I thank the representative Odd Einar Dørum for the question. This is an important matter. Few new student homes and increased housing prices have combined to create a difficult situation for students who want temporary housing. The construction of student housing shall contribute to reasonable accommodation and thus make it possible to choose higher education, irrespective of the economy of their own or of their parent. With regard to commitments for the construction of new student housing, Oslo was given special priority in 1999, so that there is hope that more student housing can be available to students in a short time. The rules for the award of grants for the construction of student housing are currently such that the rate of grants in press areas such as: Oslo may amount to up to NOK 300000 per year. Student housing unit, i.e. that the department can approve student housing projects with a unit cost of DKK 500000. Following the conversion of the Student Housing Grant Scheme, the Ministry has proposed that 60 pst be given. grants to student housing projects with a cost framework of up to DKK 350 000 per year. hybel unit. It leads to a state grant of NOK 210 000. However, the Ministry has opened up student housing projects in press areas, where specific costs contribute to the costing framework exceeding NOK 350 000, can be approved and granted State aid of 60 pst. of pre-approved construction costs. Specific costs may include building dwellings in press areas or adapting them to disabled persons. The upper limit on the approval of construction costs for student housing if, for example, it is built in press areas will be a discretionary assessment by the Ministry. In this assessment, particular attention is paid to the fact that students’ rents do not become too high. This was communicated to student partnerships, recognised student housing foundations, universities and higher education institutions in the letter of 10 June 1999. The Ministry writes that, on a case-by-case basis, we will consider a possible supplement to the cost framework of student housing projects in press areas. In March this year the department approved a student housing project in Oslo with a unit cost of NOK 426 000. The examination of applications for commitments for the construction of new student housing is in the final phase, and letters of assignment will expire in a short time.
ParlaMint-NO_2000-05-03.ana.ud1122e2143	I thank the Council of State for the positive basic attitude he shows in the answer. I am well aware of what has happened before with regard to the rules and the ability to exercise judgement. And if there's a point on my question, it's saying that this insight in Oslo enough has to become a rule. Because if you look at the housing situation in Oslo, based on the existence of plots at a reasonable price, and look at what is currently possible to produce, I think you have to rely more on prices at the level of the council itself mentioned, from NOK 426,000 and perhaps up to NOK 500,000. If you're willing to do that, you can also produce significant volume. You can achieve what both the Council of State and I have as common purpose, namely that this youth group will have a chance. So my suggestion is that the discretion that exists there is considered not just to be a judgement that is to be attached to individual matters, but a judgement that might have to be made more firm, so that when planning housing in Oslo, for example. student cooperation has a greater predictability.
ParlaMint-NO_2000-05-03.ana.ud1122e2150	It is in any case a limited pot of money that we have at our disposal for student homes, so the process of application and treatment in the department we must in any case go through, so predictability in relation to the fact that you will certainly get funding for any project, you will never come to terms with it. I can at least fully join the representative of Dørum saying that it is important to get built student housing even where the costs go beyond the standard rules, and the Stortinget even underlined in the consideration of the budget for 2000 that it was special in Oslo, plus some other places, that was the greatest need. The issue is that where there are press areas, it is also most difficult for students to obtain other housing, and therefore the need for student housing is also greatest there, but at the same time most expensive. That's what we've been trying to solve by showing such flexibility.
ParlaMint-NO_2000-05-03.ana.ud1122e2157	I and the Council of State fully agree that under the budget sentence we are all living, and that anyone who wants to influence the budget framework, whether it be the student parliament or the big business representatives or others, must participate in the process. My point was more that the framework, no matter how they might be at the budgetary procedure, should be that the possibility of exercising discretion could become the fixed rule. But I've understood that the Council of States is open to it, I feel that he here has an open position, and then we'd rather meet by other channels, so that what we have as an attitude can become a practical policy.
ParlaMint-NO_2000-05-03.ana.ud1122e2164	It's not long since I was a student in Oslo myself, and in the same way that the representative Dørum moved in like that. I know both from my own and from the reality of my peers what kind of housing situation is in Oslo. Now it is not against my will to find construction projects in Oslo that cost no more than the standard framework, but it is clear that we have to expect some projects in Oslo to be more expensive, and we are fully prepared to demonstrate the flexibility that makes it possible to realize the housing projects that are available on the student side of Oslo.
ParlaMint-NO_2000-05-03.ana.ud1122e2177	This question, from the representative of Arne Lyngstad to the Minister of the Church, Education and Research, will be raised by the representative of Elsa Skarbøvik.
ParlaMint-NO_2000-05-03.ana.ud1122e2180	I have the following questions for the Minister of Church, Education and Research: ‘The Information Service Fund is managed by the Ministry of Church, Education and Research. The Fund has ethical guidelines for its investments in line with the values of the Church. The NRK Television and Norwatch have shown that the investments do not follow these. What will the Council of State do to ensure that the Fund is managed in line with the Church’s ethical basis?’
ParlaMint-NO_2000-05-03.ana.ud1122e2189	The guidelines for the financial positions of the Information Society Fund are now set out in the main instructions for the management of the Fund, laid down by the Ministry of 12 October 1999. The ethical part of the guidelines is as follows: ‘Financial positions shall be based on an overall assessment of the companies concerned and on social, ethical and environmental conditions. The financial management shall take into account the value bases of the Norwegian Church. Shares shall not be acquired in companies which are wholly or substantially active in the porn, arms, tobacco or alcohol industry.» The majority of the portfolio of shares is set aside for the management of external AIFMs, such as ‘active management’, where the Information Society’s fund itself is the owner of each individual security, or is located in unit trusts managed by the same AIFMs. Portfolios are regularly held in meetings between representatives of the Ministry and the administrators concerned. These meetings include: following the financial position guidelines. The ethical guidelines are also contained in the agreements we have with the external administrators. The guidelines have been developed in consultation with the Council of Churches, and financial management is in consultation with it. However, it would be difficult, not to say impossible, sometimes to avoid companies in which the fund has shares, by buying or merging into a position that would enable them to run counter to the fund's ethical guidelines. The fund has on a few occasions sold shares in companies which, in the event of a proposed merger, would be in a position likely to run counter to the Church's valuations on an aggregate basis, and on a few occasions such relationships have been brought to the attention of others and acted accordingly. Otherwise, some minor elements of a company's or a subsidiary's business may be in isolation, but an overall assessment of the whole of the company's business must be taken into account in assessing whether the company as such is not investment-worthy of the Information Society's fund. Having assessed the matter, I believe that the department's administration has been managed as far as practicable in accordance with the applicable guidelines, but of course I will also consider input into the practice of the guidelines of the Council of Churches in connection with the possible reorganization of the management of the fund.
ParlaMint-NO_2000-05-03.ana.ud1122e2205	I thank the Council of State for the answer and am pleased that this is being carefully reviewed, and that of course you will follow the guidelines that have been laid down. The Church has a special responsibility that bears important ethical values, and therefore it also requires additional responsibility to be credible in this regard. And when this fund is intended for the purpose of the Church, it is important to follow the guidelines here. I know that the Council of State has stated in a TV program that a reorganization of this fund is being considered, and I want to ask the Council of State whether this will happen, and how he then assesses the composition of the board of directors of this fund. The Christian People's Party sees it as positive that there will be a separate government for this fund, and that it will be separated from the department.
