ParlaMint-NO_2000-03-29.ana.ud585e27	The representative Fridtjof Frank Gundersen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2000-03-29.ana.ud585e1688	I have the impression that if you can just connect a fee to the environment, anything goes. After all, it was also the environmental aspect that led to the left getting a pass for its king's mind, to increase the electricity tax and the oil tax. The overall tax burden on electricity, diesel and oil has serious consequences for both industry and rural public transport. Now it is the case that a ferry that no longer goes does not contaminate, while a bus that does not go will be replaced with a car. I would like to ask the Council of State: does the Council of State think that the Workers' Party should pursue this kind of environmental policy, or can it expect changes in this area?
ParlaMint-NO_2000-03-29.ana.ud585e1697	With regard to environmental policy charges, there will be one of several instruments, in no way the only one. I think that taxes on diesel have proved to have a very good environmental impact, so in this area it is from an environmental policy perspective right policy to continue the line we are on.
ParlaMint-NO_2000-03-29.ana.ud585e1705	I have the following questions for the Minister for the Environment: ‘In a letter from the rapporteur in the municipality of Frøya on 15 March 2000, I was informed that the Directorate for Nature Management, in its treatment of the exemption application from SalMar AS, will not take into account the St.meld’s deliberation. [[1998 - 1999]] No 43 Protection and use in coastal zones before deciding on the application. Will the Council of State ensure that this is taken into account?’
ParlaMint-NO_2000-03-29.ana.ud585e1714	Froan nature reserve and landscape reserve was established in 1979. In 1998, SalMar AS granted a derogation to the County of South-Trøndelag for farming within the landscape protection area, limited to 1 July of this year. The dispensation was given on a very special basis, as one in the period in question was faced with a serious outbreak of the ILA fish disease. In September 1999, SalMar AS applied for a new derogation for a further two years, and it was requested that the derogation application be dealt with quickly so that the spring and autumn meal could be released in 2000. The County of Southern Trøndelag rejected the application, and the case was sent to the Directorate for Complaints. Under the applicable rules of procedure, the directorate was obliged to deal with the matter as soon as possible. The application that the directorate has now rejected is based on a different basis from the original application of 1998, since it was not related to the disease situation. The Ministry of the Environment has been and is committed not to re-establishing protection plans which may affect industrial interests in the coastal zone until the Great Britain has completed its treatment of the coastal zone protection and use notification. However, this case does not concern the establishment of new protection areas but the normal management of an established protection area. Therefore, there is no criticism in the fact that the directorate has rejected the complaint for exemption while the landfill is in progress. The notification of the crash signals a need for evaluation of the protection areas and review of the protection regulations. This will give an assessed status of the protection values and effects on industrial interests and communities. I think it is important that the Storting should complete this message so that I can implement the measures outlined here as soon as possible. So this is one of the messages that will be in Stortinget.
ParlaMint-NO_2000-03-29.ana.ud585e1723	I thank you for your answer. What is critical in this matter is that the directorate writes to the municipality of Frøya v/rapporteur that they do not take into account the treatment carried out in Stortinget. It should have been absolutely done by this directorate, as long as it has been sent out as clear signals on the matter as it has been given. What is the problem here now is that this company – SalMar – will release 900,000 smolts, which will have to go out in a very short time in order not to be destroyed. Does the Minister for the Environment see what problem this is for this company?
ParlaMint-NO_2000-03-29.ana.ud585e1730	I think it is very important that this coastal message can be addressed as quickly as possible in the Storting, and the signals given there will, of course, guide me on these issues further. But since the government put forward a number of principles on how such areas should be managed precisely through that message, I think the clearest thing is that this matter is being dealt with and that follow-up follows.
ParlaMint-NO_2000-03-29.ana.ud585e1735	I thank you again for the answer. I understand the minister so that she is positive, but the problem here is that 900,000 smolts probably have to be moved to get to sea at all. What is the problem in this matter is not the melting, nor is it SalMar. What's the problem in this case is that the last 70 people who stay out there probably have to move with the fish. That's the whole problem in a nutshell. It's not time to stop these 70s. They must have a job to go to, and that's the only option they have. The blockage of the last 70 out there has no purpose.
ParlaMint-NO_2000-03-29.ana.ud585e1742	For this area and for too many areas along our coast, the challenge will be to secure environmental values for future generations while ensuring areas for the harvesting of natural resources and food production in the sea. That is why I look forward to receiving a quick response to this announcement in Stortingen, which will set out the principles for how it can happen.
ParlaMint-NO_2000-03-29.ana.ud585e1750	I allow myself to ask this question to the Minister for the Environment: ‘The opera has been adopted and added to Bjørvika. Urban development in the area is also actively pursued, including the setting of E18 in tunnels. What opportunities do the Councils see in the coordination and joint development of all state and municipal property grounds in the area, in order to ensure overall development, and in order to obtain money from property development to the financing of the sink tunnel?’»
ParlaMint-NO_2000-03-29.ana.ud585e1759	Urban development in Bjørvika is of major national, regional and local importance. Oslo Municipality has a primary responsibility for planning. Important State interests in particular related to road, port and opera suggest that the State must cooperate with the municipality in order to contribute to overall development. The Ministry of the Environment, as the top level planning authority, has had a central responsibility for coordinating the state interests of Bjørvika. There is a good dialogue between the most interested parties and the physical planning of the new urban area. Oslo Municipality cooperates with the Statens vägvesen Oslo, NSB BA Eiendom and Statsbyggen on the basis of a regulatory plan covering the whole area. Proposals for a regulatory plan should be promoted for policy-making and expected to be addressed by the City Council in spring 2002. The main challenge is to clarify the funding of new E18 through the site. The plant is primarily justified by local urban development potential. It is assumed that municipal contributions as well as the increase in the value of the land in the area will be allocated to the financing of the road project. The Municipality of Oslo has decided to grant 150 million. kr as its contribution to the national road system. The Ministry of the Environment has chaired a working group of representatives of the main landowners and the Municipality of Oslo to calculate the increase in the value of the land resulting from the sinking tunnel. The amount of value added that can be allocated to the financing of the road system needs to be clarified through negotiations with the landowners. I believe that there is a good basis for finding comprehensive solutions and putting in place an effective organisation for urban development. The parties must now enter into negotiations themselves on the formation of a company, in line with the proposal of the NSB Eiendom to the Municipality of Oslo. I will follow developments to see if the Ministry of the Environment can contribute to the desired progress and results. The question of priority and the total funding of the national road network will be clarified in the work of the national transport plan.
ParlaMint-NO_2000-03-29.ana.ud585e1772	The Council of State and I see in it all materially equal to the importance of the area and how one must work to find a solution. I believe that the company formation mentioned in the answer is important, and I allow myself to ask an additional question: Will the State take, in one appropriate way or another, an initiative to start a development company in order to ensure an overall expansion in Bjørvika – where it is natural that both state and municipal interests are involved?
ParlaMint-NO_2000-03-29.ana.ud585e1779	I see it as natural to follow up this matter. The working group that has explored different models for the implementation of urban development has done an important job. In a letter to the Municipality of Oslo in January of this year, NSB Eiendom asked for a dialogue with the municipality on the possibilities for a more permanent cooperation on land development in Bjørvika and Bispevika. This may take the form of this joint formation of companies or other forms of cooperation. On this basis, I will follow closely the case further.
ParlaMint-NO_2000-03-29.ana.ud585e1791	I have the following questions for the Minister for the Environment: «The Ship and Våler municipalities in Østfold appeals to the Directorate for Nature Management for its rejection of the application for the killing of «ulfettispa» in the area and asks the Ministry of Environment to reverse the decision and grant the application. Municipalities consider that the frequent exposure to humans, which has caused fear in the area, has not been adequately taken into account. Will the Ministry emphasise this aspect in the review process?’
ParlaMint-NO_2000-03-29.ana.ud585e1800	On 8 February this year, four municipalities in Østfold applied to the Directorate for Nature Management for a mollusk permit on a wolfite who has been in charge in the municipalities for the last year. Ulvetispa is the same as last year got a puppy cow with a dog. It is not desirable for mixed wolf and dog animals to spread in the wild, because it can lead to the spread of dog genes in the Scandinavian wolf population. As a result, in February of this year, the directorate granted breeding authorisation to mixed puppies. At the same time, the Directorate concluded that the adult wolf is a pure-bred wolf. The legal basis for dealing with municipalities' breeding applications is the law of the game and the regulation on the management of bears, yerv, wolf and gaupe. According to the regulation, the directorate may grant a breeding permit if the wolf causes significant damage to the buff and tamrein. The decision shall take into account the size and composition of the wild game in question, the importance of the area as pasture and the extent and development of the damage. Before granting a killing permit, it shall be assessed whether preventive measures to mitigate the damage can be implemented instead. The Executive Board rejected the application on 2 March this year. The procedure is such that any complaints are prepared by the Directorate before they are sent to the Department for decision. The appeal period expired a short time ago, and the Ministry has not yet received the appeal case to which the representative Hedstrom refers. When a possible complaint comes to the department, we will deal with it carefully. In view of this, I would like to add that I intend to propose changes to the wild law before the summer, in line with the proposals that have been out for consultation. We will also prepare a plan for the further management of the wolf before the summer. The scheme will include preventive measures against wolf injury to sheep during the grazing season and a model for differentiated management. The management model will be sent to a broad consultation.
ParlaMint-NO_2000-03-29.ana.ud585e1813	I thank the Council of State for the answer. The Directorate’s assessment of the content of the application is deemed to be correct, but the assessments are assumed to be incomplete in relation to the entire content of the application. The refusal is only justified by the fact that the stock target in South Scandinavia has not been reached. The application contained many other elements that have not been emphasised in the rejection. I want to take some examples: Ulvetispa has often exposed himself to humans and almost behaved like a dog, and the indications that the wolf may be outsourced by humans are not discussed. Furthermore, it is possible that the flock to which the animal belongs has infected humans. The sum of these and other things is not added to the weight. Storing notification of the predatory game management, the Berne Convention and the Wildlife Act provides for the possibility of taking out wolves with undesirable behaviour without reaching the final stock target. Do the Councils agree to this?
ParlaMint-NO_2000-03-29.ana.ud585e1822	Any complaint coming to the ministry will be subject to a wide range of treatment. All the work I'm doing in this area is based on Stortingen's decision on robbery management. But I remind you again that Stortinget will have the opportunity to follow this up when I propose changes to the wild law before the summer. The proposal for the further management of the wolf is also important in this context, and this proposal must therefore be sent to the hearing.
ParlaMint-NO_2000-03-29.ana.ud585e1829	I thank the Council of State for the answer. Today’s Newspaper mentions ‘Siris Environmental Offensive’. It says, among other things.\t\t You can change the ‘The Bondevik government never had the power to present a plan for its own wolf zone in Norway, prepared by the Directorate for Nature Management and the counties of our south-east regions. On the other hand, the Council of State confirms Siri Bjerke that the zone plan will be submitted before Easter.» As far as I can see, it will cover the southeastern Hedmark with Finnskogen and southwards east of Glomma, then most of Akershus with Oslo’s northern land and the whole of Eastfold. My question is: has this plan been consulted? It must be the case that the municipalities concerned have a right to be heard before a final plan is submitted.
ParlaMint-NO_2000-03-29.ana.ud585e1841	For the sake of order, let me remind you that the first part of the quote from the representative Hedstrøm came out here was the newspaper's own comments. What I have said there is precisely that I want to file a case for the Storting about changes in the wild law, which I have also confirmed here today. As for the work on the zone plan, we will have a thorough discussion of this in the Government. What we are now building on is, among other things, the proposal on which the county councillors of all the counties concerned have worked. It would then be natural that this proposal might seem a season, and then go out to a wide consultation in the next round.
ParlaMint-NO_2000-03-29.ana.ud585e1851	‘The coast outside of Sunnmare has once again taken a human life as a result of a tragic accident. A fisherman fell overboard while practicing his profession as a fisherman. His son was unable to get him back into the boat, and he died after a while. A rescue helicopter, if stationed at Vigra, could arrive at the accident site in a short time, but this rescue helicopter has been removed by the Stortinget. Will the Council of State take an initiative to allow a multi-use helicopter to be stationed at Vigra?’
ParlaMint-NO_2000-03-29.ana.ud585e1858	I intend to send a big message about the rescue helicopter service during the spring. Such a big message was also notified by the previous government. The message is based on proposals for changes and improvements to the rescue helicopter service promoted by a government-appointed selection in 1997. The message will include: address responsibilities for the service, response time, medical staff, requirements for new helicopters and future base patterns. In other words, an assessment of the question of the use of a multi-purpose helicopter in the North-West and any further location of such a helicopter will be included in that notification and answered accordingly. In the case of the tragic drowning accident referred to by the representative Nesvik, the Central Rescue Centre of the Sun informs us that in this specific case, a helicopter located at Vigra would have no significance for the outcome of the rescue operation.
ParlaMint-NO_2000-03-29.ana.ud585e1865	Whether what comes from the Sola Main Rescue Center is correct, it must be unsaid from my side. But one of the main causes and criticisms of this special accident was that the entire rescue operation – at least this is what the fishermen felt – was poorly organized. If a helicopter had been stationed on Vigra, and if it had been manned and able to make the calls that were to be made, one could get down using winch and possibly save this fisherman. It didn't happen because the nearest helicopter is on the island. It is therefore important in a district like Sunnmaere, with a large number of fishermen and boats and other coastal shipping, that we have such a rescue helicopter in place. I would like to ask the Council of State once again: will she take account of this dangerous coastal stretch when this matter is brought before the Stortinget?
ParlaMint-NO_2000-03-29.ana.ud585e1874	It is not difficult to agree that there must be a proper rescue helicopter service also for the North West and for the fishing fleet on Sunnmøre. What is the question is how best to take care of it. There are many elements to be included in the assessment – the location of the helicopter, the type of helicopter, whether or not it should be a fully-fledged base and the type of response time it should be. All of these elements are what together determine how to get a proper rescue helicopter service for all parts of our coast.
ParlaMint-NO_2000-03-29.ana.ud585e1879	Perhaps the most important thing to do on the part of the department is to look at the possibility of hiring helicopters, for example. from private companies. Among other things, I have have been in contact with a company that says that it is no problem to place a helicopter on Vigra and operate it at a much cheaper price than the previous rescue helicopters had. What has been referred to about the responsibilities is very important here, because the way this system works, the defense owns the helicopters, while the use of the rescue service lies with the Ministry of Justice. Then you have all the time broken interests. It is important to note that this county is perhaps the most fishing-dependent county in Norway. And it's important that we in the Storting can make sure that the rescue services provide the safety of those who travel at sea. This country has very high incomes from fishing and other coastal industries, and we have to make sure that they also feel the security that it is to have such a rescue helicopter in place.
ParlaMint-NO_2000-03-29.ana.ud585e1888	All the elements that the representative Nesvik addresses are those that should be included in the notification and that the Stortinget is also given the full opportunity to discuss in connection with the processing of the notification in Stortinget.
ParlaMint-NO_2000-03-29.ana.ud585e1897	I will be allowed to ask the following questions to the Minister of Justice: ‘When the Police Commissioner at Sunnmøre provided statistics for the Sunnmøre business, this was a statistics that alerted attention not only to the poor percentage of profit-criminalisation but also to the serious nature of the proceedings in the district. According to Sunnmørsposten, 8 March 2000, the Department has now reacted to the lengthy procedure by withdrawing a legal position at the Police Chamber. Will the Council of State take an initiative to maintain this position?’
ParlaMint-NO_2000-03-29.ana.ud585e1906	It is not true that the Ministry of Justice has taken up a legal position at the Judicial and Public Prosecutor's Office in Sunnmøre Police District. Due to several major criminal cases, the police district has had an extraordinary police officer since 1997 in addition to the permanent lawyers. He/she is now entitled to permanent employment on first leave in one of the permanent legal posts. So what is now going on is formalising the employment relationship of the extraordinary police officer. Looking at Sunnmøre police districts compared to other comparable police districts, Sunnmøre police districts are at about the same level as the others for lawyers. However, as the representative of Nesvik also mentioned, the length of the six police districts is one of the highest. However, the Ministry is under consideration to allocate exceptional funds to Sunnmøre police districts to reduce older criminal cases and to work on more serious criminal cases in 2000.
ParlaMint-NO_2000-03-29.ana.ud585e1917	It is true, as the Council of State says, that there has been no permanent residence in the Sunnmore police district, but there has been – as was said – an extraordinary police officer there, in addition to the permanent lawyers. Looking at developments in the length of the procedure, there is a significant number of criminal cases in the police district, where this is, in fact, also seen by the convicted, those to be judged as regrettable that it has taken such a long time to bring the case up and also in terms of punishment. I'm going to ask the council once again to answer: we expect more things to come, and is that the right way to go down prioritizing the legal positions?
ParlaMint-NO_2000-03-29.ana.ud585e1926	I agree with Mr Nesvik that it is important to reduce the length of the procedure in the police districts where the procedure is long. As I also said in my first answer, it is that Sunnmore police districts, as far as the number of police lawyers is concerned, are equal to other police districts that you can compare with, and that is also the number of reported conditions, the number of residents, etc. Then it is not certain that the best way to solve this is only to increase the number of posts, but rather to consider, as I have also announced, to grant an extraordinary grant to reduce the number of stays, so that Sunnmaere police districts can continue to work in a way that allows them to reduce the duration of proceedings in the long term, in the same way as the districts they can compare with.
ParlaMint-NO_2000-03-29.ana.ud585e1933	I have to say that the answer from the Council of State is really starting to confuse me, because first you say that it is right to remove this position because you have no more jobs than elsewhere, and then you say that in 2000 you will give extra appropriations, so that you can get the remainder down. As I understand it, it is probably by adding legal positions that you can reduce the processing time. In order to bring even more cases into court and to deal with them, it is probably not useful with additional resources for the police if you remove the piece of law at the same time. My question to the Minister of Justice is: Will there be more emphasis in the future on getting even more legal positions into the police, so that the ordinary citizen in this country can be sure that in those cases where you are so lucky – at least in my district – that you are taking the relevant profit criminals, it is not considered as a problem that it takes too long to bring matters to judgment?
ParlaMint-NO_2000-03-29.ana.ud585e1942	Firstly, I fully agree with the representative of Nesvik that it is important to reduce the length of the procedure. Secondly, there is a difference between increasing the number of permanent posts in a police district when you are initially even with others and making an extraordinary effort to reduce the number of redundancies in a shorter period. And that's what the department has under assessment. With regard to the third issue raised by the representative Nesvik, appropriations for police judicial posts in general, there is something the Government of course comes back to in ordinary budgetary proceedings.
ParlaMint-NO_2000-03-29.ana.ud585e1959	I allow myself to ask the following questions to the Minister of Justice: ‘A major problem for the taxi industry in Oslo is the large number of pirate dross operating in the city, preferably in the vicinity of taxi stops. This is estimated in the media to be hundreds of pirate dross. This creates problems for the taxi industry, while weakening respect for the law. The law-abiding are undermined by those who do not respect the law. What action will the Council of State take to limit piracy?’
ParlaMint-NO_2000-03-29.ana.ud585e1968	Piracy activities will be a criminal violation of § 26, cf. § 7 nr. 1, which requires that the person who will carry a motor vehicle will be entitled to provide for the carriage of passengers in return for remuneration. In accordance with Section 7 of the Driving Licence Regulation. In addition, point 7(a) requires drivers to: a driver's licence is required for the carriage of passengers for consideration. There is also reason to believe that piracy is often known as ‘black work’. Police action against piracy will primarily take place through criminal prosecution of such acts. This effort must be given priority, as must efforts to address other problem areas. It is primarily the responsibility of the police chief in each police district to carry out this priority and, therefore, to continuously assess to what extent efforts can and should be made to address such activities. For information, however, I can add that the Supreme Court has argued that the performance of a single driving task falls outside the provisions aimed at the ‘will-operate’ passenger service, cf. Transport Act § 7. Repetition is therefore required in order to obtain a conviction. This means that there is a need to put an end to a not insignificant effort by the police in order to get a conviction in such cases.
ParlaMint-NO_2000-03-29.ana.ud585e1977	I thank the Council of State for the answer, while admitting that I am very disappointed because I believe this is such a serious matter. Among other things, it was claimed from an informed perspective that organised crime is behind a part of this piracy activity. I would therefore have liked the Government to take the initiative to find solutions and to look at what measures can be taken to get something done about this. The obvious measure is, of course, to increase the resources of the police, but one can for example. – only to mention one measure – check and fine some of the private cars running in areas where only taxis are allowed to drive. This is the only way to reduce profits and thus make it less attractive to run this business.
ParlaMint-NO_2000-03-29.ana.ud585e1982	What also surprised me – to say it this way – when I went into this issue of piracy, was the requirement that the Supreme Court had taken into account, and which has thus been perceived as having to take the same car twice in order to lead the case to a conviction. If this is the case, as the representative Danielsen points out, that this has evolved largely into organized crime, it may be that in this way one can more effectively carry the evidence that will be needed before the court, in order to substantiate that this is a repetitive activity of the driver of the taxi, not a single case, which is therefore not sufficient for conviction. Just that assessment and that following up that piece to find out if it is possible in an easier way to take those who are running pirate jerseys today, I want to do.
ParlaMint-NO_2000-03-29.ana.ud585e1987	Once again, I thank the Council of State for the answer. It is positive that the council wants to follow up what she said. In addition, it is in my opinion appropriate to ask the police more closely to carry out random checks, and also to initiate a meeting, among other things. with the industry and the local authorities of Oslo, so that an action plan can be drawn up to address this problem. What is paradoxical, and which, in my opinion, is a little daunting in terms of respect for law and order in this country, is that a few years ago there was a massive cleaning up of tax illegalities in the taxi industry with a view to ending ‘black’ taxi driving. But today, it is actually those who are law-abiding and who are running clean in this industry, who are being squandered at the expense of those who are engaged in illegal activities and who are thereby undermining industry and respect for law and order, and also the offer that the public should be entitled to in respect of taxi operations. So I hope that the Council of State gets to grips with this.
ParlaMint-NO_2000-03-29.ana.ud585e1996	I will take with me the moments that the representative Danielsen has mentioned. But I would nevertheless like to stress that I am initially skeptical about some way of going in and overseeing the priority that individual police districts are making of what matters they see as the most important priority in their district, with the resources they have at all times.
ParlaMint-NO_2000-03-29.ana.ud585e2004	I want to ask the Minister of Justice the following questions: ‘Why is it that the Ministry of Justice, against the intentions of the majority of the population, instructs the police officer in the North-Møre Police District to keep a lenght officer on duty at the Surnadal and Rindal Lensmannskontoret?’
ParlaMint-NO_2000-03-29.ana.ud585e2011	It is not correct that the Ministry of Justice has ordered the police officer in Northmore to keep a lenght officer position available at the Surnadal and Rindal Lensmann offices. In 1999, two posts were assigned to the North-Mørre Police District, one of which, following negotiations with the organisations of the delegates, was placed at the Surnadal and Rindal Länsmannskontoret and occupied. Later in 1999, the bilgeman of Surnadal and Rindal retired after the age limit. However, in view of the lack of operational budgets for 2000 as well, the police chief in Northern Ireland has decided to keep three posts in the police district open until further notice. One of these is the man-man-man position mentioned here, which became vacant due to internal insurrection after the bilgeman left. The Chief of Police is responsible for an ongoing assessment of the budgetary situation in the police district. It's all the other stuff in St. Prp. No 1 for 1998-99 opened up to keep police districts unoccupied.
ParlaMint-NO_2000-03-29.ana.ud585e2024	What surprises me is that here in this room we are creating one budget after another, there is one wish after another, even having decided that we should secure the 300 students who come out of the political sphere, work in the future, and we are all – I believe almost politically – a few that we should now bet on strengthening police resources in the districts and cities, and then we feel that there is a setting up, and they may have added two or three months, then to be added without anyone, and then to make the posts vacant. Does the Council not see that this is in a way to put blues in the eye of people who have confidence in the adoption of the Bill and the measures taken by the Stortinget in implementing decisions, to give people in the districts and cities – yes, in the whole country – a safer everyday life?
ParlaMint-NO_2000-03-29.ana.ud585e2029	What the Storting decides in addition to job homes is, of course, a budgetary framework, and it is, therefore, the duty of the police officers to keep the budgetary framework allocated to them. And in order to comply with the overall budgetary framework allocated to them by the budget decision of the Grand Duchy, it is in some districts that you keep jobs unoccupied. It is precisely to comply with the decisions taken by Stortinget.
ParlaMint-NO_2000-03-29.ana.ud585e2034	I understand that the Council of State in one way has an excuse because it has our Council of State for only fourteen days, and that the budget has been presented by another government, but still its Labour Party, represented by the Council of State, with responsibility for this existing budget. Let me now say that I will be so big of myself that I apologize to the Council of State, and that I will give her the opportunity to come back to the matter, simply: will the Council of State try through the revised national budget, which the Labour Party and this government are now going to present, to change the framework, so that one in the vigilant officers and positions in the police can now be added for the rest of the year, and especially perhaps in this position that I have here drawn up?
ParlaMint-NO_2000-03-29.ana.ud585e2041	It is perhaps because the representative Solholm knows that I am new, that he is trying to get me to say something about the revised national budget before the revised national budget is promoted by the Government, but it is therefore such that I have no intention of saying anything about the content of the revised national budget until the revised national budget has been treated and promoted by the Stortinget.
ParlaMint-NO_2000-03-29.ana.ud585e2049	I allow myself to ask the following questions to the Minister of Justice: ‘The Ministry of Justice paid NOK 95 000 on 2 March 2000 for the search for the missing persons for the ‘Sleipner’ loss. The missing persons also received 150 000 kroner in support of the company Hardanger Sunnhordlandeske Dampskipsselskap [[HSD]] Will the Council of State provide additional funds for search in line with the promises of the former Minister of Justice?’
ParlaMint-NO_2000-03-29.ana.ud585e2058	The public has contributed considerable resources in this matter. In addition to the above 95 000 kroner, the Ministry of Justice has contributed approximately. Two million. for the search after the end of the rescue operation. This money is given as an extra appropriation to the Hordaland Police District, which has had the overall responsibility for the searches. In addition, the Defence has contributed to the use of the special vessel KNM ‘Tyr’ for search. In addition, I would like to stress that when they mentioned NOK 95 000 were given, it was also clearly stated by the Ministry of Justice that additional support could not be expected. However, it is such that the Defence Special Vessel KNM ‘Tyr’ will nevertheless carry out further searches in week 14, i.e. from next week. The costs of this will be borne by the public. A coordination meeting is being held today, and the area of the search will be defined in consultation with both the police and the relatives. The aim of the meeting is to gather expertise from the Maritime Defence Agency, Hardanger Sunnhordland Steamship Company [[HSD]]
ParlaMint-NO_2000-03-29.ana.ud585e2065	I thank the Council of State for the answer. We live as we know it in one of the richest countries in the world, and I think, among other things. on the basis of this, it is unworthy that relatives should be required to collect money in order to find their missing persons. None of us can really understand the situation they're related to, without having experienced anything similar themselves. I still think we have to try to understand the desperate situation they are in, and I had therefore hoped and taken it as a matter of course that the state put up financially and at least did what was possible for the missing ones to be found, so that the relatives at least got a grave to go to to remember their loved ones. However, I interpret the Council's response as a bit positive, but it was a little unclear as to the means to be used. I have previously recorded that the Council of State would have a professional assessment of this before one would go in with additional funds. I would therefore like to ask what might be expected of the amount and how long such a professional assessment would take.
ParlaMint-NO_2000-03-29.ana.ud585e2074	It's very easy – or I don't know if it's easy – to understand that the relatives of such an accident, or others who lose their closeness to the sea, need to find the dead, so you get a grave to go to. At the same time, of course, there are limits to how long you can search for dead people at sea. It is in some way in the nature of the matter that at some point the chances of finding the deceased are so small that you cannot continue to apply. That is the dilemma we face at all times. I asked for a professional assessment that was based on an assessment of whether you have any reason to believe that these are the possibilities to find those who have died by looking further. The assessment I've received through the Hordaland Police Chamber is that you think, as you thought when you stopped the search at an earlier time, that the chances of finding the dead are very small. However, this new round of KNM “Tyre” is made so that there is a hope of finding the dead in that round, but if it does not, I am not prepared to continue to provide support for further searches.
ParlaMint-NO_2000-03-29.ana.ud585e2081	I am both amazed and disappointed that the Council of State has not yet understood the seriousness of the situation. Of course, it is commendable that some private individuals initiate a collection operation, but I still want to ask the Council of State: Is it really one of the richest countries in the world that in such a case one has to collect money privately to search for the missing?
ParlaMint-NO_2000-03-29.ana.ud585e2086	I do not think there is any simple answer to this. If you say yes to always cover the costs when private take the initiative to collect money, it means that the public will always continue to cover the costs of searching as long as the relatives want it. That limit may not be the limit you should draw. Nor is it the limit indicated by the sample that has conducted an investigation into the search for dead people at sea, and where it is just drawn up that there must be several elements in the evaluation of the length of time to search and when to complete a search, and, among other things, how to complete a search. the possibility of finding the deceased will be an important element. It is clear that the emotional desire to seek much longer than any professional, independent assessment will be due to the fact that there is no longer any hope of finding the dead.
ParlaMint-NO_2000-03-29.ana.ud585e2094	‘In its Declaration of Accession, the Government promises initiative for a joint programme between authorities and businesses to develop new greenhouse gas cleaning technologies CO2. During the discussion of the Energy Communication, the Workers' Party voted against the proposal of the Centre Parties for such a programme with several concrete proposals. By 1 June 2000, the Government shall facilitate the construction of conventional gas power plants without CO2 cleaning requirements. Will the clean technology development programme be completed as quickly as possible?’
ParlaMint-NO_2000-03-29.ana.ud585e2101	As I find it difficult to recognize the premise of the question, I see the need to update the Storting on what has happened in this matter. In the context of the 1998 budget, the Jagland Government proposed the creation of a technology fund and an environmental fund. These funds would include: support measures to develop new, better and more environmentally friendly technologies, including: CO2 reducing measures. As a former parliamentary leader in the Left, Kvassheim is probably aware that the proposal for a technology fund was removed by the Bondevik government. The environment fund was also greatly reduced. In the absence of progress in this matter, a majority in the Stortinget made up of the Right, Labour and Progress Party a note on increasing research in this field in connection with the budget for the current year. The centre part was not included in this comment. I interpret it as these parties as late as last December did not see the need for such research. Fortunately, these parties used Christmas holidays well, because in February this year these parties also saw the need for such research. Although I see the need to take back some of what we have lost in this area in the last few years, I will focus on the progress that the previous government has made. I want to show you here the spontaneous Question Time on February 16th this year, where Arnstad informed me that she would propose a programme for the development of CO2-free gas power technology in connection with next year's government budget, and that a work was started to establish such a programme. I want to carry on this work. The new government sees that the stake will primarily meet three needs: further develop the technology in areas where Norway is already well advanced internationally to further develop the competences of the Norwegian research community in some priority research areas which are important for the development of this technology to develop and strengthen cooperation between the Norwegian and international research communities in the field; The government will continue to implement such an application.
ParlaMint-NO_2000-03-29.ana.ud585e2124	We have had several opportunities to discuss what the Council of State used to say a lot of the answer, that is, what has happened, and the disagreement about the technology fund and the progress there. However, what is far different and much more is the outline of a programme for the development of CO2-free gas power plants presented by the centre parties during the processing of the Energy Communication in Stortinget. It was a program that would have speeded up technology development in Norwegian companies. Now one is in danger of part of this work shooting speed abroad. So my question is: does the Council not see the need to quickly present something more than just a positive willingness to contribute to research efforts, but simply sketch out the framework conditions that make it this track that is being selected in future rather than conventional gas power stations?
ParlaMint-NO_2000-03-29.ana.ud585e2133	Of course, I'm glad that there's now a deal in this area, and that the center party is now some with the other parties on the Stortinget that one should be investing in getting CO2-free technology. Given that we have lost some years in this area, I agree that it is important to bet and get started quickly on this work. I showed in my contribution to the former oil and energy minister, Marit Arnstad, who outlined the progress of this scheme in Question Time on 16 February this year. The new government wants to have the same progress in this area as the previous government.
ParlaMint-NO_2000-03-29.ana.ud585e2140	I note that there is no agreement in this area, because the Workers' Party has not so far said that they are willing to use tax and tax facilities to get CO2-free gas power plants to fire speed. And even if it is that it will take time to develop a complete programme that could possibly be presented in the budget for the coming years, it is a strong wish that, in the context of what is to be presented before the summer, there will be signals that this new way of thinking about creating new technologies, also has the support of the Government. So my follow-up question is, wouldn't it be positive signals on this forward-looking path to go and develop the clean solutions? Information Director Tor Steinum in Norsk Hydro said the other day that it will take at least five to six years to build conventional gas power plants in Norway. That means that if we want to, we have time to get the cleanest solutions that are the most competitive, and those that are chosen when it comes to building.
ParlaMint-NO_2000-03-29.ana.ud585e2147	I have to admit that I have difficulty seeing that there is a lack of a positive signal. The Labour Party has already put forward proposals in 1997, where we wanted an increase in investment in this area. It was the Bondevik government that removed that bet that time. We have to respect that. We're supposed to be involved in resuming some of the lost. But in my view, the question that the representative Kvassheim now asks lies outside the question that was the basis of my answer, namely whether a programme between authorities and businesses should be launched to develop new cleaning technology. That's where I want to say that we have great ambitions. When it comes to progress, we want to focus on the progress that the previous government made. However, the other questions, about billing fees etc., in my view, are different.
