ParlaMint-NO_2000-02-23.ana.ud1940e31	The called alternate of the Telemark County, Gunn Marit Helgesen, has taken the seat.
ParlaMint-NO_2000-02-23.ana.ud1940e1489	I do not know the specific matter that is the starting point for the notice in Varden. After 1 February 1999, Telemark is a member of the Southern Health Region. Before that time, Telemark was in health region 2. Telemark was early out with decisions on free hospital elections. If the county guidelines are followed, the relevant travel expenses are required to be covered. If the user has chosen a location to be treated on a free basis, it will not be possible to apply the same requirement. But I'm going to say that both of the questions from Bello's representative are followed up and examined in more detail. That's what I think is reasonable.
ParlaMint-NO_2000-02-23.ana.ud1940e1499	I allow myself to ask the Minister for Health the following questions: ‘Personal and private data on 100,000 Norwegian women and their children from the ‘Norwegian mother and child study’ may be sent to foreign pharmaceutical manufacturers, showing a World Gang survey on 15 February 2000. Foreign pharmaceutical companies and genetic engineering companies are in line to access the biological material in order to contribute financially to the project. The data protection authority considers this to be in breach of the concession terms. What will the Council of State do to ensure that sensitive information is not compromised?’
ParlaMint-NO_2000-02-23.ana.ud1940e1508	The Norwegian mother and child survey were dealt with in Stortinget in 1998. The government proposed in St.prp. No 65 for 1997-98 that the project could start on condition that the State Institute for Public Health secured the bulk of the project funding, either through external sources of funding or through current grants for R & D purposes. The size joined this. Since then, Folkehalsa has been in contact with a wide range of potential stakeholders, including commercial companies, to which the representative Sjøli refers. I would like to stress that no agreements have been concluded with these. The Norwegian mother and child survey are a major research project, which will contribute a lot of new and important knowledge. Like other major Norwegian health studies, it has also proved to be of interest to international pharmaceutical companies. However, although the project is endorsed by the Regional Committee on Research Ethics and the Consent has been granted by the Data Protection Authority, there is still a need for clearer ethical and legal guidelines for the use of the type of material to be collected here. The Government has recently appointed a sample to assess different aspects of the procurement, storage and use of human biological material for different purposes – the so-called Biobank Selection. The Committee shall, in accordance with its mandate, inter alia: ‘systematise and discuss fundamental... ethical and legal issues arising’, including issues of availability, consent, privacy and also ‘commercial exploitation of the material or information/knowledge to which the material gives rise’. The committee shall deliver its opinion by the end of this year. In 1999, the State Institute for Public Health itself asked the Department to investigate the principal aspects of cooperation with commercial companies, and the Institute is now also represented in those selections. Public health is also understood to mean that, before the selection is closed and followed up, agreements are not to be concluded with stakeholders moving into the ethical and legal grey areas to be investigated. Of course, it has been suggested that any preliminary investigation into agreements to provide funding for the project should be based on and be within the concessional conditions. In addition, I would like to draw attention to a legislative proposal that is now under consideration in Stortinget, and that includes, among other things. concerns the same issues. This applies to Ot.prp. No 24 for 1999-2000, om law amending Law No 9 February 1973 6 on transplantation... etc., which, if the Storting joins it, will prohibit the purchase and sale of biological material as such, including blood, for financial gain. So it's not delivered biological material, and it's not as it said in that newspaper essay: ‘Personal and private data on 100,000 Norwegian women and their children may be sent to foreign pharmaceutical manufacturers.’;» A legislative proposal has already been submitted to the Stortinget, which severely limits the potential for the commercial sale of biological material, and it also reduces a sample that has been entrusted with the thorough examination of the ethical and legal aspects of the collection, storage and use of human biological material. I want to make sure that the State Institute for Public Health adheres to the guidelines I have referred to here.
ParlaMint-NO_2000-02-23.ana.ud1940e1533	I thank the Minister of Health for the answer. I have to admit that I reacted strongly and with great concern to this proposal in the VG, and I have understood that the Council of State has also done so. There is reason to stress that there has been a significant disagreement about the value of money, the ethical issues and the privacy of this project. The right-hand side initially had pretty big concerns with that just for that reason. It is, therefore, reassuring to hear that no material has been delivered, and that it is not as it said in the paper. I am also pleased that this Biobank Committee, mentioned by the Minister of Health, will address the specific problems that we are dealing with, namely this with privacy, that with the consent and commercial exploitation of the material. We also, I understand, have an opportunity to discuss this in the treatment of the odelstingsproposition mentioned by the Minister of Health, Ot.prp. No 24, to look at just this by prohibiting the purchase and sale of biological material.
ParlaMint-NO_2000-02-23.ana.ud1940e1550	This question has been withdrawn.
ParlaMint-NO_2000-02-23.ana.ud1940e1556	I allow myself to ask the Minister for Health the following questions: ‘UiTø and RiTø have been pioneers in health cooperation in North-West Russia. In the distribution of 10 million. expenditure on health projects in the Barents region is allocated to the environment in North Norway and Tromsø very small proportion of the funds. The part of the country is very poorly represented in the sample of funds allocated. How will the Council of State ensure that those environments experienced in cooperation and geographical association with the Barents region are included in the allocation process of funds for health projects in the Barents region?’»
ParlaMint-NO_2000-02-23.ana.ud1940e1565	Let me first give tribute to the University of Tromsø and the Regional Hospital in Tromsø, which for many years has shown a great commitment and a great effort for health cooperation between North-West Russia and Norway. In particular, cooperation with Arkhangelsk has been close and effective, and it has produced good results. As regards the four-year cooperation programme for health in the Barents region, this was adopted by the Barents Council in 1999. It is important to stress that this is not a general pot for the allocation of funds for health cooperation with Russia. The allocation of funds through the health programme takes place in accordance with fully specified frameworks, as provided for in the Decision of the Barents Council. This means that financial support can be provided to projects falling under one or more of the five priority areas, such as: Infectiveness, mother/child issues and lifestyle. In addition, projects must refer geographically to the Murmansk, Arkhangelsk and Karelen counties. The allocation of funds must therefore take into account a reasonable distribution of funds between the different areas of activity and geographical areas. It is also important to stress that this is a health programme with practical objectives. Therefore, pure research projects are initially excluded. At the last allocation round, many of the project applications from Tromsø were largely research-oriented. The main focus of the applications from Tromsø has also been on only one of the five areas under the programme and one of the geographical areas. We have therefore asked several applicants from Tromsø to come back with adjusted applications to get the projects more in line with the health programme's intentions. The ministry is also in conversation with the Tromsø environment to discuss how they can improve the grant rate at the spring award round. So to the process of distributing the funds. It is government funds that are distributed and the Ministry of Social Affairs and Health takes the final decision. The Ministry has appointed an advisory committee with representatives of the underlying trade unions, one representative of the heads of state health in Northern Norway and one representative of the Barents Secretariat in the Church. The Ministry has not seen it as natural that the large applicant communities, such as The WHO, the Tromsø Environment, the International Tuberculosis Associations, Norwegian Folkehelp and the Church Hospital were to be directly represented in the Committee. It has been suggested that the Committee should primarily have representatives from state agencies with broad expertise and experience in health cooperation with Russia. The Committee proposes which professional bodies, institutions and hospitals should comment on the project applications. Very many applications have been sent to institutions and hospitals in North Norway for evaluation in this process. I believe that in this way we provide an objective and qualitative assessment of applications for the health programme, carried out by broad professional expertise in the field of health. It is hardly desirable to participate from the large applicant communities in the distribution process itself, but we will be in dialogue with the environment in Tromsø on how the health programme can be an optimal instrument for effective health cooperation in the Barents region.
ParlaMint-NO_2000-02-23.ana.ud1940e1576	I thank the Council of State for the answer. What this is about is a four-year cooperation programme for health in the Barents region. The centre of gravity of health and medicine in North Norway is in Tromsø. Both the University of Tromsø and RiTø established early close professional contacts with Northwest Russia. You can, among other things: mentioned success project as the establishment of heart surgery in Arkhangelsk, and that several hospitals in North-West Russia are equipped with used but good equipment from RiTø and UiTø. So the question of being represented in the committee that is to allocate funds. The Tromsø environment has the largest and heaviest project funds, and a disappearing small part of the total pot has been allocated this year. My question is: does the Council of State think it is right to want the university environment in Tromsø as a future actor in cooperation projects to exclude them from the possibility of joining the committee to allocate funds?
ParlaMint-NO_2000-02-23.ana.ud1940e1585	I agree that the Tromsø environment has not come out of the last round of allocations, and I also agree with the representative Nymo that such a heavy professional environment should be an important partner in this cooperation. We've already agreed on a meeting with the Tromsø community on 8 March to discuss how you can achieve it in view of the future process around this. I have to insist that I think it is appropriate for all parties that the environments which are heavy on the applicant side of the project funds should not be in those bodies that give decisive advice on the outcome of the applications. It'll create a question of stability, etc., which I don't think you're worthy of. But, as I said, we need to have a dialogue with the environment to try to get an even better anchor in the Tromsø environment for the future.
ParlaMint-NO_2000-02-23.ana.ud1940e1593	This question, from the representative Steinar Bastesen to the Minister for Health, will be answered by the Minister for Social Affairs who is directing him.
ParlaMint-NO_2000-02-23.ana.ud1940e1596	I have the following questions for the Minister of Social Affairs: ‘In many municipalities it is necessary for doctors to use taxis on home visits. Until December 31, 1999, the practice was that local taxis sent invoices directly to the social security office. It has now been changed that the individual doctor settles directly for each journey with the driver and then gets the amount refunded from the social security office. In some municipalities, this represents a cost of up to NOK 30000 per month. This constitutes large sums for the individual doctor. Does the Council of State see this as a problem, and what will the Council of State do to change practices?’
ParlaMint-NO_2000-02-23.ana.ud1940e1605	Shots by health professionals belong to my area of responsibility. I would therefore like to answer the question from the representative of Bastisen. Public health benefits cover travel expenses for research or treatment. If, because of his state of health, the patient is unable to meet in the hospital or the medical office, the doctor who is travelling to provide examination or treatment at the home of the patient has the right to proof from the public interest. Reimbursement is calculated on the basis of regulations for domestic travel for the account of the State. According to current rules, people's rights only cover proof of travel for the cheapest way of travel. If the doctor has had more necessary cloud expenditure, he or she has the right to have the expenditure covered by the bill. It is not right, as the representative Bastesen says, that until this year the social security policy has been that the taxi owners have sent a bill to the local social security office. Since 1994, the guidelines have been such that the driver’s costs are to be reported between the individual doctor and the social security office. Derogations have been made for lichens which before 1994 had direct indications between the social security office and taxi owners. After 1994, it is no longer possible to conclude such agreements for the direct respondent. It was usually also before 1994 that the cost of taxis on home visits was settled directly between the doctor and the social security office. The background to this practice is that the social security office should be able to see the collection of both the bill of use of the taxi and its doctor’s demand for reimbursement for the visit. The inspection work will be difficult if the bill for train costs is not provided with the doctor’s information. It is a goal to limit its use by taxis where use is unnecessary. Drose is a valuable means of transport in relation to the use of your own car. In some cases, the doctor may have large costs for taxis. A solution to this problem may be that the doctor and the taxi owner make an agreement to pay when the doctor receives a social security declaration. I would also like to stress that the medical service is a municipal responsibility, and that the municipality must support the implementation of this service. This means that the municipality must also be involved in resolving problems that the doctors had with the medical care, including problems related to liquidity due to transport.
ParlaMint-NO_2000-02-23.ana.ud1940e1622	I thank the Council of State for the answer. I register that the system to which it refers has existed since 1994. The contact I have received is from 31 December 1999, so there must be a local scheme they have had in that municipality, as this applies to the municipalities in the districts. Governments point out that the gunshots of doctors are to be done in the cheapest way. However, some doctors have started using a private car for medical care. There have been cases where doctors have resigned at death when they have used their private car to save money on taxi use. Is it a desirable development for doctors to use their private car while on duty? They may lose their lives because they are too tired.
ParlaMint-NO_2000-02-23.ana.ud1940e1629	It is a wish that the people's fear of spending also on travel goods is covered by certain rules. It has to do with ever-increasing expenditure within its budget. But the geography and transport in this country are so different that it's just opening up here that the one who has the most necessary skyscrapers has the right to cover the expenses after billing. When it comes to the liquidity problem that Bastesen here points to, and which he himself says is also a local matter, my recommendation is that it should be addressed with the municipality in question.
ParlaMint-NO_2000-02-23.ana.ud1940e1639	I allow myself to ask the Minister for Health the following questions: ‘We are likely to be at the threshold of finding cause and treatment of serious diseases through genetic engineering. In many countries, the preparation of genetic banks is under way, which may provide the basis for new, effective procedures, but also raise data protection issues, the use of genetic material, etc. The pharmaceutical industry is likely to be of great interest for both economic and non-profit reasons. What initiatives have been or are planned to allow Norway to participate in this work?’
ParlaMint-NO_2000-02-23.ana.ud1940e1648	Initially, I would like to say that I am concerned with the importance of research that could lead to the development of new possibilities for the treatment of diseases, the development of better possibilities for the diagnosis and development of new drugs. In my view, it is important to give priority to building up Norwegian gene therapy competences as one of several measures to strengthen the provision of healthcare to patients with severe disease. This build-up is already under way through a five-year development plan for the period 1999-2003, presented to the St.prp Stortinget. No 61 for 1997-98, About the National Cancer Plan and Plan for Equipment Investment in Norwegian Hospitals. The Government proposed to strengthen and further develop the genetic engineering competence at regional hospital level in both basic and clinical research on genetic therapy for cancer and other diseases. The size joined the government's proposal to spend $95 million. kr for gene therapy during the planned period. So the issues related to the creation of so-called gene banks. The ongoing international mapping of all human heritage will provide knowledge such as: may be useful in combating cancer development and providing opportunities for the treatment of genetic disease. However, the vast amount of knowledge provided by this survey raises a number of ethical, social and legal issues related to the application of knowledge. Other countries, including The United Kingdom and Sweden want to establish so-called biobanks, or gene banks, where tissue bits and medical patient information are stored. Many issues relating to the use of such biobanks are international and work is under way under the auspices of the Council of Europe in order to arrive at a common European regulatory framework. The government has taken this challenge and has reduced a sample to assess different aspects of the procurement, storage and use of human biological material. The selection shall include, inter alia: present and discuss in principle medical, ethical and legal issues relating to such biobanks. This includes, inter alia: questions about the availability of this material and the information and knowledge that the material gives rise to. These are different questions of consent, privacy, medical research and issues related to the commercial exploitation of the material and the information and knowledge that the material gives rise to. The selection shall also discuss relevant patent issues and the specific ethical issues related to the availability of fertilised eggs. The committee has been asked to decide on the legal measures necessary in this area and may propose draft legislative regulation. The director of the selection is Dr. with. Magne Roland. The selection is wide-ranging, with people with competence in research, privacy, pharmaceuticals and industry. The committee also has persons with the competence to assess ethical and human rights issues. Patient organisations are represented, as are the relevant public bodies. The committee shall deliver its opinion by 1 January 2001. I would also like to mention that these questions relating to biobanks are now also being investigated in Sweden and Denmark.
ParlaMint-NO_2000-02-23.ana.ud1940e1665	I thank you for a satisfactory answer. My purpose with this question was to get to know the government's planned handling of the matter – I have then received it – and not necessarily the many and complicated questions that this travels. The case travels a number of dilemmas linked to, among other things. privacy, who should receive information, who should benefit financially from it, who should have access to research results, etc., patent law as well. The major challenge lies in the fact that the scientific evidence we already have shows that the genes provide us with access to many serious diseases, such as: cancer, cardiovascular and blood pressure diseases and asthma. My supplementary question is this: does the Minister of Health see any possibility of shielding our future research in this area from purely profit-based interests while at the same time being able to safeguard privacy?
ParlaMint-NO_2000-02-23.ana.ud1940e1674	It is a very central, big and difficult question asked by the representative Kristoffersen. I'm glad he's making it, because I have as my starting point that it must be possible on the one hand to use new knowledge that is suitable for saving lives and healing disease, while at the same time respecting human dignity and preventing commercial exploitation across the common human interests. I think it has to be done partly through a national process, which we have started now, and partly through international cooperation, with which we are active, among other things. in the Council of Europe, to ensure that the guidelines we seek to develop nationally also have an international link. If not, there will be a rapid trend towards commercial markets across what the authorities actually want. We will continue to work on this.
ParlaMint-NO_2000-02-23.ana.ud1940e1683	I will be asked by the State Council of the Ministry of Oil and Energy the following questions: 'Since 1991, there has been a disembarkation of net rents in the event of withdrawal of power in the production area. For subscribers in production areas, this leads to high additional costs. Ullensvang Hotel receives an additional cost of 75 000 kroner per person. years. This is how the tariff is practised, resulting in local off-takes getting the right central network costs for more power being taken out. This without the use of the central network as a whole. Would the Council of State act as a matter of urgency to change the tariff?»
ParlaMint-NO_2000-02-23.ana.ud1940e1692	The Government emphasises the regional importance of the transmission of electricity, and underlined that consideration in the submission of the energy notification. The interests of districts are both to ensure the benefits of power consumption in the vicinity of production, and to align transmission tariffs between areas with different population bases and different geographical conditions. The currently existing tariff system is based on a general regulatory framework and is therefore applied in all networks. General rules such as the excise system may, in some cases, have unintended effects. There has been considerable disagreement about tariffing power in production lines, especially with regard to the distribution of the central network tariff. In 1995, a number of principal cases were brought before the NVE. There was still considerable disagreement following the decision of the NVE, and the cases were therefore brought before the ministry. The Ministry took decisions in these cases on 25 March 1999. The Ministry considered that the conditions for withdrawal of power in production strips had to be improved. As a solution to the complaints cases, the Ministry drew up a distribution model which led to a reduction in central network costs for power withdrawals in production lines. As a follow-up to our decision, the Ministry will now ask the NVE to incorporate the principles into a regulation. With effect from 1 January 1998, point-to-point energy links were introduced into the central network. It is a change that means that the energy link more reflects the actual load on the grid. Inputs or withdrawals that will relieve the central network will have a negative energy link and thus be credited. In most cases, withdrawals from power in manufacturing areas will relieve the central network, and they will therefore be rewarded for it.
ParlaMint-NO_2000-02-23.ana.ud1940e1705	I thank the Council of State for your answer. I'm going to be honest and give the council the right idea that this is complicated, but it's also so that it's acted unfairly. I understand that the Council of State is now in a position to find a more equitable system so that we don't get a look-up like this, where a regular subscriber in the vicinity of a power station gets a central network cost of $2,200 for something that he never uses. It is an old claimed system in Norway that one has to pay for it, but one also has to pay to have the possibility to use the central network in some cases if necessary. I'm glad that the Council of State is now saying this is going to be cleaned up, and then we're going to hope that the new system becomes more fair than we've had at present.
ParlaMint-NO_2000-02-23.ana.ud1940e1714	The representative of Opseth is quite right that these are very complex issues, where the composition of the central network tariff can also have some unintended effects. It is composed of four different segments of the tariff to work together, and there are some effects related to what has been unfortunate up through the 1990s. Our decision of March last year was part of reducing the unintended and unfortunate effect of paying local calls for a central network cost that is not imposed on the central network. Our goal is to get a fairer system. So we're going to drop the decision that was made in March in a regulation. We have also warned in the Energy Communication that problems relating to more correct signals for producers and consumers need to be considered locally, and that a geographical differentiation is being assessed and implemented in the longer term.
ParlaMint-NO_2000-02-23.ana.ud1940e1724	I allow myself to ask the Minister for the Environment the following questions: «In the Østerdalen the hunters have received strong competition from predators. The 18 wolves in the area probably eat the entire annual production of elk. This shows preliminary results from the University of Hedmark. Does the Council of State see this problem, and what will the Council of State possibly do with it?’
ParlaMint-NO_2000-02-23.ana.ud1940e1733	Major predators form an important part of the biodiversity of Norway. Deer game is the natural and most important prey of the large predators. The Wildlife Act's objective paragraph states that wild game production can be harvested for the benefit of agricultural and outdoor activities, within a framework in which species resources in nature are preserved. I'm familiar with the calculations that show that the wolf in Hedmark takes a number of moose that account for the order of 3 pst. the number of persons taxed annually by hunting in the county. However, I am aware that some fighters are more affected than others, and I would therefore like to look into possible balancing mechanisms. The Ministry has already started discussions, including: Norskog and Norway’s Forest Geyser Association with a view to following up these issues in an appropriate manner. In conclusion, I would like to point out that in the Questionnaire on 3 March 1999, I stated that it is not in accordance with either national or international objectives to optimise individual populations at the expense of other species of game. I still believe that this is a good guide for species management.
ParlaMint-NO_2000-02-23.ana.ud1940e1744	I thank the Council of State for the answer, which I think was a good and positive answer by looking into this issue. The fact that we are talking about large areas is clear. According to an article from Norwegian Farmers’ and Small Farmers’ Teams, it is equivalent to 600 000 daa, so there are many who are affected by this. And many people are affected by the fact that there is no elbow, you lose the possibility of recreation, you lose the opportunity to harvest nature – there are huge resources that are being lost, both in the form of meat and other values – and you lose the opportunity to sell hunting rights. Furthermore, biodiversity is lost by the fact that some animal groups, now I think of moose and deer, are lost at the expense of predators. The hunters dare not join in hunting because they may lose their elk dog. A moose dog costs from 4000 to 10,000 kroner as a puppy, and more as a hunting prize. So there are great values that are at stake here, and I hope that the Minister for the Environment will address this matter, as she promised.
ParlaMint-NO_2000-02-23.ana.ud1940e1753	As I said in my first answer, this is a problem we are already looking at, mainly because we see that some fighters are more affected than others. It is important for example: to look at the possibility of achieving a balancing mechanism. At the same time, I would like to stress what is stated in the wild law, namely that game production can be harvested for the benefit of agriculture and outdoors as long as it takes place within a framework where species wealth in nature is preserved. That is exactly what is our big challenge in predatory game policy – that we have a shared goal, where, on the one hand, we should have viable populations of the large predators, and, on the other hand, we should be able to use the expanse not only for grazing sheep and pure, but also for other nutritional benefits.
ParlaMint-NO_2000-02-23.ana.ud1940e1763	I allow myself to ask the Minister for the Environment the following questions: ‘The County of Hedmark is informed that the number of wolf flocks and stationary pairs indicates that the decision on 8-10 wolf flocks will be reached during the spring. As the wolf population has increased by 25-30 pst. per 1 % This implies that action needs to be taken now. Is the Council of State willing to take out wolf flocks in Great Elvdal and Rendalen, where is the conflict between predators and the interests of the field industry, that is, grazing animals and deer?’
ParlaMint-NO_2000-02-23.ana.ud1940e1772	In the treatment of the 1997 report of wild game, the majority of the population argued that up to now, each individual of the wolf must have a strict protection. It was noted that the Norwegian and Swedish authorities have a common objective of establishing at least eight to ten family groups in southern Scandinavia. Both Norwegian and Swedish authorities use the term ‘family group’ to describe stock development and target achievement in wolf management. A family group is two adult individuals – male and female – who are with puppies. Both winter 1997-1998 and winter 1998-1999, six family groups of wolves were detected in Scandinavia. On the basis of preliminary reports of the wolf population up to the beginning of February, the Hedmark University has produced a report showing that six family groups, a flock without a pair of conductors and five or six re-marking pairs have been registered in South Scandinavia. The report underlines that further tracing is required before final conclusions can be drawn for the winter 1999-2000 registrations. This means that the wolf population is reaching a level that requires different administrative practices. This may include, inter alia: involve the increased use of littering as an instrument in specified areas. As the representative is aware, the question of the killing of the wolf in the municipality of Stor- Elvdal has been assessed in the legal system, but the State has not received any support in its interpretation of the law. I have chosen to appeal to this decision. In addition, changes in the game law will be promoted for Stortingen during the spring. As in previous years, the issue of breeding permits for sheep injuries during the grazing season will be considered on an ongoing basis. However, it is the government’s view that permanent establishment of family groups of wolves in the Great Elvdal and Rendalen municipalities is not desirable in the long term if one can meet the Stortinge’s objective in areas with lower conflicts compared to sheep on the outback. In the short term, I am busy reducing the damage as much as possible. I have therefore asked the Directorate for Nature Management, in cooperation with the municipalities concerned, to submit proposals for possible preventive measures for the 2000 grazing season.
ParlaMint-NO_2000-02-23.ana.ud1940e1787	I thank the Council of State for the answer, which I interpret positively. But action is urgent now, it is now that there are good tracking conditions. And I'm sorry to say that, but I actually trust more in local knowledge than in the Directorate of Nature Management. The stock target of eight to ten wolf flocks has already been reached. The predators of the Great Elvdal and Rendalen destroy everything called pasture and small game hunting. The game law needs to be amended to allow predators to be removed under threat of attack. Stor-Elvdal and Rendalen already have the strain with the other predator species such as bear, yerv, gaupe and king eagle. Is it not true that individual municipalities and areas should be burdened with everything? Can the Council of State now envisage delegating the permit authority to the local residents – they know best? And in addition, Stor-Elvdal and Rendalen are located outside the area that is intended for wolf management.
ParlaMint-NO_2000-02-23.ana.ud1940e1796	I agree with the representative that action is urgent, and that is also why this government spends more money in the field of deforestation than ever before. That's also why we now have a great tracking on snow to get the most knowledge of how many wolves we have, and we're already working with the municipalities to prepare how we're going to get through the next grazing season in the best possible way. We also agree that changes to the game law are needed. That is why I have sent such a proposal to the hearing, and it comes to the Stortinget in ours. In the case of delegating local breeding authorisation authority, it may be necessary to do so within two frameworks. One is that we still have to have a national system to ensure that we have a population that is large enough to match the stock target. That means that such a delegation can't happen until you're sure of it. The other one is of course that it is important that you also have a slightly comprehensive assessment of where the conflict potential is greater, so that we do not risk being granted too many killing permits at the same time.
ParlaMint-NO_2000-02-23.ana.ud1940e1808	This question, from the representative Jan Johnsen to the Minister for Culture, will be answered by the Minister for Oil and Energy on behalf of the Minister for Culture.
ParlaMint-NO_2000-02-23.ana.ud1940e1811	I have the following questions for the Minister of Culture: «Norwegian Children's Museum shall be opened in Stavanger December 2000. The museum has received large grants from the municipality of Stavanger and from sponsors, but still lacks funds for start-up. There is a request for support from the Cultural Council and Norwegian Museum Development, but they have not yet heard anything from them. The Norwegian Children's Museum will be the only one in its kind in Scandinavia. Can the Council of State ensure that this ‘birth’ is as painless as possible and that the ‘child’ is given the ‘birth aid’ it deserves?’
ParlaMint-NO_2000-02-23.ana.ud1940e1820	As the representative was inside, the Barn Museum on the Silver Mountains in Stavanger is under planning and is scheduled to be opened in December this year. The museum has applied for financial support from both Norwegian Cultural Council and Norwegian Museum Development. Let me first say that the increased attention that we see about children and the growing-up conditions of children is joyous. In this case, the Culture Council received an application from the Children’s Museum for the establishment of the museum within the deadline for application in 2000, i.e. before 1 December 1999. The Culture Council notes that the first Council meeting dealing with applications received for the year 2000 was added to 21-22 March, and the matter will be submitted to the Council at that meeting. The children's museum also applied to Norwegian museum development in November for a seminar grant. Norwegian museum development manages state funding for development measures for museums in Norway. These means shall be used for actions aimed either at the whole sector of the museum, at larger groups of museums or with significant transfer value to other museums. There are many museums in the country working with children and childhood, and Norwegian Museum Development therefore recommended that a possible seminar should be organised in cooperation with Childhood Research in networks, coordinated by the Norwegian Folkemuseum. However, that proposal was not followed up by the museum. In my opinion, the request from the Barn Museum seems to be on the side of the objective of the project funds made available by the Norwegian Museum Development. Consequently, subsidies from there can hardly be taken into account. At state level, the Norwegian Cultural Council appears to be the appropriate addressee for the application for grants of the kind covered. The Culture Council takes its decisions in individual cases on the basis of its own autonomy, cultural and artistic discretion. The administration of the Council will therefore normally prepare the matter and provide the necessary professional assessment before the application is finalised.
ParlaMint-NO_2000-02-23.ana.ud1940e1835	I thank the Council of State for the answer, which I felt was positive. What's important in this case is that this is the first children's museum in Norway and the only thing in its kind in Scandinavia. I think it's going to have a huge impact on the child culture that the government itself has put a lot of emphasis on. I sincerely hope that real pressure will be put on the Norwegian Cultural Council, so that the museum will have the means to get started. It would be sad if this museum were to delay its opening because we can't get enough money in place. Had it been about funds for us adults, we had managed to get them, but in the case of children, we obviously have a slightly bigger problem. I hope the minister can say that there will be pressure, so that the children get the museum structure that these people have.
ParlaMint-NO_2000-02-23.ana.ud1940e1846	Allow me to confirm that it has been applied for within the deadline, and that the Culture Council will be the correct address for any state aid amount. Having said that, I would also like to say that the Council of Culture, on the basis of guidelines given by the Stortinget, will take its decisions in individual cases on the basis of independent cultural and artistic discretion. Therefore, it is not natural for the Ministry of Culture to take the lead in the process that is taking place in the Council of Culture in relation to the processing of applications, and I therefore do not want to in any way pre-empt what will be the result of the Council of Culture's treatment. It will be subject to a normal application procedure in the Council based on the guidelines given by the Government and the Government.
ParlaMint-NO_2000-02-23.ana.ud1940e1856	This question, from the representative Per Roar Bredvold to the Minister for Culture, will be answered by the Minister for Oil and Energy on behalf of the Minister for Culture.
ParlaMint-NO_2000-02-23.ana.ud1940e1859	I would like to ask the Minister for Culture the following questions, which will be answered by the Minister for Oil and Energy: «Support for Norwegian film production is very large in relation to, inter alia, Sweden, which covers a maximum of 80 pst. of the costs, Denmark 50 pst. In fact, subsidies for production have exceeded the cost of the film. In addition, when you look at how much this is going to be in subsidizing per cent. One has to wonder whether this is the proper use of cultural resources. Do the Councils agree with this problem?’
ParlaMint-NO_2000-02-23.ana.ud1940e1868	I have to say that the representative Bredvold seems to give a somewhat misleading description of the situation of film production in Norway. Let me first explain briefly what is the situation in Denmark and Sweden. Denmark has two different film support schemes. In one scheme, there is no ceiling on public support, which means that the state can theoretically contribute up to 100 pst. the cost of a film. The second system operates in such a way that the country automatically contributes 60 pst. of the costs. In Sweden, there are many actors who contribute funds to film production: the state, the broadcasters and the cinema owners, as well as the film producers themselves. The aid scheme in Sweden is designed as an agreement between these operators. The current agreement lays down a rule that says that a maximum of 50 pst. of the State funds may be used for cinematographic production. Overall, the aid may amount to 80 pst. the cost of a film. In Norway, average aid in the years 1994 to 1997 has been 71pst. To characterise it as “very large” in relation to e.g. Denmark, I think it's a bit exaggerated. However, it is true that there have been isolated cases where a film has received more support than it has cost to produce. In part, it is attributable to the reward function inherent in the special scheme called ticket aid. I agree that the system, as it works today, can in some cases work too generously. As the representative of Bredvold is familiar with, it is among other things. in recognition of the initiative of the Government in 1998 to review all aid schemes in the field of film. This review will address all support schemes in this area. One of the objectives is to promote the more cost-effective production of high-quality films that can reach the widest possible audience. A first presentation of conclusions will be presented to the Stortinget in the context of the revised national budget. As the representative Bredvold understands, I do not entirely agree that it is wrong to use funds to support Norwegian film. Film is an important form of artistic expression, and public support is essential for maintaining a Norwegian film production. And at a time when many languages are under great pressure, it is also important to understand the significance of the film for Norwegian language and culture. No one other than Norwegian filmmakers will be based on Norwegian reality and culture.
ParlaMint-NO_2000-02-23.ana.ud1940e1883	I thank the Council of State for the answer. At least she agrees with the undersigned that there have been isolated cases where films have received more support than they have cost to produce. Therefore, I register that the Council of State admits that in some cases the state may be too generous. And that's where the nucleus of my question lies. It should and must be a certain economic risk, so that not everyone can produce films in order for us to have so-called cultural diversity. On the other hand, the fact that the Council of State and the signatories agree that we need films, and that films are important for Norwegian language and culture, there is no doubt about it. In the case of state aid for film production in Sweden, it is 50 pst, as I mentioned in my main question. The Progress Party has no objections to other stakeholders being involved in financing film production. What's interesting for the individual taxpayer is how much the state contributes. It is also worth noting the number of tickets sold when, for example. Swedish films are shown on Norwegian cinematic dishes. The Swedish films often have a much higher viewing number. This must also give us a clue as to what people want to see – but this is another debate. Otherwise, I hope that in Sweden and Denmark, too, everyone who wants to produce a film does not receive financial support.
