ParlaMint-NO_2010-05-11.ana.ud2574e104	The representative, Frank Bakke Jensen, will put forward two proposals for representatives.
ParlaMint-NO_2010-05-11.ana.ud2574e3401	I would like to thank the Council of State for the answer – a thorough answer – and I would also like to thank him for the praise he gave to More and Romsdal County. I fully agree that we have an amazing state, a great nature – wonderful to live and live in – and we have a wonderful business life. For that very reason, I tried to find some challenges that the business community and people in More and Romesdal are struggling with. I am aware that the challenges may be as difficult other places as well, but it is my duty to take up what I see in our home country and in the region around, and in particular I got a bump when I experienced closed roads right before Easter and this ash cloud that came after. The reason why I reacted was that we now have to think about alternative options. Had these two accidents happened at the same time – I call it accidents, there are natural disasters in each way – the county of More and Romesdal would have been totally trapped. We didn't have planes, and we didn't have an exit shaft where we could transport our goods and people back and forth. It scares me, and it makes me think that we need to take a serious look at this and put in place alternative modes of transport quickly – full upgrading of the export route E136 to avoid race there, and we should have the coastal line E39, and preferably also the City Ship Tunnel. I must admit that I am a little envious on the rest of the coast where they can take the quick boat from Stavanger and Haugesund up to Bergen, from Bergen to Nordfjord, but then it stops. Then you can proceed from Kristiansund to Trondheim. But between Nordfjord and Kristiansund there is a stop, and that's because it's a difficult sea area, and it also prevents us from sending more of our goods on the sea. It would have been very positive if you could put into place City Ship Tunnel – as at least the Right has ordered – and that the government could support it, then we would have had a good alternative for us along the coast in the form of a private boat and a speedboat, and also for our freight traffic. Misuse description – I heard it sail – but it was not a misdemeanor description of the county as it is today. It was a description of what I fear can happen if we don't now get any grip fast.
ParlaMint-NO_2010-05-11.ana.ud2574e3410	I am pleased that we have jointly remedied the impression of the Mora and Romesdal states. The last time I was there, even the mainland connection to Vigra, Valderøy, Giske and Godøy was paid down, so now the bomb was gone. It must be a pleasure for everyone. That's how we see the world going forward, but at the same time, the ash cloud is probably a reminder that we're still victims of natural forces. We have lived with nature for all centuries, and this has not least been experienced along the coast – also in More and Romesdal – but fortunately we are innovative. We are developing both technologies and solutions that make us handle this in an increasingly better way. Getting freight traffic from road to train and ship is a strategy that the government is following. The various transport projects in detail, I think, should be left to possible future interpellations on transport issues in Møre and Romesdal County, or questions on different occasions to the Minister for Transport. But that the framework conditions for business can continue to be even better and continue to be renewed and developed, for the benefit of the strong industry and the strong maritime cluster, not least, but also in view of the tourism potential that is on our shores, not least in More and Romesdal, is firmly established, and that government must follow up in a good way.
ParlaMint-NO_2010-05-11.ana.ud2574e3417	The competitiveness of Norwegian business is crucial for our well-being. Therefore, any debate on competitiveness in business is really important, especially in this room. Now I think the interpellant, at least in its first post, was very negatively focused locally. It was really a strong appeal not to look at More and Romesdal, at least if you were an investor. I would probably have chosen a different strategy if I had a corresponding state interpellation about my own state. But something was probably fixed up in the last post from the interpellant, and not least through the view that the Council of State has created for More and Romesdal, as a piece of Norway where you have a lot of great. It was heard from four members of the Committee who are themselves from More and Romesdal, when we were going up for the first committee trip. Then there was the excitement, opportunities and excellent business in More and Romesdal that had to be visited. It was very good for the committee, because it was important. We are living right now in a time when the world is actually shaken by perhaps the worst economic setback in any case in recent history. That's what all of us do. It characterizes every human being who's interested in business. But despite the fact that we live right back then, Norway has a high employment rate. We have low leave – we even have even lower leave than we had in the peak period before the red-green government took over. That's impressive! I'm not going to add it just to political decisions, but it's also important. We have, despite the financial situation, good value creation. In some areas, it could have been better, but we live in a world, in a country where we have order in Norwegian business. There is competitiveness in Norwegian business. There's evidence that the Norwegian arena for playing globally is a good starting point. We have a good economic foundation, we have powerful measures that have been implemented – the last of which is the yard package, which means a lot to the maritime industries. We have a capable and productive business, and we even have, to inform the interpellant about it, an offer in the agricultural negotiations that is directly aimed at some of the agricultural challenges that are in District Norway, including Moor and Romesdal. We have had a strange winter, with a very strange price of electricity. It's not just a Middle Norway phenomenon. It's actually a national phenomenon as well. It was extremely unfavourable with the prices that have been in South Norway, where prices have been so low that it is completely unreasonable, while in Central Norway and in the north we have had very high prices. By no means satisfactory! The long-term solution, which is the only way to provide predictable framework conditions, is to improve the exchange of power within one’s own country and to increase opportunities for reinvestment. That's also the online key. Without a grid, we don't want to attract investments in new power generation. That is why network deployment is very important. But the reasons for the situation are more than just network capacity problems. It is linked to the full phase of industrial development in Central Norway. It is very good for the region, but it now presents challenges in retrospect, because there were no adequate solutions, to which the Council of State was committed, while at the same time shutting down power generation in Sweden. We have to do everything we can to avoid similar situations in retrospect. Then the Web is the most important solution. So the interpellant pointed to a number of other issues. I think I'm going to do it very briefly, but address one issue with regard to the national transport plan. It's a historic bet. No matter what party you come from, it's a historical bet that's now made on transportation. There will still be razed distances, despite the historical effort. Despite the investment, there will also be closed roads in the years to come. We can't afford to do that. There will still be transport challenges, but accusing us of breaking the NTP is a little slow. We have not said that we should grant flats every year in the ten-year period. We have said very clearly that there should be a stepping-up plan in relation to the national transport plan, so that our commitments on the implementation of the NTP are most closely related.
ParlaMint-NO_2010-05-11.ana.ud2574e3434	It was a while I wondered where I came from. At least I didn't quite know myself in the situation description, considering where I grew up, and where I've traveled, because More and Romsdal are in many ways a Norway in miniature. More and Romsdal have a fantastic industry. It is one of the foremost in the country in terms of both paint and furniture industries, and it is also one of Norway’s largest food producers. You have an entrepreneurial spirit that is absolutely amazing. I also travel a lot around the county and am impressed that almost no matter where you come from, you find a corner stone company. The committee experienced Olympic Shipping in Herøy, and we've been to the Round Environmental Centre. You can go out to Harøya in Sunnmøre and meet, for example, Inge Huise, who produces some of the world's largest winches, and you can go to Stranda and visit the large Grandiosa factory. Yeah, almost where you're coming from all over the county, it's a grumpy life. It's an amazing state to come from, but I don't think it was the intention of the interpellant to talk down. At least I want to speak up, that is. not ‘up’, but to obtain a description of reality where the map is more appropriate to the terrain. Of course you have challenges. To the power situation in Middle Norway: I use to mention the whole of Middle Norway, because I think it's going to be wrong to just take one state. We have to try to take the regions as flax and should, and it is clear that Mid Norway has had a special situation in winter – in periods. It is important that we also take into account that it was ‘in periods’, because of course there is a load in the web. It is also true, as the head of the Business Committee, Aasland, pointed out, that network deployment is important. It is therefore important that the Ørskog-Fardal line be treated with care. It is important to look at the transport year – i.e. the core network into the whole region – both via Sweden and from North Norway, but it is also important to look at how to generate new power in the region. If we think of a situation where you, for example, in the case of the Sunndalsøra, start up the furnace series which has been shut down at the aluminium works, and once again increase the demand for power. I also think it is important that we see the widest possible range of challenges we face in the sectors – obviously there are major challenges in the transport sector. I look forward – when we discuss these things – to seeing the regions in a slightly broader perspective. I have to say, of course, there are some things that we don't like in development, for example. that Aalesund's football club has lost two games in a row. It is a considerable burden for our region, but we will get over it. I think it's important that when we talk about business, we focus on a slightly larger field than just a small one. But we have major challenges in terms of transport, how important racial protection is. We have major challenges related to the power situation, and so was the Council of State. I think we're going to have a lot of future debates in each area on these things, and I look forward to discussing it further. But at least one thing is certain: the region up there is a very good place to live. But like any other region, you have challenges, and they have to be solved.
ParlaMint-NO_2010-05-11.ana.ud2574e3447	The president is fully aware that Molde has lost two games in a row and that Tromsø sports team is leading the elite series.
ParlaMint-NO_2010-05-11.ana.ud2574e3450	The worst thing is that Aalesund has also lost two battles, so it's kind of perfect. I agree with the Council of State and the interpellant that More and Romesdal are a great country with great possibilities, but I'm not quite in agreement that it's Trond Giske and their red-green policies that have done it. I think it's a lot of entrepreneurs in More and Romesdal who have got it lined up at a top level when it comes to value creation. I'm from Sogn and Fjordane, and I'm sorry to say I'm familiar with many of the challenges between Elisabeth Røbekk Nørve has highlighted. The Stoltenberg government is not doing a good enough job for the people in the state and along the coast. The government likes to present itself as a world champion in environmental and industrial policy. But do they deliver? ‘I would have liked a clearer statement on environmentally friendly ferries and coastal cargo. The same applies to the booking of new coastguard ships.’» The leader of the Maritime Forum Nordvest gave in these words a package of measures for the yard dice throw three, and stated: ‘What disappoints me is the environmental effort on gas and the development of new technologies in this field.’ The desire for more investment in environmental technologies and several gas-powered ferries and other boats are familiar words for Right. So we've added 15 million to our alternative budget. kr for the construction of several gas ferries. That's what I call delivery. Today’s Business April 30 could indicate that more people were disappointed that it was not opened so that GIEK could provide guarantees for all types of ships to Norwegian shipowners. Such a solution could give dearly beloved assignments both to the yard and to equipment manufacturers. ‘The paradox is that Norwegian ferry companies can achieve better organised financing of new buildings in Poland, for example, than in this country. We can provide funding for a ferry project for a shipping company in Portugal, but not for a Norwegian shipping company.’ This quote is from Director Iversen, Simek in Flekkefjord, in Today's Business 24th March. At the same time, we see that the government is weakening its ability to invest and their international competitive position by making a proposal for a fleet tax that challenges the Supreme Court's decision. The proposal penalises the fleet teams that have invested in Norway, and in particular frames the companies that have led environmental investments and bidreg to make the Norwegian maritime cluster and Norwegian shipyards, such as the Norwegian Shipyard. Ulstein, ignorant. The Labour Party's leader in the Finance Committee mocks the shipping industry and claims to keep his nose shut when he hears that the fleet team reacts to the government's rematch. Do we believe the government to keep its nose in contact with more people from the West? In response to the power shortage and the own price range, we have seen companies that have had to shut down production due to high electricity prices. In this case, the government does not listen to its own deposit representatives or to LO. There has been a coherent call in the media in Central Norway from red-green politicians on, among other things. start up mobile gas power plants to bring down the price of electricity. Even red-green politicians from Middle Norway ran away when there was voting here in the hall. Romsdal's Budstikke shows on Monday May 3rd that the Labour Party's Party Secretary Raymond Johansen was given pure words for the money from the Labour Party's group leader in Nesset and the Chief Council of Trust at Hydro in Sunndal, Eivind Torvik. He said, ‘We need assistance from the Party Secretary, the Minister of Industry and the Government.’ Leader of LO in Sunndal prays in a reading in Romesdal's Budstikke on 28 April "Power Roof for Middle Norway". He states the following: ‘Starting new business is probably not so topical or interesting in a state where a lot of business is already struggling economically because of it. the sky-high power costs.’;» The same date in the same newspaper states the leader of the district of More and the Romesdal Senterparti: ‘Møre and Romsdal and Mid-Norway have powerful industries that must have stable framework conditions into the future’.» That's how I could keep ramming up the quotation from the red-greens' own allies in Middle Norway. Unfortunately, this is not a black measurement from the opposition on Stortinget. Right wants to stimulate business in More and Romesdal and in the rest of the country by means of an offensive tax policy and a monetary policy that provides a low interest rate and a competitive price. The most important thing public governance can do to improve the business environment is to build roads and other trades. Right wants to spend more money than the government on road construction. In addition, the Right wants to create a 50-billion maintenance fund. kr, which will be a solid contribution to the follow-up to road maintenance. Right also wants to launch three-five OPS projects a year, and it will speed up a lot of new construction. Among other things, Right would like to implement the construction of City Ship Tunnel as a OPS project. It will be one of the most offensive measures we can put in place on the coast of the North-West.
ParlaMint-NO_2010-05-11.ana.ud2574e3508	Since I have kept some of my Western dialect, I dare to take the floor here in this debate. But I'll try to take a look from the great fjords of the West. As I have been in the past today, Norway has been better off through the financial crisis than many other countries. But the financial crisis is now affecting the industry. Part of the aluminium industry is one of those that became a hard frame. Before the crisis, the aluminium industry had very good prices, now they're in a very difficult situation with low prices. The free market price of power, which on the right has been very busy with the introduction, has created major problems for that industry in winter. Maritime industry is another industry that has gone from a situation of strong growth to a situation of order drought. It is difficult to fully compensate for the financial crisis, created by market liberalism and the speculative economy. But the government has put in place a number of measures to mitigate the effects. We have received general measures such as more flexible permissive mechanisms, temporary tax reliefs and increased efforts to improve skills. In addition, we have received a large package for the maritime industry. I don't know how the package was received at More, but in the South, it was received with enthusiasm. The fatherland friend, whom I brought with me here, said it when they got an industrial package: cheers in the southern industry and Christmas Eve for the South. So it surprises me that not those who represent More, can also enjoy the industrial package where one really has taken an important step to get the dynamics back on track in an industry that has a lot of challenges. I actually felt that this package that has been presented for maritime nourishment has very great positive effects for More and Romesdal and for my two counties, I must say, which is Agder. What's surprising is that today the Right-Representative of West-Agder was able to go out and say that there's nothing that matters to Agder in the revised state budget. It's quite alarming when the industry one day says it's Christmas Eve, and the right-wing representative the next day says nothing has happened. Then I have to think about each right-wing representative when it's up to what's going on in the business world.
ParlaMint-NO_2010-05-11.ana.ud2574e3523	The interpellant takes up the framework conditions for business in More and Romesdal, and I would like to thank the Council of State for the answer he gave. The centre party and government are subject to good conditions for competitive industry and business organisation. More and Romesdal are an important industrial group with both maritime and offshore industries as well as furniture industries as important industries. More and Romesdal have proven better through the financial turmoil than many other states. Unemployment has been and is lower than the country average, but many enterprises have still faced major challenges. The government has implemented a number of measures to reduce the negative impact of the financial turmoil. The measures have benefited the industry exposed to competition. Maritime and offshore industries are important in More and Romesdal. To a greater extent than for many other industries, there is now a difficult situation in this industry. I myself was travelling in the county in January this year and met representatives of several of the companies in this industry, who underlined the demanding situation. On 29 April this year, the Government presented a series of measures for Norwegian shipyards and maritime equipment suppliers. The Government’s package of measures includes, inter alia: increased frames of 10 billion. kr for the GIEK guarantee scheme and 200 million. kr in increased innovation loans from Innovation Norway and a number of other maritime sector schemes. The interpellant also addresses the question of road betting, and racial protection of roads, in More and Romesdal. In our country, there are many racial road links, and this places a heavy burden on the business community and the population affected. Racial protection is an important area of government activity, and the National Transport Plan 2010–2019 provides for a historical commitment to racial security measures, as explained by the Minister for Transport on a number of occasions. In the period 2010–2019, it is added up to 1 billion. kr per year in specific racial protection measures. Within this framework, a wide range of projects are foreseen both on the national and county roads. Several major racial protection projects are planned on the highways of More and Romesdal in the first four years of the national transport plan. Such an example can be seen from the aggregate proposition made by the government today. That's where the government assumes that one re-disposals 10 million. kr in the framework of entry 31 Racial protection for planning and preparation work at Hjartåberga in the municipality of Volda, so that work can start early in 2011. Another important example of road project in the region is the E39 Kviv Road between Volda in Møre and Romsdal and Hornindal in Sogn and fjordane, which will be completed in the autumn of 2012. The project is under construction, and the construction has progressed faster than planned. The government has therefore granted 80 million. kr in today's revised national budget, so that work can continue without interruption. The project has a total cost framework of approximately $1 billion in 2008. In today's online edition of the Sunnmørspost, a representative of the business community stands out and tells how much this road effort means to his business. These are some examples of government spending on road construction and racial protection — for the benefit of both business and the population throughout the country.
ParlaMint-NO_2010-05-11.ana.ud2574e3545	The interpellant takes up the conditions of competition for the industry in More and Romesdal and points in particular to important areas such as traffic and the power situation in the county. I agree with the interpellant in many of the challenges in the racial community, ferries and road counties with the long-distance fjords. But at one point I do not agree with her, and that is the relaxation she wants on the CO2 requirement for the start-up of gas power plants in France, because it does not match the content of the climate agreement that Right is part of. The Christian People's Party believes that Norway needs a new energy policy that takes over the lessons from Middle Norway. It shall not happen that in a region more consumption than the supply capacity is allowed without the introduction of measures to insure the supply as consumption grows. In the otherwise successful deregulation of the power sector 20 years ago, the authorities entrusted too much of the responsibility to the market, and the administration took a role in confidence that the market mechanisms ensured supply. The Christian People's Party has proposed changes to the Energy Act to strengthen political governance and strengthen the oil and energy minister's responsibility for supply. The red-green government has not wanted to follow up on this. The Christian People’s Party, together with the Right and the Advance Party, also proposes that the government develop an action plan with concrete measures to address a supply crisis in power supply to Trøndelag and Møre and Romsdal, and present it to the Stortinget during the spring 2010 session. Mid-Norway is today dependent on imports from Sweden, and we all know the situation in winter, which gave high electricity prices in mid-Norway. We need to be less dependent on Swedish imports, and therefore a rapid clarification in the ministry is important in terms of the question of a new transfer line between Ørskog and Fardal. Business, and especially the powerful industry, have too poor framework conditions. At the same time, there is little doubt that business in our area is also suffering from poor transport solutions. I think it's important to keep up the pressure when it comes to further plans for the coastal route. It's not just in More and Romesdal. The Florø–Målö route is an important part of the project. It is important that the coastal route also south of Florø does not come into the back of the river. We have to look at the totality, because the Christian People's Party is concerned that the whole route between Bergen and Ålesund is seen in a context. Individual projects must be taken in a sensible order, in line with the state's own assessments and priorities. In this area, not least, the City Tunnel is an important project to ensure transport in this area. The coastal route is a large and important project that will mean too many in our area. The value creation along the coast is great, and good communications are crucial for future value creation and settlement. Along the coast, we have come to the fore in terms of road investment, especially in relation to the central East. It would be very important for the industry in More and Romesdal that the Moorax came into place. Then we will have a ferry-free coastal route, and then the journey time between Molde and Ålesund will be less than one hour. 200,000 people live in the Kristiansund–Molde–Ålesund axis, and Møreaksen will gather them in a housing and labour market region. It will be good for businesses, educational and cultural institutions and for contacts between people living in the region. That's why it's important for the Christian People's Party to work for the Moor axis. And as part of the Mortar axis, we also count on the mainland connection to Hareid, which further increases the housing and labour market region and connects large parts of our county, from south to north.
ParlaMint-NO_2010-05-11.ana.ud2574e3567	I have to say that the interpellant started with a very bad marketing of More and Romsdal as a travel destination, and I hope that – I would say very much – will be between us. I want to say that in the municipality of Halsa where I grew up, we have a slogan called "know where you thrive", and I think that's a slogan you can use on the whole of More and Romsdal. I'm incredibly proud that I come from this county. It is commendable that you are interested in the business of your home country, but I also feel that it is something navigable when you just talk about this county and all the challenges that lie there. It sounds like the government is working against the business community, and especially in More and Romesdal, and I don't remember that. No later than today, the government is presenting a package of measures for offensive shipyards and equipment suppliers that are important to this industry with major challenges. At the same time, we are presenting a policy of economic governance that continues to provide low interest rates and stable interest rates, which are also important for this industry. The opposition is clearly motivated to complain about the government. But in the case of the ash clouds from Iceland, you can't actually blame the government, and I'm glad that security was prioritised over traffic in this situation. That ash cloud situation shows that we're vulnerable. As far as the financial crisis is concerned, it is incredibly good that we have managed to get through it as well as we have done, not least in More and Romesdal, but also in Norway. And then I want to get to something that's in the interpellation text, that's ‘proposal to attempt to use mobile power plants to mitigate extremely high electricity prices during periods’. I am very concerned with power myself, and the need to increase power generation and better line supply is essential for us in More and Romesdal. But I have my doubts as to whether the power price would be greatly reduced if the mobile gas plants had been started. That's actually maybe the opposite that could happen. But it would have helped with the situation by getting more power. I'm proud to come from More and Romesdal, I know it especially well after the post that Røbekk Nørve has made. And I'm very happy to come from the Workers' Party, because we don't have an empty toolbox to offer business, we actually have an active business policy to come along with. But that doesn't mean that everything is solved, and we have many challenges. The red-green government has actually delivered the package of measures after the package of measures throughout the financial crisis just to keep the wheels running, and the last response I received yesterday. Then I was in the municipality of Nesset, which has been a municipality that has had relatively high leave, but I can report back that the time off is going down, and that is very good. So I think it's done a lot well, even though the challenges are still there, and we have to deal with that in a good way. I think that then it's important to try to look under the dark clouds that we've heard about here, and maybe there's also light in the tunnel for all of these industries that we have to deal with.
ParlaMint-NO_2010-05-11.ana.ud2574e3589	I have to say that I was somewhat surprised when I saw that this interpellation referred to one concrete state, namely More and Romsdal, as if it were on a general basis having a bigger problem than the rest of the country. I have to admit that I do not know myself in that description. Now there have been many who have described business, among others. the former leader of the Business Committee, Nesvik, who believed that the industry in More and Romesdal is definitely up and running, despite the financial crisis, despite many of the challenges facing the industry. But at one point, I'm going to give the interpellant the right, and it's going to apply to the social challenges that connect to the world heritage area, which is a unique area, and which the government should definitely look at, as well as what Rigmor Andersen Eide also pointed to. She pointed to important projects, as it planned the tunnel between Hareid and Ålesund. But the best measures for happiness in the context of nutrition are, in fact, good framework conditions. This applies not least to the tax regime. There's a lot to learn from biodiesel, which has led companies straight to replace the law. On the tax side, we can see a Supreme Court ruling that applies to the taxation of horse-riders, where the Socialist Left Party singles out the fact that the rider is to be taken, almost as far as possible. It's not exactly that the sailors go man of houses to order new ships in a yard industry that seems to wear empty order books. Furthermore, we can take the net pay scheme, which one still calls a net pay scheme, even though the scheme is weaker than the neighbouring country and represents an income level below SEK 200,000 – in other words, a sub-net pay scheme. This system has been challenged over and over again, and is not easy for the industry, which can move to our neighboring country with a pennessestrain and get considerably better framework conditions there. We can move on to Hydro's facilities on Sunndalsøra, where a third party of the production capacity is connected because of high energy prices and low aluminium prices, but not worse than the fact that the same company chooses to build a giant factory in Qatar, where there is unlimited access to cheap energy and no CO2 charges. That's why it's also important that we match our environmental ambitions with, among other things. Their EU, so that we do not impose extra burdens on our businesses that export the jobs out of the country. There's a good example for Hydro. They are also a good example of environmentally friendly production. No one produces cleaner and more environmentally friendly products than Norwegian aluminium mills. But what are their framework conditions for the future? And is there anyone who feels sure that Su 3 in Sunndal is going to start up again? Many of the copies that have been taken up here are for More and Romesdal, the industrial community of More and Romesdal, but I would like to stress that my concerns do not go into this particular state, as I know that people in this part of the country do not ask for any special package for their part. They ask for general conditions that make it the same everywhere in the country a driving business. That's why the question of what to do for the business community in More and Romesdal is, in many ways, a wrong track in my opinion. It has to be about what can be done for its businesses and businesses in general. Finally, I have an example from yesterday's media. Now the government has come into place and started its day-to-day work, but when it comes to election fighting, an example of where the red-green laws and the truth are approximate. And I quote: «Fremskrittsparteets pottery representative from Nord-Trøndelag, Robert Eriksson and Arild Stokkan-Grande in the middle of the election campaign in August last year, the troops up on Norske Skog Skogn. [[Ap]] [[Ap]] There they appeared as saviors to the industry. It has soon been eight months without a death, says Eriksson to Tronder-Avisa and adds: – They have just appeared to be clowns in the process, and kept Norwegian Forest and the other powerful industry for fools!’ It is precisely this kind of activity that politicians have to stick to too well. Promise that one can hold, and no more than that!
ParlaMint-NO_2010-05-11.ana.ud2574e3620	It's wonderful with the temperature in the debate. I have to admit that I had a slightly special feeling about this debate, precisely because the interpellation was relatively narrowly advanced, and also because I expected that I would most likely be here with the Council of State alone. So thank you all for all the great commitment, and not least for all the praiseworthy words about Moor and Romsdal, to which I shall without problem join. Most people have talked about our fantastic business and the industry that we have. Yes, I very much appreciate the fact that the nutrition committee has really come along, and is ready for this. When I sent in the interpellation, it was actually addressed to the Prime Minister. I agree with the Council of State that it is not easy for him to take the full breadth of government. It's about transportation, it's about energy, and it's about other challenges that I raised here. I chose to focus on the whole of the challenges this fantastic state and the business community has to contend with in between. When I did that, it was to be the leader was, given that in the worst case, we could risk being trapped – it was not intended at all to accuse the government of this ash cloud, but it actually only came a week after the main trajectory entered the moor and Romesdal were closed because of the big snow race. That gave me reason to think that we actually have to look at how vulnerable we can be. It's about Katla coming. It's a much larger volcano. Not to create a scare image, but it does not hurt to think that we can be vulnerable in such cases. It could have happened in the worst case that both volcanoes came at the same time. What about business, which everyone has boasted, which we all think is fantastic, and which all of us who live in More and Romesdal, are incredibly rich? It's just this business, it's just Mora and Romsdal, the travel industry and the possibilities of what's going to be produced and delivered in the future, which made me take up this interpellation, and focused on the challenges we have in transporting business, and also in energy prices, which at times can be so high that they harm the industry in Mora and Romesdal.
ParlaMint-NO_2010-05-11.ana.ud2574e3629	I would also like to thank you for many good contributions to the debate, which have been numerous – let us say – even though it has been about one state. We have established some very clear common facts: firstly, that More and Romsdal are a fantastic state; secondly, that there are many reasons why it is fantastic – and not all due to the red-green government – and thirdly, that the ash cloud is definitely not due to the red-green government. Even in London, I was ashtrayed. When I heard the interpellant talk about More and Romesdal being isolated, I realized that when there's fog in the channel, it uses to be in British headlines: fog in the channel, continent isolated. I think maybe the interpellant should have the same approach to More and Romesdal, that it is Norway that is cut off from the glory of Mora and Romesdal! A certain conclusion after this debate is at least that there are many factors that affect the development of industry in a country. It's not just the well-filled and actively used toolbox that the Ministry of Economic Affairs has over it, but it's culture, it's education, it's communication veins at sea, it's energy issues and a lot more. So we get to keep going, both in government and in big business, and make not only More and Romesdal, but Norway an even better place to live.
ParlaMint-NO_2010-05-11.ana.ud2574e3638	Most of it should have been said about the Moors and the Romsdals. There's only 18 other counties left! The debate on substance is closed. 11 is over.
ParlaMint-NO_2010-05-11.ana.ud2574e3646	We would then be ready to vote on the matter on the current map.
ParlaMint-NO_2010-05-11.ana.ud2574e3653	Two proposals have been put forward during the debate. It's proposal No 1, by Solvency Horne on behalf of the Advance Party, Right and Christian People's Party proposal No. 2, from Solvency Horne on behalf of the Advance Party
ParlaMint-NO_2010-05-11.ana.ud2574e3669	In accordance with the fourth paragraph of Section 30 of the Rules of Procedure, the proposal is entered on the agenda as a matter of its own at a later meeting. The President will begin by voting on proposal No. 2nd from the Progress Party. The proposal reads as follows: ‘In Law No 26 June 1998 41 on cash support for young children’s parents the second paragraph of Section 9 is replaced by the following: If the parents do not live together and have agreed in writing that the child should remain with both or there is a valid decision that the child should remain with both, cf. Paragraph 36 of the Children’s Act, if the parents agree on such sharing, they may receive cash support with half of each. There is no access to the sharing of partial cash support paid in accordance with the third paragraph of Section 7.»
ParlaMint-NO_2010-05-11.ana.ud2574e3723	Before we vote on the Committee's recommendation, the President would remind us that, in the course of the debate, the rapporteur has pointed out that the committee's recommendation does not contain proposals for amendments to the Cash Support Act, but that, by way of an incubation, it has penetrated the law's heading. The correct wording of the setting must be: ‘Decisions to the Law amending the Law on Social Security and Child Protection [[right to father's allowance regardless of mother's employment share, etc.]]
ParlaMint-NO_2010-05-11.ana.ud2574e3736	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2010-05-11.ana.ud2574e3746	The legislative decision will be taken until the second reading in a later meeting in Stortinget.
ParlaMint-NO_2010-05-11.ana.ud2574e3753	Three proposals have been put forward during the debate. It's the proposals No 1 and 2, by Solvency Horne, on behalf of the Party of Advancement and Right-wing Proposal No. 3, from Solvency Horne on behalf of the Advance Party
ParlaMint-NO_2010-05-11.ana.ud2574e3777	The vote will then take place alternately between the vote and proposals No. 1 and 2 from the Progression Party and the Right.
ParlaMint-NO_2010-05-11.ana.ud2574e3810	During the debate, Oskar Jarle Grimstad has put forward a proposal on behalf of the Progress Party, the Right and the Christian People's Party. The proposal reads as follows: ‘The government is asking the government to draw up an action plan with concrete measures to address a supply crisis in the power supply to Trøndelag and Møre and Romesdal, and to present it to the Stortinget during the spring 2010 season.’ An alternative is to vote between this proposal and the vote.
ParlaMint-NO_2010-05-11.ana.ud2574e3836	During the debate, Henning Skumsvoll has put forward a proposal on behalf of the Progress Party, the Right and the Christian People's Party. The proposal reads as follows: ‘The government is asking for proposals to increase the length of rental of power plants from 15 years to 30 years’.» Alternatively, this proposal shall be rejected and the Committee shall be set up.
ParlaMint-NO_2010-05-11.ana.ud2574e3858	In Case No: 5, 6 and 7 no voting theme is available.
ParlaMint-NO_2010-05-11.ana.ud2574e3865	During the debate, Mr T. Nesvik put forward a proposal on behalf of the Advancement Party, the Right and the Christian People's Party. The proposal reads as follows: «The government is asked to draw up a major communication on the framework conditions for SMEs.» Alternatively, this proposal shall be rejected and the Committee shall be set up.
ParlaMint-NO_2010-05-11.ana.ud2574e3891	Four proposals have been put forward during the debate. It's proposal No I, by Mr T. Nesvik, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 2, by Elisabeth Røbekk Nørve on behalf of the Right and Christian People's Party, the proposals No. 3 and 4, from Rigmor Andersen Eide on behalf of the Christian People's Party
ParlaMint-NO_2010-05-11.ana.ud2574e3924	There is a vote on proposal No. 2, from the Right and Christian People's Party. The proposal reads as follows: ‘The government is asking the government to make proposals that explore future challenges and opportunities for NIS, and with proposals that make NIS more attractive and competitive, including the lifting of traffic area limitations. In this context, the possibility of extending the net pay scheme to NIS vessels is explored.’.»
ParlaMint-NO_2010-05-11.ana.ud2574e3939	It is then put to the vote on proposal No. 1 from the Progress Party. The proposal reads as follows: ‘The Government is asking the Norwegian Ship Registers for competitive framework conditions to be met by the Government in combination with an extended net pay scheme.’
ParlaMint-NO_2010-05-11.ana.ud2574e3972	During the debate, Elisabeth Røbekk Nørve has put forward a proposal on behalf of the Progress Party, the Right and the Christian People's Party. The proposal reads as follows: ‘The Government asks the Government to establish its own ‘rules’ in accordance with the model of equivalent bodies in Sweden as soon as possible.’ Alternatively, this proposal shall be rejected and the Committee shall be set up.
ParlaMint-NO_2010-05-11.ana.ud2574e3994	In Case No. No voting theme is available.
ParlaMint-NO_2010-05-11.ana.ud2574e4073	Thus, today's map has been processed. Does anyone ask for the word before the meeting is cancelled? - The meeting's been cancelled.
