ParlaMint-NO_2010-06-03.ana.ud2616e53	Mr Solvik-Olsen will make a proposal for a representative.
ParlaMint-NO_2010-06-03.ana.ud2616e1404	A real man stands by his promises, even when it costs. Half a man breaks his promises, but at least admits it. There is no parliamentary expression about a man who breaks his promises, breaks the government's promises and then denies it. The promise was that the transitional arrangements would include the same power plants as in the final system. It was the principal promise that was made. The Council of State is trying to avoid referring to old questions from me and my colleagues, where we have criticized the government for wanting to have a final system that doesn't have all the small power plants, because the government in the Soria Moria statement excluded small power plants from the green licence market. There was a political disagreement between the government and the Progress Party in the previous period as to where the final level would lie. There's no doubt about it. That is exactly why we tried to push the government to raise this level. We knew that it would be a sensible energy policy, and it might park SV's resistance to small power plants. But the fact that we disagree politically on the level of the final system does not change the fact that the fundamental promise underpinning it is to be taken care of. Had the government stood firm on the Soria Moria I declaration and said that the final scheme would be 1 MW, and then the transitional scheme would also be 1 MW. Then I would have respected it. I had probably been pretty mad because the level had been so low, but it's about politics. Being committed to a promise that is given is about something completely different. It's about honor, being credible and being able to provide trust. The honesty that politicians should have, not least the government, even when a unanimous bigotry says so, we do not see in this matter. One now tries with substituting arguments to pretend that there is no connection between the promise that was given, and that is what the matter is about. This case is about one in 2003 so that the talk in Stortinget about getting into a green certification market caused small-scale producers – especially small-scale producers – to put their projects on ice pending the system. Just because this is about small power producers – I hope Snorre Serigstad Valen listens – then State Council Steensnæs went out with that promise. It was the direct coin of the small power producers. That is why it is so important that we also take care of the promise when the small-scale producers have done what they were suggested: Invest now and you will be in the scheme when it comes. Alternatively, we could say, no, until we know what it is, there will be no promises about transitional arrangements either. What had been the result? The result had been that most of the small power projects had been put on ice. We had missed the current they would have produced until 2012. It wouldn't have been a sensible energy policy. But the cost of 2012 would have been the same as if we had included these in the transition scheme, because then the projects would come. That's why there's no money to save on this, and there's a lot of honor to earn by turning from the government.
ParlaMint-NO_2010-06-03.ana.ud2616e1422	I hope this feels like a bad day for the government and for the Center Party, because it shouldn't be easy to do what they're doing today. In the head of the Address Paper on Saturday, they say that today there are many people who have every reason to feel tricked around. ‘Many rural communities around the country have been investing in small-scale power plants in the last few years. They have done so in confidence that the deployment of renewable energy is a priority policy area. Today, many people have every reason to feel fooled." I think that the introduction to the Address Paper manager describes the situation quite well. ‘Round lurch’ is a comprehensive and good concept in this matter for all those in District Norway who believed in the government’s promises that the development of renewable energy is a priority policy area. It almost seems that the representatives of the Centre Party in this room do not take the situation into account, and do not in any way understand how this is felt by people who feel it on the body. All those who have invested and invested, who believed in the government's promises – not least those who believed in the Center Party – feel lost, also because they know that there is a majority in the Stortinget, there is a majority in this Chamber today when we are going to vote on the matter. Many of the leaders of the Center Party believed that the party was to be trusted. Unfortunately, the Center Party once again shows that they are not. Unfortunately, the game doesn't fulfill its promises, and we see that repeatedly in this hall. The centre party breaks its promises regarding the power situation in Central Norway. The centre batch breaks its promises in the case of motor travel in the outland. The centre party breaks its promises regarding the beach zone issue. The centre party is also breaking its promises in this case about green certificates. The center party has had every opportunity to turn around and do anything to repair some of the damage that they're doing to all the landowners, all the shareholders, who are now losing large values. Here we are talking about the core voters of the party, and the party is failing its core areas. I can't help but understand that it has to feel pretty bad for the representatives of the Center Party to treat landowners in this way in the district. Here we are talking about the people who focus on nutrition development and contribute to activity in District Norway. Unfortunately, we cannot interpret the signals in any other way than that value creation in the districts is not valued.
ParlaMint-NO_2010-06-03.ana.ud2616e1438	I have to deal with some of the things that the representative Henriksen came up with, that he understood that the system could now feel unfair. But what was going on was that you should go into the scheme that the Small Forces Association wanted for the plants that were built from 2004 it would cost money. That's probably where the problem goes deep for the social democrats. Making money is not good, so they won't give any support to those who make money," said Henriksen. But they could not provide support for those who had poor facilities either. That is an attitude that I must say is incompatible with good manners, in relation to what you have promised in the past. So to the representative Serigstad Valen: he also understood that people felt bad, but it had to be borderlined, and that's what the council said. He found it unfair that you might have to pay 1.2 billion. kr for works and installations built between 2004 and 2009, because it would be at the expense of those who would invest in wind power and bio. It seems that the representative Serigstad Valen does not understand that there is hydropower. That's what we have available in Norway. That's what we have a lot of opportunities to expand cheaply. But we have to move on. We have to drop hydro now, we have to go to bio and wind – maybe even sea winds would be good. So at least we get consumers, who are going to use that power, good bills. This is a clear violation of politicians' promises. It goes all over the industry. It's not just the red-green ones. It applies to everyone sitting in this hall. The inhabitants of the country can no longer trust us. The political debate is increasing enormously, and the interest in politics is decreasing. I have to say that for the Central Party, which is a district party, this must be a very difficult day. Small-scale owners are largely farmers who use this as a contribution to the operation in order to get living conditions out in the districts. That's what the Center Party should be for and support in full. The industry has shown that it can produce and build good installations. Then it's up to government and society to build networks, so that the stream that's being produced can be used by the inhabitants of this country.
ParlaMint-NO_2010-06-03.ana.ud2616e1450	Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 3647]]
ParlaMint-NO_2010-06-03.ana.ud2616e1466	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines after the intervention by the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-06-03.ana.ud2616e1475	This government will develop more renewable energy. There should be no doubt about it. I'll come back to it a little bit in my post. Sustainable use of hydropower resources is an important element of this effort. In the light of the climate challenges, upgrading and expansion of existing hydropower plants, combined with the prudent development of watercourses, will be a valuable contribution. I am convinced that much will happen in the hydropower sector in the years ahead. For the Workers' Party and the Government, there are the results that count, and the good solutions. One thing I think this room can agree on, and it's that things take time – that's just the way it is. In its letter to the Grand Duchy on this matter, the Council of State gave a good account of the legislation and guidelines in force in this area. In addition, a number of studies and projects relating to the upgrading and extension of existing hydropower plants have been carried out and started. The area is currently being worked very well. What we're experiencing here today is that the opposition parties continue with their dissatisfaction strategy. They continue to say that this government has made one breach of promises after another. But I don't think that's right. There are a lot of things that have been done. I'm going to make a big annoyance for the opposition with a statement about the positive things that have been done. I may think it's important to bring it forward too, but we don't hear anything about it. I'll do it point-to-point. Let me also remind you of the great pace shift in renewable energy, such as: was carried out in 2005. Then I don't understand, with my best will, why not the bourgeois government – with the Advance Party as a supporting party – took part of these grips in terms of climate challenges, renewable energy and a lot of other things when they had the opportunity to do so. Someone will have to explain that to me soon, because I have not received an answer to that. Let me give you a few examples. We've spent more than 7 billion since 2006 and until today. kr for renewable energy investment through Enova. Maybe we can agree on that. Furthermore, we have created an energy fund that is now up to 25 billion. kr, where the yield goes exclusively to the work of Enova in the field of renewable energy and energy efficiency improvement. The government has committed Enova, through a new agreement with Enova, to deliver energy results of 18 TWh renewable energy and energy efficiency improvement from 2002 to 2011. And we have an agreement that they will deliver results of 40 TWh by 2020. In addition, we have significantly strengthened the NVE precisely in view of the development of renewable energy. This has led to an almost double concessional capacity of the NVE compared to 2005. The government has also concluded an agreement of intent with Sweden for the establishment of a green certificate market from January 2012, as has been said several times here. In addition to this, we have put in place a law on marine energy, which will be an important framework for the future development of renewable energy at sea. I think this list is quite good. I might still have a little bit, but I guess time doesn't allow that. These are just a few examples of the great shift in the pace of our national renewable energy policy. It's a time for plans and a time for action. The time for beautiful words, investigations and plans is far too far past. We need more energy, no more documents and investigations. I am very pleased that we are in position, that there are energy-producing parties that govern this country, and that what underlies our hydropower policy is a comprehensive concession treatment, where the concession authorities weigh off the benefits and disadvantages of a hydropower action through overall assessments. We're still going to keep a rough track of the energy issues. But as I said initially, things take time.
ParlaMint-NO_2010-06-03.ana.ud2616e1509	I should have almost said that the most credible thing in the government's energy policy is the last name of the previous speaker. The starting point for our proposal is inter alia: a few years ago, the Prime Minister said that ‘the time for large hydroelectric installations has passed’. Over the past year, Minister of State Kristin Halvorsen has said that Norway first had hydropower, then we had oil and gas, now we have to move on to renewable energy. It is a view of hydropower as if it belonged to the past, but the Progress Party wants it to belong to the future. This is not about having a dissatisfaction strategy. It's about wanting to get good guidelines and good framework conditions to develop our main power supply industry. Actually, this should be part of an overall energy message. It has not come from the government, nor has it been notified. As the previous speaker said that the time has not come to produce large documents, I almost perceive that this means that the government must also scrape its oil message – unless the type of rhetoric is connected. There may not be a need for an oil notification, but there is no need to have predictability and flooding messages on the hydropower and energy side. So that's a substituting argument, because the oil message I expect them to present. What's our point is that we want a political strategy paper, adopted in Stortinget, which puts the long-term leadership in our main power industry. What we've seen under this government is that it's been built up hydropower. No one refuses. The question is whether we could have gotten more. My claim is yes. Could we gain greater confidence from the industry, so that they dare to trigger investments? My answer is yes. After all, the previous debate on small power plants and transitional schemes for green certificates testify to an industry that is quite cursed by the government. If you talk to larger power producers, they will also point out that there are constant tax changes, back and forth, depending on who wins the rematch – an example of their lack of the line they should have had. Everyone knows that SV is a great opponent in many of these matters. Fortunately, the center part is a champion, but most and most when they're in opposition. Because when they're in position, they owe it to them to lose for the Workers' Party in the Oil and Energy Department. I think that's sad. But in such a big message, the government could have presented a unified vision of what they want with the hydropower in the future. We know that Enova, who is the government's apparatus for fulfilling some of the promises of renewable policies, and who largely supports everyone here in Stortinget – the Progress Party has been most sceptical – has no influence on hydropower deployment. No visions have been delegated to Enova for the purpose of investing in hydropower. But hydropower is significant today in Norway. I expect that some will dwell on how good we have been, but this debate should be about how good we will be in the future as well. What are we going to do with existing hydropower in terms of upgrade and upgrade? If we are to become Europe's battery, which many have visions of, what will it take to expand this in order to drive our hydropower plants harder? What will be the impact on natural values, for example: for salmon fishing in these areas? We can't just stand and talk about saving the world with Norwegian hydropower, without taking into account what major changes it actually means both environmentally and investmentally to enable our hydropower plants to deliver power to especially others than ourselves. What do we want with our small power plants? And not least, what do we want with new, large hydropower? And what do we want with the Norwegian supplier industry in the hydropower sector? We know that Statkraft and other actors through SN Power are investing heavily in hydroelectric development in other countries. We still have a good reputation as suppliers and within hydroelectric technology, but the rumors gradually disappear, which we do not bet on from the Norwegian side. I believe that by intervening early now, a person could maintain what he has, strengthen it and make sure that Norwegian technology is used more extensively. The government would like to start investing and making sure that Norwegian companies left the world and built environmentally friendly renewable energy and got climate allowances from it, instead of going into the market and buying from questionable projects or from large foreign companies. Finally: dissatisfaction strategy. It's a bad excuse for you not being able to deliver yourself. I'm not impressed by mediocrity. Yes, everyone acknowledges that a lot of money has been allocated to renewable energy now. The question is, why was this renewable fund created? Well, it was created as a consequence of the government failing in its work on green certificates in 2006. This with the renewable fund was not the solution primarily, it was a fallback because it all really wanted, did not work. That's the same thing about Enova's goal. Has the representative Stroem read the Riksrevision's assessments of Enova's work? I take up the proposal that we are behind.
ParlaMint-NO_2010-06-03.ana.ud2616e1532	The representative Ketil Solvik-Olsen has taken up the proposal he referred to. State Council Kristin Halvorsen is probably flattered at being named Minister of State, but that title does not exist in our state system.
ParlaMint-NO_2010-06-03.ana.ud2616e1537	I'm afraid that's part of what I'm saying today, which is in a certain contrast to the case-speaker Stream's article. Energy issues have been one of the most important international political issues in the last decades. The climate challenge is, of course, an important reason for this. Most greenhouse gas emissions are related to the use and production of energy. Secure access to energy is the key to developing and improving the standard of living for billions of people in developing countries. Access to energy has also been in our part of the world. 1.6 billion people are currently lacking access to electricity. Energy security is also an important political issue in our part of the world. Our European neighbours have been forced to freeze through several of the last winters as a result of the gas price abuse between Russia and their neighbouring Ukraine and Belarus. There is an important reason, in addition to the climate challenge, for the EU to adopt an ambitious renewable energy investment directive with a renewable component obligation of at least 20 pst. by 2020. It's only in Norway, the energy storm power of Western Europe, that we live in a tornado sleep when it comes to discussing energy issues. Here it's not good to know what today's government thinks about the major energy policy challenges. Since 2005, the Red-Green Government, with its three Energy Councils, has only delivered a single big message on energy policy. There was a four-page issue of renewable energy, where most of the political content was actually withdrawn the following year. I guess there's going to be a pretty good side per State Council in the Oil and Energy Department. Moreover, it would be nice to manage a document where the government signals the direction it will take in energy policy. Nor has the size had any basis for a political discussion on the EU's renewable directive, despite the fact that we know that there will be significant consequences for Norway. The former energy minister, Åslaug Haga, in his time as the Council of State launched an energy message that one could see energy policy in context. That thought Right was a good idea. Unfortunately, it was only with the thought, because one of the first oil and energy ministers of the day did as he followed her, was to cancel the warning of the energy message. Every time we have drawn up energy and environmental policies with the oil and energy minister, our answer is either a moon landing at Mongstad or Enova. Now the moon landing has also been postponed, and Enova's energy reporting has been slaughtered by the National Audit Office. Then it is not free for me to feel a little like the little good in the adventure today – he who pointed out that the emperor had no clothes on. I think that energy issues should be high on the political agenda in Norway, assuring that the Stortinget takes time at regular intervals for a thorough discussion based on a government announcement. Norway is the largest producer of clean renewable energy in Europe. It is claimed with great weight that we are Europe's battery. Water power, of which we have a lot in our country, is an important stabiliser in the European power market. Despite the fact that much of the hydropower is expanded and much protected, it is still possible to use more of this renewable, emission-free energy source, which accounts for about 98 pst. of our power consumption. What has the red-green government done to facilitate more use of the water force? What I'm thinking about most is the Prime Minister's New Year speech where he announced that the time for the large hydroelectric power plants is over. I think we should instead look at the water force with new eyes. Today's technology leads to much less natural interference than it did in the 1950s and 1960s. It has been a raging technological development in this area. Today’s modern hydropower expansion is often barely visible in nature. In addition to conventional hydropower, there is much more to be gained through small scale hydropower expansion from mini, micro and small power plants. The NVE estimates the potential at land level of 25 TWh for new generation from small power plants. This is more than 20 pst. of current power generation, and it covers more than 80 pst. of the electricity consumption of Norwegian households. It is therefore a shame to see how those who have invested in small power plants in the last few years have been handled by the red-green government, cf. today's debate on green certificates. Investments in energy production are long-term and costly investments. It requires stable and good framework conditions. The potential for clean, renewable energy in Norway is among the largest in Europe, and Norway has a great responsibility to facilitate clean, renewable energy from Norway to make Europe capable of achieving the climate targets. These are some of the challenges and opportunities we face in energy policy, and it should be discussed in the context of an energy message, where it is home to a watershed message. Therefore, on behalf of the Right, I would like to support the submission of the Progress Party.
ParlaMint-NO_2010-06-03.ana.ud2616e1567	Over the last 100 years, hydropower has been a major factor in Norwegian wealth development. From the hydropower we have created industrial workplaces, and energy has given power to the thousands of homes, thus increasing living standards. The use of energy in transport, for heat, for electrical appliances is very important, not to say entirely decisive for the functioning of our society. It's impossible to see our country lead today without stable and good access to energy. Unlike many other countries, we take most of this energy from renewable energy sources, and especially from hydropower. This gives us valuable power generation at a time when we know that greenhouse gas emissions need to be reduced if we are to avoid dramatic changes in climate and biodiversity on our planet. The Committee has repeatedly pointed to the value of our renewable hydropower resources, while pointing to the valuable watercourse nature we have in our country, and the responsibility we have to manage it in a good way. Many of our major watercourses are already developed, but at the same time there is a great untapped potential in expansion and upgrading projects, and not least in the construction of small and small and micro-power plants. Some of this potential is now being exploited as a result of the expansion of many smaller rivers with smaller power plants. This is gratifying, not least given the importance of this energy production for our country in the long term, and what it means for the environment. Upgrading and development projects in existing power plants also represent a significant potential in the years to come. It is quite clear that there have been limited challenges to the NVE's capacity to manage matters as a result of the increase in the number of new energy projects. This handling capacity has been significantly strengthened in recent years, and it helps to ensure that the processing time per project goes down, even if one has to admit that due to the huge amount of time involved, there is a long waiting time for many projects. In addition, the government has invested in a number of measures to promote new, renewable energy production. I am not going to repeat the measures that the case-speaker did in an outstanding way – and lived up to his last name in that way – but just stress that there has been a considerable effort. And now there's a proposal for a representative for a big-scale report on hydropower. When I refer to the measures taken by the government in this area, it is to emphasise the focus one has just on taking action and getting new renewable projects realized – not just by cutting the procedure time, but by offensively investing through Enova and by providing more funds to the Energy Fund, thereby increasing the overall framework for renewable energy production. Web sites have discussed earlier here as well as other measures. In the view of the majority, new projects are now primarily needed to generate new renewable energy, and not more plans. And it must be allowed to say that representatives from the Progress Party in the last few years in this Chamber have proposed plans for almost everything we can think of sectors in the energy field. Should the party have had a say in this way, the ministry would have been largely employed as a planning department and not as the initiator of important policies for new renewable energy production. So I have to say that it's easier to stick to the concrete proposals of the party. On the other hand, I would like to commend the Progress Party for raising the debate on hydropower generation, not only because of the historical significance of this production for our country, but because it may seem that some sometimes forget how important hydropower production is to us. All the production of energy leads to interference in nature. As politicians, it is our job to help us find the right balance between the value of natural resources while safeguarding the environment through the production of renewable energy. Parts of Norwegian natural resources do not seem to have come to realize that renewable energy production leads to natural interference, because, at the same time, the government is constantly criticising the lack of sufficient incentives to increase renewable energy production in order to save the environment, is one and demonstrates almost all forms of renewable energy production. It's not in the pile. Sometimes we have to make a choice between environmental protection and nature protection, and sometimes I believe it is right to re-examine this discussion in the light of the climate challenges we are now facing.
ParlaMint-NO_2010-06-03.ana.ud2616e1590	Norway is a country with a lot of hydropower. There have been wise women and men in earlier times who have facilitated hydroelectric development. It has helped create jobs. It has helped to develop our districts and our entire country. For the Christian People's Party, this is linked to a thought of being good administrators, of using the resources we have, in a sensible and gentle way, at the same time using them to create development. The Progress Party today calls for a global report on hydropower policy. On the part of the Christian People's Party, we believe it is more appropriate to take a more holistic approach and see energy and the climate challenges we have in the context, and therefore we believe that there is a need for an energy and climate communication. Because we have a climate crisis. We know that the main reason for the situation we're facing is that we've been using too much fossil energy. The Intergovernmental Panel on Climate Change gives us the time until 2015 to reverse the trend in CO2 emissions, whose goal is to achieve the 2°C target. I am glad that this is still the target in relation to the temperature increase. But time is beginning to run out. 2015 is not many more years, so action is now required at home. We can not just lean back and say that the financial crisis is resolving, but we need to implement concrete measures. We also know that the world needs more right-type energy in relation to the evolution we want for the world, because we want people to get out of poverty. Then more energy is needed, but then it is also important that we be able to provide energy that does not increase emissions, so that we can manage a transition to energy use that reduces the greenhouse gas emissions we have seen in the past. In 2008 we presented the Stortinget climate agreement here with bold targets, important targets. What is crucial now is that the government begins to deliver content in relation to these objectives. When you hear case rapporteur Stroem, the time for plans is now over, and it is time for action. In this context, at least it's an important signal, but I don't think we're going to be completely blind to the fact that sometimes it can be important to make new plans. From the Christian People's Party we believe that there is a deficiency in our Norwegian political system right now that we do not see the energy and climate challenges together. That is why, through this attitude, we have called for an energy and climate action plan, which we know is also supported by businesses and organisations that are currently operating in these sectors.
ParlaMint-NO_2010-06-03.ana.ud2616e1606	The beginning of the article should seem familiar to this assembly! For the government, it is central to facilitating a significant increase in our renewable energy production. Sustainable use of hydropower resources is an important element of this effort. In the light of the climate challenges, upgrading and expansion of existing hydroelectric power plants combined with the prudent development of watercourses will be valuable contributions. Today, the government is facilitating the realisation of environmentally sound hydropower projects. Through investigations, we get to the areas that need more thorough follow-up by the authorities. Norway’s watercourse and energy Directorates have carried out and launched a number of studies and projects to identify the technical and environmental potential of hydropower, including in the context of exploitation of e.g. pumping power and wind power resources we have at our disposal. All power generation has consequences for nature and the environment. It is important to provide increased knowledge of all the effects of renewable energy, including more knowledge of existing and, where appropriate, changed use of hydropower. The government supports, among other things, Environmental energy research centre (CEDREN) is working to gain more knowledge about, among other things. effects of power driving, possibilities for more power generation and more salmon, etc. The NVE has also been identified with the environmental impact of rapid changes in water levels. Awareness of these contexts will help to ensure that hydropower resources can also be managed in the future in a way that takes the utmost account of important environmental values. The representatives call for a survey of the Norwegian hydropower potential. The NVE is responsible for providing an overview of both existing power plants and the potential for new projects. NVE maintains statistics on just the hydropower potential in Norway and publishes annual statistics on the energy potential, the protection, the projects under development, the concession and the NVE for treatment. The concessional capacity of the NVE in recent years has been considerably strengthened. Hydropower applications are a high priority in concession treatment. A number of measures have also been implemented to reduce and streamline the duration of the NVE. I take it for granted that the increased resources for concessional treatment given to NVE by this government will give lower procedural time as the improvements work. The power to grant concession to hydropower plants below 10 MW was delegated to NVE in 2004. From this year on, the power to grant a concession for power builds of less than 1 MW is transferred to the county municipalities. It would be natural to gain experience of this work before further changes are implemented. While working on framework conditions and investigations, we also grant permits for a number of new hydroelectric power projects. In the years 2006-2009, a final concession was granted for an annual production of 3,4 TWh of new hydropower. The representatives are calling for support to the supplier industry. The large number of new concessions granted ensures activity in Norway. However, the government also supports the internationalisation of the industry, including in particular: through INTPOW and UD's clean energy deployment. For my part, I had the pleasure of being part of this venture last week when I was in China. I see that precisely internationalisation in this area is something that works from the Norwegian side. Representatives are calling on the government to promote a deposit notification on Norwegian hydropower policy. As I have explained, the government and the watercourse authorities are making a major and significant effort to use the hydropower in a gentle manner, and we are reaping results from this. I cannot see, therefore, that there is a single biggest message about the hydropower policy now.
ParlaMint-NO_2010-06-03.ana.ud2616e1629	It's going to be line change.
ParlaMint-NO_2010-06-03.ana.ud2616e1632	The previous case of small-scale energy policy testifies to the need to have long-term sustainability and obligations in it. In its statement, the Council of State now referred to a number of processes such as: takes place in NVE. There are processes that I think are good and important. And then I have recorded in this debate that SV has not taken the floor. I see that as very positive in this context. However, the question is: will all these processes and work within the government in any way be submitted to the Stortinget, in order to have both discussions and, not least, attempts at a broad compromise on the future use of hydropower, so that there may be framework conditions that persist across possible and probable government shifts?
ParlaMint-NO_2010-06-03.ana.ud2616e1642	If the representative Solvik-Olsen wants to participate in the processes within the government, I think the representative must be part of the government. I believe that neither the representative nor the undersigned sees this as particularly topical. What are processes towards the government's conclusions is, of course, just that, processes. But what's important about the work and the commitment that I see absolutely that the Solvik-Olsen representative has in this area is the practical policy, that we come up with good solutions that help to realize projects. I think it is good that the representative gives credit to the NVE for the processes that go there. There is a good overview of what we have of resources in Norway within this, and we see that it actually happens quite a lot to expand the smaller watercourses now. So there'll be some adjustments to that between the different years. But I'm saying that we're now in a good phase, good time, to get projects realized.
ParlaMint-NO_2010-06-03.ana.ud2616e1649	Hydropower has enormous potential in Norway. I think we are in complete agreement on that. The Prime Minister, in his New Year's speech, said that 'the time for the major hydroelectric projects is over'. My question is very simple today – I will only ask it once: does the Council of State agree with the Prime Minister in this?
ParlaMint-NO_2010-06-03.ana.ud2616e1656	I was going to say that I am spending a lot of time on new dates for the time being! In the case of hydropower deployment, there is no doubt that the largest projects have been realized or would have been in watercourses already protected. The fabric was in that way the last of the major projects in which one assessed whether one should protect or expand. And when the Wefsna decision was taken, the reality became, as the Prime Minister pointed out, that the big projects were seen on a Norwegian scale and a little bit backwards in time. Fortunately, under the major projects there are many interesting, important projects. They're definitely the government's concern to realize, and we're working on that to happen.
ParlaMint-NO_2010-06-03.ana.ud2616e1663	The same opposition that shouts for content has a sad record of its Bondevik II government. We cannot blame the Progress Party for that, with its lack of governance experience. However, the care of the Right for hydropower is reflected in a policy for unclean gas, which they want to push into the market. Under our leadership, on the other hand, climate objectives are strengthened, support via Enova has increased dramatically, and we are not the citizens who have put in place a system of green certificates in cooperation with Sweden. Does my council share my opinion of and stated that the opposition's gap between rhetoric and its own merits is gradually becoming a little bit big?
ParlaMint-NO_2010-06-03.ana.ud2616e1670	I think the representative Serigstad Valen gave a very good description of the situation, so I'm behind the assessment because there's a lot to do in this area. And it's probably also that there's a lot of different input into the options.
ParlaMint-NO_2010-06-03.ana.ud2616e1675	Governments provide many examples of action in the hydropower sector in Norway, and that is good. But does not the Council of State see the importance of overall plans? Before putting things in context, you have to have plans, for example: for total efforts in the hydropower sector, intermediate targets, milestones, so that you can control how far you have come, progress, consumption, profits in the Nordic region – maybe we have too much power here – network needs in Norway and abroad, technology conservation and the supplier industry, i.e. the things that are important – not just a list, but something that you can measure the government's work at all times. That's what we're asking.
ParlaMint-NO_2010-06-03.ana.ud2616e1680	I think, subject to many examples being drawn out, that we have good statistics and a good overview in the areas that the representative here is drawing up. Reality, in the energy field, as in other areas in Norway, is that we have very good information, we have a good overview of what we are doing – and the representative mentioned many examples here. So it's not like we don't have the overall plans either. Enova has been brought forward many times here today. Enova’s activities are guided by very clear plans, letters of allocation and policy framework. The same applies in relation to the letters of allocation given to the NVE and the framework provided for the activities there each year. So we don't have to make it the only overall framework from which an enterprise is governed is one type of message. There's a lot of generality going on as a framework for our business.
ParlaMint-NO_2010-06-03.ana.ud2616e1689	Governments and signatories are probably offensive to how much results the government has to boast of in relation to what an alternative government could deliver. My claim is that today's opposition would deliver greater results than the Government of the State Council, although there will be a bit of a hypothetical debate. At the same time, I note that the Council of State tends to be offensive that they have used more gas in Norway, even if it is not cleaning. Governments tend to be offensive to the fact that they have granted more exploration licences for oil drilling than the previous government, and that they have been more offensive to hydropower than the previous government. All these are issues that SV in the opposition has been completely opposed to being offensive to. The question then is: is the Council satisfied that SV in position has become a satisfied little pussy cat in their questions to the government about what you have achieved and been offensive to?
ParlaMint-NO_2010-06-03.ana.ud2616e1696	I don't think I want to use that term of any party. I have no other comment on this either than that I think the government in this area has come to many good and wise conclusions. The representative mentions the management of resources in the field of oil and gas activities. There I think we have a lot to boast about what has been done in recent years. And for what we're now discussing, hydropower, I mean the same thing. I feel that there is one government that delivers one policy, and I think that is a good policy.
ParlaMint-NO_2010-06-03.ana.ud2616e1703	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-06-03.ana.ud2616e1708	I record that the opposition would like deposit messages about both the one and the other. This is not exactly about reducing bureaucracy, which they want to do at the same time. I'm not going to say that one doesn't need a big message as a basis for discussing future policies in different areas, but I'm not sure at all that a big message about hydropower, or energy and environment, as the Christian People's Party now pointed out, will be helping to improve water power policy in this country. At the same time, it is very good that there is a focus on hydropower policy, and that we get a discussion in the hall about him. Because we're a few about a lot of things. One is that we should try to streamline our energy production and use. The second is that we still need more new and renewable power, where solar, wind and bio will of course be significant, and wave power etc., but where one does not escape the fact that the water force also has to play a very important role in the future. I think Stoltenberg was right in saying that the time for the large hydropower projects was over. But now, 'large' is a relative change, so it's still that space and potential for many gentle developments in the future. When one talks about large and small power plants, we had a discussion in the previous case about this with small power plants. It's great that we're getting some small power plants built up, but we shouldn't think they don't have environmental or natural consequences. In fact, I have seen plans for small power plants that have made me very concerned, which have been almost more interference in nature than large, well-suited power plants. Therefore, each individual application has to be considered and adhered to. Traditionally, water power and environment have been set up against each other as a contrast. It's enough to think about Alta and Martyla, and wherever it may be. In all such cases, as I said, there is a balance. But many developments in recent times have shown that technology and the way to build water power have been much better than before. There are actually examples where I think they have contributed to the landscape being as good as it was before, one has got ponds with fishing facilities etc. Therefore, we do not need to see either black or white on this with hydropower and hydropower potential in the future. It is very important that the NVE now has its capacity strengthened, because that is where it has accumulated. And I hope that many very good power development plans can be realized in the future.
