ParlaMint-NO_2010-04-20.ana.ud1350e36	The representative, Peter N. Myhre, will put forward two proposals for representatives.
ParlaMint-NO_2010-04-20.ana.ud1350e1036	For the debt of the order, first and foremost, to the 2005 points. Let's be glad that the point game was good in 2005, but what was the dilemma was that it wasn't done maintenance. Hence, the punctuality was good as far as he went. Today, extensive maintenance is associated with track disruption. Hence, for a period of time there is a lack of punctuality. Then it'll be better. When it comes to organisation: I think that in today's situation with the challenges that the railway system now has, it's literally, a derailment to ask them to spend time on just that. It's not just about money, it's someone who says. I agree with that. I am busy getting the most out of the money they have at any time from the railway works, the NSB and others. It's also taken up in the governance dialogue, letters of formal notice, etc., but I think we have to assume that if we want to enforce the maintenance, it will mean re-priorities. If we want to support maintenance, we also need to strengthen the maintenance of money. In this calculation, there will also be gains, for example: the current costs for both individuals and businesses resulting from the lack of maintenance. That's how it's turned out to be. There's the level of the permissions that's important there. So it's about doing for me to emphasize that, for example. on the largest railway project in the national transport plan, namely Oslo-Ski, we need to keep the level so that we have progress in the development process all the time. For a well-functioning railway network, we depend on both hams and materials, and on professionals and necessary means. $92 billion - it's a lift. It will provide a much better railway in Norway. This will also mean that commuters get a better everyday life than they have experienced during this winter. I have to say that I have adhered to excellent leaders in the NSB and in the Railway Agency through this very special situation. I have met footmen who day in and day out are on both at the railway station and in the NSB, and who have not known what they met the next day. [[The President clubs.]] Now there's light in the tunnel!
ParlaMint-NO_2010-04-20.ana.ud1350e1049	Now the light is turned off on the speaker's chair, and that means that speaking time is out!
ParlaMint-NO_2010-04-20.ana.ud1350e1052	The representative Bjørnflaten takes up the double-track Lysaker-Sandvika. I think it's a superb and good example of why we need a reorganization. This is a stretch that we've been building in ten years. There are different governments that have to take responsibility for it. The railway company itself says that if they had built this section in five years, we as a society had saved NOK 2 billion. My challenge to the representative Bjørnflaten is that when she takes Lysaker-Sandvika as an example, she sees the need for a reorganisation of the railway system, so that they can precisely organise and develop the projects in an optimal way, so that we save money? So the example of the Bear Surface, we could have saved $2 billion! The Labour Party has its seat in government during this period. The same is true of the Christian People's Party. The Christian People's Party now sees that we are content to bring about a renewal. We've done it with Avinor. We have a good example to show. This debate has been marked by, among other things, surrender from the opposition, according to the government party. Then I thought it interesting that the party SV made good proposals today early on about just increasing investments and funds for maintenance. Then my question to the Center Party and the Labour Party is: is it overdue when SV comes with it, or is it just overdue when it's the opposition that comes with this? I would like to give an enronment to SV because they see that there is a need here. It's a real maintenance need that we have to take seriously. I understand that Hallgeir H. Langeland is impatient. After he had been in government for nearly five years, he was in the pulpit instead and boasted that they have received new job advertisements at the Railway Station. There is not much to reference. We need a completely different skepticism. What worries me after this debate here today is that there is too little action in relation to the real need that is on the railways. We may say that more people have to take responsibility for what has happened, but we need more to maintain and invest more in the railways. Elisabeth Enger's word has been taken up several times in this room. I just want to end by saying that there's one thing that's been too little talk about, and that's the Oslo Tunnel. That's the big bottleneck. That is why I would particularly like to draw attention to the proposal for a future Oslo tunnel that is in place. This is perhaps the most important single proposal in the matter we are dealing with today.
ParlaMint-NO_2010-04-20.ana.ud1350e1067	What's striking in this debate is that the position obviously does not have future solutions on how to get on another track in terms of rail. So while the opposition has promoted a number of different proposals, including organisational ones, there is no great wealth of ideas. I guess that's something that characterizes the government in a lot of ways. But after listening to this debate, I have to say that what strikes me most of all is that if it is right that the speakers of the position parties now claim that it is the 2005 and 2006 transition that is the cause of the problems now, it is a serious question of what former Minister of Transport Liv Signe Navarsete knew and had been investigated when she stopped a process of conversion that was well under way. She stopped a conversion process that was going to build another way of running the railway in Norway, and she did it in 14 days. And if five years later that's why there's not enough professionals, it's actually important that the Storting start looking at the decision-making basis for the red-green government's reversal of the process. Government work is governed, inter alia, by: by an investigation instruction. Then you also need to know about the consequences of stopping processes that are in progress. And if the excuse to the majority parties five years later is that there are not enough professionals because of the conversion process that was in that case, then it is Liv Signe Navarsette who has made a terrible – terrible – misassessment of how to stop a process without having a plan for her coming back. Earlier in the debate, someone tried to say that there was a bad transition, that was the worst change in history. But the truth is that it was never implemented, because the red-green government stopped it in the middle of the process. I have met some of the people who chose to leave the railway station to start themselves, to contribute to the new competition, to lift a new and better way of running the railway in one year after that process was stopped. And the clear message I got then was that they didn't get a job in this area. They were not given the opportunity to contribute. On the other hand, they had very difficult working relationships with the new projects and the new organisation that had started. The red-green government said no to the competence of many of these professionals, because they wanted to drive the skills in a different way and in their own direction. It is probably an example that the private allergy to the Government has led to indecision and wrong decisions. From this point of view, I think it is important that Stortinget looks into the basis of Liv Signe Navarsete's decision to stop the transition, because that seems to be the reason – from the positioning parties themselves – that the situation we now have is so serious.
ParlaMint-NO_2010-04-20.ana.ud1350e1080	It was not a shock to anyone that this debate was largely about the distribution of debts. I think most people still agree that the government is not entirely without influence on Norwegian transport policy. So when you look at how governments have been compounded since 1945, there have been eight bourgeois government formations, and they have ruled for a total of 19 years over a period of 65 years. So the Labour Party has been in power for 46 of the 65 years. Well, at least that's the math. What's also agreed in this room is that trains are good. I also think the consensus goes quite far in terms of the following fact, namely that trains are expensive. So we're talking about a two-digit billion to improve an already existing route, the one between Oslo and Ski, which is 2 miles away. In addition, the railway is connected in such a way that it needs large operating grants every year. Motorway construction is something you can do for less than NOK 1 billion per person. miles, and car traffic generates revenue of the state of 50 billion DKK per year. years. So we could build 10 to 20 miles by motorway for the same amount as the Oslo-Ski railway project costs. So now we still support the Oslo-Ski project, not least because it is one of the assumptions of Oslo-Paktic 3, which provides the solutions that will solve the transport challenges that lie throughout the Oslo region. Oslo Package 3 has a good balance between road and public transport, so it's funded. The best advice we can give to the Government, I think, is not to see the collective means of transport and other means of transport very isolated and individually, but to take an overall assessment of the overall situation of transport in the Oslo region and build on Oslopackak 3.
ParlaMint-NO_2010-04-20.ana.ud1350e1089	I think the representative Erna Solberg gave us an excellent background for understanding why we've ended up where we are – in the chaos on the railway. The council says it's getting worse before it gets better. I sincerely hope that then buses will be installed so that people can get between A and B in the period this is going to take place – otherwise it probably makes sense. The railway manager says it's worse than we thought. Yes, but if it's worse than we thought, we have to take some grip then. Because what's a little problematic for us politicians is that we think it's better than it is, because we're assigning money to something that's said to get right, and then we don't get feedback from those who are going to do the job, about how miserable it really is. I got a great understanding of the driver on the train from Trondheim to Oslo yesterday when we were delayed one hour. I had a chat with him at Hamar, and he says yes, you understand there's so much telehiv here so I can't drive for more than 60 km/h. Yes, but someone must know in advance! And there's no sense in setting up a train table that says you're going to be in Oslo at 8 p.m. 10:30, when you can't be there until 10:30. 12:30. We as passengers also need to know. So it has something to do with the flow of information. It has something to care about the passengers. Passengers must be in focus.
ParlaMint-NO_2010-04-20.ana.ud1350e1101	It's interesting finally to be in a social debate with Peter N. Myhre and hear praise and boast of Oslopak 3. There's a movement effort and a way to do things like representatives of the Progress Party in the last four years have spent a lot of time taking a distance from, with which they've been a little satisfied, and with which they would wish Myhre hadn't implemented. I don't know if we'll get back to that. But I agree that here there is a good balance between road and track, which the Progress Party did not want in the previous period. They then proposed, as the Bjørnface correctly said, to cut both operating subsidies and investments into the railway. It is also interesting that the representative Hareide chooses not to answer the Bjørnface's questions. Because it would have helped very little with a reorganisation if the money was not in place. How would you have saved $2 billion if you didn't even want to contribute money to prioritize the expansion of Lysaker-Sandvika? In fact, sometimes you have to spend money to save money. That's exactly what the red-green government is betting on. You have to build longer and bigger to do things cheaper. It is quite clear that the Bondevik II administration and Hareide had not understood it. That's why the article from Erna Solberg is a little bit hard to understand. She talked about people who wanted to start on their own – working privately for the Railway Agency. Yes, it is possible that someone wanted to. But what project funding would they have worked for, when you haven't chosen to give priority to money? Because whether it is private or public that are to carry out the tasks, those who work there are to be paid. So that reasoning is not at all related. So now it's like this government that's been thinking new. We're the ones who for the first time organize a railway project in a different way. Oslo-Ski comes at its own budget line. It's a project for $12 billion. It opens up to think about the form of the contract. The kind of thing didn't happen when the Right sat in government. I am aware that there are ideas that were also on the table at that time. So here you've waited a long time to think about new things. It's the classic thing: you don't choose to do things when you actually have the opportunity and you're in position, and then you complain about everything that's not done when you're in opposition.
ParlaMint-NO_2010-04-20.ana.ud1350e1114	The representative Hareide is supposed to save the Norwegian railway. The way he would do it earlier in winter, was to take money away from the road. That's what the representative Hareide said. Then there was a race. Then the representative Hareide would also take money away to provide more for racial protection. He was then to take money from road construction in the central east, in central strata. Last week, the Committee on Transport and Communications was on a committee mission in Eastfold and Akershus – at least relatively central. Then there was no way we were going to get ahead of E18 development and road development in the Central East. So the representative Hareide has used the money that he now wants to spend several times. The trustworthiness of Hareide is not present in all the money he has around, and will spend on different things. So it's like we're three and a half months into the period of the NTP that was adopted in June last year. We have a project in the Oslo area. It's going to be $2 billion. The gardermoban standard is requested in the Oslo area. You're doing that with Project Oslo, so it's signed out. There is a design of double tracks Oslo-Ski. It has to be built, and maybe even something faster than what's supposed to be. It's a project of your own. Funding has been ensured. That's how you could still have that. Other projects come on a continuous basis in the National Transport Plan, and I would like to remind you that we are three and a half months into the period. In the case of double tracks between Halden, Skien and Lillehammer, on which I was in my first post, there are no completed plans for that today. Those plans have to be put in place. We have to make time when we can get that double track in place. I don't think it's just the representative of Schou who thinks 30 years is a long time. The Minister of Transport has recently said today that we want a review of the state of the railways, although it is only a year since we adopted the National Transport Plan. Then we get back to what the warned review will have to say. But there are things that indicate that things can be done faster, and that's something that we have to get back to. With stable framework conditions, with predictable appropriations in the coming years, we will get more railway development faster. But then the relationship between politicians and the railway must be a long and loving marriage, not a short-term relationship that ends in breaking, or that as politicians we are cheating or finding new partners.
ParlaMint-NO_2010-04-20.ana.ud1350e1129	There's been a lot of history here today. And since the Bergensbanen was mentioned for a while back, I can't humiliate myself, because then actually left with a majority on the Stortinget. Then we would have made a slightly better choice, there would have been speed in matters. I am disappointed that there may not be any concrete decisions here today after this long, intense debate. I would again draw attention to the distributed proposals of the Left. It is concrete, it is forward-looking, and the Railway Agency is given a clear marshalling ground on what they should prioritise, namely the main artery. Then I agree with the committee leader, Knut Arild Hareide, that we must have a new Oslo tunnel. A long process is not necessary to address the need. As I also said in my post, the need is there. Just think of the population growth in Oslo and Akershus! Think of the vulnerability by having one tunnel, when there are double tracks on all sides! So why spend so long figuring out the need? The Council of States must almost answer that question. So to Gorm Kjernli, who spoke about the double track Oslo–Ski, which is secured funding and is on a separate post on the state budget. Is it that the money is set off, that you're committed? Is that not the case that it should also follow regular government budgets? Is it the case that the money is there and you commit, and whatever happens, is the money for the double track Oslo–Ski in place? We almost have to get an answer to that, because I'm getting pretty tired of hearing about this track, when we've only just gotten money to a planning process.
ParlaMint-NO_2010-04-20.ana.ud1350e1143	Let me just say a few words about Oslo-Christiansand, since it was mentioned. What was the actual situation, was that a proposal was made, but one had not put in the funds that are most likely to realise this proposal. If I were to allow myself a little untimely comment in addition, it was okay if this was a stretch where it went three years before this was requested – without having to pay too much attention to it. But anyway, that's the explanation. I just have to say from my side that there are other proposals that have been given higher priority. To Lysaker – Sandvika: Is it the organisation that is the point of considering these 2 billion dollars? That's my hareide. I'm going to say that what's important is, in fact, that it would have been time for a coherent expansion. Then the level of the permissions is crucial. Then there's a difference of $4.4 billion in annual budget appropriations for the railways and $9 billion for the railways. To Oslo-Ski: It's on its own. It has to be followed up. It is crucial to ensure progress, but it is not possible here to set all the funds at different costs until you have actually completed a planning process. So Erna Solberg raises a very important question: what happened in this reorganisation? Let me stress that there are composite reasons why we are where we are today when it applies to Norwegian railway. One moment is your professional competence. Another is the level of your licenses, of course. There may be other reasons. But when it comes to the reorganisation that happened, it is actually that in the 2006 state budget, Bondevik II announced that it was part of this reorganisation that it was difficult to carry out, because they saw that they actually needed some of the professional competence that they were in the process of organizing away. There will always be a question of whether to do work within your own company, or whether to bet on the consulting industry. I mean to have registered strong criticism from Stortinget, because sometimes it is used at different levels for many consultants.
ParlaMint-NO_2010-04-20.ana.ud1350e1154	When Borghild Tenden spoke, I suddenly heard horn music in my heart, but it also continued when the Council of State was on, so I realized that the sound came from outside. It's a big problem for this government that it has no vision, no will or any grip on such a big challenge as this. I think it's a huge problem. I believe that the government should think about when the Left makes proposals and it is easier to get support from the Progress Party for rail action than it is to get support from the government parties. I have listened to this debate, and what strikes me is that there are politicians who use great creativity in an attempt to take others for things they have done, and then there are politicians who use great creativity to suggest what should be done for the future. My problem is that the government parties largely exercise creativity in the debate – on the first part and not on the second. What was the Left's initiative in this Chamber was a document 8 with constructive proposals for what to do. It was actually meant to be a handshake to the government, because we're from a party that's been working a lot on the railroad for a long time. I have to say that I, as an Oslo citizen, live 4.6 metres from the railway line, am also a little frightened when we see the railway station's eagerness for the small projects, such as: The Oslo Tunnel. This is probably many, many decades ahead. What I think is quite frightening is that we don't have a railway station that is more offensive, and that has some visions of how railway traffic should be. But this reflects in and of itself the Government. Finally, as a member of the Control Committee, I agree with the comments made today by Mrs Solberg. I believe that what has emerged leaves so many questions at least that we should consider taking an initiative in that context in order to clarify what has really happened, and how we should manage to use it in order to achieve good processes in the future. Because it is clear that there are some structures here that also need to change – money is important, but there are also some structures and some cultures that need to change.
ParlaMint-NO_2010-04-20.ana.ud1350e1167	The Progress Party wishes to support the distributed proposals of the Left. It is quite right, as has been said from this pulpit, that there are so many needs and so many projects that some things actually have to be supported, not least given where the need to build up the railways is greatest. We challenge the Government to follow the Advance Party in this matter. To be brief, it is unproblematic for us to support an action plan, since in our proposals for NTP and our budget proposals we have actually fully financed such a type of path right up to Halden. There has been much mention of credibility in this debate, and I would think that there are many parties that have their sins related to the past. It is therefore important to consider what are the future needs and challenges. I mentioned earlier that we want OPS funding, we want project financing, we want debt financing, and not least we want to get away from today's cash financing over the annual budgets. In this way it is interesting to see what the Arbeiderpartiet Matz Sandman said on TV three to four days ago. He just wanted these funding models to bring up the intensity of expanding both the track and the road. The same thing said earlier County Sigbjørn Johnsen, but that was when he was County. At the same moment he took the government offices, it was no longer the politician Sigbjørn Johnsen who had an opinion, it was the bureaucracy. And that's sin and shame, and that might be a significant reason why we're there today.
ParlaMint-NO_2010-04-20.ana.ud1350e1178	The representative, Mr Bård Hoksrud, has spoken twice earlier in the debate and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2010-04-20.ana.ud1350e1181	In the case of double tracks on the intercity triangle Skien–Halden–Lillehammer, the representative Gorm Kjernli said that there are no plans, so here we have a job to do. Whether or not the representative Gorm Kjernli would think of standing on his head and going out of this hall and whatever Gorm Kjernli does without making sure that there is more money, you'll still spend 20 years before there are double tracks on the Westfold course. It is the plans, even with the so-called historic effort of this government. The challenge is that the need is enormously much greater than what we are discussing today. We're discussing whether this is good or not. But the challenge is that, for many decades, we'll still have a bad network if there's no more money. And that's why the Progress Party has proposed to grant NOK 6.5 billion more for 2010 and NOK 60 billion more for the next ten years.
ParlaMint-NO_2010-04-20.ana.ud1350e1188	I'm forced to comment on the serious claims that Gorm Kernli makes. First of all, I just have to say that the claims he makes are directly wrong. What I've said is that we need a railway deal. Therefore, I have said that we must be willing to add all the cards to the table to see what we might get into such a settlement. I have not said that I want to cut my way, but I have said that if the government wants to, I am willing to put all the cards on the table to see what we can get. But I haven't concluded, and so the claims that Gorm Kjernli makes are directly false. Then he also records, and there are several workers' party representatives who have recorded, my play on racial protection. What I have done there is to comment on what the government has delivered in relation to what the government has promised. The government has promised $1 billion, and they have delivered 850 million. kr. And it's clearly so hairy that there are several representatives who react when the opposition goes out and comments that the government doesn't think it's up to you. So for the toll project E18. Yes, I think it would be very unwise if we built the road in Eastfold seaway, and then stopped. I understand that the representative of Gorm Kjernli will also be very unwise. But the tool of the Christian People's Party is tolls, and the Christian People's Party is one of those parties that dares to say that tolls are an instrument we are willing to use. But I also thought it interesting to see this in conjunction with the situation of the railway. One of the challenges for the railways is that all modes of transport in Norway can raise capital outside the state budget, except for the railways. All the funds that go to the Norwegian railway must enter the State budget. That is why the Christian People's Party has given priority to transportation. When we had a national transport plan up to treatment one year ago, the Christian People's Party proposed NOK 1.5 billion more to transport every year. When we had the state budget for 2010 up to treatment, we increased the rail budget by 150 million. kr. I would like to stress that there were representatives from the Labour Party at the time who highlighted the Christian People's Party as the only opposition party that showed a wholehearted, responsible budgetary policy, and gave us credit, among other things. For the savings we made, they said they were realistic. Despite that, we were one of the parties that managed to lift up transportation, and there is a need for both road and, not least, rail.
ParlaMint-NO_2010-04-20.ana.ud1350e1199	With reference to the representative Skei Grande's mention of this music corps that marched past, at least I made the reflection that there is at least one train going. Then it was Truls Wickholm who claims that the Progress Party is against Oslopackak 3. It must be a misunderstanding. The Progress Party is not against Oslopackak 3. We were against the way the majority in Stortinget wanted to finance Oslopackak 3 on, but this is history. The Oslo Package 3 decisions are taken. It's almost two years since the new toll system was introduced in Oslo. Since then, almost $4 billion has been charged in tolls, so now it's only for the government to start and implement Oslopackak 3. It must then be carried forward, and progress in the plans must be made with regard to the Oslo-Ski project. At least it is claimed with strength from the government parties and from the government. Treating a large, comprehensive and complex regulatory plan in Norwegian municipalities takes one to two years. It's not because of sommel in municipal government, but it's because we have a planning and building law that's so complicated that that's the time you have to count on. On 22 March, I was in a meeting with representatives of several actors in this project and was informed that no regulatory proposals had yet been submitted from the Railway Agency to the relevant municipalities. These shall be completed by the end of the second quarter of 2011 in accordance with the plan of progress. There is so much one year left, and the regulatory proposals are still – at least on 22 March – not submitted for consideration. Here the government has a challenge. Now it's about getting up speed and really showing progress in the Oslo-Ski project, not just saying it.
ParlaMint-NO_2010-04-20.ana.ud1350e1208	Now when we heard the Council of State, we really got to see what it's like for the Storting to have a majority government. The decision on sleeping car offers on the Sørlandsbanen is actually made here in Stortinget. I expect it to work – including by a majority government – to implement the decisions that have actually been taken. When the Council of State stands here and says that it has been three years and no one has asked for this night car offer, I want to ask her to have a little conversation with the previous Council of State, which was repeatedly challenged, precisely because we have not followed up on the decision that Stortinget itself has taken, and that the Government has to follow up and realise. The appropriations entered in the budget of 3 million. kr, it was the government parties themselves as cost-calculated and entered. If you think that there is too little money, a majority government has every opportunity to bring the remaining amount to follow the decision of the Storting, not just hope that it will pass. There has been a great debate in the South lately that the Government has the South in its blind zone. I think that the Council's response to me today on the Kristiansand's night wagon offer illustrates this with all clarity. I end by saying that I expect that it will work to realize the decision of the Storting, that when we repeatedly, countless times, it will demand the offer, that it will soon come into place, so that the decision of the Storting will be followed up.
ParlaMint-NO_2010-04-20.ana.ud1350e1222	I understand that talking about tolls now that the national meeting is near. But my statements on Oslopackak 3 do not depend on any misunderstanding. They depend on four years of discussion with Bård Hoksrud, Arne Sortevik and Per Sandberg, who in repeated debates have distanced themselves from what is happening in Oslo. When toll financing is a key element of the package and e.g. should be able to take good action such as the operation of the collective system, it must be said that it is relatively central. It is nice to hear Myhre say that he is against the funding when he himself has sent the application for toll financing to the Council of State. But this is a railway debate, and I also hope Myhre will now do what he can to influence his colleagues in the town hall so that the regulation plan does not take one to two years. For me, there's a pretty significant difference in time if it takes one or two years. I hope that the Progress Party in the City Hall will put pressure on them to implement this plan as quickly as possible, and that it will then be one year.
ParlaMint-NO_2010-04-20.ana.ud1350e1231	I thought one was going to discuss the recurring problems on the railway network and reinforced efforts to resolve the train crisis in the East. Therefore, I was somewhat surprised when the representative, Dagrun Eriksen, took this opportunity to pick up the trailer offer to Southern Sweden. I believe there is a siding in this debate. But when that is said, I agree with the reality of the representative from Eriksen's point of view, that a decision on night-car services to South Africa should certainly be followed up by the Government. Therefore, of course, I also hope that it will be a further step in that direction. But I think maybe you should use a slightly different opportunity to take it up, but in reality we agree on that. I also fully agree with the representatives who have said that this is about moving forward in the debate. In this way, I would like to commend the representative Myraune from the Right, who, unlike the other representatives from the opposition, has shown a great deal of humility towards what has happened in the past. Here it's clear that we've all failed. But when said, there is little reason to criticize today's government, neither for the rate of allocation nor for the will to change. I look forward to a railway that gets better day by day, where we spend more resources, where we require even more efficiency, where we make demands, and where we get a proper review of the time that comes.
ParlaMint-NO_2010-04-20.ana.ud1350e1240	The representative Anne Marit Bjørnflaten has spoken twice earlier in the debate and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2010-04-20.ana.ud1350e1243	It was Knut Arild Hareide's response to Gorm Kjernli that made me take the word, and I almost feel that there is a need to ask for clarification from Knut Arild Hareides' side. Based on what he says, he may have been misquoted a certain number of times in the media. On the 9th of March, Hareide says that he believes that it should be appropriate to take money from the road and transfer it to the path to resolve the crisis we are facing. A few days later, Hareide is north, in Tromsø, and then he proposes a billion bet on the E6 that has not been suggested before. A few days after that, Hareide believes that more money should be spent on racial protection. In a debate in P4 where I met him myself, I challenged him on where he was going to pick up this money, and then he said he would pick up the money from more central strokes. Last week the committee was travelling in Eastfold and Akershus, and then Hareide was just going to spend more money on roads in central struts – so here I feel that there is a need for clarification from the Christian People's Party. In terms of increases in railway investment, as the Christian People's Party proposed this year, I would say that half is financed by proposing an increase in profits. [[President clubs]] [[President clubs]]
ParlaMint-NO_2010-04-20.ana.ud1350e1252	The representative, Dagrun Eriksen, has spoken twice earlier in the debate and is given the floor for a brief comment, limited to 1 minute.
ParlaMint-NO_2010-04-20.ana.ud1350e1255	It was only for the representative Freddy de Ruiter, who thought it was premature for me to address night and night offers in this debate: I just want to stress that this is about the presentation of the Council of State, which needs to be seen in a much broader context than just in the context of the challenge we have had in the East in terms of trains. Unfortunately, when you have a majority government that does not follow up on a decision, you have to use the opportunities you have to keep this warm in the Stortinget, so that the train offer that I hope for – and that I understand that the representative Freddy de Ruiter is also behind – comes into place. Because the representative Rolf Terje Klungland was active in this area, I have thought that in his spirit and on behalf of the southerners we will be passing on to the decision of the Storting, and we will get this offer in place.
ParlaMint-NO_2010-04-20.ana.ud1350e1262	Since the representative Bjørnflaten needs clarification, I would like to do so. The Christian People's Party has not said that we want to cut the roadways, but we think that in that situation the railway is now, we have taken the initiative of a broad national settlement. We have invited the government party to meet us, because we think there is a need for a national railway lift. We've said that in that case we're willing to put all the cards on the table. Unfortunately, this does not indicate that the Government is interested in taking part in raising the railway beyond what NTP says, and I regret that. But we in the Christian People's Party are clear if the Government changes its mind. If they are willing to follow what SV has proposed today to increase the railways' promises, then the Christian People's Party is ready to do so, and then we are also ready to look at the funding of it. When it comes to the roadways, the Christian People's Party is willing to use tolls, which we think are a good tool for road travel. Then I will tell the representative of the Bjørnflaten when it applies to E6 in Northern Norway that we have a special challenge. In fact, North Norway can easily end up in the backyard in a transport policy perspective. We cannot use toll projects to the extent that we can do south, because the basis is not good enough. We also know that North Norway does not get its share when it comes to railways. That's why, for my part, I'm worried that North Norway is going to have a smaller share of those promises than they're going to have. I know that I share that concern with the Regional Road Manager of North Norway, because we have had a development where the road projects in South Norway have taken their part. So to racial protection: the Christian People's Party proposed, in the same way as the Government, 850 million. kr for breed protection in 2010. The Christian People's Party also promised 150 million. kr for road maintenance – an extra licence that we thought was important because some of the same roads where there is a need for racial protection also have a significant maintenance need. We were busy complying with the obligation of NOK 1 billion for racial protection, which should be a total promise. I think it's important that we follow up on what we promised in the NTP in that area.
ParlaMint-NO_2010-04-20.ana.ud1350e1273	I note that the level of ambition of the representative Hareide and others from the opposition only rises and rises further away from the time they come from the government offices – then an interpreter gets it like a will. To the representative Eriksen: we fully agree on the realities. I did not say it was premature, but I thought it might be a wrong debate to address it. I don't want to use such a strong word as ‘untimely’, but I would probably have taken this up in a different context. Having said that, I would like to say that we have several opportunities to discuss the train offer nationally – both the night and the train offer in general. It is clear that what is as important for the South as the night train from Kristiansand, of course, is a long-term connection between the South and the Westfold Railway. That will mean an enormous amount for the Oslo–Stavanger route, but we will certainly come back to that.
ParlaMint-NO_2010-04-20.ana.ud1350e1282	I will take it upon myself to check out the correspondence that has been available for the night and in the South. Then I have to say on behalf of the Government that the South is certainly not a blind zone when it comes to transportation – on the contrary. It shows the exposure both to the E18, to the Lister package and to the four-year passover agreement to the Kristiansand area. Then I understand those who are asking for a temporal attachment of the intercity triangle to Lillehammer, Skien and Halden. I have ambitions to get a time fixing there in place in the roll in 2013. Train on route – yes, it is possible to chat with it. But it's actually the way I visited the train traffic control centre in Oslo last week, and then all trains were on the way. This could mean that we are now in a better phase when the snow and the cold have retreated. This does not mean that we are leaning back with a view to putting in place the measures that are announced. Think of what that means for our roads and for the visibility there that we get to double the capacity, for example. in the case of goods on the track for the next 10 years. So I'm recording that this is a strong commitment, which it's good to carry on with it, both when it comes to local supplies that are not in place for now, and big deals that apply to the future. Then I have to remind you that there has to be consistency between plans and follow-up. That's exactly what the racial protection plan is an example of. It was planes equivalent to 850 million. kr. That's what they can use this year. The more important it is that we are all concerned here with ensuring the necessary plans to keep the progress of the projects that we are going to start. Then I have registered that someone has spent some time giving some good words to all those who today make a formidable effort, both in the railway works and in the various train companies. That's what I think is important. It is so good to hear it – and it is so good to pass it on. And that's absolutely necessary, because it's also so that we have to commit ourselves to retaining those who are currently working in this sector, and to strengthen the educational capacity, just to secure the common goal that I perceive we have here, that the railway is future.
ParlaMint-NO_2010-04-20.ana.ud1350e1297	Then most of the train sections were to be thoroughly debated. Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 2866]]
ParlaMint-NO_2010-04-20.ana.ud1350e1307	The size is then ready to go to voting.
ParlaMint-NO_2010-04-20.ana.ud1350e1314	Four proposals have been put forward during the debate. It's: proposal No I, by Mr Solvency Horne, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 2, by Øyvind Hope on behalf of the Christian People's Party and Right Proposal No. 3, by Øyvind Hope on behalf of the Christian People's Party proposal No. 4, from Trine Skei Grande on behalf of Left Proposals Nos. 1 and 2 are included in the vote, while the proposals No. 3 and 4 are distributed in the seats of the representatives in the hall.
ParlaMint-NO_2010-04-20.ana.ud1350e1384	It is then voted on under proposal No. 2, from the Christian People's Party and the Right. The proposal reads as follows:
ParlaMint-NO_2010-04-20.ana.ud1350e1411	It is then voted on II under proposal No. 2nd@item: inlistbox
ParlaMint-NO_2010-04-20.ana.ud1350e1512	The party of progress, the Right, the Christian People's Party and the Left have announced that they will support the vote subsidiaryly.
ParlaMint-NO_2010-04-20.ana.ud1350e1522	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2010-04-20.ana.ud1350e1532	The legislative decision will be taken until the second reading in a later meeting in Stortinget.
ParlaMint-NO_2010-04-20.ana.ud1350e1555	Five proposals have been put forward during the debate. It's: proposal No 1, by Gorm Kjernli on behalf of the Workers' Party, the Socialist Left Party and the Central Party, proposal No. 2, by Mr Bård Hoksrud, on behalf of the Party of Advancement and Right-wing Proposal No. 3, by Mr Bård Hoksrud on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, proposal No. 4, by Knut Arild Hareide on behalf of the Right and Christian People's Party proposal No. 5, from Borghild Tenden on behalf of the Left Proposals Nos. 1 to 4 is included in the adjustment, while proposal No. 5 is distributed in the hall. First of all, there is a vote on proposal No. 5 from the left. The proposal reads as follows:
ParlaMint-NO_2010-04-20.ana.ud1350e1592	It is then put to the vote on proposal No. 4, from the Right and Christian People's Party. The proposal reads as follows: ‘The Government is asked to provide an action plan for the development of continuous double tracks throughout the InterCity triangle with a view to full realisation through public-private cooperation and project funding by 2020’.» [[OPS]] The left has announced that they will support the proposal.
ParlaMint-NO_2010-04-20.ana.ud1350e1609	It is then put to the vote on proposal No. 3, from the Progress Party. The proposal reads as follows: ‘The government is asked to ensure that lifetimes of up to 50 years are used in the calculation of the socio-economic benefits of infrastructure investment.’
ParlaMint-NO_2010-04-20.ana.ud1350e1624	It is then put to the vote on proposal No. 2 from the Progress Party and the Right. The proposal reads as follows: ‘The Government asks the Government to ensure that the development of rail-based collective actions in and around the largest cities is coordinated with the Railway Agency and the NSB. The government is asking the government to present its own case on this matter.’
