ParlaMint-NO_2010-06-08.ana.ud2232e113	The representative Wenche Olsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2010-06-08.ana.ud2232e2290	SV and this government are very concerned with preventing violence in all forms and against all citizens. Freedom from violence and threats of violence is a human right. Punishment seems general, and it gives the victims a certain uproar. That's why SV, together with our government partners, has from day one worked to intensify the punishment for violence, gross violence, violence in close relations, sexualized violence and killing. I record that this line has full support in Stortinget. Over time, it has developed a level of penalties for the most integrity-affecting acts that are too low in relation to other criminal offences. The level of penalties for various offences shall, as far as possible, reflect the seriousness of the public opinion's view of a crime. A unanimous increase in the treatment of new criminal law in 2005 decided last year to increase the level of penalties, among other things. for gross violence, murder, rape, sexual assault, sexual mutilation and violence in close relations. In order to ensure such an increase in levels, clear signals were given in the form of increased penalties, the increase in minimum penalties and the application of a new level of normal penalties. It was emphasised that the increased level of penalties would apply immediately. However, the Supreme Court was of a different opinion. In two large-chamber decisions – as explained earlier here – they concluded that the stated normal levels of punishment in the motives of the Penal Code of 2005 could not be fully applied in criminal proceedings under the Criminal Code of 1902, but that it is only after the entry into force of the Penal Code 2005 that the motivational opinions should be fully effective. The Supreme Court stated that the level of penalties should be gradually increased until the final adoption of the level of penalties. SV and the government of course take note of this statement and with understanding. But since we have been impatient all the time to increase the level of penalties in the above-mentioned crimes, we will use our mandate as legislator to achieve the wanted punitive shrews faster than the court imposes by means of a decision in the United Kingdom today. After the case was sent to Stortinget, the Minister of Justice has made Stortinget aware that some of the changes in the law had some economic and administrative consequences that were not stated in the proposal. Raising the penal framework from six to eight years will include, among other things: give rise to unconditional appeals and that the case be brought with a horizontal approach. These impacts could not be covered within the current budgetary framework. Therefore, in order to prevent any further delay in the entry into force of the legislative changes, the Government Parties have made some adjustments. We will therefore maintain the six-year penalty framework for cases under the second paragraph of Section 219 of the Criminal Code and 229 other criminal options. At the same time, we have given a clear message that the courts should make much greater use of the upper limits of these frameworks. I'm not hiding that the upper frame is an important signal. However, much more important is the active use of the framework and the fact that the normal punishment is higher than the current level. Today’s criminal law-enforcement practices related to abuse in close relationships and violent offences lie at the bottom of the criminal framework. Within the existing criminal framework, we will be able to significantly increase the level of penalties, and that is what is now being done for these provisions. In this way, we get a sharp increase in the level of penalties for abuse in close relations and violent crime. Let me end by stressing the focus SV and the other government parties have always had on combating violence and assault. Disadvantages and survivors have gained a clearer status through criminal proceedings and have extended their rights, including: by extending the right to an aid lawyer. We have set up six children's homes to provide a comprehensive follow-up of children who are subjected to violence and other abuses. In recent years, the National Attorney General has also intensified efforts to strengthen police and prosecution authorities' work on the legal protection of children in these areas. Among other things, it has been difficult to deal with individual cases in order to ensure optimal treatment, thereby contributing to the build-up of competences and, in general, to improve the investigation and prosecution of such cases. The Ministry of Justice is preparing a consultation note proposing that sudden and unexpected deaths in children should always be investigated, regardless of suspicion of criminal offences. Later this evening we will adopt the so-called abolition obligation under the penal code of 1902 § 139. The severance obligation shall include, inter alia: include abuse in close relationships and multiple types of sexual offences against children. With the decision we take today, as soon as the changes come into force, we will have a significantly stricter level of penalties. That's what the goal was, and that's what the goal is today.
ParlaMint-NO_2010-06-08.ana.ud2232e2303	There shall be consistency between the seriousness of the various offences and the penalties that a person may be penalised for. When it comes to violence and sexual abuse, there are too low penalties in relation to offences of a different nature. In the general sense, it is of course important that the level of penalties be increased, as provided for by the relevant legislative proposal, and not least for victims and dependants. Today, when we propose to change selected penalties and minimum penalties in the 1902 penal code, it is as a solution during the transitional period between this criminal law and the last criminal law passed in 2005. It will take some time for the new penal code to come into force. In order to achieve the goal of increasing the penalties for killings, other serious acts of violence and sexual offences, we are therefore changing the current law somewhat. The majority of the Supreme Court has been in favour of a gradual increase in the level of normal penalties in two large-scale decisions, pending the entry into force of the Penal Code of 2005. This has not been satisfactory for all of us who have wanted the level of punishment to rise rapidly. It is not always that patience is a virtue, but we should be impatient and act. I'm glad that through the bill, we can just increase the level of punishment rather than the Supreme Court would otherwise impose. Now there has been a discussion about three statements where the legislative proposals were going to increase the punishment from six to eight years, and where the economic and administrative consequences of adopting these now would be so great that it would have required considerable extra privileges. Therefore, in order not to prevent such a process from providing for stricter penalties immediately from 1 July, the majority have opted not to increase the penalties in the 1902 Act for precisely these three examples. One might say that our goal is more important than the means in that way. Penalty cases of 2005 are due to enter into force after a quarter of a year, and the penalties will become eight years. For immediate advice to ensure an immediate and severe increase in the level of penalties for abuse in close relationships and gross elections, we avoid precisely the changes that would have delayed this in the transitional regime that today’s suspension provides. The size now gives an inviting signal to raise the level of penalties within this framework. I am pleased with the efforts of the Red-Green Government and the Minister of Justice against violence and abuse. Today's decision will be another step in the right direction.
ParlaMint-NO_2010-06-08.ana.ud2232e2316	The Christian People's Party is not represented in the Judiciary Committee, and therefore I must admit that when I sat on the map and looked at what things came up, I saw a simple treatment of the matter. When I saw a VG lookup and later the configuration from the committee, I was surprised. This case has a rather peculiar history: in the context of the decision of new criminal law, the Stortinget just decided to increase the level of punishment for elected and sexual offences. This ran into the Christian People's Party. We have long had in the programme that a tightening of the criminal response for this category of crime, which we have thought was too low, and which is also contrary to people's sense of justice, has been important to implement. The majority also stated that they increased the penalties should be introduced immediately, even if the new criminal law had not yet entered into force. This would not be fully in line with the case of the Supreme Court, but would instead gradually increase the level of penalties until the new criminal law becomes applicable. It was also not good enough for the Stortinget, and the opposition to the Stortinget therefore went to the head in order to increase the level of penalties in the Penal Code 2005 to be passed through changes in the laws currently in force, including the criminal code. through a proposal from the Right. The Minister of Justice followed this call and promised that the new level of penalties would be introduced immediately by law-making in the United Kingdom. We were many who praised him that day, but it has resulted in the matter we are dealing with today, but in a somewhat different way. But then it happens especially that the government hasn't thought about increasing penalties getting criminal acts that cost money. Layer handling and extending of appeal rights are some of the consequences that were overlooked. So this will cost more money than one of the Court’s over-the-counter foods can handle within the existing budget. This will not solve the problem by allowing the necessary extra resources to carry out its declared will, but by postponing the introduction of new sanctions. This is, as I said, without exaggerating a strange procedure that doesn't exactly provide trust. But that also means that a far removed possibility of getting a stricter legal protection for several groups. The Christian People's Party insists on the desire to raise the level of punishment for violent and sexual offences, and will therefore support the joint proposals from the Right and the Advance Party at this point. We believe that the intention of getting a level of punishment that reflects more closely the seriousness of society's view of this kind of action must be decisive. We believe that the courts must be financially able to meet the challenges this will bring. I would like to stress the importance of strengthening the capacity of the courts, so that they do not become a clot in the criminal proceedings chain. The Christian People's Party is pleased that the government, after many years of real curfew to the courts, in this year's revised budget comes with a small increase. But that's not enough. If we are to prevent redundancy and the cessation of additions, the courts must be strengthened further. If not, the result will be a longer trial period, a worse trial for victims, and less legal certainty. We have to avoid that. Finally, I would also like to stress, like the representative of Håheim, that punishment alone does not solve all the challenges. Therefore, preventive work must also be strengthened, and one must always work with restraints. Chosen, selective and sexual abuse is a serious problem that can destroy the lives of the victims. Psychiatric disorders, trauma, fear and concentration problems are just some of what many people feel about. I want to take with me the seriousness, as many people have also said, that very many electoral cases are never reported, and by those who are reported, too many people end up with abduction from the police. That is why it is important to have a good electoral reception and a better knowledge of the police. We must strengthen the chain for both prevention and stricter penalties. The decision that is being made today unfortunately pushes out the last in time.
ParlaMint-NO_2010-06-08.ana.ud2232e2344	I have two similarities with the representative Ropstad: one is that the left is not in the committee, and the other is that I broadly agree with everything he said. It was with great amazement the left-hand read setting when it came from the Justice Committee, in relation to both the government parties in this room, and the government council has taken care of the fact that he was going to settle in, and that it was not settled in. For me, this is a much more important equality issue than the one we discussed earlier today. This might be one of the fields where equality is getting shorter. This is our penal law, a law made for men and men's honor, while women's honor is not so important. That's what we were going to do with this -- this was our equality grip. This was seized by this Parliament, who said that limping on women's honor is as important as trampling on men's honor and that one should actually judge it the same. This is one of the fields where we see that equality has not come far enough, where abuse against women is not so dangerous, while all the abuses to which men are subjected are valued with high penalties. The left is a batch that usually does not call for high penalties. We have faith in many other things. But in this area, we actually believe that increasing penalties is an important issue for equality. It's an important equality issue, because it's about when women's integrity is violated, it's as important as when men's integrity is violated. We were very proud of the job we got started when we had the Minister of Justice in this field – both in relation to the police's competence, in relation to the focus on violence in close relations, and in relation to the construction of rape receptions. Because this isn't just about the police learning to take it seriously. It must also be that there is a profession we do not mention in that context, namely doctors, who have to turn their heads from being the one helping, to the one taking the evidence. We know that a lot of doctors don't have the competence to be a proof taker. They have competence in how to help the human being sitting in front of them, but they do not always have the competence to take up evidence. That's why this is a long chain that you need to strengthen to strengthen this field. It's not just about turning police heads, it's also about turning doctors' heads, and it's about having a system that's good enough to accept this. I have to say, I'm sorry that if you are subjected to a serious rape, I hope it's in Oslo, because here's the best device to receive one, both to help, to take up evidence and other things. I believe that the competence we have in Oslo should have been spread across the whole country in the ways that we can actually do it. Here we have both medical teams and the police who can take it seriously, and that competence we need to spread beyond. I think this is a little sad, because I thought this was one thing we were gathered about. For me, this is primarily a blow to equality. That's what we discussed that this should be an important grip for. So we're going to vote in favour of proposal No. One, two, three, four. We're doing the right thing – if they fall, we're voting subsidiaryly for the committee's position. We think it's sad to spend a long time in a debate in the morning fighting for Dad's rights to leave, which is a small thing in the gender equality struggle, when we see that women are still being trampled on, and you don't follow the penal code. It's a much more important equality fight.
ParlaMint-NO_2010-06-08.ana.ud2232e2363	It must not be left as an impression of this debate that we are not now adopting a significant criminal tightening in important areas. I was about to say – you both take action for increased penalties for many important crimes, and you send out very clear signals, as are several representatives in the previous ageing period, among others. Mr Ellingsen from the Party of Advances pointed out as a good methodology. One of the reasons for doing this is precisely what the representative Trine Skei Grande was about now, but which also several people have been involved in: it is an imbalance in old criminal law, which, in my opinion, has been marked by the fact that the penal code is very much made by and for men. That is why it is the legislative proposal that is being discussed today, a marking and an important time gap in order to get a higher level of punishment for killing, other serious violence and sexual offences. I am pleased that the Committee agrees that the current level of normal penalties for these offences needs to be substantially increased. This gives a clear and strong signal to the courts. And with all due respect, we've already noticed that the work that the Storting and a group of politicians have signaled through the future penal code has begun to work, with a gradual escalation. Now, when you go in and change existing criminal law in this way, I'm convinced that there's a very strong signal that the courts have to worry about, and that you get a faster lifting than what we would have if we hadn't done this. That's why we're doing this. Raising the level of penalties for killings, other serious violence and sexual offences shall take effect as soon as the legislative changes are brought into force. In this we achieve a rapid increase in the level of penalties in such cases. I am aiming for the law to be sanctioned before the common holiday, and for us to come into force from 1 July. The proposal proposes changes to selected penalties and minimum penalties in the 1902 penal code. There are some speakers who have been up here and made it like there is no change at all – everything is parked, everything is exposed. But you can see from the legal mirror – we have made a legal mirror in the Ministry of Justice that shows each and every provision – what you do in each and every provision, and make it available to those representatives who are unsure about what is actually going on. The instructions for new normal penalties to which the Stortinget has joined during the treatment of Ot.prp. No 22 for 2008-2009, whether the specific part of the new penal code is repeated in the proposal and supplemented by recent decisions that have been taken after the promotion of the previous proposal. This way of implementing criminal tightening is completely new. A review of case-law has provided an empirical basis for concrete indication of the level of penalties to be lifted and the extent to which they should be raised. Why is it that it should not have any effect any more? It has already had effect, gradually however, but it has had effect, so that those who now make it like this is – I kept saying – paper without power, has a heavy burden of proof. I am sure that this strategy is very suitable for achieving the desired level of punishment, because in this way the courts get a clear signal from the legislator about what should be the normal level of penalties for these offences. The majority of the Committee has made some adjustments to the legislative proposal of the government: the upper penalty framework in the second paragraph of Section 219 and the second option of 229 shall not be lifted from six to eight years in prison. Reasons for it have been given by several people. But the fundamentals of the proposition and the treatment of the Storting do not depend on the fact that there is a desire to increase the level of penalties within these provisions. What makes representatives believe it? We know, of course, that the criminal law enforcement tradition in Norway has been at its lowest for a long time, and you have more than enough to go on to increase the level of penalties just as the majority of people want. As the majority of the committee points out, the changes that I am now pointing to will not dampen the desired lifting of the penalty level for §§219, second paragraph, and 229, other penalty options. But there are still many other paragraphs in which to change, so that making this outward appearance, as I feel the Progress Party has done, as if everything were exposed, is at best misleading. Changes to the criminal framework are made in the first paragraph of Section 219 as well as in the first and third penalty options of Section 229. The motivational opinions on a significant increase in the level of penalties for abuse in close relationships and for bodily damage thus have a clear legal basis. The current proposed tightening of the penalties is based on the recognition of the general preventive effects of the penalties and on the need to balance individual penalties and penalties against each other and to be proportionate. I am pleased, as has been said, that an overall committee is joining the significant criminal atrocities proposed. I've been fighting for that long, I think it's right. It is one of many measures, including: to find out the seriousness of the issues of sexual assault, violence and threats to children and women. At the same time, I note that some members of the Committee want a higher level of criminal penalties for some offences. To this end, I would like to point out that the government believes that the increases in the levels of penalties currently proposed are sufficiently significant. I point out that there are generally increases of about one third, and in some cases there is a doubling of the level of penalties. I would like to elaborate on this: today's criminal investigation practice on abuse in close relations and violent crime is at the bottom of the criminal scene. In this way, we will be able to increase the level of penalties strongly within existing criminal frameworks – more than is known – and that is what is now being done for some alternatives related to abuse in close relations and violent crime. Let me give you two concrete examples: For violation of the second paragraph of Section 219, gross abuse in close relations, the penalty framework is today imprisonment for up to six years. This will not be lifted now, but the level of penalties for such infringements will be greatly increased. For example, in 2009, the Supreme Court passed a judgment in which sentences were sentenced to one year and four months in prison, and the Court of Justice in 2009 on page 1336. Domfelte had regularly beaten, kicked and threatened the children. In addition, the doomsdays had threatened to kill one of the children. For a similar case, the proposition states that the penalty should initially be prison for two years and six months — close to a doubling of the sentence. For body damage under Section 229, other penalty options are prison sentences for up to six years. This is not being raised now, but the level of penalties is being proposed significantly increased for this option as well. Today, the level in the area of prison is 90-120 days for body damage in the event of unprovoked violence in the form of gangs against the head of the offended. The penalty for similar acts is stated in the proposition to be initially not less than six months of unconditional imprisonment. Here, too, there will be a doubling of the level of punishment, with a methodology that the Progress Party thought a year ago was favourable to raising the level of punishment, and which I perceive that the courts – albeit gradually – have also taken as very clear signals from a political majority. In both examples, the six-year prison sentence is sufficient for such severe increases in the level of punishment. I am pleased that a joint committee concludes on the significant criminal atrocities that are now being proposed for killing, other serious violence and sexual offences. The concrete and justified guidelines relating to the level of penalties provide clear signals from the legislator as to what should be the normal level of penalties for the offences in question. I agree with the amendments proposed by the majority of the Committee because they are correct in order to avoid unnecessary procedural consequences that could lead to a significant delay in the implementation of the legislative changes. At the same time, I stress again that these changes do not stem from the fact that for these two provisions, the second paragraph of Section 219 and the second sentence option of Section 229, we will have a severe increase in the level of penalties.
ParlaMint-NO_2010-06-08.ana.ud2232e2403	It's going to be line change.
ParlaMint-NO_2010-06-08.ana.ud2232e2406	First, I have to say that the Council of State is very selective about what he has heard, when he refers to other people's posts. This matter asks many questions, and there are very few answers. When, a year ago, the Stortinge took a unanimous decision on a higher maximum penalty level, the Council of State was out and marketing this. Then he comes to the Stortinget now and is going to implement it, and does not mention in a single word why he does not follow up the Stortinget decision. He does not mention the economic/administrative consequences either. In addition, this means that the Council of State admits the most serious crimes a penalty discount in relation to the 2005 Act. What signal does this send out to the victims of this type of crime?
ParlaMint-NO_2010-06-08.ana.ud2232e2420	The premise for the question is wrong. Thus, in the government and the majority of the population, we believe that the methodology used last year to specify the level of normal penalties within a criminal order is a very clear signal to increase the penalty within that provision. That's what we're doing. I believe that when you face criminal orders and the two paragraphs in question, 219 and 229 – some part of it, not all – point to concrete legal decisions and say that here the level should lie, at that level and not at the low level, it is sufficient, even when you are faced with an unchanged framework. This is where I believe – to the case rapporteur and in view of the arguments that have been put in the press, clearly both before and after the case was given in Stortinget – that what is sufficient is actually done to get the desired level of punishment.
ParlaMint-NO_2010-06-08.ana.ud2232e2429	Just to confirm: the right side is that we also adopt sanctions today, since we were the initiators of the government making this proposal. The question is, at what point did the Council of State become aware of the circumstances in which he had to send a late, clarifying letter, which received constitutional criticism? What is the reason why the ministry did not evaluate these conditions? With regard to the size of information needs and procedural issues, does the Council of State feel that he has learned something that he might want to draw with him if he presents more laws to the Grand Council on criminal law?
ParlaMint-NO_2010-06-08.ana.ud2232e2436	This is the second time the representative asked me about the time. I have so much respect for Stortinget that if I want to specify the date when things came to the department, I have to check it and get back to it. The representative can get it in writing, as he got it on the previous request. But this is evident from the correspondence in the matter, at least when we responded to the committee. I just have to stress that I am very pleased that André Oktay Dahl now opened his line by expressing an understanding of raising the level of punishment in regulations other than the two we are now arguing about. This is important in particular: public debate, but not least to the courts, that the majority, and also to the Right, are just expressing the fact that the majority has now done so, is significantly increasing the level of penalties. If we start to undermine it, I'm afraid the signal effect on the courts is decreasing. I'm going to be the first to admit that this legal process has gone fast. It is because we believe – and want to be intensely – that the penalties should be treated; more stringent penalties should be imposed once this has been dealt with. And, as I've been preparing for... [[President clubs]]
ParlaMint-NO_2010-06-08.ana.ud2232e2447	I think everyone in the Chamber is aware that we are increasing the penalties in many areas, but in this debate the arguments of both the Council of State and the position parties show that attack is the best defence. But I'll quote from the majority position: ‘The majority argue that even if one does not increase the penalties for those categories of offences: [[...]] So you don't raise the penalties for these categories of offences. And next round, they say it's because of administrative and economic challenges. Then my simple question becomes to the Council of State: If you had cleared up the administrative challenges and given enough money, could you have raised the penalties for these categories of crime?
ParlaMint-NO_2010-06-08.ana.ud2232e2463	You could, and you could bring many of these matters within direct appeal and regulation – that's quite possible. But what you can also do is raise the level of penalties within these two provisions – that is not the whole provision in the case of §219 and §229. It is also possible to increase the level of penalties within other paragraphs and the second option of the respective provisions by taking the steps that the Storting is now taking. That's why I just have to say that what is imperative to the government and the majority of the population is that the level of punishment is actually being raised. When it is raised, I would say that I think it's a good assessment you do when you don't bring many cases into the process system that involves horizontal. And then I have to hurry up and say that I am also very happy that the Progress Party, at the head of the committee, expresses the fact that the penalty level is actually raised in a significant number of cases in addition to the debate we have on §219 and §229. For outdoors – in the press, and in the VG – there is something else.
ParlaMint-NO_2010-06-08.ana.ud2232e2474	We are now in a somewhat special situation that we have a Minister of Justice who governs crime policy according to fiscal considerations. It's something special. At the same time, he admits that, as the Council of State, he has not had the necessary implementation in the government in order to implement the level of penalties that both the government and the Grand Duchy have previously adopted. It must be a defeat. In addition, I see that the implementation of the Penal Code of 2005 is now being pushed out further, because it is now signaling that this will be so expensive that we cannot afford a penalty level at the level of the law we have passed. Can the Council of State notify the Storting of the cost of introducing the level of penalties we have adopted under the 2005 Act?
ParlaMint-NO_2010-06-08.ana.ud2232e2485	Once again, I believe the case rapporteur is making the matter quite wrong, because this is not about the financial and administrative consequences of the level of penalties. It is about the economic and administrative consequences of criminal proceedings – moving these cases into horizontal form. But the level of penalties ensures that we do so by taking the steps that are now being taken in the proposition, in the debate and in the decision. That's why I think it's wrong to link the more procedural statements to the level of punishment, because you get the level of punishment you want here. I would also like to reject the fact that today I have said, or given some indication, that the new penal code is now being pushed out in time. What kind of coverage do you have to say that? I was saying, that's exactly what the government has taken up, and for which we also get criticism of the opposition, when we reach, among other things. use some of the means out in Justice-Norway to equip the police with ICT, which is a clear prerequisite for setting up a new criminal law. And we do that because we want it as fast as possible.
ParlaMint-NO_2010-06-08.ana.ud2232e2493	I'll clarify my previous question a little bit more about the time. The reason why I'm asking questions about it is that we want to know what the background is that the department at all hadn't thought about it. Then it is a little important to know: was it such that the department had no information at all when it was dealt with in the Council of State and presented the matter to the Stortinget? Or had you received any information about the things you discovered after the matter was presented in Stortinget? So the second question, can the Council of State confirm, or cancel, that a review of the case-law relating to so-called negligent imaging is going to be carried out?
ParlaMint-NO_2010-06-08.ana.ud2232e2500	When it comes to the first question, the answer is the same thing as I did. As regards the date and time when we received the information, I will ensure that the representative is correctly informed. I'll come back to that. With regard to the case-law on negligent killings, especially related to photocopies, I have been contemplating the relationship with my State Secretary – I am behind her statement that it is necessary to have a review of this. It is not certain that the legal provisions are involved, but it may well be so much about both investigation and prosecution practices.
ParlaMint-NO_2010-06-08.ana.ud2232e2507	The cord shift is over.
ParlaMint-NO_2010-06-08.ana.ud2232e2510	As has previously been mentioned in this case, it is not the very level of penalties that have to do with whether there will be fewer crimes. It has to do with people's sense of justice, how people feel about committing serious crimes, and it has to say something about how serious a crime is. Without this becoming a debate about punishment that works – even some people are calling for lower sentences, because higher sentences have no preventative effect, and have no effect on criminals: now some criminals are the ones we call ‘repetitors’, who frequent prisons quite often, while some zones for the first and only time; so they have committed a crime in a pure coincidence, or in an affect, and son at one time. But society should, as I said, give signals to both criminals and society otherwise that crime does not pay off, and how serious crime is at the time of punishment. I don't think that any longer punishment will be what works either. What works is the content of the property. But yet, in order for us to give the signals that are right to society, and say that it is a serious crime, it has to do with the level of punishment. As regards this case, it is said that it has received a quick treatment, and that there have been rapid changes. The first time the matter was up was for approx. a year ago, when it was clear where the penalty level would be. Now we have come to that part of this year, and the representative Ropstad was among others. I told him that he was surprised. I will promise that Ropstad was not the only one who was surprised when we saw the result of this treatment. We expected a clear proposition from the government. But then some of the changes made to the law will have economic consequences, which the representative Chaudhry was also involved in, for example. that the convictions then have a right to appeal and that the appeal shall be dealt with by a jury, which increases the costs. What's strange is that this should have been known after treatment in May–June 2009. You should have known that then, and you should have put it in the state budget for 2010. It was not done, and you use it as an excuse for not being able to run with the decisions that have been made in this case. Let it be raised above any doubt: increase in minimum penalties helps. It will raise the level of punishment. There's no doubt about it. The minimum penalty has been approx. two years. The average penalty for part of the crimes has been two years and nine months. When we raise it to three years, the worst case scenario is that we increase the penalties by about three years. three months. Now we are aware that decisions have been taken in the Stortinget in the past, and there have been clear signals from an overall collapse to the Supreme Court that penalties should be increased. Then we also see, as the Council of State said, that there is a tendency for us to get an increase in the level of penalties, which is positive. I had expected that the council had been a little more humble and admitted that someone has lost some time in this matter, for there is no doubt about it. The representative Håheim made a contribution that was a violent and committed defense of a solid loss made by the Government. It says respect. But I had expected, as I said, that the council would be a little bit more humble and admitted that here we might have drifted a little bit on the draw, but we'll try to fix this next round.
ParlaMint-NO_2010-06-08.ana.ud2232e2531	reasonably certain that the term ‘to move on the draw’ is not a parliamentary expression and must ask the representative to choose other ways of describing the situation. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-06-08.ana.ud2232e2536	Anyway, it's a covering expression!
ParlaMint-NO_2010-06-08.ana.ud2232e2541	That doesn't comment on the president.
ParlaMint-NO_2010-06-08.ana.ud2232e2544	As I said earlier, we have a case in front of us that has a lot of questions. I find that the Stortinget still does not have more information about the questions that have been asked specifically in the matter. So the Council of State is trying to give the impression that the Progress Party has been against raising the minimum penalties. The Progress Party has never said that we are against it. Of course, the Progress Party supports the lifting of the minimum penalties. That is good, and we agreed on that in Stortinget when we dealt with the 2005 Act. The Progress Party criticises the Storberget Government Council, which is precisely that it does not follow up on the whole and the full decision that was taken. So the Council of State says that it's not the very level of punishment, from six to eight years, that's the challenge, but it's the criminal procedure. To be honest, this is related! It is the level of punishment that triggers criminal procedural rules. Then you refer to the representative Jan Arild Ellingsen, who was a member of the Justice Committee during the previous period, who thought that this was a good methodology with normal penalties. Yes, the Progress Party continues to support this. We have voted in favour, and have not criticised anyone for indicating a level of normal punishment. However, there is now reason to believe that the level of normal penalties is likely to be lower with lower maximum penalties than that adopted under the 2005 Act. What I find most regrettable about this is that we are now sending a signal of ambiguity in terms of the implementation of the criminal level in the 2005 Act. It is correct, as the representative Morten Ørsal Johansen pointed out in his last post, that there are some bright heads in the Ministry of Justice. And that this has not been taken into account in the budgets since the adoption of the Penal Code in 2005, is a trick that is hard to understand.
ParlaMint-NO_2010-06-08.ana.ud2232e2557	I'm not going to draw the debate any further, because I've actually received an answer to the important question, and it goes to the answer I got from the Council of State during the change of line. It is easy for the government, unfortunately, not to implement what the Stortinge agreed a year ago, and what the Stortinge also agreed on in a new round of a representative proposal that has been discussed. It is estimated that the 2005 Act and the penalties laid down there would be implemented. When that answer is that simple, I think that the defense that the position has created becomes a little bit strange, because you accept that that's the situation. So the Council of State allows itself to say that today there is an important mark with the decisions taken to increase the penalties and that we are almost facing a time gap today. No, it was last year, and the repetition made by the Stortinge in connection with the proposal from the Right. But then it's like that, with regard to the important marking and the time separation that happened last year – and once again in the Stortinget – actually parts of this are reversed today, or not reversed, but withdrawn in time, because you think that the minimum penalty will then be repaired for what you can't do today because of economic circumstances. To be honest, I think that the opposition and the Council of State should actually admit. Now I see that the Council of State is going to make an post afterwards. I record that the Council of State is concerned about the impression given in the debate in public space, because it's almost made a picture that we're not increasing, or tightening, the penalties at all. But shouldn't the Council of State take some of that criticism itself through – excuse me for saying – being as tall and dark as both the undersigned and the Council of State were because we succeeded so well a year ago with the decision we made? Then we have managed to give the impression that the punishments should now be tightened up, and we have been very bitter about it, especially in the election campaign, where I had a debate with the Council of State as well. So here we've helped ourselves, and maybe it's time to be a little humble, too, in view of the fact that you've helped yourself to create the impression that important tightening of penalties is almost at risk.
ParlaMint-NO_2010-06-08.ana.ud2232e2568	After such a debate on the level of penalties, one can consider what kind of impressions are attached. In addition to being made as tall and dark, I could imagine that an impression that sticks to the population is that there is a significant criminal intensification. I think it is a step forward that it has been made clear on the right hand side of the Progress Party in the debate and that we are united on it. It would be quite difficult to say that what Stortinget is doing today has no significance for Norwegian punishment. It would seem undermining how we view our own role. So we're going to make significant increases in terms of, for example: Raped, not just by increasing the minimum penalty, but by looking at the penalty framework, and we state very concretely in the proposition what kind of punishment you see. It is a level of punishment which I warmly welcome, and which I think it is good to come into force quickly. There is a minimum sentence and a level of penalties for sexual abuse of children — which has not been discussed against the special provisions of this round — sexual intercourse with children, abuse in close relations when at least the first part of the provision applies. So I think that it's like some of us believe in the fact that last year's Biggest thing, clearly stating cases and levels of punishment, has an impact on the criminal investigation. I am convinced that the effect of this will also be seen in the future. That's why it's up to me to get out of the whole debate as a conclusion to the concrete penalty framework you're facing, the total penalty. However, we are in a lower position in terms of criminal law enforcement tradition in Norway — less than half, often — so that we have a little to go on before we break the upper penalty framework. Going down from eight to six years on two of the provisions does not help to weaken the signs of criminal atrocities for the specifically identified culprits. Then the case rapporteur, Kielland Asmyhr, withdraws that I should at any time have said that the Progress Party should be against the minimum penalty. I can't remember saying that in my post. I mean, I didn't say that. I believe that the minimum penalty on some occasions, like here when you raise the minimum penalty, is actually one of many important instruments to raise the level of penalties.
ParlaMint-NO_2010-06-08.ana.ud2232e2577	The leading point in this case is what kind of procedure you have in the government, the ministry, and what information you provide to the Stortinget. Now there's a debate here about who has promised the most in terms of punishment. I'm sure we can keep doing that. But not at one point, however, the Council of State, which is constitutionally responsible to everyone sitting in this room, or perhaps not sitting here right now, but at least to the Storting as an organ – not individuals, party groups, fractions, or whatever it may be – admits something. I really think that it would have been a little dressed if you could admit that this process that has been involved in the processing of this law up until now is not according to what the Storting as an organ should expect. This is not primarily about the fact that there is no criminal force on our part, it is, after all, all we have taken the initiative to bring about this law. But when we're going to adopt a law, and the council should know very well that this is not a satisfactory craft, it would have been possible to come up with two sentences in addition to self-confidence and say something about the procedures you have in the ministry, what you intend to do in the future, so that this way of dealing with laws will not become the usual. On behalf of the Right, I really hope that this is not the way we're going to deal with as serious issues as criminal law. I would like to challenge the Council of State to say quite concretely whether he, as the top minister of justice, has at all intended to deal with the glitch that must have been guaranteed, when one is not familiar with what is termed "small procedural things" in today's evening post, which is something quite different, namely that one cannot follow up the decision of the Storting because one cannot assess the consequences of one's own legislative proposals. We've seen it before. At the budgetary procedure, it was unknown to the Stortinget that almost 200 million were to be withdrawn. kr from police operating budgets. No one said anything about when you were going to deal with the budget. It would have been a good idea to know that there was something in the order of magnitude, because it means that the entire budgetary process, the whole budgetary process – just like this – almost becomes a hopeless affair for those parties that do not happen to be present at the fractional meetings of the red-greens. Governments have a job to do in terms of information work for Stortinget, so information work is more than informing the media about the high levels of thought they have. A lot is done well – that’s not what it’s about for us today. What it's all about is what you've been going to do to make sure that the legal process in the future is of a far different quality than what we've been presented through the last month's work in the Justice Committee.
