ParlaMint-NO_2010-02-10.ana.ud2182e26	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2010-02-10.ana.ud2182e1316	Both the Prime Minister and former Minister of Health and Care Bjarne Håkon Hanssen have previously promised to build a new Molde Hospital, starting in 2012 if the financial conditions were present. State Secretary Ingebrichtsen recently visited Kristiansund and, through his opinions, created new uncertainties about this promise. Can the Council of State confirm that the promise given, both by Prime Minister Stoltenberg and Minister of Health and Health Hanssen, is proportionate to the construction?
ParlaMint-NO_2010-02-10.ana.ud2182e1321	With regard to the plans for the Molde Hospital, they've reached the department, and we're going through them carefully. In terms of the total hospital provision in this region, that is, Molde, Kristiansund and the municipalities around that part of the county, this is something we need to see in the context. It is clear that a new hospital is needed, and it is clear that we need to implement improvements and improvements – that people should have a safe hospital offer in this part of the country as well. There should be food supplies, emergency services, all of these functions that are necessary, but we have to see this in one context, the whole of the country as a whole. Then we have to come back once we have gone through these plans, and see how they are finally designed.
ParlaMint-NO_2010-02-10.ana.ud2182e1328	There is now a discussion about the functional distribution of hospitals in Health Mid-Norway. Can the Minister of Health assure people in More and Romesdal that the consideration of Kristiansund as the main base for the oil industry in the Norwegian Sea and their need for access to health care will be included in Health Mid-Norway's assessments?
ParlaMint-NO_2010-02-10.ana.ud2182e1333	It is clear that the needs of the population in terms of both structure and challenges in different parts of the country need to be taken into account when looking at what is the best functional distribution between specialist health services and other types of healthcare. We've also said in Soria Moria II that we're not going to lay down a local hospital, but they can have other problems than today. But the most important thing is that the population in this part of the country is absolutely sure that when they need it, they must have access to the best healthcare that is, and what can serve them the best. That doesn't mean that all the services can be anywhere, but we need to have a system that allows us to get the help we need, when necessary. I would also like to point out the ambulance service, which today is quite different from that it was just a few years ago, and set up almost as a small emergency hospital when you are on your way to the specialist health service.
ParlaMint-NO_2010-02-10.ana.ud2182e1343	I allow myself to ask the Minister for Health the following questions: ‘The provision of relief to children is deficient. It is important that children who are seriously ill in the final phase of life receive a comprehensive offer of relief and care. It is necessary to facilitate the family of the child to be with the child and to receive the necessary support from health professionals. For those who want their children to end their lives at home, outpatient services must be provided to enable this. What will the Council of State do to ensure a better provision of relief and care for children?’
ParlaMint-NO_2010-02-10.ana.ud2182e1352	Fortunately, children rarely die of an incurable disease. But when it happens and a child is in the final phase of life, it's going to get all the help it needs from reliever treatment, care and care. This also applies to pain relief, and children of course have the same right to treatment as adults do. Palliation, or relief, is defined as active treatment, care and care for patients with incurable disease and short life expectancy. The goal of alleviating treatment is best symptom relief and quality of life for the patient and its relatives. Treatment may take place in a health institution or at home. Today, there are palliative offers both in the specialist health service and in the municipalities. In the vast majority of health business areas, networks of nurses with special competence in cancer care and relieving treatment are established. The Health Directorate has developed national professional guidelines for palliation in cancer care. The guidelines came in 2007, as part of the follow-up to the National Cancer Strategy 2006-2009. The guidelines have been developed for cancer patients, but general advice also applies to patients with other diagnoses. The Health Directorate has also created a priority guide on pain conditions that came in June 2009. This guide is particularly useful for those who assess or participate in the evaluation of referrals to the specialist health service. The supervisor indicates that patients less than 20 years of age should have a high priority and a short period of time for the investigation and treatment of chronic pain. As of 1 October 2008, there were 32 palliative centres in Norwegian hospitals. The offer consists of outpatient clinics, outpatient teams, beds or a combination of these. In addition, there are four regional centres of excellence for relieving treatment and three regional palliative bed units. In St.meld. No 47 for 2008-2009 The Interaction Reform is a lessening treatment described as an area in which we need to assess the content of the tasks in more detail. Regional health establishments have overall responsibility for providing the necessary specialist health services to the population within the applicable laws, regulations and financial frameworks provided. I assume that regional health companies provide and further develop their offering to children in need of relieving treatment in line with key leadership.
ParlaMint-NO_2010-02-10.ana.ud2182e1365	It's true that there aren't many – fortunately, but according to the SSB, there are 349 children on average who die of serious illness. 46 pst. of them die at home. There are children who suffer from an incurable disease, and who often have a very complex and complex form of disease. Unfortunately, there is a group that has not experienced being a priority group. Perhaps just because they are so few, it is difficult for many health businesses to have a targeted and good offer to them. The YES association for the relief and care of children is established to focus on the need for relieving treatment for children and their families. They find that many of the available treatment and assistance services are dimensioned to adults and do not take on the particular situation that arises around having a sick and dying child. My follow-up question is therefore whether the Council of State wants to do something special within health businesses to build up the competence and provision of relief services for children, precisely because the relatives point out that there is a major shortage here.
ParlaMint-NO_2010-02-10.ana.ud2182e1374	The guidelines given also apply to treatment for children. So we know, of course, that children have different needs than adults do, but they have to be part of the same methodology and the same offer. What is also done in the mission document of the healthcare companies for the current year is that we have included two sentences, which read: ‘It is important that there are good offers in terms of palliative care and hospice. These services shall be provided as an integral and natural part of the specialist health service and the overall provision of health and care to the municipality.» In that it is not mentioned children specifically, but it is of course a thing. But of course, this is also something we can clarify more about health businesses, I would like to do that. Once we've brought this up, it's been a very obvious thing that children should be taken care of as part of the overall health care.
ParlaMint-NO_2010-02-10.ana.ud2182e1384	Unfortunately, it is that if you assume that groups are few, is a natural part of an offer that may largely apply to very many others, they are often not viewed in the same way. My reason for addressing this question is, among other things. The YES association for the relief and care of children, where parents who have met the measure we have taken, say that they do not feel that it is appropriate to have children. Among other things, they point out that the supervisors that are made are made for adults, and they have a strong desire to establish their own supervisor for palliative treatment aimed at children and their families. My challenge to the Council of State is then: Will the Council of State in this context launch an offer of a special child counsellor?
ParlaMint-NO_2010-02-10.ana.ud2182e1391	It is essential that children in such a situation and at this stage have good treatment. If it is experienced by parents that the offer today is not good enough, I know it has some nuances – it is probably not everyone who experiences it as bad. But at the same time, we cannot fail here, I fully agree with the representative of Erna Solberg. If any of the parents believe that there is not enough offer today, it is of course that we should look at it and create our own supervisor, and at least have dialogue with this group to hear what it is that can be improved in relation to the offer that is today.
ParlaMint-NO_2010-02-10.ana.ud2182e1399	‘The Health Authority concluded in its report of 20 October 2009 that there were serious deviations in the food department of Kongsberg. Among other things, it is pointed out that the hospital allows births with a known risk, without access to the necessary skills. On 24 January 2010, a child died during childbirth, and the maternity ward was temporarily closed on the basis of this. What was done by the hospital to ensure a proper supply of food, immediately after receiving the Health Authority report?’»
ParlaMint-NO_2010-02-10.ana.ud2182e1406	Let me first say that I look very seriously at the matter at the maternity ward at Kongsberg Hospital, where an unborn child recently died, and where there has been concern about the professional level. The health business has closed the maternity ward, as is known, in the context of its follow-up to the department over time. The Health Inspectorate in Buskerud, following the cooperation procedures between the police and the supervisory authority, has recommended police investigations. When serious situations arise that might have been avoided, we need to consider the events and, where appropriate, change the procedures to prevent this from happening again. It is the responsibility of the Vestre Viken healthcare company, as an independent legal entity, to ensure proper operation. The Management Board of the health business has a separate responsibility to ensure that its activities are also aligned with laws and regulations. It is therefore not the case that health establishments should wait for health surveillance to point out irresponsible conditions. The regional health undertaking, in this context Health South-East, is responsible for correcting indebtedness. The regional health undertaking must itself take corrective action if it is not offered or provided with adequate and sound healthcare in the region. I have asked Health South-East to inform me of the measures taken at the maternity ward in Kongsberg after the report from the Health Inspectorate in Buskerud was available in October last year. According to Health South-East, Vestre Viken health companies started to close detected deviations when the preliminary report was ready in September 2009. The Health Authority set a deadline of 20 January 2010 to explain the measures and timetable for closing the deviations. Vestre Viken HF, Kongsberg, replied to this in a letter to the Supervisory Board on 21 December 2009, i.e. one month before the deadline of the Health Authority. Most measures have been implemented and a deadline has been set for the implementation of the remaining measures. According to Health South-East, work on closing the deviations has continued continuously. The birthplaces of Western Viking health care establishments shall have a meeting tomorrow and agree on common criteria for the pregnant women to be born where, so-called criteria for the selection of births. I am kept constantly informed by Health South-East about developments, and I will be informed when the maternity ward can be re-opened. Of course, the most important thing is that the department complies with the requirements for proper operation. For the time being, Health South-East ensures that birthables are properly cared for by means of the services available.
ParlaMint-NO_2010-02-10.ana.ud2182e1419	I also, of course, fully agree that it is very important for a Western Viking health company to make the necessary changes to allow this food supply to be reopened, and then to open up with an offer that is sound and in line with the quality requirements we make. However, I am asking myself about the information that one immediately started to close the issues raised by the Health Inspectorate at the time that the Council of State here informs me, bearing in mind that in the board case that was dealt with on 28 January, about the supervision that had been carried out by the health companies in West Viken, is under this case: Not closed. Plans for further work have been created. The most serious, in my opinion, in that supervisory report was the question of selection, and the Council of State today confirms that there is going to be a meeting tomorrow to clarify the selection issue. This cannot be closed as early as October.
ParlaMint-NO_2010-02-10.ana.ud2182e1426	I will not be perceived as saying that this was closed in October. However, it was already started when the preliminary report came, by closing the deviations. It's not about one anomaly, it's about many things that need to be improved. There is a longer report, where there are different actions to be implemented and how many of them have been implemented, but not all. It's clear that when it comes to selection, there might be different types of selection, there might be some types of births. Now you have to go through and look at what kind of births can be on Kongsberg. This will also depend on the type of competence available, and what watch arrangements are available to create a proper supply of food at the Kongsberg hospital.
ParlaMint-NO_2010-02-10.ana.ud2182e1433	First, I would like to ask that a written briefing be given on what measures were taken when the Vestre Viken health company carried out this inspection. Point two: We have also received — and still do — supervisory reports with similar or similar content. I would also like to ask the Council of State whether she generally has a view that health businesses are immediately starting to work on the closure of these kinds of issues, and that it is taken sufficiently seriously in the health companies' boards when health supervision produces these types of reports.
ParlaMint-NO_2010-02-10.ana.ud2182e1440	It is clear that it is essential to follow the legislation and guidelines on the proper operation of health establishments. Nevertheless, we see that there has been aberrations that have been so significant that a food department has had to be closed. It is also a strong and serious reminder to everyone else that following the guidelines, ensuring that there is sound manpower, competence and all the aspects that are important in order to have a safe offer are in place. Of course, this is also something that we'll follow up on. I know that it is sometimes problematic to maintain sufficient competence around. There's a lot based on vicariates. We have to go through this and see if all parts of the offer are good enough.
ParlaMint-NO_2010-02-10.ana.ud2182e1447	Question 15 has already been answered.
ParlaMint-NO_2010-02-10.ana.ud2182e1453	I allow myself to ask the Minister of Justice the following questions: ‘A review by the NRK of 75 law-enforcement convictions in the last 10 years shows that parents who abuse or kill their own children receive far lower penalties than adults who harm other adults. How does the Council of State assess this?’
ParlaMint-NO_2010-02-10.ana.ud2182e1462	The raising of this issue gives me the opportunity to correct two obvious misunderstandings that have shaped the news over the past few weeks, namely that children do not enjoy the same criminal protection as adults, and that violence and abuse against children are punishable less than similar abuses against adults. This is, of course, not correct, and it is regrettable that such an impression has been made on the basis of the report by the NRK. We have responded many times to this in public, and it is also known that on 5 February the Riksadvokat wrote a chronicle about this and rejected what is really the basis for the whole debate. There is no doubt that children enjoy the same criminal protection against physical impairments of integrity as adults. The abolition of the right of punishment in 1972, subsequent legislative changes in the criminal law and international obligations on the protection of children all point in the same direction, namely against the constant strengthening of the legal protection of children against physical abuse and gross violence. I just have to add: it should just be missing. Nor is it right that the level of penalties in cases of violence and abuse against children is lower than in similar cases of abuse against adults. On the contrary, it is punishable if the offence has been committed against children. With regard to the review of the NRK, I am not sufficiently familiar with the details of this, but the result of the review may indicate that there have been weaknesses in the survey methodology. I have also brought that up with the journalist concerned. The overall picture will not be correct if one compares without taking into account the need for the court to measure the penalty according to the level of guilt proven in each case. As I said, the National Attorney General elaborates this point in his chronicle in the Evening Post on February 5th and points out that it is not possible to judge anyone for killing unless there is evidence of persuasion – that it is considered that it is likely that death would occur. In this case, other and milder criminal provisions must be used, e.g.: too negligent killing. This is also done when the victim is an adult. The penalty scheme varies for the different criminal provisions, but applies regardless of the age of the victim. Therefore, a comparison of the results of the violence, as the NRC has done in its investigation, is not correct. Having said that, I still believe that the level of punishment for violence in close relations is too low, but not based on a justification similar to that made by the NRC for its report. We've been working on this for many years. I have participated in publishing a book about it, and many measures have been taken. This also applies when parents commit violence against children. That is why, in the Soria Moria Declaration, we have proposed, by new criminal law, a significant increase in the level of penalties for such cases – an increase in the level of penalties for violence against children, the killing of children and sexual abuse of children. The size has joined these proposals. Before this law enters into force, however, in order to get this started as early as possible, I want to promote a proposition that will propose legislative changes in the old penal code, so that changes can take effect as soon as possible.
ParlaMint-NO_2010-02-10.ana.ud2182e1481	I would like to thank you for a thorough answer. I'm very happy to hear that it's punishable rather than the opposite in the practice of violence against children. I am also very pleased with the debate you have had after the study by the NRK. But this is more than just a criminal measure — it's about constantly focusing on children's rights and well-being. I perceive the Council of State as willing to turn any stone to get as far as possible there. I'm very happy about that. I think, in particular, that we all have a responsibility, not least to prevent violence and abuse against children. What opportunities does the Council of State see in this way – if we go more to the prevention aspect and that we all have a responsibility?
ParlaMint-NO_2010-02-10.ana.ud2182e1488	It's obviously important that we prevent. At the same time, the national lawyer points out in his article – and I fully agree – that one of the main challenges we face is to discover several of these issues. We're often too focused on what kind of punishment and how long the punishment is. And then we know that there are great dark numbers. So what's really the big problem is all those who don't get a punishment. That's why the government has chosen, over the last four years, to set up a number of tools for us to discover more of this crime. It concerns the establishment of children's homes. This applies to their own special teams in the police districts. This concerns the full-time family violence coordinator. It concerns its own provision of legal aid, extended compensation for victims of violence for this group, its own child emergency phone and a number of decisive measures in the police and justice sectors. I think it also seems preventive when we get more issues, more focus on it and more people talk about it. The focus is also on health services and in schools on this issue, not only to punish, but also to prevent.
ParlaMint-NO_2010-02-10.ana.ud2182e1497	I thank you for your answer. I would really like to hear a little more reflections about actions and instruments in the future. It's been done a lot, and it's done a lot. It's interesting to follow this. We have zero vision in other areas of society. Maybe one could imagine having a zero vision of violence and assault on children reaching out?
ParlaMint-NO_2010-02-10.ana.ud2182e1504	Me and the Government have zero vision in terms of child abuse, there has never been any debate – that is the goal. But when the representative asks for tools, it's clear that then we have to do something other than just say that we have zero vision. With regard to the measures now being taken against violence in close relationships, there is an action plan with 50 measures nationally and globally. Many of them are in progress. Fortunately, we have broad support in Stortingen for this, and we see that the instruments are now starting to work. We've had between 500 and 1,000 kids in children's homes in the last few years. We see that more and more people are using the extended measures that we are taking against perpetrators who need help to deal with their problems of violence. We see that interventions in schools and kindergartens are useful to address this in the past. But I also attend to the Storting's consideration of future proposals, to see if we should do more.
ParlaMint-NO_2010-02-10.ana.ud2182e1523	This question lapses.
ParlaMint-NO_2010-02-10.ana.ud2182e1529	I have a question for the Minister of Oil and Energy: ‘In a leadership article in the Official Journal of Bergen on 19 January 2010, a question mark was put to Statnett’s trust when it relates to the expansion of the planned 420 kV line in Hardanger. The Official Journal of Bergen has at another time shown that the communication director of Statnett, at NRK, claimed that the Bergen network was reddish-hot, while newspapers could prove that there was good capacity on the grid, even during a cold period. This is damaging to Statnett's trust. What would the State Council do to restore trust?’
ParlaMint-NO_2010-02-10.ana.ud2182e1536	The opinion referred to by the representative Lødemel was debated by the Norwegian Tourist Association. The subsequent fact-finding of Bergen’s Official Journal on the network’s capacity towards the Bergen area was commented on by Statnett by the company’s communications director. The comment refers to the transmission towards the area, which is true, with a sufficient safety margin in most of the hours of the year. The communication director indicates that the problem is that for an increasing number of hours of the year, the network is entering the area without faulty incidents, which could lead to darkening. In this context, it is important to point out that the network needs to be dimensioned for maximum expected peak consumption, rather than average consumption over the year. Both Statnett and NVE have confirmed in written opinions to the reports the security of supply problems in the BKK area. A secure power supply is based on the principle that any component of the central network can fall out without affecting society. The BKK area has high self-production of power, high consumption and low transmission networks. In the winter half, there is a great need for the transfer of power into the area. In the summer there is a need to get the power out. The peak consumption in the BKK area has increased by 30 pst in the last five years. Today there are two transmission lines entering the region: the lines Mauranger – Samnanger and Modalen–Evanger. The outcome of one transmission line shall be tolerated without contacting customers. Thus, total imports cannot exceed the capacity of the Mauranger-Samnanger pipeline, which has a capacity limit of 800 MW. However, during periods, there is now a transfer requirement to the area of close to 900 MW. Even today, there is too high a risk that fault situations will lead to a loss of power for consumers throughout the region. At the same time, the risk of prolonged outcomes increases. BKK has introduced automatic consumption disconnection in critical situations to limit the extent of darkening. In my view, extensive use of the consumption disconnection is unacceptable. Such use indicates that the system does not have the capacity to provide the increased maximum load in the BKK area. As the State Network Communications Director refers to, the number of hours of vulnerable operation is increasing. The situation is critical for a region with its second largest city and vital industrial and petroleum facilities. There is a great need for a safer power supply to the BKK area. A failure of power supply will have a significant impact on business, on consumers and on the welfare of the region.
ParlaMint-NO_2010-02-10.ana.ud2182e1551	I thank you for your answer. I see that this is a difficult matter, but I still hope that the Minister will take seriously the critical signals that have been given to Statnett. I mean, Bergen's magazine has run good critical journalism. They have focused on a very important issue both for the region and for the country. We see a lot of examples of people getting engaged to the Hardanger powerline. There are also important elements in the reports from Societal and Business Research and Vista Analysis that point to this. Issues are also raised about the voltage upgrade of existing networks, possibly in combination with an SVC facility, may reduce the need for the new line. What does the Council of State think that so many people are getting involved and that so many critical questions are being asked about the distributions from Statnet in many places?
ParlaMint-NO_2010-02-10.ana.ud2182e1560	Firstly, it is healthy for a general procedure in Norway that there is involvement and that claims are tested and criticised in and on their own. As I see it, in the matter that the representative here mentions, as in other matters, we should be pleased. As for the involvement of power lines, I think we see an entrance, an engagement, which is understandable on the one hand, but which on the other hand is demanding for decision-makers, because it will very often be local resistance to expansion projects, while at the same time seeing that there is a national need to make expansions. The situation we have in Middle Norway now is a good example of that. There, as a large community, we have neglected the development of lines and also the expansion of power over time, and we see today that we have a difficult situation. We need to ensure that we do not have more Middle Norway situations in Norway.
ParlaMint-NO_2010-02-10.ana.ud2182e1567	I thank you for your answer. Another thing that also engages is the price zone policy for electricity. This way of regulating the price of electricity creates large price differences and challenges, both for business and for individuals. The last day's Business yesterday it was shown that after the fourth price range of electricity was created on 11 January, there has been a large increase in the electricity price of the Austland. Will the Council of State take a critical review of the system of price zones for electricity to see if this is the best way to solve the bottleneck problem?
ParlaMint-NO_2010-02-10.ana.ud2182e1574	Price zones are just an example that we have too little network, that we have too little capacity and that there has been long-term neglect in terms of our power grid. We cannot both be critical of new network deployments, new lines and infrastructure construction, while being critical of price ranges. If we want, as I do, one common price of electricity in Norway, we need to build more networks. We can't expect it to happen without any resistance, and without it remaining in areas where the local people don't want it to happen. What we are now seeing about price is the best way to make sure that we have too poor a system today, and the best argument for building more networks in Norway.
ParlaMint-NO_2010-02-10.ana.ud2182e1583	‘In the new Land Act, the obligation to operate was transferred from 1 July 2009 to the Land Act and the provision was tightened. The land law now requires the owner to run the land himself, or rent it out for a period of at least 10 years, without the possibility for the land owner to cancel the contract. It must, with all due respect, be the same and no matter who drives the earth, only the earth is active. Does the Council of State agree that this law will result in a solid bureaucracy that lacks reasonable justification?’
ParlaMint-NO_2010-02-10.ana.ud2182e1590	I am pleased that the representative Treldal addresses the management of the food soil in a situation where the world faces major challenges in terms of climate and food security. The government takes this seriously, among other things. in the case of changes implemented in relation to the operational obligations. With effect from 1 July 2009, new obligations to operate were introduced in the Law on Soil. The former abstention was lifted together with the legal obligation to operate under the Concession Act and the Odel Act. The new obligation to operate can be fulfilled by the owner driving the land himself or by renting out the land. As the representative Treldal mentions, the law lays down certain conditions for rental, for example. the lease must be ten years old without any possibility of cancellation for the landowner. However, such provisions have existed since 1995. The new thing is that it applies to all agricultural land, and that they are not limited in time, so that it becomes wider. It is true that the tasks of the municipality in assessing and verifying whether the rental conditions are met will increase somewhat in relation to today, but there is no system of prior approval of rental contracts. The contracts concluded must be submitted to the municipalities, which thus have the opportunity to go through them in order to capture the cases where the contracts do not comply with the law. In this context, I would like to mention that the Department is now going through the guidance material for municipalities to ensure efficient and targeted management. I do not agree that the legislation lacks a reasonable justification. The conditions imposed on the rental situation are aimed at reducing the disadvantages arising regularly from rentals. Up towards 40 pst. agricultural land is currently leased land, which unfortunately means that a lot of land is not kept in good enough claim and that short-term leases are the basis for large parts of agricultural production. Renting land is an uncertain resource base to base investments on for the future. Ten-year leases without the possibility of cancellation for landowners will increase predictability for landowners and provide landowners with a more long-term and stable resource base while increasing incentives to make investments in order to maintain the agricultural area in the best possible way. At the same time, the possibility of exemption is intended to capture those cases where it is not possible for landowners to fulfil the obligation to operate or where it must be relaxed under the conditions of disembarkation. The possibility of exemption is real and of course needs to be developed through practice and good judgement in municipalities. I started by stressing the importance of good food management in the future. A long-term and solidarity perspective suggests that tools to contribute to the efficient production of food need to be strengthened. The drive obligation respects the desire to safeguard the areas for the production of food and contributes to the maintenance of the production characteristics. This requires a long-term perspective on operations, not a short-term gain that could defuse the earth.
ParlaMint-NO_2010-02-10.ana.ud2182e1603	There is no great shock to me that we do not agree with this. We see that the faulty red-green policy has never left more farms around the country. Then I will ask the council a follow-up question: the council often states that farmers are self-employed. How can the Council of State express it, at the same time as removing the individual's property rights and refusing the individual farmer to decide on his own business?
ParlaMint-NO_2010-02-10.ana.ud2182e1610	It's an old rule that soil is to be kept in claim, and that's what we also do with the changes in the soil law, or adaptation of the soil law, that have now been made. I am concerned about private property rights, and I am concerned that one should be able to dispose of the property completely, but at the same time I am concerned that the land should be kept in claim. What we've seen is that leases in many cases lead to landowners not getting predictability in their operations, and he doesn't dare to invest in the land. What we have now introduced with ten-year agreements means that landowners will have greater predictability and will be able to invest, mine and upgrade the soil route, in order to ensure that we have a more efficient production of food and a better soil base. It's unmistakably positive. The time limit that we have is not new, it's old, and it's already been there.
ParlaMint-NO_2010-02-10.ana.ud2182e1619	I record that the answer from the Minister and what is stated in the ‘Center Party’s value base’ is not entirely consistent. I would like to quote from the program of the Center Party: ‘The ideaology of the Centre Party is based on the ideas of responsibility, community and long-term and sustainable management of nature and the environment. A living rule of peoples and the decentralisation of ownership, power, capital and constitution are fundamental elements of the Central Party's policy. [[...]] The central party will therefore decentralize power’ – which is not the answer – ‘and will decide so that most people can participate in important decisions and participate in the construction of society’. Then my last follow-up question becomes to the Council of State: why does he remove the right of self-determination and the possibility of sustainable local democracy by introducing unnecessary drive-related bureaucracy?
ParlaMint-NO_2010-02-10.ana.ud2182e1635	It is a great pleasure for me to hear the representative of the Progress Party reading out important and good points from the program of the Centre Party. I think the Progress Party with greater interest should have been involved in that programme and learned from good wording to ensure long-term Norwegian agriculture, and not least to ensure production across the country. With regard to the question of how we exercise responsibility for the obligations of a food producer today, all food producers have transfer arrangements through the agricultural contract system. They are also required to keep the earth in claim. What we've been trying to figure out here is a balance sheet. We want to ensure that the soil is kept in claim and is a basis for future food production. I do not see any challenges or problems with regard to the programme from which the representative has so carefully read.
ParlaMint-NO_2010-02-10.ana.ud2182e1644	That's good!
ParlaMint-NO_2010-02-10.ana.ud2182e1650	I have the following questions for the Minister for Fisheries and Coast: ‘More players in the fishing industry are now taking the initiative to strengthen the revenue base by allowing for greater flexibility in relation to vessels through joint fishing. In this context, the industry’s economic and safety challenges are one of these. Will the Council of State take an initiative to promote greater quota flexibility for the fishing industry?’
ParlaMint-NO_2010-02-10.ana.ud2182e1659	In several requests, the Norwegian Fisheries Team has requested the introduction of a temporary co-fishing scheme for the smallest fleet, less than 11 metres. Such a scheme would mean that the quotas of two vessels are fished with one and therefore necessarily have to be similar to the previous operating arrangements. This was wound up with the support of all, except for the Christian People's Party member, of the SEC during the previous period. It was a nearly pure-bred scheme for annual quota trading, thus poorly harmonizing with the principles of ordinary quota allocation and structural policy used elsewhere. This concerns in particular the fact that allocated allowances are to be fished by the vessel to which the quota has been allocated and that the vessel owner cannot afford and obtain income from the annual quota by other means than fishing it. I would like to stress that there are no obstacles in today's legislation to two ship owners working together to fish the quotas, but both vessels that have been allocated the quota must be used. The safety aspect of the fishing effort has also been addressed by the fact that a co-fishing system could mean that fewer fishing alone can be achieved in this way. Economically, of course, there may be advantages in using only one boat. The fourth year's cod season was bad for many. The economy of these fishermen has been weakened and the prospects for 2010 are similarly weak. I therefore understand that the industry now wants schemes that can help improve fishing profitability. The Ministry of Fisheries and Coastal Fisheries is currently considering the proposal for co-fishing, and I will be considering the proposal in the near future. There are some fundamental and practical questions that need to be resolved, but I also understand that the matter is urgent for the planning and closure of this year's fishing.
ParlaMint-NO_2010-02-10.ana.ud2182e1672	I appreciate the answer from the Council of State. Of course, I fully agree that the operating aid scheme that was before was removed, because it worked in many ways against its purpose. In many ways, I also see the co-operation as an important measure for recruiting younger fishermen. The problem that we do not have a structuring in this part of the fleet that has been successful in other parts of the fleet also has an economic aspect: costs of operating two smaller vessels. It may be linked to the purchase of yarns, search equipment, etc., which makes it expensive for the individual, especially when we see that we often operate very marginally in this fleet. I'm positive with the answer from the Council of State, but I wonder if the Council of State can say a little bit more about what time factor we're talking about here. These recordings have also been made in the past – among others: in a question here in the 2007 Chamber, among others. this was recorded. Can the Council of State help us to get ahead of ourselves?
ParlaMint-NO_2010-02-10.ana.ud2182e1681	As I said, in the near future, I will take a stand on the proposal before us. For me, it has been very important to make sure in the case that we were able to find a solution, that it was not similar to the previously mentioned operating system. We all agree that is an important principle. There is no doubt that this fleet in particular has tough days, they are struggling. At the same time, I must say that I have had a meeting with the Raw Fish Team earlier today. We agreed that they haven't had years very far back where the economy was a completely different one. Fishing prices fluctuate, as we know. So the picture is probably complex, but that's a challenge for the moment, there's no doubt about it. It is important that at least there is a system whereby there are two active vessels capable of co-fishing.
ParlaMint-NO_2010-02-10.ana.ud2182e1688	I don't need to ask a question, but I just want to say that I thank you for the answer from the Council of State, which I feel is positive. Then I would ask that you try to get ahead of yourself and come up with a solution, precisely because it is a theme that has been lying and floating for a while. Nor has it – as I can see it – happened since the last question was asked, in 2007, then, of course, to another fisheries minister. I hope that the current Minister for Fisheries will get ahead of us and get it resolved in the best possible way, and I look forward to the solution that will come.
ParlaMint-NO_2010-02-10.ana.ud2182e1695	Do the Councils need to respond?
ParlaMint-NO_2010-02-10.ana.ud2182e1698	I have noticed the recommendation on progress in the matter, and I take it with me.
ParlaMint-NO_2010-02-10.ana.ud2182e1703	That being so, the examination of case No. 1 over.
ParlaMint-NO_2010-02-10.ana.ud2182e1716	There is no record. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
