ParlaMint-NO_2010-03-05.ana.ud1660e67	The representative, Jan Tore Sanner, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-05.ana.ud1660e1072	SV was overlooked and ridiculed when we first suggested that we have ethical guidelines for the oil fund. It's safer with mathematics than ethics, said a non-named finance minister once in the 1990s. And a newspaper referred from a Question Time – where Øystein Djupedal raised the issue of ethical guidelines – in such a way: ‘I have a great deal of sympathy for the representative’s concern, says the Minister of Finance and scotches up on the President of the Grand Duchy. But it's been a lot of work," he says, and it's all difficult, he says, complicated." Of course, it's complicated to try to be ethical in a capitalist wolf world. But there were ethical guidelines, and it's very nice to see that with the exception of the Advance Party, all parties are now concerned about how we can strengthen the ethical work of the oil fund. There is no dispute as to whether we should have ethical guidelines. The oil fund today operates on the premises of capitalism. We invest in all the world's markets, and then we try to take social responsibility by withdrawing from companies that behave in a way that we think is ethically unsustainable. So, from this point of view, the ethical guidelines are a kind of code of minimum ethics. In addition, we sometimes use our ownership to enter and change companies. I believe that in the future there will also be a debate on how the entire oil fund can be used more actively to promote good development with investments for the benefit of developing countries and to achieve climate policy objectives. This is why, for example: important for the development and expansion of the environmental investment programme, because the representative Rytman has a point – we can't have extraction mechanisms for anything we don't like. But we can go the other way and invest in what we dissidently like. The fund is called the Staten pension fund – abroad, I prefer to call it the oil fund. It is because we must not believe that we can live in the future as interest-raters of income from the fund. It's basically just the work of each other we can live on. The oil fund is a accumulated rent from values that incidentally lay on our base, and we have to remember to manage these values not only on behalf of the entire Norwegian people, but actually on behalf of and for the benefit of the entire world's population. I am pleased with the Committee's comments: ‘These members point to the fact that the practice of the ethical guidelines already far exceeds the intention of the original guidelines. Norway should not in any way act as ‘moral police’ [[...]] If the Advance Party had also been satisfied with the work on ethics, I might have experienced it as a bit clumsy embrace and wondered if the whole work had become toothless. I think it's important all the time to work for new ethical management criteria and to tighten up the criteria. It is important to get clear political dividing lines, as when Rytman is upset that Norway says we won't make money on child labour. The Christian People's Party is concerned about whether the Ethics Council is understaffed, since the fund is growing so fast. It is important that the Ethics Council has the resources they need, but – as it says in the case – it is not only about the administration in Norway but also about the use of external consultants. The Ethics Council has increased, and the use of external consultants located in different parts of the world has increased even more, and that is very good. However, it is important to always have an eye on whether the Ethics Council has the necessary resources, and I believe that the Government has. There will also soon be a big message about the Pension Fund, where ethics is also a topic. I also welcome the public discussion that is ongoing on the work of the Ethics Council and on investments in individual companies. It is important that the ethics work is accompanied by the eyes of an archeology by a critical press and a critical opinion.
ParlaMint-NO_2010-03-05.ana.ud1660e1095	I would also like to commend the Christian People's Party for including this Document No. The 8th proposal. It is a hugely important issue in relation to the enormous challenges we face, how to manage the State pension fund – abroad, or the oil fund. I see this issue of ethics as part of our mixed economic tradition, in which, by decision of authority, we try to correct weak aspects of how market forces function and link ownership obligations, so that we get a social organization that, according to ability, should give better and safer relationships to people. It's in a tradition like this, and it's not surprising that the Progress Party uses very charged and negative words about that work. That's just the way it is when you have so much different understanding of the state's role in political work. That being said, it is very difficult to practice this – as many people have been involved in it. The pension fund, or the oil fund, has income requirements that must be seen in relation to the risks it presents. The fund must have a return on the ethical requirements and obligations it has. There we see that there's no fascination for what order you're going to do this, there's very demanding balances that you have to do. Clearly, both human rights and environmental issues are central. It is probably a gradual development and an attack on the most extreme cases, which are largely carried out in relation to the practice of the Ethics Council and the Pension Fund. The instruments are to withdraw from companies, sell themselves out. As a result, it has also been necessary to use ownership to try to change the company’s strategy and short-term operation. This is a laborious and demanding work for which it is important to have a continuous correction, so that one goes in a direction where the aim is to ensure safer conditions for people and nature. The question is then specific in Document No. The 8 proposal to strengthen the work on ethics. The central party, as stated in the vote, has confidence that the Ministry of Finance will ensure that the Council has sufficient resources and that the Council will be able to further develop the strategies and instruments needed to move in such a direction as I have now tried to provide some support. At the same time, this must be done in a cost-effective way. That is why it is important that the Ministry of Finance makes sure that it is also a cost-effective way to implement this work on ethics, so that there is a balance between what we use in this field and what we use in other areas, and what is required, i.e. for cost-effectiveness.
ParlaMint-NO_2010-03-05.ana.ud1660e1106	Thanks to the President-in-Office and – I would like to say in essence – most of the contributions so far. With regard to Rytman's starting point, it's no big surprise that I might report a slight disagreement about it. In fact, I think there is reason to ask if the Progress Party at all wants ethical guidelines for the State pension fund. I would like to remind you that the then member of the Progress Party of the Financial Committee, which I believe is now the party leader and parliamentary leader, was actually among the proponents for ethical guidance. But there is a development, as I said, and it does in this case as well. There is also reason to commend, as a starting point I would say, the work done in the field of ethics and in the management of the State pension fund – abroad. I was last in the OECD a few weeks ago, and it is clear that this fund for many is a model in the international context, including in the field of ethical management. It is also an international development in emphasising the ethical dimension of administration. In fact, when you own a fund, you can also make sure that you invest where you want to invest, and you don't want to invest where you don't want to invest. Sometimes it seems as if you have been completely abandoned and just have to invest completely passively. Actually, it's not like that. On the basis of previous proposals from the Christian People's Party, where we include: in order to exclude tobacco producers from investment and to create a separate environmental investment programme, it is clear that we are very positive about the follow-up that first came through the Storing Communication, which was operationalised last week by the Ministry of Finance. So this is an ongoing work, and we think it's going in a positive direction. So we would probably want a further increase in ambition – and why? First of all, we're now increasing the share, that's almost 60 pst. by the fund which is going to invest in shares. It itself requires increased vigilance. Secondly, the fund increases every day. It'll be more to follow with for that reason. And thirdly, when the majority of the Storting – I think everyone was there, perhaps with the exception of the Advancement Party – joined the idea of entering into companies and trying to influence their behaviour before any withdrawal, it requires a further follow-up, when one is to exercise ownership actively. It seems to us that there must be an even greater pressure on the follow-up, both through the Ethics Council and in the overall management of the fund. I'll bring that up with our suggestions.
ParlaMint-NO_2010-03-05.ana.ud1660e1120	The representative Hans Olav Syversen has taken up the suggestions he referred to.
ParlaMint-NO_2010-03-05.ana.ud1660e1123	The notification of the activities of the Pension Fund will be submitted in three weeks. There will then be many opportunities to come back to a much broader and more comprehensive discussion of the activities of the Pension Fund. There will be an important discussion in the Storting, therefore some considerations now. The oil wealth we have is what we currently manage on behalf of the Norwegian population. It's a big mission, and it's a responsible mission. There are many considerations that need to be weighed, but there are two main considerations: one is to ensure long-term returns, so that both those who live today and those who come will take part in the wealth that this fund gives to Norway. Then we also see clearly that good financial returns over time also depend on sustainable development in the economy, in both the environmental, economic and social sense. We also need to ensure that the ethical values of the population are reflected in the way we manage this wealth. The pension fund is now within 8 000 companies worldwide. Because of both the weight and the long-term investment into the fund, it is clear that we have a responsibility and a self-interest in contributing to good corporate governance and care, both for environmental and social reasons. These are the reasons for trying to fill the role of the responsible investor in the best possible way. As the representative, Mr Syversen, referred to, on 1 March of this year, we presented the guidelines for responsible management in the future. It's a work that we put very much emphasis on. What we presented on 1 March is also based on the evaluation of ethical guidelines that we have done on the basis of documents dealt with by the Storting. So I just want to say that in terms of resources, we have strengthened our work both in the Ministry of Finance, in the Bank of Norway and in the Council of Ethics. I think we can tolerate a comparison with the vast majority of investors in that area in terms of the resources we spend on ethical issues, and the resources we spend on responsible management. But then there's a development, the fund gets bigger, the world gets more complicated. It will require a great deal of light on having good resources in the future. In conclusion, I would like to say that one of the most important tasks we have in a longer-term perspective – as I said before – is to contribute to the best practices for responsible investment that most investors in the world can agree on. That is why both the Ministry of Finance and the Bank of Norway participate in international initiatives, including the UN initiative for responsible investment, the so-called PRI, Principles for Responsible Investment. As I said, we're in no way done with this work, we're in the starting pit. Responsible investment practices are not just those of the State pension fund — abroad, they are an area in rapid international development, and we need to be willing to renew ourselves on that side in the years to come. However, as the representative Syversen also pointed out, there are many out there who look at the Staten pension fund – Foreign as a model and as a top-ranking fund for both long-term and responsible investments over time, and who contribute to the social responsibility of companies in a good and proper way. So it's probably not like Norway's kind of taken on the big tasks on behalf of the world community. Rather, we are part of international cooperation in this area and will increase in the years to come.
ParlaMint-NO_2010-03-05.ana.ud1660e1143	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-03-05.ana.ud1660e1146	I can't help not commenting on this matter, because I've been doing it for four years, and I'm very, very happy about it. It reflects the gigantic inconsistencies in government policy in such an excellent way that it is worth a comment every single time. I can start with what goes on in the defence industry and components of nuclear weapons, where we have excluded all the major and very best technology companies in the world – Lockheed Martin, among others, which is the world's largest technology company. But at the same time, we are protected under Article 5, ‘no first use’ of nuclear weapons and NATO doctrine. Then, obviously, the same weapons are not completely unethical anyway. We have repurchase agreements where we force Lockheed Martin to cooperate with Kongsberg, of which the state owns half, and Nammo, of which the state has major interests. We force them to cooperate with Lockheed Martin, who is basically an unethical company that produces components of nuclear weapons. We're not sitting in a dark room saying that now we're going to produce some components of nuclear weapons, it's imposed by the U.S. authorities. It's just like the American ambassador said the time you excluded Lockheed Martin, that there's indirect criticism of the American authorities and American politics. There's probably someone who's satisfied with it, but that's actually what it is. In the case of child labour, there was a Norwegian researcher on the radio talking about child labour in Bangladesh, where they increased the age limit from 12 to 15. They found that not one of the children who worked went to school. They went into street prostitution. But we washed our hands and said, "We don't invest in these companies that have child labour, because there are some scary things." And there are some scary things, all of them agree. But what is the alternative for these children? That must be the essential thing. Nor should we forget that we should not go so far back in Norwegian history until we also had child labour. We actually had a holiday named after child labour – the potato holiday, which is now called the fall holiday. And we had child labour in the mines the time we needed to develop our country and our economy. But we're sitting here practicing Ethic imperialism. We're sitting on our high horse, and we know best. We're going to tell the rest of the world how they're going to run ethics. Although our ethics is constantly evolving and changing from day to day, from year to year, we believe that the ethics that we stand for at all times is the ethics that everyone else should also stand for, despite the fact that we didn't stand for it a few years ago. Then you should ask yourself, why don't we have 40 pst. women in management boards? Are we going to invest in companies that don't have ethnic minorities in management? Where is the limit of what you should be able to ask for? Obviously, the limit goes out a little bit further. Then I haven't even talked about the return, because I think it's subordinate to these inconsistencies in the ethical, practical implementation of the policy related to SPU. We should be concerned about the individual country, not sitting on our high horse and working with ethics imperialism and believing that we are doing something wise and good.
ParlaMint-NO_2010-03-05.ana.ud1660e1161	The President cannot see that more people have asked for the floor on case No. 7th@item: inlistbox
ParlaMint-NO_2010-03-05.ana.ud1660e1177	At the request of the Financial Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each Party and up to 5 minutes to the Council of State. In addition, the President will propose that there be no change of line, and that those who have to sign on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-03-05.ana.ud1660e1184	The background to this case is the general system of VAT compensation provided by the Tax Compensation Act. That law applies to municipalities and county councils, but in order to counteract distortions of competition, some private actors are also covered by that scheme. This applies to private and non-profit institutions producing health services, educational services or social services which municipalities or counties are required by law to provide. The proposers have pointed out disputes between the State and the municipalities and their partners on the understanding of the projects covered by the ‘private and non-profit enterprises producing health services, educational services or social services which municipalities or county municipalities are required by law to carry out’. There have been different understandings of this. The majority of the Committee attends a review of the legislation in this area, a review which the Minister of Finance may have said by letter to the Committee. A recent decision by the Supreme Court is of course an important premise for that work. The Christian People's Party, which promoted this document initially, believes that there should be a requirement for projects to be eligible for VAT compensation. One of the requirements proposed is that the owner of the dwellings must be a non-profit-making actor who himself does not extract the profits of the project, while the other opposition parties have a proposal to ensure full equal treatment between municipalities, non-profit actors and ordinary private individuals. There have been many debates about the distinction between private ideals and private commercials, where some people think the distinction is artificial, while it is a well-known case that in the Workers' Party in general we have much of the same approach as the Christian People's Party, that there is a difference between those who extract profit and those who work with other goals. In this specific case, I still think it is right and important to await the review that the Ministry of Finance will now have. I also see that there is a broad understanding in the committee that there is a work that one has seen as natural to wait until the Supreme Court decision has come.
ParlaMint-NO_2010-03-05.ana.ud1660e1197	I refer to the proposal from the Party of Presidents, the Right and the Left. The proposals of the Christian People's Party are very good at this, so well that we share the vast majority of the arguments of the proposers. But we have a different approach to this with social housing. It is not just ideal actors, so-called good-looking actors, who need exemption from VAT. It's also the private actors, who can also be nice, by building in private. What has been one – let's say – black February in the courts of the Government, by having done the art of losing two difficult things in the Supreme Court in less than a month, in a few weeks, should perhaps lead to the Ministry of Finance listening a little bit more to both shipping companies and the maritime industry. In this case, they have to listen to those who build homes for disadvantaged people. As the Ministry has so far interpreted it — and there is reason to believe that many people still think it should be strong — only the municipality should have reimbursement, or non-profit institutions serving households. In the case of Alta, and in many other cases, there are examples of municipalities having to create a bureaucracy without equal to complying with VAT rules. Unofficial and official complex dialogues with the tax system are to be found to ensure that the housing is subject to VAT reimbursement. One experiences, in a theoretical, absurd situation, that if a municipality and a private build up splices on building a two-man dwelling for two 18-year-olds, two 60-year-olds or two 70-year-olds, one will get full VAT refund, while in the other case, in a neighboring building for the same purpose, and it is by chance who lives in which of the dwellings does not receive VAT refund. The proceeds from the state are probably motivating for the department bureaucrats, but if the option is that the municipalities are forced to build themselves, the state will not get income from VAT anyway. Therefore, you must have a non-discrimination that does not go on who lives and who operates the service, but on what is built, has as purpose and will have as purpose in retrospect, after the construction has come up. That has to be the big starting point for us in the right. Then there are many municipalities that have worked with housing social action plans that say yes, you need more care homes, it will soon be solved. But one of the big bends, which the municipal minister is well aware of, is that there is a huge shortage of rental homes. There is a great lack of housing for addicts. Crime in freedom reports that municipalities are very poor in those who have just come out of prison and need to find a home. This must be taken. If the municipalities are just going to do all this by themselves, you're going to get queues, because the municipalities are not going to be able to prioritize everything at once. If the private people, who are now offering to find solutions, can help the municipality and keep costs down, as statistics show that private people are able to do, in relation to just municipal arrangements, you will get more competition, and you might get more homes to offer those who actually need housing, whether it's municipal or state-owned. This has been the starting point for the proposal that the Right Party, the Advance Party and the Left have agreed on, that we want full equal treatment, but that the purpose of the dwelling, that is to say that the municipality decides who will live there and how long, must also be included. Of course, it must be an encroachment on the property, that the purpose is maintained when he moves out. Housing is assumed to be part of the municipal housing social action plan. It really means that it doesn't matter to the Norwegian community, and at least it doesn't matter to those who are in the queue, where the VAT refund tends to cause some dwellings not to be built. In some cases they are built anyway, and the 25 pst. the higher construction costs that are now reflected in the rentals, which some municipalities and others like to be able to benefit from the State housing support scheme. So the state pays «anyway». And there is something that we can use in the matter that the Council of State has notified. Now you've lost in the Supreme Court once again. Maybe you should listen to the surroundings.
ParlaMint-NO_2010-03-05.ana.ud1660e1220	The representative of Arve Kambe has taken up the proposal he referred to.
ParlaMint-NO_2010-03-05.ana.ud1660e1223	It is a central theme that the Christian People's Party addresses. This applies to non-discrimination in value added tax reimbursement for private NPISHs versus municipalities that build and operate – I stress, build and operate – housing for vulnerable groups in the housing market. It is a long red-green tradition in our health and care policies that one has a combination of public and non-profit private organisations in this area, where the purpose of the ideal private organisation is to run an economic business, not for the purpose of making money, but to maintain and improve the supply. The current VAT compensation legislation applies to municipalities and county councils, as well as to private and non-profit institutions producing health services which municipalities or county municipalities are required to provide. We have come into a situation where there is a different understanding of the legislation. Disputes have arisen. There is agreement in the configuration that there is a need for a review because the legislation is not precise enough. At the same time, it is also agreed that a court hearing must be awaited. I would like to make a few brief comments on the comments of the Christian People's Party and what is stated in the comment, where it says: «Since the scheme is financed through the elements of the municipal framework, municipalities should also have control over the volume of projects under the VAT refund scheme». It's an important clarification, and it's very central that you have this in mind when you're going to develop this further. In the demands that the Christian People's Party has made to get under the regime, there is no requirement to operate this, and I think that is a mistake, or a neglect, because the proposal says that the requirement for the ideal private organizations is that one should both own and operate the business. Otherwise, it is interesting to note that in the proposal of the second part of the opposition – Left, Advance Party and Right – a full non-discrimination of the VAT refund for private and public actors is sought. The left has taken a position in which, in the opinion of the Centre Party, the right-wing triangle of economic policy that led Lars Sponheim was a strong figure. It also helps to divide one in this area between the three former government parties, and it is unfortunate, but it is gratifying to see that the Christian People's Party stands on a line of understanding, also in the Center Party.
ParlaMint-NO_2010-03-05.ana.ud1660e1241	It was very much to the attention of the representative of Lundtegen of the three former government parties that it was unfortunate that they did not stand together. I thought he was against the idea that it was very good that they were not together. I'm taking that care with me, and I think to the extent that the disagreement doesn't go that far. In any case, we want this proposal to ensure that the ideal businesses that own and – I stress, as the proposal says – operate this type of housing, can also participate in the VAT refund. As pointed out by several here, there have been many conflicts related to this – so many that there have finally been legal proceedings. The end of the visa is that the state lost in the Supreme Court a short time ago, and I expect that it will have consequences quite quickly when it comes to the follow-up work that the Government has now said they will deal with. I also interpret the submissions from the government parties to that effect that changes should not be restrictive, but extensive, so as to provide a basis for the refund of VAT for those who have now won the judiciary, and that one does not tighten up – because that is the other option in the law – and thus excludes the refund of VAT. Of course, if the Minister of Finance has something to say about this, we are grateful for that. I share the latter's views on the important cooperation between public and non-profit institutions in many areas of the welfare community. The proposal we are discussing here involves ensuring that this cooperation is strengthened, and that we continue to have ideal actors who want to contribute, and they want to contribute on equal terms, so that there is really no less offer for vulnerable groups than it could otherwise have been. That's the purpose of our proposal, and I'll take it up.
ParlaMint-NO_2010-03-05.ana.ud1660e1252	The representative Hans Olav Syversen has taken up the proposal to which he referred.
ParlaMint-NO_2010-03-05.ana.ud1660e1255	We are at the end of a week when VAT has been in a way – I don't want to say butchers, but at least a repetition in the media, from the National Auditor to the discussion on VAT on e-books and the document proposal that we are seeing today. I think it's important to remember what this VAT system is. It is an important contributor to all the good purposes to be financed from the State budget, and it is important to have both an efficient and a good VAT system. I believe that, to a certain extent, in the matter we are discussing today – without having to go too far – that the more exceptions it becomes, the more complicated and inconspicuous the VAT system becomes, and the more rates we get, the more vulnerable the VAT system becomes. It is important to have the overall approach to the changes to be made to this system. As a countyman, I was far away in this with VAT compensation for municipalities. I can say here in Stortinget that I have probably raised a lot of pointer fingers where VAT compensation has been used as revenue in the operating budget to finance long-term expenditure. So it has its sides, the system we're discussing here. Having said that, I also said in my reply to the Committee that I see that there is a basis and need for a review of the legislation in this area. In the letter I also indicated that it would be appropriate to await the decision in the Supreme Court before I did so. Now the judgment has fallen in the Supreme Court. It happened on 19 February, and the state lost – as it is referred to earlier in the debate. Of course, once the Supreme Court has spoken, the verdict is taken into account, and we are now doing a review of the premises in the department to clarify the significance of the judgment for the matter that the Grand Duchy is now discussing. In view of the purpose of the compensation scheme and the fact that the construction of housing for disabled people and caregivers is organised in different ways in the municipalities, I will review the legislation in this area and, of course, take with me the views that have come, including in this debate.
ParlaMint-NO_2010-03-05.ana.ud1660e1272	Several have not asked for the floor on case No. Eight.
ParlaMint-NO_2010-03-05.ana.ud1660e1280	The size then goes to voting on the case no. 1 to 8 on today's map.
ParlaMint-NO_2010-03-05.ana.ud1660e1288	Five proposals have been put forward during the debate. It's proposal No 1, which is the proposal in Document No. 8:74, by Ketil Solvik-Olsen on behalf of the Progress Party, proposals No. 2 and 3, by Siri A. Meling, on behalf of the Right-wing Proposal No. 4 and 5, from Line Henriette Hemdal on behalf of the Christian People's Party Proposals Nos. 2 to 5 is distributed in the hall.
ParlaMint-NO_2010-03-05.ana.ud1660e1303	First of all, there is the vote on the motions for resolutions. 4 and 5, from the Christian People's Party.
ParlaMint-NO_2010-03-05.ana.ud1660e1327	There is a vote on the proposals Nos. 2 and 3 from the right.
ParlaMint-NO_2010-03-05.ana.ud1660e1344	Yes, President!
ParlaMint-NO_2010-03-05.ana.ud1660e1357	It is then put to the vote on the proposal in Document No. 8:74, from the Progress Party. The proposal reads as follows: ‘The Government is asking for a change in the conditions of concession for the start-up of the mobile gas power plants as soon as possible so that they also take price signals into account in the market, as well as to a greater extent used to prevent a power crisis due to empty water storage.’
ParlaMint-NO_2010-03-05.ana.ud1660e1363	President! The right in the debate has announced that we will support the proposal subsidiaryly.
ParlaMint-NO_2010-03-05.ana.ud1660e1369	It is then that the Right should support this proposal. Is there anyone else to support this proposal? So it is the Right and the Advance Party that are to support the proposal.
ParlaMint-NO_2010-03-05.ana.ud1660e1435	During the debate, 22 proposals were put forward. It's proposal No 1, by Arve Kambe on behalf of the Right, Christian People's Party and the Left Proposals No. 2-22, by Harald T. Nesvik on behalf of the Progress Party There is a vote on the proposals Nos. 2–22, from the Party of Advancement.
ParlaMint-NO_2010-03-05.ana.ud1660e1583	The Committee's position and proposal No will then be replaced by a vote. 1, from the Right, Christian People's Party and the Left. The proposal reads as follows: ‘The Government asks the Government to come back to Stortinget with its own case, at the latest in the context of the 2011 State Budget, in which both concrete objectives and appropriate measures for business simplification are assessed together, including the proposals made by the Progress Party in Document 8:15 S [[2009-2010]] Here the Progress Party has announced that they wish to support the proposal subsidiaryly.
ParlaMint-NO_2010-03-05.ana.ud1660e1610	Four proposals have been put forward during the debate. It's proposal No I, by Mr Tybring-Gjedde, on behalf of the Group of the European People's Party, on the proposal No. 2, by Gunnar Gundersen, on behalf of the Right-wing Proposal No. 3, from Hans Olav Syversen on behalf of the Christian People's Party proposal No. 4, from Borghild Tenden on behalf of the Left There is a vote on proposal No. 3, from the Christian People's Party. The proposal reads as follows: ‘The government is asking for a thorough review of the publication of tax lists with a focus on issues such as transparency and debate on the tax system, privacy and crime aspects. The case should be promoted in sufficient time to allow any changes to be made to the 2009 Equation Year.’;»
ParlaMint-NO_2010-03-05.ana.ud1660e1639	There is a vote on proposal No. Four, from the left. The proposal reads as follows: ‘The Government asks the Government to tighten the publication of tax lists to make them available only from public databases/websites’.» The President understands that the Christian People's Party supports this proposal subsidiaryly. - It's nodding.
ParlaMint-NO_2010-03-05.ana.ud1660e1656	There is a vote on proposal No. 1 from the Progress Party. The proposal reads as follows: ‘The decision asks the Government to propose a ban on the publication of the tax lists, in combination with a system of concession for access to the tax lists, where specific information on the individual taxpayer is needed.’
ParlaMint-NO_2010-03-05.ana.ud1660e1671	It is then put to the vote on proposal No. 2, from the right. The proposal reads as follows: ‘The decision asks the Government to submit proposals to ensure that information on income and tax is made publicly available upon request, where the name of the requester is registered and the person to whom the information is obtained is alerted. [[according to the current credit information collection model]] Here it is that the Progress Party supports the proposal in a subsidiary way.
ParlaMint-NO_2010-03-05.ana.ud1660e1705	Three proposals have been put forward during the debate. It's proposal No 1, by Jørund Rytman on behalf of the Progress Party, proposals No. 2 and 3, from Hans Olav Syversen on behalf of the Christian People's Party First of all, there is the vote on the motions for resolutions. 2 and 3, from the Christian People's Party.
ParlaMint-NO_2010-03-05.ana.ud1660e1737	The Committee's position and proposal No shall be replaced by an alternative vote. 1 from the Progress Party. The proposal reads as follows: ‘Document 8:22 S [[2009-2010]]
ParlaMint-NO_2010-03-05.ana.ud1660e1762	Two proposals have been put forward during the debate. It's proposal No 1 by Arve Kambe, on behalf of the Party of Advancement, Right and Left Proposal No. 2, from Hans Olav Syversen on behalf of the Christian People's Party First of all, there is a vote on proposal No. 2, from the Christian People's Party. The proposal reads as follows: ‘The government is asked by the government, by legislative proposal or regulation, to ensure that private, non-profit actors building and operating housing for vulnerable groups in the housing market, in agreement with the municipality, are subject to the VAT compensation scheme.’
ParlaMint-NO_2010-03-05.ana.ud1660e1785	There is a vote on proposal No. 1 from the Party of Advancement, Right and Left. The proposal reads as follows: ‘The government is asking for a case to be brought by the government in the context of the announced review of today’s compensation legislation ensuring full equal treatment between municipalities, non-profit associations and ordinary private actors in terms of VAT compensation for the construction of housing for people in need of public assistance to live. It is assumed that the dwellings are part of the municipal housing social action plans where the municipality has the right to award.’»
ParlaMint-NO_2010-03-05.ana.ud1660e1854	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
