ParlaMint-NO_2010-03-10.ana.ud2469e26	The representative, Mr Halleraker, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-10.ana.ud2469e1320	The public has an incredibly important role to play in providing basic security for all citizens of the country. But then there are some tasks that the public has neither the capacity nor the ability to do. We know that sometimes our great welfare systems can be seen as very large. That's the starting point for the very idea of social entrepreneurship having something very important for itself, for these are people who have a double bottom line. It is possible to help prevent and reduce social problems in Norway while creating jobs. This is not an environment that primarily wants to be State-subsidized, but is very dependent on and wants income from private businesses and investors in the usual way. KREM, who is a company in my home country, I know very well. It is one of the enterprises that calls for greater public involvement, greater public awareness and a plan, or at least more stable forms of support schemes. I would like the Council of State to follow up on its answer.
ParlaMint-NO_2010-03-10.ana.ud2469e1329	I would like to say that I have already taken an initiative to have a meeting – very soon – with representatives of KREM. I've actually planned that before this question, because I've met them, and I've been very gripped by that commitment. Then I very much agree with what was said, that it is important that this does not become a new volunteer with a hand in the public, economic government, so that we get the same bond between these organizations and the budgets. Because then I think we're talking about something else. So I think we agree on what we're talking about and what we want, and I promise to go in and take a closer look at this, also in relation to the qualification program. We have Stormberg, which is a good example. In the area of drug care and, in particular, in criminal matters, which is outside my direct field, I think it is important, just as it is underlined by the representative, that it is based on a self-interest of those who run it, while at the same time having an interest in society. That combination is good. So I look forward to how, for the future, we can discuss how this can be a good contribution.
ParlaMint-NO_2010-03-10.ana.ud2469e1338	Finally, I would also recommend that the Council of State contact the Minister of Industry. This is a question that has no obvious addressee, in that this is about the Minister of Labour's field, but also to the greatest extent about the Minister of Industry's field. From my point of view, I am concerned with precisely business policy. So it is also a good idea to see whether the Ministry of Industry and Trade and the arrangements we have to strengthen the entrepreneurial spirit and entrepreneurship among entrepreneurs can contribute. It'll be a plus and a double bonus for society if you can also get new jobs. There are also very many women entrepreneurs here, so it will actually be a triple bonus – new jobs, women entrepreneurs and people who contribute to a crucial work for our welfare society.
ParlaMint-NO_2010-03-10.ana.ud2469e1343	I want to mention a number four as well: bringing immigrant women, which we know is a big challenge, and which I know is also one of the things that these groups focus on. I can't really say anything but that we're going to come back to this. I'm concerned that you have to have the whole thing. We were at the same meeting yesterday about the 2010 poverty year, and just one of the problems is that you have a very fragmented approach – and getting a whole is important. That is why, of course, this is something that I am going to discuss with the Minister of Industry and also with the Minister of Justice in relation to the criminal justice issue.
ParlaMint-NO_2010-03-10.ana.ud2469e1353	This question, from Sylvi Graham to the Minister of Labour, is raised by the representative Erna Solberg.
ParlaMint-NO_2010-03-10.ana.ud2469e1356	Then I will ask the Minister for Labour the following questions: ‘On 30 June 2006, the following was published on the Nav website: ‘It is the sum of actions, procedures and organisation that have an impact on the actual level of privacy. Nav attaches great importance to privacy and safety and has a consistent dialogue with the Data Protection Authority to ensure that this is adequately addressed.’ What steps has the government taken in the last four years to ensure that Nav has established adequate information security regarding access management and logging?’
ParlaMint-NO_2010-03-10.ana.ud2469e1365	The Working and Welfare Seat deals with information security at several levels, including: are working with improved postal procedures ensuring that documents do not compromise, first-line offices that take into account discretion, competence and awareness-raising activities aimed at employees, and ICT systems that meet basic security standards for the transmission and storage of personal data. The Ministry has adopted an overall strategy for the management and follow-up of the information security of the department by requiring the Directorate to implement national guidelines on information security and to provide guidance for ensuring the security of information in the letters of allocation. In addition, the Ministry has paid particular attention to the follow-up to the National Audit Office’s observations on the 2005 accounts, where the National Audit Office pointed to weaknesses and shortcomings in information security procedures for the large-scale machinery environment in the social security system. The Ministry has received an overall status report on the information security work in the Working and Welfare Act. In the 2008 report, among other things: until the Directorate has established a separate internal control system for privacy, information security and preparedness. The Directorate has developed strategic plans for safety culture, compliance and controls. Own criticality and risk assessments have been carried out, including: to ensure confidentiality and integrity. The National Audit Office’s observations on the 2005 accounts have been followed up by the Ministry in dialogue with the Directorate. The Directorate launched a major project in 2006 to improve access management, logging and monitoring in the large-scale machinery environment. This work was carried out according to the plan, and the results have been implemented in the activities of the agency. The Working and Welfare Act has operational procedures for the allocation of access and control of logging and other monitoring of its ICT-based procedural systems. However, the complex and ageing ICT systems of the establishment lead, inter alia, to: the lack of standardisation and user identities, the need to provide user identities to the different systems and applications, and the lack of automation of control actions. The ICT strategy of the Directorate for the period 2009-2015 provides a key prerequisite for future ICT systems to facilitate comprehensive access management solutions and the increased use of automated key controls. The Ministry follows this work.
ParlaMint-NO_2010-03-10.ana.ud2469e1378	In the work that is now taking place, among other things. Following up on the IA agreement, following up on the disability benefits, i.e. following up quite a number of different points, is becoming more and more sensitive information about people collected in the Nav systems. The purpose of this is, among other things, to: to be able to follow each user, so that you can provide good and adapted help. However, it also increases the risk of information coming on more hands, such as: is an ongoing debate on, for example: how much of a medical journal Nav should have access to. Therefore, this issue of access is an extremely important issue. The Data Protection Authority issued a mandate to Nav on 9 January 2009 to establish adequate security for access management and logging. As far as we have been informed, this is not yet done, one year after the imposition, and it is said to be established in the near future. My question is, Is it established? Where applicable: what is defined as ‘the near future’?
ParlaMint-NO_2010-03-10.ana.ud2469e1387	First, I would like to stress that I share the representative's view that this is an office with a large amount of person-sensitive information. It is therefore a great responsibility to have that amount of information. I would also like to say that I am following this very clearly in the management dialogue with the director, and I have therefore received this report which shows that we are working a lot on this. But I just have to be completely honest: exactly whether that decision has been followed up or not, I will come back to the representative later on, because I do not have enough knowledge of that.
ParlaMint-NO_2010-03-10.ana.ud2469e1394	Then I hope that you will come back to it, and that at the same time you will also clarify the question of transparency for the user – that is, see who has been given access to the folder. Because that's the core question: would a user who in a given situation feel that a person who should not have information about one actually has information about one, then have the possibility of that kind of control? From the Right, we believe that we should have more of that in the public sector in general, namely that a user should have the right to know who has seen. That I have the right to know who has looked at my tax records, my records and other things, is very important, also to have a control that things are not being abused. Both in health, social services and in other sensitive areas, the right to see who has seen in your directory may be one of the greatest controls against the misuse of information.
ParlaMint-NO_2010-03-10.ana.ud2469e1399	Here, too, there is legislation through data protection legislation that regulates just who it is who has seen, and which initially limits who should see. I assume that the law is followed in Nav, so there is no need to have a separate regulation of this in relation to Nav, i.e. who sees and does not see. So let's think about that. But I agree that such a large office with sensitive information must keep an eye on this all the time, and I can reassure myself that this is a topic I have worked a lot with before, so I am following it closely with the director.
ParlaMint-NO_2010-03-10.ana.ud2469e1407	I will ask the Minister for Labour the following questions: ‘There has recently been a major focus on hubs and deadlines. In this context, it also affects fathers who, in some cases, are permitted for longer periods and receive a significant reduction in income. Contributions are determined on the basis of gross income and, when employee income is greatly reduced, contributions are also to be reduced. The duration of treatment in Nav offices around the country is up to six months in order to receive a change in the contribution from employee income. What will the Council of State do for these fathers affected by Nav's insidiousness?'
ParlaMint-NO_2010-03-10.ana.ud2469e1416	An important task of the Employment and Welfare Act is to ensure the rights of individuals through the management of social security laws and other social transfers systems in a good and effective way. The question asked is related to the scope of the contribution. I have been in contact with the directorate about this. For children’s contributions, the length of proceedings has been significantly higher than its own requirements for the duration of proceedings. Children’s contributions are therefore among the priority areas where more action is being taken to reduce the length of proceedings. It is nationally based, for example, on: set up their own teams to contribute to the reduction of child support. Efforts are also being made to improve productivity and quality of treatment by learning from best practice solutions. The effect of these measures will also affect matters in which a contributor has reduced wages and applied for a change in the contribution. Since October, developments in the area of contributions have been positive for the country as a whole. In the last year, the budget has had a strong focus on shortening the processing time and reducing the balance. The bet gives results, and users generally feel that there are shorter waiting times for handling issues now than it was a year ago. However, this does not mean that many users do not experience that treatment takes too long. I have therefore requested that the 2010 Labour and Welfare Act continue to work to improve the performance management. Time-limits for handling the case shall be reduced and the balances shall be further reduced. Moreover, the scope of the contribution is also an area in which the parties to the case are free to change the amount of the contribution between themselves without involving the directorate by concluding a private agreement on the amount of the contribution. It obviously requires agreement, but is a means of adjusting a contribution up and down relatively quickly. But I stress that it takes for granted consensus. So I see that that's not the solution to the main focus of the issues that the representative addresses.
ParlaMint-NO_2010-03-10.ana.ud2469e1427	I thank you for your answer. I understand that Nav admits that the waiting lists are too long on this topic. It is a heavy burden on individuals to get unemployed or to get out of work, and it can have great economic consequences for individuals that they have to pay a much larger contribution than what they actually have in the economy. The situation is that today, for a person who has paid too much in contributions, it will take many months for this to be corrected again. He will not be refunded what he has paid too much in these six months. But if it had been the other way around, that it had turned out that he had paid too little, he had to pay this and get a big bill on it. Does the Council of State see that there can be a significant economic impact on the individual, who has also lost work or been outsourced?
ParlaMint-NO_2010-03-10.ana.ud2469e1438	I want to underline what I said in my answer. It is regrettable in general that the procedure is too long in Nav. We see that we are now in good development, and that for 2009 the figures for processing time were reached, which were at the same level as in 2006. Then we know that within the field that the representative addresses, it's an area where the department is clear that it's too long to deal with. This is why, among other things: set up its own groups to reduce the time taken to deal with them. That's what you see working. As regards the relationship between the recipient of the contribution and the contributor, this is an economic burden for both parties when the revenue goes down.
ParlaMint-NO_2010-03-10.ana.ud2469e1445	In the case of contributions, Nav and the Children’s Act, this is at a crossroads between the Ministry of Children, Equality and Inclusion and the Ministry of Labour. Here in Stortinget we make promises. I've never had any things where I've had so many calls and telephones from the people of despair who feel that Nav is not operating with the same understanding of the laws that maybe the politicians of the Stortinget and the Government are doing, when you're talking about like parenthood, that dad and mom are going to share care, and that there's going to be a lot more equality. My question to the Council of State is: What action does the Council of State take to inform Nav of the new laws and regulations, such as: The size has decided on this?
ParlaMint-NO_2010-03-10.ana.ud2469e1452	I will carefully answer that I assume that Nav is aware of the law that Nav is going to administer. I have every reason to believe that they do. I also know that they now have a good focus on training the employees who administer this law.
ParlaMint-NO_2010-03-10.ana.ud2469e1460	I allow myself to ask the following questions to the Minister for Fisheries and Coast: ‘The coastal culture association Sjöråk has submitted an application for authorisation to use a previous shrimp trawl for tourist safari based on the island community of Røvær in the municipality of Haugesund. The Directorate for Fisheries has rejected the application, but says in the rejection that the Department should look at the matter. The issue is tourism, regional and fisheries policy and local development. It appears that the legislation has not been updated on the use of trawlers in this context. Will the Council of State contribute to the association's management of tourism radiation and update the regulatory framework?»
ParlaMint-NO_2010-03-10.ana.ud2469e1469	The Ministry and the Government are concerned with the development of tourism as an economic pathway along the coast. A separate strategy for coastal tourism has been put forward, with the main objective of improving cooperation between the fisheries and aquaculture industries and the tourism industry. We want to find cooperation areas that benefit local communities and both industries in order to facilitate cooperation instead of conflict. This is also how traditional industries benefit from the development of the tourism industry rather than from displacement. This is why, in January, I had a meeting between the tourism industry and the fisheries and aquaculture industries on the further development of relations between the two industries. At the meeting, there was discussion and mutual orientation on the challenges and opportunities for further cooperation between industries. The Ministry is working on the follow-up to this strategy. We had a meeting with the Coastal Culture Association on 25 February, and we're taking their recordings with us in the further work. In the case of the specific case, the vessel you want to use here to take tourists and others out to trawl shrimps has been taken out of fishing through one of the structural arrangements. The starting point is that such vessels shall leave fishing. As a rule, vessels shall also be conditioned, but exemptions may be made for vessels which – and I quote from the paragraph – ‘have antique value or may be used for non-profit purposes, for association or similar purposes’. It is important to ensure that the objectives of structural schemes are not undermined by the subsequent reintroduction of vessels into active fishing, regardless of whether it is normal commercial fishing or other activities which have the economic basis for exploiting the marine resources. The specific case thus raises two issues: first, access to the use of trawls as fishing gear, and, secondly, the general rules on the limitation of gears for vessels not registered as fishing vessels in the trade mark register, and secondly, such a commercial use of this vessel which has just been taken out of fishing through the structural arrangements. Since the specific complaint is being dealt with in the department, I cannot say anything more right now about the outcome of the case. However, it is important to be aware of the two issues I mentioned here, and to see them separately. This means that any — and I stress, where appropriate — refusal in the specific case should not be understood as a result of a lack of interest in the ministry in order to facilitate coastal travel. Developing coastal travel life will be important for Norway in the future. I want to start a work to see how we can better facilitate this industry's use of marine resources both through fishing rights, interaction with the fishing industry and, where appropriate, in other areas.
ParlaMint-NO_2010-03-10.ana.ud2469e1488	I am not quite satisfied with the answer, because I do feel that the Minister for Fisheries and Coast is more suspended in the legislation as it is today than it should be. It is obvious that the government has quite good work, which is interpolitically anchored also in the Storting, in relation to the travel life effort. Its name is, among other things, in the Government’s vision: ‘Tours by fishing boat, experience of real processing facilities such as dry fish, bird and whale safaris and coastal culture in the form of traditions and local history have a high potential for tourism.’ One will also have ‘increased knowledge and commitment to coastal cultural history, combined with coastal cultural heritage’ and preserve terrestrial and marine cultural values typical of epochs, including those of the Council of State. I would say that the Council of State should work for this, because the question is not random. Today's legislation does not open up to tourist radiation simply because no one has come to use unarranged trawlers for this before. The question to the Council of State is: will the Council of State contribute to the renewal of the legislation so that it can do so?
ParlaMint-NO_2010-03-10.ana.ud2469e1500	I guess it can't be very eye-catching that I'm concerned about following a code I have. It is, of course, in the nature of the matter. This should not prevent us from thinking about new ideas and looking at new opportunities for the development of new activity along the coast, which the representative is also involved in. I myself am coastal dwellers, have lived on the coast all my life, and am very concerned with the development of industry along the coast. It's supposed to be life on the coast. Then it may be that the legislation is obstructing now. The specific case is for treatment, we'll see the outcome of it. But just to prevent conflict with traditional fishing industry, which is still one of the main pillars along the coast, it is important to manage to have two thoughts in your head at the same time, and that's exactly what I'm trying to do here.
ParlaMint-NO_2010-03-10.ana.ud2469e1505	I do think that the Council of State, given that the matter is being dealt with, and has been for a while, could take advantage of the occasion today to say something more concrete. Then I choose to believe that the Council of State is negative. I think that's very stupid, because this is a concrete case where you have all the government's stakes in travel, coastal culture and small-scale community development – the criteria are just staring at the fact that this project is something that can hit. Then I have the following challenge to the Council of State – a written record, we get it afterwards: the following restrictions could have been launched: a geographical limit, a time limit for when they can operate the activity, a quantitative limit for how long, how much, and what they can take up, a universal obligation, like approved reception facilities, restrictions on the trawler size, that the boat is approved for tourists, and that of course no longer can buy and sell and get back into the ordinary fishing system, not a reintroduction. These are small-scale development, tourism development and coastal culture all in one place.
ParlaMint-NO_2010-03-10.ana.ud2469e1510	Sorry, but as the pencil no longer worked, I was not able to record all the points. But it's written down, and I'm definitely going to take all of the points. I should like to go into a discussion – some of the points I hear are problematic already, linked to traditional fishing industries. But to draw the conclusion that because we have the case for treatment in the department, we are negative, I think we are hasty. We will deal with the matter properly and in a good way. So I'm going to see if the code is an obstacle to developing good coastal-based travel businesses. It will show time both in relation to that case and in other matters. But I'm, just to emphasize it, very positive about developing a travel life along the coast that is based on the resources we have, and it's perfectly obvious that the marine resources are central to that area.
ParlaMint-NO_2010-03-10.ana.ud2469e1518	‘A new scientific conclusion shows that the royal crab is harmful to the fauna. Therefore, it is important that the spread of this crab type is halted. Alternatives will presumably be the degradation of all the fauna in which he is spread. Is the Council of State sharing this understanding of reality, and is the Council of State focused on stronger taxation as one of several means of keeping the population at a defensive level?’
ParlaMint-NO_2010-03-10.ana.ud2469e1525	Today's king crab management is based on St.meld. No 40 for 2006-2007, Royal Cancer Management, as the Stortinget dealt with in March 2008. There is recently established new knowledge of ecosystem effects due to the entry of the king crab into Norwegian regions. However, it was already stated in the main message that: ‘The government wants – from a precautionary point of view – to focus attention on possible impacts on the ecosystem as a result of the entry of the king crab, while taking into account nutritional and coastal communities in areas where the king crab is already established’. [[...]] On this basis, the Stortinget concluded an objective to limit the further spread of king crabs in Norwegian sea areas and to ensure the lowest possible population of king crabs outside the quotad area east of 26° east. Within the quota area, the stock shall be managed in such a way as to facilitate activity and employment. As a basis for the main message, it will not be possible to stop the spread of such a marine species, and the aim is therefore to limit the spread through different measures. Outside the quota area, the free capture of royal crabs and the re-release of living royal crabs are prohibited. As an additional measure for greater taxation, the Ministry of Fisheries and Coast has set at 5 million. kr for the hire of a vessel for the capture of king crabs west of 26° east. The Directorate of Fisheries has obtained offers from interested parties and five vessels are scheduled to be engaged with a start-up of approx. May 10th this year.
ParlaMint-NO_2010-03-10.ana.ud2469e1541	I thank the Council of State for the answer -- it's not that far from what I expected. But now it is the way that the Directorate of Natural Management has a blacklist, where – as far as I think – the king crab is in the other place. We're recording that there are actually found royal crabs as far south as outside Bergen. The question then arises: With such a limited effort — with the resources to which the government refers — is it certain that one can stop the spread southward of this crab?
ParlaMint-NO_2010-03-10.ana.ud2469e1548	If there's something I'm sure of, it's not to give guarantees related to the spread of the royal crab. That's what I think more people have burned on before. What we see is that it's spreading. In my answer I described the way in which one can keep them within a «box». So if we put lines on a map, the king crab doesn't see them. But there's a free fish outside the box, and that's also how we put in extra resources to try to limit it outside that area. In addition, it is difficult for the Minister of Fisheries and Coast to provide guarantees related to the migration of the king crab.
ParlaMint-NO_2010-03-10.ana.ud2469e1555	Now, the fauna that the king crab grazes down is relatively coastal. Then it becomes a little special that a fin wants to build up a trunk within 26° east, as the Minister for Fisheries says. Would it not have been more sensible, when a blacklister came into our marine fauna, to assume that one should have free fishing on him, and that an actual fjord and coastal strip should have free fishing, so that even fjord and coastal strips were protected – or that a severely reduced royal crab population could build up just the animal that has been there at all times and that the king crab grazes down?
ParlaMint-NO_2010-03-10.ana.ud2469e1562	First of all, to the research results in which new knowledge has become part of us: it's that the king crab doesn't feed all the fauna. The representative has not said that either, but it is a widespread opinion. It's a misunderstanding. But what we see is that there's a decline in the biomass of bilge animals and a structural change in the sediments. I want to learn more about what has been presented with research results. So to lines on a map and regulation: The King crab has come to be! Then it is the idea – and policy – that in an area where it has become economically important for the industry on land and for fishermen, we must regulate it as it is – a resource. Elsewhere we still have to have a goal that it should not be – there it is more to plague than to benefit.
ParlaMint-NO_2010-03-10.ana.ud2469e1574	Single minor asylum seekers shall be given priority for rapid and good housing and it has been an objective to settle within three months of receiving a residence permit. Then last year we experienced that 24 municipalities refused to accept minor asylum seekers. 79 said yes, and several municipalities chose not to respond to the request of the Directorate for Integration and Diversity. Now it is estimated that about 1,600 children need to live this year – a nearly double from last year – and I find it difficult to imagine that it is possible to settle within this three-month target. Minor asylum seekers are primarily children, and children are the most valuable things we have. They deserve the very best we can give them. I am concerned that minor asylum seekers must not grow up on asylum recipients. On the basis of this, I have dared to ask the Council of State the following questions: ‘According to an overview from the Directorate for Integration and Diversity, 24 municipalities refused to accept asylum children last year. 79 municipalities said yes, while several municipalities chose not to respond to the request to settle minor asylum children. In 2010, there will be a need to settle 1 600 asylum children. In order to avoid young asylum-seekers growing up on asylum-seekers, what new instruments – in addition to those we have – do the Council of State see that they can be implemented so that children who have been accommodated do not wait to be settled in a municipality?’
ParlaMint-NO_2010-03-10.ana.ud2469e1587	Lonely minors are a priority in the work on the settlement of refugees. In 2009, there were 606 lone minors. On average, around 150 single minors have lived annually before the increase in the influx of asylum in recent years. In the case of waiting time in reception, from decision-to-residence, it turns out that it has increased in 2009 — that is correct — it is per year. 1 January 2010 5,6 months for lone minors. In 2008, the waiting time was 4.5 months. The objective is that the residence, as the representative said, shall take place within three months of the adoption of the decision. In the context of the revised 2009 national budget, additional resources were allocated to the municipalities that settled lone minors to increase their competence and capacity in the service apparatus. I assume that this will have an effect on the ability and willingness of municipalities to accept single minor refugees even in 2010 and in the years ahead. For the number of lone minors to be settled in 2010, the figure is 1,600 based on a previous forecast, drawn up last year. I just have to stress that there is a lot of uncertainty about this. The arrival rates for lone minor asylum seekers so far this year have been significantly lower than for the same time last year. New forecasts for this have not been made, but they will be presented in the second half of March. It'll give us a better basis to see how we're now going to lie down. We are following developments very closely, and I agree with the representative that we need to be prepared to consider all kinds of measures to avoid children having to wait unnecessarily for their residence. I'm concerned that we're going to put the children's concerns high. It is good for both children and society that the waiting time will be as short as possible and that they will reach the municipalities as soon as possible. I have started a work across several departments, led by my department, to look at measures that can lead to a faster settlement in general, but especially those who are now in the process of that work are asked to look at the possibilities of lone minor refugees. The proposals for measures that come from there are my intention to follow up in the ordinary budgetary processes with the aim that we should reduce the waiting time and ensure that these children come out to the municipalities within the period we initially require.
ParlaMint-NO_2010-03-10.ana.ud2469e1600	Thank you to the Council of State for a good answer. We are excited about what this investigation will lead to, not least in view of new measures. Some municipalities who say no use this with a lack of resources as an argument, and they also like to point out that child protection in municipalities is too poorly manned. That's probably true, and that's probably one of the reasons why the Soria Moria government said they're going to postpone this by including minor asylum seekers between 15 and 18 years of age so that they become part of child protection. The Christian People's Party has proposed a stepping-up plan for full child protection by 2017. In this picture, this will be an important measure, not least to be able to motivate the municipalities that are now saying no, to say yes. How has the Council of State assessed the proposals of the Christian People's Party on the basis of this issue of minor asylum seekers?
ParlaMint-NO_2010-03-10.ana.ud2469e1609	The proposals of the Christian People's Party give us plenty of opportunity to discuss in the Storting next week when it is to be dealt with. I have also, in a letter to the Committee, taken a positive view of a number of the ideas that have been promoted, which are similar to the needs that the Government sees in child protection. I am concerned that we should be able to get a better match between the number of cases and the number of case handlers in municipal child protection. It's the most important thing. That's why we need an escalation of resources there. Then I want to say that while there is a clear link between the resource situation in child protection and our ability to offer more lonely minors space in care centres, when they come – and of course there may be resource challenges in municipalities – there are also too many municipalities that believe that there are greater burdens on these children than it is. And it's important to say clearly that these are children who can be a resource for their municipalities, and that many should therefore accept.
ParlaMint-NO_2010-03-10.ana.ud2469e1618	I fully agree with the Council of State in that, and I think that, in fact, competence is needed around the municipalities in that particular area. I want to challenge the Council of State to the very end. The government warned that a measure to reduce the number of minor asylum seekers coming to Norway would be to look at the possibility of setting up children’s homes or reception facilities in the country of origin, for example. in Afghanistan. Has the Government done anything else in this matter? Is there any suggestion that this is about to materialize? The question is: what does the Minister for Children think about this proposal?
ParlaMint-NO_2010-03-10.ana.ud2469e1625	It is a little too early for me to give an assessment of that proposal, because that has been said by the Government to assess, and it is the Minister of Justice who is responsible for doing so. I am concerned that no matter what happens to that proposal, we clearly focus on the fact that in the years to come, we will take responsibility for many lonely minor refugees who come here. There will be many people who have a justified need to stay in Norway and who will remain in Norway. Then it is important that we both have an offer under the protection of children to the maximum of these children, that we ensure that the quality of those who, until now, must be in the reception of asylum is as good as possible, and not least that we act in the light of the question that the representative raises and that I am very concerned about, namely how we get the municipalities to receive more, faster. So I've started a job to look at different types of actions, and then we have to do a joint job to show the municipalities what kind of resources are in these children.
ParlaMint-NO_2010-03-10.ana.ud2469e1632	That being the case, it is no. 1 finished.
ParlaMint-NO_2010-03-10.ana.ud2469e1645	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
