ParlaMint-NO_2010-05-26.ana.ud2104e26	The representative of Morten Stordalen will present a proposal for a representative.
ParlaMint-NO_2010-05-26.ana.ud2104e1243	I thank the Council of State for the answer. Around Norway it stands about. 40000 empty farms/small farms. These are farms for which there are buyers, and there are sellers. However, because the authorities do not approve the price, there are often no sales. So we're going to have a decay in the countryside because these are still going to be empty. Many react when you see that you have a rate of 4.2 million. NOK, comes up in a sales sum of SEK 7 million. NOK, as in this case here. But I asked only questions about this matter on a general basis. I don't want to go into detail here, because it's a completely different matter. But the problem is that, as I said, there are many buyers, and there are many sellers around in Norway of farms and small farms, the sum of which you agree is higher than the fare. Thus, the authorities do not accept that sum. That's the problem.
ParlaMint-NO_2010-05-26.ana.ud2104e1252	It is true that there is a relatively large number of farms for which it could be possible to make a turnover. Of course, I want more farms to be traded. We have a price regulation mechanism that ensures that we get a price on farm that allows it to be possible to continue as a farm. It's part of our property law. We have recently had changes to this legislation through the pricing guidelines, including: is the housing value adjusted up by 100 pst. There are no formal reasons why it is said that it should not be possible to convert properties, and in many cases it is such that the municipalities make an assessment, and the price that is decided by the municipality becomes the price that is determined. It has to be because we want to give priority to those who are going into agriculture rather than those who are going out of agriculture.
ParlaMint-NO_2010-05-26.ana.ud2104e1259	I thank the Council of State for the answer. I think I'm going back to this fare, which is from the book of Hedmark Eiendom. So there's a 4.2 million price indication. kr, there's nothing about the housing value coming up to 1.5 million. kr. It doesn't say it's a 5.7 million fare. kr, just so it's said. There's a price indication of 4.2 million. NOK, and the government sells for SEK 7 million. kr. Then you get a gap of almost 70 pst. And if it had been like this in every municipality, you would have accepted a difference of 70 pst. in relation to the tariff, there had been no close to 40000 small farms/farming in Norway. Then they had been sold, then there had been light in the windows, then there had been refurbishment, they had driven with something on those farms. But as the policy is being pursued today, unfortunately there is no light in the windows.
ParlaMint-NO_2010-05-26.ana.ud2104e1264	I do not know if I should interpret it so that the representative Bredvold here wants price control as a system or is opposed to price control as a system. What is the case here is that there is a rate last year, the property was put out for sale this year, and there was an immediate bid of 6.5 million. kr. There was a 7 million frame. kr, there were three bidders that paid $7 million. kr, and at the same time gave a description of what they wanted with the property. One of the bids is selected. Then an assessment of the price level will be made by ordinary procedures in the municipality, and the state will of course have to deal with the price rentals that the municipality will obtain, like all other sellers. So the question is whether this is a correct system. Yes, that's the right system, because in that way we give priority to those who are going into agriculture, rather than those who are going out of agriculture. We give priority to young people, we give priority to those who want to move forward.
ParlaMint-NO_2010-05-26.ana.ud2104e1274	I have the following questions: ‘In 2007, the Swedish Coast Guard Agency concluded that the Stad Sjønstunnel was 1,7 billion. kr is socio-economically viable. In spite of this, the government believes that the project needs to be investigated and quality assured once again, even if it has been investigated for 21 years. The father is big because the project is pushed into the blue and never becomes any of it. The Christian People's Party believes it is important that the ship's tunnel be realised, not least in terms of safety at sea. Why will the Council of State not ensure that the project is realised so that safety at sea can be improved?’
ParlaMint-NO_2010-05-26.ana.ud2104e1283	As the representative Rigmor Andersen Eide refers to, it was decided in 2007 to launch new investigations on the City Ship Tunnel. The background to the investigations was, among other things: recorded by the rapporteurs of the counties of More and Romsdal and Sogn and Fjordane. The Coastal Station was commissioned to carry out a new investigation into the City of the Ship's Tunnel. One of the exploration options is a ship’s tunnel of larger dimensions so that the high-speed route and other vessels of similar dimensions can pass through the tunnel. The location of a ship's tunnel with larger dimensions makes it necessary to carry out external quality assurance of the project. This applies to all State projects in excess of 500 million. kr, and shall ensure that the investigation is of good quality. New investigations are under way to meet improvement points resulting from the quality assurance process. This includes, inter alia: requirements for better documentation of the needs and utility of a ship’s tunnel. This does not mean that questions are asked by the fact that the tunnel will have a social utility. However, the data base as of today is not good enough, but needs to be improved. Work is somewhat delayed, but it is scheduled to complete phase 1 of the quality assurance in 2011. This means that work is still on track in relation to the timetable outlined in the National Transport Plan 2010–2019. The national transport plan indicates that the government has made use of funds so that the project can possibly be launched during the last half of the planning period. The prerequisite for start-up is that the project has social benefits and that the government decides to go ahead with the project. Based on phase 1 of the external quality assurance, further management of the project must be considered. The decision will be duly brought before the Court.
ParlaMint-NO_2010-05-26.ana.ud2104e1298	Since the 1980s there have been innumerable investigations into the tunnel, and several millions have been used, among others. from the Coastal Works and the City of Skipstunnel AS. Several mills have been in swing, and this with a larger dimension of the tunnel has also been part of the work. In the last two and a half years, the government has been working to ensure the quality of a report from the Coastal Agency that suggests construction. For the same number of years, the impact assessment has been quality assured by external consultants. On 12 May, the government announced that we need a new impact assessment. Does not the Council of State have confidence in the thorough work done by the Coastal Agency here?
ParlaMint-NO_2010-05-26.ana.ud2104e1305	All such projects are related to formalities, and as I said in my answer, when we talk about projects with a size-frame of over 500 million. kr, according to the rules to which we relate, one is obliged to carry out external quality assurance. This is a big project. I have now been able to read up. I should also admit that it is a matter of longevity. I have a history in the Ministry of Fisheries from many years back, then this case was actually also up, so when I now came back after quite many years, I must admit that I was a little surprised that that matter was still there. But I have, as I said, read it to myself, and with the changes that have come in relation to not least the size, it is necessary to do a thorough and good procedure, so that one is perfectly clear on all matters that need to be taken into account in the further work.
ParlaMint-NO_2010-05-26.ana.ud2104e1312	There are no new changes that have been made. The fact that you want the fast route and larger ships to enter the tunnel has been in the paperwork for a long time. Now many people are asking themselves why this postponement has happened again. I would like to ask a specific question to the Council of State: Is it possible to gain insight into the reasons for the postponement?
ParlaMint-NO_2010-05-26.ana.ud2104e1319	What came into 2007, which is new, is related to the size. I would also like us to be able to do all the investigative work in the shortest possible time, but we keep the timetable outlined in the national transport plan; I repeat it. With regard to the documents requested, they are exempt from disclosure on the grounds that there is a case-by-case preparation in relation to the submission of the case. The investigation will be public when it is completed and quality assured. Then, of course, all documentation will be provided. However, after what I have been described, it is the normal procedure that case preparation is exempted from public disclosure until the case is submitted.
ParlaMint-NO_2010-05-26.ana.ud2104e1329	I have the following questions for the Minister for Fisheries and Coastal Affairs – which I hope are not without publicity: ‘The government’s 2010 government proposal for a government budget has been based on a 360 million revenue flow. kr as a result of allowing an increase in MTB, maximum authorised biomass, by 5 pst. for the farming industry. Later, this authorisation has been postponed, including: reference to excessive salmonillus in individual installations. When it can be expected to notify the increase in MTB of 5 pst. will be available?’
ParlaMint-NO_2010-05-26.ana.ud2104e1338	In the 2010 government budget, revenue of about 360 million was added to the budget. kr related to the remuneration of increased maximum authorised biomass in the salmon and trout feed industry. In the autumn of last year, the Food Safety Authority reported that the salmon situation along the coast was significantly worse. Therefore, in December, it was decided to postpone the decision on capacity increase in 2010 until we were able to further assess developments in the salmon situation. We would like, among other things: ensure that the efforts made to combat salmon fever provide the necessary results. The April figures show a decline in the lice level in all regions. It's a positive trend, but I think it's still too early to conclude. We are now waiting for the results of the spring break, which will give us a clearer picture of how the situation has evolved. The spring break was completed in April, and the effect of this is to look at the Food Safety Authority's overview of lice numbers for May. The figures for the May month are published in mid-June. When we have a good enough basis for this, we will start to assess the growth of salmon and trout in 2010. In the revised national budget, we have explained that there is uncertainty about the income allocation from increased MTB. However, it is difficult to give a better estimate right now than that provided in the original budget. If there were to be budgetary implications of the final decision on the capacity increase in the salmon and trout feed industry in 2010, the government will return to the Stortinget with it during the harvest session.
ParlaMint-NO_2010-05-26.ana.ud2104e1353	I must say, personally, that sometimes one is surprised that there is no more detail in the presentation of the revised national budget, in the case of such a large item in the budget, i.e. 360 million. kr, than is the case here, because it is clear that it would have consequences for other areas if this were also to be included in the budget. But I'm not going to say that that's the reason why you haven't done anything about this. Let's go back a little bit to what the Council of State was about, the lice problem. In Finnmark and in Nord-Troms we do not have lice problems because the waters are so called that lusa – i.e. this crustacean – does not thrive. So there you would actually have the opportunity to expand the capacity without it being a problem with lice. The figures for April show a decrease from 0.3 to 0.15 per. fish, which is a very happy development. Let's hope it persists. My question to the Council of State is: will the Council of State assess whether, in those areas which do not have problems with either resistant lice or lice in general, it will be possible to increase capacity?
ParlaMint-NO_2010-05-26.ana.ud2104e1364	I have just been to Finnmark and met the farming industry there. What we discussed most was probably not exactly an increase in MTB, all the time they still have a share of it before they use the capacity at the total level. Simple top runners probably do it today. It's right as the representative says, that the lice problems are significantly smaller in Troms and Finnmark. But there's probably some lice in between there too, so we should be aware that the lice problems have spread northward. It's not that many years since it was insignificant with lice in Northern Ireland, so it's probably moved a little northward. Yes, of course I'll evaluate it, because it's an area that, after all, has become better. The most important thing now is that we actually manage to secure the wild melt freeway into the ocean. I hope we'll get an answer to that, and then we'll also get back to the main question.
ParlaMint-NO_2010-05-26.ana.ud2104e1373	I would like to refer to the debate that was under the oral question procedure today, linked to the opinion of the Council of State, among others. in Vega, Northern Ireland, where the Council of State has shown that we need to increase the level of processing. That is, we also need to have increased market access. Now we have very good market access on salmon. I must be allowed to state from this pulpit once and for all that the farming industry in Norway is a success story – a success story that we must pass on. We must now make sure to take advantage of the opportunities we have in the market, because the farming industry is something we really need to invest in in the years to come. Then it's fixed from my side once and for all. Will the Council of State, when the April figures are available, ensure that a decision is taken to ensure that if the figures for the lucerne situation move in the right direction, a rapid clarification is given, so that we can just use the goodwill that is in the market today, the demand that is actually for Norwegian salmon, for Norway?
ParlaMint-NO_2010-05-26.ana.ud2104e1382	I very much agree with the representative that Norwegian farming is a success story. But when that's said, I think we should be honest and admit that it's also a industry that has some reputational problems for the time being. I have challenged them to take it very seriously and do something about it. I'm in very good dialogue with the industry, but then it's with reputation as usual, that's not what you're saying, but what you're doing. Now the industry has the opportunity to actually show that they're taking this very seriously and doing something about it. I feel very calm that the answer will be positive. But as I said, I want to have final results related to the spring break before I draw a conclusion, but as soon as we have the certainty that the lucerne situation is under control, I will of course sit down and assess the growth previously announced.
ParlaMint-NO_2010-05-26.ana.ud2104e1389	That being the case, it is no. 1 completed on the current map.
ParlaMint-NO_2010-05-26.ana.ud2104e1402	There is no record. Thus, today's map has been processed. The President assumes that the last representative present in the Chamber does not request the floor before the sitting is cancelled? It is confirmed. - The meeting's been cancelled.
