ParlaMint-NO_2010-01-13.ana.ud1798e26	The called alternate of the Rogaland County, Arne Bergsvåg, has taken the seat.
ParlaMint-NO_2010-01-13.ana.ud1798e1261	I thank the Council of State for the answer. In light of the cold period we have had, particularly large cities have been very exposed to pollution. According to TV, the mountains have been the most polluted city in Europe. It's a serious matter. According to a previous report from the SSB, refuelling together with car traffic is the main reason for suspended particulate matter. My question to the Council of State is therefore: Is it appropriate on this basis, related to pollution, to provide for more maintenance? Would it be appropriate to provide guidelines on where to use refuelling in the country, or is it okay that now, with these new refuelling furnaces, it is also used in large cities?
ParlaMint-NO_2010-01-13.ana.ud1798e1270	I think it is very wise, what has been done in some large cities, that targeted measures have been taken to reduce local pollution, among others. by facilitating a conversion of the use of the type of wood stove. We see that it works, we see that the wood-burning stoves have got a large part of the market and that the conversion takes place quickly. Here I think the policy works, local authorities take responsibility. I believe that the Progress Party should also look at the point that efforts are also being made by the State to target, and limit itself to the point of entering and subsidising.
ParlaMint-NO_2010-01-13.ana.ud1798e1275	Electricity capacity in Norway is usually very good. In the Nordic market, there is usually surplus power. Heat pump air to air provides good energy utilisation and does not contaminate. There should be a good alternative to heating dwellings and apartments, not least in large cities. Will the Council consider changing the grant rule so that individuals can receive a cash subsidy for the installation of air-to-air heat pump in order to reduce pollution from private housing units?
ParlaMint-NO_2010-01-13.ana.ud1798e1282	I again note that the desire of the Progress Party to use state resources in different sectors of the energy field today is great. Enova has carried out assessments and is carrying out a continuous evaluation of where it is most targeted to use state resources to achieve the necessary conversion. Then we've seen that in some areas the conversion goes by itself. Furnaces are a relatively modest investment for many. Air-to-air heat pumps are also a relatively modest investment compared to many domestic energy measures. We see that both in the case of stoves and air-to-air heat pumps, the conversion takes place quickly, there are many new stoves installed, and there are many new air-to-air heat pumps installed. I hope for some understanding that when Enova has a frame for a certain amount of money, it makes sense to spend the money targeted in those areas where you can see that government participation contributes to a conversion that would otherwise not have happened. When it comes to pumps, we see that the conversion takes place quite quickly. That's very good.
ParlaMint-NO_2010-01-13.ana.ud1798e1292	I allow myself to ask the following questions: ‘Does the Council of State at the Office of the Prime Minister indicate that it is in line with the guidelines for management and party policy activities, dated 23 August 1995, when the Deputy Government Council against depositors is actively engaged in the influence of a disputed transparency case which is being dealt with in the Stortinget?’
ParlaMint-NO_2010-01-13.ana.ud1798e1299	This question falls within the constitutional responsibility of the Prime Minister. The question is answered by me on behalf of the Prime Minister in his absence. The case, which concerns the scope of the Civil Ombudsman's right of access, was not currently dealt with in the Stortinget, but in the administration. The case was subsequently submitted to Stortinget in the form of a separate notification from the Civil Ombudsman. At the Budget Conference on Thorbjørnrud, where the Government and the parliamentary leaders of the Government parties were gathered, an official at the Prime Minister's office was asked to inform the Central Party's parliamentary leader of the facts on the matter. The aim was to provide information. The 1995 letter to which the representative Foss refers aims to ensure a clear borderline between management and party policy activities. However, the event in question is not about the involvement of the civil service in party policy activities. The aim was to communicate the facts. Therefore, providing such information does not conflict with the guidelines set out in the letter. I see afterwards that one could avoid confusion about roles by the presence of a politician from the government apparatus when the information was given to a magnification representative.
ParlaMint-NO_2010-01-13.ana.ud1798e1312	It is only partly correct that the matter was not dealt with in Stortinget, for the minister will be aware that the question of transparency for the Civil Ombudsman and the National Audit Office has long been a matter of conflict between this sitting government and the Stortinget. It was also when this matter was brought up with the then parliamentary leader of the Central Party, the Rune Kärlaa. He did not see it as bringing facts forward, as he spoke to the VG as late as December 23rd last year that he perceived this as having been tried. So to present this as facts is at least a presentation that is not consistent with the party politician's own opinion. Then I appreciate the element of self-criticism that was at the end of the article, namely that this should have been done by someone other than an assistant ministerial council – because it was perceived as party politics, there is no doubt about it.
ParlaMint-NO_2010-01-13.ana.ud1798e1319	It is important for me to clarify that the matter in question was not dealt with in Stortinget. It came later and, as far as I am aware, will be debated in the main hall tomorrow. I would also like to maintain that the aim here was to provide the parliamentary head of one of the government parties with information on the facts of the matter, and that was the starting point for the enquiry.
ParlaMint-NO_2010-01-13.ana.ud1798e1324	With respect to reporting, a matter where there is a conflict between the government parties and the government, is at least party political. It's partisan combustible. Perhaps it would have been less party-political if there had been a case where there was disagreement between government and opposition. But here we are facing a case where a total mass, including the government parties, gives the government clear information about where to stand, and it's going to be somewhere other than where the government has placed it so far. So that the matter was combustible, and also party political, there is no doubt about it. Finally, I would like to quote from the circular sent out by the Prime Minister's office in 1995: ‘Ministries are asked to specifically assess whether the internal knowledge of these issues is adequate and whether additional internal training measures are needed in order to have a high level of awareness of these issues.’ It seems that the knowledge of these issues is particularly poor at SMK, not in the individual department. It underlines further the need for a certain degree of self-criticism.
ParlaMint-NO_2010-01-13.ana.ud1798e1336	I maintain that it is difficult to see that the issue of transparency in a document can be defined as party policy. That is why I also maintain that the letter with guidelines mentioned relates to something quite different than what we are talking about in this context.
ParlaMint-NO_2010-01-13.ana.ud1798e1351	This question has been withdrawn.
ParlaMint-NO_2010-01-13.ana.ud1798e1357	This question, from the representative of the Olemic Thommess to the Minister of Culture, will be preserved by the Minister of Research and Higher Education who directs it.
ParlaMint-NO_2010-01-13.ana.ud1798e1360	I allow myself to ask the following questions to the Minister of Research and Higher Education: ‘Norway has a special responsibility to contribute to the making available and documentation of Ibsen’s life and authorship. At the time of the 100th anniversary marking, closer coordination between the main actors in the Ibsen work in Norway was sought, possibly with a view to setting up a national Ibsen centre. This debate has now been raised in connection with UiO's plans to move the Centres for Ibsen studies. How will the Council of State strengthen the Ibsen work in the future, research and for the general public?’
ParlaMint-NO_2010-01-13.ana.ud1798e1369	The Law on Universities and Higher Education of 1 April 2005 — the Law on Universities and Higher Education — empowers universities and colleges to determine the content of their teaching and the content of their research as well as to determine their internal organisation at different levels. I trust that the University of Oslo will discharge its important responsibility for the Ibsen research and its dissemination in the future. On this question, I have been confirmed by the University of Oslo that when the Ibsen Centre is in place by the end of January at Henrik Wergeland's house, research, education and dissemination around Ibsen will continue as before in the new premises, with the same budget and the same crew. At this move, the Ibsen Centre will come closer to the other relevant professional environments, and I would like to remind you that the university has the largest humanistic environment in Norway. The University also informs that a good cooperation agreement has been reached between the University and the National Library on the Ibsen literature. It shall include, inter alia: that part of the book collection will be deposited at Blindern, Henrik Wergeland's house, where the centre will be, and Ibsen researchers and theatre workers will thus also have access to this on Blindern in the future. There is therefore reason to believe that the move of the Ibsen centre in the longer term will strengthen Ibsen research and public communication.
ParlaMint-NO_2010-01-13.ana.ud1798e1376	This was an answer that I feared, namely that the university under its self-determination, which is of course there, can do a shift of this from a purely – what to say – scientific assessment. The problem is that what's happening is you move this center away from what's the center's main foundation, the relevant collections. It is clear that moving a part of the book collection is not very close enough or interesting. It's the handwriting collection, the letters and the audiovisual collection that makes people come to Norway to study these things, and that makes this unique. When I originally raised this question for the Minister of Culture, it's because I think it's up to the Ministry of Culture to think about how we're dealing with this completely. The National Library, the scientific Ibsen edition, which is otherwise neglected at the university, the Museums of Grimstad, Oslo and Porsgrund are here key actors, and that is the context that needs to be seen for further work.
ParlaMint-NO_2010-01-13.ana.ud1798e1385	I'm going to think it's in the Ski that the museum is in, because it's Ibsen's birthplace – I'm thinking about Ibsen's Friendship. But enough about it. In fact, I believe that the University of Oslo is able to have good contact with both the National Library and thus the environment that currently has the Ibsen Centre house, and it has built up over these years. We're not going to look at a move from Dramensvejen to Blindern as a disaster for a trade union environment. I believe that the Blinder environment – with its many responsibilities, vis-à-vis other great authors and literature as well as history in general – will see this important responsibility. I have, as I said, been assured that the University aims to continue the Ibsen Centre in a new context, but in an even more exciting context for Ibsen research and the Ibsen Service than it has now been. I have great faith that this will be successful, and I will, of course, – along with the Minister of Culture – make sure that we strongly feel responsible for both Ibsen research and Ibsen dissemination.
ParlaMint-NO_2010-01-13.ana.ud1798e1396	I find it difficult to see what would be the real content of that solution, that it should be better than the solution that we have now – which works to the extent of what all the professional communities involved consider to be the very central one, namely the link to the National Library and the physical proximity, which is what today's solution provides. The idea expressed by the Council of State does not include what is involved in taking total national responsibility for how to manage Ibsen's life and authorship. We need to look at a solution that also includes the general public and the visiting audience, and where Arbin's Gate – Ibsen's apartment and the museum – is absolutely unique. Here a closer link could be used to find solutions that would be unique in an international sense. It is a pity that the Government does not see the potential of a stronger link between the relevant settings in Norway working on this.
ParlaMint-NO_2010-01-13.ana.ud1798e1403	I think it's quite remarkable that the representative Thommess has such little faith in the University of Oslo as an important manager of our cultural history. It's the ones that manage this today. The cooperation between the University of Oslo and their many professional works – the University Library of Blinders and the National Library of Dramansvejen – is very much alive. Of course, at the University of Oslo you feel that there is also an important responsibility for the research and communication relating to our great national poems, which Henrik Ibsen is. I don't think there's any reason to underestimate the university's important role in society in this – and the responsibility they assume. As I said, both the Minister of Culture and I want to keep up with this work, and I have assured myself – with regard to the issue today – that the University is conscious of its responsibility. I have great confidence that they will handle this perfectly.
ParlaMint-NO_2010-01-13.ana.ud1798e1413	‘Refers to the opinions of the Nations and the Bondebladet on 26 November 2009. The CEO of Nortura, Geir Olav Opheim, states that Nortura will no longer finance social tasks such as maintaining jobs in the district above Nortura's bottom line. Would the Council of State propose, as an alternative, to take care of rural agriculture by offering the service to bids that Opheim suggests by referring to the Unøe scheme?’.»
ParlaMint-NO_2010-01-13.ana.ud1798e1420	The concrete answer to the question put by the representative, Mr Tåldal, is in black in the government's political platform: ‘The role of co-operation as market regulator and importer of Norwegian raw materials from all over the country shall be ensured.’ I also refer to the unanimous vote on this Chamber from the Economic and Social Committee when the beef and veal market organisation was reformed in spring. The aim of cooperation is to maximise the benefits of membership for all members, including: by providing market access and maximising the payment of prices. Furthermore, cooperation is based on open and voluntary membership. Much of this is the basis for the role of Nortura as market regulator in key commodity markets in the implementation of agricultural policy. Of course, it involves rights and obligations. Nortura is paid for the job as a market regulator from the sales tax, which is paid by the farmers, also by those who deliver their animals to Nortura’s competitors. It is true that the reception obligation is one of the obligations relating to the role of market regulator, but it simply confirms a cooperative principle. Nevertheless, it is easy to understand that increasing competition in livestock-tight areas and strong food chains that integrate back into the value chain pose new challenges for interoperability. Over time, the reception stage in the meat market, both in the cooperative and in the independent, is rationalised in order to reduce costs. This increases the distance disadvantages of some meat producers. For this reason, a working group on the industry is now in place to review the import arrangements, with a view to making it more interesting for all slaughterhouses to pick up animals far from slaughter facilities. An important aim here is to strengthen competition for the supply of rural farmers. I will, as I said, continue the market organizations, and I know that it is Nortura's position, last confirmed by Governor Svebestad of the Nations. But market organizations must play with other instruments of the agricultural agreement in order to maintain agriculture throughout the country.
ParlaMint-NO_2010-01-13.ana.ud1798e1444	I thank you for your answer. Nortura justifies her desire for more money in order to solve regional policy tasks, including: input subsidies — without any reduction in the last few years. During this period, the company has closed down several slaughterhouses and total slaughter in fewer facilities. An increase in the contribution will reduce the competitiveness of small local district slaughterhouses in terms of access to animals. How does the Minister of Agriculture place emphasis on the importance of future existence for the small local slaughterhouses when designing the subsidy scheme that affects them?
ParlaMint-NO_2010-01-13.ana.ud1798e1451	As I said, it is the turnover tax that finances the market regulatory role. When we talk about the transit arrangements and a review of them to ensure that we ensure that regional farmers are able to deliver their products to the slaughterhouses, the purpose of such a review is to ensure that all slaughterhouses have equal opportunity, regardless of whether they are part of the cooperative or not, that everyone has equal opportunity to pick up raw materials from the district farmers. This will in itself imply enhanced competition for the supply of regional farmers. It is at the bottom of this scheme and will be an investigator now. The conclusion of the investigation has not been drawn, but one is in the process of doing that work.
ParlaMint-NO_2010-01-13.ana.ud1798e1458	Does the Minister of Agriculture believe that it is essential that there is a cooperative enterprise that draws live animals for slaughter in the most pig-grown areas, or that there is a fundamental difference if there is a private slaughterhouse carrying out this task, as long as the rural policy tasks are carried out, and that good agriculture is ensured throughout the country?
ParlaMint-NO_2010-01-13.ana.ud1798e1463	As I tried to underline in my previous reply, the purpose of the review of the depositing arrangement is first and foremost to ensure that the district farmers, those with the distance drawback, are given the opportunity to deliver their products to the slaughterhouses, regardless of the distance from the slaughterhouse. This mechanism will aim to be competitively neutral. It shall ensure that both private slaughterhouses and cooperative slaughterhouses have as much equal working conditions as possible. Here is a system that is now being worked on to get in place, which ensures competition for the delivery of regional farmers.
ParlaMint-NO_2010-01-13.ana.ud1798e1471	Let me first of all congratulate the Council of State on its new work. And then I want to ask the question: «I, the undersigned, refer to Section 8 of the Regulations of Sections 10 to 7, concerning aid schemes for the purchase of wigs/hair replacement. It appears that support for hair replacement due to diseases such as: Alopecia stops after the patient reaches the age of 18, and the maximum benefit is NOK 13 000. What is the assessment by the Council of State of current practices related to this, and what will it do, if appropriate, to improve current practice?’
ParlaMint-NO_2010-01-13.ana.ud1798e1480	Let me first explain the legislation and current practice. A member who has lost, in whole or in part, his hair due to sickness or disease treatment is granted a grant for the acquisition and repurchase of wigs. At the time of the first acquisition, it must be confirmed by a medical declaration that disease or treatment for disease is the cause of hair loss. It is not right that support for hair replacement, as mentioned in the question, stops after the patient reaches the age of 18. Under the legislation, one or more wigs are paid up to NOK 5035 per month. calendar year. If it is medically documented that the member must use individually prepared wig due to abnormal headform or allergic reaction to synthetic material, a social benefit of up to DKK 13 000 per person may be provided. calendar year. In other words, for persons over 18 years of age who, during the calendar year, have expenditure in excess of these rates, there is a certain excess. For children and young people under 18 years of age, the legislation is practised in such a way as to provide full support for the necessary expenditure for up to two individual prepared wigs or up to six synthetic wigs per year. calendar year. The legislation has not changed in recent years. I have also been briefed by the Employment and Welfare Directorate that they have not received feedback from their own department or users about the need for changes to this legislation. Against this background, I do not see the need at this stage to make changes to existing legislation or practices.
ParlaMint-NO_2010-01-13.ana.ud1798e1495	It is true, as the Council of State points out – the question may have been a little unexplained – that there is a regulatory framework for those over the age of 18 who, as the Council of State says, cover up to NOK 5035. If you go back two or three years in time, until 1 January 2006, the amount was NOK 4 730. So you've had an increase of $305 since 2006. According to Jalvad, Norway’s oldest wig salon, located in Oslo, six synthetic wigs per person are needed. years. It represents a cost of NOK 3500 per person. wig, and you need three wigs with natural hair, which represents a cost of $5,500 per. wig. If you want synthetic wigs with a thin bottom, individually arranged, it's $16,000. Does the Council of State consider it reasonable for an individual to be given an increase in this area according to the index of consumer prices, i.e. that the expenditure covered by the public interest follows the index of consumer prices in the social security system?
ParlaMint-NO_2010-01-13.ana.ud1798e1500	It follows, therefore, from the legislation that, if necessary, this aid can also be increased to NOK 13 000 for those over the age of 18. There are many benefits to distinguish between children and adults — that children have a higher proportion of them covered than adults do. What I also emphasize is that after examining this with the relevant department, I have not seen that it has been stated that this is too low.
ParlaMint-NO_2010-01-13.ana.ud1798e1505	I refer you to the Landsföreningen Alopecia. They have repeatedly expressed a strong need to do something about the legislation and the rates. The FFO has also been on the field and said so. This is especially a problem for girls who have a disease that it is not possible to do medical treatment of, and it is naturally far worse for a lady than what it is for us men to lose their hair. In this regard, I would like to make a contribution to the Council of States: Can it make sense to clear up the legislation and put in place a system that follows the development of the G amount, to put an amount of 1/10> G on wigs and for individually arranged wigs to be 1⁄4 G per. calendar year? This will also provide a much better service to women's needs, and it will not lead to the large costs, as they are not very many.
ParlaMint-NO_2010-01-13.ana.ud1798e1512	I just have to say that I see that there is a great difference between men and women, and in particular there are women who put great emphasis on the hair – I see the point being mentioned here. I also see the point that there may be a need to look at whether a regulation should be made in relation to the consumer price index, without going into the second proposal that was presented. In that case, I will come back to this in the context of the budgetary procedure.
ParlaMint-NO_2010-01-13.ana.ud1798e1527	This question has been withdrawn.
ParlaMint-NO_2010-01-13.ana.ud1798e1534	This question, from the representative of Laila Marie Reiertsen to the Minister for Labour, has been transferred to the Minister for Children, Gender Equality and Inclusion, who is directing him.
ParlaMint-NO_2010-01-13.ana.ud1798e1537	I allow myself to ask the following questions to the Minister for Children, Gender Equality and Inclusion: «In the Official Journal of Bergen on 11 December 2009, we can read about the partner couple in Kinsarvik who are looking forward to parenting. Anyway, it's a cleavage of joy. They are not allowed to take out maternity leave at the same time without losing the birth allowance. The mother has cerebral paresis and therefore needs extra help in the time after birth, something father wants to do, but Nav says no because the legislation for birth money is quite clear. Will the Council of State look at legislation to make it more flexible towards such groups as regards maternity leave and maternity allowance?’
ParlaMint-NO_2010-01-13.ana.ud1798e1546	I have a great deal of understanding that there are cases where one parent needs help from the other to take care of the child. There is also an opening in the regulatory framework. If, for example: mother due to illness or injury depends on assistance to care for the child, father may take over leave, even during the first six weeks after birth. In most cases, it will be that mother is entitled to sickness benefits. Whether the derogation in the legislation can be applied to the specific matter on which the representative asks is not possible for me to decide. It is Nav who has to clarify individual matters, but at least there is an opportunity in the legislation as it stands today. The intention of the parental pension scheme is to ensure that the child can have one of his or her parents at home in the first year of life. The scheme is based on the principle that popularism does not compensate for both parents caring for the child – in other words, does not cover double care. The parents may then divide the period of benefit between themselves, but the general rule, as is known, is that the parents cannot be at home with parental leave at the same time. It would shorten the benefit period and in many ways conflict with the intention behind the scheme. So the government has announced that we want to investigate a simplified and more equal parental death scheme. The Ministry has started that work. As part of that work, I think it is natural to consider whether parents with special needs are well enough cared for in the system we have today. That work is in an early stage so that I can say something more concrete today about how it might be done, and how much I think that need is. But it's a process that's in progress, and that I'll come back to.
ParlaMint-NO_2010-01-13.ana.ud1798e1555	Thank you very much for your answer. It sounds very uplifting that the department will look at the legislation. But I'm afraid that this code doesn't work when it applies to this group, because there aren't so many in it. So there must be a possibility that possibly Nav can contact the ministry to look at this. How does the Council of State feel about it?
ParlaMint-NO_2010-01-13.ana.ud1798e1562	Of course, in cases where the case handlers of the Nav or Nav system are in doubt about how the legislation should be understood, it is natural to contact them to interpret this. It is again difficult for me to become very specific, because I do not know the individual matter except through the review in the Official Journal of Bergen. However, it is necessary to assess whether existing legislation can be applied in any way to help this parental killer. If not, it's a natural thing for me to take into account the discussion we're about to have on the development of the code further, because it's clear that groups that are small and that come into special situations can easily fall outside the legislation that's made for the large groups.
ParlaMint-NO_2010-01-13.ana.ud1798e1569	I thank you again for your answer. As the Council of State understands, I am busy with this matter, and it actually concerns more, but not so many. Another thing is that Nav has said positive to a health call from his father, and in today's health call debate, it's not exactly a positive signal. It would be better if the contact from Nav to the department came as soon as possible. I hope that the Council of State can agree on that.
ParlaMint-NO_2010-01-13.ana.ud1798e1578	The aim, of course, is that everyone should be able to participate in the rights they have under existing parental pension schemes and that it should be in the way that they are organised. So there are exceptions, as I have mentioned, which make it possible to transfer leave even in the periods reserved for one parent, as the weeks around the birth are reserved for mother. In the specific case, it will be necessary to assess whether the legislation can be applied. And if not, it's, as I said, an example that might be useful for us to include in the assessment we're going to make of the arrangement.
ParlaMint-NO_2010-01-13.ana.ud1798e1586	I allow myself to ask the following questions to the Minister for Fisheries and Coast: «U-864 loaded with approx. 67 tonnes of mercury, near the Fedje in Hordaland, has today contaminated an area of approx. 30 000 m2. There is a cross-political agreement that the submarine must be lifted. Just before Christmas, it became known that the Swedish Coast Guard Agency has done such a bad job with the contract that a quality assurance report advises against continuing the project with the existing contract. How soon can the Stortinge expect a case to be brought before it, where it is explained to the Ministry’s view and further handling of the matter?’»
ParlaMint-NO_2010-01-13.ana.ud1798e1598	In St. prp. No 67 for 2008-2009 on additional appropriations, etc. in the 2009 State Budget, Stortinget was informed that the Government believes that the wrecked by U-864 should be lifted. Furthermore, it was argued that contaminated seabeds should be covered to clean masses. It was stated that it was intended that an external quality assurance should be carried out, also called KS2. The review of the revised national budget for 2009 granted 8.2 million. NOK for further work on the U-864. The project quality assurance mission was given to the Dovre Group and the Transport Economics Institute. I Prop. 1 S for 2009-2010, Stortinget was informed that the quality assurance would form the basis for submitting the case to the Stortinget for final approval, and that the Government would return to the case in an appropriate manner. I was given the quality assurance report on 16 December last year. The report is critical to several aspects of the existing U-864 lifting project. The report concludes that the project is insufficiently prepared on the basis of the existing plans and that there is a very high risk associated with the scope of work, organisation and management. It is concluded that there is doubt that the project can be managed in a sufficiently controlled manner, which is unfortunate also in relation to safety, the environment and economic control. The point of external quality assurance is to obtain the best possible basis for making a decision. The quality assurance report is now being reviewed in the department. Once that review has been completed, the Government will return to Stortinget with a proposition about the further process in the case. The matter is expected to be advanced in the near future.
ParlaMint-NO_2010-01-13.ana.ud1798e1609	I thank you for your answer. I agree with parts of the answer, but I miss a confession from the Council of State that the criticism is also directed at the Coastal Administration's handling of the matter. For example, I can. mention that in the report by Dovre Group and TØI, one says: «The contract appears on several points as unclear and the risk distribution between the parties is considered to be unusually distorted by the contracting entity.» This, of course, creates uncertainty about the Coastal Works that the contracting party has done a good enough job, and it also exposes an uncertainty about the project costs, which is thus between 1.2 billion kroner and 2.2 billion kroner. There is a possible uncertainty of 100 p.m., and then there is doubt as to whether the project can be properly managed! Is the Council satisfied with the Coastal Administration's handling of this matter?
ParlaMint-NO_2010-01-13.ana.ud1798e1623	I read the report carefully at Christmas, and it is critical of many points, including the points pointed out by the representative here. The Coast Guard has carried out the mission they received from the Department. In their November 2008 report, they reviewed the options. They were also in a cover option. It was said that cancellation was possible in that report. The coastal work was taken up in this work and in its broad work on other assessments from a number of Norwegian and international trade unions. On the basis of that, my opinion is that the Coastal Works have done what they have been asked for.
ParlaMint-NO_2010-01-13.ana.ud1798e1630	I'd like to ask you an additional question. It is good that the matter comes to Stortinget. I perceive the last answer from the Council of State that is so unsatisfactory, about the report that we have both read, that I believe I can already inform you that there is going to be a wide consultation on this, so that we can get all the aspects of the Coastal Works' handling of this matter. For the purpose of making the State a party to the contract, a long time should be considered if the assessments made by Dovre Group and TØI are correct. It in turn contributes to the uncertainty about the entire uplifting operation, for which very many people are concerned. The first reactions in the media were also whether or not there would be an upliftment, whether or not the entire cancellation decision would be cancelled. My last question is: Does the Council of State believe that the decision to lift is pending, regardless of this report by Dovre Group and TØI?
ParlaMint-NO_2010-01-13.ana.ud1798e1641	To that I have to say that the government in January 2009 went in to cancel the submarine. At the same time, it was decided that an external quality assurance should be carried out. That report has now been received by me and the department. It's being reviewed. Once that review has been completed, we will review all the points in the report, and then the Government will return to Stortinget with the matter.
ParlaMint-NO_2010-01-13.ana.ud1798e1649	‘There is today a major shortage of foster homes in child protection. As of 31 January last year, 115 children and young people were admitted to foster homes waiting for a foster home and a further 619 children and young people were notified to foster home services as being relevant for foster homes. Furthermore, child protection depends on having more accessible foster homes than children who need foster homes — in order to choose a foster home that is appropriate to the needs of the child in question. What will the Council of State do to ensure adequate foster homes?’
ParlaMint-NO_2010-01-13.ana.ud1798e1656	The last few years have been over 80 pst. by all children who are placed outside the home of the protection of the child have been placed in foster homes. Foster homes constitute a fundamental, central and very important place in child protection. It is unfortunate that children have to wait to be placed in foster homes. As of 31 January 2009, 115 children were waiting to be placed. Of these, 85 lived. in a child protection measure, such as a shelter or institution, while waiting for their place in a foster home. More children than in previous years live in emergency or short-term measures. 13 pst. of those who waited, lived either with one or both parents, close relatives or with persons in close proximity. Recruiting foster homes has always been a demanding job, but measurements in recent years show that it is now extra challenging. This is because more children are now placed in foster homes than before. There are several children in child protection, as well as a greater proportion of those away from home being placed in foster homes. Foster home care in Norway has traditionally been based on idealism and a desire to help children who have a difficult situation. Being a foster parent is meaningful and important, but it is also demanding. Therefore, it is equally demanding to recruit foster homes. There's a decision that many people spend a long time on. We are therefore in the process of implementing various measures to strengthen the recruitment process. We see that it is particularly difficult to recruit in the big cities. Therefore, it is decided that the central authorities should focus specifically on it in 2010. The aim is to reach new groups of potential foster parents. In addition, every two years a national recruitment campaign is organised. The next national campaign is planned in February 2011. Then we have a continuous regional job for recruitment. I expect that my speaking time is about to run out – even if it’s not here – but I can possibly come back to the other important part of this, namely how we’re better prepared to make it a task where a person gets guidance, networks and help that makes it tempting for those who want to take on such an important task.
ParlaMint-NO_2010-01-13.ana.ud1798e1671	The President may reassure the Council of State that the speaking time in the first Council reply should not exceed 3 minutes.
ParlaMint-NO_2010-01-13.ana.ud1798e1674	Despite the fact that there was a restriction in the speaking time of the Council of State in all 3 minutes, I find it very worrying and disappointing that the Council of State does not have any more concrete instruments to meet such a serious challenge. Here we are talking about children where the authorities actually go in and do such a powerful act as taking the children out of their home – for good reason, of course – but then it is all the more serious and unacceptable that we cannot deal with the necessary help measures and that we lack foster homes. What will the Council of State do as regards compensation and other conditions for foster homes today? And: Does the Council of State have a deadline for when, according to the need, you will have full foster home coverage?
ParlaMint-NO_2010-01-13.ana.ud1798e1681	I would like to engage in dialogue with the representative of Hope about this, because there is no simple political solution. That's not all we want to adopt, that we can adopt in this room. One of those things is to make sure that there are plenty of foster homes for the kids who need it. When there are several children in child protection, it goes without saying that we need more foster homes, and it's a demanding task to do. It's not on the will, but it's on whether we can recruit enough. In addition to what I talked about instead, we have had a significant improvement in what kind of framework we put around foster parents. It is about the possibility of participating in guidance groups, on further training courses, on more technical assistance from Buffetat and on what is now going on across the country, namely the establishment of a watch telephone system for all foster parents, so as to facilitate the provision of direct guidance in everyday life. All such interventions — in addition to the work we are doing on improving conditions, economic and social — help to make it easier for more people to take on this incredibly important task. So there's a lot of work going on here.
ParlaMint-NO_2010-01-13.ana.ud1798e1690	It's very hard to see what the so-called big work is. It is true that we cannot politically decide that we have enough foster homes available, but one can have a clear strategy, and one can improve the conditions, so that it becomes sufficiently attractive for a sufficient number of families to report as foster parents. Since we lack as many foster homes as we do today, it is a clear signal that the conditions are too bad. The Foster Home Association is also clearly telling us about this. It's actually possible to do something with it until you get to the goal. It's such a challenging challenge to be a foster parent that no one will do it for purely economic reasons, anyway. The questions remain: does the Council have a clear strategy to provide adequate foster homes? And: has the Council of State set a deadline for when he's going to be in the goal of having enough foster homes for all the kids who really need it?
ParlaMint-NO_2010-01-13.ana.ud1798e1697	The answer to that is yes, we have a clear strategy for that. That strategy is about what I said in my first answer, which is about active work to recruit more people. Then it's about what I talked about in my other answer, namely building a better framework for foster homes, ensuring that guidance, professional competence and the ability to build networks around the work we do are present. The third crucial aspect is the preparation of standard government emergency and family home contracts, where, after the start of the new contracts, parents will have much better social rights, such as: sickness benefit from day one, pension and increased protection against dismissal. And then there's a dialogue with KS about how we can also improve the conditions of the municipal foster homes. There's a lot going on here. We have a clear strategy. We have a goal of doing this as soon as possible, because the need is there. But, as I said, as the need increases, the challenge we face is also increasing.
ParlaMint-NO_2010-01-13.ana.ud1798e1704	Case No. So 1 is done.
ParlaMint-NO_2010-01-13.ana.ud1798e1717	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
